   akarot pṛthivīruhān api Ragh_8.70c	akarot pRTivIruhAn api RaG_8.70c
   vanaṃ mayā sārdham asi prapannaḥ Ragh_14.63b	vanam mayA sArDam asi prapannaH RaG_14.63b
   vanāt karam ivādāya Ragh_15.15c	vanAt karam iva AdAya RaG_15.15c
   vanāntarād upāvṛttaiḥ Ragh_1.49a	vana antarAt upAvRttEH RaG_1.49a
   vanān nivṛttena raghūdvahena Ragh_14.12c	vanAt nivRttena raGu udvahena RaG_14.12c
   vanāya pītapratibaddhavatsāṃ Ragh_2.1c	vanAya pIta pratibadDa vatsAm RaG_2.1c
   vanitayā 'nitayā rajanīvadhūḥ Ragh_9.38d	vanitayA anitayA rajanI vaDUH Rau _9.38d
   vane tapaḥ kṣāntataraś cacāra Ragh_18.9d	vane tapaH kzAntataraH cacAra RaG_18.9d
   vane vanyena vartayan Ragh_12.20b	vane vanyena vartayan RaG_12.20b
   vaneṣu sāyanatanamallikānāṃ Ragh_16.47a	vanezu sAyanatana mallikAnAm RaG_16.47a
   vaneṣūpavaneṣv iva Ragh_17.64b	vanezu upavanezu iva RaG_17.64b
   vandyaṃ yugaṃ caraṇayor janakātmajāyāḥ Ragh_13.78b	vandyam yugam caraNayoH janakAtmajAyAH RaG_13.78b
   vandhyam āśramavṛkṣakam Ragh_1.70d	vanDyam ASrama vRkzakam Rau _1.70d
   vandhyaśramās te sarayūṃ vigāhya Ragh_16.75c	vanDya SramAH te sarayUm vigAhya RaG_16.75c
   vanyadvipenonmathitā tvag asya Ragh_2.37b	vanya dvipena unmaTitA tvac asya RaG_2.37b
   vanyavṛttir imāṃ śaśvad (?) Ragh_1.88a	vanya vRttiH imAm SaSvat (?) RaG_1.88a
   vanyasya netravivare mahiṣasya muktaḥ Ragh_9.61b	vanyasya netra vivare mahizasya muktaH RaG_9.61b
   vanyaṃ śarīrasthitisādhanaṃ vaḥ Ragh_5.9d	vanyam SarIra sTiti sADanam vaH Rau _5.9d
   vanyaḥ karīti śrutavān kumāraḥ Ragh_5.50b	vanyaH karI iti SrutavAn kumAraH RaG_5.50b
   vanyānāṃ mārgaśākhinām Ragh_1.45d	vanyAnAm mArga SAKinAm Rau _1.45d
   vanyān vineṣyann iva duṣṭasattvān Ragh_2.8d	vanyAn vinezyan iva duzwa sattvAn Rau _2.8d
   vanyām evāsya saṃvidhām Ragh_1.94d	vanyAm eva asya saMviDAm Rau _1.94d
   vanyetarā jānapadopadābhiḥ Ragh_5.41b	vanya itarA jAnapada upadABiH RaG_5.41b
   vanyetarānekapadarśanena Ragh_5.47c	vanya itarAn eka padarSanena RaG_5.47c
   vanyena sā valkalinī śarīraṃ Ragh_14.82c	vanyena sA valkalinI SarIram RaG_14.82c
   vanyair idānīṃ mahiṣais tad ambhaḥ Ragh_16.13c	vanyEH idAnIm mahizEH tat amBaH RaG_16.13c
   vanyaiḥ pulindair iva vānarais tāḥ Ragh_16.19c	vanyEH pulindEH iva vAnarEH tAH RaG_16.19c
   vapur mahoragasyeva Ragh_12.98c	vapuH mahA uragasya iva RaG_12.98c
   vapuṣā karaṇojjhitena sā Ragh_8.38a	vapuzA karaNa ujJitena sA RaG_8.38a
   vapuḥprakarṣād ajayad guruṃ raghus Ragh_3.34c	vapuH prakarzAt ajayat gurum raGuH RaG_3.34c
   vapuḥprakarṣeṇa viḍambiteśvaraḥ Ragh_3.52d	vapuH prakarzeNa vixambiteSvaraH RaG_3.52d
   vaprakriyām ṛkṣavatas taṭeṣu Ragh_5.44b	vapra kriyAm RkzavataH tawezu RaG_5.44b
   vayasāṃ paṅktayaḥ petur Ragh_15.25a	vayasAm paFktayaH petuH RaG_15.25a
   vayasy anantāni sukhāni lipsuḥ Ragh_18.26b	vayasi anantAni suKAni lipsuH RaG_18.26b
   vayorūpavibhūtīnām Ragh_17.43a	vayaH rUpa viBUtInAm RaG_17.43a
   vayoveṣavisaṃvādi Ragh_15.67a	vayaH veza visaMvAdi RaG_15.67a
   varaḥ sa vadhvā saha rājamārgaṃ Ragh_7.4c	varaH sa vaDvA saha rAjamArgam RaG_7.4c
   varṇasthānasamīritā Ragh_10.37b	varNa sTAna samIritA RaG_10.37b
   varṇāntarākrāntapayodharāgrām Ragh_14.27b	varNa antara AkrAnta payoDara agrAm RaG_14.27b
   varṇāśramāṇāṃ gurave sa varṇī Ragh_5.19c	varNa ASramANAm gurave sa varNI RaG_5.19c
   varṇāśramāvekṣaṇajāgarūkaḥ Ragh_14.85b	varNa ASrama avekzaNa jAgarUkaH RaG_14.85b
   varṇair api ṣaḍsaṃśabhāk Ragh_17.65d	varNEH api zaz saMSaBAj Rau _17.65d
   varṇodakaiḥ kāñcanaśṛṅgamuktais Ragh_16.70a	varNa udakEH kAQcana SRFga muktEH RaG_16.70a
   vartate sma sa kathaṃcid ālikhann Ragh_19.19c	vartate sma sa kaTaMcid AliKan RaG_19.19c
   vartamānam ahite ca dāruṇe Ragh_11.68b	vartamAnam ahite ca dAruNe RaG_11.68b
   vartmasu dhavjatarupramāthinaḥ Ragh_11.58b	vartmasu Davja taru pramATinaH RaG_11.58b
   vardhamānaparihīnatejasau Ragh_11.82b	varDamAna parihIna tejasO RaG_11.82b
   vardhayann iva tatkūṭān Ragh_4.71c	varDayan iva tad kUwAn RaG_4.71c
   varmabhiḥ pavanoddhūta Ragh_4.56c	varmaBiH pavana udDUtaH RaG_4.56c
   varṣātyayena rucam abhraghanād ivendoḥ Ragh_13.77b	varza atyayena rucam aBra GanAt iva indoH RaG_13.77b
   valaniṣūdanam arthpatiṃ ca taṃ Ragh_9.3c	vala nizUdanam arTpatim ca tam RaG_9.3c
   valayamaṇividiṣṭaṃ pracchadāntaṃ mumoca Ragh_5.75*d	valaya maNi vidizwam pracCada antam mumocaH RaG_5.75*d
   valguvāg api ca vāmalocanā Ragh_19.13d	valgu vAc api ca vAma locanAH Rau _19.13d
   vallakī ca hṛdayaṃgamasvanā Ragh_19.13c	vallakI ca hRdayaMgama svanAH RaG_19.13c
   vallabhābhir upasṛtya cakrire Ragh_19.16c	vallaBABiH upasRtya cakrire Rau _19.16c
   vavandire maulibhir asya pādau Ragh_18.41d	vavandire mOliBiH asya pAdO RaG_18.41d
   vavṛte jñānamayena vahninā Ragh_8.20d	vavRte jQAna mayena vahninA Rau _8.20d
   vavṛdhe vādinor iva Ragh_12.92d	vavRDe vAdinoH iva RaG_12.92d
   vavṛdhe vaidyutasyāgner Ragh_17.16c	vavRDe vEdyutasya agneH RaG_17.16c
   vavendunā tan nabhasopameyaṃ Ragh_18.37a	vava indunA tat naBasA upamA iyam RaG_18.37a
   vaśam eko nṛpatīn anantarān Ragh_8.19b	vaSam ekaH nRpatIn anantarAn RaG_8.19b
   vaśinām uttama gantum arhasi Ragh_8.90b	vaSinAm uttama gantum arhasi RaG_8.90b
   vaśī viveśa cāyodhyāṃ Ragh_15.38a	vaSI viveSa ca ayoDyAm RaG_15.38a
   vaśī sutas tasya vaśaṃvadatvāt Ragh_18.13a	vaSI sutaH tasya vaSaMvada tvAt RaG_18.13a
   vasann adūre kila candramauleḥ Ragh_6.34b	vasan adUre kila candramOleH RaG_6.34b
   vasann ṛṣikuleṣu saḥ Ragh_12.25b	vasan Rzi kulezu saH RaG_12.25b
   vasan sa tasyāṃ vasatau raghūṇāṃ Ragh_16.42a	vasan sa tasyAm vasatO raGUNAm RaG_16.42a
   vasaṃś caturtho 'gnir ivāgnyagāre Ragh_5.25b	vasan caturTaH agniH iva agni agAre RaG_5.25b
   vasānasya ca valkale Ragh_12.8b	vasAnasya ca valkale RaG_12.8b
   vasiṣṭhadhenor anuyāninaṃ tam Ragh_2.19a	vasizWa DenoH anuyAninam tam RaG_2.19a
   vasiṣṭhamantrokṣaṇajāt prabhāvād Ragh_5.27a	vasizWa mantra ukzaNa jAt praBAvAt RaG_5.27a
   vasiṣṭhasya guror mantrāḥ Ragh_17.38a	vasizWasya guroH mantrAH RaG_17.38a
   vasu tasya na kevalaṃ Ragh_8.31c	vasu tasya na kevalam RaG_8.31c
   vasudhām api hastagāminīm Ragh_8.1c	vasuDAm api hasta gAminIm RaG_8.1c
   vasudhāyāṃ nicakhnatuḥ Ragh_12.30d	vasuDAyAm nicaKnatuH Rau _12.30d
   vasudheyam avekṣyatāṃ tvayā Ragh_8.83c	vasuDA iyam avekzyatAm tvayA RaG_8.83c
   vasumatyā hi nṛpāḥ kalatriṇaḥ Ragh_8.83d	vasumatyAH hi nRpAH kalatriNaH Rau _8.83d
   vasuṃdharā viṣṇupadaṃ dvitīyam Ragh_16.28c	vasuMDarA vizNu padam dvitIyam RaG_16.28c
   vasaukasārām abhibhūya sāhaṃ Ragh_16.10a	vasOkasArAm aBiBUya sA aham RaG_16.10a
   vahaty ayodhyām anu rājadhānīm Ragh_13.61b	vahati ayoDyAm anu rAjaDAnIm RaG_13.61b
   vahnau viśuddhām api yat samakṣam Ragh_14.61b	vahnO viSudDAm api yat samakzam RaG_14.61b
   vaṃśaśriyaṃ prāpa nalābhidhānaḥ Ragh_18.5b	vaMSa Sriyam prApa nala aBiDAnaH RaG_18.5b
   vaṃśasthitiṃ vaṃśakareṇa tena Ragh_18.31a	vaMSa sTitim vaMSa kareNa tena RaG_18.31a
   vaṃśasya kartāram anantakīrtiṃ Ragh_2.64c	vaMSasya kartAram ananta kIrtim RaG_2.64c
   vaṃśābhiṣekavidhinā śiśireṇa garbhaḥ Ragh_19.56d	vaMSa aBizeka viDinA SiSireNa garBaH Rau _19.56d
   vaṃśe 'smin pūrvasūribhiḥ Ragh_1.4b	vaMSe asmin pUrva sUriBiH RaG_1.4b
   vaṃśyā guṇāḥ khalv api lokakāntāḥ Ragh_18.49c	vaMSyAH guNAH Kalu api loka kAntAH Rau _18.49c
   vāgarthapratipattaye Ragh_1.1b	vAc arTa pratipattaye RaG_1.1b
   vāgarthāv iva saṃpṛktau Ragh_1.1a	vAc arTO iva saMpRktO RaG_1.1a
   vāgbhiḥ sakhīnāṃ priyam abhyanandat Ragh_7.69b	vAgBiH saKInAm priyam aByanandat RaG_7.69b
   vāgyatasya niravartayan kriyāḥ Ragh_11.30d	vAgyatasya niravartayan kriyAH Rau _11.30d
   vāṅmanaḥkarmabhiḥ patyau Ragh_15.81a	vAc manaH karmaBiH patyO RaG_15.81a
   vācaṃyamatvāt praṇatiṃ mamaiṣa Ragh_13.44a	vAcaMyama tvAt praNatim mama ezaH RaG_13.44a
   vācyas tvayā madvacanāt sa rājā Ragh_14.61a	vAcyaH tvayA mad vacanAt sa rAjA RaG_14.61a
   vājinīrājanāvidhau Ragh_4.25b	vAjinI rAjanA viDO RaG_4.25b
   vāto 'pi nāsaraṃsayad aṃśukāni Ragh_6.75c	vAtaH api na asaraMsayat aMSukAni RaG_6.75c
   vātyayeva pitṛkānanotthayā Ragh_11.16d	vAtyayA iva pitR kAnana utTayA Rau _11.16d
   vāpīṣv iva sravantīṣu Ragh_17.64a	vApIzu iva sravantIzu RaG_17.64a
   vāmanārcir iva dīpabhājanam Ragh_19.51d	vAmana arciH iva dIpa BAjanam Rau _19.51d
   vāmanāśramapadaṃ tataḥ paraṃ Ragh_11.22a	vAmana ASrama padam tatas param RaG_11.22a
   vāmāṅgasaṃsaktasurāṅganaḥ svaṃ Ragh_7.51c	vAma aFga saMsakta sura aFganaH svam RaG_7.51c
   vāmetaras tasya karaḥ prahartur Ragh_2.31a	vAmetaraH tasya karaH prahartuH RaG_2.31a
   vāmetaraḥ saṃśayam asya bāhuḥ Ragh_6.68c	vAmetaraH saMSayam asya bAhuH RaG_6.68c
   vāyavaḥ surabhipuṣpareṇubhiś Ragh_11.11c	vAyavaH suraBi puzpa reNuBiH RaG_11.11c
   vāyavyāstravinirdhūtāt Ragh_4.41*a	vAyavya astra vinirDUtAt RaG_4.41*a
   vārttānuyogamadhurākṣarayā ca vācā Ragh_13.71d	vArttA anuyoga maDura akzarayA ca vAcA Rau _13.71d
   vārdhhake munivṛttīnāṃ Ragh_1.8c	vArDhake muni vRttInAm RaG_1.8c
   vāryargalābhaṅga iva pravṛttaḥ Ragh_5.45d	vAri argalA BaFgaH iva pravRttaH Rau _5.45d
   vārṣikaṃ saṃjahārendro Ragh_4.16a	vArzikam saMjahAra indraH RaG_4.16a
   vārṣikeṣv iva bhāskaraḥ Ragh_12.25d	vArzikezu iva BAskaraH Rau _12.25d
   vālakhilyair ivāṃśumān Ragh_15.10d	vAlaKilyEH iva aMSumAn Rau _15.10d
   vālmīkir ādāya dayārdracetāḥ Ragh_14.79b	vAlmIkiH AdAya dayA Ardra cetAH RaG_14.79b
   vālmīkīye tapovane Ragh_15.11d	vAlmIkIye tapaH vane Rau _15.11d
   vālmīker iti so 'tyagāt Ragh_15.37b	vAlmIkeH iti saH atyagAt RaG_15.37b
   vāsavakṣaṇakalatratāṃ yayau Ragh_11.33d	vAsa vakzaNa kalatra tAm yayO RaG_11.33d
   vikacatāmarasā gṛhadīrghikā Ragh_9.37c	vikaca tAmarasA gRha dIrGikAH RaG_9.37c
   vikasatkāśacāmaraḥ Ragh_4.17b	vikasat kASa cAmaraH RaG_4.17b
   vikṛtir jīvitam ucyate budhaiḥ Ragh_8.87b	vikRtiH jIvitam ucyate buDEH RaG_8.87b
   vikramavyatihāreṇa Ragh_12.93a	vikrama vyatihAreNa RaG_12.93a
   vikramāvasaraṃ cirāt Ragh_12.87b	vikrama avasaram cirAt RaG_12.87b
   vigāhanānena saridvarāṃ tām Ragh_16.71b	vigAhanAnena sarit varAm tAm RaG_16.71b
   vigāhituṃ śrīmahimānurūpaṃ Ragh_16.55c	vigAhitum SrI mahima anurUpam RaG_16.55c
   vigāhyamānāṃ sarayūṃ ca naubhiḥ Ragh_14.30b	vigAhyamAnAm sarayUm ca nOBiH RaG_14.30b
   vigāhyamāno galitāṅgarāgaiḥ Ragh_16.58b	vigAhyamAnaH galita aFga rAgEH RaG_16.58b
   vigrahāc ca śayane parāṅmukhīr Ragh_19.38a	vigrahAt ca Sayane parAFmuKIH RaG_19.38a
   vigraheṇa madanasya cāruṇā Ragh_11.13c	vigraheNa madanasya ca aruNA RaG_11.13c
   vighnato daśarathātmajau śaraiḥ Ragh_11.24b	viGnataH daSaraTa AtmajO SarEH RaG_11.24b
   vighniteccham api tasya sarvato Ragh_19.27c	viGnita icCam api tasya sarvatas RaG_19.27c
   vicakṣaṇaḥ prastutam ācacakṣe Ragh_5.19d	vicakzaNaH prastutam Acacakze Rau _5.19d
   vicāramūdhaḥ pratibhāsi me tvam Ragh_2.47d	vicAra mUDaH pratiBAsi me tvam RaG_2.47d
   vicchinnadhūmaprasarā gavākṣāḥ Ragh_16.20d	vicCinna DUma prasarAH gavAkzAH Rau _16.20d
   vijayadundubhitāṃ yayur arṇavā Ragh_9.11c	vijaya dunduBitAm yayuH arNavAH Rau _9.11c
   vijayinam abhinandya ślāghyajāyāsametam Ragh_7.71b	vijayinam aBinandya SlAGya jAyA sametam RaG_7.71b
   vijigīṣor gatādhvanaḥ Ragh_4.46b	vijigIzoH gatADvanaH RaG_4.46b
   vijitāripuraḥ puraḥ Ragh_1.59b	vijita ari puraH puras RaG_1.59b
   vijṛmbhaṇodgandhiṣu kuḍ maleṣu Ragh_16.47b	vijRmBaNa udganDizu kux malezu RaG_16.47b
   vijñāpaya prāpitamatpraṇāmaḥ Ragh_14.60b	vijQApaya prApita mad praNAmaH RaG_14.60b
   vijñāpitā prītatarā babhūva Ragh_2.67b	vijQApitA prItatarA baBUva RaG_2.67b
   vijñāpito 'bhūd gurudakṣiṇāyai Ragh_5.20b	vijQApitaH aBUt guru dakziNAyE RaG_5.20b
   viḍambayaty astanimagnasūryaṃ Ragh_16.11c	vixambayati asta nimagna sUryam RaG_16.11c
   viḍambyamānā navakandalais te Ragh_13.29c	vixambyamAnAH nava kandalEH te Rau _13.29c
   viḍaujasā viṣṇur ivāgrajena Ragh_14.59c	vixa ojasA vizNuH iva agrajena RaG_14.59c
   vitamasā tamasārasyūtaṭāḥ Ragh_9.16d	vitamasA tamasA arasyU tawAH Rau _9.16d
   vitānasahitaṃ tatra Ragh_17.28a	vitAna sahitam tatra RaG_17.28a
   vittasya vidyāparisaṃkhyayā me Ragh_5.21c	vittasya vidyA parisaMKyayA me RaG_5.21c
   vidadāra stanau dvijaḥ Ragh_12.22b	vidadAra stanO dvijaH RaG_12.22b
   vidadhe vidhim asya naiṣṭhikaṃ Ragh_8.25c	vidaDe viDim asya nEzWikam RaG_8.25c
   vidarbharājāvarajāṃ vareṇyaḥ Ragh_6.84d	vidarBa rAja avarajAm vareNyaH Rau _6.84d
   viditaṃ tapyamānaṃ ca Ragh_10.40a	viditam tapyamAnam ca RaG_10.40a
   vidīrṇahṛdayaḥ śucā Ragh_12.77d	vidIrNa hRdayaH SucA Rau _12.77d
   viduṣā vidhayo maharddhayaḥ Ragh_8.73c	viduzA viDayaH mahA RdDayaH RaG_8.73c
   viduṣāṃ saṃnataye bahu śrutam Ragh_8.31b	viduzAm saMnataye bahu Srutam RaG_8.31b
   videhādhipateḥ sutā Ragh_12.26b	videha aDipateH sutA RaG_12.26b
   viddhi cāttabalam ojasā harer Ragh_11.76a	vidDi ca Atta balam ojasA hareH RaG_11.76a
   viddhi sārgalam ātmanaḥ Ragh_1.79b	vidDi sArgalam AtmanaH RaG_1.79b
   vidma he śaṭha palāyanacchalāny Ragh_19.31c	vidma he SaWa palAyana= CalAni Rau _19.31c
   vidyayoḥ pathi munipradiṣṭayoḥ Ragh_11.9b	vidyayoH paTi muni pradizwayoH RaG_11.9b
   vidyānāṃ pāradṛśvanaḥ Ragh_1.23b	vidyAnAm pAradRSvanaH RaG_1.23b
   vidyām abhyasaneneva Ragh_1.88c	vidyAm aByasanena iva RaG_1.88c
   vidyudairāvatāv iva Ragh_1.36d	vidyut ErAvatO iva RaG_1.36d
   vidrutakratumṛgānausāriṇaṃ Ragh_11.44c	vidruta kratu mRga anOsAriNam RaG_11.44c
   vidvān api tayor dvāḥstahaḥ Ragh_15.94a	vidvAn api tayoH dvAHH tahaH RaG_15.94a
   vidhāya sṛṣṭiṃ lalitām vidhātur Ragh_6.37c	viDAya sRzwim lalitAm viDAtuH RaG_6.37c
   vidhitaḥ kaitavavatsalas tava Ragh_8.49b	viDitaH kEtava vatsalaH tava RaG_8.49b
   vidhibhiḥ samidāharaiḥ Ragh_1.49*b	viDiBiH samiD AharEH RaG_1.49*b
   vidhṛtāsiḥ praviśya saḥ Ragh_12.40b	viDRtA asiH praviSya saH RaG_12.40b
   vidher adhikasaṃbhāras Ragh_15.62a	viDeH aDika saMBAraH RaG_15.62a
   vidheḥ sāyantanasyānte Ragh_1.56a	viDeH sAyantanasya ante RaG_1.56a
   vidhyantam uddhatasaṭāḥ pratihantum īṣuḥ Ragh_9.60b	viDyantam udData sawAH pratihantum IzuH RaG_9.60b
   vinayante sma tadyodhā Ragh_4.65a	vinayante sma tad yoDAH RaG_4.65a
   vinayenāsya navaṃ ca yauvanam Ragh_8.6d	vinayena asya navam ca yOvanam Rau _8.6d
   vināśāt tasya vṛkṣasya Ragh_15.21a	vinASAt tasya vRkzasya RaG_15.21a
   vināśya rakṣyaṃ svayam akṣatena Ragh_2.56d	vinASya rakzyam svayam akzatena RaG_2.56d
   vininyur enaṃ guravo gurupriyam Ragh_3.29b	vininyuH enam guravaH guru priyam RaG_3.29b
   vinivṛttaṃ kim idaṃ tayā vinā Ragh_8.50b	vinivRttam kim idam tayA vinA RaG_8.50b
   viniśvasadvaktraparaṃpareṇa Ragh_6.40b	viniSvasat vaktra paraMpareNa RaG_6.40b
   vinītanāgaḥ kila sūtrakārair Ragh_6.27c	vinIta nAgaH kila sUtrakArEH RaG_6.27c
   vinītādhvaśramās tasya Ragh_4.67a	vinIta aDva SramAH tasya RaG_4.67a
   vinītena garutmatā Ragh_10.13d	vinItena garutmatA Rau _10.13d
   vineṣyan varṇavikriyām Ragh_15.48b	vinezyan varNa vikriyAm RaG_15.48b
   vinodayiṣyanti navābhiṣaṅgām Ragh_14.77c	vinodayizyanti nava aBizaFgAm Rau _14.77c
   vindhyasya meghaprabhavā ivāpaḥ Ragh_14.8d	vinDyasya meGa praBavAH iva apaH Rau _14.8d
   vindhyasya saṃstambhayitā mahādrer Ragh_6.61a	vinDyasya saMstamBayitA mahA adreH RaG_6.61a
   vindhyādriḥ prakṛtāv iva Ragh_12.31d	vinDya adriH prakRtO iva RaG_12.31d
   vinyastasāyantanamallikeṣu Ragh_16.50b	vinyasta sAyantana mallikezu RaG_16.50b
   vipad utpattimatām upasthitā Ragh_8.83b	vipad utpattimatAm upasTitA RaG_8.83b
   vipākavisphūrjathur aprasahyaḥ Ragh_14.62d	vipAka visPUrjaTuH aprasahyaH Rau _14.62d
   vipāṭayām āsa yuvā nakhāgraiḥ Ragh_6.17d	vipAwayAm Asa yuvA naKa agrEH Rau _6.17d
   vipināni prakāśāni Ragh_4.31c	vipinAni prakASAni RaG_4.31c
   vipine pārśvacarair alakṣyamāṇaḥ Ragh_9.72b	vipine pArSva carEH alakzyamANaH RaG_9.72b
   vipulakaṇṭhaniṣaktaśarāsanaḥ Ragh_9.50b	vipula kaNWa nizakta SarAsanaH RaG_9.50b
   vipra ity abhibhavaty api tvayi Ragh_11.84b	vipraH iti aBiBavati api tvayi RaG_11.84b
   viprakṛṣṭāś ca te yataḥ Ragh_17.45b	viprakRzwAH ca te yatas RaG_17.45b
   vipralambhapariśaṅkino vacaḥ Ragh_19.18d	vipralamBa pariSaFkinaH vacaH Rau _19.18d
   viproṣitakumāraṃ tad (?) Ragh_12.11a	viprozita kumAram tat (?) RaG_12.11a
   vibhaktam apy ekasutena tat tayoḥ Ragh_3.24c	viBaktam api eka sutena tat tayoH RaG_3.24c
   vibhaktātmā vibhus tāsām Ragh_10.66a	viBakta AtmA viBuH tAsAm RaG_10.66a
   vibhave 'pi sati tvayā vinā Ragh_8.69a	viBave api sati tvayA vinA RaG_8.69a
   vibhātakalpāṃ rajanīṃ vyaḍambayat Ragh_3.2Bd	viBAta kalpAm rajanIm vyaxambayat RaG_3.2Bd
   vibhāvarya iva dhruvam Ragh_17.35d	viBAvaryaH iva Druvam Rau _17.35d
   vibhāvasuḥ sārathineva vāyunā Ragh_3.37a	viBAvasuH sAraTinA iva vAyunA RaG_3.37a
   vibhūtayays tadīyānāṃ Ragh_4.19c	viBUtayayH tadIyAnAm RaG_4.19c
   vibhūṣaṇapratyupahārahastam Ragh_16.80a	viBUzaNa pratyupahAra hastam RaG_16.80a
   vibheje carusaṃjñitam Ragh_10.55b	viBeje caru saMjQitam RaG_10.55b
   vimalayan malayaṃ nagam atyajat Ragh_9.25d	vimalayan malayam nagam atyajat RaG_9.25d
   vimānaṃ navam udvedi Ragh_17.9c	vimAnam navam udvedi RaG_17.9c
   viyadgataḥ puṣpakacandraśālāḥ Ragh_13.40c	viyat gataH puzpaka candraSAlAH RaG_13.40c
   viraktasaṃdhyākapiśaṃ purastād Ragh_13.64a	virakta saMDyA kapiSam purastAt RaG_13.64a
   viracitā madhunopavanśriyām Ragh_9.32a	viracitAH maDunA upavanSriyAm RaG_9.32a
   virajaskair nabhasvadbhir Ragh_10.74c	virajaskEH naBasvadBiH Rau _10.74c
   virataṃ geyam ṛtur nirutsavaḥ Ragh_8.66b	viratam geyam RtuH nirutsavaH RaG_8.66b
   viratābhyantaraṣaṭpadasvanam Ragh_8.55d	virata aByantara zawpada svanam Rau _8.55d
   virarāja rathapṛṣṭhair Ragh_15.10c	virarAja raTa pRzWEH RaG_15.10c
   virarājodite sūrye Ragh_17.26c	virarAja udite sUrye Rau _17.26c
   virahayan malayādrim udaṅmukhaḥ Ragh_9.25*b	virahayan malaya adrim udaFmuKaH RaG_9.25*b
   virahaḥ kim ivānutāpayed Ragh_8.89c	virahaH kim iva anutApayet RaG_8.89c
   virahe tava me guruvyathaṃ Ragh_8.60c	virahe tava me guru vyaTam RaG_8.60c
   virādho nāma rākṣasaḥ Ragh_12.28b	virADaH nAma rAkzasaH RaG_12.28b
   viruruce ruruceṣṭitabhūmiṣu Ragh_9.51d	viruruce ruru cezwita BUmizu Rau _9.51d
   vilaṅghitādhoraṇatīvrayatnāḥ Ragh_5.48c	vilaFGita aDoraNa tIvra yatnAH RaG_5.48c
   vilajjamānāṃ rahasi pratītaḥ Ragh_14.27c	vilajjamAnAm rahasi pratItaH RaG_14.27c
   vilapann iti kosalādhipaḥ Ragh_8.70a	vilapan iti kosala aDipaH RaG_8.70a
   vilambitaphalaiḥ kālaṃ Ragh_1.33c	vilambita PalEH kAlam RaG_1.33c
   vilalāpa sa bāṣpagadgadaṃ Ragh_8.43a	vilalApa sa bAzpa gadgadam RaG_8.43a
   vilasitapadam ādyaṃ yauvanaṃ sa prapede Ragh_18.52d	vilasita padam Adyam yOvanam sa prapede Rau _18.52d
   vilāpācāryakaṃ śaraiḥ Ragh_12.78d	vilApa AcAryakam SarEH Rau _12.78d
   vilāsinīnām aratikṣamāpi Ragh_18.19c	vilAsinInAm arati kzamA api Rau _18.19c
   vilāsinīvibhramadantapattram Ragh_6.17a	vilAsinI viBrama danta pattram RaG_6.17a
   vilāsibhiś cādhyuṣitāni pauraiḥ Ragh_14.30c	vilAsiBiH ca aDyuzitAni pOrEH RaG_14.30c
   viluptam antaḥpurasundarīṇāṃ Ragh_16.59a	viluptam antaHpura sundarINAm RaG_16.59a
   vilokanāya tvarayā vrajantī Ragh_7.10*b	vilokanAya tvarayA vrajantI RaG_7.10*b
   vilokayantyo vapur āpur akṣṇāṃ Ragh_2.11c	vilokayantyaH vapuH ApuH akzNAm RaG_2.11c
   vilokya lokatrayagītakīrtiḥ Ragh_14.44b	vilokya lokatraya gIta kIrtiH RaG_14.44b
   vilocanaṃ dakṣiṇam añjanena Ragh_7.8a	vilocanam dakziNam aQjanena RaG_7.8a
   vilocaneṣu pratimuktam āsām Ragh_16.59d	vilocanezu pratimuktam AsAm Rau _16.59d
   vilolaghaṇṭākvaṇitena nāgaḥ Ragh_7.41b	vilola GaNwA kvaNitena nAgaH RaG_7.41b
   vilolanetrabhramarair gavākṣāḥ Ragh_7.11c	vilola netra BramarEH gavAkzAH RaG_7.11c
   vilolahāraḥ saha tābhir apsu Ragh_16.68b	vilola hAraH saha tABiH apsu RaG_16.68b
   vivarṇabhāvaṃ sa sa bhūmipālaḥ Ragh_6.67d	vivarNa BAvam sa sa BUmipAlaH Rau _6.67d
   vivaśā śāpanivṛttikāraṇam Ragh_8.81d	vivaSA SApa nivRtti kAraNam RaG_8.81d
   vivaśā śāpanivṛttikāraṇam Ragh_8.82d	vivaSA SApa nivRtti kAraNam RaG_8.82d
   vivāhadīkṣāṃ niravartayad guruḥ Ragh_3.33b	vivAha dIkzAm niravartayat guruH RaG_3.33b
   vivāhadhūmāruṇalocanaśrīḥ Ragh_13.29d	vivAha DUma aruNa locana SrIH Rau _13.29d
   vivṛtātmā nṛpāya saḥ Ragh_15.93b	vivRta AtmA nRpAya saH RaG_15.93b
   vivṛddhim atrāśnuvate vasūni Ragh_13.4b	vivRdDim atra aSnuvate vasUni RaG_13.4b
   viveśa ca purīṃ laṅkāṃ Ragh_12.79Bc	viveSa ca purIm laFkAm RaG_12.79Bc
   viveśa daṇḍakāraṇyaṃ Ragh_12.9c	viveSa daNxaka araNyam RaG_12.9c
   viveśa bhuvam ākhyātum Ragh_12.91c	viveSa Buvam AKyAtum RaG_12.91c
   viveśa mañcāntararājamārgaṃ Ragh_6.10c	viveSa maQca antara rAjamArgam RaG_6.10c
   viveṣa saudhodgatalājavarṣām Ragh_14.10c	viveza sODa udgata lAja varzAm RaG_14.10c
   viśadacandrakaraṃ sukhamārutaṃ Ragh_9.28*a	viSada candra karam suKa mArutam RaG_9.28*a
