   saptama ucchvāsaḥ	saptamaH ucCvAsaH
   gurubhirguṇairāropitabahumānaḥ kumāre sudūramābhogātapatravyatikareṇa tu	guruBiH-guNEH-Aropita-bahu-mAnaH kumAre su-dUram-ABoga-Atapatra-vyatikareNa tu
   parāṃ koṭimāropite premṇi lajjamāna iva sādaraṃ jagāda--"haṃsavega!	parAm kowim-Aropite premNi lajjamAnaH iva sa-Adaram jagAda--"-haMsa-vega!
   kathamiva tādṛśi mahātmani mahābhijane puṇyarāśau guṇīnāṃ prāgrahare	kaTam-iva tAdRSi mahAtmani mahA-aBijane puNya-rASO guNInAm prAgrahare
   parokṣasuhṛdi snihyati madvidhasyānyathā svapne 'pi pravarteta manaḥ /	parokza-suhRdi snihyati madviDasya-anyaTA svapne api pravarteta manaH /
   sakalajagaduttāpanapaṭavo 'pi śiśirāyante tribuvananayanānandakare	sakala-jagat-uttApana-pawavaH api SiSirAyante tribuvana-nayana-Ananda-kare
   kamalākare karāstigmatejasaḥ. subahuguṇakrītāsca ke vayaṃ sakhyasya /	kamala-Akare karAH-tigma-tejasaH. su-bahu-guNa-krItAH-ca ke vayam saKyasya /
   sajjanamādhuryāṇāmabhṛtadāsyo daśa diśaḥ /	sat-jana-mADuryANAm-aBRta-dAsyaH daSa diSaH /
   ekāntāvadātottānasvabhāvasaṃbhṛtasādṛśyasya kumudasya kṛte kenābhihitaḥ	ekAnta-avadAta-uttAna-svaBAva-saMBRta-sAdRSyasya kumudasya kRte kena-aBihitaH
   śiśiraraśmiḥ /	SiSira-raSmiH /
   śreyāṃśca saṃkalpaḥ kumārasya svayaṃ bāhuśālī mayi ca samālambitaśarāsane	SreyAn=-ca saMkalpaH kumArasya svayam bAhu-SAlI mayi ca samAlambita-SarAsane
   suhṛdi harādṛte kamanyaṃ namasyati /	suhRdi harAt-Rte kam-anyam namasyati /
   saṃvardhitā me prītiramunā saṃkalpena /	saMvarDitA me prItiH-amunA saMkalpena /
   avalepini paśāvapi kesariṇi bahumāno hṛdayasya kiṃ punaḥ suhṛdi /	avalepini paSO=-api kesariNi bahu-mAnaH hRdayasya kim punar suhRdi /
   tattathā yateṣāḥ yathā na ciramiyamasmānkleśayati kumāradarśanotkaṇṭhā'	tat-taTA yatezAH yaTA na ciram-iyam-asmAn-kleSayati kumAra-darSana-utkaNWA-a
   iti /	iti /
   haṃsavegastu vijñāpayāṃbabhūva--"deva! kimaparamidānīṃ	haMsavegaH-tu vijQApayAMbaBUva---"deva! kim-aparam-idAnIm
   kleśayatyabhijātamabhihitaṃ deveva /	kleSayati-aBijAtam-aBihitam deveva /
   sevābhīravo hi santaḥ, tatrāpi viśeṣeṇāyamahaṅkāradhano vaiṣṇavo vaṃśaḥ /	sevA-BIravaH hi santaH, tatra-api viSezeNa-ayam-ahaFkAra-DanaH vEzNavaH vaMSaH /
   āstāṃ tāvadasmatsvāmivaṃśaḥ /	AstAm tAvat-asmad-svAmi-vaMSaH /
   paśyatu devaḥ puruṣasya hi sevāṃ prati durjananyevātivṛddhayā durgatyā	paSyatu devaH puruzasya hi sevAm prati durjanani-eva-ati-vRdDayA durgatyA
   vābhimukhīkriyamāṇasya, kuṭumbinyevāsaṃtuṣṭayā tṛṣṇayā vā preryamāṇasya,	vA-aBimuKIkriyamANasya, kuwumbinI-eva-asaMtuzwayA tRzNayA vA preryamANasya,
   durapatyairiva	durapatyEH-iva
   yauvanajanitairnānābhilāṣibhirasatsaṃkalpairvākulīkriyamāṇasya,	yOvana-janitEH-nAnA-aBilAziBiH-asat-saMkalpEH-vAkulIkriyamANasya,
   jaratkumārīmiva paramārgaṇayogyāmatimahatīṃ vā avasthāṃ paśyataḥ, stagṛhe	jarat-kumArIm-iva para-mArgaNa-yogyA-m-ati-mahatIm vA avasTAm paSyataH, stagRhe
   durbandhubhiriva duḥsthitaiḥ samagrairgrahairvā grāhyamāṇasyābhiyogaṃ,	durbanDuBiH-iva duHsTitEH samagrEH-grahEH-vA grAhyamANasya-aBiyogaM,
   purātanairatidustyajairbhṛtyairiva malinaiḥ karmabhirvānuvartyamānasya,	purAtanEH-ati-dustyajEH-BRtyEH-iva malinEH karmaBiH-vA-anuvartyamAnasya,
   sakalaśarīrasaṃtāpakaraṃ karīṣāgnimiva duṣkṛtinaḥ kṛtacittsya saṃpraveṣṭuṃ	sakala-SarIra-saMtApa-karam karIza-agnim-iva duzkRtinaH kRta-cittsya saMpravezwum
   rājakulamupahatasakalendriyaśakteriva mithyaiva	rAja-kulam-upahata-sakala-indriya-SakteH-iva miTyA-eva
   hṛdayagataviṣayagrāmagrahaṇābhilāṣasya, prathamameva toraṇatale	hRdaya-gata-vizaya-grAma-grahaNa-aBilAzasya, praTamam-eva toraNa-tale
   vantanamālākisalayasyeva śuṣyato dvārarakṣibhirniruddhasya, pīḍitasya	vantana-mAlA-kisalayasya-iva SuzyataH dvAra-rakziBiH-nirudDasya, pIxitasya
   praviśato dvāre hariṇasyevāparairhanyamānasya, karikarmacarmapuṭasyeva	praviSataH dvAre hariNasya-iva-aparEH-hanyamAnasya, kari-karma-carma-puwasya-iva
   muhurmuhuḥ pratihāramaṇḍalakaraprahārairnirasyamānasya,	muhur-muhur pratihAra-maNxala-kara-prahArEH-nirasyamAnasya,
   nidhipādapaprarohasyeva draviṇābilāṣādadhomukhībhavataḥ,	niDi-pAdapa-prarohasya-iva draviNa-abilAzAt-aDomuKI-BavataH,
   dūramamārgaṇasyāpyativiprakṛṣṭavivṛtavisarjitasyodvegaṃ vrajataḥ,	dUram-amArgaNasya-api-ati-viprakRzwa-vivRta-visarjitasya-udvegam vrajataH,
   akaṇṭakasyāpi caraṇatalalagnasyākṛṣya kṣepīyaḥ kṣipyamāṇasya,	akaNwakasya-api caraNa-tala-lagnasya-AkRzya kzepIyaH kzipyamANasya,
   amakaraketorapyakālopasarpaṇāprakupiteśvaradṛṣṭidagdhasya,	amakara-ketoH-api-akAla-upasarpaNa-aprakupita-ISvara-dRzwi-dagDasya,
   pralayamupagacchataḥ kaperiva kopanirbhartsitasyāpyabhinnamukharāgasya,	pralayam-upagacCataH kapeH-iva kopa-nirBartsitasya-api-aBinna-muKa-rAgasya,
   brahnagna iva pratidivasavandanodghṛṣṭaśiraḥkapālasya,	brahnagnaH iva pratidivasa-vandana-udGRzwa-SiraH-kapAlasya,
   sparśarahitasyāśubhakarmāṇi nirvahataḥ, triśaṅkorivobhayalokabhraṣṭasya	sparSa-rahitasya-aSuBa-karmANi nirvahataH, tri-SaFkoH-iva-uBaya-loka-Brazwasya
   naktandinamavākśirasastiṣṭhataḥ, vājina iva kavalavaśena	naktandinam-avAkSirasaH-tizWataH, vAjinaH iva kavala-vaSena
   sukhavāhyamātmānaṃ vidadhānasya, anaśanaśāyina iva	suKa-vAhyam-AtmAnam vidaDAnasya, anaSana-SAyinaH iva
   hṛdayasthāpitajīvanāśasya, śarīraṃ kṣapayataḥ śuna iva	hRdaya-sTApita-jIvanASasya, SarIram kzapayataH SunaH iva
   nijadāraparāhmukhasya, jaghanyakarmalagnamā mānaṃ tāḍayataḥ,	nija-dAra-parAhmuKasya, jaGanya-karma-lagnamAH mAnam tAxayataH,
   pretasyevānucitabhūmidīyamānānnapiṇḍasya, balibhuja iva	pretasya-iva-anucita-BUmi-dIyamAna-anna-piNxasya, bali-BujaH iva
   jihvālaulyopayuktapuruṣavarcaso vṛthā vihitāyuṣo jīvitaḥ,	jihvA-lOlya-upayukta-puruza-varcasaH vRTA vihita-AyuzaH jIvitaH,
   śmaśānapādapāniva piśācaraya dagdhabhūtyā	SmaSAna-pAdapAn-iva piSAcaraya dagDa-BUtyA
   paruṣīkṛtānrājavallabhānupasarpataḥ	paruzIkRtAn-rAja-vallaBAn-upasarpataH
   viparītajihvājanitamādhuryairoṣṭhamātraprakaṭitarāgai rājaśukālāpaiḥ	viparIta-jihvA-janita-mADuryEH-ozWa-mAtra-prakawita-rAgEH rAja-Suka-AlApEH
   śiśoriva mugdhavilobhyamānasya, vetālasyeva narendraprabhāvāviṣṭasya na	SiSoH-iva mugDa-viloByamAnasya, vetAlasya-iva narendra-praBOva-Avizwasya na
   kiñcinnācarataḥ, citradhanuṣa ivālīkaguṇādhyāropaṇaikakriyānityanamrasya	kiQcinnAcarataH, citra-DanuzaH iva-alIka-guNa-aDyAropaNa-eka-kriyA-nitya-namrasya
   nirvāṇatejasaḥ, saṃmārjanīsamupārjitarajaso 'vakarakūṭasyeva	nirvANa-tejasaH, saMmArjanI-samupArjita-rajasaH avakara-kUwasya-iva
   nirmālyavāhinaḥ, kaphavikāriṇa iva dine dine kaṭukairudvejyamānasya,	nirmAlya-vAhinaH, kaPa-vikAriNaH iva dine dine kawukEH-udvejyamAnasya,
   saugatasyevārthaśūnyavijñaptijanitavairāgyasya kāṣāyāṇyabhilaṣataḥ,	sOgatasya-iva-arTa-SUnya-vijQapti-janita-vErAgyasya kAzAyANi-aBilazataH,
   niśāsvapi mātṛbalipiṇḍasyeva dikṣu vikṣipyamāṇasya, aśaucagatasyeva	niSAsu-api mAtR-bali-piNxasya-iva dikzu vikzipyamANasya, aSOca-gatasya-iva
   kuśayanacanitasamadhikataraduḥkhavṛtteḥ, tulāyantrasyeva	kuSayana-canita-sam-aDikatara-duHKa-vRtteH, tulAyantrasya-iva
   paścātkṛtagauravasya toyārthamapi namataḥ, atikṛpaṇasya śirasā	paScAt-kRta-gOravasya toya-arTam-api namataH, ati-kRpaNasya SirasA
   kevalenāsaṃtuṣṭasya vacasāpi pādau spṛśataḥ,	kevalena-asaMtuzwasya vacasA-api pAdO spRSataH,
   nirdayavetrivetratāḍanatrastayeva trapayātyaktasya,	nirdaya-vetri-vetra-tAxanatrastayA-iva trapayA-tyaktasya,
   dainyasaṃkocitahṛdayahṛtāvakāśayevāhopuruṣikayā parivarjitasya,	dEnya-saMkocita-hRdaya-hRta-avakASayevAhopuruzikayA parivarjitasya,
   kutsitakarmā ṅgīkaraṇakupitayevonnatyā viyuktasya, dhanaśraddhayā	kutsita-karmA FgIkaraNa-kupita-yA-iva-unnatyAH viyuktasya, Dana-SradDayA
   kleśānupārjayataḥ. svavṛddhibuddhyāvamānaṃ saṃvardhayato mūḍhasya, satyapi	kleSAnupArjayataH. sva-vRdDi-budDyA-avamAnam saMvarDayataH mUXasya, sati-api
   vividhakusumādhivāsasurabhiṇi vane tṛṣṇāyāñjalimuparacayataḥ,	viviDa-kusuma-aDivAsa-suraBiNi vane tRzNAya-aQjalim-uparacayataH,
   kulaputrasyāpi kṛtāgasa iva bhītabhītasya samīpamupasarpataḥ,	kula-putrasya-api kRta-AgasaH iva BIta-BItasya samIpam-upasarpataH,
   darśanīyasyāpyālekhyakusumasyeva niṣphalajanmanaḥ, viduṣo 'pi	darSanIyasya-api-AleKya-kusumasya-iva nizPala-janmanaH, viduzaH api
   vedheyasyevāpaśabdamukhasya, śaktimato 'pi śvitriṇa iva	veDeyasya-iva-apa-Sabda-muKasya, SaktimataH api SvitriNaH iva
   saṃkocitakarayugalasya, samasamutkarṣeṣu niragnipacyamānasya,	saMkocita-kara-yuga-lasya, sama-samutkarzezu niragni-pacyamAnasya,
   nīcasamīkaraṇeṣu nirucchvāsaṃmriyamāṇasya, paribhavaistṛṇīkṛtasya,	nIca-samIkaraNezu nirucCvAsaMmriyamANasya, pariBavEH-tRNIkRtasya,
   duḥkhānilenānirvṛterjvalataḥ, bhaktasyāpyabhaktasya, nirūṣmaṇaḥ	duHKa-anilena-anirvRteH-jvalataH, Baktasya-api-aBaktasya, nirUzmaNaH
   saṣantāpayato bandhūn, vimānasyāpyagatikasya, cyutagauravasyāpyadhastād	sazantApayataH banDUn, vimAnasya-api-agatikasya, cyuta-gOravasya-api-aDastAt-
   gacchataḥ, niḥsattvasyāpi mahāmāṃsavikrayaṃ kurvataḥ,	gacCataH, niHsattvasya-api mahAmAMsa-vikrayam kurvataH,
   nirmadasyāpyasvatantravṛtteḥ, ayogino 'pi dhyānavaśokṛtātmanaḥ,	nirmadasya-api-asvatantra-vRtteH, ayoginaH api DyAna-vaSaH-kRta-AtmanaH,
   śayyotthāyaṃ praṇamato dagdhamuṇḍasya, gotravidūṣakasya naktandinaṃ	SayyA-utTAyam praNamataH dagDa-muNxasya, gotra-vidUzakasya naktandinam
   nṛtyato manasvijanaṃ hāsayataḥ, kulāhgārasya vaṃśaṃ dahataḥ, nṛpaśostṛṇe	nRtyataH manasvi-janam hAsayataH, kula-AhgArasya vaMSam dahataH, nRpaSostRNe
   'pi labde kandharāmavanamayataḥ, jaṭharaparipūraṇamātraprayojanajanmano	api labde kanDarAm-avanamayataH, jaWara-paripUraNa-mAtra-prayojana-janmanaH-
   māṃsapiṇḍasya garbharogasyamātuḥ, apuṇyānāṃ kamaṇāmācaraṇād bhṛtakasya kiṃ	mAMsa-piNxasya garBa-rogasyamAtuH, apuNyAnAm kamaNAmAcaraNAt BRtakasya kim
   prāyaścittam, kā pratipattikriyā, vka gatasya śāntiḥ, kīdṛśaṃ jīvitam, kaḥ	prAyaScittam, kA pratipatti-kriyA, vka gatasya SAntiH, kIdRSam jIvitam, kaH
   puruṣābhimānaḥ, kiṃnāmāno vilāsāḥ, kīdṛśo bhogaśraddhā, prabalapaṅka iva	puruza-aBimAnaH, kiMnAmAnaH vilAsAH, kIdRSaH Boga-SradDA, prabala-paFkaH iva
   sarvamadhastānnayati dāruṇo dāsaśabdaḥ dhiktaducchvasitamupayātu nidhanaṃ	sarvam-aDastAt-nayati dAruNaH dAsa-SabdaH Dik-tad-ucCvasitam-upayAtu niDanam
   dhanam, abhavanirbhūterastu tasyā namo bhagavadbhyastebhyaḥ	Danam, aBava-nirBUteH-aH-tu tasyAH namaH BagavadByaH-teByaH
   sukhebhyastasyāyamañjaliraiśvaryasya tiṣṭhatu dūra eva sā śrīḥ śivaṃ sa	suKeByaH-tasya-ayam-aQjaliH-ESvaryasya tizWatu dUraH eva sA SrIH Sivam sa
   paricchadaḥ karotu yadarthamuttamāṅgaṃ gā	paricCadaH karotu yad-arTam-uttamAFgam gA
   gamiṣyatyaśāpānugrahakṣamastapasvī mukhapriyarataḥ klībo pūtimāṃsamayaḥ	gamizyati-aSApa-anugraha-kzamaH-tapasvI muKa-priya-rataH klIbaH pUti-mAMsa-mayaH
   kṛmiragaṇyamāno narakaḥ, pādarajodhūsarottamāhgo jaṅgamaḥ pādapīṭhaḥ	kRmiH-agaNyamAnaH narakaH, pAda-rajaH-DUsara-uttamA-hgaH jaFgamaH pAda-pIWaH
   puṃskokilaḥ kākuvkaṇiteṣu, śikhī mukhakarakekāsu, sthūlakūrma	puMskokilaH kAkuvkaNita-izu, SiKI muKa-kara-kekAsu, sTUlakUrma
   kroḍakaṣaṇeṣu, śvā nīcacāṭukaraṇeṣu, kṛkalāsaḥ śiroviḍambanāsu, jāhaka	kroxa-kazaNezu, SvA nIca-cAwu-karaNezu, kRkalAsaH SiraH-vixambanAsu, jAhaka
   ātmasaṃkocaneṣu, veṇurmūrcchanāsu, veśyākāyaḥ karaṇabandhakleśeṣu, palālaṃ	Atma-saMkocana-izu, veNuH-mUrcCanAsu, veSyA-kAyaH karaNa-banDa-kleSa-izu, palAlam
   sattvaśāliṣu, pratipādakaḥ pādasaṃvāhanāsu, kandukaḥ karatalatāḍaneṣu,	sattva-SAlizu, pratipAdakaH pAda-saMvAhana-asu, kandukaH kara-tala-tAxanezu,
   vīṇādaṇḍaḥ koṇābighāteṣu, varākaḥ sevako 'pi martyamadhye rājilo 'pi vā	vINA-daNxaH koNA-biGAta-izu, varAkaH sevakaH api martya-maDye rAjilaH api vA
   bhogī, pulāko 'pi vā kalamo, varaṃ kṣaṇamapi kṛtā mānavatā mānavatā na	BogI, pulAkaH api vA kalamo, varam kzaNam-api kRtA mAnavatA mAnavatA na
   mato namatastrailokyādhirājyopabhogo 'pi manasvinaḥ /	mataH namataH-trElokya-aDirAjya-upaBogaH api manasvinaH /
   tadevamabhinanditāsmadīyapraṇayo devo 'pi divasaiḥ katipayaireva parāgataḥ	tat-evam-aBinandita-asmadIya-praNayaH devaH api divasEH katipayEH-eva parAgataH
   prāgjyotiṣeśvara iti karotu cetasi' ityuktvā tūṣṇīmabhūt /	prAgjyotiza-ISvaraH iti karotu cetasi-a iti-uktvA tUzNIm-aBUt /
   cirācca namaskṛtya nirjagāma /	cirAt-ca namaskRtya nirjagAma /
   rājāpi rajanīṃ tāṃ kumāradarśanautsukyasvīkṛtahṛdayaḥ samanaiṣīt /	rAjA-api rajanIm tAm kumAra-darSana-Otsukya-svIkRta-hRdayaH samanEzIt /
   ātmārpaṇaṃ hi mahatāmamūlamantramayaṃ vaśīkaraṇam /	Atma-arpaNam hi mahatAm-amUlamantra-mayam vaSIkaraNam /
   prabāte ca prabhūtaṃ pratiprābhṛtaṃ pradhānapratidūtādhiṣṭhitaṃ dattvā	prabAte ca praBUtam pratiprABRtam praDAna-pratidUta-aDizWitam dattvA
   haṃsavegaṃ prāhiṇot /	haMsa-vegam prAhiNot /
   ātmanāpi tataḥ prabhṛti prayāṇakairanavaratairabhyamitraṃ prāvartata /	AtmanA-api tatas praBRti prayANakEH-anavaratEH-aByamitram prAvartata /
   kadācittu rājyavardhanabhujabalopārjitamaśeṣaṃ	kadAcid-tu rAjya-varDana-Buja-bala-upArjitam-aSezam
   mālavarājasādhanamādāyāgataṃ samīpa evāvāsitaṃ lekhahārakādbhaṇḍimaśṛṇot /	mAlava-rAja-sADanam-AdAya-Agatam samIpaH eva-AvAsitam leKa-hArakAt-BaNxim-aSRNot /
   śrutvā cābhinavībhūtabhrātṛśokahutāśanastaddarśanakātarahṛdayo babhūva	SrutvA ca-aBinavIBUta-BrAtR-Soka-hutASanaH-tad-darSana-kAtara-hRdayaH baBUva
   mūrcchāndhakāramiva viveśātiṣṭhacca samutsṛṣṭasakalavyāpāraḥ	mUrcCA-anDakAram-iva viveSa-atizWat-ca samutsRzwa-sakala-vyApAraH
   pratīhāranivāraṇanibhṛtaniḥśabdaparijane nijamandire	pratIhAra-nivAraNa-niBRta-niHSabda-parijane nija-mandire
   sarājakaparivārastadāgamanamudīkṣamāṇo muhūrtam /	sa-rAjaka-parivAraH-tad-Agamanam-udIkzamANaH muhUrtam /
   atha bhaṇḍirekenaiva vājinā katipayakulaputraparivṛto malinavāsā	aTa BaNxiH-ekena-eva vAjinA katipaya-kula-putra-parivRtaH malina-vAsA
   ripuśaraśalyapūritena nikhātabahulohakīlakaparikararakṣitasphuṭaneneva	ripu-Sara-Salya-pUritena niKAta-bahu-loha-kIlaka-parikara-rakzita-sPuwanena-iva
   hṛdayena, hṛdayalagnaiḥ svāmisatkṛtairiva śmaśrubhiḥ, śucaṃ	hRdayena, hRdaya-lagnEH svAmi-satkRtEH-iva SmaSruBiH, Sucam
   samupadarśayandūrīkṛtavyāyāmaśithilabhujadaṇḍadolāyamānamaṅgalavalayaikaśeṣālahkṛtiranādaropayuktatāmbūlaviralarāgeṇa	samupadarSayan-dUrIkRta-vyAyAma-SiTila-Buja-daNxa-dolAyamAna-maFgala-valaya-eka-Seza-alahkRtiH-anAdara-upayukta-tAmbUla-virala-rAgeNa
   śokadahanadahyamānasya hṛdayasyāṅgāreṇeva,	Soka-dahana-dahyamAnasya hRdayasya-aFgAreNa-iva,
   dīrghaniḥśvāsaveganirgatenādhareṇa śuṣyatā	dIrGa-niHSvAsa-vega-nirgatena-aDareNa SuzyatA
   svāmivirahavidhṛtajīvitāparādhavailakṣyādiva, bāṣpavāripaṭalena paṭeneva	svAmi-viraha-viDRta-jIvita-aparADa-vElakzya-At-iva, bAzpa-vAri-pawalena pawena-iva
   prāvṛtavadanaḥ, viśanniva durbalībhūtaiḥ svāhgamapatrapayāhgairvamanniva	prAvRta-vadanaH, viSan=-iva durbalIBUtEH sva-Ahgama-patra-payAhgEH-vaman=-iva
   ca vṣathībhūtabhujoṣmāṇamāyatairniḥśvasitaiḥ, pātakīva, aparādhīva,	ca vzaTIBUta-Buja-UzmANam-AyatEH-niHSvasitEH, pAtakI-iva, aparADi-iva,
   drohīva, muṣita iva, chalita iva, yūthapatipatanaviṣaṇṇa iva	drohi-iva, muzitaH iva, CalitaH iva, yUTa-pati-patana-vizaNNaH iva
   vegadaṇḍavāraṇaḥ, sūryāstamayaniḥśrīka iva kamalākaraḥ,	vega-daNxa-vAraNaH, sUrya-astamaya-niHSrIkaH iva kamala-AkaraH,
   duryodhananidhanadurmanā iva drauṇiḥ, apahṛtaratna iva sāgaro	duryoDana-niDana-durmanAH iva drONiH, apahRta-ratnaH iva sAgaraH-
   rājadvāramājagāma /	rAja-dvAram-AjagAma /
   avatīrya ca turahgamādavanatamukho viveśa rājamandiram /	avatIrya ca turahgamAt-avanata-muKaH viveSa rAja-mandiram /
   dūrādeva ca vimuktākrandaḥ papāta pādayoḥ /	dUrAt-eva ca vimukta-AkrandaH papAta pAdayoH /
   avanipatirapi dṛṣṭvā tamutthāya praviralaiḥ padaiḥ pratyudgamyotthāpya ca	avanipatiH-api dRzwvA tam-utTAya praviralEH padEH pratyudgamya-utTApya ca
   gāḍhamupagūhya kaṇṭhe karuṇamaticiraṃ ruroda /	gAXam-upagUhya kaNWe karuNam-ati-ciram ruroda /
   śithilībhūtamanyuveghaśca pureva punarāgatya nijāsane niṣasāda /	SiTilIBUta-manyu-veGaH-ca purA-iva punar-Agatya nija-Asane nizasAda /
   prathamaprakṣālitamukhe ca bhaṇḍau mukhamakṣālayat /	praTama-prakzAlita-muKe ca BaNxO muKam-akzAlayat /
   samatikrānte ca kiyatyapi kālakalākalāpe bhrātṛmaraṇavṛttāntamaprākṣīt /	samatikrAnte ca kiyati-api kAla-kalA-kalApe BrAtR-maraNa-vRttAntam-aprAkzIt /
   athākathayacca yathāvṛttamakhilaṃ bhaṇḍiḥ /	aTa-akaTayat-ca yaTAvRttam-aKilam BaNxiH /
   atha narapatistamuvāca--"rājyaśrīvyatikaraḥ kaḥ?' iti /	aTa narapatiH-tam-uvAca--"rAjya-SrI-vyatikaraH kaH?-a iti /
   sa punaravādīt--"deva! deva bhūyaṃ gate deve rājyavardhane guptanāmnā ca	sa punar-avAdIt--"deva! deva BUyam gate deve rAjya-varDane gupta-nAmnA ca
   gṛhīte kuśasthale devī rājyaśrīḥ paribhraśya bandhanādvindhyāṭavīṃ	gRhIte kuSasTale devI rAjya-SrIH pariBraSya banDanAt-vinDya-awavIm
   saparivārā praviṣṭeti lokato vārtāmaśṛṇavam /	sa-parivArA pravizwA-iti lokataH vArtAm-aSRNavam /
   anveṣṭārastu tāṃ prati prabhūtāḥ prahitā janā nādyāpi nivartante' iti /	anvezwAraH-tu tAm prati praBUtAH prahitAH janAH na-adya-api nivartante-a iti /
   taccākarṇya bhūpatirabravīt--"kimanyairanupadibiḥ yatra sā tatra	tat-ca-AkarNya BUpatiH-abravIt---"kim-anyEH-anupadibiH yatra sA tatra
   parityaktānyakṛtyaḥ svayamevāhaṃ yāsyāmi /	parityakta-anya-kRtyaH svayam-eva-aham yAsyAmi /
   bhavānapi kaṭakamādāya pravartatāṃ gauḍābhimukham' /	BavAn-api kawakam-AdAya pravartatAm gOxa-aBimuKam-a /
   ityuktvā cotthāya snānabhuvamagāt /	iti-uktvA ca-utTAya snAna-Buvam-agAt /
   kāritaśokaśmaśruvapanakarmaṇā ca mahāpratīhārabhavanasnātena,	kArita-Soka-SmaSru-vapana-karmaNA ca mahA-pratIhAra-Bavana-snAtena,
   śārīrikavasanakusumāṅgarāgālaṅkārapreṣaṇaprakaṭitaprasādeva bhaṇḍinā	SArIrika-vasana-kusuma-aFgarAga-alaFkAra-prezaNa-prakawita-prasAda-iva BaNxinA
   sārdhamabhukta, nināya ca tenaiva saha vāsaram /	sArDam-aBukta, ninAya ca tena-eva saha vAsaram /
   athāparedyuruṣasyeva bhaṇḍirbhūpālamupasṛtya vyajñāpayat--"paśyatu devaḥ	aTa-aparedyus-uzasya-iva BaNxiH-BUpAlam-upasRtya vyajQApayat--"paSyatu devaH
   śrīrājyavardhanabhujabalārjitaṃ sādhanaṃ saparibarhaṃ mālavarājasya' iti /	SrI-rAjya-varDana-Buja-bala-arjitam sADanam sa-paribarham mAlava-rAjasya-a iti /
   narapatinā sa "evaṃ kriyatām' ityabhyanujñāto darśayābabhūva /	narapatinA sa "evam kriyatAm-a iti-aByanujQAtaH darSaya-AbaBUva /
   tadyāthā--anavaratagalitamadamadirāmodamukharamadhukarajūṭajaṭilakaraṭapaṭṭapaṅkilagaṇḍān,	tad-yATA--ana-varata-galita-mada-madira-Amoda-muKara-maDukara-jUwa-jawila-karawa-pawwa-paFkila-gaNxAn-,
   gaṇḍaśailāniva jahgamān, gambhīragarjitaravāñjaladharāniva	gaNxa-SElAn-iva jahgamAn, gamBIra-garjita-ravAn-jala-DarAn-iva
   mahīmavatīrṇānutphullasaptacchadavanāmodamucaḥ, śaraddivasāniva	mahIm-avatIrNa-anutPulla-saptacCada-vana-Amoda-mucaH, Sarad-divasAn-iva
   puñjabhūtān, anekasahasrasaṃkhyānkariṇaḥ,	puQja-BUtAn, aneka-sahasra-saMKyAn-kariNaH,
   cārucāmīkaracitracāmaramaṇḍalamanoharāṃśca hariṇaraṃhaso harīn,	cAru-cAmIkara-citra-cAmara-maNxala-manoharAn=-ca hariNa-raMhasaH harIn,
   bālātapavisaravarṣiṇāṃ ca kriraṇairanekendrāyudhīkṛtadaśadiśāmalaṅkārāṇāṃ	bAla-Atapa-visara-varziNAm ca kriraNEH-aneka-indrAyuDI-kRta-daSa-diSAm-alaFkArANAm
   viśeṣān, vismayakṛtaḥ smaronmāditamālavīkucaparimaladurlalitāṃśca	viSezAn, vismaya-kRtaH smara-unmAditam-AlavI-kuca-parimala-durlalitAn=-ca
   nijajyotsnāpūraplāvitadigantānapi tārānhārān, uḍupatipādasaṃcayaśūcīni	nija-jyotsnA-pUra-plAvita-diS-antAn-api tArAn-hArAn, uxupati-pAda-saMcaya-SUcIni
   nijayaśāṃsīva bālavyajanāni, jātarūpamayanālaṃ ca nivāsapuṇḍarīkamiva	nija-yaSAMsi-iva bAla-vyajanAni, jAtarUpa-maya-nAlam ca nivAsa-puNxarIkam-iva
   śriyaḥ śvetamātapatram, apsarasa iva bahusamararasasāhasānurāgāvatīrṇā	SriyaH Svetam-Atapatram, apsarasaH iva bahu-samara-rasa-sAhasa-anurAga-avatIrNA
   vāravilāsinīḥ, siṃhāsanaśayanāsandīprabhṛtīni rājyopakaraṇāni,	vAra-vilAsinIH, siMhAsana-Sayana-AsandI-praBRtIni rAjya-upakaraNAni,
   kālāyasaniśyalīkṛtacaraṇayugalaṃ ca sakalaṃ mālavarājalokam, aśeṣāṃśca	kAlAyasa-niSyalIkRta-caraNa-yugalam ca sakalam mAlava-rAja-lokam, aSezAn=-ca
   sasaṃkhyālekhyapatrān, sālaṅkārāpīḍapīḍān kośakalaśān /	sa-saMKyA-leKya-patrAn, sa-alaFkAra-ApIxa-pIxAn koSa-kalaSAn /
   athālocya tatsarvamavanipālaḥ svīkartuṃ yathādhikāramādiśadadhyakṣān	aTa-Alocya tat-sarvam-avanipAlaH svIkartum yaTA-aDikAram-AdiSat-aDyakzAn
   anyasmiṃścāhani hayaireva svasāramanveṣṭumuccacāla vindhyāṭavīmavāpa ca	anyasmin=-ca-ahani hayEH-eva svasAram-anvezwum-uccacAla vinDya-awavIm-avApa ca
   parimitaireva prayāṇakaistām /	parimitEH-eva prayANakEH-tAm /
   atha praviśandūrādeva dahyamānaṣaṣṭikabusavisaravisārivibhāvasūnāṃ	aTa praviSan-dUrAt-eva dahyamAna-zazwika-busa-visara-visAri-viBAva-sUnAm
