   // śrīḥ //	// SrIH //
   śukasaptatiḥ //	SukasaptatiH //
   prabhāvatyāha-kathametat? śukaḥ-asti saṅgamo nāma grāmaḥ /	praBAvati-Aha--kaTam-etat? SukaH-asti saFgamaH nAma grAmaH /
   tatra rāhaḍo nāma rājaputraḥ sakopaḥ /	tatra rAhaxaH nAma rAja-putraH sa-kopaH /
   tasya bhāryā rukmiṇī nāma /	tasya BAryA rukmiNI nAma /
   sa ca tayā sārdhaṃ devayātrāyāṃ calitaḥ /	sa ca tayA sArDam devayAtrAyAm calitaH /
   sā ca narāntaraṃ kaṭākṣayanto tena dṛṣṭā pumāṃśca /	sA ca nara-antaram kawAkzayantaH tena dRzwA pumAn=-ca /
   tataḥ sa tanmithunaṃ tathāvidhaṃ jñātvā tāṃ tadanuraktāṃ mene /	tatas sa tat-miTunam taTAviDam jQAtvA tAm tad-anuraktAm mene /
   uktañca	uktaQca
   baddhamaṇiāi kanto tahea addhacchipicchilā dhāri /	badDa-maNiAi kantaH tahea adDat-Sipit-CilA DAri /
   asasiaṃ pi muṇijjai chaillajanasaṃkule gāme // Suk_59.2 (=280) //	asasiam pi muNijjE SElla-jana-saMkule gAme // Suc-_59.2 (=280) //
   [baddhahṛdayāyāḥ kāntaḥ tathaiva arddhākṣapicchilā vāmā /	[badDa-hRdayAyAH kAntaH taTA-eva ardDa-akza-picCilA vAmA /
   niḥśvasitamapi jñākṣayate vidagdhajanasaṃkule grāme] // Suk_59.2* (=280*)	niHSvasitam-api jQAkzayate vidagDa-jana-saMkule grAme] // Suc-_59.2* (=280*)
   tāṃ tathāvidhāṃ vikṛtāṃ jñātvā ca rāhaḍo gṛhamagamat /	tAm taTAviDAm vikRtAm jQAtvA ca rAhaxaH gRham-agamat /
   dhikkṛtya paruṣākṣarairgṛhāntare yantritāṃ dhārayāmāsa /	DikkRtya paruza-akzarEH-gRha-antare yantritAm DArayAmAsa /
   sā ca cintayati-mama janma jīvitaṃ yauvanaṃ ca tadā saphalaṃ yadā etasya	sA ca cintayati-mama janma jIvitam yOvanam ca tadA saPalam yadA etasya
   pratyakṣaṃ narāntaramupabhokṣye /	pratyakzam nara-antaram-upaBokzye /
   pratijñātaṃ ca manasā dṛḍham /	pratijQAtam ca manasA dRXam /
   tata ātmoyapratijñāṃ kathaṃ nirvāhayatviti praśnaḥ /	tatas Atmoya-pratijQAm kaTam nirvAhayatu-iti praSnaH /
   śukaḥ-tataḥ sā kadācittaṃ hṛdayasthaṃ naraṃ gṛhapārśve gacchantaṃ dṛṣṭvā	SukaH-tataH sA kadAcid-tam hRdaya-sTam naram gRha-pArSve gacCantam dRzwvA
   taṃ pratyāha-adya rātrau tvayāsmadgṛhāṅgaṇasthaciñciṇīmūle	tam pratyAha-adya rAtrO tvayA-asmad-gRha-aFgaNa-sTa-ciQciNI-mUle
   nijakāyākāragartāyāmūrdhvaliṅginā śayanaṃ vidheyamiti /	nija-kAya-akAra-gartAyAm-UrDva-liFginA Sayanam viDeyam-iti /
   sa tatheti pratijñāya rātrau tathā bhūtvā sthitaḥ /	sa taTA-iti pratijQAya rAtrO taTA BUtvA sTitaH /
   sā ca kāmārtā sarvakaraṇacaturā tatra yayau /	sA ca kAma-ArtA sarva-karaNa-caturA tatra yayO /
   āgārabhūmimuddiśya bhartāramāhvayati sma /	AgAra-BUmim-uddiSya BartAram-Ahvayati sma /
   sā ciñciṇīcchāyāyāṃ gatvā tasya liṅgasyopari upaviśya satūmadhanuṣaṃ	sA ciQciNI=-CAyAyAm gatvA tasya liFgasya-upari upaviSya sa-tUma-Danuzam
   tamabravīt /	tam-abravIt /
   dhānuṣko 'si pradhāno 'si loke khyātiṃ gato 'si ca /	DAnuzkaH asi praDAnaH asi loke KyAtim gataH asi ca /
   chindhi me candrikāmadya pauruṣaṃ gaṇayāmi te // Suk_59.3 (=281) //	CinDi me candrikAm-adya pOruzam gaNayAmi te // Suc-_59.3 (=281) //
   sa ca mūrkhastadvacanamidaṃ śrutvā saśaraṃ dhanurādāya candrikāṃ	sa ca mUrKaH-tat-vacanam-idam SrutvA sa-Saram DanuH-AdAya candrikAm
   lakṣīkṛtya bāṇaṃ mumoca /	lakzIkRtya bANam mumoca /
   tena mukto 'pi bāṇo nākāśagatāṃ candrikāṃ bhinatti /	tena muktaH api bANaH na-AkASa-gatAm candrikAm Binatti /
   adhaḥ sa vedhyād bhraṣṭaḥ /	aDas sa veDyAt BrazwaH /
   tasmiṃśca patyāvaparāddheṣau sati sā viṃparītaratakṣamā sahastatālaṃ	tasmin=-ca patyO=-aparAt-hezO sati sA viMparIta-rata-kzamA sa-hasta-tAlam
   tamidamāha-	tam-idam-Aha-
   X X X	X X X
   [rāhaḍa bhūlaḍaṃ cāndraṇīyāhaṃ hiṃ rūpavadīsai nīyaḍaḍaṃ /	[rAhaxa BUlaxam cAndraNIya-aham him rUpa-vadIsE nIyaxaxam /
   tāhaṃ valikījinhaṃ tādahīvāhaṃ maiṃ rāṣajjevadraḍhīchāhaṃ] // Suk_59.3*	tAham valikI-jinham tAdahIvAham mEm rAzajjeva-draXI-CAhan] // Suc-_59.3*
   rāhaḍo 'pi tāmevaṃ jalpantīṃ śrutvā taṃ śaraṃ gaveṣayan ciraṃ babhrāma /	rAhaxaH api tAm-evam jalpantIm SrutvA tam Saram gavezayan ciram baBrAma /
   tatastayā yadṛcchayā viparītaṃ vihitam /	tatas-tayA yadRcCayA viparItam vihitam /
   evamuktaśca patiḥ-	evam-uktaH-ca patiH-
   yadṛcchayā rataṃ mūrkha te puro 'dya mayā kṛtam /	yadRcCayA ratam mUrKa te puras adya mayA kRtam /
   śūro hi kuhito 'si tvaṃ yāsyāmīti jagāda tam // Suk_59.4 (=283) //	SUraH hi kuhitaH asi tvam yAsyAmi-iti jagAda tam // Suc-_59.4 (=283) //
   ityuktvopapattyā samānītaṃ hayamāruhyajagāma /	iti-uktvA-upapattyA samAnItam hayam-Aruhya-jagAma /
   gacchantīṃ ca tāṃ tato dṛṣṭvā rāhaḍo 'pi lajjito viguptaśca /	gacCantIm ca tAm tatas dRzwvA rAhaxaH api lajjitaH viguptaH-ca /
   tataḥ strīṇāṃ vaśagaḥ ko na viḍambitaḥ /	tatas strINAm vaSagaH kaH na vixambitaH /
   yataḥ-	yatas--
   ānanarta purā śambhurgovindo rāsakṛttathā /	Ananarta purA SamBuH-govindaH rAsakRt-taTA /
   brahmā paśutvamāpannaḥ strībhiḥ ko na viḍambitaḥ // Suk_59.5 (=284) //	brahmA paSu-tvam-ApannaH strIBiH kaH na vixambitaH // Suc-_59.5 (=284) //
   saṃsāravṛkṣamūlaṃ yāḥ pāpakandalabhūmikā /	saMsAra-vRkza-mUlam yAH pApa-kandala-BUmikA /
   santāpaphalapuṣpāṇi yoṣitaḥ kiṃ sukhāvahāḥ // Suk_59.6 (=285) //	santApa-Pala-puzpANi yozitaH kim suKa-AvahAH // Suc-_59.6 (=285) //
   māyāmūlamidaṃ sarvaṃ tasyā mūlaṃ hi yoṣitaḥ /	mAyA-mUlam-idam sarvam tasyAH mUlam hi yozitaH /
   saṃyogo yoṣitāṃ mūlaṃ taṃ tyaktvā ca sukhāni naḥ // Suk_59.7 (=286) //	saMyogaH yozitAm mUlam tam tyaktvA ca suKAni naH // Suc-_59.7 (=286) //
   tasyedaṃ vacaḥ śrutvā prabhāvatī prāha-	tasya-idam vacaH SrutvA praBAvatI prAha-
   utpattikāraṇaṃ tanvī tanvī vṛddheśca kāraṇam /	utpatti-kAraNam tanvI tanvI vRdDeH-ca kAraNam /
   sukhasya kāraṇaṃ tanvī sā kathaṃ kīra duṣyate // Suk_59.8 (=287) //	suKasya kAraNam tanvI sA kaTam kIra duzyate // Suc-_59.8 (=287) //
   vinā tābhirna sambhogo vinā tābhiḥ sukhaṃ na ca /	vinA tABiH-na samBogaH vinA tABiH suKam na ca /
   vinā tābhirna cātmānaṃ kṛtārthaṃ manyete janaḥ // Suk_59.9 (=288) //	vinA tABiH-na ca-AtmAnam kRtArTam manyete janaH // Suc-_59.9 (=288) //
   uktañca-	uktaQca-
   amṛtasyeva kuṇḍāni sukhānāmiva khānayaḥ /	amRtasya-iva kuNxAni suKAnAm-iva KAnayaH /
   rateriva nidhānāni yoṣitaḥ kena nirmitāḥ // Suk_59.10 (=289) //	rateH-iva niDAnAni yozitaH kena nirmitAH // Suc-_59.10 (=289) //
   priyādarśanemevāstu kimanyairdarśanāntaraiḥ /	priyA-darSanema-iva-astu kim-anyEH-darSana-antarEH /
   prāpyate yatra nirvāṇaṃ sarogeṇāpi cetasā // Suk_59.11 (=290) //	prApyate yatra nirvANam sa-rogeNa-api cetasA // Suc-_59.11 (=290) //
   iti tasyā vacaḥ śrutvā śukaḥ prāha-	iti tasyAH vacaH SrutvA SukaH prAha-
   vājivāraṇalohānāṃ kāṣṭhapāṣāṇavāsasām /	vAji-vAraNa-lohAnAm kAzWa-pAzANa-vAsasAm /
   nārīpuruṣatoyānāmantaraṃ bahu vidyate // Suk_59.12 (=291) //	nArI-puruza-toyAnAm-antaram bahu vidyate // Suc-_59.12 (=291) //
   etattvayoktaṃ pativratāviṣayaṃ nānyāsu /	etat-tvayA-uktam pativratA-vizayam na-anyAsu /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ekonapaṣṭitamī kathā //	iti Suka-saptatO ekona-pazwitamI kaTA //
   START Suk 60:	START Suc 60:
   anyadā sā prabhāvatī gamanāya śukaṃ prapaccha /	anyadA sA praBAvatI gamanAya Sukam prapacCa /
   śukaḥ prāha-	SukaH prAha-
   gaccha devi yadā vetsi saṃśaye kṛtyamāgate /	gacCa devi yadA vetsi saMSaye kRtyam-Agate /
   vīrasya napateryadvatsabhāyāṃ nṛpadūtakaḥ // Suk_60.1 (=292) //	vIrasya napateH-yadvat-saBAyAm nRpa-dUtakaH // Suc-_60.1 (=292) //
   prabhāvatyāha-kathametat? śukaḥ-	praBAvati-Aha--kaTam-etat? SukaH-
   kacchādhipatinā devi tasya rājñaḥ sabhā śrutā /	kacCa-aDipatinA devi tasya rAjQaH saBA SrutAH /
   vicitrā devanirmitā sarvaratnavibhūṣitā // Suk_60.2 (=293) //	vicitrA deva-nirmitA sarva-ratna-viBUzitAH // Suc-_60.2 (=293) //
   tāṃ draṣṭuṃ prahito dūto haridatta iti śrutaḥ /	tAm drazwum prahitaH dUtaH haridattaH iti SrutaH /
   sahasraprābhṛto bhīru suratnahayahastakaḥ // Suk_60.3 (=294) //	sahasra-prABRtaH BIru su-ratna-haya-hastakaH // Suc-_60.3 (=294) //
   sa dūtastatpurīṃ gatvā nṛpaṃ dṛṣṭvā taṃ jagāda, "matsvāmināhaṃ sacitrāṃ	sa dUtaH-tatpurIm gatvA nRpam dRzwvA tam jagAda, "mad-svAminA-aham sa-citrAm
   tava sabhāmavalokayitumutkalitaḥ /	tava saBAm-avalokayitum-utkalitaH /
   rājā prāha-prātardarśayiṣye /	rAjA prAha-prAtar-darSayizye /
   tato rājñā dvitīyadine dūta ākāritaḥ /	tatas rAjQA dvitIya-dine dUtaH AkAritaH /
   sa ca sahasāgatastāṃ sabhāṃ vicitraratnakhacitāṃ dṛṣṭvā jalamayīṃ	sa ca sahasA-AgataH-tAm saBAm vicitra-ratna-KacitAm dRzwvA jala-mayIm
   sthalamayīṃ veti niścetumaśaktaḥ kathaṃ bhavatviti praśnaḥ /	sTala-mayIm vA-iti niScetum-aSaktaH kaTam Bavatu-iti praSnaH /
   śukaḥ tataḥ sa pūgīphalaṃ puraḥ kṣiptvā sthalaṃ jñātvā gṛhaṃ yayau /	SukaH tatas sa pUgI-Palam puras kziptvA sTalam jQAtvA gRham yayO /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ṣaṣṭitamī kathā //	iti Suka-saptatO zazwitamI kaTA //
   START Suk 61:	START Suc 61:
   anyadā sā śukaṃ pacchati sma /	anyadA sA Sukam pacCati sma /
   śuka prāha-	Suka prAha-
   gaccha devi gatā vetsi rantuṃ cettvaṃ nijaṃ naram /	gacCa devi gatAH vetsi rantum ced-tvam nijam naram /
   yathā tejukayā pūrvaṃ kṛtaṃ ciramākāṅkṣitam // Suk_61.1 (=295) //	yaTA tejukayA pUrvam kRtam ciram-AkAFkzitam // Suc-_61.1 (=295) //
   prabhāvatyāha-kathametat? śukaḥ kathayati-asti khorasamabhidhāno grāmaḥ /	praBAvati-Aha--kaTam-etat? SukaH kaTayati-asti Ka-urasamaBiDAnaH grAmaH /
   tatra vaṇikputraḥ pārśvanāganāmā /	tatra vaNij-putraH pArSva-nAga-nAmA /
   tasya bhāryā rūpasampannā ratalolupā kulaṭā tejukā nāma /	tasya BAryA rUpa-sampannA rata-lolupA kulawA tejukAH nAma /
   sānyadā sakhībhirvṛtā devayātrālokanāya gatā surūpasyaikasya puṃsaḥ rūpa	sA-anyadA saKIBiH-vRtA deva-yAtrA-lokanAya gatA surUpasya-ekasya puMsaH rUpa
   prekṣya saṅgamāya manaścakre /	prekzya saFgamAya manaH-cakre /
   yataḥ-	yatas--
   vivāha devayātrāyāṃ rājaveśmani saṅkaṭe /	vivAha devayAtrAyAm rAja-veSmani saFkawe /
   paragehe vivāde ca devi nārī vinaśyati // Suk_61.2 (=296) //	para-gehe vivAde ca devi nArI vinaSyati // Suc-_61.2 (=296) //
   uktañca-	uktaQca-
   gṛhe 'raṇye tathā deve havye tīrthe jalāśaye /	gRhe araNye taTA deve havye tIrTe jalASaye /
   vivāhe cotsave nityaṃ mālinīnilaye tathā // Suk_61.3 (=297) //	vivAhe ca-utsave nityam mAlinI-nilaye taTA // Suc-_61.3 (=297) //
   yātrāyāṃ strīsamūhe ca nirjane janasaṅkule /	yAtrAyAm strI-samUhe ca nirjane jana-saFkule /
   pattane ca tathā grāme svacchandā dvāravartinī // Suk_61.4 (=298) //	pattane ca taTA grAme svacCandA dvAra-vartinI // Suc-_61.4 (=298) //
   khale kṣetre pravāse ca mārge veśmani catvare /	Kale kzetre pravAse ca mArge veSmani catvare /
   praveśe nirgame rājñāṃ sadā yā kautukapriyā // Suk_61.5 (=299) //	praveSe nirgame rAjQAm sadA yA kOtuka-priyA // Suc-_61.5 (=299) //
   prativeśmagṛhe śūnye rajakīsūcikīgṛhe /	prativeSma-gRhe SUnye rajakI-sUcikI-gRhe /
   divā rātrau ca sandhyāyāṃ durdine rājacatvare /	divA rAtrO ca sanDyAyAm durdine rAja-catvare /
   śoke ca vyasane bhartuḥ svacchandā strī vinaśyati // Suk_61.6 (=300) //	Soke ca vyasane BartuH svacCandA strI vinaSyati // Suc-_61.6 (=300) //
   tejukā ca taṃ dṛṣṭvā bhrūsaṃjñayā āhūyedamabravīt-ahaṃ tavāsaktā paraṃ	tejukA ca tam dRzwvA BrU-saMjQayA AhUya-idam-abravIt-aham tava-AsaktA param
   madīyo bhartā duḥsaho niṣṭhuraśca gṛhādbahirnirgantuṃ notsahe /	madIyaH BartA duHsahaH nizWuraH-ca gRhAt-bahis-nirgantum na-utsahe /
   ato yasmiṃstasmindivase 'smadgṛhadvāri ghaṭe kṣiptvā vṛściko moktavyaḥ /	atas yasmin=-tasmin-divase asmad-gRha-dvAri Gawe kziptvA vRScikaH moktavyaH /
   tadāhaṃ paścikadaṣṭā bhaviṣyāmi /	tadA-aham paScika-dazwA BavizyAmi /
   tvayāsmadgṛhadvāri vaidyena bhāvyam /	tvayA-asmad-gRha-dvAri vEdyena BAvyam /
   iti saṅketaṃ vidhāya svagṛhaṃ jagmatuḥ /	iti saFketam viDAya sva-gRham jagmatuH /
   tenāpi tathā kṛtam /	tena-api taTA kRtam /
   sāpi ghaṭaṃ khaṭvocchīrṣake kṣiptvā iti jagāda-ahamanena vṛścikena	sA-api Gawam Kawva-ucCIrzake kziptvA iti jagAda--aham-anena vRScikena
   ghaṭasthena daṣṭā'-iti rāraṭīti /	Gawa-sTena dazwA-a-iti rArawI-iti /
   so 'pi ca puruṣastadā vaidyo bhūtvā tadgṛhadvāri tasthau /	saH api ca puruzaH-tadA vEdyaH BUtvA tad-gRha-dvAri tasTO /
   "tāḍaṃ bandhau poṭṭaṃ malau sūlaṃ pheḍau visaṃ harau"	"tAxam banDO powwam malO sUlam PexO visam harO"
   [tālaṃ badhnāmi, udaraṃ marddayāmi, śūlaṃ spheṭayāmi, viṣaṃ harāmi] iti	[tAlam baDnAmi, udaram marddayAmi, SUlam sPewayAmi, vizam harAmi] iti
   jalpati /	jalpati /
   tadā ca sā bhartāraṃ jagāda /	tadA ca sA BartAram jagAda /
   dehi kāṣṭhāni me nātha mariṣyāmi na saṃśayaḥ /	dehi kAzWAni me nATa marizyAmi na saMSayaH /
   āhūya mantrikānvaidyān gatārttiṃ vā kuruṣva mām // Suk_61.7 (=301) //	AhUya mantrikAn-vEdyAn gata-Arttim vA kuruzva mAm // Suc-_61.7 (=301) //
   tatastadbhartā gṛhādbahiḥ sthitaṃ tamākārayāmāsa /	tatas-tad-BartA gRhAt-bahis sTitam tam-AkArayAmAsa /
   vaidyo 'pi tāṃ dṛṣṭvā tatpatiṃ jagāda /	vEdyaH api tAm dRzwvA tad-patim jagAda /
   yadyeṣā kāladaṣṭā jīvati tatastvaṃ bhāgyavānahamapi yaśaḥpātraṃ bhavāmi /	yadi-ezA kAla-dazwA jIvati tatas-tvam BAgyavAn-aham-api yaSaH-pAtram BavAmi /
   vaṇigāha-vaidya! prasādaṃ vidhāya enāṃ viṣarahitāṃ kuru /	vaNigAha--vEdya! prasAdam viDAya enAm viza-rahitAm kuru /
   tataḥ sa vaidyaḥ kenāpi kaṭukabhaiṣajyena vanitauṣṭhamālipya tatpatimāha-	tatas sa vEdyaH kena-api kawuka-BEzajyena vanitA-ozWam-Alipya tad-patim-Aha-
   aho vaṇiksarveṣāmapi viṣāṇāṃ samadhikaṃ mānuṣaviṣameva /	aho vaNij-sarvezAm-api vizANAm samaDikam mAnuza-vizam-eva /
   tato viṣasya viṣamauṣadhamiti kṛtvā tvamasyā oṣṭhaṃ dhāva /	tatas vizasya vizama-OzaDam-iti kRtvA tvam-asyAH ozWam DAva /
   tato vaṇik tathā kartumārebhe /	tatas vaNij taTA kartum-AreBe /
   kṣaṇamātreṇatasya vaṇijaḥ kaṭukauṣadhamiśrauṣṭhāsvādena mukhaṃ kaṭukaṃ	kzaNa-mAtreNatasya vaNijaH kawuka-OzaDa-miSra-ozWa-AsvAdena muKam kawukam
   sañjātam /	san-jAtam /
   tato vaṇigāha-tvamevoṣṭha dhāvetyuktvā vaṇik sthitaḥ /	tatas vaNigAha--tvam-eva-uzWa DAva-iti-uktvA vaNij sTitaH /
   vaṇijo 'pi viṣaśaṅkārūḍhā /	vaNijaH api viza-SaFkA-ArUXA /
   tato bahirgate vaṇiji vaidyena sā kāmārtā yathecchaṃ bhojitā /	tatas bahis-gate vaNiji vEdyena sA kAma-ArtA yaTecCam BojitA /
   tadanantaraṃ sā māyinī svasthābhūt /	tad-anantaram sA mAyinI svasTA-aBUt /
   vaṇigapi kṣaṇena svastho babhūva /	vaNij-api kzaNena svasTaH baBUva /
   upakṛtaśca vaidyastena caraṇaiḥ spṛṣṭvā tvadīyo 'smīti /	upakRtaH-ca vEdyaH-tena caraNEH spRzwvA tvadIyaH asmi-iti /
   tataḥ sa vaidyacchadmanā gṛhamāyāti satataṃ vaṇiji bahirgate bhuṅkte ca	tatas sa vEdya=-CadmanA gRham-AyAti satatam vaNiji bahis-gate BuFkte ca
   tāṃ nityam /	tAm nityam /
   tato bhāmini evaṃ kartuṃ vaktuṃ ca yadi jānāsi tato yāhi /	tatas BAmini evam kartum vaktum ca yadi jAnAsi tatas yAhi /
   evaṃ kartuṃ ca vaktuṃ ca yo jānāti chalapriyaḥ /	evam kartum ca vaktum ca yaH jAnAti Cala-priyaH /
   sa karotu sa yātvevaṃ kartuṃ bhoktuṃ nijaṃ hitam // Suk_61.8 (=302) //	sa karotu sa yAtu-evam kartum Boktum nijam hitam // Suc-_61.8 (=302) //
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ekaṣaṣṭitamī kathā //	iti Suka-saptatO eka-zazwitamI kaTA //
   START Suk 62:	START Suc 62:
   anyadā sā prabhāvatī śukamāpṛcchati /	anyadA sA praBAvatI Sukam-ApRcCati /
   śakuḥ prāha-	SakuH prAha-
   priyamevānubhoktavyaṃ yāhi devi tadarthinī /	priyam-eva-anuBoktavyam yAhi devi tad-arTinI /
   kuhanasya yathā kānte saṅkaṭe 'si kṣamottare // Suk_62.1 (=303) //	kuhanasya yaTA kAnte saFkawe asi kzamottare // Suc-_62.1 (=303) //
   asti gambhīrākhyo grāmaḥ /	asti gamBIra-AKyaH grAmaH /
   tatra kuhano nāma rājaputrar irṣyāluḥ śūro jaḍaḥ strīpriyo durdharaśca /	tatra kuhanaH nAma rAja-putrar irzyAluH SUraH jaxaH strI-priyaH durDaraH-ca /
   tasyābhūtāṃ dve kalatre śobhikātejikākhye ratalolupe parapuruṣalampaṭe	tasya-aBUtAm dve kalatre SoBikA-tejikA-AKye rata-lolupe para-puruza-lampawe
   surūpe /	surUpe /
   tadbhartā tadrakṣaṇāya grāmādbahirnadītīre gṛhaṃ keca dvārasthaste	tad-BartA tad-rakzaNAya grAmAt-bahis-nadI-tIre gRham keca dvAra-sTaH-te
   rakṣayati /	rakzayati /
   anyadā sa tābhyāmuktaḥ-yadā kaścinnāpitaḥ samabhyeti tadā bhavyaṃ bhavati	anyadA sa tAByAm-uktaH-yadA kaScid-nApitaH samaByeti tadA Bavyam Bavati
   tatastenāpi bhrāmako nāpitaḥ preṣitaḥ pratisīrāntaraistayornakhakalpanāya	tatas-tena-api BrAmakaH nApitaH prezitaH pratisIra-antarEH-tayoH-naKa-kalpanAya
   tataśca tayoścaraṇān tiraskariṇībahiḥsthānnāpitaḥ prakṣalayati /	tatas-ca tayoH-caraNAn tiraskariNI-bahis-sTAn-nApitaH prakzalayati /
   patiścādūre pathi niviṣṭaḥ /	patiH-ca-adUre paTi nivizwaH /
   tābhyāṃ ca sa nāpitaḥ suvarṇakaṭakamarpayitvā pracchannamevamuktaḥ-etad	tAByAm ca sa nApitaH suvarNa-kawakam-arpayitvA pracCannam-evam-uktaH-etat-
   dravyaṃ gṛhītvā āvayoḥ kenāpi sārdhaṃ saṃyogaṃ vidhehi /	dravyam gRhItvA AvayoH kena-api sArDam saMyogam viDehi /
   divākīrtirapi tatheti pratijñāya rājaputramāpṛcchya jagāma /	divAkIrtiH-api taTA-iti pratijQAya rAja-putram-ApRcCya jagAma /
   anyadātmamitraṃ navayauvanaṃ kalāpātramanudgataśmaśruṃ strīveṣaṃ kārayitvā	anyat-Atma-mitram nava-yOvanam kalA-pAtram-anudgata-SmaSrum strI-vezam kArayitvA
   tayoḥ patyuḥ pārśve tena saha samāgatya nāpita idamāha-mameyaṃ vallabhā /	tayoH patyuH pArSve tena saha samAgatya nApitaH idam-Aha-m-ameyam vallaBA /
   ahaṃ ca grāmāntaraṃ jigamiṣuryuṣmadgṛhaṃ vinānyatra moktuṃ na śaknomi /	aham ca grAma-antaram jigamizuH-yuzmad-gRham vinA-anyatra moktum na Saknomi /
   yato bhavatāṃ gṛhe strīyantraṇā bhavyā /	yatas BavatAm gRhe strI-yantraNA BavyAH /
   ityukte tena pratipannaṃ muñceti /	iti-ukte tena pratipannam muQca-iti /
   tataścaṇḍālo 'pi taṃ muktvā tayoḥ pārśve gato jagāda-yadiyaṃ	tatas-caNxAlaH api tam muktvA tayoH pArSve gataH jagAda-yat-iyam
   yuṣmābhirātmīyā karaṇīyā /	yuzmABiH-AtmIyA karaNIyAH /
   tataste taṃ caṇḍālānītaṃ jñātvā bahu menāte /	tatas-te tam caNxAla-AnItam jQAtvA bahu menAte /
   sa ca divā strīrūpī rātrau ca kāmukaḥ rājaputrakalatre prativāraṃ bhuṅkta	sa ca divA strI-rUpI rAtrO ca kAmukaH rAja-putra-kalatre prativAram BuFkta
   sa ca rājaputraḥ strīlolupastatsaṅgamāya spṛhayati /	sa ca rAja-putraH strI-lolupaH-tad-saFgamAya spRhayati /
   yayāce ca tāṃ nityam /	yayAce ca tAm nityam /
   sā tu kapaṭīstrī neti jagāda /	sA tu kapawI-strI na-iti jagAda /
   rājaputrasya strītve bhrāntirutpannā tadbhāntimapanetuṃ nijakalatre	rAja-putrasya strI-tve BrAntiH-utpannA tad-BAntim-apanetum nija-kalatre
   jagāda-tato devyādeśānmayā prātarmahotsavo vidheyaḥ /	jagAda--tatas devI-AdeSAt-mayA prAtar-mahA-utsavaH viDeyaH /
   tatra bhavatībhirvivastrābhistisṛbhirapi nartitavyam /	tatra BavatIBiH-vivastrABiH-tisRBiH-api nartitavyam /
   tataḥ sa strīcchannā kathaṃ nṛtyatu iti praśnaḥ /	tatas sa stri-icCannA kaTam nRtyatu iti praSnaH /
   uttaram śukaḥ-tantryā liṅgāgraṃ niyamya gudamadhyagamānamya sphuṭāṃ	uttaram SukaH-tantryAH liFga-agram niyamya guda-maDya-gama-Anamya sPuwAm
   bhagākṛtiṃ kṛtvā patyau samāgate sahastatālaṃ sarvā evaṃ vadantyo nanṛtuḥ	Baga-AkRtim kRtvA patyO samAgate sa-hasta-tAlam sarvAH evam vadantyaH nanRtuH
   nisuhara ṇāccai saṃkalidaṃ jaṃ manasi kidaṃ makkaṭījālaṃ /	nisuhara NAt-cE saMkalidam jam manasi kidam makkawI-jAlam /
   ṇāhi ṇāhi pṛchaha attha dharei ṇāda bhilukalattu karei // Suk_62.2 (=304)	NAhi NA-hi pRCaha atTa Darei NAda Bilukalat-tu karei // Suc-_62.2 (=304)
   [niśāmaya nṛtyati saṅkalitaṃ yanmanasi kṛtaṃ markaṭījālam /	[niSAmaya nRtyati saFkalitam yat-manasi kRtam markawI-jAlam /
   nahi nahi pṛccha athodhriyate jñātaṃ bhinnakalatraṃ karoti] // Suk_62.2*	na-hi na-hi pRcCa aTa-uDriyate jQAtam Binna-kalatram karoti] // Suc-_62.2*
   rājaputro 'rthaṃ papraccha /	rAja-putraH arTam papracCa /
   tābhyāmuktam-markaṭā kaṭisandhirucyate /	tAByAm-uktam--markawA kawi-sanDiH-ucyate /
   tatastasyāṃ truṭitāyāṃ rājaputronyatkalatraṃ kuryādityarthaḥ /	tatas-tasyAm truwitAyAm rAja-putra-unyat-kalatram kuryAt-iti-arTaH /
   tato rājaputraḥ strīcaritraparāṅmukho mūḍhadhīḥ pratītaḥ, itarastu	tatas rAja-putraH strI-caritra-parAFmuKaH mUXa-DIH pratItaH, itaraH-tu
   tathaiva strīveṣeṇa kalatre bhuṅkte /	taTA-eva strI-vezeNa kalatre BuFkte /
   tasmādyaḥ saṅkaṭe vetti kartuṃ vaktuṃ ca bhāmini /	tasmAt-yaH saFkawe vetti kartum vaktum ca BAmini /
   sa yātvatra yathākāmaṃ yathākālaṃ yathāsukham // Suk_62.3 (=305) //	sa yAtu-atra yaTAkAmam yaTAkAlam yaTAsuKam // Suc-_62.3 (=305) //
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau dviṣaṣṭitamī kathā //	iti Suka-saptatO dvi-zazwitamI kaTA //
   START Suk 63:	START Suc 63:
   anyasminpradoṣe prabhāvatī yāmīti śukaṃ pratyāha /	anyasmin-pradoze praBAvatI yAmi-iti Sukam pratyAha /
   śukaḥ prāha-	SukaH prAha-
   yāhi devi na doṣo 'tra manoduḥkhe samāgate /	yAhi devi na dozaH atra manaH-duHKe samAgate /
