   ******************** ADHYAYA 1 ********************	******************** ADHYAYAH 1 ********************
   aniṣṭam iṣṭaṃ miśraṃ ca trividhaṃ karmaṇaḥ phalam |	anizwam izwam miSram ca triviDam karmaNaH Palam |
   bhavaty atyāgināṃ pretya na tu saṃnyāsināṃ kvacit || BhG_18.12 ||	Bavati atyAginAm pretya na tu saMnyAsinAm kvacid || Bhu _18.12 ||
   aniṣṭam narakādiphalam, iṣṭam svargādi, miśram aniṣṭasaṃbhinnaṃ	anizwam naraka Adi Palam, izwam svarga Adi, miSram anizwa saMBinnam
   putrapaśvannādyādi; etat trividhaṃ karmaṇaḥ phalam, atyāginām	putra paSu annAdya Adi; etat triviDam karmaNaH Palam, atyAginAm
   kartṛtvamamatāphalatyāgarahitānāṃ pretya bhavati / pretya	kartR tvam amatA Pala tyAga rahitAnAm pretya Bavati / pretya
   karmānuṣṭhānottarakālam ityarthaḥ / na tu saṃnyāsināṃ kvacit na tu	karma anuzWAna uttara kAlam iti arTaH / na tu saMnyAsinAm kvacid na tu
   kartṛtvādiparityāgināṃ kvacid api mokṣavirodhi phalaṃ bhavati / etad uktaṃ	kartR tva Adi parityAginAm kvacid api mokza viroDi Palam Bavati / etat uktam
   bhavati yady apy agnihotramahāyajñādīni tāny eva, tathāpi	Bavati yadi api agnihotra mahA yajQa AdIni tAni eva, taTA api
   jīvanādhikārakāmādhikārayor iva mokṣādhikāre ca viniyogapṛthaktvena	jIvana aDikAra kAma aDikArayoH iva mokza aDikAre ca viniyoga pRTaktvena
   parihriyate / mokṣaviniyogaś ca, "tam etaṃ vedānuvacanena brāhmaṇā	parihriyate / mokza viniyogaH ca, "tam etam veda anuvacanena brAhmaNA
   vividiṣanti yajñena dānena tapasānāśakena" ityādibhir iti / tad evaṃ	vividizanti yajQena dAnena tapasA anASakena" ityAdiBiH iti / tat evam
   kriyamāṇeṣv eva karmasu	kriyamANezu eva karmasu
   kartṛtvādiparityāgaḥ śāstrasiddhiḥ saṃnyāsaḥ; sa eva ca tyāga ity uktaḥ //	kartR tva Adi parityAgaH SAstra sidDiH saMnyAsaH; saH eva ca tyAgaH iti uktaH //
   BhGR_18.12 //	BhGR_18.12 //
   idānīṃ bhagavati puruṣottame antaryāmiṇi kartṛtvānusaṃdhānena ātmani	idAnIm Bagavati puruzottame antaryAmiNi kartR tva anusaMDAnena Atmani
   akartṛtvānusaṃdhānaprakāram āha, tata eva phalakarmaṇor api	akartR tva anusaMDAna prakAram Aha, tatas eva Pala karmaNoH api
   mamatāparityāgo bhavatīti / paramapuruṣo hi svakīyena jīvātmanā svakīyaiś	mamatA parityAgaH Bavati iti / parama puruzaH hi svakIyena jIva AtmanA svakIyEH 
   ca karaṇakalevaraprāṇaiḥ svalīlāprayojanāya karmāṇy ārabhate / ato	ca karaNa kalevara prANEH sva lIlA prayojanAya karmANi AraBate / atas 
   jīvātmagataṃ kṣunnivṛttyādikam api phalam, tatsādhanabhūtaṃ ca karma	jIvAtma gatam kzut nivRtti Adikam api Palam, tad sADana BUtam ca karma
   paramapuruṣasyaiva /	parama puruzasya eva /
   pañcaitāni mahābāho kāraṇāni nibodhe me /	paQca etAni mahA bAho kAraNAni niboDe me /
   sāṃkhye kṛtānte proktāni siddhaye sarvakarmaṇām || BhG%_18.	sAMKye kRtAnte proktAni sidDaye sarva karmaNAm || BhG%_18.
   sāṃkhyā buddhiḥ, sāṃkhye kṛtānte yathāvasthitatattvaviṣayayā vaidikyā	sAMKyA budDiH, sAMKye kRtAnte yaTA avasTita tattva vizayayA vEdikyA
   buddhyā anusaṃhite nirṇaye sarvakarmaṇāṃ siddhaye utpattaye, proktāni	budDyA anusaMhite nirNaye sarva karmaNAm sidDaye utpattaye, proktAni
   pañcaitāni kāraṇāni nibodhe me mama sakāśād anusaṃdhatsva / vaidikī hi	paQca etAni kAraNAni niboDe me mama sakASAt anusaMDatsva / vEdikI hi
   buddhiḥ śarīrendriyaprāṇajīvātmopakaraṇaṃ paramātmānam eva kartāram	budDiH SarIra indriya prANa jIva Atma upakaraNam paramAtmAnam eva kartAram
   avadhārayati, "ya ātmani tiṣṭhan ātmano 'ntaro yam ātmā na veda yasyātmā	avaDArayati, "yaH Atmani tizWan AtmanaH antaraH yam AtmA na veda yasya AtmA
   śarīraṃ ya ātmānam antaro yamayati sa ta ātmāntaryāmy amṛtaḥ",	SarIram yaH AtmAnam antaraH yamayati sa te AtmA antaryAmI amRtaH",
   "antaḥpraviṣṭaḥ śāstā janānāṃ sarvātmā" ityādiṣu // BhGR_18.13 //	"antaH pravizwaH SAstA janAnAm sarva AtmA" ityAdizu // BhGR_18.13 //
   tad idam āha	tat idam Aha
   adhiṣṭhānaṃ tathā kartā karaṇaṃ ca pṛthagvidham /	aDizWAnam taTA kartA karaNam ca pRTagviDam /
   vividhā ca pṛthakceṣṭā daivaṃ caivātra pañcamam //	viviDA ca pRTak cezwA dEvam ca eva atra paQcamam //
   śarīravāṅmanobhir yat karma prārabhate naraḥ /	SarIra vAc manoBiH yat karma prAraBate naraH /
   nyāyyaṃ vā viparītaṃ vā pañcaite tasya hetavaḥ // BhGR_18.15 //	nyAyyam vA viparItam vA paQca ete tasya hetavaH // BhGR_18.15 //
   nyāyye śāstrasiddhe, viparīte pratiṣiddhe vā sarvasmin karmaṇi śarīre,	nyAyye SAstra sidDe, viparIte pratizidDe vA sarvasmin karmaNi SarIre,
   vācike, mānase ca pañcaite hetavaḥ / adhiṣṭhānam śarīram; adhiṣṭhīyate	vAcike, mAnase ca paQca ete hetavaH / aDizWAnam SarIram; aDizWIyate
   jīvātmaneti mahābhūtasaṃghātarūpaṃ śarīram adhiṣṭhānam / tathā kartā	jIva AtmanA iti mahABUta saMGAta rUpam SarIram aDizWAnam / taTA kartA
   jīvātmā; asya jīvātmano jñātṛtvaṃ kartṛtvaṃ ca, "jño 'ta eva", "kartā	jIvAtmA; asya jIva AtmanaH jQAtR tvam kartR tvam ca, "jQaH atas eva", "kartA
   śāstrārthavattvāt " iti ca sūtropapāditam / karaṇaṃ ca pṛthagvidham	SAstra arTavat tvAt " iti ca sUtra upapAditam / karaNam ca pRTagviDam
   vākpāṇipādādipañcakaṃ samanaskaṃ karmendriyaṃ pṛthagvidham karmaniṣpattau	vAc pANi pAda Adi paQcakam sa manaskam karmendriyam pRTagviDam karma nizpattO
   pṛthagvyāpāram / vividhā ca pṛthakceṣṭā / ceṣṭāśabdena pañcātmā vāyur	pRTak vyApAram / viviDA ca pRTak cezwA / cezwA Sabdena paQca AtmA vAyuH 
   abhidhīyate tadvṛttivācinā; śarīrendriyadhāraṇasya	aBiDIyate tad vRtti vAcinA; SarIra indriya DAraNasya
   prāṇāpānādibhedabhinnasya vāyoḥ pañcātmano vividhā ca ceṣṭā vividhā vṛttiḥ	prANa apAna Adi Beda Binnasya vAyoH paQca AtmanaH viviDA ca cezwA viviDA vRttiH
   / daivaṃ caivātra pañcamam atra karmahetukalāpe daivaṃ pañcamam paramātmā	/ dEvam ca eva atra paQcamam atra karma hetu kalApe dEvam paQcamam paramAtmA
   antaryāmī karmaniṣpattau pradhānahetur ityarthaḥ / uktaṃ hi, "sarvasya	antaryAmI karma nizpattO praDAna hetuH iti arTaH / uktam hi, "sarvasya
   cāhaṃ hṛdi sanniviṣṭo mattaḥ smṛtir jñānam apohanaṃ ca" iti / vakṣyati ca,	ca aham hRdi sannivizwaH mattaH smRtiH jQAnam apohanam ca" iti / vakzyati ca,
   "īśvaraḥ sarvabhūtānāṃ hṛddeśe 'rjuna tiṣṭhati / bhrāmayan sarvabhūtāni	"ISvaraH sarva BUtAnAm hRd deSe arjuna tizWati / BrAmayan sarva BUtAni
   yantrārūḍhāni māyayā//" iti / paramātmāyattaṃ ca jīvātmanaḥ kartṛtvam,	yantra ArUXAni mAyayA//" iti / paramAtma Ayattam ca jIvAtmanaH kartR tvam,
   "parāt tu tacchruteḥ" ityādyupapāditam / nanv evaṃ paramātmāyatte	"parAt tu tat SruteH" ityAdi upapAditam / nanu evam paramAtmA Ayatte
   jīvātmanaḥ kartṛtve jīvātmā karmaṇy aniyojyo bhavatīti	jIvAtmanaH kartR tve jIvAtmA karmaNi aniyojyaH Bavati iti
   vidhiniṣedhaśāstrāṇy anarthakāni syuḥ // idam api codyaṃ sūtrakāreṇa	viDi nizeDa SAstrANi anarTakAni syuH // idam api ca udyam sUtrakAreNa
   parihṛtam, "kṛtaprayatnāpekṣas tu vihitapratiṣiddhāvaiyārthyādibhyaḥ" iti	parihRtam, "kRta prayatna apekzaH tu vihita pratizidDa avEya arTyAdiByaH" iti
   / etad uktaṃ bhavati paramātmanā dattais tadādhāraiś ca	/ etat uktam Bavati parama AtmanA dattEH tad ADArEH ca
   karaṇakalebarādibhis tadāhitaśaktibhiḥ svayaṃ ca jīvātmā tadādhāras	karaNa kalebara AdiBiH tad A Ahita SaktiBiH svayam ca jIvAtmA tad ADAra H 
   tadāhitaśaktis san karmaniṣpattaye svecchayā karaṇādyadhiṣṭhānākāraṃ	tadA Ahita SaktiH san karma nizpattaye sva icCayA karaNa Adi aDizWAna AkAram
   prayatnaṃ cārabhate; tadantaravasthitaḥ paramātmā svānumatidānena taṃ	prayatnam ca AraBate; tad antar avasTitaH paramAtmA sva anumati dAnena tam
   pravartayatīti jīvasyāpi svabuddhyaiva pravṛttihetutvam asti; yathā	pravartayati iti jIvasya api sva budDyA eva pravRtti hetu tvam asti; yaTA
   gurutaraśilāmahīruhādicalanādiphalapravṛttiṣu bahupuruṣasādhyāsu bahūnāṃ	gurutara SilA mahIruha Adi calana Adi Pala pravRttizu bahu puruza sADyAsu bahUnAm
   hetutvaṃ vidhiniṣedhabhāktvaṃ ceti // BhGR_18.14 //15//	hetu tvam viDi nizeDa BAj tvam ca iti // BhGR_18.14 //15//
   tatraivaṃ sati kartāram ātmānaṃ kevalaṃ tu yaḥ /	tatra evam sati kartAram AtmAnam kevalam tu yaH /
   paśyaty akṛtabuddhitvān na sa paśyati durmatiḥ // BhGR_18.16 //	paSyati akRtabudDi tvAt na sa paSyati durmatiH // BhGR_18.16 //
   evaṃ vastutaḥ paramātmānumatipūrvake jīvātmanaḥ kartṛtve sati, tatra	evam vastutas paramAtma anumati pUrvake jIva AtmanaH kartR tve sati, tatra
   karmaṇi kevalam ātmānam eva kartāraṃ yaḥ paśyati, sa durmatiḥ	karmaNi kevalam AtmAnam eva kartAram yaH paSyati, sa durmatiH
   viparītamatiḥ akṛtabuddhitvād aniṣpannayathāvasthitavastubuddhitvān na	viparIta matiH akRtabudDi tvAt anizpanna yaTA avasTita vastu budDi tvAt na
   paśyati na yathāvasthitaṃ kartāraṃ paśyati // BhGR_18.16 //	paSyati na yaTA avasTitam kartAram paSyati // BhGR_18.16 //
   yasya nāhaṃkṛto bhāvo buddhir yasya na lipyate /	yasya na ahaMkRtaH BAvaH budDiH yasya na lipyate /
   hatvāpi sa imāṃl lokān na hanti na nibadhyate // BhGR_18.17 //	hatvA api saH imAn lokAn na hanti na nibaDyate // BhGR_18.17 //
   paramapuruṣakartṛtvānusaṃdhānena yasya bhāvaḥ kartṛtvaviṣayo	parama puruza kartR tva anusaMDAnena yasya BAvaH kartR tva vizayaH 
   manovṛttiviśeṣaḥ nāhaṃkṛtaḥ nāhamabhimānakṛtaḥ / ahaṃ karomīti jñānaṃ	manaH vRtti viSezaH na ahaMkRtaH na aham aBimAna kRtaH / aham karomi iti jQAnam
   yasya na vidyata ityarthaḥ / buddhir yasya na lipyate asmin karmaṇi mama	yasya na vidyate iti arTaH / budDiH yasya na lipyate asmin karmaNi mama
   kartṛtvābhāvād etatphalaṃ na mayā saṃbadhyate, na ca madīyaṃ karmeti yasya	kartR tva aBAvAt etat Palam na mayA saMbaDyate, na ca madIyam karma iti yasya
   buddhir jāyata ityarthaḥ / sa imān lokān yuddhe hatvāpi tān na nihanti; na	budDiH jAyate iti arTaH / saH imAn lokAn yudDe hatvA api tAn na nihanti; na
   kevalaṃ bhīṣmādīn ityarthaḥ / tatas tena yuddhākhyena karmaṇā na	kevalam BIzma AdIn iti arTaH / tatas tena yudDa AKyena karmaNA na
   nibadhyate / tatphalaṃ nānubhavatītyarthaḥ // BhGR_18.17 //	nibaDyate / tad Palam na anuBavati iti arTaH // BhGR_18.17 //
   sarvam idam akartṛtvādyanusandhānaṃ sattvaguṇavṛddhyaiva bhavatīti	sarvam idam akartR tva Adi anusanDAnam sattva guNa vRdDyA eva Bavati iti
   sattvasyopādeyatājñāpanāya karmaṇi sattvādiguṇakṛtaṃ vaiṣamyaṃ	sattvasya upAdeya tA jQApanAya karmaNi sattva Adi guNa kRtam vEzamyam
   prapañcayiṣyan karmacodanāprakāraṃ tāvad āha	prapaQcayizyan karma codanA prakAram tAvat Aha
   jñānaṃ jñeyaṃ parijñātā trividhā karmacodanā /	jQAnam jQeyam parijQAtA triviDA karma codanA /
   kāraṇaṃ karma karteti trividhaḥ karmasaṃgrahaḥ // BhGR_18.18 //	kAraNam karma kartA iti triviDaH karma saMgrahaH // BhGR_18.18 //
   jñānam kartavyakarmaviṣayaṃ jñānam, jñeyaṃ ca kartavyaṃ karma, parijñātā	jQAnam kartavya karma vizayam jQAnam, jQeyam ca kartavyam karma, parijQAtA
   tasya boddheti trividhā karmacodanā / bodhaboddhavyaboddhṛyukto	tasya bodDA iti triviDA karma codanA / boDa bodDavya bodDR yuktaH 
   jyotiṣṭomādikarmavidhir ityarthaḥ / tatra boddhavyarūpaṃ karma trividhaṃ	jyotizwoma Adi karma viDiH iti arTaH / tatra bodDavya rUpam karma triviDam
   saṃgṛhyate karaṇaṃ karma karteti / karaṇam sādhanabhūtaṃ dravyādikam;	saMgRhyate karaNam karma kartA iti / karaNam sADana BUtam dravya Adikam;
   karma yāgādikam; kartā anuṣṭhāteti // BhGR_18.18 //	karma yAga Adikam; kartA anuzWAtA iti // BhGR_18.18 //
   jñānaṃ karma ca kartā ca tridhaiva guṇabhedataḥ /	jQAnam karma ca kartA ca triDA eva guNa BedataH /
   procyate guṇasaṃkhyāne yathāvac chṛṇu tāny api // BhGR_18.19 //	procyate guNa saMKyAne yaTAvat SRNu tAni api // BhGR_18.19 //
   kartavyakarmaviṣayaṃ jñānam, anuṣṭhīyamānaṃ ca karma, tasyānuṣṭhātā ca	kartavya karma vizayam jQAnam, anuzWIyamAnam ca karma, tasya anuzWAtA ca
   sattvādiguṇabhedatas trividhaiva procyate guṇasaṃkhyāne guṇakāryagaṇane /	sattva Adi guNa BedataH triviDA eva procyate guNa saMKyAne guNa kArya gaNane /
   yathāvac chṛṇu tāny api tāni guṇato bhinnāni jñānādīni yathāvac chṛṇu //	yaTAvat SRNu tAni api tAni guNataH BinnAni jQAna AdIni yaTAvat SRNu //
   BhGR_18.19 //	BhGR_18.19 //
   sarvabhūteṣu yenaikaṃ bhāvam avyayam īkṣate /	sarva BUtezu yena ekam BAvam avyayam Ikzate /
   avibhaktaṃ vibhakteṣu taj jñānaṃ viddhi sāttvikam // BhGR_18.20 //	aviBaktam viBaktezu tat jQAnam vidDi sAttvikam // BhGR_18.20 //
   brāhmaṇakṣatriyabrahmacārigṛhasthādirūpeṇa vibhakteṣu sarveṣu bhūteṣu	brAhmaNa kzatriya brahmacAri gRhasTa Adi rUpeNa viBaktezu sarvezu BUtezu
   karmādhikāriṣu yena jñānenaikam ātmākhyaṃ bhāvaṃ, tatrāpy avibhaktam	karma aDikArizu yena jQAnena ekam Atma AKyam BAvan, tatra api aviBaktam
   brāhmaṇatvādyanekākāreṣv api bhūteṣu sitadīrghādivibhāgavatsu jñānākāre	brAhmaNa tva Adi aneka AkArezu api BUtezu sita dIrGa Adi viBAgavatsu jQAna AkAre
   ātmani vibhāgarahitam, avyayaṃ vyayasvabhāveṣv api brāhmaṇādiśarīreṣu	Atmani viBAga rahitam, avyayam vyaya svaBAvezu api brAhmaNa Adi SarIrezu
   avyayam avikṛtaṃ phalādisaṅgānarhaṃ ca karmādhikāravelāyām īkṣate, taj	avyayam avikRtam Pala Adi saFga anarham ca karma aDikAra velAyAm Ikzate, tad 
   jñānaṃ sāttvikaṃ viddhi // BhGR_18.20 //	jQAnam sAttvikam vidDi // BhGR_18.20 //
   pṛthaktvena tu yaj jñānaṃ nānābhāvān pṛthagvidhān /	pRTaktvena tu yat jQAnam nAnABAvAn pRTagviDAn /
   vetti sarveṣu bhūteṣu taj jñānaṃ viddhi rājasam // BhGR_18.21 //	vetti sarvezu BUtezu tat jQAnam vidDi rAjasam // BhGR_18.21 //
   sarveṣu bhūteṣu brāhmaṇādiṣu brāhmaṇādyākārapṛthaktvenātmākhyān api bhāvān	sarvezu BUtezu brAhmaNa Adizu brAhmaNa Adi AkAra pRTaktvena Atma AKyAn api BAvAn
   nānābhūtān sitadīrghādipṛthaktvena ca pṛthagvidhān phalādisaṃyogayogyān	nAnA BUtAn sita dIrGa Adi pRTaktvena ca pRTagviDAn Pala Adi saMyoga yogyAn
   karmādhikāravelāyāṃ yaj jñānaṃ vetti, taj jñānaṃ rājasaṃ viddhi //	karma aDikAra velAyAm yat jQAnam vetti, tat jQAnam rAjasam vidDi //
   BhGR_18.21 //	BhGR_18.21 //
   yat tu kṛtsnavad ekasmin kārye saktam ahetukam /	yat tu kRtsna vat ekasmin kArye saktam ahetukam /
   atattvārthavad alpaṃ ca tat tāmasam udāhṛtam // BhGR_18.22 //	atattva arTavat alpam ca tat tAmasam udAhRtam // BhGR_18.22 //
   yat tu jñānam, ekasmin kārye ekasmin kartavye karmaṇi	yat tu jQAnam, ekasmin kArye ekasmin kartavye karmaNi
   pretabhūtagaṇādyārādhanarūpe atyalpaphale kṛtsnaphalavat saktam, ahetukam	preta BUta gaNa Adi ArADana rUpe ati alpa Pale kRtsna Pala vat saktam, ahetukam
   vastutas tv akṛtsnaphalavattayā tathāvidhasaṅgaheturahitam atattvārthavat	vastutas tu akRtsna Palavat tayA taTAviDa saFga hetu rahitam atattva arTa vat
   pūrvavad evātmani pṛthaktvādiyuktatayā mithyābhūtārthaviṣayam,	pUrvavat eva Atmani pRTaktva Adi yukta tayA miTyA BUta arTa vizayam,
   atyalpaphalaṃ ca pretabhūtādyārādhanaviṣayatvād alpaṃ ca, taj jñānaṃ	ati alpa Palam ca preta BUta Adi ArADana vizaya tvAt alpam ca, tat jQAnam
   tāmasam udāhṛtam // BhGR_18.22 //	tAmasam udAhRtam // BhGR_18.22 //
   evaṃ kartavyakarmaviṣayajñānasyādhikāravelāyām adhikāryaṃśena guṇatas	evam kartavya karma vizaya jQAnasya aDikAra velAyAm aDikArI aMSena guNatas
   traividhyam uktvā anuṣṭheyasya karmaṇo guṇatas traividhyam āha	trEviDyam uktvA anuzWeyasya karmaNaH guNataH trEviDyam Aha
   niyataṃ saṅgarahitam arāgadveṣataḥ kṛtam /	niyatam saFga rahitam arAga dvezataH kRtam /
   aphalaprepsunā karma yat tat sāttvikam ucyate // BhGR_18.23 //	aPala prepsunA karma yat tat sAttvikam ucyate // BhGR_18.23 //
   niyatam svavarṇāśramocitam, saṅgarahitam kartṛtvādisaṅgarahitam,	niyatam sva varNa ASrama ucitam, saFga rahitam kartR tva Adi saFga rahitam,
   arāgadveṣataḥ kṛtam kīrtirāgād akīrtidveṣāc ca na kṛtam; adambhena kṛtam	arAga dvezataH kRtam kIrti rAgAt akIrti dvezAt ca na kRtam; adamBena kRtam
   ityarthaḥ; aphalaprepsunā aphalābhisandhinā kāryam ity eva kṛtaṃ yat	iti arTaH; aPala prepsunA aPala aBisanDinA kAryam iti eva kRtam yat 
   karma, tat sāttvikam ucyate // BhGR_18.23 //	karma, tat sAttvikam ucyate // BhGR_18.23 //
   yat tu kāmepsunā karma sāhaṅkāreṇa vā punaḥ /	yat tu kAma IpsunA karma sa ahaFkAreNa vA punar /
   kriyate bahulāyāsaṃ tad rājasam udāhṛtam // BhGR_18.24 //	kriyate bahula AyAsam tat rAjasam udAhRtam // BhGR_18.24 //
   yat tu punaḥ kāmepsunā phalaprepsunā sāhaṃkāreṇa vā vāśabdaś cārthe	yat tu punar kAma IpsunA Pala prepsunA sa ahaMkAreNa vA vA SabdaH ca arTe
   kartṛtvābhimānayuktena ca, bahulāyāsaṃ yat karma kriyate, tad rājasam	kartR tva aBimAna yuktena ca, bahula AyAsam yat karma kriyate, tat rAjasam
   bahulāyāsam idaṃ karma mayaiva kriyata ity evaṃrūpābhimānayuktena yat	bahula AyAsam idam karma mayA eva kriyate iti evaMrUpa aBimAna yuktena yat 
   karma kriyate, tad rājasam ityarthaḥ // BhGR_18.24 //	karma kriyate, tat rAjasam iti arTaH // BhGR_18.24 //
   anubandhaṃ kṣayaṃ hiṃsām anavekṣya ca pauruṣam /	anubanDam kzayam hiMsAm anavekzya ca pOruzam /
   mohād ārabhyate karma yat tat tāmasam ucyate // BhGR_18.25 //	mohAt AraByate karma yat tat tAmasam ucyate // BhGR_18.25 //
   kṛte karmaṇy anubadhyamānaṃ duḥkham anubandhaḥ; kṣayaḥ karmaṇi kriyamāṇe	kRte karmaNi anubaDyamAnam duHKam anubanDaH; kzayaH karmaNi kriyamANe
   arthavināśaḥ; hiṃsā tatra prāṇipīḍā; pauruṣam ātmanaḥ	arTa vinASaH; hiMsA tatra prANi pIxA; pOruzam AtmanaH
   karmasamāpanasāmarthyam; etāni anavekṣya avimṛśya, mohāt	karma samApana sAmarTyam; etAni anavekzya avimRSya, mohAt 
   paramapuruṣakartṛtvājñānād yat karmārabhyate, tat tāmasam ucyate //	parama puruza kartR tva ajQAnAt yat karma AraByate, tat tAmasam ucyate //
   BhGR_18.25 //	BhGR_18.25 //
   muktasaṅgo 'nahaṃvādī dhṛtyutsāhasamanvitaḥ /	mukta saFgaH anahaMvAdI DRti utsAha samanvitaH /
   siddhyasiddhyor nirvikāraḥ kartā sāttvika ucyate // BhGR_18.26 //	sidDi asidDyoH nirvikAraH kartA sAttvikaH ucyate // BhGR_18.26 //
   muktasaṅgaḥ phalasaṅgarahitaḥ anahaṃvādī kartṛtvābhimānarahitaḥ,	mukta saFgaH Pala saFga rahitaH anahaMvAdI kartR tva aBimAna rahitaH,
   dhṛtyutsāhasamanvitaḥ ārabdhe karmaṇi	DRti utsAha samanvitaH ArabDe karmaNi
   yāvatkarmasamāptyavarjanīyaduḥkhadhāraṇaṃ dhṛtiḥ; utsāhaḥ	yAvat karma samAptya varjanIya duHKa DAraNam DRtiH; utsAhaH
   udyuktacetastvam; tābhyāṃ samanvitaḥ, siddhyasiddhyor nirvikāraḥ yuddhādau	udyukta cetaH tvam; tAByAm samanvitaH, sidDi asidDyoH nirvikAraH yudDa AdO
   karmaṇi tadupakaraṇabhūtadravyārjanādiṣu ca siddhyasiddhyor avikṛtacittaḥ	karmaNi tad upakaraNa BUta dravya arjana Adizu ca sidDi asidDyoH avikRta cittaH
   kartā sāttvika ucyate // BhGR_18.26 //	kartA sAttvikaH ucyate // BhGR_18.26 //
   ragī karmaphalaprepsur lubdho hiṃsātmako 'śuciḥ /	ragI karma Pala prepsuH lubDaH hiMsA AtmakaH aSuciH /
   harṣaśokānvitaḥ kartā rājasaḥ parikīrtitaḥ // BhGR_18.27 //	harza Soka anvitaH kartA rAjasaH parikIrtitaH // BhGR_18.27 //
   rāgī yaśo'rthī, karmaphalaprepsuḥ karmaphalārthī; lubdhaḥ	rAgI yaSaH arTI, karma Pala prepsuH karma Pala arTI; lubDaH
   karmāpekṣitadravyavyayasvabhāvarahitaḥ, hiṃsātmakaḥ parān pīḍayitvā taiḥ	karma apekzita dravya vyaya svaBAva rahitaH, hiMsA AtmakaH parAn pIxayitvA tEH
   karma kurvāṇaḥ, aśuciḥ karmāpekṣitaśuddhirahitaḥ, harṣaśokānvitaḥ	karma kurvANaH, aSuciH karma apekzita SudDi rahitaH, harza Soka anvitaH
   yuddhādau karmaṇi jayādisiddhyasiddhyor harṣaśokānvitaḥ kartā rājasaḥ	yudDa AdO karmaNi jaya Adi sidDi asidDyoH harza Soka anvitaH kartA rAjasaH
   parikīrtitaḥ // BhGR_18.27 //	parikIrtitaH // BhGR_18.27 //
   ayuktaḥ prākṛtaḥ stabdhaḥ śaṭho naikṛtiko 'lasaḥ /	ayuktaH prAkRtaH stabDaH SaWaH nEkRtikaH alasaH /
   viṣādī dīrghasūtrī ca kartā tāmasa ucyate // BhGR_18.28 //	vizAdI dIrGasUtrI ca kartA tAmasaH ucyate // BhGR_18.28 //
   ayuktaḥ śāstrīyakarmāyogyaḥ, vikarmasthaḥ, prākṛtaḥ anadhigatavidyaḥ,	ayuktaH SAstrIya karmA yogyaH, vikarma sTaH, prAkRtaH anaDigata vidyaH,
   stabdhaḥ anārambhaśīlaḥ, śaṭhaḥ abhicārādikarmaruciḥ, naikṛtikaḥ	stabDaH anAramBa SIlaH, SaWaH aBicAra Adi karma ruciH, nEkRtikaH
   vañcanaparaḥ, alasaḥ ārabdheṣv api karmasu mandapravṛttiḥ, viṣādī	vaQcana paraH, alasaH ArabDezu api karmasu manda pravRttiH, viza AdI
   atimātrāvasādaśīlaḥ dīrghasūtrī abhicārādikarma kurvan pareṣu	atimAtra avasAda SIlaH dIrGasUtrI aBicAra Adi karma kurvan parezu
   dīrghakālavartyanarthaparyālocanaśīlaḥ, evaṃbhūto yaḥ kartā, sa tāmasaḥ //	dIrGa kAla varti anarTa paryAlocana SIlaH, evaMBUtaH yaH kartA, sa tAmasaH //
   BhGR_18.28 //	BhGR_18.28 //
   evaṃ kartavyakarmaviṣayajñāne kartavye ca karmaṇi anuṣṭhātari ca guṇatas	evam kartavya karma vizaya jQAne kartavye ca karmaNi anuzWAtari ca guNatas
   traividhyam uktam; idānīṃ sarvatattvasarvapuruṣārthaniścayarūpāyā buddher	trEviDyam uktam; idAnIm sarva tattva sarva puruza arTa niScaya rUpAyAH budDeH 
   dhṛteś ca guṇatas traividhyam āha	DRteH ca guNataH trEviDyam Aha
   buddher bhedaṃ dhṛteś caiva guṇatas trividhaṃ śṛṇu /	budDeH Bedam DRteH ca eva guNataH triviDam SRNu /
   procyamānam aśeṣeṇa pṛthaktvena dhanaṃjaya // BhGR_18.29 //	procyamAnam aSezeNa pRTaktvena DanaMjayaH // BhGR_18.29 //
   buddhiḥ vivekapūrvakaṃ niścayarūpaṃ jñānam; dhṛtiḥ ārabdhāyāḥ kriyāyā	budDiH viveka pUrvakam niScaya rUpam jQAnam; DRtiH ArabDAyAH kriyAyAH 
   vighnopanipāte 'pi dhāraṇam, tayos sattvādiguṇatas trividhaṃ bhedaṃ	viGna upanipAte api DAraNam, tayoH sattva Adi guNatas triviDam Bedam
   pṛthaktvena procyamānaṃ yathāvac chṛṇu // BhGR_18.29 //	pRTaktvena procyamAnam yaTAvat SRNu // BhGR_18.29 //
   pravṛttiṃ ca nivṛttiṃ ca kāryākārye bhayābhaye /	pravRttim ca nivRttim ca kArya akArye Baya aBaye /
   bandhaṃ mokṣaṃ ca yā vetti buddhiḥ sā pārtha sāttvikī // BhGR_18.30 //	banDam mokzam ca yA vetti budDiH sA pArTa sAttvikI // BhGR_18.30 //
   pravṛttiḥ abhyudayasādhanabhūto dharmaḥ, nivṛttiḥ mokṣasādhanabhūtaḥ, tav	pravRttiH aByudaya sADana BUtaH DarmaH, nivRttiH mokza sADana BUtaH, tav
   ubhau yathāvasthitau yā buddhir vetti; kāryākārye sarvavarṇānāṃ	uBO yaTA avasTitO yA budDiH vetti; kArya akArye sarva varNAnAm
   pravṛttinivṛttidharmayor anyataraniṣṭhānāṃ deśakālāvasthāviśeṣeṣu "idaṃ	pravRtti nivRtti DarmayoH anyatara nizWAnAm deSa kAla avasTA viSezezu "idam
