   Devīgītā	DevI-gItA
   atha pañcamo 'dhyāyaḥ -	aTa paQcamaH aDyAyaH -
   saptamaḥ skandhaḥ	saptamaH skanDaH
   atha pañcatriṃśo 'dhyāyaḥ	aTa paQcatriMSaH aDyAyaH
   himālaya uvāca	himAlayaH uvAca
   yogaṃ veda maheśāni sāṅgaṃ saṃvitpradāyakam /	yogam veda maheSAni sAFgam saMvid-pradAyakam /
   kṛtena yena yogyo 'haṃ bhaveyaṃ tattvadarśane // Dg_5.1 = DbhP_7,35.1 //	kRtena yena yogyaH aham Baveyam tattva-darSane // Dk-_5.1  DBP_7,35.1 //
   śrīdevyuvāca	SrI-devI-uvAca
   na yogo nabhasaḥ pṛṣṭhe na bhūmau na rasātale /	na yogaH naBasaH pRzWe na BUmO na rasAtale /
   aikyaṃ jīvātmanor āhur yogaṃ yogaviśāradāḥ // Dg_5.2 = DbhP_7,35.2 //	Ekyam jIvAtmanoH AhuH yogam yoga-viSAradAH // Dk-_5.2  DBP_7,35.2 //
   tatpratyūhāḥ ṣaḍākhyātā yogavighnakarānagha /	tad-pratyUhAH zaz-AKyAtAH yoga-viGna-kara-anaGa /
   kāmakrodhau lobhamohau madamātsaryasañjñakau // Dg_5.3 = DbhP_7,35.3 //	kAma-kroDO loBa-mohO mada-mAtsarya-saQjQakO // Dk-_5.3  DBP_7,35.3 //
   yogāṅgaireva bhittvā tānyogino yogamāpnuyuḥ /	yoga-aFgEH-eva BittvA tAn-yoginaH yogam-ApnuyuH /
   yamaṃ niyamamāsanaprāṇāyāmau tataḥ param // Dg_5.4 = DbhP_7,35.4 //	yamam niyamam-Asana-prANAyAmO tatas param // Dk-_5.4  DBP_7,35.4 //
   pratyāhāraṃ dhāraṇākhyaṃ dhyānaṃ sārdhaṃ samādhinā /	pratyAhAram DAraNa-AKyam DyAnam sArDam samADinA /
   aṣṭāṅgānyāhuretāni yogināṃ yogasādhane // Dg_5.5 = DbhP_7,35.5 //	azwa-aFgAni-AhuH-etAni yoginAm yoga-sADane // Dk-_5.5  DBP_7,35.5 //
   ahiṃsā satyamasteyaṃ brahmacaryaṃ dayārjavam /	ahiMsA satyam-asteyam brahmacaryam dayA-Arjavam /
   kṣamā dhṛtirmitāhāraḥ śaucaṃ ceti yamā daśa // Dg_5.6 = DbhP_7,35.6 //	kzamA DRtiH-mita-AhAraH SOcam ca-iti yamAH daSa // Dk-_5.6  DBP_7,35.6 //
   tapaḥ santoṣa āstikyaṃ dānaṃ devasya pūjanam /	tapaH santozaH Astikyam dAnam devasya pUjanam /
   siddhāntaśravaṇaṃ caiva hrīrmatiśca japo hutam // Dg_5.7 = DbhP_7,35.7 //	sidDAnta-SravaNam ca-eva hrIH-matiH-ca japaH hutam // Dk-_5.7  DBP_7,35.7 //
   daśaite niyamāḥ proktā mayā parvatanāyaka /	daSA-ete niyamAH proktAH mayA parvata-nAyakaH /
   padmāsanaṃ svastikaṃ ca bhadraṃ vajrāsanaṃ tathā // Dg_5.8 = DbhP_7,35.8	padmAsanam svastikam ca Badram vajrAsanam taTA // Dk-_5.8  DBP_7,35.8
   vīrāsanamiti proktaṃ kramādāsanapañcakam /	vIrAsanam-iti proktam kramAt-Asana-paQcakam /
   ūrvorupari vinyasya samyakpādatale śubhe // Dg_5.9 = DbhP_7,35.9 //	UrvoH-upari vinyasya samyak-pAda-tale SuBe // Dk-_5.9  DBP_7,35.9 //
   aṅguṣṭhau ca nibadhnīyāddhastābhyāṃ vyutkramāt tataḥ /	aFguzWO ca nibaDnIyAt-hastAByAm vyutkramAt tatas /
   padmāsanamiti proktaṃ yogināṃ hṛdayaṅgamam // Dg_5.10 = DbhP_7,35.10 //	padmAsanam-iti proktam yoginAm hRdayaFgamam // Dk-_5.10  DBP_7,35.10 //
   jānūrvorantare samyak kṛtvā pādatale śubhe /	jAnu-UrvoH-antare samyak kRtvA pAda-tale SuBe /
   kṛjukāyo viśedyogī svastikaṃ tatpracakṣate // Dg_5.11 = DbhP_7,35.11 //	kRju-kAyaH viSet-yogI svastikam tat-pracakzate // Dk-_5.11  DBP_7,35.11 //
   sīvanyāḥ pārśvayornyasya gulphayugmaṃ suniścitam /	sIvanyAH pArSvayoH-nyasya gulPa-yugmam su-niScitam /
   vṛṣaṇādhaḥ pādapārṣṇī pārṣṇibhyāṃ paribandhayet // Dg_5.12 = DbhP_7,35.12	vRzaNa-aDas pAda-pArzNI pArzNiByAm paribanDayet // Dk-_5.12  DBP_7,35.12
   bhadrāsanamiti proktaṃ yogibhiḥ paripūjitam /	BadrAsanam-iti proktam yogiBiH paripUjitam /
   urvoḥ pādau kramānnyasya jānvoḥ pratyaṅmukhāṅgulī // Dg_5.13 =	urvoH pAdO kramAt-nyasya jAnvoH pratyak-muKa-aFgulI // Dk-_5.13 =
   DbhP_7,35.13 //	DBu-_7,35.13 //
   karau vidadhyādākhyātaṃ vajrāsanamanuttamam /	karO vidaDyAt-AKyAtam vajrAsanam-anuttamam /
   ekaṃ pādamadhaḥ kṛtvā vinyasyoruṃ tathottare // Dg_5.14 = DbhP_7,35.14 //	ekam pAdam-aDas kRtvA vinyasya-Urum taTA-uttare // Dk-_5.14  DBP_7,35.14 //
   kṛjukāyo viśedyogī vīrāsanamitīritam /	kRju-kAyaH viSet-yogI vIrAsanam-iti-Iritam /
   iḍayākarṣayet vāyuṃ bāhyaṃ ṣoḍaśamātrayā // Dg_5.15 = DbhP_7,35.15 //	ixayA-Akarzayet vAyum bAhyam zoxaSa-mAtrayA // Dk-_5.15  DBP_7,35.15 //
   dhārayetpūritaṃ yogī catuḥṣaṣṭyā tu mātrayā /	DArayet-pUritam yogI catuHzazwyA tu mAtrayA /
   suṣumnāmadhyagaṃ samyagdvātriṃśanmātrayā śanaiḥ // Dg_5.16 = DbhP_7,35.16	suzumnA-maDya-gam samyak-dvAtriMSat-mAtrayA SanEs // Dk-_5.16  DBP_7,35.16
   nāḍyā piṅgalayā caiva recayedyogavittamaḥ /	nAxyA piFgalayA ca-eva recayet-yoga-vittamaH /
   prāṇāyāmamimaṃ prāhūryogaśāstraviśāradāḥ // Dg_5.17 = DbhP_7,35.17 //	prANAyAmam-imam prAhUH-yoga-SAstra-viSAradAH // Dk-_5.17  DBP_7,35.17 //
   bhūyobhūyaḥ kramāt tasya bāhyamevaṃ samācaret /	BUyas-BUyas kramAt tasya bAhyam-evam samAcaret /
   mātrāvṛddhiḥ krameṇaiva samyagdvādaśa ṣoḍaśa // Dg_5.18 = DbhP_7,35.18 //	mAtrA-vRdDiH krameNa-eva samyak-dvAdaSa zoxaSa // Dk-_5.18  DBP_7,35.18 //
   japadhyānādibhiḥ sārdhaṃ sagarbhaṃ taṃ vidurbudhāḥ /	japa-DyAna-AdiBiH sArDam sa-garBam tam viduH-buDAH /
   tadapetaṃ vigarbhaṃ ca prāṇāyāmaṃ pare viduḥ // Dg_5.19 = DbhP_7,35.19 //	tad-apetam vigarBam ca prANAyAmam pare viduH // Dk-_5.19  DBP_7,35.19 //
   kramādabhyasyataḥ puṃso dehe svedodgamo 'dhamaḥ /	kramAt-aByasyataH puMsaH dehe sveda-udgamaH aDamaH /
   madhyamaḥ kampasaṃyukto bhūmityāgaḥ paro mataḥ // Dg_5.20 = DbhP_7,35.20	maDyamaH kampa-saMyuktaH BUmi-tyAgaH paraH mataH // Dk-_5.20  DBP_7,35.20
   uttamasya guṇāvāptiryāvacchīlanam iṣyate /	uttamasya guNa-avAptiH-yAvat-SIlanam izyate /
   indriyāṇāṃ vicaratāṃ viṣayeṣu nirargalam // Dg_5.21 = DbhP_7,35.21 //	indriyANAm vicaratAm vizayezu nirargalam // Dk-_5.21  DBP_7,35.21 //
   balādāharaṇaṃ tebhyaḥ pratyāhāro 'bhidhīyate /	balAt-AharaNam teByaH pratyAhAraH aBiDIyate /
   aṅguṣṭhagulphajānūrumūlādhāraliṅganābhiṣu // Dg_5.22 = DbhP_7,35.22 //	aFguzWa-gulPa-jAnu-Uru-mUla-ADAra-liFga-nABizu // Dk-_5.22  DBP_7,35.22 //
   hṛdgrīvākaṇṭhadeśeṣu lambikāyāṃ tato nasi /	hRd-grIvA-kaNWa-deSezu lambikAyAm tatas nasi /
   bhrūmadhye mastake mūrdhni dvādaśānte yathāvidhi // Dg_5.23 = DbhP_7,35.23	BrU-maDye mastake mUrDni dvAdaSAnte yaTAviDi // Dk-_5.23  DBP_7,35.23
   dhāraṇaṃ prāṇamaruto dhāraṇeti nigadyate /	DAraNam prANa-marutaH DAraNA-iti nigadyate /
   samāhitena manasā caitanyāntaravartinā // Dg_5.24 = DbhP_7,35.24 //	samAhitena manasA cEtanya-antara-vartinA // Dk-_5.24  DBP_7,35.24 //
   ātmanyabhīṣṭadevānāṃ dhyānaṃ dhyānamihocyate /	Atmani-aBIzwa-devAnAm DyAnam DyAnam-iha-ucyate /
   samatvabhāvanā nityaṃ jīvātmaparamātmanoḥ // Dg_5.25 = DbhP_7,35.25 //	sama-tva-BAvanA nityam jIvAtma-paramAtmanoH // Dk-_5.25  DBP_7,35.25 //
   samādhimāhurmunayaḥ proktam aṣṭāṅgalakṣaṇam /	samADim-AhuH-munayaH proktam azwAFga-lakzaNam /
   idānīṃ kathaye te 'haṃ mantrayogamanuttamam // Dg_5.26 = DbhP_7,35.26 //	idAnIm kaTaye te aham mantra-yogam-anuttamam // Dk-_5.26  DBP_7,35.26 //
   viśvaṃ śarīramityuktaṃ pañcabhūtātmakaṃ naga /	viSvam SarIram-iti-uktam paQcaBUta-Atmakam naga /
   candrasūryāgnitejobhirjīvabrahmaikyarūpakam // Dg_5.27 = DbhP_7,35.27 //	candra-sUrya-agni-tejoBiH-jIva-brahma-Ekya-rUpakam // Dk-_5.27  DBP_7,35.27 //
   tisraḥ koṭyastadardhena śarīre nāḍayo matāḥ /	tisraH kowyaH-tad-arDena SarIre nAxayaH matAH /
   tāsu mukhyā daśa proktāstābhyastisro vyavasthitāḥ // Dg_5.28 =	tAsu muKyAH daSa proktAH-tAByaH-tisraH vyavasTitAH // Dk-_5.28 =
   DbhP_7,35.28 //	DBu-_7,35.28 //
   pradhānā merudaṇḍe 'tra candrasūryāgrarūpiṇī	praDAnAH merudaNxe atra candra-sUrya-agra-rUpiNI
   iḍā vāme sthitā nāḍī śubhrā tu candrarūpiṇī // Dg_5.29 = DbhP_7,35.29 //	ixA vAme sTitA nAxI SuBrA tu candra-rUpiNI // Dk-_5.29  DBP_7,35.29 //
   śaktirūpā tu sā nāḍī sākṣādamṛtavigrahā /	Sakti-rUpA tu sA nAxI sAkzAt-amRta-vigrahAH /
   dakṣiṇe yā piṅgalākhyā puṃrūpā sūryavigrahā // Dg_5.30 = DbhP_7,35.30 //	dakziNe yA piFgalA-AKyA puMrUpA sUrya-vigrahAH // Dk-_5.30  DBP_7,35.30 //
   sarvatejomayī sā tu suṣumnā vahnirūpiṇī /	sarva-tejaH-mayI sA tu suzumnA vahni-rUpiNI /
   tasyā madhye vicitrākhye icchājñānakriyātmakam // Dg_5.31 = DbhP_7,35.31	tasyAH maDye vicitra-AKye icCA-jQAna-kriyA-Atmakam // Dk-_5.31  DBP_7,35.31
   madhye svayaṃbhūliṅgaṃ tu koṭisūryasamaprabham /	maDye svayaMBU-liFgam tu kowi-sUrya-sama-praBam /
   tadūrdhvaṃ māyābījaṃ tu harātmā bindunādakam // Dg_5.32 = DbhP_7,35.32 //	tad-UrDvam mAyA-bIjam tu hara-AtmA bindunAdakam // Dk-_5.32  DBP_7,35.32 //
   tadūrdhvaṃ tu śikhākārā kuṇḍalī raktavigrahā /	tad-UrDvam tu SiKA-AkArA kuNxalI rakta-vigrahAH /
   devyātmikā tu sā proktā madabhinnā nagādhipa // Dg_5.33 = DbhP_7,35.33 //	devI-AtmikA tu sA proktA mada-BinnAH naga-aDipa // Dk-_5.33  DBP_7,35.33 //
   tadbāhye hemarūpābhaṃ vādisāntacaturdalam /	tad-bAhye hema-rUpa-ABam vAdi-sAnta-catur-dalam /
   drutahemasamaprakhyaṃ padmaṃ tatra vicintayet // Dg_5.34 = DbhP_7,35.34 //	druta-hema-sama-praKyam padmam tatra vicintayet // Dk-_5.34  DBP_7,35.34 //
   tadūrdhvaṃ tvanalaprakhyaṃ ṣaḍdalaṃ hīrakaprabham /	tad-UrDvam tu-anala-praKyam zaz-dalam hIraka-praBam /
   bādilāntaṣaḍvarṇena svādhiṣṭhānamanuttamam // Dg_5.35 = DbhP_7,35.35 //	bAdila-anta-zaz-varNena svADizWAnam-anuttamam // Dk-_5.35  DBP_7,35.35 //
   mūlamādhāraṣaṭkoṇaṃ mūlādhāraṃ tato viduḥ /	mUlam-ADAra-zawkoNam mUlADAram tatas viduH /
   svaśabdena paraṃ liṅgaṃ svādhiṣṭhānaṃ tato viduḥ // Dg_5.36 = DbhP_7,35.36	sva-Sabdena param liFgam svADizWAnam tatas viduH // Dk-_5.36  DBP_7,35.36
   tadūrdhvaṃ nābhideśe tu maṇipūraṃ mahāprabham /	tad-UrDvam nABi-deSe tu maNipUram mahA-praBam /
   meghābhaṃ vidyudābhaṃ ca bahutejomayaṃ tataḥ // Dg_5.37 = DbhP_7,35.37 //	meGa-ABam vidyut-ABam ca bahu-tejaH-mayam tatas // Dk-_5.37  DBP_7,35.37 //
   maṇivadbhinnaṃ tatpadmaṃ maṇipadmaṃ tathocyate /	maNi-vat-Binnam tat-padmam maNi-padmam taTA-ucyate /
   daśabhiśca dalairyuktaṃ ḍādiphāntākṣarānvitam // Dg_5.38 = DbhP_7,35.38 //	daSaBiH-ca dalEH-yuktam xAdi-PAnta-akzara-anvitam // Dk-_5.38  DBP_7,35.38 //
   viṣṇunādhiṣṭhitaṃ padmaṃ viṣṇvālokanakāraṇam /	vizNunA-aDizWitam padmam vizNu-Alokana-kAraNam /
   tadūrdhve 'nāhataṃ padmamudyadādityasannibham // Dg_5.39 = DbhP_7,35.39 //	tad-UrDve anAhatam padmam-udyada-Aditya-sanniBam // Dk-_5.39  DBP_7,35.39 //
   kādiṭhāntadalairekaṃ patraiśca samadhiṣṭhitam /	kAdiWa-anta-dalEH-ekam patrEH-ca samaDizWitam /
   tanmadhye bāṇaliṅgaṃ tu sūryāyutasamaprabham // Dg_5.40 = DbhP_7,35.40 //	tad-maDye bANa-liFgam tu sUrya-ayuta-sama-praBam // Dk-_5.40  DBP_7,35.40 //
   śabdabrahmamayaṃ śabdānāhataṃ tatra dṛśyate /	Sabdabrahma-mayam SabdAnAhatam tatra dRSyate /
   anāhatākhyaṃ tatpadmaṃ munibhiḥ parikīrtitam // Dg_5.41 = DbhP_7,35.41 //	anAhata-AKyam tat-padmam muniBiH parikIrtitam // Dk-_5.41  DBP_7,35.41 //
   ānandasadanaṃ tattu puruṣādhiṣṭhitaṃ param /	Ananda-sadanam tat-tu puruza-aDizWitam param /
   tadūrdhvaṃ tu viśuddhākhyaṃ dalaṃ ṣoḍaśapaṅkajam // Dg_5.42 = DbhP_7,35.42	tad-UrDvam tu viSudDa-AKyam dalam zoxaSa-paFkajam // Dk-_5.42  DBP_7,35.42
   svaraiḥ ṣoḍaśabhiryuktaṃ dhūmravarṇam mahāprabham /	svarEH zoxaSaBiH-yuktam DUmra-varNam mahA-praBam /
   viśuddhaṃ tanute yasmājjīvasya haṃsalokanāt // Dg_5.43 = DbhP_7,35.43 //	viSudDam tanute yasmAt-jIvasya haMsa-lokanAt // Dk-_5.43  DBP_7,35.43 //
   viśuddhaṃ padmamākhyātamākāśākhyaṃ mahādbhutam /	viSudDam padmam-AKyAtam-AkASa-AKyam mahA-adButam /
   ājñācakraṃ tadūrdhve tu ātmanādhiṣṭhitaṃ param // Dg_5.44 = DbhP_7,35.44	AjQAcakram tad-UrDve tu AtmanA-aDizWitam param // Dk-_5.44  DBP_7,35.44
   ājñāsaṃkramaṇaṃ tatra tenājñeti prakīrtitam /	AjQA-saMkramaNam tatra tena-ajQA-iti prakIrtitam /
   dvidalaṃ hakṣasaṃyuktaṃ padmaṃ tatsumanoharam // Dg_5.45 = DbhP_7,35.45 //	dvi-dalam hakza-saMyuktam padmam tat-su-manoharam // Dk-_5.45  DBP_7,35.45 //
   kailāsākhyaṃ tadūrdhvaṃ tu rodhinī tu tadūrdhvataḥ /	kElAsa-AKyam tad-UrDvam tu roDinI tu tad-UrDvatas /
   evaṃ tvādhāracakrāṇi proktāni tava suvrata // Dg_5.46 = DbhP_7,35.46 //	evam tu-ADAra-cakrANi proktAni tava suvrata // Dk-_5.46  DBP_7,35.46 //
   sahasrārayutaṃ bindusthānaṃ tadūrdhvamīritam /	sahasra-Ara-yutam bindu-sTAnam tad-UrDvam-Iritam /
   ityetatkathitaṃ sarvam yogamārgamanuttamam // Dg_5.47 = DbhP_7,35.47 //	iti-etat-kaTitam sarvam yoga-mArgam-anuttamam // Dk-_5.47  DBP_7,35.47 //
   ādau pūrakayogenāpyādhāre yojayenmanaḥ /	AdO pUraka-yogena-api-ADAre yojayet-manaH /
   gudameḍhrāntare śaktistāmākuñcya prabodhayet // Dg_5.48 = DbhP_7,35.48 //	guda-meXra-antare SaktiH-tAm-AkuQcya praboDayet // Dk-_5.48  DBP_7,35.48 //
   liṅgabhedakrameṇaiva binducakraṃ ca prāpayet /	liFga-Beda-krameNa-eva bindu-cakram ca prApayet /
   śambhunā tāṃ parāṃ śaktimekībhūtāṃ vicintayet // Dg_5.49 = DbhP_7,35.49 //	SamBunA tAm parAm Saktim-ekIBUtAm vicintayet // Dk-_5.49  DBP_7,35.49 //
   tatrotthitāmṛtam yattu drutalākṣārasopamam /	tatra-utTita-amRtam yat-tu druta-lAkzA-rasa-upamam /
   pāyayitvā tu tāṃ śaktiṃ māyākhyāṃ yogasiddhidam // Dg_5.50 = DbhP_7,35.50	pAyayitvA tu tAm Saktim mAyA-AKyAm yoga-sidDi-dam // Dk-_5.50  DBP_7,35.50
   ṣaḍcakradevatāstatra santarpyāmṛtadhārayā /	zaz-cakra-devatAH-tatra santarpya-amRta-DArayA /
   ānayettena mārgeṇa mūlādhāraṃ tataḥ sudhī // Dg_5.51 = DbhP_7,35.51 //	Anayet-tena mArgeNa mUlADAram tatas suDI // Dk-_5.51  DBP_7,35.51 //
   evamabhyasyamānasyāpyahanyahani niścitam /	evam-aByasyamAnasya-api-ahani-ahani niScitam /
   pūrvoktadūṣitā mantrāḥ sarve sidhyanti nānyathā // Dg_5.52 = DbhP_7,35.52	pUrva-ukta-dUzitAH mantrAH sarve siDyanti na-anyaTA // Dk-_5.52  DBP_7,35.52
   jarāmaraṇaduḥkhādyairmucyate bhavabandhanāt /	jarA-maraNa-duHKa-AdyEH-mucyate Bava-banDanAt /
   ye guṇāḥ santi devyā me jaganmāturyathā tathā // Dg_5.53 = DbhP_7,35.53 //	ye guNAH santi devyA me jaganmAtuH-yaTA taTA // Dk-_5.53  DBP_7,35.53 //
   te guṇāḥ sādhakavare bhavantyeva na cānyathā /	te guNAH sADaka-vare Bavanti-eva na ca-anyaTA /
   ityevaṃ kathitaṃ tāta vāyudhāraṇamuttamam // Dg_5.54 = DbhP_7,35.54 //	iti-evam kaTitam tAta vAyu-DAraNam-uttamam // Dk-_5.54  DBP_7,35.54 //
   idānīṃ dhāraṇākhyaṃ tu śṛṇuṣvāvahito mama /	idAnIm DAraNa-AKyam tu SRNuzva-avahitaH mama /
   dikkālādyanavacchinnadevyāṃ ceto vidhāya ca // Dg_5.55 = DbhP_7,35.55 //	dikkAla-Adi-anavacCinna-devyAm cetaH viDAya ca // Dk-_5.55  DBP_7,35.55 //
   tanmayo bhavati kṣipraṃ jīvabrahmaikyayojanāt /	tad-mayaH Bavati kzipram jIva-brahma-Ekya-yojanAt /
   athavā samalaṃ ceto yadi kṣipraṃ na siddhyati // Dg_5.56 = DbhP_7,35.56 //	aTavA sa-malam cetaH yadi kzipram na sidDyati // Dk-_5.56  DBP_7,35.56 //
   tadāvayavayogena yogī yogānsamabhyaset /	tadA-avayava-yogena yogI yogAn-samaByaset /
   madīyahastapādādāvaṅge tu madhure naga // Dg_5.57 = DbhP_7,35.57 //	madIya-hasta-pAda-AdO=-aFge tu maDure naga // Dk-_5.57  DBP_7,35.57 //
   cittaṃ saṃsthāpayenmantrī sthānasthānajayātpunaḥ /	cittam saMsTApayet-mantrI sTAna-sTAna-jayAt-punar /
   viśuddhacittaḥ sarvasminrūpe samsthāpayenmanaḥ // Dg_5.58 = DbhP_7,35.58	viSudDa-cittaH sarvasmin-rUpe samsTApayet-manaH // Dk-_5.58  DBP_7,35.58
   yāvanmano layaṃ yāti devyāṃ saṃvidi parvata /	yAvat-manaH layam yAti devyAm saMvidi parvataH /
   tāvadiṣṭamanuṃ mantrī japahomaiḥ samabhyaset // Dg_5.59 = DbhP_7,35.59 //	tAvat-izwa-manum mantrI japa-homEH samaByaset // Dk-_5.59  DBP_7,35.59 //
   mantrābhyāsena yogena jñeyajñānāya kalpate /	mantra-aByAsena yogena jQeya-jQAnAya kalpate /
   na yogena vinā mantro na mantreṇa vinā hi saḥ // Dg_5.60 = DbhP_7,35.60 //	na yogena vinA mantraH na mantreNa vinA hi saH // Dk-_5.60  DBP_7,35.60 //
   dvayorabhyāsayogo hi brahmasaṃsiddhikāraṇam /	dvayoH-aByAsa-yogaH hi brahma-saMsidDi-kAraNam /
   tamaḥ parivṛte gehe ghaṭo dīpena dṛśyate // Dg_5.61 = DbhP_7,35.61 //	tamaH parivRte gehe GawaH dIpena dRSyate // Dk-_5.61  DBP_7,35.61 //
   evaṃ māyāvṛto hyātmā manunā gocarīkṛtaḥ /	evam mAyA-AvRtaH hi-AtmA manunA gocarIkRtaH /
   iti yogavidhiḥ kṛtsnaḥ sāṅgaḥ prokto mayā 'dhunā // Dg_5.62 = DbhP_7,35.62	iti yoga-viDiH kRtsnaH sa-aFgaH proktaH mayA aDunA // Dk-_5.62  DBP_7,35.62
   gurūpadeśato jñeyo nānyathā śāstrakoṭibhiḥ // Dg_5.63 = DbhP_7,35.63 //	guru-upadeSataH jQeyaH na-anyaTA SAstra-kowiBiH // Dk-_5.63  DBP_7,35.63 //
   iti devīgītāyāṃ pañcamo 'dhyāyaḥ -	iti devI-gItAyAm paQcamaH aDyAyaH -
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāṃ pañcatriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm paQcatriMSaH-
   'dhyāyaḥ	aDyAyaH
   atha ṣaṣṭho 'dhyāyaḥ -	aTa zazWaH aDyAyaH -
   saptamaḥ skandhaḥ	saptamaH skanDaH
   atha ṣaṭtriṃśo 'dhyāyaḥ	aTa zawtriMSaH aDyAyaH
   devyuvāca	devI-uvAca
   ityādiyogayuktātmā dhyāyenmāṃ brahmarūpiṇīm /	ityAdi-yoga-yukta-AtmA DyAyet-mAm brahma-rUpiNIm /
   bhaktyā nirvyājayā rājannāsane samupasthitaḥ // Dg_6.1 = DbhP_7,36.1 //	BaktyA nirvyAjayA rAjan=-Asane samupasTitaH // Dk-_6.1  DBP_7,36.1 //
   āviḥ sannihitaṃ guhācaraṃ nāma mahatpadam /	AviH sannihitam guhAcaram nAma mahat-padam /
   atraitat sarvam arpitam ejat prāṇannimiṣacca yat // Dg_6.2 = DbhP_7,36.2	atra-etat sarvam arpitam ejat prANat-nimizat-ca yat // Dk-_6.2  DBP_7,36.2
   etajjānatha sadasadvareṇyaṃ paraṃ vijñānādyadvariṣṭhaṃ prajānām /	etat-jAnaTa sat-asat-vareNyam param vijQAnAt-yat-varizWam prajAnAm /
   yadarcimadyadaṇubhyo 'ṇu ca yasmiṃllokā nihitā lokinaśca // Dg_6.3 =	yat-arci-madya-daNuByaH aNu ca yasmin=-lokAH nihitAH lokinaH-ca // Dk-_6.3 =
   DbhP_7,36.3 //	DBu-_7,36.3 //
   tadetadakṣaraṃ brahma sa prāṇastadu vāṅmanaḥ /	tat-etat-akzaram brahma sa prANaH-tadu vAc-manaH /
   tadetat satyam amṛtaṃ tadveddhavyaṃ saumya viddhi // Dg_6.4 = DbhP_7,36.4	tat-etat satyam amRtam tat-vedDavyam sOmya vidDi // Dk-_6.4  DBP_7,36.4
   dhanurgṛhītvaupaniṣadaṃ mahāstraṃ śaraṃ hyupāsāniśitaṃ sandhayīta /	DanuH-gRhItvA-Opanizadam mahA-astram Saram hi-upAsAH-niSitam sanDayIta /
   āyamya tadbhāvagatena cetasā lakṣyaṃ tadevākṣaraṃ saumya viddhi // Dg_6.5	Ayamya tad-BAva-gatena cetasA lakzyam tat-eva-akzaram sOmya vidDi // Dk-_6.5
   = DbhP_7,36.5 //	 DBu-_7,36.5 //
   praṇavo dhanuḥ śaro hyātmā brahma tallakṣyam ucyate /	praNavaH DanuH SaraH hi-AtmA brahma tat-lakzyam ucyate /
   apramattena veddhavyaṃ śaravattanmayo bhavet // Dg_6.6 = DbhP_7,36.6 //	apramattena vedDavyam Sara-vat-tad-mayaH Bavet // Dk-_6.6  DBP_7,36.6 //
   yasmin dyauśca pṛthivī cāntarikṣam otaṃ manaḥ saha prāṇaiśca sarvaiḥ /	yasmin dyOH-ca pRTivI ca-antarikzam otam manaH saha prANEH-ca sarvEH /
   tam evaikaṃ jānathātmānam anyā vāco vimuñcathāmṛtasyaiṣa setuḥ // Dg_6.7 =	tam eva-ekam jAnaTa-AtmAnam anyAH vAcaH vimuQcaTa-amRtasya-eza setuH // Dk-_6.7 =
   DbhP_7,36.7 //	DBu-_7,36.7 //
   arā iva rathanābhau saṃhatā yatra nāḍyaḥ /	arAH iva raTa-nABO saMhatAH yatra nAxyaH /
   sa eṣo 'ntaścarate bahudhā jāyamānaḥ // Dg_6.8 = DbhP_7,36.8 //	saH ezaH antar-carate bahuDA jAyamAnaH // Dk-_6.8  DBP_7,36.8 //
   Omityevaṃ dhyāyathātmānaṃ svasti vaḥ pārāya tamasaḥ parastāt /	Om-iti-evam DyAyaTa-AtmAnam svasti vaH pArAya tamasaH parastAt /
   divye brahmapure vyomni ātmā sampratiṣṭhitaḥ // Dg_6.9 = DbhP_7,36.9 //	divye brahma-pure vyomni AtmA sampratizWitaH // Dk-_6.9  DBP_7,36.9 //
   manomayaḥ prāṇaśarīranetā pratiṣṭhito 'nne hṛdayaṃ sannidhāya /	manaH-mayaH prANa-SarIra-netA pratizWitaH anne hRdayam sanniDAya /
   tadvijñānena paripaśyanti dhīrā ānandarūpam amṛtaṃ yadvibhāti // Dg_6.10 =	tad-vijQAnena paripaSyanti DIrAH Ananda-rUpam amRtam yat-viBAti // Dk-_6.10 =
   DbhP_7,36.10 //	DBu-_7,36.10 //
   bhidyate hṛdayagranthiśchidyante sarvasaṃśayāḥ /	Bidyate hRdaya-granTiH-Cidyante sarva-saMSayAH /
   kṣīyante cāsya karmāṇi tasmin dṛṣṭe parāvare // Dg_6.11 = DbhP_7,36.11 //	kzIyante ca-asya karmANi tasmin dRzwe parAvare // Dk-_6.11  DBP_7,36.11 //
   hiraṇmaye pare kośe virājaṃ brahma niṣkalam /	hiraNmaye pare koSe virAjam brahma nizkalam /
   tacchubhraṃ jyotiṣāṃ jyotis tadyadātmavido viduḥ // Dg_6.12 = DbhP_7,36.12	tat-SuBram jyotizAm jyotiH tat-yat-Atma-vidaH viduH // Dk-_6.12  DBP_7,36.12
   na tatra sūryo bhāti na candratārakaṃ nemā vidyuto bhānti kuto 'yam agniḥ	na tatra sUryaH BAti na candra-tArakam na-imAH vidyutaH BAnti kutas ayam agniH
   tameva bhāntam anubhāti sarvaṃ tasya bhāsā sarvam idaṃ vibhāti // Dg_6.13	tam-eva BAntam anuBAti sarvam tasya BAsA sarvam idam viBAti // Dk-_6.13
   = DbhP_7,36.13 //	 DBu-_7,36.13 //
