   Vidyākaraśānti: Tarkasopāna	VidyAkara-SAnti: Tarka-sopAna
   kvacit kṛtakatvaṃ yathā kurmaromni / kṛtakaś ca śabda iti / atra	kvacid kRtaka-tvam yaTA kurma-romni / kRtakaH ca SabdaH iti / atra
   dṛṣṭāntadharmiṇā sādhyadharmiṇo hetukṛtaṃ vaisadṛśyam abhidheyam //	dRzwAnta-DarmiNA sADya-DarmiNaH hetu-kRtam vEsadRSyam aBiDeyam //
   8. kāryahetor vaidharmyavān prayogaḥ / asaty agnau na bhavaty eva dhūmo	8. kArya-hetoH vEDarmyavAn prayogaH / asati agnO na Bavati eva DUmaH-
   yathā mahāhrade / dhūmaś cātreti / (Ts 299) atra dṛṣṭāntadharmiṇā	yaTA mahAhrade / DUmaH ca-atra-iti / (TH 299) atra dRzwAnta-DarmiNA
   sādhyadharmiṇo hetukṛtaṃ vaisadṛśyam abhidheyam //	sADya-DarmiNaH hetu-kRtam vEsadRSyam aBiDeyam //
   9. trirūpaliṅgākhyānaṃ parārtham anumānam ity arthān na pakṣādivacanam	9. trirUpa-liFga-AKyAnam para-arTam anumAnam iti arTAn na pakza-Adi-vacanam
   anumānam uktaṃ bhavati / tatra pratijñā tāvan na sākṣāt sādhanam / arthād	anumAnam uktam Bavati / tatra pratijQA tAvat na sAkzAt sADanam / arTAt-
   evārthagateḥ / artha eva hy arthaṃ gamayati pratibandhān / nābhidhānaṃ	eva-arTa-gateH / arTaH eva hi arTam gamayati pratibanDAn / na-aBiDAnam
   viparyayāt / pāraṃparyeṇāpi na bhavati / sādhyasyaivābhidhānāt /	viparyayAt / pAraMparyeNa-api na Bavati / sADyasya-eva-aBiDAnAt /
   sādhyasādhanadharmaviśeṣopadarśanārtham anavayavabhūtāpi pratijñā	sADya-sADana-Darma-viSeza-upadarSana-arTam anavayava-BUtA-api pratijQA
   dṛṣṭāntavat prayujyata iti cet / na / evaṃ hy anujñādivākyam api	dRzwAnta-vat prayujyate iti ced / na / evam hi anujQAdi-vAkyam api
   prayoktavyaṃ syāt / na hi tair vinā eva sādhanasya pravṛttir saṃbhavati /	prayoktavyam syAt / na hi tEH vinA eva sADanasya pravRttiH saMBavati /
   viṣayopadarśanam api niṣphalam / tenāpi vinā sādhyapratīteḥ / tathā hi yat	vizaya-upadarSanam api nizPalam / tena-api vinA sADya-pratIteH / taTA hi yat-
   kṛtakaṃ tat sarvam anityaṃ kṛtakaś ca śabda ity etāvanmātre prayukte	kRtakam tat sarvam anityam kRtakaH ca SabdaH iti etAvat-mAtre prayukte
   'nityaḥ śabda iti pratītir bhavaty evāntareṇa pratijñāvacanam / nanv asati	anityaH SabdaH iti pratItiH Bavati eva-antareNa pratijQA-vacanam / nanu asati
   pratijñāvacane sapakṣādivyavasthā katham / tathā hi sādhyadharmasāmānyena	pratijQA-vacane sa-pakza-Adi-vyavasTA kaTam / taTA hi sADya-Darma-sAmAnyena
   samāno 'rthaḥ sapakṣaḥ / tadabhāvaprabhāvitaś cāsapakṣa iti / asati hi	samAnaH arTaH sa-pakzaH / tad-aBAva-praBAvitaH ca-asapakzaH iti / asati hi
   pratijñānirdeśe pakṣāpekṣānibandhanaṃ trairūpyaṃ nāstīti / asad etat /	pratijQA-nirdeSe pakza-apekzA-nibanDanam trErUpyam na-asti-iti / asat etat /
   tathā hi pratijñāvacanam antareṇāpi sarvaṃ saṃpadyata eva / upanayanasya	taTA hi pratijQA-vacanam antareNa-api sarvam saMpadyate eva / upanayanasya
   punar arthaḥ pakṣadharmavacanenaiva nirdiṣṭa iti na tatpūrvake tasya	punar arTaH pakza-Darma-vacanena-eva nirdizwaH iti na tad-pUrvake tasya
   kaścid upayogaḥ / vyāptipūrvake vacane pakṣadharmavacanād eva	kaScid upayogaH / vyApti-pUrvake vacane pakza-Darma-vacanAt eva
   tadarthasiddheḥ kim anenopanayena / nigamanam apy aniṣṭaṃ sādhanavākyāṅgam	tad-arTa-sidDeH kim anena-upanayena / nigamanam api anizwam sADana-vAkya-aFgam
   iti //	iti //
   (Ts 300)	(TH 300)
   10. trirūpaliṅgākhyānaṃ parārtham anumānam ity uktam / trayāṇāṃ rūpāṇām	10. triru-upa-liFga-AKyAnam para-arTam anumAnam iti uktam / trayANAm rUpANAm
   ekasyāpi rūpasyānuktau sādhanābhāsaḥ / uktasyāpy asiddhau saṃdehe ca	ekasya-api rUpasya-anuktO sADana-ABAsaH / uktasya-api asidDO saMdehe ca
   pratipādyapratipādakayoḥ / trayāṇāṃ rūpāṇāṃ madhya ekasyānuktau /	pratipAdya-pratipAdakayoH / trayANAm rUpANAm maDye ekasya-anuktO /
   apiśabdād dvayor api / sādhanasyābhāsaḥ sādhanasya sadṛśam ity arthaḥ /	api-SabdAt dvayoH api / sADanasya-ABAsaH sADanasya sadRSam iti arTaH /
   uktasyāpiśabdād anuktāv api / asiddhau saṃdehe vā pratipādyasya	uktasya-api-SabdAt anuktO api / asidDO saMdehe vA pratipAdyasya
   pratipādakasya hetvābhāsaḥ /	pratipAdakasya hetvABAsaH /
   11. tatraikasya rūpasya dharmisaṃbandhasyāsiddhau saṃdehe cāsiddho	11. tatra-ekasya rUpasya Darmi-saMbanDasya-asidDO saMdehe ca-asidDaH-
   hetvābhāsaḥ / yathā śabdasyānityatve sādhye cākṣuṣatvam ubhayāsiddham /	hetvABAsaH / yaTA Sabdasya-anitya-tve sADye cAkzuza-tvam uBaya-asidDam /
   cetanās tarava iti sādhye sarvatvagapaharaṇe maraṇaṃ prativādyasiddham /	cetanAH taravaH iti sADye sarva-tvac-apaharaNe maraNam prativAdya-sidDam /
   vijñānendriyāyurnirodhaIakṣaṇasya maraṇasyānenābhyupagamāt / acetanāḥ	vijQAna-indriya-AyuH-niroDa-IakzaNasya maraNa-sya-anena-aByupagamAt / acetanAH
   sukhādaya iti sādhya utpattimattvam anityatvaṃ vā sāṃkhyasya svayaṃvādino	suKa-AdayaH iti sADyaH utpattimat-tvam anitya-tvam vA sAMKyasya svayaMvAdinaH-
   'siddham / atra cotpattimattvam anityatvaṃ vā paryāyeṇa hetur na yugapat	asidDam / atra ca-utpattimat-tvam anitya-tvam vA paryAyeNa hetuH na yugapad-
   tathā hi parārtho hetūpanyāsaḥ / parasya cāsata utpāda utpattimattvaṃ	taTA hi para-arTaH hetu-upanyAsaH / parasya ca-asataH utpAdaH utpattimat-tvam
   sataś ca niranvayo vināśo 'nityatvaṃ siddham iti / tathā svayaṃ	sataH ca niranvayaH vinASaH anitya-tvam sidDam iti / taTA svayam
   tadāśrayaṇasya vā saṃdehe 'siddhaḥ / yathā bāspādibhāvena saṃdigdho	tad-ASrayaNasya vA saMdehe asidDaH / yaTA bAspa-Adi-BAvena saMdigDaH-
   bhūtasaṃghāto 'gnisiddhau bhūtānāṃ pṛthivyādīnāṃ saṃghātaḥ samūho	BUta-saMGAtaH agni-sidDO BUtAnAm pRTivI-AdInAm saMGAtaH samUhaH-
   'gnisiddhyartham upādīyamāno 'siddhaḥ / yathā ceha nikūñjemayūraḥ	agni-sidDi-arTam upAdIyamAnaH asidDaH / yaTA ca-iha nikUQjemayUraH
   kekāyitād iti tadāpātadeśavibhrame / āpātanam āpātas tasya kekāyitasyāpāta	kekAyitAt iti tad-ApAta-deSa-viBrame / ApAtanam ApAtaH tasya kekAyitasya-ApAta
   utpādas tasya deśas tasya vibhramo bhrāntiḥ / atha vā āpataty āgacchaty	utpAdaH tasya deSaH tasya viBramaH BrAntiH / aTa vA Apatati AgacCati-
   asmād ity āpātaḥ / sa eva deśas tadāpātadeśaḥ / tasya vibhrame / yat punar	asmAt iti ApAtaH / saH eva deSaH tad-ApAta-deSaH / tasya viBrame / yat punar-
   ucyate 'nyair āpāta āgamanam iti tad ayuktam / (Ts 301) na hi	ucyate anyEH ApAtaH Agamanam iti tat ayuktam / (Ts 301) na hi
   śrotrendriyasya prāpyakāritā ghaṭate / nāpīdaṃ bauddhadarśanam / tathā hy	Srotra-indriyasya prApya-kAritA Gawate / na-api-idam bOdDa-darSanam / taTA hi-
   uktam abhidharmakośe /	uktam aBiDarmakoSe /
   cakṣuḥśrotramano 'prāptaviṣayaṃ trayam anyatheti /	cakzuH-Srotra-manaH aprApta-vizayam trayam anyaTA-iti /
   āśrayāsiddhyāpy asiddhaḥ / yathā sarvagata ātmā	ASraya-asidDyA-api asidDaH / yaTA sarva-gataH AtmA
   sarvatropalabhyamānaguṇatvād ākāśavat / sarvatropalabhyamānaguṇāḥ	sarvatra-upalaByamAna-guNa-tvAt AkASa-vat / sarvatra-upalaByamAna-guNAH
   sukhādayo yasya tadbhāvas tattvaṃ / tasmād yady ayam ātmā sarvagato na	suKa-AdayaH yasya tad-BAvaH tattvam / tasmAt yadi ayam AtmA sarva-gataH na
   bhavet / kathaṃ dakṣiṇāpatha upalabdhāḥ sukhādayo madhyadeśa upalabhyante	Bavet / kaTam dakziNApaTaH upalabDAH suKa-AdayaH maDyadeSaH upalaByante
   / ākāśavad iti dṛṣṭānte ākāśasya guṇaḥ śabdaḥ / sa ca yathā vikāriṇi	/ AkASa-vat iti dRzwAnte AkASasya guNaH SabdaH / sa ca yaTA vikAriNi
   puruṣa upalabhyate tathānyatrāpīti / syād eṣa hetur yadi bauddhasya	puruzaH upalaByate taTA-anyatra-api-iti / syAt eza hetuH yadi bOdDasya
   sarvatropalabhyamānaguṇatvam ātmanaḥ siddhaṃ syāt / yāvad ātmaiva na	sarvatra-upalaByamAna-guNa-tvam AtmanaH sidDam syAt / yAvat AtmA-eva na
   siddhaḥ // tad evam asiddhaḥ ṣaṭprakāraḥ // // //	sidDaH // tat evam asidDaH zaz-prakAraH // // //
   12. tathaikasya rūpasyāsapakṣe 'sattvasyāsiddhāv anaikāntiko hetvābhāsaḥ /	12. taTA-ekasya rUpasya-Asapakze asattvasya-asidDO anEkAntikaH hetvABAsaH /
   yathā śabdasya nityatvādike dharme sādhye prameyatvādiko dharmaḥ	yaTA Sabdasya nitya-tva-Adike Darme sADye prameya-tva-AdikaH DarmaH
   sapakṣavipakṣayoḥ sarvatraikadeśe ca vartamānaḥ / nityatvādika ity	sa-pakza-vipakzayoH sarvatra-eka-deSe ca vartamAnaH / nitya-tva-AdikaH iti-
   ātrādiśabdena prayatnānantarīyakatvāprayatnānantarīyakatvayor grahaṇam /	Atra-Adi-Sabdena prayatna-anantarIyaka-tva-aprayatna-AnantarIyaka-tvayoH grahaNam /
   prameyatvādika ity atrādiśabdenānityatvāsparśatvayor grahaṇam / kiṃbhūtaḥ	prameya-tva-AdikaH iti atra-Adi-Sabdena-anitya-tva-asparSa-tvayoH grahaNam / kiMBUtaH
   prameyatvādiko dharmo 'naikāntikaḥ / sapakṣavipakṣayoḥ sarvatraikadeśe ca	prameya-tva-AdikaH DarmaH anEkAntikaH / sa-pakza-vipakzayoH sarvatra-eka-deSe ca
   vartamānaḥ / nityaḥ śabdaḥ prameyatvād ity atra nityatve sādhye	vartamAnaH / nityaH SabdaH prameya-tvAt iti atra nitya-tve sADye
   prameyatvaṃ sapakṣavipakṣayor vartate / ekadeśe ca vartamāna ity atrāpi	prameya-tvam sa-pakza-vipakzayoH vartate / eka-deSe ca vartamAnaH iti atra-api
   sapakṣavipakṣayor iti saṃbandhanīyaṃ / caśabdenaitat kathayati / na	sa-pakza-vipakzayoH iti saMbanDanIyam / caSabdena-etat kaTayati / na
   kevalaṃ sapakṣavipakṣavyāpi (Ts 302) prameyatvam anaikāntiko hetvābhāsaḥ /	kevalam sa-pakza-vipakza-vyApi (Ts 302) prameya-tvam anEkAntikaH hetvABAsaH /
   yo 'pi sapakṣavyāpī vipakṣaikadeśavṛttiḥ / tathā vipakṣavyāpī	yaH api sa-pakza-vyApI vipakza-eka-deSa-vRttiH / taTA vipakza-vyApI
   sapakṣaikadeśavṛttīḥ / yo vā sapakṣavipakṣayor ekadeśavṛttiḥ sarvo 'sāv	sa-pakza-eka-deSa-vRttIH / yaH vA sa-pakza-vipakzayoH eka-deSa-vRttiH sarvaH asO=-
   anaikāntiko hetvābhāsa iti / tatra prayatnānantariyakaḥ śabdo 'nityatvād	anEkAntikaH hetvABAsaH iti / tatra prayatna-anantariyakaH SabdaH anitya-tvAt-
   ghaṭavad ity ayaṃ vipakṣaikadeśavṛttiḥ / vidyuti vartamānatvād ākāśādāv	Gawa-vat iti ayam vipakza-eka-deSa-vRttiH / vidyuti vartamAna-tvAt AkASa-AdO=-
   avartamānatvāt sapakṣavyāpī tu bhavaty eva / sarvasya	avartamAna-tvAt sa-pakza-vyApI tu Bavati eva / sarvasya
   prayatnānantarīyakasyānityatvāt / aprayatnānantarīyakaḥ śabdo 'nityatvād	prayatna-AnantarIyakasya-anitya-tvAt / aprayatna-anantarIyakaH SabdaH anitya-tvAt-
   vidyud iva / ayaṃ sapakṣaikadeśavṛttiḥ / aprayatnānantarīyako 'sya sapakṣo	vidyut iva / ayam sa-pakza-eka-deSa-vRttiH / aprayatna-AnantarIyakaH asya sa-pakzaH-
   'vidyudākāśādiḥ / tatrānityatvaṃ vidyuti vartate nākāśādau /	avidyut-AkASa-AdiH / tatra-anitya-tvam vidyuti vartate na-AkASa-AdO /
   vipakṣavyāpītu bhavaty eva / sarvaprayatnānantarīyake 'nityatvasya	vipakza-vyApItu Bavati eva / sarva-prayatna-AnantarIyake anitya-tvasya
   gatatvāt / nityaḥ śabdo 'sparśatvāt paraśuvat / asparśatvaṃ hi	gata-tvAt / nityaH SabdaH asparSa-tvAt paraSu-vat / asparSa-tvam hi
   vipakṣaikadeśe buddhyādau sapakṣaikadeśe cākāśādau vartata ity	vipakza-eka-deSe budDi-AdO sa-pakza-eka-deSe ca-AkASa-AdO vartate iti-
   ubhayapakṣaikadeśavṛttiḥ / evaṃ caturvidhaḥ sādhāraṇānaikāntiko nirdiṣṭaḥ	uBaya-pakza-eka-deSa-vRttiH / evam caturviDaH sADAraNA-anEkAntikaH nirdizwaH
   13. tathā 'syaiva rūpasya saṃdehe 'py anaikāntika eva / yathā sarvajñaḥ	13. taTA asya-eva rUpasya saMdehe api anEkAntikaH eva / yaTA sarvajQaH
   kaścid vivakṣitaḥ puruṣo rāgādimān veti sādhye vaktṛtvādiko dharmaḥ	kaScid vivakzitaH puruzaH rAga-AdimAn vA-iti sADye vaktR-tva-AdikaH DarmaH
   saṃdigdhavipakṣavyāvṛttikaḥ / sarvatraikadeśe vā sarvajño vaktā	saMdigDa-vipakza-vyAvRttikaH / sarvatra-eka-deSe vA sarvajQaH vaktA
   nopalabhyata iti / evaṃ prakārasyānupalambhasyādṛṣyātmaviṣayatvena	na-upalaByate iti / evam prakArasya-anupalamBasya-adRzi-Atma-vizaya-tvena
   saṃdehahetutvāt / asarvajñaviparyayād vaktṛtvāder vyāvṛttiḥ saṃdigdhā //	saMdeha-hetu-tvAt / asarvajQa-viparyayAt vaktR-tva-AdeH vyAvRttiH saMdigDAH //
   14. dvayo rūpayor viparyayasiddhau viruddhaḥ / kayor dvayoḥ / sapakṣe	14. dvayoH rUpayoH viparyaya-sidDO virudDaH / kayoH dvayoH / sa-pakze
   sattvasyāsapakṣe cāsattvasya yathā kṛtakatvaṃ prayatnānantarīyakatvaṃ ca	sattvasya-Asapakze ca-asattvasya yaTA kRtaka-tvam prayatna-AnantarIyaka-tvam ca
   nityatve sādhye viruddhahetvābhāsaḥ // dvayor upādānam	nitya-tve sADye virudDa-hetu-ABAsaH // dvayoH upAdAnam
   asapakṣavyāpyasapakṣaikadeśavṛttitvena bhedāt / anayoḥ (Ts 303) sapakṣe	asapakza-vyApya-sapakza-eka-deSa-vRtti-tvena BedAt / anayoH (TH 303) sa-pakze
   'sattvam asapakṣe ca sattvam iti viparyayasiddhiḥ / etau	asattvam asapakze ca sattvam iti viparyaya-sidDiH / etO
   sādhyaviparyayasādhanād viruddhau // dvayo rūpayor ekasyāsiddhāv aparasya	sADya-viparyaya-sADanAt virudDO // dvayoH rUpayoH ekasya-asidDO aparasya
   ca saṃdehe 'naikāntikaḥ / dvayor ity anvayavyatirekayoḥ / ekasyāsiddhāv	ca saMdehe anEkAntikaH / dvayoH iti anvaya-vyatirekayoH / ekasya-asidDO=-
   iti / asapakṣe 'sattvasya / aparasya saṃdeha iti sapakṣe sattvasya / yathā	iti / asapakze asattvasya / aparasya saMdehaH iti sa-pakze sattvasya / yaTA
   vītarāgaḥ sarvajño vā vaktṛtvād iti / vyatireko 'trāsiddhaḥ saṃdigdho	vIta-rAgaH sarvajQaH vA vaktR-tvAt iti / vyatirekaH atra-asidDaH saMdigDaH-
   'nvayaḥ / sarvajñavītarāgayor viprakarṣād vacanādes tatra sattvam asattvaṃ	anvayaH / sarvajQa-vIta-rAgayoH viprakarzAt vacana-AdeH tatra sattvam asattvam
   vā saṃdigdham / anayor eva dvayo rūpayoḥ saṃdehe 'naikāntikaḥ / yathā	vA saMdigDam / anayoH eva dvayoH rUpayoH saMdehe anEkAntikaH / yaTA
   sātmakaṃ jīvaccharīraṃ prāṇādimattvād iti / na hi sātmakānatmakābhyām anyo	sa-Atmakam jIvat-SarIram prANa-AdimattvAt iti / na hi sa-Atmaka-AnatmakAByAm anyaH-
   rāśir asti yatra praṇādir vartate / nāpy anayor ekatra vṛttiniścayaḥ / ata	rASiH asti yatra praNAdiH vartate / na-api anayoH ekatra vRtti-niScayaH / ata
   evānvayavyatirekayoḥ saṃdehād anaikāntikaḥ / sādhyetarayor ato	eva-anvaya-vyatirekayoH saMdehAt anEkAntikaH / sADya-itarayoH atas-
   niścayābhavāt /	niScaya-aBavAt /
   15. evam eteṣāṃ trayāṇāṃ rūpāṇāṃ ekaikasya dvayor dvayor vā rūpayor	15. evam etezAm trayANAm rUpANAm ekEkasya dvayoH dvayoH vA rUpayoH-
   asiddhau saṃdehe ca yathāyogam asiddhaviruddhānaikāntikās trayo	asidDO saMdehe ca yaTAyogam asidDa-virudDa-anEkAntikAH trayaH-
   hetvābhāsāḥ / evam anantaroktena krameṇa trayo hetvābhasaḥ /	hetvABAsAH / evam anantara-uktena krameNa trayaH hetvABasaH /
   asiddhaviruddhānaikāntikāḥ / trāyāṇāṃ rūpāṇāṃ	asidDa-virudDa-anEkAntikAH / trAyANAm rUpANAm
   pakṣadharmānvayavyatirekākhyānāṃ madhye / ekaikasya rūpasyāsiddhau saṃdehe	pakza-Darma-anvaya-vyatireka-AKyAnAm maDye / ekEkasya rUpasya-asidDO saMdehe
   ca / tathā dvayor dvayor vā rūpayor asiddhau saṃdehe ca yathāyogam iti	ca / taTA dvayoH dvayoH vA rUpayoH asidDO saMdehe ca yaTAyogam iti
   yathāsaṃbhavam / tatra dharmisaṃbandhasyaikasya rūpasyāsiddhāv asiddhaḥ /	yaTAsaMBavam / tatra Darmi-saMbanDasya-ekasya rUpasya-asidDO asidDaH /
   tathā sapakṣe sattvasyāsiddhau saṃdehe cānaikāntika uktaḥ / evam ekaikasya	taTA sa-pakze sattvasya-asidDO saMdehe ca-anEkAntikaH uktaH / evam ekEkasya
   rūpasyāsiddhau saṃdehe cāsiddho 'naikāntikaś ca hetvābhāsa (Ts 304) uktaḥ	rUpasya-asidDO saMdehe ca-asidDaH anEkAntikaH ca hetvABAsa (TH 304) uktaH
   / tathā dvayor dvayo rūpayor viparyayasiddhau viruddho hetvābhāsa uktaḥ /	/ taTA dvayoH dvayoH rUpayoH viparyaya-sidDO virudDaH hetvABAse uktaH /
   asapakṣe sattvasya ca saṃdehe vā 'naikāntika uktaḥ / tathā	asapakze sattvasya ca saMdehe vA anEkAntikaH uktaH / taTA
   sapakṣāsapakṣayor api hetoḥ sadasattvasaṃdehe 'naikāntika eva / evaṃ	sa-pakza-Asa-pakzayoH api hetoH sat-asattva-saMdehe anEkAntikaH eva / evam
   dvayor dvayor asiddhau saṃdehe ca viruddho 'naikāntikaś ca hetvābhāsa iti	dvayoH dvayoH asidDO saMdehe ca virudDaH anEkAntikaH ca hetvABAse iti
   16. nanu katham uktaṃ trayo hetvābhāsā iti / yāvatā vaiphalyam api hetoḥ	16. nanu kaTam uktam trayaH hetvABAsAH iti / yAvatA vEPalyam api hetoH
   pṛthagdūṣaṇam asti / tad uktam /	pRTak-dUzaNam asti / tat uktam /
   sādhanaṃ yad vivādena nyastaṃ tac cen na sādhyate /	sADanam yat vivAdena nyastam tat ced na sADyate /
   kiṃ sādhyam anyathāniṣṭaṃ bhaved vaiphalyam eva vā // iti	kim sADyam anyaTA-anizwam Bavet vEPalyam eva vA // iti
   atra kecid āhuḥ satyam asty eva vaiphalyaṃ hetoḥ pṛthagdūṣaṇaṃ / yat punar	atra kecid AhuH satyam asti eva vEPalyam hetoH pRTak-dUzaNam / yat punar-
   asiddhaviruddhānaikāntikakathanaṃ viniścayādau tad asāmarthyaprabhedena /	asidDa-virudDa-anEkAntika-kaTanam viniScaya-AdO tat asAmarTya-praBedena /
   dvividhaṃ hi sādhanasya dūṣaṇaṃ bhavati / asāmarthyaṃ vaiyarthyaṃ ca /	dviviDam hi sADanasya dUzaNam Bavati / asAmarTyam vEyarTyam ca /
   asāmarthyaṃ tv asiddhaviruddhānaikantikabhedāt trividham / vaiyarthyaṃ tv	asAmarTyam tu asidDa-virudDa-an-Ekantika-BedAt triviDam / vEyarTyam tu-
   ekam eveti / syād etad yadi vaiyarthyaṃ nāma hetor dūṣaṇaṃ syāt kiṃ tu	ekam eva-iti / syAt etat yadi vEyarTyam nAma hetoH dUzaNam syAt kim tu
   pramāṇasya / tad uktam udyotakareṇāpi / adhigatam api gamayatā pramāṇena	pramANasya / tat uktam udyota-kareNa-api / aDigatam api gamayatA pramANena
   piṣṭaṃ piṣṭaṃ syād iti / nyāyaparameśvarair api kīrttipādair uktam /	pizwam pizwam syAt iti / nyAya-parameSvarEH api kIrtti-pAdEH uktam /
   niṣpāditakriye kaścid viśeṣam asamādadhat /	nizpAdita-kriye kaScid viSezam asamAdaDat /
   karmaṇy aindriyam anyad vā sādhanaṃ kim itīṣyata iti	karmaNi Endriyam anyat vA sADanam kim iti-izyate iti
   tataś ca katham idaṃ vaiyarthyaṃ hetor dūṣaṇam / (Ts 305) athaivam ucyate	tatas ca kaTam idam vEyarTyam hetoH dUzaNam / (TH 305) aTa-evam ucyate
   pramāṇājanakatvād dhetur api vyartha ucyata iti / evaṃ hi vāstavam idaṃ	pramANa-ajanaka-tvAt DetuH api vyarTaH ucyate iti / evam hi vAstavam idam
   hetor na dūṣaṇaṃ syāt / vāstavaṃ dūṣaṇaṃ vaktavyaṃ / kiṃ ca / yadi	hetoH na dUzaNam syAt / vAstavam dUzaNam vaktavyam / kim ca / yadi
   vaiyarthyaṃ hetor dūṣanaṃ bhinnaṃ syāt / yathāsiddhatāpratipakṣeṇa heto	vEyarTyam hetoH dUzanam Binnam syAt / yaTA-sidDa-tA-pratipakzeNa heto
   rūpaṃ pakṣadharmatā / viruddhatāpratipakṣeṇānvayaḥ /	rUpam pakza-DarmatA / virudDa-tA-pratipakzeNa-anvayaH /
   anaikāntikatāpratipakṣena ca vyatirekaś coktaḥ / tathā	anEkAntika-tA-pratipakzena ca vyatirekaH ca-uktaH / taTA
   vaiyarthyapratipakṣeṇāpy anyad rūpam uktaṃ syāt / na cānyad rūpaṃ hetor	vEyarTya-pratipakzeNa-api anyat rUpam uktam syAt / na ca-anyat rUpam hetoH-
   ghaṭate / yadi tarhīdaṃ vaiyarthyaṃ na pṛthagdūṣaṇaṃ kathaṃ tarhy anena	Gawate / yadi tarhi-idam vEyarTyam na pRTak-dUzaNam kaTam tarhi anena
   vādī nigṛhyate //	vAdI nigRhyate //
   17. atra kecid āhuḥ / asiddha eva vaiyarthyaṃ antarbhavatīti / tathā hi	17. atra kecid AhuH / asidDaH eva vEyarTyam antarBavati-iti / taTA hi
   jijñāsitaviśeṣo dharmī pakṣaḥ / taddharmaś ca hetuḥ / tato	jijQAsita-viSezaH DarmI pakzaH / tad-DarmaH ca hetuH / tatas-
   'pakṣadharmatvād vaiyarthyam asiddha evāntaryāti / anye tu sudhiya evam	apakza-Darma-tvAt vEyarTyam asidDaH eva-antar-yAti / anye tu suDiyaH evam
   āhuḥ / nedaṃ hetor dūṣaṇaṃ kiṃ tu parārthānumāne vaktur api guṇadoṣāś	AhuH / na-idam hetoH dUzaNam kim tu para-arTa-anumAne vaktuH api guNa-doza-AH-
   cintyante iti viphalābhidhāyī apratibhayaiva nigṛhyata iti / tathā hi	cintyante iti viPala-aBiDAyI apratiBayA-eva nigRhyate iti / taTA hi
   prakṛtam eva sādhyaṃ nāprakṛtam iti sādhyatāyāḥ prakṛter niyāmaka eṣa	prakRtam eva sADyam na-aprakRtam iti sADyatAyAH prakRteH niyAmakaH eza
   panthā / evaṃ kṛtvā parisaṃkhyānaṃ na virudhyate / doṣāḥ punar nyūnatvam	panTAH / evam kRtvA parisaMKyAnam na viruDyate / dozAH punar nyUna-tvam
   asiddhir vādinā sādhayitum iṣṭasyārthasya viparyayasādhanam aṣṭādaśa	asidDiH vAdinA sADayitum izwasya-arTasya viparyaya-sADanam azwAdaSa
   dṛṣṭāntadoṣāś ceti / atra ca yac codyaṃ parihāraśca tad	dRzwAnta-dozAH ca-iti / atra ca yat ca-udyam parihAraH-ca tat-
   granthavistarabhayān na likhitam iti / sthitam etad (Ts 306) yadi	granTa-vistara-BayAt na liKitam iti / sTitam etat (TH 306) yadi
   vaiyarthyaṃ hetor dūṣaṇaṃ tadāsiddha evāntarbhavati / no ced	vEyarTyam hetoH dUzaNam tadA-asidDaH eva-antar-Bavati / no ced-
   apratibhayaiveti //	apratiBayA-eva-iti //
   18. triIakṣaṇo hetur uktas tāvatārthapratītir iti na pṛthag dṛṣṭānto nāma	18. triIakzaNaH hetuH uktaH tAvatA-arTa-pratItiH iti na pRTak dRzwAntaH nAma
   sādhanāvayavaḥ kaścit / tena nāsya lakṣaṇaṃ pṛthag ucyate gatārthatvāt /	sADana-avayavaH kaScid / tena na-asya lakzaNam pRTak ucyate gata-arTa-tvAt /
   hetoḥ sapakṣa eva sattvam asapakṣāc ca sarvato vyāvṛttī rūpam uktam	hetoH sa-pakzaH eva sattvam asapakzAt ca sarvatas vyAvRttiH rUpam uktam
   abhedena i punar aviśeṣeṇa kāryasvabhāvayor janmatanmātrānubandhau	aBedena i punar aviSezeNa kArya-svaBAvayoH janma-tanmAtra-anubanDO
   darśanīyāv uktau / rūpaśabdaḥ pratyekam abhisaṃbadhyate / hetoḥ sapakṣa	darSanIyO uktO / rUpa-SabdaH pratyekam aBisaMbaDyate / hetoH sa-pakza
   eva sattvam iti sādhyenānugatam idam ekaṃ rūpam asapakṣāc ca sarvato	eva sattvam iti sADyena-anugatam idam ekam rUpam asapakzAt ca sarvatas-
   vyāvṛttir iti sādhyanivṛttyā nivṛttir asya dvitīyaṃ rūpam uktam /	vyAvRttiH iti sADya-nivRttyA nivRttiH asya dvitIyam rUpam uktam /
   abhedeneti svabhāvādihetum akṛtvā / janmatanmātre saty anubaddhau /	aBedena-iti svaBAva-Adi-hetum akRtvA / janma-tanmAtre sati anubadDO /
   sādhānaṃ kṛteti samāsaḥ / tac ca darśayatā dhūmas tatrāgnir iti asaty	sADAnam kRtA-iti samAsaH / tat ca darSayatA DUmaH tatra-agniH iti asati-
   agnau na kvacid dhumo yathā mahānasetarayoḥ / yatra kṛtakatvaṃ	agnO na kvacid DumaH yaTA mahAn-asa-itarayoH / yatra kRtaka-tvam
   tatrānityatvam anityatvābhāve kṛtakatvāsaṃbhavo yathā ghaṭākāśayor iti	tatra-anitya-tvam anitya-tva-aBAve kRtaka-tva-asaMBavaH yaTA Gawa-AkASayoH iti
   darśanīyam / na hy anyathā sapakṣavipakṣayoḥ sadasattve yathoktaprakāre	darSanIyam / na hi anyaTA sa-pakza-vipakzayoH sat-asat-tve yaTA-ukta-prakAre
