   ṣaṣṭhaḥ paricchedaḥ	zazWaH paricCedaH
   dṛśyete tanvi ! yāvetau cārucandramasaṃ prati /	dRSyete tanvi ! yO= etO cAru candramasam prati /
   prājñe kalyāṇanāmānāvubhau tiṣyapunarvasū" //	prAjQe kalyANa nAmAnO= uBO tizya punarvasU" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) anuktasiddhyākhyaṃ lakṣaṇamāha   viśeṣeti /	(vi, Ba) anukta sidDi AKyam lakzaNam Aha   viSeza iti /
        prastāve prakaraṇe sati viśeṣārthasya ūhaḥ praṇidhānena gamyatvam /	prastAve prakaraNe sati viSeza arTasya UhaH praNiDAnena gamya tvam /
        prakaraṇābhāve tu tādṛśohāsambhava eveti bhāvaḥ /	prakaraNa aBAve tu tAdRSaH ha asamBavaH eva iti BAvaH /
        dṛśyeta iti /	dRSyeta iti /
        he tanvi ! he prājñe ! candramasaṃ prati candramasi yāvetau cārū	he tanvi ! he prAjQe ! candramasam prati candramasi yO= etO cArU
   dṛśyete tāvubhau kalyāṇanāmānau tiṣyapunarvasū ityarthaḥ /	dRSyete tO= uBO kalyANa nAmAnO tizya punarvasU iti arTaH /
        atra taddvayaviśiṣṭacandratṛlyatā prākaraṇikanetradvayaviśiṣṭe mukhe	atra tad dvaya viSizwa candra tRlya tA prAkaraNika netra dvaya viSizwe muKe
   ūhyate /	Uhyate /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   syātpramāṇayituṃ pūjyaṃ priyoktirharṣabhāṣaṇam // VisSd_6.194 //	syAt pramANayitum pUjyam priya uktiH harza BAzaNam // VisSd _6.194 //
   yathā śākuntale   	yaTA SAkuntale   
   udeti pūrvaṃ kusumaṃ tataḥ phalaṃ ghanodayaḥ prāktadanantaraṃ payaḥ /	udeti pUrvam kusumam tatas Palam Gana udayaH prAk tad anantaram payaH /
   nimittanaimittikayorayaṃ vidhistava prasādasya purastu sampadaḥ //	nimitta nEmittikayoH ayam viDiH tava prasAdasya puras tu sampadaH //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) priyavacaḥ saṃjñakaṃ lakṣaṇamāha  syāditi /	(vi, ma) priya vacaH saMjQakam lakzaNam Aha  syAt iti /
        pūjyaṃ janaṃ pramāṇayitumiti pramāṇatvena utkṛṣṭatvena jñāpayituṃ	pUjyam janam pramANayitum iti pramANa tvena utkRzwa tvena jQApayitum
   harṣeṇa bhāṣaṇaṃ priyoktiḥ priyavaca ityarthaḥ /	harzeNa BAzaNam priya uktiH priya vacaH iti arTaH /
        udetīti /	udeti iti /
        tava prasādasyeti /	tava prasAdasya iti /
        prasādajanyānāṃ sampadāṃ śīghrotpattyā purastvāropaḥ /	prasAda janyAnAm sampadAm SIGra utpattyA puraH tu AropaH /
        atra muneḥ prakṛṣṭatvapratipādanārthamidaṃ harṣabhāṣaṇam /	atra muneH prakRzwa tva pratipAdana arTam idam harza BAzaNam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha nāṭyālaṅkārāḥ  	aTa nAwya alaFkArAH  
   āśīrākrandakapaṭājñamāgarvodyamāśrayāḥ /	ASIra Akrandaka pawa AjQam Agarva udyamASrayAH /
   utprāsanaspṛhākṣobhapaścāttāpopapattayaḥ // VisSd_6.195 //	utprAsana spRhA kzoBa paScAttApa upapattayaH // VisSd _6.195 //
   āśaṃsādhyavasāyau ca visarpāllekhasaṃjñitau /	ASaMsa aDyavasAyO ca visarpAt leKa saMjQitO /
   uttejanaṃ parīvādo nītirarthaviśeṣaṇam // VisSd_6.196 //	uttejanam parIvAdaH nItiH arTa viSezaNam // VisSd _6.196 //
   protsāhanaṃ ca sāhāyyamabhimāno 'nuvartanam /	protsAhanam ca sAhAyyam aBimAnaH anuvartanam /
   utkīrttanaṃ tathā yācñā parihāro nivedanam // VisSd_6.197 //	utkIrttanam taTA yAcQA parihAraH nivedanam // VisSd _6.197 //
   pravartanākhyānayuktipraharṣāścopadeśanam /	pravartana AKyAna yukti praharzAH ca upadeSanam /
   iti nāṭyālaṅkṛtayo nāṭyabhūṣaṇahetavaḥ // VisSd_6.198 //	iti nAwya alaFkRtayaH nAwya BUzaNa hetavaH // VisSd _6.198 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) nāṭyālaṅkṛtayastrastriṃśāditi yaduktaṃ tā vaktumāha   atheti	(vi, ya) nAwya alaFkRtayaH trastriMSAt iti yat uktam tAH vaktum Aha   aTa iti
        tā alaṅkatīruddiśati   āśīrityādi /	tAH alaFka tIH uddiSati    ASIH ityAdi /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   āśīriṣṭajanāśaṃsā   	ASIrizwa jana ASaMsA   
   yathā śākuntale   	yaTA SAkuntale   
   yayāteriva śamiṣṭhā patyurbahumatā bhava /	yayAteH iva SamizWA patyuH bahu matA Bava /
   putraṃ tvamapi samrājaṃ seva pūrumavāpnuhi //	putram tvam api samrAjam seva pUrum avApnuhi //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ra) āśīrākhyānamalaṅkṛtimāha   āśīriṣṭajaneti /	(vi, ra) ASIra AKyAnam alaFkRti m Aha   ASIrizwa jana iti /
        iṣṭajane āśīrvādaḥ ityarthaḥ /	izwa jane ASIrvAdaH iti arTaH /
        śarmiṣṭā puruṃ putraṃ yathā prāpa tathā tvamāpyevaṃ putraṃ	SarmizwA purum putram yaTA prApa taTA tvam Api evam putram
   prāpnuhītyanvayaḥ /	prApnuhi iti anvayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
      ākandaḥ pralapitaṃ śucau /	   AkandaH pralapitam SucO /
   yathā veṇyām  "kañcakī  hā devi ! kunti ! rājabhavanapatāke ! " ityādi /	yaTA veNyAm  " kaQcakI  hAH devi ! kunti ! rAja Bavana patAke ! " ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, la) ākrandākhyāmalaṅkṛtimāha   ākranda iti /	(vi, la) Akranda AKyAm alaFkRti m Aha   AkrandaH iti /
        spaṣṭam /	spazwam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kapaṭaṃ māyayā yatra rūpamanyadvibhāvyate // VisSd_6.199 //	kapawam mAyayA yatra rUpam anyat viBAvyate // VisSd _6.199 //
   yathākulapatyaṅke   	yaTA kula patyaFke   
   mṛgarūpaṃ parityajya vidhāya kapaṭaṃ vapuḥ /	mRga rUpam parityajya viDAya kapawam vapuH /
   nīyate rakṣasā tena lakṣmaṇo yudhi saṃśayam //	nIyate rakzasA tena lakzmaNaH yuDi saMSayam //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, va) kapaṭākhyāmalaṅkṛtimāha   kapaṭamiti /	(vi, va) kapawa AKyAm alaFkRti mAha   kapawam iti /
        vibhāvyate darśyate /	viBAvyate darSyate /
        mṛgarūpamiti /	mRga rUpam iti /
        tena māyāmṛgarūpeṇa mārīcarākṣaso mṛgarūpaṃ mṛgadharmaṃ svaraviśeṣaṃ	tena mAyA mRga rUpeNa mArIca rAkzasaH mRga rUpam mRga Darmam svara viSezam
   parityajya /	parityajya /
        arthādramaṇīyasvaraviśeṣamuccāryya ityarthaḥ /	arTAt ramaNIya svara viSezam uccAryyaH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   akṣamā sā paribhavaḥ svalpo 'pi" na viṣahyate /	akzamA sA pariBavaH su alpaH api" na vizahyate /
   yathā śākuntale   "rājā  bhoḥ satyavādin ! abhyupagataṃ tāvadasmābhiḥ /	yaTA SAkuntale   "rAja a  BoH satya vAdin ! aByupagatam tAvat asmABiH /
   kiṃ punarimāmabhisandhāya labhyate /	kim punar imAm aBisanDAya laByate /
   śārṅgaravaḥ   vinipātaḥ   'ityādi /	SArFga ravaH   vinipAtaH    aityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, śa) akṣamākhyāmalaṅkṛtimāha   akṣameti /	(vi, Sa) akzam A AKyAm alaFkRtim Aha   akzam eti /
        svalpe 'pi paribhavo yanna viṣahyate ityarthaḥ /	su alpe api pariBavaH yat na vizahyate iti arTaH /
        bho bho ityādi /	Bo Bo ityAdi /
        śakuntalāpariṇayamasmarantaṃ duṣyantaṃ prati taveyaṃ jāyeti	SakuntalA pariNayam asmarantam duzyantam prati tava iyam jAyA iti
   śārṅgaraveṇa kaṇvasiṣyeṇa ukte bho bho iti rājña uktiḥ /	SArFga raveNa kaNvasizyeNa ukte Bo Bo iti rAjQaH uktiH /
        imāṃ jāyām /	imAm jAyAm /
        utra bho bhoḥ satyavādinityākṣepoktyā kṛtasya paribhavasya vinipāta	utra Bo BoH satya vAdi nityAkzepa uktyA kRtasya pariBavasya vinipAta
   ityuktyā śārṅgaraveṇa na viṣehe /	iti uktyA SArFga raveNa na vizehe /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   garvo 'valepajaṃ vākyaṃ   	garvaH avalepa jam vAkyaM   
   yathā tatraiva   "rājā   mamāpi nāma sattvairabhibhūyante gṛhāḥ" /	yaTA tatra eva    "rAja a   mama api nAma sattvEH aBiBUyante gRhAH" /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṣa) garvākhyāmalaṅkṛtimāha   garva iti /	(vi, za) garva AKyAm alaFkRtim Aha   garvaH iti /
        avalepo 'haṅkāraḥ /	avalepaH ahaFkAraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
      kāryasyārambha udyamaḥ // VisSd_6.200 //	   kAryasya AramBaH udyamaH // VisSd _6.200 //
   yathā kumbhāṅke  "ravaṇaḥ  paśyāmi śokavivaśo 'ntakameva tāvat" /	yaTA kumBAFke  "ravaNaH  paSyAmi Soka vivaSaH antakam eva tAvat" /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, sa) udyamākhyāmalaṅkṛtimāha   kāryyasyeti /	(vi, sa) udyama AKyAm alaFkRti mAha    kAryyasya iti /
        kumbhe kumbhanāmni nāṭake paśyāmīti indrajitśokārttasya rāvaṇasya	kumBe kumBa nAmni nAwake paSyAmi iti indrajit Soka Arttasya rAvaNasya
   svayaṃ yuddhārambhe ātmano 'ntakatvakathanamidam /	svayam yudDa AramBe AtmanaH antakatva kaTanam idam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   grahaṇaṃ guṇavatkāryahetorāśraya ucyate /	grahaNam guNavat kArya hetoH ASrayaH ucyate /
   yathā vibhīṣaṇanirbhartsanāṅke  "vibhīṣaṇaḥ  rāmamevāśrayāmi" iti /	yaTA viBIzaNa nirBartsana aFke  " viBIzaNaH  rAmam eva ASrayAmi" iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ha) āśrayākhyāmalaṅkṛtimāha   grahaṇamiti /	(vi, ha) ASraya AKyAm alaFkRtim Aha   grahaNam iti /
        rāmameveti /	rAmam eva iti /
        atrātmano laṅkādhipatyasya guṇavatkāryyasya heto rāmāśrayaṇasya	atra AtmanaH laFkA ADipatyasya guNavat kAryyasya hetoH rAma ASrayaNasya
   grahaṇam /	grahaNam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   utprāsanaṃ tūpahāso yo 'sādhau sādhumānini // VisSd_6.201 //	utprAsanam tu upahAsaH yaH asADO sADu mAnini // VisSd _6.201 //
   yathā śākuntale  "śārṅgaravaḥ  rājan ! atha punaḥ	yaTA SAkunta le  "SArFga ravaH  rAjan ! aTa punar 
   pūrvavṛttāntamanyasaṅgadvismṛto bhavān /	pUrva vRttAntam anya saFga dvi smRtaH BavAn /
   tatkathamadharmabhīrordāraparityāgaḥ   " ityādi /	tad kaTam aDarma BIroH dAra parityAgaH   " ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) utprāsanākhyāmalaṅkṛtimāha   utprāsanamiti /	(vi, ka) utprAsana AKyAm alaFkRtim Aha   utprAsanam iti /
        sādhumānini, ātmani sādhutvamānini /	sADu mAnini, Atmani sADu tva mAnini /
        rājanityādirupahāsaḥ /	rAjan iti AdiH upahAsaH /
        kṛtavismaraṇāt rājño 'sādhutvam /	kRta vismaraNAt rAjQaH asADu tvam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ākāṅkṣā ramaṇīyatvādvastuno yā spṛhā tu sā /	AkAFkzA ramaNIya tvAt vastunaH yA spRhA tu sA /
   yathā tatraiva   "rājā   	yaTA tatra eva    "rAjA   
   cāruṇā sphuritenāyamaparikṣatakomalaḥ /	cAruNA sPuritena ayam aparikzata komalaH /
   pipāsato mamānujñāṃ dadātīva priyādharaḥ" //	pipAsataH mama anujQAm dadAti iva priya aDaraH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) spṛhākhyāmalaṅkṛtimāha   ākāṅkṣā iti /	(vi, Ka) spRhA AKyAm alaFkRti mAha   A kAFkzAH iti /
        cāruṇeti   śakuntalāyāḥ sphuradadharadarśanāt tatpāneccho rājña	cAruNa iti    SakuntalAyAH sPurat aDara darSanAt tad pAna icCaH rAjQa
   uktiriyam /	uktiH iyam /
        aparikṣatakomalo 'yamadharaścāruṇi sphuritena mama pānānujñāṃ	aparikzata komalaH ayam aDaraH ca aruNi sPuritena mama pAna anujQAm
   dadātīva ityarthaḥ /	dadAti iva iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   adhikṣepavacaḥkārī kṣobhaḥ proktaḥ sa eva tu // VisSd_6.202 //	aDikzepa vacaH kArI kzoBaH proktaH saH eva tu // VisSd _6.202 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) kṣobhākhyāmalaṅkṛtimāha   adhikṣepeti /	(vi, ga) kzoBa AKyAm alaFkRtim Aha   aDikzepa iti /
        adhikṣepaḥ tiraskāraḥ tadarthakavacojanako yaḥ kṣobhaḥ	aDikzepaH tiraskAraH tad arTa kavacojanakaH yaH kzoBaH
   krodhaścalacittatā sa kṣobhākhyo 'laṅkāra ityarthaḥ /	kroDaH cala citta tA sa kzoBa AKyaH alaFkAraH iti arTaH /
        tvayetyādikaṃ rāmaṃ prati rāvaṇasya vākyam /	tvayA iti Adikam rAmam prati rAvaNasya vAkyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā   tvayā tapasvicāṇḍāla ! pracchannavadhavartinā /	yaTA    tvayA tapasvi cANxAla ! pracCanna vaDa vartinA /
   na kevalaṃ hato vālī svātmā ca paralokataḥ //	na kevalam hataH vAlI sva AtmA ca para lokataH //
   mohāvadhīritārthasya paścāttāpaḥ sa eva tu /	moha avaDIrita arTasya paScAttApaH saH eva tu /
   yathānutāpāṅke  "rāmaḥ   	yaTA anutApa aFke  "rAmaH   
   kiṃ devyā na vicumbito 'smi bahuśo mithyābhiśaptastadā" iti /	kim devyAH na vicumbitaH asmi bahuSas miTyA aBiSaptaH tadA" iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) paścāttāpākhyāmalaṅkṛtimāha   mohāvadhīritārthasyeti /	(vi, Ga) paScAttApa AKyAm alaFkRti mAha   moha avaDIrita arTasya iti /
        gotraskhalitādito rāme mithyāmiśāpaṃ dattvā māninyāṃ sītāyāṃ	gotra sKalita AditaH rAme miTyA miSApam dattvA mAninyAm sItAyAm
   tāmanunīya kāryyāntarādvahirgatasya rāmasya tadā	tAm anunIya kAryya antarAt u ahiH gatasya rAmasya tadA
   tatkarttṛkacumbanakaraṇānutāpo 'yam /	tad karttRka cumbana karaNa anutApaH ayam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   upapattirmatā hetorupanyāsor'thasiddhaye // VisSd_6.203 //	upapattiH matA hetoH upanyAsoH aTa sidDaye // VisSd _6.203 //
   yathā vadhyaśilāyām   	yaTA vaDyaSilAyAm   
   "mriyate mriyamāṇo yā tvayi jīvati jīvati /	"mriyate mriyamANaH yA tvayi jIvati jIvati /
   tāṃ yadīcchasi jīvantīṃ rakṣātmānaṃ mamāsubhiḥ //	tAm yadi icCasi jIvantIm rakzA AtmAnam mama asuBiH //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) upapattyākhyāmalaṅkṛtimāha   upapattiriti /	(vi, Fa) upapatti AKyAm alaFkRtim Aha   upapattiH iti /
        arthasyābhimatārthasya siddhaye taddhatorupanyāsa ityarthaḥ /	arTasya aBimata arTasya sidDaye tad hatoH upanyAsaH iti arTaH /
        vadhyaśilā nāṭakaviśeṣaḥ /	vaDyaSilA nAwaka viSezaH /
        mriyata iti vadhyaśilāyāṃ hantumānītaṃ svamaraṇena mariṣyamāṇāṃ	mriyate iti vaDya SilAyAm hantum AnItam sva maraNena marizyamANAm
   svapriyāmanuśocantaṃ kañcit prati māhadayāloruktiriyam /	sva priyAm anuSocantam kaQcid prati mAhadayAloruktiH iyam /
        pūrvāddhoktarūpāṃ priyāṃ jīvantīṃ yadicchasi tadā māmāsubhirātmānaṃ	pUrva Adha ukta rUpAm priyAm jIvantIm yat icCasi tadA mAm AsuBiH AtmAnam
   rakṣa /	rakza /
        tvatparivarttamahaṃ mriye /	tvad parivarttam aham mriye /
        atra vadhyatrāṇaṃ vakturabhipretaṃ tatsiddhaye	atra vaDya trANam vaktuH aBipretam tad sidDaye
   vadhyapriyādīvanecchārūpetorupanyāsaḥ /	vaDya priyA dIvana it CAru upetoH upanyAsaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   āśaṃsanaṃ syādāśaṃsā   	ASaMsanam syAt ASaMsA   
   yathā śmaśāne   "mādhavaḥ   	yaTA SmaSAne   "mADavaH   
   "tatpaśyeyamanaṅgamaṅgalagṛhaṃ bhūyo 'pi tasyā mukham" iti /	"tad paSyeyam anaFga maFgala gRham BUyas api tasyAH muKam" iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) āśaṃsākhyāmalaṅkṛtimāha   āśaṃsanamiti /	(vi, ca) ASaMsA AKyAm alaFkRti m Aha   ASaMsanam iti /
        āśaṃsanam arthasiddhaye prārthanam /	ASaMsanam arTa sidDaye prArTanam /
        āśīrnāmālaṅkṛtistu parārthasya siddhaye āśīrvādaḥ /	ASIH nAma alaFkRtiH tu para arTasya sidDaye ASIrvAdaH /
        tatpaśyeyamiti /	tat paSyeyam iti /
        tasyā mālatyā mukham /	tasyAH mAlatyAH muKam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
      pratijñādhyavasāyakaḥ /	   pratijQA aDyavasAyakaH /
   yathā mama prabhāvatyām   "vajranābhaḥ   	yaTA mama praBAvatyAm    " vajra nABaH   
   asya vakṣaḥ kṣaṇonaiva nirmathya gadayānayā /	asya vakzaH kzaNa Una eva nirmaTya gadayA anayA /
   līlayonmūlayāmyeṣa bhuvanadvayamadya vaḥ" //	lIlayA unmUlayAmi eza Buvana dvayam adya vaH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) vyavasāyākhyāmalaṅkṛtimāha   pratijñeti vyavasāyaka iti	(vi, Ca) vyavasAya AKyAm alaFkRtim Aha    pratijQA iti vyavasAyakaH iti
   svārthe kaḥ /	sva arTe kaH /
        asya vakṣa iti /	asya vakzaH iti /
        vo yuṣmākaṃ śrīkṛṣṇādīnāṃ sambandhino 'sya pradyumnasya vakṣa	vaH yuzmAkam SrI kRzNa AdInAm sambanDinaH asya pradyumnasya vakza
   ityarthaḥ /	iti arTaH /
        bhuvanadvayaṃ svargamarttyarūpam /	Buvana dvayam svarga marttya rUpam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   visarpo yatsamārabdhaṃ karmāniṣṭaphalapradam // VisSd_6.204 //	visarpaH yat samArabDam karma anizwa Pala pradam // VisSd _6.204 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) visarparūpāmalaṅkṛtimāha   visarpa iti /	(vi, ja) visarpa rUpAm alaFkRti m Aha   visarpaH iti /
        samārabdhamiti /	samArabDam iti /
        atītārambhapradarśanam /	atIta AramBa pradarSanam /
        aniṣṭaphaladaṃ kathitamiti śeṣaḥ /	anizwa Pala dam kaTitam iti SezaH /
        tacca samārabdham /	tat ca samArabDam /
        ekasyeti /	ekasya iti /
        keśeṣu gṛhītvā dhṛṣṭadyumnena hatasya droṇasya śirasi chinne	keSezu gRhItvA DRzwadyumnena hatasya droNasya Sirasi Cinne
   kruddhasya aśvatthāmna uktiriyam /	krudDasya aSvatTAmnaH uktiH iyam /
        ekasya duḥ śāsanena draupadyāḥ keśagrahaṇasyāyaṃ vipākaḥ	ekasya duH SAsanena drOpadyAH keSa grahaNasya ayam vipAkaH
   akhilakṣattriya kṣayakṛtsaṃgaraḥ /	aKila kzattriya kzaya kRt saMgaraH /
        dvitīye matpituḥ keśagrahaḥ /	dvitIye mad pituH keSa grahaH /
        atra keśagrahārambhaṇamaniṣṭaphalayuktam /	atra keSa graha AramBaNam anizwa Pala yuktam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā veṇyām   "ekasyaiva vipāko 'yam  " ityādi (376 pṛ.)	yaTA veNI Am   "ekasya eva vipAkaH ayam   " ityAdi (376 pR.)
   kāryagrahaṇamullekha   	kArya grahaNam ulleKa   
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) ullekhākhyāmalaṅkṛtimāha   kāryyadarśanamiti /	(vi, Ja) ulleKA AKyAm alaFkRti mAha    kAryya darSanam iti /
        saṃbodhyasya kāryyapradarśanamityarthaḥ /	saMboDyasya kAryya pradarSanam iti arTaH /
        tāpasāviti rājño mṛgahananaṃ nirvāryya samidāharaṇāya	tApasO= iti rAjQaH mRga hananam nirvAryya samiD AharaNAya
   ityucaturityarthaḥ /	iti ucatur iti arTaH /
        atra rājñaḥ śakuntalāviśiṣṭāśramapraveśarūpakāryyapradarśanam /	atra rAjQaH SakuntalA viSizwa ASrama praveSa rUpa kAryya pradarSanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā śākuntale   rājānaṃ prati "tāpasau   samidāharaṇāya prasthitāvāvām /	yaTA SAkunta le   rAjAnam prati "tApa sO    samiD AharaNAya prasTitO= AvAm /
   iha cāsmadguroḥ kaṇvasya kulapateḥ sādhidaivata iva	iha ca asmad guroH kaNvasya kula pateH sa aDidEvataH iva
   śakuntalayānumālinītīramāśramo dṛśyate /	SakuntalayA anumAlinI tIram ASramaH dRSyate /
   na cedanya (thā) kāryātipātaḥ, praviśya gṛhyatāmatithaisatkāraḥ" iti /	na ced anyaH (TA) kArya atipAtaH, praviSya gRhyatAm atiTa esatkAraH" iti /
      uttejanamitīṣyate /	   uttejanam iti izyate /
   svakāryasiddhaye 'nyasya preraṇāya kaṭhoravāk // VisSd_6.205 //	sva kArya sidDaye anyasya preraNAya kaWora vAc // VisSd _6.205 //
   yathā   indrajiccaṇḍavīryo 'si nāmnaiva balavānasi /	yaTA a   indrajit caNxa vIryaH asi nAmnA eva balavAn asi /
   dhigdhikpracchannarūpeṇa yudhyase 'smadbhayākulaḥ //	Dik Dik pracCanna rUpeNa yuDyase asmad Baya AkulaH //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) uttejanākhyāmalaṅkṛtimāha   uttejanamiti /	(vi, Qa) uttejana AKyAm alaFkRtim Aha   uttejanam iti /
        kaṭhorā paruṣā /	kaWorA paruzAH /
        indrajit ityādikam indrajitaṃ saṃbodhya lakṣmaṇasya paruṣavākyamidam	indrajit iti Adikam indrajitam saMboDya lakzmaNasya paruza vAkyam idam
        pracchannarūpeṇa meghāntaritavaṣuṣā /	pracCanna rUpeNa meGa antarita vazuzA /
        atra darśanarūpasvakāryyasiddhaye indrajitpreraṇāya iyaṃ vāk /	atra darSana rUpa sva kAryya sidDaye indrajit preraNAya iyam vAc /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   bhartsanā tu parīvādo   	BartsanA tu parIvAdaH    
   yathā sundarāṅke  "duryodhanaḥ dhig dhik sūta ! kiṃ kṛtavānasi /	yaTA sundara aFke  " duryoDanaH Dik Dik sUta ! kim kRtavAn asi /
   vatsasya me prakṛtidurlalitasya pāpaḥ pāpaṃ vidhāsyati  " ityādi /	vatsasya me prakRti durlalitasya pApaH pApam viDAsyati  " ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) parīvādākhyāmalaṅkṛtimāha   bhartsaneti /	(vi, wa) parIvAt AKyAm alaFkRti m Aha   Bartsana iti /
        sundaro veṇīsaṃhārasyaivāṅkaḥ /	sundaraH veNI saMhArasya eva aFkaH /
        vatsasya karṇaputrasya vṛṣasenasya pāpaḥ pāṇḍavaḥ pāpaṃ vadham /	vatsasya karNa putrasya vRzasenasya pApaH pANxavaH pApam vaDam /
        atra rathamādāya palāyitasya sāratherbhartsanā /	atra raTam AdAya palAyitasya sAraTeH BartsanA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
      nītiḥ śāstreṇa vartanam /	   nItiH SAstreNa vartanam /
   yathā śākuntale  "duṣyantaḥ   vinītaveṣapraveśyāni tapovanāni" /	yaTA SAkuntale  "duzyantaH   vinIta veza praveSyAni tapaH vanAni" /
   iti /	iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) nītyakhyāmalaṅkṛtimāha   nītiriti /	(vi, Wa) nIti aKyAm alaFkRti mAha   nItiH iti /
        spaṣṭamidam /	spazwam idam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   uktasyārthasya yattu syādutkīrtanamanekadhā // VisSd_6.206 //	uktasya arTasya yat tu syAt utkIrtanam anekaDA // VisSd _6.206 //
   upālambhaviśeṣeṇa tat syādarthaviśeṣaṇam /	upAlamBa viSezeNa tat syAt arTa viSezaNam /
   yathā śākuntale rājānaṃ prati "śārṅgaravaḥ  āḥ kathamidaṃ nāma,	yaTA SAkuntale rAjAnam prati "SArFga ravaH  AH kaTam idam nAma,
   kimupanyastamiti ? nanu bhavāneva nitarāṃ lokavṛttāntaniṣṇātaḥ /	kim upanyastam iti ? nanu BavAn eva nitarAm loka vRttAnta nizNAtaH /
   satīmapi jñātikulaikasaṃśrayāṃ jano 'nyathā bhartṛmatīṃ viśaṅkate /	satIm api jQAti kula eka saMSrayAm janaH anyaTA BartRmatIm viSaFkate /
   ataḥ samīpe pariṇeturiṣyate priyāpriyā vā pramadā svabandhubhiḥ //	atas samIpe pariNetuH izyate priya apriyA vA pramadA sva banDuBiH //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
