   Siddhārthacaritraṃ Kāvyam	SidDArTa-caritram KAvyam
   niśāndhakāraprakarāmbuvāhaniṣṭhyūtadhārākarakābhirāmaiḥ /	niSA-anDakAra-prakara-ambu-vAha-nizWyUta-DArA-karaka-aBirAmEH /
   tārāgaṇairdanturamantarikṣaṃ kāntiṃ dadhau kairavakānanasya // 8.23 //	tArA-gaNEH-danturam-antarikzam kAntim daDO kErava-kAnanasya // 8.23 //
   niraṃkuśānāṃ timiradvipānāṃ śuṇḍāvikīrṇairiva śīkaraughaiḥ /	niraMkuSAnAm timira-dvipAnAm SuNxa-avikIrNEH-iva SIkara-oGEH /
   uddāmaśobhairnikarairuḍūnāṃ tārāpathaḥ śarkarilo babhūva // 8.24 //	uddAma-SoBEH-nikarEH-uxUnAm tArApaTaH SarkarilaH baBUva // 8.24 //
   tamālanīlaṃ tagarāvadātaistārāgaṇairdanturamantarikṣam /	tamAla-nIlam tagara-avadAtEH-tArA-gaNEH-danturam-antarikzam /
   agastyapītasya jahāra sindhorākīrṇamuktānikarasya śobhām // 8.25 //	agastya-pItasya jahAra sinDoH-AkIrNa-muktA-nikarasya SoBAm // 8.25 //
   samudragarbhāntaramāśrayantaṃ tamo 'pahaṃ candramasaṃ tanūjam /	samudra-garBa-antaram-ASrayantam tamaH apaham candramasam tanUjam /
   samudvahantī śatamantukāṣṭhā śanairmukhe pāṇḍaratāmayāsīt // 8.26 //	samudvahantI Satamantu-kAzWA SanEs-muKe pANxara-ta-Amaya-AsIt // 8.26 //
   cakāśire candramasaḥ samutthāḥ samudragūḍhasya mayūkhamālāḥ /	cakASire candramasaH samutTAH samudra-gUXasya mayUKa-mAlAH /
   pītpā pravāhaṃ timibhiḥ sarandhraiḥ śirobhirūrdhvaprahitā ivāpa // 8.27 //	pItpA pravAham timiBiH sa-ranDrEH SiroBiH-UrDva-prahitAH iva-apa // 8.27 //
   ardhoditaḥ śītakarasya bimbaḥ kiñcit samāviṣkṛtalāñchanaśrīḥ /	arDa-uditaH SItakarasya bimbaH kiQcid samAvizkRta-lAQCana-SrIH /
   śṛṅgārayonestrijagajjigīṣorviṣāṅkito bāṇa ivārdhacandraḥ // 8.28 //	SRFgAra-yoneH-trijagat-jigIzoH-viza-aFkitaH bANaH iva-arDacandraH // 8.28 //
   tamālanīlasya samudraviṣṇostārādhibhūmaṇḍalapuṇḍarīkam /	tamAla-nIlasya samudra-vizNoH-tAra-aDiBU-maNxala-puNxarIkam /
   āvartanābhīvivarādudasthādālakṣyacihnabhramarābhirāmam // 8.29 //	AvartanABI-vivarAt-udasTAt-Alakzya-cihna-Bramara-aBirAmam // 8.29 //
   samujjihānaṃ lavaṇābdhimadhyāt tārāpatermaṇḍalamuttaraṅgāt /	samujjihAnam lavaNa-abDi-maDyAt tArApateH-maNxalam-uttaraFgAt /
   uvāha tasmādabhimathyamānādunmajjadairāvatakumbhalīlām // 8.30 //	uvAha tasmAt-aBimaTyamAnAt-unmajja-dErAvata-kumBa-lIlAm // 8.30 //
   udyacchamānastuhināṃśumālī yataḥ pravālāruṇamaṇḍalo 'bhūt /	udyacCamAnaH-tuhina-aMSumAlI yatas pravAla-aruNa-maNxalaH aBUt /
   tadvāḍavenārṇamūṣikāyāmāvarjitairāhita eva ratnaiḥ // 8.31 //	tad-vAxavena-arNa-mUzika-AyAm-AvarjitEH-AhitaH eva ratnEH // 8.31 //
   sadhairyamādāya taṭeṣu pādaṃ pūrvādrimārohati rājasiṃhe /	sa-DEryam-AdAya tawezu pAdam pUrva-adrim-Arohati rAja-siMhe /
   bhūtā iva dhvāntamataṅgajendrā mahībhṛtāṃ gahvaramāśrayante // 8.32 //	BUtAH iva DvAnta-mataFga-ja-indrAH mahIBRtAm gahvaram-ASrayante // 8.32 //
   astādriśṛṅgaskhalitāgrapādaḥ papāta bhāsvānaparāmburāśau /	asta-adri-SRFga-sKalita-agra-pAdaH papAta BAsvAn-apara-amburASO /
   itīva bhītaḥ kaṭakān kareṇa spṛṣṭvāruroha prathamādriminduḥ // 8.33 //	iti-iva BItaH kawakAn kareNa spRzwvA-Aruroha praTama-adrim-induH // 8.33 //
   navodayālohitamindubimbaṃ vididyute pārvaṇamambarānte /	nava-udaya-Alohitam-indu-bimbam vididyute pArvaNam-ambara-ante /
   sāyāhnamudrādhikṛtena dhātudraveṇa saṃnyastamivaikacihnam // 8.34 //	sAyAhna-mudrA-aDikRtena DAtu-draveNa saMnyastam-iva-eka-cihnam // 8.34 //
   vibhāvarīśaḥ karapallavena bhṛṅgāvalīmaṅgalasūtramālām /	viBAvarI-ISaH karapallavena BRFga-AvalI-maFgala-sUtra-mAlAm /
   kusudvatīnāṃ kumudopakaṇṭhe saṃyojayāmāsa sakautukānām // 8.35 //	kusudvatInAm kumuda-upakaNWe saMyojayAmAsa sa-kOtukAnAm // 8.35 //
   ākarṇya gānaṃ madhupāṅganānāṃ karṇāmṛtaṃ pīta ivāmṛtāṃśuḥ /	AkarNya gAnam maDupa-aFganAnAm karNa-amRtam pItaH iva-amRtAMSuH /
   dideśa tābhyo makarandagarbhamāmudritaṃ kairavakośajātam // 8.36 //	dideSa tAByaH makaranda-garBam-Amudritam kEravakoSa-jAtam // 8.36 //
   patyuḥ karasparśapariślathasya tamisrakeśasya niśāṅganāyāḥ /	patyuH kara-sparSa-pariSlaTasya tamisra-keSasya niSA-aFganAyAH /
   navaprasūnairiva viprakīrṇairnakṣatrajālaiḥ śuśubhe nabhaḥśrīḥ // 8.37 //	nava-prasUnEH-iva viprakIrNEH-nakzatra-jAlEH SuSuBe naBaH-SrIH // 8.37 //
   vipakvatārādhipabimbaśaṅkhavimuktamuktāphaladantureva /	vipakva-tAra-aDipa-bimba-SaFKa-vimukta-muktAPala-dantuH-eva /
   vyomāpagāśīkararājiteva vididyute tārakitā nabhaḥśrīḥ // 8.38 //	vyomApagASIkara-rAjitA-iva vididyute tArakitAH naBaH-SrIH // 8.38 //
   ākāśaśayyātalamaśnuvāne sudhākare bhartari sānurāge /	AkASa-SayyA-talam-aSnuvAne suDAkare Bartari sa-anurAge /
   śyāmāṅganāyāstimirāntarīyamākāśamadhyādapayātamāsīt // 8.39 //	SyAma-aFganAyAH-timira-antarIyam-AkASa-maDyAt-apayAtam-AsIt // 8.39 //
   patiḥ paśunāmiva kālakūṭaṃ patiṃ nadīnāmiva kumbhayoniḥ /	patiH paSunAm-iva kAlakUwam patim nadInAm-iva kumBayoniH /
   ādāya candraḥ karapallavena gāḍhāndhakāraṃ kavalīcakāra // 8.40 //	AdAya candraH karapallavena gAXa-anDakAram kavalIcakAra // 8.40 //
   viyogaduḥkhādiva pāṇḍarāṅgīṃ vilambamānabhramarālakāntām /	viyoga-duHKAt-iva pANxara-aFgIm vilambamAna-BramarAla-ka-antAm /
   kumudvatīmāsavapuṣpadigdhāmāśvāsayāmāsa kareṇa candraḥ // 8.41 //	kumudvatI-mAsava-puzpa-digDAm-ASvAsayAmAsa kareNa candraH // 8.41 //
   velājaleṣu maṇidarpaṇavibhrameṣu cchāyāgatena śaśalāñchanamaṇḍalena /	velA-jalezu maNi-darpaNa-viBramezu cCAyA-gatena SaSa-lAQCana-maNxalena /
   vārākaro varuṇabhūpatinā maṇīnāmekākaro racitamudra ivāśaśaṅka // 8.42 //	vArAkaraH varuNa-BUpatinA maNInAm-ekAkaraH racita-mudraH iva-ASa-SaFkaH // 8.42 //
   antaḥ parisphuritabālatamālakāntirālakṣyate sma rajanīkaramaṇḍalaśrīḥ /	antar parisPurita-bAla-tamAlaka-antirAlakzyate sma rajanI-kara-maNxala-SrIH /
   āsṛkvabhāgavivṛtānanasaiṃhikeyadaṃṣṭrākarālagaraladravamudriteva // 8.43	AsRkvaBAga-vivRta-Anana-sEMhikeya-daMzwrA-karAla-garala-drava-mudritA-iva // 8.43
   bimbaṃ pradarśitakuraṅgakalaṅkarekhaṃ vyaktaṃ babhau	bimbam pradarSita-kuraFga-kalaFka-reKam vyaktam baBO
   kumudinīkuladaivatasya /	kumudinI-kula-dEvatasya /
   āvartamaṇḍalamivācalasārvabhaumakanyākalindatanayāmilanopajātam // 8.44 //	Avarta-maNxalam-iva-acala-sArvaBOma-kanyA-kalinda-tanaya-Amilana-upajAtam // 8.44 //
   antaḥsphuranmṛgakalaṅkamabhaṃgurābhamatyarthameva śuśubhe dvijarājabimbam	antar-sPurat-mRga-kalaFkam-aBaMgura-ABam-atyarTam-eva SuSuBe dvija-rAja-bimbam
   tāṭaṅkacakramiva dantamayaṃ tamisrāvāmabhruvo marakatāṅkitamadhyadeśam //	tAwaFka-cakram-iva dantamayam tamisrO=-Ama-BruvaH marakata-aFkita-maDya-deSam //
   antarmalīmasamabhādamṛtāṃśubimbamambhodavātamalinodaradarpaṇābham /	antar-malIm-asamaBAt-amRtAMSu-bimbam-amBoda-vAta-malina-udara-darpaNa-ABam /
   kaṇṭhaprabhaprasarakarburitāntarālaṃ bhikṣākapālamiva kiñca kapālapāṇeḥ //	kaNWa-praBa-prasara-karburita-antarAlam BikzA-kapAlam-iva kiQca kapAla-pANeH //
   spaṣṭe pradoṣasamaye narapālasūnustvaṣṭrā samāracitamaṅgalamaṇḍanaśrīḥ /	spazwe pradoza-samaye narapAla-sUnuH-tvazwrA samA-racita-maFgala-maNxana-SrIH /
   vārāṅganābhirabhito maṇidīpikābhirāsevitaḥ svabhavanaṃ punarājagāma //	vAra-aFganABiH-aBitas maNidIpikABiH-AsevitaH sva-Bavanam punar-AjagAma //
   iti buddhaghoṣaviracite padyacūḍāmaṇināmni mahākāvye aṣṭamaḥ sargaḥ //	iti budDa-Goza-viracite padya-cUxAmaNi-nAmni mahAkAvye azwamaH sargaH //
   navamaḥ sargaḥ	navamaH sargaH
   kumārasya nīrājanam	kumArasya nIrAjanam
   āgatya gehamadhyāsya kumāro bhadrapīṭhikām /	Agatya geham-aDyAsya kumAraH BadrapIWikAm /
   ārabdhaṃ mātṛdhātrībhirārātrikamupādade // 9.1 //	ArabDam mAtR-DAtrIBiH-ArAtrikam-upAdade // 9.1 //
   mahārājādhirājasya tanayo maṇḍapasthitaḥ /	mahA-rAja-aDirAjasya tanayaH maNxapa-sTitaH /
   siṃhāsanamiyāyaiṣa siṃhasaṃhananastataḥ // 9.2 //	siMhAsanam-iyAya-eza siMha-saMhananaH-tatas // 9.2 //
   vāravāmālakāstasya madhurākṛtayaḥ puraḥ /	vAravAmAlakAH-tasya maDura-AkRtayaH puras /
   ārebhire darśayitumadbhataṃ nṛttavibhramam // 9.3 //	AreBire darSayitum-adBatam nRtta-viBramam // 9.3 //
   asaktahṛdayastāsām aṅgahāramanohare /	asakta-hRdayaH-tAsAm aFga-hAra-manohare /
   saṅgīte navagīte 'pi sa cintāmantarā dadau // 9.4 //	saFgIte navagIte api sa cintAm-antarA dadO // 9.4 //
   tadā babhau kumāro 'sau cāmarairamarocchritaiḥ /	tadA baBO kumAraH asO cAmarEH-amara-ucCritEH /
   samīraṇasamuddhūtaistaraṅgairiva sāgaraḥ // 9.5 //	samIraNa-samudDUtEH-taraFgEH-iva sAgaraH // 9.5 //
   dhvajaratnapatākābhiḥ śuśubhe kṣoṇimaṇḍalam /	Dvaja-ratna-patAkABiH SuSuBe kzoNi-maNxalam /
   antarikṣamivānekavidyudvallībhirāvṛtam // 9.6 //	antarikzam-iva-aneka-vidyut-vallIBiH-AvRtam // 9.6 //
   kālāgarumahādhūmavallīvellitamambaram /	kAlAgaru-mahA-DUma-vallI-vellitam-ambaram /
   kṛṣṇoragaśatākīrṇaṃ rasātalamivābabhau // 9.7 //	kRzNa-uraga-Sata-AkIrNam rasAtalam-iva-AbaBO // 9.7 //
   brahmāṇḍakukṣimbharibhirbadhirīkṛtadiṅmukhaiḥ /	brahmANxa-kukzimBariBiH-baDirIkRta-diFmuKEH /
   anekapaṭahadhvānairādhmātamabhavannabhaḥ // 9.8 //	aneka-pawaha-DvAnEH-ADmAtam-aBavat-naBaH // 9.8 //
   airāvatya ivākāśaraṅgeṣvamarayoṣitaḥ /	ErAvatyaH iva-AkA-Sa-raFgezu-amara-yozitaH /
   ghanavādyaravāścakrurakhaṇḍaṃ tāṇḍavakramam // 9.9 //	Gana-vAdya-ravAH-cakruH-aKaNxam tANxava-kramam // 9.9 //
   tāsāṃ taralasañcāradṛṣṭibhirmukhamaṇḍalaiḥ /	tAsAm tarala-saQcAra-dRzwiBiH-muKa-maNxalEH /
   tārāpathasthalamabhut sahasramṛgalāñchanam // 9.10 //	tArApaTa-sTalam-aBut sahasra-mRga-lAQCanam // 9.10 //
   vidyādharāśca gandharvā vīṇāgarbhitapāṇayaḥ /	vidyADarAH-ca ganDarvAH vINA-garBita-pANayaH /
   pūrvāpadānamukharāḥ purastasya pratasthire // 9.11 //	pUrva-apadAna-muKarAH puras-tasya pratasTire // 9.11 //
   mahendrakaravikṣiptāḥ mandārasumanobharāḥ /	mahA-indra-kara-vikziptAH mandAra-su-manoBarAH /
   bhuvanakṣobhagalitāḥ puṣphurustārakā iva // 9.12 //	Buvana-kzoBa-galitAH puzPuruH-tArakAH iva // 9.12 //
   itthamārādhito devairdaśatritayayojanam /	itTam-ArADitaH devEH-daSa-tritaya-yojanam /
   atītya panthānamasāvagādanavamāṃ nadīm // 9.13 //	atItya panTAnam-asA-a=-agAt-anavamAm nadIm // 9.13 //
   marālamahilālīḍhamṛṇāladalamedurām /	marAla-mahilA-lIXa-mRNAla-dala-medurAm /
   gambhīramakarārāvamukharīkṛtadiṅmukhām // 9.14 //	gamBIra-makara-ArAva-muKarIkRta-diFmuKAm // 9.14 //
   taraṅgaśīkarāsaratārādanturitāmbarām /	taraFga-SIkara-asara-tArA-danturita-ambarAm /
   sarasīruhasaurabhyasurabhīkṛtamārutām // 9.15 //	sarasIruha-sOraBya-suraBIkRta-mArutAm // 9.15 //
   kallolavallīvalayasamullāsitasārasām /	kallolavallI-valaya-samullAsita-sArasAm /
   kalahaṃsakalatrāṇāṃ kaṇṭhadaghnormimaṇḍalīm // 9.16 //	kalahaMsa-kalatrANAm kaNWa-daGna-Urmi-maNxalIm // 9.16 //
   mīnavikṣiptakalhārapuñjakiñjalkarañjitām /	mIna-vikzipta-kalhAra-puQja-kiQjalka-raQjitAm /
   vinidrakamalodīrṇamadhudravataraṅgitām // 9.17 //	vinidra-kamala-udIrNa-maDu-drava-taraFgitAm // 9.17 //
   tāraṇāya mahāmbhodhestanvan guṇanikāmiva /	tAraNAya mahA-amBoDeH-tanvan guNa-nikAm-iva /
   cintāyuktena vāhena tāṃ nadīmudatītarat // 9.18 //	cintA-yuktena vAhena tAm nadIm-udati-itarat // 9.18 //
   uttīrya tasyāḥ puline turagādavatīrya saḥ /	uttIrya tasyAH puline turagAt-avatIrya saH /
   channaṃ nivartayāmāsa datvā bhūṣāśca vāhanam // 9.19 //	Cannam nivartayAmAsa datvA BUzAH-ca vAhanam // 9.19 //
   ādikalpasamudbhūtāmādibrahmasamāhṛtām /	Adi-kalpa-samudBUta-Am-Adi-brahma-samAhRtAm /
   agrahīdagraṇīḥ puṃsāṃ tapodhanapariṣkriyām // 9.20 //	agrahIt-agraNIH puMsAm tapoDana-parizkriyAm // 9.20 //
   ādāya tāpasākalpamanalpaguṇagumbhitam /	AdAya tApasa-Akalpam-analpa-guNa-gumBitam /
   ācchādya tena cātmānamadhatta tapasi sthitim // 9.21 //	AcCAdya tena ca-AtmAnam-aDatta tapasi sTitim // 9.21 //
   athāvalokya lokeśaṃ dīkṣitaṃ śakradiṅmukham /	aTa-avalokya lokeSam dIkzitam Sakra-diFmuKam /
   ānandamandahasitairiva pāṇḍaratāmayāt // 9.22 //	Ananda-manda-hasitEH-iva pANxara-ta-AmayAt // 9.22 //
   samastalokanāthasya tasya śāsturivājñayā /	samasta-loka-nATasya tasya SAstuH-iva-AjQayA /
   śatamanyudiśādhatta sandhyāpāṭalamambaram // 9.23 //	Satamanyu-diSADatta sanDyA-pAwalam-ambaram // 9.23 //
   tasyāvalokanāyaiva śāsyavaṃśaśikhāmaṇeḥ /	tasya-avalokanAya-eva SAsya-vaMSa-SiKA-maNeH /
   adhyāsta kūlakūṭasthaḥ prathamādriṃ gabhastimān // 9.24 //	aDyAsta kUla-kUwa-sTaH praTama-adrim gaBastimAn // 9.24 //
   ajñānamevaṃ jagatāmapasāryaṃ tvayetyapi /	ajQAnam-evam jagatAm-apasAryam tvayA-iti-api /
   asyādiśanniva ravirandhakāramapākarot // 9.25 //	asya-AdiSan=-iva raviH-anDakAram-apAkarot // 9.25 //
   jñānālokastrijagatāmevameva tvayeti ca /	jQAna-AlokaH-trijagatAm-evam-eva tvayA-iti ca /
   asyādiśannivālokamāviścakre vikartanaḥ // 9.26 //	asya-AdiSan=-iva-Alokam-AviScakre vikartanaH // 9.26 //
   dīkṣite bhūbhṛtāṃ nāthe nirviṇṇā iva bhūbhṛtaḥ /	dIkzite BUBRtAm nATe nirviNNAH iva BUBRtaH /
   aruṇātapalakṣeṇa cakrire valkadhāraṇam // 9.27 //	aruNa-Atapa-lakzeNa cakrire valka-DAraNam // 9.27 //
   ādityabandhorbodhaikasindhoḥ samudayādiva /	Aditya-banDoH-boDa-eka-sinDoH samudayAt-iva /
   prabodhamudrāmabhajan sakalāḥ kamalākarāḥ // 9.28 //	praboDa-mudrAm-aBajan sakalAH kamala-AkarAH // 9.28 //
   kṛtakṛtyaṃ tamuddiśya kṛtāñjalipuṭā iva /	kRtakRtyam tam-uddiSya kRta-aQjali-puwAH iva /
   āabaddhamukulāstasthuraśeṣāḥ kumudākarāḥ // 9.29 //	AabadDa-mukulAH-tasTuH-aSezAH kumuda-AkarAH // 9.29 //
   sanmārgadeśikasyāsya tīrthikā iva tejasā /	sat-mArga-deSikasya-asya tIrTikAH iva tejasA /
   tapanasya samākrāntāstārakā nistviṣo 'bhuvan // 9.30 //	tapanasya samAkrAntAH-tArakAH nistvizaH aBuvan // 9.30 //
   avakāśapradānārthamiva tatkīrtisaṃhateḥ /	avakASa-pradAna-arTam-iva tad-kIrti-saMhateH /
   aśeṣamāśāvivaramānaśe 'tiviśālatām // 9.31 //	aSezam-ASA-vivara-mAnaSe ati-viSAla-tAm // 9.31 //
   siddhārthamukhaśītāṃśuṃ dṛṣṭvā dīptaṃ divāpi ca /	sidDArTa-muKa-SItAMSum dRzwvA dIptam divA-api ca /
   vrīḍāvaśādiva vidhurbabhūva vigatacchaviḥ // 9.32 //	vrIxA-vaSAt-iva viDuH-baBUva vigata=-CaviH // 9.32 //
   jagadekagurostasya darśanādiva dīptimān /	jagat-eka-guroH-tasya darSanAt-iva dIptimAn /
   vigatodayarāgaśrīrviveśākāśamāśramam // 9.33 //	vigata-udaya-rAga-SrIH-viveSa-AkASam-ASramam // 9.33 //
   manorathaśataprāptapravrajyārasanirvṛtaḥ /	manoraTa-Sata-prApta-pravrajyA-rasa-nirvRtaH /
   dināni kānicit tasyāstīre cikṣepa deśikaḥ // 9.34 //	dinAni kAnicid tasyAH-tIre cikzepa deSikaH // 9.34 //
   anyedyuratha bhikṣārthamādibhikṣurbubhukṣitaḥ /	anyedyus-aTa BikzA-arTam-Adi-BikzuH-buBukzitaH /
   vyatītya dūramadhvānaṃ bimbasārapurīmagāt // 9.35 //	vyatItya dUram-aDvAnam bimba-sAra-purIm-agAt // 9.35 //
   viśaṅkaṭaśilāsālavijitāvadhibhūdharān /	viSaFkawa-SilA-sAla-vijita-avaDi-BUDarAn /
   pātālāgādhaparikhāpalvalīkṛtasāgarām // 9.36 //	pAtAla-agADa-pariKA-palvalIkRta-sAgarAm // 9.36 //
   ghoṭīkhurapuṭīkoṭikroḍīkṛtadharātalām /	GowI-Kura-puwI-kowi-kroxIkRta-DarA-talAm /
   mādyanmadāvalādhīśamadapaṅkilavīthikām // 9.37 //	mAdyat-mada-avala-aDISa-mada-paFkila-vITikAm // 9.37 //
   māṇikyasaudhavalabhīvalamānamarālikām /	mANikya-sODavalaBI-vala-mAnam-arAlikAm /
   vātāyanamukhodīrṇadhūmarājivirājitām // 9.38 //	vAtAyana-muKa-udIrNa-DUma-rAji-virAjitAm // 9.38 //
   bālācalatulākoṭivācālaharidañcalām /	bAla-acala-tulA-kowi-vA-cAla-hari-daQcalAm /
   mandānilasamādhūtadhvajacūḍālamandirām // 9.39 //	manda-anila-samADUta-Dvaja-cUxAla-mandirAm // 9.39 //
   valārikārmukasmeramaṇitoraṇamāṃsalām /	valAri-kArmuka-smera-maNi-toraNa-mAMsalAm /
   vallīkisalayārabdharathyāvandanamālikām // 9.40 //	vallI-kisalaya-ArabDa-raTyA-vandana-mAlikAm // 9.40 //
   viśālaviśikhābhogamekhalojjvalamadhyamām /	viSAla-viSiKa-ABoga-meKalA-ujjvala-maDyamAm /
   vihāravāpikāvīcīsamīcīnopaśākhikām // 9.41 //	vihAra-vApikA-vIcI-samIcIna-upaSAKikAm // 9.41 //
   tatra bhikṣāṃ samādātuṃ tapodhanaśikhāmaṇiḥ /	tatra BikzAm samAdAtum tapoDana-SiKAmaNiH /
   vīthīṣu vīthīṣu śanairvijahāra vināyakaḥ // 9.42 //	vITIzu vITIzu SanEs-vijahAra vinAyakaH // 9.42 //
   mohāpanodamapyenaṃ munīndramabhivīkṣitāḥ /	moha-apanodam-api-enam muni-indram-aBivIkzitAH /
   mugdhā vidagdhāḥ sakalā mohanidrāṃ prapedire // 9.43 //	mugDAH vidagDAH sakalAH moha-nidrAm prapedire // 9.43 //
   vigatonmeṣasammeṣaviṣphārīkṛtacakṣuṣām /	vigata-unmeza-sammeza-vizPArIkRta-cakzuzAm /
   manobhavārirapyāsāṃ manobhavamajījanat // 9.44 //	manoBava-ariH-api-AsAm manoBavam-ajIjanat // 9.44 //
   tatra bhikṣāṃ samādāya śikṣāpādavicakṣaṇaḥ /	tatra BikzAm samAdAya SikzA-pAda-vicakzaNaH /
   tadabhyarṇagataṃ tūrṇaṃ śiloccayamaśiśriyat // 9.45 //	tad-aByarNa-gatam tUrNam Siloccayam-aSiSriyat // 9.45 //
   upakaṇṭhakalālāpakālakaṇṭhamanoharam /	upakaNWa-kalA-AlApa-kAla-kaNWa-manoharam /
   kaṇṭhīravakarāghātacūrṇīkṛtagajākulam // 9.46 //	kaNWIrava-kara-AGAta-cUrNIkRta-gaja-Akulam // 9.46 //
   vetaṇḍaśuṇḍādaṇḍābhakuṇḍalīśvaramaṇḍitam /	vetaNxa-SuNxA-daNxa-ABa-kuNxalISvara-maNxitam /
   śikhaṇḍimaṇḍalārabdhatāṇḍavaṃ pāṇḍarāhvayam // 9.47 //	SiKaNxi-maNxala-ArabDa-tANxavam pANxara-Ahvayam // 9.47 //
   viśālaśikharoddeśaviśrāntajaladādhvagam /	viSAla-SiKara-uddeSa-viSrAnta-jalada-aDva-gam /
   viharanmattamātaṅgapunaruktamahopalam // 9.48 //	viharat-matta-mAtaFga-punaruktam-ahopalam // 9.48 //
   viśaṅkaṭaśilākoṭipāṭitāmbarakoṭaram /	viSaFkawa-SilA-kowi-pAwita-ambara-kowaram /
   pañcāsyapāṇioaryastagajamauktikavistṛtam // 9.49 //	paQca-Asya-pANia-uarya-sta-gaja-mOktika-vistRtam // 9.49 //
   nirjharīpūranirdhautakaladhautaśilātalam /	nirJarI-pUra-nirDOta-kalaDOta-SilA-talam /
   mekhalopāntavilasatpulindapṛtanāpatim // 9.50 //	meKalA-upAnta-vilasat-pulinda-pRtanA-patim // 9.50 //
   taḍāke tasya siddhārthaḥ snātvā nikaṭavartini /	taxAke tasya sidDArTaH snAtvA nikawa-vartini /
   sthitvā taṭaśilāpaṭṭe bhikṣānnarasamanvabhūt // 9.51 //	sTitvA tawa-SilA-pawwe BikzAn-na-rasamanvaBUt // 9.51 //
   aparedyurvinirgatya tasmādeṣa purāntare /	aparedyus-vinirgatya tasmAt-eza purA-antare /
   piṇḍapātavidhiṃ kṛtvā prāpadabhyarṇakānanam // 9.52 //	piNxa-pAta-viDim kRtvA prApat-aByarNa-kAnanam // 9.52 //
   taḍākanikaṭe nadyāstaṭe śaile ca kānane /	taxAka-nikawe nadyAH-tawe SEle ca kAnane /
   nivasan divasāneṣa ninye mānyo bahūnapi // 9.53 //	nivasan divasAn-eza ninye mAnyaH bahUn-api // 9.53 //
   tapovaneṣu dhanyeṣu duḥsādhāni tapāṃsyapi /	tapaH-vanezu Danyezu duHsADAni tapAMsi-api /
   cacāra dhīrahṛdayaḥ saṃsārakleśaśāntaye // 9.54 //	cacAra DIra-hRdayaH saMsAra-kleSa-SAntaye // 9.54 //
   aprāpya nirvāṇapadaṃ duścaraiśvaritairapi /	aprApya nirvANa-padam duScara-ESvaritEH-api /
   ko vābhyupāyastasyārthe bhavedityākulo 'bhavat // 9.55 //	kaH vA-aByupAyaH-tasya-arTe Bavet-iti-AkulaH aBavat // 9.55 //
   ekadā pāramībhāgyaparipākaprakāśanam /	ekadA pAramI-BAgya-paripAka-prakASanam /
   svapnapañcakamadrākṣīt sucaritranidhiḥ prage // 9.56 //	svapna-paQcakam-adrAkzIt su-caritra-niDiH prage // 9.56 //
   dṛṣṭvāvabudhya svapnārthaṃ pratyavetya vicakṣaṇaḥ /	dRzwvA-avabuDya svapna-arTam pratyavetya vicakzaNaH /
   niścikāyāhamadyaiva nirvṛtiṃ prāpnuyāmiti // 9.57 //	niScikAya-aham-adya-eva nirvRtim prApnuyAm-iti // 9.57 //
   kṛtvā dinamukhācāraṃ bhikṣāvelāṃ pratīkṣya saḥ /	kRtvA dina-muKa-AcAram BikzA-velAm pratIkzya saH /
   āsāñcakre vaṭasyādhaḥ pūjāvihitasatkṛteḥ // 9.58 //	AsAn-cakre vawasya-aDas pUjA-vihita-satkRteH // 9.58 //
   atha kācid viśālākṣī devatāṃ tannivāsinom /	aTa kAcid viSAla-akzI devatAm tat-nivAsinom /
   adhikṛtya tadā nitye pāyasaṃ prārthanāparā // 9.59 //	aDikRtya tadA nitye pAyasam prArTanA-parA // 9.59 //
   tacchaṅkayaiva sā tasmai dadau pātreṇa pāyasam /	tad-SaFkayA-eva sA tasmE dadO pAtreNa pAyasam /
   tadādāya mahāsattvo yayau nairañjarātaṭam // 9.60 //	tat-AdAya mahAsattvaH yayO nEraQjarA-tawam // 9.60 //
   tasyāḥ śaranniśākāśavimale salile muniḥ /	tasyAH Sarad-niSAkASa-vimale salile muniH /
   snātvā suvarṇapātrasthaṃ bubhuje pāyasaṃ budhaḥ // 9.61 //	snAtvA suvarNa-pAtra-sTam buBuje pAyasam buDaH // 9.61 //
   tataḥ kisalayālokabālātapavilāsini /	tatas kisalaya-Aloka-bAla-Atapa-vilAsini /
   manojñakokilālāpavācālaharidañcale // 9.62 //	manojQa-kokila-AlApa-vAcAla-hari-daQcale // 9.62 //
   mandānilādhūtalatāḍolādurlalitālini /	manda-anila-ADUta-latA-xolA-durlalita-alini /
   bālacūtāṃkurāsvādamodamānavanapriye // 9.63 //	bAla-cUta-aMkura-AsvAdamodamAna-vana-priye // 9.63 //
   mandārakorakasyandimakarandasugandhini /	mandAra-koraka-syandimakaranda-suganDini /
   madagandhavahaspandakandalīkṛtakautuke // 9.64 //	mada-ganDa-vaha-spanda-kandalIkRta-kOtuke // 9.64 //
   utphullamañjarīpuñjapiñjarīkṛtasatpathe /	utPulla-maQjarI-puQja-piQjarIkRta-sat-paTe /
   bhramadbhramarajhaṅkārahuṅkāracakitādhvage // 9.65 //	Bramat-Bramara-JaFkAra-huFkAra-cakita-aDvage // 9.65 //
   vihaṅgapakṣavikṣiptaparāgabharapāṃsule /	vihaFga-pakza-vikzipta-parAga-Bara-pAMsule /
   mākandamadhusandohajambālitamahītale // 9.66 //	mAkanda-maDu-sandoha-jambAlita-mahI-tale // 9.66 //
   praphullasumanovallīmatallīyutamārute /	praPulla-sumanaH-vallIm-atallI-yuta-mArute /
