   Var-v § 0 -	Var-u § 0 -
   yaṃ strīpuruṣapaṇḍakam upaniśṛtya varṣā upagataḥ, so 'gninā dagdhaḥ,	yam strI-puruza-paNxakam upaniSRtya varzAH upagataH, saH agninA dagDaH,
   santasvāpateyaṃ vāsyāgninā dagdhaṃ, agnibhayena vā pararāṣṭraṃ paraviṣayaṃ	santasva-Apateyam vA-asya-agninA dagDaM, agni-Bayena vA para-rAzwram para-vizayam
   niṣpalānaḥ, ucchidya vā kālagataḥ. ahaṃ ced asminn āvāse varṣā vaseyaṃ	nizpalAnaH, ucCidya vA kAlagataH. aham ced asmin AvAse varzAH vaseyam
   syān me atonidānaṃ jīvitāntarāyo śrāmaṇyāntarāyo brahmacaryāntarāyaḥ /	syAt me atonidAnam jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH /
   yanv aham asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt prakrāmaty. etad eva	yanu aham asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt prakrAmaty. etat eva
   pratyayaṃ kṛtvā anāpattir varṣācchede //	pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.2.8.a yathāpi tad vihāro 'nūpamadhye pratiṣṭāpito bhavati.	Var-u § 2.2.8.a yaTA-api tat vihAraH anUpa-maDye pratizwApitaH Bavati.
   pūrvavad yāvat sa tasmād āvāsāt prakrāmaty. etad eva pratyayaṃ kṛtvā	pUrvavat yAvat sa tasmAt AvAsAt prakrAmaty. etat eva pratyayam kRtvA
   anāpattir varṣācchede //	anApattiH varzAcCede //
   Var-v § 2.2.8.b yathāpi tad bhikṣur yaṃ strīpuruṣapaṇḍakam upaniśritya	Var-u § 2.2.8.B yaTA-api tat BikzuH yam strI-puruza-paNxakam upaniSritya
   varṣā upagataḥ. sa udakenoḍhaḥ, santasvāpateyaṃ vāsya udakenoḍhaṃ bhavati	varzAH upagataH. saH udakena-UXaH, santasva-Apateyam vA-asya udakena-UXam Bavati
   / udakabhayena vā pararāṣṭraṃ paraviṣayaṃ niṣpalānaḥ, ucchidya vā	/ udaka-Bayena vA para-rAzwram para-vizayam nizpalAnaH, ucCidya vA
   kālagataḥ. tatra varṣopagatasya bhikṣor evaṃ bhavati. aham asminn āvāse	kAlagataH. tatra varza-upagatasya BikzoH evam Bavati. aham asmin AvAse
   yaṃ strīpuruṣapaṇḍakam upaniśritya varṣā upagataḥ, sa udakenoḍhaḥ	yam strI-puruza-paNxakam upaniSritya varzAH upagataH, saH udakena-UXaH
   santasvāpateyaṃ vāsyodakeṇodhaṃ udakabhayena vā pararāṣṭraṃ paraviṣayaṃ	santasva-Apateyam vAsya-udakeNa-uDam udaka-Bayena vA para-rAzwram para-vizayam
   niṣpalānaḥ, ucchidya vā kālagataḥ. ahaṃ ced asminn āvāse varṣā vaseyaṃ	nizpalAnaH, ucCidya vA kAlagataH. aham ced asmin AvAse varzAH vaseyam
   syān me atonidānaṃ jīvitāntarāyaḥ śrāmaṇyāntarāyo brahmacaryāntarāyaḥ.	syAt me atonidAnam jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH.
   yanv aham asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt (80r = GBM 743)	yanu aham asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt (80H  GBm 743)
   prakrāmaty. etad eva pratyayaṃ kṛtvā anāpattir varṣācchede // //	prakrAmaty. etat eva pratyayam kRtvA anApattiH varzAcCede // //
   Var-v § 3	Var-u § 3
   uddānam* //	uddAnam* //
   anāpattiḥ saṃvāsena pratiśrutena + + +	anApattiH saMvAsena pratiSrutena + + +
   .Dutt pūrvaṃ dvādaśa paścimaṃ ca dvādaśa //	.Dutt pUrvam dvAdaSa paScimam ca dvAdaSa //
   Var-v § 3.1.1 yathāpi tad varṣopagato bhikṣuḥ paśyati. bhikṣur bhikṣuṃ	Var-u § 3.1.1 yaTA-api tat varza-upagataH BikzuH paSyati. BikzuH Bikzum
   tathātathājñāpayati saṃjñāpayati śikṣayati grāhayati saṃghabhedāya	taTA-taTA-AjQApayati saMjQApayati Sikzayati grAhayati saMGa-BedAya
   parākrāmati. sthānam etad vidyate yat tasminn āvāse tasminn evāntarvarṣe	parAkrAmati. sTAnam etat vidyate yat tasmin AvAse tasmin eva-antar-varze
   saṃgho bhidyate / tatra varṣopagatasya bhikṣor evaṃ bhavati. aham asminn	saMGaH Bidyate / tatra varza-upagatasya BikzoH evam Bavati. aham asmin=-
   āvāse varṣā upagataḥ. ayaṃ ca bikṣur bhikṣuṃ tathātathājñāpayati	AvAse varzAH upagataH. ayam ca bikzuH Bikzum taTA-taTA-AjQApayati
   saṃjñāpayati śikṣayati grāhayati saṃghabhedāya parākrāmate. sthānam etad	saMjQApayati Sikzayati grAhayati saMGa-BedAya parAkrAmate. sTAnam etat-
   vidyate yad asminn āvāse 'sminn evāntarvarṣe saṃgho bhidyate. ahaṃ ced	vidyate yat asmin AvAse asmin eva-antar-varze saMGaH Bidyate. aham ced-
   asminn āvāse varṣā vaseyaṃ, /// . sthānam etad vidyate yad sa me syād	asmin AvAse varzAH vaseyan /// . sTAnam etat vidyate yat sa me syAt-
   antarāyaḥ aprāptasya prāptaye, 'nadhigatasyādhigamāya, asākṣātkṛtasya	antarAyaH aprAptasya prAptaye, anaDigatasya-aDigamAya, asAkzAtkRtasya
   sākṣātkriyāyai. yanv aham asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt	sAkzAtkriyAyE. yanu aham asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt-
   prakramaty etad eva pratyayaṃ kṛtvā anāpattir varṣācchede.	prakramati etat eva pratyayam kRtvA anApattiH varzA=-Cede.
   Var-v § 3.1.2 yathāpi tad varṣopagato bhikṣuḥ śṛṇoti. amuṣminn āvāse	Var-u § 3.1.2 yaTA-api tat varza-upagataH BikzuH SRNoti. amuzmin AvAse
   bhikṣur bhikṣuṃ tathātathājñāpayati saṃjñapayati śikṣayati grāhayati	BikzuH Bikzum taTA-taTA-AjQApayati saMjQapayati Sikzayati grAhayati
   saṃghasya bhedāya parākramati. sthānam etad vidyate yat tasminn āvāse	saMGasya BedAya parAkramati. sTAnam etat vidyate yat tasmin AvAse
   'ntarvarṣe saṃgho bhidyate. asau me bhikṣur ālaptakaḥ saṃlaptakaḥ	antar-varze saMGaH Bidyate. asO me BikzuH AlaptakaH saMlaptakaH
   saṃstutakaḥ sapremakaḥ. ahaṃ cet tatra gaccheyaṃ, /// yathā tasminn āvāse	saMstutakaH sa-premakaH. aham ced tatra gacCeyan, /// yaTA tasmin AvAse
   asminn evāntarvarṣe saṃgho na bhidyate / gantavyaṃ bhikṣuṇā saptāham	asmin eva-antar-varze saMGaH na Bidyate / gantavyam BikzuNA sapta-aham
   adhiṣṭhāya saṃghasya karaṇīyena. sacet tatra gacchatīty evaṃ kuśalaṃ, no	aDizWAya saMGasya karaNIyena. saced tatra gacCati-iti evam kuSalaM, na-u
   ced gacchati sātisāro bhavati. sacet tatra gatasya saptāho 'tikrāntaḥ	ced gacCati sa-atisAraH Bavati. saced tatra gatasya saptAhaH atikrAntaH
   anāpattir varṣācchede //	anApattiH varzAcCede //
   Var-v § 3.1.3 yathāpi tad varṣopagato bhikṣuḥ śṛṇoti. amuṣminn āvāse	Var-u § 3.1.3 yaTA-api tat varza-upagataH BikzuH SRNoti. amuzmin AvAse
   bhikṣur bhikṣuṃ tathātathājñāpayati saṃjñapayati śikṣayati saṃghasya	BikzuH Bikzum taTA-taTA-AjQApayati saMjQapayati Sikzayati saMGasya
   bhedāya parākrāmati. sthānam etad vidyate yat tasminn āvāse 'ntarvarṣe	BedAya parAkrAmati. sTAnam etat vidyate yat tasmin AvAse antar-varze
   saṃgho bhidyate. nāsau me bhikṣur ālaptakaḥ saṃlaptakaḥ saṃstutakaḥ	saMGaH Bidyate. na-asO me BikzuH AlaptakaH saMlaptakaH saMstutakaH
   sapremakaḥ. api tu yasyāsau bhikṣur ālaptakaḥ saṃlaptakaḥ saṃstutakaḥ	sa-premakaH. api tu yasya-asO BikzuH AlaptakaH saMlaptakaH saMstutakaH
   sapremakaḥ, sa me bhikṣur ālaptakaḥ saṃlaptakaḥ saṃstutakaḥ sapremakaḥ.	sa-premakaH, sa me BikzuH AlaptakaH saMlaptakaH saMstutakaH sa-premakaH.
   ahaṃ cet tatra gaccheyaṃ, /// yathā tasminn āvāse asminn evāntarvarṣe	aham ced tatra gacCeyan, /// yaTA tasmin AvAse asmin eva-antar-varze
   saṃgho na bhidyate. gantavyaṃ bhikṣuṇā saptāham adhiṣṭhāya saṃghasya	saMGaH na Bidyate. gantavyam BikzuNA sapta-aham aDizWAya saMGasya
   karaṇīyena. saced gacchatīty evaṃ kuśalaṃ, no ced gacchati sātisāro	karaNIyena. saced gacCati-iti evam kuSalaM, no ced gacCati sa-atisAraH-
   bhavati / sacet tatra gatasya saptāho 'tikrāntaḥ, anāpattir varṣācchede //	Bavati / saced tatra gatasya saptAhaH atikrAntaH, anApattiH varzAcCede //
   Var-v § 3.2.1 yathāpi tad bhikṣuḥ pratiśṛṇoty. amuṣminn āvāse pūrvikāṃ	Var-u § 3.2.1 yaTA-api tat BikzuH pratiSRNoty. amuzmin AvAse pUrvikAm
   traimāsīṃ vatsye tayor āvāsayor ekalābhau hirukpoṣadho. tasyaivaṃ bhavati	trEmAsIm vatsye tayoH AvAsayoH eka-lABO hiruj-pozaDo. tasya-evam Bavati
   . ihāpi me vasataḥ sa eva, tatrāpi me vasataḥ sa eva. sa pratiśrutya na	. iha-api me vasataH saH eva, tatra-api me vasataH saH eva. sa pratiSrutya na
   gacchati. tasya tasminn āvāse pūrvikāṃ traimāsīṃ na prajñāyate,	gacCati. tasya tasmin AvAse pUrvikAm trEmAsIm na prajQAyate,
   pratiśraveṇa ca duṣkṛtā.	pratiSraveNa ca duzkRtA.
   Var-v § 3.2.2 yathāpi tad bhikṣuḥ pratiśṛṇoty. amuṣminn āvāse pūrvikāṃ	Var-u § 3.2.2 yaTA-api tat BikzuH pratiSRNoty. amuzmin AvAse pUrvikAm
   (80v = GBM 742) traimāsīṃ vatsye. sa pratiśrutya gacchati. gatvā śalākādīn	(80u  GBm 742) trEmAsIm vatsye. sa pratiSrutya gacCati. gatvA SalAkA-AdIn
   na pratigṛhṇāti. tasya tasminn āvāse pūrvikāṃ traimāsīṃ na prajñāyate,	na pratigRhNAti. tasya tasmin AvAse pUrvikAm trEmAsIm na prajQAyate,
   pratiśraveṇa ca duṣkṛtā.	pratiSraveNa ca duzkRtA.
   Var-v § 3.2.3 yathāpi tad bhikṣuḥ pratiśṛṇoty. amuṣminn āvāse pūrvikāṃ	Var-u § 3.2.3 yaTA-api tat BikzuH pratiSRNoty. amuzmin AvAse pUrvikAm
   traimāsīṃ vatsye. sa pratiśrutya gacchati. gatvā śalākādīn pratigṛhṇāti.	trEmAsIm vatsye. sa pratiSrutya gacCati. gatvA SalAka-AdIn pratigRhNAti.
   śayanāsanaṃ na pratigṛhṇāti. gacchati karaṇīyena. tasya tasminn āvāse	Sayana-Asanam na pratigRhNAti. gacCati karaNIyena. tasya tasmin AvAse
   pūrvikāṃ traimāsīṃ na prajñāyate, pratiśraveṇa ca duṣkṛtā //	pUrvikAm trEmAsIm na prajQAyate, pratiSraveNa ca duzkRtAH //
   Var-v § 3.2.4 yathāpi tad bhikṣuḥ pratiśṛṇoty. amuṣminn āvāse pūrvikāṃ	Var-u § 3.2.4 yaTA-api tat BikzuH pratiSRNoty. amuzmin AvAse pUrvikAm
   traimāsīṃ vatsye. sa pratiśrutya gacchati. gatvā śalākādīn pratigṛhṇāti	trEmAsIm vatsye. sa pratiSrutya gacCati. gatvA SalAka-AdIn pratigRhNAti
   śayanāsanaṃ pratigṛhṇāti. varṣā upagamya gacchati karaṇīyena. tasya	Sayana-Asanam pratigRhNAti. varzAH upagamya gacCati karaNIyena. tasya
   tasminn āvāse pūrvikāṃ traimāsīṃ na prajñāyate / pratiśraveṇa ca duṣkṛtā .	tasmin AvAse pUrvikAm trEmAsIm na prajQAyate / pratiSraveNa ca duzkRtAH .
   Var-v § 3.2.5 yathāpi tad bhikṣuḥ pratiśṛṇoty. amuṣminn āvāse pūrvikāṃ	Var-u § 3.2.5 yaTA-api tat BikzuH pratiSRNoty. amuzmin AvAse pUrvikAm
   traimāsīṃ vatsye. sa pratiśrutya gacchati. gatvā śalākādīn pratigṛhṇāti.	trEmAsIm vatsye. sa pratiSrutya gacCati. gatvA SalAka-AdIn pratigRhNAti.
   śayanāsanaṃ pratigṛhṇāti. varṣā upagamya saptāham anadhiṣṭhāya bahiḥsīmāṃ	Sayana-Asanam pratigRhNAti. varzAH upagamya sapta-aham anaDizWAya bahis-si-imAm
   gacchati karaṇīyena. tasya tasminn āvāse pūrvikāṃ traimāsīṃ na prajñāyate,	gacCati karaNIyena. tasya tasmin AvAse pUrvikAm trEmAsIm na prajQAyate,
   pratiśraveṇa ca duṣkṛtā //	pratiSraveNa ca duzkRtAH //
   Var-v § 3.2.6 yathāpi tad bhikṣuḥ pratiśṛṇoty. amuṣminn āvāse pūrvikāṃ	Var-u § 3.2.6 yaTA-api tat BikzuH pratiSRNoty. amuzmin AvAse pUrvikAm
   traimāsīṃ vatsye. sa pratiśrutya gacchati. gatvā śalākādīn pratigṛhṇāti.	trEmAsIm vatsye. sa pratiSrutya gacCati. gatvA SalAka-AdIn pratigRhNAti.
   śayanāsanaṃ pratigṛhṇāti. varṣā upagamya saptāham anadhiṣṭhāya bahiḥsīmāṃ	Sayana-Asanam pratigRhNAti. varzAH upagamya sapta-aham anaDizWAya bahis-si-imAm
   gacchati karaṇīyena. tasya tasminn āvāse pūrvikāṃ traimāsīṃ na prajñāyate.	gacCati karaNIyena. tasya tasmin AvAse pUrvikAm trEmAsIm na prajQAyate.
   pratiśraveṇa ca duṣkṛtā. sacet tatra kṛtyakaraṇīyena saptāho 'tikrāntaḥ	pratiSraveNa ca duzkRtA. saced tatra kRtya-karaNIyena saptAhaH atikrAntaH
   anāpattir varṣācchede / ṣaṭkarma evaṃ kartavyam* / yathā pūrvikāṃ	anApattiH varzAcCede / zawkarma evam kartavyam* / yaTA pUrvikAm
   traimāsīṃ tathāpi paścimikāṃ /// traimāsī // // varṣāvastu samaptam* // //	trEmAsIm taTA-api paScimikAm /// trEmAsI // // varzAvastu samaptam* // //
