   Abhidharmasamuccayabhāṣyam	ABiDarma samuccaya BAzyam
   / itīyaṃ saptākārā parihāṇistathāgatasya nāsti / punaraparamarhannekadā	/ iti iyam sapta AkArA parihANiH taTAgatasya na asti / punar aparam arhan= ekadA
   kuśale kāyakarmaṇi pravartate, ekadāvyākṛte / yathā kāyakarmaṇyevaṃ	kuSale kAya karmaNi pravartate, ekadA vyAkRte / yaTA kAya karmaNi evam
   vākkarmaṇi manaskarmaṇi ca / tathāgatasya trayāṇāmapi karmaṇāṃ	vAc karmaNi manaskarmaNi ca / taTAgatasya trayANAm api karmaNAm
   jñānapūrvagamatvājjñānānuparivartitvācca nāstyavyākṛtaṃ karma tatra	jQAna pUrva gama tvAt jQAna anuparivarti tvAt ca na asti avyAkRtam karma tatra
   jñānasamutthāpanatāmupādāya jñānapūrvagamam / jñānasahacaratāmupādāya	jQAna samutTApana tAm upAdAya jQAna pUrva gamam / jQAna sahacara tAm upAdAya
   jñānānuparivarti / punaraparamarhan traiyadhvikaṃ jñeyavastu na	jQAna anuparivarti / punar aparam arhan trEyaDvikam jQeya vastu na
   cābhogamātrātpratipadyate yenāsya saktaṃ jñānadarśanaṃ bhavati / na ca	ca ABoga mAtrAt pratipadyate yena asya saktam jQAna darSanam Bavati / na ca
   sarvaṃ pratipadyate yenāsya pratihataṃ jñānadarśanaṃ bhavati /	sarvam pratipadyate yena asya pratihatam jQAna darSanam Bavati /
   tathāgatastraiyadhvikamābhogamātrāt sarvaṃ vastu pratipadyate / tasmādete	taTAgataH trEyaDvikam ABoga mAtrAt sarvam vastu pratipadyate / tasmAt ete
   aṣṭādaśāveṇikā buddhadharmā ityucyante / tatraiṣāmādyāḥ ṣaṭ	azwAdaSa AveNikAH budDa DarmAH iti ucyante / tatra ezAm AdyAH zax 
   asādhāraṇakāyavāṅmanaskarmapariśuddhisamṛddhau samādhyādayaḥ /	asADAraNa kAya vAc manaskarma pariSudDi samRdDO samADi AdayaH /
   (Abhidh s bh 133) tatra nāsti skhalitamityayaṃ kāyakarmapariśuddhimārabhya	(a aBiD s B 133) tatra na asti sKalitam iti ayam kAya karma pariSudDim AraBya
   / nāsti ravitamityayaṃ vākkarmaparaśuddhimārabhya / tatra nāsti	/ na asti ravitam iti ayam vAc karma para SudDim AraBya / tatra na asti
   muṣitasmṛtiḥ nāstyasamānitaṃ cittaṃ nāsti nānātvasaṃjñā	muzita smRtiH na asti asamAnitam cittam na asti nAnAtva saMjQA
   nāstyapratisaṃkhyāyopekṣetyetaccatuṣṭayaṃ manaskarmapariśuddhimadhikṛtya	na asti apratisaMKyAya upekzA iti etat catuzwayam manaskarma pariSudDim aDikRtya
   veditavyam / nāsti chandaparihāṇiryāvannāsti	veditavyam / na asti Canda parihANiH yAvat na asti
   vimuktijñānadarśanaparihāṇiriti sāśrayāṇāṃ saphalānāṃ	vimukti jQAna darSana parihANiH iti sa ASrayANAm saPalAnAm
   tathāgatendriyāṇāmaprāptyaparihāṇisamṛddhau samādhyādayaḥ /	taTAgata indriyANAm aprAptyaparihANi samRdDO samADi AdayaH /
   tatrāśrayaśchandaḥ / phalaṃ vimuktirvimuktijñānadarśanaṃ ca / indriyāṇi	tatra ASrayaH CandaH / Palam vimuktiH vimukti jQAna darSanam ca / indriyANi
   vīryādīni veditavyāni / sarvaṃ kāyakarma vākkarma manaskarma	vIrya AdIni veditavyAni / sarvam kAya karma vAkkarma manaskarma
   jñānapūrvagamaṃ jñānānuvartītyete trayo 'sādhāraṇakarmacārasamṛddhau	jQAna pUrva gamam jQAna anuvarti iti ete trayaH asADAraNa karma cAra samRdDO
   samādhyādayaḥ / atīte 'dhvanyasaṅgamapratihataṃ jñānaṃ yāvatpratyutpanne	samADi AdayaH / atIte aDvanya saFgam apratihatam jQAnam yAvat pratyutpanne
   'dhvanītyete trayo 'sādhāraṇajñānavihārasamṛddhau samādhyādayaḥ //	aDvani iti ete trayaH asADAraNa jQAna vihAra samRdDO samADi AdayaH //
   skandhadhātvāyataneṣu sarvākārajñatāsamṛddhāviti skandhādīnāṃ	skanDa DAtu Ayatanezu sarva AkAra jQa tA samRdDO= iti skanDa AdInAm
   svabhāvaviśeṣalakṣaṇaprabhedaparyantajñānaniṣpattāvityarthaḥ //	svaBAva viSeza lakzaNa praBeda paryanta jQAna nizpattO= iti arTaH //
   teṣāṃ punarabhinirhāro niśrayato 'bhinirhārakapudgalato	tezAm punar aBinirhAraH niSrayataH aBinirhAraka pudgalataH 
   'bhinirhāropāyataśca paridīpitaḥ / abhinirhāropāyaḥ punaryathāvyavasthānaṃ	aBinirhAra upAyataH ca paridIpitaH / aBinirhAra upAyaH punar yaTA vyavasTAnam
   manaskārabahulīkāratā yathādeśanaṃ samāhitasya cittasya punaḥpunastatra	manaskAra bahulIkA ra tA yaTAdeSanam samAhitasya cittasya punar punar tatra
   dhāraṇamityarthaḥ / tadyathāpramāṇānyabhinirhartukāmo maṃtrīsahagatena	DAraNam iti arTaH / tad yaTA pramANAni aBinirhartu kAmaH maMtrI sahagatena
   cittenāvaireṇāsapatnenetyevamādikāṃ deśanāṃ dhyānasaṃniśrayeṇa bhāvayan	cittena avEreNa Asapatnena iti evam AdikAm deSanAm DyAna saMniSrayeNa BAvayan
   manasikurvan bahulīkaroti, evamabhijñādīnabhi nirhartukāma eko bhūtvā	manasikurvan bahulIka roti, evam aBijQa AdIn aBi nirhartu kAmaH ekaH BUtvA
   bahudhā bhavatītyevamādikaṃ vyavasthānaṃ manasikurvan bahulīkarotīti	bahuDA Bavati iti evam Adikam vyavasTAnam manasikurvan bahulIkaroti iti
   yojayitavyam //	yojayitavyam //
   ta ete 'pramāṇādayo guṇā dviprakārāḥ / svakāritrapratyupasthānāśca	te ete apramANa AdayaH guNAH dvi prakArAH / sva kAritra pratyupasTAnAH ca
   yairāryo yathāyogaṃ vipakṣaprahāṇādikaṃ karma karoti, vaihārikāśca yaiḥ	yEH AryaH yaTAyogam vipakza prahANa Adikam karma karoti, vEhArikAH ca yEH
   paramapraśāntanirvikalpajñānasaṃgṛhītairanālaṃbanāpramāṇādibhirdṛṣṭe	parama praSAnta nirvikalpa jQAna saMgRhItEH anAlaMbana apramANa AdiBiH dRzwe
   dharme sukhaṃ viharati //	Darme suKam viharati //
   tatrāpramāṇaivipakṣaṃ prajahātīti yathākramaṃ vyāpādaṃ	tatra apramANA evipakzam prajahAti iti yaTAkramam vyApAdam
   vihiṃsāmaratimanunayapratighau ca / etāni ca	vihiMsAm aratim anunaya pratiGO ca / etAni ca
   catvāryapramāṇānyanukampetyucyate, ebhiḥ sattvārthaṃ pratyanuguṇaṃ	catvAri apramANAni anukampA iti ucyate, eBiH sattva arTam pratyanuguNam
   pravartanāt / atastairviharamāṇaḥ sarvasattveṣvanukampāvihāritayā	pravartanAt / atas tEH viharamANaH sarva sattvezu anukampA vihAri tayA
   puṇyasaṃbhāraṃ paripūrayati / ata eva sattvaparipāke ca na parikhidyate,	puNya saMBAram paripUrayati / atas eva sattva paripAke ca na pariKidyate,
   sarvasattvānukampitvena svātmanirapekṣatvāt //	sarva sattva anukampi tvena sva Atma nirapekza tvAt //
   (Abhidh s bh 134)	(a aBiD s B 134)
   vimokṣeṣu dvābhyāṃ vimokṣābhyāṃ nirmāṇakarmābhinirharati / tṛtīyena śubhe	vimokzezu dvAByAm vimokzAByAm nirmANa karma aBinirharati / tRtIyena SuBe
   nirmāṇe na saṃkliśyate / catubhirāryavimokṣaiḥ śānteṣu mokṣeṣu na sajjate	nirmANe na saMkliSyate / catuBiH Arya vimokzEH SAntezu mokzezu na sajjate
   / praścimena paramapraśāntenāryavihāreṇa viharati / tathā	/ praScimena parama praSAntena Arya vihAreNa viharati / taTA
   tathādhimokṣārthaśca vimokṣo veditavyaḥ //	taTA aDi mokza arTaH ca vimokzaH veditavyaH //
   abhibhvāyatanādīnāṃ karma pūrvavat tannirdeśānusāreṇaiva yojayitavyam //	aBiBva Ayatana AdInAm karma pUrvavat tad nirdeSa anusAreNa eva yojayitavyam //
   araṇāyā ādeyavacano bhavati, paracittānurakṣaṇapradhānatayā yathānurūpaṃ	araNAyAH Adeya vacanaH Bavati, para citta anurakzaNa praDAna tayA yaTA anurUpam
   vacanāt //	vacanAt //
   praṇidhijñānena bahumataśca bhavati lokasya, sarvaṃ jānātīti gauravitatvāt	praNiDi jQAnena bahu mataH ca Bavati lokasya, sarvam jAnAti iti gOravita tvAt 
   pratisaṃvidbhirdeśanayā sattvacittāni saṃtoṣayati, bahuvicitraiḥ prakāraiḥ	pratisaMvidBiH deSanayA sattva cittAni saMtozayati, bahu vicitrEH prakArEH
   saṃśayacchedanāt //	saMSaya= CedanAt //
   ṛddhidivyaśrotraparacittajñānapūrvenivāsacyutyupapādāsravakṣayābhijñābhiryathākramaṃ	RdDi divya Srotra para citta jQAna pUrvenivAsa cyuti upapAda asrava kzaya aBijQABiH yaTAkramam
   kāyakarmādinā śāsane āvarjayati / divyaśrotrābhijñayā	kAya karma AdinA SAsane Avarjayati / divya Srotra aBijQayA
   sarvarutaprakārābhyupapattito vākkarmaṇāvarjanaṃ veditavyam //	sarva ruta prakAra aByupapattitaH vAkkarmaNA varjanam veditavyam //
   āśrayapariśuddhayā yathākāmamāśrayasyopādānasthānaparityāgānadhikṛtya	ASraya pariSudDayA yaTAkAmam ASrayasya upAdAna sTAna parityAgAn aDikRtya
   saṃcintya bhavopapattiparigrahaṇādīni trīṇi veditavyāni /	saMcintya Bava upapatti parigrahaNa AdIni trINi veditavyAni /
   ālaṃbanapariśuddhayā dharmavaśavartī bhavati, cittapariśuddhayā	AlaMbana pariSudDayA Darma vaSa vartI Bavati, citta pariSudDayA
   samādhivaśavartī, jñānapariśuddhyā saddharmaṃ dhārayati //	samADi vaSa vartI, jQAna pariSudDyA sadDarmam DArayati //
   baleṣu dvābhyāṃ balābhyāmabhyudayamārga deśayati śeṣairniḥśreyasamārgame	balezu dvAByAm balAByAm aByudaya mArga deSayati SezEH niHSreyasa mArgame
   tāvacca buddhānāṃ bhagavatāṃ karaṇīyam / tatra sthānāsthānajñānabalena	tAvat ca budDAnAm BagavatAm karaNIyam / tatra sTAna AsTAna jQAna balena
   bhagavannirhetuko 'bhyudayaḥ prakṛtīśvarādihetuko	Bagavat nirhetukaH aByudayaH prakRti ISvara Adi hetu ko
   vetyevamahetuviṣamahetuvādaṃ pratikṣipati / karmasvakatājñānabalena	vA iti evam ahetu vizama hetuvAdam pratikzipati / karma svakatA jQAna balena
   svayamakṛtamapi karmāgacchatītyevamakṛtābhyāgamavādaṃ pratikṣipati, yataḥ	svayam akRtam api karma AgacCati iti evam akRta aByAgama vAdam pratikzipati, yatas 
   samyagaviparītaṃ sugatimārga deśayati /	samyak aviparItam sugati mArga deSayati /
   dhyānavimokṣasamādhisamāpattijñānabalena sattvānāṃ cittacaritāni cetaḥ	DyAna vimokza samADi samApatti jQAna balena sattvAnAm citta caritAni cetaH
   pracarānanupraviśati / indriyaparāparajñānabalena deśanābhājanatāṃ	pracarAn anupraviSati / indriya para apara jQAna balena deSanA BAjana tAm
   śraddhādīndriyaparipākamanupraviśati / nānādhimuktijñānabalenāśayaṃ	SradDA Adi indriya paripAkam anupraviSati / nAnA aDimukti jQAna balena ASayam
   hīnapraṇītādhimuktikatāmanupraviśati /	hIna praNIta aDimuktika tAm anupraviSati /
   nānādhātujñānabalenānuśayasamudghātanaśakyakleśatāmanupraviśati /	nAnA DAtu jQAna balena anuSaya samudGAtana Sakya kleSa tAm anupraviSati /
   sarvatragāminīpratipajjñānabalenālaṃbanaṃ śrāvakayānaṃ mahāyānaṃ vā	sarvatra gAminI pratipad jQAna balena AlaMbanam SrAvaka yAnam mahAyAnam vA
   deśanādharmasaṃgṛhītadharmamanupraviśati / (Abhidh s bh 135)	deSanA Darma saMgRhIta Darmam anupraviSati / (a aBiD s B 135)
   pūrvenivāsānusmṛtijñānabalena saṃbhāraṃ	pUrvenivAsa anusmRti jQAna balena saMBAram
   pūrvajanmasamudāyagatamāryamārgahetumanupraviśati //	pUrva janma samudAya gatam Arya mArga hetum anupraviSati //
   cyutyupapādajñānabalena bhavyatā māyatyāmanupraviśati /	cyuti upapAda jQAna balena Bavya tA mA AyatyAm anupraviSati /
   āsravakṣayajñānabalena niḥsaraṇaṃ ca sarvasmāttraidhātukādanupraviśati	Asrava kzaya jQAna balena niHsaraNam ca sarvasmAt trEDAtukAt anupraviSati
   yato yathāvanmokṣamārga deśayati //	yatas yaTAvat mokza mArga deSayati //
   balatvaṃ punareṣāmebhiḥ skandhakleśadevaputramaraṇamāranigrahaṇaviśeṣāt /	bala tvam punar ezAm eBiH skanDa kleSa deva putra maraNa mAra ni grahaNa viSezAt /
   viśeṣaḥ punarjñeyāvaraṇaprahāṇe 'pyanantarāyakṛtatvāt, sthānāsthāne	viSezaH punar jQeya AvaraNa prahANe api anantarAya kRta tvAt, sTAna AsTAne
   yāvadāsravakṣaya iti sarvatra praśnaṃ pṛṣṭasya praśnavyākaraṇavyāghātācca	yAvat Asrava kzayaH iti sarvatra praSnam pRzwasya praSna vyAkaraNa vyAGAtAt ca
   vaiśāradyaiḥ pariṣadi samyagātmanaḥ śāstṛtvamātmaparahitapratipannatvaṃ	vESAradyEH parizadi samyak AtmanaH SAstR tvam Atma para hita pratipanna tvam
   vyavasthāpayati / codakāṃścābhisaṃbodhau yāvanmārge tīrthyān sahadharmeṇa	vyavasTApayati / ca udakAn= ca aBisaMboDO yAvat mArge tIrTyAn sahaDarmeNa
   nigṛhṇāti //	nigRhNAti //
   smṛtyupasthānairasaṃkliṣṭo gaṇaṃ parikarṣati,	smRti upasTAnEH asaMklizwaH gaNam parikarzati,
   śūśrūṣamāṇādiṣvanunayādisaṃkleśābhāvāt //	SUSrUza mANa Adizu anunaya Adi saMkleSa aBAvAt //
   arakṣyairnirantaraṃ gaṇamavavadati samanuśāsti, svadoṣāvirbhāvanā	arakzyEH nirantaram gaNam avavadati samanuSAsti, sva doza AvirBAvanA
   śaṃkayānurakṣyābhāvāt //	SaMkayA anurakzya aBAvAt //
   asaṃmoṣadharmatayā buddhakṛtyaṃ na hāpayati, upasthite sattvārthakṛtye	asaMmoza Darma tayA budDa kRtyam na hApayati, upasTite sattva arTa kRtye
   pramādena kṣaṇamapyalaṃghanāt //	pramAdena kzaNam api alaMGanAt //
   vāsanāsamudghātena niḥkleśaḥ kleśapratirūpāṃ ceṣṭāṃ na darśayati yathārhan	vAsanA samudGAtena niHkleSaH kleSa pratirUpAm cezwAm na darSayati yaTArhan
   bhikṣuḥ skhalitādikaṃ darśayati //	BikzuH sKalita Adikam darSayati //
   mahākaruṇayā ṣaṭkṛtvā rātriṃdivasena lokaṃ vyavalokayati, ko hīyate kaḥ	mahA karuNayA zaz kRtvA rAtriMdivasena lokam vyavalokayati, kaH hIyate kaH
   parihīyata ityevamādibhiḥ prakāraiḥ pratyavekṣaṇāt //	parihIyate iti evamAdiBiH prakArEH pratyavekzaNAt //
   āveṇikānāṃ buddhadharmāṇāṃ	AveNikAnAm budDa DarmANAm
   karmāsādhāraṇakāyavāṅmanaskarmapariśuddhisamṛddhāvityevamādilakṣaṇanirdeśādhikāreṇayojayitavyam	karma asADAraNa kAya vAc manaskarma pariSudDi samRdDO= iti evam Adi lakzaNa nirdeSa aDikAreNa yojayitavyam
   sarvakārajñatayā sarvasattvānāṃ sarvasaṃśayān chinatti,	sarva kAra jQa tayA sarva sattvAnAm sarva saMSayAn Cinatti,
   sarvatrāvyāhatajñānatvāt / dharmanetrīṃ ca dīrghakālamavasthāpayati, tatra	sarvatra avyAhata jQAna tvAt / DarmanetrIm ca dIrGa kAlam avasTApayati, tatra
   tatra vineyasaṃśayacchedanārtha deśitānāṃ dharmaparyāyāṇāṃ	tatra vineya saMSaya= Cedana arTa deSitAnAm Darma paryAyANAm
   saṃgītikārairanukrameṇa saṃjñāpanāt / (Abhidh s bh 136) dharmanetrīṃ	saMgItikArEH anukrameNa saMjQApanAt / (a aBiD s B 136) DarmanetrIm
   nisrityāparipakvāḥ sattvāḥ paripacyante paripakvāśca vimucyante //	nisritya aparipakvAH sattvAH paripacyante paripakvAH ca vimucyante //
   viśiṣṭamārgalābhe hīnamārgavihānistadyathā phalasaṃgṛhītamārgalābhe	viSizwa mArga lABe hIna mArga vihAniH tat yaTA Pala saMgRhIta mArgalABe
   pratipannakamārgo vihīna ityucyate, punarasaṃmukhīkaraṇāt / sakalaprahāṇaṃ	pratipannaka mArgaH vihInaH iti ucyate, punar asaMmuKIkaraNAt / sakala prahANam
   ca sākṣātkaroti phalaprāptikāle tu	ca sAkzAtkaroti Pala prApti kAle tu
   tadvipakṣajātīyakleśapratipakṣadauṣṭhulyāśeṣaprahāṇādāśrayaparivṛttiviśeṣalābhataḥ	tad vipakza jAtIya kleSa pratipakza dOzWulya aSeza prahANAt ASraya parivRtti viSeza lABataH
   samavasargavihānyā vijahātī[tya]tyantāsamudācāraṃ vijahā[tī]tyarthaḥ / no	samavasarga vihAnyA vijahAti i[ti a]ti anta asam udAcAram vijahA[tI]ti arTaH / no
   tu bodhisattvastathā vijahāti,	tu boDisattvaH taTA vijahAti,
   sarvasattvaparinirvāṇābhiprāyapūrvakatvāttanmārgasya / ata eva bodhisattvā	sarva sattva parinirvANa aBiprAya pUrvaka tvAt tad mArgasya / atas eva boDisattvA
   akṣayakuśalamūlā akṣayaguṇā ityucyante tadyathākṣamiti [sūtre]	akzaya kuSala mUlAH akzaya guNAH iti ucyante tat yaTA akzam iti [sUtre]
   'kṣayatānirdiṣṭeti //	akzayatA nirdizwA iti //
   śāśvato loka aśāśvata ityevamādiṣu	SASvataH lokaH aSASvataH iti evamAdizu
   praśneṣvavyākṛtavastuvyavasthānamanarthopasaṃhitatvenāyoniśatvāt / teṣāṃ	praSnezu avyAkRta vastu vyavasTAnam anarTa upasaMhita tvena ayaH niSa tvAt / tezAm
   teṣāṃ praśnānāṃ kīdṛśaḥ punaḥ praśno 'rthopasaṃhitaḥ / tadyathā	tezAm praSnAnAm kIdRSaH punar praSnaH arTa upasaMhitaH / tat yaTA
   catvāryāryasatyānyārabhya yaḥ praśnaḥ / tathāhi	catvAri Arya satyAni AraBya yaH praSnaH / taTA hi
   sahetuphalasaṃkleśavyavadānacintāntarbhūta iti //	sa hetu Pala saMkleSa vyavadAna cintA antarBUtaH iti //
   bodhisattvasya nyāmāvakrāntāvapi śrotāpannatvāvyavasthānam,	boDisattvasya nyAma avakrAntO= api SrotApanna tva avyavasTAnam,
   apratiṣṭhitamārgapratilambhāt pratiśrotaḥ	apratizWita mArga pratilamBAt pratiSrotaH
   pratipattyapariniṣpannatāmupādāya //	pratipatti aparinizpanna tAm upAdAya //
   jñeyaṃ ṣaḍvidhaṃ   bhrāntiryāvadabhrāntiniṣyandaśca / tatra	jQeyam zaxviDam  BrAntiH yAvat aBrAnti nizyandaH ca / tatra
   bhrāntirgrāhyagrāhakābhiniveśaḥ / bhrāntyāśrayo yasminnāryajñā nagocare	BrAntiH grAhya grAhaka aBiniveSaH / BrAntyASrayaH yasmin = AryajQAH nagocare
   saṃskāranimittamātre 'bhūtaparikalpātmake sati bālānāṃ so 'bhiniveśaḥ	saMskAra nimitta mAtre aBUta parikalpa Atmake sati bAlAnAm saH aBiniveSaH
   pravartate / abhrāntyāśrayastathatā, nirvikalpasya jñānasya	pravartate / aBrAntyASrayaH taTatA, nirvikalpasya jQAnasya
   tadadhiṣṭhānatvāt / bhrāntyabhrāntilokottarajñānānukūlāḥ śrutamayyādayaḥ	tad aDizWAna tvAt / BrAnti aBrAnti loka uttara jQAna anukUlAH Sruta mayya AdayaH
   kuśalā dharmāḥ, jñeyavikalpanānnirvikalpajñānānukūlyācca /	kuSalAH DarmAH, jQeya vikalpanAt nirvikalpa jQAna AnukUlyAt ca /
   abhrāntirnirvikalpajñānam / abhrāntiniṣyanda āryamārgapṛṣṭhalabdhāḥ kuśalā	aBrAntiH nirvikalpa jQAnam / aBrAnti nizyandaH Arya mArga pRzWa labDAH kuSalA
   dharmāḥ //	DarmAH //
   upāyakauśalyaṃ punaścaturvidham / sattvaparipākakauśalyaṃ catvāri	upAya kOSalyam punar caturviDam / sattva paripAka kOSalyam catvAri
   saṃgrahavastūni, taiḥ saṃgṛhya kuśaleṣu dharmeṣu niyojanāt / (Abhidh s bh	saMgraha vastUni, tEH saMgRhya kuSalezu Darmezu niyojanAt / (a aBiD s B
   137) buddhadharmaparipūraṇakauśalyaṃ prajñāpāramitā, dānapāramitāṃ yāvat	137) budDa Darma paripUraNa kOSalyam prajQApAramitA, dAna pAramitAm yAvat 
   sarvākāravarajñatāṃ paripūrayitukāmena bodhisattvena mahāsattvenāsyāmeva	sarva AkAra vara jQa tAm paripUrayitu kAmena boDisattvena mahAsattvena asyAm eva
   prajñāpāramitāyāṃ śikṣitavyamiti vacanāt / kṣiprābhijñatākauśalyaṃ	prajQApAramitAyAm Sikzitavyam iti vacanAt / kzipra aBijQa tA kOSalyam
   ṣaṭkṛtvā rātridivasaṃ pāpapratideśanā puṇyānumodanā buddhādhyeṣaṇā	zaz kRtvA rAtri divasam pApa pratideSanA puNya anumodanA budDa aDyezaNA
   kuśalamūlapariṇāmanā ca yathākra[ma]māryamaitreyaparipṛcchāyām /	kuSala mUla pariNAmanA ca yaTAkra[ma]m Arya mEtreya paripRcCAyAm /
   dharmānupacchedakauśalyaṃ cāpratiṣṭhitanirvāṇatayā	DarmAn upacCeda kOSalyam ca apratizWita nirvANa tayA
   punaḥpanaranuparatamatyantaṃ ca samantāllokadhātuṣu yathāvineyaṃ	punar panaH anuparatam atyantam ca samantAt lokaDAtuzu yaTA avineyam
   buddhabodhisattvacaryāsaṃdarśanāditi //	budDa boDisattva caryA saMdarSanAt iti //
   abhūtaparikalpo daśavidhaḥ / tatra mūlavikalpa ālayavijñānam,	aBUta parikalpaH daSaviDaH / tatra mUla vikalpaH Alaya vijQAnam,
   sarvavikalpānāṃ bījabhūtatvāt / nimittavikalpo	sarva vikalpAnAm bIja BUta tvAt / nimitta vikalpaH 
   dehapratiṣṭhābhogapratibhāsā vijñaptayaḥ, grāhyanimittabhūtatvāt / tāḥ	deha pratizWA Boga pratiBAsA vijQaptayaH, grAhya nimitta BUta tvAt / tAH
   punaryathākramaṃ rūpīndriya bhājanalokarūpādiviṣayalakṣaṇā draṣṭavyāḥ /	punar yaTAkramam rUpi indriya BAjana loka rUpa Adi vizaya lakzaNAH drazwavyAH /
   nimittapratibhāsasya vikalpaḥ ṣaḍvijñānakāyāḥ manaśca,	nimitta pratiBAsasya vikalpaH zaz vijQAna kAyAH manaH ca,
   yathoktagrāhyanimittākāratvāt / nimittavikāravikalpo	yaTA ukta grAhya nimitta AkAra tvAt / nimitta vikAra vikalpaH 
   yathoktadehādinimittasyānyathātvenotpādaḥ / nimittapratibhāsavikāra	yaTA ukta deha Adi nimittasya anyaTAtvena utpAdaH / nimitta pratiBAsa vikAra
   vikalpo yathoktasya cakṣarvijñānādinimittapratibhāsasya	vikalpaH yaTA uktasya cakzarvijQAna Adi nimitta pratiBAsasya
   sukhādyavasthāntareṇotpādaḥ / paropanīto vikalpo	suKa Adi avasTA antareNa utpAdaH / para upanItaH vikalpaH 
   deśanāsaṃgṛhītanāmapadavyañjanakāyalakṣaṇaḥ / sa punardvividhaḥ  	deSanA saMgRhIta nAma pada vyaQjana kAya lakzaNaH / sa punar dviviDaH  
   durākhyātadharmavinayātmakaḥ svākhyādharmavinayātmakaśca /	durAKyAta Darma vinaya AtmakaH su a AKyA Darma vinaya AtmakaH ca /
   atastadadhipateyamanaskārasaṃgṛhītau yathākramaṃ yoniśovikalpo	atas tad aDipateya m anaskAra saMgRhItO yaTAkramam yoni Sovi kalpaH 
   'yoniśovikalpaśca veditavyaḥ / abhiniveśavikalpo	ayoniSovikalpaH ca veditavyaH / aBiniveSa vikalpaH 
   'yoniśovikalpādvāṣaṣṭidṛṣṭigatasaṃgṛhīto yo vikalpaḥ / vikṣepavikalpaḥ	ayoniSaH vikalpAdvAzazwi dRzwi gata saMgRhItaH yaH vikalpaH / vikzepa vikalpaH
   yoniśo vikalpādabhāvādigrāhalakṣaṇo yo vikalpaḥ //	yoniSas vikalpAt aBAva Adi grAha lakzaNaH yaH vikalpaH //
   sa punardaśavidhaḥ   abhāvavikalpaḥ yāvadyathārthanāmavikalpaśca / sa eṣa	sa punar daSaviDaH  aBAva vikalpaH yAvat yaTArTa nAm a vikalpaH ca / saH eza
   daśavidho vikalpaḥ prajñāpāramitādinirdeśamadhikṛtya veditavyaḥ /	daSaviDaH vikalpaH prajQApAramitA Adi nirdeSam aDikRtya veditavyaH /
   yathoktam iha śāriputra bodhisattvo bodhisattva eva san bodhisattvaṃ na	yaTA uktam iha SAriputra boDisattvaH boDisattvaH eva san boDisattvam na
   samanupaśyati / (Abhidh s bh 138) bodhisattvanāma na samanupaśyati /	samanupaSyati / (a aBiD s B 138) boDisattva nAma na samanupaSyati /
   prajñāpāramitāṃ na samanupaśyati / bodhiṃ na samanupaśyati / caratīti na	prajQApAramitAm na samanupaSyati / boDim na samanupaSyati / carati iti na
   samanupaśyati / na caratīti na samanupaśyati / tathāhi nāma svabhāvena	samanupaSyati / na carati iti na samanupaSyati / taTA hi nAma svaBAvena
   śūnyaṃ na śūnyatayā, rūpaṃ svabhāvena śūnyaṃ na śūnyatayā yāvadvijñānaṃ	SUnyam na SUnyatayA, rUpam svaBAvena SUnyam na SUnyatayA yAvat vijQAnam
   svabhāvena śūnyaṃ na śūnyatayā / tatkasya hetoḥ / yā rūpasya śūnyatā na	svaBAvena SUnyam na SUnya tayA / tat kasya hetoH / yA rUpasya SUnyatA na
   tadrūpam, nāpyanyatra, rūpācchanyatā, rūpameva śūnyatāḥ, śūnyataiva rūpam,	tad rUpam, na api anyatra, rUpAt CanyatA, rUpam eva SUnyatAH, SUnyatA eva rUpam,
   evaṃ yāvadvijñānam / tatkasya hetoḥ / nāmamātramidaṃ yaduta	evam yAvat vijQAnam / tat kasya hetoH / nAma mAtram idam yat uta
   bodhisattvanāmeti bodhisattva iti prajñāpāramiteti bodhiriti rūpamiti	boDisattva nAmA iti boDisattvaH iti prajQApAramitA iti boDiH iti rUpam iti
   yāvadvijñānamiti / svabhāvasya hi notpādo na nirodho na saṃkleśo na	yAvat vijQAnam iti / svaBAvasya hi na utpAdaH na niroDaH na saMkleSaH na
   vyavadānam / prajñāpāramitāyāṃ caran bodhisattva utpādamapi na	vyavadAnam / prajQApAramitAyAm caran boDisattvaH utpAdam api na
   samanupaśyati yāvadvayavadānamapi na samanupaśyati / tatkasya hetoḥ /	samanupaSyati yAvat vayavadAnam api na samanupaSyati / tat kasya hetoH /
   kṛtrimaṃ nāma prati prati te dharmāḥ kalpitā āgantukena	kRtrimam nAma prati prati te DarmAH kalpitAH Agantukena
   nāmnānuvyavahriyante / [yathā yathānuvyavahriyante] tathā	nAmnA anuvyavahriyante / [yaTA yaTA anuvyavahriyante] taTA
   tathābhiniviśanti / tāni bodhisattvaḥ sarvanāmāni na samanupaśyati,	taTA aBiniviSanti / tAni boDisattvaH sarva nAmAni na samanupaSyati,
   asamanupaśyannābhiniviśate / tatra abhāvavikalpapratipakṣeṇāha  	asamanupaSyat nABiniviSate / tatra aBAva vikalpa pratipakzeNa Aha  
   bodhisattvo bodhisattva eva sannityevamādi, sacchabdasya bhāvārthatvāt /	boDisattvaH boDisattvaH eva san= iti evamAdi, sat Sabdasya BAva arTa tvAt /
   bhāvavikalpapratipakṣeṇāha   bodhisattvaṃ na samanupaśyati	BAva vikalpa pratipakzeNa Aha  boDisattvam na samanupaSyati
