   abhidharmadīpaḥ	aBiDarma dIpaH
   buddhapratyekabuddhacakravartinaḥ |	budDa pratyekabudDa cakravartinaH |
   kiṃ pramāṇaṃ punastannārāyaṇaṃ balam ? yatkhalu daśānāmitarahastīnāṃ balaṃ	kim pramANam punar tad nArAyaNam balam ? yat Kalu daSAnAm itara hastInAm balam
   tadekasya gandhahastinaḥ | evaṃ daśottaravṛttyā	tat ekasya ganDa hastinaH | evam daSa uttara vRttyA
   mahānagnapraskandivarāṅgacānūranārāyaṇānāṃ vācyam |	mahAnagna praskandi vara aFga cAnUra nArAyaNAnAm vAcyam |
   airāvaṇasahasrasyetyanye | sa hi devodyānayātrāsamaye	ErAvaNa sahasrasya iti anye | sa hi deva udyAnayA trA samaye
   trayastriṃśacchirasamātmānamabhinirmāyātyadbhutavicitrodyānāyāyamānāni	trayastriMSat Sira sam AtmAnam aBinirmAya ati adButa vicitra udyAna AyAyamAnAni
   tāvantyeva devakulānyanekasahasraparivārāṇi bhūrjapatravadādāya	tAvanti eva devakulAni aneka sahasra parivArANi BUrja patra vat AdAya
   gacchaḥyeṣa balasamudayastasya | evaṃ tu varṇayanti mānasabalavadanantaṃ	gacCaHi eza bala samudayaH tasya | evam tu varNayanti mAnasa bala vat anantam
   kāyikamapi balaṃ buddhānāṃ bhagavatāmiti | tatpunaḥ kāyikaṃ balaṃ	kAyikam api balam budDAnAm BagavatAm iti | tat punar kAyikam balam
   spṛṣṭavyāyatanasaṃgṛhītam | gurutvena balasaṃgraho laghutvena	spRzwa vyAyatana saMgRhItam | guru tvena bala saMgrahaH laGu tvena
   daurbalyasyeti varṇayanti |	dOrbalyasya iti varNayanti |
   svaparārthāntasamprāptervaiśāradyacatuṣṭayam /	sva para arTa anta samprApteH vESAradya catuzwayam /
   ādyantabalarūpe dve dve karma pratipaddhiyoḥ // Abhidh d_506 //	Adi anta bala rUpe dve dve karma pratipad DiyoH // ABiD t _506 //
   (Jaini_390)	(JEni_390)
   sūtra uktam  "samyaksambuddhasya vata me sata ime	sUtre uktam "samyaksambudDasya vata me sataH ime
   dharmāstvayānabhisambuddhāḥ" iti vistaraḥ | atra hi prathamadvitīyābhyāṃ	DarmAH tvayA anaBisambudDAH" iti vistaraH | atra hi praTama dvitIyAByAm
   svārthasampadbhagavatodbhāvitā | pūrveṇa jñānasampat | dvitīyena	sva arTa sampad Bagavata udBAvitA | pUrveNa jQAna sampad | dvitIyena
   prahāṇasampat | dvābhyāmanyābhyāṃ parārthasampadā darśitā	prahANa sampad | dvAByAm anyAByAm para arTa sampadA darSitA
   vyavadānasaṃklelodbhāvanāt |	vyavadAna saMklela udBAvanAt |
   kataratpunarvaiśāradyaṃ kati jñānātmakam ? taducyate |	katarat punar vESAradyam kati jQAna Atmakam ? tat ucyate |
   sthānāsthānabalarūpamādyam | āsravakṣayajñānarūpaṃ dvitīyam |	sTAna AsTAna bala rUpam Adyam | Asrava kzaya jQAna rUpam dvitIyam |
   karmasvakajñānabalaṃ tṛtīyam | sarvatragāminīpratipatjñānabalaṃ caturthaṃ	karma svaka jQAna balam tRtIyam | sarvatra gAminI pratipad jQAna balam caturTam
   vaiśāradyam | tadyāvajjñānasvabhāvānyetāni valāni tāvatsvabhāvāni	vESAradyam | tad yAvat jQAna svaBAvAni etAni valAni tAvat svaBAvAni
   yathākramaṃ catvāri vaiśāradyāni boddhavyāni |	yaTAkramam catvAri vESAradyAni bodDavyAni |
   sūtra uktam  "trīṇīmāni smṛtyupasthānāni yānyāryaḥ sevate" iti vistaraḥ |	sUtre uktam "trINi imAni smRti upasTAnAni yAni AryaH sevate" iti vistaraH |
   teṣāṃ punaridaṃ lakṣaṇam 	tezAm punar idam lakzaNam 
   (Jaini_391)	(JEni_391)
   śrotṛsampattrayāpekṣā trividhā smṛtyupasthitiḥ /	SrotR sampattraya apekzA triviDA smRti upasTitiH /
   saṃsmārāhitasāmarthyasaṃprajanyasvalakṣaṇā // Abhidh d_507 //	saMsmAra Ahita sAmarTya saMprajanya sva lakzaNAH // ABiD t _507 //
   śuśrūṣakāśuśrūṣakādibhedādvineyānāṃ traividhyena vyavasthānam |	SuSrUzaka ASu SrUzaka Adi BedAt vineyAnAm trEviDyena vyavasTAnam |
   śuśrūṣakādivargatrayābhisandheḥ | svabhāvaḥ punaḥ	SuSrUzaka Adi varga traya aBisanDeH | svaBAvaH punar 
   smṛtiviśiṣṭasaṃprajanyatrayasvabhāvāni trīṇi smṛtyupasthānāni |	smRti viSizwa saMprajanya traya svaBAvAni trINi smRti upasTAnAni |
   smṛtiviśiṣṭasaṃprajanyato hi bhagavataḥ	smRti viSizwa saMprajanyataH hi BagavataH
   śuśrūṣamāṇāśuśraṣamāṇatadubhayayukteṣu vineyasamūheṣu nānando	SuSrUzamANa aSuSrazamANa tad uBaya yuktezu vineya samUhezu na AnandaH 
   bhavatyāghāto vā ||	Bavati AGAtaH vA ||
   mahākaruṇā punaḥ	mahA karuNA punar 
   saṃvṛtijñānarūpatvāddīrghakālānusārataḥ /	saMvRti jQAna rUpa tvAt dIrGa kAla anusArataH /
   sarvatra samavṛttyāderbaddhasyaiva mahākṛpā // Abhidh d_508 //	sarvatra sama vRtti AdeH badDasya eva mahA kRpA // ABiD t _508 //
   yadā śrāvakasyāpi karūṇā vidyate pratyekabuddhasyāpi kasmād buddhasyaiva	yadA SrAvakasya api karUNA vidyate pratyekabudDasya api kasmAt budDasya eva
   mahākṛpetyucyate ? yasmādiyaṃ saṃvṛtijñānasvabhāvā	mahAkRpA iti ucyate ? yasmAt iyam saMvRti jQAna svaBAvA
   śrāvakādīnāmadveṣasvabhāvā buddhasya ca dīrghakālānugatā sūkṣmānugatā	SrAvaka AdInAm adveza svaBAvA budDasya ca dIrGa kAla anugatA sUkzma anugatA
   sarvasattvasamagrahapravṛttā sarvatrānugatā ca	sarva sattva sama graha pravRttA sarvatra anugatA ca
   dvātriṃśanmahāpuruṣalakṣaṇavidyotitaśarīrādhyāsinī daśabalaparigṛhītā ca |	dvAtriMSat mahApuruza lakzaNa vidyotita SarIra aDyAsinI daSa bala parigRhItA ca |
   tasmād buddhasyaiva bhagavato mahākṛpetyucyate | uktā asādhāraṇaguṇāḥ ||	tasmAt budDasya eva BagavataH mahAkRpA iti ucyate | uktAH asADAraNa guNAH ||
   (Jaini_392)	(JEni_392)
   śrāvakasādhāraṇā ucyante 	SrAvaka sADAraNAH ucyante 
   araṇā praṇidhijñānaṃ catasraḥ pratisaṃvidaḥ /	araNA praNiDi jQAnam catasraH pratisaMvidaH /
   arhatsāntānikā hyete pañca tu prāntakoṭikāḥ // Abhidh d_509 //	arhat sAntAnikAH hi ete paQca tu prAnta kowikAH // ABiD t _509 //
   itarairapi sāmānyā apramādādayo guṇāḥ /	itarEH api sAmAnyAH apramAda AdayaH guNAH /
   eṣāṃ yathopadiṣṭānāṃ śṛṇu vakṣyāmi lakṣaṇam // Abhidh d_510 //	ezAm yaTA upadizwAnAm SRNu vakzyAmi lakzaNam // ABiD t _510 //
   tatra tāvat |	tatra tAvat |
   araṇā saṃvṛtijñānaṃ nṛjāntyadhyānaniśrayāt /	araNA saMvRti jQAnam nR ja antya DyAna niSrayAt /
   āryasantānikā jātā savastukamalekṣiṇī // Abhidh d_511 //	Arya santAnikA jAtA sa vastu kamala IkziNI // ABiD t _511 //
   iha kaścidarhannakopyadharmā	iha kaScid arhan= akopya DarmA
   sarvakleśaprahāṇātparamāmṛtasukhamanubhavatyevaṃ cittamutpādayati  kathaṃ	sarva kleSa prahANAt parama amRta suKam anuBavati evam cittam utpAdayati kaTam
   nāma pare 'pi ime santānālambanād kleśān notpādayeyuḥ kathañca	nAma pare api ime santAna AlambanAt kleSAt na utpAdayeyuH kaTaQca
   tamaniṣṭaphalaṃ nānubhaveyuḥ | caturthaṃ dhyānaṃ vivṛddhikāṣṭhāgataṃ	tam anizwa Palam na anuBaveyuH | caturTam DyAnam vivRdDi kAzWA gatam
   samāpadya tathā karoti yathāsya cāravihāragatasya santāne na	samApadya taTA karoti yaTA asya cAra vihAra gatasya santAne na
   kaścitkleśamutpādayati |	kaScid kleSam utpAdayati |
   praṇidhijñānamapyevaṃ sarvadharmāvalambi tu /	praNiDi jQAnam api evam sarva Darma avalambi tu /
   akopyadharmaṇo khyāte tathaiva pratisaṃvidaḥ // Abhidh d_512 //	akopya DarmaNaH KyAte taTA eva pratisaMvidaH // ABiD t _512 //
   praṇidhijñānamapi saṃvṛtijñānasvabhāvaṃ prāntakoṭika caturthadhyānalābhāt,	praNiDi jQAnam api saMvRti jQAna svaBAvam prAnta kowika caturTa DyAna lABAt,
   arhadyadyatpraṇidhatte tattajjānīte praṇidhijñānasya	arhat yat yat praNiDatte tad tad jAnIte praNiDi jQAnasya
   sarvadharmālambanatvāt ||	sarva Darma Alambana tvAt ||
   (Jaini_393)	(JEni_393)
   pratisaṃvidaḥ khalvapi	pratisaMvidaH Kalu api
   vivakṣitārthasambandhināmasaṃmohabhedinī /	vivakzita arTa sambanDi nAma saMmoha BedinI /
   ādyānyā tadabhivyaṅgyā jñeyā jñānavicāriṇī // Abhidh d_513 //	AdyA anyA tad aBivyaFgyA jQeyA jQAna vicAriNI // ABiD t _513 //
   tṛtīyā śabdasaṃskārā jñānasaṃmohaghātinī /	tRtIyA Sabda saMskArA jQAna saMmoha GAtinI /
   turīyā tu prabandhoktirdhyānādyutpādanonmukhī // Abhidh d_514 //	turIyA tu prabanDa uktiH DyAna Adi utpAdana unmuKI // ABiD t _514 //
   tatra dvādaśāṅgapravacanasaṃgṛhīteṣu vakṣyamāṇārthasambandhiṣu vivakṣiteṣu	tatra dvAdaSa aFga pravacana saMgRhItezu vakzyamANa arTa sambanDizu vivakzitezu
   nāmakāyādiṣu yadavivartyaṃ jñānaṃ sā dharmapratisaṃvit | tadavadyotyeṣu	nAmakAya Adizu yat avivartyam jQAnam sA Darma pratisaMvid | tad avadyotyezu
   paurūṣeyāpauruṣeyasambandheṣu parārthasaṃvṛtyartharāśiṣu yadavivartyaṃ	pOrUzeya apOruzeya sambanDezu para arTa saMvRti arTa rASizu yat avivartyam
   jñānaṃ sārthapratisaṃvit | nāmakāyādivācaka eva	jQAnam sArTa pratisaMvid | nAmakAya Adi vAcakaH eva
   vākchabdeṣvarūpadravyaliṅgasaṃkhyāsādhanakriyākālapuruṣo	vAc Cabdezu arUpa dravya liFga saMKyA sADana kriyA kAla puruzaH 
   pagrahasambandhini yadavivartyaṃ jñānaṃ sā niruktipratisaṃvit |	pagraha sambanDini yat avivartyam jQAnam sA nirukti pratisaMvid |
   dharmārthaniruktiṣu dhyānavimokṣasamādhisamāpattivaśitvasaṃprakhyāne	Darma arTa niruktizu DyAna vimokza samADi samApatti vaSi tva saMpraKyAne
   yadavivartyaṃ jñānaṃ sā pratibhānapratisaṃvit |	yat avivartyam jQAnam sA pratiBAna pratisaMvid |
   (Jaini_394)	(JEni_394)
   ta ete ṣaḍguṇāḥ prāntakoṭikamityucyante ||	te ete zaxguNAH prAnta kowikam iti ucyante ||
   kā kati bhūmikāḥ punarāsāṃ pratisaṃvidāṃ kā vā kati jñānamayī ?	kA kati BUmikAH punar AsAm pratisaMvidAm kA vA kati jQAna mayI ?
   tadavadyotyate 	tad avadyotyate 
   arthākhyā khalu sarvatra ṣaḍjñānānyathavā nava /	arTa AKyA Kalu sarvatra zaz jQAnAni aTavA nava /
   arthapratisaṃvit sarvāsu bhūmiṣu kāmadhātau yāvadbhavāgre	arTa pratisaMvid sarvAsu BUmizu kAmaDAtO yAvat Bava agre
   navajñānasvabhāvā nirodhajñānaṃ varjayitvā ṣaḍjñānāni nirvāṇasyaiva	nava jQAna svaBAvAH niroDa jQAnam varjayitvA zaz jQAnAni nirvANasya eva
   paramārthatvāt, paracittaduḥkhasamudayamārgajñānāni varjayitvā |	parama arTa tvAt, para citta duHKa samudaya mArga jQAnAni varjayitvA |
   pratibhānāhvayāpyevaṃ daśajñānamayī tvasau // Abhidh d_515 //	pratiBAnAhvayA api evam daSa jQAna mayI tu asO // ABiD t _515 //
   pratibhānapratisaṃvidapi sarvāsu bhūmiṣu daśajñānamayī |	pratiBAna pratisaMvid api sarvAsu BUmizu daSa jQAna mayI |
   tatra	tatra
   kāme dhyāneṣu dharmākhyā tadanyā tvādyakāmayoḥ /	kAme DyAnezu Darma AKyA tad anyA tu Adya kAmayoH /
   dharmapratisaṃvit kāmadhātau caturṣu dhyāneṣu niruktipratisaṃvit	Darma pratisaMvid kAmaDAtO caturzu DyAnezu nirukti pratisaMvid 
   kāmadhātau prathame ca dhyāne |	kAmaDAtO praTame ca DyAne |
   saṃvṛtijñānamayyau tu dve ete pratisaṃvidau // Abhidh d_516 //	saMvRti jQAna mayyO tu dve ete pratisaMvidO // ABiD t _516 //
   ubhe apyete saṃvṛtijñānasvabhāve dharmaniruktipratisaṃvidāviti ||	uBe api ete saMvRti jQAna svaBAve Darma nirukti pratisaMvidO= iti ||
   abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau saptamasyādhyāyasya tṛtīyaḥ pādaḥ	aBiDarma dIpe viBAzA praBAyAm vRttO saptamasya aDyAyasya tRtIyaH pAdaH
   samāptaḥ ||	samAptaH ||
   (Jaini_395)	(JEni_395)
   saptamādhyāye	saptama aDyAye
   caturthapādaḥ |	caturTa pAdaH |
   pṛthagjanasādhāraṇāḥ idānīmabhijñādayo guṇā vaktavyāḥ | ta ima ucyante 	pRTagjana sADAraNAH idAnIm aBijQa AdayaH guNAH vaktavyAH | te ime ucyante 
   ṛddhau śrotre 'nyacitte prāgbhāve cyutyudaye kṣaye /	RdDO Srotre anya citte prAgBAve cyuti udaye kzaye /
   jñānasākṣātkriyābhijñā ṣaḍvā dhīḥ muktivartmani // Abhidh d_517 //	jQAna sAkzAtkriyA aBijQA zaz vA DIH mukti vartmani // ABiD t _517 //
   jñānasākṣātkriyā khalu vimuktimārgasaṃgṛhītābhijñetyucyate | keṣāṃ	jQAna sAkzAtkriyA Kalu vimukti mArga saMgRhIta aBijQA iti ucyate | kezAM
   punarguṇānāṃ jñānasākṣātkriyā ? tadapadiśyate | ṛddhipādadivyaśrotracetaḥ 	punar guNAnAm jQAna sAkzAtkriyA ? tat apadiSyate | RdDi pAda divya Srotra cetaH 
   paryāyapūrvenivāsānusmṛticyutyupapādāsravakṣayajñānānāṃ yā	paryAya pUrvenivAsA anusmRti cyuti upapAda Asrava kzaya jQAnAnAm yA
   jñānasākṣātkriyā sābhijñā | abhijānātītyabhijñāyate vā tayeti abhijñā |	jQAna sAkzAtkriyA sA aBijQA | aBijAnAti iti aBijQAyate vA tayA iti aBijQA |
   kasmātpunarvimuktimārga evābhijñā śrāmaṇyaphalavat na	kasmAt punar vimukti mArgaH eva aBijQA SrAmaNya Pala vat na
   ānantaryamārgasvabhāvāḥ ?	Anantarya mArga svaBAvAH ?
   paracittajñānasyānantaryamārgapratiṣedhādarhataścāsravakṣayānantaryamārgatyāge	para citta jQAnasya Anantarya mArga pratizeDAt arhataH ca Asrava kzaya Anantarya mArga tyAge
   kasyacinnirabhijñatvaprasaṃgāt ||	kasyacid niraBijQa tva prasaMgAt ||
   āsāṃ punaḥ	AsAm punar 
   (Jaini_396)	(JEni_396)
   catasraḥ saṃvṛtijñānaṃ pañca jñānāni cittadhīḥ /	catasraH saMvRti jQAnam paQca jQAnAni citta DIH /
   sarvāsravakṣayābhijñā ṣaḍjñānānyathavā daśa // Abhidh d_518 //	sarva asra vakzaya aBijQA zaz jQAnAni aTavA daSa // ABiD t _518 //
   cetaḥparyāyāsravakṣayābhijñe hitvā | cetaḥparyāyābhijñā pañcajñānāni	cetaH paryAya asrava kzaya aBijQe hitvA | cetaH paryAya aBijQA paQca jQAnAni
   dharmānvayamārgasaṃvṛtiparacittajñānāni |	Darma anvaya mArga saMvRti para citta jQAnAni |
   āsravakṣayajñānasākṣātkriyābhijñā ṣaḍjñānāni daśa vā	Asrava kzaya jQAna sAkzAtkriyA aBijQA zaz jQAnAni daSa vA
   paracittaduḥkhasamudayamārgajñānāni hitvāathavā daśe'ti ||	para citta duHKa samudaya mArga jQAnAni hitvA aaTavA daSe ati ||
   ṣaṣṭhī sarvatra pañcānyā maulīṣu dhyānabhūmiṣu /	zazWI sarvatra paQca anyA mOlIzu DyAna BUmizu /
   āsravakṣayajñānasākṣātkriyā sarvāsu bhūmiṣu | śeṣā maulīṣu catasṛṣu	Asrava kzaya jQAna sAkzAtkriyA sarvAsu BUmizu | SezAH mOlIzu catasRzu
   dhyānabhūṣviti |	DyAna BUzu iti |
   yatnavairāgyato labhyāḥ svabhūmyadharagocarāḥ // Abhidh d_519 //	yatna vErAgyataH laByAH sva BUmi aDara gocarAH // ABiD t _519 //
   sarvāḥ abhijñāḥ yatnato labhyante vairāgyataśca | tatrānucitā yatnataḥ |	sarvAH aBijQAH yatnataH laByante vErAgyataH ca | tatra anucitAH yatnatas |
   ucitā vairāgyataḥ | janmāntarābhyastāḥ khalvabhijñā vairāgyato labhyante |	ucitAH vErAgyataH | janma antara aByastAH Kalu aBijQAH vErAgyataH laByante |
   vaiśeṣikyo yatnataḥ | 'svabhūmyadharagocarā'ścaitāḥ | ṛddhyā svabhūmiṃ	vESezikyaH yatnatas | asvaBUmi aDara gocarA aH ca etAH | RdDyA sva BUmim
   gacchatyadharāṃ ca bhūmim | nirmitanirmāṇamapyevam | divyaśrotrābhijñayāpi	gacCati aDarAm ca BUmim | nirmita nirmANam api evam | divya Srotra aBijQayA api
   svabhūmikamadhobhūmikaṃ ca śabdaṃ śṛṇoti | evaṃ paracittajñānaṃ	sva BUmikam aDas BUmikam ca Sabdam SRNoti | evam para citta jQAnam
   pūrvenivāsānusmṛtijñānaṃ ca | cyutyupapādābhijñayā ca svādhobhūmiviṣayaṃ	pUrvenivAsa anusmRti jQAnam ca | cyuti upapAda aBijQayA ca sva aDoBUmi vizayam
   rūpaṃ jānāti ||	rUpam jAnAti ||
   katamā punarāsāṃ kati smṛtyupasthānāni ?	katamA punar AsAm kati smRti upasTAnAni ?
   smṛtyupasthitayastistraścetaḥparyāyadhīrmatā /	smRti upasTitayaH tiH traH cetaH paryAya DIrmatA /
   ṛddhiśrotrākṣyabhijñāsnu prathamā smṛtyupasthitiḥ // Abhidh d_520 //	RdDi Srotra akzI aBijQAsnu praTamA smRti upasTitiH // ABiD t _520 //
   paracittābhijñā trīṇi smṛtyupasthānāni kāyasmṛtyupasthānaṃ hitvā |	para citta aBijQA trINi smRti upasTAnAni kAya smRti upasTAnam hitvA |
   cittacaittālambanā khalveṣā | ṛddhiśrotracakṣurabhijñāḥ	citta cEtta AlambanA Kalu ezA | RdDi Srotra cakzuH aBijQAH
   kāyasmṛtyupasthānaṃ rūpālambanatvāt | ṛddhiḥ khalu caturbāhyāyatanālambanā	kAya smRti upasTAnam rUpa Alambana tvAt | RdDiH Kalu catur bAhya Ayatana AlambanA
   | divyaśrotracakṣuṣī yathākramaṃ śabdarūpāyatanālambane |	| divya Srotra cakzuzI yaTAkramam Sabda rUpa Ayatana Alambane |
   (Jaini_397)	(JEni_397)
   kuśalādibhedena tu	kuSala Adi Bedena tu
   divyamavyākṛtaṃ śrotraṃ netraṃ cānyā śubhā matāḥ /	divyam avyAkRtam Srotram netram ca anyA SuBAH matAH /
   divyaśrotracakṣuṣī kilāvyākṛte | tacca na | abhijñānāṃ	divya Srotra cakzuzI kila avyAkRte | tat ca na | aBijQAnAm
   vimuktimārgasvabhāvyāccakṣuḥśrotravijñānayoścāvikalpatvādvimuktijñānānutpattiḥ	vimukti mArga svaBAvyAt cakzuH Srotra vijQAnayoH ca avikalpa tvAt vimukti jQAna anutpattiH
   | caturṣu dhyāneṣu tu asti prajñāviśeṣaḥ svabhūmikabhūtaphalo	| caturzu DyAnezu tu asti prajQA viSezaH sva BUmika BUta PalaH 
   yatsaṃmukhībhāvātsvabhūmikaphalameva cakṣuḥśrotraṃ saṃmukhībhāvaṃ gacchati	yad saMmuKIBAvAt sva BUmika Palam eva cakzuH Srotram saMmuKIBAvam gacCati
   | yattaccakṣuḥśrotravijñānayorāśrayī bhavati tasmānna tadvijñāne	| yat tat cakzuH Srotra vijQAnayoH ASrayI Bavati tasmAt na tad vijQAne
   saṃprayuktā prajñābhijñeti |	saMprayuktA prajQA aBijQA iti |
   kathaṃ punaretayorabhijñāśabdaḥ ? taducyate 	kaTam punar etayoH aBijQA SabdaH ? tat ucyate 
   abhijñāphalatābhijñā manovijñānaprajñayā // Abhidh d_521 //	aBijQA aPala tA aBijQAH manaH vijQAna prajQayA // ABiD t _521 //
   abhijñāphalamatrābhijñāśabdenoktam | manovijñānasaṃprayuktayā tu	aBijQA Palamatra aBijQA Sabdena uktam | manaH vijQAna saMprayuktayA tu
   prajñayābhijānātīti | saivābhijñā nirūpakatvāt |	prajQayA aBijAnAti iti | sA eva aBijQA nirUpaka tvAt |
   kati punarāsāṃ vidyā ?	kati punar AsAm vidyA ?
   tisro vidyā matāstryadhvasaṃmohādivyudastaye /	tisraH vidyA matAH tri aDva saMmoha Adi vyudastaye /
   ekā svabhāvato 'śaikṣī dve tvaśaikṣāśrayodayāt // Abhidh d_522 //	ekA svaBAvataH aSEkzI dve tu aSEkza ASraya udayAt // ABiD t _522 //
   pūrvanivāsacyutyupapādāsravakṣayajñānatatsākṣātkriyāstisraḥ khalvaśaikṣyo	pUrva nivAsa cyuti upapAda Asrava kzaya jQAna tad sAkzAt kriyAH tisraH Kalu aSEkzyaH 
   vidyā ucyante | kasmādetā eva ? eta eva tisro vidyāḥ	vidyAH ucyante | kasmAt etAH eva ? ete eva tisraH vidyAH
   yasmādābhiravidyātrayaṃ vinivartate |	yasmAt ABiH avidyA trayam vinivartate |
   pūrvenivāsābhijñājñayāpūrvāntasaṃmohaḥ nivartate | cyutyupapādābhijñayā	pUrveni vAsA aBijQA jQayA apUrva anta saMmohaH nivartate | cyuti upapAda aBijQayA
   tvaparāntasaṃmoho nivartate | āsravakṣayābhijñayā madhyādhvasaṃmohaḥ |	tu apara anta saMmohaH nivartate | Asrava kzaya aBijQayA maDya aDva saMmohaH |
   (Jaini_398)	(JEni_398)
   yadyapi ca tisro 'pyaśaikṣāstathāpi 'ekā svabhāvato 'śaikṣī dve	yadi api ca tisraH api aSEkzAH taTA api aekA svaBAvataH aSEkzI dve
   tvaśaikṣāśrayodayāt'; | antyā vāśaikṣī svabhāvataḥ santānataśca | ādye dve	tu aSEkza ASraya udayAt a; | antyA vA aSEkzI svaBAvataH santAnataH ca | Adye dve
   tvaśaikṣasantānādaśaikṣāvityucyante |	tu aSEkza santAnAt aSa ekzO= iti ucyante |
   kati punarāsāṃ prātihāryāṇi ?	kati punar AsAm prAtihAryANi ?
   ṛddhicittakṣayābhijñā pratihāryatrayaṃ smṛtam /	RdDi citta kzaya aBijQA pratihArya trayam smRtam /
   harato dve kuśāstṛbhyo mārebhyo harate param // Abhidh d_523 //	harataH dve kuSAH tRByaH mAreByaH harate param // ABiD t _523 //
   ṛddhyādeśanāprātihārye khalu kuśāstṛbhyaḥ kapilolūkākṣapādādibhyo	RdDi AdeSanA prAtihArye Kalu kuSAH tRByaH kapila ulUka akzapAda AdiByaH 
   vineyajanacittamapahṛtya buddhe bhagavati paramārthaśāstari saṃniyojayataḥ	vineya jana cittam apahRtya budDe Bagavati parama arTa SAstari saMniyojayataH
   | anuśāsanāpratihāryaṃ mārebhyo 'pahṛtya sarvajñaṃ mārgadeśike pravare	| anuSAsana apratihAryam mAreByaH apahRtya sarvajQam mArga deSike pravare
   pratiṣṭhāpayati ||	pratizWApayati ||
   kā punariyamṛddhiḥ ?	kA punar iyam RdDiH ?
   samādhī ṛddhirityuktā phalamaiśvaryaṣṭadhā /	samADI RdDiH iti uktA Palam ESvarI azwaDA /
   dvidhaitadgatinirmāṇe trividhā gatiriṣyate // Abhidh d_524 //	dviDA etat gati nirmANe triviDA gatiH izyate // ABiD t _524 //
   (Jaini_399)	(JEni_399)
   ṛddhiḥ khalu samādhirūpā tatphalatvāttu prātihāryamṛddhiratyuktaṃ sūtre |	RdDiH Kalu samADi rUpA tad Pala tvAt tu prAtihAryam RdDiH ati uktam sUtre |
   aṅgaparigṛhīte samādhau sati sarvametatprātihārya mṛddhyati |	aFga parigRhIte samADO sati sarvam etat prAtihArya mRdDyati |
   tasmātsamādhireva ṛddhiḥ | tasyāḥ phalamaṣṭaguṇamaiśvaryamaṇimādi |	tasmAt samADiH eva RdDiH | tasyAH Palam azwaguNam ESvarya maNima Adi |
   (Jaini_400)	(JEni_400)
   yacca sūtre	yat ca sUtre
   'padiṣṭamekānekayathecchitarūpāvasthānādistatpunaretamṛddhiphalaṃ	apadizwam ekAn eka yaTA icCita rUpa avasTAna AdiH tat punar etam RdDi Palam
   dvividhaṃ gatiśca nirmāṇaṃ ca | gatirapi trividhā | tatra	dviviDam gatiH ca nirmANam ca | gatiH api triviDA | tatra
   manomayī gatiḥ śāsturicchāmātrapravṛttitaḥ /	manaH mayI gatiH SAstuH icCA mAtra pravRttitaH /
   adhimokṣakṛtānyeṣāṃ tato dehābhivāhinī // Abhidh d_525 //	aDimokza kRtAni ezAm tatas deha aBivAhinI // ABiD t _525 //
   manojavāḥkhalu ṛddhirbuddhasyaiva | manasa iva javastasyāḥ | yāvatā kālena	manojavAHKalu RdDiH budDasya eva | manasaH iva javaH tasyAH | yAvatA kAlena
   cakṣurvijñānaṃ nīlaṃ pratipadyate yāvatā kālena bhagavāñccharīreṇa	cakzuH vijQAnam nIlam pratipadyate yAvatA kAlena BagavAQt SarIreNa
   sarvalokāntarāṇi vyāpnotyanantarddhiśarīrā hi buddhā bhagabanto 'nābhogena	sarva loka antarANi vyApnoti anantA RdDi SarIrAH hi budDAH BagabantaH anABogena
   yathecchitābhiprāyasiddheḥ bhagavato buddhasya | śrāvakādīnāṃ punaḥ	yaTecCita aBiprAya sidDeH BagavataH budDasya | SrAvaka AdInAm punar 
   śarīravāhinī gatirbhavati yathā devānāṃ pakṣiṇāṃ vā | ādhimokṣikī ca	SarIra vAhinI gatiH Bavati yaTA devAnAm pakziNAm vA | ADimokzikI ca
   dūramapyāsannamadhimucyāstagamanaṃ saṃpadyate | bāhuprasāraṇamātreṇa	dUram api Asannam aDimucya asta gamanam saMpadyate | bAhu prasAraNa mAtreNa
   sumerumūrddhani prādurbhavati | vyākhyātaṃ samādhiphalam ||	sumeru mUrdDani prAdurBavati | vyAKyAtam samADi Palam ||
   gamanaṃ nirmāṇamidānīṃ vaktavm | taddvividhaṃ kāmāvacaraṃ rūpāvacaraṃ ca |	gamanam nirmANam idAnIm vaktavm | tat dviviDam kAma avacaram rUpAvacaram ca |
   tatra tāvat 	tatra tAvat  
   rūpagandharasasparśāḥ kāme nirmāṇamiṣyate /	rUpa ganDa rasa sparSAH kAme nirmANam izyate /
   rūpasparśau matau rūpe sveśarīre 'tha vā bahiḥ // Abhidh d_526 //	rUpa sparSO matO rUpe sveSarIre aTa vA bahis // ABiD t _526 //
   kāmāvacaraṃ khalu bāhyamāyatanacatuṣṭayaṃ nirmīyate |	kAma avacaram Kalu bAhyam Ayatana catuzwayam nirmIyate |
   nānyadīśvarakartṛtvavādābhyupagamaprasaṃgāt | rūpāvacaraṃ tvāyatanadvayaṃ	na anyat ISvara kartR tva vAda aByupagama prasaMgAt | rUpAvacaram tu Ayatana dvayam
   tatra gandharasābhāvāt | tatpunaretat svaśarīre paraśarīre ca draṣṭavyam |	tatra ganDa rasa aBAvAt | tat punar etat sva SarIre para SarIre ca drazwavyam |
   etaccaturvidhaṃ nirmāṇaṃ kāmadhātāvevaṃ rūpadhātau draṣṭavyam |	etat caturviDam nirmANam kAmaDAtO= evam rUpa DAtO drazwavyam |
