   Śaṃkara: Upadeśasāhasrī	ŚaMkara: Upa-deSa-sAhasrI
   "ekam evādvitīyam", "yatra tv asya", "ko mohaḥ kaḥ śokaḥ"	"ekam eva-advitIyam-", "yatra tu asya", "kaH mohaH kaH SokaH"
   ityādyekatvavidhiśrutibhyaś ceti // SamUpad_II,1.40 //	ityAdi-ekatva-viDi-SrutiByaH ca-iti // SamUpad-_II,1.40 //
   yady evaṃ bhagavan, kimarthaṃ śrutyā sādhyasādhanādibheda ucyate utpattiḥ	yadi evam Bagavan, kimarTam SrutyA sADya-sADana-Adi-BedaH ucyate utpattiH
   pralayaś ceti // SamUpad_II,1.41 //	pralayaH ca-iti // SamUpad-_II,1.41 //
   atrocyate -- avidyāvata upāttaśarīrādibhedasyeṣṭāniṣṭayoginam ātmānaṃ	atra-ucyate - avidyAvataH upAtta-SarIra-Adi-Bedasya-izwA-anizwa-yoginam AtmAnam
   manyamānasya sādhanair eveṣṭāniṣṭaprāptiparihāropāyavivekam ajānata	manyamAnasya sADanEH eva-izwA-anizwa-prApti-parihAra-upAya-vivekam ajAnata
   iṣṭaprāptiṃ cāniṣṭaparihāraṃ cecchataḥ śanais tadviṣayam ajñānaṃ	izwa-prAptim ca-anizwa-parihAram ca-icCataH SanEs tad-vizayam ajQAnam
   nivartayati śāstraṃ na sādhyasādhanādibhedaṃ vidhatte / aniṣṭarūpaḥ	nivartayati SAstram na sADya-sADana-Adi-Bedam viDatte / anizwa-rUpaH
   saṃsāro hi sa iti tad bhedadṛṣṭim evāvidyāṃ saṃsāramūlam unmūlayati	saMsAraH hi saH iti tat Beda-dRzwim eva-avidyAm saMsAra-mUlam unmUlayati
   utpattipralayādyekatvopapattipradarśanena // SamUpad_II,1.42 //	utpatti-pralaya-Adi-ekatva-upapatti-pradarSanena // SamUpad-_II,1.42 //
   avidyāyām unmūlitāyāṃ śrutismṛtinyāyebhyaḥ "anantaram abāhyam",	avidyAyAm unmUlitAyAm Sruti-smRti-nyAyeByaH "anantaram abAhyam",
   "sabāhyābhyantaro hy ajaḥ" saindhavaghanavat "prajñānaghana eva", ekarasa	"sa-bAhya-aByantaraH hi ajaH" sEnDava-Gana-vat "prajQAna-GanaH eva", ekarasa
   ātmā ākāśavat paripūrṇa ity atraivaikā prajñā pratiṣṭhitā	AtmA AkASa-vat paripUrNaH iti atra-eva-ekA prajQA pratizWitA
   paramārthadarśino bhavati, na	parama-arTa-darSinaH Bavati, na
   sādhyasādhanotpattipralayādibhedenāśuddhigandho 'py upapadyate //	sADya-sADana-utpatti-pralaya-Adi-Bedena-aSudDi-ganDaH api upapadyate //
   SamUpad_II,1.43 //	SamUpad-_II,1.43 //
   tac caitat paramārthadarśanaṃ pratipattum icchatā	tat ca-etat parama-arTa-darSanam pratipattum icCatA
   varṇāśramādyabhimānakṛtapāṅktarūpaputravittalokaiṣaṇādibhyo vyutthānaṃ	varNa-ASrama-Adi-aBimAna-kRta-pAFkta-rUpa-putra-vitta-loka-ezaNa-AdiByaH vyutTAnam
   kartavyam / samyakpratyayavirodhāt tadabhimānasya	kartavyam / samyak-pratyaya-viroDAt tad-aBimAnasya
   bhedadarśanapratiṣedhārthopapattiś copapadyate / na hy ekasminn ātmany	Beda-darSana-pratizeDa-arTa-upapattiH ca-upapadyate / na hi ekasmin Atmani-
   asaṃsāritvabuddhau śāstranyāyotpāditāyāṃ tadviparītā buddhir bhavati / na	asaMsAri-tva-budDO SAstra-nyAya-utpAditAyAm tad-viparItA budDiH Bavati / na
   hy agnau śītatvabuddhiḥ, śarīre vājarāmaraṇabuddhiḥ / tasmād	hi agnO SIta-tva-budDiH, SarIre vAjara-amaraNa-budDiH / tasmAt-
   avidyākāryatvāt sarvakarmaṇāṃ tatsādhanānāṃ ca yajñopavītādīnāṃ	avidyA-kArya-tvAt sarva-karmaNAm tad-sADanAnAm ca yajQopavIta-AdInAm
   paramārthadarśananiṣṭhena tyāgaḥ kartavyaḥ // SamUpad_II,1.44 //	parama-arTa-darSana-nizWena tyAgaH kartavyaH // SamUpad-_II,1.44 //
   iti śiṣyapratibodhana[vidhi]prakaraṇam // SamUpad_II,1 //	iti Sizya-pratiboDana[-viDi]-prakaraNam // SamUpat-_II,1 //
   sukham āsīnaṃ brāhmaṇaṃ brahmaniṣṭhaṃ kaścid brahmacārī	suKam AsInam brAhmaNam brahma-nizWam kaScid brahmacArI
   janmamaraṇalakṣaṇāt saṃsārān nirviṇṇo mumukṣur vidhivad upasannaḥ	janma-maraNa-lakzaNAt saMsArAt nirviNNaH mumukzuH viDivat upasannaH
   papraccha -- bhagavan, katham ahaṃ saṃsārān mokṣiṣye /	papracCa - Bagavan, kaTam aham saMsArAt mokzizye /
   śarīrendriyaviṣayavedanāvān jāgarite duḥkham anubhavāmi tathā svapne	SarIra-indriya-vizaya-vedanAvAn jAgarite duHKam anuBavAmi taTA svapne
   'nubhavāmi punaḥ punaḥ suṣuptipratipattyā viśramya / kim ayam eva mama	anuBavAmi punar punar suzupti-pratipattyA viSramya / kim ayam eva mama
   svabhāvaḥ, kiṃ vānyasvabhāvasya sato naimittika iti / yadi svabhāvo na me	svaBAvaH, kim vA-anya-svaBAvasya sataH nEmittikaH iti / yadi svaBAvaH na me
   mokṣāśā svabhāvasyāvarjanīyatvāt / atha naimittiko nimittaparihāre syān	mokza-ASA svaBAvasya-AvarjanIya-tvAt / aTa nEmittikaH nimitta-parihAre syAt-
   mokṣopapattiḥ // SamUpad_II,2.45 //	mokza-upapattiH // SamUpad-_II,2.45 //
   taṃ gurur uvāca -- śṛṇu vatsa, na tavāyaṃ svabhāvaḥ / naimittikaḥ //	tam guruH uvAca - SRNu vatsa, na tava-ayam svaBAvaH / nEmittikaH //
   SamUpad_II,2.46 //	SamUpad-_II,2.46 //
   ity uktaḥ śiṣya uvāca -- kiṃ nimittam, kiṃ vā tasya nivartakam, ko vā mama	iti uktaH SizyaH uvAca - kim nimittam, kim vA tasya nivartakam, kaH vA mama
   svabhāvaḥ, yasmin nimitte nivartite naimittikābhāvo roganimittanivṛttāv	svaBAvaH, yasmin nimitte nivartite nEmittika-aBAvaH roga-nimitta-nivRttO=-
   iva rogī svabhāvaṃ pratipadyeyeti // SamUpad_II,2.47 //	iva rogI svaBAvam pratipadyeya-iti // SamUpad-_II,2.47 //
   gurur uvāca -- avidyā nimittam, vidyā tasyā nivartikā, avidyāyāṃ	guruH uvAca - avidyA nimittam, vidyA tasyAH nivartikA, avidyAyAm
   nivṛttāyāṃ tannimittābhāvān mokṣyase janmamaraṇalakṣaṇāt saṃsārāt,	nivRttAyAm tad-nimitta-aBAvAt mokzyase janma-maraNa-lakzaNAt saMsArAt-,
   svapnajāgradduḥkhaṃ ca nānubhaviṣyasīti // SamUpad_II,2.48 //	svapna-jAgrat-duHKam ca na-anuBavizyasi-iti // SamUpad-_II,2.48 //
   śiṣya uvāca -- kā sāvidyā, kiṃviṣayā vā, vidyā ca kāvidyānivartikā yayā	SizyaH uvAca - kA sa-avidyA, kiMvizayA vA, vidyA ca kAvidyA-nivartikA yayA
   svabhāvaṃ pratipadyeyeti // SamUpad_II,2.49 //	svaBAvam pratipadyeya-iti // SamUpad-_II,2.49 //
   gurur uvāca-- tvaṃ paramātmānaṃ santam asaṃsāriṇaṃ saṃsāry aham asmīti	guruH uvAca- tvam paramAtmAnam santam asaMsAriNam saMsAri aham asmi-iti
   viparītaṃ pratipadyase, akartāraṃ santaṃ karteti, abhoktāraṃ santaṃ	viparItam pratipadyase, akartAram santam kartA-iti, aBoktAram santam
   bhokteti, vidyamānaṃ cāvidyamānam iti, iyam avidyā // SamUpad_II,2.50 //	BoktA-iti, vidyamAnam ca-avidyamAnam iti, iyam avidyA // SamUpad-_II,2.50 //
   śiṣya uvāca -- yady apy ahaṃ vidyamānas tathāpi na paramātmā /	SizyaH uvAca - yadi api aham vidyamAnaH taTA-api na paramAtmA /
   kartṛtvabhoktṛtvalakṣaṇaḥ saṃsāro mama svabhāvaḥ, pratyakṣādibhiḥ	kartR-tva-BoktR-tva-lakzaNaH saMsAraH mama svaBAvaH, pratyakza-AdiBiH
   pramāṇair anubhūyamānatvāt / nāvidyānimittaḥ, avidyāyāḥ	pramANEH anuBUyamAna-tvAt / na-avidyA-nimittaH, avidyAyAH
   svātmaviṣayatvānupapatteḥ / avidyā nāmānyasminn anyadharmādhyāropaṇā /	sva-Atma-vizaya-tva-anupapatteH / avidyA nAma-ani-asmin anya-Darma-aDyAropaNA /
   yathā prasiddhaṃ rajataṃ prasiddhāyāṃ śuktikāyām, yathā prasiddhaṃ puruṣaṃ	yaTA prasidDam rajatam prasidDAyAm SuktikAyAm, yaTA prasidDam puruzam
   sthāṇāv adhyāropayati, prasiddhaṃ vā sthāṇuṃ puruṣe / nāprasiddhaṃ	sTANO aDyAropayati, prasidDam vA sTANum puruze / na-aprasidDam
   prasiddhe, prasiddhaṃ vāprasiddhe / na cātmany anātmānam adhyāropayati,	prasidDe, prasidDam vA-aprasidDe / na ca-Atmani anAtmAnam aDyAropayati,
   ātmano 'prasiddhatvāt / tathātmānam anātmani, ātmano 'prasiddhatvād eva //	AtmanaH aprasidDa-tvAt / taTA-AtmAnam anAtmani, AtmanaH aprasidDa-tvAt eva //
   SamUpad_II,2.51 //	SamUpad-_II,2.51 //
   taṃ gurur uvāca -- na, vyabhicārāt / na hi vatsa, prasiddhaṃ prasiddha	tam guruH uvAca - na, vyaBicArAt / na hi vatsa, prasidDam prasidDa
   evādhyāropayatīti niyantuṃ śakyam / ātmany adhyāropaṇadarśanāt / gauro	eva-aDyAropayati-iti niyantum Sakyam / Atmani aDyAropaNa-darSanAt / gOro
   'haṃ kṛṣṇo 'ham iti dehadharmasyāhaṃpratyayaviṣaya ātmany	aham kRzNaH aham iti deha-Darmasya-ahaMpratyaya-vizayaH Atmani-
   ahaṃpratyayaviṣayasya ca dehe 'yam aham asmīti // SamUpad_II,2.52 //	ahaMpratyaya-vizayasya ca dehe ayam aham asmi-iti // SamUpad-_II,2.52 //
   śiṣya āha -- prasiddha eva tarhy ātmāhaṃpratyayaviṣayatayā dehaś cāyam iti	SizyaH Aha - prasidDaH eva tarhi AtmA-ahaMpratyaya-vizaya-tayA dehaH ca-ayam iti
   / tatraivaṃ sati prasiddhayor eva dehātmanor itaretarādhyāropaṇā[t]	/ tatra-evam sati prasidDayoH eva deha-AtmanoH itaretara-aDyAropaNa-A[t]
   sthāṇupuruṣayoḥ śuktikārajatayor iva / tatra kaṃ viseṣam āśritya	sTANu-puruzayoH SuktikA-ra-jatayoH iva / tatra kam visezam ASritya
   bhagavatoktaṃ prasiddhayor itaretarādhyāropaṇeti niyantuṃ na śakyata iti	BagavatA-uktam prasidDayoH itaretara-aDyAropaNa-iti niyantum na Sakyate iti
   // SamUpad_II,2.53 //	// SamUpad-_II,2.53 //
   gurur uvāca -- śṛṇu / satyaṃ prasiddhau dehātmānau na tu sthāṇupuruṣāv iva	guruH uvAca - SRNu / satyam prasidDO deha-AtmAnO na tu sTANu-puruzO iva
   viviktapratyayaviṣayatayā sarvalokaprasiddhau / kathaṃ tarhi / nityam eva	vivikta-pratyaya-vizaya-tayA sarva-loka-prasidDO / kaTam tarhi / nityam eva
   nirantarāviviktapratyayaviṣayatayā / na hy ayaṃ deho 'yam ātmeti	nirantara-avivikta-pratyaya-vizaya-tayA / na hi ayam dehaH ayam AtmA-iti
   viviktābhyāṃ pratyayābhyāṃ dehātmānau gṛhṇāti yataḥ kaścit / ata eva hi	viviktAByAm pratyayAByAm deha-AtmAnO gRhNAti yatas kaScid / atas eva hi
   momuhyate loka ātmānātmaviṣaye, evam ātmā naivam ātmeti / imaṃ viśeṣam	mom-uhyate loke AtmAnAtma-vizaye, evam AtmA na-evam AtmA-iti / imam viSezam
   āśrityāvocaṃ naivaṃ śakyam iti // SamUpad_II,2.54 //	ASritya-avocam na-evam Sakyam iti // SamUpad-_II,2.54 //
   nanv avidyādhyāropitaṃ [yatra] yat tad asat [tatra] dṛṣṭam, yathā rajataṃ	nanu avidyA-aDyAropitam [yatra] yat tat asat [tatra] dRzwam, yaTA rajatam
   śuktikāyām, sthāṇau puruṣaḥ, rajjvāṃ sarpaḥ, ākāśe talamalinatvam ityādi /	SuktikAyAm, sTANO puruzaH, rajjvAm sarpaH, AkASe tala-malina-tvam ityAdi /
   tathā dehātmanor api nityam evo	taTA deha-AtmanoH api nityam eva-u
   nirantarāviviktapratyayatayetaretarādhyāropaṇā kṛtā syāt, tad itaretarayor	nirantara-avivikta-pratyaya-tayA-itara-itara-aDi-AropaNA kRtA syAt, tat itaretarayoH-
   nityam evāsattvaṃ syāt / yathā śuktikādiṣv avidyādhyāropitānāṃ rajatādīnāṃ	nityam eva-asattvam syAt / yaTA SuktikA-Adizu avidyA-aDyAropitAnAm rajata-AdInAm
   nityam evātyantāsattvam, tadviparītānāṃ ca viparīteṣu, tadvad dehātmanor	nityam eva-atyanta-asattvam, tad-viparItAnAm ca viparItezu, tadvat deha-AtmanA-Ur
   avidyayaivetaretarādhyāropaṇā kṛtā syāt / tatraivaṃ sati dehātmanor	avidyayA-eva-itara-itara-aDyAropaNA kRtA syAt / tatra-evam sati deha-AtmanA-Ur
   asattvaṃ prasajyeta / tac cāniṣṭam, vaināśikapakṣatvāt / atha	asattvam prasajyeta / tat ca-anizwam, vEnASika-pakza-tvAt / aTa
   tadviparyayeṇa deha ātmany avidyayādhyāropitaḥ, dehasyātmani sati asattvaṃ	tad-viparyayeNa dehaH Atmani avidyayA-aDyAropitaH, dehasya-Atmani sati asattvam
   prasajyeta / tac cāniṣṭam, pratyakṣādivirodhāt / tasmād dehātmānau	prasajyeta / tat ca-anizwam, pratyakza-Adi-viroDAt / tasmAt deha-AtmAnO
   nāvidyayetaretarasminn adhyāropitau / kathaṃ tarhi / vaṃśastambhavan	na-avidyayA-itaretarasmin aDyAropitO / kaTam tarhi / vaMSa-stamBavan
   nityasaṃyuktau // SamUpad_II,2.55 //	nitya-saMyuktO // SamUpad-_II,2.55 //
   na / anityatvaparārthatvaprasaṅgāt / saṃhatatvāt [parārthatvam anityatvaṃ	na / anitya-tva-para-arTa-tva-prasaFgAt / saMhata-tvAt [para-arTa-tvam anitya-tvam
   ca] vaṃśastambhādivad eva / kiṃ ca yas tu parair dehena saṃhataḥ kalpita	ca] vaMSa-stamBa-Adi-vat eva / kim ca yaH tu parEH dehena saMhataH kalpita
   ātmā sa saṃhatatvāt parārthaḥ / tenāsaṃhataḥ paro 'nyo nityaḥ siddhas	AtmA sa saMhata-tvAt para-arTaH / tena-asaMhataH paraH anyaH nityaH sidDa-s
   tāvat // SamUpad_II,2.56 //	tAvat // SamUpad-_II,2.56 //
   tasyāsaṃhatasya dehe	tasya-asaMhatasya dehe
   dehamātratayādhyāropitatvenāsattvānityatvādidoṣaprasaṅgo bhavati / tatra	deha-mAtra-tayA-aDyAropita-tvena-asattva-anitya-tva-Adi-doza-prasaFgaH Bavati / tatra
   nirātmako deha iti vaināśikapakṣaprāptidoṣaḥ syāt // SamUpad_II,2.57 //	nirAtmakaH dehaH iti vEnASika-pakza-prApti-dozaH syAt // SamUpad-_II,2.57 //
   na / svata evātmana ākāśasyevāsaṃhatatvābhyupagamāt / sarveṇāsaṃhataḥ sann	na / svatas eva-AtmanaH AkASasya-iva-asaMhata-tva-aByupagamAt / sarveNa-asaMhataH san=-
   ātmeti na nirātmako dehādiḥ sarvaḥ syāt / yathā cākāśaṃ sarveṇāsaṃhatam	AtmA-iti na nirAtmakaH deha-AdiH sarvaH syAt / yaTA ca-AkASam sarveNa-asaMhatam
   iti sarvaṃ na nirākāśaṃ bhavati, evam / tasmān na	iti sarvam na nirAkASam Bavati, evam / tasmAt na
   vaināśikapakṣaprāptidoṣaḥ syāt // SamUpad_II,2.58 //	vEnASika-pakza-prApti-dozaH syAt // SamUpad-_II,2.58 //
   yat punar uktam, dehasyātmany asattve pratyakṣādivirodhaḥ syād iti / tan	yat punar uktam, dehasya-Atmani asattve pratyakza-Adi-viroDaH syAt iti / tan
   na / pratyakṣādibhir ātmani dehasya sattvānupalabdheḥ / na hy ātmani,	na / pratyakza-AdiBiH Atmani dehasya sattva-anupalabDeH / na hi Atmani,
   kuṇḍe badaram, kṣīre sarpiḥ, tile tailam, bhittau citram iva ca,	kuNxe badaram, kzIre sarpiH, tile tElam, BittO citram iva ca,
   pratyakṣādibhir deha upalabhyate / tasmān na pratyakṣādivirodhaḥ //	pratyakza-AdiBiH dehaH upalaByate / tasmAt na pratyakza-Adi-viroDaH //
   SamUpad_II,2.59 //	SamUpad-_II,2.59 //
   kathaṃ tarhi pratyakṣādyaprasiddhātmani dehādhyāropaṇa, dehe cātmāropaṇā	kaTam tarhi pratyakza-Adi-aprasidDa-Atmani deha-aDyAropaNa, dehe ca-AtmA-AropaNA
   // SamUpad_II,2.60 //	// SamUpad-_II,2.60 //
   nāyaṃ doṣaḥ / svabhāva[pra]siddhatvād ātmanaḥ / na hi kādācitkasiddhāv	na-ayam dozaH / svaBAva[-pra]sidDa-tvAt AtmanaH / na hi kAdAcid-ka-sidDO=-
   evādhyāropaṇā na nityasiddhāv iti niyantuṃ śakyam, ākāśe	eva-aDyAropaNA na nitya-sidDO iti niyantum Sakyam, AkASe
   talamalādyadhyāropaṇadarśanāt // SamUpad_II,2.61 //	tala-mala-Adi-aDyAropaNa-darSanAt // SamUpad-_II,2.61 //
   kiṃ bhagavan, dehātmanor itaretarādhyāropaṇā	kim Bagavan, deha-AtmanoH itaretara-aDi-AropaNA
   dehādisaṃghāṭakṛtāthavātmakṛteti // SamUpad_II,2.62 //	deha-Adi-saMGAwa-kRtA-aTava-Atma-kRtA-iti // SamUpad-_II,2.62 //
   gurur uvāca -- yadi dehādisaṃghātakṛtā, yadi vātmakṛtā, kiṃ tava syāt //	guruH uvAca - yadi deha-Adi-saMGAta-kRtA, yadi vA-Atma-kRtA, kim tava syAt //
   SamUpad_II,2.63 //	SamUpad-_II,2.63 //
   ity uktaḥ śiṣya āha -- yady ahaṃ dehādisaṃghātamātraḥ, tato mamācetanatvāt	iti uktaH SizyaH Aha - yadi aham deha-Adi-saMGAta-mAtraH, tatas mama-acetana-tvAt-
   parārthatvam iti na matkṛtā dehātmanor itaretarādhyāropaṇā / athāham ātmā	parArTa-tvam iti na mad-kRtA deha-AtmanoH itaretara-aDi-AropaNA / aTa-aham AtmA
   paro 'nyaḥ saṃghātāt, citimattvāt svārtha iti mayaiva citimatātmany	paraH anyaH saMGAta-at, citimat-tvAt sva-arTaH iti mayA-eva citimata-Atmani-
   adhyāropaṇā kriyate sarvānarthabījabhūtā // SamUpad_II,2.64 //	aDyAropaNA kriyate sarva-anarTa-bIja-BUtAH // SamUpad-_II,2.64 //
   ity ukto gurur uvāca -- anarthabījabhūtāṃ cen mithyādhyāropaṇāṃ jānīṣe, mā	iti uktaH guruH uvAca - anarTa-bIja-BUtAm ced miTyA-aDya-AropaNAm jAnIze, mA
   kārṣīs tarhi // SamUpad_II,2.65 //	kArzIH tarhi // SamUpad-_II,2.65 //
   naiva bhagavan, śaknomi na kartum / anyena kenacit prayukto 'haṃ na	na-eva Bagavan, Saknomi na kartum / anyena kenacid prayuktaH aham na
   svatantra iti // SamUpad_II,2.66 //	svatantraH iti // SamUpad-_II,2.66 //
   na tarhy acitimattvāt svārthas tvam / yena prayukto 'svatantraḥ	na tarhi acitimattvAt sva-arTaH tvam / yena prayuktaH asvatantraH
   pravartase, sa citimān svārthaḥ, saṃghāṭa eva tvam // SamUpad_II,2.67 //	pravartase, sa citimAn sva-arTaH, saMGAwaH eva tvam // SamUpad-_II,2.67 //
   yady acetano 'ham, kathaṃ sukhaduḥkhavedanāṃ bhavaduktaṃ ca jānāmi //	yadi acetanaH aham, kaTam suKa-duHKa-vedanAm Bavat-uktam ca jAnAmi //
   SamUpad_II,2.68 //	SamUpad-_II,2.68 //
   gurur uvāca -- kiṃ sukhaduḥkhavedanāyā maduktāc cānyas tvaṃ kiṃ vānanya	guruH uvAca - kim suKa-duHKa-vedanAyAH mad-uktAt ca-anyaH tvam kim vA-ananya
   eveti // SamUpad_II,2.69 //	eva-iti // SamUpad-_II,2.69 //
   śiṣya uvāca -- nāhaṃ tāvad ananyaḥ / kasmāt / yasmāt tadubhayaṃ	SizyaH uvAca - na-aham tAvat ananyaH / kasmAt / yasmAt tad-uBayam
   karmabhūtaṃ gaṭādim iva jānāmi / yadi ananyo 'ham, tena tadubhayaṃ na	karma-BUtam gawa-Adim iva jAnAmi / yadi ananyaH aham, tena tat-uBayam na
   jānīyām, kiṃ tu jānāmi, tasmād anyaḥ / sukhaduḥkhavedanāvikriyā ca	jAnIyAm, kim tu jAnAmi, tasmAt anyaH / suKa-duHKa-vedanA-vikriyA ca
   svārthaiva prāpnoti, tvaduktaṃ ca syāt, ananyatve, na ca tayoḥ svārthatā	sva-arTA-eva prApnoti, tvad-uktam ca syAt, ananya-tve, na ca tayoH sva-arTa-tA
   yuktā / na hi candanakaṇṭakakṛte sukhaduḥkhe candanakaṇṭakārthe,	yuktAH / na hi candana-kaNwaka-kRte suKa-duHKe candana-kaNwaka-arTe,
   ghaṭopayogo vā ghaṭārthaḥ / tasmāt tadvijñātur mama candanādikṛto 'rthaḥ /	Gawa-upayogaH vA Gawa-arTaH / tasmAt tat-vijQAtuH mama candana-Adi-kRtaH arTaH /
   ahaṃ hi tato 'nyaḥ samastam arthaṃ jānāmi buddhyārūḍham // SamUpad_II,2.70	aham hi tatas anyaH samastam arTam jAnAmi budDi-ArUXam // Samu-upad-_II,2.70
   taṃ gurur uvāca -- evaṃ tarhi svārthas tvaṃ citimattvān na pareṇa	tam guruH uvAca - evam tarhi sva-arTaH tvam citimattvAt na pareNa
   prayujyase / na hi citimān paratantraḥ pareṇa prayujyate, citimataś	prayujyase / na hi citimAn paratantraH pareNa prayujyate, citimata-S
   citimadarthatvānupapatteḥ, samatvāt, prakāśayor iva / nāpy	citimat-arTa-tva-anupapatteH, sama-tvAt, prakASayoH iva / na-api-
   acitimadarthatvaṃ citimato bhavati, acitimato 'citimattvād eva	acitimad-arTa-tvam citimataH Bavati, acitimataH acitimat-tvAt eva
   svārthasaṃbandhānupapatteḥ / nāpy acitimator anyonyārthatvaṃ dṛṣṭam / na	sva-arTa-saMbanDa-anupapatteH / na-api acitimatoH anyonya-arTa-tvam dRzwam / na
   hi kāṣṭhakuḍye 'nyonyārthaṃ kurvāte // SamUpad_II,2.71 //	hi kAzWa-kuxye anyonya-arTam kurvAte // SamUpad-_II,2.71 //
   nanu citimattve same 'pi bhṛtyasvāminor anyonyārthatvaṃ dṛṣṭam //	nanu citimattve same api BRtya-svAminoH anyonya-arTa-tvam dRzwam //
   SamUpad_II,2.72 //	SamUpad-_II,2.72 //
   naivam, agner uṣṇaprakāśavat tava citimattvasya vivakṣitatvāt / darśitaś	na-evam, agneH uzNa-prakASa-vat tava citimattvasya vivakzita-tvAt / darSita-H-
   ca dṛṣṭāntaḥ prakāśayor iveti / tatraivaṃ sati svabuddhyārūḍham eva sarvam	ca dRzwAntaH prakASayoH iva-iti / tatra-evam sati sva-budDi-ArUXam eva sarvam
   upalabhase 'gnyuṣṇaprakāśatulyena kūṭasthanityacaitanyasvarūpeṇa / yadi	upalaBase agni-uzNa-prakASa-tulyena kUwasTa-nitya-cEtanya-svarUpeNa / yadi
   caivam ātmanaḥ sarvadā nirviśeṣatvam abhyupagacchasi / kim ity ūcivān,	ca-evam AtmanaH sarvadA nirviSeza-tvam aByupagacCasi / kim iti UcivAn,
   suṣupte viśramya viśramya jāgratsvapnayor duḥkham anubhavāmi / kim ayam	suzupte viSramya viSramya jAgrat-svapnayoH duHKam anuBavAmi / kim ayam
   eva mama svabhāvaḥ, kiṃ vā naimittika iti ca / kim asau vyāmoho 'pagataḥ,	eva mama svaBAvaH, kim vA nEmittikaH iti ca / kim asO vyAmohaH apagataH,
   kiṃ vā na // SamUpad_II,2.73 //	kim vA na // SamUpad-_II,2.73 //
   ity uktaḥ śiṣya uvāca -- bhagavan, apagatas tvatprasādād vyāmohaḥ, kiṃ tu	iti uktaH SizyaH uvAca - Bagavan, apagataH tvad-prasAdAt vyAmohaH, kim tu
   mama kūṭasthatāyāṃ saṃśayaḥ / katham / śabdādīnāṃ svataḥsiddhir nāsti,	mama kUwasTa-tAyAm saMSayaH / kaTam / Sabda-AdInAm svatas-sidDiH nAsti,
   acetanatvāt / śabdādyākārapratyayotpattes tu teṣām / pratyayānām	acetana-tvAt / Sabda-Adi-AkAra-pratyaya-utpatteH tu tezAm / pratyayAnAm
   itaretaravyāvṛttaviśeṣaṇānāṃ nīlapītādyākāravatāṃ svataḥsiddhyasaṃbhavāt /	itaretara-vyAvRtta-viSezaNAnAm nIla-pIta-Adi-AkAravatAm svatas-sidDi-asaMBavAt /
   tasmād bāhyākāranimittatvaṃ gamyata iti	tasmAt bAhya-AkAra-nimitta-tvam gamyate iti
   bāhyākāravacchabdādyākāratvasiddhiḥ / tathā pratyayānām apy	bAhya-AkAra-vat-Sabda-Adi-AkAra-tva-sidDiH / taTA pratyayAnAm api-
   ahaṃpratyayālambanavastubhedānāṃ saṃhatatvād acaitanyopapatteḥ	ahaMpratyaya-Alambana-vastu-BedAnAm saMhata-tvAt acEtanya-upapatteH
   svārthatvāsaṃbhavāt svarūpavyatiriktagrāhakagrāhyatvena siddhiḥ śabdādivad	sva-arTa-tva-asaMBavAt sva-rUpa-vyatirikta-grAhaka-grAhya-tvena sidDiH Sabda-Adi-vat-
   eva / asaṃhatatve sati caitanyātmakatvāt svārtho 'py ahaṃ pratyayānāṃ	eva / asaMhata-tve sati cEtanya-Atmaka-tvAt sva-arTaH api aham pratyayAnAm
   nīlapītādyākārāṇām upalabdheti vikriyāvān eva, kūṭastha iti saṃśayaḥ //	nIla-pIta-Adi-AkArANAm upalabDa-iti vikriyAvAn eva, kUwasTaH iti saMSayaH //
   SamUpad_II,2.74 //	SamUpad-_II,2.74 //
   taṃ gurur uvāca -- na yuktas tava saṃśayaḥ / yatas teṣāṃ pratyayānāṃ	tam guruH uvAca - na yuktaH tava saMSayaH / yatas tezAm pratyayAnAm
   niyamenāśeṣata upalabdher evāpariṇāmitvāt kūṭasthatvasiddhau niścayahetum	niyamena-aSezatas upalabDeH eva-apariNAmi-tvAt kUwasTa-tva-sidDO niScaya-hetum
   evāśeṣacittapracāropalabdhiṃ saṃśayahetum āttha / yadi hi tava	eva-aSeza-citta-pracAra-upalabDim saMSaya-hetum AtTa / yadi hi tava
   pariṇāmitvaṃ syāt, aśeṣasvaviṣayacittapracāropalabdhir na syāt, cittasyeva	pariNAmi-tvam syAt, aSeza-sva-vizaya-citta-pracAra-upalabDiH na syAt, cittasya-iva
   svaviṣaye yathā cendriyāṇāṃ svaviṣayeṣu / na ca tathātmanas tava	sva-vizaye yaTA ca-indriyANAm sva-vizayezu / na ca taTA-AtmanaH tava
   svaviṣayaikadeśopalabdhiḥ / ataḥ kūṭasthataiva taveti // SamUpad_II,2.75	sva-vizaya-eka-deSa-upalabDiH / atas kUwasTa-tA-eva tava-iti // Samu-upad-_II,2.75
   tatrāha -- upalabdhir nāma dhātvartho vikriyaiva, upalabdhuḥ	tatra-Aha - upalabDiH nAma DAtu-arTaH vikriyA-eva, upalabDuH
   kūṭasth[ātm]atā ceti viruddham // SamUpad_II,2.76 //	kUwasT[A-Atm]a-tA ca-iti virudDam // SamUpad-_II,2.76 //
   na / dhātvarthavikriyāyām upalabdhyupacārāt / yo hi bauddhaḥ pratyayaḥ sa	na / DAtu-arTa-vikriyAyAm upalabDi-upacArAt / yaH hi bOdDaH pratyayaH sa
