   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   vidyāt tadvatsanābhakam K_448d	vidyAt tad-vatsanABakam K_448d
   vidyāt tasya parājayam K_200d	vidyAt tasya parAjayam K_200d
   vidyāt pratyupakārataḥ K_645d	vidyAt pratyupakArataH K_645d
   vidyād āpatkṛte tu tat K_542d	vidyAt Apad-kRte tu tat K_542d
   vidyād krodhakṛtaṃ tu tat K_565d	vidyAt kroDa-kRtam tu tat K_565d
   vidyādhanaṃ tu tat prāhur K_869e	vidyA-Danam tu tat prAhuH K_869e
   vidyādhanaṃ tu tad vidyād K_868c	vidyA-Danam tu tat vidyAt K_868c
   vidyādhanaṃ tu tad vidyān K_871c	vidyA-Danam tu tat vidyAn K_871c
   vidyāpratijñayā labdhaṃ K_872a	vidyA-pratijQayA labDam K_872a
   vidyāprāptaṃ tad ucyate K_867d	vidyA-prAptam tat ucyate K_867d
   vidyā prāptān yatas tu yā K_867b	vidyA prAptAn yatas tu yA K_867b
   vidyābalakṛtaṃ caiva K_873a	vidyA-bala-kRtam ca-eva K_873a
   vidyāmāneṣu sākṣiṣu K_223b	vidyA-mAnezu sAkzizu K_223b
   vidyāmāneṣu sākṣiṣu K_232d	vidyA-mAnezu sAkzizu K_232d
   vidrāvya dviṣatāṃ valam K_878d	vidrAvya dvizatAm valam K_878d
   vidvadbhir bhāgagauravam K_852d	vidvadBiH BAga-gOravam K_852d
   vidveṣo vacanasya ca K_248d	vidvezaH vacanasya ca K_248d
   vidhayaḥ parikīrtitāḥ K_602b	viDayaH parikIrtitAH K_602b
   vidhidṛṣṭena karmaṇā K_100d	viDi-dRzwena karmaNA K_100d
   vidhinānena sāntvayan K_342d	viDinA-anena sAntvayan K_342d
   vidhinābhyarthitena tu K_540b	viDinA-aByarTitena tu K_540b
   vidhir eṣa viparyaye K_436d	viDiH eza viparyaye K_436d
   vinayaṃ tāvad eva ca K_689d	vinayam tAvat eva ca K_689d
   vinayet taṃ mahīpatiḥ K_203d	vinayet tam mahIpatiH K_203d
   vinaśyet tad agṛhṇataḥ K_605d	vinaSyet tat agRhNataH K_605d
   vinaṣṭaṃ daivarājataḥ K_523b	vinazwam dEva-rAjataH K_523b
   vinā cihnais tu yat kāryaṃ K_797a	vinA cihnEH tu yat kAryam K_797a
   vi nānārthe 'va saṃdehe K_026a	vi nAnA-arTe ava saMdehe K_026a
   vinā pitrā dhanaṃ tasmād K_534c	vinA pitrA Danam tasmAt K_534c
   vināpi mudrayā lekhyaṃ K_303c	vinA-api mudrayA leKyam K_303c
   vināśas tasya kīrtyate K_593d	vinASaH tasya kIrtyate K_593d
   vināśas tyāga eva vā K_149b	vinASaH tyAgaH eva vA K_149b
   vināśahetum āyāntaṃ K_799c	vinASa-hetum AyAntam K_799c
   vināśyeta hriyeta vā K_594b	vinASyeta hriyeta vA K_594b
   vinītaveṣo nṛpatiḥ K_055a	vinIta-vezaH nRpatiH K_055a
   vinītaḥ śāstrasaṃpannaḥ K_001a	vinItaH SAstra-saMpannaH K_001a
   vinīya sthāpayet pathi K_828d	vinIya sTApayet paTi K_828d
   vinyaset strī yatheṣṭataḥ K_907b	vinyaset strI yaTezwataH K_907b
   viphalaṃ tad bhavet tasyā K_930c	viPalam tat Bavet tasyAH K_930c
   vibruvaṃś ca bhaved evaṃ K_196c	vibruvan ca Bavet evam K_196c
   vibrūyur yatra sākṣiṇaḥ K_401b	vibrUyuH yatra sAkziNaH K_401b
   vibhaktā avibhaktā vā K_854a	viBaktA aviBaktA vA K_854a
   vibhaktāḥ pitṛvittāc ced K_892a	viBaktAH pitR-vittAt ced K_892a
   vibhaktāḥ paitṛkād dhanāt K_893d	viBaktAH pEtRkAt DanAt K_893d
   vibhaktenaiva yat prāptaṃ K_887a	viBaktena-eva yat prAptam K_887a
   vibhakte saṃsthite dravyaṃ K_928a	viBakte saMsTite dravyam K_928a
   vibhajeyuḥ punar dvyaṃśaṃ K_892c	viBajeyuH punar dvi-aMSam K_892c
   vibhajeran yathāvidhi K_633d	viBajeran yaTAviDi K_633d
   vibhajeran yathāṃśataḥ K_845:2f	viBajeran yaTA-aMSataH K_845:2f
   vibhajeran sabhartṛkāḥ K_917b	viBajeran sa-BartRkAH K_917b
   vibhāgakāle deyaṃ tad- K_846c	viBAga-kAle deyam tad K_846c
   vibhāgaś ca vidhīyate K_844b	viBAgaH ca viDIyate K_844b
   vibhāgas tu prakalpitaḥ K_917d	viBAgaH tu prakalpitaH K_917d
   vibhāgaṃ rikthināṃ tathā K_909d	viBAgam rikTinAm taTA K_909d
   vibhāge na vibhajyate K_868d	viBAge na viBajyate K_868d
   vibhāge na vibhajyate K_869f	viBAge na viBajyate K_869f
   vibhāge naiva dāpyate K_866d	viBAge na-eva dApyate K_866d
   vibhāge bandhubhiḥ saha K_849d	viBAge banDuBiH saha K_849d
   vibhāge rikthināṃ sadā K_415b	viBAge rikTinAm sadA K_415b
   vibhāgo dharmya ucyate K_838d	viBAgaH DarmyaH ucyate K_838d
   vibhājyaṃ tad bṛhaspatiḥ K_874d	viBAjyam tat bRhaspatiH K_874d
   vibhājyaṃ naiva tat smṛtam K_878b	viBAjyam na-eva tat smRtam K_878b
   vibhājyaṃ naiva rikthibhiḥ K_877d	viBAjyam na-eva rikTiBiH K_877d
   vibhāvayāmi kulikaiḥ K_172a	viBAvayAmi kulikEH K_172a
   vibhāvyo vādinā yādṛk K_348a	viBAvyaH vAdinA yAdRS K_348a
   vibhinnaikaikakāryaṃ yad K_394c	viBinna-eka-eka-kAryam yat K_394c
   vimṛśya kāryaṃ nyāyyaṃ ced K_088a	vimRSya kAryam nyAyyam ced K_088a
   vimṛśya brāhmaṇaiḥ sārdhaṃ K_279c	vimRSya brAhmaNEH sArDam K_279c
   vimokṣas tu yatas tasmād K_551c	vimokzaH tu yatas tasmAt K_551c
   viruddhaṃ tad ihottaraṃ K_177d	virudDam tat iha-uttaram K_177d
   viruddhaṃ niyataṃ prāhus K_040c	virudDam niyatam prAhuH K_040c
   viruddhaṃ nyāyato yat tu K_042a	virudDam nyAyataH yat tu K_042a
   virodhāt parato yadā K_847d	viroDAt paratas yadA K_847d
   virodhikāraṇair mukto K_142c	viroDi-kAraNEH muktaH K_142c
   virodhipratiṣedhakaḥ K_142d	viroDi-pratizeDakaH K_142d
   vivādāntarasaṃkrāntiḥ K_247a	vivAda-antara-saMkrAntiH K_247a
   vivāde kāryam icchatoḥ K_135b	vivAde kAryam icCatoH K_135b
   vivāde tatra kīrtitaḥ K_354d	vivAde tatra kIrtitaH K_354d
   vivāde prāpnuyād yatra K_035c	vivAde prApnuyAt yatra K_035c
   vivāde vaktum icchataḥ K_133d	vivAde vaktum icCataH K_133d
   vivādeṣūttamo nṛpaiḥ K_066d	vivAdezu-uttamaH nRpEH K_066d
   vivāde samupasthite K_228b	vivAde samupasTite K_228b
   vivāse pañcaviṃśatim K_964d	vivAse paQcaviMSatim K_964d
   vivāhakāle yat kiṃcid K_881a	vivAha-kAle yat kiMcid K_881a
   vivāhakāle yat strībhyo K_895a	vivAha-kAle yat strIByaH K_895a
   vivāhāt parato yat tu K_899a	vivAhAt paratas yat tu K_899a
   vivāhyo bhaginīpatiḥ K_363b	vivAhyaH BaginI-patiH K_363b
   vivīte svāminā deyaṃ K_814c	vivIte svAminA deyam K_814c
   vivecayati yas tasmin K_069c	vivecayati yaH tasmin K_069c
   viśuddhasyāpi kośataḥ K_454b	viSudDasya-api koSataH K_454b
   viśuddhipatrakaṃ jñeyaṃ K_255c	viSudDi-patrakam jQeyam K_255c
   viśudhyet tu na saṃśayaḥ K_285d	viSuDyet tu na saMSayaH K_285d
   viśeṣalikhitaṃ jyāya K_519c	viSeza-liKitam jyAya K_519c
   viśeṣād evam āpnuyuḥ K_961b	viSezAt evam ApnuyuH K_961b
   viśeṣārthaś ca śāstrataḥ K_966d	viSeza-arTaH ca SAstrataH K_966d
   viśodhite kraye rājñā K_618c	viSoDite kraye rAjQA K_618c
   viśvāsaśapathāya ca K_530b	viSvAsa-SapaTAya ca K_530b
   viṣamasthāś ca te sarve K_107c	vizama-sTAH ca te sarve K_107c
   viṣamā vā tribhogataḥ K_701b	vizamA vA triBogataH K_701b
   viṣaye vyasanaṃ hi tat K_934d	vizaye vyasanam hi tat K_934d
   viṣasya palaṣaḍbhāgād K_451a	vizasya pala-zaz-BAgAt K_451a
   viṣaṃ tu parivarjayet K_425d	vizam tu parivarjayet K_425d
   viṣaṃ dadyāc ca na kvacit K_424d	vizam dadyAt ca na kvacid K_424d
   viṣaṃ dadyāt tu dehinām K_450b	vizam dadyAt tu dehinAm K_450b
   viṣaṃ varṃjya dviyottame K_422d	vizam varMjya dviyottame K_422d
   viṣaṃ sarpamukhād iva K_934b	vizam sarpa-muKAt iva K_934b
   viṣe toye hutāśe ca K_460a	vize toye hutASe ca K_460a
   viṣṭhā cāpsu nimajjati K_861b	vizWA ca-apsu nimajjati K_861b
   visaṃvaded yatra sākṣye K_399c	visaMvadet yatra sAkzye K_399c
   viṃśatyabde daśāhaṃ tu K_155a	viMSati-abde daSa-aham tu K_155a
   viṃśaddaśavināśe vai K_419c	viMSat-daSa-vinASe vE K_419c
   viṃśāt saṃvatsarād deyaṃ K_548c	viMSAt saMvatsarAt deyam K_548c
   vṛkṣaparvatam ārūḍhā K_107a	vRkza-parvatam ArUXA K_107a
   vṛkṣāṇāṃ kṣetrayor dvayoḥ K_760b	vRkzANAm kzetrayoH dvayoH K_760b
   vṛkṣāropaṇam eva ca K_757b	vRkza-AropaNam eva ca K_757b
   vṛttadeśakulādīnām K_771c	vRtta-deSa-kula-AdInAm K_771c
   vṛttas tasya damo hi saḥ K_967d	vRttaH tasya damaH hi saH K_967d
   vṛttānuvādalekhyaṃ yat K_256c	vRtta-anuvAda-leKyam yat K_256c
   vṛttānuvādasaṃsiddhaṃ K_265c	vRtta-anuvAda-saMsidDam K_265c
   vṛddhā vā yadi vāvṛddhās K_744c	vRdDAH vA yadi vA-avRdDAH K_744c
   vṛddhir aṣṭaguṇā jñeyā K_511c	vRdDiH azwaguNA jQeyA K_511c
   vṛddhis tu parikalpitaḥ K_501b	vRdDiH tu parikalpitaH K_501b
   vṛddhiṃ vā labhate na saḥ K_525d	vRdDim vA laBate na saH K_525d
   veṇakāṇḍamayāṃś caiva K_442c	veNa-kANxa-mayAn ca-eva K_442c
   vedadhvaniprabhāveṇa K_006a	veda-Dvani-praBAveNa K_006a
   velāṃ pradeśaṃ viṣayaṃ K_124c	velAm pradeSam vizayam K_124c
   vaideśyena yadā bhavet K_826b	vEdeSyena yadA Bavet K_826b
   vaidyāś ca priyavādinaḥ K_012b	vEdyAH ca priya-vAdinaH K_012b
   vaivāhikaṃ tu tad vidyād K_880a	vEvAhikam tu tat vidyAt K_880a
   vaiśyavṛttyarpitaṃ caiva K_592c	vESya-vRtti-arpitam ca-eva K_592c
   vaiśyaṃ vā dharmaśāstrajñaṃ K_067c	vESyam vA Darma-SAstra-jQam K_067c
   vaiśye toyaṃ niyojayet K_422b	vESye toyam niyojayet K_422b
   vyaktam utpādakasya saḥ K_860d	vyaktam utpAdakasya saH K_860d
   vyatyāsaparihāsāc ca K_647c	vyatyAsa-parihAsAt ca K_647c
   vyapetācāriṇaḥ sadā K_009d	vyapeta-AcAriNaH sadA K_009d
   vyapaiti gauravaṃ yatra K_149a	vyapEti gOravam yatra K_149a
   vyabhicāraratā yā ca K_929a	vyaBicAra-ratA yA ca K_929a
   vyabhicāraṃ sadārtheṣu K_437c	vyaBicAram sadA-arTezu K_437c
   vyayaṃ svāmini cāyāte K_763a	vyayam svAmini ca-AyAte K_763a
   vyavasthā yā nirūpitā K_048b	vyavasTA yA nirUpitA K_048b
   vyavahāra iti smṛtaḥ K_026d	vyavahAraH iti smRtaH K_026d
   vyavahāraś caritreṇa K_041c	vyavahAraH caritreNa K_041c
   vyavahāraḥ sa ucyate K_025d	vyavahAraH saH ucyate K_025d
   vyavahāraḥ smṛto hi saḥ K_036d	vyavahAraH smRtaH hi saH K_036d
   vyavahārāntaraṃ na ca K_381d	vyavahAra-antaram na ca K_381d
   vyavahārān svayaṃ dṛṣṭvā K_476a	vyavahArAn svayam dRzwvA K_476a
   vyavahārāśritaṃ praśnaṃ K_069a	vyavahAra-ASritam praSnam K_069a
   vyavahāre budhais tadā K_180d	vyavahAre buDEH tadA K_180d
   vyavahāre vinirdiśet K_224d	vyavahAre vinirdiSet K_224d
   vyavahāreṣu niścitam K_137b	vyavahArezu niScitam K_137b
   vyavahāre sa hīyate K_205d	vyavahAre sa hIyate K_205d
   vyasanaṃ jāyate ghoraṃ K_463c	vyasanam jAyate Goram K_463c
   vyasanābhiplute putre K_576a	vyasana-aBiplute putre K_576a
   vyākhyāgamyam asāraṃ ca K_174c	vyAKyA-agamyam asAram ca K_174c
   vyākhyāgamyam asāraṃ ca K_175c	vyAKyA-agamyam asAram ca K_175c
   vyāghāteṣu nṛpājñāyāḥ K_366a	vyAGAtezu nRpa-AjQAyAH K_366a
   vyāghāte sādhanasya hi K_438b	vyAGAte sADanasya hi K_438b
   vyājenācaritena ca K_586b	vyAjena-Acaritena ca K_586b
   vyājenaiva tu yatrāsau K_201a	vyAjena-eva tu yatra-asO K_201a
   vyādhitaṃ vyasanasthaṃ ca K_914a	vyADitam vyasana-sTam ca K_914a
   vyādhitā pretakāle tu K_910c	vyADitA pretakAle tu K_910c
   vyādhitonmattavṛddhānāṃ K_549a	vyADita-unmatta-vRdDAnAm K_549a
   vyādhyārtā vyasanasthāś ca K_108a	vyADi-ArtAH vyasana-sTAH ca K_108a
   vyāpādanena tatkārī K_799a	vyApAdanena tad-kArI K_799a
   vyāhārocchvasanādibhiḥ K_106b	vyAhAra-ucCvasana-AdiBiH K_106b
   vratinaṃ mukharogiṇam K_424f	vratinam muKa-rogiNam K_424f
   vratopavāsaniratā K_925a	vrata-upavAsa-niratA K_925a
   vrātāś ca śreṇayas tathā K_682b	vrAtAH ca SreNayaH taTA K_682b
   śaktasya saṃnidhāv arthe K_299a	Saktasya saMniDO arTe K_299a
   śaṅkāviśvāsasaṃdhāne K_415a	SaFkA-viSvAsa-saMDAne K_415a
   śaṅkitānāṃ ca dasyubhiḥ K_413b	SaFkitAnAm ca dasyuBiH K_413b
   śatanāśe viṣaṃ smṛtam K_418b	Sata-nASe vizam smRtam K_418b
   śatārdhaṃ dāpayec śuddham K_459a	Sata-arDam dApayet SudDam K_459a
   śapathair eva niṇayet K_237b	SapaTEH eva niNayet K_237b
   śapathaiḥ sa viśodhyaḥ syāt K_797c	SapaTEH sa viSoDyaH syAt K_797c
   śarāṃs tv anāyasair agraiḥ K_442a	SarAn tu anAyasEH agrEH K_442a
   śarīradhanasaṃyuktaṃ K_484c	SarIra-Dana-saMyuktam K_484c
   śalpino vaṇijo 'pi vā K_624b	SalpinaH vaNijaH api vA K_624b
   śasyavyāghātakṛt tathā K_948b	Sasya-vyAGAta-kRt taTA K_948b
   śākhā yatrānyasaṃśritāḥ K_761b	SAKAH yatra-anya-saMSritAH K_761b
   śārīrī vādhikā bhavet K_123b	SArIrI vA-aDikA Bavet K_123b
   śāstrato 'nyeṣu taiḥ saha K_047d	SAstrataH anyezu tEH saha K_047d
   śāstradṛṣṭaḥ paraḥ smṛtaḥ K_061d	SAstra-dRzwaH paraH smRtaH K_061d
   śāstravad yatnato rakṣyā K_049a	SAstra-vat yatnataH rakzyA K_049a
   śāstreṇa ninditaṃ tv artha- K_033a	SAstreNa ninditam tu arTa K_033a
   śāstre dṛṣṭo manīṣibhiḥ K_062d	SAstre dRzwaH manIziBiH K_062d
   śikyac chede tulābhaṅge K_440a	Sikyat Cede tulA-BaFge K_440a
   śikṣakābhijñakuśalā K_632a	Sikzaka-aBijQa-kuSalA K_632a
   śikṣito 'pi śritaṃ kāmam K_714a	SikzitaH api Sritam kAmam K_714a
   śikhāvṛddhis tu sā smṛtā K_499d	SiKA-vRdDiH tu sA smRtA K_499d
   śiromānaṃ tu dṛśyeta K_444a	SiraH-mAnam tu dRSyeta K_444a
   śirorugbhujabhaṅgaś ca K_458e	SiraH-ruj-Buja-BaFgaH ca K_458e
   śilpavidyārthināṃ caiva K_333c	Silpa-vidyA-arTinAm ca-eva K_333c
   śilpinaś cābravīd bhṛguḥ K_478d	SilpinaH ca-abravIt BRguH K_478d
   śilpinaś cābravīd bhṛguḥ K_588b	SilpinaH ca-abravIt BRguH K_588b
   śilpinaṃ tan na dāpayet K_604b	Silpinam tat na dApayet K_604b
   śilpinaḥ parikīrtitāḥ K_680d	SilpinaH parikIrtitAH K_680d
   śilpiṣv api hi dharmo 'yaṃ K_870a	Silpizu api hi DarmaH ayam K_870a
   śilpopajīvino ye tu K_680c	Silpa-upajIvinaH ye tu K_680c
   śiṣyaṃ krodhena hanyāc ced K_794a	Sizyam kroDena hanyAt ced K_794a
   śiṣyād āptaṃ ca yad bhavet K_872b	SizyAt Aptam ca yat Bavet K_872b
   śiṣyād ārtvijyataḥ praśnāt K_869a	SizyAt ArtvijyataH praSnAt K_869a
   śīlādhyayanasaṃpanne K_719a	SIla-aDyayana-saMpanne K_719a
   śīlopacāraṃ tat sarvaṃ K_766c	SIla-upacAram tat sarvam K_766c
   śuktiśaṅkhākṛtir bhaṅge K_448c	Sukti-SaFKa-AkRtiH BaFge K_448c
   śuciś ca sabhiko yadi K_942d	SuciH ca saBikaH yadi K_942d
   śuddhaniṣṭhīvanāc śuddho K_453c	SudDa-nizWIvanAt SudDaH K_453c
   śuddharṇaśaṅkayā tat tu K_291c	SudDa-RNa-SaFkayA tat tu K_291c
   śuddhaṃ tam api nirdiśet K_444d	SudDam tam api nirdiSet K_444d
   śuddhaṃ vṛddhikaraṃ smṛtam K_879d	SudDam vRdDi-karam smRtam K_879d
   śuddhaṃ śuddhair vinirdiśet K_274b	SudDam SudDEH vinirdiSet K_274b
   śuddhāc ca vākyād yaḥ śuddhaḥ K_409c	SudDAt ca vAkyAt yaH SudDaH K_409c
   śuddhim āyāti śāsanam K_296d	SudDim AyAti SAsanam K_296d
   śuddhis tu śāstratattvajñaiś K_472a	SudDiH tu SAstra-tattva-jQEH K_472a
   śuddhes tu saṃśaye caiva K_440c	SudDeH tu saMSaye ca-eva K_440c
   śuddhaiḥ śuddhiṃ vinirdiśet K_280d	SudDEH SudDim vinirdiSet K_280d
   śubhāśubhanimittajam K_017d	SuBa-aSuBa-nimitta-jam K_017d
   śulkaṃ tat parikīrtitam K_898d	Sulkam tat parikIrtitam K_898d
   śuśrūṣyo 'gnir vinītayā K_835b	SuSrUzyaH agniH vinItayA K_835b
   śūdraṃ tu kārayed dāsaṃ K_722a	SUdram tu kArayet dAsam K_722a
   śūdraṃ yatnena varjayet K_067d	SUdram yatnena varjayet K_067d
   śūdrādīn pratibhūhīnān K_118c	SUdra-AdIn pratiBU-hInAn K_118c
   śūdrāś ca santaḥ śūdrāṇām K_351c	SUdrAH ca santaH SUdrANAm K_351c
   śūro 'ṃśāṃs trīn samartho dvau K_634c	SUraH aMSAn trIn samarTaH dvO K_634c
   śṛṇoti yadi no rājā K_077c	SRNoti yadi naH rAjA K_077c
   śeṣaṃ tu strīdhanaṃ smṛtam K_904d	Sezam tu strIDanam smRtam K_904d
   śeṣaṃ rājan yathārpayet K_529f	Sezam rAjan yaTA-arpayet K_529f
   śoṇitaṃ dṛśyate yatra K_455a	SoNitam dRSyate yatra K_455a
   śodhayed yatra carṇikam K_499b	SoDayet yatra ca-RNikam K_499b
   śodhite likhite samyag K_212a	SoDite liKite samyak K_212a
   śodhyaṃ niḥsvais tu karmaṇā K_788d	SoDyam niHsvEH tu karmaNA K_788d
   śodhye deyaṃ ghṛtāplutam K_451d	SoDye deyam GRta-Aplutam K_451d
   śoṣās tv ekaikam eva ca K_634d	SozAH tu ekEkam eva ca K_634d
   śaucaṃ kṛtvā samāhitaḥ K_053b	SOcam kRtvA samAhitaH K_053b
   śauṇḍikavyādhajanaka- K_568a	SONxika-vyADa-janaka K_568a
   śauryaprāptaṃ tu yad vittaṃ K_874c	SOrya-prAptam tu yat vittam K_874c
   śauryaprāptaṃ vidyayā ca K_877a	SOrya-prAptam vidyayA ca K_877a
   śauryavidyārthabāhulyāt K_004a	SOrya-vidyA-arTa-bAhulyAt K_004a
   śravaṇāc chrāvaṇād vāpi K_375c	SravaNAt SrAvaNAt vA-api K_375c
   śrāntaṃ rogārtam eva vā K_660b	SrAntam roga-Artam eva vA K_660b
   śrāntāṃs tṛṣārtān kṣudhitān K_789a	SrAntAn tRzA-ArtAn kzuDitAn K_789a
   śrāvayitvā yathākāryaṃ K_195a	SrAvayitvA yaTAkAryam K_195a
   śrāvitavyavahārāṇām K_204a	SrAvita-vyavahArANAm K_204a
   śrāvyamāṇo 'rthinā yatra K_144a	SrAvyamANaH arTinA yatra K_144a
   śrāvritaṃ dharmakāraṇāt K_654b	SrAvritam Darma-kAraNAt K_654b
   śrutismṛtyanumoditam K_051b	Sruti-smRti-anumoditam K_051b
   śrutismṛtyavirodhena K_046c	Sruti-smRti-aviroDena K_046c
   śrutvā caivānucoditam K_579d	SrutvA ca-eva-anucoditam K_579d
   śrutvā bhāṣārtham anyas tu K_166a	SrutvA BAzA-arTam anyaH tu K_166a
   śrutvā lekhyagataṃ tv arthaṃ K_145a	SrutvA leKya-gatam tu arTam K_145a
   śrutvā vā prāṅvivākataḥ K_476b	SrutvA vA prAFvivAkataH K_476b
   śrotāro vaṇijas tatra K_059a	SrotAraH vaNijaH tatra K_059a
   śrotriyebhyas tad arpayet K_931d	SrotriyeByaH tat arpayet K_931d
   śvaśuro guravas tathā K_363d	SvaSuraH guravaH taTA K_363d
   śvaśrvā vā śvaśureṇa vā K_897b	SvaSrvA vA SvaSureNa vA K_897b
   śvasūkaravadhe nṛṇām K_790d	Sva-sUkara-vaDe nRNAm K_790d
   ṣaṭcatvāriṃśake vāpi K_410e	zawcatvAriMSake vA-api K_410e
   ṣaṭ bhūvād asya hetavaḥ K_732d	zax BUvAt asya hetavaH K_732d
   ṣaḍābdike trirātraṃ syāt K_154c	zaz-Abdike tri-rAtram syAt K_154c
   ṣaḍguṇaḥ kāyamadhye syān K_784c	zaxguNaH kAya-maDye syAt K_784c
   ṣaḍbhāgaṃ tatra mūlyasya K_687c	zaz-BAgam tatra mUlyasya K_687c
   ṣaḍvidhaṃ strīdhanaṃ smṛtam K_894d	zaxviDam strIDanam smRtam K_894d
   ṣaṣṭyā nāśe jalaṃ deyaṃ K_419a	zazwyA nASe jalam deyam K_419a
   ṣoḍaśaiva niruttaraḥ K_202d	zoxaSa-eva niruttaraH K_202d
   sa ihānvādhir ucyate K_611d	saH iha-anvADiH ucyate K_611d
   sa eva dviguṇaḥ proktaḥ K_785c	saH eva dviguNaH proktaH K_785c
   sa evāṃśas tu sarveṣā K_856c	saH eva-aMSaH tu sarvezA K_856c
   sakalaṃ dravyajātaṃ yad K_838a	sakalam dravya-jAtam yat K_838a
   sa kālo vyavahārasya K_062c	sa kAlaH vyavahArasya K_062c
   sa kālo vyavahārāṇāṃ K_061c	sa kAlaH vyavahArANAm K_061c
   sa kṛtapratibhūś caiva K_582a	sa kRta-pratiBUH ca-eva K_582a
   sagotrādyas tu jāyate K_862b	sagotra-AdyaH tu jAyate K_862b
   sa ghātaka iti smṛtaḥ K_798d	sa GAtakaH iti smRtaH K_798d
   saṅkarāt tad anuttaram K_189d	saFkarAt tat anuttaram K_189d
   saṅketaś ca parasparam K_951d	saFketaH ca parasparam K_951d
   sa cārake niroddhavyaḥ K_583c	sa cArake nirodDavyaH K_583c
   sacihnam api pāpaṃ tu K_958a	sa-cihnam api pApam tu K_958a
   sa ced utkocam āpnuyāt K_652b	sa ced utkocam ApnuyAt K_652b
   sa jaye 'vadhṛte sabhyaiḥ K_221c	sa jaye avaDRte saByEH K_221c
   sa jñeyaḥ śapathe śuciḥ K_463d	sa jQeyaH SapaTe SuciH K_463d
   sa tam arthaṃ pradāpyaḥ syāt K_533c	sa tam arTam pradApyaH syAt K_533c
   sa tasya dāso bhṛtyaḥ strī K_591c	sa tasya dAsaH BRtyaH strI K_591c
   sati vākye svayaṃ kṛtiḥ K_044d	sati vAkye svayam kRtiH K_044d
   sa tu dāpyaḥ sabhāṭakam K_662d	sa tu dApyaH sa-BAwakam K_662d
   sat kuryād dhārmiko nṛpaḥ K_454f	sat kuryAt DArmikaH nRpaH K_454f
   satyadharmaparo nṛpaḥ K_001d	satya-Darma-paraH nRpaH K_001d
   satyaṃkāraprayojanam K_541d	satyaMkAra-prayojanam K_541d
   satyaṃkāravisaṃvāde K_541a	satyaMkAra-visaMvAde K_541a
   satyaṃ mithyottaraṃ caiva K_165a	satyam miTyA-uttaram ca-eva K_165a
   satyaṃ yatrānṛtena ca K_073b	satyam yatra-anRtena ca K_073b
   satsu sākṣiṣu vai bhṛguḥ K_231d	satsu sAkzizu vE BRguH K_231d
   sadaṇḍam abhiyogaṃ ca K_454c	sa-daNxam aBiyogam ca K_454c
   sa daṇḍyaḥ parikīrtitaḥ K_780d	sa daNxyaH parikIrtitaH K_780d
   sa daṇḍyo na tv atikramī K_106d	sa daNxyaH na tu atikramI K_106d
   sadā kuryān narādhipaḥ K_241d	sadA kuryAt narADipaH K_241d
   sadā cittaṃ narendrāṇāṃ K_004c	sadA cittam narendrANAm K_004c
   sa dāpyas taddhanaṃ kṛtsnaṃ K_652c	sa dApyaH tad-Danam kRtsnam K_652c
   sa dāpyaḥ pūrvasāhasam K_671d	sa dApyaH pUrva-sAhasam K_671d
   sa dāpyo damam uttamam K_290d	sa dApyaH damam uttamam K_290d
   sa dāpyo damam uttamam K_954d	sa dApyaH damam uttamam K_954d
   sadṛśair eva bhāvayet K_348b	sadRSEH eva BAvayet K_348b
   sadoṣam api tat krītaṃ K_696c	sa-dozam api tat krItam K_696c
   sadoṣaṃ vyāhataṃ pitrā K_554c	sa-dozam vyAhatam pitrA K_554c
   sadbhāgakaraśulkaṃ ca K_947a	sat-BAga-kara-Sulkam ca K_947a
   sadbhāvaṃ divyadṛṣṭena K_231c	sadBAvam divya-dRzwena K_231c
   sadya eva pradīyate K_512d	sadyas eva pradIyate K_512d
   sadya eva prahīyate K_199b	sadyas eva prahIyate K_199b
   sadya eva rucikrayaḥ K_711d	sadyas eva ruci-krayaH K_711d
   sadya eva vivādayet K_151d	sadyas eva vivAdayet K_151d
   sadya eva vivādayet K_153b	sadyas eva vivAdayet K_153b
   sadya eveti vacanāt K_512c	sadyas eva-iti vacanAt K_512c
   sadyaḥ kṛteṣu kāryeṣu K_153a	sadyas kRtezu kAryezu K_153a
   sadyaḥ kṛte sadya eva K_154a	sadyas kRte sadyas eva K_154a
   sadyaḥ spaṣṭaṃ vivādayet K_341d	sadyas spazwam vivAdayet K_341d
   sadyo bandhanam arhati K_200b	sadyas banDanam arhati K_200b
   sadyo vā sabhikenaiva K_937c	sadyas vA saBikena-eva K_937c
   sadyo vaikāhapañcāha- K_146a	sadyas vA-ekAha-paQca-aha K_146a
   sadvṛttānām tu sarveṣām K_959a	sat-vRttAnAm tu sarvezAm K_959a
   sanābhibhir bāndhavaiś ca K_335a	sanABiBiH bAnDavEH ca K_335a
   sa nigṛhya balād dāpyo K_610c	sa nigRhya balAt dApyaH K_610c
   santītyādi yad uttaram K_186b	santi-ityAdi yat uttaram K_186b
   santoṣaṃ na gatas tu yaḥ K_496b	santozam na gataH tu yaH K_496b
   sandhiś ca parivṛttiś ca K_701a	sanDiH ca parivRttiH ca K_701a
   saptamaś cāpi yo bhavet K_890b	saptamaH ca-api yaH Bavet K_890b
   saptame 'ṃśe 'ṣṭame 'pi vā K_708b	saptame aMSe azwame api vA K_708b
