   Āryabhaṭakṛtam	Ārya Bawa kRtam
   kakṣyāmaṇḍalalagnasvavṛttamadhyam | tasmin	kakzyA maNxala lagna sva vRtta maDyam | tasmin
   kakṣyāmaṇḍalalagnasvavṛttamadhye | grahaḥ madhyaḥ | yaḥ asau madhyaḥ	kakzyA maNxala lagna sva vRtta maDye | grahaH maDyaH | yaH asO maDyaH
   grahaḥ sa kakṣyāmaṇḍalalagnasvavṛttamadhye bhavati | etat uktam bhavati ã	grahaH sa kakzyA maNxala lagna sva vRtta maDye Bavati | etat uktam Bavati ã
   kakṣyāpratimaṇḍalayoḥ yatra sampātaḥ tatra yaḥ asau madhyamagrahaḥ,	kakzyA pratimaNxalayoH yatra sampAtaH tatra yaH asO maDyama grahaH,
   sa eva sphuṭaḥ iti |	saH eva sPuwaH iti |
   [ grahasphuṭīkaraṇe anyeṣām matapradarśanam ]	[ graha sPuwIkaraNe anyezAm mata pradarSanam ]
   atha anye anyathā vyākhyānam kurvanti | anulomam gacchanti iti anulomagāni	aTa anye anyaTA vyAKyAnam kurvanti | anulomam gacCanti iti anuloma gAni
   | kāni? vṛttāni, paridhayaḥ iti arthaḥ | mandāt | mandoccāt prabhṛti yāni	| kAni? vRttAni, pariDayaH iti arTaH | mandAt | manda uccAt praBRti yAni
   mandoccavṛttāni mandoccāt ārabhya anulomam gacchanti, yasmāt	manda ucca vRttAni manda uccAt AraBya anulomam gacCanti, yasmAt 
   mandoccakendram ahar ahar upacīyate | śīghrāt pratilomagāni | śīghrāt	manda uccaka indram ahar ahar upacIyate | SIGrAt pratiloma gAni | SIGrAt 
   śīghroccāt ārabhya yāni śīghroccavṛttāni tāni pratilomam gacchanti, yasmāt	SIGra uccAt AraBya yAni SIGra ucca vRttAni tAni pratilomam gacCanti, yasmAt 
   śīghroccakendram ahar ahar apacīyate | atra idam praṣṭavyam ã katham vā	SIGra uccaka indram ahar ahar apacIyate | atra idam prazwavyam ã kaTam vA
   mandoccakendram	manda uccaka indram
   ahar ahar upacīyate, katham vā śīghroccakendram ahar ahar apacīyate iti?	ahar ahar upacIyate, kaTam vA SIGra uccaka indram ahar ahar apacIyate iti?
   ucyate ã grahāt patite mandocce [mandakendra]bhuktayaḥ upacīyante, grahāt	ucyate ã grahAt patite manda ucce [mandaka indra ]BuktayaH upacIyante, grahAt 
   patite śīghrocce śīghrakendrabhuktayaḥ apacīyante | yadi evam grahāt	patite SIGra ucce SIGrakendra BuktayaH apacIyante | yadi evam grahAt 
   śīghroccam na patati mahattvāt tarhi maṇḍalam prakṣipya pātyate iti |	SIGra uccam na patati mahat tvAt tarhi maNxalam prakzipya pAtyate iti |
   tatra bhagaṇāḥ bhagaṇebhyaḥ viśodhyāḥ, rāśayaḥ rāśibhyaḥ, bhāgāḥ	tatra BagaNAH BagaNeByaH viSoDyAH, rASayaH rASiByaH, BAgAH
   bhāgebhyaḥ, liptāḥ liptābhyaḥ iti eṣaḥ kramaḥ | tatra grahabhagaṇebhyaḥ	BAgeByaH, liptAH liptAByaH iti ezaH kramaH | tatra graha BagaNeByaH
   śīghroccabhagaṇāḥ eva tāvat na	SIGra ucca BagaNAH eva tAvat na
   śuddhyanti | kutaḥ asau bhagaṇaḥ yam prakṣipya śīghroccam viśodhyate?	SudDyanti | kutas asO BagaNaH yam prakzipya SIGra uccam viSoDyate?
   tasmāt gaṇitayuktyā yāni api śīghravṛttāni tāni api anulomagāni eva |	tasmAt gaNita yuktyA yAni api SIGra vRttAni tAni api anuloma gAni eva |
   ācāryeṇa tu karaṇalāghavārtham "pratilomagāni vṛttāni" iti uktam | kim	AcAryeNa tu karaNa lAGava arTam "pratiloma gAni vRttAni" iti uktam | kim
   punar atra karaṇalāghavam? kāmacāraḥ | yadi grahaḥ śīghroccāt patati tadā	punar atra karaNa lAGavam? kAma cAraH | yadi grahaH SIGra uccAt patati tadA
   grahaḥ śīghroccāt viśodhyate | yadā ca śīghroccam grahāt patati tadā	grahaH SIGra uccAt viSoDyate | yadA ca SIGra uccam grahAt patati tadA
   grahāt śīghroccam viśodhyate iti | satyam eva etat, kintu	grahAt SIGra uccam viSoDyate iti | satyam eva etat, kintu
   jyāparidhikalpanā vyabhicarati | yadā grahāt śīghroccam	jyA pariDi kalpanA vyaBicarati | yadA grahAt SIGra uccam
   viśodhitam bhavati tadā anyathā jyā anyathā paridhiḥ, tadānīm eva	viSoDitam Bavati tadA anyaTA jyA anyaTA pariDiH, tadAnIm eva
   śīghroccāt viśuddhe grahe anyathā jyā anyathā eva paridhiḥ | atha manyate	SIGra uccAt viSudDe grahe anyaTA jyAH anyaTA eva pariDiH | aTa manyate
   śīghroccaviśuddhe grahe yat prathamapadam tat caturthapadam, yat	SIGra ucca viSudDe grahe yat praTama padam tat caturTa padam, yat 
   dvitīyapadam tat tṛtīyapadam, yat tṛtīyapadam tat dvitīyapadam, yat	dvitIya padam tat tRtIya padam, yat tRtIya padam tat dvitIya padam, yat 
   caturthapadam tat prathamapadam iti | evam tarhi yat jyāyasī kalpanā,	caturTa padam tat praTama padam iti | evam tarhi yat jyAyasI kalpanA,
   tasmāt mandoccam grahāt viśodhyam | grahaḥ ca śīghroccāt |	tasmAt manda uccam grahAt viSoDyam | grahaH ca SIGra uccAt |
   mandaśīghravṛttāni kramotkrameṇa eva gacchanti |	manda SIGra vRttAni krama utkrameNa eva gacCanti |
   kakṣyāmaṇḍalalagnaḥ | kakṣyāyāḥ maṇḍalam kakṣyāmaṇḍalam | athavā kakṣyā ca	kakzyA maNxala lagnaH | kakzyAyAH maNxalam kakzyA maNxalam | aTavA kakzyA ca
   sā maṇḍalam ca tat kakṣyāmaṇḍalam | tena kakṣyāmaṇḍalena lagnaḥ	sA maNxalam ca tat kakzyA maNxalam | tena kakzyA maNxalena lagnaH
   kakṣyāmaṇḍalalagnaḥ | kaḥ? grahaḥ madhyaḥ | svavṛttamadhye | svasya vṛttam	kakzyA maNxala lagnaH | kaH? grahaH maDyaH | sva vRtta maDye | svasya vRttam
   svavṛttam | tat ca sāmānyena mandavṛttam śīghravṛttam ca parigṛhyate |	sva vRttam | tat ca sAmAnyena manda vRttam SIGra vRttam ca parigRhyate |
   tasya svamandavṛttasya [svaśīghra]vṛttasya ca madhyam svavṛttamadhyam |	tasya sva manda vRttasya [sva SIGra]vRttasya ca maDyam sva vRtta maDyam |
   tatra grahasya madhyaḥ, sa ca kakṣyāmaṇḍalāsaktaḥ | svavṛttasya	tatra grahasya maDyaH, sa ca kakzyA maNxala AsaktaH | sva vRttasya
   kakṣyāmaṇḍale	kakzyA maNxale
   yathā madhyam bhavati tathā badhnīyāt | tasmin svavṛtte yathā	yaTA maDyam Bavati taTA baDnIyAt | tasmin sva vRtte yaTA
   kakṣyāmaṇḍale yathā madhyam bhavati tathā badhnīyāt | tasmin svavṛtte	kakzyA maNxale yaTA maDyam Bavati taTA baDnIyAt | tasmin sva vRtte
   yathā kakṣyāmaṇḍale jyā avitiṣṭhate tathā eva avatiṣṭhamānā draṣṭavyā |	yaTA kakzyA maNxale jyAH avitizWate taTA eva avatizWamAnA drazwavyA |
   katham? yathā kakṣyāmaṇḍalasya ṣaṇṇavatyaṃśakā kāṣṭhajyā | evam atra api	kaTam? yaTA kakzyA maNxalasya zaNNavati aMSakA kAzWajyA | evam atra api
   ṣaṇṇavatyaṃśakā kāṣṭhajyā parikalpanīyā | tat yathā ã uccāt ārabhya	zaNNavati aMSakA kAzWajyA parikalpanIyAH | tat yaTA ã uccAt AraBya
   bhujajyākoṭijyābhyām trairāśikam ã yadi ṣaṣṭiśatatrayaparidhau ime	Buja jyA kowijyAByAm trErASikam ã yadi zazwi Sata traya pariDO ime
   bhujajyākoṭijye, [tadā] uccanīcaparidhau	Buja jyA kowi jye, [tadA] ucca nIca pariDO
   ke iti | athavā ã vyāsārdhena ime bhujajyākoṭijye, tataḥ antyaphalatulyena	ke iti | aTavA ã vyAsa arDena ime Buja jyA kowi jye, tatas antya Pala tulyena
   uccanīcavṛttavyāsārdhena ke iti | labdhe uccanīcavṛttasya bhujajyākoṭijye	ucca nIca vRtta vyAsa arDena ke iti | labDe ucca nIca vRttasya Buja jyA kowi jye
   | tatra prathamacaturthayoḥ padayoḥ vyāsārdhāt upari koṭisādhanam sthitam	| tatra praTama caturTayoH padayoH vyAsa arDAt upari kowi sADanam sTitam
   iti vyāsārdhe prakṣipyate | dvitīyatṛtīyayoḥ padayoḥ vyāsārdhonam	iti vyAsa arDe prakzipyate | dvitIya tRtIyayoH padayoH vyAsa arDa Unam
   pravṛttam iti vyāsārdhāt apanīyate | evam koṭikā niṣpannā bhavati,	pravRttam iti vyAsa arDAt apanIyate | evam kowikA nizpannA Bavati,
   bhujākoṭivargasamāsamūlam karṇaḥ | evam mandaśīghrayoḥ karṇotpattiḥ || 21	BujA kowi varga samAsa mUlam karNaH | evam manda SIGrayoH karNa utpattiH || 21
   [ nīcoccavṛttavidhinā śanigurukujasphuṭīkaraṇam ]	[ nIca ucca vRtta viDinA Sani guru kuja sPuwIkaraNam ]
   grahāṇām ṛṇadhanapratipādanāya āha ã	grahANAm RNa Dana pratipAdanAya Aha ã
   kṣayadhanadhanakṣayāḥ syuḥ mandoccāt vyatyayena śīghroccāt |	kzaya Dana Dana kzayAH syuH manda uccAt vyatyayena SIGra uccAt |
   śanigurukujeṣu mandāt ardham ṛṇam dhanam bhavati pūrve || 22 ||	Sani guru kujezu mandAt arDam RNam Danam Bavati pUrve || 22 ||
   kṣayadhanadhanakṣayāḥ | kṣayaḥ ca dhanaḥ ca dhanaḥ ca kṣayaḥ ca	kzaya Dana Dana kzayAH | kzayaH ca DanaH ca DanaH ca kzayaH ca
   kṣayadhanadhanakṣayāḥ | ete kṣayadhanadhanakṣayāḥ yathāsaṅkhyena padeṣu	kzaya Dana Dana kzayAH | ete kzaya Dana Dana kzayAH yaTAsaFKyena padezu
   pratyetavyāḥ | tat yathā ã prathame pade kṣayaḥ, dvitīye pade dhanam,	pratyetavyAH | tat yaTA ã praTame pade kzayaH, dvitIye pade Danam,
   tṛtīye pade dhanam eva, caturthe pade kṣayaḥ iti | ayam kṣayādikramaḥ |	tRtIye pade Danam eva, caturTe pade kzayaH iti | ayam kzaya Adi kramaH |
   padakramaḥ ca kasmāt parigṛhyate iti āha ã mandoccāt pravṛttāt grahāt |	pada kramaH ca kasmAt parigRhyate iti Aha ã manda uccAt pravRttAt grahAt |
   kutaḥ? ucyate ã "mandoccāt" iyam pañcamī maryādābhidhāyinī | tataḥ	kutas ? ucyate ã "manda uccAt" iyam paQcamI maryAdA aBiDAyinI | tatas 
   mandoccāt iti anena mandoccāt pravṛttaḥ grahaḥ parigṛhyate | sa katham	manda uccAt iti anena manda uccAt pravRttaH grahaH parigRhyate | sa kaTam
   mandoccāt pravṛttaḥ grahaḥ jñeyaḥ? ucyate ã na atra kiñcit api jñeyam |	manda uccAt pravRttaH grahaH jQeyaH? ucyate ã na atra kiQcid api jQeyam |
   yāvadbhiḥ mandoccāt adhikaḥ grahaḥ tavatā asau mandoccāt pravṛttaḥ grahaḥ	yAvadBiH manda uccAt aDikaH grahaH tavatA asO manda uccAt pravRttaH grahaH
   jñeyaḥ | tena tatparijñānārtham mandoccam grahāt pātyate, tatra śeṣeṇa	jQeyaH | tena tad parijQAna arTam manda uccam grahAt pAtyate, tatra SezeNa
   rāśyādinā mandoccāt	rASi AdinA manda uccAt 
   pravṛttaḥ asau grahaḥ bhavati | tasmāt prathamapade yā kramajyā tasyāḥ	pravRttaH asO grahaH Bavati | tasmAt praTama pade yA kramajyA tasyAH
   phalam trairāśikena ānīyate | yadi ṣaṣṭiśatatrayaparidheḥ iyam jyā, tadā	Palam trErASikena AnIyate | yadi zazwi Sata traya pariDeH iyam jyA, tadA
   iṣṭagrahaparidheḥ kā iti phalam labhyate | etat eva trairāśikam |	izwa graha pariDeH kA iti Palam laByate | etat eva trErASikam |
   jhārdhāpavartamānaṣaṣṭiśatatrayaparidheḥ aśītiḥ, svaparidhibhāgānām yathā	JArDa apavartamAna zazwi Sata traya pariDeH aSItiH, sva pariDi BAgAnAm yaTA
   uktākṣarasaṅkhyā | tena paridhinā guṇitajyāyāḥ aśītiḥ bhāgahāraḥ |	ukta akzara saFKyA | tena pariDinA guNita jyAyAH aSItiH BAga hAraH |
   svaparidhyakṣarasaṅkhyā guṇakāraḥ | labdham phalam ṛṇam eva | dvitīyapade	sva pariDi akzara saFKyAH guNakAraH | labDam Palam RNam eva | dvitIya pade
   utkrameṇa jyā vyavasthitā iti,	utkrameNa jyA vyavasTitAH iti,
   utkramajyāphalam dhanam | punar tṛtīyapade krameṇa jyā vyavasthitā iti	utkrama jyA Palam Danam | punar tRtIya pade krameNa jyAH vyavasTitAH iti
   kramajyāphalam dhanam | caturthe pade utkrameṇa jyā vyavasthitā iti	krama jyA Palam Danam | caturTe pade utkrameNa jyAH vyavasTitAH iti
   utkramajyāphalam kṣayaḥ | tatra prathamapade eva mandakendram, tat	utkrama jyA Palam kzayaH | tatra praTama pade eva mandaka indram, tat 
   utpannam eva phalam grahamadhye kṣayaḥ | yadā dvitīyapade kendram tadā	utpannam eva Palam graha maDye kzayaH | yadA dvitIya pade kendram tadA
   prathamapadavyāsārdhajyotpannam aśeṣaphalam kṣayaḥ,	praTama pada vyAsa arDa jya utpannam aSeza Palam kzayaH,
   dvitīyapadotkramajyāphalam dhanam | prathamadvitīyapadābhyām	dvitIya pada utkrama jyA Palam Danam | praTama dvitIya padAByAm
   tṛtīyacaturthapade vyākhyāte |	tRtIya caturTa pade vyAKyAte |
   athavā karaṇalāghavārtham evam kriyate ã prathamapade yat utpannam krameṇa	aTavA karaNa lAGava arTam evam kriyate ã praTama pade yat utpannam krameNa
   jyāphalam kṣayaḥ | dvitīyapade yat utpannam punar yat gatam rāśyādikam	jyA Palam kzayaH | dvitIya pade yat utpannam punar yat gatam rASi Adikam
   atītam prathamapadasaṃjñitarāśitrayāt kṣayātmakāt dhanātmakam tat	atItam praTama pada saMjQita rASi trayAt kzaya AtmakAt Dana Atmakam tat 
   dvitīyapadasya yat gatam tat viśodhya śeṣam tatra kṣayaḥ eva avatiṣṭhate,	dvitIya padasya yat gatam tat viSoDya Sezam tatra kzayaH eva avatizWate,
   tena tat utpannam phalam madhyamagrahe kṣayaḥ | evam dvitīyapadānte	tena tat utpannam Palam maDyamagrahe kzayaH | evam dvitIya pada ante
   kṣayadhanayoḥ tulyatvāt na kiñcit avatiṣṭhate | tasmāt sāmarthyataḥ ayam	kzaya DanayoH tulya tvAt na kiQcid avatizWate | tasmAt sAmarTyataH ayam
   arthaḥ	arTaH
   saṃjātaḥ ã prathamapade gatajyāphalam kṣayaḥ, dvitīyapade api	saMjAtaH ã praTama pade gata jyA Palam kzayaH, dvitIya pade api
   āgatajyāphalam kṣayaḥ | etena mandakendraphalam meṣādike kṣayaḥ | tat etat	Agata jyA Palam kzayaH | etena mandaka indra Palam meza Adike kzayaH | tat etat 
   prathamapade gatam bhujāsaṃjñitam dvitīyapade anāgatam | koṭisaṃjñitam	praTama pade gatam BujA saMjQitam dvitIya pade anAgatam | kowi saMjQitam
   [prathamapade anāgatam] dvitīyapade gatam | tṛtīyacaturthayoḥ ca |	[praTama pade anAgatam] dvitIya pade gatam | tRtIya caturTayoH ca |
   tṛtīyapade kramajyāphalam dhanam | caturthapade tṛtīyapadarāśitrayāt	tRtIya pade krama jyA Palam Danam | caturTa pade tRtIya pada rASi trayAt
   dhanāt dhanasaṃjñitāt caturthapadarāśyādigatakṣayasaṃjñitam viśodhyate,	DanAt Dana saMjQitAt caturTa pada rASi a Adi gata kzaya saMjQitam viSoDyate,
   śeṣam dhanam eva avatiṣṭhate | evam	Sezam Danam eva avatizWate | evam
   caturthapadānte dhanakṣayayoḥ tulyatvāt na kiṃcit avaśiṣyate | tasmāt atra	caturTa pada ante Dana kzayayoH tulya tvAt na kiMcid avaSizyate | tasmAt atra
   api sa eva arthaḥ tulādikendre bhujāphalam dhanam iti |	api saH eva arTaH tulA Adika indre BujA Palam Danam iti |
   suṣṭhu khalu etat avagamyate | yadi padeṣu sarveṣu tulyāḥ paridhayaḥ tadā	suzWu Kalu etat avagamyate | yadi padezu sarvezu tulyAH pariDayaH tadA
   evam syāt | na ca tulyāḥ paridhayaḥ paṭhyante | atulyeṣu ca paridhiṣu	evam syAt | na ca tulyAH pariDayaH paWyante | atulyezu ca pariDizu
   pratimaṇḍalasya ca api avasthā virudhyate | kutaḥ? prathamapade śukrasya	prati maNxalasya ca api avasTA viruDyate | kutas ? praTama pade Sukrasya
   catuṣkaḥ paridhiḥ | tatra dvitīyapadaprāptau eva dvikaḥ paridhiḥ | tatra	catuzkaH pariDiH | tatra dvitIya pada prAptO eva dvikaH pariDiH | tatra
   ardhapahalam parihīyate | grahaḥ tu gacchan krameṇa gacchati, na	arDa pahalam parihIyate | grahaH tu gacCan krameNa gacCati, na
   hariṇaplutena | na eṣa doṣaḥ | tulyāḥ paridhayaḥ | nanu ca uktam ã na ca	hariNa plutena | naH eza dozaH | tulyAH pariDayaH | nanu ca uktam ã na ca
   tulyāḥ paridhayaḥ paṭhyante	tulyAH pariDayaH paWyante
   iti | na etat asti | evam vijñāyate ã ete paridhayaḥ	iti | naH etat asti | evam vijQAyate ã ete pariDayaH
   upacayā[pacayā]tmakāḥ, yataḥ tena tulyopacayāpacayātmakatvāt	upacaya a[pacayA]tmakAH, yatas tena tulya upacaya apacaya Atmaka tvAt
   kramotkramavyavasthāyāḥ, yataḥ te eva bhavanti iti | tena tulyāḥ ucyante |	krama utkrama vyavasTAyAH, yatas te eva Bavanti iti | tena tulyAH ucyante |
   tat yathā ã prathamapade kramajyām paridhyantareṇa hatvā vyāsārdhena	tat yaTA ã praTama pade kramajyAm pariDi antareNa hatvA vyAsa arDena
   labdham ūne viṣamapadaparidhau prakṣipyate, adhike apanīyate |	labDam Une vizama pada pariDO prakzipyate, aDike apanIyate |
   prathamadvitīyapadābhyām tṛtīyacaturthapade vyākhyāte |	praTama dvitIya padAByAm tRtIya caturTa pade vyAKyAte |
   vyatyayena śīghroccāt | śīghroccakendrāt padavaśāt kramotkramajyāphalam	vyatyayena SIGra uccAt | SIGra uccaka indrAt pada vaSAt krama utkrama jyA Palam
   viparītam | prathamacaturthayoḥ padayoḥ dhanam, dvitīyatṛtīyayoḥ kṣayaḥ	viparItam | praTama caturTayoH padayoH Danam, dvitIya tRtIyayoH kzayaH
   iti viparyayaḥ | athavā bhujāphalam śīghrakrameṇa ānītam meṣādau dhanam,	iti viparyayaH | aTavA BujA Palam SIGra krameNa AnItam meza AdO Danam,
   tulādāvṛṇam | paridhicālanādyaśeṣam pūrvavat eva | atra śīghraphalam	tulAdO= RNam | pariDi cAlana Adi a Sezam pUrvavat eva | atra SIGra Palam
   vyāsārdhena saṃguṇayya tat utpannakrarṇena bhāgalabdham phalam dhanam ṛṇam	vyAsa arDena saMguNayya tat utpanna kra rNena BAga labDam Palam Danam RNam
   vā | etat ca karma trairāśikam ã yadi vyāsārdhamaṇḍale idam phalam	vA | etat ca karma trErASikam ã yadi vyAsa arDa maNxale idam Palam
   labhyate, tadā śīghroccakarṇamaṇḍale kiyat iti vyastatrairāśikena	laByate, tadA SIGra uccakarNa maNxale kiyat iti vyastatrErASikena
   vyāsārdham guṇakāraḥ, karṇaḥ bhāgahāraḥ | atra kim iti vyastatrairāśikam?	vyAsa arDam guNakAraH, karNaH BAga hAraH | atra kim iti vyastatrErASikam?
   ucyate ã "alpe hi maṇḍale alpāḥ mahati mahāntaḥ ca rāśayaḥ jñeyāḥ"	ucyate ã "alpe hi maNxale alpAH mahati mahAntaH ca rASayaH jQeyAH"
   [kālakriyāí, 14] iti anena | atha mandoccaphalam evam kasmāt na kriyate?	[kAla kriyAí, 14] iti anena | aTa manda ucca Palam evam kasmAt na kriyate?
   ucyate ã kriyamāṇe api tāvat eva tat phalam bhavati iti na kriyate |	ucyate ã kriyamANe api tAvat eva tat Palam Bavati iti na kriyate |
   kutaḥ? mandoccakarṇaḥ aviśiṣyate | tatra ca aviśeṣitena phalena vyāsārdham	kutas ? manda uccakarNaH aviSizyate | tatra ca aviSezitena Palena vyAsa arDam
   saṃguṇayya karṇena bhāge hṛte pūrvam	saMguNayya karNena BAge hRte pUrvam
   ānītam eva phalam bhavati iti | atha kim iti śīghroccakarṇaḥ na	AnItam eva Palam Bavati iti | aTa kim iti SIGra uccakarNaH na
   aviśiṣyate? abhāvāt aviśeṣakarmaṇaḥ |	aviSizyate? aBAvAt aviSeza karmaNaH |
   atha atra idam praṣṭavyam ã kakṣyāmaṇḍalasya yathā svayojanakarṇaḥ	aTa atra idam prazwavyam ã kakzyA maNxalasya yaTA sva yojana karNaH
   vyāsārdhaḥ, tat ca svaliptābhiḥ mīyamānaḥ vasvagnivedarāmāḥ [3438],	vyAsa arDaH, tat ca sva liptABiH mIyamAnaH vasu agniveda rAmAH [3438],
   pratimaṇḍalasya api etat eva vyāsārdham iti etat |	prati maNxalasya api etat eva vyAsa arDam iti etat |
   kakṣyāmaṇḍalotpannajyāphalaliptābhiḥ trairāśikābhāvaḥ,	kakzyA maNxala utpanna jyA Pala liptABiH trErASika aBAvaH,
   kakṣyāpratimaṇḍalayoḥ tulyavyāsārdhatvāt | atha manyate ã	kakzyA pratimaNxalayoH tulya vyAsa arDa tvAt | aTa manyate ã
   tatkālotpannabhujākoṭiniṣpannakarṇaḥ vyāsārdham pratimaṇḍalasya | tena	tad kAla utpanna BujA kowi nizpanna karNaH vyAsa arDam prati maNxalasya | tena
   trairāśikopapattiḥ | evam tarhi na kakṣyāmaṇḍalatulyam pratimaṇḍalam	trErASika upapattiH | evam tarhi na kakzyA maNxala tulyam prati maNxalam
   iti | atra ucyate ã caturthapadādau kakṣyāpratimaṇḍale tulye | tena	iti | atra ucyate ã caturTa pada AdO kakzyA pratimaNxale tulye | tena
   kakṣyāpratimaṇḍalayoḥ tulyam vyāsārdham | tataḥ prabhṛti	kakzyA pratimaNxalayoH tulyam vyAsa arDam | tatas praBRti
   pratimaṇḍalavyāsārdham [krameṇa upacīyate] | evam krameṇa upacīyamānam	prati maNxala vyAsa arDam [krameNa upacIyate] | evam krameNa upacIyamAnam
   uccatulyagrahe svoccavṛttaviṣkambhārdham upacitam bhavati | tat eva	ucca tulya grahe sva ucca vRtta vizkamBa arDam upacitam Bavati | tat eva
   prathamapadādau prabhṛti utkrameṇa apacīyamānam prathamapadānte vyāsārdham	praTama pada AdO praBRti utkrameNa apacIyamAnam praTama pada ante vyAsa arDam
   eva bhavati | evam krameṇa apacīyamānam dvitīyapadānte	eva Bavati | evam krameNa apacIyamAnam dvitIya pada ante
   uccavṛttaviṣkambhārdham apacitam bhavati | tṛtīye	ucca vRtta vizkamBa arDam apacitam Bavati | tRtIye
   [padānte] ca utkrameṇa upacīyamānam iti etat kakṣyāmaṇḍalavyāsārdham eva |	[pada ante] ca utkrameNa upacIyamAnam iti etat kakzyA maNxala vyAsa arDam eva |
   grahasya uccanīcagatikramāt upacayāpacayātmakam bhavati iti ataḥ	grahasya ucca nIca gati kramAt upacaya apacaya Atmakam Bavati iti atas 
   pratimaṇḍalasya upadeśaḥ | ghanabhūmadhyāt eva grahasya uccanīcaparijñānam	prati maNxalasya upadeSaH | Gana BU maDyAt eva grahasya ucca nIca parijQAnam
   iti ataḥ vyāsārdham eva koṭiphalena upacīyate apacīyate vā | atha yadi	iti atas vyAsa arDam eva kowi Palena upacIyate apacIyate vA | aTa yadi
   pratimaṇḍalamadhyāt vyāsārdhasya vṛddhihrāsau syātām | tadā tṛtīyam	prati maNxala maDyAt vyAsa arDasya vRdDi hrAsO syAtAm | tadA tRtIyam
   maṇḍalam parikalpayitavyam syāt | ghanabhūmadhyāt karṇasya upacayāpacayau,	maNxalam parikalpayitavyam syAt | Gana BU maDyAt karNasya upacaya apacayO,
   tena tatkarṇena	tena tad karNena
   vyastatrairāśikopapattiḥ iti | etat gaṇitanyāyasiddham eva |	vyasta trErASika upapattiH iti | etat gaNita nyAya sidDam eva |
   śanigurukujeṣu | śaniḥ ca guruḥ ca kujaḥ ca śanigurukujāḥ | ataḥ teṣu	Sani guru kujezu | SaniH ca guruH ca kujaH ca Sani guru kujAH | atas tezu
   śanigurukujeṣu mandāt mandoccāt prabhṛti ya[t phalam upapadyate] tat	Sani guru kujezu mandAt manda uccAt praBRti ya[t Palam upapadyate] tat 
   ardham ṛṇam dhanam vā bhavati | pūrve pūrvakarmaṇi, mandāt prabhṛti iti |	arDam RNam Danam vA Bavati | pUrve pUrva karmaNi, mandAt praBRti iti |
   śīghrāt api ca yat phalam tat teṣu ardham kriyate prathame śīghrakarmaṇi |	SIGrAt api ca yat Palam tat tezu arDam kriyate praTame SIGra karmaNi |
   anyatra dvitīyakarmaṇi mandaśīghrayoḥ sakalaphalam iti arthāt avasīyate |	anyatra dvitIya karmaNi manda SIGrayoH sakala Palam iti arTAt avasIyate |
   mandaśīghraphalāni kāṣṭhāni ṛṇam dhanam vā parikalpyate | yataḥ kāṣṭhena	manda SIGra PalAni kAzWAni RNam Danam vA parikalpyate | yatas kAzWena
   grahaḥ	grahaH
   bhramati | tat phalam kva ṛṇam kva vā dhanam iti ã śanigurukujeṣu | atra	Bramati | tat Palam kva RNam kva vA Danam iti ã Sani guru kujezu | atra
   śanigurukujāḥ madhyamāḥ eva parigṛhyante | kutaḥ? madhyamasya	Sani guru kujAH maDyamAH eva parigRhyante | kutas ? maDyamasya
   sphuṭīkaraṇopāyatvāt | tadā hi ete sphuṭībhavanti |	sPuwIkaraNa upAya tvAt | tadA hi ete sPuwIBavanti |
   yadi etat karma śanigurukujeṣu madhyameṣu kriyate, mandoccaphalārdhena	yadi etat karma Sani guru kujezu maDyamezu kriyate, manda ucca Pala arDena
   madhyame ṛṇadhane kṛte tasya ṛṇadhanīkṛtasya madhyamatvam hīyate | [ataḥ]	maDyame RNa Dane kRte tasya RNa DanIkRtasya maDyama tvam hIyate | [ataH]
   śīghroccaphalacāpārdhasya avikṛtamadhyame dhanarṇe prāpnutaḥJ| na etat	SIGra ucca Pala cApa arDasya avikRta maDyame Dana RNe prApnutaHJ| naH etat 
   asti | mandoccaphalacāpārdhadhanarṇīkṛtaḥ eva bhaviṣyati | kutaḥ?	asti | manda ucca Pala cApa arDa Dana rNIkRtaH eva Bavizyati | kutas ?
   "ekadeśavikṛtam ananyavat bhavati" iti [aṣṭādhyāyī, 4.1.83	"eka deSa vikRtam ananya vat Bavati" iti [azwA aDyAyI, 4.1.83
   pātañjalamahābhāṣyam] ekadeśavikṛtaḥ api madhyaḥ eva | yathā devakattaḥ	pAtaQjala mahA BAzyam] eka deSa vikRtaH api maDyaH eva | yaTA devakattaH
   svalaṅkṛtaḥ api svam ākhyānam	su alaFkRtaH api svam AKyAnam
   na jahāti, na ca karṇanāsāvacchedena api, evam atra api, dve karmaṇī tatra	na jahAti, na ca karNa nAsA avacCedena api, evam atra api, dve karmaNI tatra
   tatra eva madhyame kriyete | athavā prathamamadhyamāt mandoccāyātam	tatra eva maDyame kriyete | aTavA praTama maDyamAt manda ucca AyAtam
   phalārdham madhyamotpannatvāt madhyame kriyate | yat punar śīghroccāyātam	Pala arDam maDyama utpanna tvAt maDyame kriyate | yat punar SIGra ucca AyAtam
   sakṛtsaṃskṛtāt phalārdham tat sakṛtsaṃskṛtāyātam eva iti kṛtvā	sakRt saMskRtAt Pala arDam tat sakRt saMskRta AyAtam eva iti kRtvA
   sakṛtsaṃskṛtaḥ eva kriyate | tasmāt dvikarmasaṃsiddhāt mandoccaphalam tat	sakRt saMskRtaH eva kriyate | tasmAt dvi karma saMsidDAt manda ucca Palam tat 
