   akasmāj jāyate sthūlaḥ VMv_1.61a	akasmAt jAyate sTUlaH VMu-_1.61a
   pratimāsaṃ padavṛddhiḥ VMv_1.29a	pratimAsam pada-vRdDiH VMu-_1.29a
   pratīkāravivarjitaḥ VMv_2.14d	pratIkAra-vivarjitaH VMu-_2.14d
   pratīkāre ca vartanam VMv_1.21d	pratIkAre ca vartanam VMu-_1.21d
   pratyakṣadṛṣṭasāmarthyo VMv_3.77c	pratyakza-dRzwa-sAmarTyaH VMu-_3.77c
   pratyakṣasiddhaṃ sarveṣāṃ VMv_4.88a	pratyakza-sidDam sarvezAm VMu-_4.88a
   pratyahaṃ phūtkṛtaṃ kurvan VMv_1.88c	pratyaham PUtkRtam kurvan VMu-_1.88c
   prathamaṃ kumbhakaṃ kṛtvā VMv_4.64c	praTamam kumBakam kRtvA VMu-_4.64c
   pradakṣiṇavidhānataḥ VMv_3.27b	pradakziNa-viDAnataH VMu-_3.27b
   pradattadakṣiṇācāryair VMv_3.46c	pradatta-dakziNa-AcAryEH VMu-_3.46c
   pradānān mṛtyuvañcanam VMv_3.30d	pradAnAt mRtyu-vaQcanam VMu-_3.30d
   pradīptavahner āhāraḥ VMv_4.86c	pradIpta-vahneH AhAraH VMu-_4.86c
   prabalamṛtyumahābhayaśaṅkayā VMv_3.83c	prabala-mRtyu-mahA-Baya-SaFkayA VMu-_3.83c
   prabhātādikṣaṇātmakaḥ VMv_1.24b	praBAta-Adi-kzaNa-AtmakaH VMu-_1.24b
   prabhāte vātha sāyāhne VMv_1.93a	praBAte vA-aTa sAyAhne VMu-_1.93a
   prabhāvaḥ sarvasaṃmataḥ VMv_1.8d	praBAvaH sarva-saMmataH VMu-_1.8d
   pramādāt kṣaṇamātrakam VMv_3.8b	pramAdAt kzaNa-mAtrakam VMu-_3.8b
   prayāyād dakṣiṇāṃ diśam VMv_1.124b	prayAyAt dakziNAm diSam VMu-_1.124b
   prayāyād dakṣiṇāṃ diśam VMv_1.125b	prayAyAt dakziNAm diSam VMu-_1.125b
   prayogakuśalaḥ śrāddhaḥ VMv_4.85a	prayoga-kuSalaH SrAdDaH VMu-_4.85a
   prayogakuśalā ye ca VMv_4.95a	prayoga-kuSalAH ye ca VMu-_4.95a
   prayogajñeṣu lokeṣu VMv_4.84c	prayoga-jQezu lokezu VMu-_4.84c
   prayogā naiva durlabhāḥ VMv_4.84d	prayogAH na-eva durlaBAH VMu-_4.84d
   prayogās te sudurlabhāḥ VMv_4.84b	prayogAH te su-durlaBAH VMu-_4.84b
   prayogāṃś cāpy anekaśaḥ VMv_4.96b	prayogAn ca-api anekaSas VMu-_4.96b
   pravālāyutahomataḥ VMv_3.44b	pravAla-ayuta-homataH VMu-_3.44b
   praveśaṃ gaṇayed vāyoḥ VMv_4.53a	praveSam gaNayet vAyoH VMu-_4.53a
   praveśaḥ śasyate vāyor VMv_4.52a	praveSaH Sasyate vAyoH VMu-_4.52a
   praveśāt syāt pratikriyā VMv_1.117d	praveSAt syAt pratikriyA VMu-_1.117d
   prasiddhir mahatī bhavet VMv_1.21b	prasidDiH mahatI Bavet VMu-_1.21b
   prasuptenāgrato dṛṣṭvā VMv_1.134c	prasuptena-agratas dRzwvA VMu-_1.134c
   prasūte bodhisādhakam VMv_1.6d	prasUte boDi-sADakam VMu-_1.6d
   prāg vākcittapadaṃ tataḥ VMv_4.10b	prAk vAc-citta-padam tatas VMu-_4.10b
   prāṇasaṃkhyā prakīrtitā VMv_4.51d	prANa-saMKyA prakIrtitAH VMu-_4.51d
   prāṇo nāḍyāśrito yo vahati dinapater udgame savyahīne VMv_2.52c	prANaH nAxI-ASritaH yaH vahati dinapateH udgame savya-hIne VMu-_2.52c
   prāptenāntaradhātunā VMv_3.71b	prAptena-antara-DAtunA VMu-_3.71b
   prāpyāriṣṭasamudbhūtir VMv_1.13c	prApya-arizwa-samudBUtiH VMu-_1.13c
   proktā mantrās tathāgataiḥ VMv_3.63b	proktAH mantrAH taTAgatEH VMu-_3.63b
   phukāro vahnisaṃnibhaḥ VMv_1.80b	PukAraH vahni-saMniBaH VMu-_1.80b
   bandhadvayaṃ hanadvayam VMv_4.12d	banDa-dvayam hana-dvayam VMu-_4.12d
   bandhanasthān uruvyādhi- VMv_3.15a	banDana-sTAn uru-vyADi VMu-_3.15a
   bandhanād vāyurodhataḥ VMv_4.60b	banDanAt vAyu-roDataH VMu-_4.60b
   balāt syād āyuṣo vṛddhis VMv_4.87c	balAt syAt AyuzaH vRdDiH VMu-_4.87c
   balinām iti padād oṃ VMv_3.52a	balinAm iti padAt om VMu-_3.52a
   balīnāṃ gaṇacakrāṇāṃ VMv_3.30c	balInAm gaNa-cakrANAm VMu-_3.30c
   bahūnāṃ vārigandhayoḥ VMv_3.80b	bahUnAm vAri-ganDayoH VMu-_3.80b
   bāṇābdhiguṇanetrendu- VMv_1.100c	bANa-abDi-guNa-netra-indu VMu-_1.100c
   bādhakāntarakalpanam VMv_1.20d	bADaka-antara-kalpanam VMu-_1.20d
   bādhirye śrotrayor mṛtyuś VMv_1.108a	bADirye SrotrayoH mRtyuH VMu-_1.108a
   bāhyam ādhyātmikaṃ caiva VMv_3.1a	bAhyam ADyAtmikam ca-eva VMu-_3.1a
   bāhyalakṣaṇamātrān na VMv_2.2a	bAhya-lakzaNa-mAtrAt na VMu-_2.2a
   bāhyaś cādhyātmikaś cāpi VMv_3.1c	bAhyaH ca-ADyAtmikaH ca-api VMu-_3.1c
   bāhyādhyātmikabhedena VMv_1.10a	bAhya-ADyAtmika-Bedena VMu-_1.10a
   bāhyāni prathamaṃ tāval VMv_1.22c	bAhyAni praTamam tAvat VMu-_1.22c
   bāhyābhyantarabhedena VMv_1.14a	bAhya-aByantara-Bedena VMu-_1.14a
   bāhye buddhiviparyāso VMv_2.3c	bAhye budDi-viparyAsaH VMu-_2.3c
   buddhakṛtyakaraṃ śāntaṃ VMv_4.19a	budDa-kRtya-karam SAntam VMu-_4.19a
   buddhadharmate tataḥ syāt VMv_3.53c	budDa-Darmate tatas syAt VMu-_3.53c
   buddhapañjarakādi ca VMv_4.99b	budDa-paQjaraka-Adi ca VMu-_4.99b
   buddhabhāṣitaniḥśeṣa- VMv_3.26a	budDa-BAzita-niHSeza VMu-_3.26a
   bubhukṣābahule deśe VMv_3.67c	buBukzA-bahule deSe VMu-_3.67c
   bodhyagrīmudrayā yuktaṃ VMv_4.20a	boDyagrI-mudrayA yuktam VMu-_4.20a
   brahmāpi hi vinā dharmaṃ VMv_3.8c	brahmA-api hi vinA Darmam VMu-_3.8c
   brahmendraviṣṇucandrārka- VMv_4.34a	brahma-indra-vizNu-candra-arka VMu-_4.34a
   bhakṣaṇālepanāt sadyo VMv_3.80c	BakzaNa-AlepanAt sadyas VMu-_3.80c
   bhakṣapānāsanādikam VMv_4.57d	Bakza-pAna-Asana-Adikam VMu-_4.57d
   bhakṣyate prohyate cāpi VMv_1.132c	Bakzyate prohyate ca-api VMu-_1.132c
   bhagaliṅgasamāyoge VMv_1.43a	Baga-liFga-samAyoge VMu-_1.43a
   bhagnasphuṭitacaityādāv VMv_3.19a	Bagna-sPuwita-cEtya-AdO VMu-_3.19a
   bhadrakumbhādisiddhayaḥ VMv_4.36d	Badra-kumBa-Adi-sidDayaH VMu-_4.36d
   bhadracaryāsamādāna- VMv_3.50a	Badra-caryA-samAdAna VMu-_3.50a
   bhayaśokādisāmarthyāt VMv_1.12c	Baya-Soka-Adi-sAmarTyAt VMu-_1.12c
   bhavaty avaśyaṃ niḥśeṣa- VMv_3.48a	Bavati avaSyam niHSeza VMu-_3.48a
   bhavet pañcadaśābdataḥ VMv_2.22d	Bavet paQcadaSa-abdataH VMu-_2.22d
   bhaven mantraḥ śatākṣaraḥ VMv_3.55b	Bavet mantraH Sata-akzaraH VMu-_3.55b
   bhaven mṛtyunivāraṇam VMv_3.80d	Bavet mRtyu-nivAraNam VMu-_3.80d
   bhaven mṛtyur yathākramam VMv_2.36d	Bavet mRtyuH yaTAkramam VMu-_2.36d
   bhāvayet tadvivarjitaḥ VMv_4.78d	BAvayet tad-vivarjitaH VMu-_4.78d
   bhāvābhāvavinirmuktaṃ VMv_4.78c	BAva-aBAva-vinirmuktam VMu-_4.78c
   bhūtakṣobhas tu pittādi- VMv_1.16c	BUta-kzoBaH tu pitta-Adi VMu-_1.16c
   bhūtakṣobho 'pi dvividhas VMv_1.14c	BUta-kzoBaH api dviviDaH VMu-_1.14c
   bhūtasaṃkṣobhato mṛtyur VMv_1.16a	BUta-saMkzoBataH mRtyuH VMu-_1.16a
   bhūmis toyaṃ khanyamānā dadāti VMv_4.93b	BUmiH toyam KanyamAnA dadAti VMu-_4.93b
   bhūyaś ca na nivarteta VMv_1.124c	BUyas ca na nivarteta VMu-_1.124c
   bheṣajasyāpi sāmarthye VMv_3.82a	Bezajasya-api sAmarTye VMu-_3.82a
   bheṣajānāṃ niṣevaṇāt VMv_3.69b	BezajAnAm nizevaNAt VMu-_3.69b
   bheṣajaiḥ sahitāṃ sadā VMv_3.68b	BezajEH sahitAm sadA VMu-_3.68b
   bhairavāyapadaṃ vadet VMv_4.11b	BEravAya-padam vadet VMu-_4.11b
   bhaiṣajyādi pratikriyā VMv_1.78d	BEzajya-Adi pratikriyA VMu-_1.78d
   bhojyaśayyādidānataḥ VMv_3.31b	Bojya-SayyA-Adi-dAnataH VMu-_3.31b
   bhraṣṭāyuḥ san naro 'vaśyaṃ VMv_4.54c	Brazwa-AyuH san naraH avaSyam VMu-_4.54c
   bhrātrādīnāṃ mahīyasām VMv_1.95d	BrAtR-AdInAm mahIyasAm VMu-_1.95d
   bhrūmadhye jyotiṣo 'dṛṣṭau VMv_1.109a	BrU-maDye jyotizaH adRzwO VMu-_1.109a
   makarāt karkaṭāvadheḥ VMv_1.30d	makarAt karkawa-avaDeH VMu-_1.30d
   maṇimantrauṣadhīnāṃ ca VMv_1.8c	maNi-mantra-ozaDInAm ca VMu-_1.8c
   maṇimantrauṣadhīsiddha- VMv_3.35a	maNi-mantra-ozaDI-sidDa VMu-_3.35a
   maṇimantrauṣadhair bāhyam VMv_3.2c	maNi-mantra-OzaDEH bAhyam VMu-_3.2c
   maṇīnāṃ sarvasaṃmatam VMv_3.38d	maNInAm sarva-saMmatam VMu-_3.38d
   maṇḍalālekhanād dhomān VMv_3.30a	maNxala-AleKanAt DomAn VMu-_3.30a
   maṇḍalena sphurattviṣā VMv_4.70d	maNxalena sPurat-tvizA VMu-_4.70d
   madhusarpiḥsamanvitāt VMv_3.81b	maDu-sarpiH-samanvitAt VMu-_3.81b
   madhyamo dviguṇas tataḥ VMv_4.66d	maDyamaH dviguNaH tatas VMu-_4.66d
   madhyaḥ syād dviguṇas tathā VMv_4.63d	maDyaH syAt dviguNaH taTA VMu-_4.63d
   madhyāhnāt parato mṛtyuḥ VMv_2.14c	maDyAhnAt paratas mRtyuH VMu-_2.14c
   madhyāhne padamātrikā VMv_1.27b	maDyAhne pada-mAtrikA VMu-_1.27b
   madhye śeṣe ca hañchikā VMv_1.43b	maDye Seze ca haQCikA VMu-_1.43b
   mantrajāpaparāyaṇaḥ VMv_4.3d	mantra-jApa-parAyaNaH VMu-_4.3d
   mantram akṣaralakṣakam VMv_3.43b	mantram akzara-lakzakam VMu-_3.43b
   mantram enaṃ daśākṣaram VMv_4.32d	mantram enam daSa-akzaram VMu-_4.32d
   mantraśaktes tato 'vaśyaṃ VMv_3.61c	mantra-SakteH tatas avaSyam VMu-_3.61c
   mantraṃ lokeśvarasyāsya VMv_3.41a	mantram loka-ISvarasya-asya VMu-_3.41a
   mantrāṇām api sāmarthye VMv_3.65a	mantrANAm api sAmarTye VMu-_3.65a
   mantrādibhir vañcana eva yatnaḥ VMv_1.139d	mantra-AdiBiH vaQcanaH eva yatnaH VMu-_1.139d
   mantraikalakṣajāpataḥ VMv_3.56b	mantra-eka-lakza-jApataH VMu-_3.56b
   mantrair yaiḥ śāntikarma VMv_3.64a	mantrEH yEH SAnti-karma VMu-_3.64a
   mantro 'yaṃ mṛtyuvañcakaḥ VMv_3.59b	mantraH ayam mRtyuvaQcakaH VMu-_3.59b
   mantro vighnanivāraṇaḥ VMv_4.14d	mantraH viGna-nivAraNaH VMu-_4.14d
   mantro 'śokadale 'male VMv_3.46b	mantraH aSoka-dale amale VMu-_3.46b
   mama rakṣāṃ kuru svāhā VMv_4.17d	mama rakzAm kuru svAhA VMu-_4.17d
   maraṇavañcanam atra yathābalam VMv_3.83b	maraNa-vaQcanam atra yaTAbalam VMu-_3.83b
   maraṇaṃ tasya nirdiśet VMv_1.70d	maraNam tasya nirdiSet VMu-_1.70d
   maraṇaṃ tasya nirdiśet VMv_1.133b	maraNam tasya nirdiSet VMu-_1.133b
   maraṇaṃ tasya pūrvavat VMv_1.123d	maraNam tasya pUrvavat VMu-_1.123d
   maraṇaṃ pañcavatsaraiḥ VMv_1.40b	maraNam paQca-vatsarEH VMu-_1.40b
   maraṇaṃ parikīrtitam VMv_1.92d	maraNam parikIrtitam VMu-_1.92d
   maraṇaṃ bhāvi tatparaiḥ VMv_1.10d	maraNam BAvi tad-parEH VMu-_1.10d
   maraṇādi manīṣibhiḥ VMv_2.7d	maraNa-Adi manIziBiH VMu-_2.7d
   maraṇe duḥkhasaṃdarśī VMv_4.8a	maraNe duHKa-saMdarSI VMu-_4.8a
   martavyadivasaṃ jñātvā VMv_4.69a	martavya-divasam jQAtvA VMu-_4.69a
   mastakāgre pṛthakpṛthak VMv_1.50b	mastaka-agre pRTak-pRTak VMu-_1.50b
   mastakopari niryāntīṃ VMv_1.102a	mastaka-upari niryAntIm VMu-_1.102a
   maste patati vajrāgnau VMv_1.9c	maste patati vajra-agnO VMu-_1.9c
   mahāgaṇapatipadāj VMv_4.14a	mahAgaNapati-padAt VMu-_4.14a
   mahādaṃṣṭrotkaṭapadād VMv_4.11a	mahA-daMzwra-utkawa-padAt VMu-_4.11a
   mahāmaṇḍalakalpoktā- VMv_3.49a	mahA-maNxala-kalpa-uktA VMu-_3.49a
   mahāyānaprakāśakān VMv_3.25b	mahAyAna-prakASakAn VMu-_3.25b
   mahāśvetādidevatām VMv_4.38b	mahA-Sveta-AdidevatAm VMu-_4.38b
   mahāṣṭasthānapūjābhir VMv_3.20c	mahA-azwa-sTAna-pUjABiH VMu-_3.20c
   mahāsamājakaṃ sūtram VMv_3.23a	mahA-samAjakam sUtram VMu-_3.23a
   māghamāsasya saṃkrānteḥ VMv_2.25a	mAGa-mAsasya saMkrAnteH VMu-_2.25a
   māghādiṣu śubhāśubham VMv_1.35d	mAGa-Adizu SuBa-aSuBam VMu-_1.35d
   mātaraṃ kāmarūpadhām VMv_4.30b	mAtaram kAmarUpaDAm VMu-_4.30b
   mātāpitṛgurujyeṣṭha- VMv_3.17a	mAtA-pitR-guru-jyezWa VMu-_3.17a
   mātrābhojī mitālāpī VMv_4.3a	mAtrA-BojI mita-AlApI VMu-_4.3a
   mānasatkāradānāc ca VMv_3.17c	mAnasatkAra-dAnAt ca VMu-_3.17c
   mārayitum ayogyatvān VMv_4.42c	mArayitum ayogya-tvAn VMu-_4.42c
   māravighno nirākulaḥ VMv_4.18b	mAra-viGnaH nirAkulaH VMu-_4.18b
   mārutaḥ sūryagocaraḥ VMv_2.44b	mArutaH sUrya-gocaraH VMu-_2.44b
   mārgaśīrṣasya saṃkrānti- VMv_2.21a	mArgaSIrzasya saMkrAnti VMu-_2.21a
   mārjāranetratulyāni VMv_1.103c	mArjAra-netra-tulyAni VMu-_1.103c
   māsatrayāt pakṣatrayān VMv_1.52c	mAsa-trayAt pakza-trayAn VMu-_1.52c
   māsān maraṇam ādiśet VMv_1.31d	mAsAt maraNam AdiSet VMu-_1.31d
   māsās te 'hāni śeṣās tithidigiṣuguṇa-dvīndavo jīvitasya VMv_2.53d	mAsAH te ahAni SezAH tiTi-digizu-guNa-dvi-indavaH jIvitasya VMu-_2.53d
   māsaiś caturbhir mṛtyuḥ syāt VMv_1.41a	mAsEH caturBiH mRtyuH syAt VMu-_1.41a
   mitakālātyayād bhavet VMv_2.5d	mita-kAla-atyayAt Bavet VMu-_2.5d
   mithyetyādi prakāśanāt VMv_1.120b	miTyA-ityAdi prakASanAt VMu-_1.120b
   muktānām eva yujyate VMv_1.4b	muktAnAm eva yujyate VMu-_1.4b
   muktāphalavibhūṣaṇān VMv_1.90d	muktAPala-viBUzaNAn VMu-_1.90d
   muktāhārān ivālūnān VMv_1.90c	mukta-AhArAn iva-AlUnAn VMu-_1.90c
   muṇḍitaṃ raktavāsasam VMv_1.135d	muNxitam rakta-vAsasam VMu-_1.135d
   mudrāṇāṃ bandhanād api VMv_3.30b	mudrANAm banDanAt api VMu-_3.30b
   muhuś ca mativibhramaḥ VMv_1.62d	muhur ca mati-viBramaH VMu-_1.62d
   muhuḥ skhalati vāṇī ca VMv_1.62c	muhur sKalati vANI ca VMu-_1.62c
   muhūrtam api na svapet VMv_4.57b	muhUrtam api na svapet VMu-_4.57b
   mūḍhā bhogaikatatparāḥ VMv_4.59b	mUXAH Boga-eka-tatparAH VMu-_4.59b
   mūtraśukrapurīṣāṇi VMv_1.78a	mUtra-Sukra-purIzANi VMu-_1.78a
   mūtraṃ yasya bhaven mṛtyus VMv_1.115c	mUtram yasya Bavet mRtyuH VMu-_1.115c
   mūrchito vā bhaven muhuḥ VMv_1.67d	mUrCitaH vA Bavet muhur VMu-_1.67d
   mūrdhni candramaso bimbāt VMv_4.43a	mUrDni candramasaH bimbAt VMu-_4.43a
   mṛtakād vidhibhakṣitāt VMv_3.70b	mRtakAt viDi-BakzitAt VMu-_3.70b
   mṛtasaṃjīvanam api VMv_3.74a	mRta-saMjIvanam api VMu-_3.74a
   'mṛtām atyantam ācaret VMv_3.67d	amRtAm atyantam Acaret VMu-_3.67d
   mṛtyudvāraṃ na paśyati VMv_3.68d	mRtyu-dvAram na paSyati VMu-_3.68d
   mṛtyunā naiva dṛśyate VMv_4.79d	mRtyunA na-eva dRSyate VMu-_4.79d
   mṛtyunirṇayakārakaḥ VMv_2.29d	mRtyu-nirNaya-kArakaH VMu-_2.29d
   mṛtyur aṣṭādaśābdataḥ VMv_2.21d	mRtyuH azwAdaSa-abdataH VMu-_2.21d
   mṛtyur āyāti vañcanām VMv_4.40d	mRtyuH AyAti vaQcanAm VMu-_4.40d
   mṛtyur āyāti vañcanām VMv_4.75d	mRtyuH AyAti vaQcanAm VMu-_4.75d
   mṛtyur ekadināt kramāt VMv_1.52d	mRtyuH eka-dinAt kramAt VMu-_1.52d
   mṛtyur ekāhiko bhavet VMv_1.112b	mRtyuH ekAhikaH Bavet VMu-_1.112b
   mṛtyur eva na saṃśayaḥ VMv_1.33d	mRtyuH eva na saMSayaH VMu-_1.33d
   mṛtyur dūragato bhavet VMv_3.14d	mRtyuH dUra-gataH Bavet VMu-_3.14d
   mṛtyur dūrāyate kramāt VMv_3.11d	mRtyuH dUrAyate kramAt VMu-_3.11d
   mṛtyur dṛṣṭaḥ kva cid bhavet VMv_1.19b	mRtyuH dRzwaH kva cit Bavet VMu-_1.19b
   mṛtyur dvādaśavarṣataḥ VMv_2.23b	mRtyuH dvAdaSa-varzataH VMu-_2.23b
   mṛtyur dharmeṇa vañcyate VMv_3.7d	mRtyuH DarmeNa vaQcyate VMu-_3.7d
   mṛtyur nāma vikalpo 'yam VMv_4.81a	mRtyuH nAma vikalpaH ayam VMu-_4.81a
   mṛtyur nāyāti saṃnidhim VMv_4.69d	mRtyuH na-AyAti saMniDim VMu-_4.69d
   mṛtyur nāsty atra saṃśayaḥ VMv_2.33d	mRtyuH na-asti atra saMSayaH VMu-_2.33d
   mṛtyur naivopasarpati VMv_3.17d	mRtyuH na-eva-upasarpati VMu-_3.17d
   mṛtyur naivopasarpati VMv_4.42d	mRtyuH na-eva-upasarpati VMu-_4.42d
   mṛtyur māsacatuṣṭayāt VMv_1.85d	mRtyuH mAsa-catuzwayAt VMu-_1.85d
   mṛtyur māsatrayād bhavet VMv_1.108d	mRtyuH mAsa-trayAt Bavet VMu-_1.108d
   mṛtyur māsād viniścitaḥ VMv_1.32d	mRtyuH mAsAt viniScitaH VMu-_1.32d
   mṛtyur māsāvadher bhavet VMv_1.68d	mRtyuH mAsa-avaDeH Bavet VMu-_1.68d
   mṛtyur varṣatrayāvadheḥ VMv_1.102d	mRtyuH varza-traya-avaDeH VMu-_1.102d
   mṛtyur varṣadvayād bhavet VMv_2.44d	mRtyuH varza-dvayAt Bavet VMu-_2.44d
   mṛtyur varṣeṇa tasya hi VMv_1.39d	mRtyuH varzeNa tasya hi VMu-_1.39d
   mṛtyulakṣaṇasaṃbhavaḥ VMv_2.51b	mRtyu-lakzaNa-saMBavaH VMu-_2.51b
   mṛtyuliṅgāni tāni kaḥ VMv_1.138b	mRtyu-liFgAni tAni kaH VMu-_1.138b
   mṛtyuliṅgāni paśyatu VMv_1.121d	mRtyu-liFgAni paSyatu VMu-_1.121d
   mṛtyuvañcanakārakaḥ VMv_3.48b	mRtyu-vaQcana-kArakaH VMu-_3.48b
   mṛtyuvañcanakauśalam VMv_4.1b	mRtyu-vaQcana-kOSalam VMu-_4.1b
   mṛtyuvañcanabhājanam VMv_4.85d	mRtyu-vaQcana-BAjanam VMu-_4.85d
   mṛtyuvañcanam aśnute VMv_3.25d	mRtyu-vaQcanam aSnute VMu-_3.25d
   mṛtyuvañcanam aśnute VMv_3.41d	mRtyu-vaQcanam aSnute VMu-_3.41d
   mṛtyuvañcanam āpyate VMv_3.26d	mRtyu-vaQcanam Apyate VMu-_3.26d
   mṛtyuvañcanam ārabhet VMv_1.7d	mRtyu-vaQcanam AraBet VMu-_1.7d
   mṛtyuvañcanam ārabhet VMv_4.8d	mRtyu-vaQcanam AraBet VMu-_4.8d
   mṛtyuvañcanam ucyate VMv_1.5d	mRtyu-vaQcanam ucyate VMu-_1.5d
   mṛtyuvañcanam udyataiḥ VMv_3.3b	mRtyu-vaQcanam udyatEH VMu-_3.3b
   mṛtyuvañcanavāñchayā VMv_3.7b	mRtyu-vaQcana-vAQCayA VMu-_3.7b
   mṛtyuvañcanavāñchayā VMv_4.67d	mRtyu-vaQcana-vAQCayA VMu-_4.67d
   mṛtyuśaṅkā prajāyate VMv_1.29d	mRtyu-SaFkA prajAyate VMu-_1.29d
   mṛtyus tasyaikavarṣataḥ VMv_1.84d	mRtyuH tasya-eka-varzataH VMu-_1.84d
   mṛtyuṃ kurvanti paṇḍitāḥ VMv_3.29d	mRtyum kurvanti paNxitAH VMu-_3.29d
   mṛtyuṃ jayati niścitam VMv_4.58d	mRtyum jayati niScitam VMu-_4.58d
   mṛtyuṃ jayati mṛtyuvat VMv_4.34d	mRtyum jayati mRtyu-vat VMu-_4.34d
   mṛtyuṃ jayati mṛtyuvat VMv_4.44d	mRtyum jayati mRtyu-vat VMu-_4.44d
   mṛtyuṃ trividhalakṣaṇam VMv_1.13b	mRtyum triviDa-lakzaNam VMu-_1.13b
   mṛtyuṃ so 'pi na paśyati VMv_4.80b	mRtyum saH api na paSyati VMu-_4.80b
   mṛtyuḥ prākkarmadoṣataḥ VMv_1.81d	mRtyuH prAk-karma-dozataH VMu-_1.81d
   mṛtyuḥ ṣaḍmāsato no cet VMv_1.116c	mRtyuH zaz-mAsataH no ced VMu-_1.116c
   mṛtyuḥ sadyas tadā bhavet VMv_1.50d	mRtyuH sadyas tadA Bavet VMu-_1.50d
   mṛtyuḥ syāc chatavāsaraiḥ VMv_1.104b	mRtyuH syAt Sata-vAsarEH VMu-_1.104b
   mṛtyuḥ syāt tasya pūrvavat VMv_1.125d	mRtyuH syAt tasya pUrvavat VMu-_1.125d
   mṛtyuḥ syāt pañcamāsataḥ VMv_1.53d	mRtyuH syAt paQca-mAsataH VMu-_1.53d
   mṛtyuḥ syāt saptarātrataḥ VMv_1.53b	mRtyuH syAt sapta-rAtrataH VMu-_1.53b
   mṛtyuḥ syād aṣṭamāsataḥ VMv_1.137d	mRtyuH syAt azwa-mAsataH VMu-_1.137d
   mṛtyuḥ syād varṣamadhyataḥ VMv_1.94d	mRtyuH syAt varza-maDyatas VMu-_1.94d
   mṛtyuḥ syād vāsaratrayāt VMv_1.111d	mRtyuH syAt vAsara-trayAt VMu-_1.111d
   mṛtyuḥ syān navavarṣataḥ VMv_2.23d	mRtyuH syAt nava-varzataH VMu-_2.23d
   mṛtyor bhavati vañcakaḥ VMv_3.24d	mRtyoH Bavati vaQcakaH VMu-_3.24d
   mṛtyor lakṣaṇam ājñātuṃ VMv_1.11a	mRtyoH lakzaNam AjQAtum VMu-_1.11a
   mṛtyor viṣkambhaṇaṃ kuryāt VMv_3.34c	mRtyoH vizkamBaNam kuryAt VMu-_3.34c
   mṛtyoḥ parājayo dṛṣṭaḥ VMv_3.35c	mRtyoH parAjayaH dRzwaH VMu-_3.35c
   mṛtyoḥ samyag viniścayaḥ VMv_2.2b	mRtyoH samyak viniScayaH VMu-_2.2b
   maitryacittāditatparaḥ VMv_4.4d	mEtrI-acitta-Adi-tatparaH VMu-_4.4d
   maithune sati ghaṇṭāyā VMv_1.48a	mETune sati GaNwAyAH VMu-_1.48a
   mokṣo 'pi jāyate nūnaṃ VMv_3.50c	mokzaH api jAyate nUnam VMu-_3.50c
   mriyate svayam eva hi VMv_4.27b	mriyate svayam eva hi VMu-_4.27b
   mriyante tu vilomena VMv_4.59a	mriyante tu vilomena VMu-_4.59a
   mriyamāṇo jarādibhiḥ VMv_4.90b	mriyamANaH jarA-AdiBiH VMu-_4.90b
   yata iha kamanīyaṃ jīvitān nānyad asti VMv_4.98d	yatas iha kamanIyam jIvitAt na-anyat asti VMu-_4.98d
   yataḥ sarvatra dṛśyate VMv_3.82d	yatas sarvatra dRSyate VMu-_3.82d
   yataḥ sarveṣu saṃmatam VMv_3.65d	yatas sarvezu saMmatam VMu-_3.65d
   yataḥ so 'mṛtasaṃcayaḥ VMv_4.52b	yatas saH amRta-saMcayaH VMu-_4.52b
   yatra rāśau naro jātas VMv_2.30a	yatra rASO naraH jAtaH VMu-_2.30a
   yatra velākṣaṇe vāyor VMv_2.33a	yatra velA-akzaNe vAyoH VMu-_2.33a
   yathākāmaprayogataḥ VMv_3.67b	yaTAkAma-prayogataH VMu-_3.67b
   yathā jīrṇasya gehasya VMv_4.91a	yaTA jIrNasya gehasya VMu-_4.91a
   yathā tathāyaṃ deho 'pi VMv_4.90a	yaTA taTA-ayam dehaH api VMu-_4.90a
   yathā nāsty atra saṃśayaḥ VMv_4.88b	yaTA na-asti atra saMSayaH VMu-_4.88b
   yathābhivāñchitaṃ yogaṃ VMv_4.18c	yaTA-aBivAQCitam yogam VMu-_4.18c
   yathāvad anupūrvaśaḥ VMv_2.26d	yaTAvat anupUrvaSas VMu-_2.26d
   yathāśakti parityāge VMv_1.21c	yaTASakti parityAge VMu-_1.21c
   yathāsaṃkhyaṃ bhavet tadā VMv_2.39d	yaTAsaMKyam Bavet tadA VMu-_2.39d
   yathāsaṃkhyaṃ bhaven mṛtiḥ VMv_2.37d	yaTAsaMKyam Bavet mRtiH VMu-_2.37d
   yathāsvaṃ yasya gocarān VMv_1.62b	yaTAsvam yasya gocarAn VMu-_1.62b
   yathopadeśayuktābhir VMv_3.72c	yaTA-upadeSa-yuktABiH VMu-_3.72c
   yadā tv ekaṃ dalaṃ tatra VMv_1.97a	yadA tu ekam dalam tatra VMu-_1.97a
   yadā vaktreṇa gacchati VMv_2.20b	yadA vaktreNa gacCati VMu-_2.20b
   yadi cakṣuś ca vidhyati VMv_1.37b	yadi cakzuH ca viDyati VMu-_1.37b
   yadi dharmaṃ na sevate VMv_1.45d	yadi Darmam na sevate VMu-_1.45d
   yadi dharmaṃ na sevate VMv_1.61d	yadi Darmam na sevate VMu-_1.61d
