   Abhisamayālaṅkāra (Asa)	ABisamaya alaFkAraH (Asa)
   viśāle nayane pakṣmacitaṃ padmadalākṣitā // Asa_8.29 //	viSAle nayane pakzma citam padma dala akzitAH // Asa_8.29 //
   āyataślakṣṇasusnigdhasamaromnau bhruvau bhujau /	Ayata SlakzNa su snigDa sama romnO BruvO BujO /
   pīnāyatau samau karṇāvupaghātavivarjitau // Asa_8.30 //	pIna AyatO samO karNO= upaGAta vivarjitO // Asa_8.30 //
   lalāṭamaparimlānaṃ pṛthupūrṇottamāṅgatā /	lalAwam aparimlAnam pRTu pUrNa uttamA aFga tA /
   bhrabharābhāścitāḥ ślakṣṇā asaṃlulitamurtayaḥ // Asa_8.31 //	BraBara ABAH citAH SlakzNAH asaMlulita murtayaH // Asa_8.31 //
   keśā aparuṣāḥ pusāṃ saurabhyādapahāriṇaḥ /	keSAH aparuzAH pusAm sOraByAt apahAriNaH /
   śrīvatsaḥ svastikaṃ ceti buddhānuvyañjanaṃ matam // Asa_8.32 //	SrIvatsaH svastikam ca iti budDa anuvyaQjanam matam // Asa_8.32 //
   4   nairmāṇikakāyaḥ	4  nErmANika kAyaH
   karoti yena citrāṇi hitāni jagataḥ samam /	karoti yena citrANi hitAni jagataH samam /
   ābhavāt so 'nupacchinnaḥ kāyo nairmāṇiko muneḥ // Asa_8.33 //	ABavAt saH anupacCinnaH kAyaH nErmANikaH muneH // Asa_8.33 //
   buddhakāritrāṇi tathā karmāpyanucchinnamasyāsaṃsāramiṣyate /	budDa kAritrANi taTA karma api anucCid nam asya asaMsAram izyate /
   gatīnāṃ śamanaṃ karma saṃgrahe ca caturvidhe // Asa_8.34 //	gatInAm Samanam karma saMgrahe ca caturviDe // Asa_8.34 //
   niveśanaṃ sasaṃkleśe vyavadānāvabodhane /	niveSanam sa saMkleSe vyavadAna avaboDane /
   sattvānāmarthayāthātmye ṣaṭsu pāramitāsu ca // Asa_8.35 //	sattvAnAm arTa yATAtmye zawsu pAramitAsu ca // Asa_8.35 //
   buddhamārge prakṛtyaiva śūnyatāyāṃ dvayakṣaye /	budDa mArge prakRtyA eva SUnyatAyAm dvaya kzaye /
   saṃkete 'nupalambhe ca paripāke ca dehinām // Asa_8.36 //	saMkete anupalamBe ca paripAke ca dehinAm // Asa_8.36 //
   bodhisattvasya mārge 'bhiniveśasya nivāraṇe /	boDisattvasya mArge aBiniveSasya nivAraNe /
   bodhiprāptau jinakṣetraviśuddhau niyatiṃ prati // Asa_8.37 //	boDi prAptO jina kzetra viSudDO niyatim prati // Asa_8.37 //
   aprameye ca sattvārthe buddhasevādike guṇe /	aprameye ca sattva arTe budDa sevA Adike guNe /
   bodheraṅgeṣvanāśe ca karmaṇāṃ satyadarśane // Asa_8.38 //	boDeH aFgezu anASe ca karmaNAm satya darSane // Asa_8.38 //
   viparyāsaprahāṇe ca tadavastukatānaye /	viparyAsa prahANe ca tad avastuka tAnaye /
   vyavadāne sasambhāre saṃskṛtāsaṃskṛte prati // Asa_8.39 //	vyavadAne sa samBAre saMskRta asaMskRte prati // Asa_8.39 //
   vyatibhedāparijñāne nirvāṇe ca niveśanam /	vyatiBeda aparijQAne nirvANe ca niveSanam /
   dharmakāyasya karmedaṃ saptaviṃśatidhā matam // Asa_8.40 //	Darma kAyasya karma idam saptaviMSatiDA matam // Asa_8.40 //
   ityabhisamayālaṅkāre nāma prajñāpāramitopadeśaśāstre aṣṭamādhikāraḥ /	iti aBisamaya alaFkAre nAma prajQApAramitA upadeSa SAstre azwama aDikAraH /
