   oṃ namaḥ sarvajñāya ||	om namaH sarvajQAya ||
   bhaviṣyati | bhagavān āha | śṛṇu ānanda rājā bhaviṣyati cakravartī	Bavizyati | BagavAn Aha | SRNu Ananda rAjA Bavizyati cakravartI
   caturdvīpeśvaraḥ | ya imaṃ dharmaparyāyaṃ sakalaṃ samāptaṃ	catur-dvIpa-ISvaraH | yaH imam Darma-paryAyam sakalam samAptam
   saṃprakāśayiṣyanti muktāś ca bhaviṣyanti	saMprakASayizyanti muktAH ca Bavizyanti
   jātijarāvyādhiparidevaduḥkhadaurmanasyopāyāsebhyaḥ parimuktā bhaviṣyanti |	jAti-jarA-vyADi-parideva-duHKa-dOrmanasya-upAyAseByaH parimuktAH Bavizyanti |
   ānanda āha | ye paścime kāle paścime samaye satvā imaṃ dharmaparyāyaṃ	AnandaH Aha | ye paScime kAle paScime samaye satvAH imam Darma-paryAyam
   pratikṣepsyanti na pattīyiṣyanti teṣāṃ kā gatir bhaviṣyati kaḥ parāyaṇam*	pratikzepsyanti na pattIyizyanti tezAm kA gatiH Bavizyati kaH parAyaNam*
   | (Asv 133) bhagavān āha | alam alam ānanda | mā me pāpakaṃ karmaskandhaṃ	| (Asu 133) BagavAn Aha | alam alam Ananda | mA me pApakam karma-skanDam
   paripṛccha | na mayā śakyaṃ parikīrtayitum* | anyatra buddhakoṭibhir na	paripRcCa | na mayA Sakyam parikIrtayitum* | anyatra budDa-kowiBiH na
   śakyaṃ parikīrtayitum* | ānanda āha | parikīrtaya bhagavan parikīrtaya |	Sakyam parikIrtayitum* | AnandaH Aha | parikIrtaya Bagavan parikIrtaya |
   sugato bhagavān āha | śṛṇu ānanda saddharmapratikṣepakasya gatiṃ	sugataH BagavAn Aha | SRNu Ananda sat-Darma-pratikzepakasya gatim
   parikīrtayiṣyāmi | raurave mahānarake hāhahe mahānarake avīcau mahānarake	parikIrtayizyAmi | rOrave mahAnarake hAhahe mahA-narake avIcO mahAnarake
   tiryagyonau yamaloke ca pretaviṣaye bahūni kalpasahasrāṇi duḥkham	tiryagyonO yama-loke ca preta-vizaye bahUni kalpa-sahasrANi duHKam
   anubhavitavyam* | yadi kadācin manuṣyaloke upapatsyate	anuBavitavyam* | yadi kadAcid manuzya-loke upapatsyate
   dīrghaśuṣkatālukaṇṭho bhaviṣyati | dvādaśayojanāni tasya jihvā bhaviṣyati	dIrGa-Suzka-tAlu-kaNWaH Bavizyati | dvAdaSa-yojanAni tasya jihvA Bavizyati
   | dvādaśahalyāni pravahiṣyanti ye evaṃ vāg bhāṣiṣyante | mā bhoḥ kulaputrā	| dvAdaSa-halyAni pravahizyanti ye evam vAc BAzizyante | mA BoH kula-putrA
   bhoḥ kvacit saddharmaṃ pratikṣepsyatha | saddharmapratikṣepakasya evaṃ	BoH kvacid sadDarmam pratikzepsyaTa | sat-Darma-pratikzepakasya evam
   gatir bhavati | ānanda āha | kena hetunā bhagavan saddharmaḥ pratikṣipto	gatiH Bavati | AnandaH Aha | kena hetunA Bagavan sadDarmaH pratikziptaH-
   bhavati | bhagavān āha | ye satvāḥ paścime kāle paścime samaye eteṣāṃ	Bavati | BagavAn Aha | ye satvAH paScime kAle paScime samaye etezAm
   sūtrānudhārakāṇāṃ dharmabhāṇakānām ākrośiṣyanti paribhāṣiṣyante	sUtra-anuDArakANAm Darma-BANakAnAm AkroSizyanti pariBAzizyante
   kutsayiṣyanti paṃsayiṣyanti tasya dharmabhāṇakasya duṣṭacittam	kutsayizyanti paMsayizyanti tasya Darma-BANakasya duzwa-cittam
   utpādayiṣyanti tebhyaḥ saddharmaḥ pratikṣipto bhaviṣyati | yaḥ satvaḥ (Asv	utpAdayizyanti teByaH sadDarmaH pratikziptaH Bavizyati | yaH satvaH (Asu-
   134) trisāhasramahāsāhasryāṃ lokadhātau satvānām akṣīṇy utpāṭayet* ayaṃ	134) tri-sAhasra-mahA-sAhasryAm lokaDAtO satvAnAm akzINi utpAwayet* ayam
   tato bahutaram apuṇyaskandho bhavet* | evam eva ya eteṣāṃ sūtradhārakāṇāṃ	tatas bahutaram apuNya-skanDaH Bavet* | evam eva yaH etezAm sUtra-DArakANAm
   dharmabhāṇakānāṃ duṣṭacittaprekṣitā ayaṃ tato bahutaram apuṇyaskandhaṃ	Darma-BANakAnAm duzwa-citta-prekzitAH ayam tatas bahutaram apuNya-skanDam
   prasaviṣyate |	prasavizyate |
   atha ānando bhagavato gāthāḥ pratyabhāṣata |	aTa AnandaH BagavataH gATAH pratyaBAzata |
   bahusūtrasahasrāṇi $ śrutaṃ me śāstusaṃmukhāt* &	bahu-sUtra-sahasrANi $ Srutam me SAstu-saMmuKa-at* &
   na [ca] me īdṛśaṃ sūtraṃ % śrutapūrvaṃ kadācana //	na [ca] me IdRSam sUtram % Sruta-pUrvam kadAcana //
   parinirvṛtasya śāstusya $ paścātkāle subhairave &	parinirvRtasya SAstusya $ paScAt-kAle su-BErave &
   idaṃ sūtraṃ prakāśiṣye % dhārayiṣye imaṃ nayam* //	idam sUtram prakASizye % DArayizye imam nayam* //
   yatra sūtraratne asmiṃ $ paścātkāle bhaviṣyati &	yatra sUtra-ratne asmim $ paScAt-kAle Bavizyati &
   rakṣāṃ kariṣyāmi teṣāṃ % paścātkale subhairave //	rakzAm karizyAmi tezAm % paScAt-kale su-BErave //
   pratikṣipiṣyāmi nedaṃ $ gaṃbhīraṃ buddhabhāṣitam* //	pratikzipizyAmi na-idam $ gaMBIram budDa-BAzitam* //
   athāyuṣmān ānando bhagavato gāthā bhāṣitvā tūṣṇīṃ sthito 'bhūt* | atha	aTa-AyuzmAn AnandaH BagavataH gATA BAzitvA tUzNIm sTitaH aBUt* | aTa
   kāśyapo mahāśrāvako bhagavantaṃ gāthābhir adhyabhāṣata |	kASyapaH mahA-SrAvakaH Bagavantam gATABiH aDyaBAzata |
   suvarṇavarṇaṃ varalakṣaṇāṃgaṃ	suvarNa-varNam vara-lakzaNa-aMgam
        dvātriṃśatā lakṣaṇadhāriṇaṃ jinam* /	dvAtriMSatA lakzaNa-DAriNam jinam* /
   subhāṣitaṃ sūtra mahānubhāvagaṃ	su-BAzitam sUtra mahA-anuBAva-gam
        gaṃbhīradharmaṃ nipuṇaṃ sudurdṛśam* //	gaMBIra-Darmam nipuNam su-durdRSam* //
   (Asv 135)	(Asu 135)
   prakāśitaṃ sūtram idaṃ niruttaraṃ	prakASitam sUtram idam niruttaram
        mā paścakāle parinirvṛte jine /	mA paSca-kAle parinirvRte jine /
   dhāriṣye maṃ sūtranayaṃ niruttaraṃ /	DArizye mam sUtra-nayam niruttaram /
   athāyuṣmān* śāradvatīputro bhagavantaṃ gāthābhir adhyabhāṣata /	aTa-AyuzmAn* SAradvatI-putraH Bagavantam gATABiH aDyaBAzata /
   namo 'stu te buddha mahānubhāva	namaH astu te budDa mahA-anuBAva
        prakāśitaṃ sūtram idaṃ niruttaram* /	prakASitam sUtram idam niruttaram* /
   parinirvṛtasya tava lokanāyakā	parinirvRtasya tava lokanAyakA
        likhiṣyati sūtram etaṃ niruttaram* //	liKizyati sUtram etam niruttaram* //
   na cāpi so gacchati durgatībhayaṃ	na ca-api saH gacCati durgatI-Bayam
        svargaṃ ca so gacchati kṣipram etat* //	svargam ca saH gacCati kzipram etat* //
   athāyuṣmān pūrṇo maitrāyaṇīputro bhagavantaṃ gāthābhir adhyabhāṣata |	aTa-AyuzmAn pUrNaH mEtrAyaNI-putraH Bagavantam gATABiH aDyaBAzata |
   kṛtajño bahusatvānāṃ $ mocako durgatībhayāt* &	kRtajQaH bahu-satvAnAm $ mocakaH durgatI-BayAt* &
   prakāśitaṃ tvayā sūtraṃ % gambhīraṃ buddhadakṣiṇam* //	prakASitam tvayA sUtram % gamBIram budDa-dakziNam* //
   ahaṃ hi paścime kāle $ nirvṛte tvayi nāyake &	aham hi paScime kAle $ nirvRte tvayi nAyake &
   idaṃ sūtraṃ prakāśiṣye % hitāya sarvaprāṇinām* //	idam sUtram prakASizye % hitAya sarva-prANi-nAm* //
   iti	iti
   atha brahmā sahāṃpatir bhagavantaṃ gāthābhir adhyabhāṣata |	aTa brahmA sahAMpatiH Bagavantam gATABiH aDyaBAzata |
   namo 'stu te buddha mahānubhāvā	namaH astu te budDa mahA-anuBAvA
        prakāśitaṃ sūtram idaṃ tvayā śubham* /	prakASitam sUtram idam tvayA SuBam* /
   (Asv 136)	(Asu 136)
   parinirvṛtasya tava lokanāyaka	parinirvRtasya tava loka-nAyaka
        rakṣāṃ kariṣyāmi ha sūtraratne //	rakzAm karizyAmi ha sUtra-ratne //
   atha catvāro mahārājā bhagavantaṃ gāthābhir adhyabhāṣanta |	aTa catvAraH mahA-rAjAH Bagavantam gATABiH aDyaBAzanta |
   aho [suramyaṃ] varasūtraratnaṃ	aho [suramyan] vara-sUtra-ratnam
        prakāśitaṃ īdṛśa paścakāle /	prakASitam IdRSa paSca-kAle /
   ................ sūtraratnaṃ	................ sUtra-ratnam
        prakāśitaṃ paśyati paścakāle //	prakASitam paSyati paSca-kAle //
   sugatāna vai lokavināyakānāṃ	sugatAna vE loka-vinAyakAnAm
        ahaṃ hi dhāriṣyama sūtraratnam* /	aham hi DArizyama sUtra-ratnam* /
   rakṣāṃ kariṣyāmy aha sūtraratnaṃ	rakzAm karizyAmi aha sUtra-ratnam
        imavocad bhagavān āttamanā //	im-avocat BagavAn Atta-manAH //
   sā ca sarvāvatī parṣad bhagavato bhāṣitam abhyanandat* /	sA ca sarvAvatI parzad BagavataH BAzitam aByanandat* /
   ajitasenavyakaraṇanirdeśo nāma mahāyānasūtraṃ samāptam* //	ajitasenavyakaraNa-nirdeSaH nAma mahAyAna-sUtram samAptam* //
   deyadharmo 'yaṃ bālosiṃhena sārdhaṃ bhāryājājatitrana sārdhaṃ mātāpitroḥ	deya-DarmaH ayam bAlosiMhena sArDam BAryA-jAjatitrana sArDam mAtA-pitroH
   paramaduṣkartroḥ sārdhaṃ kṣiṇīena akhiloṭiena diśoṭajāja maṃgali ...	parama-duzkartroH sArDam kziNIena aKilowiena diSowajA-ja maMgali ...
   utrayannagarvidoṭiena vaṭrari-khuśoṭi-khuśogoṭiena sārdhaṃ sarvasatvaiḥ	utrayannagarvi-dowiena vawR-ari--Ku-Sowi--KuSaH-gowiena sArDam sarva-satvEH
   sarva ... bhir yatra puṇya tadbha ... sarvasatvānām anuttaraḥ ... sārdhaṃ	sarve ... BiH yatra puNya tat-BaH ... sarva-satvAnAm anuttaraH ... sArDam
   paramakalyāṇamitrasthirabandhuena | likhitam idaṃ pustakaṃ	parama-kalyANa-mitra-sTira-banDuena | liKitam idam pustakam
   dharmabhāṇakanarendradattena |	Darma-BANaka-narendra-dattena |
