   akatvam upapannayoḥ__Vdha_100.048	aka tvam upapannayoH__VDaH _100.048
   sthāvarasya carasya ca__Vdha_066.014	sTAvarasya carasya ca__VDaH _066.014
   sthāvarasya carasya ca__Vdha_093.006	sTAvarasya carasya ca__VDaH _093.006
   sthāvarasya carasya ca__Vdha_102.069	sTAvarasya carasya ca__VDaH _102.069
   sthāvaraṃ jaṅgamaṃ vāpi__Vdha_028.040	sTAvaram jaFgamam vA api__VDaH _028.040
   sthāvarāṇi carāṇi ca__Vdha_038.048	sTAvarANi carANi ca__VDaH _038.048
   sthāvarāntāś ca bhūtayaḥ__Vdha_076.038	sTAvara antAH ca BUtayaH__VDaH _076.038
   sthāvarānteṣu bhūteṣu__Vdha_072.019	sTAvara antezu BUtezu__VDaH _072.019
   sthāvareṣu careṣu ca__Vdha_066.031	sTAvarezu carezu ca__VDaH _066.031
   sthāvareṣu careṣu ca__Vdha_070.072	sTAvarezu carezu ca__VDaH _070.072
   sthāsyanti hṛdaye katham__Vdha_065.022	sTAsyanti hRdaye kaTam__VDaH _065.022
   sthāsyāmi naratāṃ prāpto__Vdha_090.038	sTAsyAmi nara tAm prAptaH __VDaH _090.038
   sthitabrahmāṇḍadhāriṇe__Vdha_089.013	sTita brahmANxa DAriNe__VDaH _089.013
   sthitaṃ vedmi tad avyayam__Vdha_036.006	sTitam vedmi tat avyayam__VDaH _036.006
   sthitaṃ sadasataḥ param__Vdha_001.032	sTitam sat asataH param__VDaH _001.032
   sthitāv asurasūdanaḥ__Vdha_070.061	sTitO asurasUdanaH__VDaH _070.061
   sthitir lobhavivarjanam__Vdha_097.023	sTitiH loBa vivarjanam__VDaH _097.023
   sthitiṃ kartuṃ jagannāthaḥ__Vdha_076.*(123)	sTitim kartum jagannATaH__VDaH _076.*(123)
   sthito bhuñjan piban vrajan__Vdha_073.061	sTitaH BuQjan piban vrajan__VDaH _073.061
   sthitau tathā samastebhyo__Vdha_072.071	sTitO taTA samasteByaH __VDaH _072.071
   sthitau pālayitā jaya__Vdha_076.070	sTitO pAlayitA jaya__VDaH _076.070
   sthitau samastasya ca kālarūpa__Vdha_035.023	sTitO samastasya ca kAla rUpa__VDaH _035.023
   sthitau sthitas tvaṃ paripāsi viśvaṃ__Vdha_035.045	sTitO sTitaH tvam paripAsi viSvam__VDaH _035.045
   sthitau sthitaṃ pālanam eva viṣṇuḥ__Vdha_035.047	sTitO sTitam pAlanam eva vizNuH__VDaH _035.047
   sthirībhavantv acyutapādayugme__Vdha_078.070	sTirIBavantu acyuta pAda yugme__VDaH _078.070
   sthūladṛṣṭyā tu paśyanti__Vdha_038.038	sTUla dRzwyA tu paSyanti__VDaH _038.038
   sthūlasūkṣmamayaṃ sarvaṃ __Vdha_072.056	sTUla sUkzma mayam sarvan __VDaH _072.056
   sthūlasūkṣmasvarūpiṇam__Vdha_089.017	sTUla sUkzma svarUpiNam__VDaH _089.017
   sthūlānāṃ tan mahattaram__Vdha_095.012	sTUlAnAm tat mahattaram__VDaH _095.012
   sthairyalambhopapādikā__Vdha_099.027	sTErya lamBa upapAdikA__VDaH _099.027
   sthairyaṃ cetasy upāgatāḥ__Vdha_098.014	sTEryam cetasi upAgatAH__VDaH _098.014
   sthairyaṃ na caivam etat syād__Vdha_082.056	sTEryam na ca evam etat syAt __VDaH _082.056
   snātavyaṃ manasā yuktaiḥ__Vdha_055.010	snAtavyam manasA yuktEH__VDaH _055.010
   snātas tv etāv athālokya__Vdha_064.030	snAtaH tu etO aTa Alokya__VDaH _064.030
   snātasya devakāryeṣu__Vdha_105.081	snAtasya deva kAryezu__VDaH _105.081
   snātaḥ samyag upoṣitaḥ__Vdha_029.019	snAtaH samyak upozitaH__VDaH _029.019
   snātaḥ sragdāmadhārī tvaṃ__Vdha_038.034	snAtaH sraj dAma DArI tvam__VDaH _038.034
   snātā pratidinaṃ dadyāt__Vdha_022.022	snAtA pratidinam dadyAt __VDaH _022.022
   snāto nārāyaṇaṃ vakṣye__Vdha_018.008	snAtaH nArAyaNam vakzye__VDaH _018.008
   snāto niyatamānasaḥ__Vdha_007.002	snAtaH niyata mAnasaH__VDaH _007.002
   snāto niyatamānasaḥ__Vdha_018.006	snAtaH niyata mAnasaH__VDaH _018.006
   snāto niyatamānasaḥ__Vdha_030.016	snAtaH niyata mAnasaH__VDaH _030.016
   snāto niyatamānasaḥ__Vdha_079.095	snAtaH niyata mAnasaH__VDaH _079.095
   snāto 'nuliptaḥ sragdhārī__Vdha_038.028	snAtaH anuliptaH sraj DArI__VDaH _038.028
   snāto bhavati mānavaḥ__Vdha_009.002	snAtaH Bavati mAnavaH__VDaH _009.002
   snāto 'rcayitvā kṛṣṇeti__Vdha_004.041	snAtaH arcayitvA kRzNa iti__VDaH _004.041
   snāto viṣṇuṃ samabhyarcya__Vdha_031.028	snAtaH vizNum samaByarcya__VDaH _031.028
   snātvā dehaprasādhanam__Vdha_038.027	snAtvA deha prasADanam__VDaH _038.027
   snātvā samyak tam abhyarcya__Vdha_019.003	snAtvA samyak tam aByarcya__VDaH _019.003
   snānatīrthaphalaṃ param__Vdha_004.*(4)	snAna tIrTa Palam param__VDaH _004.*(4)
   snānaprāśanayos tilāḥ__Vdha_014.005	snAna prASanayoH tilAH__VDaH _014.005
   snānaprāśanayoḥ śastās__Vdha_034.006	snAna prASanayoH SastAH __VDaH _034.006
   snānaprāśanayoḥ sāmyaṃ__Vdha_089.037	snAna prASanayoH sAmyam__VDaH _089.037
   snānaprāśanaśaucavān__Vdha_030.032	snAna prASana SOcavAn__VDaH _030.032
   snānaṃ tat paramaṃ smṛtam__Vdha_055.010	snAnam tat paramam smRtam__VDaH _055.010
   snānāni ca yatavrata__Vdha_013.003	snAnAni ca yata vrata__VDaH _013.003
   snāne ca prāśane caiva__Vdha_014.006	snAne ca prASane ca eva__VDaH _014.006
   snāne devārcane home__Vdha_040.031	snAne deva arcane home__VDaH _040.031
   snānena draviṇādhikāḥ__Vdha_047.003	snAnena draviNa aDikAH__VDaH _047.003
   snānais tīrthodakair hṛdyaiḥ__Vdha_002.075	snAnEH tIrTa udakEH hRdyEH__VDaH _002.075
   snāpanaṃ daityaśārdūla__Vdha_081.006	snApanam dEtya SArdUla__VDaH _081.006
   snāpayitvā ghṛtena mām__Vdha_090.050	snApayitvA GRtena mAm__VDaH _090.050
   snāpayitvā samastebhyaḥ__Vdha_081.005	snApayitvA samasteByaH__VDaH _081.005
   snāpayed dharaṇīdharam__Vdha_018.006	snApayet DaraNIDaram__VDaH _018.006
   snāpitaḥ pūjito hariḥ__Vdha_019.017	snApitaH pUjitaH hariH__VDaH _019.017
   snāpite keśave phalam__Vdha_080.007	snApite keSave Palam__VDaH _080.007
   snāpite madhusūdane__Vdha_081.014	snApite maDusUdane__VDaH _081.014
   snāpito 'yaṃ janārdanaḥ__Vdha_081.024	snApitaH ayam janArdanaH__VDaH _081.024
   snāpyamānaṃ ca paśyati__Vdha_012.003	snApyamAnam ca paSyati__VDaH _012.003
   sparśagrahītrī rasanā rasasya__Vdha_076.026	sparSa grahItrI rasanA rasasya__VDaH _076.026
   sparśanāni naraiḥ sadā__Vdha_025.029	sparSanAni narEH sadA__VDaH _025.029
   sparśarogābhicārukāḥ__Vdha_028.011	sparSa roga aBicArukAH__VDaH _028.011
   sparśasvarūpo bhagavān samīre__Vdha_103.023	sparSa svarUpaH BagavAn samIre__VDaH _103.023
   sparśād udvijate lokaḥ__Vdha_033.007	sparSAt udvijate lokaH__VDaH _033.007
   sparśo me yātu mārutam__Vdha_068.038	sparSaH me yAtu mArutam__VDaH _068.038
   sparṣarogaiś ca dāruṇaiḥ__Vdha_028.002	sparza rogEH ca dAruNEH__VDaH _028.002
   spṛśāmi viṣṇuṃ na paraṃ tato 'nyaj__Vdha_065.017	spRSAmi vizNum na param tatas anyat __VDaH _065.017
   spṛhā kṛtā tvayā tatra__Vdha_082.062	spRhA kRtA tvayA tatra__VDaH _082.062
   spṛhāṃ yoṣit kariṣyati__Vdha_105.024	spRhAm yozit karizyati__VDaH _105.024
   spraṣṭā bhavān spraśavato 'khilasya__Vdha_103.018	sprazwA BavAn spraSavataH aKilasya__VDaH _103.018
   sphāṭikāmalasopānā__Vdha_078.008	sPAwika amala sopAnA__VDaH _078.008
   sphuṭanti yasyāmbudharāḥ samantataḥ__Vdha_039.025	sPuwanti yasya ambuDarAH samantataH__VDaH _039.025
   smarañ japann idaṃ stotraṃ__Vdha_028.*(29).006	smaran japan idam stotram__VDaH _028.*(29).006
   smaraṇaṃ ca tathāpnute__Vdha_004.043	smaraNam ca taTA Apnute__VDaH _004.043
   smaraṇaṃ tāta mānavaiḥ__Vdha_079.043	smaraNam tAta mAnavEH__VDaH _079.043
   smaraṇād upakāritvaṃ__Vdha_030.047	smaraNAt upakAri tvam__VDaH _030.047
   smarataḥ puṇḍarīkākṣaṃ__Vdha_082.059	smarataH puNxarIkAkzam__VDaH _082.059
   smaradbhir madhusūdanam__Vdha_032.068	smaradBiH maDusUdanam__VDaH _032.068
   smaranty uccārayanti ca__Vdha_088.035	smaranti uccArayanti ca__VDaH _088.035
   smarann anaśanasthitaḥ__Vdha_079.080	smaran anaSana sTitaH__VDaH _079.080
   smaran manuṣyaḥ satataṃ mahāmune__Vdha_039.003	smaran manuzyaH satatam mahA mune__VDaH _039.003
   smaran sarveśvaraṃ harim__Vdha_079.118	smaran sarveSvaram harim__VDaH _079.118
   smaraḥ sahāyo bhavitā__Vdha_102.022	smaraH sahAyaH BavitA__VDaH _102.022
   smarāmi rūpaṃ tava viśvarūpaṃ__Vdha_035.025	smarAmi rUpam tava viSva rUpam__VDaH _035.025
   smariṣyati saraś cedaṃ__Vdha_067.065	smarizyati saraH ca idam__VDaH _067.065
   smariṣyāmy aham acyutam__Vdha_089.030	smarizyAmi aham acyutam__VDaH _089.030
   smareyaṃ tvām ahaṃ sadā__Vdha_077.*(127)	smareyam tvAm aham sadA__VDaH _077.*(127)
   smaro 'pi na śaśākātha__Vdha_102.035	smaraH api na SaSAka aTa__VDaH _102.035
   smartavyaṃ ca hares tadā__Vdha_079.044	smartavyam ca hareH tadA__VDaH _079.044
   smartavyo 'ham iti prabho__Vdha_078.042	smartavyaH aham iti praBo__VDaH _078.042
   smartavyo 'ham itīritam__Vdha_079.003	smartavyaH aham iti Iritam__VDaH _079.003
   smaryate puruṣottamaḥ__Vdha_079.091	smaryate puruzottamaH__VDaH _079.091
   smitabhinnauṣṭhasaṃpuṭau__Vdha_038.029	smita Binna ozWa saMpuwO__VDaH _038.029
   smṛtamātraḥ surendrasya__Vdha_072.003	smRta mAtraH sura indrasya__VDaH _072.003
   smṛtamātrāghaghātāya__Vdha_092.015	smRta mAtra aGa GAtAya__VDaH _092.015
   smṛtamātrāghahāriṇam__Vdha_001.024	smRta mAtra aGa hAriNam__VDaH _001.024
   smṛtamātro yathā viṣṇuḥ__Vdha_092.024	smRta mAtraH yaTA vizNuH__VDaH _092.024
   smṛtaṃ tatrāpi pūjanam__Vdha_101.040	smRtam tatra api pUjanam__VDaH _101.040
   smṛtaḥ saṃpūjito dhūpa __Vdha_004.003	smRtaH saMpUjitaH DUpa __VDaH _004.003
   smṛte jagaddhātari vāsudeve__Vdha_092.026	smRte jagadDAtari vAsudeve__VDaH _092.026
   smṛte jagaddhātari vāsudeve__Vdha_092.027	smRte jagadDAtari vAsudeve__VDaH _092.027
   smṛte jagaddhātari vāsudeve__Vdha_092.028	smRte jagadDAtari vAsudeve__VDaH _092.028
   smṛte jagaddhātari vāsudeve__Vdha_092.029	smRte jagadDAtari vAsudeve__VDaH _092.029
   smṛte jagaddhātari vāsudeve__Vdha_092.030	smRte jagadDAtari vAsudeve__VDaH _092.030
   smṛte jagaddhātari vāsudeve__Vdha_092.031	smRte jagadDAtari vAsudeve__VDaH _092.031
   smṛtena kathitena ca__Vdha_067.076	smRtena kaTitena ca__VDaH _067.076
   smṛte yatrāśuciḥ suciḥ__Vdha_105.069	smRte yatra aSuciH suciH__VDaH _105.069
   smṛto 'ham arisūdana__Vdha_079.011	smRtaH aham ari sUdana__VDaH _079.011
   smṛtvāsau śāmbharāyaṇīm__Vdha_027.007	smRtvA asO SAmBarAyaNIm__VDaH _027.007
   srakcandanaṃ vastram anukrameṇa__Vdha_008.022	sraj candanam vastram anukrameNa__VDaH _008.022
   srakcandanādidigdhāṅgo__Vdha_077.077	sraj candana Adi digDa aFgaH __VDaH _077.077
   sragādibhūṣito daityaḥ__Vdha_078.004	sraj Adi BUzitaH dEtyaH__VDaH _078.004
   sraggandhadhūpānnavaropahāraiḥ__Vdha_008.020	sraj ganDa DUpa anna vara upahArEH__VDaH _008.020
   sragdāmapucchāṃ kurvīta__Vdha_086.007	sraj dAma pucCAm kurvIta__VDaH _086.007
   sragbhūṣaṇādikaṃ geyaṃ__Vdha_079.102	sraj BUzaNa Adikam geyam__VDaH _079.102
   srajo vāsāṃsi cāsura__Vdha_079.017	srajaH vAsAMsi ca asura__VDaH _079.017
   sravacchuddhasaridvare__Vdha_077.076	sravat SudDa sarit vare__VDaH _077.076
   sravanti yoṣitāṃ garbhās__Vdha_078.019	sravanti yozitAm garBAH __VDaH _078.019
   sraṣṭā pālayitā cānte__Vdha_072.057	srazwA pAlayitA ca ante__VDaH _072.057
   sraṣṭā pālayitā hartā__Vdha_073.047	srazwA pAlayitA hartA__VDaH _073.047
   sraṣṭā bhoktāsi kūṭastho__Vdha_068.034	srazwA BoktAsi kUwasTaH __VDaH _068.034
   sraṣṭāraṃ sarvabhūtānām__Vdha_068.012	srazwAram sarva BUtAnAm__VDaH _068.012
   sraṣṭṛtve saṃsthitaṃ sṛṣṭau__Vdha_070.060	srazwR tve saMsTitam sRzwO__VDaH _070.060
   sraṣṭre namaḥ pālayitre sthitau ca__Vdha_072.067	srazwre namaH pAlayitre sTitO ca__VDaH _072.067
   srotaś ca yāvad gaṅgāyāṃ__Vdha_079.065	srotaH ca yAvat gaFgAyAm__VDaH _079.065
   svakarmaṇā dhanaṃ labdhvā__Vdha_040.002	sva karmaNA Danam labDvA__VDaH _040.002
   svakarmanirataṃ nityaṃ__Vdha_030.005	sva karma niratam nityam__VDaH _030.005
   svakarmaniratāḥ prajāḥ__Vdha_104.029	sva karma niratAH prajAH__VDaH _104.029
   svakarmabhir manuṣyāṇām__Vdha_094.002	sva karmaBiH manuzyANAm__VDaH _094.002
   svakarmasthāḥ kriyāvantaḥ__Vdha_104.037	sva karma sTAH kriyAvantaH__VDaH _104.037
   svakarmābhiratā narāḥ__Vdha_074.027	sva karma aBiratAH narAH__VDaH _074.027
   svakarmābhyarcito yathā__Vdha_072.097	sva karma aByarcitaH yaTA__VDaH _072.097
   svakāraṇam akāraṇam__Vdha_102.012	sva kAraNam akAraNam__VDaH _102.012
   svakīyadravyasaṃtuṣṭā__Vdha_074.014	svakIya dravya saMtuzwA__VDaH _074.014
   svakṣeṇa cārucipukaḥ__Vdha_099.020	svakzeNa ca arucipukaH__VDaH _099.020
   svagurur brahmacāriṇaḥ__Vdha_004.032	sva guruH brahmacAriNaH__VDaH _004.032
   svagocaram ariḥ prāptaḥ__Vdha_072.036	sva gocaram ariH prAptaH__VDaH _072.036
   svagotrāt puruṣarṣabha__Vdha_105.021	sva gotrAt puruza RzaBa__VDaH _105.021
   svacittavaśavartinā__Vdha_093.011	sva citta vaSavartinA__VDaH _093.011
   svajātivihitaṃ karma__Vdha_042.004	sva jAti vihitam karma__VDaH _042.004
   svajātivihitaṃ karma__Vdha_042.008	sva jAti vihitam karma__VDaH _042.008
   svadharmato haris teṣāṃ__Vdha_073.004	svaDarmataH hariH tezAm__VDaH _073.004
   svadharmaparipālanam__Vdha_073.054	svaDarma paripAlanam__VDaH _073.054
   svadharmaparipālanāt__Vdha_025.012	svaDarma paripAlanAt __VDaH _025.012
   svadharmam anuvartatām__Vdha_101.008	svaDarmam anuvartatAm__VDaH _101.008
   svadharmaṃ saṃtyajed yas tu__Vdha_064.047	svaDarmam saMtyajet yaH tu__VDaH _064.047
   svadharmād acalan devi__Vdha_074.033	svaDarmAt acalan devi__VDaH _074.033
   svanābhipadmodaraśāyine ca__Vdha_072.066	sva nABi padmodara SAyine ca__VDaH _072.066
   svanuliptaḥ subhūṣitaḥ__Vdha_038.034	su anuliptaH su BUzitaH__VDaH _038.034
   svanulipte mahābhāge__Vdha_031.030	su anulipte mahABAge__VDaH _031.030
   svanulipte mahīpṛṣṭe__Vdha_086.004	su anulipte mahI pRzwe__VDaH _086.004
   svapañ jāgrat paṭhed yas tu__Vdha_068.047	svapan jAgrat paWet yaH tu__VDaH _068.047
   svapantaś ca naravyāghra__Vdha_105.056	svapantaH ca nara vyAGra__VDaH _105.056
   svapantaḥ saṃsthitā yāntas__Vdha_073.018	svapantaH saMsTitAH yAntaH __VDaH _073.018
   svapan vibuddhaḥ praṇaman__Vdha_018.009	svapan vibudDaH praNaman__VDaH _018.009
   svapan vibuddhaḥ skhalito__Vdha_015.004	svapan vibudDaH sKalitaH __VDaH _015.004
   svapan vibuddhyann uttiṣṭhan__Vdha_073.061	svapan vibudDyan uttizWan__VDaH _073.061
   svapan vibudhyan gacchaṃś ca__Vdha_089.030	svapan vibuDyan gacCan ca__VDaH _089.030
   svapan vibudhyan dhyāyaṃś ca__Vdha_068.005	svapan vibuDyan DyAyan ca__VDaH _068.005
   svapaṃś cintaya mādhavam__Vdha_001.062	svapan cintaya mADavam__VDaH _001.062
   svapaṃs tiṣṭhann athāpi vā__Vdha_079.133	svapan tizWan aTa api vA__VDaH _079.133
   svapauruṣaparo bhava__Vdha_072.080	sva pOruza paraH Bava__VDaH _072.080
   svapauruṣam upāśritāḥ__Vdha_072.081	sva pOruzam upASritAH__VDaH _072.081
   svapnā hi sumahābhāga__Vdha_067.003	svapnAH hi su mahABAga__VDaH _067.003
   svapne dṛṣṭaḥ śubhāvahaḥ__Vdha_093.007	svapne dRzwaH SuBa AvahaH__VDaH _093.007
   svapneṣv api hi durlabham__Vdha_002.050	svapnezu api hi durlaBam__VDaH _002.050
   svapratiṣṭham anopamam__Vdha_100.033	sva pratizWam anopamam__VDaH _100.033
   svapratiṣṭhaṃ ca tat param__Vdha_095.007	sva pratizWam ca tat param__VDaH _095.007
   svabhartṛsalilāñjalim__Vdha_022.022	sva BartR salila aQjalim__VDaH _022.022
   svabhāvatejasā yuktaṃ__Vdha_078.057	svaBAva tejasA yuktam__VDaH _078.057
   svabhāvatejasā yuktaṃ__Vdha_078.*(131)	svaBAva tejasA yuktam__VDaH _078.*(131)
   svabhāvam antarātmānam__Vdha_095.025	svaBAvam antarAtmAnam__VDaH _095.025
   svabhāvād eva nirghṛṇaḥ__Vdha_069.002	svaBAvAt eva nirGRNaH__VDaH _069.002
   svabhāvād eva śaktayaḥ__Vdha_100.035	svaBAvAt eva SaktayaH__VDaH _100.035
   svabhāvo buddhir eva ca__Vdha_095.028	svaBAvaH budDiH eva ca__VDaH _095.028
   svamāyābālarūpāya__Vdha_090.032	sva mAyA bAla rUpAya__VDaH _090.032
   svam āśramaṃ svam ācāraṃ__Vdha_104.030	svam ASramam svam AcAram__VDaH _104.030
   svamāṃsasyeva bhakṣaṇam__Vdha_064.057	sva mAMsasya iva BakzaNam__VDaH _064.057
   svamāṃsaṃ paramāṃsena__Vdha_062.011	sva mAMsam para mAMsena__VDaH _062.011
   svayam atti prajāḥ prabhuḥ__Vdha_077.015	svayam atti prajAH praBuH__VDaH _077.015
   svayam ātmā niveditaḥ__Vdha_018.014	svayam AtmA niveditaH__VDaH _018.014
   svayam ādāsyate hariḥ__Vdha_077.022	svayam AdAsyate hariH__VDaH _077.022
   svayam indro naro bhūtvā__Vdha_063.006	svayam indraH naraH BUtvA__VDaH _063.006
   svayam eva janārdanaḥ__Vdha_035.008	svayam eva janArdanaH__VDaH _035.008
   svayam eva prakāśate__Vdha_096.032	svayam eva prakASate__VDaH _096.032
   svayaṃ tad eva cāśnīyāc__Vdha_019.013	svayam tat eva ca aSnIyAt __VDaH _019.013
   svayaṃdṛṣṭa jayeśvara__Vdha_076.072	svayaMdRzwa jaya ISvara__VDaH _076.072
   svayaṃ devena bhāṣitam__Vdha_013.027	svayam devena BAzitam__VDaH _013.027
   svayaṃ devena śaṃbhunā__Vdha_022.035	svayam devena SaMBunA__VDaH _022.035
   svayaṃbhuvaṃ prabhavan nidhānam avyayam__Vdha_006.023	svayaMBuvam praBavan niDAnam avyayam__VDaH _006.023
   svayaṃbhuvaṃ meḍhramadhye__Vdha_028.*(18).038	svayaMBuvam meXra maDye__VDaH _028.*(18).038
   svayaṃ yathābhilaṣitaṃ__Vdha_022.016	svayam yaTA aBilazitam__VDaH _022.016
   svarūpaceṣṭitaṃ yat te__Vdha_090.034	svarUpa cezwitam yat te__VDaH _090.034
   svarūpadhāriṇaś cainaṃ__Vdha_072.110	sva rUpa DAriNaH ca enam__VDaH _072.110
   svarūpa bhagavaṃs tava__Vdha_066.024	svarUpa Bagavan tava__VDaH _066.024
   svarūpam ajam avyayam__Vdha_072.056	svarUpam ajam avyayam__VDaH _072.056
   svarūpam atighorasya__Vdha_094.060	sva rUpam ati Gorasya__VDaH _094.060
   svarūpam avanīpate__Vdha_100.060	sva rUpam avanIpate__VDaH _100.060
   svarūpam ārogyam atīva varcasaṃ__Vdha_029.*(30)	sva rUpam Arogyam atIva varcasam__VDaH _029.*(30)
   svarūparūpī paripāti yo jagat__Vdha_039.011	sva rUpa rUpI paripAti yaH jagat __VDaH _039.011
   svarūpaśaktiḥ sā tasya__Vdha_040.045	svarUpa SaktiH sA tasya__VDaH _040.045
   svarūpaṃ ca jagaddhātur__Vdha_104.001	svarUpam ca jagadDAtuH __VDaH _104.001
   svarūpaṃ jagato devau__Vdha_038.051	svarUpam jagataH devO__VDaH _038.051
   svarūpaṃ tu na me proktaṃ__Vdha_099.001	svarUpam tu na me proktam__VDaH _099.001
   svarūpaṃ nārakasyāgneḥ__Vdha_023.025	svarUpam nArakasya agneH__VDaH _023.025
   svarūpaṃ nārakair yat tu__Vdha_023.002	svarUpam nArakEH yat tu__VDaH _023.002
   svarūpaṃ paramātmanaḥ__Vdha_079.021	svarUpam paramAtmanaH__VDaH _079.021
   svarūpaṃ paramātmanaḥ__Vdha_079.123	svarUpam paramAtmanaH__VDaH _079.123
   svarūpaṃ brahmaṇaś coktam__Vdha_096.034	svarUpam brahmaNaH ca uktam__VDaH _096.034
   svarūpaṃ yan mayā tava__Vdha_066.025	svarUpam yat mayA tava__VDaH _066.025
   svarūpaṃ vyatiricyate__Vdha_089.019	svarUpam vyatiricyate__VDaH _089.019
   svarūpaṃ harim īśvaram__Vdha_005.004	svarUpam harim ISvaram__VDaH _005.004
   svarūpāyātivedhase__Vdha_092.010	svarUpa AyAti veDase__VDaH _092.010
   svarūpeṇa nṛpātmanaḥ__Vdha_099.030	sva rUpeNa nRpa AtmanaH__VDaH _099.030
   svarūpaikavidha prabho__Vdha_076.076	svarUpA ekaviDa praBo__VDaH _076.076
   svarūpaiḥ saṃsthitaṃ tridhā__Vdha_072.018	svarUpEH saMsTitam triDA__VDaH _072.018
   svarūpo 'tibhayaṃkara__Vdha_025.020	svarUpaH ati BayaMkara__VDaH _025.020
   svargakāmena me bhartrā__Vdha_081.030	svarga kAmena me BartrA__VDaH _081.030
   svargatiḥ prīyatām iti__Vdha_084.022	svargatiH prIyatAm iti__VDaH _084.022
   svargadvāram abhūn maitraṃ__Vdha_077.058	svarga dvAram aBUt mEtram__VDaH _077.058
   svargaprāptir iyaṃ tasya__Vdha_081.022	svarga prAptiH iyam tasya__VDaH _081.022
   svargamargam abhīpsatā__Vdha_049.011	svarga margam aBIpsatA__VDaH _049.011
   svargamuktiphale hi te__Vdha_038.072	svarga mukti Pale hi te__VDaH _038.072
   svargalokagatiṃ vrajet__Vdha_004.045	svarga loka gatim vrajet __VDaH _004.045
   svargaloke 'bhikāṅkṣitān__Vdha_019.026	svarga loke aBikAFkzitAn__VDaH _019.026
   svargaloke 'bhijāyate__Vdha_036.028	svarga loke aBijAyate__VDaH _036.028
   svargaloke 'maro bhavet__Vdha_007.023	svarga loke amaraH Bavet __VDaH _007.023
   svargaloke mahīyate__Vdha_005.027	svarga loke mahIyate__VDaH _005.027
   svargaloke mahīyate__Vdha_006.018	svarga loke mahIyate__VDaH _006.018
   svargaloke mahīyate__Vdha_034.007	svarga loke mahIyate__VDaH _034.007
   svargaloke mahīyate__Vdha_046.014	svarga loke mahIyate__VDaH _046.014
   svargaloke mahīyate__Vdha_056.026	svarga loke mahIyate__VDaH _056.026
   svargaloke mahīyate__Vdha_056.031	svarga loke mahIyate__VDaH _056.031
   svargaloke mahīyate__Vdha_058.011	svarga loke mahIyate__VDaH _058.011
   svargaloke mahīyate__Vdha_059.002	svarga loke mahIyate__VDaH _059.002
   svargaloke mahīyate__Vdha_059.006	svarga loke mahIyate__VDaH _059.006
   svargaloke mahīyate__Vdha_060.013	svarga loke mahIyate__VDaH _060.013
   svargaloke sahasrāṇi__Vdha_019.026	svarga loke sahasrANi__VDaH _019.026
   svargavāsaṃ ca vindati__Vdha_062.032	svarga vAsam ca vindati__VDaH _062.032
   svargavāsākṣayatvaṃ ca__Vdha_027.029	svarga vAsa akzaya tvam ca__VDaH _027.029
   svargasaṃvāsadaṃ matam__Vdha_027.024	svarga saMvAsa dam matam__VDaH _027.024
   svargasthānādhipo hi saḥ__Vdha_031.015	svarga sTAna aDipaH hi saH__VDaH _031.015
   svargasthā ye manīṣiṇaḥ__Vdha_027.022	svarga sTAH ye manIziNaH__VDaH _027.022
   svargasthair bhujyate naraiḥ__Vdha_024.003	svarga sTEH Bujyate narEH__VDaH _024.003
   svargaṃ gacchaty asaṃśayam__Vdha_031.031	svargam gacCati asaMSayam__VDaH _031.031
   svargaṃ gatas tathā bhrātā__Vdha_065.005	svargam gataH taTA BrAtA__VDaH _065.005
   svargaṃ devatvam īpsavaḥ__Vdha_064.005	svargam deva tvam IpsavaH__VDaH _064.005
   svargaṃ dravyamayaiśvaryaṃ__Vdha_027.028	svargam dravya maya ESvaryam__VDaH _027.028
   svargaṃ satyena gacchati__Vdha_055.004	svargam satyena gacCati__VDaH _055.004
   svargaḥ parṇāśano bhavet__Vdha_047.002	svargaH parNa aSanaH Bavet __VDaH _047.002
   svargān mahīm ucchritavīryadhairyaḥ__Vdha_035.043	svargAt mahIm ucCrita vIrya DEryaH__VDaH _035.043
   svargāpavargaphaladaṃ__Vdha_088.074	svarga apavarga Pala dam__VDaH _088.074
   svargāpavargaphalado__Vdha_075.019	svarga apavarga Pala daH __VDaH _075.019
   svargīyam apy āha hiraṇyadānam__Vdha_048.004	svargI iyam api Aha hiraNya dAnam__VDaH _048.004
   svarge 'tiśobhanāṃ dṛṣṭvā__Vdha_081.016	svarge ati SoBanAm dRzwvA__VDaH _081.016
   svarge dhiṣṇyam avāpnute__Vdha_031.012	svarge DizNyam avApnute__VDaH _031.012
   svarge 'psarobhiḥ saha bhuktabhogas__Vdha_048.*(56)	svarge apsaroBiH saha Bukta BogaH __VDaH _048.*(56)
   svarge bhuṅkte sukhāny api__Vdha_021.010	svarge BuFkte suKAni api__VDaH _021.010
   svarge vasati bhūmidaḥ__Vdha_060.002	svarge vasati BUmi daH__VDaH _060.002
   svarge vāpi bhūloke vā__Vdha_102.008	svarge vA api BU loke vA__VDaH _102.008
   svarge satyaparā nityaṃ__Vdha_055.008	svarge satya parAH nityam__VDaH _055.008
   svargaiṣiṇas tatra cayaiḥ prayānti__Vdha_061.016	svarga eziNaH tatra cayEH prayAnti__VDaH _061.016
   svargaukasāṃ nivāseṣu__Vdha_080.025	svargOkasAm nivAsezu__VDaH _080.025
