   atha sāṃkhyatattvapradīpaḥ /	aTa sAMKya-tattva-pradIpaH /
   pramādādvigalitāṅgapaṭā cedavalokyate parapuruṣeṇa tadā 'sau tathā	pramAdAt-vigalita-aFga-pawA ced-avalokyate para-puruzeNa tadA asO taTA
   pravartate 'pramattāṃ yathaināṃ punaḥ puruṣāntarāni na paśyanti tathā	pravartate apramattAm yaTA-enAm punar puruza-antarAni na paSyanti taTA
   prakṛtiḥ kulavadhūto 'pyadhikā dṛṣṭā biṃbakena punarna darśanamārgameti /	prakRtiH kula-vaDUtaH api-aDikA dRzwA biMbakena punar-na darSanam-Argam-eti /
   uktaṃ ca /	uktam ca /
        prakṛteḥ sukumārataraṃ na kiñcidastīti me matirbhavati /	prakRteH sukumArataram na kiQcid-asti-iti me matiH-Bavati /
        yā dṛṣṭāsmīti punarna darśanamupaiti puruṣasyeti //	yA dRzwA-asmi-iti punar-na darSanam-upEti puruzasya-iti //
        dharmo jñānaṃ virāga aiśvaryamiti sāttvikā buddhidharmāḥ /	DarmaH jQAnam virAga ESvaryam-iti sAttvikAH budDi-DarmAH /
        adharmājñānāvairāgyānaiśvaryābhidhānāścatvārastāmasāḥ /	aDarma-ajQAna-avErAgya-anESvarya-aBiDAnAH-catvAraH-tAmasAH /
   atra jñānavarjitaiḥ saptabhiḥ prakṛtirbadhnātyātmānaṃ vivekakhyātyā	atra jQAna-varjitEH saptaBiH prakRtiH-baDnAti-AtmAnam viveka-KyAtyA
   prakṛtipuruṣānyatājñānena saiva vimocayati / uktañca /	prakRti-puruza-anya-tA-jQAnena sA-eva vimocayati / uktaQca /
        rūpaiḥ saptabhirevambadhnātyātmānamātmanā prakṛtiḥ /	rUpEH saptaBiH-evambaDnAti-AtmAnam-AtmanA prakRtiH /
        saiva ca puruṣārthama prati vimocayatyekarūpeṇa //	sA-eva ca puruza-arTama prati vimocayati-eka-rUpeNa //
        yathā vidrumamaṇimauktikaśuktimakarakacchapanāgaśaṃkhakapardakādīn	yaTA vidruma-maNi-mOktika-Sukti-makara-kacCapa-nAga-SaMKaka-pardaka-AdIn
   vihāya paramakāruṇikena līlāvigrahadhāriṇā bhagavatā ratnyānyeva	vihAya parama-kAruNikena lIlA-vigraha-DAriNA BagavatA ratnyAni-A-iva
   samuddhṛtānyudadherdevasamṛddhyarthaṃ tathā jalpatarkābhāsākhyā	samudDRtAni-udaDeH-deva-samRdDi-arTam taTA jalpa-tarka-ABAsa-AKyA
   'nyatrasulabhaprameyavitaṇḍādīṃśca vihāya	anyatra-sulaBa-prameya-vitaNxa-AdIn=-ca vihAya
   sāṃkhyamātaikalabhyaprameyaratnāni sāṃkhyataṃtrādhyayanapariśramālasānāṃ	sAMKya-mAtA-eka-laBya-prameya-ratnAni sAMKya-taMtra-aDyayana-pariSrama-alasAnAm
   sāṃkhyatantrodadhermayā samuddhṛtāni /	sAMKya-tantra-udaDeH-mayA samudDRtAni /
        rāmakṛṣṇakathā yāvadyāvaccandradivākarau /	rAma-kRzNa-kaTA yAvat-yAvat-candra-divAkarO /
        sāṃkhyatattvapradīpo 'yaṃ tāvadastu mahītale //	sAMKya-tattva-pradIpaH ayam tAvat-astu mahI-tale //
        iti	iti
   śrīmatparamahaṃsaparivrājakācāryapūjyapādaśrīvaikuṇṭhaśiṣyayatikavirājayatiprakāśitaḥ	SrImat-paramahaMsa-parivrAjaka-AcArya-pUjya-pAda-SrI-vEkuNWa-Sizya-yati-kavi-rAja-yati-prakASitaH
   sāṃkhyatattvapradīpaḥ samāptaḥ //	sAMKya-tattva-pradIpaH samAptaH //
