   Skandapurāṇa: Revākhaṇḍa (RKS)	SkandapurANa: RevAKaNxa (RKS)
   nirgato bahubhiḥ sārdhaṃ paṭhyamāna itas tataḥ /	nirgataH bahuBiH sArDam paWyamAnaH itas tatas /
   taddṛṣṭvā mahadāścaryarūpaṃ devasya bhārata // RKS_76.24 //	tat dRzwvA mahat AScarya rUpam devasya BArata // RKH _76.24 //
   yuvatījanaḥ pramattaś ca kāmena kaluṣīkṛtaḥ /	yuvatI janaH pramattaH ca kAmena kaluzIkRtaH /
   surūpaṃ paramaṃ dṛṣṭvā sarvās tāś ca varānanāḥ // RKS_76.25 //	surUpam paramam dRzwvA sarvAH tAH ca varAnanAH // RKH _76.25 //
   kleśabhāvaṃ tadāgacchan yāś ca dāruvane striyaḥ /	kleSa BAvam tadA agacCan yAH ca dAru vane striyaH /
   vikārā bahavas tāsāṃ devaṃ dṛṣṭvā manojavam // RKS_76.26 //	vikArAH bahavaH tAsAm devam dRzwvA manojavam // RKH _76.26 //
   saṃjātā viprapatnīnāṃ tāṃ śṛṇuṣva nṛpottama /	saMjAtAH vipra patnInAm tAm SRNuzva nRpa uttamaH /
   paridhānaṃ na jānanti paribhraṣṭaṃ karodyatāḥ // RKS_76.27 //	pariDAnam na jAnanti pariBrazwam kara udyatAH // RKH _76.27 //
   dātukāmā tathā bhaikṣyaṃ ceṣṭituṃ naiva śakyate /	dAtu kAmA taTA BEkzyam cezwitum na eva Sakyate /
   kācid dṛṣṭvā mahādevaṃ rūpayauvanagarvitā // RKS_76.28 //	kAcid dRzwvA mahAdevam rUpa yOvana garvitAH // RKH _76.28 //
   utsaṅge saṃsthitaṃ vālaṃ patitaṃ vyasmarat tataḥ /	utsaFge saMsTitam vAlam patitam vyasmarat tatas /
   kāmabāṇahatā cānyā bāhubhyāṃ pīḍati stanau // RKS_76.29 //	kAma bANa hatA ca anyAH bAhuByAm pIxati stanO // RKH _76.29 //
   niḥśvasantī tathā cānyā na kiṃcit parijalpate /	niHSvasantI taTA ca anyA na kiMcid parijalpate /
   evam akṣobhayat sarvā maheśaḥ patidevatāḥ // RKS_76.30 //	evam akzoBayat sarvAH maheSaH pati devatAH // RKH _76.30 //
   cālitāstā viditvā tu nirjagmur dvārisatvarāḥ /	cAlitAH tAH viditvA tu nirjagmuH dvAri satvarAH /
   saṃcitāḥ paramaṃ kṛtvā sarvā devo maheśvaraḥ // RKS_76.31 //	saMcitAH paramam kRtvA sarvAH devaH maheSvaraH // RKH _76.31 //
   kṣobhayitvā gaṇaṃ strīṇāṃ gataś cādarśanaṃ ca tam /	kzoBayitvA gaNam strINAm gataH ca adarSanam ca tam /
   tato vipragaṇaḥ sarvaḥ samāyāto dadarśa ha // RKS_76.32 //	tatas vipra gaNaH sarvaH samAyAtaH dadarSa ha // RKH _76.32 //
   kṣobhitaṃ strījanaṃ sarvaṃ hareṇa krodhamāviśat /	kzoBitam strI janam sarvam hareNa kroDam AviSat /
   krodhāviṣṭo dvijaḥ kaścid daṇḍam udyamya dhāvati // RKS_76.33 //	kroDa AvizwaH dvijaH kaScid daNxam udyamya DAvati // RKH _76.33 //
   kuṭhārahasto hy aparas tathānyo darbhamuṣṭimān /	kuWAra hastaH hi aparaH taTA anyaH darBa muzwimAn /
   itaścetaśca te sarve bhramitvā tac ca kānanam // RKS_76.34 //	itas ca itas ca te sarve BramitvA tat ca kAnanam // RKH _76.34 //
   ekībhūtā mahātmāno vyājahuś ca ruṣā giram /	ekIBUtAH mahAtmAnaH vyAjahuH ca ruzA giram /
   yadi dattaṃ hutaṃ kiṃcid guravastoṣitā yadi // RKS_76.35 //	yadi dattam hutam kiMcid guravaH tozitAH yadi // RKH _76.35 //
   tena satyena devasya liṅgaṃ patatu bhūtale /	tena satyena devasya liFgam patatu BU tale /
   evaṃ satyaprabhāveṇa vacanena dvijanmanām // RKS_76.36 //	evam satya praBAveNa vacanena dvijanmanAm // RKH _76.36 //
   devasya paśyato liṅgaṃ patitaṃ dharaṇītale /	devasya paSyataH liFgam patitam DaraNI tale /
   hāhākāro mahānāsīl lokāloke tu bhārata // RKS_76.37 //	hAhAkAraH mahAn AsIt lokAloke tu BArata // RKH _76.37 //
   devasya patitaṃ liṅgaṃ jagaty eva mahākṣayam /	devasya patitam liFgam jagati eva mahA kzayam /
   patamānasya liṅgasya śabdo 'bhūt tatra dāruṇaḥ // RKS_76.38 //	patamAnasya liFgasya SabdaH aBUt tatra dAruNaH // RKH _76.38 //
   patanti parvatāgrāṇi śoṣam āyānti sāgarāḥ /	patanti parvata agrANi Sozam AyAnti sAgarAH /
   devasya patite liṅge vimānair devadānavāḥ // RKS_76.39 //	devasya patite liFge vimAnEH deva dAnavAH // RKH _76.39 //
   sametya sahitāḥ sarve brahmaṇā parameṣṭhinā /	sametya sahitAH sarve brahmaNA paramezWinA /
   kṛtāñjalipuṭā devaṃ stuvanti vividhaiḥ stavaiḥ // RKS_76.40 //	kRta aQjali puwAH devam stuvanti viviDEH stavEH // RKH _76.40 //
   tatas tuṣṭo jagannātho devānāṃ varado 'bhavat /	tatas tuzwaH jagannATaH devAnAm vara daH aBavat /
   devo 'pi patite liṅge śāpena dharaṇītale // RKS_76.41 //	devaH api patite liFge SApena DaraNI tale // RKH _76.41 //
   gatvā dāruvanaṃ viprāṃs toṣayāmāsa bhārata /	gatvA dAru vanam viprAn tozayAmAsa BArata /
   viśvāmitro vaśiṣṭhādyā jābālir atha kāśyapaḥ // RKS_76.42 //	viSvAmitraH vaSizWa AdyAH jAbAliH aTa kASyapaH // RKH _76.42 //
   sametya sahitāḥ sarve tam ūcus tripurāntakam /	sametya sahitAH sarve tam UcuH tripurAntakam /
   mahājano 'pi balavān nāvajñeyaḥ sureśvaraḥ // RKS_76.43 //	mahAjanaH api balavAn na avajQeyaH sureSvaraH // RKH _76.43 //
   kṣāntiyukto 'pi bhūtvā ca bhaviṣyasi gataklamaḥ /	kzAnti yuktaH api BUtvA ca Bavizyasi gata klamaH /
   vidhvaṃsitā vipradārā yad etal liṅgam uttamam // RKS_76.44 //	viDvaMsitA vipradArAH yat etat liFgam uttamam // RKH _76.44 //
   patitaṃ te mahādeva etat puṇyaṃ bhaviṣyati /	patitam te mahAdevaH etat puNyam Bavizyati /
   tatpuṇyaṃ nāgnihotreṇa agniṣṭomair na labhyate // RKS_76.45 //	tat puNyam na agnihotreNa agnizwomEH na laByate // RKH _76.45 //
   yaccharma rudra prāpsyanti mānavā liṅgapūjayā /	yat Sarma rudra prApsyanti mAnavAH liFga pUjayA /
   devānāṃ caiva yakṣāṇāṃ gandharvoragarakṣasām // RKS_76.46 //	devAnAm ca eva yakzANAm ganDarva uraga rakzasAm // RKH _76.46 //
   vacanena tu viprāṇām etat puṇyaṃ bhaviṣyati /	vacanena tu viprANAm etat puNyam Bavizyati /
   brahmaviṣṇvindrarudrāṇāṃ darśanena ca yatphalam // RKS_76.47 //	brahma vizNu indra rudrANAm darSanena ca yat Palam // RKH _76.47 //
   tatphalaṃ tasya liṅgasya darśane sakalaṃ labhet /	tad Palam tasya liFgasya darSane sakalam laBet /
   evam ukto jagannāthaḥ praṇipatya dvijottamān // RKS_76.48 //	evam uktaH jagannATaH praNipatya dvijottamAn // RKH _76.48 //
   mudā paramayā yuktas tāṃś caiva pratyabhāṣata /	mudA paramayA yuktaH tAn ca eva pratyaBAzata /
   brāhmaṇā jaṅgamaṃ tīrthaṃ nirjalaṃ sarvakāmikam // RKS_76.49 //	brAhmaNAH jaFgamam tIrTam nirjalam sarva kAmikam // RKH _76.49 //
   yeṣāṃ vākyodayenaiva śuddhyanti malanā janāḥ /	yezAm vAkya udayena eva SudDyanti malanAH janAH /
   kiṃcit tīrthaṃ na hi kṣetramūṣaraṃ gahvarāṇi ca // RKS_76.50 //	kiMcid tIrTam na hi kzetram Uzaram gahvarANi ca // RKH _76.50 //
   brāhmaṇāc chreṣṭham uddiṣṭaṃ yatra gatvā viśuddhyati /	brAhmaNAt SrezWam uddizwam yatra gatvA viSudDi ati /
   pṛthivyāṃ yāni tīrthāni gaṅgādyāḥ saritas tathā // RKS_76.51 //	pRTivyAm yAni tIrTAni gaFgA AdyAH saritaH taTA // RKH _76.51 //
   ekasyā vipravākyasya kalā nārhanti ṣoḍaśīm /	ekasyAH vipra vAkyasya kalA na arhanti zoxaSIm /
   abhinandya dvijān sarvān anujñāto mahānṛṣiḥ // RKS_76.52 //	aBinandya dvijAn sarvAn anujQAtaH mahAn RziH // RKH _76.52 //
   tato 'gāc ca mahādevo narmadātaṭam uttamam /	tatas agAt ca mahAdevaH narmadA tawam uttamam /
   parama vratam āsthāya guhāvāsaṃ mahārbudam // RKS_76.53 //	parama vratam AsTAya guhA vAsam mahA arbudam // RKH _76.53 //
   maunaṃ cacāra bhagavāñjapadhyānarataḥ sadā /	mOnam cacAra BagavAn japa DyAna rataH sadA /
   samāpte niyame tāta sthāpayitvā maheśvaram // RKS_76.54 //	samApte niyame tAta sTApayitvA maheSvaram // RKH _76.54 //
   vandyamānaḥ suraiḥ sārdhaṃ kailāsam agamat prabhuḥ /	vandyamAnaH surEH sArDam kElAsam agamat praBuH /
   narmadāyās taṭe yena sthāpitaḥ parameśvaraḥ // RKS_76.55 //	narmadAyAH tawe yena sTApitaH parameSvaraH // RKH _76.55 //
   tenaiva kāraṇenāsau narmadeśvaramuttamam /	tena eva kAraNena asO narmadeSvaram uttamam /
   yad yad ācarati śreṣṭhas tattad evetaro janaḥ // RKS_76.56 //	yat yat Acarati SrezWaH tat tat eva itaraH janaH // RKH _76.56 //
   sa yatpramāṇaṃ kurute lokas tad anuvartate /	sa yat pramANam kurute lokaH tat anuvartate /
   tatra tīrthe naraḥ snātvā vidhinā sujitendriyaḥ // RKS_76.57 //	tatra tIrTe naraH snAtvA viDinA su jita indriyaH // RKH _76.57 //
   arcayitvā mahādevam aśvamedhaphalaṃ labhet /	arcayitvA mahAdevam aSvameDa Palam laBet /
   pitṛbhyo dadate yas tu tilapuṣpakuśodakam // RKS_76.58 //	pitRByaH dadate yaH tu tila puzpa kuSa udakam // RKH _76.58 //
   trisaptapuruṣās tasya svarge pāṇḍava modante /	tri sapta puruzAH tasya svarge pANxava modante /
   yas tu bhojayate viprān yathāśaktyā narottamaḥ // RKS_76.59 //	yaH tu Bojayate viprAn yaTASaktyA nara uttamaH // RKH _76.59 //
   tasya tīrthaprabhāveṇa dattaṃ bhavati cākṣayam /	tasya tIrTa praBAveNa dattam Bavati ca akzayam /
   suvarṇaṃ rajataṃ vāpi brāhmaṇebhyo yudhiṣṭhira // RKS_76.60 //	suvarNam rajatam vA api brAhmaNeByaH yuDizWira // RKH _76.60 //
   dadate toyam āspṛśya so 'gniṣṭomaphalaṃ labhet /	dadate toyam AspRSya saH agnizwoma Palam laBet /
   aṣṭamyāṃ ca caturdaśyāṃ pūjayec ca viśeṣataḥ // RKS_76.61 //	azwamyAm ca caturdaSyAm pUjayet ca viSezataH // RKH _76.61 //
   narmadeśvaram āsādya avāptaṃ janmanaḥ phalam /	narmadeSvaram AsAdya avAptam janmanaH Palam /
   agniveśe jale vāpi anāśakamṛtaś ca yaḥ // RKS_76.62 //	agniveSe jale vA api anASaka mRtaH ca yaH // RKH _76.62 //
   anivartikā gatis tasya yathā me śaṅkaro 'bravīt /	anivartikA gatiH tasya yaTA me SaFkaraH abravIt /
   etat kīrtayate yas tu narmadeśvaram uttamam // RKS_76.63 //	etat kIrtayate yaH tu narmadeSvaram uttamam // RKH _76.63 //
   bhaktyā śṛṇoti yo rājann aśvamedhaphalaṃ labhet // RKS_76.64 //	BaktyA SRNoti yaH rAjan aSvameDa Palam laBet // RKH _76.64 //
   iti śrīskandapurāṇe revākhaṇḍe dāruvanaprasaṅge narmadeśvarakīrtanaṃ nāma	iti SrI skandapurANe revAKaNxe dAru vana prasaFge narmadeSvara kIrtanam nAma
   ṣaṭsaptatitamo 'dhyāyaḥ ||	zawsaptatitamaH aDyAyaH ||
   RKS adhyāya 77	RKH aDyAyaH 77
   tato gacchec ca rājendra kapilātīrtham uttamam /	tatas gacCet ca rAja indra kapilAtIrTam uttamam /
   snānamātraḥ prasaṅgena narmadeśvarakīrtanam // RKS_77.1 //	snAna mAtraH prasaFgena narmadeSvara kIrtanam // RKH _77.1 //
   tasmiṃs tīrthe tu rājendra kapilāṃ yaḥ prayacchati /	tasmin tIrTe tu rAja indra kapilAm yaH prayacCati /
   yāvanti romakūpāni tatprasūtikuleṣu ca // RKS_77.2 //	yAvanti romakUpAni tad prasUti kulezu ca // RKH _77.2 //
   tāvanty abdasahasrāṇi viṣṇuloke mahīyate /	tAvanti abda sahasrANi vizNu loke mahIyate /
   jale vāgnipraveśe vā athavānaśake naraḥ // RKS_77.3 //	jale vA agni praveSe vA aTavA anaSake naraH // RKH _77.3 //
   tatra tīrthe mṛto yas tu na garbhe jāyate kvacit /	tatra tIrTe mRtaH yaH tu na garBe jAyate kvacid /
   eva hi vidhir uddiṣṭaḥ sakalo nṛpasattama // RKS_77.4 //	eva hi viDiH uddizwaH sakalaH nRpa sattamaH // RKH _77.4 //
   tīrthasya ca phalaṃ puṇyaṃ kim anyat paripṛcchasi /	tIrTasya ca Palam puNyam kim anyat paripRcCasi /
   dhanyaṃ yaśasyam āyuṣyaṃ sarvaduḥkhaghnam uttamam // RKS_77.5 //	Danyam yaSasyam Ayuzyam sarva duHKa Gnam uttamam // RKH _77.5 //
   etac chrutvā naro rājan sarvapāpaiḥ pramucyate /	etat SrutvA naraH rAjan sarva pApEH pramucyate /
   tato gacchet tu rājendra karañjeśvaram uttamam // RKS_77.6 //	tatas gacCet tu rAja indra karaQjeSvaram uttamam // RKH _77.6 //
   tatra siddho mahābhāga daityo vai lokaviśrutaḥ /	tatra sidDaH mahABAga dEtyaH vE loka viSrutaH /
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   ko 'sau siddho mahābhāga tatra tīrthe mahātapāḥ // RKS_77.7 //	kaH asO sidDaH mahABAga tatra tIrTe mahA tapAH // RKH _77.7 //
   kasya putro 'tha kiṃkāryaṃ kālaḥ kaḥ kathaya dvija /	kasya putraH aTa kiMkAryam kAlaH kaH kaTaya dvija /
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   purā cādiyuge rājan mānaso brahmaṇaḥ sutaḥ // RKS_77.8 //	purA ca Adi yuge rAjan mAnasaH brahmaNaH sutaH // RKH _77.8 //
   vedavedāṅgatattvajño marīcir nāma nāmataḥ /	veda vedAFga tattva jQaH marIciH nAma nAmataH /
   tasyā 'pi kaśyapo rājan kālena mahatānagha // RKS_77.9 //	tasyAH api kaSyapaH rAjan kAlena mahatA anaGaH // RKH _77.9 //
   putro 'tha mānaso jātaḥ sākṣād brahmeva cāparaḥ /	putraH aTa mAnasaH jAtaH sAkzAt brahmA iva ca aparaH /
   kṣamā damā dayā dānaṃ satyaṃ śaucam athārjavam // RKS_77.10 //	kzamA damA dayA dAnam satyam SOcam aTa Arjavam // RKH _77.10 //
   marīces tu guṇās tv ete santi bhānti ca bhārata /	marIceH tu guNAH tu ete santi BAnti ca BArata /
   evaṃ guṇagaṇāḥ kīrtiḥ kaśyape dvijasattame // RKS_77.11 //	evam guNa gaNAH kIrtiH kaSyape dvijasattame // RKH _77.11 //
   jñātvā prajāpatir dakṣo bhāryārthe svasutāṃ dadau /	jQAtvA prajApatiH dakzaH BAryA arTe sva sutAm dadO /
   aditir vai danuś caiva tathā hyekādaśā parāḥ // RKS_77.12 //	aditiH vE danuH ca eva taTA hi ekAdaSA parAH // RKH _77.12 //
   yāsāṃ putrāś ca pautrāś ca jātā bhrātarasaṃkhyakāḥ /	yAsAm putrAH ca pOtrAH ca jAtAH BrAtarasaMKyakAH /
   aditir janayāmāsa putrānindrapurogamān // RKS_77.13 //	aditiH janayAmAsa putrAn indra purogamAn // RKH _77.13 //
   nāgān pretapiśācāṃś ca patatrīn yakṣarākṣasān /	nAgAn preta piSAcAn ca patatrIn yakza rAkzasAn /
   siṃhavyāghravarāhāṃś ca anyā ity evam ādayaḥ // RKS_77.14 //	siMha vyAGra varAhAn ca anyAH iti evam AdayaH // RKH _77.14 //
   jātās tasya mahābāho kaśyapasya prajāpateḥ /	jAtAH tasya mahA bAho kaSyapasya prajApateH /
   yais tu lokatrayaṃ vyāptaṃ sthāvaraṃ jaṅgamaṃ mahat // RKS_77.15 //	yEH tu lokatrayam vyAptam sTAvaram jaFgamam mahat // RKH _77.15 //
   tathānyaś ca mahābhāgo danoḥ putro vyajāyata /	taTA anyaH ca mahABAgaH danoH putraH vyajAyata /
   sarvalakṣaṇasampannaḥ karañjo nāma nāmataḥ // RKS_77.16 //	sarva lakzaNa sampannaH karaQjaH nAma nAmataH // RKH _77.16 //
   baler iva mahābhāga cacāra sumahat tapaḥ /	baleH iva mahABAga cacAra su mahat tapaH /
   vareṇa chandayāmāsa tripurāntakaraḥ prabhuḥ // RKS_77.17 //	vareNa CandayAmAsa tripura anta karaH praBuH // RKH _77.17 //
   bhoḥ karañja mahāsattva parituṣṭo 'smi te 'nagha /	BoH karaQja mahA sattva parituzwaH asmi te anaGa /
   varaṃ vṛṇīṣva bhadraṃ te yat te manasi vartate // RKS_77.18 //	varam vRNIzva Badram te yat te manasi vartate // RKH _77.18 //
   karañja uvāca:	karaQjaH uvAca:
   yadi tuṣṭo 'si me deva tripurāntakara prabho /	yadi tuzwaH asi me deva tripurAnta kara praBo /
   tataḥ putraiś ca pautraiś ca sahitaṃ me dhanaṃ kuru // RKS_77.19 //	tatas putrEH ca pOtrEH ca sahitam me Danam kuru // RKH _77.19 //
   tathety uktvā mahādeva umayā sahitas tadā /	taTA iti uktvA mahAdevaH umayA sahitaH tadA /
   vṛṣārūḍho gaṇaiḥ sārdhaṃ tatraivāntaradhīyata // RKS_77.20 //	vRza ArUXaH gaNEH sArDam tatra eva antaraDIyata // RKH _77.20 //
   gate cādarśanaṃ deve so 'pi daityo mudānvitaḥ /	gate ca adarSanam deve saH api dEtyaH mudA anvitaH /
   svanāmnā ca mahādevaṃ sthāpayitvā gṛhaṃ yayau // RKS_77.21 //	sva nAmnA ca mahAdevam sTApayitvA gRham yayO // RKH _77.21 //
   tadā prabhṛti tattīrthaṃ karañjeśvaram uttamam /	tadA praBRti tat tIrTam karaQjeSvaram uttamam /
   snānamātro naro rājan mucyate brahmahatyayā // RKS_77.22 //	snAna mAtraH naraH rAjan mucyate brahmahatyayA // RKH _77.22 //
   tasmiṃs tīrthe mahārāja tarpayet pitṛdevatāḥ /	tasmin tIrTe mahA rAja tarpayet pitR devatAH /
   so 'gniṣṭomasya yatpuṇyaṃ phalaṃ prāpnoty asaṃśayam // RKS_77.23 //	saH agnizwomasya yat puNyam Palam prApnoti asaMSayam // RKH _77.23 //
   anāśakaṃ tu yaḥ kuryāt tasmiṃs tīrthe narottama // RKS_77.24 //	anASakam tu yaH kuryAt tasmin tIrTe nara uttamaH // RKH _77.24 //
   athāgnau ca jale prāṇān bhūtale vāpi yas tyajet /	aTa agnO ca jale prANAn BU tale vA api yaH tyajet /
   svarge sa tu vasen nūnaṃ varṣāṇām ayutadvayam // RKS_77.25 //	svarge sa tu vaset nUnam varzANAm ayuta dvayam // RKH _77.25 //
   dhanavān sukule cānte jāyate vipule kule /	DanavAn sukule ca ante jAyate vipule kule /
   vedavedāṅgatattvajñaḥ sarvaśāstraviśāradaḥ // RKS_77.26 //	veda vedAFga tattva jQaH sarva SAstra viSAradaH // RKH _77.26 //
   rājā vā rājatulyo vā jāyate nātra saṃśayaḥ /	rAjA vA rAja tulyaH vA jAyate na atra saMSayaH /
   putrapautrasamāyuktaḥ sarvavyādhivivarjitaḥ // RKS_77.27 //	putra pOtra samAyuktaH sarva vyADi vivarjitaH // RKH _77.27 //
   etat te sarvamākhyātaṃ yat tvaṃ māṃ paripṛcchasi /	etat te sarvam AKyAtam yat tvam mAm paripRcCasi /
   tīrthasya tu phalaṃ yuktyā sarvadāneṣu bhārata // RKS_77.28 //	tIrTasya tu Palam yuktyA sarva dAnezu BArata // RKH _77.28 //
   etat puṇyaṃ pāpaharaṃ dhanyaṃ duḥkhapraṇāśanam /	etat puNyam pApa haram Danyam duHKa praNASanam /
   paṭhatāṃ śṛṇvatāṃ caiva tīrthamāhātmyam uttamam // RKS_77.29 //	paWatAm SRNvatAm ca eva tIrTa mAhAtmyam uttamam // RKH _77.29 //
   yas tu śrāvayate śrāddhe sa tatpitṛparāyaṇaḥ /	yaH tu SrAvayate SrAdDe sa tad pitR parAyaNaH /
   akṣayaṃ tasya sarvaṃ syāc chaṅkaras tv idam abravīt // RKS_77.30 //	akzayam tasya sarvam syAt SaFkaraH tu idam abravIt // RKH _77.30 //
   iti śrīskandapurāṇe revākhaṇḍe karañjeśvaramahimānuvarṇano nāma	iti SrI skandapurANe revAKaNxe karaQjeSvara mahimA anuvarNanaH nAma
   saptasaptatitamo 'dhyāyaḥ ||	saptasaptatitamaH aDyAyaH ||
   RKS adhyāya 78	RKH aDyAyaH 78
   atha aṣṭasaptatitamo 'dhyāyaḥ	aTa azwasaptatitamaH aDyAyaH
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   tato gacchec ca rājendra kuṇḍaleśvaram uttamam /	tatas gacCet ca rAja indra kuNxaleSvaram uttamam /
   yatra siddhiṃ gato devaḥ kuṇḍadhāro nṛpottama // RKS_78.1 //	yatra sidDim gataH devaH kuNxaDAraH nRpa uttamaH // RKH _78.1 //
   tapaḥ kṛtvā tu vipulaṃ surāsurabhayaṃ karam /	tapaH kRtvA tu vipulam sura asura Bayam karam /
   kuṇḍadhāro mandarasthaḥ krīḍate sa nṛpottama // RKS_78.2 //	kuNxaDAraH mandara sTaH krIxate sa nRpa uttamaH // RKH _78.2 //
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   kasyānvaye samutpannaḥ kasya putro mahāmatiḥ /	kasya anvaye samutpannaH kasya putraH mahAmatiH /
   tapas taptvā suvipulaṃ toṣito yena śaṅkaraḥ // RKS_78.3 //	tapaH taptvA su vipulam tozitaH yena SaFkaraH // RKH _78.3 //
   etad vistaratas tāta kathayasva mamānagha /	etat vistarataH tAta kaTayasva mama anaGa /
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   purā tretāyuge rājan paulastyo nāma viśravāḥ // RKS_78.4 //	purA tretA yuge rAjan pOlastyaH nAma viSravAH // RKH _78.4 //
   upaye me mahābhāga bharadvājasutāṃ nṛpa /	upaye me mahABAga BaradvAja sutAm nRpa /
   putraḥ putraguṇairyuktas tasyāṃ jāto dhanaṃ jayaḥ // RKS_78.5 //	putraH putra guNEH yuktaH tasyAm jAtaH Danam jayaH // RKH _78.5 //
   jātamātraṃ sutaṃ jñātvā brahmā lokapitāmahaḥ /	jAta mAtram sutam jQAtvA brahmA lokapitAmahaH /
   cakāra nāma suprīta ṛṣidevasamanvitaḥ // RKS_78.6 //	cakAra nAma su prItaH Rzi deva samanvitaH // RKH _78.6 //
   yasmād viśravaso jāto mama pautratvam āgataḥ /	yasmAt viSravasaH jAtaH mama pOtra tvam AgataH /
   tasmād vaiśravaṇo nāma mayā dattaṃ tavānagha // RKS_78.7 //	tasmAt vESravaNaH nAma mayA dattam tava anaGaH // RKH _78.7 //
   yaḥ svayaṃ sarvadevānāṃ dhanagoptā bhaviṣyati /	yaH svayam sarva devAnAm Dana goptA Bavizyati /
   caturtho lokapālānām akṣayo yakṣapo 'pi vā // RKS_78.8 //	caturTaH lokapAlAnAm akzayaH yakzapaH api vA // RKH _78.8 //
   yakṣo yakṣādhipaḥ śreṣṭhaḥ kuṇḍadhāro 'bhavat sutaḥ /	yakzaH yakza aDipaH SrezWaH kuNxaDAraH aBavat sutaH /
   susvaṃrūpavayaḥ prāpya mātāpitroranujñayā // RKS_78.9 //	su svaMrUpa vayaH prApya mAtA pitroH anujQayA // RKH _78.9 //
   tapaś cakāra vipulaṃ narmadātīram āśritaḥ /	tapaH cakAra vipulam narmadA tIram ASritaH /
   yatra vyāghreśvaraṃ liṅgaṃ vyāghrakheṭakam uttamam // RKS_78.10 //	yatra vyAGreSvaram liFgam vyAGra Kewakam uttamam // RKH _78.10 //
   kuṇḍadhāreṇa tatraiva tapas taptaṃ sudāruṇam /	kuNxaDAreNa tatra eva tapaH taptam su dAruNam /
   grīṣme pañcāgnimadhyastho varṣāsvāsārathāraṇaḥ // RKS_78.11 //	grIzme paQcAgni maDya sTaH varzAsu AsAraTAraNaH // RKH _78.11 //
   śiśire jalamadhyastho vāyubhakṣaḥ śataṃ samāḥ /	SiSire jala maDya sTaH vAyuBakzaH Satam samAH /
   evaṃ varṣaśate pūrṇe ekāṅguṣṭho 'bhavat tataḥ // RKS_78.12 //	evam varza Sate pUrNe eka aFguzWaH aBavat tatas // RKH _78.12 //
   cakravad bhramate sūryamabhito bharatarṣabha /	cakra vat Bramate sUryam aBitas Barata RzaBa /
   caturthe pañcame tāvat tutoṣa vṛṣavāhanaḥ // RKS_78.13 //	caturTe paQcame tAvat tutoza vRzavAhanaH // RKH _78.13 //
   varaṃ vṛṇīṣva he vatsa yat te manasi rocate /	varam vRNIzva he vatsa yat te manasi rocate /
   tad dadāmi na sandehas tapasā toṣito hy aham // RKS_78.14 //	tat dadAmi na sandehaH tapasA tozitaH hi aham // RKH _78.14 //
   kuṇḍadhāra uvāca:	kuNxaDAraH uvAca:
   yadi tuṣṭo 'si me deva varaditsur ihāgataḥ /	yadi tuzwaH asi me deva vara ditsuH iha AgataH /
   tato mannāmakaṃ liṅgaṃ tīrthaṃ caitad bhavatv iti // RKS_78.15 //	tatas mad nAmakam liFgam tIrTam ca etat Bavatu iti // RKH _78.15 //
   tathetyuktvā mahādevaḥ somo 'ntardhānamāgamat /	taTA iti uktvA mahAdevaH somaH antarDAnam Agamat /
   jagāmā kāśam āviśya kailāsaṃ dharaṇidharam // RKS_78.16 //	jagAmA kASam AviSya kElAsam DaraNiDaram // RKH _78.16 //
   gate cādarśana deva so 'pi yakṣo mudānvitaḥ /	gate ca adarSana deva saH api yakzaH mudA anvitaH /
   sthāpayāmāsa deveśaṃ kuṇḍaleśvaramuttamam // RKS_78.17 //	sTApayAmAsa deveSam kuNxaleSvaram uttamam // RKH _78.17 //
   alaṃkṛtvā gajaṃ dhenuṃ dhūpapuṣpavilepanaiḥ /	alaMkRtvA gajam Denum DUpa puzpa vilepanEH /
   vitānaiś cāmaraiś chatrais tathaiva liṅgapūjanaiḥ // RKS_78.18 //	vitAnEH cAmarEH CatrEH taTA eva liFga pUjanEH // RKH _78.18 //
   tarpayitvā dvijān samyag annapānādi bhūṣaṇaiḥ /	tarpayitvA dvijAn samyak anna pAna Adi BUzaNEH /
   prīṇayitvā mahādevaṃ tataḥ svabhavanaṃ yayau // RKS_78.19 //	prINayitvA mahAdevam tatas sva Bavanam yayO // RKH _78.19 //
   tadā prabhṛti tat tīrthaṃ triṣu lokeṣu viśrutam /	tadA praBRti tat tIrTam trizu lokezu viSrutam /
   yudhiṣṭhira paraṃ puṇyaṃ kuṇḍaleśvarasaṃjñakam // RKS_78.20 //	yuDizWira param puNyam kuNxaleSvara saMjQakam // RKH _78.20 //
   tatra tīrthe tu yaḥ kaścid upavāsaparāyaṇaḥ /	tatra tIrTe tu yaH kaScid upavAsa parAyaNaH /
   arcayed devam īśānaṃ sarvapāpaiḥ pramucyate // RKS_78.21 //	arcayet devam ISAnam sarva pApEH pramucyate // RKH _78.21 //
   suvarṇaṃ rajataṃ vāpi maṇiṃ mauktikam eva ca /	suvarNam rajatam vA api maNim mOktikam eva ca /
   brāhmaṇebhyo dadātyatra sa mukhyo modate divi // RKS_78.22 //	brAhmaNeByaH dadAti atra sa muKyaH modate divi // RKH _78.22 //
