   advaitaprakaraṇaṃ	advEta-prakaraNam
   pracāraḥ sa tu vijñeyaḥ suṣupte 'nyo na tatsamaḥ // MandUpK_3.34 //	pracAraH sa tu vijQeyaH suzupte anyaH na tad-samaH // Mandu-upK_3.34 //
   MandUpKC_3.34	Mandu-upKC_3.34
   nigṛhītasya niruddhasya manaso nirvikalpasya sarvakalpanāvarjitasya	nigRhItasya nirudDasya manasaH nirvikalpasya sarva-kalpanA-varjitasya
   dhīmato vivekavataḥ pracāro yaḥ sa tu pracāro viśeṣeṇa jñeyo yogibhiḥ /	DImataH vivekavataH pracAraH yaH sa tu pracAraH viSezeNa jQeyaH yogiBiH /
   nanu sarvapratyayābhāve yādṛśaḥ suṣuptasthasya manasaḥ pracārastādṛśa eva	nanu sarva-pratyaya-aBAve yAdRSaH suzupta-sTasya manasaH pracAraH-tAdRSaH eva
   niruddhasyāpi pratyayābhāvāviśeṣātkiṃ tatra vijñeyamiti /	nirudDasya-api pratyaya-aBAva-aviSezAt-kim tatra vijQeyam-iti /
   atrocyate- naivam; yasmātsuṣupte 'nyaḥ pracāro	atra-ucyate na-evam; yasmAt-suzupte anyaH pracAraH-
   'vidyāmohatamograstasyāntarlīnānekānarthapravṛttibījavāsanāvato manasa	avidyA-moha-tama-ugraH-tasya-antar-lIna-an-eka-anarTa-pravRtti-bIja-vAsanAvataH manasa
   ātmasatyānubodhahutāśavipluṣṭāvidyānarthapravṛttibījasya niruddhasyānya	Atma-satya-anuboDa-hutASa-vipluzwA-vidyA-anarTa-pravRtti-bIjasya nirudDasya-anya
   eva praśāntasarvakleśarajasaḥ svatantraḥ pracāraḥ /	eva praSAnta-sarva-kleSa-rajasaH svatantraH pracAraH /
   ato na tatsamaḥ /	atas na tad-samaH /
   tasmādyuktaḥ sa vijñātumityabhiprāyaḥ //34//	tasmAt-yuktaH sa vijQAtum-iti-aBiprAyaH //34//
   START MandUpK 3.35	START Mandu-upK 3.35
   pracārabhede hetumāha-	pracAraBede hetum-Aha-
   līyate hi suṣupte tan nigṛhītaṃ na līyate /	lIyate hi suzupte tat nigRhItam na lIyate /
   tad eva nirbhayaṃ brahma jñānalokaṃ samantataḥ // MandUpK_3.35 //	tat eva nirBayam brahma jQAna-lokam samantataH // Mandu-upK_3.35 //
   MandUpKC_3.35	Mandu-upKC_3.35
   līyate suṣupto hi yasmātsarvābhiravidyādipratyayabījavāsanābhiḥ saha	lIyate suzuptaH hi yasmAt-sarvABiH-avidyA-Adi-pratyaya-bIja-vAsanABiH saha
   tamorūpamaviśeṣarūpaṃ bījabhāvamāpadyate tadvivekavijñānapūrvakaṃ	tamaH-rUpam-aviSeza-rUpam bIja-BAvam-Apadyate tad-viveka-vijQAna-pUrvakam
   niruddhaṃ nigṛhītaṃ sanna līyate tamobījabhāvaṃ nāpadyate /	nirudDam nigRhItam sat-na lIyate tamaH-bIja-BAvam na-Apadyate /
   tasmādyuktaḥ pracārabhedaḥ suṣuptasya samāhitasya manasaḥ /	tasmAt-yuktaH pracAra-BedaH suzuptasya samAhitasya manasaH /
   yathā grāhyagrāhakāvidyākṛtamaladvayavarjitaṃ tadā paramadvayaṃ brahmaiva	yaTA grAhya-grAhaka-avidyA-kRta-mala-dvaya-varjitam tadA parama-dvayam brahmA-eva
   tatsaṃvṛttamityatastadeva nirbhayaṃ dvaitagrahaṇasya bhayanimittasyābhāvat	tad-saMvRttam-iti-atas-tat-eva nirBayam dvEta-grahaNasya Baya-nimittasya-aBAvat-
   śāntamabhayaṃ brahma, yadvidvānna bibheti kutaścana /	SAntam-aBayam brahma, yat-vidvAn-na biBeti kutaScana /
   tadeva viśeṣyate jñāptirjñānamātmasvabhāvacaitanyaṃ tadeva jñānamālokaḥ	tat-eva viSezyate jQAptiH-jQAnam-Atma-svaBAva-cEtanyam tat-eva jQAnam-AlokaH
   prākāśo yasya tadbrahma jñānālokaṃ vijñānaikarasaghanamityarthaḥ /	prAkASaH yasya tat-brahma jQAna-Alokam vijQAna-eka-rasa-Ganam-iti-arTaH /
   samantataḥ samantāsarvato vyomavannairantaryeṇa vyāpakamityarthaḥ //35//	samantataH samantA-sarvataH vyoma-vat-nErantaryeNa vyApakam-iti-arTaH //35//
   START MandUpK 3.36	START Mandu-upK 3.36
   ajam anindram asvapnam anāmakam arūpakam /	ajam anindram asvapnam anAmakam arUpakam /
   sakṛdvibhātaṃ sarvajñaṃ nopacāraḥ kathañcana // MandUpK_3.36 //	sakRt-viBAtam sarvajQam na-upacAraH kaTaQcana // Mandu-upK_3.36 //
   MandUpKC_3.36	Mandu-upKC_3.36
   janmanimittābhāvātsabāhyābhyantaramajam /	janma-nimitta-aBAvAt-sa-bAhya-aByantaram-ajam /
   avidyānimittaṃ hi janma rajjusarpavadityavocāma /	avidyA-nimittam hi janma rajju-sarpa-vat-iti-avocAma /
   sā cāvidyātmasatyānubodhena niruddhā yato 'jamata evānidram /	sA ca-avidyA-Atma-satya-anuboDena nirudDAH yatas ajam-atas eva-anidram /
   avidyālakṣaṇānādirmāyā nidrā /	avidyA-lakzaNa-anAdiH-mAyA nidrA /
   svāpātprabuddhau'dvaiyasvarūpeṇātmanāto 'svapnam /	svApAt-prabudDO-advEya-svarUpeNa-AtmanA-atas asvapnam /
   aprabodhakṛte hyasyanāmarūpe /	apraboDa-kRte hi-asyanAma-rUpe /
   prabodhācca te rajjusarpavadvinaṣṭha iti na nāmnābhidhīyate brahma rūpyate	praboDAt-ca te rajju-sarpa-vat-vinazWaH iti na nAmnA-aBiDIyate brahma rUpyate
   vā na kenacitprakāreṇetyanāmakarūpakaṃ ca tat /	vA na kenacid-prakAreNa-iti-anAmaka-rUpakam ca tat /
   "yato vāco nivartante"(tai.u.2 / 4 / 1) ityādiśruteḥ /	"yataH vAcaH nivartante"(tE.u.2 / 4 / 1) iti-Adi-SruteH /
   kiṃ ca sakṛdvibhātaṃ sadaiva vibhātaṃ sadā	kim ca sakRt-viBAtam sadA-eva viBAtam sadA
   bhārūpamagrahaṇānyathāgrahaṇāvirbhāvatirobhāvavarjitatvāt /	BA-ru-upamagrahaNAni-aTa-agrahaNa-AvirBAva-tiroBAva-varjita-tvAt /
   grahaṇāgrahaṇe hi rātryahanī tamaścāvidyālakṣaṇaṃ sadāprabhātatve kāraṇam	grahaNa-agrahaNe hi rAtrI-ahanI tamaH-ca-avidyA-lakzaNam sadA-praBAta-tve kAraNam
   tadabhāvānnityacaitanyabhārūpatvācca yuktaṃ sakṛdvibhātamiti /	tad-aBAvAt-nitya-cEtanya-BA-rUpa-tvAt-ca yuktam sakRt-viBAtam-iti /
   ata eva sarvaṃ ca tajjñasvarūpaṃ ceti sarvajñam /	atas eva sarvam ca tad-jQa-svarUpam ca-iti sarvajQam /
   neha brahmaṇyevaṃvidha upacaraṇamupacāraḥ kartavyaḥ /	na-iha brahmaNi-evaMviDaH upacaraNam-upacAraH kartavyaH /
   yathānyeṣāmātmasvarūpavyatirekeṇa samādhānādyupacāraḥ /	yaTA-anyezAm-Atma-svarUpa-vyatirekeNa samADAna-Adi-upacAraH /
   nityaśuddhabuddhamuktasvabhāvatvādbrahmaṇaḥ kathañcana na kathañcidapi	nitya-SudDa-budDa-mukta-svaBAva-tvAt-brahmaNaH kaTaQcana na kaTaQcid-api
   kartavyasaṃbhavo 'vidyānāśa ityarthaḥ //36//	kartavya-saMBavaH avidyA-nASaH iti-arTaH //36//
   START MandUpK 3.37	START Mandu-upK 3.37
   anāmakatvādyuktārthasiddhaye hetumāha-	anAmaka-tvAt-yukta-arTa-sidDaye hetum-Aha-
   sarvābhilāpavigataḥ sarvacintāsamutthitaḥ /	sarva-aBilApa-vigataH sarva-cintA-samutTitaH /
   supraśāntaḥ sakṛjjyotiḥ samādhir acalo 'bhayaḥ // MandUpK_3.37 //	su-praSAntaH sakRjjyotiH samADiH acalaH aBayaH // Mandu-upK_3.37 //
   MandUpKC_3.37	Mandu-upKC_3.37
   abhilapyate 'nenetyabhilāpo vākkaraṇaṃ sarvaprakārasyābhidhānasya,	aBilapyate anena-iti-aBilApaH vAkkaraNam sarva-prakArasya-aBiDAnasya,
   tasmādvigataḥ /	tasmAt-vigataH /
   vāgatropalakṣaṇārthā sarvabrahmakaraṇavarjita ityetat /	vAc-atra-upalakzaNa-arTA sarva-brahma-karaNa-varjitaH iti-etat /
   tathā sarvacintāsamutthitaḥ /	taTA sarva-cintA-samutTitaH /
   cintyate 'nayeti cintā buddhistasyāḥ samutthito 'ntaḥ karaṇavarjita	cintyate anayA-iti cintA budDiH-tasyAH samutTitaH antar karaNa-varjita
   ityarthaḥ"aprāṇo hyamanāḥ śubhro hyakṣarātparataḥ paraḥ" (mu.u.2 / 1 / 2)	iti-arTaH"aprANaH hi-amanAH SuBraH hi-akzarAt-paratas paraH" (mu.u.2 / 1 / 2)
   ityādiśruteḥ /	ityAdi-SruteH /
   yasmātsarvaviṣayavarjito 'taḥ supraśāntaḥ, sakṛjjyotiḥ sadaiva	yasmAt-sarva-vizaya-varjitaH atas su-praSAntaH, sakRt-jyotiH sadA-eva
   jyotirātmacainyasvarūpeṇa, samādhiḥ samādhinimittaprajñāvagamyatvāt,	jyotiH-Atma-cEnya-svarUpeNa, samADiH samADi-nimitta-prajQO=-agamya-tvAt,
   samādhīyate 'sminniti vā samādhiḥ, acalo 'vikriyaḥ, ata evābhayo	samADIyate asmin=-iti vA samADiH, acalaH avikriyaH, atas eva-aBayo
   vikriyābhāvāt //37//	vikriyA-BAvAt //37//
   START MandUpK 3.38	START Mandu-upK 3.38
   yasmādbrahmaiva samādhiracalo 'bhaya ityuktaḥ-	yasmAt-brahmA-eva samADiH-acalaH aBayaH iti-uktaH-
   graho na tatra notsargaś cintā yatra na vidyate /	grahaH na tatra na-utsargaH cintA yatra na vidyate /
   ātmasaṃsthaṃ tadā jñānam ajāti samatāṃ gatam // MandUpK_3.38 //	Atma-saMsTam tadA jQAnam ajAti sama-tAm gatam // Mandu-upK_3.38 //
   MandUpKC_3.38	Mandu-upKC_3.38
   na tatra tasminbrahmaṇi graho grahaṇamupādānam, notsarga utsarjanaṃ hānaṃ	na tatra tasmin-brahmaNi grahaH grahaNam-upAdAnam, na-utsargaH utsarjanam hAnam
   vā vidyate /	vA vidyate /
   yatra hi vikriyā tadviṣayatvaṃ vā tatra hānopādāne syātāṃ na taddvayamiha	yatra hi vikriyA tad-vizaya-tvam vA tatra hAna-upAdAne syAtAm na tad-dvayam-iha
   brahmaṇi saṃbhavati /	brahmaNi saMBavati /
   vikārahetoranyasyābhāvānniravayavatvācca /	vikAra-hetoH-anyasya-aBAvAt-niravayava-tvAt-ca /
   ato na tatra hānopādāna ityarthaḥ /	atas na tatra hAna-upAdAnaH iti-arTaH /
   cintā yatra na vidyate /	cintA yatra na vidyate /
   sarvaprakāraiva cintā na saṃbhavati yatrāmanastvātkutastatra hānopādāna	sarva-prakAra-eva cintA na saMBavati yatra-AmanaH-tvAt-kutaH-tatra hAna-upAdAna
   ityarthaḥ /	iti-arTaH /
   yadaivātmasatyānubodho jātastadaivātmasaṃsthaṃ	yadA-eva-Atma-satya-anuboDaH jAtaH-tadA-eva-Atma-saMsTam
   viṣayābhāvādagnyuṣṇavadātmanyeva sthitaṃ jñānam, ajāti jātivarjitam,	vizaya-aBAvAt-agni-uzNa-vat-Atmani-eva sTitam jQAnam, ajAti jAti-varjitam,
   samatāṃ gataṃ paraṃ sāmyamāpannaṃ bhavati /	sama-tAm gatam param sAmyam-Apannam Bavati /
   yadādau pratijñātamato vakṣyāmyakārpaṇyamajāti samatāṃ gatamitīdaṃ	yat-AdO pratijQAtam-atas vakzyAmi-akArpaNyam-ajAti samatAm gatam-iti-idam
   tadupapattitaḥ śāstrataścoktamupasaṃhriyate, ajāti samatāṃ gatamiti /	tat-upapattitaH SAstrataH-ca-uktam-upasaMhriyate, ajAti sama-tAm gatam-iti /
   etasmādātmasatyānubodhātkārpaṇyaviṣayamanyat"yo vai9tadakṣaraṃ	etasmAt-Atma-satya-anuboDAt-kArpaNya-vizayam-anyat"yaH vE9tat-akza-ram
   gārgyaviditvāsmāllaukātpraiti sa kṛpaṇaḥ"(bṛ.u.3 / 8 / 10) iti śruteḥ /	gArgya-viditvA-asmAt-lOkAt-prEti sa kRpaNaH"(bR.u.3 / 8 / 10) iti SruteH /
   prāpyaitatsarvaḥ kṛtakṛtyo brāhmaṇo bhavatītyabhiprāyaḥ //38//	prApya-etat-sarvaH kRtakRtyaH brAhmaNaH Bavati-iti-aBiprAyaH //38//
   START MandUpK 3.39	START Mandu-upK 3.39
   yadyapīdamitthaṃ paramārthatattvam-	yadi-api-idam-itTam paramArTa-tattvam-
   asparśayogo vai nāma durdarśaḥ sarvayogibhiḥ /	asparSa-yogaH vE nAma durdarSaH sarva-yogiBiH /
   yogino bibhyati hy asmād abhaye bhayadarśinaḥ // MandUpK_3.39 //	yoginaH biByati hi asmAt aBaye Baya-darSinaH // Mandu-upK_3.39 //
   MandUpKC_3.39	Mandu-upKC_3.39
   asparśayogo nāmāyaṃ sarvasaṃbandhākhyasparśavarjitatvādasparśayogo nāma	asparSa-yogaH nAma-ayam sarva-saMbanDa-AKya-sparSa-varjita-tvAt-asparSa-yogaH nAma
   vai smaryate prasiddhamupaniṣatsu /	vE smaryate prasidDam-upanizatsu /
   duḥkhena dṛśyata iti durdarśaḥ sarvairyogibhir	duHKena dRSyate iti durdarSaH sarvEH-yogiBiH-
   vedāntavihitavijñānarahitaiḥ sarvayogibhiḥ /	vedAnta-vihita-vijQAna-rahitEH sarva-yogiBiH /
   ātmasatyānubodhāyāsalabhya evetyarthaḥ /	Atma-satya-anuboDAya-asalaByaH eva-iti-arTaH /
   yogino bibhyati hyasmātsarvabhayavarjitādapyātmanāśarūpamimaṃ yogaṃ	yoginaH biByati hi-asmAt-sarva-Baya-varjitAt-api-Atma-nASa-rUpam-imam yogam
   manyamānā bhayaṃ kurvanty abhaye 'sminbhayadarśino	manyamAnAH Bayam kurvanti aBaye asmin-Baya-darSino
   bhayanimittātmanāśadarśanaśīlā avivekina ityarthaḥ //39//	Baya-nimitta-Atma-nASa-darSana-SIlAH avivekinaH iti-arTaH //39//
   START MandUpK 3.40	START Mandu-upK 3.40
   yeṣāṃ punarbrahmasvarūpavyatirekeṇa rajjusarpavat kalpitameva mana	yezAm punar-brahma-svarUpa-vyatirekeNa rajju-sarpa-vat kalpitam-eva mana
   indriyādi ca na paramārthato vidyate teṣāṃ brahmasvarūpāṇāmabhayaṃ	indriya-Adi ca na paramArTataH vidyate tezAm brahma-svarUpANAm-aBayam
   mokṣākhyā cākṣayā śāntiḥ svabhāvata eva siddhā nānyāyattā nopacāraḥ	mokza-AKyA ca-akzayA SAntiH svaBAvataH eva sidDAH na-anya-AyattA na-upacAraH
   kathañcanetyavocāma /	kaTaQcanA-iti-avocAma /
   ye tvato 'nye yogino mārgagā hīnamadhyamadṛṣṭayo mano	ye tu-atas anye yoginaH mArga-gAH hIna-maDyama-dRzwayaH manaH-
   'nyadātmavyatiriktamātsaṃbandhi paśyanti teṣāmātmasatyānubodharahitānām-	anyat-Atma-vyatiriktamAtsaMbanDi paSyanti tezAm-Atma-satya-anuboDa-rahitAnAm--
   manaso nigrahāyattam abhayaṃ sarvayoginām /	manasaH nigraha-Ayattam aBayam sarva-yoginAm /
   duḥkhakṣayaḥ prabodhaś cāpy akṣayā śāntir eva ca // MandUpK_3.40 //	duHKa-kzayaH praboDaH ca-api akzayA SAntiH eva ca // Mandu-upK_3.40 //
   MandUpKC_3.40	Mandu-upKC_3.40
   manaso nigrahāyattamabhayaṃ sarveṣāṃ yoginām /	manasaH nigraha-Ayattam-aBayam sarvezAm yoginAm /
   kiṃ ca duḥkhakṣayo 'pi, na hyātmasaṃbandhini manasi pracalite duḥkhakṣayo	kim ca duHKa-kzayaH api, na hi-Atma-saMbanDini manasi pracalite duHKa-kzayaH-
   'sty avivekinām /	asti avivekinAm /
   kiṃ cātmaprabodho 'pi manonigrahāyatta eva /	kim ca-Atma-praboDaH api manaH-nigraha-Ayatte eva /
   tathākṣayāpi mokṣākhyā śāntis teṣāṃ manonigrahāyattaiva //40//	taTA-akzayA-api mokza-AKyA SAntiH tezAm manaH-nigraha-AyattA-eva //40//
   START MandUpK 3.41	START Mandu-upK 3.41
   utseka udadher yadvat kuśāgreṇaikabindunā /	utsekaH udaDeH yadvat kuSa-agreNa-eka-bindunA /
   manaso nigrahas tadvad bhaved aparikhedataḥ // MandUpK_3.41 //	manasaH nigrahaH tadvat Bavet apariKedataH // Mandu-upK_3.41 //
   MandUpKC_3.41	Mandu-upKC_3.41
   manonigraho 'pi teṣāmudadheḥ kuśāgreṇaikabinduno9tsecanena	manaH-nigrahaH api tezAm-udaDeH kuSa-agreNa-eka-bindu-no9t-secanena
   śoṣaṇavyavasāyavadvyavasāyavatāmanavasannāntaḥ	SozaNa-vyavasAya-vat-vyavasAyavatAm-anavasat-na-antaH
   karaṇānāmanirvedādaparikhedato bhavatītyarthaḥ //41//	karaNAnAm-anirvedAt-apariKedataH Bavati-iti-arTaH //41//
   START MandUpK 3.42	START Mandu-upK 3.42
   kimaparikhinnavyavasāyamātrameva manonigraha upāyaḥ? na, ityucyate /	kim-apariKinna-vyavasAya-mAtram-eva manaH-nigrahaH upAyaH? na, iti-ucyate /
   upāyena nigṛhṇīyād vikṣiptaṃ kāmabhogayoḥ /	upAyena nigRhNIyAt vikziptam kAma-BogayoH /
   suprasannaṃ laye caiva yathā kāmo layas tathā // MandUpK_3.42 //	su-prasannam laye ca-eva yaTA kAmaH layaH taTA // Mandu-upK_3.42 //
   MandUpKC_3.42	Mandu-upKC_3.42
   aparikhinnavyavasāyavānsan vakṣyamāṇenopāyena kāmabhogaviṣayeṣu vikṣiptaṃ	apariKinna-vyavasAyavAn-san vakzyamANena-upAyena kAma-Boga-vizayezu vikziptam
   mano nigṛhṇīyānnirundhyādātmanyevetyarthaḥ /	manaH nigRhNIyAt-nirunDyAt-Atmani-eva-iti-arTaH /
   kiṃ ca līyate 'sminniti suṣupto layastasmiṃllaye ca suprasannam	kim ca lIyate asmin=-iti suzuptaH layaH-tasmin=-laye ca su-prasannam
   āyāsavarjitaṃ apī7tyetat, nigṛhṇīyādityanuvartate /	AyAsa-varjitam apI7ti-etat, nigRhNIyAt-iti-anuvartate /
   suprasannaṃ cetkasmānnigṛhyata ityucyate /	su-prasannam ced-kasmAt-nigRhyate iti-ucyate /
   yasmādyathā kāmo 'narthahetustathā layo 'pi /	yasmAt-yaTA kAmaH anarTa-hetuH-taTA layaH api /
   ataḥ kāmaviṣayasya manaso nigrahavallayādapi niroddhavyamityarthaḥ //42//	atas kAma-vizayasya manasaH nigraha-vallayAt-api nirodDavyam-iti-arTaH //42//
   START MandUpK 3.43	START Mandu-upK 3.43
   kaḥ sa upāyaḥ? ityucyate-	kaH saH upAyaH? iti-ucyate-
   duḥkhaṃ sarvam anusmṛtya kāmabhogān nivartayet /	duHKam sarvam anusmRtya kAma-BogAn nivartayet /
   ajaṃ sarvamanusmṛtya jātaṃ naiva tu paśyati // MandUpK_3.43 //	ajam sarvam-anusmRtya jAtam na-eva tu paSyati // Mandu-upK_3.43 //
   MandUpKC_3.43	Mandu-upKC_3.43
   sarvaṃ dvaitamavidyāvijṛmbhitaṃ duḥkhamevetyanusmṛtya	sarvam dvEtam-avidyA-vijRmBitam duHKam-eva-iti-anusmRtya
   kāmabhogātkāmanimitto bhoga icchāviṣayastasmādviprasṛtaṃ mano	kAma-BogAt-kAma-nimittaH BogaH icCA-vizayaH-tasmAt-viprasRtam manaH-
   nivartayedvairāgyabhāvanayetyarthaḥ /	nivartayet-vErAgya-BAvanayA-iti-arTaH /
   ajaṃ brahmasarvamityetacchāstrācāryopadeśato 'nusmṛtya tadviparītaṃ	ajam brahma-sarvam-iti-etat-SAstra-AcArya-upadeSataH anusmRtya tad-viparItam
   dvaitajātaṃ naiva tu paśyati, abhāvāt //43//	dvEta-jAtam na-eva tu paSyati, aBAvAt //43//
   START MandUpK 3.44	START Mandu-upK 3.44
   laye saṃbodhayec cittaṃ vikṣiptaṃ śamayet punaḥ /	laye saMboDayet cittam vikziptam Samayet punar /
   sakaṣāyaṃ vijānīyāt samaprāptaṃ na cālayet // MandUpK_3.44 //	sa-kazAyam vijAnIyAt sama-prAptam na cAlayet // Mandu-upK_3.44 //
   MandUpKC_3.44	Mandu-upKC_3.44
   evamanena jñānābhyāsavairāgyadvayopāyena laye suṣupte līnaṃ	evam-anena jQAna-aByAsa-vErAgya-dvaya-upAyena laye suzupte lInam
   saṃbodhayenmana ātmavivekadarśanena yojayet /	saMboDayet-manaH Atma-viveka-darSanena yojayet /
   cittaṃ mana ityanarthāntaram /	cittam manaH iti-anarTAntaram /
   vikṣiptaṃ ca kāmabhogeṣu śamayetpunaḥ /	vikziptam ca kAma-Bogezu Samayet-punar /
   eva punaḥ punarabhyasyato layātsaṃbodhitaṃ viṣayebhyaśca vyāvartitaṃ nāpi	eva punar punar-aByasyataH layAt-saMboDitam vizayeByaH-ca vyAvartitam na-api
   sāmyāpannamantarālāvasthaṃ sakaṣāyaṃ sarāgaṃ bījasaṃyuktaṃ mana iti	sAmya-Apannam-antarAlAva-sTam sa-kazAyam sa-rAgam bIja-saMyuktam manaH iti
   vijānīyāt /	vijAnIyAt /
   tato 'pi yatnataḥ sāmyamāpādayet /	tatas api yatnatas sAmyam-ApAdayet /
   yadā tu samaprāptaṃ bhavati samaprāptyabhimukhībhavatītyarthaḥ, tatastanna	yadA tu sama-prAptam Bavati sama-prApti-aBimuKIBavati-iti-arTaH, tatas-tat-na
   vicālayedviṣayābhimukhaṃ na kuryādityarthaḥ //44//	vicAlayet-vizaya-aBimuKam na kuryAt-iti-arTaH //44//
   START MandUpK 3.45	START Mandu-upK 3.45
   nāsvādayet sukhaṃ tatra niḥsaṅgaḥ prajñayā bhavet /	na-AsvAdayet suKam tatra niHsaFgaH prajQayA Bavet /
   niścalaṃ niścarac cittam ekīkuryāt prayatnataḥ // MandUpK_3.45 //	niScalam niScarat cittam ekIkuryAt prayatnataH // Mandu-upK_3.45 //
   MandUpKC_3.45	Mandu-upKC_3.45
   samādhitsato yogino yatsukhaṃ jāyate tannākhādayet, tatra na	samADitsataH yoginaH yat-suKam jAyate tat-na-AKAdayet, tatra na
   rajyetetyarthaḥ /	rajyeta-iti-arTaH /
   kathaṃ tarhi? niḥsaṅgo niḥspṛhaḥ prajñayā vivekabuddhyā yadupalabhyate	kaTam tarhi? niHsaFgaH niHspRhaH prajQayA viveka-budDyA yat-upalaByate
   sukhaṃ tadavidyāparikalpitaṃ mṛṣaiveti vibhāvayet /	suKam tad-avidyA-parikalpitam mRzA-eva-iti viBAvayet /
   tato 'pi sukharāgānnigṛhṇīyādityarthaḥ /	tatas api suKa-rAgAn-nigRhNIyAt-iti-arTaH /
   yathā punaḥ sukharāgānnivṛttaṃ niścalasvabhāvaṃ	yaTA punar suKa-rAgAt-nivRttam niScala-svaBAvam
   sanniścaradbahirnirgacchadbhavati cittaṃ tatastato	sanniScarat-bahis-nirgacCat-Bavati cittam tatas-tatas-
   niyamyoktopāyenātmanyevaikīkuryātprayatnataḥ /	niyamya-ukta-upAyena-Atmani-eva-ekIkuryAt-prayatnataH /
   cittasvarūpasattāmātramevāpādayedityarthaḥ //45//	citta-svarUpa-sattA-mAtram-eva-apAdayet-iti-arTaH //45//
   START MandUpK 3.46	START Mandu-upK 3.46
   yadā na līyate cittaṃ na ca vikṣipyate punaḥ /	yadA na lIyate cittam na ca vikzipyate punar /
   aniṅganam anābhāsaṃ niṣpannaṃ brahma tat tadā // MandUpK_3.46 //	aniFganam anABAsam nizpannam brahma tat tadA // Mandu-upK_3.46 //
   MandUpKC_3.46	Mandu-upKC_3.46
   yathoktopāyena nigṛhītaṃ cittaṃ yadā suṣuöe na Öīyatena ca	yaTA-ukta-upAyena nigRhItam cittam yadA suzuöe na ÖIyatena ca
   punarviṣayeṣuvikṣipyate, aniṅganamacalaṃ nivātapradīpakalpam, anābhāsaṃ na	punar-vizayezu-vikzipyate, aniFganam-acalam nivAta-pradIpa-kalpam, anABAsam na
   kenacitkalpitena viṣayabhāvenāvabhāsata iti, yadaivaṃlakṣaṇaṃ cittaṃ tadā	kenacid-kalpitena vizaya-BAvena-avaBAsate iti, yadA-evaMlakzaNam cittam tadA
   niṣpannaṃ brahma bahmasvarūpeṇa niṣpannaṃ cittaṃ bhavatītyarthaḥ //46//	nizpannam brahma bahma-svarUpeNa nizpannam cittam Bavati-iti-arTaH //46//
   START MandUpK 3.47	START Mandu-upK 3.47
   svasthaṃ śāntaṃ sanirvāṇam akathyaṃ sukham uttamam /	svasTam SAntam sa-nirvANam akaTyam suKam uttamam /
   ajam ajena jñeyena sarvajñaṃ paricakṣate // MandUpK_3.47 //	ajam ajena jQeyena sarvajQam paricakzate // Mandu-upK_3.47 //
   MandUpKC_3.47	Mandu-upKC_3.47
   yathoktaṃ paramārthasukhamātmasatyānubodhalakṣaṇaṃ svasthaṃ svātmani	yaTA-uktam parama-arTa-suKam-Atma-satya-anuboDa-lakzaNam svasTam sva-Atmani
   sthitam, śāntaṃ sarvānarthopaśamarūpam, sanirvāṇaṃ nirvṛtinirmāṇaṃ	sTitam, SAntam sarvAn-arTa-upaSama-rUpam, sa-nirvANam nirvRti-nirmANam
   kaivalyaṃ saha nirvāṇena vartate, taccākathyaṃ na śakyate kathayitum,	kEvalyam saha nirvANena vartate, tat-ca-akaTyam na Sakyate kaTayitum,
   atyantāsādhāraṇaviṣayatvāt, sukhamuttamaṃ niratiśayaṃ hi	atyanta-asa-ADAraNa-vizaya-tva-at, suKam-uttamam niratiSayam hi
   tadyogipratyakṣameva /	tad-yogi-pratyakzam-eva /
   na jātamityajaṃ yathā viṣayaviṣayam /	na jAtam-iti-ajam yaTA vizaya-vizayam /
   ajenānutpannena jñeyenāvyatiriktaṃ satsvena sarvajñarūpeṇa sarvajñaṃ	ajena-anutpannena jQeyena-avyatiriktam satsvena sarvajQa-rUpeNa sarvajQam
   brahmaiva sukhaṃ paricakṣate kathayanti brahmavidaḥ //47//	brahma-eva suKam paricakzate kaTayanti brahma-vidaH //47//
   START MandUpK 3.48	START Mandu-upK 3.48
   sarvo 'pyayaṃ manonigrahādirmṛllohādivatsṛṣṭirupāsanā coktā	sarvaH api-ayam manaH-nigraha-AdiH-mRd-loha-Adi-vat-sRzwiH-upAsanA ca-uktA
   paramārthasvarūpapratipatyupāyatvena na paramārthasatyeti /	parama-arTa-svarUpa-pratipati-upAya-tvena na paramArTa-satyA-iti /
   paramārthasatyaṃ tu	parama-arTa-satyam tu
   na kaścij jāyate jīvaḥ saṃbhavo 'sya na vidyate /	na kaScid jAyate jIvaH saMBavaH asya na vidyate /
   etat tad uttamaṃ satyaṃ yatra kiñcin na jāyate // MandUpK_3.48 //	etat tat uttamam satyam yatra kiQcid na jAyate // Mandu-upK_3.48 //
   MandUpKC_3.48	Mandu-upKC_3.48
   na kaścijjāyate jīvaḥ kartā bhoktā ca notpadyate kenacidapi prakāreṇa /	na kaScid-jAyate jIvaH kartA BoktA ca na-utpadyate kenacid-api prakAreNa /
   ataḥ svabhāvato 'jasyāsyaikasyātmanaḥ saṃbhavaḥ kāraṇaṃ na vidyate nāsti /	atas svaBAvataH ajasya-asya-ekasya-AtmanaH saMBavaH kAraNam na vidyate na-asti /
   yasmānna vidyate 'sya kāraṇaṃ tasmānna kaścijjāyate jīva ityetat /	yasmAt-na vidyate asya kAraNam tasmAt-na kaScid-jAyate jIvaH iti-etat /
