   ācāryakamalaśīlapraṇīto	AcArya kamala SIla praNItaH 
   śrāvakapratyekabuddhabodhau patanti /	SrAvaka pratyekabudDa boDO patanti /
   ye tu asvabhāvaṃ jagad avagamya mahākāruṇyabalena	ye tu asvaBAvam jagat avagamya mahA kAruNya balena
   sakalajagadabhyuddharaṇakṛtaniścayā māyākāravad aviparyastadhiyo	sakala jagat aByudDaraNa kRta niScayA mAyA kAra vat aviparyasta DiyaH 
   vipulapuṇyajñānasaṃbhāraṃ samupāyanti te tathāgataṃ padaṃ	vipula puNya jQAna saMBAram samupAyanti te taTAgatam padam
   prāpyāsaṃsāramaśeṣasya jagataḥ sarvākāraṃ hitasukhāni saṃpādayantaḥ	prApya asaMsAram aSezasya jagataH sarva AkAram hita suKAni saMpAdayantaH
   tiṣṭhanti / te ca jñāna[sambhāra]balena [samasta]kleśaprahāṇān na saṃsāre	tizWanti / te ca jQAna[ samBAra] balena [samasta] kleSa prahANAt na saMsAre
   patanti sarvasattvāpekṣayā ca samupārjitavipulāprameyapuṇyasaṃbhāravaśena	patanti sarva sattva apekzayA ca samupArjita vipula aprameya puNya saMBAra vaSena
   na nirvāṇe patanti, sarvasattvopajīvyāśca bhavanti / tasmān mayā	na nirvANe patanti, sarva sattva upajIvyAH ca Bavanti / tasmAt mayA
   sakalasattvahitasukhādhānārthināpratiṣṭhitanirvāṇam adhigantukāmena	sakala sattva hita suKa ADAna arTinA pratizWita nirvANam aDigantu kAmena
   vipulapuṇyajñāna saṃbhāropārjane 'bhiyogaḥ [sadā] karaṇiyaḥ / tathā coktam	vipula puNya jQAna  saMBAra upArjane aBiyogaH [sadA] karaNiyaH / taTA ca uktam
   āryatathāgataguhyasutre  "jñānasambhāraḥ sarvakleśaprahāṇāya saṃvartate /	Arya taTAgata guhya sutre "jQAna samBAraH sarva kleSa prahANAya saMvartate /
   puṇyasambhāraḥ sarvasattvopajīvitāyai saṃvartate / tasmāt tarhi bhagavan	puNya samBAraH sarva sattva upajIvitAyE saMvartate / tasmAt tarhi Bagavan
   bodhisattvena mahāsattvena puṇyasambhāre jñānasaṃbhāre ca sarvadābhiyogaḥ	boDisattvena mahAsattvena puNya samBAre jQAna saMBAre ca sarvadA aBiyogaH
   karaṇīyaḥ" iti / āryatathāgatotpattisaṃbhasūtre coktam  "sa khalu punareṣa	karaNIyaH" iti / Arya taTA gata utpatti saMBa sUtre ca uktam "sa Kalu punar eza
   tathāgatānāṃ (Bhk 232) saṃbhavo naikena kāraṇena bhavati / tat kasya	taTAgatAnAm (Bhj 232) saMBavaH na ekena kAraNena Bavati / tat kasya
   hetoḥ? samudāgataistāvad bho	hetoH? samudAgatEH tAvat Bo
   jinaputrāprameyaśatasahasradaśakāraṇaistathāgatāḥ samudāgacchanti /	jinaputra aprameya Sata sahasra daSa kAraNEH taTAgatAH samudAgacCanti /
   katamairdaśabhiryadutāprameyapuṇyajñānasambhārātṛptisamudāgamakāraṇeneti"	katamEH daSaBiH yat uta aprameya puNya jQAna samBArA tRpti samudAgama kAraNena iti"
   vistara / āryavimalakīrtinirdeśe coktam  "śatapuṇyanirjātāḥ	vistara / Arya vimala kIrti nirdeSe ca uktam "Sata puNya nirjAtAH
   sarvakuśaladharmanirjātā apramāṇakuśalamūlakarmanirjātāḥ	sarva kuSala Darma nirjAtAH apramANa kuSala mUla karma nirjAtAH
   kāyāstathāgatasyeti" vistaraḥ /	kAyAH taTAgatasya iti" vistaraH /
   tad evaṃ kṛtvā śanaiḥ paryaṅkaṃ bhittvā daśadigvyavasthitān	tat evam kRtvA SanEs paryaFkam BittvA daSa diS vi avasTitAn
   sarvabuddhabodhisattvān praṇipatya tebhyaśca pūjāstotropahāraṃ	sarva budDa boDisattvAn praNipatya teByaH ca pUjA stotra upahAram
   kṛtvāryabhadracaryādipraṇidhānaṃ pranidadhīta / tataḥ	kRtvA Ari aBadra caryA Adi praNiDAnam pranidaDIta / tatas 
   śūnyatākaruṇāgarbhānuttarasaṃbodhipariṇāmitasakaladānādipuṇyasaṃbhāropārjanābhiyukto	SUnyatA karuNA garBa anuttara saMboDi pariNAmita sakala dAna Adi puNya saMBAra upArjana aBiyuktaH 
   bhavet /	Bavet /
   yastu manyate, cittavikalpasamutthāpitaśubhāśubhakarmavaśena sattvāḥ	yaH tu manyate, citta vikalpa samutTApita SuBa aSuBa karma vaSena sattvAH
   svargādikarma phalamanubhavantaḥ saṃsāre saṃsaranti / ye punarna	svarga Adi karma Palam anuBavantaH saMsAre saMsaranti / ye punar na
   kiñciccintayanti nāpi kiñcit karma kurvanti te parimucyante saṃsārāt /	kiQcid cintayanti na api kiQcid karma kurvanti te parimucyante saMsArAt /
   tasmānna kiñciccintayitavyam / nāpi dānādikuśalacaryā kartavyā / kevalaṃ	tasmAt na kiQcid cintayitavyam / na api dAna Adi kuSala caryA kartavyA / kevalam
   mūrkhajanamadhikṛtya dānādikuśalacaryā nirdiṣṭeti / tena sakalamahāyānaṃ	mUrKa janam aDikRtya dAna Adi kuSala caryA nirdizwA iti / tena sakala mahAyAnam
   pratikṣiptaṃ bhavet / mahāyānamūlatvācca sarvayānānāṃ tatpratikṣepeṇa	pratikziptam Bavet / mahAyAna mUla tvAt ca sarva yAnAnAm tad pratikzepeNa
   sarvam eva yānaṃ pratikṣiptaṃ syāt / tathā hi 'na kiñciccintayitavyamiti'	sarvam eva yAnam pratikziptam syAt / taTA hi ana kiQcid cintayitavyam iti a
   bruvata bhutapratyavekṣālakṣaṇā prajñā pratikṣiptā bhavet /	bruvata Buta pratyavekzA lakzaNA prajQA pratikziptA Bavet /
   bhūtapratyavekṣā mūlatvāt samyagjñānasya tatpratikṣepā llokottarāpi prajñā	BUta pratyavekzA  mUla tvAt samyak jQAnasya tad pratikzepAH lloka uttarA api prajQA
   pratikṣiptā bhavet / tatpratikṣepāt sarvākārajñatā pratikṣiptā bhavet /	pratikziptA Bavet / tad pratikzepAt sarva AkAra jQa tA pratikziptA Bavet /
   nāpi dānādicaryā kartavyeti vadatā copāyo dānādiḥ sphuṭatarameva	na api dAna Adi caryA kartavyA iti vadatA ca upAyaH dAna AdiH sPuwataram eva
   pratikṣiptaḥ /	pratikziptaH /
   etāvad eva ca saṃkṣiptaṃ mahāyānaṃ yaduta prajñopāyaśca / yathoktam	etAvat eva ca saMkziptam mahAyAnam yat uta prajQA upAyaH ca / yaTA uktam
   āryagayāśīrṣe  "dvāvimau bodhisattvānāṃ saṃkṣiptau mārgau / katamau dvau?	Arya gayASIrze "dvO= imO boDisattvAnAm saMkziptO mArgO / katamO dvO?
   yaduta (Bhk 233) prajñā copāyaśca /" āryatathāgataguhyasūtre coktam  "imau	yat uta (Bhj 233) prajQA ca upAyaH ca /" Arya taTAgata guhya sUtre ca uktam "imO
   ca prajñopāyau bodhisattvānāṃ sarvapāramitāsaṃgrahāya saṃvartete" iti /	ca prajQA upAyO boDisattvAnAm sarva pAramitA saMgrahAya saMvartete" iti /
   tataśca mahāyānaṃ pratikṣipatā mahat karmāvaraṇaṃ kṛtaṃ syāt / tasmād	tatas ca mahAyAnam pratikzipatA mahat karma AvaraNam kRtam syAt / tasmAt 
   [mahāyānaṃ pratikṣipataḥ, alpaśrutasya, ātmadṛṣṭiṃ parāmṛśataḥ,]	[mahAyAnam pratikzipataH, alpa Srutasya, Atma dRzwim parAmRSataH,]
   asyānupāsitavidvajjanasyānavadhārita tathāgata pravacananīteḥ svayaṃ	asya anupAsita vidvat janasya anavaDArita  taTAgata  pravacana nIteH svayam
   vinaṣṭasya parān api nāśayato yuktyāgamadūṣitatvāt, viṣasaṃsṛṣṭavacanaṃ	vinazwasya parAn api nASayataH yukti Agama dUzita tvAt, viza saMsRzwa vacanam
   saviṣabhojanamiva ātmakāmena dhīmatā dūrata eva parihartavyam /	sa viza Bojanam iva Atma kAmena DImatA dUratas eva parihartavyam /
   tathā hyanena bhūtapratyavekṣāṃ pratikṣipatā dharmapravicayākhyaṃ	taTA hi anena BUta pratyavekzAm pratikzipatA Darma pravicaya AKyam
   pradhānam eva bodhyaṅgaṃ pratikṣiptaṃ syāt / vinā ca mūtapratyavekṣayā	praDAnam eva boDi aFgam pratikziptam syAt / vinA ca mUta pratyavekzayA
   yoginaḥ katham anādikālābhyastarūpādibhāvābhiniveśasya cittaṃ	yoginaH kaTam anAdi kAla aByasta rUpa Adi BAva aBiniveSasya cittam
   nirvikalpatāṃ praviśet? sarvadharmeṣvasmṛtyamanasikāreṇa praviśatīti cet,	nirvikalpa tAm praviSet? sarva Darmezu asmRtya manasikAreNa praviSati iti ced ,
   tad ayuktam / na hi vinā bhūtapratyavekṣayānubhūyamāneṣvapi	tat ayuktam / na hi vinA BUta pratyavekzayA anuBUyamAnezu api
   sarvadharmeṣvasmṛtiramanasikāro vā śakyate kartum / yadi ca nāmāmī dharmā	sarva Darmezu asmRtiH amanasikAraH vA Sakyate kartum / yadi ca nAma amI DarmA
   mayāsmartavyā nāpi manasikartavyā ityevaṃ bhāvayannasmṛtimanasikārau teṣu	mayA asmartavyAH na api manasi kartavyAH iti evam BAvayan= asmRti manasikArO tezu
   bhāvayet tadā sutarām eva tena te smṛtā manasikṛtāśca syuḥ / atha	BAvayet tadA sutarAm eva tena te smRtAH manasikRtAH ca syuH / aTa
   smṛtimanasikārābhāvamātram asmṛtyamanasikārāvabhipretau, tadā tayorabhāvaḥ	smRti manasikAra aBAva mAtram asmRtya manasikArO= aBipretO, tadA tayoH aBAvaH
   kena prakāreṇa bhavatīti etad eva vicāryate / na cābhāvaḥ kāraṇaṃ yuktam,	kena prakAreNa Bavati iti etat eva vicAryate / na ca aBAvaH kAraNam yuktam,
   yena tato [nirnimittāmanasikārāt] nirvikalpatā bhavet / [tanmātrato	yena tatas [nirnimitta AmanasikArAt] nirvikalpa tA Bavet / [tanmAtrataH 
   'vikalpatāyāṃ] saṃmurcchitasyāpi smṛtimanasikārābhāvān	avikalpa tAyAM] saMmurcCitasya api smRti manasikAra aBAvAn
   nirvikalpatāpraveśaprasaṅgaḥ / na ca bhūtapratyavekṣāṃ vinānya upāyo 'sti	nirvikalpa tA praveSa prasaFgaH / na ca BUta pratyavekzAm vinA anyaH upAyaH asti
   yena prakāreṇāsmṛtyamanasikārau kuryāt /	yena prakAreNa asmRtya manasikArO kuryAt /
   satyapi cāsmṛtyamanasikārasambhave, vinā bhūtapratyavekṣayā niḥsvabhāvatā	sati api ca asmRtya manasikAra samBave, vinA BUta pratyavekzayA niHsvaBAva tA
   dharmāṇāṃ katham avagatā bhavet? na hi svabhāvata evaṃ dharmāḥ (Bhk 234)	DarmANAm kaTam avagatA Bavet? na hi svaBAvataH evam DarmAH (Bhj 234)
   śūnyāḥ sthitā ityevaṃ vinā tatpratyavekṣayā tacchūnyatāprativedho bhavet /	SUnyAH sTitAH iti evam vinA tad pratyavekzayA tat SUnya tA prativeDaH Bavet /
   nāpi vinā śūnyatāprativedhena āvaraṇaprahāṇaṃ saṃbhavati sarvatra sarveṣāṃ	na api vinA SUnyatA prativeDena AvaraNa prahANam saMBavati sarvatra sarvezAm
   muktiprasaṅgāt /	mukti prasaFgAt /
   kiṃ ca tasya yogino yadi sarvadharmeṣu muṣitasmṛtitayā mūḍhatayā vā	kim ca tasya yoginaH yadi sarva Darmezu muzita smRti tayA mUXa tayA vA
   smṛtimanasikārau na pravartete, tadātyantamūḍhaḥ katham asau yogī bhavet /	smRti manasikArO na pravartete, tadA atyanta mUXaH kaTam asO yogI Bavet /
   vinā ca bhūtapratyavekṣayā tatrāsmṛtim amanasikāraṃ cābhyastatā moha	vinA ca BUta pratyavekzayA tatra asmRtim amana sikAram ca aByasta tA moha
   evābhyasto bhavet / tata eva samyagjñānāloko dūrīkṛtaḥ syāt / athāsau na	eva aByastaH Bavet / tatas eva samyak jQAna AlokaH dUrIkRtaH syAt / aTa asO na
   muṣitasmṛtirnāpi mūḍhaḥ, tadā kathaṃ tatrāsmaraṇam amanasikāraṃ kartu	muzita smRtiH na api mUXaH, tadA kaTam tatra asmaraNam amana sikAram kartu
   śaknuyād vinā bhūtapratyavekṣayā / na hi smaranneva na smarati, paśyan eva	SaknuyAt vinA BUta pratyavekzayA / na hi smaran= eva na smarati, paSyan eva
   na paśyatīti yuktam abhidhātum / asmṛtyamanasikārābhyāsācca kathaṃ	na paSyati iti yuktam aBiDAtum / asmRtya manasikAra aByAsAt ca kaTam
   pūrvanivāsānusmṛtyādi buddhadharmodayo bhavet, virodhāt, na	pUrva nivAsa anusmRtyAdi budDa Darma udayaH Bavet, viroDAt, na
   hyuṣṇaviruddhaṃ śītam āsevamānasya uṣṇasparśasaṃvedanaṃ bhavet /	hi uzNa virudDam SItam AsevamAnasya uzNa sparSa saMvedanam Bavet /
   kiṃ ca samādhisamāpannasya yogino yadi manovijñānam asti, tadāvaśyaṃ tena	kim ca samADi samApannasya yoginaH yadi manaH vijQAnam asti, tadA avaSyam tena
   kiṃcid ālambayitavyam / na hi pṛthagjanānāṃ sahasā nirālambanaṃ jñānaṃ	kiMcid Alambayitavyam / na hi pRTagjanAnAm sahasA nirAlambanam jQAnam
   bhavet / atha nāsti, tadā kathaṃ niḥsvabhāvatā dharmāṇāmavagatā bhavet?	Bavet / aTa nAsti, tadA kaTam niHsvaBAva tA DarmANAm avagatA Bavet ?
   kena ca pratipakṣeṇa kleśāvaraṇaṃ prahīyate? na ca caturthadhyānālābhinaḥ	kena ca pratipakzeNa kleSa AvaraNam prahIyate? na ca caturTa DyAna alABinaH
   pṛthagjanasya cittanirodhaḥ saṃbhavati / tasmāt saddharme	pRTagjanasya citta niroDaH saMBavati / tasmAt sadDarme
   yāvasmṛtyamanasikārau paṭhitau tau bhūtapratyavekṣāpūrvākau draṣṭavyau /	yAvasmRtya manasikArO paWitO tO BUta pratyavekzA pUrvAkO drazwavyO /
   asmād bhūtapratyavekṣayāsmṛtirmanasikāraśca śakyate kartum, nānyathā /	asmAt BUta pratyavekzayA asmRtiH manasikAraH ca Sakyate kartum, na anyaTA /
   tathā hi yadā nirūpayan samyakprajñayā yogī kālatraye paramārthataḥ	taTA hi yadA nirUpayan samyak prajQayA yogI kAla traye paramArTataH
   samutpannaṃ na kaṃcid dharma paśyati, tadā tatra kathaṃ smṛtimanasikārau	samutpannam na kaMcid Darma paSyati, tadA tatra kaTam smRti manasikArO
   kuryāt / yo hi kālatraye 'pyasattvān nānubhūtaḥ paramārthataḥ sa kathaṃ	kuryAt / yaH hi kAla traye api asattvAt na anuBUtaH paramArTataH sa kaTam
   smaryeta, manasi vā kriyeta / tato 'sau sarvaprapañcopaśamaṃ nirvikalpaṃ	smarI eta, manasi vA kriyeta / tatas asO sarva prapaQca upaSamam nirvikalpam
   jñānaṃ praviṣṭo bhavet / tatpraveśācca śūnyatāṃ pratividhyati	jQAnam pravizwaH Bavet / tad praveSAt ca SUnyatAm prativiDyati
   tatprativedhācca prahīṇasakalakudṛṣṭijālo bhavati /	tad prativeDAt ca prahINa sakala kudRzwi jAlaH Bavati /
   (Bhk 235)	(Bhj 235)
   upāyayuktaḥ prajñāsevanataśca samyak saṃvṛtiparamārthasatyakuśalo bhavati	upAya yuktaH prajQA sevanataH ca samyak saMvRti parama arTa satya kuSalaH Bavati
   / ato 'nāvaraṇajñānalābhāt sarvān eva buddhadharmān adhigacchati /	/ atas anAvaraNa jQAna lABAt sarvAn eva budDa DarmAn aDigacCati /
   tasmānna vinā bhūtapratyavekṣayā samyagjñānodayo nāpi kleśāvaraṇaprahāṇām	tasmAt na vinA BUta pratyavekzayA samyak jQAna udayaH na api kleSa AvaraNa prahANAm
   / tathā coktaṃ mañjuśrīvikurvitasūtre  "kathaṃ dārike bodhisattvo	/ taTA ca uktam maQju SrI vikurvita sUtre "kaTam dArike boDisattvaH 
   vijitasaṃgrāmo bhavati? āha, yo mañjuśrīḥ vicāya vicāya sarvadharmān	vijita saMgrAmaH Bavati? Aha, yaH maQjuSrIH vicAya vicAya sarva DarmAn
   nopalabhate" iti / tasmād visphāritajñānacakṣuḥ prajñāśastreṇa kleśārīn	na upalaBate" iti / tasmAt visPArita jQAna cakzuH prajQA SastreNa kleSa arIn
   nirjitya, nirbhayo viharan yogī, na tu kātarapuruṣa iva vinimīlitākṣaḥ /	nirjitya, nirBayaH viharan yogI, na tu kAtara puruzaH iva vinimIlita akzaH /
   āryasamādhirāje 'pyuktam 	Arya samADi rAje api uktam 
   nairātmyadharmān yadi pratyevekṣate tān pratyavekṣya yadi bhāvayet /	nErAtmya DarmAn yadi pratyevekzate tAn pratyavekzya yadi BAvayet /
   sa hetu nirvāṇapahalasya prāptaye yo 'nyaheturna sa bhoti śāntaye // iti /	sa hetu nirvANa pahalasya prAptaye yaH anya hetuH na sa Boti SAntaye // iti /
   sutrasamuccaye coktam  "ātmanā vipaśyanāyogam anuyukto viharati parāṃśca	sutra samuccaye ca uktam "a AtmanA vipaSyana ayogam anuyuktaH viharati parAn= ca
   vipaśyanāyāṃ nābhiyojayatīti mārakarmeti /" vipaśyanā ca	vipaSyanAyAm na aBiyojayati iti mAra karma iti /" vipaSyanA ca
   bhūtapratyavekṣāsvabhāvā āryaratnamegha sandhinirmocanādau, āryaratnameghe	BUta pratyavekzA svaBAvAH Arya ratna meGa  sanDi nirmocana AdO, Arya ratna meGe
   ca  "vipaśyanāṃ nirūpayato niḥsvabhāvatāprativedhad animittapraveśa uktaḥ	ca "vipaSyanAm nirUpayataH niHsvaBAvatA prativeDat animitta praveSaH uktaH
   /" āryalaṅkāvatāre coktam  "yasmāt, mahāmate, buddhayā vicāryamāṇānāṃ	/" Arya laFka avatAre ca uktam "yasmAt, mahAmate, budDayA vicAryamANAnAm
   svasāmānyalakṣaṇaṃ bhāvānāṃ nāvadhāryate / tenocyante niḥsvabhāvāḥ	sva sAmAnya lakzaNam BAvAnAm na avaDAryate / tena ucyante niHsvaBAvAH
   sarvadharmāḥ" iti / tatra tatra sūtre yā bhagavatā nānāprakārā pratyavekṣā	sarva DarmAH" iti / tatra tatra sUtre yA BagavatA nAnA prakArA pratyavekzA
   nirdiṣṭā sā virudhyate, yadi bhūtapratyavekṣā na kartavyā / tasmād evaṃ	nirdizwA sA viruDyate, yadi BUta pratyavekzA na kartavyA / tasmAt evam
   yuktaṃ vaktuṃ vayam alpaprajñā alpavīryāścana śaknumo bāhuśrutyaṃ	yuktam vaktum vayam alpa prajQAH alpa vIrya aH cana SaknumaH bAhu Srutyam
   paryeṣitumiti / na hi tatpratikṣepo yukto bhagavatā (Bhk 236) bahudhā	paryezitum iti / na hi tad pratikzepaH yuktaH BagavatA (Bhj 236) bahuDA
   bāhuśrutyasya varṇitatvāt / tat punarbrahmaparipṛcchāyām uktam  "ye	bAhu Srutyasya varNita tvAt / tat punar brahma paripRcCAyAm uktam "ye
   tvacintyeṣu dharmeṣu [cintana]viprayuktāḥ teṣām ayoniśa iti / tatrāpi ye	tu acintyezu Darmezu [cintana] viprayuktAH tezAm ayoniSaH iti / tatra api ye
   paramārthato 'nutpannānāṃ dharmāṇām utpādaṃ parikalpyānityaduḥkhadirūpeṇa	paramArTataH anutpannAnAm DarmANAm utpAdam parikalpya anitya duHKa dirUpeNa
   śrāvakādivaccintāṃ prakurvanti, teṣāṃ samāropāpavādāntena cintāṃ	SrAvaka Adi vat cintAm prakurvanti, tezAm samAropa apavAda antena cintAm
   pravartayatām ayoniśaḥ tad bhavatīti tatpratiṣedhāya yad uktaṃ na	pravartayatAm ayoniSaH tat Bavati iti tat pratizeDAya yat uktam na
   bhūtapratyavekṣāyāḥ sa pratiṣedhaḥ tasyāḥ sarvasūtreṣvanujñānāt / tathā ca	BUta pratyavekzAyAH sa pratizeDaH tasyAH sarva sUtrezu anujQAnAt / taTA ca
   tatraiva brahmaparipṛcchāyām uktam  "cittaśūro bodhisattva āha yaścittena	tatra eva brahma paripRcCAyAm uktam "citta SUraH boDisattvaH Aha yaH cittena
   sarvadharmāścintayati tatra cākṣato 'nupahataḥ sa tenocyate bodhisattvaḥ"	sarva DarmAH cintayati tatra ca akzataH anupahataH sa tena ucyate boDisattvaH"
   iti / tatraivoktam  "kathaṃ vīryavanto bhavanti, yada sarvajñatācittaṃ	iti / tatra eva uktam "kaTam vIryavantaH Bavanti, yada sarvajQa tA cittam
   vicīyamānānopalabhante" iti / punaḥ tatraivoktam  "matimantaśca te	vicIyam AnAnopala Bante" iti / punar tatra eva uktam "matimantaH ca te
   bhaviṣyanti yoniśo dharmān pratyavekṣaṇatayeti" / punaḥ tatraivoktam 	Bavizyanti yoniSas DarmAn pratyavekzaNa tayA iti" / punar tatra eva uktam 
   "pravicinvanti te dharmān yathā māyāmarīciketi" /	"pravicinvanti te DarmAn yaTA mAyA marIciketi" /
   tad evaṃ yatra yatrācintyādiprapañcaḥ śrūyate, tatra tatra	tat evam yatra yatra acintya Adi prapaQcaH SrUyate, tatra tatra
   śrutacintāmātreṇaiva tattvādhigamaṃ ye manyante, teṣām	Sruta cintA mAtreNa eva tattva aDigamam ye manyante, tezAm
   abhimānapratiṣedhena pratyātmavedanīyatvaṃ dharmāṇāṃ pratipādayate /	aBimAna pratizeDena pratyAtma vedanIya tvam DarmANAm pratipAdayate /
   ayoniśaśca cittapratiṣedhaḥ kriyata iti boddhavyam, na bhūtapratyavekṣāyāḥ	ayoniSaH ca citta pratizeDaH kriyate iti bodDavyam, na BUta pratyavekzAyAH
   pratiṣedhaḥ / anyathā bahutaraṃ yuktyāgamaviruddhaṃ syāt / yathoktaṃ prāk	pratizeDaH / anyaTA bahutaram yukti Agama virudDam syAt / yaToktam prAk 
   / kiñca yad eva śrutacintāmayyā prajñayā viditaṃ tad eva bhāvanāmayyā	/ kiQca yat eva Sruta cintA mayyA prajQayA viditam tat eva BAvanA mayyA
   prajñayā bhāvanīyaṃ nānyat / saṃdiṣṭa dhāvanabhūmyaśvadhāvanavat / tasmāt	prajQayA BAvanIyam na anyat / saMdizwa DAvana BUmi aSva DAvana vat / tasmAt 
   bhūtapratyavekṣā kartavyā / yadi nāmāsau vikalpasvabhāvātathāpi yoniśo	BUta pratyavekzA kartavyA / yadi nAma asO vikalpa svaBAvA taTA api yoni So
   manasikārasvabhāvatvāt tato bhūta nirvikalpajñānodaya iti kṛtvā	manasikAra svaBAva tvAt tatas BUta nirvikalpa jQAna udayaH iti kRtvA
   tajjñānārthinā sā sevanīyā / nirvikalpe ca bhutajñānāgnau (Bhk 237)	tad jQAna arTinA sA sevanIyAH / nirvikalpe ca Buta jQAna agnO (Bhj 237)
   samutpanne, sati, kāṣṭhadvayanigharṣasaṃjātavanhinā tatkāṣṭhadvayadāhavat	samutpanne, sati, kAzWa dvaya niGarza saMjAta vanhinA tad kAzWa dvaya dAhavat
   sāpi paścāt tenaiva dahyata evetyuktam āryaratnakūṭe /	sA api paScAt tena eva dahyate eva iti uktam Arya ratna kUwe /
   yaccāpyucyate  na kiṃcit kuśalādikarma kartavyam iti / tatraivaivaṃ vadatā	yat ca api ucyate na kiMcid kuSala Adi karma kartavyam iti / tatra eva evam vadatA
   karmakṣayān muktirityājīvaka vādābhyupagamo bhavet / na hi	karma kzayAt muktiH iti AjIvaka vAda aByupagamaH Bavet / na hi
   bhagavatpravacane karmakṣayān muktiriṣyate / kiṃ tarhi, kleśakṣayāt /	Bagavat pravacane karma kzayAt muktiH izyate / kim tarhi, kleSa kzayAt /
   anādikālopacittasya hi karmaṇo na śakyate kṣayaḥ kartu tasyānantatvāt /	anAdi kAla upacittasya hi karmaNaH na Sakyate kzayaH kartu tasya ananta tvAt /
   apāyādiṣu ca tatphalaṃ bhuñjānasyāparasyāpi karmaṇaḥ prasūteḥ kleśeṣu	apAya Adizu ca tad Palam BuQjAnasya aparasya api karmaNaH prasUteH kleSezu
   cāvikaleṣu tatkaraṇatayā sthiteṣu karmaṇo niroddhum aśakyatvāt /	ca avikalezu tad karaNa tayA sTitezu karmaNaH nirodDum aSakya tvAt /
   pradīpānirodhe tatprabhāyā anirodhavat / na cāpi tasya vipaśyanāpavādinaḥ	pradIpA niroDe tad praBAyAH aniroDa vat / na ca api tasya vipaSyana apavAdinaH
   kleśakṣayaḥ saṃbhavatītyukta prāk / atha kleśakṣayārtha vipaśyanā	kleSa kzayaH saMBavati iti ukta prAk / aTa kleSa kzaya arTa vipaSyanA
   sevanīyeti manyate, tadā kleśakṣayād eva muktiḥ sidhyatīti karmakṣaye	sevanIyA iti manyate, tadA kleSa kzayAt eva muktiH siDyati iti karma kzaye
   tarhi vyarthaḥ śramaḥ / akuśalakarma na kartavyam iti yuktametat, kuśalaṃ	tarhi vyarTaH SramaH / akuSala karma na kartavyam iti yuktam etat, kuSalam
   tu kimiti pratiṣidhyate / saṃsārāvāhakatvāt pratiṣidhyata iti cet,	tu kim iti pratiziDyate / saMsAra AvAhaka tvAt pratiziDyate iti ced ,
   tadayuktam / yad eva ātmādiviparyāsasamutthāpitam kuśalaṃ tad eva	tat ayuktam / yat eva Atma Adi viparyAsa samutTApitam kuSalam tat eva
   saṃsārāvāhakaṃ bhavati / na tu bodhisattvānāṃ mahākaruṇāsamutthāpitam	saMsAra AvAhakam Bavati / na tu boDisattvAnAm mahA karuNA samutTApitam
   anuttarasaṃbodhipariṇāmitamapi / tathā āryadaśabhūmake eta eva	anuttara saMboDi pariNAmitam api / taTA Arya daSa BUmake ete eva
   daśakuśalakarmapathāḥ pariṇāmanādipariśuddhiviśeṣeṇa	daSa kuSala karma paTAH pariNAmana Adi pariSudDi viSezeNa
   śrāvakapratyekabuddhabodhisattvabuddhatvavāhakā bhavantīti nirdiṣṭam /	SrAvaka pratyekabudDa boDisattva budDa tva vAhakAH Bavanti iti nirdizwam /
   āryaratnakūṭe ca, sarvamahānadīnāṃ mahāsamudre praviṣṭānāṃ payaḥ	Arya ratna kUwe ca, sarva mahA nadInAm mahA samudre pravizwAnAm payaH
   skandhavad bodhisattvānāṃ nānāmukhopacitaṃ kuśalamūlaṃ	skanDa vat boDisattvAnAm nAnA muKa upacitam kuSala mUlam
   sarvajñatāpariṇāmitaṃ sarvajñataikarasaṃ bhavati iti varṇitam /	sarvajQa tA pariNAmitam sarvajQa tA eka rasam Bavati iti varNitam /
   (Bhk 238)	(Bhj 238)
   yā ca buddhabodhisattvānāṃ rūpakāyakṣetrapariśuddhiḥ	yA ca budDa boDisattvAnAm rUpa kAya kzetra pariSudDiH
   prabhāparivāramahābhogatādisaṃpattiḥ dānādipuṇyasambhāraphalasattvena	praBA parivAra mahA Boga tA Adi saMpattiH dAna Adi puNya samBAra Pala sattvena
   tatra tatra sūtre varṇitā bhagavatā sāpi virudhyate /	tatra tatra sUtre varNitA BagavatA sA api viruDyate /
   kuśalacaryāpratiṣedhe ca prātimokṣasaṃvarādirapi pratikṣiptaḥ syāt / tato	kuSala caryA pratizeDe ca prAtimokza saMvara AdiH api pratikziptaH syAt / tatas 
   vyarthameva tasya śiromuṇḍitakāṣāyadhāraṇādi prasajyeta /	vyarTam eva tasya SiraH muNxita kAzAya DAraNa Adi prasajyeta /
   kuśalakarmābhisaṃskāravaimukhye ca sati saṃsāravaimukhyaṃ	kuSala karma aBisaMskAra vEmuKye ca sati saMsAra vEmuKyam
   sattvārthakriyāvaimukhyaṃ ca sevitaṃ bhavet / tato bodhiḥ tasya dūre	sattva arTa kriyA vEmuKyam ca sevitam Bavet / tatas boDiH tasya dUre
   bhavet / uktaṃ hyāryaṃsaṃdhinirmocane  "ekāntasattvārthavimukhasya	Bavet / uktam hi Ari aMsaMDi nirmocane "ekAnta sattva arTa vimuKasya
   ekāntasaṃskārā bhisaṃskāravimukhasya nānuttarāsamyaksaṃbodhiruktā mayeti /	ekAnta saMskArA BisaMskAra vimuKasya na anuttara asamyaksaMboDiH uktA mayA iti /
