   Kalpadrumāvadānamālāyāṃ	Kalpadruma-avadAna-mAlAyAm
   yasya lokahite cittaṃ maitrīyuktam ivātmaje /	yasya loka-hite cittam mEtrI-yuktam iva-Atmaje /
   tena saṃpadyate brahma tasmān maitrīṃ vibhāvaya // KDA_274 //	tena saMpadyate brahma tasmAt mEtrIm viBAvaya // KDA_274 //
   yasya lokeṣu kāruṇyaṃ svātmaje iva duḥkhite /	yasya lokezu kAruNyam sva-Atmaje iva duHKite /
   tena saṃpadyate brahma tasmāt kāruṇiko bhava // KDA_275 //	tena saMpadyate brahma tasmAt kAruNikaH Bava // KDA_275 //
   yac cittaṃ muditaṃ loke sukhībhūte ivātmaje /	yat cittam muditam loke suKIBUte iva-Atmaje /
   tasya saṃjāyate brahma tal loke modavāṃś cara // KDA_276 //	tasya saMjAyate brahma tat loke modavAn cara // KDA_276 //
   yasyopekṣāyutaṃ cittaṃ sarvalokeṣv ivātmaje /	yasya-upekza-ayutam cittam sarva-lokezu iva-Atmaje /
   tasya saṃjāyate brahma tad upekṣāyutaś cara // KDA_277 //	tasya saMjAyate brahma tat upekzA-yutaH cara // KDA_277 //
   etad dhi paramaṃ brahma- vihāraṃ brahmasādhanam* /	etat Di paramam brahma vihAram brahma-sADanam* /
   jñātvā lokahitārthena cara brahmavihāriṇam* (Speyer: brahmavihāraṇam*) //	jQAtvA loka-hita-arTena cara brahma-vihAriNam* (Speyer: brahma-vihAraNam*) //
   KDA_278 //	KDA_278 //
   tataḥ kleśān vinirjitvā svātmacittasamāhitaḥ /	tatas kleSAn vinirjitvA sva-Atma-citta-samAhitaH /
   brahmapraṇidhim ālambya sthirībhava samādhiṣu // KDA_279 //	brahma-praNiDim Alambya sTirIBava samADizu // KDA_279 //
   -------------------- Vaidya, p. 283 --------------------	------------------- VEdya, p. 283 --------------------
   tathā brahmaguṇādhānād brahmarṣis tvaṃ bhaveḥ kila /	taTA brahma-guNa-ADAnAt brahmarziH tvam BaveH kila /
   pañcābhijñapadaprāpto brahmalokam avāpnuyāḥ // KDA_280 //	paQca-aBijQa-pada-prAptaH brahma-lokam avApnuyAH // KDA_280 //
   iti śrutvā guror vākya sa subhūtir guṇotsukaḥ /	iti SrutvA guroH vAkya sa suBUtiH guNa-utsukaH /
   tatheti pratisaṃśrutya dhyānacaryām upāśrayat* // KDA_281 //	taTA-iti pratisaMSrutya DyAna-caryAm upASrayat* // KDA_281 //
   tato 'nyad vanam āśritya guror ājñāsamādhṛtaḥ /	tatas anyat vanam ASritya guroH AjQA-samADRtaH /
   sarvendriyavinirgatyā vyaharaddhyānatatparaḥ // KDA_282 //	sarva-indriya-vinirgatyAH vyaharat-DyAna-tatparaH // KDA_282 //
   tatrādhivasato 'syāpi krodhāgniḥ samudīritaḥ /	tatra-aDivasataH asya-api kroDa-agniH samudIritaH /
   karmādhānabalābhyāsān naiva śāntim upāyayau // KDA_283 //	karma-ADAna-bala-aByAsAt na-eva SAntim upAyayO // KDA_283 //
   tatra ca vanaṣaṇḍe yā vasantī vanadevatā /	tatra ca vana-zaNxe yA vasantI vana-devatA /
   sā subhūtiṃ mahākrodhaṃ dṛṣṭvaivaṃ samacintayat* // KDA_284 //	sA suBUtim mahA-kroDam dRzwvA-evam samacintayat* // KDA_284 //
   subhūtir brāhmaṇo hy eṣa sarvavedārthapāragaḥ /	suBUtiH brAhmaNaH hi eza sarva-veda-arTa-pAragaH /
   sarvamantravidhānajñaḥ sutīkṣṇakrodhabāhulaḥ // KDA_285 //	sarva-mantra-viDAna-jQaH su-tIkzNa-kroDa-bAhulaH // KDA_285 //
   kadācit kupitaś cāyaṃ krodhataḥ śāpavahninā /	kadAcid kupitaH ca-ayam kroDataH SApa-vahninA /
   dhakṣyati parvatāṃś cāpi sapakṣijantumānavān* // KDA_286 //	Dakzyati parvatAn ca-api sa-pakzi-jantu-mAnavAn* // KDA_286 //
   samādhidhyānayukto 'pi naiva cittasamāhitaḥ /	samADi-DyAna-yuktaH api na-eva citta-samAhitaH /
   jñānavijñānadharmeṣu viśeṣaṃ nādhigacchati // KDA_287 //	jQAna-vijQAna-Darmezu viSezam na-aDigacCati // KDA_287 //
   yadi bauddheṣu dharmeṣu niyukto 'yaṃ dvijottamaḥ /	yadi bOdDezu Darmezu niyuktaH ayam dvijottamaH /
   kṣipraṃ kleśān vinirjitya bodhicittaṃ ca lapsyati // KDA_288 //	kzipram kleSAn vinirjitya boDi-cittam ca lapsyati // KDA_288 //
   bodhicitte pralabdhe tu tadā lokahite caret* /	boDi-citte pralabDe tu tadA loka-hite caret* /
   bodhisatvo mahāvijño bhaviṣyati na saṃśayaḥ // KDA_289 //	boDisatvaH mahA-vijQaH Bavizyati na saMSayaH // KDA_289 //
   iti niścitya sā devī kāruṇyahitamānasā /	iti niScitya sA devI kAruNya-hita-mAnasA /
   taṃ subhūtiṃ samāgamya jagādaivaṃ puraḥ sthitā // KDA_290 //	tam suBUtim samAgamya jagAda-evam puras sTitAH // KDA_290 //
   śṛṇu vatsa mahābhāga yan mayā hitam ucyate /	SRNu vatsa mahABAga yat mayA hitam ucyate /
   dhanyo 'si tvaṃ mahādhīra maharṣir dvijasattama // KDA_291 //	DanyaH asi tvam mahADIra mahA-RziH dvijasattamaH // KDA_291 //
   kimarthaṃ vasase caivam ekākī nirjane vane /	kimarTam vasase ca-evam ekAkI nirjane vane /
   niścittaḥ pratisaṃlīnaḥ kāṣṭhapāṣāṇavadvṛthā // KDA_292 //	niScittaH pratisaMlInaH kAzWa-pAzANa-vat-vRTA // KDA_292 //
   dharmārthakāmamokṣeṣu yadi vāñchāsti te yate /	Darma-arTa-kAma-mokzezu yadi vAQCA-asti te yate /
   buddhasya vacanaṃ śrutvā cara saṃbodhisatpathe // KDA_293 //	budDasya vacanam SrutvA cara saMboDisat-paTe // KDA_293 //
   buddho hi bhagavān nāthaḥ sarvajño lokanāyakaḥ /	budDaH hi BagavAn nATaH sarvajQaH loka-nAyakaH /
   munīndraḥ śrīdhanaḥ śāstā sarvadharmānupālakaḥ // KDA_294 //	muni-indraH SrIDanaH SAstA sarva-Darma-anupAlakaH // KDA_294 //
   tasyaiva dharmatā śuddhā daśakuśalasaṃmatā /	tasya-eva DarmatA SudDA daSa-kuSala-saMmatAH /
   ṣaṭ ca pāramitāḥ khyātāḥ paratreha śivaṃkarāḥ // KDA_295 //	zaw ca pAramitAH KyAtAH paratra-iha SivaMkarAH // KDA_295 //
   -------------------- Vaidya, p. 284 --------------------	------------------- VEdya, p. 284 --------------------
   dhanyās te bhikṣavaś caiva buddhasyopāsakāś ca ye /	DanyAH te BikzavaH ca-eva budDasya-upAsakAH ca ye /
   sarvasatvahitārthena saṃbodhiguṇasādhakāḥ // KDA_296 //	sarva-satva-hita-arTena saMboDi-guNa-sADakAH // KDA_296 //
   tvaṃ cāpi hi tathā matvā svaparātmahitārthataḥ /	tvam ca-api hi taTA matvA sva-para-Atma-hita-arTataH /
   triratnaśaraṇaṃ gatvā cara brahman vratottamam* // KDA_297 //	tri-ratna-SaraNam gatvA cara brahman vrata-uttamam* // KDA_297 //
   tataḥ kleśagaṇān hitvā brahmacāriñ jinendravat* /	tatas kleSa-gaNAn hitvA brahmacArin jinendravat* /
   sākṣād arhatpadaṃ prāpya nirvṛtisukham āpnuyāḥ // KDA_298 //	sAkzAt arhat-padam prApya nirvRti-suKam ApnuyAH // KDA_298 //
   iti śrutvā subhūtiḥ sa triratnaguṇavarṇanām* /	iti SrutvA suBUtiH sa tri-ratna-guNa-varNa-nAm* /
   tathānumoditaḥ prāha tāṃ devatāṃ puraḥ sthitām* // KDA_299 //	taTA-anumoditaH prAha tAm devatAm puras sTitAm* // KDA_299 //
   tathāhaṃ devate yāmi saṃbuddhadarśanaṃ prati /	taTA-aham devate yAmi saMbudDa-darSanam prati /
   triratnasamayaṃ prāptum iccāmi tvatprasādataḥ // KDA_300 //	tri-ratna-samayam prAptum iccAmi tvad-prasAdataH // KDA_300 //
   yadi te 'sti kṛpā devi mayi mokṣārthasādhini /	yadi te asti kRpA devi mayi mokza-arTa-sADini /
   saṃbuddhaṃ darśaya kṣipraṃ taddharmeṣu niveśaya // KDA_301 //	saMbudDam darSaya kzipram tad-Darmezu niveSaya // KDA_301 //
   triratnaśaraṇaṃ gatvā cariṣye tad vratottamam* /	tri-ratna-SaraNam gatvA carizye tat vrata-uttamam* /
   tathāśu kṛpayā nītvā māṃ vihāre praveśaya // KDA_302 //	taTA-ASu kRpayA nItvA mAm vihAre praveSaya // KDA_302 //
   iti śrutvā vacas tasya subhūter vanadevatā /	iti SrutvA vacaH tasya suBUteH vana-devatA /
   vijñāya bodhimārgeṣu cittaṃ tathānumoditam* // KDA_303 //	vijQAya boDi-mArgezu cittam taTA-anumoditam* // KDA_303 //
   tata eva samāgṛhya subhūtiṃ brahmacāriṇam* /	tatas eva samAgRhya suBUtim brahmacAriNam* /
   ṛddhyā sākāśamārgeṇa nināya jinamandiram* // KDA_304 //	RdDyA sa-AkASa-mArgeNa ninAya jina-mandiram* // KDA_304 //
   subhūtis tatra saṃprāpto dadarśa jinabhāskaram* /	suBUtiH tatra saMprAptaH dadarSa jina-BAskaram* /
   bhagavantaṃ mahāsaumyaṃ lakṣaṇaiḥ samalaṃkṛtam* // KDA_305 //	Bagavantam mahA-sOmyam lakzaNEH samalaMkRtam* // KDA_305 //
   vyañjanaiś ca virājantaṃ vyāmaprabhāmahojjvalam* /	vyaQjanEH ca virAjantam vyAma-praBA-mahA-ujjvalam* /
   sahasrakiraṇādhikyaṃ ratnāṅgam iva jaṅgamam* // KDA_306 //	sahasra-kiraNa-ADikyam ratna-aFgam iva jaFgamam* // KDA_306 //
   samantato mahābhadraṃ jagannāthaṃ munīśvaram* /	samantataH mahABadram jagannATam muni-ISvaram* /
   sarvadevādhipaṃ samyak- saṃbodhiguṇasāgaram* // KDA_307 //	sarva-deva-aDipam samyak saMboDi-guNa-sAgaram* // KDA_307 //
   dṛṣṭvaiva sahasā cātha subhūtes tasya sarvathā /	dRzwvA-eva sahasA ca-aTa suBUteH tasya sarvaTA /
   ādhāto yaś ca satveṣu sa prativigato 'py abhūt* // KDA_308 //	ADAtaH yaH ca satvezu sa prativigataH api aBUt* // KDA_308 //
   tataḥ prasādajāto 'sau subhūtir dvijasattamaḥ /	tatas prasAda-jAtaH asO suBUtiH dvijasattamaH /
   natvā pādau muner dharmaṃ śrotuṃ tasthau mudāḥ puraḥ // KDA_309 //	natvA pAdO muneH Darmam Srotum tasTO mudAH puras // KDA_309 //
   tato 'sau bhagavāṃs tasya subhūteś cittaśuddhatām* /	tatas asO BagavAn tasya suBUteH citta-SudDa-tAm* /
   jñātvāryasatyadharmāṇi dideśaivaṃ savistaram // KDA_310 //	jQAtvA-Ari-a-sati-aDarmANi dideSa-evam sa-vistaram // KDA_310 //
   śṛṇu vipra mahābhāga sarvasatvahitārthataḥ /	SRNu vipra mahABAga sarva-satva-hita-arTataH /
   yadi te dharmavāñchāsti saṃbodhipadasādhane // KDA_311 //	yadi te DarmavAn-SA-asti saMboDi-pada-sADane // KDA_311 //
   -------------------- Vaidya, p. 285 --------------------	------------------- VEdya, p. 285 --------------------
   bhāvanīyā sadā maitrī satveṣ evaṃ yathātmaje /	BAvanIyA sadA mEtrI satveH evam yaTA-Atmaje /
   dharmamātā yato maitrī tan na tyājyā kadācana // KDA_312 //	DarmamAtA yatas mEtrI tat na tyAjyA kadAcana // KDA_312 //
   karuṇā ca tathā kāryā satveṣ api yathātmaje /	karuNA ca taTA kAryA satveH api yaTA-Atmaje /
   kāruṇyād vardhate dharmas ta kāruṇyaṃ sadā kuru // KDA_313 //	kAruNyAt varDate DarmaH ta kAruNyam sadA kuru // KDA_313 //
   muditāpi sadā sādhyā satveṣu ca yathātmaje /	muditA-api sadA sADyA satvezu ca yaTA-Atmaje /
   muditāṃ hi samālambya bodhipadam avāpnuyāḥ // KDA_314 //	muditAm hi samAlambya boDi-padam avApnuyAH // KDA_314 //
   upekṣāpi sadā dhāryā satveṣv api yathātmaje /	upekzA-api sadA DAryA satvezu api yaTA-Atmaje /
   upekṣāto labhet saukhyaṃ tadupekṣāṃ sadā bhaja // KDA_315 //	upekzAtaH laBet sOKyam tad-upekzAm sadA Baja // KDA_315 //
   ime dharmā hi catvāraś caturvargaphalāptaye /	ime DarmAH hi catvAraH caturvarga-Pala-Aptaye /
   tatprāptyai sādhyatāṃ yatnāc caturbrahmavihāratā // KDA_316 //	tad-prAptyE sADya-tAm yatnAt catur-brahma-vihAra-tA // KDA_316 //
   iti śrutvāryadharmāṇi sa subhūtiḥ pramoditaḥ /	iti SrutvA-Arya-DarmANi sa suBUtiH pramoditaH /
   kleśasaṃghān vinirjitya buddhadharmaṃ samaikṣata // KDA_317 //	kleSa-saMGAn vinirjitya budDa-Darmam samEkzata // KDA_317 //
   satkāyadṛṣṭiśailaṃ ca viṃśatiśikharodgatam* /	satkAya-dRzwi-SElam ca viMSati-SiKara-udgatam* /
   vidārya jñānavajreṇa saṃsāraratiniḥspṛhaḥ // KDA_318 //	vidArya jQAna-vajreNa saMsAra-rati-niHspRhaH // KDA_318 //
   srotāpattiphalaṃ sākṣāt kṛtvā śiṣyo 'bhavan muneḥ (Speyer: śikṣo) /	srotApatti-Palam sAkzAt kRtvA SizyaH aBavat muneH (Speyer: Sikzo) /
   dṛṣṭasatyo 'tha saṃbuddhaṃ natvā caiva kṛtāñjaliḥ // KDA_319 //	dRzwa-satyaH aTa saMbudDam natvA ca-eva kRtAQjaliH // KDA_319 //
   pravrajyāprārthanāṃ cakre svākhyātadharmasādhane /	pravrajyA-prArTanAm cakre su-AKyAta-Darma-sADane /
   namas te bhagavan nātha sarvasatvānupālaka // KDA_320 //	namaH te Bagavat nATa sarva-satva-anupAlaka // KDA_320 //
   adyāgreṇa jagadbandho yāmi te śaraṇaṃ sadā /	adya-agreNa jagat-banDaH yAmi te SaraNam sadA /
   tathā dharme ca saṃgheṣu saṃbodhiguṇaprāptaye // KDA_321 //	taTA Darme ca saMGezu saMboDi-guNa-prAptaye // KDA_321 //
   pravrajyāṃ dehi me nātha saddharmeṣu niveśaya /	pravrajyAm dehi me nATa sat-Darmezu niveSaya /
   brahmacaryaṃ cariṣye 'haṃ tvadājñāṃ śirasā vahan* // KDA_322 //	brahmacaryam carizye aham tvad-AjQAm SirasA vahan* // KDA_322 //
   ity ukte bhagavān dṛṣṭvā hastena tacchiraḥ spṛśan* /	iti ukte BagavAn dRzwvA hastena tat-SiraH spRSan* /
   ehi bhikṣo carasveti pravadaṃs taṃ samagrahīt* // KDA_323 //	ehi BikzaH carasva-iti pravadan tam samagrahIt* // KDA_323 //
   ehīti proktaḥ sa jinena muṇḍo pātrī susaṃghāṭiparītadehaḥ /	ehi-iti proktaH sa jinena muNxaH pAtrI su-saMGAwi-parIta-dehaH /
   sadyaḥ praśāntendriya eva tasthau bhikṣuḥ subhūtiḥ sugataprabhāvāt* //	sadyas praSAnta-indriyaH eva tasTO BikzuH suBUtiH sugata-praBAvAt* //
   KDA_324 //	KDA_324 //
   saccittalabdhaḥ sa muneḥ prasādāt prayujyamāno vyaharat samādhau /	sat-citta-labDaH sa muneH prasAdAt prayujyamAnaH vyaharat samADO /
   vyāyacchamānaḥ khalu bodhimārge saṃbuddhadharme ghaṭamāna eva // KDA_325	vyAyacCamAnaH Kalu boDi-mArge saMbudDa-Darme GawamAnaH eva // KDA_325
   sarvaṃ ca saṃsāram anityatāhataṃ matvā ca saṃsāragatiṃ vibhaṅginīm* /	sarvam ca saMsAram anitya-tA-hatam matvA ca saMsAra-gatim viBaFginIm* /
   kleśāṃś ca sarvān pravihāya saṃyataḥ sākṣāc ca so 'rhann abhavan	kleSAn ca sarvAn pravihAya saMyataH sAkzAt ca saH arhan aBavan
   maharddhikaḥ // KDA_326 //	mahardDikaH // KDA_326 //
   suvītarāgaḥ samaloṣṭahemā ākāśacitto dhanasāravāsī /	suvIta-rAgaH sama-lozwa-hemA AkASa-cittaH DanasAra-vAsI /
   bhindann avidyādrim ivāṇḍakośaṃ prāpadabhijñāḥ pratisaṃvidaś ca // KDA_327	Bindan avidyA-adrim iva-aNxakoSam prApadaBijQAH pratisaMvidaH ca // KDA_327
   -------------------- Vaidya, p. 286 --------------------	------------------- VEdya, p. 286 --------------------
   satkāralābheṣu parāṅmukatvāt saśakradevāsuramānuṣāṇām* /	satkAra-lABezu parAFmuka-tvAt sa-Sakra-deva-asura-mAnuzANAm* /
   pūjyaś ca mānyo abhivādanīyo babhūva sa brahmavihāracārī // KDA_328 //	pUjyaH ca mAnyaH aBivAdanIyaH baBUva sa brahma-vihAra-cArI // KDA_328 //
   atha subhūtir āyuṣmān samanvāharad ātmavān* /	aTa suBUtiH AyuzmAn samanvAharat AtmavAn* /
   kutaś cyuto 'ham āyātaḥ kutra kena ca karmaṇā // KDA_329 //	kutas cyutaH aham AyAtaH kutra kena ca karmaNA // KDA_329 //
   apaśyat sa tataś ceti pañcajanmaśatāni ca /	apaSyat sa tatas ca-iti paQcajanma-SatAni ca /
   nāgayonisamutpannas tataś cyutvāham āgataḥ // KDA_330 //	nAga-yoni-samutpannaH tatas cyutvA-aham AgataH // KDA_330 //
   yad dveṣābhyāsataś cāsaṃ krūro lokopaghātakaḥ /	yat dveza-aByAsataH ca-Asam krUraH loka-upaGAtakaH /
   tenaiva hetunā cāhaṃ mahadvyasanam āptavān+ // KDA_331 //	tena-eva hetunA ca-aham mahat-vyasanam AptavAn+ // KDA_331 //
   idānīṃ tu tathā caitaṃ krodhaṃ prahātum ācare /	idAnIm tu taTA ca-etam kroDam prahAtum Acare /
   yasyaiva hetunā lokā bhramanti narakeṣu te // KDA_332 //	yasya-eva hetunA lokAH Bramanti narakezu te // KDA_332 //
   tasmād ahaṃ cariṣyāmi niḥsaṅgo nirahaṃkṛtiḥ /	tasmAt aham carizyAmi niHsaFgaH nirahaMkRtiH /
   saṅgād dhi jāyate māyā māyāyāṃ jāyate ratiḥ // KDA_333 //	saFgAt Di jAyate mAyA mAyAyAm jAyate ratiH // KDA_333 //
   ratau rāgo 'bhijāyeta rāge mohaḥ pravardhate /	ratO rAgaH aBijAyeta rAge mohaH pravarDate /
   mūḍhasya drūyate cittaṃ sveṣṭakāryopaghātataḥ // KDA_334 //	mUXasya drUyate cittam sva-izwa-kArya-upaGAtataH // KDA_334 //
   upaghātāhate citte krodhāgniḥ paridīpyate /	upaGAta-Ahate citte kroDa-agniH paridIpyate /
   krodhānalasamuddīpto dahate sa parān api (Speyer: svaparān api) // KDA_335	kroDa-anala-samuddIptaH dahate sa parAn api (Speyer: sva-parAn api) // KDA_335
   yāvat krodhānaloddīptaṃ svacittaṃ kleśavāyubhiḥ /	yAvat kroDa-anala-uddIptam sva-cittam kleSa-vAyuBiH /
   tāvat kiṃ tapasāpy etan nirarthaṃ duḥkhahetave // KDA_336 //	tAvat kim tapasA-api etat nirarTam duHKa-hetave // KDA_336 //
   dharmaṃ sucaritaṃ puṇyaṃ dānaśīlādisādhanam* (Speyer: dharmasucaritaṃ) /	Darmam su-caritam puNyam dAna-SIla-Adi-sADanam* (Speyer: Darma-su-caritaM) /
   kṛtaṃ kalpasahasrair yad dahet krodhānalaḥ kṣaṇāt* // KDA_337 //	kRtam kalpa-sahasrEH yat dahet kroDa-analaH kzaNAt* // KDA_337 //
   tasmāt krodhāgniśāntyarthaṃ kṛtvendriyavinigraham* /	tasmAt kroDa-agni-SAnti-arTam kRtvA-indriya-vinigraham* /
   ekānte hi vaseyaṃ ca viviktāraṇyagocare // KDA_338 //	ekAnte hi vaseyam ca vivikta-araNya-gocare // KDA_338 //
   yadā ca garuḍenāhaṃ balād ākṛṣya bhakṣitaḥ /	yadA ca garuxena-aham balAt AkRzya BakzitaH /
   yatīn dṛṣṭvānumodaṃ ca kurvan mṛtyum avāptavān* // KDA_339 //	yatIn dRzwvA-anumodam ca kurvan mRtyum avAptavAn* // KDA_339 //
   tenaiva hetunā cādya dvijātikulasaṃbhavaḥ /	tena-eva hetunA ca-adya dvijAti-kula-saMBavaH /
   sarvakleśān vinirjitya brahmacārī bhavāmy aham* // KDA_340 //	sarva-kleSAn vinirjitya brahmacArI BavAmi aham* // KDA_340 //
   adyāpi cet tathā cātra vaseyaṃ janapadāśrame(?) /	adya-api ced taTA ca-atra vaseyam janapada-ASrame(?) /
   kenacit kleśitaś cāhaṃ bhraṣṭim evam avāpnuyām* // KDA_341 //	kenacid kleSitaH ca-aham Brazwim evam avApnuyAm* // KDA_341 //
   iti niścitya cittena subhūtir nirahaṃkṛtiḥ /	iti niScitya cittena suBUtiH nirahaMkRtiH /
   vivikte 'raṇyavāse sa niḥsaṅgo nyavasat sudhīḥ // KDA_342 //	vivikte araNya-vAse sa niHsaFgaH nyavasat suDIH // KDA_342 //
   tathaikākī vasaṃs tatra caturthadhyānasaṃyutaḥ /	taTA-ekAkI vasan tatra caturTa-DyAna-saMyutaH /
   phalamūlāmbusaṃtuṣṭo brahmacārī mumoda saḥ // KDA_343 //	Pala-mUla-ambu-saMtuzwaH brahmacArI mumoda saH // KDA_343 //
   -------------------- Vaidya, p. 287 --------------------	------------------- VEdya, p. 287 --------------------
   atha saṅge 'pi grāmeṣu deśe janapadeṣu ca /	aTa saFge api grAmezu deSe janapadezu ca /
   bhikṣāhetor vihartuṃ vā sa sakāmo 'bhavad yadā // KDA_344 //	BikzA-hetoH vihartum vA sa sa-kAmaH aBavat yadA // KDA_344 //
   tadā pūrvam asau dṛṣṭvā gocaram abhyalakṣayat* /	tadA pUrvam asO dRzwvA gocaram aByalakzayat* /
   aho deśeṣu sarvatra bhavanti nirguṇā janāḥ // KDA_345 //	aho deSezu sarvatra Bavanti nirguNAH janAH // KDA_345 //
   mānino madamohāndhā duṣṭā matsariṇaḥ śaṭhāḥ /	mAninaH mada-moha-anDAH duzwAH matsariNaH SaWAH /
   tat kathaṃ saṃcariṣye 'tra bhikṣāhetoḥ kule kule // KDA_346 //	tat kaTam saMcarizye atra BikzA-hetoH kule kule // KDA_346 //
   dūṣayiṣyanti cittāni kecid dṛṣṭvaiva māṃ yatim* /	dUzayizyanti cittAni kecid dRzwvA-eva mAm yatim* /
   yad dhetor janāś caivaṃ(?) bhramanti durgatiṣv api // KDA_347 //	yat DetoH janAH ca-evaM(?) Bramanti durgatizu api // KDA_347 //
   kalpakoṭisahasrāṇi naiva muktāś ca durgateḥ /	kalpa-kowi-sahasrANi na-eva muktAH ca durgateH /
   tad ahaṃ sarvasatveṣu kuntapipīlikādiṣu // KDA_348 //	tat aham sarva-satvezu kunta-pipIlikA-Adizu // KDA_348 //
   dayācittaṃ samālambya vaseyaṃ dhyānasaṃrataḥ /	dayA-cittam samAlambya vaseyam DyAna-saMrataH /
   yenaivaṃ sarvasatānāṃ bhavec cittaṃ prasāditam* /	yena-evam sarva-satAnAm Bavet cittam prasAditam* /
   tam eva dharmam ādhyāya yatir mokṣam avāpnuyāt* // KDA_349 //	tam eva Darmam ADyAya yatiH mokzam avApnuyAt* // KDA_349 //
   iti saṃnahya cittena sa subhūtiḥ subuddhimān* /	iti saMnahya cittena sa suBUtiH su-budDimAn* /
   vivikte 'raṇyadeśe 'pi nyavasad dhyānasaṃrataḥ // KDA_350 //	vivikte araNya-deSe api nyavasat DyAna-saMrataH // KDA_350 //
   atha so 'rhaṃs trimāsānām atyayād bodhimānasaḥ /	aTa saH arhan tri-mAsAnAm atyayAt boDi-mAnasaH /
   ity evaṃ cintayāmāsa lokānugrahakāraṇāt* // KDA_351 //	iti evam cintayAmAsa loka-anugraha-kAraNAt* // KDA_351 //
   kim atra dhyānasaṃlīnaḥ karomi lokabodhanam* /	kim atra DyAna-saMlInaH karomi loka-boDanam* /
   kiyat kālaṃ ca jīveyaṃ kāṣṭhapāṣāṇavat sthitaḥ // KDA_352 //	kiyat kAlam ca jIveyam kAzWa-pAzANa-vat sTitaH // KDA_352 //
   kevalaṃ svamanas tuṣṭyai dhyānaṃ saukhyārthasādhanam* /	kevalam sva-manaH tuzwyE DyAnam sOKya-arTa-sADanam* /
   sukhaṃ labdhvāpi kiṃ sāraṃ satvānugrahaṇaṃ vinā // KDA_353 //	suKam labDvA-api kim sAram satva-anugrahaNam vinA // KDA_353 //
   tasmād dhyānāt samutthāya satvānugrahakāraṇāt* /	tasmAt DyAnAt samutTAya satva-anugraha-kAraNa-at* /
   ṛddhiṃ pradarśya saṃbodhau sthāpayiṣye mahajjanān* // KDA_354 //	RdDim pradarSya saMboDO sTApayizye mahat-janAn* // KDA_354 //
   iti niścitya cittena sa subhūtiḥ samṛddhimān* /	iti niScitya cittena sa suBUtiH samRdDimAn* /
   satvānāṃ vinayārthena prātihāryam adarśayat* // KDA_355 //	satvAnAm vinaya-arTena prAtihAryam adarSayat* // KDA_355 //
   tadṛddhinirmitāny eva garuḍānāṃ mahaujasām* /	tad-RdDi-nirmitAni eva garuxAnAm mahA-ojasAm* /
   pañca kulaśatāny atra prasasrire samantataḥ // KDA_356 //	paQca kula-SatAni atra prasasrire samantataH // KDA_356 //
   etāṃś ca garudān dṛṣṭvā nāgāḥ saṃtrasitās tataḥ /	etAn ca garudAn dRzwvA nAgAH saMtrasitAH tatas /
   itas tataḥ samudbhrāntāḥ subhūteḥ śaraṇaṃ yayuḥ // KDA_357 //	itas tatas samudBrAntAH suBUteH SaraNam yayuH // KDA_357 //
   atha svarddhibalenaiva samāśvāsya subhūtinā /	aTa sva-RdDi-balena-eva samASvAsya suBUtinA /
   sarve nāgāḥ suparṇebhyaḥ paritrātāś ca sarvataḥ // KDA_358 //	sarve nAgAH suparNeByaH paritrAtAH ca sarvatas // KDA_358 //
   -------------------- Vaidya, p. 288 --------------------	------------------- VEdya, p. 288 --------------------
   punas tena suparṇānāṃ vinayārthaṃ subhūtinā /	punar tena suparNAnAm vinaya-arTam suBUtinA /
   svarddhivalaprabhāveṇa mahān nāgo vinirmitaḥ // KDA_359 //	svaRdDi-vala-praBAveNa mahAn nAgaH vinirmitaH // KDA_359 //
   tenāpy evaṃ suparṇānāṃ pañca kulaśatāni ca /	tena-api evam suparNAnAm paQca kula-SatAni ca /
   abhidrutāni nāgena samantata itas tataḥ // KDA_360 //	aBidrutAni nAgena samantataH itas tatas // KDA_360 //
   tenaivābhidrutāḥ sarve garuḍās trāsam āgatāḥ /	tena-eva-aBidrutAH sarve garuxAH trAsam AgatAH /
   itas tataḥ samudbhrāntāḥ subhūteḥ śaraṇaṃ yayuḥ // KDA_361 //	itas tatas samudBrAntAH suBUteH SaraNam yayuH // KDA_361 //
   subhūtinā tathā caivaṃ sarve te garuḍā api /	suBUtinA taTA ca-evam sarve te garuxAH api /
   svarddhibalaprabhāveṇa samāśvāsya surakṣitāḥ // KDA_362 //	sva-RdDi-bala-praBAveNa samASvAsya su-rakzitAH // KDA_362 //
   evam ṛddhiprabhāvāṇi subhūtes tasya sadyateḥ /	evam RdDi-praBAvANi suBUteH tasya sat-yateH /
   dṛṣṭvā sarve janaughās te saharṣādbhutam āyayuḥ // KDA_363 //	dRzwvA sarve jana-oGAH te sa-harza-adButam AyayuH // KDA_363 //
   dhanyo 'yam ṛddhimān bhikṣur arhan saṃbuddhasevakaḥ /	DanyaH ayam RdDimAn BikzuH arhan saMbudDa-sevakaH /
   yenaite rakṣitāḥ sarve nāgāś ca garuḍā api // KDA_364 //	yena-ete rakzitAH sarve nAgAH ca garuxAH api // KDA_364 //
   iti so 'rhan subhūtis tān sarvān dṛṣṭvā prasannitān* /	iti saH arhan suBUtiH tAn sarvAn dRzwvA prasannitAn* /
   saddharme vinayārthena maitrīdharmam upādiśat* // KDA_365 //	sadDarme vinaya-arTena mEtrI-Darmam upAdiSat* // KDA_365 //
