   // tarkatāṇḍavam //	// tarka tANxavam //
   samānaparimāṇālpasaṅkhyākāvayavārabdhāpekṣayā	samAna parimANa alpa saFKyAka avayava ArabDa apekzayA
   tādṛśādhikasaṃkhyākāvayavārabdhadravyagatātiśayitaparimāṇe	tAdRSa aDika saMKyA ka avayava ArabDa dravya gata atiSayita parimANe
   bahutvasaṅkhyāyāśca kāraṇatvadarśanāt sāmānyaviśeṣanyāyena	bahu tva saFKyAyAH ca kAraNa tva darSanAt sAmAnya viSeza nyAyena
   parimāṇasāmānyaṃ prati saṃyogasāmānyasya saṃkhyā 1 sāmānyasya vā	parimANa sAmAnyam prati saMyoga sAmAnyasya saMKyA 1 sAmAnyasya vA
   kāraṇatvamastviti cenmaivam /	kAraNa tvam astu iti ced mA evam /
   na caivaṃ satyaṃśe bādhaḥ / pracayakāraṇatāyā apyanivāraṇāt / na cobhaya2	na ca evam sati aMSe bADaH / pracaya kAraNa tAyAH api anivAraNAt / na ca uBaya2
   kāraṇatvakalpane gauravadoṣaḥ /"dvayorapi kḷptaśaktitvā"diti	kAraNa tva kalpane gOrava dozaH /"dvayoH api k?pta Sakti tvA"diti
   sudhāyāmevoktatvat / na ca kḷptaśaktitvaṃ parimāṇe 3 'siddham /	suDAyAm eva ukta tvat / na ca k?pta Sakti tvam parimANe 3 asidDam /
   kāraṇagatetyādinoktatarkadvayasiddhatvāt / vakṣyamāṇadiśā	kAraNa gata ityAdinA ukta tarka dvaya sidDa tvAt / vakzyamANa diSA
   pracayasaṅkhyayoḥ parimāṇahetutvāditi bhāvaḥ //	pracaya saFKyayoH parimANa hetu tvAt iti BAvaH //
   kāraṇaparimāṇasya kāryaparimāṇaṃ pratīva pracayasaṅkhyayorapi kāraṇatvaṃ	kAraNa parimANasya kArya parimANam pratIva pracaya saFKyayoH api kAraNa tvam
   kḷptamiti iha paramāṇvādigatasaṅkhyāpi kāraṇaṃ syāditi śaṅkate    nanvati	k?ptam iti iha paramANu Adi gata saFKyA api kAraNam syAt iti SaFkate   nanu ati
   // saṃyogaviśeṣasyeti // kāraṇatvadarśanādityanvayaḥ / 4 pracayaḥ	// saMyoga viSezasya iti // kAraNa tva darSanAt iti anvayaH / 4 pracayaH
   prasaṅgādupāttaḥ / bahutvasya kāraṇatvagrahe sthalamāha / samāneti //	prasaFgAt upAttaH / bahu tvasya kAraNa tva grahe sTalam Aha / samAnA iti //
   tulyaparimāṇakapāladvayārabdhaghaṭāpekṣayā 5	tulya parimANa kapAla dvaya ArabDa Gawa apekzayA 5
   tattulyaparimāṇakapālatrayajanyaghaṭagataparimāṇa ityarthaḥ / tādṛśeti //	tad tulya parimANa kapAla traya janya Gawa gata parimANaH iti arTaH / tAdRSA iti //
   pūrvadravyāvayavasamānaparimāṇetyarthaḥ // sāmānyeti // yadviśeṣayoḥ	pUrva dravya avayava samAna parimANA iti arTaH // sAmAnyA iti // yad viSezayoH
   kāryakāraṇabhāvo bādhakābhāve tatsāmānyayorapi kāryakāraṇabhāva iti	kArya kAraNa BAvaH bADaka aBAve tad sAmAnyayoH api kArya kAraNa BAvaH iti
   nyāyenetyarthaḥ //	nyAyena iti arTaH //
   kāryagataparimāṇaṃ prati kāraṇagataparimāṇameva sarvatra heturna tu	kArya gata parimANam prati kAraNa gata parimANam eva sarvatra hetuH na tu
   pracayādirapīti siddhāntayati    maivamityādinā //	pracaya AdiH api iti sidDAntayati   mA evam ityAdinA //
   1.yā vā  cha saṃkhyāsamāmānyeti nāsti  kha. 2.yatra kā  kuṃ. 3.ṇasi mu.	1.yA vA  Ca  saMKyA asamAmA anya iti na asti  Ka. 2.yatra kA  kuM. 3.Nasi mu.
   4.pracayetyādi nāsti kuṃ.  i. 5.tat iti nāsti  mu.	4. pracaya ityAdi nAsti kuM.  i. 5.tat iti na asti  mu.
   īsyā nukatva bhaṅgaḥ) īśvaravādaḥ pu   375.	Isya a nuka tva  BaFgaH) ISvara vAdaH pu  375.
   autsargikasya niyatopasthitikasya ca 1 sādhye satyeva tadviparīte	Otsargikasya niyata upasTitikasya ca 1 sADye sati eva tad viparIte
   pramāṇapravṛtteḥ / na caivaṃ dvyaṇukatryaṇaukaparimāṇayoḥ	pramANa pravRtteH / na ca evam dvi aNuka tri aNOka parimANayoH
   paramāṇuparimāṇasājātyaṃ syāditi vācyam /	paramANu parimANa sAjAtyam syAt iti vAcyam /
   guṇatvāsākṣātdvyāpyajātyā sājātyāpādana iṣṭāpatteḥ / tadvyāpyajātyā	guNa tva asA kzAtd vyApya jAtyA sAjAtya ApAdanaH izwApatteH / tad vyApya jAtyA
   tadāpādane tantuparimāṇagatasya mahatvavyāpyasyā 2	tad ApAdane tantu parimANa gatasya mahatva vyApyasyAH 2
   pakarṣarūpajātiviśeṣasya 3 paṭaparimāṇe 'bhāvena vyabhicārāt / anyathā	pakarza rUpa jAti viSezasya 3 pawa parimANe aBAvena vyaBicArAt / anyaTA
   saṃkhyāsaṃyogajanyatve 'pi mahatsamavetayostayoraṇautvajanakatvaṃ syāt //	saMKyA saMyoga janya tve api mahat samavetayoH tayoH aNa Otva janaka tvam syAt //
   kiñca dvyaṇukādiparimāṇasya kevalasaṅkhyāyo 4 nitya eva	kiQca dvi aNuka Adi parimANasya kevala saFKyAyaH 4 nityaH eva
   dvitvādivatsaṅkhyātvena kāraṇasājātyaṃ syāt //	dvi tva Adi vat saFKyA tvena kAraNa sAjAtyam syAt //
   5 yadvā anyatra saṅkhyāyā 6 mapi 7 kḷptaśaktitva 8 mastu / prakṛte tu	5 yat vA anyatra saFKyAyAH 6 mapi 7 k?pta Sakti tva 8 mastu / prakRte tu
   utsargataḥ prāptaparimāṇahetutvamevāstu bādhakābhāvādityāha   	utsargataH prApta parimANa hetu tvam eva astu bADaka aBAvAt iti Aha   
   maivamityādinā // asti 9 paramāṇvādiparimāṇārambhavāde 'pi	mA evam ityAdinA // asti 9 paramANu Adi parimANa AramBa vAde api
   tulyaparimāṇāpattireva bādhiketyāśaṅkya nirāha    na caivamiti //	tulya parimANa ApattiH eva bADikA iti ASaFkya nirAha   na ca evam iti //
   paramāṇvādiparimāṇasya svakāryagataparimāṇārambhakatva ityevaṃśabdārthaḥ	paramANu Adi parimANasya sva kArya gata parimANa AramBaka tvaH iti evaMSabda arTaH
      sājātyamiti // tathā cāpratyakṣatāpattiriti bhāvaḥ / sākṣādvyāpyeti //	  sAjAtyam iti // taTA ca apratyakzata ApattiH iti BAvaH / sAkzAt vyApya iti //
   parimāṇatvajātyetyarthaḥ //	parimANa tva jAtyA iti arTaH //
   tadvyāpyavyāpyeti // parimāṇaṃ caturvidham / aṇutvaṃ, mahatvaṃ, dīrghatvaṃ	tat vyApi a vyApya iti // parimANam caturviDam / aNu tvan, mahatvan, dIrGa tvam
   hṛsvatvaṃ ceti /	hRsva tvam ca iti /
   1.ca iti nāsti kuṃ. 2.syotka kuṃ ga. 3.paṭapadaṃ na  kha.	1.caH iti nAsti kuM. 2.sya utka  kuM ga. 3.pawa padam na  Ka.
   4.gite ka cha rā. 5.yadvetyādi nāsti  i. 6.yā api  mu.	4.gite  ka  Ca rA. 5.yat vA ityAdi na asti  i. 6.yAH api  mu.
   7.'kḷpta......prakṛtetu' ityantaṃ nāsti  mu. 8.tvepīhotsarga a. 9.stu mu.	7. ak?pta...... prakRtetu a iti antam na asti  mu. 8.tvepi iha utsarga a. 9.stu mu.
   nyāyadīpayutatarkatāṇḍavam (pra.paricchedaḥ pu   376.	nyAya dIpa yuta tarka tANxavam (pra.paricCedaH pu  376.
   kiñca parasiddhaṃ 1 parimāṇatvāvāntaramaṇutvādijātibhedamaṅgīkṛtye 2	kiQca para sidDam 1 parimANa tva avAntaram aNu tva Adi jAti Bedam aFgIkRtye 2
   damuktam //	damuktam //
   vastutastu yathā tryaṇukādiṣu mahatvame 3 kajātīyamevotkarṣāpakarṣavat,	vastutas tu yaTA tri aNuka Adizu mahatvame 3 kajAtIyam eva utkarza apakarzavat,
   yathā 4 cāṇutvaṃ paramāṇudvyaṇukayoḥ evaṃ parimāṇamavāntarajātirahitameva	yaTA 4 ca aNu tvam paramANu dvi aNukayoH evam parimANam avAntara jAti rahitam eva
   sarvadravyeṣūtkārṣāpakarṣavadvartate / etasyaivotkarṣāpakarṣo ca	sarva dravyezu utkArza apakarza vat vartate / etasya eva utkarza apakarzaH ca
   pratiyogibhedena sannikarṣaviprakarṣāvivāviruddhau vistarastu sudhāyāṃ	pratiyogi Bedena sannikarza viprakarzO= iva avirudDO vistaraH tu suDAyAm
   draṣṭavyaḥ //	drazwavyaH //
   nīlatvapītatvādyavāntarajātivatparimāṇatvāntarajāticatuṣṭayamupetya	nIlatva pIta tvAt yavAntara jAti vat parimANa tva antara jAti catuzwayam upetya
   paramāṇāvevāṇuparimāṇaṃ dvyaṇuke hṛsvaparimāṇaṃ tryaṇukādau	paramANO= eva aNu parimANam dvi aNuke hRsva parimANam tri aNuka AdO
   mahatvādityabhyupagamena	mahatvAt iti aByupagamena
   dvyaṇukepyaṇutvarūpaparimāṇatvāvāntarajātimatparimāṇaṃ tryaṇuke ca	dvi aNukepi aNu tva rUpa parimANa tva avAntara jAtimat parimANam tri aNuke ca
   hṛsvatvarūpaparimāṇatvavyāpyajātimatparimāṇaṃ syādityāpādāne cetyarthaḥ //	hRsva tva rUpa parimANa tva vyApya jAtimat parimANam syAt iti ApAdAne ca iti arTaH //
   svotprekṣitapakṣaiḥ sahoktāni pañcamā samādhānānyapi 6 parimāṇa 7	sva utprekzita pakzEH saha uktAni paQcamA samADAnAni api 6 parimANaH 7
   pravādānanu 8 kūlānīti manvānaḥ 'paramatamāśritya parasyedaṃ	pravAdAn anu 8 kUlAni iti manvAnaH aparamatamASritya parasya idam
   dūṣaṇābhidhānam"iti sudhoktaṃ hṛdikṛtvāha   kiñca parāsiddhetyādi //	dUzaNa aBiDAnam "iti suDA uktam hRdikRtvA Aha  kiQca parAsidDa ityAdi //
   1.ddhapa ga kuṃ. 2.tyace mu. 3.ekapadaṃ na  cha kha ka rā.	1.dDapa ga kuM. 2.tyace mu. 3.eka padam na  Ca Ka ka rA.
   4.vā ca cha ka rā. avayavāṇutvaṃ para kha. rasā kuṃ ga. 6.na pari mu a.	4.vA ca  Ca ka rA. avayava aNu tvam para  Ka. rasA  kuM ga. 6.na pari mu a.
   7.ṇvādā  mu   a. 8.dānukū   mu   a.	7.NvAdAH  mu  a. 8.dAnukU  mu  a.
   īsyā nukatva bhaṅgaḥ) īśvaravādaḥ pu   377.	Isya a nuka tva  BaFgaH) ISvara vAdaH pu  377.
   tasmādīśvarasya 5 sārvajñādervedanirapekṣānumānenāsiddheḥ kalpanāgauravaṃ	tasmAt ISvarasya 5 sArvajQa AdeH veda nirapekza anumAnena asidDeH kalpanA gOravam
   sustham //	susTam //
   1 īśvarasyānumānikatvabhaṅgaḥ // 22 //	1 ISvarasya anumAnika tva BaFgaH // 22 //
   2 īśvaravādaḥ samāptaḥ //	2 ISvara vAdaH samAptaH //
   sudhāyāmiti // vaiśeṣikādhikaraṇe samayapāda ityarthaḥ //	suDAyAm iti // vESezika aDikaraNe samaya pAdaH iti arTaH //
   īśvarasyānumānikatvabhaṅgaḥ // 22 //	ISvarasya anumAnika tva BaFgaH // 22 //
   īśvaravādaḥ samāptaḥ //	ISvara vAdaH samAptaH //
   nanu tathāpi varṇasamudāyarūpasya 3 vedasya na nityatvam / śāntaḥ	nanu taTA api varNa samudAya rUpasya 3 vedasya na nitya tvam / SAntaH
   kolāhalaḥ śrutapūrvo gakāro nāstītyādipratyakṣeṇa, varṇo 'nityaḥ bhāvatve	kolAhalaH Sruta pUrvaH gakAraH na asti ityAdi pratyakzeNa, varNaH anityaH BAva tve
   sati kṛtakatvāditayanumānena ca varṇānāmevānityatvāditi ceducyate /	sati kRtaka tvAdi tayanu mAnena ca varNAnAm eva anitya tvAt iti ced ucyate /
   tathāpīti // pauruṣeyatve dharmādyasiddhāvapi 4 kalpanagauravadoṣabhāvepi	taTA api iti // pOruzeya tve Darma Adi asidDO= api 4 kalpana gOrava doza BAvepi
   veda 5 pauruṣeyatve mānābhāvepītyarthaḥ / na nityatvamiti //	veda 5 pOruzeya tve mAna aBAvepi iti arTaH / na nitya tvam iti //
   nānādinityatvamityarthaḥ //	nAnA Adinitya tvam iti arTaH //
   dvitīyastabake kusumāñjalāvudayanoktamāha // śānta iti // śruteti //	dvitIya stabake kusumAQjalO= udayana uktam Aha // SAntaH iti // SrutA iti //
   pūrvaṃ śrutaḥ śrutapūrva ityarthaḥ / śabdo 'nitya	pUrvam SrutaH Sruta pUrvaH iti arTaH / SabdaH anitya
   utpattidharmatvādityudayanānumānasya	utpatti Darma tvAt iti udayana anumAnasya
   pariṣkārapūrvaṃ maṇānuktasyāyamanuvādo varṇa ityādi //	parizkAra pUrvam maNa an uktasya ayam anuvAdaH varNaH ityAdi //
   1.iti ityadhikaṃ  cha. 2.īśvaravādaḥ samāptaḥ iti kha. pustakabhinneṣu	1. iti iti aDikam  Ca. 2.ISvara vAdaH samAptaH iti Ka. pustaka Binnezu
   nāsti. 3.vedapadaṃ na  rā. 4.pyapau i. 5.dāpau i a.	nAsti. 3.veda padam na  rA. 4.pi apO i. 5.da apO i a.
   nyāyadīpayutatarkatāṇḍavam (pra.paricchedaḥ pu   378.	nyAya dIpa yuta tarka tANxavam (pra.paricCedaH pu  378.
   śāntaḥ kolāhala iti dhārghvani 1 vaṣayaiva / dhvaniviśeṣasyaiva	SAntaH kolAhalaH iti DArGvani 1 vazayA eva / Dvani viSezasya eva
   kolāhalatvāt / śrutapūrvo gakāro nāstīti dhīstu nāstyeva /śruta 2 eva	kolAhala tvAt / Sruta pUrvaH gakAraH na asti iti DIH tu na asti eva /Sruta 2 eva
   gakāraḥ punaḥśrūyate eka eva gakāro 'sakṛduccārita	gakAraH punar SrUyate ekaH eva gakAraH asakRt uccArita
   ityādipratyābhijñāvirodhāt / kintūccāraṇenopalabdha 3	ityAdi pratyABijQA viroDAt / kintu uccAraNena upalabDaH 3
   varṇasyānupalabdhimātreṇa śrutapūrvo gakāro na śrūyata ityeva 4 dhīḥ /	varNasya anupalabDi mAtreNa Sruta pUrvaH gakAraH na SrUyate iti eva 4 DIH /
   uktaṃ hi ṭīkākāraiḥ"prāguccāraṇā 5 danupalabdhā varṇā	uktam hi wIkAkArEH "prAc uccAraNA 5 danupalabDA varNA
   uccāraṇe satyupala 6 labhyante ityevānubhavasiddham / na tu	uccAraNe sati upala 6 laByante iti eva anuBava sidDam / na tu
   teṣāmutpattirvināśo vā"iti //	tezAm utpattiH vinASaH vA"iti //
   maṇau varṇātmakaśabda ityuktāvapi maṇikṛnmateṃ'śatassiddhasādhanasyā	maNO varNa Atmaka SabdaH iti uktO= api maNi kRt mateM aSata ssidDa sADanasya a
   doṣatvādvarṇapadānarthakatyam / varṇa ityeva tu chalatvāttathāśaṅkaiva na	doza tvAt varNa pada anarTa katyam / varNaH iti eva tu Cala tvAt taTA ASaFkA eva na
   yukteti varṇo 'nitya 7 ityevānuvādaḥkṛtaḥ /	yuktA iti varNaH anitya 7 iti eva anuvAdaH kRtaH /
   varṇānāmanityatvepi na vedanityatvakṣatiḥ / tathāpyabhyupetya	varNAnAm anitya tvepi na veda nitya tva kzatiH / taTA api aByupetya
   tatsamādhatte / ucyata ityādinā // vyaktaṃ caitadvedānte grantha eva //	tat samADatte / ucyate ityAdinA // vyaktam ca etat vedAnte granTaH eva //
   dhvaniviśeṣasyaiveti // yattu vardhamāne 8	Dvani viSezasya eva iti // yat tu varDamAne 8
   anabhivyaktavarṇatvavyāpyajātiviśeṣo varṇasamūha eva kolāhala ityuktam /	anaBivyakta varNa tva vyApya jAti viSezaH varNa samUhaH eva kolAhalaH iti uktam /
   tanna / varṇaśūnyadhvaniviśeṣepi kolāhalapadaprayogāt // pratyabhijñeti //	tat naH / varNa SUnya Dvani viSeza Ipi kolAhala pada prayogAt // pratyaBijQA iti //
   tadbhrāntitvaṃ tvagre nirasiṣyata iti bhāvaḥ // uktaṃ hīti //"na	tad BrAnti tvam tu agre nirasizyate iti BAvaH // uktam hi iti //"na
   coccāraṇakāla eva varṇā 9 nutpattiriti vācya"miti	ca uccAraNa kAle eva varNAH 9 nutpattiH iti vAcya"m iti
   tatvanirṇayavākyasambandhiṭīkāyāṃ	tatva nirNaya vAkya sambanDiwI kAyAm
   varṇajanmavarṇābhāvabudhyoruccāraṇakriyāviṣatvamityetaduktamityarthaḥ //	varNa janma varNa aBAva buDyoH uccAraNa kriyA viza tvam iti etat uktam iti arTaH //
   1.viśeṣa ityadhikaṃ mu. 2.pūrva ityadhikaṃ kha. 3.sya va  ca ga kha kuṃ.	1. viSezaH iti aDikaM mu. 2. pUrvaH iti aDikaM Ka. 3.sya vaH  ca  ga Ka  kuM.
   4.'eva' iti nāsti ka kha kuṃ. 5.ṇānu kuṃ. 6.bdhā kha. 7. nitya iti nāsti	4. aeva a iti nAsti ka Ka kuM. 5.NA anu kuM. 6.bDa a Ka. 7. nityaH iti na asti
    kuṃ. 8.nābhi  mu. 9.nāmu  a i.	 kuM. 8.nABi  mu. 9.nAmu  a i.
   varṇā(śabdā)nityatvasya pratyakṣatvabhaṅgaḥ) varṇavādaḥ pu   379.	varNA( SabdA) nitya tvasya pratyakza tva BaFgaH) varNa vAdaH pu  379.
   astu vā sā / 1 tathāpi ghaṭo nāstītivanna viśeṣyamātraniṣedhikā /	astu vA sA / 1 taTA api GawaH na asti iti vat na viSezya mAtra nizeDikA /
   śrutapūrvatvaniśiṣṭaniṣedhastvalaṃ kṛtapūrvaścaitro	Sruta pUrva tva niSizwa nizeDaH tu alam kRta pUrvaH cEtraH 
   nāstītivatpūrvakālāvacchinnaśravaṇadhvaṃ 2 sarūpaviśeṣaṇa 3	na asti iti vat pUrva kAla avacCinna SravaNaDvam 2 sarUpa viSezaNa 3
   niṣedhenāpyupapannaḥ 4 //	nizeDena api upapannaH 4 //
   astu vā sā viśeṣyamātraniṣedhikā / tathāpivyañjaka uccāraṇe	astu vA sA viSezya mAtra nizeDikA / taTA api vyaQjakaH uccAraNe
   'vyañjakatvabhrāntyāliṅge 'nupalabdhimātre	avyaQjaka tva BrAnti AliFge anupalabDi mAtre
   yogyānupalabdhirūpaliṅgābhimānādbhrāntirūpānumitireva sā /	yogyA anupalabDi rUpa liFga aBimAnAt BrAnti rUpA anumitiH eva sA /
   anubhave vipratipannaṃ pratyāha  astu vā seti // śrutapūrvo gakāro nāstīti	anuBave vipratipannam pratyAha  aH tu vA sA iti // Sruta pUrvaH gakAraH na asti iti
   dhīrityarthaḥ / na viśeṣyamātreti // ghaṭasya kevalatvādasya ca	DIH iti arTaH / na viSezya mAtrA iti // Gawasya kevala tvAt asya ca
   saviśeṣaṇatvāditi bhāvaḥ / alamiti // pūrvamalaṅkṛto 'laṅkṛtapūrva	sa viSezaNa tvAt iti BAvaH / alam iti // pUrvam alaFkRtaH alaFkRta pUrva
   ityarthaḥ / viśeṣaṇaniṣedheneti //"saviśeṣaṇe hi vidhiniṣedhau viśeṣye	iti arTaH / viSezaNa nizeDena iti //"sa viSezaNe hi viDi nizeDO viSezye
   bādhe viśeṣaṇamupasaṃkrāmata"iti nyāyādiha na viśeṣyabādhasya	bADe viSezaNam upasaMkrAmata" iti nyAyAt iha na viSezya bADasya
   prāguktapratyabhijñānavirodhena vyaktatvāditi bhāvaḥ //	prAc ukta pratyaBijQAna viroDena vyakta tvAt iti BAvaH //
   viśeṣyabādhe vivādinaṃ pratyāha // astu vā seti // dhīrisyarthaḥ /	viSezya bADe vivAdinam pratyAha // astu vA sA iti // DIrisi arTaH /
   tathāpīti // bhrāntirūpetyādinānvayaḥ / bhrāntirūpatve bījamāha //	taTA api iti // BrAnti rUpA ityAdinA anvayaH / BrAnti rUpa tve bIjam Aha //
   vyañjaka iti // varṇau nāsti anupalabdheḥ stambhādivaditi	vyaQjakaH iti // varNO na asti anupalabDeH stamBa Adi vat iti
   liṅgābhālajanyānumitireva / na pratyakṣarūpā / nāpi pramitirūpā /	liFga aBAla janyA anumitiH eva / na pratyakza rUpA / na api pramiti rUpAH /
   paramāṇvādāvanupalambhe satyapi nāstitvābhāvena	paramANu AdO= anupalamBe sati api nAstitva aBAvena
   vyabhicāritayānupalabdhimātrasyāliṅgatvena talliṅgatvasyābhimānikatvāt /	vyaBicAritayA anupalabDi mAtrasya AliFga tvena tad liFga tvasya aBimAnika tvAt /
   aliṅge ca liṅgatvābhimāno yogyānupalabdhitvabhramamūlaḥ/ sopi bhramaḥ	aliFge ca liFga tva aBimAnaH yogyA anupalabDi tva Brama mUlaH/ sA upi BramaH
   uccāraṇasya na varṇābhivyañjakatvam / kintūtpādakatvameveti bhrāntimūla	uccAraNasya na varNa aBivyaQjaka tvam / kintu utpAdaka tvam eva iti BrAnti mUla
   evetyarthaḥ//	eva iti arTaH//
   1.'tathāpi' iti nāsti cha  2.dhvaṃsapadaṃ nāsti  mu ca, dhvaṃsenāpyu rā.	1. ataTA api a iti nAsti Ca 2. DvaMsa padam na asti  mu ca, DvaMsena api u rA.
   3.dhvaṃsenāpyupa  cha kha. 4.nnā   kuṃ.	3.DvaMsena api upa  Sa Ka. 4.nnA  kuM.
   nyāyadīpayutatarkatāṇḍavam (pra.paricchedaḥ pu   380.	nyAya dIpa yuta tarka tANxavam (pra.paricCedaH pu  380.
   na tu pratyakṣā / pratyāsatyabhāvāt //	na tu pratyakzAH / pratyAsatyaBAvAt //
   na cendriyaviśeṣaṇatā pratyāsattiḥ / cakṣuṣā svaviśeṣaṇīyabhūtasya	na ca indriya viSezaNa tA pratyAsattiH / cakzuzA sva viSezaNIya BUtasya
   ghaṭaniṣṭharūpapratiyogikābhāvasya grahaprasaṅgāk /	Gawa nizWa rUpa pratiyogika aBAvasya graha prasaFgAk /
   etena śrutapūrvo gakāro nāstīti pratītirniranumānādityasat / śabdasyaiva	etena Sruta pUrvaH gakAraH na asti iti pratItiH niranumAna Aditya sat / Sabdasya eva
   pakṣīkaraṇe hetoranāśrayātvam / ākāśasya pakṣatve	pakzIkaraNe hetoH anASrayAtvam / AkASasya pakza tve
   tadvattayānupalabhyamānatvahetora 1 nekāntikatvam / śabdasadbhāvakālepi	tadvat tayA anupalaByamAna tva hetora 1 nekAntika tvam / Sabda sadBAva kAlepi
   tasya satvāt / evaṃ kālapakṣepi doṣāt / ahamidānīṃ niḥśabdaśrotravān	tasya satvAt / evam kAla pakzepi dozAt / aham idAnIm niHSabda SrotravAn
   śabdopalabdhidharahitatvāt badhiravaditi cenna / dṛṣṭāntasya	Sabda upalabDi Darahita tvAt baDira vat iti ced na / dRzwAntasya
   sādhyavikalatvāt vyāhatatvāccetyādikhaṇḍanaṃ	sADya vikala tvAt vyAhata tvAt ca ityAdi KaNxanam
   nirastaṃ dhyeyam //	nirastam Dyeyam //
   atītaghaṭādau jñānaviṣayatvābhāvapratiyogitvādidharmavadanupalabhya	atIta Gawa AdO jQAna vizaya tva aBAva pratiyogi tva Adi Darma vat anupalaBya
   mānadharmasyāpi sambhavenāsiddhyāderanāpatteriti / na tu pratyakṣeti //	mAna Darmasya api samBavena asidDi AdeH anApatteH iti / na tu pratyakza iti //
   tādṛśabuddheḥ pratyakṣatvepi	tAdRSa budDeH pratyakza tvepi
   śuktirūpyādipratyakṣavatpratyabhijñārūpaprabalapratyakṣabādhādbhrāntireveti	Sukti rUpya Adi pratyakza vat pratyaBijQA rUpa prabala pratyakza bADAt BrAntiH eva iti
   suvacam / tathāpyudayanoktapratyakṣatvopapādanakhaṇḍanāyaivamuktiḥ //	suvacam / taTA api udayana ukta pratyakza tva upapAdana KaNxanAya eva m uktiH //
   asti hi śrotraśabdābhāvayorviśeṣaṇaviśeṣyabhāva ityādinodayanoktamāśaṅkya	asti hi Srotra Sabda aBAvayoH viSezaNa viSezya BAvaH ityAdinA udayana uktam ASaFkya
   nirāha    na cendriyeti // śrotrarūpendriye śabdābhāvasya satvena tayoḥ	nirAha   na ca indriyA iti // Srotra rUpa indriye Sabda aBAvasya satvena tayoH
   sambandhāntaramātreṇa	sambanDa antara mAtreNa
   tadupaśliṣṭsvabhāvarūpaviśeṣaṇatāpratyāsattirityarthaḥ / viśeṣaṇa 2	tad upaSlizwsvaBAva rUpa viSezaNa tA pratyAsattiH iti arTaH / viSezaNa 2
   bhāvenaiva samavāyāvayorgrahaṇāditi bhāvaḥ    cakṣuṣeti //	BAvena eva samavAya AvayoH grahaNAt iti BAvaH   cakzuzA iti //
   svasambandhiviśeṣaṇatayaivābhāvāderindriyeṇa grahaṇāt / na tu	sva sambanDi viSezaNa tayA eva aBAva AdeH indriyeNa grahaNAt / na tu
   svaviśeṣaṇatvenaiva /	sva viSezaNa tvena eva /
   1. naikā   a  i. 2.viśeṣya ityadhikaṃ  mu.	1. na ekA  a i. 2.viSezya iti aDikam  mu.
   varṇā tvasya pratva bhaṅgaḥ) varṇavādaḥ pu   381.	varNA tvasya  pratva BaFgaH) varNa vAdaH pu  381.
   1 tvadabhimatasya yogye 'dhikaraṇe 'nupalabdhirūpasyendriyasacahakāri 2 ṇo	1 tvad aBimatasya yogye aDikaraNe anupalabDi rUpasya indriya sa caha kAri 2 No
   'satvācca / tvanmate 3 cādhikaraṇasya gaganasyāyogyatvāt //	asa tvAt ca / tvad mate 3 ca aDikaraNasya gaganasya ayogya tvAt //
   na cādhikaraṇasyāyogyatvepi pratiyogino yogyatvāttatsahakāriṇī	na ca aDikaraNasya ayogya tvepi pratiyoginaH yogya tvAt tad sahakAriNI
   yogyasyānupalabdhirastīti vācyam / pārthivaparamāṇau jalatvābhāvasya	yogyasya anupalabDiH asti iti vAcyam / pArTiva paramANO jala tva aBAvasya
   pratyakṣatvaprasaṅgāt //	pratyakza tva prasaFgAt //
   tathātve ghaṭaniṣṭhaṃ yadrūpaṃ tatpratiyogikābhāvasya cakṣuṣyapi satvena	taTA tve Gawa nizWam yat rUpam tad pratiyogikA BAvasya cakzuzi api satvena
   cakṣuṣā viśeṣaṇatārūpapratyāsatyā mama cakṣuṣā ghaṭarūpaṃ neti	cakzuzA viSezaNa tA rUpa pratyAsatyA mama cakzuzA Gawa rUpam na iti
   rūpābhāvagrahaṇaprasaṅga ityarthaḥ//	rUpa aBAva grahaNa prasaFgaH iti arTaH//
   nanu pratyāsatteḥ phalabalakalpyatvādrūpābhāvādinā	nanu pratyAsatteH Pala bala kalpya tvAt rUpa aBAva AdinA
   viśeṣaṇatārūpapratyāsattikalpakaṃ netyato doṣāntaramāha    yogya iti //	viSezaNa tA rUpa pratyAsatti kalpakam na iti atas doza antaram Aha   yogyaH iti //
   yadvā svasambandhiviśeṣaṇatayaivābhāvāderindriyeṇa grahaṇāt // cakṣuṣā ca	yat vA sva sambanDi viSezaNa tayA eva aBAva AdeH indriyeNa grahaNAt // cakzuzA ca
   ghaṭādirūpābhāvo rūpatvādau rūpaṃ neti gṛhyata eva / prakṛte ca	Gawa Adi rUpa aBAvaH rUpa tva AdO rUpam na iti gRhyate eva / prakRte ca
   śrotrasaṃmbandhyākāśaviśeṣaṇatāstyeva śabdābhāvasyetyataḥ kiṃ yogye	Srotra saMmbanDya AkASa viSezaNatA asti eva Sabda aBAvasya iti atas kim yogye
   svasaṃbandhini viśeṣaṇatayābhāva grahaḥ utāyogye ? ādya āha    yogya iti	sva saMbanDini viSezaNa tayA BAva grahaH uta ayogye ? AdyaH Aha   yogyaH iti
   // anupalabdhīti // pratyakṣayogyapratiyogino 'nupalabdhītyarthaḥ /	// anupalabDi iti // pratyakza yogya pratiyoginaH anupalabDi iti arTaH /
