   prathamaḥ sargaḥ	praTamaH sargaH
   tathāvidhā hi dviṣatāṃ stavena kaṣanti karṇau param antikasthāḥ // Rc_3.30	taTAviDAH hi dvizatAm stavena kazanti karNO param antika-sTAH // Rt-_3.30
   spṛṣ.o na ced vikriyayā kayāpi nopasthitaḥ kāryavaśād idānīm /	spRz.aH na ced vikriyayA kayA-api na-upasTitaH kArya-vaSAt idAnIm /
   etu svayaṃ na kriyate vṛthaiva sa tvadbalātkāraniruddhaśobhaḥ // Rc_3.31	etu svayam na kriyate vRTA-eva sa tvad-balAtkAra-nirudDa-SoBaH // Rt-_3.31
   yathāvayos tātajaṭāyuṣoktam uktaṃ kabandhena yathā ca tena /	yaTA-AvayoH tAta-jawA-yuzA-uktam uktam kabanDena yaTA ca tena /
   tathopayāsyaty acirād avaśyam āhūtacakro haricakravartī // Rc_3.32 //	taTA-upayAsyati acirAt avaSyam AhUta-cakraH hari-cakravartI // Rt-_3.32 //
   yat satyam ādityasamudbhavatvād udbhūtim eṣyanti guṇās tadīyāḥ /	yat satyam Aditya-samudBava-tvAt udBUtim ezyanti guNAH tadIyAH /
   tulāgrasampātavilambadoṣe tasmin visaṃvādam ahaṃ na śaṅke // Rc_3.33 //	tulA-agra-sampAta-vilamba-doze tasmin visaMvAdam aham na SaFke // Rt-_3.33 //
   viropataptasya videśavāsād ājagmuṣas tasya nijādhivāsam /	viropataptasya videSa-vAsAt AjagmuzaH tasya nija-aDivAsam /
   iyanty ahāny utsukabandhuvargasaṃvargaṇavyagratayaiva yānti // Rc_3.34 //	iyanti ahAni utsuka-banDu-varga-saMvargaNa-vyagra-tayA-eva yAnti // Rt-_3.34 //
   sa nūnam āyāsyati vānarendraḥ saṃdeśakārpaṇyam asaṃmataṃ me /	sa nUnam AyAsyati vAnara-indraH saMdeSa-kArpaNyam asaMmatam me /
   sarvasvabhūtaṃ visṛjanti vatsa kāryātipāte 'pi na dhairyam āryāḥ //	sarva-sva-BUtam visRjanti vatsa kArya-atipAte api na DEryam AryAH //
   Rc_3.35 //	Rt-_3.35 //
   vyatītavighnaḥ suhṛdarthanighno na śītalaḥ sthāsyati kiṃ gatena /	vyatIta-viGnaH suhRd-arTa-niGnaH na SItalaH sTAsyati kim gatena /
   sa tvaryamāṇas tvaramāṇa eva dhairyasya naḥ pāram avāpsyatīva // Rc_3.36	sa tvaryamANaH tvaramANaH eva DEryasya naH pAram avApsyati-iva // Rt-_3.36
   dhig astu māṃ taṃ prati vipratīpam āśaṅkitaṃ tad bahu yena yad vā /	Dik astu mAm tam prati vipratIpam ASaFkitam tat bahu yena yat vA /
   svakāryadolāsu jano 'lpabhāgyaḥ prāṅ niścinoti vyatirekam eva // Rc_3.37	sva-kArya-dolAsu janaH alpaBAgyaH prAk niScinoti vyatirekam eva // Rt-_3.37
   itthaṃ na māṃ pratyupapattim eti tatrādyapakṣadvitaye 'pi yātrā /	itTam na mAm pratyupapattim eti tatra-Adya-pakza-dvitaye api yAtrA /
   varaṃ visoḍhāni kiyanty apīha saṅkhyātakālābhyadhikāny ahāni // Rc_3.38 //	varam visoXAni kiyanti api-iha saFKyAta-kAla-aByaDikAni ahAni // Rt-_3.38 //
   svālocitaṃ vaktu bhavān idānīm ity anuṣṭheyam asaṃśayaṃ yat /	su-Ala-ucitam vaktu BavAn idAnIm iti anuzWeyam asaMSayam yat /
   bālyāt prabhṛty eva tavottarā dhīr na pūrvapakṣe 'bhiniveśam eti //	bAlyAt praBRti eva tava-uttarA DIH na pUrva-pakze aBiniveSam eti //
   Rc_3.39 //	Rt-_3.39 //
   iti prasannāṃ giram agrajasya śrutvā cirād vītaviṣādapaṅkaḥ /	iti prasannAm giram agrajasya SrutvA cirAt vIta-vizAda-paFkaH /
   mukhaśriyaivojjvalayābhinandann idaṃ sumitrātanayo jagāda // Rc_3.40 //	muKa-SriyA-eva-ujjvalayA-aBinandan idam sumitrA-tanayaH jagAda // Rt-_3.40 //
   samarthitaṃ sādhu samastam eva kṛtī kapiḥ kiṃ bahunoditena /	samarTitam sADu samastam eva kRtI kapiH kim bahu-nA-uditena /
   pravyaktam apy etad adoṣadṛṣṭyā gṛhītam āryeṇa na yat tadāgaḥ // Rc_3.41	pravyaktam api etat adoza-dRzwyA gRhItam AryeNa na yat tad-AgaH // Rt-_3.41
   tasyorjitenātiraver avadyaṃ naivekṣate 'ntaḥkaraṇaṃ mamāpi /	tasya-Urjitena-ati-raveH avadyam na-eva-Ikzate antaHkaraNam mama-api /
   ayaṃ punas tena kuto na jānāmy atikramaḥ kālakṛto na dṛṣṭaḥ // Rc_3.42 //	ayam punar tena kutas na jAnAmi atikramaH kAla-kRtaH na dRzwaH // Rt-_3.42 //
   visarjitā vā punarāgamāya samāpatanty adya na te nalādyāḥ /	visarjitAH vA punar-AgamAya samApatanti adya na te nala-AdyAH /
   samāharatiudyatavittavarṣo varṣāntarebhyaḥ pravarān harīn vā // Rc_3.43 //	samAharati-udyata-vitta-varzaH varza-antareByaH pravarAn harIn vA // Rt-_3.43 //
   aṣṭādaśadvīpakapīndramaulir maulān asau vālivadhapralīnān /	azwAdaSa-dvIpa-kapi-indramOliH mOlAn asO vAli-vaDa-pralInAn /
   naikābhyupāyopahitān idānīm uta pratīcchaty atisatkriyābhiḥ // Rc_3.44 //	na-eka-aByupAya-upahitAn idAnIm uta pratIcCati ati-satkriyABiH // Rt-_3.44 //
   aprāptasaṃtoṣam asaṃvibhaktasambhuktasarvasvam anuplaveṣu /	aprApta-saMtozam asaMviBakta-samBukta-sarvasvam anuplavezu /
   athādiśaty arpitasārakośaḥ prakāmapātheyaparigrahāya // Rc_3.45 //	aTa-AdiSati arpita-sAra-koSaH prakAma-pATeya-parigrahAya // Rt-_3.45 //
   atho sa bhītāturabālavṛddhān vṛddhopasevī sanibhaṃ niyuṅkte /	aTo sa BIta-Atura-bAla-vRdDAn vRdDa-upasevI sa-niBam niyuFkte /
   yathāyathaṃ sadmani padmasaṃkhyāsametaśākhāmṛgayūthanāthaḥ // Rc_3.46 //	yaTAyaTam sadmani padma-saMKyA-sameta-SAKAmRga-yUTa-nATaH // Rt-_3.46 //
   tad ittham utthānasamākulatvān na tvaryamāṇo 'pi sa dūṣaṇāya /	tat itTam utTAna-samAkula-tvAt na tvaryamANaH api sa dUzaNAya /
   āryeṇa tatrāpy asamāgatasya chāyācyutiḥ kaiva nirūpitā me // Rc_3.47 //	AryeNa tatra-api asamAgatasya CAyA-cyutiH kA-eva nirUpitA me // Rt-_3.47 //
   jñeyo 'sti naḥ pūrvam arer udantas tatas tadantāya vidheyam asti /	jQeyaH asti naH pUrvam areH udantaH tatas tad-antAya viDeyam asti /
   ity ākulatvān mama tāvad ārya kāryopataptiḥ kṣamate na dhairyam // Rc_3.48	iti Akula-tvAt mama tAvat Arya kArya-upataptiH kzamate na DEryam // Rt-_3.48
   anarthibhāvād upacāravādād ākāragupteś ca parībhavanti /	anarTi-BAvAt upacAra-vAdAt AkAragupteH ca parIBavanti /
   yathātathārthapratipādanena prayānti mitrāṇi nirantaratvam // Rc_3.49 //	yaTA-taTA-arTa-pratipAdanena prayAnti mitrANi nirantara-tvam // Rt-_3.49 //
   mithaḥ prasādaskhalanād upādher upaiti sakhyaṃ khalayoḥ khilatvam /	miTas prasAda-sKalanAt upADeH upEti saKyam KalayoH Kila-tvam /
   gṛhṇāti satpūruṣayor na doṣam audāryasaṃvādakṛtā tu maitrī // Rc_3.50 //	gRhNAti sat-pUruzayoH na dozam OdArya-saMvAda-kRtA tu mEtrI // Rt-_3.50 //
   niryantraṇaṃ yatra na vartitavyaṃ na moditavyaṃ praṇayātivāde /	niryantraNam yatra na vartitavyam na moditavyam praNaya-ativAde /
   viśaṅkitānyonyabhayaṃ vidūrān namaskriyām arhati sauhṛdaṃ tat // Rc_3.51	viSaFkita-anyoni-a-Bayam vidUrAt namaskriyAm arhati sOhRdam tat // Rt-_3.51
   visrabdham ājñāpaya kiṃ karomi kathaṃ ghaṭena plavagādhirājaḥ /	visrabDam AjQApaya kim karomi kaTam Gawena plavaga-aDirAjaH /
   yat kiṃcid ādiśya nibhena kiṃ māṃ niṣedhasi kleśam ivekṣamāṇaḥ // Rc_3.52	yat kiMcid AdiSya niBena kim mAm nizeDasi kleSam iva-IkzamANaH // Rt-_3.52
   sthito 'smi tāvad dinam etad eṣyaty anyedyur ājñāṃ tava na pratīkṣe /	sTitaH asmi tAvat dinam etat ezyati anyedyus AjQAm tava na pratIkze /
   āryo 'nurodhān na yunakti yatra tatrāham ambāniyamāt svatantraḥ // Rc_3.53	AryaH anuroDAt na yunakti yatra tatra-aham ambA-niyamAt svatantraH // Rt-_3.53
   tad eṣa niṣkramya tathā karomi tatpūrvasaṅgaḥ plavago yathāśu /	tat eza nizkramya taTA karomi tad-pUrva-saFgaH plavagaH yaTA-ASu /
   taṃ vairisaṃhāramahopakāram āryāya niryātayituṃ yatena // Rc_3.54 //	tam vEri-saMhAra-mahA-upakAram AryAya niryAtayitum yatena // Rt-_3.54 //
   dhik taṃ dhanuṣpāṇim anuplavaṃ māṃ mudhā manaḥparyuṣitāvalepam /	Dik tam DanuzpANim anuplavam mAm muDA manaH-paryuzita-avalepam /
   anvīkṣate yasya mamāvasādād āryaḥ sahāyāntaram antarajñaḥ // Rc_3.55 //	anvIkzate yasya mama-avasAdAt AryaH sahAya-antaram antara-jQaH // Rt-_3.55 //
   dhikśātatāṃ sannataparvatāṃ dhig dhik pātavegaṃ ca mamāśugānām /	Dik-SAtatAm sannata-parvatAm Dik Dik pAta-vegam ca mama-ASugAnAm /
   alakṣitoddeśam api dviṣantaṃ nihatya nāyānti hi yat kṣaṇena // Rc_3.56 //	alakzita-uddeSam api dvizantam nihatya na-AyAnti hi yat kzaNena // Rt-_3.56 //
   kharādirakṣaḥkadaneṣu dīrgham amī parijñātarasāḥ kim anyat /	Kara-Adi-rakzaH-kadanezu dIrGam amI parijQAta-rasAH kim anyat /
   asṛgbhujāṃ bhoktum asṛk tvarantāṃ bhūyo 'pi bhūcandra tavārdhacandrāḥ //	asRk-BujAm Boktum asRk tvarantAm BUyas api BU-candra tava-arDacandrAH //
   Rc_3.57 //	Rt-_3.57 //
   ātāṭakāsaṃjñapanāt prapannas tvayaiṣa varṇāśramarakṣaṇāya /	AtAwakA-saMjQapanAt prapannaH tvayA-eza varNa-ASrama-rakzaNAya /
   samāpyatāṃ śeṣanibarhaṇena kṣapācarāṇāṃ nidhanādhikāraḥ // Rc_3.58 //	samApyatAm Seza-nibarhaNena kzapA-carANAm niDana-aDikAraH // Rt-_3.58 //
   uddhṛtya ghorāyudhavṛndavṛṣṭim anuṣṭhitām oghaśaravyayena /	udDRtya Gora-AyuDa-vRnda-vRzwim anuzWitAm oGa-Sara-vyayena /
   sa rākṣasebhyo 'mbaragocarebhyas trātas tvayaikena makho maharṣeḥ //	sa rAkzaseByaH ambara-gocareByaH trAtaH tvayA-ekena maKaH mahA-RzeH //
   Rc_3.59 //	Rt-_3.59 //
   taṃ kālakalpaṃ kiyatā śrameṇa tathāvadhīr mārgarudhaṃ virādham /	tam kAla-kalpam kiyatA SrameNa taTA-avaDIH mArga-ruDam virADam /
   āsan muhūrtāḥ kati ca ghnatas te sainyaṃ janasthānapateḥ svarasya //	Asan muhUrtAH kati ca GnataH te sEnyam janasTAna-pateH svarasya //
   Rc_3.60 //	Rt-_3.60 //
   āsīt kṣuraprasya kiyān vilambaḥ krūreṣu teṣu triśiraḥśiraḥsu /	AsIt kzuraprasya kiyAn vilambaH krUrezu tezu triSiraH-SiraHsu /
   katīṣavo dūṣaṇadehayātrānivāraṇārthaṃ ca raṇe visṛṣṭāḥ // Rc_3.61 //	kati-izavaH dUzaNa-deha-yAtrA-nivAraNa-arTam ca raNe visRzwAH // Rt-_3.61 //
   kasyāvalambād akarot parāsuṃ mārīcam uccāvacamāyam āryaḥ /	kasya-avalambAt akarot parAsum mArIcam uccAvaca-mAyam AryaH /
   jñātā ca diksaṃjñapitas tvayaiva kṣapācarāṇām adhipaś ca so 'pi // Rc_3.62	jQAtA ca diS-saMjQapitaH tvayA-eva kzapA-carANAm aDipaH ca saH api // Rt-_3.62
   ity aprapañcoditakāraṇāni mithas tayos tathyaguṇagrahāṇi /	iti aprapaQca-udita-kAraNAni miTas tayoH taTya-guNa-grahANi /
   neduḥ stuvānā iva sūnṛtāni khagāḥ kulāyeṣu kṛtaikamatyāḥ // Rc_3.63 //	neduH stuvAnAH iva sUnRtAni KagAH kulAyezu kRta-ekamatyAH // Rt-_3.63 //
   āropya sandhyāṃ diśi vajrapāṇeḥ paryasya candraṃ kakubhi pratīcyām /	Aropya sanDyAm diSi vajrapANeH paryasya candram kakuBi pratIcyAm /
   utsaṅgitoḍuprakarā khagānām ādāya nidrāṃ rajanī jagāma // Rc_3.64 //	utsaFgi-ta-uxu-prakarA KagAnAm AdAya nidrAm rajanI jagAma // Rt-_3.64 //
   kaviś ca jīvaś ca sutaś ca bhūmeḥ sa dakṣiṇāśātilako muniś ca /	kaviH ca jIvaH ca sutaH ca BUmeH sa dakziNASA-tilakaH muniH ca /
   āsannasūryāṃśubhayadrutasya kṣaṇaṃ rarakṣur bhagaṇasya pṛṣṭham // Rc_3.65	Asanna-sUrya-aMSu-Baya-drutasya kzaNam rarakzuH BagaNasya pRzWam // Rt-_3.65
   dig darśayāmāsa mukhaṃ sarāgaṃ na yāvad aindrī gaṇikeva mattā /	diS darSayAmAsa muKam sa-rAgam na yAvat EndrI gaNikA-iva mattAH /
   tāvad dvijeśo 'ṅkam iyāya sindhoḥ sandhyāsurāśīkarasekaśaṅkī // Rc_3.66 //	tAvat dvija-ISaH aFkam iyAya sinDoH sanDyA-asura-aSIkara-seka-SaFkI // Rt-_3.66 //
   visarjitoḍuḥ kṣaṇam indur āsīd āsīd upānteṣv api nāndhakāram /	visarjita-UxuH kzaNam induH AsIt AsIt upAntezu api na-anDakAram /
   bhṛśaṃ diśīndrasya rarāja sandhyā sindūriṇīva graharājamudrā // Rc_3.67 //	BRSam diSi-indrasya rarAja sanDyA sindUriNI-iva graha-rAja-mudrA // Rt-_3.67 //
   uccetum uccair uḍukuḍmalāni vyākurvatī rāgam atipragāḍham /	uccetum uccEs uxu-kuxmalAni vyAkurvatI rAgam ati-pragAXam /
   śākhām ivālambya diśaṃ maghonaḥ sandhyā viyad bhūruham āruroha // Rc_3.68	SAKAm iva-Alambya diSam maGonaH sanDyA viyat BUruham Aruroha // Rt-_3.68
   śeṣoḍupuṣpastabakoccayāya saṃjātarāgātiśayeva sandhyā /	Seza-uxu-puzpa-stabaka-uccayAya saMjAta-rAga-atiSayA-iva sanDyA /
   apy uccakaiḥ pūrvamahīdhramūrdhni sthitvā viyadbhūruham āruroha // Rc_3.69	api uccakEs pUrva-mahIDra-mUrDni sTitvA viyat-BUruham Aruroha // Rt-_3.69
   (tad evedam)	(tat eva-idam)
   visṛjya pāṇḍucchadanaughatulyaṃ tārāgaṇaṃ vyomatarus tadānīm /	visRjya pANxu=-Cadana-oGa-tulyam tArA-gaNam vyomataruH tadAnIm /
   babhāra sandhyārucimañjarīṇāṃ jālāni bālādharakomalāni // Rc_3.70 //	baBAra sanDyA-aruci-maQjarINAm jAlAni bAla-aDara-komalAni // Rt-_3.70 //
   utsāritevābhrakareṇukumbhāj jambhāriyugyādhikṛtair marudbhiḥ /	utsAritA-iva-aBraka-reNu-kumBAt jamBAri-yugya-aDikRtEH marudBiH /
   tatāna sandhyeti samullasantī nabhoṅgaṇaṃ raṅgavikāradhūliḥ // Rc_3.71 //	tatAna sanDyA-iti samullasantI naBoFgaNam raFga-vikAra-DUliH // Rt-_3.71 //
   saṃvittayas tattvavigāhaśubhrāḥ sāṃsārike rāga ivādhirūḍhe /	saMvittayaH tattva-vigAha-SuBrAH sAMsArike rAgaH iva-aDirUXe /
   śanaiḥ śanair mlānaruco mamajjus tārāḥ prasarpaty aruṇe cireṇa // Rc_3.72	SanEs SanEs mlAna-rucaH mamajjuH tArAH prasarpati aruNe cireNa // Rt-_3.72
   kaiḥ śikṣitā vartayituṃ tadāsīd unmīlitaṃ tūlikayeva citram /	kEH SikzitA vartayitum tadA-AsIt unmIlitam tUlikayA-iva citram /
   taraṅgavat tuṅgaśaradghanālīvisaṃsthule vyomani bālasandhyā // Rc_3.73 //	taraFga-vat tuFga-Sarad-Gana-AlI-visaMsTule vyomani bAla-sanDyA // Rt-_3.73 //
   pratyuptamātraṃ diśi devabhartur abhyaktakhaṇḍābhrataraṅgamālam /	pratyupta-mAtram diSi deva-BartuH aByakta-KaNxa-aBra-taraFga-mAlam /
   babhau visarpaty ayasīva tailaṃ nabhastale bālapataṅgatejaḥ // Rc_3.74 //	baBO visarpati ayasi-iva tElam naBastale bAla-pataFga-tejaH // Rt-_3.74 //
   prasattinirvyūḍhasudhāmayūkhaṃ kham uṣṇaraśmāv api raktim ūhe /	prasatti-nirvyUXa-suDA-mayUKam Kam uzNaraSmO api raktim Uhe /
   bharaṃ pratīcchanti mahodayānāṃ pātrāṇi paryāyavaśaṃvadāni // Rc_3.75 //	Baram pratIcCanti mahA-udayAnAm pAtrANi paryAya-va-SaMvadAni // Rt-_3.75 //
   tāpiñchakalpaḥ kakubhi pratīcyām ācchādayāmāsa mṛgo mṛgāṅkam /	tApin-Ca-kalpaH kakuBi pratIcyAm AcCAdayAmAsa mRgaH mRgAFkam /
   dūrādhirūḍhaṃ janam āpadīva prakāśamāno 'tiśayād avarṇaḥ // Rc_3.76 //	dUra-aDirUXam janam Apadi-iva prakASamAnaH atiSayAt avarNaH // Rt-_3.76 //
   pradīptasandhyāgni nadaddvijaughaṃ niraṃśukadhvastaparāṅmukhendu /	pradIpta-sanDyA-agni nadat-dvija-oGam niraMSuka-Dvasta-parAFmuKa-indu /
   viyadviluptoḍukulaṃ tadābhūc cakrāntarākrāntapuropameyam // Rc_3.77 //	viyat-vilupta-uxu-kulam tadA-aBUt cakra-antara-AkrAnta-pura-upameyam // Rt-_3.77 //
   mithaḥ kṛtālokamahotsavānāṃ kṛtāravaḥ sārasadampatīnām /	miTas kRta-Aloka-mahA-utsavAnAm kRta-AravaH sArasa-dampatInAm /
   na bālabhānoḥ kiraṇād abhaiṣīn nadīṣu nīhāramayo 'ndhakāraḥ // Rc_3.78 //	na bAla-BAnoH kiraNAt aBEzIt nadIzu nIhAra-mayaH anDakAraH // Rt-_3.78 //
   tatāra saṃtīrya himāndhakāraṃ tatā rasantī saritaḥ khagālī /	tatAra saMtIrya hima-anDakAram tatA rasantI saritaH KagAlI /
   raktāravindasya rajobhir ārdrair aktā raviṃ vāriṇi vīkṣamāṇā // Rc_3.79 //	rakta-aravindasya rajoBiH ArdrEH aktAH ravim vAriNi vIkzamANAH // Rt-_3.79 //
   smaravyayaklāntavalatpulindīsarvāṅgasaṃvāhakalāvidagdhaḥ /	smara-vyaya-klAnta-valat-pulindI-sarva-aFga-saMvAha-kalA-vidagDaH /
   vilambya kośeṣu kuśeśayānāṃ sasāra kāsārataraṅgavātaḥ // Rc_3.80 //	vilambya koSezu kuSeSayAnAm sasAra kAsAra-taraFga-vAtaH // Rt-_3.80 //
   atītya śaityaṃ taṭavālukānāṃ koṣṇāsu sasnur munayo nadīṣu /	atItya SEtyam tawa-vAlukAnAm kozNAsu sasnuH munayaH nadIzu /
   apām apūryanta ca nairjharīṇāṃ kuṭā girigrāmakuṭumbinībhiḥ // Rc_3.81 //	apAm apUryanta ca nErJarINAm kuwAH giri-grAma-kuwumbinIBiH // Rt-_3.81 //
   jātaprakāśāsu bahiḥsthalīṣu prakāmacārotsavajāgarūkaḥ /	jAta-prakASAsu bahis-sTalIzu prakAma-cAra-utsava-jAgarUkaH /
   ibho bhuvi praskhaladagrahastaḥ sasmāra śayyodarakuñjaśayyām // Rc_3.82 //	iBaH Buvi prasKalat-agra-hastaH sasmAra SayyA-udara-kuQja-SayyAm // Rt-_3.82 //
   sametya jṛmbhānupadaṃ svayūthyair mithaḥ kṣaṇaṃ līḍhatuṣāralepāḥ /	sametya jRmBA-anupadam sva-yUTyEH miTas kzaNam lIXa-tuzAra-lepAH /
   pratasthire digvalayaṃ vilokya yathāyathaṃ kacchabhuvaḥ kuraṅgāḥ //	pratasTire diS-valayam vilokya yaTAyaTam kacCa-BuvaH kuraFgAH //
   Rc_3.83 //	Rt-_3.83 //
   adṛśyatārāt taralaiḥ sthalīṣu vanecarāṇāṃ pṛtanā kuraṅgaiḥ /	adRSya-tArAt taralEH sTalIzu vanecarANAm pRtanA kuraFgEH /
   papau raveḥ saṃjvalitograbhāsaṃ bhujaṅgam aughaḥ śritanākurandhraiḥ //	papO raveH saMjvalita-ugra-BAsam BujaFgam OGaH Srita-nA-ku-ranDrEH //
   Rc_3.84 //	Rt-_3.84 //
   sthalaṃ kuraṅgīnayanair anidrair unmuktamudrair jalajair jalaṃ ca /	sTalam kuraFgI-nayanEH anidrEH unmukta-mudrEH jala-jEH jalam ca /
   vilolatārais taraladvirephair uvāha bhedaṃ na mithas tadānīm // Rc_3.85 //	vilola-tArEH tarala-dvirePEH uvAha Bedam na miTas tadAnIm // Rt-_3.85 //
   jṛmbhābharād dūravisaṃgatānāṃ mudrāvilambena dalāvalīnām /	jRmBA-BarAt dUra-visaMgatAnAm mudrA-vilambena dala-avalInAm /
   nirviśya niḥśeṣam aliḥ parāgam agād abaddhaḥ kumudākarebhyaḥ // Rc_3.86 //	nirviSya niHSezam aliH parAgam agAt abadDaH kumuda-AkareByaH // Rt-_3.86 //
   viveśa gartaṃ gatam uttamohir uccaiḥ padaṃ santatam uttamo hi /	viveSa gartam gatam uttamohis uccEs padam santatam uttamaH hi /
   āsīn mahaḥ sampadi tuṅgatāyāṃ nabho na kaiścid gadituṃ gatāyām // Rc_3.87	AsIt mahaH sampadi tuFga-tAyAm naBaH na kEScid gaditum gatAyAm // Rt-_3.87
   naiḥsaṅgyam ālambyata kairaveṣu yaiḥ śāntimadbhiḥ śanakaī raveṣu /	nEHsaFgyam Alambyata kEravezu yEH SAntimadBiH SanakaI ravezu /
   saujanyam ambhojagṛhe sametaiś cirād dvirephair jagṛhe same taiḥ //	sOjanyam amBoja-gRhe sametEH cirAt dvirePEH jagRhe same tEH //
   Rc_3.88 //	Rt-_3.88 //
   reje 'ravindair aravindabandhoḥ saṃdarśane darśitaharṣavegaiḥ /	reje aravindEH aravinda-banDoH saMdarSane darSita-harza-vegEH /
   vidhor viṣehe virahaḥ kathaṃcin nidrāvalambāt kumudākareṇa // Rc_3.89 //	viDoH vizehe virahaH kaTaMcid nidrA-avalambAt kumuda-AkareNa // Rt-_3.89 //
   ūhe jalair āhitakoparāgaḥ kṣobhād alnīnāṃ nalinīparāgaḥ /	Uhe jalEH Ahitakopa-rAgaH kzoBAt alnInAm nalinIparAgaH /
   vyasarjayad dyāṃ vivṛtāparāgaḥ śaśī cirād adhyuṣitāparāgaḥ // Rc_3.90 //	vyasarjayat dyAm vivRta-aparAgaH SaSI cirAt aDyuzita-aparAgaH // Rt-_3.90 //
   yathā viluptoḍukadambakāyāṃ bālārkapādair divi dīpyate sma /	yaTA vilupta-uxu-kadambakAyAm bAla-arka-pAdEH divi dIpyate sma /
   tathaiva suptākhilakairavāyāṃ raktāravindair abhitaḥ sarasyām // Rc_3.91	taTA-eva supta-aKila-kEravAyAm rakta-aravindEH aBitas sarasyAm // Rt-_3.91
   mukhena bhāti sma sahasrapatraṃ mitrodayālokavikasvareṇa /	muKena BAti sma sahasra-patram mitra-udaya-Aloka-vikasvareNa /
   mañjusvanānām alimārgaṇānāṃ svayaṃgrahāyaiav vimudrakośam // Rc_3.92 //	maQju-svanAnAm ali-mArgaNAnAm svayaMgrahAya-eav vimudra-koSam // Rt-_3.92 //
   ślathena kecid viviśur mukhena talena kecid dalasaṃhatīnām /	SlaTena kecid viviSuH muKena talena kecid dala-saMhatInAm /
   madhūtsukānāṃ madhupavrajānām abjeṣu na dvāraviniścayo 'bhūt // Rc_3.93 //	maDu-utsukAnAm maDupa-vrajAnAm abjezu na dvAra-viniScayaH aBUt // Rt-_3.93 //
   luloṭha dhūlīṣu papau madhūni pakṣmāṇi līḍhāni punar lileha /	luloWa DUlIzu papO maDUni pakzmANi lIXAni punar lileha /
   āgantave stokam api dvirephaḥ sthito dadau nāntaram abjamadhye // Rc_3.94	Agantave stokam api dvirePaH sTitaH dadO na-antaram abja-maDye // Rt-_3.94
   bheje vinidrāṃ nalinīṃ na kūlān na śīlayāmāsa navārkabhāsam /	Beje vinidrAm nalinIm na kUlAt na SIlayAmAsa nava-arka-BAsam /
   priyāṃ pratīyāya tathaiva mūḍhāṃ khagaḥ svabodhāgamasābhyasūyaḥ // Rc_3.95	priyAm pratIyAya taTA-eva mUXAm KagaH sva-boDa-Agama-sAByasUyaH // Rt-_3.95
   bahūn asau patrarathas tapasvī cakāra cāṭūn upakaṇṭhalīnaḥ /	bahUn asO patraraTaH tapasvI cakAra cAwUn upakaNWa-lInaH /
   dṛśaṃ pramīlāpagamāt kaṣāyām unmīlayāmāsa cireṇa cakrī // Rc_3.96 //	dRSam pramIlA-apagamAt kazAyAm unmIlayAmAsa cireNa cakrI // Rt-_3.96 //
   pāraṃ tuṣārakṣaṇasāndhakāram api smarārtitvaritaḥ pavitrī /	pAram tuzA-rakzaNa-sa-anDakAram api smara-Arti-tvaritaH pavitrI /
   śrutapriyāhnvānaravaḥ pratasthe sīmantayann abjavanaṃ vinidram // Rc_3.97	Sruta-priyA-hnvAnaravaH pratasTe sImantayan abja-vanam vinidram // Rt-_3.97
   jagāma bhañjanKamalāni kokaḥ kokīpariṣvaṅgamanorathotkaḥ /	jagAma BaQjan-Ka-malAni kokaH kokI-parizvaFga-manoraTa-utkaH /
   sāpy utsukā tatkṣaṇam ājagāma vilokayantī vanam utpalānām // Rc_3.98 //	sA-api utsukA tad-kzaNam AjagAma vilokayantI vanam utpalAnAm // Rt-_3.98 //
   kurvāṇayoḥ sarasi padmavanāvanaddhe bhinnādhvanor vitatham eva gatāgatāni	kurvANayoH sarasi padma-vana-avanadDe Binna-aDvanoH vitaTam eva gata-AgatAni
   saṃvādidikpatitayoḥ patatoḥ kathaṃcid dvandvaṃ cirād ghaṭitam ardhapathe	saMvAdi-diS-patitayoH patatoH kaTaMcid dvandvam cirAt Gawitam arDa-paTe
   babhūva // Rc_3.99 //	baBUva // Rt-_3.99 //
   vyasmaryatām ṛtamarīcikarābhitāpaḥ prātaḥ patatrimithunais tapanaṃ vilokya	vyasmaryatAm Rta-marIci-kara-aBitApaH prAtar patatri-miTunEH tapanam vilokya
   jātyaiva śītalam athoṣṇam alaṃ na kiṃcic citrā gatir jagati	jAtyA-eva SItalam aTa-uzNam alam na kiMcid citrA gatiH jagati
   jantudaśāvaśena // Rc_3.100 //	jantu-daSa-avaSena // Rt-_3.100 //
   kartavyanirṇayavirūḍhamanaḥprasādaśaṃsismitena mukhacandramasā virājan /	kartavya-nirNaya-virUXa-manaH-prasAda-SaMsi-smitena muKa-candramasA virAjan /
   rāmaḥ prabhātapavanāhitavīcikampāṃ pampām iyāya sarasīṃ saha lakṣmaṇena //	rAmaH praBAta-pavana-Ahita-vIci-kampAm pampAm iyAya sarasIm saha lakzmaNena //
   Rc_3.101 //	Rt-_3.101 //
   pārśvasthāvarajasasambhramopanītapratyagrasphuṭitavilohitāravindaḥ /	pArSva-sTAvarajasa-samBrama-upanIta-pratyagra-sPuwita-vilohita-aravindaH /
   susnātaḥ kṛtavidhir añjasopatasthe kākutsthaḥ kanakarasāvadātam arkam //	su-snAtaH kRta-viDiH aQjasA-upatasTe kAkutsTaH kanaka-rasa-avadAtam arkam //
   Rc_3.102 //	Rt-_3.102 //
