   udayananirākaraṇam	udayana-nirAkaraNam
   vicchedāt kaścārtha (tenārtha) pratīteśca | tathāhi |	vicCedAt kaH-ca-arTaH (tena-arTa) pratIteH-ca | taTA-hi |
   yāpyebhedānugā buddhiḥ kācidvastudvayekṣaṇe |	yApyeBeda-anugA budDiH kAcid-vastu-dvaya-IkzaNe |
   saṃketena vināsārtha pratyāsattinibandhanā ||	saMketena vinAsa-arTa pratyAsatti-nibanDanAH ||
   pratyāsattirvinā jātyā yatheṣṭā cakṣurādiṣu |	pratyAsattiH-vinA jAtyA yaTezwA cakzuH-Adizu |
   jñānakāryeṣu jātirvā yathānveti vibhāgatḥ |	jQAna-kAryezu jAtiH-vA yaTA-anveti viBAgatH |
   yathā tāvadabhedapratyayajananasāmagrī yadutārthamekaṃ śrāvaṇeyaṃ avalokya	yaTA tAvat-aBeda-pratyaya-janana-sAmagrI yat-uta-arTam-ekam SrAvaNeyam avalokya
   dvitīyaṃ cākaleyaṃ anyaṃ vā govyaktibhedamavadhārayanna bhinnapratyayavān	dvitIyam ca-akaleyam anyam vA go-vyakti-Bedam-avaDArayan-na Binna-pratyayavAn
   bhavati ayamapi gaurayamapi gauriti aparāparālokane ca vardhamānā	Bavati ayam-api gOH-ayam-api gOH-iti apara-apara-Alokane ca varDamAnA
   bhinnabuddhitvādvardhamā (2) naṃ sāmānyamāmnāyate abhedaśca	Binna-budDi-tvAt-varDamA (2) nam sAmAnyam-AmnAyate aBedaH-ca
   gopiṇḍamaṇḍalānāṃ khaṇḍamuṇḍādibhede 'pi vijātīyamātrābhinnārthapratīteḥ |	gopiNxa-maNxalAnAm KaNxa-muNxa-Adi-Bede api vijAtIya-mAtra-aBinna-arTa-pratIteH |
   padārthānāmeva dharmmaḥ sajātīyādapi viśeṣapratītau bheda pratītiriti	padArTAnAm-eva DarmmaH sajAtIyAt-api viSeza-pratItO Beda pratItiH-iti
   vyavahāraḥ samastagopiṇḍamaṇḍalapradhvaṃsābhāvān,	vyavahAraH samasta-gopiNxa-maNxala-praDvaMsa-aBAvAn,
   kālākalākalāpakalamānnityatvamapi vijātīyāpohapadārthasya sarvātmanā ca	kAlAkalA-kalApa-kalamAn-nitya-tvam-api vijAtIya-apoha-padArTasya sarva-AtmanA ca
   pratyekamanyāpoḍha (4) pratyaya ḍhaukanāt | pratyekaparisamāptiḥ sudṛḍhā	pratyekam-anya-apoXaH (4) pratyaya XOkanAt | pratyeka-parisamAptiH su-dRXA
   alīkatvañca asya bādhakādhīnamiti, tadapekṣayāmi yadamunā pratītaṃ	alIka-tvaQca asya bADaka-aDInam-iti, tat-apekzayAmi yat-amunA pratItam
   tadātadanyathākartumaśakyaṃ alīkakalpanayā vastupratibaddha(5) metat	tat-Atat-anyaTA-kartum-aSakyam alIka-kalpanayA vastu-pratibadDa(5) metat-
   nabhavati pratyakṣapratibhāsavat, tadabhāve 'pi smaraṇavadasyotpatirityeva	naBavati pratyakza-pratiBAsavat, tad-aBAve api smaraNa-vat-asya-utpatiH-iti-eva
   syāt, yatratu pratibaddhā vyavasāyaprasavastatra bhāvikatvamevālīkatve	syAt, yatratu pratibadDA vyavasAya-prasavaH-tatra BAvika-tvam-eva-alIka-tve
   'pyākārasyāpoḍhatva-(6)-sya bhāvepi bāhye bhāvāt anyopoḍhatvamevānugamaḥ,	api-AkArasya-apoXa-tva-(6)-sya BAvepi bAhye BAvAt anya-upoXa-tvam-eva-anugamaH,
   sa ca vāstavo 'pi samvādāt kālpaniko pi kalpanā buddhau vivartanāt | nahi	sa ca vAstavaH api samvAdAt kAlpanikaH pi kalpanA budDO vivartanAt | na-hi
   kṣaṇikābuddhirananugamāvā bāhyapadārthā (7) gamamakṣikatcaṃ vā pratyetuṃ	kzaNikA-budDiH-ananugamAvA bAhya-padArTAH (7) gamam-akzi-katcam vA pratyetum
   akṣamāsmaraṇavat, yathā hi smaraṇamanatītamapi svayamatītatvaṃ smarati	akzam-A-asmaraNavat, yaTA hi smaraNam-anatItam-api svayam-atIta-tvam smarati
   tathedamapi āropitastūcyate, yacca padārtho	taTA-idam-api AropitaH-tu-ucyate, yat-ca padArTaH-
   vikalpārūḍhagrāhyākārapratibhāsādgahītaḥ sa āropita ucyate, yathā	vikalpa-ArUXa-grAhya-AkAra-pratiBAsAt-gahItaH saH AropitaH ucyate, yaTA
   bāhyārthābhāve 'piṃ saṃnidhāne 'saṃnidhāne vā śītārthena	bAhya-arTa-aBAve apim saMniDAne asaMniDAne vA SIta-arTena
   vahniñcintitastatra vahnirubhayavyāvṛtto nāsti vijātīyavyāvṛttastvāsti	vahniQcintitaH-tatra vahniH-uBaya-vyAvRttaH na-asti vijAtIya-vyAvRttaH-tvA-asti
   cintā sā-(9)-rūpyavaśāt pratītaḥ sa āropita ucyate asatvyāpītyapi	cintA sA-(9)-rUpya-vaSAt pratItaH saH AropitaH ucyate asatvyApi-iti-api
   bādhakapratyayavaśena tathātvāvasthābhedāgraho 'pi vijātīyabhedapratīte	bADaka-pratyaya-vaSena taTA-tva-avasTA-Beda-AgrahaH api vijAtIya-Beda-pratIte
   sajātīyādbhedagrahaṇasāmarthyam |	sajAtIyAt-Beda-grahaNa-sAmarTyam |
   tenevaṃ nirastaṃ ḥsādhāraṇaṃ ca rupaṃ vikalpagocaraḥ, na cālīkaṃ tathā	tena-ivam nirastam HsADAraNam ca rupam vikalpa-gocaraH, na ca-alIkam taTA
   bhavitumarhati | tasya hi deśakālānugamo na svābhāvikaḥ, tuccharūpatvāt |	Bavitum-arhati | tasya hi deSa-kAla-anugamaH na svABAvikaH, tucCa-rUpa-tvAt |
   na kālpanikaḥ tasyākṣaṇikatvāt | nāropitaḥ anyatrā(2)pyaprasiddheḥ |	na kAlpanikaH tasya-akzaNika-tvAt | na-AropitaH anyatra-a(2)pya-prasidDeH |
   bhedāgrahādekatvamātramanusandhīyate iti cet na bhāvikasyabhedasyābhāvāt,	Beda-agrahAt-eka-tva-mAtram-anusanDIyate iti ced na BAvikasya-Bedasya-aBAvAt,
   bhāve vā kālpanikatvasya vyāghātāt | paramārthāsataḥ	BAve vA kAlpanika-tvasya vyAGAtAt | parama-arTa-asataH
   paramārthābhedaparyavasāyitvāt | āropitasyāgrahānupapatteḥ	parama-arTa-aBeda-paryavasAyi-tvAt | Aropitasya-agraha-anupapatteH
   abhedāropānavakāśācca | āro pitāsattvasya paramārthasatveprasaṅgam	aBeda-aropAna-vakASAt-ca | AraH pitA-asattvasya parama-arTa-satveprasaFgam
   catuḥkoṭivinirmuktasyāpratisañjakatvāt | tadagrahasya trailokye 'pi	catur-kowi-vinirmuktasya-apratisaQjaka-tvAt | tad-agrahasya trElokye api
   sulabhatvāt |	sulaBa-tvAt |
   anyatrāpi pāramārthikabhedapratīto kathamabheda āropyatāmiti cet evaṃ	anyatra-api pAramArTika-Beda-pratItaH kaTam-aBedaH AropyatAm-iti ced evam
   tarhi yasya pratibhāse yannāropyate niyamena tasyaivāprakāśe tadāropyaṃ na	tarhi yasya pratiBAse yat-na-Aropyate niyamena tasya-eva-aprakASe tadAropyam na
   tvevannāmamātrakasyātiprasañjakatvāt | ata eva na vyadhikaraṇasyāpi sato	tu-evat-nAma-mAtrakasya-ati-prasaQjaka-tvAt | atas eva na vyaDikaraNasya-api sataH-
   'sato vā bhedasyāgrahī'bhedāropopayogīti |	asataH vA Bedasya-agrahI-aBeda-Aropa-upayogI-iti |
   ṭīkākāramatamavagamya kiṃmava valayitabhava anena tanmate (6) kilāropo	wIka-AkAra-matam-avagamya kiMmava valayita-Bava anena tad-mate (6) kila-AropaH-
   nāma sādharmyadṛgapekṣaḥ kvaci t kasyacidupacāro rajatasyaiva śuktau	nAma sADarmya-dRS-apekzaH kvaci t kasyacid-upacAraH rajatasya-eva SuktO
   vivākṣitaḥ | tato 'yaṃ kugrāmavāstavya baṭujavyapetavyaḥ |	vivAkzitaH | tatas ayam kugrAma-vAstavya bawu-javya-petavyaH |
   jalpanīyamanalpaṃ pa (7) ryante kimapi bhaviṣyati labdhaṃ tāvat	jalpanIyam-analpam paH (7) ryante kim-api Bavizyati labDam tAvat-
   granthakārayaśaḥ ityāśayenābhihitavān |	granTakAra-yaSaH iti-ASayena-aBihitavAn |
   'nāpinyāyādapohasiddhitadabhāvādityādyapi prativihitam |	anApinyAyAt-apoha-sidDi-tada-BAvAt-ityAdi-api prativihitam |
   yatpunarbhāvābhāva-(8)-sādhāraṇyaṃ vikalpitaṃ na tāvat ubhayarūpatvaṃ	yat-punarBAva-aBAva--(8)-sADAraNyam vikalpitam na tAvat uBaya-rUpa-tvam
   virodhāt | na taddharmatvam anamyupagamāt | nahi gotvamabhāvasyāpi dharma	viroDAt | na tad-Darma-tvam anamI-upagamAt | na-hi go-tvam-aBAvasya-api Darma
   ityamyupagamyate | na taddharmitvam, anekāntāt | vyakti(9)rapi hi	iti-ami-upagamyate | na tad-Darmitvam, anekAntAt | vyakti-(9)H-api hi
   bhābābhāvaśālinī na niṣedhaikarūpeti | na tadubhayāsādṛśyamasambhavāt |	BAba-aBAva-SAlinI na nizeDa-eka-rUpA-iti | na tad-uBaya-asAdRSyam-asamBavAt |
   atannivṛttyaiva tathātve sādhyāviśeṣāt | nāpyasti nāsti sāmānādhikaraṇyaṃ	atannivRttya-eva taTA-tve sADya-aviSezAt | na-api-asti na-asti sAmAnADikaraNyam
   vi (10) rodhādanyathā siddheśca | nahi yadasti tannāstīti pratyayagocaraḥ	vi (10) roDAt-anyaTA sidDeH-ca | na-hi yat-asti tat-na-asti-iti pratyaya-gocaraH
   syāt | prakārāntaramāśritya syādeveti cet evaṃ tarhi tameva	syAt | prakAra-antaram-ASritya syAt-eva-iti ced evam tarhi tam-eva
   prakārabhedamupādāya vidhivyavasthā yāṃ ko virodhaḥ yena pratibandha	prakAra-Bedam-upAdAya viDi-vyavasTA yAm kaH viroDaH yena pratibanDa
   siddhayet | ḥtasya vidhirūpatāyāmastinā kimadhikamupaneyamiti cet	sidDayet | Htasya viDi-rUpa-tAyAm-astinA kim-aDikam-upaneyam-iti ced-
   niṣedharūpatve 'pi kimadhikamapaneyamiti samānam | ata eva sādhāraṇyamiti	nizeDa-rUpa-tve api kim-aDikam-apaneyam-iti samAnam | atas eva sADAraNyam-iti
   cet tathāpi kimetadubhayātmakamubhayaparihāro veti aśakyametat |	ced taTA-api kim-etat-uBaya-Atmakam-uBaya-parihAraH vA-iti aSakyam-etat |
   tasmādastināstibhyāmupādhyantaropasaṃprāptiḥ prāptopādhi niyamo beti	tasmAt-asti-nAstiByAm-upADi-antara-upasaMprAptiH prApta-upADi niyamaH beti
   sārthakatvaṃ tayoḥ | tadetadvidhāvapi tulyam | śāntā (3)	sArTaka-tvam tayoH | tat-etat-viDO=-api tulyam | SAntAH (3)
   śeṣaviśeṣatvādalīkapakṣe kvopādhyantaravidhistanniyamoveti viśeṣadoṣaḥ |	Seza-viSeza-tvAt-alIka-pakze kva-upADi-antara-viDiH-tad-niyama-uvA-iti viSeza-dozaH |
   tato gośabdo gotvaviśiṣṭavyaktimāyābhidhāyī paryavasitaḥ | tāstu	tatas go-SabdaH go-tva-viSizwa-vyakti-mAyA-aBiDAyI paryavasitaH | tAH-tu
   viprakīrṇadeśakālatayārthakriyā (4) rthiprārthanāmanubhavitumīśata iti	viprakIrNa-deSa-kAla-tayA-arTa-kriyA (4) rTi-prArTanAm-anuBavitum-ISate iti
   pratipattā viśeṣākāṃkṣaḥ | sā ca tasyākāṃkṣāsti goṣṭhe kālākṣī	pratipattA viSeza-akAMkzaH | sA ca tasya-akAMkzA-asti gozWe kAla-akzI
   dhanurghaṭoghnīmahāghaṇṭānandinīnyādibhirniyāmakai rvidhāyakairvā	DanuH-GawoGnI-mahA-GaNwA-nandinIni-AdiBiH-niyAmakEH rviDAyakEH-vA
   nivāryata iti (5) vidhau na kaściddoṣaḥ | iti | tadapi	nivAryate iti (5) viDO na kaScid-dozaH | iti | tat-api
   nirlakṣaṇaśaramokṣaprakhyāmīkṣyate | tathāhi vṛkṣa, śabdena vṛkṣavidhireva	nirlakzaNa-Sara-mokza-praKyAm-Ikzyate | taTA-hi vRkza, Sabdena vRkza-viDiH-eva
   kṛtaḥ, satuvidhiryathā pratyakṣeṇa anupālambhātmanā vā tena (6)	kRtaH, satu-viDiH-yaTA pratyakzeNa anupAlamBa-AtmanA vA tena (6)
   pratiṣedhaḥ kriyamāṇaḥ śakyate naivāsti nāstiśabdābhyāṃ sambaddhamasti	pratizeDaH kriyamANaH Sakyate na-eva-asti nAsti-SabdAByAm sambadDam-asti
   niyatatvāt nāsti niyatatvādeva vā tathā kimayaṃ śabdo vidhiḥ 'ābhyāṃ	niyata-tvAt na-asti niyata-tvAt-eva vA taTA kim-ayam SabdaH viDiH aAByAm
   padābhyāṃ sambaddhaṃ yogyaṃ (7) upadarśyate' | tathā cedasti nāsti	padAByAm sambadDam yogyam (7) upadarSyate-a | taTA ced-asti na-asti
   padasambandhasādhāraṇa upadarśitaḥ | tat sādhāraṇañcāvṛkṣavyāvṛttaṃ vā	pada-sambanDa-sADAraNaH upadarSitaH | tat sADAraNaQcAvRkza-vyAvRttam vA
   vṛkṣārthavidhāyitayā tathābhūtaścārthaḥ bāhyapadārthasya (8)	vRkza-arTa-viDAyitayA taTABUtaH-ca-arTaH bAhya-padArTasya (8)
   abhāvaniyatasya bhāvaniyatasya vā sajātīyavyāvṛttayā tathākhyātasyānena	aBAva-niyatasya BAva-niyatasya vA sajAtIya-vyAvRttayA taTA-AKyAtasya-anena
   tathākhyānābhāvātaṃ | sa ca śabdārthaḥ sādhāraṇo vā bhāvābhāvayordṛṣṭatvāt	taTA-AKyAna-aBAvAtam | sa ca Sabda-arTaH sADAraNaH vA BAva-aBAvayoH-dRzwa-tvAt-
   sādhāraṇaṃ tu (1)ko yathā nityāninyayordṛṣṭatvāt, prameyatvaṃ vastutvaṃ vā	sADAraNam tu (1)kaH yaTA nityA-ninyayoH-dRzwa-tva-at, prameya-tvam vastu-tvam vA
   sādhāraṇamuktaṃ tadvat | na tu bhāvābhāvātmakatvādubhayasādhāraṇaḥ	sADAraNam-uktam tadvat | na tu BAva-aBAva-Atmaka-tvAt-uBaya-sADAraNaH
   śeṣamapi kalpanaṃ aphalamanyathaiva vivakṣitatvāt | sarvasyaiva hi	Sezam-api kalpanam aPalam-anyaTA-eva vivakzita-tvAt | sarvasya-eva hi
   dharmarūpasya śābdasya tādṛśadharmmadvaye dṛṣṭatvāt |	Darma-rUpasya SAbdasya tAdRSa-Darmma-dvaye dRzwa-tvAt |
   sādhāraṇyamābālamavagatam | tathāhi |	sADAraNyam-AbAlam-avagatam | taTA-hi |
   āvirbhāvatirobhāva dharmmakeṣvanuyāyivat |	AvirBAva-tiroBAva Darmmakezu-anuyAyi-vat |
   taddharmmi yatrāvābuddhiḥ, jñānaṃ prāgdharmagrahaṇādbhavet ||	tad-Darmmi yatra-avAbudDiH, jQAnam prAc-Darma-grahaNAt-Bavet ||
   iti bhaṭṭamatam |	iti Bawwa-matam |
   ekaṃ dharmiṇamudṛśya nānādharmasamāśrayam |	ekam DarmiNam-udRSya nAnA-Darma-samASrayam |
   vidhāvekasya tadbhājamivānyeṣāmupekṣakam ||	viDO=-ekasya tad-BAjam-iva-anyezAm-upekzakam ||
   niṣedhe tadviviktañca tadanyeṣāmapekṣakam |	nizeDe tad-viviktaQca tad-anyezAm-apekzakam |
   trayavahāramasatyārtha prakalpayati dhīryathā |	traya-vahAram-asatya-arTa prakalpayati DIH-yaTA |
   taṃ tathevāvikalpārtha bhedāśrayamupāgatāḥ |	tam taTA-iva-avikalpa-arTa Beda-ASrayam-upAgatAH |
   anādivāsanodbhūtaṃ dhāvante 'rtha na laukikam ||	anAdi-vAsanA-udBUtam DAvante arTa na lOkikam ||
   tatphalo 'tatphalaścāryo bhinna ekastatastataḥ |	tad-PalaH atat-PalaH-ca-AryaH BinnaH ekaH-tatas-tatas |
   taistairupaplavairnītasañcayāpayairiva ||	tEH-tEH-upaplavEH-nIta-saQcayA-payEH-iva ||
   dṛṣṭiṃ bhedāśrayaiste 'pi tasmādajñātaviphlavāḥ ||	dRzwim Beda-ASrayEH-te api tasmAt-ajQAta-viPlavAH ||
   iti siddhāntatatvamācāryīyamādāveva likhitam |	iti sidDAntatatvam-AcAryI-iyam-AdO=-eva liKitam |
   śabdebhyo yādṛśībuddhirnaṣṭe 'naṣṭepi dṛśyate |	SabdeByaH yAdRSI-budDiH-nazwe anazwepi dRSyate |
   tādṛśyeva sadarthānāṃ naitacchobhādicetasām ||	tAdRSi-eva sat-arTAnAm na-etat-SoBA-Adi-cetasAm ||
   bhāvābhāvayordarśanādvikalpa prati (5) bhāsasya sādhāraṇyamuktaṃ	BAva-aBAvayoH-darSanAt-vikalpa prati (5) BAsasya sADAraNyam-uktam
   pūrvārddhena | dvitīyārdhena aparamārthaviṣayatvasādhyadharmābhāvena	pUrva-ardDena | dvitIya-arDena aparama-arTa-vizaya-tva-sADya-Darma-aBAvena
   sādhanadharmasya bhāvābhāvasādhāraṇyasyābhāvo darśitaḥ | śrotrādi	sADana-Darmasya BAva-aBAva-sADAraNyasya-aBAvaH darSitaH | Srotra-Adi
   (6)cetasi vipakṣadharmiṇi tataścāyaṃ prayogaḥ prajāyate | yaḥ pratyayo	(6)cetasi vipakza-DarmiNi tatas-ca-ayam prayogaH prajAyate | yaH pratyayo
   yasyārthasya bhāvābhāvasādhāraṇapratibhāsaḥ sa paramārthatastadviṣayo na	yasya-arTasya BAva-aBAva-sADAraNa-pratiBAsaH sa paramArTataH-tad-vizayaH na
   bhavati | yathā (7) saṃśayapratyayapratibhāsaḥ svārthasammataḥ	Bavati | yaTA (7) saMSaya-pratyaya-pratiBAsaH sva-arTa-sammataH
   śarkarādyarthabhāvābhāvasādhāraṇapratibhāsaśca śarkarādivikalpapratibhāsaḥ	SarkarA-Adi-arTa-BAva-aBAva-sADAraNa-pratiBAsaH-ca SarkarA-Adi-vikalpa-pratiBAsaH
   vyatirekeṇa yaḥ paramārthataḥ (8) pratyayo yadviṣayaḥ sa	vyatirekeNa yaH paramArTataH (8) pratyayaH yat-vizayaH sa
   tasyārthasyānvayavyatirekāvanuvidhatte | yathā	tasya-arTasya-anvaya-vyatirekO=-anuviDatte | yaTA
   madhuragāndhāradhvanibhāvābhāvānu vidhāyīśrotrabodhaḥ |	maDura-gAnDAra-Dvani-BAva-aBAva-anu viDAyISrotra-boDaH |
   śarkarālakṣaṇasvārthabhāvābhāvā (9) nuvidhāyī ca na bhavati	SarkarA-lakzaNa-sva-arTa-BAva-aBAvA (9) nu-viDAyI ca na Bavati
   śarkarāvikalasya pratibhāsaḥ paramārthatastadviṣayatvaṃ	SarkarA-vikalasya pratiBAsaH paramArTataH-tad-vizaya-tvam
   tadutpattisambadhanibaṃdhanaṃ dṛṣṭaṃ śrotraprarūpa pratyayapratibhāso yadi	tad-utpatti-sambaDa-nibaMDanam dRzwam Srotra-prarUpa pratyaya-pratiBAsaH yadi
   tadabhāveti (10) paramārthatastadviṣayatvaṃ syāt | tadā	tad-aBAva-iti (10) paramArTataH-tad-vizaya-tvam syAt | tadA
   saṃśayaviparyāsapratyayapratibhāsasyāpi syāt na ca	saMSaya-viparyAsa-pratyaya-pratiBAsasya-api syAt na ca
   tayostathātvamanumanyate prāmāṇikena nāvālambanapratyayatvā	tayoH-taTAtvam-anumanyate prAmANikena nAvA-Alambana-pratyaya-tvA
   bhāvādaparamatau kāraṇaṃ śakyaṃ kalpayitum | yathā go jñānaṃ tāvat viṣayaṃ	BAvAt-aparamatO kAraNam Sakyam kalpayitum | yaTA gaH jQAnam tAvat vizayam
   aparamapi ca na yuktam |	aparam-api ca na yuktam |
   tacca sāmānyavijñānamanurundhan vibhāvyate |	tat-ca sAmAnya-vijQAnam-anurunDan viBAvyate |
   nīlādyākāralekṣo yaḥ sa tasminkena nirmitaḥ ||	nIla-Adi-AkAralekzaH yaH sa tasmin-kena nirmitaH ||
   iti yat yat pratibhāsaṃ vijñānaṃ na bhavati na tattadviṣayaṃ	iti yat yat pratiBAsam vijQAnam na Bavati na tad-tad-vizayam
   vyavahartavyam | yathā go jñānaṃ aśvaviṣayaṃ na vyavahṛyate	vyavahartavyam | yaTA gaH jQAnam aSva-vizayam na vyavahRyate
   varṇakṛtyakṣarākārābhāsaṃ kalpavijñānaṃ, na	varNa-kRti-akzara-AkAra-ABAsam kalpa-vijQAnaM, na
   varṇakṛtyakṣarākāraśūnyaparasammatasāmānyapratibhāsaṃ tadviṣayatvaṃ hi	varNa-kRti-akzara-AkAra-SUnya-para-sammata-sAmAnya-pratiBAsam tad-vizaya-tvam hi
   pratibhāsatvena vyāptarūpābhāsasya rūpaviṣaye dṛṣṭaṃ rase (4)canopanaddhaṃ	pratiBAsa-tvena vyApta-rUpa-ABAsasya rUpa-vizaye dRzwam rase (4)cana-upanadDam
   paramārthata iti viśeṣaṇāt sāṃvṛtaṃ na pāryate | paramārthaśca pratiṣṭhito	paramArTataH iti viSezaNAt sAMvRtam na pAryate | parama-arTaH-ca pratizWitaH-
   bhāvasvabhāvo 'rthakriyāsamarthaḥ | pratyakṣapratibhāsitaḥ	BAva-svaBAvaH arTa-kriyA-samarTaH | pratyakza-pratiBAsitaH
   sarvavyavahartṛṇāṃ hānopādānasamī (5) hāviṣayaḥ prakāśyate-	sarva-vyavahartRNAm hAna-upAdAna-samI (5) ha-avizayaH prakASyate-
   arthakriyāsamartha yattadeva paramārthasat |	arTa-kriyA-samarTa yat-tat-eva paramArTa-sat |
   anyat saṃvṛtisat proktaṃ te svasāmānyalakṣaṇe | ityarthaḥ |	anyat saMvRtisat proktam te sva-sAmAnya-lakzaNe | iti-arTaH |
   tenedamasaṃlagnam 'tadyadigovikalpasyāśvaviṣayatvameva tadbhāvāsādhāraṇyaṃ	tena-idam-asaMlagnam atadya-digo-vikalpasya-aSva-vizaya-tvam-eva tad-BAva-asADAraNyam
   gavyapi bāhye tathā, tataḥ sādhyaviśiṣṭatvam' |	gavi-api bAhye taTA, tatas sADya-viSizwa-tvam-a |
   arūpādiviśeṣākāṅkṣā tadāsādhāraṇyam, nahyudāhṛto govikalpo	arUpa-Adi-viSeza-AkAFkzA tadA-asADa-araNyam, na-hi-udAhRtaH go-vikalpaH-
   'śvāityādiviśeṣamākāṅkṣati | niyamavidhau tu virodha eva | na	aSva-aitya-Adi-viSezam-AkAFkzati | niyama-viDO tu viroDaH eva | na
   hyatadviṣayasya tadviśeṣaniyamākāṅkṣā nāma, gojñānasyāśvaviśeṣa niyama'	hi-atad-vizayasya tad-viSeza-niyama-AkAFkzA nAma, go-jQAnasya-aSva-viSeza niyama-a
   kāṃkṣāprasaṅgāt | tadīyasadasatvānupadarśanaṃ cet tato 'siddhirdoṣaḥ |	kAMkzA-prasaFgAt | tadIyasat-a-satvAn-upadarSanam ced tatas asidDiH-dozaH |
   nahi govikalpo gośvarūpaṃ nopadarśayatīti mama kadāpi siddham, tava	nahi go-vikalpaH go-Sva-rUpam na-upadarSayati-iti mama kadApi sidDam, tava
   cādyāpi | upādhya (9)ntaraṃcedanekāntaḥ | na hi yo yasya upādhyantaraṃ	ca-adya-api | upADya (9)ntaraMcedanekAntaH | na hi yaH yasya upADi-antaram
   nopadarśayet nāsau tadapītiniyamaḥ' iti |	na-upadarSayet na-asO tad-api-iti-niyamaH-a iti |
   punaścoktaṃ kathaṃ pūreta asya agotvavyavacchedaḥ, śabdaliṅgābhyāṃ (10)	punar-ca-uktam kaTam pUreta asya ago-tva-vyavacCedaH, Sabda-liFgAByAm (10)
   pratipādyate na viśeṣaḥ vastusvarūpayeveti pramāṇantarasya śabdāntarasya	pratipAdyate na viSezaH vastu-svarUpayA-iva-iti pramANantarasya Sabda-antarasya
   ca vṛtteḥ | tathāhi-	ca vRtteH | taTA-hi-
   ekasyārthasvabhāvasya pratyakṣasya ca sataḥ svayam |	ekasya-arTa-svaBAvasya pratyakzasya ca sataH svayam |
   ko 'nyo bhāvo na dṛṣṭaḥ syāt yaḥ pramāṇaiḥ parīkṣyate ||	kaH anyaH BAvaH na dRzwaH syAt yaH pramANEH parIkzyate ||
   sahi-pratyakṣaḥ prasiddho dharmiṇi sādhanāsambhavāt | yathā	sahi--pratyakzaH prasidDaH DarmiNi sADana-asamBavAt | yaTA
   pratyayatvasādhye śabdastathā pratyakṣeṇaiva siddheḥ sarvākārasiddhe	pratyaya-tva-sADye SabdaH-taTA pratyakzeNa-eva sidDeH sarva-AkAra-sidDe
   tadanyasya'(2) siddhasyābhāvāt, bhāve vā na tatsvabhāvatvaṃ nahi	tad-anyasya-a(2) sidDasya-aBAva-at, BAve vA na tad-svaBAva-tvam na-hi
   yat..........na bhavanti sa tatsvabhāvoyuktaḥ tanmātranibandhanatvāt	yat..........na Bavanti sa tad-svaBAvaH-yuktaH tanmAtra-nibanDana-tvAt-
   bhedavyavahārasya | anyathā abhāvaprasaṃgādi (3) ityuktam,	Beda-vyavahArasya | anyaTA aBAva-prasaMga-Adi (3) iti-uktam,
   tasmātpratyakṣeṇa dharmiṇi tatsvabhāvāsākalyaparicchedāt atrānavakāśaḥ	tasmAt-pratyakzeNa DarmiNi tad-svaBAvAsAkalya-paricCedAt atra-anavakASaH
   pramāṇantarabuddhiḥ syāt |	pramANantara-budDiH syAt |
   ḥno cedbhrāntinimittena saṃyojyetaḥ guṇāntaramḥ	Hno ced-BrAnti-nimittena saMyojya-itas guNa-antaramH
   'śuktau vā rajatākāro rūpasādharmyadarśanāt ||	aSuktO vA rajata-AkAraH rUpa-sADarmya-darSanAt ||
   yadi dṛṣṭasarvatatvasyāpi bhrāmyaddhetoḥ niścayapratirodhinā	yadi dRzwa-sarvatatvasya-api BrAmyat-hetoH niScaya-pratiroDinA
   bhrāntinimittena guṇāntarā na saṃyojyeta, yathā śuktau rajatākārau, na hi	BrAnti-nimittena guNa-antarAH na saMyojyeta, yaTA SuktO rajata-AkArO, na hi
   śuktau te rūpe samānaṃ viśiṣṭañca tathāpratipattiprasaṅgāt | apratipattau	SuktO te rUpe samAnam viSizwaQca taTA-apratipatti-prasaFgAt | apratipattO
   vā vivekena tvavikalpāyogān atiprasaṅgācca | tasmāt paśyan śuktirūpaṃ ca	vA vivekena tu-avikalpa-ayogAn atiprasaFgAt-ca | tasmAt paSyan Sukti-rUpam ca
   (6) viśiṣṭameva paśyati niścayapratyayavaikalyāt |	(6) viSizwam-eva paSyati niScaya-pratyaya-vEkalyAt |
   aniścitaṃ tava sāmānyaṃ paśyāmīti manyate '	aniScitam tava sAmAnyam paSyAmi-iti manyate a
   tato 'sya rajatasamāropaḥ tathā sadṛśārtharopi	tatas asya rajata-samAropaH taTA sadRSa-arTa-ropi
   notpatte(7)ralakṣitanānātvasya bhrāntisamāropāt sthitibhrānti yāvanto 'sya	na-utpatte(7)ra-lakzita-nAnA-tvasya BrAnti-samAropAt sTiti-BrAnti yAvantaH asya
   parabhāvā tāvanta eva yathāsvaṃ nimittabhāvinaḥ samāropāiti	para-BAvA tAvantaH eva yaTAsvam nimitta-BAvinaH samAropAiti
   tadvayavacchedakāni (8) bhavanti pramāṇāni saphalāni, teṣāntu	tadvayava=-CedakAni (8) Bavanti pramANAni sa-PalAni, teza-antu
   vyavacchedaphalānāṃ tu nā pratītavastvaṃśapratyāyane pravṛttistasya	vyavacCeda-PalAnAm tu nA pratIta-vastu-aMSa-pratyAyane pravRttiH-tasya
   dṛṣṭatvāt | phalāṃ śasya caikadeśena darśanāyogāt |	dRzwa-tvAt | PalAm Sasya ca-eka-deSena darSana-ayogAt |
   tasmāt [1]dṛṣṭasya bhāvasya dṛṣṭa evākhilo guṇaḥ |	tasmAt [1]dRzwasya BAvasya dRzwaH eva-aKilaH guNaH |
