   āmnāyasya //	AmnAyasya //
   apinā kadācidatra samuccayena prāptau satyāṃ parisaṅkhyātvopapattāvapi	apinA kadAcid-atra samuccayena prAptO satyAm parisaFKyAtvA-upapattO=-api
   pākṣikaprāptāvapi atra niṣedhapravṛtteḥ parisaṅkhyāvidhitvamanyathā na	pAkzika-prAptO=-api atra nizeDa-pravRtteH parisaFKyA-viDi-tvam-anyaTA na
   sidhyati /	siDyati /
   anenaiva nyāyena ''pañca pañcanakhā bhakṣyā'' ityatra	anena-eva nyAyena aapaQca paQcanaKAH BakzyA-aa iti-atra
   kadācitpākṣikaprāptāvapi parisaṅkhyāvidhitvaṃ nirduṣṭaṃ bhavatīti ca	kadAcid-pAkzika-prAptO=-api parisaFKyA-viDi-tvam nirduzwam Bavati-iti ca
   sūcitam //	sUcitam //
   anena codāharaṇena niṣedharūpeṣu ''dīkṣito na juhoti ''na tau paśau	anena ca-udAharaNena nizeDa-rUpezu aadIkzitaH na juhoti aanaH tO paSO
   karotī'' tyādiṣu nivṛttiphalakatvāt pākṣikaniyamaprāptyabhāve 'pi	karotI-aa tyAdizu nivRtti-Palaka-tvAt pAkzika-niyama-prApti-aBAve api
   parisaṅkhyāvidhitve sūcite yatteṣāmapūrvaniyamavidhitve āpādya	parisaFKyA-viDi-tve sUcite yat-tezAm-apUrva-niyama-viDi-tve ApAdya
   parisaṅkhyālakṣaṇātivyāptyāpādanaṃ vidhirasāyanakārāṇāṃ tadapāstamiti	parisaFKyA-lakzaNa-ati-vyApti-ApAdanam viDi-rasAyana-kArANAm tad-apAstam-iti
   draṣṭavyam //	drazwavyam //
   naca parisaṅkhyātvena vyavahārābhāvaḥ; paryudāsapratiṣedhatvena	na-ca parisaFKyA-tvena vyavahAra-aBAvaH; paryudAsa-pratizeDa-tvena
   vyavahārasiddhau tacvena vyavahārābhāve 'pi kṣatyabhāvasya	vyavahAra-sidDO tacvena vyavahAra-aBAve api kzati-aBAvasya
   nyāyasudhāyāmeva darśitatvāt //	nyAya-suDAyAm-eva darSita-tvAt //
   (abhāvasya nivṛttipratiyoginirūpaṇenāvaghātavidherapi phalataḥ	(aBAvasya nivRtti-pratiyogi-nirUpaNena-avaGAta-viDeH-api PalataH
   parisaṅkhyātve na doṣa iti nirūpaṇam) atraca nivṛttipratiyogī na kevalaṃ	parisaFKyA-tve na dozaH iti nirUpaNam) atra-ca nivRtti-pratiyogI na kevalam
   bhāvarūpa eva vivakṣitaḥ, kintvabhāvarūpo 'pi /	BAva-rUpaH eva vivakzitaH, kintva-BAva-rUpaH api /
   ataeva ''patnīsaṃyājāntā prāyaṇīyā saṃtiṣṭhate'' ''nānūyājān yajatī''	ataeva aapatnI-saMyAja-antA prAyaNIyA saMtizWate-aa aanAnUya-AjAn yajatI-aa
   tyatra prāyaṇīyātithyayoḥ patnīsaṃyājaprayogavidhinā sarveṣāmuttarāṅgānāṃ	tyatra prAyaNIya-AtiTyayoH patnI-saMyAja-prayoga-viDinA sarvezAm-uttara-aFgAnAm
   nivṛttisiddhau punarnna patnīrnānūyājāniti niṣedhadvayaṃ vyarthaṃ	nivRtti-sidDO punar-nna patnIH-na-anUyAjAn-iti nizeDa-dvayam vyarTam
   saditarāṅgābhāvaparisaṅkhyārthamiti daśame pūrvapakṣe upapāditaṃ	saditara-aFga-aBAva-parisaFKyA-arTam-iti daSame pUrva-pakze upapAditam
   saṅgacchate /	saFgacCate /
   evañca avaghātābhāvanivṛttiphalake niyamodāharaṇe	evaQca avaGAta-aBAva-nivRtti-Palake niyama-udAharaNe
   'vaghātābhāvapratiyoginivṛttiphalakatvena parisaṅkhyālakṣaṇasacve 'pi	avaGAta-aBAva-pratiyogi-nivRtti-Palaka-tvena parisaFKyA-lakzaNa-sacve api
   sāṅkarye bādhakā bhāvānna kṣatirityavadheyam /	sAFkarye bADakAH BAvAt-na kzatiH-iti-avaDeyam /
   ataeva yaddharmāvacchinnapratiyogikābhāvanivṛttitvena yatra	ataeva yat-Darma-avacCinna-pratiyogika-aBAva-nivRtti-tvena yatra
   śāsratātparyaviṣayatā tatra niyamaḥ, yatra tu tatpratiyogikanivṛttitvena	SAsratAt-paryavizaya-tA tatra niyamaH, yatra tu tad-pratiyogika-nivRtti-tvena
   sā, tatra parisaṅkhyetyetāvavataiva tayorbhedaḥ //	sA, tatra parisaFKyA-iti-etO=-avatA-eva tayoH-BedaH //
   (nivṛttividhiḥ parisaṅkhyeti vivakṣāyāṃ vidhirasāyanoktadūṣaṇaparihāraḥ)	(nivRtti-viDiH parisaFKyA-iti vivakzAyAm viDi-rasAyana-ukta-dUzaNa-parihAraH)
   atraca śabdataḥ phalata ityasyāyamarthaḥ /	atra-ca SabdataH Palatas iti-asya-ayam-arTaH /
   yatra vaiyarthyapratisandhānaṃ vinaiva nivṛttiḥ pratīyate, sā śabdataḥ,	yatra vEyarTya-pratisanDAnam vinA-eva nivRttiH pratIyate, sA SabdataH,
   yatra tatpratisaṃdhānena sā tātparyaviṣayībhūtā tatra phalata iti /	yatra tad-pratisaMDAnena sA tAtparya-vizayIBUtA tatra Palate iti /
   evañca---nivṛttiphalo vidhiḥ parisaṅkhyeti lakṣaṇavivakṣāyāṃ	evaQca---nivRtti-PalaH viDiH parisaFKyA-iti lakzaNa-vivakzAyAm
   agnihotravidhāvativyāptirakaraṇanivṛttiphalatvāditi	agnihotra-viDO=-ati-vyAptiH-akaraNa-nivRtti-Pala-tvAt-iti
   vidhirasāyanoktyativyāptyāpādanaṃ---parāstam; akaraṇanivṛtteḥ śabdataḥ	viDi-rasAyana-ukti-ati-vyApti-ApAdanaM---parAH-tam; akaraNa-nivRtteH SabdataH
   phalato vā tātparyaviṣayatvābhāvāt, agnihotrānuṣṭhānavidhāyakatvena	PalataH vA tAtparya-vizaya-tva-aBAva-at, agnihotra-anuzWAna-viDAyaka-tvena
   vaiyarthyābhāvāt /	vEyarTya-aBAvAt /
   ataeva---etādṛśārthavivakṣayā padadvayametallakṣaṇaghaṭakameveti---dhyeyam	ataeva----etAdRSa-arTa-vivakzayA pada-dvayam-etat-lakzaNa-Gawakam-eva-iti---Dyeyam
   tathācayadvidhyabhāve yasya prāprau saṃbhāvitāyāṃ tasya śabdataḥ phalato	taTA-acayat-viDi-aBAve yasya prAprO saMBAvitAyAm tasya SabdataH Palato
   vā nivṛttiḥ śabdatātparyaviṣayabhūtetyupādānānniyamavidhau	vA nivRttiH Sabda-tAtparya-vizaya-BUta-iti-upAdAnAt-niyama-viDO
   vidalanādinivṛtteḥ phalatve 'pi nātivyāptiḥ //	vidalana-Adi-nivRtteH Pala-tve api na-ati-vyAptiH //
   (parisaṅkhyālakṣaṇaghaṭakaitadvidhyabhāvaḥ tanmātrapratiyogikaḥ	(parisaFKyA-lakzaNa-Gawaka-etat-viDi-aBAvaH tanmAtra-pratiyogikaH
   taditarāpravṛttisahitatadvidhipratiyogikaśva vivakṣaṇīya iti nirūpaṇam)	tad-itara-apravRtti-sahita-tad-viDi-pratiyogikaSva vivakzaNIyaH iti nirUpaNam)
   atraca etadvidhyabhāva etanmātrapratiyogiko	atra-ca etat-viDi-aBAvaH etanmAtra-pratiyogi-kaH-
   vidhyantarāpravṛttisahitaitadvidhipratiyogikovā	viDi-antarA-pravRtti-sahita-etat-viDi-pratiyogi-kovA
   vakṣyamāṇaniyamavidhighaṭakapākṣikāyogavadavaseyaḥ /	vakzyamANa-niyama-viDi-Gawaka-pAkzikA-yoga-vat-avaseyaH /
   itarathā gṛhamedhīyagate ''ājyabhāgau yajatī'' ti vidhau	itaraTAH gRhameDIya-gate aaAjya-BAgO yajatI-aa ti viDO
   parisaṅkhyātvalakṣye ājyabhāgavidhimātrābhāve ''agnaye sviṣṭakṛte	parisaFKyAtu-alakzye Ajya-BAga-viDi-mAtra-aBAve aaagnaye svizwakRte
   samavadyati'' ''iḍāmupahvayasve''-	samavadyati-aa aaixAm-upahvaya-sve-aa-
   tyādiprākṛtāṅgapunarvidhānenetarāṅgaparisaṅkhyālābhenājyabhāgasādhāraṇyenetaraṅgaprāptyabhāve	tyAdi-prAkRta-aFga-punar-viDAnena-itara-aFga-parisaFKyA-lABena-Ajya-BAga-sADa-araNyena-itaraFga-prApti-aBAve
   tannivṛttiphalakatvāsaṅgenāvyāptyāpattestatra	tad-nivRtti-Palaka-tva-AsaFgena-avyApti-ApatteH-tatra
   vidhyantarāpravṛttisahitājyabhāgavidhyabhāvamādāyaiva	viDi-antara-apravRtti-sahita-Ajya-BAga-viDi-aBAvam-AdAya-eva
   ājyabhāgayostaditarāṅgānāṃ ca prāptyā lakṣaṇaṃ neyam /	Ajya-BAgayoH-tad-itara-aFgAnAm ca prAptyA lakzaNam na-iyam /
   evamanyatrāpyūhyam //	evam-anyatra-api-Uhyam //
   (apabarhiṣaḥ prayājānityatra	(apabarhizaH prayAjA-aniti-atra
   parisaṅkhyālakṣaṇātivyāptinirūpaṇaparavidhirasāyanakhaṇḍanam) vidhyantaraṃ	parisaFKyA-lakzaNa-ati-vyApti-nirUpaNa-para-viDi-rasAyana-KaNxa-nam) viDi-antaram
   cātra prakṛtavidhervivakṣitaphalā yā vidheyatā tatpratibandhakarūpaṃ	ca-atra prakRta-viDeH-vivakzita-PalA yA viDeya-tA tad-pratibanDaka-rUpam
   vivakṣitaṃ, nānyat /	vivakzitaM, na-anyat /
   astica yavavidhistādṛśo 'gnaye sviṣṭakṛte ityayaṃ ceti nānupapattiḥ /	asti-ca yava-viDiH-tAdRSaH agnaye svizwakRte iti-ayam ca-iti na-anupapattiH /
   etena--- aṣṭamaślokavivaraṇe ājyabhāgapunarvidhānena gṛhamedhīyavadapūrve	etena-- azwama-Sloka-vivaraNe Ajya-BAga-punar-viDAnena gRhameDIya-vat-apUrve
   'vabhṛte ''apabarhiṣaḥ prayājān yajati apabarhiṣāvanūyājau yajatī'' ti	avaBRte aaapabarhizaH prayAjAn yajati apabarhizO=-anUyA-AjO yajatI-aa ti
   varhirvyatiriktaprayājānūyājaprāptyarthe 'pūrvavidhau	varhiH-vyatirikta-prayAja-anUyAja-prApti-arTe apUrva-viDO
   vidhyantarāpravṛttisahitaitadvidhyabhāve	viDi-antarA-pravRtti-sahita-etat-viDi-aBAve
   barhiḥsaṃjñakaprayājānūyājayostadyatiriktaprayājānūyājānāṃ ca	barhiH-saMjQaka-prayAja-anUyAjayoH-tadi-atirikta-prayAja-anU-yAjAnAm ca
   niyataprāptisacvena tannivṛttiphalakatvāt	niyata-prApti-sacvena tad-nivRtti-Palaka-tvAt-
   parisaṃkhyālakṣaṇasyātivyāptirvidhirasāyane āpā ditā---parāstā;	parisaMKyA-lakzaNasya-ati-vyAptiH-viDi-rasAyane ApAH dita-a---parAH-tA;
   ājyabhāgavidheranūyājaprayājādividheyatāpratibandhakatvābhāvena	Ajya-BAgaviDeH-anUyA-ja-prayAja-Adi-viDeya-tA-pratibanDaka-tva-aBAvena
   vidhyantarapadenāgrahaṇāt /	viDi-antara-padena-agrahaNAt /
   atastādṛśasya vidhyanatarasyābhāvāt nāyaṃ tasya viṣayaḥ /	atas-tAdRSasya viDi-anatarasya-aBAvAt na-ayam tasya vizayaH /
   etadvidhimātrābhāve tu ājyabhāgavidhinā parisaṃkhyātatvāt	etad-viDi-mAtra-aBAve tu Ajya-BAga-viDinA parisaMKyAta-tvAt-
   barhiḥsaṃjñakaprayājānūyājayoḥ tadvyatiriktaprayājānāṃ ca naiva niyatā	barhiH-saMjQaka-prayAja-anUyAjayoH tad-vyatirikta-prayAjAnAm ca na-eva niyatA
   prāptiriti naiva lakṣaṇānupraveśaḥ /	prAptiH-iti na-eva lakzaNa-anupraveSaH /
   anenaiva nyāyena ''bṛhatpṛṣṭhaṃ bhavatī'' ti vai kṛtaniyamavidhau	anena-eva nyAyena aabRhat-pRzWam BavatI-aa ti vE kRta-niyama-viDO
   etadvidheḥ prākṛtabṛhadrathantaravikalpavidheśvāpravṛttau prakṛtito	etat-viDeH prAkRta-bRhat-raTantara-vikalpa-viDa-ISvA-pravRttO prakRtitaH-
   ''bṛhatpṛṣṭhaṃ bhavati rathantaraṃ pṛṣṭhaṃ bhavatī'' ti vā kyadvayabalāt	aabRhat-pRzWam Bavati raTantaram pRzWam BavatI-aa ti vA kya-dvaya-balAt-
   bṛhadrathantarayoḥ samuccitya	bRhat-raTantarayoH samuccitya
   prāptisacvātparisaṅkhyālakṣaṇasyātivyāptirapi tadāpāditā nirasanīyā;	prApti-sacvAt-parisaFKyA-lakzaNasya-ativyAptiH-api tad-ApAditA nirasanIyA;
   anayaiva rītyaitatsadṛśodāharaṇeṣu tadāpāditātivyāptyādidūṣaṇāni	anayA-eva rItyA-etat-sadRSa-udAharaNezu tad-ApAdita-ati-vyApti-Adi-dUzaNAni
   nirasanīyāni /	nirasanIyAni /
   ito 'pyadhikaṃ kaustubhe draṣṭavyam //	itas api-aDikam kOstuBe drazwavyam //
   (aśvābhidhānīśabdenāpūrvasādhanatvalakṣaṇāyāmapi	(aSva-aBiDAnI-Sabdena-apUrva-sADanatva-lakzaNAyAm-api
   aśvābhidhānītvavivakṣāvaśyakatānirapaṇena	aSva-aBiDAnI-tva-vivakzA-vaSya-ka-tA-nirapaNena
   dharmasāṃkaryāpādanaparavidhirasāyanakhaṇḍanam)	Darma-sAMkarya-ApAdana-para-viDi-rasAyana-KaNxanam)
   nanu---astvevamubhayasādhāraṇyena parisaṅkhyālakṣaṇaṃ, tathāpi	nanu---aH-tu-evam-uBaya-sADAraNyena parisaFKyA-lakzaNan, taTA-api
   ''aśvābhidhānīmādatte'' ityatrāśvābhidhānyuddeśena mantraviśiṣṭādānavidhau	aaaSva-aBiDAnIm-Adatte-aa iti-atra-aSva-aBiDAnI-uddeSena mantra-viSizwa-AdAna-viDO
   aśvābhidhānīsvarūpe ānarthakyaparihārārthaṃ apūrvasādhanatvalakṣaṇāyā	aSva-aBiDAnI-svarUpe AnarTakya-parihAra-arTam apUrva-sADanatva-lakzaNAyAH-
   āvaśyakatvāttadrūpasyacaikāpūrvasādhanatvena gardabhābhidhānyāmapi sacvena	AvaSyaka-tvAt-tad-rUpasya-ca-eka-apUrva-sADana-tvena gardaBa-aBiDAnyAm-api sacvena
   vrīhidharmāṇāṃ yaveṣviva dharmasāṃkaryasyānirākaraṇāt kathaṃ	vrIhi-DarmANAm yavezu-iva Darma-sAMkaryasya-anirAkaraNAt kaTam
   gardabhābhidhānyāṃ mantranivṛttiḥ phalaṃ labhyate? ityudāharaṇākṣepe	gardaBa-aBiDAnyAm mantra-nivRttiH Palam laByate? iti-udAharaNa-Akzepe
   vidhirasāyanoktadūṣaṇānna muktiḥ iti---cet, dharmasāṃkaryasya	viDi-rasAyana-ukta-dUzaNAt-na muktiH iti---cet, Darma-sAMkaryasya
   liṅgakalpyaśrutyaiva prāptatvenāpūrvasādhanatvamātrabhaṇāyāṃ	liFga-kalpya-SrutyA-eva prApta-tvena-apUrva-sADana-tva-mAtra-BaNAyAm
   vidhivaiyarthyāparihāreṇa tadvaiyarthyānupapacyā	viDi-vEyarTya-aparihAreNa tad-vEyarTya-anupapacyA
   gurubhūtasyāpyaśvābhidhānītvasya	guru-BUtasya-api-aSva-aBiDAnI-tvasya
   uddeśyatāvacchedakakoṭipraviṣṭatvāṅgīkāreṇa tadanāpatteḥ //	uddeSya-tAvacCedaka-kowi-pravizwa-tva-aFgIkAreNa tad-anApatteH //
   ataeva ''pratūrtaṃ vā jinnādravetyaśvamabhidadhāti'' ''yuñjāthāṃ rāsabhaṃ	ataeva aapratUrtam vA jinnA-drava-iti-aSvam-aBidaDAti-aa aayun-jATAm rAsaBam
   yuvamiti gardabhaṃ pratiṣṭhāpayati'' iti tattadvargavidhau	yuvam-iti gardaBam pratizWApayati-aa iti tad-tad-varga-viDO
   pratiniyatanirdeśo 'pyupapadyate //	pratiniyata-nirdeSaH api-upapadyate //
   (aśvābhidhānīmityatrāśvasaṃbandhāvivakṣāparavidhirasāyanakhaṇḍanam) yadapi	(aSva-aBiDAnIm-iti-atra-aSva-saMbanDa-avivakza-apara-viDi-rasAyana-KaNxa-nam) yat-api
   aśvābhidhānyuddeśena mantrasya tadviśiṣṭādānasya vā vidhāne viśiṣṭoddeśe	aSva-aBiDAnI-uddeSena mantrasya tad-viSizwa-AdAnasya vA viDAne viSizwa-uddeSe
   vākyabhedāpacyāśvaviśeṣaṇasyāvivakṣayā gardabhābhidhānyāṃ	vAkya-Beda-apacya-aSva-viSezaNasya-avivakzayA gardaBa-aBiDAnyAm
   mantraprāptiranivāryeti vidhirasāyane uktam, tanna; samāse	mantra-prAptiH-anivArya-iti viDi-rasAyane uktam, tat-na; samAse
   parasparānvayavyutpacyā viśiṣṭasya vyutpannatvena viśiṣṭoddeśyatāsvīkāre	paraspara-anvaya-vyutpacyAH viSizwasya vyutpanna-tvena viSizwa-uddeSya-tA-svIkAre
   'pi tadaprasakteḥ /	api tad-aprasakteH /
   nahya ''dhvaryuyajamānau vācaṃ yacchata'' ityatra nānekoddeśyatā, navā	nahya aaDvaryu-yajamAnO vAcam yat-Sata-aa iti-atra na-aneka-uddeSya-tA, navA
   prayājaśeṣasya saṃskāryatve 'pi prayājasaṃbandhāvivakṣeti spaṣṭam /	prayAja-Sezasya saMskArya-tve api prayAja-saMbanDa-a=-ivakza-iti spazwam /
   vidhivaiyarthyāparihārārthameva na brāhnaṇaṃ hanyādityatreva	viDi-vEyarTya-aparihAra-arTam-eva na brAhnaNam hanyAt-iti-atra-iva
   viśiṣṭānuvādasyāpyagatyāhgīkārācca, apūrvasādhanatvalakṣaṇāyāṃ	viSizwa-anuvAdasya-api-agati-AhgIkArAt-ca, apUrva-sADanatva-lakzaNAyAm
   apūrvaviśeṣaṇasyeva viśiṣṭalakṣaṇayā tasyāpi vivakṣopapatteśva /	apUrva-viSezaNasya-iva viSizwa-lakzaNayA tasya-api vivakzA-upapatteSva /
   naca---atra ''uru prathasveti puroḍāśaṃ prathayatī'' tyetravārthaprāptasya	naca---atra aauru praTasva-iti puroxASam praTayatI-aa ti-etra-va-arTa-prAptasya
   prathanasyādhvaryukartṛkatvaniyamaprāptiphalakatayā'dānavidhānena	praTanasya-aDvaryu-kartRka-tva-niyama-prApti-Palaka-tayA-adAna-viDAnena
   vaiyarthyaṃ supariharamiti taduktaṃ yuktam iti ---vācyam; tvaduktarītyā	vEyarTyam su-pariharam-iti tat-uktam yuktam iti ---vAcyam; tvad-ukta-rItyA
   tāvatāpi viśiṣṭānuvādānupa patteḥ /	tAvatA-api viSizwa-anuvAdAn-upa patteH /
   nahi vidhivaiyarthyāpacyā tvayā viśiṣṭānuvādaḥ śakyate parihartum /	na-hi viDi-vEyarTya-apacyA tvayA viSizwa-anuvAdaH Sakyate parihartum /
   asvaraśanāgrahaṇa iva gardabharaśanāgrahaṇe 'pi adhvaryukartṛniyamāya	asvara-Sana-agrahaNaH iva gardaBa-raSana-agrahaNe api aDvaryu-kartR-niyamAya
   vidhyupapatteḥ, mantrādanayoḥ samānakartṛkatvalābhāya mantrāṃśe	viDi-upapatteH, mantrAt-anayoH samAna-kartRkatva-lABAya mantra-aMSe
   vidhisaṃbhave 'nuvādatvakalpanasyāyuktatvācca /	viDi-saMBave anuvAda-tva-kalpanasya-ayukta-tvAt-ca /
   nahi svakartṛkamantrapāṭhenaiva svakartṛkakarmasmṛtiriti niyame	na-hi sva-kartRka-mantra-pAWena-eva sva-kartRka-karma-smRtiH-iti niyame
   pramāṇamasti; hotṛkartṛkamantrapāṭhenāpi	pramANam-asti; hotR-kartRka-mantra-pAWena-api
   yajamānādhvaryukartṛkayāgaprakṣepasmṛterjāyamānatvāt /	yajamAna-aDvaryu-kartR-kayAga-prakzepa-smRteH-jAyamAna-tvAt /
   ataeva mantrakalpasūtrāditaulyenopadraṣṭrādivacanasya	ataeva mantra-kalpa-sUtra-Adi-tOlyena-upadrazwra-Adi-vacanasya
   anuṣṭheyārthasmaraṇopāyatvena pakṣaprāptiḥ sarvatroktā /	anuzWeya-arTa-smaraNa-upAya-tvena pakza-prAptiH sarvatra-uktA /
   evañca mantravidhāne sati samānatatparisaṅkhyārūpaṃ phalaṃ naiva vārayituṃ	evaQca mantra-viDAne sati samAna-tad-parisaFKyA-rUpam Palam na-eva vArayitum
   śakyam /	Sakyam /
   vastutastu---mantrasyā'dhvaryavakāṇḍa eva samāmnānāt ''pratūrtaṃ	vastutas-tu---mantrasyA-aDvaryava-kANxaH eva samAmnAnAt aapratUrtam
   vājinnādravetyaśvamabhidadhāti'' iti pratyakṣavidhānāt tatraiva	vA-ajinna-adrava-iti-aSvam-aBidaDAti-aa iti pratyakza-viDAnAt tatra-eva
   bandhanavidhānācca bandhanasyādhvaryukartṛkatvaniyamasiddhau tadarthādāne	banDana-viDAnAt-ca banDanasya-aDvaryu-kartRka-tva-niyama-sidDO tad-arTa-AdAne
   'pi adhvaryukartṛkatvaniyamasiddheḥ sarvathā parisaṅkhyāphalakatvābhāve	api aDvaryu-kartRka-tva-niyama-sidDeH sarvaTA parisaFKyA-Palaka-tva-aBAve
   vidhivaiyarthyamevetyāveditameva kaustubhe pūjyapādaiḥ //	viDi-vEyarTyam-eva-iti-Aveditam-eva kOstuBe pUjya-pAdEH //
   yaditvanena nyāyenābhryādānasyāpi dvābhyāṃ śanatītyatra	yaditu-anena nyAyena-aBri-AdAnasya-api dvAByAm Sanati-iti-atra
   khanananiyamavidherāvaśyakatvena tatrādvaryukartṛkatvasiddhāvādāne 'pi	Kanana-niyama-viDeH-AvaSyaka-tvena tatra-advaryu-kartRka-tva-sidDO=-AdAne api
   tatkartṛkatvaprāpteḥ na pratyakṣavidhāne phalamityucyate, tadobhayatrāpi	tad-kartRka-tva-prApteH na pratyakza-viDAne Palam-iti-ucyate, tadA-uBayatra-api
   viśiṣyoddeśe vākyabhedaparihārārthamevādānaparyantavidhyāśravaṇam	viSizya-uddeSe vAkya-Beda-parihAra-arTam-eva-AdAna-paryanta-viDyA-SravaNam
   ityavadheyam /	iti-avaDeyam /
   yathācātra yājurvaidikaprāyaśvittaprāptirapyādānabhreṣe phalaṃ tathā	yaTAca-atra yAjuH-vEdika-prAya-Svitta-prAptiH-api-AdAn-a-Breze Palam taTA
   kaustubhe draṣṭavyam /	kOstuBe drazwavyam /
   prathanamantretu vakṣyate ityalaṃ vistareṇa /	praTana-mantretu vakzyate iti-alam vistareNa /
   prastutamanusarāmaḥ //	prastutam-anusarAmaH //
   (upasaṃhāravidhiṣu keṣāñcinmatena parisaṅkhyātvasamarpaṇam)	(upasaMhAra-viDizu kezAQcit-matena parisaFKyAtu-asamarpaNam)
   nanu---evamidaṃ parisaṅkhyālakṣaṇamanārabhyādhītasya anyasya vā yena	nanu---evam-idam parisaFKyA-lakzaNam-anAraBya-aDItasya anyasya vA yena
   sahopasaṃhāraḥ tatrānyanivṛtteḥ phalataḥ śāsratātparyaviṣayatvādativyāptam	saha-upasaMhAraH tatra-anya-nivRtteH PalataH SAsratAtparya-vizaya-tvAt-ati-vyAptam
   iti---cet, atra kecidiṣṭāpacyaiva parijahuḥ //	iti---cet, atra kecid-izwa-apacya-eva parijahuH //
   ataeva---aṣṭamaślokāvataraṇikāyāṃ mitravindādiprakaraṇagatānāṃ vākyānāṃ	ataeva---azwama-Sloka-avataraNikAyAm mitravinda-Adi-prakaraNa-gatAnAm vAkyAnAm
   parisaṅkhyātvamaṅgīkṛtaṃ dīkṣitairiti //	parisaFKyA-tvam-aFgIkRtam dIkzitEH-iti //
   (prakāśakāramatenopasaṃhāravidhīnāmaparisaṅkhyātvopapādanam) tadetat	(prakASa-kAra-matena-upasaMhAra-viDInAm-aparisaFKyA-tvA-upapAdanam) tat-etat
   prakāśakārā na kṣamante /	prakASa-kArAH na kzamante /
   itthaṃ hi vidhirasāyanakhaṇḍane tairupapāditam /	itTam hi viDi-rasAyana-KaNxane tEH-upapAditam /
   yadyupasaṃhārasya parisaṅkhyātvaṃ, tadā ''āgneyaṃ caturdhā karotī''	yadi-upasaMhArasya parisaFKyA-tvaM, tadA aaAgneyam caturDA karotI-aa
   tyasyāpi parisaṅkhyātvāpatterupasaṃhāro dattajalānjalirevā'padyeta /	tyasya-api parisaFKyAtu-A-ApatteH-upasaMhAraH datta-jalAn-jaliH-evA-apadyeta /
   ataeva gṛhamedhīyādhikaraṇe bhāṣyakārādisarvasaṃmatā aṣṭau pakṣā	ataeva gRhameDIya-aDikaraNe BAzya-kAra-Adi-sarva-saMmatAH azwO pakzA
   upapadyanate /	upapadyanate /
   anyathā pañcamasya parisaṃkhyātvāt saptamasyāpi pa7syopasaṃhārarūpasya	anyaTA paQcamasya parisaMKyA-tvAt saptamasya-api pa7sya-upasaMhAra-rUpasya
   parisaṅkhyātvāntargateḥ pakṣagatāṣṭatvānupapattiḥ //	parisaFKyAtvA-antargateH pakza-gata-azwatva-anupapattiH //
   kiñca ''bhāvādatirātrasya gṛhyate'' ityadhikaraṇe nanūpasaṃhāraḥ	kiQca aaBAvAt-atirAtrasya gRhyate-aa iti-aDikaraNe nanUpa-saMhAraH
   parisaṅkhyā vā ṣoḍaśyuttaravākyamiti bhāṣyaṃ dvayorabhede 'nupapannaṃ syāt	parisaFKyA vA zoxaSI-uttara-vAkyam-iti BAzyam dvayoH-aBede anupapannam syAt-
   ata upasaṃhāraparisaṅkhyayorbheda eva /	atas upasaMhAra-parisaFKyayoH-BedaH eva /
   kathamanayorbheda iti cet, śṛṇu; ''sāmānyavidhiraspaṣṭaḥ saṃhriyeta	kaTam-anayoH-BedaH iti cet, SRNu; aasAmAnya-viDiH-aspazwaH saMhriyeta
   viśeṣataḥ /	viSezataH /
   spaṣṭasyatu vidhernānyairūpasaṃhāra iṣyate'' iti vārtike	spazwasyatu viDeH-na-ani-ErUpa-saMhAraH izyate-aa iti vArtike
   pūrvārdhārthaviṣaya evopasaṃhāra iti vadatārthāduttarārdhārthaviṣayaiva	pUrva-arDa-arTa-vizayaH eva-upasaMhAraH iti vadata-arTAt-uttara-arDa-arTa-vizaya-eva
   parisaṅkhyā nakadācit pūrvārdhaviṣayeti sūcanāt spaṣṭa eva bhedaḥ /	parisaFKyA nakadAcid pUrva-arDa-vizaya-iti sUcanAt spazwaH eva BedaH /
   tadyathā avayavino 'vayaveṣu vyāsajyavṛtteḥ	tat-yaTA avayavinaH avayavezu vyAsa-jya-vRtteH
   sāmānyarūpatvābhāvādavayavividhiḥ spaṣṭo	sAmAnya-rUpa-tva-aBAvAt-avayavi-viDiH spazwaH-
   'vayavaviśeṣavidhibhirnnopasaṃhriyate iti /	avayava-viSeza-viDiBiH-nna-upasaMhriyate iti /
   yāgahomayoraikyaṃ bhāṣyakārāsaṃmatamabhyupetyāpi ''caturavattaṃ juhotī''	yAga-homayoH-Ekyam BAzya-kAra-asaMmatam-aByupetya-api aacaturavat-tam juhotI-aa
   tyanena āgneyavidhernopasaṃhāraḥ ityuttarārdhaviṣayaḥ /	tyanena Agneya-viDeH-na-upasaMhAraH iti-uttara-arDa-vizayaH /
   evaṃ hṛdayasyāgre	evam hRdayasya-agre
   'vadyatītyekādaśāvadānagaṇacodakasāmanyavidhirnopasaṃhriyate iti	avadyati-iti-ekAdaSa-avadAna-gaNa-codaka-sAmanya-viDiH-na-upasaMhriyate iti
   prāptaparisaṅkhyāyā asau viṣayaḥ /	prApta-parisaFKyAyAH asO vizayaH /
   evaṃ tāvatprāptaparisaṅkhyāyāṃ tāvannāntarbhāvaḥ,	evam tAvat-prApta-parisaFKyAyAm tAvat-na-antarBAvaH,
   nāpyaprāptaparisaṅkhyāyām; sāmānyavidheḥ pratyakṣatvāt /	na-api-aprApta-parisaFKyAyAm; sAmAnya-viDeH pratyakza-tvAt /
