   dvitīya ucchvāsaḥ	dvitIyaH ucCvAsaH
   śthāpayantam, vīragoṣṭhoṣu pulakitena kapolasthalenānurāgasaṃdeśamivopāṃśu	STApayantam, vIra-gozWozu pulakitena kapola-sTalena-anurAga-saMdeSam-iva-upAMSu
   raṇaśriyaḥ śṛṇvantam, atikrāntasubhaṭakalahālāpeṣu snehavṛṣṭimiva	raNa-SriyaH SRNvantam, atikrAnta-su-Bawa-kalaha-AlApezu sneha-vRzwim-iva
   dṛṣṭimiṣṭe kṛpāṇe pātayantam, parihāsasmiteṣu gurupratāpabhītasya	dRzwim-izwe kRpANe pAtayantam, parihAsa-smitezu guru-pratApa-BItasya
   rājakasya svacchamāśayamivadaśanāṃśubhiḥ kathayantam,	rAjakasya svacCam-ASayam-iva-daSana-aMSuBiH kaTayantam,
   sakalalokahṛdayasthitamapi nyāye tiṣṭhantam, agocare guṇānāmabhūmau	sakala-loka-hRdaya-sTitam-api nyAye tizWantam, agocare guNAnAm-aBUmO
   saubhāgyānāmaviṣaye varapradānānāmaśakya āśiṣāmamārge manorathānāmatidūre	sOBAgyAnAm-avizaye vara-pradAnAnAm-aSakyaH ASizAma-mArge manoraTAnAm-atidUre
   daivasyādiśyupamānānāmasādhye dharmasyādṛṣṭapūrve lakṣmyā mahattve	dEvasya-AdiSyupamAnAnAm-asADye Darmasya-adRzwa-pUrve lakzmyA mahat-tve
   sthitam, aruṇapādapallavena sugatamantharoruṇā	sTitam, aruNa-pAda-pallavena sugata-manTara-UruNA
   vajrāyudhaniṣṭhuraprakoṣṭhapṛṣṭhena vṛṣaskandhena bhāsvadbimbādhareṇa	vajra-AyuDa-nizWura-prakozWa-pRzWena vRza-skanDena BAsvat-bimba-aDareNa
   prasannāvalokitena candramukhena kṛṣṇakeśena vapuṣā	prasanna-avalokitena candra-muKena kRzNa-keSena vapuzA
   sarvadevatāvatāramivaikatra darśayantam, api ca	sarva-devatA-avatAram-iva-ekatra darSayantam, api ca
   māṃsalamayūkhamālāmalinitamahītale mahati mahārhe	mAMsala-mayUKa-mAlA-malinita-mahI-tale mahati mahArhe
   māṇikyamālāmaṇḍitamekhale mahānīlamaye pādapīṭhe kalikālaśirasīva salīlaṃ	mANikya-mAlA-maNxita-meKale mahAnIla-maye pAda-pIWe kali-kAla-Sirasi-iva sa-lIlam
   vinyastavāmacaraṇam, ākrāntakāliyaphaṇācakavālaṃ bālamiva puṇḍarīkākṣam,	vinyasta-vAma-caraNam, AkrAnta-kAliya-PaNa-Acaka-vAlam bAlam-iva puNxarIkAkzam,
   kṣaumapāṇḍureṇa caraṇanakhadodhitipratānena prasaratā mahīṃ	kzOma-pANxureNa caraNa-naKa-doDiti-pratAnena prasaratA mahIm
   mahādevīpaṭṭabandheneva mahimānamāropayantam,	mahAdevI-pawwa-banDena-iva mahimAnam-Aropayantam,
   apraṇatalokapālakopenevātilohitau sakalanṛpatimaulimālāsvatipītaṃ	apraNata-lokapAla-kopena-iva-ati-lohitO sakala-nRpati-mOli-mAlAsu-ati-pItam
   pajharāgaratnātapamiva vamantau sarvatejasvimaṇaaḍalāstamayasaṃdhyāmiva	paJa-rAga-ratna-Atapam-iva vamantO sarva-tejasvi-maNaa-xalA-astamaya-saMDyAm-iva
   dhārayantāvaśeṣarājakakusumaśekharamadhurasasrotāṃsīva sravantau	DArayanta-avaSeza-rAjaka-kusuma-SeKara-maDu-rasa-srotAMsi-iva sravantO
   samastasāmantasīmantottaṃsasraksaurabhabhrāntairbhramaramaṇḍalairamitrottamāṅgairiva	samasta-sAmanta-sImanta-uttaMsa-sraj-sOraBa-BrAntEH-Bramara-maNxalEH-amitra-uttamAFgEH-iva
   muhūrtamapyavirahitau savāhanatatparāyāḥ śriyo	muhUrtam-api-avirahitO sa-vAhana-tatparAyAH SriyaH-
   vikacaraktapaṅkajavanavāsabhavanānīva kalpayantau	vikaca-rakta-paFkaja-vana-vAsa-BavanAni-iva kalpayantO
   jalajaśaṅkhamīnamakarasanāthatalatayā kathitacaturambhodhibhogacihnāviva	jalaja-SaFKamInam-aka-rasa-nATa-tala-tayA kaTita-catur-amBoDi-Boga-cihnO=-iva
   caramau dadhānam, diṅnāgadantamusahābyāmiva	caramO daDAnam, diS-nAgadanta-m-usahAbyAm-iva
   vikaṭamakaramukhapratibandhabandhurābhyāmudvelalāvaṇyayodhipravāhābhyāmi	vikawa-makara-muKa-pratibanDa-banDurAByAm-udvela-lAvaNya-yoDi-pravAhAByAmi
   va phenāhitaśobhābyāṃ kalācandanadrumābhyāmiva	va Pena-Ahita-SoBA-AbyAm kalA-candana-drumAByAm-iva
   bhogimaṇḍalaśiroratnaraśmirajyamānamūlābhyāṃ	Bogi-maNxala-SiraH-ratna-raSmi-rajyamAna-mUlAByAm
   hṛdayāropitabhūbhāradhāraṇamāṇikyastambhābyāmūrudaṇḍābhyāṃ virājamānam,	hRdaya-Aropita-BU-BAra-DAraNa-mANikya-stamBa-AbyAm-Uru-daNxAByAm virAjamAnam,
   amṛtaphenapiṇḍapāṇḍunā mekhalāmaṇimayūkhakhacitena nitambabimbavyāsaṅginā	amRta-Pena-piNxa-pANxunA meKalA-maNi-mayUKa-Kacitena nitamba-bimba-vyAsaFginA
   vimalapayodhautena netrasūtraniveśaśobhinādharavāsasā vāsukinirmokeṇeva	vimala-payaH-DOtena netra-sUtra-niveSa-SoBinA-aDara-vAsasA vAsuki-nirmokeNa-iva
   mandaraṃ dyotamānam, aghanena satārāgaṇenoparikṛtena dvitīyāmbareṇa	mandaram dyotamAnam, aGanena sa-tArA-gaNena-upari-kRtena dvitIya-ambareNa
   bhuvanābhogamiva bhāsamānam,	Buvana-ABogam-iva BAsamAnam,
   ibhapatidaśanamusalasahasrollekhakaṭhinamasṛṇenāparyāptāmbaraprathimnā	iBapati-daSana-musala-sahasra-ulleKa-kaWina-masRNena-aparyApta-ambara-praTimnA
   vividhavāhinīsaṃkṣobhakalakalasaṃmardasahiṣṇunā kailāsamiva mahatā	viviDa-vAhinI-saMkzoBa-kalakala-saMmarda-sahizNunA kElAsam-iva mahatA
   sphaṭikataṭenoruṇoraḥkapāṭena virājamānam,	sPawika-tawena-UruNa-uraH-kapAwena virAjamAnam,
   śrīsarasvatyorurovadanopabhogavibhāgasūtreṇeva pātitena śeṣeṇeva ca	SrI-sarasvatyA-UruraH-vadana-upaBoga-viBAga-sUtreNa-iva pAtitena SezeNa-iva ca
   tadbhujastambhavinyastasamastabhūbhāralabdhaviśrāntisukhaprasuptena	tad-Buja-stamBa-vinyasta-samasta-BU-BAra-labDa-viSrAnti-suKa-prasuptena
   hāradaṇḍena parivalitakandharam /	hAra-daNxena parivalita-kanDaram /
   jīvitāvadhigṛhītasarvasvamahādānadīkṣācīreṇeva hāramuktāphalānāṃ	jIvita-a=-aDi-gRhIta-sarva-sva-mahA-dAna-dIkzA-cIreNa-iva hAra-muktAPalAnAm
   kiraṇanikareṇa prāvṛtavakṣaḥsthalam, ajajigīṣayā bālairbhujairivāparaiḥ	kiraNa-nikareNa prAvRta-vakzaH-sTalam, ajajigIzayA bAlEH-BujEH-iva-aparEH
   prarohadbhirbāhūpadhānaśāyinyāḥ śriyāḥ	prarohadBiH-bAhu-upaDAna-SAyinyAH SriyAH
   karṇotpalamadhurasadhārāsaṃtānairiva galadbhirbhujajanmanaḥ pratāpasya	karNa-utpala-maDu-rasa-DArA-saMtAnEH-iva galadBiH-Buja-janmanaH pratApasya
   nirgamanamārgairivāvirbhavadbhiruraṇaiḥ	nirgamana-mArgEH-iva-AvirBavadBiH-uraNEH
   keyūraratnakiraṇadaṇḍairubhayataḥprasāritamaṇimayapakṣavitānamiva	keyUra-ratna-kiraNa-daNxEH-uBayatas-prasArita-maNi-maya-pakza-vitAnam-iva
   māṇikyamahīdharam, sakalalokālokamārgārgalena	mANikya-mahIDaram, sakala-loka-Aloka-mArga-argalena
   caturudadhiparikṣepakhātaśātakumbhaśilāprākāreṇasarvarājahaṃsabandhavajrapañjareṇa	catur-udaDi-parikzepa-KAta-SAtakumBa-SilA-prAkAreNa-sarva-rAja-haMsa-banDa-vajra-paQjareNa
   bhuvanalakṣmīpraveśamaṅgalamahāmaṇitoraṇenātidīrghadordaṇḍayugalena diśāṃ	Buvana-lakzmI-praveSa-maFgala-mahA-maNi-toraNena-atidIrGa-dos-daNxa-yugalena diSAm
   dikpālānāṃ ca yugapadāyatimapaharantam, sodaryalakṣmīcumbanalobhena	dikpAlAnAm ca yugapadAyatim-apaharantam, sodarya-lakzmI-cumbana-loBena
   kaustubhamaṇeriva mukhāvayavatāṃ gatasyādharasya galatā rāgeṇa	kOstuBa-maNeH-iva muKa-avayava-tAm gatasya-aDarasya galatA rAgeNa
   pārijātapallavaraseneva siñcantaṃ diṅmukhāni, antarāntarā	pArijAta-pallava-rasena-iva siQcantam diFmuKAni, antarA-antarA
   suhṛtparihāsasmitaiḥ prakīryamāṇavimaladaśanaśikhāpratānaiḥ	suhRd-parihAsa-smitEH prakIryamANa-vimala-daSana-SiKA-pratAnEH
   prakṛtimūḍhāyārājaśriyāḥ prajñālokamiva darśayantam,	prakRti-mUXAya-arAja-SriyAH prajQA-lokam-iva darSayantam,
   mukhajanitendusandehāgatāni kumudinīvanānīva preṣayantam,	muKa-janita-indu-sandeha-AgatAni kumudinI-vanAni-iva prezayantam,
   sphuṭasphaṭikadhavaladaśanapaṅktikṛtakumudavanaśaṅkāpraviṣṭāṃ	sPuwa-sPawika-Davala-daSana-paFkti-kRta-kumuda-vana-SaFkA-pravizwAm
   śarajjyotsnāmiva visarjayantam, madirāmṛtapārijātagandhagarbheṇa	Sarad-jyotsnAm-iva visarjayantam, madirA-amRta-pArijAta-ganDa-garBeNa
   bharitasakalakakubhā mukhāmodenāmṛtamathanadivasamiva sṛjantam,	Barita-sakala-kakuBA muKa-Amodena-amRta-maTana-divasam-iva sRjantam,
   vikacamukhakamalakarṇikākośenānavaratamāpīyamānaśvāsasaurabhami	vikaca-muKa-kamala-karNikA-koSena-anavaratam-ApIyamAna-SvAsa-sOraBam-i
   vādhomukhena nāsāvaṃśena, cakṣuṣaḥ kṣorasnigdhasya dhavalimnā	vA-aDomuKena nAsA-=-aMSena, cakzuzaH kzora-snigDasya DavalimnA
   diṅmukhānyapūrvavadanacandrodayodvelakṣīrodotplāvitānīva kurvāṇam,	diFmuKAni-apUrva-vadana-candra-udaya-udvela-kzIra-uda-utplAvitAni-iva kurvANam,
   vimalakapolaphalakapratibimbatāṃ cāmaragrāhiṇīṃ vigrahiṇīmiva	vimala-kapola-Palaka-pratibimba-tAm cAmara-grAhiNIm vigrahiNIm-iva
   mukhanivāsinīṃ sarasvatīṃ dadhānam, aruṇena cūḍāmaṇiśociṣā	muKa-nivAsinIm sarasvatIm daDAnam, aruNena cUxAmaNi-SocizA
   sarasvatīrṣyākupitalakṣmīprasādanalagnena caraṇālaktakeneva	sarasvati-IrzyA-kupita-lakzmI-prasAdana-lagnena caraNa-alaktakena-iva
   lohitāyatalalāṭataṭam, āpāṭalāṃśutantrīsaṃtānavalayinīṃ	lohita-Ayata-lalAwa-tawam, ApAwala-aMSu-tantrI-saMtAna-valayinIm
   kuṇḍalamaṇikuṭilakoṭibālavīṇāmanavaratacalitacaraṇānāṃ	kuNxala-maNi-kuwila-kowi-bAla-vINA-mana-varata-calita-caraNAnAm
   vādayatāmupavīṇayatāmiva svaravyākaraṇavivekaviśāradam,	vAdayatAm-upavINayatAm-iva svara-vyAkaraNa-viveka-viSAradam,
   śravaṇāvataṃsamadhukarakulānāṃ kalakvaṇitamākarṇayantam,	SravaNa-avataMsa-maDukara-kulAnAm kala-kvaNitam-AkarNayantam,
   utphullamālatīmayena rājalakṣmayāḥ kacagrahalīlālagnena	utPulla-mAlatI-mayena rAja-lakzmayAH kaca-graha-lIlA-lagnena
   nakhajyotsnāvalayeneva mukhaśaśipariveṣamaṇḍalena muṇḍamālāguṇena	naKa-jyotsnA-valayena-iva muKa-SaSi-pariveza-maNxalena muNxa-mAlA-guNena
   parikalitakeśāntam, śikhaṇḍābharaṇabhuvā muktāphalālokena	parikalita-keSAntam, SiKaNxa-ABaraNa-BuvA muktAPala-Alokena
   marakatamaṇikiraṇakalāpena cānyonyasaṃvalanavṛjinena	marakata-maNi-kiraNa-kalApena ca-anyonya-saMvalana-vRjinena
   prayāgapravāhaveṇikāvāriṇevāgatya svayamabhiṣicyamānam,	prayAga-pravAha-veNikA-vAriNA-iva-Agatya svayam-aBizicyamAnam,
   śramajalavilīnabahalakṛṣṇāgurupaṅkatilakakalaḍkakalpitena kālimnā	Srama-jala-vilIna-bahala-kRzNa-aguru-paFka-tilaka-ka-laxka-kalpitena kAlimnA
   prārthanācāṭucaturacaraṇapatanaśataśyāmikākiṇaeneva	prArTanA-cAwu-catura-caraNa-patana-Sata-SyAmi-kA-kiNaena-iva
   nīlāyamānalalāṭendulekhābhiḥ kṣubhitamānasodgatairutkalikākalāpairiva	nIlAyamAna-lalAwa-indu-leKABiH kzuBita-mAnasa-udgatEH-utkalikA-kalApEH-iva
   hārairullasadbhiravaṣṭabhyamānābhirvilāsavalganacajulairṃbhrūlatākalpairīṣyrayā	hArEH-ullasadBiH-avazwaByamAnABiH-vilAsa-valgana-cajulEH-MBrU-latA-kalpEH-IzyrayA
   śriyamiva tarjayantībhirāyāmibhiḥ	Sriyam-iva tarjayantIBiH-AyAmiBiH
   svasitairaviralaparimalairmalayamārutamayaiḥ	svasitEH-avirala-parimalEH-malaya-mAruta-mayEH
   pāśairivākarṣantībhirvikaṭabakulāvalīvarāṭakaveṣṭitamukhairbṛhadbhiḥ	pASEH-iva-AkarzantIBiH-vikawa-bakula-AvalI-varAwaka-vezwita-muKEH-bRhadBiH
   stanakalaśaiḥ svadārasaṃtoṣarasamivāśeṣamuddharantībhiḥ	stana-kalaSEH sva-dAra-saMtoza-rasam-iva-aSezam-udDarantIBiH
   kucotkampikāvikārapreṅkhitānāṃ hārataralamaṇīnāṃ raśmibhirākṛṣya	kuca-utkampikA-vikAra-preFKitAnAm hAra-tarala-maNInAm raSmiBiH-AkRzya
   hṛdayamiva haṭhātpraveśayantībhiḥ prabhāmucāmābharaṇamaṇīnāṃ mayūkhaiḥ	hRdayam-iva haWAt-praveSayantIBiH praBAmucAm-ABaraNa-maNInAm mayUKEH
   prasāritairbahubhiriva bāhubirāliṅgantībhirjṛ	prasAritEH-bahuBiH-iva bAhu-biH-AliFgantIBiH-jR
   mbhānubandhabandhuravadanāravindāvaraṇīkṛtairuttānaiḥ karakisalayaiḥ	mBa-anubanDa-banDura-vadana-aravinda-AvaraNIkRtEH-uttAnEH kara-kisalayEH
   sarabhasapradhāvitāni mānasānīva	saraBasa-praDAvitAni mAnasAni-iva
   nirundhatībhirmadanāndhamadhukarakulakīryamāṇakarṇakusumarajaḥkaṇakūṇitakoṇāni	nirunDatIBiH-madana-anDa-maDukara-kula-kIryamANa-karNa-kusuma-rajaH-kaNa-kUNita-koNAni
   kusumaśaraśaranikaraprahāramūrcchāmukulitānīva locanāni caturaṃ	kusuma-Sara-Sara-nikara-prahAra-mUrcCA-mukulitAni-iva locanAni caturam
   saṃcārayantībhiranyonyamatsarādāvirbhavadbhahghuramukuṭivibhramakṣiptaiḥ	saMcArayantIBiH-anyonya-matsarAt-AvirBavat-BahGura-mukuwi-viBrama-kziptEH
   kaṭākṣaiḥ karṇendīvarāṇīva tāḍayantībhiranimeṣadarśanasukharasarāśiṃ	kawAkzEH karNa-indIvarANi-iva tAxayantIBiH-animeza-darSana-suKa-rasa-rASim
   mantharitapakṣmaṇā cakṣuṣā pītamiva komalakapolapālīpratibimbitaṃ	manTarita-pakzmaNA cakzuzA pItam-iva komala-kapola-pAlI-pratibimbitam
   vahantībhirabhilāṣalīlānirnimittasmitaiścandrodayāniva madanasahāyakāya	vahantIBiH-aBilAza-lIlA-niH-nimitta-smitEH-candra-udayAn-iva madana-sahAyakAya
   saṃpādayantībhiraṅgabhahgavalanānyonyaghaṭitottānakaraveṇikābhiḥ	saMpAdayantIBiH-aFga-Bahga-valana-anyonya-Gawita-uttAna-kara-veNikABiH
   sphuṭanamukharāṅgulīkāṇḍakuṇḍalīkriyamāṇanakhadīdhitinivahanibhenākiñcitkarakāmakārmukāṇīva	sPuwana-muKara-aFgulI-kANxa-kuNxalI-kriyamANa-naKa-dIDiti-nivaha-niBena-akiQcid-kara-kAma-kArmukANi-iva
   ruṣā bhañjantībhirvāravilāsinībhirvilupyamānasaubhāgyamiva sarvataḥ,	ruzA BaQjantIBiH-vAra-vilAsinIBiH-vilupyamAna-sOBAgyam-iva sarvatas-,
   sparśasvinnavepamānakarakisalayagalitacaraṇāravindāṃ caraṇagrāhiṇīṃ	sparSasvinna-vepa-mAna-kara-kisalaya-galita-caraNa-aravindAm caraNa-grAhiNIm
   vihasya koṇenalīlālasaṃ śirasi tāḍayantam, anavaratakarakalitakoṇatayā	vihasya koNenalIlAlasam Sirasi tAxayantam, anavarata-kara-kalita-koNa-tayA
   cātmanaḥ priyāṃ vīṇāmiva śriyamapi śikṣayantam, niḥsneha iti dhanaiḥ,	ca-AtmanaH priyAm vINAm-iva Sriyam-api Sikzayantam, niHsnehaH iti DanEH,
   anāśrayaṇīya iti doṣaiḥ, nigraharuciritīndriyaiḥ, durupasarpa iti kalinā,	anASrayaNIyaH iti dozEH, nigraha-ruciH-iti-indriyEH, durupasarpaH iti kalinA,
   nīrasa iti vyasanaiḥ, bhīrurityayaśasā, durgrahacittavṛttiriti cittabhuvā,	nIrasaH iti vyasanEH, BIruH-iti-ayaSasA, durgraha-citta-vRttiH-iti citta-BuvA,
   strīpara iti sarasvatyā, ṣaṇḍha iti parakalatraiḥ, kāṣṭhāmuniriti	strI-paraH iti sarasvatyA, zaNXaH iti para-kalatrEH, kAzWAmuniH-iti
   yatibhiḥ, dhūrta iti veśyābhiḥ, neya iti suhṛdbhiḥ, karmakara iti vipraiḥ,	yatiBiH, DUrtaH iti veSyABiH, neyaH iti suhRdBiH, karmakaraH iti viprEH,
   susahāya iti śatruyodhaiḥ, ekamapyanekadhā gṛhyamāṇam,	su-sahAyaH iti Satru-yoDEH, ekam-api-anekaDA gRhyamANam,
   śantanormahāvāhinīpatim, bhīṣmājjitakāśitamam, droṇāccāpalālasam,	SantanoH-mahA-vAhinIpatim, BIzmAt-jita-kASitamam, droNAt-ca-apalAla-sam,
   guruputrādamoghamārgaṇam, karṇānmitrapriyam, yudhiṣṭhirādbahukṣamam,	guru-putrAt-amoGa-mArgaNam, karNAt-mitra-priyam, yuDizWirAt-bahu-kzamam,
   bhīmādanekanāgāyutabalam, dhanañjayānmahābhārataraṇayogyam, kāraṇamiva	BImAt-aneka-nAga-ayuta-balam, DanaQjayAt-mahABAra-taraNa-yogyam, kAraNam-iva
   kṛtayugasya, bījamiva vibudhasargasya, utpattidvīpamiva darpasya,	kRta-yugasya, bIjam-iva vibuDa-sargasya, utpatti-dvIpam-iva darpasya,
   ekāgāramiva karuṇāyāḥ, prātiveśikamiva puruṣottamasya, khaniparvatamiva	eka-AgAram-iva karuNAyAH, prAtiveSikam-iva puruzottamasya, Kani-parvatam-iva
   parākramasya, sarvavidyāsaṃgītagṛhamiva sarasvatyāḥ,	parAkramasya, sarva-vidyA-saMgIta-gRham-iva sarasvatyAH,
   dvitīyāmṛtamanthanadivasamiva lakṣmīsamutthānasya, baladarśanamiva	dvitIya-amRta-manTana-divasam-iva lakzmI-samutTAnasya, bala-darSanam-iva
   vaidagdhyasya, ekasthānamiva sthitīnām, sarvasvakathanamiva kānteḥ,	vEdagDyasya, eka-sTAnam-iva sTitI-nAm, sarva-sva-kaTanam-iva kAnteH,
   apavargamiva rūpaparamāṇusargasya, sakaladuścaritapratāyaścittamiva	apavargam-iva rUpa-paramANu-sargasya, sakala-duScarita-pratAyaH-cittam-iva
   rājyasya, sarvabalasandohāvaskandamiva kandarpasya, upāyamiva	rAjyasya, sarva-bala-sandoha-avaskandam-iva kandarpasya, upAyam-iva
   purandaradarśanasya, āvartanamiva dharmasya, kanyāntaḥpuramiva kalānām,	purandara-darSanasya, Avartanam-iva Darmasya, kanyA-antaHpuram-iva kalAnAm,
   paramapramāṇamiva saubhāgyasya rājasargasamāptyavabhṛthasnānadivasamiva	parama-pramANam-iva sOBAgyasya rAja-sarga-samApti-avaBRTa-snAna-divasam-iva
   sarvaprajāpatīnām, gambhīraṃ ca, prasannaṃ ca, trāsajananaṃ ca, ramaṇīyaṃ	sarva-prajApatI-nAm, gamBIram ca, prasannam ca, trAsa-jananam ca, ramaNIyam
   ca, kautukajananaṃ ca, puṇyaṃ ca, cakravarttinaṃ harṣamadrākṣīt /	ca, kOtuka-jananam ca, puNyam ca, cakravarttinam harzam-adrAkzIt /
   dṛṣṭvā cānugṛhīta iva nigṛhīta iva sābhilāṣa iva tṛpta iva romāñcamucā	dRzwvA ca-anugRhItaH iva nigRhItaH iva sa-aBilAzaH iva tRptaH iva romAQca-mucA
   mukhena muñcannānandabāṣpavāribindūndūrādeva vismayasmeraḥ	muKena muQcan=-Ananda-bAzpa-vAri-bindu-un-dUrAt-eva vismaya-smeraH
   samacintayat--"so 'yaṃ sujanmā, sugṛhītanāmā, tejasāṃ rāśiḥ,	samacintayat--"saH ayam su-janmA, su-gRhIta-nAmA, tejasAm rASiH,
   caturudadhikedārakuṭumbī, bhoktā brahnastambhaphalasya,	catur-uD-aDi-kedAra-kuwumbI, BoktA brahna-stamBa-Palasya,
   sakalādirājacaritajayajyeṣṭhamallo devaḥ parameśvaro harṣaḥ /	sakala-Adi-rAja-carita-jaya-jyezWa-mallaH devaH parameSvaraH harzaH /
   etena ca khalu rājanvatī pṛthvī /	etena ca Kalu rAjanvatI pRTvI /
   nāsyahareriva vṛṣavirodhīni bālacaritāni, na paśupateriva	na-asi-ahareH-iva vRza-viroDIni bAla-caritAni, na paSupateH-iva
   dakṣajanodvegakārīṇyeśvayavilāsatāni, na śatakratoriva gautravināśapiśunāḥ	dakza-jana-udvega-kArINyeSvaya-vilAsa-tAni, na SatakratoH-iva gOtra-vinASa-piSunAH
   pravādāḥ na yamasyevātivallabhāni daṇḍagrahaṇāni, na varuṇasyeva	pravAdAH na yamasya-iva-ati-vallaBAni daNxa-grahaNAni, na varuNasya-iva
   nistriṃśagrāhasahasrarakṣitā ratnālayāḥ, na dhanadasyeva niṣphalāḥ	nistriMSa-grAha-sahasra-rakzitAH ratna-AlayAH, na Danadasya-iva nizPalAH
   sannidhilābhāḥ, na jinasyevārthavādaśūnyāni darśanāni, na candramasa iva	sanniDi-lABAH, na jinasya-iva-arTa-vAda-SUnyAni darSanAni, na candramasaH iva
   bahuladoṣopahatāḥ śriyaḥ /	bahula-doza-upahatAH SriyaH /
   citramidamatyamaraṃ rājatvam /	citram-idam-ati-amaram rAja-tvam /
   api cāsya tyāgasyārthinaḥ, prajñāyāḥ śāstrāṇi, kavitvasya vācaḥ, sattvasya	api ca-asya tyAgasya-arTinaH, prajQAyAH SAstrANi, kavi-tvasya vAcaH, sattvasya
   sāhasasthānāni, utsāhasya vyāpārāḥ kīrterdihmukhāni, anurāgasya	sAhasa-sTAnAni, utsAhasya vyApArAH kIrteH-dihmuKAni, anurAgasya
   lokahṛdayāni, guṇagaṇasya saṃkhyā, kauśalasya kalā, na paryāpto viṣayaḥ /	loka-hRdayAni, guNa-gaNasya saMKyA, kOSalasya kalA, na paryAptaH vizayaH /
   asmiṃśca rājani yatīnāṃ yogapaṭṭakāḥ, pustakarmaṇāṃ pārthivavigṛhāḥ,	asmin=-ca rAjani yatInAm yoga-pawwakAH, pusta-karmaNAm pArTiva-vigRhAH,
   ṣaṭpadānāṃ dānagrahaṇakalahāḥ, vṛttānāṃ pādacchedāḥ, aṣṭapadānāṃ	zawpadAnAm dAna-grahaNa-kalahAH, vRttAnAm pAda=-CedAH, azwa-padAnAm
   caturaṅgakalpanā, pannagānāṃ dvijagurudveṣāḥ, vākyavidāmadhikaraṇavicārāḥ,	caturaFga-kalpanA, pannagAnAm dvija-guru-dvezAH, vAkya-vidAm-aDikaraNa-vicArAH,
   iti samupasṛtya copavītī svastiśabdamakarot /	iti samupasRtya ca-upavItI svasti-Sabdam-akarot /
   athottare nātidūre rājadhiṣṇyasya gajaparicārako	aTa-uttare na-ati-dUre rAja-DizNyasya gaja-paricArakaH-
   madhuramaparavakramucceragāyat-- "karikalabha vimuñca lolatāṃ cara	maDuram-aparavakram-uccera-gAyat- "kari-kalaBa vimuQca lola-tAm cara
   vinayavratamānatānanaḥ /	vinaya-vratam-AnatA-AnanaH /
   mṛgapatinakhakoṭibhaṅguro gururupari kṣamate na te 'ṅkuśaḥ' //	mRgapati-naKa-kowi-BaFguraH guruH-upari kzamate na te aFkuSaH-a //
   rājā tu tacchru tvā dṛṣṭvā ca taṃ giriguhāgatasiṃhabṛṃhitagambhīreṇa	rAjA tu tat-Sru tvA dRzwvA ca tam giri-guhA-gata-siMha-bRMhita-gamBIreNa
   svareṇa pūrayanniva nabhobhāgamapṛcchat--"eṣa sa bāṇaḥ?' iti /	svareNa pUrayan=-iva naBaH-BAgam-apRcCat--"eza sa bANaH?-a iti /
   "yathā'jñāpayati devaḥ /	"yaTA-ajQApayati devaH /
   so 'yam' iti vijñāpito dauvārikeṇa "na tāvadenamakṛtaprasādaḥ paśyāmi' iti	saH ayam-a iti vijQApitaH dOvArikeNa "na tAvat-enam-akRta-prasAdaH paSyAmi-a iti
   tiryaṅnīladhavalāṃśukadhārāṃ tiraskariṇīmiva	tiryak-nIla-Davala-aMSuka-DArAm tiraskariNIm-iva
   bhramayannapāṅganīyamānataralatārakasyāyāminīṃ cakṣuṣaḥ prabhāṃ parivṛtya	Bramayat-=-apAFganIyamAna-tarala-tArakasya-AyAminIm cakzuzaH praBAm parivRtya
   preṣṭhasya pṛṣṭhato niṣaṇṇasya mālavarājasūnorakathayat--"mahānayaṃ	prezWasya pRzWatas nizaNNasya mAlava-rAja-sUnoH-akaTayat--"-mahAnayam
   bhujaṅgaḥ' iti /	BujaFgaHa iti /
   tūṣṇīṃbhāvena tvagamitanarendravacasi tasminmūke ca rājaloke muhūrtamiva	tUzNIMBAvena tvac-amita-narendra-vacasi tasmin-mUke ca rAja-loke muhUrtam-iva
   tūṣṇīṃ sthitvā bāṇo vyajñāpayat--"deva! avijñātatattva iva, aśraddadhāna	tUzNIm sTitvA bANaH vyajQApayat--"deva! avijQAta-tattvaH iva, aSraddaDAna
   iva, neya iva, aviditalokavṛttānta iva ca kasmādevamājñāpayasi? svairiṇo	iva, neyaH iva, avidita-loka-vRttAntaH iva ca kasmAt-evam-AjQApayasi? svEriNaH-
   vicitrāśca lokasya svabhāvāḥ pravādāśca /	vicitrAH-ca lokasya svaBAvAH pravAdAH-ca /
   mahadbhistu thārthadarśibhirbhavitavyam /	mahadBiH-tu TArTa-darSiBiH-Bavitavyam /
   nārhasi māmanyathā saṃbhāvayitumaviśiṣṭamiva /	na-arhasi mAm-anyaTA saMBAvayitum-aviSizwam-iva /
   brāhnaṇo 'smi jātaḥ somapāyināṃ vaṃśe vātsyāyanānām /	brAhnaNaH asmi jAtaH soma-pAyinAm vaMSe vAtsyAyanAnAm /
   yathākālamupanayanādayāḥ kṛtāḥ saṃskārāḥ /	yaTAkAlam-upanayana-AdayAH kRtAH saMskArAH /
   samyakpaṭhitaḥ sāḍgo vedaḥ /	samyak-paWitaH sAxgaH vedaH /
   śrutāni ce yathāśaktiḥ śāktrāṇi /	SrutAni ce yaTASaktiH SAktrANi /
   dāraparigrahādabhyagāriko 'smi /	dAra-parigrahAt-aByagArikaH asmi /
   kā me bhujaṅgatā /	kA me BujaFga-tA /
