   Bhāvamiśra: Bhāvaprakāśaḥ	Bha-avamiSra: BhOva-prakASaH
   tagaradvayamuṣṇaṃ syātsvādu snigdhaṃ laghu smṛtam /	tagara-dvayam-uzNam syAt-svAdu snigDam laGu smRtam /
   viṣāpasmāraśūlākṣirogadoṣatrayāpaham // 29	viza-apasmAra-SUla-akzi-roga-dozatraya-apaham // 29
   padmakaṃ padmagandhi syāttathā padmāhvayaṃ smṛtam /	padmakam padma-ganDi syAt-taTA padma-Ahvayam smRtam /
   padmakaṃ tuvaraṃ tiktaṃ śītalaṃ vātalaṃ laghu // 30	padmakam tuvaram tiktam SItalam vAtalam laGu // 30
   vīsarpadāhavisphoṭakuṣṭhaśleṣmāsrapittanut /	vIsarpa-dAha-visPowa-kuzWa-Slezma-asrapitta-nud /
   garbhasaṃsthāpanaṃ rucyaṃ vamivraṇatṛṣāpraṇut // 31	garBa-saMsTApanam rucyam vami-vraNa-tRzA-praNud // 31
   guggulur devadhūpaś ca jaṭāyuḥ kauśikaḥ puraḥ /	gugguluH devaDUpaH ca jawAyuH kOSikaH puras /
   kumbholūkhalakaṃ klībe mahiṣākṣaḥ palaṃkaṣaḥ // 32	kumBolUKalakam klIbe mahiza-akzaH palaMkazaH // 32
   mahiṣākṣo mahānīlaḥ kumudaḥ padma ityapi /	mahiza-akzaH mahAnIlaH kumudaH padmaH iti-api /
   hiraṇyaḥ pañcamo jñeyo gugguloḥ pañca jātayaḥ // 33	hiraNyaH paQcamaH jQeyaH gugguloH paQca jAtayaH // 33
   bhṛṅgāñjanasavarṇastu mahiṣākṣa iti smṛtaḥ /	BRFga-aQjana-savarNaH-tu mahiza-akzaH iti smRtaH /
   mahānīlas tu vijñeyaḥ svanāmasamalakṣaṇaḥ // 34	mahAnIlaH tu vijQeyaH sva-nAma-sama-lakzaNaH // 34
   kumudaḥ kumudābhaḥ syātpadmo māṇikyasaṃnibhaḥ /	kumudaH kumuda-ABaH syAt-padmaH mANikya-saMniBaH /
   hiraṇyākṣas tu hemābhaḥ pañcānāṃ liṅgamīritam // 35	hiraNyAkzaH tu hema-ABaH paQcAnAm liFgam-Iritam // 35
   mahiṣākṣo mahānīlo gajendrāṇāṃ hitāv ubhau /	mahiza-akzaH mahAnIlaH gaja-indrANAm hitO uBO /
   hayānāṃ kumudaḥ padmaḥ svastyārogyakarau parau // 36	hayAnAm kumudaH padmaH svasti-Arogya-karO parO // 36
   viśeṣeṇa manuṣyāṇāṃ kanakaḥ parikīrtitaḥ /	viSezeNa manuzyANAm kanakaH parikIrtitaH /
   kadācinmahiṣākṣaśca mataḥ kaiścinnṛṇāmapi // 37	kadAcid-mahizAkzaH-ca mataH kEScid-nRNAm-api // 37
   guggulur viśadas tikto vīryoṣṇaḥ pittalaḥ saraḥ /	gugguluH viSadaH tiktaH vIrya-uzNaH pittalaH saraH /
   kaṣāyaḥ kaṭukaḥ pāke kaṭū rūkṣo laghuḥ paraḥ // 38	kazAyaH kawukaH pAke kawuH rUkzaH laGuH paraH // 38
   bhagnasaṃdhānakṛd vṛṣyaḥ sūkṣmaḥ svaryo rasāyanaḥ /	Bagna-saMDAna-kRt vRzyaH sUkzmaH svaryaH rasAyanaH /
   dīpanaḥ picchilo balyaḥ kaphavātavraṇāpacīḥ // 39	dIpanaH picCilaH balyaH kaPa-vAta-vraNa-apacIH // 39
   medomehāśmavātāṃś ca kledakuṣṭhāmamārutān /	medaH-meha-aSma-vAtAn ca kleda-kuzWa-Ama-mArutAn /
   piṭikāgranthiśophārśogaṇḍamālākṛmīñ jayet // 40	piwikA-granTi-SoPa-arSaH-gaNxa-mAlA-kRmIn jayet // 40
   mādhuryācchamayedvātaṃ kaṣāyatvācca pittahā /	mADuryAt-Samayet-vAtam kazAya-tvAt-ca pitta-hA /
   tiktatvātkaphajittena gugguluḥ sarvadoṣahā // 41	tikta-tvAt-kaPa-jittena gugguluH sarva-doza-hA // 41
   sa navo bṛṃhaṇo vṛṣyaḥ purāṇas tv atilekhanaḥ // 42	sa navaH bRMhaNaH vRzyaH purANaH tu ati-leKanaH // 42
   snigdhaḥ kāñcanasaṃkāśaḥ pakvajambūphalopamaḥ /	snigDaH kAQcana-saMkASaH pakva-jambU-Pala-upamaH /
   nūtano gugguluḥ proktaḥ sugandhiryastu picchilaḥ // 43	nUtanaH gugguluH proktaH suganDiH-yaH-tu picCilaH // 43
   śuṣko durgandhakaś caiva tyaktaprakṛtivarṇakaḥ /	SuzkaH durganDakaH ca-eva tyakta-prakRti-varNakaH /
   purāṇaḥ sa tu vijñeyo guggulur vīryavarjitaḥ // 44	purANaH sa tu vijQeyaH gugguluH vIrya-varjitaH // 44
   amlaṃ tīkṣṇamajīrṇaṃ ca vyavāyaṃ śramamātapam /	amlam tIkzNam-ajIrNam ca vyavAyam Sramam-Atapam /
   madyaṃ roṣaṃ tyajetsamyag guṇārthī purasevakaḥ // 45	madyam rozam tyajet-samyak guNa-arTI pura-sevakaH // 45
   śrīvāsaḥ saralasrāvaḥ śrīveṣṭo vṛkṣadhūpakaḥ /	SrIvAsaH sarala-srAvaH SrIvezwaH vRkzaDUpakaH /
   śrīvāso madhurastiktaḥ snigdhoṣṇastuvaraḥ saraḥ // 46	SrIvAsaH maDuraH-tiktaH snigDa-uzNaH-tuvaraH saraH // 46
   pittalo vātamūrdhākṣisvarogakaphāpahaḥ /	pittalaH vAta-mUrDa-akzi-sva-roga-kaPa-apahaH /
   rakṣoghnaḥ svedadaurgandhyayūkākaṇḍūvraṇapraṇut // 47	rakzoGnaH sveda-dOrganDya-yUkA-kaNxU-vraNa-praNud // 47
   rālastu śālaniryāsastathā sarjarasaḥ smṛtaḥ /	rAlaH-tu SAlaniryAsaH-taTA sarjarasaH smRtaH /
   devadhūpo yakṣadhūpastathā sarvarasaśca saḥ // 48	devaDUpaH yakzaDUpaH-taTA sarva-rasaH-ca saH // 48
   rālo himo gurus tiktaḥ kaṣāyo grāhako haret /	rAlaH himaH guruH tiktaH kazAyaH grAhakaH haret /
   doṣāsrasvedavīsarpajvaravraṇavipādikāḥ /	doza-asra-sveda-vIsarpa-jvara-vraNa-vipAdikAH /
   grahabhagnāgnidagdhāṃśca śūlātīsāranāśanaḥ // 49	graha-Bagna-agni-dagDAn=-ca SUla-atIsAra-nASanaH // 49
   kundurustu mukundaḥ syātsugandhaḥ kunda ityapi // 50	kunduruH-tu mukundaH syAt-suganDaH kundaH iti-api // 50
   kundurur madhurastiktas tīkṣṇas tvacyaḥ kaṭurharet /	kunduruH maDuraH-tiktaH tIkzNaH tvacyaH kawuH-haret /
   jvarasvedagrahālakṣmīmukharogakaphānilān // 51	jvara-sveda-graha-alakzmI-muKa-roga-kaPa-anilAn // 51
   sihlakastu turuṣkaḥ syādyato yavanadeśajaḥ /	sihlakaH-tu turuzkaH syAt-yatas yavana-deSa-jaH /
   kapitailaṃ ca saṃkhyātastathā ca kapināmakaḥ // 52	kapitElam ca saMKyAtaH-taTA ca kapi-nAmakaH // 52
   sihlakaḥ kaṭukaḥ svāduḥ snigdhoṣṇaḥ śukrakāntikṛt /	sihlakaH kawukaH svAduH snigDa-uzNaH Sukra-kAnti-kRt /
   vṛṣyaḥ kaṇṭhyaḥ svedakuṣṭhajvaradāhagrahāpahaḥ // 53	vRzyaH kaNWyaH sveda-kuzWa-jvara-dAha-graha-apahaH // 53
   jātīphalaṃ jātikośaṃ mālatīphalamityapi /	jAtIPalam jAtikoSam mAlatIPalam-iti-api /
   jātīphalaṃ rase tiktaṃ tīkṣṇoṣṇaṃ rocanaṃ laghu /	jAtIPalam rase tiktam tIkzNa-uzNam rocanam laGu /
   kaṭukaṃ dīpanaṃ grāhi svaryaṃ śleṣmānilāpaham // 54	kawukam dIpanam grAhi svaryam Slezma-anila-apaham // 54
   nihanti mukhavairasyaṃ maladaurgandhyakṛṣṇatāḥ /	nihanti muKa-vErasyam mala-dOrganDya-kRzNatAH /
   kṛmikāsavamiśvāsaśoṣapīnasahṛdrujaḥ // 55	kRmi-kAsa-vami-SvAsa-Soza-pInasa-hRd-rujaH // 55
   jātīphalasya tvak proktā jātīpattrī bhiṣagvaraiḥ // 56	jAtIPalasya tvac proktA jAtIpattrI Bizaj-varEH // 56
   jātīpattrī laghuḥ svāduḥ kaṭūṣṇā rucivarṇakṛt /	jAtIpattrI laGuH svAduH kawu-uzNA ruci-varNa-kRt /
   kaphakāsavamiśvāsatṛṣṇākṛmiviṣāpahā // 57	kaPa-kAsa-vami-SvAsa-tRzNA-kRmi-viza-apahAH // 57
   lavaṃgaṃ devakusumaṃ śrīsaṃjñaṃ śrīprasūnakam /	lavaMgam devakusumam SrI-saMjQam SrI-prasUnakam /
   lavaṃgaṃ kaṭukaṃ tiktaṃ laghu netrahitaṃ himam // 58	lavaMgam kawukam tiktam laGu netra-hitam himam // 58
   dīpanaṃ pācanaṃ rucyaṃ kaphapittāsranāśakṛt /	dIpanam pAcanam rucyam kaPa-pitta-asra-nASa-kRt /
   tṛṣṇāṃ chardiṃ tathādhmānaṃ śūlamāśu vināśayet /	tRzNAm Cardim taTA-ADmAnam SUlam-ASu vinASayet /
   kāsaṃ śvāsaṃ ca hikkāṃ ca kṣayaṃ kṣapayati dhruvam // 59	kAsam SvAsam ca hikkAm ca kzayam kzapayati Druvam // 59
   elā sthūlā ca bahulā pṛthvīkā tripuṭāpi ca // 60	elA sTUlA ca bahulA pRTvIkA tri-puwA-api ca // 60
   bhadrailā bṛhadelā ca candrabālā ca niṣkuṭiḥ /	BadrElA bRhadelA ca candrabAlA ca nizkuwiH /
   sthūlailā kaṭukā pāke rase cānalakṛllaghuḥ // 61	sTUlElA kawukA pAke rase ca-anala-kRt-laGuH // 61
   rūkṣoṣṇā śleṣmapittāsrakaṇḍūśvāsatṛṣāpahā /	rUkza-uzNA Slezma-pitta-asra-kaNxU-SvAsa-tRzA-apahA /
   hṛllāsaviṣabastyāsyaśirorugvamikāsanut // 62	hRllAsa-viza-basti-Asya-SiraH-ruj-vamikAsa-nud // 62
   sūkṣmopakuñcikā tutthā koraṅgī drāviḍī truṭiḥ /	sUkzmA-upakuQcikA tutTA koraFgI drAvixI truwiH /
   elā sūkṣmā kaphaśvāsakāsārśomūtrakṛcchrahṛt /	elA sUkzmA kaPa-SvAsa-kAsa-arSaH-mUtrakRcCra-hRt /
   rase tu kaṭukā śītā laghvī vātaharī matā // 63	rase tu kawukA SItA laGvI vAta-harI matA // 63
   tvakpattraṃ ca varāṅgaṃ syad bhṛṅgaṃ cocaṃ tathotkaṭam /	tvakpattram ca varAFgam syat BRFgam cocam taTA-utkawam /
   tvacaṃ laghūṣṇaṃ kaṭukaṃ svādu tiktaṃ ca rūkṣakam // 64	tvacam laGu-uzNam kawukam svAdu tiktam ca rUkzakam // 64
   pittalaṃ kaphavātaghnaṃ kaṇḍvāmārucināśanam /	pittalam kaPa-vAta-Gnam kaNxU-Ama-aruci-nASanam /
   hṛdvastirogavātārśaḥkṛmipīnasaśukrahṛt // 65	hRd-vasti-roga-vAta-arSaH-kRmi-pInasa-Sukra-hRt // 65
   tvaksvādvī tu tanutvaksyāttathā dārusitā matā // 66	tvac-svAdvI tu tanu-tvac-syAt-taTA dAru-sitA matA // 66
   uktā dārusitā svādvī tiktā cānilapittahṛt /	uktA dArusitA svAdvI tiktA ca-anila-pitta-hRt /
   surabhiḥ śukralā varṇyā mukhaśoṣatṛṣāpahā // 67	suraBiH SukralA varNyAH muKa-Soza-tRzA-apahAH // 67
   pattrakaṃ tamālapattraṃ ca tathā syāt pattranāmakam /	pattrakam tamAlapattram ca taTA syAt pattra-nAmakam /
   pattrakaṃ madhuraṃ kiṃcit tīkṣṇoṣṇaṃ picchilaṃ laghu /	pattrakam maDuram kiMcid tIkzNa-uzNam picCilam laGu /
   nihanti kaphavātārśohṛllāsārucipīnasān // 68	nihanti kaPa-vAta-arSaH-hRllAsa-aruci-pInasAn // 68
   nāgapuṣpaḥ smṛto nāgaḥ kesaro nāgakesaraḥ /	nAgapuzpaH smRtaH nAgaH kesaraH nAgakesaraH /
   cāmpeyo nāgakiñjalkaḥ kathitaḥ kāñcanāhvayaḥ // 69	cAmpeyaH nAgakiQjalkaH kaTitaH kAQcana-AhvayaH // 69
   nāgapuṣpaṃ kaṣāyoṣṇaṃ rūkṣaṃ laghvāmapāvanam // 70	nAgapuzpam kazAya-uzNam rUkzam laGu-Ama-pAvanam // 70
   jvarakaṇḍūtṛṣāsvedacchardihṛllāsanāśanam /	jvara-kaNxU-tRzA-sveda=-Cardi-hRllAsa-nASanam /
   daurgandhyakuṣṭhavīsarpakaphapittaviṣāpaham // 71	dOrganDya-kuzWa-vIsarpa-kaPa-pitta-viza-apaham // 71
   tvagelāpattrakais tulyais trisugandhi trijātakam /	tvac-elA-pattrakEH tulyEH trisuganDi trijAtakam /
   nāgakesarasaṃyuktaṃ cāturjātakam ucyate // 72	nAgakesara-saMyuktam cAturjAtakam ucyate // 72
   taddvayaṃ rocanaṃ rūkṣaṃ tīkṣṇoṣṇaṃ mukhagandhahṛt /	tad-dvayam rocanam rUkzam tIkzNa-uzNam muKa-ganDa-hRt /
   laghu pittāgnikṛd varṇyaṃ kaphavātaviṣāpaham // 73	laGu pitta-agni-kRt varNyam kaPa-vAta-viza-apaham // 73
   kuṅkumaṃ ghusṛṇaṃ raktaṃ kāśmīraṃ pītakaṃ varam /	kuFkumam GusRNam raktam kASmIram pItakam varam /
   saṃkocaṃ piśunaṃ dhīraṃ vāhlīkaṃ śoṇitābhidham // 74	saMkocam piSunam DIram vAhlIkam SoNita-aBiDam // 74
   kāśmīradeśaje kṣetre kuṅkumaṃ yadbhaveddhi tat /	kASmIra-deSa-je kzetre kuFkumam yat-Bavet-hi tat /
   sūkṣmakesaram āraktaṃ padmagandhi taduttamam // 75	sUkzma-kesaram Araktam padma-ganDi tat-uttamam // 75
   vāhlīkadeśasaṃjātaṃ kuṅkumaṃ pāṇḍuraṃ smṛtam /	vAhlIka-deSa-saMjAtam kuFkumam pANxuram smRtam /
   ketakīgandhayuktaṃ tanmadhyamaṃ sūkṣmakesaram // 76	ketakI-ganDa-yuktam tad-maDyamam sUkzma-kesaram // 76
   kuṅkumaṃ pārasīkaṃ tanmadhugandhi tadīritam /	kuFkumam pArasIkam tad-maDu-ganDi tat-Iritam /
   īṣat pāṇḍuravarṇaṃ tadadhamaṃ sthūlakesaram // 77	Izat pANxura-varNam tat-aDamam sTUlakesaram // 77
   kuṅkumaṃ kaṭukaṃ snigdhaṃ śirorugvraṇajantujit /	kuFkumam kawukam snigDam SiraH-ruj-vraNa-jantu-jit /
   tiktaṃ vamiharaṃ varṇyaṃ vyaṅgadoṣatrayāpaham // 78	tiktam vami-haram varNyam vyaFga-dozatraya-apaham // 78
   gorocanā tu maṅgalyā vandyā gaurī ca rocanā /	gorocanA tu maFgalyA vandyA gOrI ca rocanA /
   gorocanā himā tiktā varṇyā maṅgalakāntidā /	gorocanA himA tiktA varNyAH maFgala-kAnti-dA /
   viṣālakṣmīgrahonmādagarbhasrāvakṣatāsrahṛt // 79	viza-alakzmI-graha-unmAda-garBasrAva-kzata-asra-hRt // 79
   nakhaṃ vyāghranakhaṃ vyāghrāyudhaṃ taccakrakārakam // 80	naKam vyAGranaKam vyAGrAyuDam tat-cakra-kArakam // 80
   nakhaṃ svalpaṃ nakhī proktā hanuhaṭṭavilāsinī /	naKam su-alpam naKI proktA hanuhawwa-vilAsinI /
   nakhadravyaṃ grahaśleṣmāvātāsrajvarakuṣṭhahṛt // 81	naKa-dravyam graha-Slezma-avAtAsra-jvara-kuzWa-hRt // 81
   laghūṣṇaṃ śukralaṃ varṇyaṃ svādu vraṇaviṣāpaham /	laGu-uzNam Sukralam varNyam svAdu vraNa-viza-apaham /
   alakṣmīmukhadaurgandhyahṛt pākarasayoḥ kaṭu // 82	alakzmI-muKa-dOrganDya-hRt pAka-rasayoH kawu // 82
   bālaṃ hrīverabarhiṣṭhodīcyaṃ keśāmbunāma ca /	bAlam hrIvera-barhizWa-udIcyam keSAmbu-nAma ca /
   bālakaṃ śītalaṃ rūkṣaṃ laghu dīpanapācanam /	bAlakam SItalam rUkzam laGu dIpana-pAcanam /
   hṛllāsārucivīsarpahṛdrogāmātisārajit // 83	hRllAsa-aruci-vIsarpa-hRd-roga-AmA-atisAra-jit // 83
   syādvīraṇaṃ vīratarur vīraṃ ca bahumūlakam /	syAt-vIraNam vIrataruH vIram ca bahumUlakam /
   vīraṇaṃ pācanaṃ śītaṃ vāntihṛllaghu tiktakam // 84	vIraNam pAcanam SItam vAnti-hRt-laGu tiktakam // 84
   stambhanaṃ jvaranud bhrāntimadajit kaphapittahṛt /	stamBanam jvara-nud BrAnti-mada-jit kaPa-pitta-hRt /
   tṛṣṇāsraviṣavīsarpakṛcchradāhavraṇāpaham // 85	tRzNA-asra-viza-vIsarpa-kRcCra-dAha-vraNa-apaham // 85
   vīraṇasya tu mūlaṃ syāduśīraṃ naladaṃ ca tat /	vIraNasya tu mUlam syAt-uSIram naladam ca tat /
   amṛṇālaṃ ca sevyaṃ ca samagandhikam ityapi // 86	amRNAlam ca sevyam ca samaganDikam iti-api // 86
   uśīraṃ pācanaṃ śītaṃ stambhanaṃ laghu tiktakam // 87	uSIram pAcanam SItam stamBanam laGu tiktakam // 87
   madhuraṃ jvarahṛd vāntimadanut kaphapittahṛt /	maDuram jvara-hRt vAnti-mada-nud kaPa-pitta-hRt /
   tṛṣṇāsraviṣavīsarpadāhakṛcchravraṇāpaham // 88	tRzNA-asra-viza-vIsarpa-dAha-kRcCra-vraNa-apaham // 88
   jaṭāmāṃsī bhūtajaṭā jaṭilā ca tapasvinī /	jawAmAMsI BUtajawA jawilA ca tapasvinI /
   māṃsī tiktā kaṣāyā ca medhyā kāntibalapradā /	mAMsI tiktA kazAyA ca meDyA kAnti-bala-pradA /
   svādvī himā tridoṣāsradāhavīsarpakuṣṭhanut // 89	svAdvI himA tridoza-asra-dAha-vIsarpa-kuzWa-nud // 89
   śaileyaṃ tu śilāpuṣpaṃ vṛddhaṃ kālānusāryakam // 90	SEleyam tu SilApuzpam vRdDam kAlAnusAryakam // 90
   śaileyaṃ śītalaṃ hṛdyaṃ kaphapittaharaṃ laghu /	SEleyam SItalam hRdyam kaPa-pitta-haram laGu /
   kaṇḍūkuṣṭhāśmarīdāhaviṣahṛd gudaraktahṛt // 91	kaNxU-kuzWa-aSmarI-dAha-viza-hRt guda-rakta-hRt // 91
   mustakaṃ na striyāṃ mustaṃ triṣu vāridanāmakam /	mustakam na striyAm mustam trizu vArida-nAmakam /
   kuruvindaśca saṃkhyāto 'paraḥ kroḍakaserukaḥ // 92	kuruvindaH-ca saMKyAtaH aparaH kroxakaserukaH // 92
   bhadramustaṃ ca gundrā ca tathā nāgaramustakaḥ /	Badramustam ca gundrA ca taTA nAgaramustakaH /
   mustaṃ kaṭu himaṃ grāhi tiktaṃ dīpanapācanam // 93	mustam kawu himam grAhi tiktam dIpana-pAcanam // 93
   kaṣāyaṃ kaphapittāsratṛḍjvarārucijantuhṛt /	kazAyam kaPa-pitta-asra-tRz-jvara-aruci-jantu-hRt /
   anūpadeśe yajjātaṃ mustakaṃ tatpraśasyate /	anUpa-deSe yat-jAtam mustakam tat-praSasyate /
   tatrāpi munibhiḥ proktaṃ varaṃ nāgaramustakam // 94	tatra-api muniBiH proktam varam nAgaramustakam // 94
   karcūro vedhamukhyaśca drāviḍaḥ kalpakaḥ śaṭī /	karcUraH veDamuKyaH-ca drAvixaH kalpakaH SawI /
   karcūro dīpano rucyaḥ kaṭukastikta eva ca // 95	karcUraH dIpanaH rucyaH kawukaH-tiktaH eva ca // 95
   sugandhiḥ kaṭupākaḥ syāt kuṣṭhārśovraṇakāsanut /	suganDiH kawu-pAkaH syAt kuzWa-arSaH-vraNa-kAsa-nud /
   uṣṇo laghur harecchvāsaṃ gulmavātakaphakrimīn // 96	uzNaH laGuH haret-SvAsam gulma-vAta-kaPa-krimIn // 96
   murā gandhakuṭī daityā surabhiḥ śālaparṇikā // 97	murA ganDakuwI dEtyA suraBiH SAlaparNikAH // 97
   murā tiktā himā svādvī laghvī pittānilāpahā /	murA tiktA himA svAdvI laGvI pitta-anila-apahA /
   jvarāsṛgbhūtarakṣoghnī kuṣṭhakāsavināśinī // 98	jvara-asRk-BUta-rakzaH-GnI kuzWa-kAsa-vinASinI // 98
   śaṭhī palāśī ṣaḍgranthā suvratā gandhamūlikā /	SaWI palASI zaxgranTA suvratA ganDamUlikA /
   gāndhārikā gandhavadhūr vadhūḥ palāśikā // 99	gAnDArikA ganDavaDUH vaDUH palASikAH // 99
   bhavedgandhapalāśī tu kaṣāyā grāhiṇī laghuḥ /	Bavet-ganDapalASI tu kazAyA grAhiNI laGuH /
   tiktā tīkṣṇā ca kaṭukānuṣṇāsyamalanāśinī /	tiktA tIkzNA ca kawukA-anuzNa-Asi-a-mala-nASinI /
   śothakāsavraṇaśvāsaśūlasidhmagrahāpahā // 100	SoTa-kAsa-vraNa-SvAsa-SUla-siDma-graha-apahA // 100
   priyaṅguḥ phalinī kāntā latā ca mahilāhvayā // 101	priyaFguH PalinI kAntA latA ca mahilAhvayA // 101
   gundrā gandhaphalā śyāmā viṣvaksenāṅganāpriyā /	gundrA ganDaPalA SyAmA vizvaksena-aFganA-priyA /
   priyaṅguḥ śītalā tiktā tuvarānilapittahṛt // 102	priyaFguH SItalA tiktA tuvara-anila-pitta-hRt // 102
   raktātiyogadaurgandhyasvedadāhajvarāpahā /	rakta-atiyoga-dOrganDya-sveda-dAha-jvara-apahA /
   gulmatṛḍviṣamohaghnī tadvad gandhapriyaṅgukā // 103	gulma-tRz-viza-moha-GnI tadvat ganDa-priyaFgukAH // 103
   tatphalaṃ madhu rūkṣaṃ kaṣāyaṃ śītalaṃ guru /	tad-Palam maDu rUkzam kazAyam SItalam guru /
   vibandhādhmānabalakṛt saṃgrāhi kaphapittajit // 104	vibanDa-ADmAna-bala-kRt saMgrAhi kaPa-pitta-jit // 104
   reṇukā rājaputrī ca nandinī kapilā dvijā /	reNukA rAjaputrI ca nandinI kapilA dvijAH /
   bhasmagandhā pāṇḍuputrī smṛtā kauntī hareṇukā // 105	BasmaganDA pANxu-putrI smRtA kOntI hareNukA // 105
   reṇukā kaṭukā pāke tiktānuṣṇā kaṭur laghuḥ /	reNukA kawukA pAke tiktA-anuzNA kawuH laGuH /
   pittalā dīpanī medhyā pācinī garbhapātinī /	pittalA dIpanI meDyA pAcinI garBa-pAtinI /
   balāsavātakṛccaiva tṛṭkaṇḍūviṣadāhanut // 106	balAsa-vAta-kRt-ca-eva tRz-kaNxU-viza-dAha-nud // 106
   granthiparṇaṃ granthikaṃ ca kākapucchaṃ ca gucchakam /	granTiparNam granTikam ca kAkapucCam ca gucCakam /
   nīlapuṣpaṃ sugandhaṃ ca kathitaṃ tailaparṇakam // 107	nIlapuzpam suganDam ca kaTitam tElaparNakam // 107
   granthiparṇaṃ tiktatīkṣṇaṃ kaṭūṣṇaṃ dīpanaṃ laghu /	granTiparNam tikta-tIkzNam kawu-uzNam dIpanam laGu /
   kaphavātaviṣaśvāsakaṇḍūdaurgandhyanāśanam // 108	kaPa-vAta-viza-SvAsa-kaNxU-dOrganDya-nASanam // 108
   sthauṇeyakaṃ barhibarhaṃ śukabarhaṃ ca kukkuram /	sTONeyakam barhi-barham Suka-barham ca kukkuram /
   śīrṇaromaśukaṃ cāpi śukapuṣpaṃ śukacchadam // 109	SIrNa-romaSukam ca-api Sukapuzpam SukacCadam // 109
   sthauṇeyakaṃ kaṭu svādu tiktaṃ snigdhaṃ tridoṣanut // 110	sTONeyakam kawu svAdu tiktam snigDam tridoza-nud // 110
   medhāśukrakaraṃ rucyaṃ rakṣoghnaṃ jvarajantujit /	meDA-Sukra-karam rucyam rakzaH-Gnam jvara-jantu-jit /
   hanti kuṣṭhāsratṛḍdāhadaurgandhyatilakālakān // 111	hanti kuzWa-asra-tRz-dAha-dOrganDya-tila-kAlakAn // 111
   niśācaro dhanaharaḥ kitavo gaṇahāsaḥ /	niSAcaraH Dana-haraH kitavaH gaNa-hAsaH /
   corakaḥ śaṅkitaś caṇḍo duṣpattraḥ kṣemako ripuḥ /	corakaH SaFkitaH caNxaH duzpattraH kzemakaH ripuH /
   rocako madhurastikaḥ kaṭuḥ pāke kaṭur laghuḥ // 112	rocakaH maDurastikaH kawuH pAke kawuH laGuH // 112
   tīkṣṇo hṛdyo himo hanti kuṣṭhakaṇḍūkaphānilān /	tIkzNaH hRdyaH himaH hanti kuzWa-kaNxU-kaPa-anilAn /
   rakṣo'śrīsvedamedo'srajvaragandhaviṣavraṇān // 113	rakzaH-aSrI-sveda-medaH-asra-jvara-ganDa-viza-vraNAn // 113
   tālīśam uktaṃ pattrāḍhyaṃ dhātrīpattraṃ ca tatsmṛtam /	tAlISam uktam pattrAXyam DAtrI-pattram ca tat-smRtam /
   tālīśaṃ laghu tīkṣṇoṣṇaṃ śvāsakāsakaphānilān /	tAlISam laGu tIkzNa-uzNam SvAsa-kAsa-kaPa-anilAn /
   nihanty arucigulmāmavahnimāndyakṣayāmayān // 114	nihanti aruci-gulma-Ama-vahni-mAndya-kzaya-AmayAn // 114
   kaṅkolaṃ kolaṃ proktaṃ cātha kośaphalaṃ smṛtam // 115	kaFkolam kolam proktam ca-aTa koSa-Palam smRtam // 115
   kaṅkolaṃ laghu tīkṣṇoṣṇaṃ tiktaṃ hṛdyaṃ rucipradam /	kaFkolam laGu tIkzNa-uzNam tiktam hRdyam ruci-pradam /
   āsyadaurgandhyahṛdrogakaphavātāmayāndhyahṛt // 116	Asya-dOrganDya-hRd-roga-kaPa-vAta-Amaya-AnDya-hRt // 116
   snigdhoṣṇā kaphahṛt tiktā sugandhā gandhakokilā /	snigDA-uzNA kaPa-hRt tiktA suganDA ganDa-kokilAH /
   gandhakokilayā tulyā vijñeyā gandhamālatī // 117	ganDa-kokilayA tulyA vijQeyA ganDa-mAlatI // 117
   lāmajjakaṃ sunālaṃ syādamṛṇālaṃ lavaṃ laghu /	lAmajjakam sunAlam syAt-amRNAlam lavam laGu /
   iṣṭakāpathakaṃ savyaṃ naladaṃ ca vidātakam // 118	izwakA-paTakam savyam naladam ca vidAtakam // 118
   lāmajjakaṃ himaṃ tiktaṃ laghu doṣatrayāsrajit /	lAmajjakam himam tiktam laGu dozatraya-asra-jit /
   tvagāmayasvedakṛcchradāhapittāsraroganut // 119	tvac-Amaya-sveda-kRcCra-dAha-pitta-asra-roga-nud // 119
   elavālukam aileyaṃ sugandhi harivālukam /	elavAlukam Eleyam suganDi harivAlukam /
   ailavālukam elālu kapitthaṃ pattram īritam // 120	ElavAlukam elAlu kapitTam pattram Iritam // 120
   elālu kaṭukaṃ pāke kaṣāyaṃ śītalaṃ laghu /	elAlu kawukam pAke kazAyam SItalam laGu /
   hanti kaṇḍūvraṇaccharditṛṭkāsārucihṛdrujaḥ /	hanti kaNxU-vraNa=-Cardi-tRz-kAsa-aruci-hRd-rujaH /
   balāsaviṣapittāsrakuṣṭhamūtragadakrimīn // 121	balAsa-viza-pittAsra-kuzWa-mUtra-gada-krimIn // 121
   kuṭannaṭaṃ dāsapuraṃ bāleyaṃ paripelavam /	kuwannawam dAsa-puram bAlA-iyam paripelavam /
   plavagopuragonardakaivartīmustakāni ca // 122	plava-gopura-gonarda-kEvartImustakAni ca // 122
   mustāvat pelavapuṭaṃ śukābhaṃ syād vitunnakam // 123	mustA-vat pelava-puwam Suka-ABam syAt vitunnakam // 123
   vitunnakaṃ himaṃ tiktaṃ kaṣāyaṃ kaṭu kāntidam /	vitunnakam himam tiktam kazAyam kawu kAnti-dam /
