   Mṛgendratantra, Vidyāpāda, 1	MRgendra-tantra, VidyA-pAda, 1
   * anenaiva cihnenāprakarṣavatā avaśiṣṭasya saṃsārasthitihetoḥ	* anena-eva cihnena-aprakarzavatA avaSizwasya saMsAra-sTiti-hetoH
   pāśajālasyāsūkṣmabuddhīnām apyanumānam /	pASaja-Alasya-asUkzma-budDInAm api-anumAnam /
   * pūrvoktānāṃ cihnānāmeva mandatve sati paśoḥ pāśaśaithilyamāndyaṃ	* pUrva-uktAnAm cihnAnAm-eva manda-tve sati paSoH pASa-SETilya-mAndyam
   mandamatayo 'pyanuminvanti iti bhāvaḥ // MrgTV_1,5.5:2	manda-matayaH api-anuminvanti iti BAvaH // MrgTV_1,5.5:2
   * nanu kimanenātyantāpūrveṇa śaktipātaniścayena sakaladarśanaprasiddhaṃ	* nanu kim-anena-atyanta-apUrveNa SaktipAta-niScayena sakala-darSana-prasidDam
   tāvadidaṃ kaivalyaprāptikāraṇaṃ liṅgatvena kiṃ na niścīyate //	tAvat-idam kEvalya-prApti-kAraNam liFga-tvena kim na niScIyate //
   MrgTV_1,5.5:3	MrgTV_1,5.5:3
   * yaduktam /	* yat-uktam /
   * na hṛṣyatyupakāreṇa nāpakāreṇa kupyati /	* na hRzyati-upakAreNa na-apakAreNa kupyati /
   * yaḥ samaḥ sarvabhūteṣu jīvanmuktaḥ sa iṣyate // MrgTV_1,5.5:4	* yaH samaH sarva-BUtezu jIvanmuktaH saH izyate // MrgTV_1,5.5:4
   * iti // MrgTV_1,5.5:5	* iti // MrgTV_1,5.5:5
   * tatrāha // MrgTV_1,5.5:6	* tatra-Aha // MrgTV_1,5.5:6
   paśudṛgyogasiddhānāṃ karmavyaktidvayaṃ samam /	paSu-dRS-yoga-sidDAnAm karma-vyakti-dvayam samam /
   jyeṣṭhādiphalayogyānāṃ sādhikārāsu muktiṣu || MrgT_1,5.6 ||	jyezWa-Adi-Pala-yogyAnAm sa-aDikArAsu muktizu || MrgT_1,5.6 ||
   upāyādaravaiśiṣṭyān mṛgyate tattrayaṃ punaḥ /	upAya-Adara-vESizwyAt mRgyate tat-trayam punar /
   * paśudṛgbhiḥ pāśavair jñānaistaduktena ca patañjaliprabhṛtipraṇītena	* paSu-dRgBiH pASavEH jQAnEH-tad-uktena ca pataQjali-praBRti-praNItena
   yogena ye siddhāḥ sattvaguṇaprasādān mādhyasthyaṃ prāptāsteṣāṃ	yogena ye sidDAH sattva-guNa-prasAdAt mADyasTyam prAptAH-tezAm
   yatkarmabhyām upakārāpakārarūpābhyāṃ ceṣṭābhyāṃ prasādakrodhalakṣaṇaṃ	yat-karmaByAm upakAra-apakAra-rUpAByAm cezwAByAm prasAda-kroDa-lakzaNam
   vyaktidvayaṃ samamiti nāpakāriṇi krodhavyaktir nāpyupakāriṇi prītivyaktir	vyakti-dvayam samam-iti na-apakAriNi kroDa-vyaktiH na-api-upakAriNi prIti-vyaktiH-
   mādhyasthyād evaitadbhavatu nāsmābhir niṣidhyate // MrgTV_1,5.7ab:1	mADyasTyAt eva-etat-Bavatu na-asmABiH niziDyate // MrgTV_1,5.7ab:1
   * iha punarayaṃ viśeṣaḥ yadadhikāravatīṣu muktiṣu viṣayeṣūpāyasya dīkṣādeḥ	* iha punar-ayam viSezaH yat-aDikAravatIzu muktizu vizayezu-upAyasya dIkzA-AdeH
   // MrgTV_1,5.7ab:2	// MrgTV_1,5.7ab:2
   * lokadharmamayī dīkṣā śivadharmamayī tathā // MrgTV_1,5.7ab:3	* loka-Darma-mayI dIkzA Siva-Darma-mayI taTA // MrgTV_1,5.7ab:3
   * ityādinā vakṣyamāṇād vaiśiṣṭyād ādarasya ca	* ityAdinA vakzyamANAt vESizwyAt Adarasya ca
   tattatpadaprāptiprītiśraddhātmanovailakṣaṇyāt yathoktaṃ	tad-tad-pada-prApti-prIti-SradDa-AtmanaH-vElakzaNyAt yaTA-uktam
   śrīmatsūkṣmasvāyambhuve /	SrImat-sUkzma-svAyamBuve /
   * yo yatrābhilaṣed bhogānsa tatraiva niyojitaḥ /	* yaH yatra-aBilazet BogAn-sa tatra-eva niyojitaH /
   * siddhibhāṅmantrasāmarthyāt // MrgTV_1,5.7ab:4	* sidDi-BAj-mantra-sAmarTyAt // MrgTV_1,5.7ab:4
   * iti tasmād upāyādaravailakṣaṇyān	* iti tasmAt upAya-Adara-vElakzaNyAn
   mantramaheśvarādipadaprāptilakṣaṇajyeṣṭhaphalayogyatāṃ	mantra-maheSvara-Adi-pada-prApti-lakzaNa-jyezWa-Pala-yogyatAm
   mantreśvarapadaśaktyātmakaphalārhatvaṃ pañcāṣṭakādyaparādhikāri	mantreSvara-pada-Sakti-Atmaka-Pala-arha-tvam paQca-azwaka-Adi-apara-aDikAri
   padayojanāyogyatāṃ ca niścetuṃ karmavyaktitrayaṃ mṛgyate anviṣyate //	pada-yojana-ayogya-tAm ca niScetum karma-vyakti-trayam mRgyate anvizyate //
   MrgTV_1,5.7ab:5	MrgTV_1,5.7ab:5
   * bhaktiśraddhābhivyaktitāratamyād	* Bakti-SradDA-aBivyakti-tAratamyAt-
   utkṛṣṭamadhyamāpakṛṣṭarūpasādhikārāpavargapadabhāja ityanugrāhyā	utkRzwa-maDyama-apakRzwa-rUpa-sADikAra-apavarga-pada-BAjaH iti-anugrAhyA
   bhavantītyāśayaḥ // MrgTV_1,5.7ab:6	Bavanti-iti-ASayaH // MrgTV_1,5.7ab:6
   * yac caitat sādhikāramuktitrayaṃ darśitam tataḥ // MrgTV_1,5.7ab:7	* yat ca-etat sADikAra-mukti-trayam darSitam tatas // MrgTV_1,5.7ab:7
   dvayorvyaktikaraḥ kaścic cyutisiddhivilakṣitaḥ || MrgT_1,5.7 ||	dvayoH-vyakti-karaH kaScid cyuti-sidDi-vilakzitaH || MrgT_1,5.7 ||
   * madhyamāpakṛṣṭayor muktyor uparyadhovartinaḥ padasya prāpyatayā svasmāt	* maDyama-apakRzwayoH muktyoH upari-aDas-vartinaH padasya prApya-tayA svasmAt-
   padāt cyutisambhavena ca kaścidvyaktikaro'ntarāyaḥ natv anantaram	padAt cyuti-samBavena ca kaScid-vyakti-karaH-antarAyaH na-tu anantaram
   evāpavargasya prāptiḥ // MrgTV_1,5.7cd:1	eva-apavargasya prAptiH // MrgTV_1,5.7cd:1
   * tṛtīyasyāṃ tu tatpadādhikārasamāptisamanantareṇaiva tallābhaḥ //	* tRtIyasyAm tu tad-pada-aDikAra-samApti-samanantareNa-eva tad-lABaH //
   MrgTV_1,5.7cd:2	MrgTV_1,5.7cd:2
   * atha kiṃnimittam etac cihnavaicitryaṃ yadvaśāttritvaṃ sādhikārāyā	* aTa kiMnimittam etat cihna-vEcitryam yat-vaSAt-tri-tvam sADikArAyA
   mukterityāha // MrgTV_1,5.7cd:3	mukteH-iti-Aha // MrgTV_1,5.7cd:3
   īṣadarthanivṛtte tu rodhakatve tamaḥpateḥ /	Izat-arTa-nivRtte tu roDaka-tve tamaHpateH /
   bhavantyetāni liṅgāni kiṃcicchiṣṭe ca dehinām || MrgT_1,5.8 ||	Bavanti-etAni liFgAni kiMcid-Sizwe ca dehinAm || MrgT_1,5.8 ||
   * tamaḥpateḥ kriyādṛṅniroddhur vāmadevanāthasya yadrodhakatvaṃ tasmin	* tamaHpateH kriyA-dRS-nirodDuH vAmadeva-nATasya yat-roDaka-tvam tasmin
   kiṃcin nivṛtte manāg avaśiṣṭe ca sati etac cihnatāratamyaṃ śarīriṇāṃ	kiMcid nivRtte manAk avaSizwe ca sati etat cihna-tAratamyam SarIriNAm
   bhavati // MrgTV_1,5.8:1	Bavati // MrgTV_1,5.8:1
   * ata eva // MrgTV_1,5.8:2	* atas eva // MrgTV_1,5.8:2
   yogyatātrayam apyetat samatītya maheśvaraḥ /	yogya-tA-trayam api-etat samatItya maheSvaraH /
   svāpe'ṇumanugṛhṇāti sādhikāramidaṃ yataḥ || MrgT_1,5.9 ||	svApe-aNum-anugRhNAti sADikAram-idam yatas || MrgT_1,5.9 ||
   * etadyogyatātrayam anapekṣyaiva svāpe'ṇumanugṛhṇāti aṇumiti	* etad-yogya-tA-trayam anapekzya-eva svApe-aNum-anugRhNAti aNum-iti
   jātāvekavacanam yogyatāvaicitryeṇānugrahavaicitryamaṇūnāṃ tadānīṃ na	jAtO=-eka-vacanam yogya-tA-vEcitryeNa-anugraha-vEcitryam-aNUnAm tadAnIm na
   karotīti bhāvaḥ // MrgTV_1,5.9:1	karoti-iti BAvaH // MrgTV_1,5.9:1
   * atraiva hetumāha sādhikāramidaṃ yataḥ yasmādyogyatātrayamadhikārāpekṣam	* atra-eva hetum-Aha sADikAram-idam yatas yasmAt-yogya-tA-trayam-aDikAra-apekzam
   // MrgTV_1,5.9:2	// MrgTV_1,5.9:2
   * na ca tadānīmadhikāropayogaḥ tasmān nāpekṣate // MrgTV_1,5.9:3	* na ca tadAnIm-aDikAra-upayogaH tasmAt na-apekzate // MrgTV_1,5.9:3
   sargamūle tṛtīyāyāṃ svāpavadbhūtasaṃhṛtau /	sarga-mUle tRtIyAyAm svApa-vat-BUta-saMhRtO /
   * bhaviṣyati sargārambhe saṃhāropānte vakṣyamāṇalakṣaṇāyāṃ tṛtīyasyāṃ ca	* Bavizyati sarga-AramBe saMhAra-upAnte vakzyamANa-lakzaNAyAm tRtIyasyAm ca
   bhūtasaṃhṛtau yānanugṛhṇāti te śivāḥ sampadyante svāpāvasthānugṛhītāṇuvat	BUta-saMhRtO yAn-anugRhNAti te SivAH sampadyante svApa-avasTA-anugRhIta-aNu-vat
   // MrgTV_1,5.10ab:1	// MrgTV_1,5.10ab:1
   * svāpe'ṇumanugṛhṇātīti yatprāguktaṃ tato'ṇuśabdaṃ lakṣayitum āha //	* svApe-aNum-anugRhNAti-iti yat-prAk-uktam tatas-aNu-Sabdam lakzayitum Aha //
   MrgTV_1,5.10ab:2	MrgTV_1,5.10ab:2
   sa yad vyapāsya kriyate tadvidho yo 'ṇur ucyate || MrgT_1,5.10 ||	sa yat vyapAsya kriyate tadviDaH yaH aNuH ucyate || MrgT_1,5.10 ||
   * sa ityanantaroktaḥ sargādau tṛtīye ca bhūtasaṃhāre svāpe ca yo	* saH iti-anantara-uktaH sarga-AdO tRtIye ca BUta-saMhAre svApe ca yaH-
   'nugrāhyaḥ // MrgTV_1,5.10cd:1	anugrAhyaH // MrgTV_1,5.10cd:1
   * yo yad vyapāsyāpanīya tādṛgvidhaḥ kriyate abhivyaktaśivabhāvaḥ	* yaH yat vyapAsya-apanIya tAdRgviDaH kriyate aBivyakta-Siva-BAvaH
   sampadyate so 'ṇuśabdavācyo jñeyaḥ aṇuḥ sann apavṛjyata iti yāvat //	sampadyate saH aNu-Sabda-vAcyaH jQeyaH aNuH san apavRjyate iti yAvat //
   MrgTV_1,5.10cd:2	MrgTV_1,5.10cd:2
   * tadevaṃ bodhayanbodhayogyān iti yatprāguktaṃ taddṛkkriyānantyavyaktyā	* tat-evam boDayan-boDa-yogyAn iti yat-prAk-uktam tad-dRkkriyA-Anantya-vyaktyA
   pradarśitam // MrgTV_1,5.10cd:3	pradarSitam // MrgTV_1,5.10cd:3
   * yadapi rodhyānrundhan ityādi sūcitaṃ tat yānvimocayati svāpe ityanena	* yat-api roDyAn-runDan ityAdi sUcitam tat yAn-vimocayati svApe iti-anena
   keṣāṃcideva tathāvidhānugrahabhāktve sati anyeṣām arthākṣipto rodha	kezAMcid-eva taTAviDa-anugraha-BAktve sati anyezAm arTa-AkziptaH roDa
   itikṛtvā na vipañcitam // MrgTV_1,5.10cd:4	iti-kRtvA na vipaQcitam // MrgTV_1,5.10cd:4
   * idānīṃ tu pācayankarmikarma ityuktaṃ nirvarṇayitum āha //	* idAnIm tu pAcayan-karmi-karma iti-uktam nirvarNayitum Aha //
   MrgTV_1,5.10cd:5	MrgTV_1,5.10cd:5
   tathā bījaṃ śarīrādeḥ pācayaty āniveśanāt /	taTA bIjam SarIra-AdeH pAcayati AniveSanAt /
   * bhagavataḥ śaktayaḥ sarvakāryeṣu prasṛtāḥ // MrgTV_1,5.11ab:1	* BagavataH SaktayaH sarva-kAryezu prasRtAH // MrgTV_1,5.11ab:1
   * tābhiḥ śarīrendriyajātyāyurbhogakāraṇaṃ karma dehabhājāṃ tatsvāpe	* tABiH SarIra-indriya-jAti-AyuH-Boga-kAraNam karma dehaBAjAm tad-svApe
   pācayati phaladānonmukhamāpādayati // MrgTV_1,5.11ab:2	pAcayati Pala-dAna-unmuKam-ApAdayati // MrgTV_1,5.11ab:2
   * yasmāt // MrgTV_1,5.11ab:3	* yasmAt // MrgTV_1,5.11ab:3
   na yogyatāṅgamabhajat sadyaḥ syādauṣadhādivat || MrgT_1,5.11 ||	na yogyatA-aFgam-aBajat sadyas syAt-OzaDa-Adi-vat || MrgT_1,5.11 ||
   * yogyatāyā arhatvasyāṅgaṃ sampādakaṃ pākākhyaṃ saṃskāram abhajad	* yogyatAyAH arhatvasya-aFgam sampAdakam pAka-AKyam saMskAram aBajat-
   anāsevyamānaṃ tat karma sadyastatkṣaṇaṃ harītakyādyauṣadhamiva na syān na	anAsevyamAnam tat karma sadyas-tad-kzaNam harItakI-Adi-OzaDam-iva na syAt na
   bhavetphaladamiti śeṣaḥ // MrgTV_1,5.11cd:1	Bavet-Pala-dam-iti SezaH // MrgTV_1,5.11cd:1
   * yadāhuḥ aprāptapākaṃ harītakyādidravyaṃ sadapi svakāryasampādanāśaktaṃ	* yat-AhuH aprApta-pAkam harItakI-Adi-dravyam sat-api sva-kArya-sampAdana-aSaktam
   yogyatāṅgasya pākasyānāsādanāditi // MrgTV_1,5.11cd:2	yogyatA-aFgasya pAkasya-anAsAdanAt-iti // MrgTV_1,5.11cd:2
   * evaṃ sadapi karmāpakvaṃ tatphaladānāśaktam ataḥ pākāpekṣaṃ pākaścāsya na	* evam sat-api karma-apakvam tad-Pala-dAna-aSaktam atas pAka-apekzam pAkaH-ca-asya na
   svataḥ sambhavatītyāha // MrgTV_1,5.11cd:3	svatas samBavati-iti-Aha // MrgTV_1,5.11cd:3
   pākārhamapi tat paktuṃ neśātmānamātmanā /	pAka-arham-api tat paktum na-ISa-AtmAnam-AtmanA /
   dharmasāmānya evāyaṃ sarvasya pariṇāminaḥ || MrgT_1,5.12 ||	Darma-sAmAnyaH eva-ayam sarvasya pariNAminaH || MrgT_1,5.12 ||
   * pākayogyamapi tat svayamātmānamātmanā na pācayitum īśam //	* pAka-yogyam-api tat svayam-AtmAnam-AtmanA na pAcayitum ISam //
   MrgTV_1,5.12:1	MrgTV_1,5.12:1
   * sarvasyaiva hi pariṇāmino vastunaḥ kṣīrāderivāyaṃ sādhāraṇo dharmaḥ	* sarvasya-eva hi pariNAminaH vastunaH kzIra-AdeH-iva-ayam sADAraNaH DarmaH
   yatkimapyapekṣya pariṇāmitvaṃ nānyathā pariṇāmitvāc ca karmaṇo'pyanyāpekṣo	yat-kim-api-apekzya pariNAmi-tvam na-anyaTA pariNAmi-tvAt ca karmaNaH-api-anya-apekzaH-
   vipākaḥ // MrgTV_1,5.12:2	vipAkaH // MrgTV_1,5.12:2
   * anena māyāśaktīrvyaktiyogyāḥ prakurvan ityetadapi prakāśitaṃ tasyāpi	* anena mAyA-SaktIH-vyakti-yogyAH prakurvan iti-etat-api prakASitam tasya-api
   pariṇāmitvāt // MrgTV_1,5.12:3	pariNAmi-tvAt // MrgTV_1,5.12:3
   * na caiṣāṃ malamāyākarmaṇāṃ pariṇāmakatvamanīśena suśakamityuktam //	* na ca-ezAm mala-mAyA-karmaNAm pariNAmaka-tvam-anISena suSakam-iti-uktam //
   MrgTV_1,5.12:4	MrgTV_1,5.12:4
   * īśatīty aduṣṭam īśa ivācarati iti sarvaprātipadikebhya ityeke iti kvipaḥ	* ISati-iti aduzwam ISaH iva-Acarati iti sarva-prAtipadikeByaH iti-eke iti kvipaH
   smaraṇāt // MrgTV_1,5.12:5	smaraNAt // MrgTV_1,5.12:5
   * tadiyatā tāvatsarvakartṛtvaṃ parameśvarasya pratipāditam //	* tat-iyatA tAvat-sarva-kartR-tvam parameSvarasya pratipAditam //
   MrgTV_1,5.12:6	MrgTV_1,5.12:6
   * ata eva cāsya sarvajñatvaṃ sidhyatītyāha // MrgTV_1,5.12:7	* atas eva ca-asya sarvajQa-tvam siDyati-iti-Aha // MrgTV_1,5.12:7
   sarvajñaḥ sarvakartṛtvāt sādhanāṅgaphalaiḥ saha /	sarvajQaH sarva-kartR-tvAt sADana-aFga-PalEH saha /
   yo yaj jānāti kurute sa tadeveti susthitam || MrgT_1,5.13 ||	yaH yat jAnAti kurute sa tat-eva-iti susTitam || MrgT_1,5.13 ||
   * sarvakartṛtvād eveśvarasya sarvajñatvaṃ sarvaviṣayajñānaṃ vinā	* sarva-kartR-tvAt eva-ISvarasya sarvajQa-tvam sarva-vizaya-jQAnam vinA
   sarvakartṛtānupapatteḥ // MrgTV_1,5.13:1	sarva-kartR-ta-anupapatteH // MrgTV_1,5.13:1
   * yo hi yadyatkriyāsiddhiṃ tadaṅgāni tatphalāni ca jānāti tasyaiva	* yaH hi yat-yat-kriyA-sidDim tad-aFgAni tad-PalAni ca jAnAti tasya-eva
   vicitratattatkārakopayogābhisaṃdhānavatas tattatkartṛtvaṃ ghaṭate	vicitra-tad-tad-kAraka-upayoga-aBisaMDAnavataH tad-tad-kartR-tvam Gawate
   kuvindāderiva paṭādikṛtau // MrgTV_1,5.13:2	kuvinda-AdeH-iva pawa-Adi-kRtO // MrgTV_1,5.13:2
   * ato yastu tatrājñaḥ sa tatkāryakaraṇāya nālaṃ bāliśa iva	* atas yaH-tu tatra-ajQaH sa tad-kArya-karaNAya nAlam bAliSaH iva
   nyāyavidyādyupanyāsa ityetatsusthitamityavyabhicārīti // MrgTV_1,5.13:3	nyAya-vidyA-Adi-upanyAsaH iti-etat-susTitam-iti-avyaBicArI-iti // MrgTV_1,5.13:3
   tac cāsyāvṛtiśūnyatvān na vyañjakamapekṣate /	tat ca-asya-AvRti-SUnyatvAt na vyaQjakam-apekzate /
   tan na sāṃśayikaṃ tasmādviparītaṃ na jātucit || MrgT_1,5.14 ||	tat na sAMSayikam tasmAt-viparItam na jAtucit || MrgT_1,5.14 ||
   * śivasya tat sarvajñatvam anādyāvaraṇaśūnyatvān na vyañjakāpekṣam nāpi	* Sivasya tat sarvajQa-tvam anAdi-a-AvaraNa-SUnya-tvAt na vyaQjaka-apekzam na-api
   saṃsāriṇa iva saṃśayaviparyayānadhyavasāyayuktam ata eva hetoḥ //	saMsAriNaH iva saMSaya-viparyaya-anaDyavasAya-yuktam atas eva hetoH //
   MrgTV_1,5.14:1	MrgTV_1,5.14:1
   * tathāhi // MrgTV_1,5.14:2	* taTA-hi // MrgTV_1,5.14:2
   yāni vyañjakamīkṣante vṛtatvān malaśaktibhiḥ /	yAni vyaQjakam-Ikzante vRta-tvAt mala-SaktiBiH /
   vyañjakasyānurodhena tāni syur vyāhatānyapi || MrgT_1,5.15 ||	vyaQjakasya-anuroDena tAni syuH vyAhatAni-api || MrgT_1,5.15 ||
   * yāni kila jñānāni malaśaktyāvṛtatvādbhoganiṣpādanāya vyañjakaṃ	* yAni kila jQAnAni mala-Sakti-AvRta-tvAt-Boga-nizpAdanAya vyaQjakam
   kalādyapekṣante tāni vyañjakasya kalādeḥ svalpaprakāśakaraṇāt	kalA-Adi-apekzante tAni vyaQjakasya kalA-AdeH su-alpa-prakASa-karaNAt
   tathāvidhavyañjanabhāji jñeyaviṣaye vyāghātavantyapi bhavanti //	taTAviDa-vyaQjana-BAji jQeya-vizaye vyAGAtavanti-api Bavanti //
   MrgTV_1,5.15:1	MrgTV_1,5.15:1
   * na caiśvaraṃ jñānamevaṃvidhaṃ pūrvoktādevāvṛtiśūnyatvāt kāraṇāt //	* na ca-ESvaram jQAnam-evaMviDam pUrva-uktAt-eva-AvRti-SUnya-tvAt kAraNAt //
   MrgTV_1,5.15:2	MrgTV_1,5.15:2
   * tathā coktaṃ śrīkiraṇe /	* taTA ca-uktam SrI-kiraNe /
   * anādimalamuktatvātsarvajño'sau tataḥ śivaḥ /	* anAdi-mala-mukta-tvAt-sarvajQaH-asO tatas SivaH /
   * iti // MrgTV_1,5.15:3	* iti // MrgTV_1,5.15:3
   * yataścaivamataḥ // MrgTV_1,5.15:4	* yatas-ca-evam-atas // MrgTV_1,5.15:4
   nādhyakṣaṃ nāpi tallaiṅgaṃ na śābdamapi śāṃkaram /	na-aDyakzam na-api tallEFgam na SAbdam-api SAMkaram /
   jñānamābhāti vimalaṃ sarvadā sarvavastuṣu || MrgT_1,5.16 ||	jQAnam-ABAti vimalam sarvadA sarva-vastuzu || MrgT_1,5.16 ||
   * akṣasavyapekṣaṃ hi jñānaṃ pratyakṣamakṣavyāpāraṇāt tadabhāve'bhāvāt	* akza-sa-vyapekzam hi jQAnam pratyakzam-akza-vyApAraNAt tad-aBAve-aBAvAt
   tadbhāve bhāvānuvidhāyitvāc ca vyāhatamapi syāt // MrgTV_1,5.16:1	tad-BAve BAva-anuviDAyi-tvAt ca vyAhatam-api syAt // MrgTV_1,5.16:1
   * na caivaṃ śāmbhavaṃ jñānamato na pratyakṣam nāpyānumānikaṃ tasya	* na ca-evam SAmBavam jQAnam-atas na pratyakzam na-api-AnumAnikam tasya
   pratyakṣādhīnavṛttitvāt śābdatvaṃ tu dūrāpāstam	pratyakza-aDIna-vRtti-tvAt SAbda-tvam tu dUra-apAstam
   atyantaparokṣārthaviṣayatvāt tasya // MrgTV_1,5.16:2	atyanta-parokza-arTa-vizaya-tvAt tasya // MrgTV_1,5.16:2
   * na ca kiṃcidbhagavataḥ parokṣamataḥ sarvaviṣayaṃ tasya jñānaṃ prakāśate	* na ca kiMcid-BagavataH parokzam-atas sarva-vizayam tasya jQAnam prakASate
   // MrgTV_1,5.16:3	// MrgTV_1,5.16:3
   * nanu /	* nanu /
   * pañcavaktrastripañcadṛk /	* paQcavaktraH-tri-paQca-dRS /
   * ityādinā śrūyata evāgameṣvīśvarasya śarīrendriyayogaḥ tatsadbhāve'pi	* ityAdinA SrUyate eva-Agamezu-ISvarasya SarIra-indriya-yogaH tad-sadBAve-api
   kasmān na tatsavyapekṣe īśvarasya jñānakriye // MrgTV_1,5.16:4	kasmAt na tad-savyapekze ISvarasya jQAna-kriye // MrgTV_1,5.16:4
   * nāsya jñānakriyopayogī śarīrendriyayogaḥ svabhāvata eva sarvārthakriyā	* na-asya jQAna-kriyA-upayogI SarIra-indriya-yogaH svaBAvataH eva sarva-arTa-kriyA
   śaktimattvādicchāmātreṇaiva sargasthityādikaraṇakṣamatvāt //	Saktimat-tvAt-icCA-mAtreNa-eva sarga-sTiti-Adi-karaNa-kzama-tvAt //
   MrgTV_1,5.16:5	MrgTV_1,5.16:5
   * bhaktānugrahaṇārthaṃ cākāragrahaṇamanyathā nirākāre dhyānapūjādyayogāt	* Bakta-anugrahaNa-arTam ca-AkAra-grahaNam-anyaTA nirAkAre DyAna-pUjA-Adya-yogAt
   // MrgTV_1,5.16:6	// MrgTV_1,5.16:6
   * yaduktaṃ śrīmatpauṣkare /	* yat-uktam SrImat-pOzkare /
   * sādhakasya tu lakṣyārthaṃ tasya rūpamidaṃ smṛtam /	* sADakasya tu lakzya-arTam tasya rUpam-idam smRtam /
   * sarvataḥ pāṇipādaṃ tatsarvato 'kṣiśiromukham // MrgTV_1,5.16:7	* sarvatas pANi-pAdam tat-sarvatas akzi-SiraH-muKam // MrgTV_1,5.16:7
   * iti // MrgTV_1,5.16:8	* iti // MrgTV_1,5.16:8
   tadekaṃ viṣayānantyādbhedānantyaṃ prapadyate /	tat-ekam vizaya-AnantyAt-Beda-Anantyam prapadyate /
   kartṛtvaṃ tadabhinnatvāttadvadevopacārataḥ || MrgT_1,5.17 ||	kartR-tvam tad-aBinna-tvAt-tadvat-eva-upacArataH || MrgT_1,5.17 ||
   * yathāvasthitavastvavabhāsātmanas tāvattadīyasyaikasya jñānasya	* yaTA-avasTita-vastu-avaBAsa-AtmanaH tAvat-tadIyasya-ekasya jQAnasya
   jñeyānantyād upādhibhedāt kṛtamaupacārikamānantyam śāstrātmano'pi	jQeya-AnantyAt upADi-BedAt kRtam-OpacArikam-Anantyam SAstra-AtmanaH-api
   srotobhedādadhyetṛbhedāt pravartayitṛbhedāt // MrgTV_1,5.17:1	srotaH-BedAt-aDyetR-BedAt pravartayitR-BedAt // MrgTV_1,5.17:1
   * teṣāṃ ca parāparatvād gauṇamevānantyam // MrgTV_1,5.17:2	* tezAm ca parAparatvAt gONam-eva-Anantyam // MrgTV_1,5.17:2
   * sarvajñānakriyārūpā śaktirekaivaśūlinaḥ // MrgTV_1,5.17:3	* sarva-jQAna-kriyA-rUpA SaktiH-ekA-eva-SUlinaH // MrgTV_1,5.17:3
   * ityanayā dṛśā tasmāj jñānādabhinnatvātkartṛtvamapi	* iti-anayA dRSA tasmAt jQAnAt-aBinna-tvAt-kartR-tvam-api
   tathaivopacārādānantyaṃ pratipadyate // MrgTV_1,5.17:4	taTA-eva-upacArAt-Anantyam pratipadyate // MrgTV_1,5.17:4
   * atha nirvarṇitopasaṃhārāya vyākhyeyopakṣepāya cāyaṃ ślokaḥ //	* aTa nirvarNita-upasaMhArAya vyAKyeya-upakzepAya ca-ayam SlokaH //
   MrgTV_1,5.17:5	MrgTV_1,5.17:5
   sattāsvarūpakaraṇārthavidheyadṛgbhir leśoditābhiriti ye vidurīśatattvam /	sattA-svarUpa-karaNa-arTa-viDeya-dRgBiH leSa-uditABiH-iti ye viduH-ISa-tattvam /
   te mocayanti bhavino bhavapaṅkamagnān no vistareṇa puruṣāḥ paśupāśarūpam	te mocayanti BavinaH Bava-paFka-magnAn naH vistareNa puruzAH paSu-pASa-rUpam
   || MrgT_1,5.18 ||	|| MrgT_1,5.18 ||
   * athopalabhya dehādi vastu kāryatvadharmakam /	* aTa-upalaBya deha-Adi vastu kAryatva-Darmakam /
   * kartāramasya jānīmaḥ // MrgTV_1,5.18:1	* kartAram-asya jAnImaH // MrgTV_1,5.18:1
   * ityādinā tāvadīśvarasya sattā sādhitā // MrgTV_1,5.18:2	* ityAdinA tAvat-ISvarasya sattA sADitAH // MrgTV_1,5.18:2
   * nityaṃ kālānavacchedādvaitatyān na pradeśagam /	* nityam kAla-anavacCedAt-vEtatyAt na pradeSa-gam /
   * kramākramasamutpatteḥ kramādyutpattiśaktimat // MrgTV_1,5.18:3	* kramAkrama-samutpatteH krama-Adi-utpatti-Saktimat // MrgTV_1,5.18:3
   * iti tatsvarūpamuktam // MrgTV_1,5.18:4	* iti tad-svarUpam-uktam // MrgTV_1,5.18:4
   * karaṇaṃ ca na śaktyanyacchaktir nācetanā citaḥ // MrgTV_1,5.18:5	* karaNam ca na Sakti-anyat-SaktiH na-acetanA citaH // MrgTV_1,5.18:5
   * ityanena karaṇaṃ kathitam // MrgTV_1,5.18:6	* iti-anena karaNam kaTitam // MrgTV_1,5.18:6
   * viniyogaphalaṃ muktirbhuktir apyanuṣaṅgataḥ // MrgTV_1,5.18:7	* viniyoga-Palam muktiH-BuktiH api-anuzaFgataH // MrgTV_1,5.18:7
   * ityamunārthaḥ prayojanamupavarṇitam // MrgTV_1,5.18:8	* iti-amunA-arTaH prayojanam-upavarNitam // MrgTV_1,5.18:8
   * jagajjanmasthitidhvaṃsatirobhāvavimuktayaḥ /	* jagat-janma-sTiti-DvaMsa-tiroBAva-vimuktayaH /
   * kṛtyam // MrgTV_1,5.18:9	* kRtyam // MrgTV_1,5.18:9
   * ityanena pañcavidhaṃ vidheyamuktam // MrgTV_1,5.18:10	* iti-anena paQcaviDam viDeyam-uktam // MrgTV_1,5.18:10
   * dṛkca asya jñānam /	* dRS-ca asya jQAnam /
