   Svayambhu Purāṇa	SvayamBu PurANa
   vimukta bhava saṃcārā bhikṣavo brahmacāriṇaḥ // SvayambhuP_8.62 //	vimukta Bava saMcArAH BikzavaH brahmacAriNaH // SvayamBuj-_8.62 //
   kiṃ me 'tra janma saṃsāre sukulamapi prabhornṛṇāṃ /	kim me atra janma saMsAre su-kulam-api praBoH-nRNAm /
   yadahaṃ paśuvad bhuktvā kāmameva rame gṛhe // SvayambhuP_8.63 //	yat-aham paSu-vat BuktvA kAmam-eva rame gRhe // SvayamBuj-_8.63 //
   tadetatapāpalipto 'haṃ kleśavyākulamānasaḥ /	tat-etatapApa-liptaH aham kleSa-vyAkula-mAnasaH /
   narakeṣu bhraman duḥkhaṃ bhuṃjīyāṃ vividhaṃ sadā // SvayambhuP_8.64 //	narakezu Braman duHKam BuMjIyAm viviDam sadA // SvayamBuj-_8.64 //
   tadā ko me suhṛt mitraṃ saṃrakṣitumupācarat /	tadA kaH me suhRd mitram saMrakzitum-upAcarat /
   dharmameva tadā trāṇaṃ sarvaduḥkhāpahaṃ bhave // SvayambhuP_8.65 //	Darmam-eva tadA trANam sarva-duHKa-apaham Bave // SvayamBuj-_8.65 //
   dharmāṇāṃ pravaraṃ bauddhaṃ dharmaṃ sarvabhayāpahaṃ /	DarmANAm pravaram bOdDam Darmam sarva-Baya-apaham /
   sarvārthasādhanaṃ siddhamityākhyātaṃ jagaddhitaṃ // SvayambhuP_8.66 //	sarva-arTa-sADanam sidDam-iti-AKyAtam jagat-hitam // SvayamBuj-_8.66 //
   ityahaṃ sāmprataṃ gatvā gośṛṅge parvate sthitaṃ /	iti-aham sAmpratam gatvA go-SRFge parvate sTitam /
   śāntaśriyaṃ mahācāryaṃ prārthayeyaṃ samādarāt // SvayambhuP_8.67 //	SAnta-Sriyam mahA-cAryam prArTayeyam samAdarAt // SvayamBuj-_8.67 //
   sa eva hi mahācārya etadutpātaśāntaye /	saH eva hi mahA-AcAryaH etad-utpAta-SAntaye /
   vidhānaṃ samupādiśya kuryānme 'tra hitaṃ sadā // SvayambhuP_8.68 //	viDAnam samupAdiSya kuryAt-me atra hitam sadA // SvayamBuj-_8.68 //
   iti niścitya bhūpālaḥ purohitaṃ samantriṇaḥ /	iti niScitya BUpAlaH purohitam sa-mantriNaH /
   mahājanāna sapaurāṃśca samāmantrayaivamādiśat // SvayambhuP_8.69 //	mahAjanAna sa-pOrAn=-ca samAmantrayA-evam-AdiSat // SvayamBuj-_8.69 //
   bho bhavanto yadatraivaṃ mahotpātaṃ pravarttate /	Bo BavantaH yat-atra-evam mahA-utpAtam pravarttate /
   tacchāntikaraṇaṃ dharmaṃ karttumicchāmi sāṃprataṃ // SvayambhuP_8.70 //	tad-SAnti-karaNam Darmam karttum-icCAmi sAMpratam // SvayamBuj-_8.70 //
   tadācārya mahābhijñaṃ śāntiśriyaṃ samādarāt /	tat-AcArya mahA-aBijQam SAnti-Sriyam samAdarAt /
   prārthayitvā tadā deśād dharttumicchāmi sadṛśaṃ // SvayambhuP_8.71 //	prArTayitvA tadA deSAt Darttum-icCAmi sadRSam // SvayamBuj-_8.71 //
   iti sarve vayaṃ tatra gośṛṅge 'gre samādarāt /	iti sarve vayam tatra go-SRFge agre samAdarAt /
   śāntaśriyaṃ mahācārya saṃprārthituṃ vajrāvahai // SvayambhuP_8.72 //	SAnta-Sriyam mahA-AcArya saMprArTitum vajrAvahE // SvayamBuj-_8.72 //
   ityādiṣṭaṃ narendraṇa śrutvā purohitādayaḥ /	iti-Adizwam narendraNa SrutvA purohita-AdayaH /
   sarve tatheti vijñapya prābhyanandan prabodhitāḥ // SvayambhuP_8.73 //	sarve taTA-iti vijQapya prAByanandan praboDitAH // SvayamBuj-_8.73 //
   tataḥ sa nṛpatī rājā samantrijanapaurikāḥ /	tatas sa nRpatiH rAjA sa-mantri-jana-pOrikAH /
   purohitaṃ purodhāya gośṛṅge 'gre mudācarat // SvayambhuP_8.74 //	purohitam puroDAya go-SRFge agre mudAcarat // SvayamBuj-_8.74 //
   tatra dṛṣṭvā tamācārya nṛpatiḥ saṃpramoditaḥ /	tatra dRzwvA tam-AcArya nRpatiH saMpramoditaH /
   sametya sāñjalirnatvā pādābje samupāśrayat // SvayambhuP_8.75 //	sametya sa-aQjaliH-natvA pAda-abje samupASrayat // SvayamBuj-_8.75 //
   tathā sarve 'pi lokāśca samīkṣyenaṃ prasāditāḥ /	taTA sarve api lokAH-ca samIkzyenam prasAditAH /
   sametya pādayornatvā samupatasthire mudā // SvayambhuP_8.76 //	sametya pAdayoH-natvA samupatasTire mudA // SvayamBuj-_8.76 //
   tān sarvān samupāsīnān samīkṣya sa mahāmatiḥ /	tAn sarvAn samupAsInAn samIkzya sa mahAmatiH /
   śāntaśrīstaṃ mahīpālaṃ sampaśyannevamādiśat // SvayambhuP_8.77 //	SAnta-SrIH-tam mahIpAlam sampaSyan=-evam-AdiSat // SvayamBuj-_8.77 //
   rājan sadāstu vo bhadraṃ sarvatrāpi nirantaraṃ /	rAjan sadA-astu vaH Badram sarvatra-api nirantaram /
   kimarthamiha prāyāsi tat me 'gre vaktuṃmarhasi // SvayambhuP_8.78 //	kimarTam-iha prAyAsi tat me agre vaktuMm-arhasi // SvayamBuj-_8.78 //
   iti śāntaśriyā prokte nṛpatiḥ sa kṛtāñjaliḥ /	iti SAnta-SriyA prokte nRpatiH sa kRtAQjaliH /
   praṇatvā taṃ mahācārya paśyannevaṃ nyavedayet // SvayambhuP_8.79 //	praNatvA tam mahA-AcArya paSyan=-evam nyavedayet // SvayamBuj-_8.79 //
   bho śrīśāstayadarthe 'haṃ bhavaccharaṇamāvraje /	Bo SrI-SAstayat-arTe aham Bavat-SaraNam-Avraje /
   tadartha prārthayāmyatra me samupādeṣṭumarhati // SvayambhuP_8.80 //	tad-arTa prArTayAmi-atra me samupAdezwum-arhati // SvayamBuj-_8.80 //
   yat me 'tra pāpato rājye mahotpātaṃ pravarttate /	yat me atra pApataH rAjye mahA-utpAtam pravarttate /
   tacchāntikaraṇopāyaṃ samupādeṣṭumarhati // SvayambhuP_8.81 //	tad-SAnti-karaNa-upAyam samupAdezwum-arhati // SvayamBuj-_8.81 //
   iti saṃprārthite rājñā śāntaśrī mantravit sudhīḥ /	iti saMprArTite rAjQA SAnta-SrI mantra-vid suDIH /
   nṛpate taṃ mahāsattvaṃ samālokyaivamādiśat // SvayambhuP_8.82 //	nRpate tam mahAsattvam samAlokya-evam-AdiSat // SvayamBuj-_8.82 //
   nṛpate pāpato 'traivaṃ mahotpātaṃ pravarttate /	nRpate pApataH atra-evam mahA-utpAtam pravarttate /
   tatpāpaśamanopāyaṃ vakṣāmi te śṛṇuṣva tat // SvayambhuP_8.83 //	tad-pApa-Samana-upAyam vakzAmi te SRNuzva tat // SvayamBuj-_8.83 //
   yatvamatra nṛpā rājā sarvadharmānupālakaḥ /	yatvam-atra nRpAH rAjA sarva-Darma-anupAlakaH /
   nītidharmmānusāreṇa saṃpālayasi na prajāḥ // SvayambhuP_8.84 //	nIti-Darmma-anusAreNa saMpAlayasi na prajAH // SvayamBuj-_8.84 //
   mantriṇo 'pi tathā sarvanītidharmaparāṅmukhāḥ /	mantriNaH api taTA sarva-nIti-Darma-parAFmuKAH /
   bhuktvā kāmasukhānyeva pracaranti yathecchayā // SvayambhuP_8.85 //	BuktvA kAma-suKAni-eva pracaranti yaTA-icCayA // SvayamBuj-_8.85 //
   tathā bhṛtyā janāścāpi paurāścāpi mahājanāḥ /	taTA BRtyAH janAH-ca-api pOrAH-ca-api mahAjanAH /
   svakuladharmamutsṛjya pracaranti yathecchayā // SvayambhuP_8.86 //	sva-kula-Darmam-utsRjya pracaranti yaTA-icCayA // SvayamBuj-_8.86 //
   evaṃ sarve 'pi lokāśca daśākuśalacāriṇaḥ /	evam sarve api lokAH-ca daSa-akuSala-cAriNaH /
   saddharmāṇi pratikṣipya pracaranti pramādataḥ // SvayambhuP_8.87 //	sadDarmANi pratikzipya pracaranti pramAdataH // SvayamBuj-_8.87 //
   tadaitat pāpavaipākyaṃ bhoktavyaṃmeva hi bhava /	tadA-etat pApa-vEpAkyam BoktavyaMmA-iva hi Bava /
   yenaiva yatkṛtaṃ karmma bhoktavyaṃ tena tatphalaṃ // SvayambhuP_8.88 //	yena-eva yat-kRtam karmma Boktavyam tena tad-Palam // SvayamBuj-_8.88 //
   evaṃ matvā nṛpaḥ svāmī svayaṃ nītyā vicārayan /	evam matvA nRpaH svAmI svayam nItyA vicArayan /
   bodhayitvā prayatnena lokān saṃpālayat sadā // SvayambhuP_8.89 //	boDayitvA prayatnena lokAn saMpAlayat sadA // SvayamBuj-_8.89 //
   yadyatra nṛpatiḥ samyaga vicārya pramādataḥ //	yadi-atra nRpatiH samyaga vicArya pramAdataH //
   svayaṃ kāmasukhānyeva bhuktvā caradyathecchayā // SvayambhuP_8.90 //	svayam kAma-suKAni-eva BuktvA carat-yaTA-icCayA // SvayamBuj-_8.90 //
   tathā sarve 'pi lokāśca nṛpacaryānucāriṇaḥ /	taTA sarve api lokAH-ca nRpa-caryA-anucAriNaH /
   bhuktvā kāmasukhānyeva pracareyuryathecchayā // SvayambhuP_8.91 //	BuktvA kAma-suKAni-eva pracareyuH-yaTA-icCayA // SvayamBuj-_8.91 //
   tadā tatra mahotpātaṃ pravarttat pāpato dhruvaṃ /	tadA tatra mahA-utpAtam pravarttat pApataH Druvam /
   pravarttite mahotpāta lokā syuḥ pāpaduḥkhitāḥ // SvayambhuP_8.92 //	pravarttite mahA-utpAta lokAH syuH pApa-duHKitAH // SvayamBuj-_8.92 //
   tatra tān nṛpatiḥ paśyannupekṣyaṃ nirdayaścarat /	tatra tAn nRpatiH paSyan=-upekzyam nirdayaH-carat /
   lokasaṃrakṣaṇe asaktaḥ sa sarvapāpabhāg bhavet // SvayambhuP_8.93 //	loka-saMrakzaNe asaktaH sa sarva-pApa-BAj Bavet // SvayamBuj-_8.93 //
   sarvāṇyapi hi pāpāni sarvalokaiḥ kṛtānyapi /	sarvANi-api hi pApAni sarva-lokEH kRtAni-api /
   patitvā nṛpateragre pradadyustatphalāni hi // SvayambhuP_8.94 //	patitvA nRpateH-agre pradadyuH-tad-PalAni hi // SvayamBuj-_8.94 //
   iti satyaṃ samākhyātaṃ sarvairapi munīśvaraiḥ /	iti satyam samAKyAtam sarvEH-api muni-ISvarEH /
   natvā rājā svayaṃ nītyā vicārayan samācaret // SvayambhuP_8.95 //	natvA rAjA svayam nItyA vicArayan samAcaret // SvayamBuj-_8.95 //
   iti tena samādiṣṭaṃ śāntaśriyā sumantriṇā /	iti tena samAdizwam SAnta-SriyA sumantriNA /
   śrutvā sa nṛpatīrbhītyā saṃtāpatāpitāśayaḥ // SvayambhuP_8.96 //	SrutvA sa nRpatIH-BItyA saMtApa-tApita-ASayaH // SvayamBuj-_8.96 //
   śāntaśriyaṃ tamācārya samīkṣya śaraṇaṃ gataḥ /	SAnta-Sriyam tam-AcArya samIkzya SaraNam gataH /
   natvā pādāmbuje bhūyaḥ prārthayadevamādarāt // SvayambhuP_8.97 //	natvA pAda-ambuje BUyas prArTayat-evam-AdarAt // SvayamBuj-_8.97 //
   śāstaḥ sadā cariṣyāmi bhavadājñāṃ śirāvahan /	SAstaH sadA carizyAmi Bavat-AjQAm SirA-vahan /
   tat me yaducitaṃ dharmma tat samādeṣṭumarhati // SvayambhuP_8.98 //	tat me yat-ucitam Darmma tat samAdezwum-arhati // SvayamBuj-_8.98 //
   iti saṃprārthitaṃ rājñā śrutvācāryaḥ sa satmatiḥ /	iti saMprArTitam rAjQA SrutvA-AcAryaH sa satmatiH /
   nṛpatiṃ taṃ mahāsattvaṃ sampaśyannevamādiśat // SvayambhuP_8.99 //	nRpatim tam mahAsattvam sampaSyan=-evam-AdiSat // SvayamBuj-_8.99 //
   rājañchṛṇu samādhāya vakṣyāmi śubhakāraṇaṃ /	rAjan-SRNu samADAya vakzyAmi SuBa-kAraNam /
   yadyasti te kṛpā loka tat kuru yanmayoditaṃ // SvayambhuP_8.100 //	yadi-asti te kRpA loka tat kuru yat-mayA-uditam // SvayamBuj-_8.100 //
   tadyathaiteṣu tīrtheṣu snātvā nityaṃ yathāvidhi /	tat-yaTA-etezu tIrTezu snAtvA nityam yaTAviDi /
   śuciśīlasamācāraḥ samāhitaḥ trimaṇḍalaḥ // SvayambhuP_8.101 //	Suci-SIla-samAcAraH samAhitaH tri-maNxalaH // SvayamBuj-_8.101 //
   sambodhiṃ praṇidhānena sarvasattvahitārthabhṛt /	samboDim praNiDAnena sarva-sattva-hita-arTa-BRt /
   triratnabhajanaṃ kṛtvā carasva poṣadhaṃ vrataṃ // SvayambhuP_8.102 //	tri-ratna-Bajanam kRtvA carasva pozaDam vratam // SvayamBuj-_8.102 //
   tata imaṃ jagannāthaṃ dharmadhātuṃ jinālayaṃ /	tatas imam jagannATam DarmaDAtum jina-Alayam /
   yathāvidhi samārādhya saṃbhajasva sadādarāt // SvayambhuP_8.103 //	yaTAviDi samArADya saMBajasva sat-AdarAt // SvayamBuj-_8.103 //
   tathā sarvā imā pañca devatāśca yathāvidhi /	taTA sarvAH imAH paQca devatAH-ca yaTAviDi /
   samārādhya samabhyarcya saṃbhajasva sadādarāt // SvayambhuP_8.104 //	samArADya samaByarcya saMBajasva sat-AdarAt // SvayamBuj-_8.104 //
   imaṃ mañjuśrīyaṃścāpi caityamārādhya sarvadā /	imam maQjuSrIyan=-ca-api cEtyam-ArADya sarvadA /
   yathāvidhi samabhyarcya saṃbhajasva mahotsavaiḥ // SvayambhuP_8.105 //	yaTAviDi samaByarcya saMBajasva mahA-utsavEH // SvayamBuj-_8.105 //
   tathāṣṭau vītarāgāṃśca samārādhya yathāvidhi /	taTA-azwO vIta-rAgAn=-ca samArADya yaTAviDi /
   samabhyarcya mahotsāhaiḥ saṃbhajasva sadādarāt // SvayambhuP_8.106 //	samaByarcya mahA-utsAhEH saMBajasva sat-AdarAt // SvayamBuj-_8.106 //
   tathā māheśvarīṃ devī khagānanāṃ samādarāṃ /	taTA mAheSvarIm devI Kaga-AnanAm samAdarAm /
   samārādhya samabhyarcya saṃbhajasva yathāvidhiṃ // SvayambhuP_8.107 //	samArADya samaByarcya saMBajasva yaTAviDim // SvayamBuj-_8.107 //
   ete sarve 'pi devā hi sarvalokādhipeśvarāḥ /	ete sarve api devAH hi sarva-loka-aDipa-ISvarAH /
   sarvasattvahitārthena prādurbhūtāḥ svayaṃ khalu // SvayambhuP_8.108 //	sarva-sattva-hita-arTena prAdurBUtAH svayam Kalu // SvayamBuj-_8.108 //
   tadatraiteṣu deveṣu sarveṣu śraddhayā sadā /	tat-atra-etezu devezu sarvezu SradDayA sadA /
   vidhinā bhajanaṃ kṛtvā saṃcarasva jagaddhite // SvayambhuP_8.109 //	viDinA Bajanam kRtvA saMcarasva jagat-hite // SvayamBuj-_8.109 //
   lokāṃścāpi tathā sarvān bodhayitvā prayatnataḥ /	lokAn=-ca-api taTA sarvAn boDayitvA prayatnataH /
   sarveṣveteṣu tīrtheṣu snānadānādikaṃ sadā // SvayambhuP_8.110 //	sarvezu-etezu tIrTezu snAna-dAna-Adikam sadA // SvayamBuj-_8.110 //
   kārayitvā mahatpuṇyaṃ jagadbhadrasukhārthadaṃ /	kArayitvA mahat-puNyam jagat-Badra-suKa-arTa-dam /
   saṃbuddhaguṇasatsaukhyaṃ cāraya poṣadhaṃ vrataṃ // SvayambhuP_8.111 //	saMbudDa-guNa-sat-sOKyam cAraya pozaDam vratam // SvayamBuj-_8.111 //
   eteṣāṃ ca triratnādidevānāṃ bhajanaṃ sadā /	etezAm ca tri-ratna-Adi-devAnAm Bajanam sadA /
   kārayitvā mahotsāhairbodhimārge pracāraya // SvayambhuP_8.112 //	kArayitvA mahA-utsAhEH-boDi-mArge pracAraya // SvayamBuj-_8.112 //
   tadaitatpuṇyabhāvena sarvatrāpi caracchubhaṃ /	tadA-etat-puNya-BAvena sarvatra-api carat-SuBam /
   tadā sarvamahotpātaṃ sarvatra vilayaṃ vrajet // SvayambhuP_8.113 //	tadA sarva-mahA-utpAtam sarvatra vilayam vrajet // SvayamBuj-_8.113 //
   tadā brahmamarendrādyāḥ sarve lokādhipā api /	tadA brahmamara-indra-AdyAH sarve loka-aDipAH api /
   sudṛśātra samālokya pālayeyuḥ sadā mudā // SvayambhuP_8.114 //	su-dRSA-atra samAlokya pAlayeyuH sadA mudA // SvayamBuj-_8.114 //
   tadā saṃpālite 'smiṃna taiḥ savairlokādhipaiḥ punaḥ /	tadA saMpAlite asmiM-na tEH savErloka-aDipEH punar /
   subhikṣaṃ śrīśubhotsāhaṃ pravarttayeddhi sarvadā // SvayambhuP_8.115 //	suBikzam SrI-SuBa-utsAham pravarttayet-hi sarvadA // SvayamBuj-_8.115 //
   tadā sarbe 'pi lokāśca nīrogāḥ śrīguṇāśrayāḥ /	tadA sarbe api lokAH-ca nIrogAH SrI-guNa-ASrayAH /
   viramya pāpamārgebhyaḥ saṃcareran sadā śubhe // SvayambhuP_8.116 //	viramya pApa-mArgeByaH saMcareran sadA SuBe // SvayamBuj-_8.116 //
   evaṃ dhṛtvā sadā rājan mahāpuṇya prabhāvataḥ /	evam DRtvA sadA rAjan mahA-puNya praBAvataH /
   ante bodhiṃ samāsādya saṃbuddhapadamāpnuyuḥ // SvayambhuP_8.117 //	ante boDim samAsAdya saMbudDa-padam-ApnuyuH // SvayamBuj-_8.117 //
   evaṃ mahattaraṃ puṇyaṃ triratnabhajanād bhavaṃ /	evam mahattaram puNyam tri-ratna-BajanAt Bavam /
   vijñāyādau triratnānāṃ bhajasva śraddhayā smaran // SvayambhuP_8.118 //	vijQAya-AdO tri-ratnAnAm Bajasva SradDayA smaran // SvayamBuj-_8.118 //
   tataḥ sarveṣu tīrtheṣu snātvā śuddhendriyāśayaḥ /	tatas sarvezu tIrTezu snAtvA SudDa-indriya-ASayaH /
   triratnaṃ śaraṇaṃ gatvā bhajasva poṣadhaṃ vrataṃ // SvayambhuP_8.119 //	tri-ratnam SaraNam gatvA Bajasva pozaDam vratam // SvayamBuj-_8.119 //
   tataḥ sarvānimān devān dharmmadhātumukhān sadā /	tatas sarvAn-imAn devAn Darmma-DAtu-muKAn sadA /
   yathāvidhi samārādhya saṃbhajasva samarcayan // SvayambhuP_8.120 //	yaTAviDi samArADya saMBajasva samarcayan // SvayamBuj-_8.120 //
   lokānapi tathā sarvān bodhayitvā prayatnataḥ /	lokAn-api taTA sarvAn boDayitvA prayatnataH /
   sarveṣveteṣu tīrtheṣu snāpayitvā yathāvidhiṃ // SvayambhuP_8.121 //	sarvezu-etezu tIrTezu snApayitvA yaTAviDim // SvayamBuj-_8.121 //
   triratnaśaraṇe sthāpya saṃbodhijñānasādhanaṃ /	tri-ratna-SaraNe sTApya saMboDi-jQAna-sADanam /
   bhadśrīsatguṇādhāraṃ cāraya poṣadhaṃ vrataṃ // SvayambhuP_8.122 //	BadSrI-sat-guNa-ADAram cAraya pozaDam vratam // SvayamBuj-_8.122 //
   eteṣāmapi devānāṃ kārayitvā sadārcanaṃ /	etezAm-api devAnAm kArayitvA sadA-arcanam /
   bodhimārge pratiṣṭhāpya cāraya pālayañchubhe // SvayambhuP_8.123 //	boDi-mArge pratizWApya cAraya pAlayan-SuBe // SvayamBuj-_8.123 //
   evaṃ kṛtvā mahatpuṇyaṃ prāpya śrīsadguṇāśrayaḥ /	evam kRtvA mahat-puNyam prApya SrI-sat-guNa-ASrayaH /
   bodhisattva mahāsattva mahābhijñā bhaveddhruvaṃ // SvayambhuP_8.124 //	boDisattva mahA-sattva mahA-aBijQA Bavet-Druvam // SvayamBuj-_8.124 //
   tataḥ saṃbodhisaṃbhāraṃ pūrayitvā yathākramaṃ /	tatas saMboDi-saMBAram pUrayitvA yaTAkramam /
   arhan bodhiṃ samāsādya saṃbuddhapadamāpnuyāḥ // SvayambhuP_8.125 //	arhan boDim samAsAdya saMbudDa-padam-ApnuyAH // SvayamBuj-_8.125 //
   iti śāntaśriyā śāstā samādiṣṭaṃ niśamya saḥ /	iti SAnta-SriyA SAstA samAdizwam niSamya saH /
   nṛpastatheti vijñapya kartumevaṃ samaicchata // SvayambhuP_8.126 //	nRpaH-taTA-iti vijQapya kartum-evam samEcCata // SvayamBuj-_8.126 //
   tataḥ sa nṛpatiḥ sarvān mantriṇassacivāñjanān /	tatas sa nRpatiH sarvAn mantriNa-ssaciva-aQjanAn /
   paurān mahājanāścāpi samāmantrayaivamādiśat // SvayambhuP_8.127 //	pOrAn mahA-janAH-ca-api samAmantrayA-evam-AdiSat // SvayamBuj-_8.127 //
   bho mantriṇo janāḥ sarve 'mātyāḥ paurā mahājanāḥ /	Bo mantriNaH janAH sarve amAtyAH pOrAH mahAjanAH /
   ācāryena yathādiṣṭaṃ tathā caritumarhatha // SvayambhuP_8.128 //	AcAryena yaTA-Adizwam taTA caritum-arhaTa // SvayamBuj-_8.128 //
   ahamapi tathā dhṛtvā sarvadā bhadrakāraṇaṃ /	aham-api taTA DRtvA sarvadA Badra-kAraNam /
   triratnaśaraṇaṃ kṛtvā vrataṃ caritumutsahe // SvayambhuP_8.129 //	tri-ratna-SaraNam kRtvA vratam caritum-utsahe // SvayamBuj-_8.129 //
   ityādiṣṭaṃ narendreṇa śrutvā te mantriṇo janāḥ /	iti-Adizwam narendreNa SrutvA te mantriNaH janAH /
   paurā mahājanāḥ sarva tatheti pratiśuśruvuḥ // SvayambhuP_8.130 //	pOrAH mahAjanAH sarva taTA-iti pratiSuSruvuH // SvayamBuj-_8.130 //
   tataḥ sa nṛpatiḥ sarveḥ sapurohitamantribhiḥ /	tatas sa nRpatiH sarveH sa-purohita-mantriBiH /
   amātyaiḥsacivaiḥ paurairmahājanaiḥ samanvitaḥ // SvayambhuP_8.131 //	amAtyEH-sacivEH pOrEH-mahA-janEH samanvitaH // SvayamBuj-_8.131 //
   sarveṣveteṣu tīrtheṣu snātvā yathāvidhi kramāt /	sarvezu-etezu tIrTezu snAtvA yaTAviDi kramAt /
   śuddhaśīlaḥ samādhāya prācarat poṣadhaṃ vrataṃ // SvayambhuP_8.132 //	SudDa-SIlaH samADAya prAcarat pozaDam vratam // SvayamBuj-_8.132 //
   tatassa vimalātmāna triratnaśaraṇaṃ gatāḥ /	tatas-sa vimala-AtmAna tri-ratna-SaraNam gatAH /
   dharmadhātuṃ samārādhya samabhyarcyabhijanmudā // SvayambhuP_8.133 //	DarmaDAtum samArADya samaByarcI-aBijat-mudA // SvayamBuj-_8.133 //
   tathā vāyupure vāyudevatāṃśca yathāvidhi /	taTA vAyupure vAyu-devatAn=-ca yaTAviDi /
   agnipure 'gnidevaṃ ca nāgapure phaṇeśvarān // SvayambhuP_8.134 //	agni-pure agni-devam ca nAgapure PaNeSvarAn // SvayamBuj-_8.134 //
   vasupure vasundhārāṃ saddharmmaśrīguṇapradāṃ /	vasupure vasunDArAm sat-Darmma-SrI-guNa-pradAm /
   śāntapure maheśānaṃ sambaraṃ sagaṇaṃ kramāt // SvayambhuP_8.135 //	SAnta-pure maheSAnam sambaram sa-gaNam kramAt // SvayamBuj-_8.135 //
   yathāvidhi samabhyarcya śraddhayā samupāśritaḥ /	yaTAviDi samaByarcya SradDayA samupASritaH /
   tathā mañjuśrī yaścaityaṃ samabhyarcyābhajan sadā // SvayambhuP_8.136 //	taTA maQjuSrI yaH-cEtyam samaByarcya-aBajan sadA // SvayamBuj-_8.136 //
   tathāṣṭau vītarāgāṃśca śrīdevīṃśca khagānanāṃ /	taTA-azwO vIta-rAgAn=-ca SrI-devIn=-ca Kaga-AnanAm /
   yathāvidhi samārādhya samabhyarcyābhajat sadā // SvayambhuP_8.137 //	yaTAviDi samArADya samaByarcya-aBajat sadA // SvayamBuj-_8.137 //
   tathā sarve 'pi lokāste nṛpavṛttānucāriṇaḥ /	taTA sarve api lokAH-te nRpa-vRtta-anucAriNaH /
   snātvā sarveṣu tīrtheṣu śuddhaśīlā samādarāt // SvayambhuP_8.138 //	snAtvA sarvezu tIrTezu SudDa-SIlA samAdarAt // SvayamBuj-_8.138 //
   triratnaśaraṇaṃ kṛtvā carantaḥ poṣadhaṃ vrataṃ /	tri-ratna-SaraNam kRtvA carantaH pozaDam vratam /
   dharmmadhātumukhān sarvān devāṃścābhyarcya prābhajan // SvayambhuP_8.139	Darmma-DAtu-muKAn sarvAn devAn=-ca-aByarcya prABajan // SvayamBuj-_8.139
   tadaitatpuṇyabhāvena sarvatra śubhamācarat /	tadA-etat-puNya-BAvena sarvatra SuBam-Acarat /
   tataḥ sarva mahotpātaṃ krameṇa praśamaṃ yayau // SvayambhuP_8.140 //	tatas sarva mahA-utpAtam krameNa praSamam yayO // SvayamBuj-_8.140 //
   tadā sarve 'pi te lokā nīrogāḥ puṣṭitendriyāḥ /	tadA sarve api te lokAH nIrogAH puzwita-indriyAH /
   mahānandaṃ sukhaṃ prāpya babhūvu dharmmalālasāḥ // SvayambhuP_8.141 //	mahAnandam suKam prApya baBUvu Darmma-lAlasAH // SvayamBuj-_8.141 //
   tad dṛṣṭvā na nṛpo rājā pratyakṣaṃ dharmasatphalaṃ /	tat dRzwvA na nRpaH rAjA pratyakzam Darma-sat-Palam /
   aho saddharmamāhātmyamityuktvā nanditācarat // SvayambhuP_8.142 //	aho sadDarma-mAhAtmyam-iti-uktvA nandita-Acarat // SvayamBuj-_8.142 //
   tadā suvṛṣṭirevātra na babhūva kathaṃcana /	tadA su-vRzwiH-eva-atra na baBUva kaTaMcana /
   tad dṛṣṭvā na nṛpaścāsīd durbhikṣaśaṃkitāśayaḥ // SvayambhuP_8.143 //	tat dRzwvA na nRpaH-ca-AsIt durBikza-SaMkita-ASayaH // SvayamBuj-_8.143 //
   tataḥ sa karuṇāviṣṭahṛdayaḥ sa nṛpaḥ punaḥ /	tatas sa karuNA-Avizwa-hRdayaH sa nRpaH punar /
   śāntaśriyaṃ tamācārya natvaiva prāha sāñjaliḥ // SvayambhuP_8.144 //	SAnta-Sriyam tam-AcArya natvA-eva prAha sa-aQjaliH // SvayamBuj-_8.144 //
   ācārya kṛpayā te 'tra carate śubhatādhunā /	AcArya kRpayA te atra carate SuBa-tA-aDunA /
   sarvadāpi mahotpātaṃ saṃśāmyata samantataḥ // SvayambhuP_8.145 //	sarvadA-api mahA-utpAtam saMSAmyata samantataH // SvayamBuj-_8.145 //
   suvṛṣṭireva nādyāpi pravarttate kathaṃcana /	su-vRzwiH-eva na-adya-api pravarttate kaTaMcana /
   suvṛṣṭikaraṇopāyaṃ tat samādeṣṭumarhati // SvayambhuP_8.146 //	su-vRzwi-karaNa-upAyam tat samAdezwum-arhati // SvayamBuj-_8.146 //
   iti saṃprārthitaṃ rājñā śrutvācāryaḥ sa satmatiḥ /	iti saMprArTitam rAjQA SrutvA-AcAryaH sa satmatiH /
   nṛpatiṃ taṃ mahāsattvaṃ saṃpaśyannevamabravīt // SvayambhuP_8.147 //	nRpatim tam mahAsattvam saMpaSyan=-evam-abravIt // SvayamBuj-_8.147 //
   sādhu rājañchṛṇuṣvātra sadā subhikṣakāraṇaṃ /	sADu rAjan-SRNuzva-atra sadA suBikza-kAraNam /
   suvṛṣṭikaraṇopāyamupadekṣyāmi sāṃprataṃ // SvayambhuP_8.148 //	su-vRzwi-karaNa-upAyam-upadekzyAmi sAMpratam // SvayamBuj-_8.148 //
   likhitvā maṇḍalaṃ nāgarājānāṃ yadyathāvidhi /	liKitvA maNxalam nAga-rAjAnAm yat-yaTAviDi /
   tatra nāgādhipān sarvānāvāhyārādhayevahi // SvayambhuP_8.149 //	tatra nAga-aDipAn sarvAn-AvAhya-ArADayevahi // SvayamBuj-_8.149 //
