   // atha prathama ullāsaḥ //	// aTa praTamaH ullAsaH //
   vairāgyādiva vakṣi sādhu viditaṃ kasmādidaṃ kathyate /	vErAgyAt-iva vakzi sADu viditam kasmAt-idam kaTyate /
   vāmenātra vaṭastamadhvagajanaḥ sarvātmanā sevate na cchāyāpi	vAmena-atra vawaH-tam-aDva-gajanaH sarva-AtmanA sevate na cCAyA-api
   paropakārakaraṇe mārgasthitasyāpi me // 447 //	para-upakAra-karaNe mArga-sTitasya-api me // 447 //
   kvacidaṃśeṣvadhyāropeṇa /	kvacid-aMSezu-aDyAropeNa /
   yathā so 'pūrvo rasanāviparyayavidhiḥ tat karṇayośvāpalaṃ dṛṣṭiḥ sā	yaTA saH apUrvaH rasanA-viparyaya-viDiH tat karNayA-uSvA-palam dRzwiH sA
   madavismṛtasvaparadik kiṃ bhūyakoktena vā /	mada-vismRta-sva-para-diS kim BUyakA-uktena vA /
   sarvaṃ vismṛtavānasi bhramara he yadvāraṇo 'dyāpyasau antaḥśūnyakaro	sarvam vismRtavAn-asi Bramara he yat-vAraNaH adya-api-asO antar-SUnya-karaH-
   niṣevyata iti bhrātaḥ ka eṣa grahaḥ // 448 //	nizevyate iti BrAtar kaH eza grahaH // 448 //
   atra rasanāviparyāsaḥ śūnyakaratvaṃ ca bhramarasyāsevane na hetuḥ	atra rasanA-viparyAsaH SUnya-kara-tvam ca Bramarasya-Asevane na hetuH
   karṇacāpalaṃ tu hetuḥ, madaḥ pratyuta sevane nimittam //	karNa-cApalam tu hetuH, madaH pratyuta sevane nimittam //
   (sū- 153)	(sU 153)
   nigīryādhyavasānaṃ tu prakṛtasya pareṇa yat /	nigIrya-aDyavasAnam tu prakRtasya pareNa yat /
   prastutasya yadanyatvaṃ yadyarthoktau ca kalpanam //100//	prastutasya yat-anya-tvam yadi-arTa-uktO ca kalpanam //100//
   kāryakāraṇayoryaśva paurvāparyaviparyayaḥ /	kArya-kAraNayoH-yaSva pOrvAparya-viparyayaH /
   vijñeyātiśayoktiḥ sā	vijQeyA-atiSaya-uktiH sA
   upamānenāntarnigīrṇasyopameyasya yadadhyavasānaṃ saikā /	upamAnena-antar-nigIrNasya-upameyasya yat-aDyavasAnam sA-ekA /
   yathā kamalamanambhasi kamale ca kuvalaye tāni kanakalatikāyām /	yaTA kamalam-anamBasi kamale ca kuvalaye tAni kanakalatikAyAm /
   sā ca sukumārasubhagetyutpātaparaṃparāṃ keyam // 449 //	sA ca sukumAra-suBagA-iti-utpAta-paraMparAm kA-iyam // 449 //
   atra mukhādi kamalādirūpatayādhyavasitam /	atra muKa-Adi kamala-Adi-rUpa-tayA-aDyavasitam /
   yacca tadevānyatvenādhyavasīyate sā, aparā /	yat-ca tat-eva-anya-tvena-aDyavasIyate sA, aparA /
   yathā aṇṇaṃ laḍahattaṇaaṃ aṇṇā via kā vi vattaṇacchāā /	yaTA aNNam laxa-hat-taNaam aNNA via kA vi vattaNa=-CAAH /
   sāmā sāmaṇṇapaāvaiṇo reha ccia ṇa hoī // 450 //	sAmA sAmaNNa-paAva-eNaH reha ccia Na hoI // 450 //
   "yadyarthasya'; yadiśabdena cecchabdena vā, uktau yat kalpanam (arthāt	"yadi-arTasya-a; yadi-Sabdena ced-Sabdena vA, uktO yat kalpanam (arTAt-
   asaṃbhavino 'rthasya) sā tṛtīyā /	asaMBavinaH arTasya) sA tRtIyA /
   yathā rākāyāmakalaṅkaṃ cedamṛtāṃśorbhavedvapuḥ /	yaTA rAkAyAm-akalaFkam ced-amRta-aMSoH-Bavet-vapuH /
   tasyā mukhaṃ tadā sāmyaparābavamavāpnuyāt // 451 //	tasyAH muKam tadA sAmya-parAbavam-avApnuyAt // 451 //
   kāraṇasya śīghrakāritāṃ vaktuṃ kāryasya pūrvamuktau caturthī /	kAraNasya SIGra-kAritAm vaktum kAryasya pUrvam-uktO caturTI /
   yathā hṛdayamadhiṣṭhitamādau mālatyāḥ kusumacāpabāṇena /	yaTA hRdayam-aDizWitam-AdO mAlatyAH kusuma-cApa-bANena /
   caramaṃ ramaṇīvallabha locanaviṣayaṃ tvayā bhajatā // 452 //	caramam ramaNI-vallaBa locana-vizayam tvayA BajatA // 452 //
   (sū- 154)	(sU 154)
   prativastūpamā tu sā //101//	prativastu-upamA tu sA //101//
   sāmānyasya dvirekasya yatra vākyadvaye sthitiḥ /	sAmAnyasya dvirekasya yatra vAkya-dvaye sTitiH /
   sādhāraṇo dharmaḥ, upameyavākye, upamānavākye ca kathitapadasya	sADAraNaH DarmaH, upameya-vAkye, upamAna-vAkye ca kaTita-padasya
   duṣṭatayābhihitatvāt śabdabhedena yat upādīyate sā vastuno	duzwa-tayA-aBihita-tvAt Sabda-Bedena yat upAdIyate sA vastunaH-
   vākyārthasyopamānatvāt prativastūpamā /	vAkya-arTasya-upamAna-tvAt prativastU-pamA /
   yathā devībhāvaṃ gamitā parivārapadaṃ kathaṃ bhajatveṣā /	yaTA devI-BAvam gamitA parivAra-padam kaTam Bajatu-ezA /
   na khalu paribhogayogyaṃ daivatarūpāṅkitaṃ ratnam // 453 //	na Kalu pariBoga-yogyam dEvata-rUpa-aFkitam ratnam // 453 //
   yadi dahatyanalo 'tra kimadbhutaṃ yadi ca gauravamadriṣu kiṃ tataḥ /	yadi dahati-analaH atra kim-adButam yadi ca gOravam-adrizu kim tatas /
   lavaṇamambu sadaiva mahodadheḥ prakṛtireva satāmaviṣāditā // 454 //	lavaNam-ambu sadA-eva mahA-udaDeH prakRtiH-eva satAm-avizAditA // 454 //
   ityādikā mālāprativastūpamā draṣṭavyā /	iti-AdikA mAlA-prativastu-upamA drazwavyA /
   evamanyatrāpyanusartavyam //	evam-anyatra-api-anusartavyam //
   (sū- 155)	(sU 155)
   dṛṣṭāntaḥ punareteṣāṃ sarveṣāṃ pratibimbanam //102//	dRzwAntaH punar-etezAm sarvezAm pratibimbanam //102//
   eteṣāṃ sādhāraṇadharmādīnāma dṛṣṭo 'ntaḥ niśvayo yatra sa dṛṣṭāntaḥ /	etezAm sADAraNa-Darma-AdI-nAma dRzwaH antar niSvayaH yatra sa dRzwAntaH /
   tvayi dṛṣṭa eva tasyā nirvāti mano manobhavajvalitam /	tvayi dRzwaH eva tasyAH nirvAti manaH manoBava-jvalitam /
   āloke hi himāṃsorvikasati kusumaṃ kumuddhatyāḥ // 455 //	Aloke hi himAMsoH-vikasati kusumam kumudDatyAH // 455 //
   eṣa sādharmyeṇa /	eza sADarmyeNa /
   vaidharmyeṇa tu tavāhave sāhasakarmaśarmaṇaḥ karaṃ kṛpāṇāntikamāninīṣataḥ	vEDarmyeNa tu tava-Ahave sAhasa-karma-SarmaNaH karam kRpANa-antikam-AninIzataH
   bhaṭāḥ pareṣāṃ viśarārutāmaguḥ, dadhatyavāte sthiratāṃ hi pāṃsavaḥ // 456	BawAH parezAm viSarAru-tAmaguH, daDati-avAte sTira-tAm hi pAMsavaH // 456
   (sū- 156)	(sU 156)
   sakṛdvṛttistu dharmasya prakṛtāprakṛtātmanām /	sakRt-vRttiH-tu Darmasya prakRta-aprakRta-AtmanAm /
   saiva kriyāsu bahvīṣu kārakasyeti dīpakam //103//	sA-eva kriyAsu bahvIzu kArakasya-iti dIpakam //103//
   prākaraṇikāprākaraṇikānāma arthāt upamānopameyānām dharmaḥ kriyādiḥ,	prAkaraNikA-prAkaraNikA-nAma arTAt upamAna-upameyAnAm DarmaH kriyA-AdiH,
   ekavārameva yat upādīyate tat ekasthasyaiva samastavākyadīpanāt dīpakam /	eka-vAram-eva yat upAdIyate tat ekasTasya-eva samasta-vAkya-dIpanAt dIpakam /
   yathā kivaṇāṇaṃ dhaṇaṃ ṇāāṇaṃ phaṇamaṇī keśarāiṃ sīhāṇaṃ /	yaTA kivaNANam DaNam NAANam PaNa-maNI keSarAim sIhANam /
   kulabāliāṇaṃ tthaṇaā kutto cippanti amuāṇaṃ // 457 //	kula-bAliANam tTaNaA kuttas cippanti amuANam // 457 //
   kārakasya ca bahvīṣu kriyāsu sakṛdvṛttirdīpakam /	kArakasya ca bahvIzu kriyAsu sakRt-vRttiH-dIpakam /
   yathā svidyati kūṇati vellati vicalati nimiṣati vilokayati tiryak /	yaTA svidyati kUNati vellati vicalati nimizati vilokayati tiryak /
   antarnandati cumbitumicchati navapariṇayā vadhūḥ śayane // 458 //	antar-nandati cumbitum-icCati nava-pariNayA vaDUH Sayane // 458 //
   (sū- 157)	(sU 157)
   mālādīpakamādyaṃ cedyathottaraguṇāvaham /	mAlAdIpakam-Adyam ced-yaTA-uttara-guNa-Avaham /
   pūveṃṇa pūrveṇa vastunā, uttaramuttaraṃ cedupakriyate tat mālādīpakam /	pUveMNa pUrveNa vastunA, uttaram-uttaram ced-upakriyate tat mAlAdIpakam /
   yathā saṃgrāmāṅgaṇamāgatena bhavatā cāpe samāropite devākarṇaya yena yena	yaTA saMgrAma-aFgaNam-Agatena BavatA cApe samAropite deva-AkarNaya yena yena
   sahasā yadyatsamāsāditam /	sahasA yat-yat-samAsAditam /
   kodaṇḍena śarāḥ śarairariśirastenāpi bhūmaṇḍalaṃ tena tvaṃ bhavatā ca	kodaNxena SarAH SarEH-ari-SiraH-tena-api BU-maNxalam tena tvam BavatA ca
   kīrtiratulā kīrtyā ca lokatraḍalaṃ tena tvaṃ bhavatā ca kīrtiratulā kīrtyā	kIrtiH-atulA kIrtyA ca lokatraxalam tena tvam BavatA ca kIrtiH-atulA kIrtyA
   ca lokatrayam // 459 //	ca lokatrayam // 459 //
   (sū- 158)	(sU 158)
   niyatānāṃ sakṛddharmaḥ sā punastulyayogitā //104//	niyatAnAm sakRt-DarmaH sA punar-tulyayogitAH //104//
   niyatānāṃ prākaraṇikānāmeva aprākaraṇikānāmeva vā /	niyatAnAm prAkaraNikAnAm-eva aprAkaraNikAnAm-eva vA /
   krameṇodāharaṇam-- pāṇḍu kṣāmaṃ vadanaṃ hṛdayaṃ sarasaṃ tavālasaṃ ca vapuḥ	krameNa-udAharaNam- pANxu kzAmam vadanam hRdayam sarasam tava-alasam ca vapuH
   āvedayati nitāntaṃ kṣetriyarogaṃ sakhi hṛdantaḥ // 460 //	Avedayati nitAntam kzetriya-rogam saKi hRdantaH // 460 //
   kumudakamalanīlanīrajālirlalitavilāsajuṣorddaśoḥ puraḥ kā /	kumuda-kamala-nIla-nIraja-aliH-lalita-vilAsa-juzaH-H-ddaSoH puras kA /
   amṛtamamṛtaraśmirambujanma pratihatamekapade tavānanasya // 461 //	amRtam-amRta-raSmiH-ambujanma pratihatam-eka-pade tava-Ananasya // 461 //
   (sū- 159)	(sU 159)
   upamānādyadanyasya vyatirekaḥ sa eva saḥ /	upamAnAt-yat-anyasya vyatirekaH saH eva saH /
   anyasyopameyasya vyatireka ādhikyam /	anyasya-upameyasya vyatirekaH ADikyam /
   kṣīṇaḥ kṣīṇo 'pi śaśī bhūyo bhūyo 'bhivardhate satyam /	kzINaH kzINaH api SaSI BUyas BUyas aBivarDate satyam /
   virama prasīda sundari yauvanamanivarti yātaṃ tu // 462 //	virama prasIda sundari yOvanam-anivarti yAtam tu // 462 //
   ityādānupamānasyopameyādādhikyamiti kenaciduktam tadayuktam atra	iti-Ada-anupamAnasya-upameyAt-ADikyam-iti kenacid-uktam tat-ayuktam atra
   yauvanagatāsthairyādhikyaṃ hi vivakṣitam /	yOvana-gatA-sTErya-ADikyam hi vivakzitam /
   (sū- 160)	(sU 160)
   hetvoruktāvanuktīnāṃ traye sāmye nivedite //105//	hetvoruktO=-anuktInAm traye sAmye nivedite //105//
   śabdārthābyāmathākṣipte śliṣṭe tadvattriraṣṭa tat /	Sabda-arTAbyAm-aTa-Akzipte Slizwe tadvat-tris-azwa tat /
   vyatirekasya hetuḥ, upameyagatamutkarṣanimittam	vyatirekasya hetuH, upameya-gatam-utkarza-nimittam
   upamānagatamapakarṣakāraṇam tayordvayoruktiḥ, ekatarasya dvayorvā,	upamAna-gatam-apakarza-kAraNam tayoH-dvayoH-uktiH, ekatarasya dvayoH-vA,
   anuktirityanuktitrayam etadbhedacatuṣṭayamupamānopameyabhāve śabdena	anuktiH-iti-anukti-trayam etad-Beda-catuzwayam-upamAna-upameya-BAve Sabdena
   pratipādite, ārthena ca krameṇoktāśvatvāra eva bhedāḥ, ākṣipte caupamye	pratipAdite, ArTena ca krameNa-ukta-aSva-tvAraH eva BedAH, Akzipte ca-Opamye
   tāvanta eva, evaṃ dvādaśa /	tAvantaH eva, evam dvAdaSa /
   ete śleṣe 'pi bhavantīti caturviṃśatirbhedāḥ /	ete Sleze api Bavanti-iti caturviMSatiH-BedAH /
   krameṇodāharaṇam-- asimātrasahāyasya prabhūtāriparābhave /	krameNa-udAharaNam- asimAtra-sahAyasya praBUta-ari-parABave /
   anyatucchajanasyeva na smayo 'sya mahādhṛteḥ // 463 //	anya-tucCa-janasya-iva na smayaH asya mahA-DRteH // 463 //
   atraiva tuccheti mahādhṛterityanayoḥ paryāyeṇa yugapadvānupādāne 'nyat	atra-eva tucCA-iti mahADRteH-iti-anayoH paryAyeNa yugapadva-an-upAdAne anyat-
   bhedatrayam /	Beda-trayam /
   evamanyeṣvapi draṣṭavyam /	evam-anyezu-api drazwavyam /
   atra, ivāśabdasya sadbhāvācchābdamaupamyam /	atra, iva-aSabdasya sadBAva-acSAbdam-Opamyam /
   asimātrasahāyo 'pi prabhūtāriparābhave /	asi-mAtra-sahAyaH api praBUta-ari-parABave /
   naivānyatucchajanavatsagarvo 'yaṃ mahādhṛtiḥ // 464 //	na-eva-anya-tucCa-jana-vat-sagarvaH ayam mahADRtiH // 464 //
   atra tulyārthe vatirityārthamaupamyam /	atra tulya-arTe vatiritya-arTam-Opamyam /
   iyaṃ sunayanā dāsīkṛtatāmarasaśriyā /	iyam su-nayanA dAsIkRta-tAmarasa-SriyA /
   ānanenākalaṅkena jayatīnduṃ kalaṅkinam // 465 //	Ananena-akalaFkena jayati-indum kalaFkinam // 465 //
   atrevāditulyādipadaviraheṇa, ākṣiptaivopamā /	atra-iva-Adi-tulya-Adi-pada-viraheNa, AkziptA-eva-upamA /
   jitendriyatayā samyagvidyāvṛddhaniṣeviṇaḥ /	jita-indriya-tayA samyak-vidyA-vRdDa-nizeviNaH /
   atigāḍhaguṇasyāsya nābjavadbhaṅgurā guṇāḥ // 466 //	ati-gAXa-guNasya-asya na-abja-vat-BaFgurAH guNAH // 466 //
   atrevārthe vatiḥ, guṇaśabdaḥ śliṣṭaḥ śābdamaupamyam /	atra-iva-arTe vatiH, guNa-SabdaH SlizwaH SAbdam-Opamyam /
   akhaṇḍamaṇḍalaḥ śrīmān paśyaiṣa pṛthivīpatiḥ /	aKaNxa-maNxalaH SrImAn paSya-eza pRTivIpatiH /
   na niśākaravajjātu kalāvaikalyamāgataḥ // 467 //	na niSAkara-vat-jAtu kalA-vEkalyam-AgataH // 467 //
   a6 tulyārthe vatiḥ kalāśabdaḥ śliṣṭaḥ /	a6 tulya-arTe vatiH kalA-SabdaH SlizwaH /
   mālāpratikastūpamāvat mālāvyatireko 'pi saṃbhavati /	mAlA-pratikastu-upamA-vat mAlA-vI-atiH-ekaH api saMBavati /
   tasyāpi bhedā evamūhyāḥ /	tasya-api BedAH evam-UhyAH /
   diṅbhātramudāhviyate /	diFBAtram-udAhviyate /
   yathā haravanna viṣamadṛṣṭirharivanna vibho vidhūtavitatavṛṣaḥ /	yaTA hara-vat-na vizama-dRzwiH-hari-vat-na viBo viDUta-vitata-vRzaH /
   ravivanna cātiduḥsahakaratāpitabhūḥ kadācidasi // 468 //	ravi-vat-na ca-ati-duHsaha-kara-tApita-BUH kadAcid-asi // 468 //
   atra tulyārthe vatiḥ viṣamādayaśva śabdāḥ śliṣṭāḥ /	atra tulya-arTe vatiH vizamAt-ayaSva SabdAH SlizwAH /
   nityoditapratāpena triyāmāmīlitaprabhaḥ /	nitya-udita-pratApena triyAma-AmIlita-praBaH /
   bhāsvatānena bhūpena bhāsvāneṣa vinirjitaḥ // 469 //	BAsvatA-anena BUpena BAsvAn-eza vinirjitaH // 469 //
   atra hyākṣiptaivopamā bhāsvateti śliṣṭaḥ /	atra hi-AkziptA-eva-upamA BAsvata-iti SlizwaH /
   yathā vā svacchātmatāguṇasamullasitendubimbaṃ	yaTA vA svacCa-Atma-tA-guNa-samullasita-indu-bimbam
   bimbaprabhādharamakṛtrimahṛdyagandham /	bimba-praBA-Daram-akRtrima-hRdyaganDam /
   yūnāmatīva pibatāṃ rajanīṣu yatra tṛṣṇāṃ jahāra madhu nānanamaṅganānām //	yUnAm-atIva pibatAm rajanIzu yatra tRzNAm jahAra maDu na-Ananam-aFganAnAm //
   atrevādīnāṃ tulyādīnāṃ ca padānāmabhāve 'pi śliṣṭaviśeṣaṇairākṣiptaivopamā	atra-iva-AdInAm tulya-AdInAm ca padAnAm-aBAve api Slizwa-viSezaNEH-AkziptA-eva-upamA
   pratīyate /	pratIyate /
   evaṃjātīyakāḥ śliṣṭoktiyogyasya padasya pṛthagupādāne 'nye 'pi bhedāḥ	evaMjAtIyakAH Slizwa-ukti-yogyasya padasya pRTak-upAdAne anye api BedAH
   saṃbhavanti /	saMBavanti /
   te 'pi, anayaiva diśā draṣṭavyāḥ //	te api, anayA-eva diSAH drazwavyAH //
   (sū- 161)	(sU 161)
   niṣedho vaktumiṣṭasya yo viśeṣābhidhitsayā //106//	nizeDaH vaktum-izwasya yaH viSeza-aBiDitsayA //106//
   vakṣyamāṇoktaviṣayaḥ sa ākṣepo dvidhā mataḥ /	vakzyamANa-ukta-vizayaH saH AkzepaH dviDA mataH /
   vivakṣitasya prākaraṇikatvādanupasarjanīkāryasya,	vivakzitasya prAkaraNika-tvAt-anupasarjanI-kAryasya,
   aśakyavaktavyatvamatiprasiddhatvaṃ vā viśeṣaṃ vaktuṃ niṣedho niṣedha iva	aSakya-vaktavya-tvam-ati-prasidDa-tvam vA viSezam vaktum nizeDaH nizeDaH iva
   yaḥ sa vakṣyamāṇaviṣaya uktaviṣayaśveti dvidhā, ākṣepaḥ /	yaH sa vakzyamANa-vizayaH ukta-vizayaSvA-iti dviDA, AkzepaH /
   krameṇodāharaṇam-- e ehi kiṃpi kīevi kaeṇa ṇikviva bhaṇāmi alamaha vā /	krameNa-udAharaNam- e ehi kiMpi kIevi kaeNa Niku-iva BaNAmi alam-aha vA /
   aviāriakajjārambhaāriṇī marau ṇa bhaṇissaṃ // 471 //	aviAria-kajja-AramBaAriNI marO Na BaNissam // 471 //
   jyotsnā mauktikadāma candanarasaḥ śītāṃśukāntadravaḥ karpūraṃ kadalī	jyotsnA mOktika-dAma candana-rasaH SItAMSu-kAnta-dravaH karpUram kadalI
   mṛṇālavalayānyambhojinīpallavāḥ /	mRNAla-valayAni-amBojinI-pallavAH /
   anyarmānasamāstvayā prabhavatā tasyāḥ sphuliṅgotkara- vyāpārāya bhavanti	anyarmAnasamAH-tvayA praBavatA tasyAH sPuliFga-utkara vyApArAya Bavanti
   inta hanta kimanenoktena na brūmahe // 472 //	inta hanta kim-anena-uktena na brUmahe // 472 //
   (sū- 162)	(sU 162)
   kriyāyāḥ pratiṣedhe 'pi phalavyaktirvibhāvanā //107//	kriyAyAH pratizeDe api Pala-vyaktiH-viBAvanA //107//
   heturūpakriyāyāḥ, niṣedhe 'pi tatphalaprakāśanaṃ vibhāvanā /	hetu-rUpa-kriyAyAH, nizeDe api tad-Pala-prakASanam viBAvanA /
   yathā kusumitalatābhirahatāpyadhatta rujamalikulairadaṣṭāpi /	yaTA kusumita-latABiH-ahatA-api-aDatta rujam-ali-kulEH-adazwA-api /
   parivartate sma nalinīlaharībhiralolitāpyaghūrṇata sā // 473 //	parivartate sma nalinIla-harIBiH-alolitA-api-aGUrNata sA // 473 //
   (sū- 163)	(sU 163)
   viśeṣoktirakhaṇḍeṣu kāraṇeṣu phalāvacaḥ /	viSeza-uktiH-aKaNxezu kAraNezu Pala-avacaH /
   militeṣvapi kāraṇeṣu kāryasyākathanaṃ viśeṣoktiḥ /	militezu-api kAraNezu kAryasya-akaTanam viSeza-uktiH /
   anuktanimittā, uktanimittā, acintyanimittā ca /	anukta-nimittA, ukta-nimittA, acintya-nimittA ca /
   krameṇodārahaṇam-- nidrānivṛttāvudite dyuratne sakhījane dvārapadaṃ	krameNa-udAra-haNam- nidrA-nivRttO=-udite dyuratne saKI-jane dvAra-padam
   parāpte /	para-Apte /
   ślathīkṛtāśleṣarase bhujaṅge cacāla nāliṅganato 'ṅganā sā // 474 //	SlaTIkRta-ASleza-rase BujaFge cacAla na-AliFganataH aFganA sA // 474 //
   karpūra iva dagdho 'pi śaktimān yo jane jane /	karpUraH iva dagDaH api SaktimAn yaH jane jane /
   namo 'stvavāryavīryāya tasmai makaraketave // 475 //	namaH astu-avArya-vIryAya tasmE makara-ketave // 475 //
   sa ekastrīṇi jayati jaganti kusumāyudhaḥ /	saH ekaH-trINi jayati jaganti kusumAyuDaH /
   haratāpi tanuṃ yasya śaṃbhunā na balaṃ hṛtam // 476 //	haratA-api tanum yasya SaMBunA na balam hRtam // 476 //
   (sū- 164)	(sU 164)
   yathāsaṃkhyaṃ krameṇaiva kramikāṇāṃ samanvayaḥ //108//	yaTAsaMKyam krameNa-eva kramikANAm samanvayaH //108//
   yathā ekastridhā vasasi cetasi citramatra deva dviṣāṃ ca viduṣāṃ ca	yaTA ekaH-triDA vasasi cetasi citram-atra deva dvizAm ca viduzAm ca
   mṛgīdṛśāṃ ca /	mRgI-dRSAm ca /
   tāpaṃ ca saṃmadarasaṃ ca ratiṃ ca puṣṇan śauryoṣmaṇā ca vinayena ca līlayā	tApam ca saMmada-rasam ca ratim ca puzNan SOrya-UzmaNA ca vinayena ca lIlayA
   ca // 477 //	ca // 477 //
   (sū- 165)	(sU 165)
   sāmānyaṃ vā viśeṣo vā tadanyena samarthyate /	sAmAnyam vA viSezaH vA tad-anyena samarTyate /
   yattu so 'rthāntaranyāsaḥ sādharmyeṇetareṇa vā //109//	yat-tu saH arTa-antaranyAsaH sADarmyeNa-itareNa vA //109//
   sādharmyeṇa vaidharmyeṇa vā sāmānyaṃ viśeṣeṇa yat samarthyate viśeṣo vā	sADarmyeNa vEDarmyeNa vA sAmAnyam viSezeNa yat samarTyate viSezaH vA
   sāmānyena so 'rthāntaranyāsaḥ /	sAmAnyena saH arTa-antaranyAsaH /
   krameṇodāhaṇam-- nijadoṣāvṛtamanasāmatisundarameva bhāti viparītam /	krameNa-udAhaNam- nija-doza-AvRta-manasAm-ati-sundaram-eva BAti viparItam /
   paśyati pittopahataḥ śaśiśubhraṃ śaṅkhamapi pītam // 478 //	paSyati pitta-upahataH SaSi-SuBram SaFKam-api pItam // 478 //
   susitavasanālaṃkārāyāṃ kadācana kaumudī- mahasi sudṛśi svairaṃ yāntyāṃ	susita-vasana-alaMkArAyAm kadAcana kOmudI mahasi su-dRSi svEram yAntyAm
   gato 'stamabhūdvidhuḥ /	gataH astam-aBUt-viDuH /
   tadanu bhavataḥ kīrtiḥ kenāpyagīyata yena sā priyagṛhamagānmuktāśaṅkā kva	tadanu BavataH kIrtiH kena-api-agIyata yena sA priya-gRham-agAt-muktA-SaFkA kva
   nāsi śubhapradaḥ // 479 //	na-asi SuBa-pradaH // 479 //
   guṇānāmeva daurātmyāt dhuri dhuryo niyujyate /	guNAnAm-eva dOrAtmyAt Duri DuryaH niyujyate /
   asaṃjātakiṇaskandhaḥ sukhaṃ svapiti gaurgaliḥ // 480 //	asaMjAta-kiNa-skanDaH suKam svapiti gOH-galiH // 480 //
   aho hi me bahvaparāddhamāyuṣā yadapriyaṃ vācyamidaṃ mayedṛśam /	aho hi me bahu-aparAdDam-AyuzA yat-apriyam vAcyam-idam mayA-IdRSam /
   ta eva dhanyāḥ suhṛdaḥ parābhavaṃ jagatyadṛṣṭvaiva hi ye kṣayaṃ gatāḥ //	te eva DanyAH suhRdaH parABavam jagati-adRzwvA-eva hi ye kzayam gatAH //
   (sū- 166)	(sU 166)
   virodhaḥ so 'virodhe 'pi viruddhatvena yadvacaḥ /	viroDaH saH aviroDe api virudDa-tvena yat-vacaH /
   vastuvṛttenāvirodhe 'pi viruddhayoriva yadabhidhānaṃ sa virodhaḥ /	vastu-vRttena-aviroDe api virudDayoH-iva yat-aBiDAnam sa viroDaH /
   (sū- 167)	(sU 167)
   jātiśvaturbhirjātyādyairviruddhā syādguṇastribhiḥ //110//	jAti-SvaturBiH-jAti-AdyEH-virudDA syAt-guNaH-triBiH //110//
   kriyā dvābhyāmapi dravyaṃ dravyeṇaiveti te daśa /	kriyA dvAByAm-api dravyam dravyeNa-eva-iti te daSa /
   krameṇodāharaṇam-- abhinavanalinīkisalayamṛṇālavalayādi davadahanarāśiḥ /	krameNa-udAharaNam- aBinava-nalinI-kisalaya-mRNAla-valaya-Adi dava-dahana-rASiH /
   subhaga kuraṅgadṛśo 'syā vidhivaśatastvadviyogapavipāte // 482 //	suBaga kuraFga-dRSaH asyAH viDivaSataH-tvad-viyogapavipAte // 482 //
   girayo 'pyanunnatiyujo marudapyacalo 'bdhayo 'pyagambhīrāḥ /	girayaH api-anunnati-yujaH marut-api-acalaH abDayaH api-agamBIrAH /
   viśvaṃbharāpyatilaghurnaranātha tavāntike niyatam // 483 //	viSvaMBara-api-ati-laGurnara-nATa tava-antike niyatam // 483 //
   yeṣāṃ kaṇṭhaparigrahapraṇayitāṃ saṃprāpya dhārādhara- stīkṣṇaḥ so	yezAm kaNWa-parigraha-praNayitAm saMprApya DArADara stIkzNaH saH-
   'pyanurajyate ca kamapi snehaṃ parāpnoti ca /	api-anurajyate ca kam-api sneham parApnoti ca /
   teṣāṃ saṃgarasahgasaktamanasāṃ rājñāṃ tvayā bhūpate pāṃsūnāṃ paṭalaiḥ	tezAm saMgara-sahga-sakta-manasAm rAjQAm tvayA BUpate pAMsUnAm pawalEH
   praśādhanavidhirnirvartyate kautukam // 484 //	praSADana-viDiH-nirvartyate kOtukam // 484 //
   sṛjati ca jagadidamavati ca saṃharati ca helayaiva yo niyatam /	sRjati ca jagat-idam-avati ca saMharati ca helayA-eva yaH niyatam /
   avasaravaśataḥ śapharo janārdanaḥ so 'pi citramidam // 485 //	avasara-vaSataH SaParaH janArdanaH saH api citram-idam // 485 //
   satataṃ musalāsaktā bahutaragṛhakarmaghaṭanayā nṛpate /	satatam musala-AsaktAH bahutara-gRha-karma-GawanayA nRpate /
   dvijapatnīnāṃ paṭhināḥ sati bhavati karāḥ sarojasukumārāḥ // 486 //	dvija-patnInAm paWinAH sati Bavati karAH saroja-sukumArAH // 486 //
   peśalamapi khalavacanaṃ dahatitarāṃ mānasaṃ satacvavidām /	peSalam-api Kala-vacanam dahatitarAm mAnasam satacu-avidAm /
   paruṣamaṣi sujanavākyaṃ malayajarasavat pramodayati // 487 //	paruzam-azi su-jana-vAkyam malayaja-rasa-vat pramodayati // 487 //
   krauñcādriruddāmadṛṣaddṛḍho 'sau yanmārgaṇānargalaśātapāte /	krOQca-adriH-uddAma-dRzad-dRXaH asO yat-mArgaNAnargala-SAta-pAte /
   abhūnnavāmbhojadalābhijātaḥ sa bhārgavaḥ satyamapūrvasargaḥ // 488 //	aBUt-nava-amBoja-dala-aBijAtaH sa BArgavaH satyam-apUrva-sargaH // 488 //
   paricchedātītaḥ sakalavacanānāmaviṣayaḥ punarjanmanyasminnanubhavapathaṃ	paricCeda-atItaH sakala-vacanAnAm-avizayaH punarjanmani-asmin=-anuBava-paTam
   yo na gatavāt /	yaH na gatavAt /
   vivekapradhvaṃsādupacitamahāmohagahano vikāraḥ ko 'pyantarjaḍhayati ca	viveka-praDvaMsAt-upacita-mahA-moha-gahanaH vikAraH kaH api-antar-jaXayati ca
   tāpaṃ ca kurute // 489 //	tApam ca kurute // 489 //
