   īśvarasiddhiḥ /	ISvara-sidDiH /
   kāryatvahetorjagato nayathoditakartṛtā // 13 //	kAryatva-hetoH-jagataH nayaTA-udita-kartR-tA // 13 //
   prayogaśca bhavati-mahīmahīdharādi kāryaṃna bhavati,	prayogaH-ca Bavati--mahI-mahIDara-Adi kAryaM-na Bavati,
   prasiddhakāryavilakṣaṇatvāt, gaganavat ;	prasidDa-kArya-vilakzaNa-tva-at, gagana-vat ;
   aśakyadarśanopādānopakaraṇatvādvā, vyatirekeṇa ghaṭādivat / paramāṇavona	aSakya-darSana-upAdAna-upakaraNa-tvAt-vA, vyatirekeNa Gawa-Adi-vat / paramANavona
   pratyakṣāḥ niratiśayasūkṣmadravyatvāt tathaiva ghaṭādivat / vimativiṣayaḥ	pratyakzAH niratiSaya-sUkzma-dravya-tvAt taTA-eva Gawa-Adi-vat / vimati-vizayaH
   kālo na lokaśūnyaḥ, kālatvādidānīntanakālavat / tanubhuvanādīśvarakartṛkaṃ	kAlaH na loka-SUnyaH, kAla-tvAt-idAnIntana-kAla-vat / tanu-BuvanAt-ISvara-kartRkam
   na bhavati kāryatvāttadvadeva / īśvaraḥ kartā na bhavati	na Bavati kAryatvAt-tadvat-eva / ISvaraH kartA na Bavati
   prayojanarahitatvādaśarīratvādvā muktātmavaditi /	prayojana-rahita-tvAt-aSarIra-tvAt-vA mukta-Atma-vat-iti /
   athānaikāntyamapyāhopādānādyabhijñakartṛpūrvakatvasādhane 'na copādānādī'	aTa-anEkAntyam-api-Aha-upAdAna-Adi-aBijQa-kartR-pUrvakatva-sADane ana ca-upAdAna-AdI-a
   ti / jñanādiviśeṣaguṇoparāgeṇaivātmanaḥ pratyakṣatvāt	ti / jQana-Adi-viSeza-guNa-uparAgeNa-eva-AtmanaH pratyakza-tvAt-
   jñānārthapravṛttivelāyāṃ nātmano jñānopādānabhūtasvātmasākṣātkāritvaṃ	jQAna-arTa-pravRtti-velAyAm na-AtmanaH jQAna-upAdAna-BUta-sva-Atma-sAkzAtkAri-tvam
   niyamato 'sti / na vā tadupakaraṇādṛṣṭamana ādisākṣātkartṛtva m /	niyamataH asti / na vA tad-upakaraNa-adRzwa-manaH Adi-sAkzAtkartR-tva m /
   jñānārtha pravṛtterjñane kartṛtvaṃ samavāyitvaṃ ca paramasti / tathā	jQAna-arTa pravRtteH-jQane kartR-tvam samavAyi-tvam ca param-asti / taTA
   copādānādyabhijñapūrvakatvābhāvavati jñānādai kāryatvasya	ca-upAdAna-Adi-aBijQa-pUrvakatva-aBAvavati jQAnAdE kAryatvasya
   sattvādvyabhicāra ityarthaḥ/	sattvAt-vyaBicAraH iti-arTaH/
   nirukteśvarānumānadūṣaṇāni saṅgṛhṇāti 'asiddhatvā' diti / kāryatvasya	nirukteSvara-anumAna-dUzaNAni saFgRhNAti aasidDa-tvA-a diti / kAryatvasya
   kṣityādāvasiddhiraśakyakriyatvādinākāryatvānumānāttasya anīśvaratvānavāpta	kziti-AdO=-asidDiH-aSakya-kriya-tva-AdinA-kAryatva-anumAnAt-tasya anISvara-tvAn-avApta
   kāmatvaśarīritvādiviparītākārakṣepakatvāt kṣityādau kartuḥ	kAma-tva-SarIri-tva-Adi-viparIta-AkAra-kzepaka-tvAt kziti-AdO kartuH
   siṣādhayiṣitasya kāryatvasya viruddhatvam /	sizA-Dayizitasya kAryatvasya virudDa-tvam /
   abhimataviparītākārākṣepakatvaṃ hetorviruddhatvamiti hi prācāṃ paribhāṣā /	aBimata-viparIta-AkAra-Akzepaka-tvam hetoH-virudDa-tvam-iti hi prAcAm pariBAzA /
   anaiśvaryādyāpādakatvaṃ cānaiśvaryādiviśiṣṭakartṛkatvena vyāpterghaṭādau	anESvarya-Adi-ApAdaka-tvam ca-anESvarya-Adi-viSizwa-kartRka-tvena vyApteH-Gawa-AdO
   kāryatvahetorgṛhītatvādeva / kiñcacetanajanyatvamātre sādhye 'dṛṣṭadvārā	kAryatva-hetoH-gRhIta-tvAt-eva / kiQca-cetana-janya-tva-mAtre sADye adRzwa-dvArA
   jīvajanyatvasya kāryamātre 'bhimatatvātsiddhasādhanam /	jIva-janya-tvasya kArya-mAtre aBimata-tvAt-sidDa-sADanam /
   tadupādānādisākṣātkartṛkartṛpūrvakatvaṃ sādhyamityurarīkāryam / tatra	tad-upAdAna-Adi-sAkzAt-kartR-kartR-pUrvaka-tvam sADyam-iti-urarIkAryam / tatra
   cānupadoktamanaikāntyaṃ sthitaṃ jñānādyantarbhāvena /	ca-anupada-uktam-anEkAntyam sTitam jQAna-Adi-antar-BAvena /
   evamasiddhyādidoṣaduṣṭatvātkāryatvasya tena kṣityādau	evam-asidDi-Adi-doza-duzwa-tvAt-kAryatvasya tena kziti-AdO
   upādanopakaraṇādisākṣātkartṛ kartṛpūrvakatvaṃ na sādhayituṃ śakyata	upAdana-upakaraNa-Adi-sAkzAtkartR kartR-pUrvaka-tvam na sADayitum Sakyata
   ityarthaḥ // 13 //	iti-arTaH // 13 //
   atra brūmo na kāryatvaṃ kṣityādau śakyanihnavam /	atra brUmaH na kArya-tvam kziti-AdO Sakya-nihnavam /
   sabhāgatvāt kriyāvattvāt mahattvenaviśeṣitāt // 14 //	sa-BAga-tvAt kriyAvat-tvAt mahat-tvena-viSezitAt // 14 //
   tādṛśādeva mūrtatvādbahyapratyakṣatānvitāt /	tAdRSAt-eva mUrta-tvAt-bahya-pratyakzata-anvitAt /
   samāmānyavaśeṣatvādityādibhyo ghaṭādivat // 15//	samAmAnya-vaSeza-tvAt-ityAdiByaH Gawa-Adi-vat // 15//
   na cedṛśa eva sanniveśaḥ kāryaḥ netara	na ca-IdRSaH eva sanniveSaH kAryaH na-itara
   ityavayavasanniveśaviśeṣapratiniyataṃ rūpabhedamudīkṣāmahe / yattu	iti-avayava-sanniveSa-viSeza-pratiniyatam rUpa-Bedam-udIkzAmahe / yat-tu
   śakyakriyaṃ śakyajñānopādānopakaraṇaṃ ca kriyata ita, tadastu nāma / kintu	Sakya-kriyam Sakya-jQAna-upAdAna-upakaraNam ca kriyate ita, tat-astu nAma / kintu
   te kriyājñānaśaktī kriyājñānābhyāmeva samadhigamanīye / te ca kṣityādiṣu	te kriyA-jQAna-SaktI kriyA-jQAnAByAm-eva samaDigamanIye / te ca kziti-Adizu
   yathoktasādhanabalasamupasthāpite iti na viśeṣaḥ	yaTA-ukta-sADana-bala-samupasTApite iti na viSezaH
   prasiddhaprākāragopurādi kāryebhyastanubhuvanādeḥ / nacaitāvāneva	prasidDa-prAkAra-gopura-Adi kAryeByaH-tanu-Buvana-AdeH / na-ca-etAvAn-eva
   kriyāgocara iti viṣayaniyamaḥ kaścit kriyāya dṛṣṭaḥ ;	kriyA-gocaraH iti vizaya-niyamaH kaScid kriyAya dRzwaH ;
   yenedamaśakyakriyamadhyavasyema / siddhe ca kāryatve	yena-idam-aSakya-kriya-maDyavasyema / sidDe ca kAryatve
   tadupādānādisākṣātkaraṇatadadhiṣṭhānatatpreraṇanipuṇaḥ puruṣaviśeṣa	tad-upAdAna-Adi-sAkzAt-karaNa-tad-aDizWAna-tad-preraNa-nipuNaH puruza-viSeza
   sidhyatyeva /	siDyati-eva /
   adhiṣṭhānaṃ ca tatpravṛttyanuguṇasaṅkalpavadīśvarasannikarṣaḥ,	aDizWAnam ca tad-pravRtti-anuguNa-saFkalpa-vat-ISvara-sannikarzaH,
   kṣetrājñeneva svaśarīrādau / sa ca dravyaiḥ saṃyogalakṣaṇaḥ,	kzetrAjQena-iva sva-SarIra-AdO / sa ca dravyEH saMyoga-lakzaNaH,
   tadguṇaistisaṃyuktasamavāyarūpaḥ / pravṛttiśca paramāṇūnāṃ	tad-guNEH-ti-saMyukta-samavAya-rUpaH / pravRttiH-ca paramANUnAm
   parispandalakṣaṇā ; dharmādharmayostu	parispanda-lakzaNAH ; Darma-aDarmayoH-tu
   phalodayānukūlatādṛśadeśakālādisahakārisahitatā / tābhyāṃ	Pala-udaya-anukUla-tAdRSa-deSa-kAla-Adi-sahakAri-sahita-tA / tAByAm
   dharmādharmābhyāmeva phalam, cetanānadhiṣṭhitānāṃ	Darma-aDarmAByAm-eva Palam, cetanA-anaDizWitAnAm
   sarveṣāmeteṣāmacaitanyenākiñcitkaratvāt / na hi cetanena	sarvezAm-etezAm-acEtanyena-akiQcitkara-tvAt / na hi cetanena
   vardhakinānadhiṣṭhitā vāsī / deśakālādisahakāri śatasamadhigame 'pi	varDakinA-anaDizWitA vAsI / deSa-kAla-Adi-sahakAri Sata-samaDi-game api
   yūpādīnyāpādayitumalam / bījāṅkurādayastu pakṣāntarbhūtā iti	yUpa-AdIni-ApAdayitum-alam / bIja-aFkura-AdayaH-tu pakza-antarBUtAH iti
   tairvyabhicāravacanamanabhijñatayaiva śrotriyāṇām / etena	tEH-vyaBicAra-vacanam-anaBijQa-tayA-eva SrotriyANAm / etena
   sukhādibhirvyabhicāro 'pi pratyuktaḥ / na cobhayavādisiddhatāmātreṇa	suKa-AdiBiH-vyaBicAraH api pratyuktaH / na ca-uBaya-vAdi-sidDa-tA-mAtreNa
   kṣetrajñānāmevedṛśādhiṣṭhātṛtvakalpanamucitam ; teṣāṃ	kzetrajQAnAm-eva-IdRSa-aDizWAtR-tva-kalpanam-ucitam ; tezAm
   sūkṣmavyavahitādidarśanā śakterniścitatvāt / dṛṣṭānusāriṇī hi sarvatra	sUkzma-vyavahita-Adi-darSanA SakteH-niScita-tvAt / dRzwa-anusAriNI hi sarvatra
   kalpanā ; na dṛṣvirodhinī / na caivamīśvarasyāśaktirniścitā ;	kalpanA ; na dRzvi-roDinI / na ca-evam-ISvarasya-aSaktiH-niScitAH ;
   pramāṇāntaratasta(da)tsiddheḥ / yathoditapramāṇabalena sidhyam	pramANa-antarataH-ta(da)t-sidDeH / yaTA-udita-pramANa-balena siDyam
   sāṃsiddhikasarvārthadarśanatatpreraṇaśaktisampanna eva sidhyati ;	sAMsidDika-sarva-arTa-darSana-tad-preraNa-Sakti-sampannaH eva siDyati ;
   kāryatvasya samarthakartṛpūrvakatvena pratibandhāt /	kAryatvasya samarTa-kartR-pUrvaka-tvena pratibanDAt /
   yattu parimitaśaktijñānānaiśvaryādyāpadanāddharmaviśeṣaviparīsādhanatva	yat-tu parimita-Sakti-jQAna-anESvarya-Adi-ApadanAt-Darma-viSeza-viparIsADana-tva
   mudbhāvitam, tadatisthadhīyaḥ, aprayojakatvātteṣam / na hi kiñcit	mudBO=-itam, tad-ati-sTaDIyaH, aprayojaka-tvAt-tezam / na hi kiQcid-
   kriyamāṇaṃ karturarthāntaraviṣayamasāmarthyamajñānāṃ vā svotpatte 'pekṣate	kriyamANam kartuH-arTa-antara-vizayam-asAmarTyam-ajQAnAm vA sva-utpatte apekzate
   ; svasabhpādanasamarthakartṛmātrākṣepāt kevalavyatirekāsiddheḥ /	; sva-saBpAdana-samarTa-kartR-mAtrA-kzepAt kevala-vyatireka-asidDeH /
   tāvataivopapadyamāne kāryodaye sambandino	tAvatA-eva-upapadyamAne kArya-udaye sambandinaH-
   'kiñcitkarasyārthāntaraviṣayasyābhāvasya hetutva kalpanānupapatteḥ / api	akiQcitkarasya-arTa-antara-vizayasya-aBAvasya hetutva kalpanA-anupapatteH / api
   ca kiṃ taditaramastavastuvi, yamajñānādi vyāpakam, uta katipayagocaramiti	ca kim tad-itaram-astavastuvi, yama-jQAna-Adi vyApakam, uta katipaya-gocaram-iti
   vivecanīyam / na tāvadaśeṣaviṣayam, anupalabdheḥ / na khalu kumbhakāraḥ	vivecanIyam / na tAvat-aSeza-vizayam, anupalabDeH / na Kalu kumBakAraH
   kumbhātireki kimapi na vijānāti / atha katipayaviṣayam / tadapi na,	kumBa-atireki kim-api na vijAnAti / aTa katipaya-vizayam / tat-api na,
   aniyataviṣayatayā tasya tasyavyabhicāradarśanāt / na	aniyata-vizaya-tayA tasya tasya-vyaBicAra-darSanAt / na
   cāstikiñcidvyavasthitam,	ca-astikiQcit-vyavasTitam,
   yadavidyādimāneva kartṛtāmanubhavati /	yat-avidyA-AdimAn-eva kartR-tAm-anuBavati /
   na ca śarīriṇaiva kartrā bhāvyam, śarīragrahaṇenaivānaikāntyāt / na khalu	na ca SarIriNA-eva kartrA BAvyam, SarIra-grahaNena-eva-anEkAntyAt / na Kalu
   śarīraviśiṣṭassannevāyamātmā śarīramupādatte, ayoginoyugapadanekaśarīra	SarIra-viSizwa-ssan=-A-iva-ayam-AtmA SarIram-upAdatte, ayoginaH-yugapad-aneka-SarIra-
   grahaṇāyogāt/pūrvadhaparityāgena dehāntaraprāpakakarmapreritaprāṇasahāya	grahaNa-ayogAt/pUrvaDa-pari-tyAgena deha-antara-prApaka-karma-prerita-prANa-sahAya
   eva dehāntaraṃ praviśatītyupapāditamātmacintāyām/	eva deha-antaram praviSati-iti-upapAditam-Atma-cintAyAm/
   kiñcātmanaḥ śarīramadhitiṣṭhato 'dhiṣṭhānakriyātakarmabhūtasya	kiQca-AtmanaH SarIram-aDitizWataH aDizWAna-kriyAta-karma-BUtasya
   dehasyādhiṣṭhātṛdaśā (dehā)nupraveśo 'nupapannaḥ, yugapadekakriyāyāmekasya	dehasya-aDizWAtR-daSA (dehA)nupraveSaH anupapannaH, yugapad-eka-kriyAyAm-ekasya
   karmakartṛtvavirodhāt / adhitiṣṭhāsitadehasaṃyogavata eva	karma-kartR-tva-viroDAt / aDitizWa-asita-deha-saMyogavataH eva
   tatpravṛttyanuguṇa prayatnayogalakṣaṇamadhiṣṭhānaṃ dṛṣṭamiti cet ;	tad-pravRtti-anuguNa prayatna-yoga-lakzaNam-aDizWAnam dRzwam-iti ced ;
   astvekatattva (satva)sambaddhasyādhiṣṭhānānupapatteḥ	astu-eka-tattvaH (satva)-sambadDasya-aDizWAna-anupapatteH
   preryavastusambhandhinā prerakeṇa bhavitavyamiti ; na punardehasambandhena	prerya-vastu-samBanDinA prerakeNa Bavitavyam-iti ; na punar-deha-sambanDena
   (ndhinā) bhāvyamiti / kuto nirṇayaḥ ? ita eva, yato	(nDinA) BAvyam-iti / kutas nirNayaH ? itas eva, yatas-
   'nyadapyadhiṣṭhīyamānaṃ mānajaṇḍādi svasambandhinauvādhiṣṭhīyate /	anyat-api-aDizWIyamAnam mAna-jaNxa-Adi sva-sambanDinA-OvADizWIyate /
   tenādhiṣṭhānakriyāpekṣitādhiṣṭheyapadārthasambhandhamātrātirekeṇa	tena-aDizWAna-kriyA-apekzita-aDizWeya-padArTa-samBanDa-mAtra-atirekeNa
   dehasambandho nāmaparo nādartavyaḥ asti ceśvarasyāpi	deha-sambanDaH nAma-paraH na-AdartavyaH asti ca-ISvarasya-api
   jagadupādānopakaraṇaissambandha ityuktameva /	jagat-upAdAna-upakaraNEH-sambanDaH iti-uktam-eva /
   atha svadehavyatirikta vastuni pravṛttiviśeṣakaratvaṃ dehadvāreṇaiva /	aTa sva-deha-vyatirikta vastuni pravRtti-viSeza-kara-tvam deha-dvAreNa-eva /
   dṛṣṭaṃ hi daṇḍacakrādiṣu karasaṃyogādinā kulālādeḥ	dRzwam hi daNxa-cakra-Adizu kara-saMyoga-AdinA kulAla-AdeH
   pravartayitṛtvamityucyeta ; tadapi na ; abhidhyānamātreṇaiva	pravartayitR-tvam-iti-ucyeta ; tat-api na ; aBiDyAna-mAtreNa-eva
   paraśarīragatagaranirasanavisāraṇadarśanāt /	para-SarIra-gatagara-nirasana-visAraNa-darSanAt /
   kathamasati śarīre parapreraṇātmakaḥ saṅkalpa iti cet ; kiṃ śarīraṃ	kaTam-asati SarIre para-preraNa-AtmakaH saFkalpaH iti ced ; kim SarIram
   saṅkalpayati, yena tadabhāve na bhavet ? / karaṇamiti cenna; manasaḥ	saFkalpayati, yena tad-aBAve na Bavet ? / karaNam-iti ced-na; manasaH
   karaṇatvāt kimastīśvarasya manaḥ ? bāḍham / nanvevaṃ	karaNa-tvAt kim-asti-ISvarasya manaH ? bAXam / nanu-evam
   vugrahadharmādharmānaiśvaryādayaḥ sādhāraṇadharmāḥ prāduḥṣyuḥ / maivam ;	vugraha-Darma-aDarmAn-ESvarya-AdayaH sADAraNa-DarmAH prAduHzyuH / mA-evam ;
   kāryatvākṣiptasamarthakartṛmattvāt (ttvārtha) draḍhimnaivāpāstatvāt /	kAryatva-Akzipta-samarTa-kartR-mat-tvAt (ttva-arTa) draXimnA-eva-apAsta-tvAt /
   manaso nityendriyatayā dehāpagame 'pi sambandhābhyupagamādanaikāntikaśca /	manasaH nitya-indriya-tayA deha-apagame api sambanDa-aByupagamAt-anEkAntikaH-ca /
   yāvaddhi dṛṣṭānuguṇaṃ vyāptyupayogi, tāvadanujñāyate /	yAvat-hi dRzwa-anuguNam vyApti-upayogi, tAvat-anujQAyate /
   nacāsmadādermanasāpyacintyaracanasyāparyantavistārasya	na-ca-asmad-AdeH-manasA-api-acintya-racanasya-aparyanta-vistArasya
   mahābhūtabhautikaprapañcasya prādeśikaśarīrakaḥ kiñcijjñaḥ	mahABUta-BOtika-prapaQcasya prAdeSika-SarIrakaH kiQcijjQaH
   puṇyapāpaparavaśagatiralaṃ nirmāṇāyetyaparimitajñānaiśvaryaśaktiḥ	puNya-pApa-para-vaSa-gatiH-alam nirmANAya-iti-aparimita-jQAna-ESvarya-SaktiH
   śarīrādyanapekṣaḥ saṅkalpādeva sakalabhuvananirmāṇakṣamaḥ kartā siddhaḥ /	SarIra-Adi-anapekzaH saFkalpAt-eva sakala-Buvana-nirmANa-kzamaH kartA sidDaH /
   īdṛśena kartrā ghaṭādiṣu kāryatvasya sambandho na dṛṣṭa iti cet ;	IdRSena kartrA Gawa-Adizu kAryatvasya sambanDaH na dRzwaH iti ced ;
   atigahanagiritaṭādhiṣṭhānenātiprakṛṣṭādṛṣṭacarendhananivahasambandhinā	ati-gahana-giri-tawa-aDizWAnena-atiprakRzwa-adRzwa-cara-inDana-nivaha-sambanDinA
   hutavahaviśeṣeṇa mahānasādau dhūmasya vā kiṃ sambandho dṛṣṭaḥ ? yena	hutavaha-viSezeNa mahAnasa-AdO DUmasya vA kim sambanDaH dRzwaH ? yena
   dhūmaviśeṣadarśanāt giriśikhare tathāvidhāgniranumīyate / yādṛśo dhūmo	DUma-viSeza-darSanAt giri-SiKare taTAviDa-agniH-anumIyate / yAdRSaH DUmaH-
   yatrāvagataḥ tatraiva tādṛśastatsampādanasamarthau	yatra-avagataH tatra-eva tAdRSaH-tad-sampAdana-samarTO
   dṛṣṭāntabhūmāvaparidṛṣṭo 'pi sāmānyavyāptibalena pakṣadhramatāvaśāt	dRzwAnta-BUmO=-aparidRzwaH api sAmAnya-vyApti-balena pakza-Drama-tA-vaSAt
   sidhyatītita cet ; tadidamasmābhirabhidhīyamānaṃ kimiti na	siDyati-itita ced ; tat-idam-asmABiH-aBiDIyamAnam kim-iti na
   hṛdayamadhihohati bhavatām / imāpi kāryatvaṃ samarthakartṛpūrvakatvena	hRdayam-aDihohati BavatAm / ima-api kArya-tvam samarTa-kartR-pUrvaka-tvena
   ghaṭādiṣu viditasambandhaniyamaṃ kṣityādiṣu dṛśyamānaṃ	Gawa-Adizu vidita-sambanDa-niyamam kziti-Adizu dRSyamAnam
   svasampādanasamarthamadṛṣṭapūrvameva buddhimatkartāramupasthāpayati /	sva-sampAdana-samarTam-adRzwa-pUrvam-eva budDimat-kartAram-upasTApayati /
   yathaiva hi deśakālendhanaparimāṇādiviśeṣānādareṇa dhūmasya	yaTA-eva hi deSa-kAla-inDana-parimANa-Adi-viSeza-an-AdareNa DUmasya
   svodayānuguṇahutavahamātreṇa	sva-udaya-anuguNa-hutavaha-mAtreNa
   sambndhaniyamaḥ,tathaivānīśvaratvākiñcijjñatvaśarīritvapuṇyapāpaparavaśatvamanuṣyatvādi-	sambnDa-niyamaH,-taTA-eva-anISvara-tva-akiQcijjQatva-SarIri-tva-puNya-pApa-paravaSa-tva-manuzya-tva-Adi-
   viśeṣaprahāṇena kāryasya svinirmāṇasamarkhabuddhimatkartṛmātreṇa	viSeza-prahANena kAryasya svi-nirmANa-samarKa-budDimat-kartR-mAtreNa
   sambandhaniyamaniścaya iti na kaścidviśeṣaḥ /	sambanDa-niyama-niScayaH iti na kaScid-viSezaH /
   api ca vibhudravyasaṃyoginaḥ parispandavataśca sarvatra	api ca viBu-dravya-saMyoginaH parispandavataH-ca sarvatra
   sparśavattvāvyābhicāre 'pi	sparSavat-tva-avyABicAre api
   jñānasukhādinityadravyaviśeṣaguṇānumitātmasaṃyogino manasaḥ kathamiva	jQAna-suKa-Adi-nitya-dravya-viSeza-guNa-anumita-Atma-saMyoginaH manasaH kaTam-iva
   sparśarahitatvam ? kathaṃ na vāyavīyadravyasyamahimaguṇaśālino	sparSa-rahita-tvam ? kaTam na vAyavIya-dravyasya-mahima-guNa-SAlinaH-
   niyatādhiṣṭhānaspārśanatvaniyamadarśane 'pi tvagindriye tadviparyayaḥ ?	niyata-aDizWAna-spArSana-tva-niyama-darSane api tvac-indriye tad-viparyayaH ?
   taijasasya vā rūpasparśayoranyattarasya vā prākaṭyaniyame 'pi	tEjasasya vA rUpa-sparSayoH-anyattarasya vA prAkawya-niyame api
   rūpopalambhasādhanatānumitataijasabhāsya cakṣuṣo niyamena	rUpa-upalamBa-sADana-ta-anumita-tEjasaBA-asya cakzuzaH niyamena
   tadubhayānudbhavābhyupagamaḥ ? / atha kāryadarśanānumitasadbhāvānāṃ	tad-uBaya-anudBava-aByupagamaH ? / aTa kArya-darSana-anumita-sadBAvAnAm
   taijasādibhāve 'pi tattadviśeṣāṇāṃ yogyānupalabdhibādhitatvāt	tEjasa-Adi-BAve api tad-tad-viSezANAm yogyA-anupalabDi-bADita-tvAt-
   tadabhyupagame 'nekaniyamabhaṅgaprasaṅgācca tathābhyupagamaḥ, hanta tarhi	tad-aByupagame aneka-niyama-BaFga-prasaFgAt-ca taTA-aByupagamaH, hanta tarhi
   prakṛviṣaye 'pi prasaḍhañjitadharmaviśeṣāṇāmanupalambhabādhāviśeṣāt	prakRvizaye api prasaXaQjita-Darma-viSezANAm-anupalamBa-bADA-viSezAt
   anekaniyamadarśanavighātaprasaṅgācca tathābhyupagama iti sarvaṃ	aneka-niyama-darSana-viGAta-prasaFgAt-ca taTA-aByupagamaH iti sarvam
   samānamanyatrābhiniveśāt /	samAnam-anyatra-aBiniveSAt /
   dṛśyante hi nītayaḥ / yathā-vivādāspadaṃ paramāṇvādi prekṣāvapreritaṃ	dRSyante hi nItayaH / yaTA-vivAda-Aspadam paramANu-Adi prekzO=-apreritam
   ceṣṭate, acetanatvāt ; yadacetanaṃ tattathā, yathā tathāvidhaṃ kandukādi /	cezwate, acetana-tvAt ; yat-acetanam tat-taTA, yaTA taTAviDam kanduka-Adi /
   tathā vivādādhyāsitā	taTA vivAda-aDyAsitA
   bāhyābhyantarapravṛttaya-prakṛtyupakaraṇapratyakṣapūrvikāḥ	bAhya-aByantara-pravRttaya--prakRti-upakaraNa-pratyakza-pUrvikAH
   kāryatvāttadvadeva /	kAryatvAt-tadvat-eva /
   pratiprayogānāha 'prayogaśce' ti / aśakyadarśanopādānatvamupādayati	pratiprayogAn-Aha aprayogaH-ce-a ti / aSakya-darSana-upAdAna-tvam-upAdayati
   'paramāṇava'	aparamANava-a
   iti / tathaiva-vyatirekeṇaiva / kāryatvasya pakṣe kṣityādau	iti / taTA-eva--vyatirekeNa-eva / kAryatvasya pakze kziti-AdO
   asiddhisādhanāya prayoga uktaḥ / atha jīvaiḥ siddhasādhanatvasādhanārtha	asidDi-sADanAya prayogaH uktaH / aTa jIvEH sidDa-sADana-tva-sADana-arTa
   pralayanirāse prayoga ucyate 'vimatī' ti / sati hi pralaye	pralaya-nirAse prayogaH ucyate avimatI-a ti / sati hi pralaye
   sargārambhesraṣṭṛtvaṃ jīvānāṃ karaṇādividhuratvānna ghaṭata iti	sarga-AramBesrazwR-tvam jIvAnAm karaNa-Adi-viDura-tvAt-na Gawate iti
   kartrantaraṃ mantavyaṃ bhavet / tat sarvakāryadravyavirahalakṣaṇaḥ pralayo	kartR-antaram mantavyam Bavet / tat sarva-kArya-dravya-viraha-lakzaNaH pralayaH-
   nāstyeveti sādhyate 'tra / viruddhatvapradarśanārthaḥ prayogaḥ	na-asti-eva-iti sADyate atra / virudDa-tva-pradarSana-arTaH prayogaH
   'tanubunavanādī' ti / īśvarakartṛkaṃ na bhavatītyanīśvarakartṛkaṃ	atanu-buna-vanAdI-a ti / ISvara-kartRkam na Bavati-iti-anISvara-kartRkam
   bhavatītyarthaparyavasāyi / tadvadeva-anvayena ghaṭādivadeva /	Bavati-iti-arTa-paryavasAyi / tadvat-eva--anvayena Gawa-Adi-vat-eva /
   viparītaparyavasāyitvaṃ kāryatvānumānasyoktam /	viparIta-paryavasAyi-tvam kAryatva-anumAnasya-uktam /
   abhimataparyavasāyitvābhāvaṃ ca sphorayati 'īśvara' iti /	aBimata-paryavasAyi-tva-aBAvam ca sPorayati aISvara-a iti /
   īśvaraḥīśvaratvābhimataḥ / ayaṃ ca satpratipakṣarūpaḥ /	ISvaraH-ISvara-tva-aBimataH / ayam ca sat-pratipakza-rUpaH /
   evaṃ mīmāṃsakaidrūṣitameveśvarānumānaṃ tārkikaprakriyāmevāvalambya prāyaśo	evam mImAMsa-kEdrUzitam-eva-ISvara-anumAnam tArkika-prakriyAm-eva-avalambya prAyaSas-
   vyavaśthāpayitumupakramate doṣoddhāramukhena 'atra brūma'ityādinā /	vyavaSTApayitum-upakramate doza-udDAra-muKena aatra brUma-aityAdinA /
   kāryatvam-utpattimattvam / kṣityādeḥ kāryatve hetavaḥ sabhāgatvādayaḥ /	kAryatvam--utpattimat-tvam / kziti-AdeH kAryatve hetavaH saBAga-tva-AdayaH /
   sabhāgatvaṃ-sāvayavatvam / 'vittyādibhya'iti pracīnamudritapāṭhastu na	saBAga-tvaM-sa-avayava-tvam / avitti-AdiByaH-aiti pracIna-mudrita-pAWaH-tu na
   samīcīnaḥ / kriyāvattvaṃ, paricchinnaparimāṇavattvarūpaṃ mūrtatvaṃ ca	samIcInaH / kriyAvat-tvan, paricCinna-parimANa-vat-tva-rUpam mUrta-tvam ca
   nityaparamāṇusādhāraṇamiti sāmānādhikaraṇyasambandhena mahattvaviśiṣṭaṃ	nitya-paramANu-sADAraNam-iti sAmAnADikaraNya-sambanDena mahat-tva-viSizwam
   taddetūkṛtam / sāmānyaviśeṣaḥ-dravyatvādi pṛthitvādi ca, tacac kevalaṃ	tad-detUkRtam / sAmAnya-viSezaH-dravya-tva-Adi pRTitvA-Adi ca, tacat kevalam
   nityaparamāṇvādisādhāraṇamiti bāhyapratyakṣaviṣayatvena viśeṣitaṃ	nitya-paramANu-Adi-sADAraNam-iti bAhya-pratyakza-vizaya-tvena viSezitam
   taddhetūkṛtam / ātmano mānasapratyakṣatvātsāmānyaviśeṣavattvācca tatra	tad-hetUkRtam / AtmanaH mAnasa-pratyakza-tvAt-sAmAnya-viSezavat-tvAt-ca tatra
   vyabhicāra iti bāhyatvena pratyakṣaṃ viśeṣitam // 14 // 15 //	vyaBicAraH iti bAhya-tvena pratyakzam viSezitam // 14 // 15 //
   pratyakṣaṃ tat prameyatvātpadārthatvāddhaṭādivat /	pratyakzam tat prameya-tvAt-padArTa-tvAt-hawa-Adi-vat /
   ekecchānuvidhāyīdamacaitanyāt svadehavat // 16 //	eka-icCA-anuviDAyI-dama-cEtanyAt sva-deha-vat // 16 //
   nanu kāryatvamastu niruktahetubhiḥ / tāvatā sakartṛkatve kimāyātam ?	nanu kAryatvam-astu nirukta-hetuBiH / tAvatA sa-kartRka-tve kim-AyAtam ?
