   Abhidharmasamuccaya	ABiDarma-samuccaya
   śrāvakadharmatāvihārī prakṛtyā mṛdvindriyaḥ svavimuktaye praṇihitaḥ	SrAvaka-DarmatA-vihArI prakRtyAH mRdu-indriyaH sva-vimuktaye praNihitaH
   vairāgyabhāvanayā vimuktāśayaḥ śrāvakapiṭakamavalambya vīryabhāvanayā	vErAgya-BAvanayA vimukta-ASayaH SrAvaka-piwakam-avalambya vIrya-BAvanayA
   dharmānudharmacārī duḥkhasyāntamanuprāpnoti // pratyekabuddhayānikaḥ	Darma-anuDarma-cArI duHKasya-antam-anuprApnoti // pratyekabudDa-yAnikaH
   pudgalaḥ katamaḥ / yaḥ samāpanno vā asamāpanno vā	pudgalaH katamaH / yaH samApannaH vA asamApannaH vA
   pratyekabuddhadharmatāvihārī prakṛtyā madhyendriyaḥ svavimuktaye	pratyekabudDa-Darma-tA-vihArI prakRtyAH maDya-indriyaH sva-vimuktaye
   praṇihitaḥ vairāgyabhāvanayā vimuktāśayaḥ kevalabhāvanayā	praNihitaH vErAgya-BAvanayA vimukta-ASayaH kevala-BAvanayA
   cādhigatavodhyāśayaḥ śrāvakapiṭakamavalambya vīryabhāvanayā	ca-aDigata-voDya-ASayaH SrAvaka-piwakam-avalambya vIrya-BAvanayA
   dharmānudharmacārī anutpāditapūrvanirvedhabhāgīyaḥ	Darma-anuDarma-cArI anutpAdita-pUrva-nirveDa-BAgIyaH
   utpāditapūrvanirvedhabhāgīyaḥ aprāptapūrvaphalaḥ abuddhalaukikaḥ adhyātma	utpAdita-pUrva-nirveDa-BAgIyaH aprApta-pUrva-PalaH abudDa-lOkikaH aDyAtma
   cetanayā ārya mārgasaṃmukhībhūtaḥ khaḍgaviṣāṇakalpaḥ ekavihārī	cetanayA Arya mArga-saMmuKIBUtaH Kaxga-vizANa-kalpaH eka-vihArI
   pratyekajinaḥ varggacāri duḥkhasyāntamanuprāpnoti // mahāyānikaḥ pudgalaḥ	pratyeka-jinaH vargga-cAri duHKasya-antam-anuprApnoti // mahAyAnikaH pudgalaH
   katamaḥ / yaḥ samāpanno vā asamāpanno vā bodhisattvadharmatāvihārī	katamaH / yaH samApannaH vA asamApannaH vA boDisattva-DarmatA-vihArI
   prakṛtyā tīkṣṇendriyaḥ sarvasattvavimokṣāya praṇihitaḥ	prakRtyA tIkzNa-indriyaH sarva-sattva-vimokzAya praNihitaH
   apratiṣṭhitanirvāṇāśayaḥ bodhisattvapiṭakamavalambya vīryabhāvanayā	apratizWita-nirvANa-ASayaH boDisattva-piwakam-avalambya vIrya-BAvanayA
   dharmānudharmacārī sattvān paripācayati śuddhāṃ buddhabhūmiṃ bhāvayati	Darma-anuDarma-cArI sattvAn paripAcayati SudDAm budDa-BUmim BAvayati
   vyākaraṇaṃ ca pratilabhate samyaksaṃbodhiṃ ca sākṣātkaroti //	vyAkaraNam ca pratilaBate samyaksaMboDim ca sAkzAtkaroti //
   asaṃbhṛtasaṃbhāraḥ pudgalaḥ katamaḥ / satyādhipateyaṃ dharmamālambya	asaMBRta-saMBAraH pudgalaH katamaH / satya-ADipatA-iyam Darmam-Alambya
   mṛdumātrasamutthitaḥ śuddhaśraddhādhimuktaḥ	mRdu-mAtra-samutTitaH SudDa-SradDA-aDimuktaH
   mṛdumātrāmokṣabhāgīyasamanvāgataḥ aniyatajanmakālikaḥ //	mRdu-mAtrA-mokza-BAgIya-samanvAgataH aniyata-janma-kAlikaH //
   saṃbhṛtāsaṃbhṛtasaṃbhāraḥ pudgalaḥ katamaḥ / satyādhipateyaṃ	saMBRta-asaMBRta-saMBAraH pudgalaH katamaH / satya-ADipateyam
   dharmamālambya madhyamātrasamutthitaḥ śuddhaśraddhādhimuktaḥ	Darmam-Alambya maDya-mAtra-samutTitaH SudDa-SradDA-aDimuktaH
   madhyamātramokṣabhāgīyasamanvāgato niyatajanmakālikaḥ // saṃbhṛtasaṃbhāraḥ	maDya-mAtra-mokza-BAgIya-samanvAgataH niyata-janma-kAlikaH // saMBRta-saMBAraH
   pudgalaḥ katamaḥ / satyādhipatayaṃ dharmamālambya adhimātrasamutthitaḥ	pudgalaH katamaH / satya-aDipatayam Darmam-Alambya aDimAtra-samutTitaH
   śuddhaśraddhādhimuktaḥ adhimātramokṣabhāgīyasamanvāgataḥ (Abhidh-s 88)	SudDa-SradDA-aDimuktaH aDimAtra-mokza-BAgIyasamanvAgataH (a-aBiD-H 88)
   tajjanmakālikaḥ // punaḥ asaṃbhṛtasaṃbhāraḥ satyādhipateyaṃ dharmamālambya	tad-janma-kAlikaH // punar asaMBRta-saMBAraH satya-ADipatA-iyam Darmam-Alambya
   satyeṣu mṛdumātrasatya dharmanidhyānakṣāntisamanvāgato mṛdumātra	satyezu mRdu-mAtrasatya Darma-niDyAna-kzAnti-samanvAgataH mRdu-mAtra
   nirvedhabhāgīyasanvāgata anivatajanmakālikaḥ // saṃbhṛtāsaṃbhṛtasaṃbhāraḥ	nirveDa-BAgIyasanva-Agata anivata-janma-kAlikaH // saMBRta-asaMBRta-saMBAraH
   satyādhipateyaṃ dharmamālambya satyeṣu madhyamātrasatya	satya-ADipatA-iyam Darmam-Alambya satyezu maDya-mAtrasatya
   dharmanidhyānakṣāntisamanvāgataḥ madhyamātranirvedhabhāgīyasamanvāgato	Darma-niDyAna-kzAnti-samanvAgataH maDya-mAtra-nirveDa-BAgIya-samanvAgataH-
   nithatajanmakālikaḥ // saṃbhṛtasaṃbhāraḥ satyādhipateyaṃ dharmamālambya	niTata-janma-kAlikaH // saMBRta-saMBAraH satya-ADipatA-iyam Darmam-Alambya
   satyeṣu adhimātrasatya dharmanidhyānakṣāntisamanvāgataḥ	satyezu aDimAtrasatya Darma-niDyAna-kzAnti-samanvAgataH
   adhimātranirvedhabhāgīyasamanvāgataḥ tajjanmakālikaḥ // tatra	aDimAtra-nirveDa-BAgIya-samanvAgataH tad-janma-kAlikaH // tatra
   trimātranirvedhabhāgīyo laukikāgradharmaṃ sthāpayitvā	tri-mAtra-nirveDa-BAgIyaH lOkika-agra-Darmam sTApayitvA
   laukikāgradharmaprakṛtyaiva kṣaṇikaḥ aprāvandhikaḥ // tajjanmakālikaḥ	lOkika-agra-Darma-prakRtyA-eva kzaNikaH aprAvanDikaH // tad-janma-kAlikaH
   abhisamayaṃ samāpadyamāno 'pūrvavastha mṛdumadhyādhimātramokṣabhāgīyebhyo	aBisamayam samApadyamAnaH apUrvavasTa mRdu-maDya-aDimAtra-mokza-BAgIyeByaH-
   [nirvedha]bhāgīyebhyaśca parihīyate / tacca samudācāraparihāṇito no tu	[nirveDa]-BAgIyeByaH-ca parihIyate / tat-ca samudAcAra-parihANitaH no tu
   vāsanāparihāṇitaḥ /	vAsanA-parihANitaH /
   śraddhānusārī pudgalaḥ katamaḥ / saṃbhṛtasaṃbhāro mṛdvindriyaḥ	SradDA-anusArI pudgalaH katamaH / saMBRta-saMBAraH mRd-u-indriyaH
   paropadeśamanusmṛtya yaḥ satyābhisamayāya prayujyate // dharmānusārī	para-upadeSam-anusmRtya yaH satya-aBisamayAya prayujyate // Darma-anusArI
   katamaḥ / saṃbhṛtasaṃbhārastīkṣṇendriyaḥ svayameva satyādhipateyaṃ	katamaH / saMBRta-saMBAraH-tIkzNa-indriyaH svayam-eva satya-ADipateyam
   dharmamanusmṛtya yaḥ [satyābhi]samayāya prayujyate //	Darmam-anusmRtya yaH [satyABi]samayAya prayujyate //
   śraddhādhimuktaḥ katamaḥ / phalakāle śraddhānusārī yaḥ pugdalaḥ //	SradDA-aDimuktaH katamaH / Pala-kAle SradDA-anusArI yaH pugdalaH //
   dṛṣṭiprāptaḥ katamaḥ / phalakāle dharmānusārī yaḥ pudgalaḥ // kāyasākṣī	dRzwi-prAptaH katamaH / Pala-kAle Darma-anusArI yaH pudgalaH // kAya-sAkzI
   katamaḥ / śaikṣaḥ aṣṭavimokṣadhyāyī yaḥ pudgalaḥ // prajñāvimuktaḥ katamaḥ	katamaH / SEkzaH azwa-vimokza-DyAyI yaH pudgalaH // prajQA-vimuktaH katamaH
   / kṣīṇāsravo bhotvaṣṭavimokṣadhyāyo yaḥ pugdalaḥ // ubhayatobhāgavimu[ktaḥ	/ kzINa-AsravaH Botu-azwa-vimokza-DyAyaH yaH pugdalaH // uBayatas-BAga-vimu[ktaH
   kata]maḥ / kṣīṇāsravo 'ṣṭavimokṣadhyāyī yaḥ pudgalaḥ //	kata]maH / kzINa-AsravaH azwa-vimokza-DyAyI yaH pudgalaH //
   strotāpattiphalapratipannakaḥ katamaḥ / nirvedhabhāgīyeṣu pañcadaśasu	strotApatti-Pala-pratipannakaH katamaH / nirveDa-BAgIyezu paQcadaSasu
   darśanamārgacittakṣaṇeṣu yaḥ pudgalaḥ // strota āpakṣaḥ katamaḥ / ṣoḍaśe	darSana-mArga-citta-kzaNezu yaH pudgalaH // strotaH ApakzaH katamaH / zoxaSe
   darśanamārgacittakṣaṇe yaḥpudgalaḥ //	darSana-mArga-citta-kzaNe yaH-pudgalaH //
   (Abhidh-s 89)	(a-aBiD-H 89)
   darśanamārga(ḥ) satyakatvaniyāmāvakrāntiḥ / dharmābhi[samaye]pi saḥ /	darSana-mArga(H) satyaka-tva-niyAma-avakrAntiH / Darma-aBi[samaye]pi saH /
   kāmeṣvavītarāgaḥ pudgalaḥ samyaktvaniyāmamavakrāman strotaāpanno bhavati	kAmezu-avIta-rAgaH pudgalaH samyaktva-niyAmam-avakrAman strotaApannaH Bavati
   // yadbhūyo vītarāgaḥ samyaktvaniyāmamavakrāman sakṛdāgāmī bhavati /	// yat-BUyas vIta-rAgaH samyak-tva-niyAmam-avakrAman sakRdAgAmI Bavati /
   kāmebhyo vītarāgaḥ samyaktvaniyāmamavakrāmannanāgāmī bhavati // yadā	kAmeByaH vIta-rAgaH samyak-tva-niyAmam-avakrAman=-anA-gAmI Bavati // yadA
   darśana prahātavyānāṃ kleśānāṃ prahāṇāt [stota ā]panno bhavati // kena	darSana prahAtavyAnAm kleSAnAm prahANAt [stotaH A]pannaH Bavati // kena
   kāraṇena trayāṇāṃ saṃyojanānāṃ prahāṇāt strotaāpanno bhavati /	kAraNena trayANAm saMyojanAnAm prahANAt strotaApannaH Bavati /
   pradhānasaṃgraha(ta) 'bhavati / prādhānyaṃ kimupādāya /	praDAna-saMgraha(ta) aBavati / prADAnyam kim-upAdAya /
   anuccalanakāraṇatāmupādāya / uccalitasya mithyāniryāṇakāraṇatāmupādāya /	anuccalana-kAraNa-tAm-upAdAya / uccalitasya miTyA-niryANa-kAraNa-tAm-upAdAya /
   samyaganiryāṇa(kāraṇa)tāṃ copādāya // api khalu	samyak-aniryANa(kAraNa)-tAm ca-upAdAya // api Kalu
   jñeyavipra[tipatti]kāraṇatāmupādāya dṛṣṭivipratipattikāraṇatāmupādāya	jQeya-vipra[ti-patti]kAraNa-tAm-upAdAya dRzwi-vipratipatti-kAraNa-tAm-upAdAya
   pratipakṣavipratipattikāraṇatāṃ copādāya // sakṛdāgāmiphalapratipannakaḥ	pratipakza-vipratipatti-kAraNa-tAm ca-upAdAya // sakRdAgAmi-Pala-pratipannakaH
   katamaḥ / bhāvanāmārge kāmāvacarāṇāṃ pañcaprakārāṇāṃ kleśānāṃ prahāṇamārge	katamaH / BAvanA-mArge kAma-avacarANAm paQca-prakArANAm kleSAnAm prahANa-mArge
   yaḥ pudgalaḥ / sakṛdāgāmī katamaḥ / bhāvanāmārge kāmāvacarasya ṣaṣṭhasya	yaH pudgalaH / sakRdAgAmI katamaH / BAvanA-mArge kAmAvacarasya zazWasya
   kleśaprakā[rasya pra] hāṇamārge yaḥ pugdalaḥ // anāgāmiphalapratipannakaḥ	kleSa-prakA[rasya pra] hANa-mArge yaH pugdalaH // anAgAmi-Pala-pratipannakaH
   katamaḥ / bhāvanāmārge kāmāvacarāṇāṃ saptamāṣṭamānāṃ kleśaprakārāṇāṃ	katamaH / BAvanA-mArge kAmAvacarANAm saptama-azwamAnAm kleSa-prakArANAm
   prahāṇamārge yaḥ pudgalaḥ // anāgāmī pudgalaḥ katamaḥ / bhāvanāmarge	prahANa-mArge yaH pudgalaH // anAgAmI pudgalaH katamaH / BAvanA-marge
   kāmāvacarasya navamasya kleśaprakārasya prahāṇamārge yaḥ pudgalaḥ // yadā	kAmAvacarasya navamasya kleSa-prakArasya prahANa-mArge yaH pudgalaH // yadA
   sarveṣāṃ kāmāvacarā[ṇāṃ bhāva]nāprahātavyānāṃ prahāṇādanāgāmī bhavati //	sarvezAm kAma-avacarA[NAm BAva]na-aprahAtavyAnAm prahANAt-anAgAmI Bavati //
   kena kāraṇena pañcānāmavarabhāgīyānāṃ saṃyojanā prahāṇādanāgāmītyucyate /	kena kAraNena paQcAnAm-avara-BAgIyAnAm saMyojanA prahANAt-anAgAmI-iti-ucyate /
   pradhānasaṃgrahamupādāya // prādhānyaṃ kimupādāya / gatyavara kāraṇatāṃ	praDAna-saMgraham-upAdAya // prADAnyam kim-upAdAya / gati-avara kAraNa-tAm
   dhātvaparakāraṇatāṃ copādāya // arhattvaphalapratipannakaḥ katamaḥ /	DAtu-apara-kAraNa-tAm ca-upAdAya // arhat-tva-Pala-pratipannakaH katamaH /
   yāvadbhāvāgrikāṇāmaṣṭaprakārāṇāṃ [kleśānāṃ] prahāṇamārge yaḥ pudgalaḥ //	yAvat-BAva-agrikANAm-azwa-prakArANAm [kleSAnAM] prahANa-mArge yaH pudgalaH //
   arhan (Abhidh-s 90) katamaḥ / bhāvāmrikasya navamasya kleśaprakārasya	arhan (a-aBiD-H 90) katamaH / BAvAmrikasya navamasya kleSa-prakArasya
   prahāṇamārge yaḥ pudgalaḥ // yadā traidhātukānāṃ kāmāvacarāṇāṃ	prahANa-mArge yaH pudgalaH // yadA trEDAtukAnAm kAma-avacarANAm
   sarvvakleśānāṃ prahāṇādarhan bhavati // kena kāraṇenordbhabhāgīyānāṃ	sarvu-a-kleSAnAm prahANAt-arhan Bavati // kena kAraNena-UrdBaBAgIyAnAm
   prahāṇādarhannityucyate / pradhānasaṃgrahamupādāya / pradhāna saṃgrahaḥ	prahANAt-arhan=-iti-ucyate / praDAna-saMgraham-upAdAya / praDAna saMgrahaH
   ki[mupādāya] / vimokṣopādāna kāraṇatāmupādāya / ūrddvā parityāgakāraṇatāṃ	ki[m-upAdAya] / vimokza-upAdAna kAraNa-tAm-upAdAya / UrddvA parityAga-kAraNa-tAm
   copādāya / saptakṛdbhavaraparamaḥ katamaḥ / strotaāpanna eva pudgalaḥ	ca-upAdAya / sapta-kRt-Bavara-paramaH katamaH / strotaApannaH eva pudgalaH
   saptakṛtvo 'pi miśromiśra devamanuṣyeṣu bhavāt saṃsṛtya yo	sapta-kRtvas api miSraH-miSra deva-manuzyezu BavAt saMsRtya yaH-
   duḥkhasyāntamanuprāpnoti // kulaṃkulaḥ katamaḥ / deveṣu vā kulātkulaṃ	duHKasya-antam-anuprApnoti // kulaMkulaH katamaH / devezu vA kulAt-kulam
   gatvā [manuṣye]ṣu vā yo duḥkhasyāntamanuprāpnoti // ekavīcikaḥ katamaḥ /	gatvA [manuzye]zu vA yaH duHKasya-antam-anuprApnoti // ekavIcikaH katamaH /
   sakṛdāgāmī deveṣveva yo duḥkhasyāntamanuprāpnoti // antarāparinirvāyī	sakRdAgAmI devezu-eva yaH duHKasya-antam-anuprApnoti // antarA-aparinirvAyI
   katamaḥ / upapattisaṃyojane prahīṇe abhinivṛttisaṃyojane aprahīṇe	katamaH / upapatti-saMyojane prahINe aBinivRtti-saMyojane aprahINe
   antarābhavamabhinirvarttayanneva yo mārgaṃ saṃmukhīkṛtya	antarA-aBavam-aBinirvarttayan=-eva yaH mArgam saMmuKIkRtya
   duḥkhasyāntamanuprāpnoti abhinivṛtto vā antarābhave upapattibhavagamanāya	duHKasya-antam-anuprApnoti aBinivRttaH vE antarABave upapatti-Bava-gamanAya
   cetayannevayo mārgaṃ saṃmukhīkṛtya duḥkhasyāntamanuprāpnoti /	cetayan=-evayaH mArgam saMmuKIkRtya duHKasya-antam-anuprApnoti /
   abhisaṃcetayitvā vā upapattibhavamabhisaṃprasthitaḥ	aBisaMcetayitvA vA upapatti-Bavam-aBisaMprasTitaH
   [bhavānu]papatticchandaṃ yo mārgaṃ saṃmukhīkṛtya duḥkhasyāntamanuprāpnoti	[Bava-anu]papatti=-Candam yaH mArgam saMmuKIkRtya duHKasya-antam-anuprApnoti
   // upapadyaparinirvāyī katamaḥ / ubhayasaṃyojane aprahīṇe	// upapadya-parinirvAyI katamaH / uBaya-saMyojane aprahINe
   rūpadhātāvupapannamātra eva yo mārgaṃ saṃmukhīkṛtya	rUpa-DAtO=-upapanna-mAtre eva yaH mArgam saMmuKIkRtya
   duḥkhasyāntamanuprāpnoti // anabhisaṃskāraparinirvāyī katamaḥ / upapannaḥ	duHKasya-antam-anuprApnoti // anaBisaMskAra-parinirvAyI katamaH / upapannaH
   anabhisaṃskāreṇa yo mārgaṃ saṃmukhīkṛtya duḥkhasyāntamanuprāpnoti //	anaBisaMskAreNa yaH mArgam saMmuKIkRtya duHKasya-antam-anuprApnoti //
   abhisaṃskāraparinirvāyī katamaḥ / upapanno 'bhisaṃskāreṇa yo mārgaṃ	aBisaMskAra-parinirvAyI katamaH / upapannaH aBisaMskAreNa yaH mArgam
   saṃmukhīkṛtya duḥkhasyāntamanuprāpnoti // ūrdhvaṃstrotāḥ katamaḥ /	saMmuKIkRtya duHKasya-antam-anuprApnoti // UrDvan=-trotAH katamaH /
   upapanno rūpāvacarāṇāṃ bhūmau bhūmau yāvadakaniṣṭhagān praviśya	upapannaH rUpAvacarANAm BUmO BUmO yAvat-akanizWa-gAn praviSya
   tannānāsrava mārgaṃ saṃmukhīkṛtya duḥkhasyāntamanuprāpnoti / puna kaścid	tat-nAnA-srava mArgam saMmuKIkRtya duHKasya-antam-anuprApnoti / puna kaScid-
   yāvad bhavāgragān mārgaṃ saṃmukhīkṛtya duḥkhasyāntamanuprāpnoti / api ca	yAvat Bava-agra-gAn mArgam saMmuKIkRtya duHKasya-antam-anuprApnoti / api ca
   vyavakīrṇabhāvitasya caturthasya dhyānasya pañcaprakārā prabhedāḥ /	vyavakIrNa-BAvitasya caturTasya DyAnasya paQca-prakArA praBedAH /
   mṛduparibhāvitaṃ	mRdu-pariBAvitam
   madhyaparibhāvitamadhimātraparibhāvitamadhimātrādhimātrāparibhāvitamadhyādhimātraparibhāvitaṃ	maDya-pariBAvitam-aDimAtra-pariBAvitam-aDimAtra-aDimAtrA-pariBAvita-maDya-aDimAtra-pariBAvitam
   (Abhidh-s 91) ca / taiḥ vyavakīrṇābhāvitasya caturthadhyānasya	(a-aBiD-H 91) ca / tEH vyavakIrNa-aBAvitasya caturTa-DyAnasya
   pañcaprabhedaiḥ yathākramaṃ paścasu śuddhāvāseṣūpapattiḥ //	paQca-praBedEH yaTAkramam paScasu SudDAvAsezu-upapattiH //
   parihāṇadharmā arhan katamaḥ / mṛdvindriyaprakṛtiko vikṣipto vā avikṣipto	parihANa-DarmAH arhan katamaH / mRd-u-indriya-prakRtikaH vikziptaH vA avikziptaH-
   vā cetayitvā vā acetayitvā vā dṛṣṭadharmasukha vihārāt parihāṇameti //	vA cetayitvA vA acetayitvA vA dRzwa-Darma-suKa vihArAt parihANam-eti //
   cetanādharmā arhan katamaḥ / mṛdvindriyaprakṛtiko vikṣipto vā avikṣipto vā	cetanA-DarmAH arhan katamaH / mRd-u-indriya-prakRtikaH vikziptaH vA avikziptaH vA
   acetayitvā dṛṣṭadharmasukhavihārāt parihāṇameti cetayitvā na parihāṇameti	acetayitvA dRzwa-Darma-suKa-vihArAt parihANam-eti cetayitvA na parihANam-eti
   // anurakṣaṇādharmā arhan katamaḥ / mṛdvindriyaprakṛtiko vikṣipto	// anurakzaNa-aDarmAH arhan katamaH / mRd-u-indriya-prakRtikaH vikziptaH-
   dṛṣṭadharmasukhavihārāt / parihāṇameti avikṣipto na parihāṇameti //	dRzwa-Darma-suKa-vihArAt / parihANam-eti avikziptaH na parihANam-eti //
   sthitākampyaḥ arhan katamaḥ / mṛdvindriya prakṛtiko vikṣipto vā avikṣipto	sTita-akampyaH arhan katamaH / mRdu-indriya prakRtikaH vikziptaH vA avikziptaH-
   vā dṛṣṭadharmasukhavihārāt na parihāṇameti nāpi indriyāṇyuttāpayati //	vA dRzwa-Darma-suKa-vihArAt na parihANam-eti na-api indriyANi-uttApayati //
   prativedhanādharmā arhan katamaḥ / mṛdvindriyāprakṛtiko vikṣipto vā	prativeDanA-aDarmAH arhan katamaH / mRd-u-indriyA-prakRtikaH vikziptaH vA
   avikṣipto vā dṛṣṭadharmasukhaviharāt na parihāṇameti kevala mindriyā	avikziptaH vA dRzwa-Darma-suKa-viharAt na parihANam-eti kevala mindriyA
   ṇyuttāpayati // akopyadharmā arhan katamaḥ / tīkṣṇendriyaprakṛtiko	Ni-uttApayati // akopya-DarmAH arhan katamaH / tIkzNa-indriya-prakRti-ko
   vikṣipto va avikṣipto vā na dṛṣṭadharmasukhavihārāt parihāṇameti //	vikziptaH vaH avikziptaH vA na dRzwa-Darma-suKa-vihArAt parihANam-eti //
   kāmāvacaraḥ pṛthagjanaḥ katamaḥ / kāmadhātāvupapanno bhavati	kAma-avacaraH pRTagjanaH katamaH / kAmaDAtO=-upapannaH Bavati
   āryadhaprāptaḥ pudgalaḥ ca // kāmāvacaraḥ śaikṣaḥ katamaḥ /	AryaDa-prAptaH pudgalaH ca // kAma-avacaraH SEkzaH katamaH /
   kāmādhātāvupapanno bhavati adharmaṃ ca prāptaḥ pudgalaḥ / saṃyojanaṃ	kAma-ADAtO=-upapannaH Bavati aDarmam ca prAptaH pudgalaH / saMyojanam
   cāvaśiṣyate // kāmāvacaro 'śaikṣaḥ katamaḥ / kāmādhātāvupapanno bhavati	ca-avaSizyate // kAmAvacaraH aSEkzaH katamaH / kAma-ADAtO=-upapannaH Bavati
   āryadharmaṃ ca prāptaḥ pudgalaḥ / saṃyojanaṃ nāvaśiṣyate // yathā	Arya-Darmam ca prAptaH pudgalaH / saMyojanam na-avaSizyate // yaTA
   kāmāvacarāstrayaḥ tathā rūpāvacarā ārupyavacarā api // kāmāvacaro	kAma-avacarAH-trayaH taTA rUpAvacarAH Arupya-vacarAH api // kAma-avacaraH-
   rūpāvacaro bodhisattvaḥ katamaḥ / ārūpyadhātuvyavakarṣitena dhyānena	rUpAvacaraH boDisattvaH katamaH / ArUpya-DAtu-vyavakarzitena DyAnena
   saṃprayukto dhyānasukhairviharatīti kāmadhātāvapyupapanno	saMprayuktaH DyAna-suKEH-viharati-iti kAmaDAtO=-api-upapannaH-
   rūpadhātāvapyupapannaḥ pudgala kāmāvacaraḥ pratyekabuddhaḥ katamaḥ /	rUpa-DAtO=-api-upapannaH pudgala kAma-avacaraH pratyekabudDaH katamaH /
   abuddhabhave kāmadhātau svataḥ pratyekabuddhabodhimabhisaṃbuddhaḥ //	abudDa-Bave kAmaDAtO svatas pratyekabudDa-boDim-aBisaMbudDaH //
   (Abhidh-s 92) acintyaḥ tathāgataḥ katamaḥ / kāmadhātau	(a-aBiD-H 92) acintyaH taTAgataH katamaH / kAmaDAtO
   tuṣitabhavanayāsamārabhya yāvat mahāparinirvāṇaṃ darśayati sarvāṃ	tuzita-BavanayAsam-AraBya yAvat mahA-parinirvANam darSayati sarvAm
   bodhisattvacaryāṃ buddhacaryāṃ mahācaryāṃ darśayatīti pudgalaḥ /	boDisattva-caryAm budDacaryAm mahA-caryAm darSayati-iti pudgalaH /
   adhimukticārī bodhisattvaḥ pudgalaḥ katamaḥ / adhimukticaryābhūmau sthito	aDimukti-cArI boDisattvaH pudgalaH katamaH / aDimukti-caryA-BUmO sTitaH-
   mṛdumadhyādhimātrabodhisattvakṣāntisamanvāgataḥ pudgalaḥ // adhyāśayacārī	mRdu-maDya-aDimAtra-boDisattva-kzAnti-samanvAgataH pudgalaH // aDyASaya-cArI
   bodhisattvaḥ pudgalaḥ katamaḥ / daśasu bhūmiṣu sthito yo bodhisattvaḥ //	boDisattvaH pudgalaH katamaH / daSasu BUmizu sTitaH yaH boDisattvaH //
   sanimittacārī bodhisattvaḥ pudgalaḥ katamaḥ /	sa-nimitta-cArI boDisattvaH pudgalaH katamaH /
   pramuditāvimalāprabhākaryarciṣmatīsudurjayābhimukhībhūmiṣu sthito yo	pramudita-avimalA-praBA-karI-arcizmatI-su-durjaya-aBimuKIBUmizu sTitaH yaH-
   bodhisattvaḥ // animittacārī bodhisattvaḥ pudgalaḥ katamaḥ /	boDisattvaH // animitta-cArI boDisattvaH pudgalaH katamaH /
   duraṃgamabhūmau sthito yo bodhisattvaḥ // anabhisaṃskāracārī bodhisattvaḥ	duraMgam-aBUmO sTitaH yaH boDisattvaH // anaBisaMskAra-cArI boDisattvaH
   pudgalaḥ katamataḥ / acalā sādhumatīdharmameghāsu bhūmiṣu sthito yo	pudgalaH katamataH / acalA sADu-matI-Darma-meGAsu BUmizu sTitaH yaH-
   bodhisattvaḥ //	boDisattvaH //
   punaḥ khalu strotaāpannaḥ pugdalo yaduktaḥ sa dvividhaḥ / kramanairyāṇikaḥ	punar Kalu strotaApannaH pugdalaH yat-uktaH sa dviviDaH / kramanEryANikaH
   sakṛnnairyāṇikaśca / krasanairyāṇiko yathā purvamuktaḥ // sakṛnnairyāṇikaḥ	sakRt-nEH-yANikaH-ca / krasanEH-yANikaH yaTA purva-m-uktaH // sakRnnEH-yANikaH
   satyābhisamayamabhisaṃpraviṣṭaḥ aprāpta samāpattimāśritya adhigatena	satya-aBisamayam-aBisaMpravizwaH aprApta samApattim-ASritya aDigatena
   lokottaramāgreṇa sakṛta traidhātukāvacarān sarvakleśān prajahāti	loka-uttarama-agreNa sakRta trEDAtuka-avacarAn sarva-kleSAn prajahAti
   prakāraśaḥ prajahāti / dvayoḥ phalayo strotāpattiphalārhattvaphalayoḥ	prakAraSas prajahAti / dvayoH PalayaH strotApatti-Pala-arhat-tva-PalayoH
   prajñāpyate / sa ca pudgalo bhūyo dṛṣṭe dharme maraṇakāle ājñāmārāgayati /	prajQApyate / sa ca pudgalaH BUyas dRzwe Darme maraNa-kAle AjQAm-ArAgayati /
   yadi nārāgayati praṇidhānavaśena / tarhi praṇidhānavaśena	yadi na-ArAgayati praNiDAna-vaSena / tarhi praNiDAna-vaSena
   kāmadhātāvevopapannaḥ avuddhabhave pratyekajinobhavati /	kAmaDAtO=-eva-upapannaH avudDa-Bave pratyeka-jinoBavati /
   (atha viniścaye prāptiparicchede tṛtīye dvitīyo bhāgaḥ)	(aTa viniScaye prApti-paricCede tRtIye dvitIyaH BAgaH)
   abhisamayavyavasthānaṃ katamat / samāsato daśavidham / dharmābhisamayaḥ	aBisamaya-vyavasTAnam katamat / samAsatas daSaviDam / Darma-aBisamayaH
   (Abhidh-s 93) arthābhisamayaḥ tattvābhisamayaḥ pṛṣṭhābhisamayaḥ	(a-aBiD-H 93) arTa-aBisamayaH tattva-aBisamayaH pRzWa-aBisamayaH
   ratnābhisamayaḥ asamudācārābhisamayaḥ niṣṭhābhisamayaḥ śrāvakābhisamayaḥ	ratna-aBisamayaH asamudAcAra-aBisamayaH nizWA-aBisamayaH SrAvaka-aBisamayaH
   pratyekabuddhābhisamayaḥ bodhisattvābhisamayaśca //	pratyekabudDa-aBisamayaH boDisattva-aBisamayaH-ca //
   dharmābhisamayaḥ katamaḥ / satyādhipateyeṣu dharmeṣu adhimātrasya	Darma-aBisamayaH katamaH / satya-aDipateyezu Darmezu aDimAtrasya
   adhimuktiprasādasya pratilambhaḥ yathāsaṃpratyayaṃ caryā ca //	aDimukti-prasAdasya pratilamBaH yaTAsaMpratyayam caryA ca //
