   1. Vairagyaprakarana	1. VEragya prakarana
        sukheṣu sukhitā{#14} nityaṃ duḥkhitā duḥkhavṛttiṣu /	suKezu suKita A{#14} nityam duHKitA duHKa vRttizu /
        mahātmāno hi dṛśyante nūnam antas tu śītalāḥ // Mo_4,15.38 //	mahAtmAnaH hi dRSyante nUnam antar tu SItalAH // MaH _4,15.38 //
   śītalāḥ sukhaduḥkhakṛtakṣobharahitāḥ || MoT_4,15.38 ||	SItalAH suKa duHKa kRta kzoBa rahitAH || MoT_4,15.38 ||
   ***NOTES:	***NOTa ES:
   #14 °1,°3: sukhi°; N17: sukha°	#14 °1,°3: suKi°; N17: suKa°
        stambhasya{#15} pratibimbāni kṣubhyanti na vapuḥ sthiram /	stamBasi a{#15} pratibimbAni kzuByanti na vapuH sTiram /
        jñasya karmendriyāṇy eva kṣubhyanti na manaḥ sthiram // Mo_4,15.39 //	jQasya karmendriyANi eva kzuByanti na manaH sTiram // MaH _4,15.39 //
   sthiraṃ vapuḥ dṛḍhaṃ stambhākhyaṃ svarūpam | kṣubhyantīty antargataṇic |	sTiram vapuH dRXam stamBa AKyam sva rUpam | kzuByanti iti antargataNit |
   kau prayogau | te na kṣobhayantīty{#16} arthaḥ | karmendriyāṇy	kO prayogO | te na kzoBayanti iti {#16} arTaH | karmendriyANi 
   upalabdhyākhyakarmakārīṇi jñānendriyāṇīty arthaḥ || MoT_4,15.39 ||	upalabDi AKya karma kArINi jQAna indriyANi iti arTaH || MoT_4,15.39 ||
   ***NOTES:	***NOTa ES:
   #15 N17: [s]tambha°	#15 N17: [s]tamBa°
   #16 N17: °ya[n]tī°	#16 N17: °ya[n]tI°
        calācalatayā tajjño{#17} lokavṛttiṣu tiṣṭhati /	cala acala tayA tad jQo{#17} loka vRttizu tizWati /
        adhaḥsthitir{#18} iva svaccham pratibimbeṣu{#19} bhāskaraḥ //	aDas sTitiH {#18} iva svacCam pratibimba izu{#19} BAskaraH //
   Mo_4,15.40 //	MaH _4,15.40 //
   calācalatayā atyantacāñcalyena | bhāskaraḥ kathambhūtaḥ | adhaḥ adhodeśe |	cala acala tayA atyanta cAQcalyena | BAskaraH kaTamBUtaH | aDas aDas deSe |
   sthitiḥ avasthānaṃ yasya | saḥ || MoT_4,15.40 ||	sTitiH avasTAnam yasya | saH || MoT_4,15.40 ||
   ***NOTES:	***NOTa ES:
   #17 N17: ta[j]jño	#17 N17: ta[j]jQaH 
   #18 N17: adha[ḥ]°	#18 N17: aDa[H]°
   #19 °1: svaccham pra°; °3,N17: svacchapra°	#19 °1: svacCam pra°; °3,N17: svacCa pra°
        santyaktalokakarmāpi baddha evāprabuddhadhīḥ /	santyakta loka karmA api badDaH eva aprabudDa DIH /
        atyaktamohalīlo ḥpi mukta eva prabuddhadhīḥ // Mo_4,15.41 //	atyakta moha lIlaH Hpi muktaH eva prabudDa DIH // MaH _4,15.41 //
   prabuddhadhītvāprabuddhadhītvayor evātra bandhamokṣau prati kāraṇatvam iti	prabudDa DItvA prabudDa DI tvayoH eva atra banDa mokzO prati kAraNa tvam iti
   bhāvaḥ || MoT_4,15.41 ||	BAvaH || MoT_4,15.41 ||
        muktabuddhīndriyo mukto baddhakarmendriyo ḥpi hi /	mukta budDIndriyaH muktaH badDa karmendriyaH Hpi hi /
        baddhabuddhīndriyo{#20} baddho muktakarmendriyo ḥpi hi // Mo_4,15.42	badDa budDi indriyaH { #20} badDaH mukta karmendriyaH Hpi hi // MaH _4,15.42
   hiśabdaḥ prasiddhau || MoT_4,15.42 ||	hi SabdaH prasidDO || MoT_4,15.42 ||
   ***NOTES:	***NOTa ES:
   #20 N17: b<u>[a]ddhabuddhī°	#20 N17: b<u>[a]dDa budDI°
        sukhaduḥkhadṛśor loke bandhamokṣadṛśos tathā /	suKa duHKa dRSoH loke banDa mokza dRSoH taTA /
        hetur buddhīndriyāṇy eva tejāṃsīva prakāśane // Mo_4,15.43 //	hetuH budDIndriyANi eva tejAMsi iva prakASane // MaH _4,15.43 //
   prakāśane arthaprakaṭatākaraṇe || MoT_4,15.43 ||	prakASane arTa prakawa tA karaNe || MoT_4,15.43 ||
        bahir lokocitācāras tv antar ācāravarjitaḥ /	bahis loka ucita AcAraH tu antar AcAra varjitaH /
        samo ḥsann iva tiṣṭha tvaṃ saṃśāntasakalaiṣaṇaḥ // Mo_4,15.44 //	samaH Hsan iva tizWa tvam saMSAnta sakala ezaNaH // MaH _4,15.44 //
   antaḥ manasi || MoT_4,15.44 ||	antar manasi || MoT_4,15.44 ||
        sarvaiṣaṇāvimuktena svātmanātmani tiṣṭhatā /	sarva ezaNA vimuktena sva AtmanA Atmani tizWatA /
        kuru karmāṇi kāryāṇi nūnaṃ sāmanasi sthitiḥ // Mo_4,15.45 //	kuru karmANi kAryANi nUnam sAmanasi sTitiH // MaH _4,15.45 //
   he rāma | tvam | sarvaiṣaṇāvimuktena | ata eva ātmani na tu anātmarūpeṣu	he rAma | tvam | sarva ezaNA vimuktena | atas eva Atmani na tu anAtma rUpezu
   viṣayeṣu | tiṣṭhatā ātmanā manasā | kāryāṇi niyatāni | karmāṇi kuru |	vizayezu | tizWatA AtmanA manasA | kAryANi niyatAni | karmANi kuru |
   nūnaṃ niścayena | sā amanasi sthitiḥ manasi sthitiḥ na bhavati ||	nUnam niScayena | sA amanasi sTitiH manasi sTitiH na Bavati ||
   MoT_4,15.45 ||	MoT_4,15.45 ||
        ādhivyādhimahāvarte garte saṃsāravartmani /	ADi vyADi mahA Avarte garte saMsAra vartmani /
        mamatogrāndhakūpe ḥsmin mā patātapadāyini // Mo_4,15.46 //	mamatA ugra anDa kUpe Hsmin mA pata Atapa dAyini // MaH _4,15.46 //
   mamatogrāndhakūpe kathambhūte | saṃsāravartmani saṃsārarūpe mārge | garte	mamatA ugra anDa kUpe kaTamBUte | saMsAra vartmani saMsAra rUpe mArge | garte
   gartatayā sthite || MoT_4,15.46 ||	garta tayA sTite || MoT_4,15.46 ||
        na tvam bhāveṣu no bhāvās tvayi tāmarasekṣaṇa /	na tvam BAvezu naH BAvAH tvayi tAmarasa IkzaNa /
        śuddhabuddhasvabhāvas tvam ātmasaṃsthaḥ sthiro bhava // Mo_4,15.47 //	SudDa budDa svaBAvaH tvam Atma saMsTaH sTiraH Bava // MaH _4,15.47 //
   tvam sākṣibhūtaśuddhacinmātrarūpaḥ tvam | ātmasaṃsthaḥ	tvam sAkzi BUta SudDa cit mAtra rUpaH tvam | Atma saMsTaH
   śuddhabuddhasvabhāvasvātmaparaḥ{#21} | na tu dehādiparaḥ || MoT_4,15.47 ||	SudDa budDa svaBAva sva Atma paraH{#21} | na tu deha Adi paraH || MoT_4,15.47 ||
   ***NOTES:	***NOTa ES:
   #21 N17: °r(ā)aḥ	#21 N17: °r(A)aH
   sargāntaślokenottaraṃ samāpayati	sarga antaSlokena uttaram samApayati
        vyapagatamamatāmahāndhakāram	vyapagatamama tAmahA anDakAram
        padam amalaṃ vigataiṣaṇaṃ sametya /	padam amalam vigata ezaNam sametya /
        prabhavasi yadi cetaso mahātmaṃs	praBavasi yadi cetasaH mahAtman= 
        tad atidhiye mahate sate namas te // Mo_4,15.48 //	tat ati Diye mahate sate namaH te // MaH _4,15.48 //
   vyapagatam mamatārūpam mahāndhakāram yasya | tat | tādṛśam | ata evāmalam	vyapagatam mamatA rUpam mahA anDakAram yasya | tat | tAdRSam | atas eva amalam
   vigataiṣaṇam tṛptatayā samastākāṅkṣārahitam | padam cinmātrākhyam padam |	vigata ezaNam tRpta tayA samasta AkAFkzA rahitam | padam cit mAtra AKyam padam |
   sametya svātmatvena vibhāvya | yadi cetasaḥ prabhavasi cetaḥ jetuṃ	sametya sva Atma tvena viBAvya | yadi cetasaH praBavasi cetaH jetum
   samartho bhavasi | he mahātman | tat tadā | te tubhyam | namaḥ astu |	samarTaH Bavasi | he mahAtman | tat tadA | te tuByam | namaH astu |
   kathambhūtāya | atidhiye utkṛṣṭabuddhaye | mahate mahattvayuktāya | sate	kaTamBUtAya | atiDiye utkRzwa budDaye | mahate mahat tva yuktAya | sate
   sanmātrasvarūpāya | iti śivam || MoT_4,15.48 ||	sat mAtra svarUpAya | iti Sivam || MoT_4,15.48 ||
   iti śrībhāskarakaṇṭhaviracitāyāṃ śrīmokṣopāyaṭīkāyāṃ sthitiprakaraṇe	iti SrI BAskara kaNWa viracitAyAm SrI mokza upAyawIkAyAm sTiti prakaraNe
   pañcadaśaḥ{#22} sargaḥ ||15||	paQcadaSaH{#22} sargaH ||15||
   ***NOTES:	***NOTa ES:
   #22 N17: °ñca*da*<ṣṭā>[śa]ḥ	#22 N17: °Qca*da*<zwA>[Sa]H
        athākṣipya vacas tasya tanayasya tadā bhṛgoḥ /	aTa Akzipya vacaH tasya tanayasya tadA BRgoH /
        uvāca bhagavān kālo vaco gambhīraniḥsvanam // Mo_4,16.1 //	uvAca BagavAn kAlaH vacaH gamBIra niHsvanam // MaH _4,16.1 //
   ākṣipya{#1} ākṣepaviṣayaṃ kṛtvā | bhṛgoḥ tanayasya śukrasya || MoT_4,16.1	Akzipya{#1} Akzepa vizayam kRtvA | BRgoH tanayasya Sukrasya || MoT_4,16.1
   ***NOTES:	***NOTa ES:
   #1 N17: <a>[ā]kṣip°	#1 N17: <a>[a a]kzip°
   kālaḥ kathayati	kAlaH kaTayati
        samaṅgātāpasīm{#2} etāṃ tanuṃ santyaja bhārgava /	samaFgA tApa sI m{#2} etAm tanum santyaja BArgava /
        praviśemāṃ tanuṃ sādho nagarīm iva pārthivaḥ // Mo_4,16.2 //	praviSa imAm tanum sADo nagarIm iva pArTivaH // MaH _4,16.2 //
   samaṅgātāpasīm samaṅgātāpasasambandhinīm || MoT_4,16.2 ||	samaFgA tApasIm samaFgA tApasa sambanDinIm || MoT_4,16.2 ||
   ***NOTES:	***NOTa ES:
   #2 N17: °t*ā*pa°	#2 N17: °t*a a*pa°
        kāle pūrvajayā tanvā tapaḥ kṛtvānayā punaḥ /	kAle pUrvajayA tanvA tapaH kRtvA anayA punar /
        gurutvam asurendrāṇāṃ kartavyam bhavatānagha // Mo_4,16.3 //	guru tvam asura indrANAm kartavyam BavatA anaGa // MaH _4,16.3 //
   spaṣṭam || MoT_4,16.3 ||	spazwam || MoT_4,16.3 ||
        mahākalpānta āyāte bhavatā bhārgavī tanuḥ /	mahAkalpa ante AyAte BavatA BArgavI tanuH /
        apunargrahaṇāyaiṣā tyājyā pramlānapuṣpavat // Mo_4,16.4 //	apunar grahaNAya ezA tyAjyA pramlAna puzpa vat // MaH _4,16.4 //
   spaṣṭam || MoT_4,16.4 ||	spazwam || MoT_4,16.4 ||
        jīvanmuktapadam prāptas tanvā prāktanarūpayā /	jIvanmukta padam prAptaH tanvA prAktana rUpayA /
        mahāsurendragurutāṃ kurvaṃs tiṣṭha mahāmate // Mo_4,16.5 //	mahA asura indra guru tAm kurvan tizWa mahAmate // MaH _4,16.5 //
   prāktanarūpayā śukrākhyayā || MoT_4,16.5 ||	prAktana rUpayA Sukra AKyayA || MoT_4,16.5 ||
        kalyāṇam astu vāṃ yāmo vayaṃ tv abhimatāṃ diśam /	kalyANam astu vAm yAmaH vayam tu aBimatAm diSam /
        na kiñcid api tac cittaṃ yasya nābhimatam bhavet // Mo_4,16.6 //	na kiQcid api tat cittam yasya nABimatam Bavet // MaH _4,16.6 //
   nanu kathaṃ tavāpy abhimatam astīty | atrāha na kiñcid iti | tat kiñcid	nanu kaTam tava api aBimatam asti iti | atra Aha na kiQcid iti | tat kiQcid 
   api na bhavati | yasya cittasyābhimatam nāsti | ato mamāpi sacittatvād	api na Bavati | yasya cittasya aBimatam na asti | atas mama api sa citta tvAt 
   abhimatam astīti bhāvaḥ || MoT_4,16.6 ||	aBimatam asti iti BAvaH || MoT_4,16.6 ||
        ity uktvā muñcatoḥ{#3} puṣpaṃ tayoḥ so ḥntaradhīyata /	iti uktvA muQcatoH{#3} puzpam tayoH saH HntaraDIyata /
        taptāṃśur iva rodasyoḥ samam aṃśubhir aṃśumān // Mo_4,16.7 //	taptAMSuH iva rodasyoH samam aMSuBiH aMSumAn // MaH _4,16.7 //
   taptāṃśuḥ sūryaḥ | rodasyoḥ dyāvāpṛthivyoḥ || MoT_4,16.7 ||	taptAMSuH sUryaH | rodasyoH dyAvApRTivyoH || MoT_4,16.7 ||
   ***NOTES:	***NOTa ES:
   #3 N17: °to[ḥ]	#3 N17: °to[H]
        gate tasmin bhagavati tām uktvā bhavitavyatām /	gate tasmin Bagavati tAm uktvA BavitavyatAm /
        vicārya bhārgavo ḥbhedyāṃ niyatāṃ niyater gatim // Mo_4,16.8 //	vicArya BArgavaH HBedyAm niyatAm niyateH gatim // MaH _4,16.8 //
        kālakāraṇasaṃśuṣkām bhāvipuṣpaśubhodayām /	kAla kAraNa saMSuzkAm BAvi puzpa SuBa udayAm /
        viveśa tāṃ tanum bālāṃ sulatām iva mādhavaḥ // Mo_4,16.9 //	viveSa tAm tanum bAlAm sulatAm iva mADavaH // MaH _4,16.9 //
   abhedyām bhettum aśakyām | kālākhyaṃ yat kāraṇam | tena śuṣkām | mādhavaḥ	aBedyAm Bettum aSakyAm | kAla AKyam yat kAraNam | tena SuzkAm | mADavaH
   vasantaḥ | lakṣaṇayā vāsantikaḥ rasaḥ | bhāvī puṣpavat śubhaḥ udayaḥ	vasantaH | lakzaNayA vAsantikaH rasaH | BAvI puzpa vat SuBaH udayaH
   yasyāḥ | tām || MoT_4,16.8 9||	yasyAH | tAm || MoT_4,16.8 9||
        sā brāhmaṇatanur bhūmau vivarṇavad anaṅgikā /	sA brAhmaNa tanuH BUmO vivarNa vat anaFgikA /
        papāta kampitā tūrṇam chinnamūlā latā yathā // Mo_4,16.10 //	papAta kampitA tUrNam Cinna mUlA latA yaTA // MaH _4,16.10 //
   brāhmaṇatanuḥ samaṅgātāpasatanuḥ || MoT_4,16.10 ||	brAhmaNa tanuH samaFgA tApasa tanuH || MoT_4,16.10 ||
        tasyām praviṣṭajīvāyām putratanvām mahāmuniḥ /	tasyAm pravizwa jIvAyAm putra tanvAm mahA muniH /
        cakārāpyāyanam mantraiḥ sakamaṇḍaluvāribhiḥ{#4} // Mo_4,16.11 //	cakAra ApyAyanam mantrEH sa kamaNxalu vAriBiH{#4} // MaH _4,16.11 //
   āpyāyanam pūraṇam || MoT_4,16.11 ||	ApyAyanam pUraNam || MoT_4,16.11 ||
   ***NOTES:	***NOTa ES:
   #4 N17: °ṇḍa*lu*vā°	#4 N17: °Nxa*lu*vA°
        sarvanāḍyaḥ{#5} tatas tanvyās tasyāḥ{#6} pūrṇā virejire /	sarva nAxyaH{#5} tatas tanvyAH tasyAH{#6} pUrNA virejire /
        saritaḥ prāvṛṣīvāmbupūrapūritakoṭarāḥ // Mo_4,16.12 //	saritaH prAvRzi iva ambu pUra pUrita kowarAH // MaH _4,16.12 //
   spaṣṭam || MoT_4,16.12 ||	spazwam || MoT_4,16.12 ||
   ***NOTES:	***NOTa ES:
   #5 °ḍya(ta)s	#5 °xya(ta)s
   #6 °sy*ā*ḥ	#6 °sy*A*H
        nalinī prāvṛṣīvāsau madhāv iva navā latā /	nalinI prAvRzi iva asO maDO iva navA latA /
        yadā pūrṇā tadā tasyāḥ prāṇāḥ{#7} pallavitā babhuḥ // Mo_4,16.13 //	yadA pUrNA tadA tasyAH prANAH{#7} pallavitAH baBuH // MaH _4,16.13 //
   asau bhārgavatanuḥ | pūrṇā prāṇapūrṇā | tasyāḥ tanvāḥ{#8} | pallavitāḥ	asO BArgava tanuH | pUrNA prANa pUrNA | tasyAH tanu AH{#8} | pallavitAH
   apānādirūpeṇocchūnāḥ || MoT_4,16.13 ||	apAna Adi rUpeNa ucCUnAH || MoT_4,16.13 ||
   ***NOTES:	***NOTa ES:
   #7 N17: °ṇā[ḥ]	#7 N17: °NA[H]
   #8 N17: °nvā[ḥ]	#8 N17: °nvA[H]
        atha śukraḥ samuttasthau vahatprāṇasamīraṇaḥ /	aTa SukraH samuttasTO vahat prANa samIraNaH /
        rasamārutasaṃyogād āmūlam iva vāridaḥ // Mo_4,16.14 //	rasa mAruta saMyogAt AmUlam iva vAridaH // MaH _4,16.14 //
   āmūlam mūlād ārabhya || MoT_4,16.14 ||	AmUlam mUlAt AraBya || MoT_4,16.14 ||
        puro ḥbhivādayām āsa pitaram pāvanākṛtiḥ /	puras HBivAdayAm Asa pitaram pAvana AkRtiH /
        prathamollāsito meghaḥ staniteneva parvatam // Mo_4,16.15 //	praTama ullAsitaH meGaH stanitena iva parvatam // MaH _4,16.15 //
   spaṣṭam || MoT_4,16.15 ||	spazwam || MoT_4,16.15 ||
        pitātha prāktanīṃ tasyāpy āliliṅga tanuṃ tataḥ /	pitA aTa prAktanIm tasya api AliliFga tanum tatas /
        snehārdravṛttir jaladaś cirād giritaṭīm iva // Mo_4,16.16 //	sneha Ardra vRttiH jaladaH cirAt giri tawIm iva // MaH _4,16.16 //
   spaṣṭam || MoT_4,16.16 ||	spazwam || MoT_4,16.16 ||
        bhṛgur dadarśa sasneham prāktanīṃ tānayīṃ tanum /	BRguH dadarSa sa sneham prAktanIm tAnayIm tanum /
        matto jāto ḥyam ity āsthā haraty api mahāmatim // Mo_4,16.17 //	mattaH jAtaH Hyam iti AsTA harati api mahAmatim // MaH _4,16.17 //
   tānayīm tanayasambandhinīm | nanu tādṛgjñānayuktena tena kathaṃ tānayī	tAnayIm tanaya sambanDinIm | nanu tAdRS jQAna yuktena tena kaTam tAnayI
   tanuḥ sasnehaṃ dṛṣṭety | atrāha matta iti || MoT_4,16.17 ||	tanuH sa sneham dRzwA iti | atra Aha mattaH iti || MoT_4,16.17 ||
        matputro ḥyam iti sneho bhṛgum apy aharat tadā /	mad putraH Hyam iti snehaH BRgum api aharat tadA /
        paratātmīyatā ceyaṃ yāvadākṛti bhāvinī // Mo_4,16.18 //	para tA AtmIyatA ca iyam yAvat AkRti BAvinI // MaH _4,16.18 //
   paratā parabhāvaḥ | ātmīyatā ātmīyabhāvaḥ | yāvadākṛti yāvaccharīram |	para tA para BAvaH | AtmIyatA AtmIya BAvaH | yAvat AkRti yAvat SarIram |
   bhāvinī aparihāryā || MoT_4,16.18 ||	BAvinI aparihAryAH || MoT_4,16.18 ||
        babhūvatuḥ pitāputrau tāv athānyoḥnyaśobhitau /	baBUvatuH pitAputrO tO aTa anyoHnya SoBitO /
        niśāvasānamuditāv arkapadmākarāv iva // Mo_4,16.19 //	niSA avasAna muditO arka padma AkarO iva // MaH _4,16.19 //
   niśāvasāne prabhāte | muditau{#9} || MoT_4,16.19 ||	niSA avasAne praBAte | muditO{ #9} || MoT_4,16.19 ||
   ***NOTES:	***NOTa ES:
   #9 N17: °t<o>[au]	#9 N17: °t<a u>[O]
   atraivānyadṛṣṭāntadvayaṃ kathayati	atra eva anya dRzwAnta dvayam kaTayati
        cirasaṅgamasambaddhāv iva cakrāhvadampatī /	cira saFgam asambadDO iva cakrAhva dampatI /
        ghanāgamaghanasnehau mayūrajaladāv iva // Mo_4,16.20 //	Gana Agama Gana snehO mayUra jaladO iva // MaH _4,16.20 //
        cirakāladṛḍhotkaṇṭhayogyayā kathayā tayā /	cira kAla dRXa utkaNWa yogyayA kaTayA tayA /
        sthitvā tatra muhūrtaṃ tāv athotthāya mahāmatī // Mo_4,16.21 //	sTitvA tatra muhUrtam tO aTa utTAya mahAmatI // MaH _4,16.21 //
        samaṅgādvijadehaṃ tam bhasmasāt tatra cakratuḥ /	samaFgA dvija deham tam BasmasAt tatra cakratuH /
        ko hi nāma jagajjāta ācāraṃ nānutiṣṭhati // Mo_4,16.22 //	kaH hi nAma jagat jAtaH AcAram na anutizWati // MaH _4,16.22 //
   ācāram lokācāram{#10} || MoT_4,16.20 22 ||	AcAram loka AcAra m{#10} || MoT_4,16.20 22 ||
   ***NOTES:	***NOTa ES:
   #10 N17: (yugmam)	#10 N17: (yugmam)
        evaṃ tau kānane tasmin pāvane bhṛgubhārgavau /	evam tO kAnane tasmin pAvane BRgu BArgavO /
        saṃsthitau tapasā dīptau divīva{#11} śaśibhāskarau // Mo_4,16.23 //	saMsTitO tapasA dIptO divIva{#11} SaSi BAskarO // MaH _4,16.23 //
   spaṣṭam || MoT_4,16.23 ||	spazwam || MoT_4,16.23 ||
   ***NOTES:	***NOTa ES:
   #11 N17: °v<e>[ī]va	#11 N17: °v<e>[I]va
        ceratur jñātavijñeyau jīvanmuktau jagadgurū /	ceratuH jQAta vijQeyO jIvanmuktO jagadgurU /
        deśakāladaśaugheṣu suśamaṃ susthiraṃ tapaḥ // Mo_4,16.24 //	deSa kAla daSa oGezu su Samam su sTiram tapaH // MaH _4,16.24 //
   tapaḥ kathambhūtam | śobhanaḥ śamaḥ yasmin | tat | tādṛśam || MoT_4,16.24	tapaH kaTamBUtam | SoBanaH SamaH yasmin | tat | tAdRSam || MoT_4,16.24
        athāsuragurutvaṃ sa śukraḥ kālena labdhavān /	aTa asura guru tvam sa SukraH kAlena labDavAn /
        bhṛgur apy ātmano yogye pade ḥtiṣṭhad anāmaye // Mo_4,16.25 //	BRguH api AtmanaH yogye pade HtizWat anAmaye // MaH _4,16.25 //
   ātmanaḥ yogye pade videhamuktyākhye pade || MoT_4,16.25 ||	AtmanaH yogye pade videha mukti AKye pade || MoT_4,16.25 ||
   sargāntaślokena śukravṛttāntaṃ saṅkṣipya kathayati śukro ḥsāv iti |	sarga anta Slokena Sukra vRttAntam saFkzipya kaTayati SukraH HsO iti |
        śukro ḥsau prathamam iti krameṇa jāta	SukraH HsO praTamam iti krameNa jAta
        etasmāt paramapadād udārakīrtiḥ /	etasmAt parama padAt udAra kIrtiH /
        svenāśu smṛtipadavibhrameṇa paścād	svena ASu smRti pada viBrameNa paScAt 
        evaṃ ca pravilulito daśāntareṣu // Mo_4,16.26 //{#12}	evam ca pravilulitaH daSa antarezu // MaH _4,16.26 //{#12}
   etasmāt{#13} sarveṣām ātmatvena puro vartamānāt | paramapadāt	etasmAt{#13} sarvezAm Atma tvena puras vartamAnAt | parama padAt 
   cinmātrākhyāt uttamāt sthānāt | daśāntareṣu samaṅgātāpasatvaparyanteṣv	cit mAtra AKyAt uttamAt sTAnAt | daSa antarezu samaFgA AtApa satva paryantezu 
   avasthāviśeṣeṣu{#14} | iti śivam || MoT_4,16.26 ||	avasTA viSeza izu{#14} | iti Sivam || MoT_4,16.26 ||
   ***NOTES:	***NOTa ES:
   #12 N17 om.: Vers 26. Text gemäß °1, °3.	#12 N17 om.: VerH 26. Text gemäß °1, °3.
   #13 N17: et(ā)a°	#13 N17: et(A)a°
   #14 N17: °śe[ṣe]ṣu	#14 N17: °Se[ze]zu
   iti śrībhāskarakaṇṭhaviracitāyāṃ śrīmokṣopāyaṭīkāyāṃ sthitiprakaraṇe{#15}	iti SrI BAskara kaNWa viracitAyAm SrI mokza upAyawIkAyAm sTiti prakaraNe{#15}
   ṣoḍaśaḥ sargaḥ ||16||	zoxaSaH sargaH ||16||
   ***NOTES:	***NOTa ES:
   #15 N17 om.: sthitiprakaraṇe	#15 N17 om.: sTiti prakaraNe
   oṃ | śrīrāmaḥ pṛcchati	om | SrI rAmaH pRcCati
        bhagavan bhṛguputrasya pratibhā sānubhūtitaḥ /	Bagavan BRguputrasya pratiBA sa anuBUtitaH /
        yathāsya saphalā jātā tathānyasya na kim bhavet // Mo_4,17.1 //	yaTA asya saPalA jAtA taTA anyasya na kim Bavet // MaH _4,17.1 //
   he bhagavan | asya samanantaroktena vṛttāntena{#1} varṇitasya |	he Bagavan | asya samanantara uktena vRttAntena{#1} varNitasya |
   bhṛguputrasya | sā pratibhā tat nānāyonigamanarūpam pratibhānam |	BRgu putrasya | sA pratiBA tat nAnA yoni gamana rUpam pratiBAnam |
   anubhūtitaḥ anubhavāt hetoḥ | saphalā arthakriyākhyaphalayuktā | jātā |	anuBUtitaH anuBavAt hetoH | saPalA arTa kriyA AKya Pala yuktA | jAtAH |
   anyathā hi bhṛgusambandhī svasambandhī vā samaṅgātāpasaviṣayo ḥnubhavaḥ na	anyaTA hi BRgu sambanDI sva sambanDI vA samaFgA tApasa vizayaH HnuBavaH na
   yuktaḥ syāt iti bhāvaḥ | tathā tadvat | anyasya śukravyatiriktasya	yuktaH syAt iti BAvaH | taTA tadvat | anyasya Sukra vyatiriktasya
   puruṣasya | sā pratibhā saphalā kim katham | na bhavet | na hi svapne	puruzasya | sA pratiBA saPalA kim kaTam | na Bavet | na hi svapne
   pratibhātaṃ svasmin gajāditvam pratyakṣam anubhūyate || MoT_4,17.1 ||	pratiBAtam svasmin gaja Adi tvam pratyakzam anuBUyate || MoT_4,17.1 ||
   ***NOTES:	***NOTa ES:
   #1 N17: vṛt[t]ā°	#1 N17: vRt[t]A°
   śrīvasiṣṭho ḥtrottaraṃ kathayati	SrI vasizWaH Htra uttaram kaTayati
        idamprathamam utpannā sā tadā brahmaṇaḥ padāt /	idam praTamam utpannA sA tadA brahmaNaH padAt /
        śuddhā matir bhārgavasya nānyajanmakalaṅkitā // Mo_4,17.2 //	SudDA matiH BArgavasya na anya janma kalaFkitAH // MaH _4,17.2 //
   idamprathamam tatpūrvam | yataḥ bhārgavasya śukrasya | brahmaṇaḥ padāt	idam praTamam tat pUrvam | yatas BArgavasya Sukrasya | brahmaNaH padAt 
   sadyaḥ utthitatvāt{#2} | sā nānāyonipratibhānaviṣayā | buddhiḥ | śuddhā	sadyas utTita tva at{#2} | sA nAnA yoni pratiBAna vizayA | budDiH | SudDA
   pūrvajanmavāsanānicayākaluṣitā | āsīt | tataḥ tasya sā nānāyonigamanarūpā	pUrva janma vAsanA nicaya akaluzitA | AsIt | tatas tasya sA nAnA yoni gamana rUpA
   pratibhā saphalā jātā | anye tu pūrvatamam utpannatvāt madhye	pratiBA saPalAH jAtAH | anye tu pUrvatamam utpanna tvAt maDye
   nānājanmāntarotthavāsanājālakalaṅkitāḥ{#3} santaḥ na svapratibhānam	nAnA janma antara utTa vAsanA jAla kalaFkitAH{#3} santaH na sva pratiBAnam
   pratyakṣam anubhavantīti bhāvaḥ || MoT_4,17.2 ||	pratyakzam anuBavanti iti BAvaH || MoT_4,17.2 ||
   ***NOTES:	***NOTa ES:
   #2 N17: °tvā[t]	#2 N17: °tvA[t]
   #3 N17: °tarot< >[tha]vā°	#3 N17: °tarot< >[Ta ]vA°
   nanv asyāḥ śuddhāyāḥ mateḥ svarūpaṃ kīdṛg astīty | atrāha	nanu asyAH SudDAyAH mateH svarUpam kIdRS asti iti | atra Aha
   sarvaiṣaṇānām{#4} iti |	sarva ezaNAnAm {#4} iti |
        sarvaiṣaṇānāṃ saṃśāntau śuddhā cittasya yā sthitiḥ /	sarva ezaNAnAm saMSAntO SudDA cittasya yA sTitiH /
        tat sattvam ucyate saiṣā vimalā cid udāhṛtā // Mo_4,17.3 //{#5}	tat sattvam ucyate sA ezA vimalA cit udAhRtAH // MaH _4,17.3 //{#5}
   sarvaiṣaṇānām{#6} nānābhogyajālaviṣayāṇāṃ samastānām icchānām | śāntau	sarva ezaNAnAm{#6} nAnA Bogya jAla vizayANAm samastAnAm icCAnAm | SAntO
   suṣuptyādiprabhāvena samyagjñānādinā vā śamane sati | cittasya manasaḥ |	suzupti Adi praBAvena samyak jQAna AdinA vA Samane sati | cittasya manasaH |
   yā sthitiḥ yat avasthānam | asti | paṇḍitaiḥ tat sattvam ucyate | sā eva	yA sTitiH yat avasTAnam | asti | paNxitEH tat sattvam ucyate | sA eva
   vimalā cit vimalā matiḥ | udāhṛtā | kiṃ ca iyam eva śuddhā matiḥ	vimalA cit vimalA matiH | udAhRtA | kim ca iyam eva SudDA matiH
   idamprathamam utpannasya ca bhavati jīvanmuktasya ca bhavati |	idam praTamam utpannasya ca Bavati jIvanmuktasya ca Bavati |
