   1. Gaurava Vilasa	1. GOrava  Vilasa
   paricaryā parāḥ kecit prāsādādiṣu śerate |	paricaryA  parAH kecid prAsAda Adizu Serate |
   manuṣyam iva taṃ draṣṭuṃ vyavahartuṃ ca bandhuvat // Hbhv_11.252 //	manuzyam iva tam drazwum vyavahartum ca banDu vat // HBu _11.252 //
   kiṃ ca 	kim ca 
   yathā vidhi niṣedhau tu muktaṃ naviopasarpataḥ |	yaTA viDi nizeDO tu muktam navia upasarpataH |
   tathā na spṛśato rāmopāsakaṃ vidhi pūrvakam // Hbhv_11.253 //	taTA na spRSataH rAma upAsakam viDi  pUrvakam // HBu _11.253 //
   śrī bhagavad gītāsu (12.1) 	SrI  Bagavat  gItAsu (12.1) 
   evaṃ satata yuktā ye bhaktās tvāṃ paryupāsate |	evam satata  yuktAH ye BaktAH tvAm paryupAsate |
   ye cāpy akṣaram avyaktaṃ teṣāṃ ke yoga vittamāḥ // Hbhv_11.254 //	ye ca api akzaram avyaktam tezAm ke yoga  vittamAH // HBu _11.254 //
   ity arjunena pṛṣṭaḥ śrī bhagavān uvāca (12.2) 	iti arjunena pRzwaH SrI  BagavAn uvAca (12.2) 
   mayy āveśya mano ye māṃ nityayuktā upāsate |	mayi AveSya manaH ye mAm nitya yuktAH upAsate |
   śraddhayā parayopetās te me yuktatamā matāḥ // Hbhv_11.255 //	SradDayA parayA upetAH te me yuktatamAH matAH // HBu _11.255 //
   caturtha skandhe [BhP 4.21.31] 	caturTa skanDe [Bhj 4.21.31] 
   yat pāda sevābhirucis tapasvinām	yat pAda  sevA aBiruciH tapasvinAm
   aśeṣa janmopacitaṃ malaṃ dhiyaḥ |	aSeza  janma upacitam malam DiyaH |
   sadyaḥ kṣiṇoty anvaham edhatī satī	sadyas kziNoti anvaham eDatI satI
   yathā padāṅguṣṭha viniḥsṛtā sarit // Hbhv_11.256 //	yaTA pada aFguzWa  viniHsRtA sarit // HBu _11.256 //
   kiṃ ca, nāradoktau [BhP 4.31.14] 	kim ca, nArada uktO [Bhj 4.31.14] 
   yathā taror mūla niṣecanena	yaTA taroH mUla nizecanena
   tṛpyanti tat skandha bhujopaśākhāḥ |	tRpyanti tat skanDa  Buja upaSAKAH |
   prāṇopahārāc ca yathendriyāṇāṃ	prANa upahArAt ca yaTA indriyANAm
   tathaiva sarvārhaṇam acyutejyā // Hbhv_11.257 //	taTA eva sarva arhaNam acyuta ijyA // HBu _11.257 //
   ekādaśa skandhe ca kavi yogeśvarasya vākyaṃ [BhP 11.2.33] 	ekAdaSa  skanDe ca kavi  yoga ISvarasya vAkyam [Bhj 11.2.33] 
   manye'kutaścid bhayam acyutasya	manye akutaScid Bayam acyutasya
   pādāmbujopāsanam atra nityam |	pAda ambuja upAsanam atra nityam |
   udvigna buddher asad ātma bhāvād	udvigna  budDeH asat  Atma  BAvAt 
   viśvātmanā yatra nivartate bhīḥ // Hbhv_11.258 //	viSva AtmanA yatra nivartate BIH // HBu _11.258 //
   śrī bhagavataś ca [BhP 11.27.49] 	SrI  BagavataH ca [Bhj 11.27.49] 
   evaṃ kriyā yoga pathaiḥ pumān vaidika tāntrikaiḥ |	evam kriyA  yoga  paTEH pumAn vEdika tAntrikEH |
   arcann ubhayataḥ siddhiṃ matto vindaty abhīpsitām // Hbhv_11.259 //	arcan uBayatas sidDim mattaH vindati aBIpsitAm // HBu _11.259 //
   kiṃ ca [BhP 11.27.53]	kim ca [Bhj 11.27.53]
   mām eva nairapekṣyeṇa bhakti yogena vindati |	mAm eva nErapekzyeNa Bakti yogena vindati |
   bhakti yogaṃ sa labhata evaṃ yaḥ pūjayeta mām // Hbhv_11.260 //	Bakti yogam sa laBate evam yaH pUjayeta mAm // HBu _11.260 //
   gautamīya tantre śrī nāradasya 	gOtamIya tantre SrI nAradasya 
   tulasī dala mātreṇa jalasya culukena ca |	tulasI  dala  mAtreNa jalasya culukena ca |
   vikrīṇīte svam ātmānaṃ bhaktebhyo bhakta vatsalaḥ // Hbhv_11.261 //	vikrINIte svam AtmAnam BakteByaH Bakta vatsalaH // HBu _11.261 //
   atha pūjā nityatā	aTa pUjA a nitya tA
   mahābhārate 	mahABArate 
   mātṛvat parirakṣantaṃ sṛṣṭi saṃhāra kārakam |	mAtR vat parirakzantam sRzwi  saMhAra kArakam |
   yo nārcayati deveśaṃ taṃ vidyād brahma ghātakam // Hbhv_11.262 //	yaH na arcayati deveSam tam vidyAt brahma GAtakam // HBu _11.262 //
   ata evoktaṃ bṛhan nāradīye pādodaka māhātmyākhyānārambhe 	atas eva uktam bRhan  nAradIye pAda udaka mAhAtmya AKyAn AramBe 
   hari pūjā vidhānaṃ tu yasya veśmani no dvijaḥ |	hari  pUjA  viDAnam tu yasya veSmani naH dvijaH |
   śmaśāna sadṛśaṃ vidyān na kadāpi viśec ca tat // Hbhv_11.263 //	SmaSAna  sadRSam vidyAt na kadApi viSet ca tat // HBu _11.263 //
   ata evoktaṃ viṣṇu dharmottare   	atas eva uktam vizNu  Darma uttare   
   puṣpair vā yadi vā patraih phalair vā yadi vāmbubhiḥ |	puzpEH vA yadi vA patrEH PalEH vA yadi vA ambuBiH |
   yaṣṭavyaḥ puṇḍarīkākṣas tyaktvā kārya śatāni ca // Hbhv_11.264 //	yazwavyaH puNxarIkAkzaH tyaktvA kArya  SatAni ca // HBu _11.264 //
   kiṃ ca nāradīye 	kim ca nAradIye 
   nimitteṣu ca sarveṣu tat tat kāla viśeṣataḥ |	nimittezu ca sarvezu tat tat kAla viSezataH |
   pūjayed deva deveśaṃ dravyaṃ sampādya yatnataḥ // Hbhv_11.265 //	pUjayet deva deveSam dravyam sampAdya yatnatas // HBu _11.265 //
   ata evoktaṃ bhagavatā hāyagrīveṇa hāyaśīrṣa pañcarātre 	atas eva uktam BagavatA hAyagrIveNa hAyaSIrza  paQcarAtre 
   pratiṣṭhitārcā na tyājyā yāvaj jīvaṃ samarcayet |	pratizWita arcA na tyAjyAH yA avaj jIvam samarcayet |
   varaṃ prāṇasya vā tyāgaḥ śiraso vāpi karttanam // Hbhv_11.266 //	varam prANasya vA tyAgaH SirasaH vA api karttanam // HBu _11.266 //
   pūjayā nityatālekhi prāk ca naivedya bhakṣaṇe |	pUjayA nitya tA leKi prAk ca nEvedya  BakzaNe |
   māhātmyaṃ ca paraṃ śālagrāma cakra prasaṅgataḥ // Hbhv_11.267 //	mAhAtmyam ca param SAlagrAma  cakra  prasaFgataH // HBu _11.267 //
   pūjāṅgānāṃ ca māhātmyaṃ yad yad vilikhitaṃ purā |	pUjA aFgAnAm ca mAhAtmyam yat yat viliKitam purA |
   tat sarvam iha pūjāyāṃ paryavasyati hi svataḥ // Hbhv_11.268 //	tat sarvam iha pUjAyAm paryavasyati hi svatas // HBu _11.268 //
   pūjā mahima mattebhāh śāstrāraṇya vihāriṇaḥ |	pUjA  mahima matta iBAh SAstra araNya  vihAriNaH |
   kīṭena kati saṅgrāhyāḥ prabhāvam śrī harer vinā // Hbhv_11.269 //	kIwena kati saFgrAhyAH praBAvam SrI  hareH vinA // HBu _11.269 //
   atha śrī bhagavan nāma sadā seveta sarvataḥ |	aTa SrI  Bagavan nAma sadA seveta sarvatas |
   tan māhātmyaṃ ca vikhyātaṃ saṅkṣepenātra likhyate // Hbhv_11.270 //	tan  mAhAtmyam ca viKyAtam saFkzepena atra liKyate // HBu _11.270 //
   atha śrī bhagavan nāma māhātmyam	aTa SrI  Bagavan nAma  mAhAtmyam
   tatra śrī bhagavan nāma viśeṣasya ca sevanam |	tatra SrI  Bagavan nAma  viSezasya ca sevanam |
   ṛṣibhiḥ kṛpayādiṣṭaṃ tat tat kāma hatātmanām // Hbhv_11.271 //	RziBiH kRpayA Adizwam tat tat kAma hata AtmanAm // HBu _11.271 //
   atha kāma viśeṣeṇa śrī bhagavan nāma viśeṣa sevā māhātmyam	aTa kAma  viSezeNa SrI  Bagavan nAma  viSeza  sevA mAhAtmyam
   tatra pāpa kṣayārthaṃ	tatra pApa  kzaya arTam
   śrī kaurme 	SrI kOrme 
   śrī śabda pūrvaṃ jaya śabda madhyaṃ	SrI  Sabda  pUrvam jaya  Sabda  maDyam
   jaya dvayād uttaratas tathā hi |	jaya  dvayAt uttaratas taTA hi |
   triḥ sapta kṛtvo narasiṃha nāma	tris  sapta kRtvas narasiMha nAma
   japtaṃ nihanyād api vipra hatyām // Hbhv_11.272 //	japtam nihanyAt api vipra hatyAm // HBu _11.272 //
   mahā bhaya nivaranartham	mahA Baya  nivara narTam
   tatraiva 	tatra eva 
   śrī pūrvo narasiṃho dvir jayād uttaratas tu saḥ |	SrI  pUrvaH narasiMhaH dvis jayAt uttaratas tu saH |
   triḥ sapta kṛtvo japato mahābhaya nivāraṇaḥ // Hbhv_11.273 //	tris  sapta kRtvas japataH mahA Baya  nivAraNaH // HBu _11.273 //
   kāla viśeṣe tu maṅgalārthaṃ, viṣṇu dharmottare mārkaṇḍeya vajra saṃvāde	kAla viSeze tu maFgala arTaM, vizNu  Darma uttare mArkaNxeya  vajra  saMvAde
   puruṣaṃ vāsudevaṃ ca tathā saṅkarṣaṇaṃ vibhum |	puruzam vAsudevam ca taTA saFkarzaNam viBum |
   pradyumnam aniruddhaṃ ca kramād abdeṣu kīrtayet // Hbhv_11.274 //	pradyumnam anirudDam ca kramAt abdezu kIrtayet // HBu _11.274 //
   balabhadraṃ tathā kṛṣṇaṃ kīrtayed ayana dvaye |	balaBadram taTA kRzNam kIrtayet ayana  dvaye |
   madhavaṃ puṇḍarīkākṣaṃ tathā vai bhoga sayinam // Hbhv_11.275 //	maDavam puNxarIkAkzam taTA vE Boga sayinam // HBu _11.275 //
   padmanābhaṃ hṛṣīkeśaṃ tathā devaṃ trivikramam |	padmanABam hRzIkeSam taTA devam trivikramam |
   kramena raja sardula vasantadisu kīrtayet // Hbhv_11.276 //	kramena raja sardula vasanta disu kIrtayet // HBu _11.276 //
   viṣṇuṃ ca madhu hantāraṃ tathā devaṃ trivikramam |	vizNum ca maDu hantAram taTA devam trivikramam |
   vāmanaṃ śrīdharaṃ caiva hṛṣīkeśaṃ tathāiva ca // Hbhv_11.277 //	vAmanam SrIDaram ca eva hRzIkeSam taTA aiva ca // HBu _11.277 //
   dāmodaraṃ padmanābhaṃ keśavaṃ ca yadūttamam |	dAmodaram padmanABam keSavam ca yadu uttamam |
   nārāyaṇaṃ mādhavaṃ ca govindaṃ ca tathā kramāt // Hbhv_11.278 //	nArAyaNam mADavam ca govindam ca taTA kramAt // HBu _11.278 //
   caitrādiṣu ca māseṣu deva devam anusmaret |	cEtra Adizu ca mAsezu deva devam anusmaret |
   pradyumnam aniruddhaṃ ca pakṣayoḥ kṛṣṇa śuklayoḥ // Hbhv_11.279 //	pradyumnam anirudDam ca pakzayoH kRzNa  SuklayoH // HBu _11.279 //
   sarvaḥ śarvaḥ sivaḥ sthāṇur bhūtādir nidhir avyayaḥ |	sarvaH SarvaH sivaH sTANuH BUtAdiH niDiH avyayaH |
   adityādiṣu vareṣu kramād evam anusmaret // Hbhv_11.280 //	aditi Adizu varezu kramAt evam anusmaret // HBu _11.280 //
   viśvaṃ viṣṇur vaṣaṭ kāro bhūta bhavya bhavat prabhuḥ |	viSvam vizNuH vazaw kAraH BUta Bavya   Bavat  praBuH |
   bhūta bhṛd bhūta kṛd bhavo bhūtātmā bhūta bhavanaḥ // Hbhv_11.281 //	BUta  BRt BUta kRt BavaH BUtAtmA BUta BavanaH // HBu _11.281 //
   avyaktaḥ puṇḍarīkākṣo visvakarma sucisravaḥ |	avyaktaH puNxarIkAkzaH visvakarma su cisravaH |
   sad bhavo bhavano bharta prabhavaḥ prabhur isvaraḥ // Hbhv_11.282 //	sat  BavaH BavanaH Barta praBavaH praBuH isvaraH // HBu _11.282 //
   aprameyo hṛṣīkeśah padmanabho 'mara prabhuḥ |	aprameyaH hRzIkeSah padma naBaH amara  praBuH |
   agrahyaḥ sasvato dhata kṛṣṇaś caitany anusmaret |	agrahyaH sasvataH Data kRzNaH ca etanI anusmaret |
   deva devasya nāmāni kṛttikadisu yadava // Hbhv_11.283 //	deva devasya nAmAni kRttika disu yat ava // HBu _11.283 //
   brahmāṇaṃ śrī patiṃ viṣṇuṃ kapilaṃ śrīdharaṃ prabhum |	brahmANam SrI patim vizNum kapilam SrIDaram praBum |
   dāmodaraṃ hṛṣīkeśaṃ govindaṃ madhusūdanam // Hbhv_11.284 //	dAmodaram hRzIkeSam govindam maDusUdanam // HBu _11.284 //
   bhūdharaṃ gadinaṃ devaṃ saṅkhinaṃ padminaṃ tathā |	BUDaram gadinam devam saFKinam padminam taTA |
   cakriṇaṃ ca mahārāja prathamādiṣu saṃsmaret // Hbhv_11.285 //	cakriNam ca mahA rAja praTama Adizu saMsmaret // HBu _11.285 //
   sarvaṃ vā sarvadā nāma deva devasya yādava // Hbhv_11.286 //	sarvam vA sarvadA nAma deva devasya yAdava // HBu _11.286 //
   nāmāni sarvāṇi janārdanasya	nAmAni sarvANi janArdanasya
   kālaś ca sarvaḥ puruṣa pravīrāḥ |	kAlaH ca sarvaH puruza  pravIrAH |
   tasmāt sadā sarva gatasya nāma	tasmAt sadA sarva gatasya nAma
   grāhyaṃ yatheṣṭaṃ varadasya rājan // Hbhv_11.287 //	grAhyam yaTezwam vara dasya rAjan // HBu _11.287 //
   vividha kāma siddhaye ca	viviDa  kAma  sidDaye ca
   pulastyoktau 	pulastya uktO 
   kāmaḥ kāma pradaḥ kāntaḥ kāma pālas tathā hariḥ |	kAmaH kAma pradaH kAntaH kAma pAlaH taTA hariH |
   ānando mādhavaś caiva kāma saṃsiddhaye japet // Hbhv_11.288 //	AnandaH mADavaH ca eva kAma  saMsidDaye japet // HBu _11.288 //
   rāmaḥ paraśurāmaś ca nṛsiṃho viṣṇur eva ca |	rAmaH paraSurAmaH ca nRsiMhaH vizNuH eva ca |
   vikramaś caivam ādīni japyāny ari jigīṣubhiḥ // Hbhv_11.289 //	vikramaH ca evam AdIni japyAni ari   jigIzuBiH // HBu _11.289 //
   vidyām abhyastatā nityaṃ japtavyaḥ puruṣottamaḥ |	vidyAm aByasta tA nityam japtavyaH puruzottamaH |
   dāmodaraṃ bandha gato nityam eva japen naraḥ // Hbhv_11.290 //	dAmodaram banDa  gataH nityam eva japet naraH // HBu _11.290 //
   keśavaṃ puṇḍarīkākṣam aniśaṃ hi tathā japet |	keSavam puNxarIkAkzam aniSam hi taTA japet |
   netra bādhāsu sarvāsu hṛṣīkeśaṃ bhayeṣu ca // Hbhv_11.291 //	netra  bADAsu sarvAsu hRzIkeSam Bayezu ca // HBu _11.291 //
   acyutaṃ cāmṛtaṃ caiva japed auṣadha karmāṇi |	acyutam ca amRtam ca eva japet OzaDa karmANi |
   saṅgrāmābhimukho gacchan saṃsmared aparājitam // Hbhv_11.292 //	saFgrAma aBimuKaH gacCan saMsmaret aparAjitam // HBu _11.292 //
   cakriṇaṃ gadinaṃ caiva śārṅgiṇaṃ khaḍginaṃ tathā |	cakriNam gadinam ca eva SArFgiNam Kaxginam taTA |
   kṣemārthī pravasan nityaṃ dikṣu pracyādiṣu smaret // Hbhv_11.293 //	kzema arTI pravasan nityam dikzu pracyAdizu smaret // HBu _11.293 //
   ajitaṃ cādhipaṃ caiva sarvaṃ sarveśvaraṃ tathā |	ajitam ca aDipam ca eva sarvam sarveSvaram taTA |
   saṃsmaret puruṣo bhaktyā vyavahāreṣu sarvadā // Hbhv_11.294 //	saMsmaret puruzaH BaktyA vyavahArezu sarvadA // HBu _11.294 //
   nārāyaṇaṃ sarva kālaṃ kṣuta praskhalanādiṣu |	nArAyaNam sarva kAlam kzuta  prasKalana Adizu |
   graha nakṣatra pīḍāsu deva bādhāsu sarvataḥ // Hbhv_11.295 //	graha nakzatra pIxAsu deva bADAsu sarvatas // HBu _11.295 //
   dasyu vairi nirodheṣu vyāghra siṃhādi saṅkaṭe |	dasyu  vEri  niroDezu vyAGra  siMha Adi saFkawe |
   andhākāre tamas tīvre narasiṃham anusmaret // Hbhv_11.296 //	anDa AkAre tamas  tIvre narasiMham anusmaret // HBu _11.296 //
   agni dāhe samutpanne saṃsmarej jala śāyinam |	agni dAhe samutpanne saMsmaret jala SAyinam |
   garuḍadhvajānusmaranād viṣa vīryaṃ vyapohati // Hbhv_11.297 //	garuxaDvaja anusmaranAt viza vIryam vyapohati // HBu _11.297 //
   snāne devārcane home praṇipāte pradakṣine |	snAne deva arcane home praNipAte pradakzine |
   kīrtayed bhagavan nāma vāsudeveti tat paraḥ // Hbhv_11.298 //	kIrtayet Bagavan nAma vAsudeva iti tat  paraH // HBu _11.298 //
   sthāpane vitta dhānyāder apadhyāne ca duṣṭaje |	sTApane vitta DAnya AdeH apaDyAne ca duzwa je |
   kurvīta tan manā bhūtvā anantācyuta kīrtanam // Hbhv_11.299 //	kurvIta tan  manAH BUtvA ananta acyuta  kIrtanam // HBu _11.299 //
   nārāyaṇam śārṅga dharaṃ śrīdharaṃ puruṣottamam |	nArAyaNam SArFga Daram SrIDaram puruzottamam |
   vāmanaṃ khaḍginaṃ caiva duṣṭa svapne sadā smaret // Hbhv_11.300 //	vAmanam Kaxginam ca eva duzwa  svapne sadA smaret // HBu _11.300 //
   mahārṇavādau paryaṅka śāyinaṃ ca naraḥ smaret |	mahA arNava AdO paryaFka SAyinam ca naraH smaret |
   balabhadraṃ samṛddhy arthaṃ sarva karmāṇi saṃsmaret // Hbhv_11.301 //	balaBadram samRdDi  arTam sarva karmANi saMsmaret // HBu _11.301 //
   jagat patim apatyārthaṃ stuvān bhaktyā na sīdati |	jagat patim apatya arTam stuvAn BaktyA na sIdati |
   śrīśaṃ sarvābhyudayike karmany āśu prakīrtayet // Hbhv_11.302 //	SrISam sarva aByudayike karmani ASu prakIrtayet // HBu _11.302 //
   ariṣṭeṣu hy aśeṣeṣu viśokaṃ ca sadā japet |	arizwezu hi aSezezu viSokam ca sadA japet |
   maru prapātāgni jala bandhanādiṣu mṛtyuṣu |	maru  prapAta agni jala  banDana Adizu mRtyuzu |
   svatantra paratantreṣu vāsudevaṃ japed budhaḥ // Hbhv_11.302 //	svatantra  paratantrezu vAsudevam japet buDaH // HBu _11.302 //
   sarvārtha śakti yuktasya deva devasya cakriṇaḥ |	sarva arTa  Sakti yuktasya deva devasya cakriNaH |
   yathābhirocate nāma tat sarvārtheṣu kīrtayet // Hbhv_11.303 //	yaTA aBirocate nAma tat sarva arTezu kIrtayet // HBu _11.303 //
   sarvārtha siddhim āpnoti nāmnām ekārthatā yathā |	sarva arTa  sidDim Apnoti nAmnAm ekArTa tA yaTA |
   sarvāṇy etāni nāmāni parasya brahmaṇo hareḥ // Hbhv_11.304 //	sarvANi etAni nAmAni parasya brahmaNaH hareH // HBu _11.304 //
   evaṃ viṣṇu dharmottare ca mārkaṇḍeya vajra saṃvāde kiṃ ca 	evam vizNu  Darma uttare ca mArkaNxeya  vajra  saMvAde kim ca 
   kūrmaṃ varāhaṃ matsyaṃ vā jala prataraṇe smaret |	kUrmam varAham matsyam vA jala prataraNe smaret |
   bhrājiṣṇum agni janane japen nāma tv akhaṇḍitam // Hbhv_11.306 //	BrAjizNum agni janane japet nAma tu aKaNxitam // HBu _11.306 //
   garuḍadhvajānusmaraṇād āpado mucyate naraḥ |	garuxaDvaja anusmaraNAt ApadaH mucyate naraH |
   jvara juṣṭa śiro roga viṣa vīryaṃ ca śamyati // Hbhv_11.307 //	jvara  juzwa  SiraH  roga viza  vIryam ca Samyati // HBu _11.307 //
   balabhadraṃ tu yuddhārthī kṛśyārambhe halāyudham |	balaBadram tu yudDa arTI kRSi AramBe halAyuDam |
   uttarānāṃ vāṇijyārthī rāmam abhyudaye nṛpa // Hbhv_11.308 //	uttarAnAm vANijya arTI rAmam aByudaye nRpa // HBu _11.308 //
   maṅgalyaṃ maṅgalaṃ viṣṇum maṅgalyeṣu ca kīrtayet |	maFgalyam maFgalam vizNum maFgalyezu ca kIrtayet |
   uttiṣṭhan kīrtayed viṣṇum prasvapan madhavaṃ naraḥ |	uttizWan kIrtayet vizNum prasvapan maDavam naraH |
   bhojane caiva govindaṃ sarvatra madhusūdanam // Hbhv_11.309 //	Bojane ca eva govindam sarvatra maDusUdanam // HBu _11.309 //
   tatraivānyatra 	tatra eva anyatra 
   auṣadhe cintayed viṣṇum bhojane ca janārdanam |	OzaDe cintayet vizNum Bojane ca janArdanam |
   śayane padmanābhaṃ ca maithune ca prajāpatim // Hbhv_11.310 //	Sayane padmanABam ca mETune ca prajApatim // HBu _11.310 //
   saṅgrāme cakriṇaṃ kruddham sthāna bhraṃśe trivikramam |	saFgrAme cakriNam krudDam sTAna BraMSe trivikramam |
   nārāyaṇaṃ vṛṣotsarge śrīdharaṃ priya saṅgame |	nArAyaNam vRzotsarge SrIDaram priya  saFgame |
   jala madhye ca vārāhaṃ pāvake jalaśāyinam // Hbhv_11.311 //	jala  maDye ca vArAham pAvake jala SAyinam // HBu _11.311 //
   kānane narasiṃhaṃ ca parvate raghunandanam |	kAnane narasiMham ca parvate raGunandanam |
   duḥsvapne smara govindaṃ viśuddhau madhusūdanam |	duHsvapne smara govindam viSudDO maDusUdanam |
   māyāsu vāmanaṃ devaṃ sarva kāryeṣu mādhavam // Hbhv_11.312 //	mAyAsu vAmanam devam sarva kAryezu mADavam // HBu _11.312 //
   kiṃ ca 	kim ca 
   kīrtayed vāsudevaṃ ca anukteṣv api yādava |	kIrtayet vAsudevam ca anuktezu api yAdava |
   kāryārambhe tathā rājan yatheṣṭaṃ nāma kīrtayet // Hbhv_11.313 //	kArya AramBe taTA rAjan yaTezwam nAma kIrtayet // HBu _11.313 //
   sarvāṇi nāmāni hi tasya rājan	sarvANi nAmAni hi tasya rAjan
   sarvārtha siddhyai tu bhavanti pumsaḥ |	sarva arTa  sidDyE tu Bavanti pumsaH |
   tasmād yatheṣṭaṃ khalu kṛṣṇa nāma	tasmAt yaTezwam Kalu kRzNa nAma
   sarveṣu kāryeṣu japeta bhaktyā // Hbhv_11.314 //	sarvezu kAryezu japeta BaktyA // HBu _11.314 //
   tatrākhila pāponmūlanatvam	tatra aKila  pApa unmUlana tvam
   atha sāmānyataḥ śrī bhagavan nāma kīrtana māhātmyam	aTa sAmAnyatas SrI  Bagavan nAma  kIrtana  mAhAtmyam
   viṣṇu dharme hari bhakti sudhodaye coktaṃ nāradena 	vizNu  Darme hari  Bakti suDA udaye ca uktam nAradena 
   aho su nirmala yūyam rāgo hi hari kīrtane |	aho su nirmala yUyam rAgaH hi hari kIrtane |
   avidhūya tamaḥ kṛtsnaṃ nṛṇām udeti sūryavat // Hbhv_11.315 //	aviDUya tamaH kRtsnam nRNAm udeti sUrya vat // HBu _11.315 //
   garude 	garude 
   pāpānalasya dīptasya mā kurvantu bhayaṃ narāḥ |	pApa analasya dIptasya mA kurvantu Bayam narAH |
   govinda nāma meghaughair naśyate nīra bindubhiḥ // Hbhv_11.316 //	govinda  nAma  meGa oGEH naSyate nIra  binduBiH // HBu _11.316 //
   avaśenāpi yan nāmni kīrtane sarva pātakaiḥ |	avaSena api yan nAmni kIrtane sarva pAtakEH |
   pumān vimucyate sadyaḥ siṃha trastair mṛgair iva // Hbhv_11.317 //	pumAn vimucyate sadyas siMha trastEH mRgEH iva // HBu _11.317 //
   yan nāma kīrtanaṃ bhaktyā vilāpanam anuttamam |	yan nAma  kIrtanam BaktyA vilApanam anuttamam |
   maitreyāśeṣa pāpānāṃ dhātūnām iva pāvakaḥ // Hbhv_11.318 //	mEtreya aSeza  pApAnAm DAtUnAm iva pAvakaH // HBu _11.318 //
   yasmin nyasta matir na yāti narakaṃ svargo 'pi yac cintane	yasmin nyasta matiH na yAti narakam svargaH api yac cintane
   vighno yatra niveśitātma manaso brāhmo 'pi loko 'lpakaḥ |	viGnaH yatra niveSita Atma  manasaH brAhmaH api lokaH alpakaH |
   muktiṃ cetasi yaḥ sthito 'mala dhiyāṃ puṃsāṃ dadāty avyayaḥ	muktim cetasi yaH sTitaH amala  DiyAm puMsAm dadAti avyayaH
   kiṃ citraṃ yad aghaṃ prayāti vilayaṃ tatrācyute kīrtite // Hbhv_11.319 //	kim citram yat  aGam prayAti vilayam tatra acyute kIrtite // HBu _11.319 //
   viṣṇu dharmottare   	vizNu  Darma uttare   
   sāyaṃ prātas tathā kṛtvā deva devasya kīrtanam |	sAyam prAtar taTA kRtvA deva devasya kIrtanam |
   sarva pāpa vinirmuktaḥ svarga loke mahīyate // Hbhv_11.320 //	sarva pApa  vinirmuktaH svarga  loke mahIyate // HBu _11.320 //
   vāmane 	vAmane 
   nārāyaṇo nāma naro narāṇāṃ	nArAyaNaH nAma naraH narANAm
   prasiddha cauraḥ kathitaḥ pṛthivyām |	prasidDa  cOraH kaTitaH pRTivyAm |
   aneka janmārjita pāpa sañcayam	aneka  janma arjita pApa  saQcayam
   haraty aśeṣaṃ śruta mātra eva // Hbhv_11.321 //	harati aSezam Sruta  mAtraH eva // HBu _11.321 //
   skānde 	skAnde 
   govindeti tathā proktaṃ bhaktyā vā bhakti varjitaiḥ |	govinda iti taTA proktam BaktyA vA Bakti varjitEH |
   dahate sarva pāpāni yugāntāgnir ivotthitaḥ // Hbhv_11.322 //	dahate sarva  pApAni yugAnta agniH iva utTitaH // HBu _11.322 //
   govinda nāmnā yaḥ kaścin naro bhavati bhū tale |	govinda  nAmnA yaH kaScid naraH Bavati BU  tale |
   kīrtanād eva tasyāpi pāpaṃ yāti sahasradhā // Hbhv_11.323 //	kIrtanAt eva tasya api pApam yAti sahasraDA // HBu _11.323 //
   kāśī khaṇḍe 	kASI KaNxe 
   pramādād api saṃspṛṣṭo yathānala kaṇo dahet |	pramAdAt api saMspRzwaH yaTA anala  kaNaH dahet |
   tathauṣṭha puṭa saṃspṛṣṭaṃ hari nāma dahed agham // Hbhv_11.324 //	taTA ozWa puwa  saMspRzwam hari nAma dahet aGam // HBu _11.324 //
   bṛhan nāradīye lubdhakopakhyānānte 	bRhan  nAradIye lubDaka upaKyAna ante 
   narāṇāṃ viṣayāndhānām mamatākula cetasām |	narANAm vizaya anDAnAm mamatA Akula  cetasAm |
   ekam eva harer nāma sarva pāpa vināśanam // Hbhv_11.325 //	ekam eva hareH nAma sarva pApa  vinASanam // HBu _11.325 //
   ata eva tatraiva yamenoktam 	atas eva tatra eva yamena uktam 
   hari hari sakṛd uccāritam	hari hari sakRt uccAritam
   dasyu cchalena yair manuṣyaiḥ |	dasyu  = Calena yEH manuzyEH |
   jananī jaṭhara mārga luptā	jananI  jaWara  mArga  luptA
   na mama paṭa lipiṃ viśanti martyāḥ // Hbhv_11.326 //	na mama pawa lipim viSanti martyAH // HBu _11.326 //
   pādme vaiśākha māhātmye devaśarmopākhyānānte śrī nāradoktau 	pAdme vESAKa mAhAtmye deva Sarma upAKyAna ante SrI nArada uktO 
   hatyāyutaṃ pāna sahasram ugram	hatyA ayutam pAna  sahasram ugram
   gurv aṅganā koṭi niṣevanaṃ ca |	guru  aFganA  kowi nizevanam ca |
   steyāny anekāni hari priyeṇa	steyAni anekAni hari priyeNa
   govinda nāmnā nihatāni sadyaḥ // Hbhv_11.327 //	govinda  nAmnA nihatAni sadyas // HBu _11.327 //
   anicchayāpi dahati spṛṣṭo huta vaho yathā |	anicCayA api dahati spRzwaH huta vahaH yaTA |
   tathā dahati govinda nāma vyājād apīritam // Hbhv_11.328 //	taTA dahati govinda  nAma vyAjAt api Iritam // HBu _11.328 //
   tatraiva śrī yama brāhmaṇa saṃvāde 	tatra eva SrI yama  brAhmaNa  saMvAde 
   kīrtanād eva kṛṣṇasya viṣṇor amita tejasaḥ |	kIrtanAt eva kRzNasya vizNoH amita  tejasaH |
