   Kṣaṇabhaṅgasiddhiḥ /	KzaNa BaFga sidDiH /
   paramārthata ekenaiva svarūpeṇānekakāryyaniṣpādanādubhayavyāvṛtterabhāvāt	paramArTataH ekena eva sva rUpeNa aneka kAryya nizpAdanAt uBaya vyAvRtteH aBAvAt 
   / yacca vījasyaikenaiva svabhāvena kārakatve	/ yat ca vIjasya ekena eva svaBAvena kAraka tve
   kṣityādīnāmaṅkurasvābhāvyāpattiranyathā kāraṇābhede 'pi kāryyabhede 'pi	kziti AdInAm aFkura svABAvya ApattiH anyaTA kAraNa aBede api kAryya Bede api
   kāryyasyāhetukatvaprasaṅgādityuktaṃ tadasaṅgataṃ / kāraṇaikatvasya	kAryyasyA hetuka tva prasaFgAt iti uktam tad asaFgatam / kAraNa eka tvasya
   kāryyabhedasya ca paṭunendriyapratyakṣeṇa prasādhanāt /	kAryya Bedasya ca pawunA indriya pratyakzeNa prasADanAt /
   ekakāraṇajanyatvaikatvayorvyāpteḥ pratihatatvāt / prasaṅgasyānupadatvāt /	eka kAraNa janya tva eka tvayoH vyApteH pratihata tvAt / prasaFgasya anupada tvAt /
   yacca kāraṇābhede kāryyābheda ityuktaṃ tatra sāmagrīsvarūpaṃ	yat ca kAraNa aBede kAryya aBedaH iti uktam tatra sAmagrI svarUpam
   kāraṇamabhipretaṃ sāmagrīsajātīyatve na kāryyavijātīyatetyarthaḥ / na	kAraNam aBipretam sAmagrI sa jAtIya tve na kAryI avijAtIyatA iti arTaH / na
   punaḥ sāmagrīmadhyagatenaikenānekaṃ kāryyaṃ na karttavyaṃ nāma /	punar sAmagrI maDya gatena ekena anekam kAryyam na karttavyam nAma /
   ekasmādanekotpatteḥ pratyakṣasidvatvāt / na caivaṃ pratyabhijñānāt	ekasmAt aneka utpatteH pratyakza sidva tvAt / na ca evam pratyaBijQAnAt 
   kālabhedepyabhedasidvirityuktaprāyam / na cendriyapratyakṣaṃ bhinnadeśaṃ	kAla Beda Ipya Beda sidvis iti ukta prAyam / na ca indriya pratyakzam Binna deSam
   sapratighaṃ dṛśyamarthadvayamekamevopalambhayatīti kvacidupalabdhaṃ yena	sa pratiGam dRSyam arTa dvayam ekam eva upalamBayati iti kvacid upalabDam yena
   tatrāpi bhedaśaṅkā syāt / śaṅkāyāmbā paṭupratyakṣasyāpyapalāpe	tatra api Beda SaFkA syAt / SaFkAya ambA pawu pratyakzasya api apalApe
   sarvvapramāṇocchedaprasaṅgāt / nāpi sandigdhavyatirekaḥ /	sarvu apramANa ucCeda prasaFgAt / na api sandigDa vyatirekaH /
   kṣityāderdrabyāntarasya vījasvabhāvatvenāsmābhirasvīkṛtatvāt	kziti AdeH drabya antarasya vIja svaBAva tvena asmABiH asvIkRta tvAt 
   anupakāriṇyapekṣāyāḥ pratyākhyānāt / vyāpakānupalambhasyāsidvatvāyogāt /	anupakAriNI apekzAyAH pratyAKyAnAt / vyApaka anupalamBasya asi dvatva ayogAt /
   tadetau dvāvapi vyāpakānupalambhāvasidvau na kṣaṇikāt sattvannivarttata	tat etO dvO= api vyApaka anupalamBO= asi dvO na kzaNikAt sattvat nivarttata
   iti nāyamasādhāraṇo hetuḥ / api ca vidyamāno bhāvaḥ	iti na ayam asADAraNaH hetuH / api ca vidyamAnaH BAvaH
   sādhyetarayoraniścitānvayavyatireko gandhavattādivadasādhāraṇo yuktaḥ /	sADya itarayoH aniScita anvaya vyatirekaH ganDavat tA Adi vadasADAraNaH yuktaH /
   prakṛtavyāpakānupalambhācca sarvvathārthakriyaivāsatī	prakRta vyApaka anupalamBAt ca sarvu aTa arTa kriyA eva asatI
   ubhābhyāmbādibhyāmubhayasmādvinivarttitatvena nirāśrayatvāt / tat	uBa aByAmba AdiByAm uBayasmAt vinivarttita tvena nirASraya tvAt / tat 
   kathamasādhāraṇānaikāntikī bhaviṣyatyalaṃ pralāpini nirbbandhena / tadevaṃ	kaTam asADAraNa anEkAntikI Bavizyati alam pralApini nirbbanDena / tat evam
   śaktasya kṣepāyogāt samarthavyavahāragocaratvaṃ jananena vyāptamiti	Saktasya kzepA yogAt samarTa vyavahAra gocara tvam jananena vyAptam iti
   prasaṅgaviparyyayayoḥ sattve hetorapi nānaikāntikatvamataḥ	prasaFga viparyyayayoH sattve hetoH api na anEkAntika tvam atas 
   kṣaṇabhaṅgasidviriti sthitam //	kzaNa BaFga sidvis iti sTitam //
   iti sādharmyadṛṣṭānte 'nvayarūpavyāptyā	iti sADarmya dRzwAnte anvaya rUpa vyAptyA
   kṣaṇabhaṅgasidviḥ samāptā //	kzaNa BaFga sidvis samAptAH //
   kṛtiriyaṃ mahāpaṇḍitaratnakīrttipādānāmiti //	kRtiH iyam mahA paNxita ratna kIrtti pAdAnAm iti //
