   pañcatantram	paQcatantram
   patyau videśa yāte parama sukhaṃ jaghana capalāyāḥ ||Panc_4.53||	patyO videSa yAte parama  suKam jaGana capalAyAH ||Pan= _4.53||
   athāsau pratyūṣe utthāya sva gṛhān nirgataḥ | sāpi taṃ prasthitaṃ vijñāya	aTa asO pratyUze utTAya sva  gRhAt nirgataH | sA api tam prasTitam vijQAya
   prahasita vadanāṅga satkāraṃ kurvāṇā kathañcit taṃ divasam atyavāhayat |	prahasita vadana aFga  satkAram kurvANA kaTaQcid tam divasam atyavAhayat |
   tataś ca pūrva paricitaṃ viṭa gṛhaṃ gatvā tam abhyarthoktavatī	tatas ca pUrva  paricitam viwa gRham gatvA tam aByarTa uktavatI
   yad grāmāntaraṃ gataḥ sa durātmā me patiḥ | tad adya tvayāsmad gṛhe	yat  grAma antaram gataH sa durAtmA me patiH | tat adya tvayA asmad  gRhe
   prasupte jane samāgantavyam |	prasupte jane samAgantavyam |
   tathānuṣṭhite sa rathakāro 'py araṇye dinam ativāhya pradoṣe sva gṛham	taTA anuzWite sa raTakAraH api araNye dinam ativAhya pradoze sva  gRham
   apara dvāreṇa praviṣṭaḥ śayyā tale nibhṛto bhūtvā sthitaḥ | atrāntare sa	apara dvAreNa pravizwaH SayyA tale niBRtaH BUtvA sTitaH | atra antare sa
   devadattaḥ śayana āgatyopaviṣṭaḥ | taṃ dṛṣṭvā rathakāro roṣāviṣṭa citto	devadattaH SayanaH Agatya upavizwaH | tam dRzwvA raTakAraH roza Avizwa  cittaH 
   vyacintayat kim enam utthāya vināśayāmy athavā dvāv apy etau suptau helayā	vyacintayat kim enam utTAya vinASayAmi aTavA dvO api etO suptO helayA
   hanmi | paraṃ paśyāmi tāvac ceṣṭitam asyāḥ śṛṇomi cānena sahālāpān |	hanmi | param paSyAmi tAvat cezwitam asyAH SRNomi ca anena saha AlApAn |
   atrāntare sā gṛha dvāraṃ nibhṛtaṃ pidhāya śayana talam ārūḍhā | tasyās	atra antare sA gRha dvAram niBRtam piDAya Sayana talam ArUXA | tasya as
   tac chayanam ārohantyā rathakāra śarīre pādo lagnaḥ | tato	tac Sayanam ArohantyAH raTakAra  SarIre pAdaH lagnaH | tatas 
   vyacintayat nūnam etena durātmanā rathakāreṇa mat parīkṣārthaṃ bhāvyam |	vyacinta yat nUnam etena durAtmanA raTakAreNa mat  parIkzA arTam BAvyam |
   tat strī carita vijñānaṃ kim api karomi | evaṃ tasyāś cintayantyāḥ sa	tat strI  carita vijQAnam kim api karomi | evam tasyAH cintayantyAH sa
   devadattaḥ sparśotsukyo babhūva | tataś ca	devadattaH sparSa utsukyaH baBUva | tatas ca
   tayākṛtāūjali puṭayābhihitaṃ bho mahānubhava ! na me gātraṃ tvayā	tayA akRta AUjali  puwayA aBihitaM BaH mahA anuBava ! na me gAtram tvayA
   spraṣṭavyam, yato 'haṃ pativratā mahā satī ca | no cec chāpaṃ dattvā tvāṃ	sprazwavyam, yatas aham pativratA mahA  satI ca | no ced SApam dattvA tvAm
   bhasmasāt kariṣyāmi |	BasmasAt karizyAmi |
   sa āha yady evaṃ tarhi kim arthaṃ tvayāhūtaḥ ?	saH Aha yadi evam tarhi kim arTam tvayA AhUtaH ?
   sā prāha bhoḥ ! śṛṇuṣvaikāgra manāḥ | aham adya pratyūṣe	sA prAha BoH ! SRNuzva ekAgra manAH | aham adya pratyUze
   devatā darśanārthaṃ caṇḍikāyatanaṃ gatā | tatrākasmāt khe vāṇī	devatA darSana arTam caNxikA Ayatanam gatA | tatra akasmAt Ke vANI
   sañjātā putri, kiṃ karomi | bhaktāsi me tvam | paraṃ ṣaṇmāsābhyantare	san jAtA  putri, kim karomi | BaktA asi me tvam | param zaz mAsa aByantare
   vidhi niyogād vidhavā bhaviṣyasi | tato mayābhihitaṃ bhagavati ! yayā tvam	viDi  niyogAt viDavA Bavizyasi | tatas mayA aBihitaM Bagavati ! yayA tvam
   āpadaṃ vetsi tathā tat partīkāram api jānāsi | tad asti kaścid upāyo yena	Apadam vetsi taTA tat partIkAram api jAnAsi | tat asti kaScid upAyaH yena
   me patiḥ śata saṃvatsara jīvī bhavati | tatas tayābhihitaṃ vatse, sann api	me patiH Sata  saMvatsara jIvI Bavati | tatas tayA aBihitaM vatse, san api
   nāsti yatas tavāyattaḥ sa pratīkāraḥ | tac chrutvā mayābhihitaṃ devi ! yan	na asti yatas tava AyattaH sa pratIkAraH | tat SrutvA mayA aBihitaM devi ! yat 
   mat prāṇair bhavati tad ādeśaya yena karomi | tato devyābhihitaṃ yady adya	mat  prANEH Bavati tat AdeSaya yena karomi | tatas devyA aBihitaM yadi adya
   dine para puruṣeṇa sahaikasmiñ chayane samāruhyāliṅganaṃ karoṣi, tadā tava	dine para puruzeNa saha ekasmin Cayane samAruhya AliFganam karozi, tadA tava
   bhartṛ sakto 'pamṛtyus tasya sañcarita, tvad bhartā punar varṣa śataṃ	BartR saktaH apamRtyuH tasya saQcarita, tvad  BartA punar varza  Satam
   jīvati | tena mayā tvam abhyarthitaḥ | tayo yat kiñcit kartum anās tat	jIvati | tena mayA tvam aByarTitaH | tayaH yat kiQcid kartum anAH tat 
   kuruṣva, nahi devatā vacanam anyathā bhaviṣyatīti niścayaḥ | tato	kuruzva, na hi devatA  vacanam anyaTA Bavizyati iti niScayaH | tatas 
   'ntarhāsa vikāsa mukhaḥ sa tad ucitam ācacāra |	antarhAsa  vikAsa  muKaH sa tat  ucitam AcacAra |
   so 'pi rathakāro mūrkhas tasyās tad vacanam ākarṇya pulakāṅkita tanuḥ	saH api raTakAraH mUrKaH tasyAH tat  vacanam AkarNya pulaka aFkita tanuH
   śayyā talān niṣkramya tām uvāca sādhu pativrate ! sādhu kula nandini !	SayyA talAn nizkramya tAm uvAca  sADu pativrate ! sADu kula nandini !
   sādhu ! ahaṃ durjana vacana śaṅkita hṛdayas tvat parīkṣārthaṃ	sADu ! aham durjana  vacana  SaFkita hRdayaH tu at  parIkzA arTam
   grāmāntara vyājaṃ kṛtvātra nibhṛtaṃ khaṭvā tale līnaḥ sthitaḥ | tad ehi,	grAma antara  vyAjam kRtvA atra niBRtam KawvA  tale lInaH sTitaH | tat ehi,
   āliṅgaya mām | tvaṃ sva bhartṛ bhaktānāṃ mukhyā nārīṇāṃ, yad evaṃ	AliFgaya mAm | tvam sva  BartR BaktAnAm muKyAH nArINAn, yat evam
   brahma vrataṃ para saṅge'pi pālitavatī |	brahma vratam para saFge api pAlitavatI |
   mad āyur vṛddhi kṛte'pamṛtyu vināśārthaṃ ca tvam evaṃ kṛtavatī | tām evam	mad AyuH  vRdDi kRte apamRtyu  vinASa arTam ca tvam evam kRtavatI | tAm evam
   uktvā sa sneham āliṅgitavān | sva skandhe tām āropya tam api devadattam	uktvA sa sneham AliFgitavAn | sva skanDe tAm Aropya tam api devadattam
   uvāca bhoḥ mahānubhāva ! mat puṇyais tvam ihāgataḥ | tvat prasādāt prāptām	uvAca BoH mahA anuBAva ! mat  puNyEH tvam iha AgataH | tu at  prasAdAt prAptAm
   adya mayā varṣa śata pramāṇam āyuḥ | tatas tvam api māṃ samāliṅgaya	adya mayA varza  Sata  pramANam AyuH | tatas tvam api mAm samAliFgaya
   skandhaṃ me samāroha | iti jalpann anicchantam api devadattaṃ balād	skanDam me samAroha | iti jalpan anicCantam api devadattam balAt 
   āliṅgya skandhe samāropitavān | tataś ca tūrya dhvani cchandena nṛtyan	AliFgya skanDe samAropitavAn | tatas ca tUrya Dvani = Candena nRtyan
   sakala gṛha dvāreṣu babhrāma |	sakala gRha  dvArezu baBrAma |
   ato 'haṃ bravīmi pratyakṣe'pi kṛte pāpe (49) | tan mūḍha ! dṛṣṭa vikāras	atas aham bravImi  pratyakze api kRte pApe (49) | tat mUXa ! dRzwa  vikAra s
   tvam, tat kathaṃ tatra gṛhaṃ gacchāmi | athavā yan māṃ tvaṃ viśvāsayasi	tvam, tat kaTam tatra gRham gacCAmi | aTavA yat mAm tvam viSvAsayasi
   tat te doṣo nāsti, yat īdṛśī svabhāva duṣṭā yuṣmaj jātir yā śiṣṭa saṅgād	tat te dozaH nAsti, yat IdRSI svaBAva  duzwA yuzmaj jAtiH yA Sizwa saFgAt 
   api saumyatvaṃ na yāti | athavā svabhāvo 'yaṃ duṣṭānām | uktaṃ ca 	api sOmya tvam na yAti | aTavA svaBAvaH ayam duzwAnAm | uktam ca 
   sadbhiḥ sambodhyamāno 'pi durātmā pāpa pauruṣaḥ |	sadBiH samboDyamAnaH api durAtmA pApa  pOruzaH |
   ghṛṣyamāṇa ivāṅgāro nirmalatvaṃ na gacchati ||Panc_4.54||	GRzyamANaH iva aFgAraH nirmala tvam na gacCati ||Pan= _4.54||
   tan mūrkha ! strī lubdha ! strī jita ! anye'pi ye tvad vidhā bhavanti te	tat mUrKaH ! strI  lubDaH ! strI  jitaH ! anye api ye tvad  viDAH Bavanti te
   sva kāryaṃ vibhavaṃ mitraṃ ca parityajanti tat kṛte | uktaṃ ca 	sva  kAryam viBavam mitram ca parityajanti tat kRte | uktam ca 
   yā mamodvijate nityaṃ sādya mām avagūhate |	yA mama udvijate nityam sA adya mAm avagUhate |
   priya kāraka bhadraṃ te yan mamāsti harasva tat ||Panc_4.55||	priya kAraka Badram te yat mama asti harasva tat ||Pan= _4.55||
   makara āha katham etat ?	makaraH Aha kaTam etat ?
   vānaro 'bravīt 	vAnaraH abravIt  
   kathā 11	kaTA 11
   kāmātura kathā	kAma Atura  kaTA
   asti kasmiṃścid adhiṣṭhāne kāmāturo nāma mahādhano vṛddha vaṇik | tena	asti kasmiMScid aDizWAne kAmAturaH nAma mahADanaH vRdDa vaNij | tena
   mṛta bhāryeṇa kāmopahata cetasā kācin nirdhana vaṇik sutā prabhūtaṃ vittaṃ	mRta BAryeNa kAma upahata  cetasA kAcid nirDana  vaNik sutA praBUtam vittam
   dattvodvāhitā | atha sā duḥkhābhibhūtā taṃ vṛddha vaṇijaṃ draṣṭum api na	dattvA udvAhitAH | aTa sA duHKa aBiBUtA tam vRdDa vaNijam drazwum api na
   śaśāka | athavā sādhv idam ucyate 	SaSAkaH | aTavA sADu idam ucyate 
   śvetaṃ padaṃ śirasi yat tu śiroruhāṇāṃ	Svetam padam Sirasi yat tu SiroruhANAm
   sthānaṃ paraṃ paribhavasya tad eva puṃsām |	sTAnam param pariBavasya tat eva puMsAm |
   āropitāsthi śakalaṃ parihṛtya yānti	Aropita asTi Sakalam parihRtya yAnti
   cāṇḍāla kūpam iva dūrataraṃ taruṇyaḥ ||Panc_4.56||	cANxAla kUpam iva dUrataram taruNyaH ||Pan= _4.56||
   tathā ca 	taTA ca 
   gātraṃ saṅkucitaṃ gati vigalitā dantāś ca nāśaṃ gatāh	gAtram saFkucitam gati vigalitAH dantAH ca nASam gata ah
   dṛṣṭir bhrāmyati rūpam eva hrasate vaktraṃ ca lālāyate |	dRzwiH BrAmyati rUpam eva hrasate vaktram ca lAlAyate |
   vākyaṃ naiva karoti bāndhava janaḥ patnī na śuśrūṣate	vAkyam na eva karoti bAnDava  janaH patnI na SuSrUzate
   hā kaṣṭaṃ jarayābhibhūta puruṣaḥ putrair avajñāyate ||Panc_4.57||	hA kazwam jarayA aBiBUta puruzaH putrEH avajQAyate ||Pan= _4.57||
   atha kadācit sā tena sahaika śayane parāṅ mukhī yāvat tiṣṭhati tāvat tasya	aTa kadAcid sA tena saha eka Sayane parAF muKI yAvat tizWati tAvat tasya
   gṛhe cauraḥ praviṣṭaḥ | sāpi taṃ cauram avalokya bhaya vyākulā vṛddham api	gRhe cOraH pravizwaH | sA api tam cOram avalokya Baya  vyAkulA vRdDam api
   patiṃ gāḍhaṃ samāliliṅga | so 'pi vismayāt pulakāṅkita sarva gātraś	patim gAXam samAliliFga | saH api vismayAt pulaka aFkita  sarva gAtra H 
   cintayāmāsa aho ! kim eṣā mām adyāvagūhate | aho citram etat ! tataś ca	cintayAmAsa  aho ! kim ezA mAm adya avagUhate | aho citram etat ! tatas ca
   yāvan nipuṇatayāvalokayati tāvat cauraḥ praviṣṭaḥ koṇaika deśe tiṣṭhati |	yAvat nipuNa tayA avalokayati tAvat cOraH pravizwaH koNa eka deSe tizWati |
   punar apy acintayat nūnam eṣā caurasya bhayān mām āliṅgati | taj jñātvā	punar api acintayat nUnam ezA cOrasya BayAt mAm AliFgati | tat jQAtvA
   cauram āha yā mamodvijate nityaṃ sādya (55) iti | bhūyo 'pi nirgacchantam	cOram Aha yA mama udvijate nityam sA adya (55) iti | BUyas api nirgacCantam
   avādīt bho cora ! nityam eva tvayā rātrāv āgantavyaṃ madīyo 'yaṃ vibhavas	avAdIt Bo cora ! nityam eva tvayA rAtrO Agantavyam madIyaH ayam viBavas
   tvadīya iti |	tvadIyaH iti |
   ato 'haṃ bravīmi yā mamodvijate ity ādi | kiṃ bahunā, tena ca	atas aham bravImi yA mama udvijate iti Adi | kim bahunA, tena ca
   strī lubdhena svaṃ sarvaṃ caurasya samarpitam | tvayāpi tathānuṣṭhitam |	strI  lubDena svam sarvam cOrasya samarpitam | tvayA api taTA anuzWitam |
   athaiva tena saha vadato makarasya jalacareṇaikenāgatyābhihitam bho makara	aTa eva tena saha vadataH makarasya jala careNa ekena Agatya aBihitam  BaH makara
   ! tvadīyā bhāryānaśanopaviṣṭā tvayi cirayati praṇayābhibhavād vipannā |	! tvadIyA BAryA anaSana upavizwA tvayi cirayati praNaya aBiBavAt vipannAH |
   evaṃ tad vajra pāta sadṛśa vacanam ākarṇyātīvra vyākulita hṛdayaḥ	evam tad  vajra  pAta  sadRSa vacanam AkarNya atIvra  vyAkulita  hRdayaH
   pralapitam evaṃ cakāra aho kim idaṃ sañjātaṃ me manda bhāgasya | uktaṃ ca 	pralapitam evam cakAra  aho kim idam san jAtam me manda BAgasya | uktam ca 
   na gṛhaṃ gṛham ity āhur gṛhiṇī gṛham ucyate |	na gRham gRham iti AhuH gRhiNI gRham ucyate |
   gṛhaṃ tu gṛhiṇī hīnaṃ kāntārān nātiricyate ||Panc_4.58||	gRham tu gRhiNI  hInam kAntArAt na atiricyate ||Pan= _4.58||
   anyac ca 	anyat ca 
   vṛkṣa mūle'pi dayitā yatra tiṣṭhati tad gṛham |	vRkza mUle api dayitA yatra tizWati tat gRham |
   prāsādo 'pi tayā hīno 'raṇya sadṛśaḥ smṛtaḥ ||Panc_4.59||	prAsAdaH api tayA hInaH araNya  sadRSaH smRtaH ||Pan= _4.59||
   mātā yasya gṛhe nāsti bhāryā ca priya vādinī |	mAtA yasya gRhe na asti BAryA ca priya vAdinI |
   araṇyaṃ tena gantavyaṃ yathāraṇyaṃ tathā gṛham ||Panc_4.60||	araNyam tena gantavyam yaTA araNyam taTA gRham ||Pan= _4.60||
   tan mitra ! kṣamyatām | mayā te'parādhaḥ kṛtaḥ | sampraty ahaṃ tu	tat mitra ! kzamyatAm | mayA te aparADaH kRtaH | samprati aham tu
   strī viyogād vaiśvānara praveśaṃ kariṣyāmi | tan mūḍha ! ānande'pi jāte	strI  viyogAt vESvAnara  praveSam karizyAmi | tat mUXaH ! Anande api jAte
   tvaṃ viṣādaṃ gataḥ | tādṛg bhāryāyāṃ mṛtāyām utsavaḥ kartuṃ yujyate |	tvam vizAdam gataH | tAdRS  BAryAyAm mRtAyAm utsavaH kartum yujyate |
   uktaṃ ca yataḥ 	uktam ca yatas  
   yā bhāryā duṣṭa caritrā satataṃ kalaha priyā |	yA BAryA duzwa  caritrA satatam kalaha  priyA |
   bhāryā rūpeṇa sā jñeyā vidagdhair dāruṇā jarā ||Panc_4.61||	BAryA  rUpeNa sA jQeyAH vidagDEH dAruNAH jarA ||Pan= _4.61||
   tasmāt sarva prayatnena nāmāpi parivarjayet |	tasmAt sarva  prayatnena nAma api parivarjayet |
   strīṇām iha hi sarvāsāṃ ya icchet sukham ātmanaḥ ||Panc_4.62||	strINAm iha hi sarvAsAm yaH icCet suKam AtmanaH ||Pan= _4.62||
   yad antas tan na jihvāyāṃ yaj jihvāyāṃ na tad bahiḥ |	yat  antar tat na jihvAyAm yat jihvAyAm na tad  bahis |
   yad bahis tan na kurvanti vicitra caritāḥ striyaḥ ||Panc_4.63||	yad bahis tat na kurvanti vicitra  caritAH striyaH ||Pan= _4.63||
   ke nāma na vinaśyanti mithyā jñānān nitambinīm |	ke nAma na vinaSyanti miTyA  jQAnAt nitambinIm |
   ramyāṃ te upasarpanti dīpābhāṃ śalabhā yathā ||Panc_4.64||	ramyAm te upasarpanti dIpa ABAm SalaBAH yaTA ||Pan= _4.64||
   antar viṣa mayā hy etā bahiś caiva manoramāḥ |	antar  viza mayA hi etAH bahis ca eva manoramAH |
   guñjā phala samākārā yoṣitaḥ kena nirmitāḥ ||Panc_4.65||	guQjA  Pala  sama AkArAH yozitaH kena nirmitAH ||Pan= _4.65||
   tāḍitā api daṇḍena śastrair api vikhaṇḍitāḥ |	tAxitAH api daNxena SastrEH api viKaNxitAH |
   na vaśaṃ yoṣito yānti na dānair na ca saṃstavaiḥ ||Panc_4.66||	na vaSam yozitaH yAnti na dAnEH na ca saMstavEH ||Pan= _4.66||
   āstāṃ tāvat kim anyena daurātmyeneha yoṣitām |	AstAm tAvat kim anyena dOrAtmyena iha yozitAm |
   vidhṛtaṃ svodareṇāpi ghnanti putram api svakam ||Panc_4.67||	viDRtam sva udareNa api Gnanti putram api svakam ||Pan= _4.67||
   rūkṣāyāṃ sneha sad bhāvaṃ kaṭhorāyāṃ sumārdavam |	rUkzAyAm sneha  sad BAvam kaWorAyAm su mArdavam |
   nīrasāyāṃ rasaṃ bālo bālikāyāṃ vikalpayet ||Panc_4.68||	nIrasAyAm rasam bAlaH bAlikAyAm vikalpayet ||Pan= _4.68||
   makara āha bho mitra ! astv etat | paraṃ kiṃ karomi ? mamānartha dvayam	makaraH Aha BaH mitraH ! astu etat | param kim karomi ? mama anarTa  dvayam
   etat sañjātam | ekas tāvad gṛha bhaṅgaḥ | aparas tvad vidhena mitreṇa saha	etat san jAtam | ekaH tAvat gRha BaFgaH | aparaH tvad  viDena mitreNa saha
   citta viśleṣaḥ | athavā bhavaty evaṃ daiva yogāt | uktaṃ ca yataḥ 	citta  viSlezaH | aTavA Bavati evam dEva  yogAt | uktam ca yatas  
   yādṛśaṃ mama pāṇḍityaṃ tādṛśaṃ dviguṇaṃ tava |	yAdRSam mama pANxityam tAdRSam dviguNam tava |
   nābhūj jāro na bhartā ca kiṃ nirīkṣasi nagnike ||Panc_4.69||	na aBUt jAraH na BartA ca kim nirIkzasi nagnike ||Pan= _4.69||
   vānara āha katham etat ?	vAnaraH Aha kaTam etat ?
   makaro 'bravīt 	makaraH abravIt  
   kathā 12	kaTA 12
   hālika dampatī kathā	hAlika dampatI  kaTA
   kasmiṃścid adhiṣṭhāne hālika dampatī prativasataḥ sma | sā ca	kasmiMScid aDizWAne hAlika dampatI prativasataH sma | sA ca
   hālika bhāryā patyur vṛddha bhāvāt sadaivānya cittā na kathañcid gṛhe	hAlika BAryA patyuH vRdDa BAvAt sadA eva anya  cittAH na kaTaQcid gRhe
   sthairyam ālambate | kevalaṃ para puruṣān anveṣamāṇā paribhramati | atha	sTEryam Alambate | kevalam para puruzAn anvezamANA pariBramati | aTa
   kenacit para vittāpahārakeṇa dhūrtena sā lakṣitā vijane proktā ca subhage	kenacid para  vitta apa hArakeNa DUrtena sA lakzitA vijane proktA ca suBage
   ! mṛta bhāryo 'ham | tvad darśanena smara pīḍitaś ca | tad dīyatāṃ me	! mRta BAryaH aham | tvad  darSanena smara pIxitaH ca | tat dIyatAm me
   rati dakṣiṇā |	rati  dakziNA |
   tatas tayābhihitam bhoḥ subhaga ! yady evaṃ tad asti me patyuḥ prabhūtaṃ	tatas tayA aBihitam  BoH suBaga ! yadi evam tat asti me patyuH praBUtam
   dhanam | sa ca vṛddhatvāt pracalitum apy asamarthaḥ | tatas tad dhanam	Danam | sa ca vRdDa tvAt pracalitum api asamarTaH | tatas tad  Danam
   ādāyāham āgacchāmi | yena tvayā sahānyatra gatvā yathecchayā rati sukham	AdAya aham AgacCAmi | yena tvayA saha anyatra gatvA yaTA icCayA rati suKam
   anubhaviṣyāmi |	anuBavizyAmi |
   so 'bravīt rocate mahyam apy etat | tat pratyūṣe'tra sthāne śīghram eva	saH abravIt  rocate mahyam api etat | tat pratyUze atra sTAne SIGram eva
   samāgantavyam, yena śubhataraṃ kiñcin nagaraṃ gatvā tvayā saha jīva lokaḥ	samAgantavyam, yena SuBataram kiQcid nagaram gatvA tvayA saha jIva lokaH
   saphalīkriyate |	saPalIkriyate |
   sāpi tatheti pratijñāya prahasita vadanā sva gṛhaṃ gatvā rātrau prasupte	sA api taTA iti pratijQAya prahasita vadanA sva gRham gatvA rAtrO prasupte
   bhartari sarvaṃ vittam ādāya pratyūṣa samaye tat kathita sthānam upādravat	Bartari sarvam vittam AdAya pratyUza  samaye tat kaTita sTAnam upAdravat 
   | dhūrto 'pi tām agre vidhāya dakṣiṇāṃ diśam āśritya satvara gatiḥ	| DUrtaH api tAm agre viDAya dakziNAm diSam ASritya sa tvara  gatiH
   prasthitaḥ |	prasTitaH |
   evaṃ tayor vrajator yojana dvaya mātreṇāgrataḥ kācin nadī samupasthitā |	evam tayoH vrajatoH yojana  dvaya  mAtreNa agratas kAcid nadI samupasTitA |
   tāṃ dṛṣṭvā dhūrtaś cintayāmāsa kim aham anayā yauvana prānte vartamānayā	tAm dRzwvA DUrtaH cintayAmAsa kim aham anayA yOvana  prAnte vartamAnayA
   kariṣyāmi | kiṃ ca kadāpy asyāḥ pṛṣṭhataḥ ko 'pi sameṣyati | tan me mahān	karizyAmi | kim ca kadA api asyAH pRzWatas kaH api samezyati | tat me mahAn
   anarthaḥ syāt | tat kevalam asyā vittam ādāya gacchāmi |	anarTaH syAt | tat kevalam asyAH vittam AdAya gacCAmi |
   iti niścitya tām uvāca priye ! sudustareyaṃ mahānadā | tad ahaṃ	iti niScitya tAm uvAca  priye ! su dustarA iyam mahAnadA | tat aham
   dravya mātrāṃ pāre dhṛtvā samāgacchāmi | tatas tvām ekākinīṃ sva pṛṣṭham	dravya  mAtrAm pAre DRtvA samAgacCAmi | tatas tvAm ekAkinIm sva  pRzWam
   āropya sukhenottārayiṣyāmi |	Aropya suKena uttArayizyAmi |
   sā prāha subhaga ! evaṃ kriyatām | ity uktvāśiṣaṃ vittaṃ tasmai	sA prAha suBaga ! evam kriyatAm | iti uktvA ASizam vittam tasmE
   samarpayāmāsa |	samarpayAmAsa |
   atha tenābhihitaṃ bhadre ! paridhānācchādana vastram api samarpaya | yena	aTa tena aBihitaM Badre ! pariDAna AcCAdana  vastram api samarpaya | yena
   jala madhye niḥśaṅkaṃ vrajasi | tathānuṣṭhite dhūrto vittaṃ vastra yugalaṃ	jala  maDye niHSaFkam vrajasi | taTA anuzWite DUrtaH vittam vastra  yugalam
   cādāya yathācintita viṣayaṃ gataḥ |	ca AdAya yaTA cintita  vizayam gataH |
   sāpi kaṇṭha niveśita hasta yugalā sodvegā nadī pulina deśa upaviṣṭā yāvat	sA api kaNWa niveSita hasta yugalA sa udvegAH nadI  pulina deSaH upavizwA yAvat 
   tiṣṭhati tāvad etasminn antare kācic chṛgālikā māṃsa piṇḍa gṛhīta vadanā	tizWati tAvat etasmin antare kAcid SRgAlikA mAMsa  piNxa  gRhIta vadanA
   tatrājagāma | āgatya ca yāvat paśyati, tāvan nadī mahān matsyaḥ salilān	tatra AjagAma | Agatya ca yAvat paSyati, tAvat nadI mahAn matsyaH salilAn
   niṣkramya bahiḥ sthita āste | evaṃ ca dṛṣṭvā sā māṃsa piṇḍaṃ samutsṛjya	nizkramya bahis sTitaH Aste | evam ca dRzwvA sA mAMsa  piNxam samutsRjya
   taṃ matsyaṃ pratyupādravat | atrāntaraṃ ākāśād āvatīrthaṃ ko 'pi	tam matsyam pratyupAdravat | atra antaram AkASAt AvatIrTam kaH api
   pratyupādravat | atrāntaram ākāśād avatīrya ko 'pi gṛdhras taṃ	pratyupAdravat | atra antaram AkASAt avatIrya kaH api gRDraH tam
   māṃsa piṇḍam ādāya punaḥ kham utpatāta | matsyo 'pi śṛgālikāṃ dṛṣṭvā	mAMsa  piNxam AdAya punar Kam utpatAta | matsyaH api SRgAlikAm dRzwvA
   nadyāṃ praviveśa | sā śṛgālikāṃ dṛṣṭvā nadyāṃ praviveśa | sā śṛgālikā	nadyAm praviveSa | sA SRgAlikAm dRzwvA nadyAm praviveSa | sA SRgAlikA
   vyartha śramā gṛdhram avalokayantī tayā nagnikayā sa smitam abhihitā 	vyarTa SramAH gRDram avalokayantI tayA nagnikayA sa  smitam aBihitA 
   gṛdhreṇāpahṛtaṃ māṃsaṃ matsyo 'pi salilaṃ gataḥ |	gRDreNa apahRtam mAMsam matsyaH api salilam gataH |
   matsya māṃsa paribhraṣṭe kiṃ nirīkṣyasi jambuke ||Panc_4.70||	matsya  mAMsa  pariBrazwe kim nirIkzyasi jambuke ||Pan= _4.70||
   mitraṃ hy amitratāṃ yātam aparaṃ me priyā mitrā |	mitram hi amitra tAm yAtam aparam me priyA mitrAH |
   gṛham anyena ca vyāptaṃ kim adyāpi bhaviṣyati ||Panc_4.71||	gRham anyena ca vyAptam kim adya api Bavizyati ||Pan= _4.71||
   athavā yuktam idam ucyate 	aTavA yuktam idam ucyate 
   kṣate prahārā nipatanty abhīkṣṇam anna kṣaye vardhati jāṭharāgniḥ |	kzate prahArAH nipatanti aBIkzNam anna  kzaye varDati jAWara agniH |
   āpatsu vairāṇi samudbhavanti vāme vidhau sarvam idaṃ narāṇām ||Panc_4.72||	Apatsu vErANi samudBavanti vAme viDO sarvam idam narANAm ||Pan= _4.72||
   tat kiṃ karomi ? kim anena saha yuddhaṃ karomi ? kiṃ vā sāmnaiva sambodhya	tat kim karomi ? kim anena saha yudDam karomi ? kim vA sAmnA eva samboDya
   gṛhān niḥsārayāmi ? kiṃ vā bhedaṃ dānaṃ vā karomi ? athavāmum eva	gRhAt niHsArayAmi ? kim vA Bedam dAnam vA karomi ? aTavA amum eva
   vānara mitraṃ pṛcchāmi ? uktaṃ ca 	vAnara mitram pRcCAmi ? uktam ca 
   yaḥ pṛṣṭvā kurute kāryaṃ praṣṭavyān sva hitān gurūn |	yaH pRzwvA kurute kAryam prazwavyAn su a hitAn gurUn |
   na tasya jāyate vighnaḥ kasmiṃścid api karmaṇi ||Panc_4.73||	na tasya jAyate viGnaH kasmiMScid api karmaNi ||Pan= _4.73||
   evaṃ sampradhārya bhūyo 'pi tam eva jambū vṛkṣam ārūḍhaṃ kapim	evam sampraDArya BUyas api tam eva jambU  vRkzam ArUXam kapim
   apṛcchat bho mitra ! paśya me manda bhāgyatām | tat samprati gṛham api me	apRcCat BaH mitra ! paSya me manda BAgyatAm | tat samprati gRham api me
   balavattareṇa makareṇa ruddham | tad ahaṃ tvāṃ praṣṭum abhyāgataḥ |	balavattareNa makareNa rudDam | tat aham tvAm prazwum aByAgataH |
   kathaya kiṃ karomi ? sāmādīnām upāyānāṃ madhye kasyātra viṣayaḥ ?	kaTaya kim karomi ? sAma AdInAm upAyAnAm maDye kasya atra vizayaH ?
   sa āha bhoḥ kṛtaghna pāpa cārin ! mayā niṣiddho 'pi kiṃ bhūyo mām	saH Aha BoH kRtaGna pApa cArin ! mayA nizidDaH api kim BUyas mAm
   anusarasi | nāhaṃ tava mūrkhasyopadeśam api dāsyāmi |	anusarasi | na aham tava mUrKasya upadeSam api dAsyAmi |
   tac chrutvā makaraḥ prāha bho mitra ! sāparādhasya me pūrva sneham	tat SrutvA makaraH prAha BaH mitraH ! sa aparADasya me pUrva sneham
   anusmṛtya hitopadeśaṃ dehi |	anusmRtya hita upadeSam dehi |
