   aṣṭama ucchvāsaḥ	azwamaH ucCvAsaH
   smitvā ca kṣaṇamekaṃ pradarśitapraśrayo mṛduvādī madhurayā vācā	smitvA ca kzaNam-ekam pradarSita-praSrayaH mRduvAdI maDurayA vAcA
   vyājahāra--"kalyāṇarāśe! alaṃ ruditvāticiram /	vyAjahAra---"kalyANa-rASe! alam ruditvA-ati-ciram /
   rājaloko nādyāpi rodanānnivartate /	rAja-lokaH na-adya-api rodanAt-nivartate /
   kriyatāmavaśyakaraṇīyaḥ snānavidhiḥ /	kriyatAm-avaSya-karaNIyaH snAna-viDiH /
   snātvā ca gamyatā tāmeva bhūyo bhuvam' iti /	snAtvA ca gamyatA tAm-eva BUyas Buvam-a iti /
   atha bhūpatiranuvartamāno laukikamācāramācāryavacanaṃ cotthāya snātvā	aTa BUpatiH-anuvartamAnaH lOkikam-AcAram-AcArya-vacanam ca-utTAya snAtvA
   girisariti saha svasrā tāmeva bhūmiptayāsīt /	girisariti saha svasrA tAm-eva BUmiptayA-AsIt /
   tasyāṃ ca saparijanāṃ prathamamāhitāvadhānaḥ pārśvavartī paravatīṃ śucā	tasyAm ca sa-parijanAm praTamam-Ahita-avaDAnaH pArSva-vartI paravatIm SucA
   patipiṇḍapradarśitaprayatnapratipannābhyavahārakāraṇāṃ bhaginīmabhojayat /	pati-piNxa-pradarSita-prayatna-pratipanna-aByavahAra-kAraNAm BaginIm-aBojayat /
   anantaraṃ ca svayamāhārasthitimakarot /	anantaram ca svayam-AhAra-sTitim-akarot /
   bhuktavāṃśca bandhanātprabhṛti vistarataḥ svasuḥ kānyakubjād	BuktavAn=-ca banDanAt-praBRti vistarataH svasuH kAnyakubjAt-
   gauḍasaṃbhramaṃ guptito guptanāmnā kulaputreṇa niṣkāsanaṃ nirgatāyāśca	gOxa-saMBramam guptitaH gupta-nAmnA kula-putreNa nizkAsanam nirgatAyAH-ca
   rājyavardhanamaraṇaśravaṇaṃ śrutvā cāhāranirākaraṇamanāhāraparāhatāyāśca	rAjya-varDana-maraNa-SravaNam SrutvA ca-AhAra-nirAkaraNam-anAhAra-parAhatAyAH-ca
   vindhyāṭavīparyaṭanakhedaṃ jātanirvedāyāḥ pātrakapraveśopakramaṇaṃ	vinDya-awavI-paryawa-na-Kedam jAta-nirvedAyAH pAtraka-praveSa-upakramaNam
   yāvatsarvamaśṛṇodvyatikaraṃ parijanataḥ /	yAvat-sarvam-aSRNa-udvyatikaram parijanataH /
   tataḥ sukhāsīnamekatra tarutale viviktabhuvi bhaginīdvitīyaṃ	tatas suKa-AsInam-ekatra taru-tale vivikta-Buvi BaginI-dvitIyam
   dūrasthitānujīvijanaṃ rājānamācāryaḥ samupasṛtya śanairāsāṃcakre /	dUra-sTita-anujI-vijanam rAjAnam-AcAryaH samupasRtya SanEs-AsAMcakre /
   sthitvā ca kañcitkālāṃśaṃ leśato vaktumupacakrame--"śrīman! ākarṇyatām /	sTitvA ca kaQcid-kAla-aMSam leSataH vaktum-upacakrame--"SrIman! AkarNyatAm /
   ākhyeyamasti naḥ kiñcit-- ayaṃ hi yauvanaunmādātparibhūya bhūyasīrbhāryā	AKyeyam-asti naH kiQcit- ayam hi yOvana-OnmAdAt-pariBUya BUyasIH-BAryA
   yauvanāvatārataralatarāstārārājo rajanīkarṇapūraḥ purā puruhūtapurodhaso	yOvana-avatAra-tarala-tarAH-tArA-rAjaH rajanI-karNapUraH purA puruhUta-puroDasaH-
   dhiṣaṇasya purandhrīṃ dharmapatnīṃ patnīyannatitaralastārāṃ nāmāpajahāra /	DizaNasya puranDrIm Darma-patnIm patnIyan=-ati-taralaH-tArAm nAma-apajahAra /
   nākataśca palāyāñcakre /	na-akataH-ca palAyAn-cakre /
   cakitacakoralocanayā ca tayā sahātikāmayā sarvākārābhirāmayā ramamāṇo	cakita-cakora-locanayA ca tayA saha-atikAmayA sarva-AkArABiH-AmayA ramamANaH-
   ramaṇīyeṣu deśeṣu cacāra /	ramaNIyezu deSezu cacAra /
   cirācca kathañcitsarvagīrvāṇavāṇīgauravād girāṃ patyuḥ punaripa	cirAt-ca kaTaQcid-sarva-gIrvANa-vANI-gOravAt girAm patyuH punar-ipa
   pratyarpayāmāsa tām /	pratyarpayAmAsa tAm /
   hṛdaye tvanindhanamadahyata virahādvarārohāyāstasyāḥ satatam /	hRdaye tu-aninDanam-adahyata virahAt-vara-ArohAyAH-tasyAH satatam /
   ekadā tu śailādudayādadayamāno vimale vāriṇi varuṇālayasya	ekadA tu SElAt-udayAt-adayamAnaH vimale vAriNi varuNAlayasya
   saṃkrāntamātmanaḥ pratibimbaṃ vilokitavān /	saMkrAntam-AtmanaH pratibimbam vilokitavAn /
   dṛṣṭvā ca tattadā sasmaraḥ sasmāra smeragaṇḍasthalasya tārāyā mukhasya /	dRzwvA ca tat-tadA sasmaraH sasmAra smera-gaNxa-sTalasya tArAyAH muKasya /
   mumoca sa manmathonmādamathyamānamānasaḥ svaḥstho 'pyasvasthaḥ sthavīyasaḥ	mumoca sa manmaTa-unmAda-m-aTyamAna-mAnasaH svaHsTaH api-asvasTaH sTavIyasaH
   pītasakalakumutavanaprabhāpravāhadhavalatārābhyāmiva locanābhyāṃ	pIta-sakala-kumuta-vana-praBA-pravAha-Davala-tArAByAm-iva locanAByAm
   bāṣpavāribindūn /	bAzpa-vAri-bindUn /
   atha patatastānudanvati samastānevācemurmuktāśuktayaḥ /	aTa patataH-tAn-udanvati samastAn-eva-acemuH-muktA-SuktayaH /
   tāsāṃ ca kukṣikoṣeṣu muktāphalībhūtānavāpa tānkathamapi rasātalanivāsī	tAsAm ca kukzi-kozezu muktAPalIBUtAn-avApa tAn-kaTam-api rasAtala-nivAsI
   vāsukirnāma viṣamucāmīśaḥ /	vAsukiH-nAma vizamucAm-ISaH /
   sa ca tairmuktāphalaiḥ pātālatale 'pi tārāgaṇamiva	sa ca tEH-muktAPalEH pAtAla-tale api tArA-gaNam-iva
   darśayadbhirekāvalīmakalpayat /	darSayadBiH-ekAvalIm-akalpayat /
   cakāra ca mandākinīti nāma tasyāḥ /	cakAra ca mandAkinI-iti nAma tasyAH /
   sā ca bhagavataḥ somasya sarvāsāmoṣadhīnāmadhipateḥ	sA ca BagavataH somasya sarvAsAm-ozaDInAm-aDipateH
   prabhāvādatyantaviṣaghnī himāmṛtasaṃbhavatvācca sparśena	praBAvAt-atyanta-viza-GnI hima-amRta-saMBava-tvAt-ca sparSena
   sarvasattvasaṃtāpahāriṇī babhūva /	sarva-sattva-saMtApa-hAriNI baBUva /
   yataḥ sa tāṃ sarvadā viṣoṣmaśāntaye vāsukiḥ paryadhatta /	yatas sa tAm sarvadA viza-Uzma-SAntaye vAsukiH paryaDatta /
   samatikrāmati ca kiyatyapi kāle kadācinnāmaikāvalīṃ	samatikrAmati ca kiyati-api kAle kadAcid-nAma-eka-AvalIm
   tasmānnāgarājānnāgārjuno nāma nāgairevānītaḥ pātālatalaṃ bhikṣurabhikṣata	tasmAt-nAga-rAjAn-nAgArjunaH nAma nAgEH-eva-AnItaH pAtAla-talam BikzuH-aBikzata
   lebhe ca /	leBe ca /
   nirgatya ca rasātalāttrisamudrādhipataye sātavāhananāmne narendrāya suhṛde	nirgatya ca rasAtalAt-tri-samudra-aDipataye sAtavAhana-nAmne narendrAya suhRde
   sa dadau tām /	sa dadO tAm /
   sā cāsmākaṃ kālena śiṣyaparamparayā kathamapi hastamupagatā /	sA ca-asmAkam kAlena Sizya-paramparayA kaTam-api hastam-upagatA /
   yadyapi ca paribhava iva bhavati bhavādṛśāṃ dattrima	yadi-api ca pariBavaH iva Bavati BavAdRSAm dattrima
   upacārastathāpyoṣadhibuddhyā buddhimatā sarvasattvarāśirakṣāpravṛttena	upacAraH-taTA-api-ozaDi-budDyA budDimatA sarva-sattva-rASi-rakza-apravRttena
   rakṣaṇīyaśarīreṇāyuṣmatā viṣarakṣāpekṣayā gṛhyatām' ityabhidhāya	rakzaNIya-SarIreNa-AyuzmatA viza-rakzA-apekzayA gRhyatAm-a iti-aBiDAya
   bhikṣorabhyāśavartinaścīvarapaṭāntasaṃyatāṃ mumoca tāmekāvalīṃ mandākinīm	BikzoH-aByASa-vartinaH-cIvara-pawa-anta-saMyatAm mumoca tAm-eka-AvalIm mandAkinIm
   unmucyamānāyā eva yasyāḥ prabhālepini labdhāvakāśe viśadamahasi mahīyasi	unmucyamAnAyAH eva yasyAH praBA-lepini labDa-avakASe viSada-mahasi mahIyasi
   visarpati raśmimaṇḍale yugapaddhavalāyamāneṣu diṅmukeṣu	visarpati raSmi-maNxale yugapad-DavalAyamAnezu diFmukezu
   mukulitalatāvadhūtkaṇṭhitairāmūlādvikasitamiva tarubhiḥ,	mukulita-latA-vaDUtkaNWitEH-AmUlA-t-vikasitam-iva taruBiH,
   abhinavamṛṇālalubdhairdhāvitamiva dhutapakṣapuṭapaṭaladhavalitagaganaṃ	aBinava-mRNAla-lubDEH-DAvitam-iva Duta-pakza-puwa-pawala-Davalita-gaganam
   vanasarasīhaṃsayūthaiḥ, sphuṭitamiva	vana-sarasI-haMsa-yUTEH, sPuwitam-iva
   bharavaśaviśīryamāṇadhūlidhavalairgarbhabhedasūcitasūcīsaṃcayaśucibhiḥ	Bara-vaSa-viSIryamANa-DUli-DavalEH-garBa-Beda-sUcita-sUcI-saMcaya-SuciBiH
   ketakīvāṭeḥ, uddalitadanturābiḥ prabuddhamiva kumudinībhiḥ,	ketakI-vAweH, uddalita-danturAbiH prabudDam-iva kumudinIBiH,
   vidyutasitasaṭābhārabharitadikcakraiścalitamiva kesarikulaiḥ,	vidyuta-sita-sawA-BAra-Barita-diS-cakrEH-calitam-iva kesari-kulEH,
   prahasitamiva sitadaśanāṃśumālālokalipyamānavanaṃ vanadevatābhiḥ,	prahasitam-iva sita-daSana-aMSu-mAlA-loka-lipyamAna-vanam vana-devatABiH,
   vikasitamiva śithilitakusumakośakesarāṭṭahasāniraṅkuśaṃ kāśakānanaiḥ,	vikasitam-iva SiTilita-kusuma-koSa-kesara-awwahasA-niH-aFkuSam kASa-kAnanEH,
   bhrāntamiva	BrAntam-iva
   saṃbramabhramitabālapallavapariveṣaśvetāyamānaiścamarīkadambakaiḥ,	saMbrama-Bramita-bAla-pallava-pariveza-SvetAyamAnEH-camarI-kadambakEH,
   prasṛtamiva sphāyamānaphenilataralataratarahgodgāriṇā girinadīpūreṇa,	prasRtam-iva sPAyamAna-Penila-tara-latara-tarahga-udgAriNA giri-nadI-pUreNa,
   aparatārāgaṇalobhamuditenoditamiva vikacamarīcicakrāntakakubhā	apara-tArA-gaNa-loBa-muditena-uditam-iva vikaca-marIci-cakra-anta-kakuBA
   pūrṇacandreṇa, prakṣālita iva dāvānaladhūlidhūsaritadiganto divasaḥ,	pUrNa-candreNa, prakzAlitaH iva dAva-anala-DUli-DUsarita-diS-antaH divasaH,
   punariva dhautānyaśrujalakliṣṭāni nārīṇāṃ mukhāni /	punar-iva DOtAni-aSru-jala-klizwAni nArINAm muKAni /
   rājā tu māṃsalaistasyāḥ saṃmukhairmayūkhairākulīkriyamāṇaṃ	rAjA tu mAMsalEH-tasyAH saMmuKEH-mayUKEH-AkulIkriyamANam
   muhurmuhurunmīlayannimīlayaṃśca cakṣuḥ kathamapi prayatnena dadarśa	muhur-muhur-unmIlayat-nimIlayan=-ca cakzuH kaTam-api prayatnena dadarSa
   sarvāśāpūraṇīṃ paṅktīkṛtāmiva diṅnāgakaraśīkarasaṃhatim, ghanamuktāṃ	sarva-ASA-pUraNIm paFktIkRtAm-iva diFnAga-kara-SIkara-saMhatim, GanamuktAm
   śāradīmiva lekhīkṛtāṃ jyotsnām, prakaṭapadakacihnāṃ saṃcāravīthīmiva	SAradIm-iva leKIkRtAm jyotsnAm, prakawa-padaka-cihnAm saMcAra-vITIm-iva
   bālendorniścalībhūtāṃ saptarṣimālāmiva hastamuktām,	bAla-indoH-niScalIBUtAm saptarzi-mAlAm-iva hasta-muktAm,
   abhibhūtasakalabhuvanabhūṣaṇabhūtiprabhāvāmivaiśānīṃ śaśikalām,	aBiBUta-sakala-Buvana-BUzaNa-BUti-praBA-vAmi-vESAnIm SaSi-kalAm,
   dhavalatāguṇaparigṛhītāṃ kāntimiva nirgatāṃ kṣīrarāśeḥ	Dava-latA-guNa-parigRhItAm kAntim-iva nirgatAm kzIra-rASeH
   anekamahāmahībhṛtparamparāgatāṃ gaṅgāmiva durgatiharām,	aneka-mahA-mahIBRt-parampara-Aga-tAm gaFgAm-iva durgati-harAm,
   anavaratasphuritataralāśukāṃ puraḥsarapatākāmiva maheśvarabhāvāgamasya,	anavarata-sPurita-tarala-aSukAm puraHsara-patAkAm-iva maheSvara-BAva-Agamasya,
   anasāraśuklāṃ dantapaṅktimivābhimukhasyeśvarasya,	anasAra-SuklAm danta-paFktim-iva-aBimuKasya-ISvarasya,
   varamanorathapūraṇasamarthāṃ svayaṃvarasrajamiva bhuvanaśriyaḥ,	vara-manoraTa-pUraNa-samarTAm svayaMvara-srajam-iva Buvana-SriyaH,
   nijakarapallavāvaraṇādurlakṣyāṃ cakṣūrāgavihasatikāmiva vasudhāyāḥ,	nija-kara-pallava-AvaraNAdurlakzyAm cakzUrAga-vihasatikAm-iva vasuDAyAH,
   mantrakośasādhanapravṛttasyākṣamālāmiva rājadharmasya,	mantra-koSa-sADana-pravRttasya-akzamAlAm-iva rAja-Darmasya,
   samudrālaṅgārabhūtāṃ saṃkhyālekhyapaṭṭikāmiva kuberakośasya /	samudra-alaFgAra-BUtAm saMKyA-leKya-pawwikAm-iva kubera-koSasya /
   paśyaṃścaitāṃ vismayamājagāma manasā suciram /	paSyan=-ca-etAm vismayam-AjagAma manasA su-ciram /
   ācāryastu tāmuddhṛtya babandha bandhure skandhabhāge bhūpateḥ /	AcAryaH-tu tAm-udDRtya babanDa banDure skanDa-BAge BUpateH /
   atha narapatirapi pratiprītimupadarśayanpratyavādīt--"ārya!	aTa narapatiH-api pratiprItim-upadarSayan-pratyavAdIt--"Arya!
   ratnānāmīdṛśānāmanarhāḥ prāyeṇa puruṣāḥ /	ratnAnAm-IdRSAnAm-anarhAH prAyeNa puruzAH /
   tapaḥsiddhiriyamāryasya devatāprasādo vā /	tapaH-sidDiH-iyam-Aryasya devatA-prasAdaH vA /
   ke ca vayamidānīmātmano 'pi kimuta grahaṇasya pratyākhyānasya vā /	ke ca vayam-idAnIm-AtmanaH api kim-uta grahaNasya pratyAKyAnasya vA /
   darśanātprabhṛti prabhūtaguruguṇagaṇahṛtena hṛdayena paravanto vayam /	darSanAt-praBRti praBUta-guru-guNa-gaNa-hRtena hRdayena paravantaH vayam /
   saṃkalpitamidamāmaraṇādāryopayogāya śarīram /	saMkalpitam-idam-AmaraNAt-Arya-upayogAya SarIram /
   atra kāmacāro vaḥ kartavyānām' iti /	atra kAma-cAraH vaH kartavyAnAm-a iti /
   samatikrānte ca kiyatyapi kāle gate caikāvalīvarṇanālāpe lokasyānantaraṃ	samatikrAnte ca kiyati-api kAle gate ca-eka-avalI-varNana-AlApe lokasya-anantaram
   labdhaviśrambhā rājyaśrīstāmbūlavāhinīṃ patralatāmāhūyopāṃśukimapi	labDa-viSramBA rAjya-SrIH-tAmbUla-vAhinIm patra-latAm-AhUya-upAMSukim-api
   sarṇamūle śanairādideśa /	sarNa-mUle SanEs-AdideSaH /
   darśitavinayā ca patralatā pārthivaṃ vyajñāpayat--"deva! devī vijñāpayati	darSita-vinayA ca patra-latA pArTivam vyajQApayat--"deva! devI vijQApayati
   na smarāmyāryasya puraḥ kadāciduccairvacanamapi /	na smarAmi-Aryasya puras kadAcid-uccEs-vacanam-api /
   kuto vijñāpanam /	kutas vijQApanam /
   iyaṃ hi śucāmasahyatāṃ vyāpārayantī hatadaivadattā ca daśā śithilayati	iyam hi SucAm-asahyatAm vyApArayantI hata-dEvadattA ca daSA SiTilayati
   vinayam /	vinayam /
   abalānāṃ hi prāyaśaḥ patirapatyaṃ vāvalambanam /	abalAnAm hi prAyaSas patiH-apatyam vA-avalambanam /
   ubhayavikalānāṃ tu duḥkhānalendhanāyamānaṃ prāṇitamaśālīnatvameva kevalam	uBaya-vikalAnAm tu duHKa-anala-inDanAyamAnam prANitam-aSAlIna-tvam-eva kevalam
   āryāgamanena ca kṛto 'pi pratihato maraṇaprayatnaḥ /	Arya-Agamanena ca kRtaH api pratihataH maraNa-prayatnaH /
   yataḥ kāṣāyagrahaṇābhyanujñayānugṛhyatāmayamapuṇyabhājanaṃ janaḥ' iti /	yatas kAzAya-grahaNa-aByanujQayA-anugRhyatAm-ayam-apuNya-BAjanam janaH-a iti /
   janādhipastu tadākarṇya tūṣṇīmevāvatiṣṭhat /	janADipaH-tu tat-AkarNya tUzNIm-eva-avatizWat /
   athācāryaḥ sudhīramabhyadhāt--"āyuṣmati! śoko hi nāma paryāyaḥ piśācasya,	aTa-AcAryaH su-DIram-aByaDAt--"Ayuzmati! SokaH hi nAma paryAyaH piSAcasya,
   rūpāntaramākṣepasya, tāruṇyaṃ tamasaḥ, viśeṣaṇaṃ viṣasya, anantakaḥ	rUpa-antaram-Akzepasya, tAruNyam tamasaH, viSezaNam vizasya, anantakaH
   pretanagaranāyakaḥ, ayamanirvṛtidharmā dahanaḥ, ayamakṣayo rājayakṣmā,	preta-nagara-nAyakaH, ayamanirvRti-DarmA dahanaH, ayam-akzayaH rAjayakzmA,
   ayamalakṣmīnivāso janārdanaḥ, ayamapuṇyapravṛttaḥ kṣapaṇakaḥ,	ayam-alakzmI-nivAsaH janArdanaH, ayam-apuNya-pravRttaH kzapaNakaH,
   ayamapratibodho nidrāprakāraḥ, ayamanalasadharmā saṃnipātaḥ,	ayam-apratiboDaH nidrA-prakAraH, ayam-anala-saDarmA saMnipAtaH,
   ayamaśivasahacaro vināyakaḥ, ayamabudhasevito grahavargaḥ,	ayam-aSiva-sahacaraH vinAyakaH, ayam-abuDa-sevitaH graha-vargaH,
   ayamayogasamuttho jyotiḥprakāraḥ, ayaṃ snehādvāyuprakopaḥ,	ayam-ayoga-samutTaH jyotiH-prakAraH, ayam snehAt-vAyu-prakopaH,
   mānasādagnisaṃbhavaḥ, ārdrabhāvādrajaḥkṣobhaḥ, rasādabhiśoṣaḥ, rāgāt	mAnasAt-agni-saMBavaH, Ardra-BAvAt-rajaH-kzoBaH, rasAt-aBiSozaH, rAgAt-
   kālapariṇāmaḥ /	kAla-pariNAmaH /
   tadasyājasrāsrasrāviṇo hṛdayamahāvraṇasya	tat-asya-ajasra-asra-srAviNaH hRdaya-mahA-vraNasya
   bahaladoṣāndhakāralabdhapraveśaprasarasya prāṇataskarasya	bahala-doza-anDakAra-labDa-praveSa-prasarasya prANa-taskarasya
   śūnyatāhetormahābhūtagrāmaghātakasya sakalavigrahakṣapaṇadakṣasya	SUnyatA-hetoH-mahABUta-grAma-GAtakasya sakala-vigraha-kzapaNa-dakzasya
   doṣacakravartinaḥ kārśyaśvāsapralāpopadravabahalasya	doza-cakravartinaH kArSya-SvAsa-pralApa-upadrava-bahalasya
   dorgharogasyāsadgrahasya	dorGa-rogasya-asat-grahasya
   sakalalokakṣayadhūmaketorjīvitāpahāradakṣasyākṣaṇaruceranabhravajragātasya	sakala-loka-kzaya-DUma-ketoH-jIvita-apahAra-dakzasya-akzaNa-ruceH-anaBra-vajra-gAtasya
   sphuradanavadyavidyāvidyudvidyotamānāni	sPurat-anavadya-vidyA-vidyut-vidyotamAnAni
   gahanagrandhagūḍhagarbhagrahaṇagambhīrāṇi bhūrikāvyakathākaṭhorāṇi	gahana-granDa-gUXa-garBa-grahaNa-gamBIrANi BUri-kAvya-kaTA-kaWorANi
   bahuśākhodvahanabṛhanti viduṣāmapi hṛdayāni nālaṃ soḍhumāpātaṃ kimuta	bahu-SAKA-udvahana-bRhanti viduzAm-api hRdayAni na-alam soXum-ApAtam kim-uta
   navamālikākusumakomalānāṃ sarasabisatantudurbalakamabalānāṃ hṛdayam /	nava-mAlikA-kusuma-komalAnAm sarasa-bisa-tantu-durbala-kamabalAnAm hRdayam /
   evaṃ sati satyavrate! vada kimatra kriyate, katama upālabhyate, kasya pura	evam sati satya-vrate! vada kim-atra kriyate, katamaH upAlaByate, kasya pura
   uccairākradyante, hṛdayadāhi duḥkhaṃ vā khyāpyate? sarvamakṣiṇo nimolya	uccEs-Akradyante, hRdaya-dAhi duHKam vA KyApyate? sarvam-akziNaH nimolya
   soḍhavyamamūḍhena martyadharmaṇā /	soXavyam-a-mUXena martya-DarmaNA /
   puṇyavati! purātanyaḥ sthitaya etāḥkena śakyante 'nyathākartum /	puNyavati! purAtanyaH sTitayaH etAH-kena Sakyante anyaTA-kartum /
   saṃsarantyo naktandivaṃ drāghīyasyo	saMsarantyaH naktan-divam drAGIyasyaH-
   janmajarāmaraṇaghaṭanaghaṭīyantrarājirajjavaḥ sarvapañcajanānām /	janma-jarA-maraNa-Gawana-GawIyantra-rAji-rajjavaH sarva-paQcajanAnAm /
   pañcamahābhūtapañcakulādhiṣṭhitāntaḥkaraṇavyavahāradarśananipuṇāḥ	paQca-mahABUta-paQca-kula-aDizWita-antaHkaraNa-vyavahAra-darSana-nipuNAH
   sarvaṅkaṣā viṣamā dharmarājasthitayaḥ /	sarvaFkazAH vizamAH DarmarAja-sTitayaH /
   kṣaṇamapi kṣamamāṇā galantyāyuṣkalākalanakuśalā nilaye nilaye kālanālikāḥ	kzaNam-api kzamamANAH galanti-AyuzkalA-kalana-kuSalAH nilaye nilaye kAlanAlikAH
   jagati sarvajantujīvitopahārapātinī saṃcarati jhaṭiti caṇḍikā yamājñā /	jagati sarva-jantu-jIvita-upahAra-pAtinI saMcarati Jawiti caNxikA yama-AjQA /
   raṭantyanavaratamakhilaprāṇiprayāṇaprakaṭanapaṭavaḥ pretapatipaṭahāḥ /	rawanti-anavaratam-aKila-prANi-prayANa-prakawana-pawavaH pretapati-pawahAH /
   pratidiśaṃ paryaṭanti peṭakaiḥ prataptalohalohitākṣāḥ	pratidiSam paryawanti pewakEH pratapta-loha-lohita-akzAH
   kālakūṭakāntikālakāyāḥ kālapāśapāṇayaḥ kālapuruṣāḥ /	kAlakUwa-kAnti-kAla-kAyAH kAla-pASa-pANayaH kAlapuruzAH /
   pratibhavanaṃ bhramanti	pratiBavanam Bramanti
   bhīṣaṇakiṅkarakaraghaṭṭitayamaghaṇṭāpuṭapaṭuṭāṅkārabhayaṅkarāḥ	BIzaNa-kiFkara-kara-Gawwita-yama-GaNwA-puwa-pawuwa-aFkAra-BayaFkarAH
   sarvasattvasaṃghasaṃharaṇāya ghorāghātaghoṣaṇāḥ /	sarva-sattva-saMGa-saMharaNAya Gora-AGAta-GozaNAH /
   diśi diśi vahanti	diSi diSi vahanti
   bahucitādhūmadhūsaritapretapatipatākāpaṭupatitagṛdhradṛṣṭayaḥ	bahu-cita-aDUma-DU-sarita-preta-pati-patAkA-pawu-patita-gRDra-dRzwayaH
   śokakṛtakolāhalakulakuṭumbinīvikīrṇakeśakalāpaśabalaśavaśibikāsahasrasaṃṅkulāḥ	Soka-kRta-kolAhala-kula-kuwumbinI-vikIrNa-keSa-kalApa-Sabala-Sava-SibikA-sahasra-saMFkulAH
   kilakilāyamānaśmaśānaśiviraśivāśāvakāḥ	kilakilAyamAna-SmaSAna-Sivira-Siva-aSAvakAH
   paralokāvasathapathikasārthaprasthānaviśikhā vīthayaḥ /	para-loka-AvasaTa-paTika-sArTa-prasTAna-viSiKAH vITayaH /
   sakalalokakavalāvalehalampaṭā bahalā vahaṃlihā leḍhi lohitācitā	sakala-loka-kavala-avaleha-lampawA bahalA vahaMlihA leXi lohita-AcitA
   citāṅgārakālī kālarātrijihvā jīvitāni jīvinām /	citA-aFgAra-kAlI kAlarAtri-jihvA jIvitAni jIvinAm /
   tṛptamaśikṣitā ca bhagavataḥ sarvabhūtabhujo bubhukṣā mṛtyoḥ /	tRptam-aSikzitA ca BagavataH sarva-BUta-BujaH buBukzA mRtyoH /
   atidrutavāhinī cānityatānadī /	ati-druta-vAhinI ca-anitya-tA-nadI /
   kṣaṇikāśca mahābhūtagrāmagoṣṭhayaḥ /	kzaNikAH-ca mahABUta-grAma-gozWayaH /
   rātriṣu bhahgurāṇi pātrayantrapañjaradārūṇi dehinām /	rAtrizu BahgurANi pAtra-yantra-paQjaradArUNi dehinAm /
   aśūbhaśubhāveśavivaśā viśaravaḥ śarīranirmāṇaparamāṇavaḥ /	aSUBa-SuBa-AveSa-vivaSAH viSaravaH SarIra-nirmANa-paramANavaH /
   chidurā jīvabandhanapāśatantrītantavaḥ /	CidurAH jIva-banDana-pASa-tantrI-tantavaH /
   sarvamātmano 'nīśvaraṃ viśvaṃ naśvaram /	sarvam-AtmanaH anISvaram viSvam naSvaram /
   evamavadhṛtya nātyarthamevārhasi medhāvini mṛduni manasi tamasaḥ prasaraṃ	evam-avaDRtya na-atyarTam-eva-arhasi meDAvini mRduni manasi tamasaH prasaram
   dātum /	dAtum /
   eko 'pi pratisaṃkhyānakṣaṇa ādhārībhavati dhṛteḥ /	ekaH api pratisaMKyA-nakzaNaH ADArIBavati DRteH /
   api ca dūragate 'pi hi śoke nanvidānīmapekṣaṇīya evāyaṃ jyeṣṭhaḥ pitṛkalpo	api ca dUra-gate api hi Soke nanu-idAnIm-apekzaNIyaH eva-ayam jyezWaH pitR-kalpaH-
   bhrātā bhavatyā guruḥ /	BrAtA BavatyA guruH /
   itarathā ko na bahu manyeta kalyāṇarūpamīdṛsaṃ saṃkalpamatrabhavatyāḥ	itaraTA kaH na bahu manyeta kalyANa-rUpam-IdRsam saMkalpam-atraBavatyAH
   kāṣāyagrahaṇakṛtam /	kAzAya-grahaNa-kRtam /
   akhilamanojvarapraśamanakāraṇaṃ hi bhagavatī pravrajyā /	aKila-manaH-jvara-praSamana-kAraNam hi BagavatI pravrajyA /
   jyāyaḥ khalvidaṃ paramātmavatām /	jyAyaH Kalu-idam paramAtmavatAm /
   mahābhāgastu bhinatti manorathamadhunā /	mahABAgaH-tu Binatti manoraTam-aDunA /
   yadayamādiśati tadevānuṣṭheyam /	yat-ayam-AdiSati tat-eva-anuzWeyam /
   yadi bhrāteti yadi jyeṣṭha iti yadi vatsa iti yadi guṇavāniti yadi rājeti	yadi BrAtA-iti yadi jyezWaH iti yadi vatsaH iti yadi guNavAn-iti yadi rAjA-iti
   sarvathā sthātavyamasya niyoge' ityuktvā vyaraṃsīt /	sarvaTA sTAtavyam-asya niyoge-a iti-uktvA vyaraMsIt /
   uparatavacasi ca tasminnijagāda narapatiḥ--"āryamapahāya ko 'nya	uparata-vacasi ca tasmin-nijagAda narapatiH--"Aryam-apahAya kaH anya
   evamabhidadhyāt /	evam-aBidaDyAt /
   anabhyarthitadaivanirmitā hi viṣamavipadavalambanastambhā bhavanto lokasya	anaByarTita-dEva-nirmitAH hi vizama-vipadavalambana-stamBAH BavantaH lokasya
   snehārdramūrtayo mohāndhakāradhvaṃsinaśca dharmapradīpāḥ /	sneha-Ardra-mUrtayaH moha-anDakAra-DvaMsinaH-ca Darma-pradIpAH /
   kintu praṇayapradānadurlalitā durlabhamapi manorathamatiprītirabhilaṣati /	kintu praNaya-pradAna-durlalitA durlaBam-api manoraTam-ati-prItiH-aBilazati /
   dhīrasyāpi dhārṣṭyamāropayati hṛdayaṃ laṅghitalaghimātivallabhatvam /	DIrasya-api DArzwyam-Aropayati hRdayam laFGita-laGimA-ati-vallaBa-tvam /
   yuktāyuktavicāraśūnyatvācca śālīnamapi śikṣayanti svārthatṛṣṇāḥ	yukta-ayukta-vicAra-SUnya-tvAt-ca SAlInam-api Sikzayanti sva-arTa-tRzNAH
   prāgalbhyam /	prAgalByam /
