   atha caturtho 'dhyāyaḥ /	aTa caturTaH aDyAyaH /
   avasarāṇi idaṃ janma nirmimate kānicit tu deśakālanimittapratīkṣāṇi asata	avasarANi idam janma nirmimate kAnicid tu deSa-kAla-nimitta-pratIkzANi asata
   iti ataḥ teṣām avaśiṣṭānāṃ sāṃpratena upabhogena kṣapaṇāsaṃbhavāt na	iti atas tezAm avaSizwAnAm sAMpratena upaBogena kzapaNa-asaMBavAt na
   yathāvarṇitacaritasya api vartamānadehapāte dehāntaranimitta abhāvaḥ	yaTA-varNita-caritasya api vartamAna-deha-pAte deha-antara-nimitta aBAvaH
   śakyate niścetum /	Sakyate niScetum /
   karmaśeṣasadbāvasiddhaḥ ca 'tadya iha ramaṇīyacaraṇāstataḥ śeṣeṇa' ityādi	karma-Seza-sat-bAva-sidDaH ca atadyaH iha ramaNIya-caraNAH-tatas SezeNa-a ityAdi
   śruti smṛtibhyaḥ /	Sruti smRtiByaH /
   syāt etat /	syAt etat /
   nitya naimittikāni teṣāṃ kṣepakāṇi bhaviṣyanti iti /	nitya nEmittikAni tezAm kzepakANi Bavizyanti iti /
   tat na /	tat na /
   virodha abhāvāt /	viroDa aBAvAt /
   sati hi virodhe kṣepyakṣepakabhāvo bhavati /	sati hi viroDe kzepya-kzepaka-BAvaH Bavati /
   na ca janmāntara saṃcitānāṃ sukṛtānāṃ nitya naimittikaiḥ asti virodhaḥ /	na ca janma-antara saMcitAnAm sukRtAnAm nitya nEmittikEH asti viroDaH /
   śuddharūpatva aviśeṣāt /	SudDa-rUpa-tva aviSezAt /
   duritānāṃ tu aśuddhirūpatvāt sati virodhe bhavatu kṣapaṇaṃ na tu tāvatā	duritAnAm tu aSudDi-rUpa-tvAt sati viroDe Bavatu kzapaNam na tu tAvatA
   dehāntara nimitta abhāvasiddhiḥ /	deha-antara nimitta aBAva-sidDiH /
   sukṛtanimittatva upapatteḥ /	su-kRta-nimitta-tvaH upapatteH /
   duścaritasya api aśeṣakṣapaṇa anavagamāt /	duScaritasya api aSeza-kzapaNa anavagamAt /
   na ca nitya naimittikānuṣṭhānāt pratyavāya anutpattimātraṃ na punaḥ	na ca nitya nEmittika-anuzWAnAt pratyavAya anutpatti-mAtram na punar-
   phalāntara utpattiḥ iti pramāṇam asti phalāntarasya api anuniṣpādinaḥ	Pala-antaraH utpattiH iti pramANam asti Pala-antarasya api anunizpAdinaH
   saṃbhavāt /	saMBavAt /
   smarati hi āpastambaḥ - 'tadyathāmre phalārte nimitte	smarati hi ApastambaH  atat-yaTA-Amre Pala-Arte nimitte
   chāyāgandhāvanūtpadyete evaṃ dharmaṃ caryamāṇārthā anūtpadyante' iti /	CAyA-ganDA-vanu-utpadyete evam Darmam caryamANa-arTAH anUtpadyante-a iti /
   na ca asati samyak darśane sarvātmanā kāmyapratiṣiddhavarjanaṃ	na ca asati samyak darSane sarva-AtmanA kAmya-pratizidDa-varjanam
   janmaprāyaṇāntarālaṃ kenacit pratijñātuṃ śakyam /	janma-prAyaNa-antarAlam kenacid pratijQAtum Sakyam /
   sunipuṇānam api sūkṣma aparādhadarśanāt /	su-nipuNAnam api sUkzma aparADa-darSanAt /
   saṃśayitavyaṃ tu bhavati tathā api nimitta abhāvasya durjñānatvameva /	saMSayitavyam tu Bavati taTA api nimitta aBAvasya durjQAna-tvam-eva /
   na ca anabhyupagamyamāne jñānagamye brahmātmatve kartṛtva bhoktṛtva	na ca anaByupagamyamAne jQAna-gamye brahma-Atma-tve kartR-tva BoktR-tva
   svabhāvasya ātmanaḥ kaivalyam ākāṅkṣituṃ śakyam /	svaBAvasya AtmanaH kEvalyam AkAFkzitum Sakyam /
   agni auṣṇyavat svabhāvasya aparihāryatvāt /	agni OzNya-vat svaBAvasya aparihArya-tvAt /
   syāt etat /	syAt etat /
   kartṛtva bhoktṛtva kāryam anartho na tat śaktiḥ tena śakti avasthāne 'pi	kartR-tva BoktR-tva kAryam anarTaH na tat SaktiH tena Sakti avasTAne api
   kāryaparihārat upapanno mokṣa iti /	kArya-parihArat upapannaH mokzaH iti /
   tatca na /	tat-ca na /
   śaktisadbhāve kāryaprasavasya durnivāratvāt /	Sakti-sadBAve kArya-prasavasya durnivAra-tvAt /
   atha api syāt na kevalā śaktiḥ kāryam ārabhate anapekṣya anyāni nimittāni	aTa api syAt na kevalA SaktiH kAryam AraBate anapekzya anyAni nimittAni
   ata ekākinī sā sthitāpi na aparādhyati iti /	atas ekAkinI sA sTitA-api na aparADyati iti /
   tat ca na /	tat ca na /
   nimittānām api śaktilakṣaṇena saṃbandhena nityasaṃbaddhatvāt /	nimittAnAm api Sakti-lakzaNena saMbanDena nitya-saMbadDa-tvAt /
   tasmāt kartṛtva bhoktṛtva svabhāve satyām anyasatyāṃ vidyāgamyāyāṃ	tasmAt kartR-tva BoktR-tva svaBAve satyAm anya-satyAm vidyA-gamyAyAm
   brahmātmatāyāṃ na kathañcana mokṣaṃ pratyāśā asti /	brahma-Atma-tAyAm na kaTaQcana mokzam pratyASA asti /
   śrutiḥ ca - 'nānyaḥ panthā vidyate 'yanāya' (śvetā. 3.8) iti jñānāt anyaṃ	SrutiH ca  anAnyaH panTAH vidyate ayanAya-a (SvetA. 3.8) iti jQAnAt anyam
   mokṣamārgaṃ vārayati /	mokza-mArgam vArayati /
   parasmāt ananyatve api jīvasya sarvavyavahāra lopaprasaṅgaḥ /	parasmAt ananya-tve api jIvasya sarva-vyavahAra lopa-prasaFgaH /
   pratyakṣādi pramāṇa apravṛtteḥ iti cet /	pratyakza-Adi pramANa apravRtteH iti ced /
   na /	na /
   prāk prabodhāt svapnavyavahāravat tat upapatteḥ /	prAk praboDAt svapna-vyavahAra-vat tat upapatteH /
   śāstraṃ ca 'yatra hi dvaitamiva bhavati taditara itaraṃ paśyati (bṛ.	SAstram ca ayatra hi dvEtam-iva Bavati tad-itaraH itaram paSyati (bR.
   2.4.14, 4.5.15) ityādinā aprabuddhaviṣaye pratyakṣādi vyavahāram uktvā	2.4.14, 4.5.15) ityAdinA aprabudDa-vizaye pratyakza-Adi vyavahAram uktvA
   punaḥ prabuddhaviṣaye 'yatra tvasya sarvamātmaivābhūttatkena kaṃ paśyet'	punar prabudDa-vizaye ayatra tu-asya sarvam-AtmA-eva-aBUt-tat-kena kam paSyet-a
   (bṛ. 2.4.14, 4.5.15) ityādinā tat abhāvaṃ darśayati /	(bR. 2.4.14, 4.5.15) ityAdinA tat aBAvam darSayati /
   tat evaṃ parabrahmavido gantavyādi vijñānasya bādhitatvāt na kathañcana	tat evam para-brahma-vidaH gantavya-Adi vijQAnasya bADita-tvAt na kaTaQcana
   gatiḥ upapādayituṃ śakyā /	gatiH upapAdayitum SakyAH /
   kiṃviṣayāḥ punaḥ gatiśrutaya iti /	kiMvizayAH punar gati-SrutayaH iti /
   ucyate - saguṇavidyāviṣayā bhaviṣyanti /	ucyate  sa-guNa-vidyA-vizayAH Bavizyanti /
   tathā hi kvacit pañcāgnividyāṃ prakṛtya gatiḥ ucyate yathā 'prāṇo brahma	taTA hi kvacid paQca-agnividyAm prakRtya gatiH ucyate yaTA aprANaH brahma
   kaṃ brahma khaṃ brahma' (chā. 4.10.5) iti 'atha yadidamasminbrahmapure	kam brahma Kam brahma-a (CA. 4.10.5) iti aaTa yat-idam-asmin-brahma-pure
   daharaṃ puṇḍarīkaṃ veśma' (chā. 8.1.1) iti ca tatra api vāmanītvādibhiḥ	daharam puNxarIkam veSma-a (CA. 8.1.1) iti ca tatra api vAmanI-tvA-AdiBiH
   satyakāmādibhiḥ ca guṇaiḥ saguṇasya eva upāsyatvāt saṃbhavati gatiḥ /	satya-kAma-AdiBiH ca guNEH sa-guNasya eva upAsya-tvAt saMBavati gatiH /
   na kvacit parabrahmaviṣayā gatiḥ śrāvyate yathā gatipratiṣedhaḥ śrāvitaḥ	na kvacid para-brahma-vizayA gatiH SrAvyate yaTA gati-pratizeDaH SrAvitaH
   'na tasya prāṇā utkrāmanti' (bṛ. 4.4.6) iti /	ana tasya prANAH utkrAmanti-a (bR. 4.4.6) iti /
   'brahmavidāpnoti param'(tai. 2.1.1) ityādiṣu tu satyapi āpnoteḥ	abrahma-vid-Apnoti param-a(tE. 2.1.1) ityAdizu tu sati-api ApnoteH
   gatyarthatve varṇitena nyāyena deśāntaraprāpti asaṃbhavāt	gati-arTa-tve varNitena nyAyena deSa-antara-prApti asaMBavAt-
   svarūpapratipattiḥ eva iyam avidyā adhyāropita nāma rūpa pravilaya	svarUpa-pratipattiH eva iyam avidyA aDyAropita nAma rUpa pravilaya
   apekṣayā abhidhīyate 'brahmaiva sanbrahmāpyeti' (bṛ. 4.4.7) ityādivat iti	apekzayA aBiDIyate abrahma-eva san-brahmA-apyeti-a (bR. 4.4.7) ityAdi-vat iti
   draṣṭavyam /	drazwavyam /
   api ca paraviṣayā gatiḥ vyākhyāyamānā prarocanāya vā syāt anucintanāya vā	api ca para-vizayA gatiH vyAKyAyamAnA prarocanAya vA syAt anucintanAya vA
   tatra prarocanaṃ tāvat	tatra prarocanam tAvat-
   brahmavido na gati uktyā kriyate /	brahma-vidaH na gati uktyA kriyate /
   svasaṃvedyena eva avyavahitena vidyāsamarpitena svāsthyena tat siddheḥ /	sva-saMvedyena eva avyavahitena vidyA-samarpitena svAsTyena tat sidDeH /
   na ca nityasiddhaniḥśreyasanivedanasya asādhyaphalasya vijñānasya gati	na ca nitya-sidDa-niHSreyasa-nivedanasya asADya-Palasya vijQAnasya gati
   anucintane kācit apekṣā upapadyate /	anucintane kAcid apekzAH upapadyate /
   tasmāt aparabrahmaṇi vartamānā gatiḥ /	tasmAt apara-brahmaNi vartamAnA gatiH /
   tatra para aparabrahmaviveka anavadhāraṇena aparasmin brahmaṇi vartamānā	tatra para apara-brahma-viveka anavaDAraNena aparasmin brahmaNi vartamAnA
   gatiśrutayaḥ parasmin adhyāropyante /	gati-SrutayaH parasmin aDyAropyante /
   kiṃ dve brahmaṇī param aparaṃ ca iti /	kim dve brahmaNI param aparam ca iti /
   bāḍhaṃ dve 'etadvai satyakāma paraṃ cāparaṃ brahmayadoṅkāraḥ' (pra. 5.2)	bAXam dve aetat-vE satyakAma param ca-aparam brahmayadA-uFkAraH-a (pra. 5.2)
   ityādi darśanāt /	ityAdi darSanAt /
   kiṃ punaḥ paraṃ brahma kim aparam iti /	kim punar param brahma kim aparam iti /
   ucyate /	ucyate /
   yatra avidyākṛta nāma rūpādi viśeṣapratiṣedhāt asthūlādiśabdaiḥ brahma	yatra avidyA-kRta nAma rUpa-Adi viSeza-pratizeDAt asTUla-Adi-SabdEH brahma
   upadiśyate tat param /	upadiSyate tat param /
   tat eva yatra nāmarūpādiviśeṣeṇa kenacit viśiṣṭam upāsanāya upadiśyate	tat eva yatra nAma-rUpa-Adi-viSezeNa kenacid viSizwam upAsanAya upadiSyate
   'manomayaḥ prāṇaśarīro bhārūpaḥ' (chā. 3.14.2) ityādiśabdaistadaparam /	amanaH-mayaH prANa-SarIraH BArUpaH-a (CA. 3.14.2) ityAdi-SabdEH-tad-aparam /
   nanu evam advitīyaśrutiḥ uparudhyeta /	nanu evam advitIya-SrutiH uparuDyeta /
   na /	na /
   avidyākṛta nāma rūpa upādhikatayā parihṛtatvāt /	avidyA-kRta nAma rUpaH upADika-tayA parihRta-tvAt /
   tasya ca aparabrahma upāsanasya tat saṃnidhau śrūyamāṇam 'sa yadi	tasya ca apara-brahmaH upAsanasya tat saMniDO SrUyamANam asa yadi
   pitṛlokakāmo bhavati' (chā. 8.2.1) ityādi jagat aiśvaryalakṣaṇaṃ	pitR-loka-kAmaH Bavati-a (CA. 8.2.1) ityAdi jagat ESvarya-lakzaNam
   saṃsāragocaram eva phalaṃ bhavati /	saMsAra-gocaram eva Palam Bavati /
   anivartitatvāt avidyāyāḥ /	anivartita-tvAt avidyAyAH /
   tasya ca deśaviśeṣa avabaddhatvāt tatprāptyarthaṃ gamanam aviruddham /	tasya ca deSa-viSeza avabadDa-tvAt tad-prApti-arTam gamanam avirudDam /
   sarvagatatve api ca ātmana ākāśasya iva ghaṭādigamane budhyādi	sarva-gata-tve api ca AtmanaH AkASasya iva Gawa-Adi-gamane buDya-Adi
   upādhigamane gamanaprasiddhiḥ iti avādiṣma 'tadguṇasāratvāt' (bra.sū.	upADi-gamane gamana-prasidDiH iti avAdizma atad-guNa-sAra-tvAt-a (bra.sU.
   2.3.29) ityatra /	2.3.29) iti-atra /
   tasmāt 'kāryaṃ bādariḥ (bra. sū. 4.3.7) ityeṣa eva sthitaḥ pakṣaḥ /	tasmAt akAryam bAdariH (bra. sU. 4.3.7) iti-eza eva sTitaH pakzaH /
   'paraṃ jaiminiḥ' (bra.sū. 4.3.12) iti tu	aparam jEminiHa (bra.sU. 4.3.12) iti tu
   pakṣāntarapratibhānamātrapradarśanaṃ prajñāvikāsanāya iti draṣṭavyam // 14	pakza-antara-pratiBAna-mAtra-pradarSanam prajQA-vikAsanAya iti drazwavyam // 14
   6 apratīka ālambana adhikaraṇam / sū. 15-16	6 apratIkaH Alambana aDikaraNam / sU. 15-16
   apratīkālambanān nayatīti bādarāyaṇa ubhayathā ca doṣāt tatkratuś ca |	apratIka-AlambanAt nayati-iti bAdarAyaNaH uBayaTA ca dozAt tat-kratuH ca |
   BBs_4,3.15 |	BBH-_4,3.15 |
   sthitam etat kāryaviṣayā gatiḥ na paraviṣayā iti /	sTitam etat kArya-vizayA gatiH na para-vizayAH iti /
   idam idānīṃ saṃdihyate kiṃ sarvān vikāra ālambanān aviśeṣeṇa eva amānavaḥ	idam idAnIm saMdihyate kim sarvAn vikAraH AlambanAn aviSezeNa eva amAnavaH
   puruṣaḥ prāpayati brahmalokam uta kāṃścit eva iti /	puruzaH prApayati brahma-lokam uta kAMScid eva iti /
   kiṃ tāvat prāptaṃ sarveṣām eva eṣāṃ viduṣām anyatra parasmāt brahṇaṇo	kim tAvat prAptam sarvezAm eva ezAm viduzAm anyatra parasmAt brahNaNaH-
   gatiḥ syāt /	gatiH syAt /
   tathā hi - 'aniyamaḥ sarvāsām' - (bra. sū. 3.3.31) iti atrāviśeṣeṇa eva	taTA hi  aaniyamaH sarvAsAm-a  (bra. sU. 3.3.31) iti atra-aviSezeNa eva
   eṣāṃ vidyāntareṣu avatārita iti /	ezAm vidyA-antarezu avatAritaH iti /
   evaṃ prāpte pratyāha - apratīka ālambanān iti /	evam prApte pratyAha  apratIkaH AlambanAn iti /
   pratīka ālambanān varjayitvā sarvān anyān vikāra ālambanān nayati	pratIkaH AlambanAn varjayitvA sarvAn anyAn vikAraH AlambanAt nayati
   brahmalokam iti bādarāyaṇa ācāryo manyate /	brahma-lokam iti bAdarAyaNaH AcAryaH manyate /
   na hi evam ubhayathā	na hi evam uBayaTA
   abhāva abhyupagame kaścit doṣaḥ asti /	aBAva aByupagame kaScid dozaH asti /
   aniyama nyāyasya pratīkavyatirikteṣu api upāsaneṣu upapatteḥ /	aniyama nyAyasya pratIka-vyatiriktezu api upAsanezu upapatteH /
   tatkratuḥ ca asya ubhayathābhāvasya samarthako hetuḥ draṣṭavyaḥ /	tat-kratuH ca asya uBayaTA-BAvasya samarTakaH hetuH drazwavyaH /
   yo hi brahmakratuḥ sa brāhmam aiśvaryam āsīdediti śliṣyate 'taṃ yathā	yaH hi brahma-kratuH sa brAhmam ESvaryam AsIdet-iti Slizyate atam yaTA
   yatopāsate tadeva bhavati' iti śruteḥ /	yata-upAsate tat-eva Bavati-a iti SruteH /
   na tu pratīkeṣu brahma akratutvam asti pratīkapradhānatvāt upāsanasya /	na tu pratIkezu brahma akratu-tvam asti pratIka-praDAna-tvAt upAsanasya /
   nanu abrahmakratuḥ api brahmagacchati iti śrūyate yathā pañcāgni vidyāyām	nanu abrahma-kratuH api brahma-gacCati iti SrUyate yaTA paQca-agni vidyAyAm
   'sa enānbrahma gamayati' (chā. 4.15.5) iti bhavatu yatra evam āhatyavāda	asaH enAn-brahma gamayati-a (CA. 4.15.5) iti Bavatu yatra evam Ahatya-vAda
   upalabhyate tat abhāve tu autsargikeṇa tat kratunyāyena brahmakratūnām eva	upalaByate tat aBAve tu OtsargikeNa tat kratu-nyAyena brahma-kratUnAm eva
   tatprāptiḥ na itareṣām iti gamyate // 15 //	tad-prAptiH na itarezAm iti gamyate // 15 //
   viśeṣaṃ ca darśayati | BBs_4,3.16 |	viSezam ca darSayati | BBH-_4,3.16 |
   nāmādiṣu pratīka upāsaneṣu pūrvasmāt pūrvasmāt phalaviśeṣam uttarasmin	nAma-Adizu pratIkaH upAsanezu pUrvasmAt pUrvasmAt Pala-viSezam uttarasmin
   uttarasmin upāsane darśayati - 'yāvannāmno gataṃ tatrāsya yathākāmacāro	uttarasmin upAsane darSayati  ayAvat-nAmnaH gatam tatra-asya yaTAkAma-cAraH-
   bhavati' (chā. 7.1.5) 'vāgvāva nāmno bhūyasī' (chā. 7.2.1) 'yāvadvāco	Bavati-a (CA. 7.1.5) avAgvAva nAmnaH BUyasI-a (CA. 7.2.1) ayAvat-vAcaH-
   gataṃ tatrāsya yathākāmacāro bhavati'(chā. 7.2.2) 'mano vāva vāco bhūyaḥ'	gatam tatra-asya yaTAkAma-cAraH Bavati-a(CA. 7.2.2) amanaH vAva vAcaH BUyaH-a
   (chā. 7.3.1)	(CA. 7.3.1)
   ityādinā /	ityAdinA /
   sa ca ayaṃ phalaviśeṣaḥ pratīka tantratvāt upāsanānām upapadyate /	sa ca ayam Pala-viSezaH pratIka tantra-tvAt upAsanAnAm upapadyate /
   brahma tantratve tu brahmaṇaḥ aviśiṣṭatvāt kathaṃ phalaviśeṣaḥ syāt /	brahma tantra-tve tu brahmaNaH aviSizwa-tvAt kaTam Pala-viSezaH syAt /
   tasmāt na pratīka ālambanānām itaraiḥ tulyaphalatvam iti // 16 //	tasmAt na pratIkaH AlambanAnAm itarEH tulya-Pala-tvam iti // 16 //
   iti śrīgovindabhagavatpūjyapādaśiṣyaśrīśaṅkarabhagavatpādakṛtau	iti SrI-govinda-Bagavat-pUjya-pAda-Sizya-SrI-SaFkara-Bagavat-pAda-kRtO
   śrīmacchārīrakamīmāṃsābhāṣye caturthādhyāyasya tṛtīyaḥ pādaḥ // 3 //	SrImat-SArIrakamI-mAMsa-ABAzye caturTa-aDyAyasya tRtIyaH pAdaH // 3 //
   caturtho 'dhyāye caturthaḥ pādaḥ /	caturTaH aDyAye caturTaH pAdaH /
   [atra pāde brahmaprāpti-brahmalokasthitinirūpaṇam]	[atra pAde brahma-prApti-brahma-loka-sTiti-nirUpaNam]
   1 saṃpadyāvirbhāva adhikaraṇam / sū. 1-3	1 saMpadya-AvirBAva aDikaraNam / sU. 1-3
   saṃpadyāvirbhāvaḥ svena śabdāt | BBs_4,4.1 |	saMpadya-AvirBAvaH svena SabdAt | BBH-_4,4.1 |
   evam eva eṣa saṃprasādaḥ asmāt śarīrāt samutthāya paraṃ jyotiḥ upasaṃpadya	evam eva eza saMprasAdaH asmAt SarIrAt samutTAya param jyotiH upasaMpadya
   svena rūpeṇa abhiniṣpadyata iti śrūyate /	svena rUpeNa aBinizpadyate iti SrUyate /
   tatra saṃśayaḥ - kiṃ devalokādi upabhogasthāneṣu iva āgantukena kenacit	tatra saMSayaH  kim deva-loka-Adi upaBoga-sTAnezu iva Agantukena kenacid-
   viśeṣeṇa abhiniṣpadyata āhot ātmamātreṇa iti /	viSezeNa aBinizpadyate Ahot Atma-mAtreNa iti /
   kiṃ tāvat prāptam /	kim tAvat prAptam /
   sthānāntareṣu iva āgantukena kenacit rūpeṇa abhiniṣpattiḥ syāt /	sTAna-antarezu iva Agantukena kenacid rUpeNa aBinizpattiH syAt /
   mokṣasya api phalatvaprasiddheḥ /	mokzasya api Palatva-prasidDeH /
   abhiniṣpadyata iti ca utpattiparyāyatvāt /	aBinizpadyate iti ca utpatti-paryAya-tvAt /
   svarūpamātreṇa cet abhiniṣpattiḥ pūrvāsu api avasthāsu svarūpa anāpāyāt	sva-rUpa-mAtreNa ced aBinizpattiH pUrvAsu api avasTAsu svarUpa anApAyAt-
   vibhāvyeta /	viBAvyeta /
   tasmāt viśeṣeṇa kenacit abhiniṣpadyata iti /	tasmAt viSezeNa kenacid aBinizpadyate iti /
   evaṃ prāpte brūmaḥ - kevalena eva ātmana āvirbhavati na dharmāntareṇa iti	evam prApte brUmaH  kevalena eva AtmanaH AvirBavati na Darma-antareNa iti
   kutaḥ - svena rūpeṇa abhiniṣpadyata iti svaśabdāt /	kutas  svena rUpeNa aBinizpadyate iti sva-SabdAt /
   anyathā hi svaśabdena iti viśeṣaṇam anavakḷptaṃ syāt /	anyaTA hi sva-Sabdena iti viSezaNam anavak?ptam syAt /
   nanu ātmīya abhiprāyaḥ svaśabdo bhaviṣyati /	nanu AtmIya aBiprAyaH sva-SabdaH Bavizyati /
   na /	na /
   tasya avacanīyatvāt /	tasya avacanIya-tvAt /
   yena eva hi kenacit rūpeṇa abhiniṣpadyate tasya eva ātmīyatva upapatteḥ	yena eva hi kenacid rUpeNa aBinizpadyate tasya eva AtmIyatve upapatteH
   svena iti viśeṣaṇamna arthakaṃ syāt /	svena iti viSezaNam-na arTakam syAt /
   ātmavacanatāyāṃ tu arthavat kevalena eva ātmarūpeṇa abhiniṣpadyate na	Atma-vacana-tAyAm tu arTavat kevalena eva Atma-rUpeNa aBinizpadyate na
   āgantukena apararūpeṇāpi iti // 1 //	Agantukena apara-rUpeNa-api iti // 1 //
   kaḥ punaḥ viśeṣaḥ pūrvāsu avasthāsu iha ca svarūpa anapāyasāmye sati	kaH punar viSezaH pUrvAsu avasTAsu iha ca svarUpa anapAya-sAmye sati
   ityata āha -	iti-atas Aha -
   muktaḥ pratijñānāt | BBs_4,4.2 |	muktaH pratijQAnAt | BBH-_4,4.2 |
   yaḥ atra abhiniṣpadyata iti uktaḥ sa sarvabandha vinirmuktaḥ śuddhena eva	yaH atra aBinizpadyate iti uktaH sa sarva-banDa vinirmuktaH SudDena eva
   ātmanā avatiṣṭhate /	AtmanA avatizWate /
   pūrvatra tu andho bhavati api roditi iva vināśameva apīto bhavati iti ca	pUrvatra tu anDaH Bavati api roditi iva vinASam-eva api-itas Bavati iti ca
   avasthātraya kaluṣitena ātmana iti ayaṃ viśeṣaḥ /	avasTA-atraya kaluzitena AtmanaH iti ayam viSezaH /
   kathaṃ punaḥ avagamyate muktaḥ ayam idānīṃ bhavati iti - pratijñānāt	kaTam punar avagamyate muktaH ayam idAnIm Bavati iti  pratijQAnAt-
   ityāha /	iti-Aha /
   tathā hi 'etaṃ tveva te bhūyo 'nuvyākhyāsyāmi' (chā. 8.9.3, 8.10.4,	taTA hi aetam tu-eva te BUyas anuvyAKyAsyAmi-a (CA. 8.9.3, 8.10.4,
   8.11.3) iti avasthātraya doṣavihīnam ātmānaṃ vyākhyeyatvena pratijñāya	8.11.3) iti avasTA-atraya doza-vihInam AtmAnam vyAKyeya-tvena pratijQAya
   'aśarīraṃ vāva santaṃ na priyāpriye spṛśataḥ (chā. 8.12.1) iti ca	aaSarIram vAva santam na priya-apriye spRSataH (CA. 8.12.1) iti ca
   upanyasya 'svena rūpeṇābhiniṣpadyate sa uttamaḥ puruṣaḥ' (chā. 8.12.3) iti	upanyasya asvena rUpeNa-aBinizpadyate saH uttamaH puruzaH-a (CA. 8.12.3) iti
   ca upasaṃharati /	ca upasaMharati /
   tathā ākhyāyika upakrame api 'ya ātmāpahatapāpmā' (chā. 8.7.1) ityādi	taTA AKyAyikaH upakrame api ayaH Atma-apahata-pApmA-a (CA. 8.7.1) ityAdi
   mukta ātmaviṣayam eva pratijñānam /	muktaH Atma-vizayam eva pratijQAnam /
   phalatvaprasiddhiḥ api mokṣasya bandhanivṛttimātra apekṣā na apūrva	Pala-tva-prasidDiH api mokzasya banDa-nivRtti-mAtra apekzAH na apUrva
   upajanana apekṣā /	upajanana apekzAH /
   yat api abhiniṣpadyata iti utpattiparyāyatvaṃ tat api pūrva avasthāpekṣaṃ	yat api aBinizpadyate iti utpatti-paryAya-tvam tat api pUrva avasTA-apekzam
   yathā roganivṛttau arogaḥabhiniṣpadyata iti tadvat /	yaTA roga-nivRttO arogaH-aBinizpadyate iti tadvat /
   tasmāt adoṣaḥ // 2 //	tasmAt adozaH // 2 //
   ātmā prakaraṇāt | BBs_4,4.3 |	AtmA prakaraNAt | BBH-_4,4.3 |
   kathaṃ punaḥ mukta iti ucyate - yāvatā 'paraṃ jyotirupasaṃpadya' (chā.	kaTam punar muktaH iti ucyate  yAvatA aparam jyotiH-upasaMpadya-a (CA.
   8.12.3) iti kāryagocaram eva enaṃ śrāvayati /	8.12.3) iti kArya-gocaram eva enam SrAvayati /
   jyotiḥśabdasya bhautike jyotiṣi rūḍhatvāt /	jyotiH-Sabdasya BOtike jyotizi rUXa-tvAt /
   na ca anativṛtto vikāraviṣayāt kaścit mukto bhavitum arhati /	na ca anativRttaH vikAra-vizayAt kaScid muktaH Bavitum arhati /
   vikārasya ārtatvaprasiddheḥ iti /	vikArasya Arta-tva-prasidDeH iti /
   na eṣa doṣaḥ /	na eza dozaH /
   yata jyotiḥ śabdena āvedyate prakaraṇāt 'ya ātmāpahatapāpmā vijaro	yata jyotiH Sabdena Avedyate prakaraNAt ayaH Atma-apahata-pApmA vijaraH-
   vimṛtyuḥ' (chā. 8.7.1) iti hi prakṛte parasmin ātmani na akasmāt bhautikaṃ	vimRtyuH-a (CA. 8.7.1) iti hi prakRte parasmin Atmani na akasmAt BOtikam
   jyotiḥ śakyaṃ grahītum /	jyotiH Sakyam grahItum /
   prakṛtahāna aprakṛtaprakriyā prasaṅgāt /	prakRta-hAna aprakRta-prakriyA prasaFgAt /
   jyotiḥśabdaḥ tu ātmani api dṛśyate 'taddevā jyotiṣaṃ jyotiḥ (bṛ. 4.4.16)	jyotiH-SabdaH tu Atmani api dRSyate atad-devA jyotizam jyotiH (bR. 4.4.16)
   iti /	iti /
   prapañcitaṃ caitat'(bra. sū. 1.3.40) ityatra // 3 //	prapaQcitam ca-etat-a(bra. sU. 1.3.40) iti-atra // 3 //
   2 avibhāgena dṛṣṭatva adhikaraṇam / sū. 4	2 aviBAgena dRzwa-tva aDikaraNam / sU. 4
   avibhāgena dṛṣṭatvāt | BBs_4,4.4 |	aviBAgena dRzwa-tvAt | BBH-_4,4.4 |
   paraṃ jyotiḥ upasaṃpadya svena rūpeṇa abhiniṣpadyate yaḥ sa kiṃ parasmāt	param jyotiH upasaMpadya svena rUpeNa aBinizpadyate yaH sa kim parasmAt-
   ātmanaḥ pṛthageva bhavati uta avibhāgena eva avatiṣṭhata vīkṣāyām sa	AtmanaH pRTak-eva Bavati uta aviBAgena eva avatizWata vIkzAyAm sa
   'tatra paryeti' ( 8.12.3) iti adhikaraṇa adhikartavya nirdeśāt jyotiḥ	atatra paryeti-a ( 8.12.3) iti aDikaraNa aDikartavya nirdeSAt jyotiH
   upasaṃpadya (chā. 8.12.3) iti ca kartṛkarmanirdeśāt bhedena eva avasthānam	upasaMpadya (CA. 8.12.3) iti ca kartR-karma-nirdeSAt Bedena eva avasTAnam
   iti yasya matiḥ taṃ vyutpādayati avibhakta eva pareṇa ātmanā muktaḥ	iti yasya matiH tam vyutpAdayati aviBaktaH eva pareNa AtmanA muktaH
   avatiṣṭhate /	avatizWate /
   kutaḥ - dṛṣṭatvāt /	kutas  dRzwa-tvAt /
   tathā hi 'tattvamasi' (chā. 6.8.7) 'ahaṃ brahmāsmi' (bṛ. 1.4.10) 'yatra	taTA hi atat-tvam-asi-a (CA. 6.8.7) aaham brahmA-asmi-a (bR. 1.4.10) ayatra
