   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   //MS_4,11.1//	//n= _4,11.1//
   [Page IV,163]	[Pa ge IV,163]
   pṛthupājās taṃ sabādhaḥ //	pRTu pAjAH tam sa bADaH //
        īḍe agniṃ vipaścitaṃ girā yajñasya sādhanam /	Ixe agnim vipaScitam girA yajQasya sADanam /
        śruṣṭīvānaṃ dhitāvānam //	SruzwIvAnam DitAvAnam //
        agne śakema te vayaṃ yamaṃ devasya vājinaḥ /	agne Sakema te vayam yamam devasya vAjinaH /
        ati dveṣāṃsi tarema //	ati dvezAMsi tarema //
        upa tvā raṇvasaṃdṛśaṃ prayasvantaḥ sahaskṛta /	upa tvA raNva saMdRSam prayasvantaH sahaskRta /
        agne saṃsṛjmahe giraḥ //	agne saMsRjmahe giraH //
        upa chāyām iva ghṛṇer aganma śarma te vayam /	upa CAyAm iva GRNeH aganma Sarma te vayam /
        agne hiraṇyasaṃdṛśaḥ //	agne hiraNya saMdRSaH //
   agnir vṛtrāṇi jaṅghanat tvaṃ somāsi satpatir agnīṣomā yuvam etāni śrīṇām	agniH vRtrANi jaFGanat tvam soma asi sat patiH agnIzomA yuvam etAni SrINAm
   udāraḥ //	udAraH //
        somasya mā tavasaṃ vakṣy agne vahniṃ cakartha vidathe yajadhyai /	somasya mA tavasam vakzi agne vahnim cakarTa vidaTe yajaDyE /
        devaṃ achā dīdyad yuñje adriṃ śamāye agne tanvaṃ juṣasva //	devam aCA dIdyat yuQje adrim SamAye agne tanvam juzasva //
        somāpūṣaṇā jananā rayīṇāṃ jananā divo jananā pṛthivyāḥ /	somApUzaNAH jananAH rayINAm jananAH divaH jananA pRTivyAH /
        jātau viśvasya bhuvanasya gopau devā akṛṇvann amṛtasya nābhim //	jAtO viSvasya Buvanasya gopO devAH akRNvan amRtasya nABim //
   [Page IV,164]	[Pa ge IV,164]
        imau devau jāyamānau juṣantemau tamāṃsi gūhatām ajuṣṭā /	imO devO jAyamAnO juzanta imO tamAMsi gUhatAm ajuzwA /
        ābhyām indraḥ pakvam āmāsv antaḥ somāpūṣabhyāṃ janad usriyāsu //	AByAm indraH pakvam AmAsu antar somApUzaByAm janat usriyAsu //
        uta no brahman haviṣa uktheṣu devahūtamaḥ /	uta naH brahman havizaH ukTezu devahUtamaH /
        śaṃ naḥ śocā marudvṛdho 'gne sahasrasātamaḥ //	Sam naH SocAH marut vRDaH agne sahasra sAtamaH //
        nū no rāsva sahasravat tokavat puṣṭimad vasu /	nU naH rAsva sahasra vat toka vat puzwimat vasu /
        dyumad agne suvīryaṃ varṣiṣṭham anupakṣitam //	dyumat agne su vIryam varzizWam anupakzitam //
        tvā yujā tava tat soma sakhya indro apo manave sasrutas kaḥ /	tvA yujA tava tat soma saKyaH indraH apaH manave sa srutaH kaH /
        ahann ahim ariṇāt sapta sindhūn apāvṛṇod apihiteva khāni //	ahan ahim ariNAt sapta sinDUn apAvRNot apihitA iva KAni //
        ṛdūdareṇa sakhyā saceya yo mā na riṣyed dharyaśva pītaḥ /	Rdu udareNa saKyA saceya yaH mA na rizyet DaryaSva pItaH /
        ayaṃ yaḥ somo nyadhāyy asme tasmā indraṃ pratiram emy āyuḥ //	ayam yaH somaH nyaDAyi asme tasmE indram pratiram emi AyuH //
   tvaṃ no agne sa tvaṃ no agne 'gniṃ vaḥ pūrvyaṃ girā //	tvam naH agne sa tvam naH agne agnim vaH pUrvyam girA //
        makṣū devavato rathaḥ śūro vā pṛtsu kāsucit /	makzU devavataH raTaH SUraH vA pRtsu kAsucid /
        devānāṃ ya in mano yajamānā iyakṣaty abhīd ayajvano bhuvat //	devAnAm ye id manaH yajamAnAH iyakzati aBIt ayajvanaH Buvat //
   [Page IV,165]	[Pa ge IV,165]
        nakiṣ ṭaṃ karmaṇā naśan na prayoṣan na yoṣati /	nakiH wam karmaNA naSan na prayozan na yozati /
        devānāṃ ya in mano yajamānā iyakṣaty abhīd ayajvano bhuvat //	devAnAm ye id manaH yajamAnAH iyakzati aBIt ayajvanaH Buvat //
        asad atra suvīryam uta tyad āśvaśvyam /	asat atra su vIryam uta tyat ASvaSvyam /
        devānāṃ ya in mano yajamānā iyakṣaty abhīd ayajvano bhuvat //	devAnAm ye id manaH yajamAnAH iyakzati aBIt ayajvanaH Buvat //
        upakṣaranti sindhavo mayobhuva ījānaṃ ca yakṣyamāṇaṃ ca dhenavaḥ /	upakzaranti sinDavaH mayaH BuvaH IjAnam ca yakzyamANam ca DenavaH /
        pṛṇantaṃ ca papuriṃ ca śravasyavo ghṛtasya dhārā upayanti viśvataḥ //	pRNantam ca papurim ca SravasyavaH GRtasya DArAH upayanti viSvatas //
        somārudrā yuvam etāny asme viśvā tanūṣu bheṣajāni dhattam /	somArudrAH yuvam etAni asme viSvA tanUzu BezajAni Dattam /
        avasyataṃ muñcataṃ yan no asti tanūṣu baddhaṃ kṛtam eno asmat //	avasyatam muQcatam yat naH asti tanUzu badDam kRtam enaH asmat //
        somārudrā dhārayethām asuryaṃ pra vām iṣṭayo 'ram aśnuvantu /	somArudrAH DArayeTAm asuryam pra vAm izwayaH aram aSnuvantu /
        damedame sapta ratnā dadhānā śaṃ no bhūtaṃ dvipade śaṃ catuṣpade //	damedame sapta ratnA daDAnA Sam naH BUtam dvipade Sam catuzpade //
        somārudrā vivṛhataṃ viṣūcīm amīvā yā no gayam āviveśa /	somArudrAH vivRhatam vizUcIm amIvAH yA naH gayam AviveSa /
        āre bādhethāṃ nirṛtiṃ parācair asme bhadrā sauśravasāni santu //	Are bADeTAm nirRtim parAcEs asme BadrA sOSravasAni santu //
        tigmāyudhau tigmahetī suśevau somārudrā iha su mṛḍataṃ naḥ /	tigma AyuDO tigma hetI su SevO somArudrAH iha su mRxatam naH /
        mumuktam asmān grasitān abhīke prayachataṃ vṛṣaṇā śaṃtamāni //	mumuktam asmAn grasitAn aBIke prayaCatam vRzaNA SaMtamAni //
   agnāviṣṇū sajoṣasāgnāviṣṇū mahi dhāma priyaṃ vām //	agnAvizNU sa joza sAgnA vizNU mahi DAma priyam vAm //
        agnāviṣṇū mahi tad vāṃ mahitvaṃ vītho ghṛtasya guhyā juṣāṇā /	agnAvizNU mahi tat vAm mahitvam vITaH GRtasya guhyAH juzANAH /
        damedame suṣṭutī vāvṛdhānā nu vāṃ jihvā ghṛtam ācaraṇyat //	damedame suzwutI vAvRDAnA nu vAm jihvA GRtam AcaraNyat //
   pāvakā naḥ sarasvatī //	pAvakAH naH sarasvatI //
        sarasvaty abhi no neṣi vasyo māpa spharīḥ payasā mā nā ādhak /	sarasvatI aBi naH nezi vasyaH mA apa sParIH payasA mA nA ADak /
        juṣasva naḥ sakhyā veśyā ca mā tvat kṣetrāṇy araṇyāni ganma //	juzasva naH saKyA veSyA ca mA tvat kzetrANi araNyAni ganma //
   ā no divaḥ //	A naH divaH //
        bṛhaspate juṣasva no havyāni viśvadevya /	bRhaspate juzasva naH havyAni viSvadevya /
        rāsva ratnāni dāśuṣe //	rAsva ratnAni dASuze //
        evā pitre viśvadevāya vṛṣṇe yajñair vidhema namasā havirbhiḥ /	evA pitre viSvadevAya vRzNe yajQEH viDema namasA havirBiH /
        bṛhaspate suprajā vīravanto vayaṃ syāma patayo rayīṇām //	bRhaspate su prajAH vIravantaH vayam syAma patayaH rayINAm //
        ā no mitrāvaruṇā ghṛtair gavyūtim ukṣatam /	A naH mitrAvaruNA GRtEH gavyUtim ukzatam /
        madhvā rajāṃsi sukratū //	maDvA rajAMsi sukratU //
        pra bāhavā sisṛtaṃ jīvase nā ā no gavyūtim ukṣataṃ ghṛtena /	pra bAhavA sisRtam jIvase nA A naH gavyUtim ukzatam GRtena /
        ā no jane śravayataṃ yuvānā śrutaṃ me mitrāvaruṇā havemā //	A naH jane Sravayatam yuvAnA Srutam me mitrAvaruNA havemAH //
        aurvabhṛguvañ śucim apnavānavad āhuve /	Orva BRgu van Sucim apnavAna vat Ahuve /
        agniṃ samudravāsasam //	agnim samudra vAsasam //
   [Page IV,167]	[Pa ge IV,167]
        ā savaṃ savitur yathā bhagasyeva bhujiṃ huve /	A savam savituH yaTA Bagasya iva Bujim huve /
        agniṃ samudravāsasam //	agnim samudra vAsasam //
        huve vātasvanaṃ kaviṃ parjanyakradyaṃ sahaḥ /	huve vAta svanam kavim parjanya kradyam sahaH /
        agniṃ samudravāsasam //	agnim samudra vAsasam //
   vṛṣā soma dyumaṃ asi //	vRzA soma dyumam asi //
        ā ye tanvanti raśmibhis tiraḥ samudram arṇavam /	A ye tanvanti raSmiBiH tiras samudram arNavam /
        marudbhir agnā āgahi //	marudBiH agnAH Agahi //
        ā vo yantūdavāhāso adya vṛṣṭiṃ ye viśve maruto junanti /	A vaH yantu udava AhAsaH adya vRzwim ye viSve marutaH junanti /
        ayaṃ yo agnirmarutaḥ samiddha etaṃ juṣadhvaṃ kavayo yuvānaḥ //	ayam yaH agniH marutaH samidDaH etam juzaDvam kavayaH yuvAnaH //
        yaṃ tvā devāpiḥ śuśucāno agna ārṣṭiṣeṇo manuṣyaḥ samīdhe /	yam tvA devApiH SuSucAnaH agne ArzwizeNaH manuzyaH samIDe /
        viśvebhir devair anumadyamānaḥ pra parjanyam īrayā vṛṣṭimantam //	viSveBiH devEH anumadyamAnaH pra parjanyam IrayA vRzwimantam //
        agne bādhasva vi mṛdho vi durgahāpāmīvām apa rakṣāṃsi sedha /	agne bADasva vi mRDaH vi durgaha apAmIvAm apa rakzAMsi seDa /
        asmāt samudrād bṛhato divo no 'pāṃ bhūmānam upa naḥ sṛjeha //	asmAt samudrAt bRhataH divaH naH apAm BUmAnam upa naH sRja iha //
   priyā vo nāma huve turāṇām ā yat tṛpan maruto vāvaśānaḥ //	priyA vaH nAma huve turANAm A yat tRpan marutaH vA avaSAnaH //
        śriyase kaṃ bhānubhiḥ saṃmimikṣire te raśmmibhis ta ṛkvabhiḥ	Sriyase kam BAnuBiH saMmimikzire te raSmmiBiH te RkvaBiH
   sukhādayaḥ /	suKa AdayaH /
        te vāśīmanta iṣmiṇo abhīravo vidre priyasya mārutasya dhāmnaḥ //	te vA aSImantaH izmiNaH aBIravaH vidre priyasya mArutasya DAmnaH //
   maruto yad dha vo divaḥ //	marutaH yat Da vaH divaH //
        praiṣām ajmeṣu vithureva rejate bhūmir yāmeṣu yad dha yuñjate śubhe /	prEzAm ajmezu viTuH eva rejate BUmiH yAmezu yat Da yuQjate SuBe /
        te krīḍayo dhunayo bhrājadṛṣṭyaḥ svayaṃ mahitvaṃ panayanta dhūtayaḥ	te krIxayaH DunayaH BrAja t RzwyaH svayam mahitvam panayanta DUtayaH
   //MS_4,11.2//	//n= _4,11.2//
        kayā śubhā savayasaḥ sanīḍāḥ samānyā marutaḥ saṃmimikṣuḥ /	kayA SuBA savayasaH sa nIxAH samAnyAH marutaH saMmimikzuH /
        kayā matī kutā etāsa ete 'rcanti śuṣmaṃ vṛṣaṇo vasūyā //	kayA matI kutA etAsaH ete arcanti Suzmam vRzaNaH vasUyA //
        kasya brahmāṇi jujuṣur yuvānaḥ ko adhvare marutā āvavarta /	kasya brahmANi jujuzuH yuvAnaH kaH aDvare marutA Avavarta /
        śyenaṃ iva dhrajato antarikṣe kena mahā manasā rīramāma //	Syenam iva DrajataH antarikze kena mahA manasA rIram Ama //
        kutas tvam indra māhinaḥ sann eko yāsi satpate kiṃ ta itthā /	kutas tvam indra mAhinaH san ekaH yAsi sat pate kim te itTA /
        saṃpṛchase samarāṇaḥ śubhānair voces tan no harivo yat te asme //	saMpRCase samarANaH SuBAnEH voceH tat naH harivaH yat te asme //
        brahmāṇi me matayaḥ śaṃ sutāsaḥ śuṣma iyarti prabhṛto me adriḥ /	brahmANi me matayaH Sam sutAsaH SuzmaH iyarti praBRtaH me adriH /
        āśāsate pratiharyanty ukthemā harī vahatas tā no acha //	ASAsate pratiharyanti ukTa imA harI vahataH tAH naH aCaH //
        ato vayam antamebhir yujānāḥ svakṣatrebhis tanvaḥ śumbhamānāḥ /	atas vayam antam eBiH yujAnAH svakzatreBiH tanvaH SumBa mAnAH /
        mahobhir ekam upayujmahe nv indraḥ svadhām anu hi no babhūtha //	mahoBiH ekam upayujmahe nu indraH svaDAm anu hi naH baBUTa //
   [Page IV,169]	[Pa ge IV,169]
        kva syā vo marutaḥ svadhāsīd yan mām ekaṃ samadhattāhihatye /	kva syAH vaH marutaH svaDA AsIt yat mAm ekam samaDatta ahihatye /
        ahaṃ hy ugras taviṣas tuviṣmān viśvasya śatror anamaṃ vadhasnaiḥ //	aham hi ugraH tavizaH tuvizmAn viSvasya SatroH anamam vaDasnEH //
        bhūri cakartha yujyebhir asme samānebhir vṛṣabha pauṃsyebhiḥ /	BUri cakarTa yujyeBiH asme samAneBiH vRzaBa pOMsyeBiH /
        bhūrīṇi hi kṛṇavāmā śaviṣṭhendraḥ kṛtvā maruto yad vaśāma //	BUrINi hi kRNavAmA SavizWa indraH kRtvA marutaH yat vaSAmaH //
        vadhīṃ vṛtraṃ maruta indriyeṇa svena bhāmena taviṣo babhūvān /	vaDIm vRtram marutaH indriyeNa svena BAmena tavizaH baBUvAn /
        aham etā manave viśvaścandrāḥ sugā apaś cakara vajrabāhuḥ //	aham etAH manave viSvaH candrAH sugAH apaH cakara vajrabAhuH //
        anuttam ā te maghavan nakir ṇu na tvāvaṃ asti devatā vidānaḥ /	anuttam A te maGavan nakiH Nu na tu Avam asti devatAH vidAnaH /
        na jāyamāno naśate na jāto yāni kariṣyā kṛṇuhi pravṛddha //	na jAyamAnaH naSate na jAtaH yAni karizyA kRNuhi pravRdDaH //
   ekasya cin me vibhv astv ojo yā nu dadhṛṣvān kṛṇavai manīṣā //	ekasya cit me viBu astu ojaH yA nu daDRzvAn kRNavE manIzA //
   ahaṃ hy ugro maruto vidāno yāni cyavam indrā id īśa eṣām //	aham hi ugraH marutaH vidAnaH yAni cyavam indrAH id ISaH ezAm //
        amandan mā marutaḥ stomo atra yan me naraḥ śrutyaṃ brahma cakra /	amandan mA marutaH stomaH atra yat me naraH Srutyam brahma cakra /
        indrāya vṛṣṇe sumakhāya mahyaṃ sakhye sakhāyas tanve tanūbhiḥ //	indrAya vRzNe sumaKAya mahyam saKye saKAyaH tanve tanUBiH //
        eved ete prati mā rocamānā anedyaḥ śravā eṣo dadhānāḥ /	evet ete prati mA rocamAnAH anedyaH SravAH ezaH daDAnAH /
        saṃcakṣyā marutaś candravarṇā achānta me chadayāthā ca nūnam //	saMcakzyAH marutaH candra varNAH aCAnta me CadayA aTA ca nUnam //
        ko nv atra maruto māmahe vaḥ prayātana sakhīṃr achā sakhāyaḥ /	kaH nu atra marutaH mAmahe vaH prayAtana saKIM aCA saKAyaH /
        manmāni citrā apivātayanta eṣāṃ bhūta navedā ma ṛtānām //	manmAni citrAH apivAtayantaH ezAm BUta navedAH me RtAnAm //
        ā yad duvasyād duvase na kārur asmāṃś cakre mānyasya medhā /	A yat duvasyAt duvase na kAruH asmAn cakre mAnyasya meDAH /
        o ṣū varta maruto vipram achemā brahmāṇi jaritā vo arcat //	aH zU varta marutaH vipram aCemAH brahmANi jaritAH vaH arcat //
        eṣa vaḥ stomo maruta iyaṃ gīr māndāryasya mānyasya kāroḥ /	eza vaH stomaH marutaH iyam gIH mAndAryasya mAnyasya kAroH /
        eṣā yāsīṣṭa tanve vayāṃ vidyāmeṣaṃ vṛjanaṃ jīradānum //MS_4,11.3//	ezA yAsIzwa tanve vayAm vidyA mezam vRjanam jIra dAnum //n= _4,11.3//
        indraṃ vo viśvatas pari havāmahe janebhyaḥ /	indram vaH viSvatas pari havAmahe janeByaH /
        asmākam astu kevalaḥ //	asmAkam astu kevalaH //
        ā te śuṣmo vṛṣabha etu paścād ottarād adharād ā purastāt /	A te SuzmaH vRzaBaH etu paScAt ottarAt aDarAt A purastAt /
        ā viśvato abhi sametv arvāṅ indra dyumnaṃ svarvad dhehy asme //	A viSvatas aBi sametu arvAF indra dyumnam svarvat Dehi asme //
   maruto yad dha vo divo yā vaḥ śarma //	marutaH yat Da vaH divaH yA vaH Sarma //
   [Page IV,171]	[Pa ge IV,171]
        ā tū na indra vṛtrahann asmākam ardham āgahi /	A tU naH indra vRtrahan asmAkam arDam Agahi /
        mahān mahībhir ūtibhiḥ //	mahAn mahIBiH UtiBiH //
        tvaṃ mahaṃ indra tubhyaṃ ha kṣā anu kṣatraṃ maṃhanā manyata dyauḥ /	tvam maham indra tuByam ha kzAH anu kzatram maMhanAH manyata dyOH /
        tvaṃ vṛtraṃ śavasā jaghanvānt sṛjaḥ sindhūṃr ahinā jagrasānān //	tvam vRtram SavasA jaGanvAnt sRjaH sinDUMr ahinA jagrasAnAn //
        maruto yad dha vo balaṃ janaṃ acucyavītana /	marutaH yat Da vaH balam janam acucyavItanaH /
        girīṃr acucyavītana //	girIn acucyavItanaH //
        ṛṣṭayo vo maruto aṃsayor adhi sahā ojo bāhvor vo balaṃ hitam /	RzwayaH vaH marutaH aMsayoH aDi sahAH ojaH bAhvoH vaH balam hitam /
        nṛmṇā śīrṣasv āyudhā ratheṣu no viśvā vaḥ śrīr adhi tanūṣu pipiśe //	nRmNA SIrzasu AyuDAH raTezu naH viSvA vaH SrIH aDi tanUzu pipiSe //
        purutrā hi sadṛṅṅ asi viśo viśvā anu prabhuḥ /	purutrAH hi sadRFF asi viSaH viSvAH anu praBuH /
        samatsu tvā havāmahe //	samatsu tvA havAmahe //
        samatsv agnim avase vājayanto havāmahe /	samatsu agnim avase vAjayantaH havAmahe /
        vājeṣu citrarādhasam //	vAjezu citra rADasam //
   agne nayā devānāṃ tvam agne vratapā asi yad vo vayam //	agne nayAH devAnAm tvam agne vratapAH asi yat vaH vayam //
        tvam agne vratabhṛñ śucir agne devaṃ ihāvaha /	tvam agne vrata BRt SuciH agne devam iha Avaha /
        upa yajñaṃ haviś ca naḥ //	upa yajQam haviH ca naH //
   [Page IV,172]	[Pa ge IV,172]
        vratā nu bibhrad vratapā adabdho yajāno devo ajaraḥ suvīraḥ /	vratA nu biBrat vratapAH adabDaH yajAnaH devaH ajaraH su vIraH /
        dadhad ratnāni sumṛḍīko agne gopāya no jīvase jātavedaḥ //	daDat ratnAni sumRxIkaH agne gopAya naH jIvase jAtavedaH //
        śreṣṭhaṃ yaviṣṭha bhāratāgne dyumantam ābhara /	SrezWam yavizWa BArata agne dyumantam ABara /
        vaso puruspṛhaṃ rayim //	vasaH puruspRham rayim //
        tubhyaṃ bharanti kṣitayo yaviṣṭha balim agne antitā ota dūrāt /	tuByam Baranti kzitayaH yavizWa balim agne antitAH ota dUrAt /
        ā bhandiṣṭhasya sumatiṃ cikiddhi mahat te agne mahi śarma bhadram //	A BandizWasya sumatim cikidDi mahat te agne mahi Sarma Badram //
        tvām agne vājasātamaṃ viprā vardhanti suṣṭutam /	tvAm agne vAjasAtamam viprAH varDanti suzwutam /
        sa no rāsva suvīryam //	sa naH rAsva su vIryam //
   ayaṃ no agnir anīkair dveṣo ardaya sainānīkenedaṃ viṣṇuḥ pra tad viṣṇuḥ //	ayam naH agniH anIkEH dvezaH ardaya sEnAnIkena idam vizNuH pra tat vizNuH //
        ā vo rājānam adhvarasya rudraṃ hotāraṃ satyayajaṃ rodasyoḥ /	A vaH rAjAnam aDvarasya rudram hotAram satyayajam rodasyoH /
        agniṃ purā tanayitnor acittād dhiraṇyarūpam avase kṛṇudhvam //	agnim purA tanayitnoH acittAt DiraNya rUpam avase kRNuDvam //
        kad dhiṣṇyāsu vṛdhasāno agne kad vātāya pratavase śubhaṃye /	kat DizNyAsu vRDasAnaH agne kat vAtAya pratavase SuBaMye /
        parijmane nāsatyāya kṣe bravaḥ kad agne rudrāya nṛghne //	parijmane nAsatyAya kze bravaH kat agne rudrAya nR Gne //
   ukṣānnāya vaśānnāya //	ukza annAya vaSa annAya //
   [Page IV,173]	[Pa ge IV,173]
        vātopadhūta iṣito vaśaṃ anu triṣu yad annā veviṣad vitiṣṭhase /	vAta upaDUtaH izitaH vaSam anu trizu yat annAH vevizat vitizWase /
        ā te yatante rathyo yathā pṛthak śardhāṃsy agne ajarāṇi dhakṣataḥ	A te yatante raTyaH yaTA pRTak SarDAMsi agne ajarANi DakzataH
   //MS_4,11.4//	//n= _4,11.4//
   kṛṇuṣva pājā iti pañca //	kRNuzva pAjAH iti paQca //
        sa te jānāti sumatiṃ yaviṣṭha ya īvate brahmaṇe gātum airat /	sa te jAnAti sumatim yavizWa yaH Ivate brahmaNe gAtum Erat /
        viśvāny asmai sudināni rāyo dyumnāny aryo vi duro abhidyaut //	viSvAni asmE su dinAni rAyaH dyumnAni aryaH vi duraH aBidyOt //
        sed agne astu subhagaḥ sudānur yas tvā nityena haviṣā ya ukthaiḥ /	set agne astu suBagaH su dAnuH yaH tvA nityena havizA yaH ukTEH /
        piprīṣati sva āyuṣi duroṇe viśved asmai sudinā sāsad iṣṭiḥ //	piprIzati sve Ayuzi duroNe viSvet asmE sudinA sA asat izwiH //
        arcāmi te sumatiṃ ghoṣy arvāk saṃ te vāvātā jaratām iyaṃ gīḥ /	arcAmi te sumatim Gozi arvAk sam te vAvAtAH jaratAm iyam gIH /
        svaśvās tvā surathā marjayemāsme kṣatrāṇi dhārayer anu dyūn //	svaSvAH tvA suraTAH marjayema asme kzatrANi DArayeH anu dyUn //
        iha tvā bhūry ācared upa tman doṣāvastar dīdivāṃsam anu dyūn /	iha tvA BUri Acaret upa tman doza avastar dIdivAMsam anu dyUn /
        krīḍantas tvā sumanasaḥ sapemābhi dyumnā tasthivāṃso janānām //	krIxantaH tvA sumanasaH sa pema aBi dyumnA tasTivAMsaH janAnAm //
        yas tvā svaśvaḥ suhiraṇyo agna upayāti vasumatā rathena /	yaH tvA su aSvaH su hiraNyaH agne upayAti vasumatAH raTena /
        tasya trātā bhavasi tasya sakhā yas ta ātithyam ānuṣag jujoṣat //	tasya trAtA Bavasi tasya saKA yaH te AtiTyam Anuzak jujozat //
        maho rujāmi bandhutā vacobhis tan mā pitur gotamād anviyāya /	mahaH rujAmi banDu tA vacoBiH tat mA pituH gotamAt anviyAya /
        tvaṃ no asya vacasaś cikiddhi hotar yaviṣṭha sukrato damūnāḥ //	tvam naH asya vacasaH cikidhi hotar yavizWa sukrataH damUnAH //
   [Page IV,174]	[Pa ge IV,174]
        asvapnajas taraṇayaḥ suśevā atandrāso 'vṛkā aśramiṣṭhāḥ /	asvapna jaH taraNayaH su SevAH atandrAsaH avRkAH aSramizWAH /
        te pāyavaḥ sadhryañco niṣadyāgne tava naḥ pāntv amūra //	te pAyavaH saDryaQcaH nizadya agne tava naH pAntu amUraH //
        ye pāyavo māmateyaṃ te agne paśyanto andhaṃ duritād arakṣan /	ye pAyavaH mAmatA iyam te agne paSyantaH anDam duritAt arakzan /
        rarakṣa tānt sukṛto viśvavedā dipsantā id ripavo nāha debhuḥ //	rarakza tAnt sukRtaH viSva vedAH dipsantA id ripavaH na Aha deBuH //
        tvayā vayaṃ sadhanyas tvotās tava praṇīty aśyāma vājān /	tvayA vayam sa DanyaH tvotAH tava praNIti aSyAma vAjAn /
        ubhā śaṃsā sūdaya satyatāte 'nuṣṭhuyā kṛṇuhy ahrayāṇa //	uBA SaMsA sUdaya satyatAte anuzWuyA kRNuhi ahrayANaH //
        ayā te agne samidhā vidhema prati stomaṃ śasyamānaṃ gṛbhāya /	ayA te agne samiDA viDema prati stomam SasyamAnam gRBAya /
        dahāśaso rakṣasaḥ pāhy asmān druho nido mitramaho avadyāt //	dahASasaH rakzasaH pAhi asmAn druhaH nidaH mitram ahar avadyAt //
        agnī rakṣāṃsi sedhati śukraśocir amartyaḥ /	agniH rakzAMsi seDati Sukra SociH amartyaH /
        śuciḥ pāvaka īḍyaḥ //	SuciH pAvakaH IxyaH //
   tvaṃ naḥ soma viśvataḥ //MS_4,11.5//	tvam naH soma viSvatas //n= _4,11.5//
   yukṣvā hi devahūtamān //	yukzvAH hi deva hUtamAn //
        uta no deva devaṃ achā voco viduṣṭaraḥ /	uta naH deva devam aCA vocaH viduzwaraH /
        śrad viśvā vāryā kṛdhi //	Srad viSvA vAryA kRDi //
        tvaṃ ha yad yaviṣṭhya sahasaḥ sūna āhuta /	tvam ha yat yavizWya sahasaH sUnaH Ahuta /
        ṛtāvā yajñiyo bhuvaḥ //	RtAvA yajQiyaH BuvaH //
   [Page IV,175]	[Pa ge IV,175]
   ayam agniḥ sahasriṇaḥ //	ayam agniH sahasriNaH //
        taṃ nemim ṛbhavo yathā namasva sahūtibhiḥ /	tam nemim RBavaH yaTA namasva sa hUtiBiH /
        nedīyo yajñam aṅgiraḥ //	nedIyaH yajQam aFgiraH //
        tasmai nūnam abhidyave vācā virūpa nityayā /	tasmE nUnam aBidyave vAcA virUpa nityayA /
        vṛṣṇe codasva suṣṭutim //	vRzNe codasva suzwutim //
        kam u ṣvid asya senayāgner apākacakṣasaḥ /	kam u zu id asya senayA agneH apAka cakzasaH /
        paṇiṃ goṣu starāmahe //	paNim gozu starAmahe //
        mā no devānāṃ viśaḥ prasnātīr ivosrāḥ /	mA naH devAnAm viSaH prasnAtIH iva usrAH /
        kṛśaṃ na hāsur aghnyāḥ //	kRSam na hAsuH aGnyAH //
        mā naḥ samasya dūḍhyaḥ paridveṣaso aṃhatiḥ /	mA naH samasya dUXyaH paridvezasaH aMhatiH /
        ūrmir na nāvam āvadhīt //	UrmiH na nAvam AvaDIt //
        namas te agnā ojase gṛṇanti deva kṛṣṭayaḥ /	namaH te agnAH ojase gRNanti deva kRzwayaH /
        amair amitram ardaya //	amEH amitram ardaya //
        imaṃ yajñam idaṃ vaco jujuṣāṇa upāgahi /	imam yajQam idam vacaH jujuzANaH upAgahi /
        soma tvaṃ no vṛdhe bhava //	soma tvam naH vRDe Bava //
        kuvit su no gaiṣṭaye 'gne saṃveṣiṣo rayim /	ku vid su naH gEzwaye agne saMvezizaH rayim /
        urukṛd uru ṇas kṛdhi //	urukRt uru NaH kRDi //
        mā no asmin mahādhane parā varg bhārabhṛd yathā /	mA naH asmin mahADane parA varc BAraBRt yaTA /
        saṃvargaṃ saṃ rayiṃ jaya //	saMvargam sam rayim jaya //
        yasyājuṣan namasvinaḥ śamīm adurmakhasya vā /	yasya ajuzan namasvinaH SamIm adurmaKasya vA /
        taṃ hed agnir vidhāvati //	tam het agniH viDAvati //
        anyam asmad bhiyā iyam agne siṣaktu duchunā /	anyam asmat BiyA iyam agne sizac tu duCunA /
        vardhā no amavañ śavaḥ //MS_4,11.6//	varDAH naH amavan SavaH //n= _4,11.6//
        idaṃ vām āsye haviḥ priyam indrābṛhaspatī /	idam vAm Asye haviH priyam indrAbRhaspatI /
        ukthaṃ madaś ca śasyate //	ukTam madaH ca Sasyate //
        asme indrābṛhaspatī rayiṃ dhattaṃ śatagvinam /	asme indrAbRhaspatiH rayim Dattam Satagvinam /
        aśvāvantaṃ ashasriṇam //	aSvAvantam ashasriNam //
        ehy u ṣu bravāṇi te 'gna itthetarā giraḥ /	ehi u zu bravANi te agne itTetarAH giraH /
        ebhir vardhāsā indubhiḥ //	eBiH varDAsA induBiH //
   'gna : FN emended. Ed.: gne	agne : FN ema inded. Ed.: gne
   imaṃ yajñam idaṃ vacaḥ //	imam yajQam idam vacaH //
        tyān nu kṣatriyaṃ ava ādityān yāciṣāmahe /	tyAt nu kzatriyam avaH AdityAn yAcizAmahe /
        sumṛḍīkaṃ abhiṣṭaye //	su mRxIkam aBizwaye //
        yebhyo mātā madhumat pinvate payaḥ pīyūṣaṃ dyaur aditir adribarhāḥ /	yeByaH mAtA maDumat pinvate payaH pIyUzam dyOH aditiH adri barhAH /
