   1. prathamaścittotpādaḥ	1. praTamaH citta utpAdaH
   ityuktama / yadyasau tadā anukūlajanapadasthito bandhamuktaśūravat	iti uktama / yadi asO tadA anukUla janapada sTitaH banDa mukta SUra vat
   svacchandaḥ, parādhīnatāmapraviṣṭaḥ san devamanuṣyādilokasthitaḥ svacintāṃ	svacCandaH, para aDIna tAm apravizwaH san deva manuzya Adi loka sTitaH sva cintAm
   na karoti, sādhiṣṭadarīsamutsṛṣṭabaddhaśūravad durgatiṃgatamenaṃ paścāt ka	na karoti, sADizwa darI samutsRzwa badDa SUra vat durgatiMgatam enam paScAt ka
   uttthāpayiṣyati / ata eva pīḍanāya niścitameva durgatirbhaviṣyati / tata	uttTApayizyati / atas eva pIxanAya niScitam eva durgatiH Bavizyati / tata
   eva punarmanuṣyeṣu upapāde 'pi dvividhaḥ paripāko 'bhisiddha ityuktam /	eva punar manuzyezu upapAde api dviviDaH paripAkaH aBisidDaH iti uktam /
   yatastādṛśo duḥśīlo 'tyadhikadoṣasambhārādhiṣṭhānam 	yatas tAdRSaH duHSIlaH atyaDika doza samBAra aDizWAnam 
   tato jino dānakathāmudīrya kathāṃ tu śīlānugatāmuvāca /	tatas jinaH dAna kaTAm udIrya kaTAm tu SIla anugatAm uvAca /
   tasmādeva parājitasakalapāpadharmo jino dānādiguṇāvipraṇāśāya	tasmAt eva parAjita sakala pApa DarmaH jinaH dAna Adi guNa avipraNASAya
   dānakathāsamayānantaraṃ śīlakathāmeva kṛtavān /	dAna kaTA samaya anantaram SIla kaTAm eva kRtavAn /
   guṇe vivṛddhe khalu śīlabhūmau phalopabhogastu nirantaraṃ syāt //	guNe vivRdDe Kalu SIla BUmO Pala upaBogaH tu nirantaram syAt //
   Madhy_2.6 //	MaDi _2.6 //
   sarvaguṇāśrayabhūtatvāt śīlam eva bhūmiḥ / tatra	sarva guNa ASraya BUta tvAt SIlam eva BUmiH / tatra
   dānādisarvaguṇavivṛddhiścet hetuphalaparamparā uttarottaraṃ kramaśo	dAna Adi sarva guNa vivRdDiH ced hetu Pala paramparA uttarottaram kramaSas 
   'navacchinnarūpeṇa phalasambhāramupavardhayantī dīrghakālam upabhoktuṃ	anavacCinna rUpeNa Pala samBAram upavarDayantI dIrGa kAlam upaBoktum
   śakyate, anyathā tu na / ato 'nena prakāreṇa 	Sakyate, anyaTA tu na / atas anena prakAreNa 
   pṛthagjanaśrāvakanaijabodhisvabhāvaniṣṭhasya jinātmajasya /	pRTagjana SrAvaka nEja boDi svaBAva nizWasya jina Atmajasya /
   na heturastyabhyudayāya śīlād ṛte ca niḥśreyasahetave 'nyaḥ // Madhy_2.7	na hetuH asti aByudayAya SIlAt Rte ca niHSreyasa hetave anyaH // MaDi _2.7
   yathā  "ime khalu punardaśākuśalāḥ karmapathā adhimātratvādāsevitā	yaTA "ime Kalu punar daSA kuSalAH karma paTA aDimAtra tvAt AsevitA
   [bhāvitā] bahulīkṛtā nirayaheturmadhyatvāt	[BAvitA] bahulIkRtAH niraya hetuH maDya tvAt 
   tiryagyoniheturmṛdutvādyamalokahetuḥ / tatra prāṇātipāto nirayamupanayati,	tiryagyoni hetuH mRdu tva Adyam aloka hetuH / tatra prANa atipAtaH nirayam upanayati,
   tiryagyonimupanayati, yamalokamupanayati / atha cetpunarmanuṣyeṣu	tiryagyonim upanayati, yama lokam upanayati / aTa ced punar manuzyezu
   upapadyate, dvau vipākāvabhinirvartayati alpāyuṣkatāṃ ca bahuglānyatāṃ ca	upapadyate, dvO vipAkO= aBinirvartayati alpa Ayuzka tAm ca bahu glAnyatAm ca
   / adattādānaṃ .........peyālaṃ.........'parīttabhogatāṃ ' ca	/ adatta AdAnam .........peyAlaM......... aparItta BaH ga tAm a ca
   'sādhāraṇabhogatāṃ' ca / kāmamithyācāro ... anājāneyaparivāratāṃ ca	asADAraNa Boga tAma ca / kAma miTyA AcAraH ... anAjAneya parivAra tAm ca
   sasapatnadāratāṃ ca / mṛṣāvādo.......abhyākhyānabahulatāṃ ca	sa sapatna dAra tAm ca / mRzAvAdaH .......aBya AKyAna bahula tAm ca
   parairvisaṃvādanatāṃ ca / paiśunyaṃ......bhinnaparivāratāṃ ca	parEH visaMvAdana tAm ca / pESunyaM......Binna parivAra tAm ca
   hīnaparivāratāṃ ca / pāruṣyaṃ........amanāpaśravaṇatāṃ ca kalahavacanaṃ ca	hIna parivAra tAm ca / pAruzyaM........amana apaSravaNa tAm ca kalaha vacanam ca
   / tāṃ saṃbhinnapralāpo.......anādeyavacanatāṃ ca aniścitapratibhānatāṃ ca	/ tAm saMBinna pralApaH .......ana Adeya vacana tAm ca aniScita pratiBAna tAm ca
   / abhidhyā........asaṃtuṣṭitāṃ ca mahecchatāṃ ca /	/ aBiDyA........a saMtuzwitAm ca mahA icCatAm ca /
   vyāpādo.......ahitaiṣitāṃ ca parotpīḍanatāṃ ca / mithyādṛṣṭiḥ	vyApAdaH .......ahita ezitAm ca para utpIxana tAm ca / miTyAdRzwiH
   [nirayamupanayati, tiryagyonimupanayati, yamalokamupanayati / atha	[nirayam upanayati, tiryagyonim upanayati, yama lokam upanayati / aTa
   cetpunarmanuṣyeṣu upapadyate, dvau vipākāvabhinirvartayati]	ced punar manuzyezu upapadyate, dvO vipAkO= aBinirvartayati]
   kudṛṣṭipatitaśca bhavati śaṭhaśca māyāvī / evaṃ khalu mahato 'parimāṇasya	kudRzwi patitaH ca Bavati SaWaH ca mAyAvI / evam Kalu mahataH aparimANasya
   duḥkhaskandhasya ime daśākuśalāḥ karmapathāḥ samudāgamāya saṃvartante /"	duHKa skanDasya ime daSa akuSalAH karma paTAH samudAgamAya saMvartante /"
   "punaḥ kuśalānāṃ karmapathānāṃ samādānaheto[rdeva] manuṣyādyupapattimādiṃ	"punar kuSalAnAm karma paTAnAm samAdAna heto[H deva] manuzya Adi upapattim Adim
   kṛtvā yāvadbhavāgramityupapattayaḥ prajñāyante / tata uttaraṃ ta eva daśa	kRtvA yAvat Bava agram iti upapattayaH prajQAyante / tatas uttaram te eva daSa
   kuśalāḥ karmapathāḥ prajñākāreṇa paribhāvyamānāḥ prādeśikacittatayā	kuSalAH karma paTAH prajQAkAreNa pariBAvyamAnAH prAdeSika citta tayA
   traidhātukottrastamānasatayā mahākaruṇāvikalatayā parataḥ śravaṇānugamena	trEDAtuka uttrasta mAna satayA mahA karuNa avikala tayA paratas SravaNa anugamena
   ghoṣānugamena ca śrāvakayānaṃ saṃvartayanti / tata uttarataraṃ pariśodhitā	Goza anugamena ca SrAvaka yAnam saMvartayanti / tatas uttarataram pariSoDitA
   aparapraṇeyatayā [svayaṃbhūtvānukūlatayā] svayamabhisaṃbodhanatayā [parato	apara praNeya tayA [svayaMBUtvA anukUla tayA] svayam aBisaMboDana tayA [parato
   'parimārgaṇatayā] mahākaruṇopāyavikalatayā gambhīredaṃ 	aparimArgaNa tayA] mahA karuNa upAya vikala tayA gamBIredaM 
   pratyayānubodhanena pratyekabuddhayānaṃ saṃvartayati / tata uttarataraṃ	pratyaya anuboDanena pratyekabudDa yAnam saMvartayati / tatas uttarataram
   pariśodhitā vipulāpramāṇatayā mahākaruṇopetatayā upāyakauśalasaṃgṛhītatayā	pariSoDitA vipula apramANa tayA mahA karuNa upeta tayA upAya kOSala saMgRhIta tayA
   saṃbaddhamahāpraṇidhānatayā sarvasattvāparityāgatayā	saMbadDa mahA praNiDAna tayA sarva sattva aparityAgatayA
   buddhajñānavipulādhyālambanatayā bodhisattvabhūmipariśuddhayai	budDa jQAna vipula aDyAlambana tayA boDisattva BUmi pariSudDayE
   pāramitāpariśuddhayai caryāvipulatvāya saṃvartante /" ityādi	pAramitA pariSudDayE caryA vipula tvAya saMvartante /" ityAdi
   vistareṇoktavat ato 'nenaprakāreṇa taddaśakuśalamārgātiriktaṃ	vistareNa ukta vat atas anena prakAreNa tad daSa kuSala mArga atiriktam
   pṛthagjanaśrāvakapratyekabuddhabodhisattvānāṃ yathāyogam abhyudayasya	pRTagjana SrAvaka pratyekabudDa boDisattvAnAm yaTAyogam aByudayasya
   saṃsārasukhasya, niḥśreyasaḥ sukhaduḥkhābhāvasvabhāvasya muktilakṣaṇasya	saMsAra suKasya, niHSreyasaH suKa duHKa aBAva svaBAvasya mukti lakzaNasya
   prāpterupāyo 'nyo nāstīti samupadiṣṭam / yo 'sau	prApteH upAyaH anyaH na asti iti samupadizwam / yaH asO
   dvitīyacittotpādabodhisattvaḥ 	dvitIya citta utpAda boDisattvaH 
   yathā samudro hi śavena sārdham amaṅgalenāpi ca maṅgalaṃ vā /	yaTA samudraH hi Savena sArDam amaFgalena api ca maFgalam vA /
   tathā hi śīlādhikṛto mahātmā samaṃ na tiṣṭhāsati duṣṭaśīlaiḥ // Madhy_2.8	taTA hi SIla aDikRtaH mahAtmA samam na tizWA asati duzwa SIlEH // MaDi _2.8
   amaṃgalamiti akuśalaparyāyaḥ / yathoktaśīlapāramitāvibhedākhyānam 	amaMgalam iti akuSala paryAyaH / yaTA ukta SIla pAramitA viBeda AKyAnam 
   kutaśca kiṃ kutra vivarjitañca trike gṛhīte sati yaddhi śīlam /	kutas ca kim kutra vivarji taQca trike gRhIte sati yat hi SIlam /
   vadanti tallaukikapāramīti /	vadanti tat lOkika pAramI iti /
   tacchīlaṃ triṣvavalambitaṃ sat laukikapāramiteti ākhyāyate /	tat SIlam trizu avalambitam sat lOkika pAramitA iti AKyAyate /
   alaukikaṃ tat triṣu rāgaśūnyam // Madhy_2.9 //	alOkikam tat trizu rAga SUnyam // MaDi _2.9 //
   tadevaśīlaṃ yathoktālambanatrayarahitaṃ syācced alaukikapāramitetyucyate /	tat eva SIlam yaTA ukta Alambana traya rahitam syAt ced alOkika pAramitA iti ucyate /
   yathoktabhūmiguṇānuvādena śīlapāramitāvasthāpariniṣpattimāha 	yaTA ukta BUmi guNa anuvAdena SIla pAramitA avasTA parinizpattim Aha 
   jinātmajendūdgatanirmalāpi bhavābhavaiṣā vimalā bhavaśrīḥ /	jina Atmaja indu udgata nirmalA api Bava aBava ezA vimalAH Bava SrIH /
   śaradṛtoścāndramasīprabheva jaganmanastāpamapākaroti // Madhy_2.10 //	Sara d RtoH cAndramasI praBA iva jaganmanaH tApam apAkaroti // MaDi _2.10 //
   vimaleti daśakuśalakarmamārgavimalatvād dvitīyabodhisattvabhūmeranvarthaṃ	vimalA iti daSa kuSala karma mArga vimala tvAt dvitIya boDisattva BUmeH anvarTam
   nāma / yathā nirmalā śaraccandraprabhā janasaṃtāpam apākaroti tathā	nAma / yaTA nirmalA Sarad candrapraBA jana saMtApam apAkaroti taTA
   jinaputrendūdgateyaṃ vimalāpi duḥśīlotpannaṃ manaḥsaṃtāpaṃ nivartayati /	jinaputra indu udgatA iyam vimalA api duHSIla utpannam manaH saMtApam nivartayati /
   asyā asaṃsārāntargatatvād na bhavo 'pitu bhavaśrīḥ, sarvaguṇasampadāṃ	asyAH asaMsAra antargata tvAt na BavaH api tu Bava SrIH, sarva guNa sampadAm
   tadanugatatvāt, caturdvīpaiśvaryasampadhetutvācca /	tad anugata tvAt, catur dvIpa ESvarya sampaDetu tvAt ca /
   iti madhyamakāvatārabhāṣye dvitīyaścittotpādaḥ /	iti maDyamaka avatAra BAzye dvitIyaH citta utpAdaH /
   3. tṛtīyaścittotpādaḥ	3. tRtIyaH citta utpAdaH
   samprati tṛtīyacittotpādam adhikṛtyottacyate 	samprati tRtIya citta utpAdam aDikRtya uttacyate 
   aśeṣajñeyendhanadāhakāgniprabhodbhavād bhūmiriyaṃ tṛtīyā /	aSeza jQeya inDana dAhaka agni praBA udBavAt BUmiH iyam tRtIyA /
   prabhākarī ................ prabhākarīti tu tṛtīyabodhisattvabhūmināma /	praBAkarI ................ praBAkarI iti tu tRtIya boDisattva BUmi nAmaH /
   punariyaṃ kasmāt prabhākarīti ced anvarthameva / tatsamaye	punar iyam kasmAt praBAkarI iti ced anvarTam eva / tad samaye
   aśeṣajñeyendhanadāhakajñānāgneḥ śāntyātmakaprabhodbhavād bhūmiriyaṃ	aSeza jQeya inDana dAhaka jQAna agneH SAnti Atmaka praBA udBavAt BUmiH iyam
   prabhākarītyucyate / tṛtīyacittotpādasya	praBAkarI iti ucyate / tRtIya citta utpAdasya
   ............... taṃ sugatasya putraṃ tadā ravistāmra ivāvibhāti //	............... tam sugatasya putram tadA raviH tAmraH iva aviBAti //
   Madhy_3.1 //	MaDi _3.1 //
   yathā sūryaudayāvasthāyāḥ pūrvaṃ tāmra iva avabhāsate tathā bodhisattve	yaTA sUrya Odaya avasTAyAH pUrvam tAmraH iva avaBAsate taTA boDisattve
   'pi tatra jñānam ābhāsate / tādṛgjñānābhāsaprāptasya tasya bodhisattvasya	api tatra jQAnam ABAsate / tAdRS jQAna ABAsa prAptasya tasya boDisattvasya
   kṣāntipāramitāviśeṣatādeśanārthamuktam 	kzAnti pAramitA viSeza tAdeSana arTam uktam 
   akopapātrasya hi tasya kāyāt sahāsthimāṃsaṃ yadi ko 'pi kṛntāt /	akopa pAtrasya hi tasya kAyAt saha asTi mAMsam yadi kaH api kRntAt /
   palaṃ palaṃ dīrghanikṛntane 'pi nikṛntake kṣāntiratīva tasya // Madhy_3.2	palam palam dIrGa nikRntane api nikRntake kzAntiH atIva tasya // MaDi _3.2
   bodhisattvaḥ paracittānurakṣaṇārthatvāt tādṛgjñānavatvācca yena	boDisattvaH para citta anurakzaNa arTa tvAt tAdRS jQAnava tvAt ca yena
   paradveṣacittādhāratvatrikālanirarthakatvaṃ saṃdehāspadatvañca na syuḥ	para dveza citta ADAra tva tri kAla nirarTaka tvam saMdeha Aspada tvaQca na syuH
   tādṛksvabhāvakāyavākcittāvatārasākṣī nāsti / akopapātrasya yadi ko 'pi	tAdRS svaBAva kAya vAc citta avatAra sAkzI na asti / akopa pAtrasya yadi kaH api
   viśeṣaṇam / yadi tādṛkprāṇinā tasya bodhisattvasya kāyato sāsthimāṃsaṃ	viSezaNam / yadi tAdRS prANinA tasya boDisattvasya kAyataH sa asTi mAMsam
   pratipalaṃ viramya viramya ciraṃ nikṛntite 'pi tādṛkkṛntakāya na kevalaṃ	pratipalam viramya viramya ciram nikRntite api tAdRS kRntakAya na kevalam
   cittavyāroṣo na bhavati apitu, tadakuśalakarmapratyayaṃ	citta vyArozaH na Bavati apitu, tad akuSala karma pratyayam
   narakaduḥkhādiviśeṣam avalambya bodhisattve 'tiviśiṣṭā kṣāntireva jāyate /	naraka duHKa Adi viSezam avalambya boDisattve ati viSizwA kzAntiH eva jAyate /
   api ca 	api ca 
   yataḥ sa dharmān pratibimbarūpān nirātmadṛk paśyati bodhisattvaḥ /	yatas sa DarmAn pratibimba rUpAt nirAtma dRS paSyati boDisattvaH /
   tataḥ kathaṃ kena kimasti chinnaṃ kadāpi vā kṣāntimupeti cāso // Madhy_3.3	tatas kaTam kena kim asti Cinnam kadApi vA kzAntim upeti ca AsaH // MaDi _3.3
   tadakuśalakarmapratyayaṃ narakādiduḥkhaviśeṣam avalambya na kevalaṃ	tad akuSala karma pratyayam naraka Adi duHKa viSezam avalambya na kevalam
   viśeṣeṇa kṣānto 'pitu yataḥ sa sarvadharmān api pratibimbavat paśyan	viSezeNa kzAntaH api tu yatas sa sarva DarmAn api pratibimba vat paSyan
   ātmātmīyasaṃjñānivṛttaḥ tasmād api kṣāntatara eva / api śabdastu	Atma AtmIya saMjQA nivRttaH tasmAt api kzAntataraH eva / api SabdaH tu
   kṣāntihetusaṃgrahārtham / kṣāntiriyaṃ na kevalaṃ bodhisattvānurūpo dharmo	kzAnti hetu saMgraha arTam / kzAntiH iyam na kevalam boDisattva anurUpaH DarmaH 
   'pitu taditarasakalaguṇarakṣāhetubhūtatvād akṣāntavat krodhavyāvṛttirapi	api tu tad itarasakala guNa rakzA hetu BUta tvAt akzAnta vat kroDa vyAvRttiH api
   yuktā vyākhyātā 	yuktA vyAKyAtA 
   prakupyate yadyapakāriṇe 'tra kimatra kopo vinivartitaḥ syāt /	prakupyate yadi apakAriNe atra kim atra kopaH vinivartitaH syAt /
   ato 'tra kopo hi nirarthako 'smin paratra loke 'pi viruddha eva //	atas atra kopaH hi nirarTakaH asmin paratra loke api virudDaH eva //
   Madhy_3.4 //	MaDi _3.4 //
   samprati dattaroṣāvasaro 'yaṃ parasmai apakāriṇe krudhyati cet	samprati datta roza avasaraH ayam parasmE apakAriNe kruDyati ced 
   tadānīntanāpakārāvinivṛtteḥ, tadālambanaḥ pratikopo nirarthaka eva,	tad AnIntana apakArA vinivRtteH, tad AlambanaH pratikopaH nirarTakaH eva,
   kṛtakāryatvāt / asmai kopo na kevalaṃ vartamāne niṣprayojanaḥ, apitu	kRta kArya tvAt / asmE kopaH na kevalam vartamAne nizprayojanaH, apitu
   paraloko 'pi viruddho bhavati, krodhotpāde sati amanāpaparipākākṣepaḥ / yo	para lokaH api virudDaH Bavati, kroDa utpAde sati amanApa paripAkAkzepaH / yaH 
   duścaritakarmaphalaviśeṣopabhogavān mohāt pareṇāhaṃ prapīḍita iti	duScarita karma Pala viSeza upaBogavAn mohAt pareNa aham prapIxitaH iti
   parikalpayan apakāriṇe krodhamutpādayan pratyapakāreṇa tatpīḍanaṃ	parikalpayan apakAriNe kroDam utpAdayan pratyapakAreNa tat pIxanam
   parājetukāmaścāsau / tasyāpi vyāvartanārthamāha 	parAjetu kAmaH ca asO / tasya api vyAvartana arTam Aha 
   purākṛtasyākuśalasya karmaphalaṃ tu yo naṣṭatayā vivakṣuḥ /	purAkRtasya akuSalasya karma Palam tu yaH nazwa tayA vivakzuH /
   parāhitakrodhata eva duḥkhaṃ kathaṃ hi tadbījatayopanītam // Madhy_3.5 //	parAhita kroDataH eva duHKam kaTam hi tat bIja tayA upanItam // MaDi _3.5 //
   yat śastradhārapātena tatkāye sādhiṣṭhamapakāraduḥkhaṃ śatruṇopasādhitam,	yat Sastra DAra pAtena tad kAye sADizWam apakAra duHKam SatruNA upasADitam,
   tadantyaphalabhūtaṃ pūrvakṛtaprāṇātipātakarmaṇaḥ prāṇināṃ	tad antya Pala BUtam pUrva kRta prANa atipAta karmaNaH prANinAm
   narakatiryagyoniyamalokādi paripākaphalaṃ ghoram anubhūyamānaṃ	naraka tiryagyoni yama loka Adi paripAka Palam Goram anuBUyamAnam
   niṣyandaphalaṃ yaccāvaśiṣṭakleśāśeṣāpriyaphalanivartanahetuḥ / tatkathaṃ	nizyanda Palam yat ca avaSizwa kleSa aSeza apriya Pala nivartana hetuH / tat kaTam
   punaḥ rvipariṇāmyaiva, auṣadhasya antimamātrāyā	punar rvi pariNAmyA eva, OzaDasya antima mAtrAyAH 
   ābhyantare vyādhipratīkārahetutvād vyāroṣaparāpakārābhyām	AByantare  vyADi pratIkAra hetu tvAt vyAroza para apakArAByAm
   atītāmanāpaphalādapi ativiśiṣṭāpakāraphalasambhāvanāhetutvena ānīyate?	atIta Am anApa PalAt api ati viSizwa apakAra Pala samBA vanA hetutvena AnIyate?
   atastad vaidyasya vyādhicikitsāhetubhūtatīkṣṇaśalyakarmakriyāvat	atas tat vEdyasya vyADi cikitsA hetu BUta tIkzNa Salya karma kriyAvat 
   phaladuḥkhotpādahetoratikṣāntiryuktā / akṣāntistu na kevalam	Pala duHKa utpAda hetoH atikzAntiH yuktA / akzAntiH tu na kevalam
   amanāpaparipākātikṣepaheturapitu	amanApa paripAka ati kzepa hetuH apitu
   dīrghasaṃgṛhītapuṇyasambhārakṣayaheturapyastīti deśanārthamuktam 	dIrGa saMgRhIta puNya samBAra kzaya hetuH api asti iti deSanA arTam uktam 
   dānena śīlena samudgataṃ yat puṇyaṃ citaṃ kalpaśatena naśyet /	dAnena SIlena samudgatam yat puNyam citam kalpa Satena naSyet /
   kṣaṇena kopājjinaputrakeṣu tasmān na kopādaparaṃ hi pāpam // Madhy_3.6 //	kzaNena kopAt jina putrakezu tasmAt na kopAt aparam hi pApam // MaDi _3.6 //
   yadi bodhisattvo mahātmā saḥ pudgale viśiṣṭe 'viśiṣṭe vāpi	yadi boDisattvaH mahAtmA saH pudgale viSizwe aviSizwe vA api
   kleśābhyāsavaśapraveśatvād bodhicittotpānneṣu satyabhūtam asatyabhūtaśca	kleSa aByAsa vaSa praveSa tvAt boDi citta utpAnnezu satya BUtam asatya BUtaH ca
   doṣam adhikaṃ prajñāpya kṣaṇamātramapi krodhacittotpāde 'pi tanmātreṇaiva	dozam aDikam prajQApya kzaNa mAtram api kroDa citta utpAde api tanmAtreNa eva
   pūrvoktadānaśīlapāramitābhyāsotpannaśatakalpasaṃcitapuṇyasaṃbhāro naśyati,	pUrva ukta dAna SIla pAramitA aByAsa utpanna Sata kalpa saMcita puNya saMBAraH naSyati,
   abodhisattvena bodhisattvebhya utpādite tu punaḥ kiṃ vaktavyam? tasmāt	aboDisattvena boDisattveByaH utpAdite tu punar kim vaktavyam? tasmAt 
   mahāsāgarajalapramāṇaṃ karṣagaṇanayā niścetumaśakyaṃ tathā tatra	mahA sAgara jala pramANam karza gaNanayA niScetum aSakyam taTA tatra
   paripākasīmā niścetumaśakyaḥ / ata evaṃ sati amanāpaphalākṣepaṃ	paripAka sImA niScetum aSakyaH / atas evam sati amanApa PalAkzepam
   puṇyakṣayakarañca pāpam akṣānteḥ param aparaṃ nāsti / "mañjuśrīḥ, krodhaḥ	puNya kzaya karaQca pApam akzAnteH param aparam na asti / "maQju SrIH, kroDaH
   krodha iti śatakalpasaṃbhṛtapuṇyopakṣayakaraḥ, tasmāt krodhaḥ krodha	kroDaH iti Sata kalpa saMBRta puNya upakzaya karaH, tasmAt kroDaH kroDa
   ityākhyātaḥ /" punaśca akṣāntāḥ parāpakārāsamarthāstu ātmānameva	iti AKyAtaH /" punar ca akza antAH para apakAra asamarTAH tu AtmAnam eva
   nāśayanti, samarthā niṣkaruṇāśca svaparanāśakāḥ / anena tu janmata eva 	nASayanti, samarTAH nizkaruNAH ca sva para nASakAH / anena tu janmataH eva 
   kudarśano 'sajjananīyamāno nayānayajñānavivekahīnaḥ / parasmin kāle	kudarSanaH asat jananIyamAnaH nayAnaya jQAna viveka hInaH / parasmin kAle
   nikāyasabhāgaṃ tyaktvā sakopano durgatimeti śīghram /	nikAya sa BAgam tyaktvA sa kopanaH durgatim eti SIGram /
   yadyete 'kṣāntidoṣāḥ, tadā ke vai tadviparītakṣāntiguṇā iti 	yadi ete akzAnti dozAH, tadA ke vE tad viparIta kzAnti guNAH iti 
   guṇā viruddhāḥ kathitā hyakopāt // Madhy_3.7 //	guNAH virudDAH kaTitAH hi akopAt // MaDi _3.7 //
   sudarśatā sajjanatāgatiśca nayānayajñānapaṭutvamasti /	sudarSa tA sat janata AgatiH ca nayAnaya jQAna pawu tvam asti /
   anantaraṃ devamanuṣyajanma kṣayaṃ hyakopādupayāti pāpam // Madhy_3.8 //	anantaram deva manuzya janma kzayam hi akopAt upayAti pApam // MaDi _3.8 //
   ye 'kṣāntidoṣā uktāstadviruddhāste guṇāḥ kṣānterjñeyāḥ / tadyathā 	ye akzAnti dozAH uktAH tad virudDAH te guNAH kzAnteH jQeyAH / tat yaTA 
   pṛthagjano jinaputraśca doṣān guṇān samālokya ca kopakṣāntyoḥ /	pRTagjanaH jinaputraH ca dozAn guNAn samAlokya ca kopa kzAntyoH /
   apāsya kopaṃ tarasaiva kṣāntiṃ sadā śrayeccāryajanapraśastām // Madhy_3.9	apAsya kopam tarasA eva kzAntim sadA Srayet ca Arya jana praSastAm // MaDi _3.9
   kopakṣāntī tu kopakṣāntyaiva / doṣaguṇau cāpi doṣaguṇau /	kopakzAntI tu kopakzAntyA eva / doza guNO ca api doza guNO /
   krodhakṣāntyordoṣaguṇāviti śabdaviniyogaḥ / krodhadoṣastu yathoktaḥ,	kroDa kzAntyoH doza guNO= iti Sabda viniyogaH / kroDa dozaH tu yaTA uktaH,
   viparyayeṇa kṣāntiguṇam avagamya akṣāntiṃ tyaktvā sarvakālaṃ kṣāntireva	viparyayeNa kzAnti guNam avagamya akzAntim tyaktvA sarvakAlam kzAntiH eva
   āśrayaṇīyā / adhunā kṣāntipāramitāprabhedadeśanārtham 	ASrayaNIyA / aDunA kzAnti pAramitA praBeda deSana arTam 
   sambuddhabaudhyai pariṇāmanāpi triṣvāśritā cet khalu laukikīyam /	sambudDa bODyE pariNAmanA api trizu ASritA ced Kalu lOkikIyam /
   buddhatvāya pariṇāmanāyāmapi kā kṣāntiḥ, kena kṣāntiḥ, keṣu prāṇiṣu	budDa tvAya pariNAmanAyAm api kA kzAntiH, kena kzAntiH, kezu prANizu
   kṣāntiretattriṣvāśrayeṣu satsu iyaṃ kṣāntipāramitā laukikīti /	kzAntiH etat trizu ASrayezu satsu iyam kzAnti pAramitA lOkikI iti /
   anāśritā syāt khalu saiva buddhairalaukikī pāramiteti diṣṭā // Madhy_3.10	anASritA syAt Kalu sA eva budDEH alOkikI pAramitA iti dizwAH // MaDi _3.10
   tasyāṃ bhūmau bodhisattvasya kṣāntipāramitā yathā viśuddhayati tathaiva 	tasyAm BUmO boDisattvasya kzAnti pAramitA yaTA viSudDayati taTA eva 
   abhijñatāṃ dhyānamito 'tra bhūmau jinasya putro hatarāgavairaḥ /	aBijQa tAm DyAna m itas atra BUmO jinasya putraH hata rAga vEraH /
   bhavatyasau laukikakāmarāgau nihantumatyantatayā ca śaktaḥ // Madhy_3.11	Bavati asO lOkika kAma rAgO nihantum atyanta tayA ca SaktaH // MaDi _3.11
   dhyānamiti dhyānaśabdastu upalakṣaṇārthaḥ, samāpattyapramāṇānāmapi	DyAnam iti DyAna SabdaH tu upalakzaNa arTaH, samApatti apramANAnAm api
   grahaṇaṃ bhavati / yathātṛtīyabodhisattvabhūmāvuktavat  "so 'syāṃ	grahaNam Bavati / yaTA tRtIya boDisattva BUmO= uktavat "saH asyAm
   prabhākaryāṃ bodhisattvabhūmau sthito bodhisattvo	praBAkaryAm boDisattva BUmO sTitaH boDisattvaH 
   dharmānudharmapratipattiheto rviviktaṃ kāmairviviktaṃ	Darma anuDarma pratipatti hetaH rviviktam kAmEH viviktam
   pāpakairakuśaladharmaiḥ savitarkaṃ savicāraṃ vivekajaṃ prītisukhaṃ	pApakEH akuSala DarmEH sa vitarkam sa vicAram viveka jam prIti suKam
   prathamaṃ dhyānamupasaṃpadya viharati / sa vitarkavicārāṇāṃ	praTamam DyAnam upasaMpadya viharati / sa vitarka vicArANAm
   vyupaśamādadhyātmasaṃprasādāccetasa ekotībhāvādavitarkamavicāraṃ	vyupaSamAt aDyAtma saMprasAdAt cetasaH ekotIBAvAt avitarkam avicAram
   samādhijaṃ prītisukhaṃ dvitīyadhyānamupasaṃpadya viharati / sa	samADi jam prIti suKam dvitIya DyAnam upasaMpadya viharati / sa
   prītervirāgādupekṣako viharati smṛtimān saṃprajānan / sukhaṃ na kāyena	prIteH virAgAt upekzakaH viharati smRtimAn saMprajAnan / suKam na kAyena
   pratisaṃvedayati yattadāryā ācakṣante  upekṣakaḥ smṛtimān / sukhavihārī	pratisaMvedayati yat tat AryAH Acakzante upekzakaH smRtimAn / suKa vihArI
   niṣprītikaṃ tṛtīyaṃ dhyānamusaṃpadya viharati / sa sukhasya ca	nizprItikam tRtIyam DyAnam usaMpadya viharati / sa suKasya ca
   prahāṇādduḥkhasya ca prahāṇātpūrvameva ca	prahANAt duHKasya ca prahANAt pUrvam eva ca
   saumanasyadaurmanasyayorastaṃgamādaduḥkhāsukhamupekṣāsmṛtipariśuddhaṃ	sOmanasya dOrmanasyayoH a staMgamAt aduHKa asuKam upekzA smRti pariSudDam
   caturthaṃ dhyānamupasaṃpadya viharati /" iti, etāni catvāri dhyānāni /	caturTam DyAnam upasaMpadya viharati /" iti, etAni catvAri DyAnAni /
