   Mahāsannipātaratnaketudhāraṇī sūtraṃ	MahAsannipAta-ratna-ketu-DAraNI sUtram
   kuśalamūlajananārthaṃ] karpāsabhaṅgacīvarapāṃsukulāni prāvṛṇomi /	kuSala-mUla-janana-arTaM] karpAsa-BaFga-cIvara-pAMsu-kulAni prAvRNomi /
   parvatagirikandaravanaṣaṇḍa-[śūnyāgāra-śmaśāna-] śayyāsanaṃ paribhunajmi /	parvata-giri-kandara-vana-zaNxa-[-SUnya-AgAra-SmaSAna-] SayyA-Asanam pariBuna-jmi /
   upāyakauśalyamahākaruṇā	upAya-kOSalya-mahA-karuNA
   [vīryasannahanena vividhāṃ kathāṃ] kathayāmi / kṣatriyebhyo	[vIrya-sat-nahanena viviDAm kaTAM] kaTayAmi / kzatriyeByaH-
   rājaiśvaryakathāṃ kathayāmi / brāhmaṇebhyo veda-nakṣatra-kathāṃ kathayāmi	rAja-ESvarya-kaTAm kaTayAmi / brAhmaNeByaH veda-nakzatra--kaTAm kaTayAmi
   / amātyebhyo janapadakarmāntakathāṃ kathayāmi / vaṇigbhya	/ amAtyeByaH janapada-karmAnta-kaTAm kaTayAmi / vaNigBya
   krayavikrayakathāṃ kuṭumbebhyaḥ karmāntābhiniveśakathāṃ strībhyo	kraya-vikraya-kaTAm kuwumbeByaH karmAnta-aBiniveSa-kaTAm strIByaH-
   varṇālaṅkāraputraiśvaryasapatnakathāṃ śramaṇebhyaḥ	varNa-alaFkAra-putra-ESvarya-sapatna-kaTAm SramaNeByaH
   [kṣāntisauratyatrikarmavīrya]kathāṃ kathayāmi / sattvaparipākāya	[kzAnti-sOrati-atri-karma-vIrya]-kaTAm kaTayAmi / sattva-paripAkAya
   aprāptasya prāptaye niyunajmi / anadhigatasyādhigamāya asākṣātkṛtasya	aprAptasya prAptaye niyunajmi / anaDigatasya-aDigamAya asAkzAtkRtasya
   sākṣātkriyāyai [amuktānāṃ (Dutt 112) mocanāya] nānāvidhāni	sAkzAtkriyAyE [a-muktAnAm (Dutt 112) mocana-aya] nAnAviDAni
   duḥkhānyutsahāmi / sattvaparipākāya janapadacaryāṃ carāmi /	duHKAni-utsahAmi / sattva-paripAkAya janapada-caryAm carAmi /
   atha ca punarye ime sattvāstatra māmākrośanti paribhāṣanti [īrṣyānvitena]	aTa ca punar-ye ime sattvAH-tatra mAm-AkroSanti pariBAzanti [Irzya-anvitena]
   dharmeṇābhūtenābhyākhyānti kuhana-lapana-māyāśāṭhya-mṛṣāvāda-pāruṣyaiḥ	DarmeNa-aBUtena-aByAKyAnti kuhana--lapana--mAyA-SAWya--mRzA-vAda--pAruzyEH
   strīvacanairabhyākhyānti pāṃsubhirmāmavakiranti /	strI-vacanEH-aByAKyAnti pAMsuBiH-mAm-avakiranti /
   śastraviṣāgni[cakratomaraśarakhaḍgaśakti]paraśvadhaśūlāyudhavṛṣṭibhirmama	Sastra-viza-agni[-cakra-tomara-Sara-Kaxga-Sakti]paraSvaDa-SUla-AyuDa-vRzwiBiH-mama
   vadhāya parākrāmanti / hastyāśīviṣasiṃhavyāghravṛṣamahiṣavṛkamahānagnāṃśca	vaDAya parAkrAmanti / hasti-ASIviza-siMha-vyAGra-vRza-mahiza-vRka-mahA-nagnAn=-ca
   madvadhāyotsṛjanti / [mamāvāsavihārakūṭāgārān] aśucinā	mad-vaDAya-utsRjanti / [mama-AvAsa-vihAra-kUwa-AgArAn] aSucinA
   durgandhenāpūrayanti / macchrāvakāṇāṃ cāntarnagaramanupraviṣṭānāmime	durganDena-ApUrayanti / mad-SrAvakANAm ca-antar-nagaram-anupravizwAnAm-ime
   anāryāḥ sattvāḥ anācāreṇa nṛtyagītenānuvicariṣyanti /	anAryAH sattvAH anAcAreNa nRtya-gItena-anuvicarizyanti /
   [śatasahasro]pāyairmadvadhāyodyuktāḥ śāsanāntardhānāya ca	[Sata-sahasra-u]pAyEH-mad-vaDAya-udyuktAH SAsana-antarDAnAya ca
   dharmanetrīpradīpanirvāṇāya dharmadhvajaprapātanāya dharmanetrīprabhedāya	Darma-netrI-pradIpa-nirvANAya Darma-Dvaja-prapAtanAya DarmanetrI-praBedAya
   [mama dharmacāriṇāṃ] māraṇāyodyuktāḥ / tat khalvetarhi sarve buddhā	[mama Darma-cAriNAM] mAraNAya-udyuktAH / tat Kalu-etarhi sarve budDA
   bhagavantasteṣāṃ buddhānāṃ bhagavatāṃ [dharma]netrīm avalokayata / yathā	BagavantaH-tezAm budDAnAm BagavatAm [Darma]-netrIm avalokayata / yaTA
   te buddhairbhagavadbhirasmin kliṣṭe pañca[kaṣāyayukte kāle] mahāsannipātaṃ	te budDEH-BagavadBiH-asmin klizwe paQca[-kazAya-yukte kAle] mahAsannipAtam
   kṛtvā saddharmanetrīcirasthityarthaṃ sarvamārabalaviṣayapramardanā[rthaṃ]	kRtvA sadDarma-netrI-cira-sTiti-arTam sarvam-Ara-bala-vizaya-pramardana-A[rTaM]
   sarvatriratnavaṃśasthityanupacchedārthaṃ sattvānāṃ	sarva-tri-ratna-vaMSa-sTiti-anupacCeda-arTam sattvAnAm
   kuśalamūla[vardhanārthaṃ sarva]parapravādasahadharmanigrahārthaṃ sattvānāṃ	kuSala-mUla[varDana-arTam sarva]para-pravAda-saha-Darma-nigraha-arTam sattvAnAm
   kalikalahadurbhikṣarogaparacakrabandhanavigrahavivādākālaśītoṣṇavātavṛṣṭi	kalikalaha-durBikza-roga-para-cakra-banDana-vigraha-vivAda-akAla-SIta-uzNa-vAta-vRzwi
   [kāyavāṅmanaḥkleśa]praśamanārthaṃ (Dutt 113)	[kAya-vAc-manaH-kleSa]-praSamana-arTam (Dutt 113)
   sarvagṛhagrāmanagararāṣṭrarakṣaṇārthaṃ	sarva-gRha-grAma-nagara-rAzwra-rakzaNa-arTam
   sarvaśāṭhyaviṣa[kākhordamohanaduḥsvapnadurdarśa]nārthaṃ	sarva-SAWya-viza[kA-Korda-mohana-duHsvapna-durdarSa]na-arTam
   sarvadhānyauṣadhiphalapuṣparasasattvopajīvyarthaṃ	sarva-DAnya-ozaDi-Pala-puzpa-rasa-sattva-upajIvyarTam
   kṣatriyabrāhmaṇaviṭśūdrakuśalacaryāniyojanārthaṃ	kzatriya-brAhmaNa-viS-SUdra-kuSala-caryA-niyojana-arTam
   bodhisattva[cittotpādapāramitāpūra]ṇārthaṃ bodhisattvānāṃ	boDisattva-[-citta-utpAda-pAramitA-pUra]NA-arTam boDisattvAnAm
   mahāsattvānāmupāyajñānakauśalyasmṛtimatigati-śauryapratibhāṇavivṛddhyarthamabhiṣeka-bhūmi-samāśvāsāvatārajñānapāraṅgamārthaṃ	mahAsattvAnAm-upAya-jQAna-kOSalya-smRti-mati-gati--SOrya-pratiBANa-vivRdDi-arTam-aBizeka--BUmi--samASvAsa-avatAra-jQAna-pAraFgamArTam
   taiḥ pūrvakaistathāgatairarhadbhiḥ saṃbuddhairayaṃ	tEH pUrvakEH-taTAgatEH-arhadBiH saMbudDEH-ayam
   vajradharmasamatāpratītya-dharmahṛdayasamucchrayavidhvaṃsanī-dharaṇī-mudrāpada-prabhedapraveśavyākaraṇo	vajra-Darma-sama-tA-pratIti-a--Darma-hRdaya-samucCraya-viDvaMsa-nI--DaraNI--mudrA-pada--praBeda-praveSa-vyAkaraNaH-
   dharmaparyāyo bhāṣito 'dhiṣṭhito 'nyonyamanumoditaḥ / tat sādhu /	Darma-paryAyaH BAzitaH aDizWitaH anyonyam-anumoditaH / tat sADu /
   evamevaitarhi ye daśasu dikṣu buddha bhagavantastiṣṭhanto yāpayanta iha	evam-eva-etarhi ye daSasu dikzu budDa BagavantaH-tizWantaH yApayantaH iha
   mama buddhakṣetre pañcakaṣāye pṛcchā[yai] samāgatāḥ saṃniṣaṇṇāḥ	mama budDa-kzetre paQca-kazAye pRcCA-A[yE] samAgatAH saMnizaNNAH
   sannipatitāste sarve asya buddhakṣetrasyārakṣāyai imaṃ	sannipatitAH-te sarve asya budDa-kzetrasya-ArakzAyE imam
   vajradharmasamatāpratītya-dharmahṛdayasamucchrayavidhvaṃsanadhāraṇīmudrāpadaprabhedapraveśavyākaraṇaṃ	vajra-Darma-sama-tA-pratIti-a--Darma-hRdaya-samucCraya-viDvaMsana-DAraNI-mudrA-pada-praBeda-praveSa-vyAkaraNam
   dharmaparyāyaṃ bhāsadhvamadhitiṣṭhatanyonyaṃ bhāṣadhvamanumodadhvaṃ	Darma-paryAyam BAsaDvam-aDitizWatanyonyam BAzaDvam-anumoda-Dvam
   sarddharmanetrīcirasthitaye sarvamāraviṣayabalapramardanārthaṃ yathā	sardDarma-netrI-cira-sTitaye sarva-mAra-vizaya-bala-pramardana-arTam yaTA
   pūrvoktaṃ vistareṇa yāvadanāvaraṇajñānapāraṅgamārthamanukaṃpāyai	pUrva-uktam vistareNa yAvat-anAvaraNa-jQAna-pAraFgamArTam-anukaMpAyE
   mamadhyeṣaṇāya ca yadiha buddhakṣetre dharmanetrī ciraṃ tiṣṭhet /	mamaDyezaNAya ca yat-iha budDa-kzetre DarmanetrI ciram tizWet /
   anatikramaṇī sarvaparapravādibhiravipralopadharmiṇī syāt /	anatikramaNI sarva-para-pravAdiBiH-avipralopa-DarmiNI syAt /
   triratnavaṃśānupacchedanārthāya ca dharmarasaḥ sarvasattvopajīvyaḥ syāt /	tri-ratna-vaMSAnupacCedana-arTAya ca Darma-rasaH sarva-sattva-upajIvyaH syAt /
   atha te buddhā bhagavanta evamāhuḥ / evametat	aTa te budDAH BagavantaH evam-AhuH / evam-etat-
   avaśyamevāsmābhirbuddhakāryai karaṇīyam / iha buddhakṣetre	avaSyam-eva-asmABiH-budDa-kAryE karaNIyam / iha budDa-kzetre
   dharmanetrīmadhiṣṭhā (Dutt 114) syāmaḥ cirasthitaye	DarmanetrIm-aDizWA (Dutt 114) syAmaH cira-sTitaye
   sarvamāraviṣayabalapramardanāya yāvadanāvaraṇajñānapāraṅgamāya yānimān	sarva-mAra-vizaya-bala-pramardanAya yAvat-anAvaraNa-jQAna-pAraFgamAya yAn-imAn
   vajradharmasamatāpratītya-dharmahṛdayasamucchrayavidhvaṃsanadhāraṇīmudrāpadaprabhedapraveśavyākaraṇadharmaparyāyan	vajra-Darma-sama-tA-pratIti-a--Darma-hRdaya-samucCraya-viDvaMsana-DAraNI-mudrA-pada-praBeda-praveSa-vyAkaraNa-Darma-paryAyan
   bhāṣiṣyāmaḥ / śṛṇvantu sarvasattvāḥ ye kecidiha buddhakṣetre 'ntargatāḥ /	BAzizyAmaH / SRNvantu sarva-sattvAH ye kecid-iha budDa-kzetre antargatAH /
   tadyathā / aṅkara aṅkara / bhaṅkara prabhaṅkara / bhayaviha / mitra bhase	tat-yaTA / aFkara aFkara / BaFkara praBaFkara / Baya-viha / mitra Base
   / akhe akha saṃvare / dome domante / kevaṭe keyūre / samavahane	/ aKe aKa saMvare / dome domante / kevawe keyUre / sama-vahane
   samantabhadre / dharme dharme dharmake / japhale mitrānuphale phalavate /	samantaBadre / Darme Darme Darmake / jaPale mitra-anuPale Palavate /
   gaṇe gaṇaparante / hili hili / hili hilike / jambhavate / ṭakaṭe ṭakante	gaNe gaNaparante / hili hili / hili hilike / jamBavate / wakawe wakante
   ṭakavarante / ghanavahante / hirinte śirinte / viṃdruvate / govāhe / jure	waka-varante / Ganavahante / hirinte Sirinte / viMdruvate / govAhe / jure
   mitra / jure juṣe / agre avame / satya tathatā / huli hile candre /	mitra / jure juze / agre avame / satya taTatA / huli hile candre /
   samadharme dharme / kucuru mucuru / acidra / cili cilili / cavaha / culu	sama-Darme Darme / kucuru mucuru / acidraH / cili cilili / cavaha / culu
   culu / mitravaha / kulu kulu / sara sara / kuṭu kuṭu / mahāsarasara / tuṭu	culu / mitra-vahaH / kulu kulu / sara saraH / kuwu kuwu / mahA-sarasara / tuwu
   tuṭu / mahāsatyahṛdaya / puṣpe supuṣpe / dhūmaparihare / abhaye / rucire /	tuwu / mahA-asatya-hRdaya / puzpe supuzpe / DUma-parihare / aBaye / rucire /
   karakṣe / abhayamastu / vivaha titile mamale paśvakha / śiśira śiśira /	karakze / aBayam-astu / vivaha titile mamale paSu-aKa / SiSira SiSiraH /
   lokavināyaka vajre vajradhare vajravate / vajramate vajradade / cakravajre	loka-vinAyaka vajre vajraDare vajravate / vajra-mate vajra-dade / cakravajre
   / cakre cavate / dhare dhare / bhare bhare / pūre ṭara / huhure /	/ cakre cavate / Dare Dare / Bare Bare / pUre wara / huhure /
   bhaṃgavaṃvare / (Dutt 115) śara śaca cili curu pūre / maṇḍane maṇḍane /	BaMga-vaMvare / (Dutt 115) Sara Saca cili curu pUre / maNxane maNxane /
   gagaraṇe / muhūrte sarvamuhūrtake / dhidhirayani makhiśvaralayaṇi	gagaraNe / muhUrte sarva-muhUrtake / DiDiH-ayani maKi-Svara-layaNi
   riṣinijani dharavaci / caṇḍālī me me sarvasasyādhiṣṭhitā / ācchidyantu	rizi-nijani Dara-vaci / caNxAlI me me sarva-sasya-aDizWitAH / AcCidyantu
   vāhanām / mini phalavati ojāgre vicini / vanaraha / vuvure / guru guru /	vAhanAm / mini Palavati oja-agre vicini / vanarahaH / vuvure / guru guru /
   muru muru / hili hili / hala hala / kākaṇḍavaha hihitāṃ / āyuhana /	muru muru / hili hili / hala halaH / kAkaNxavaha hihitAm / Ayuhane /
   kuṇḍajvāla / bhase gardane / ādahati / mārgābhirohaṇi / phalasatye	kuNxa-jvAle / Base gardane / Adahati / mArga-aBirohaNi / Pala-satye
   ārohavati / hili hili / yathā vajrāya svāgra yathāparaṃ ca hṛdayavāha /	Arohavati / hili hili / yaTA vajrAya sva-agra yaTA-param ca hRdayavAha /
   satyaparibhāva mārgābhirohaṇe acalabuddhi dada pracala pacaya /	satya-pariBAva mArga-aBirohaNe acala-budDi dada pracala pacayaH /
   piṇḍahṛdaya candracaraṇa / acale śodhane prakrinimārge / il[ili]le /	piNxa-hRdaya candra-caraNa / acale SoDane prakrinimArge / il[ili]le /
   prabhe sāravrate / sarvatathatā satyānugate / anāvaraṇavrate / alatha	praBe sAra-vrate / sarva-taTatA satya-anugate / anAvaraNa-vrate / alaTa
   aṅgure śamini vibrahmavayohi / ahite avāṇi / niravayava aciramārga / lana	aFgure Samini vibrahma-vayaH-hi / ahite avANi / niravayava acira-mArga / lana
   laghuṃsare / triratnavaṃśe dharmakāya jvalacandre / samudravati /	laGuMsare / tri-ratna-vaMSe DarmakAya jvala-candre / samudravati /
   mahadbhūtavyaya / samudravegavadhārṇimudreṇa makhimudra /	mahat-BUta-vyayaH / samudra-vega-vaDa-arNi-mudreNa maKimudra /
   surapratisaṃviddhamudra / āvartani / saṃmoha / skaravidyutarase kṣiti /	sura-pratisaMvidDamudraH / Avartani / saMmoha / skara-vidyuta-rase kziti /
   mudrito 'si / ye kecit pṛthivī vaha vaha vaha vaha / kīṭakapaṭa / śaila	mudritaH asi / ye kecid pRTivI vaha vaha vaha vaha / kIwaka-pawaH / SEla
   pratītya hṛdayena mudritā dhāraṇī / dhara [dhara dhara] / dantilā	pratItya hRdayena mudritA DAraNI / DaraH [Dara Dara] / dantilA
   dantindālā huska sarvahṛdaya mudrito 'si / jaḍa javaṭṭa jakhavaṭa	dantin-dAlAH huska sarva-hRdaya mudritaH asi / jaxa javawwa jaKa-vawa
   sumativati mahadbhūta mudrita / ye kecit ṣaḍāyatananisṛtādbhutā (Dutt 116)	sumativati mahat-BUta mudritaH / ye kecid zaz-Ayatana-nisRta-adButAH (Dutt 116)
   ini mine / sacake ghoṣasacane / mudritacaryādhiṣṭhānavākpathānanyathā /	ini mine / sacake Goza-sacane / mudrita-caryA-aDizWAna-vAc-paTAn-anyaTA /
   mahāpuṇyasamuccayāvatāra / mahākaruṇayā mudrita / sarvasamyak pratipat	mahA-puNya-samuccaya-avatAra / mahA-karuNayA mudritaH / sarva-samyak pratipad-
   cirabhadraṃ jvalatu dharmanetrī / sarve munivṛṣabhāḥ	ciraBadram jvalatu DarmanetrI / sarve muni-vRzaBAH
   mahākaruṇasamādhijñānalābhabalena maitrītyāgātivīryabalenādhiṣṭhitā	mahA-karuNa-samADi-jQAna-lABa-balena mEtrI-tyAga-ati-vIrya-balena-aDizWitA
   sarvabhūtopacayāya svāhā /	sarva-BUta-upacayAya svAhA /
   atha tāvadeva te sarvabuddhakṣetrāntargatāḥ sarvasattvāstrīṣkṛtyaivamāhuḥ	aTa tAvat-eva te sarva-budDa-kzetra-antargatAH sarva-sattvAH-trIzkRtyA-evam-AhuH
   / namaḥ sarvabuddhebhyaḥ / namo namaḥ sarvabuddhebhya iti / evaṃ cāhuḥ /	/ namaH sarva-budDeByaH / namaH namaH sarva-budDeByaH iti / evam ca-AhuH /
   aho mahāścaryo munisaṃnipātaḥ / aho mahāścaryo bodhisattvānāṃ	aho mahA-AScaryaH muni-saMnipAtaH / aho mahA-AScaryaH boDisattvAnAm
   mahāsattvānāṃ mahāśrāvakāṇāṃ ca saṃnipātaḥ / aho vata	mahAsattvAnAm mahA-SrAvakANAm ca saMnipAtaH / aho vata
   mahāścaryādbhutāśrutapūrvo 'yaṃ	mahAH-caryA-adButa-aSruta-pUrvaH ayam
   vajradharmasmatā-pratītya-dharmahṛdaya-sarvadharma-samucchraya-vidhvaṃsanī-dhāraṇī-mudrāpadaprabheda-praveśavyākaraṇo	vajra-Darma-smatA--pratIti-a--Darma-hRdaya--sarva-Darma--samucCraya--viDvaMsa-nI--DAraNI--mudrA-pada-praBeda--praveSa-vyAkaraNaH-
   dharmaparyāyaḥ /	Darma-paryAyaH /
   sarva-śāstṛśāsana-dharmanetrī-triratna-vaṃśādhiṣṭhāna-nirdeśo	sarva-SAstR-SAsana-Darma-netrI--tri-ratna--vaMSa-aDizWAna--nirdeSaH-
   māraviṣaya-balavidhvaṃsano mārapāśasaṃcchedanaḥ sarvaśatrunigraho	mAra-viza-ya--bala-viDvaMsanaH mAra-pASa-saMcCedanaH sarva-Satru-nigrahaH-
   dharmadhvajocchrāpaṇaḥ dharmapakṣarakṣākaro yāvat	Darma-Dvaja-ucCrApaNaH Darma-pakza-rakzA-karaH yAvat-
   sakalabuddhaviṣayaprapūraṇārtham / etarhi sarvabuddhairbhagavadbhirayaṃ	sakala-budDa-vizaya-prapUraNa-arTam / etarhi sarva-budDEH-BagavadBiH-ayam
   vajradharmasamatāpratītyadharmahṛdayasamucchrayavidhvaṃsanadhāraṇīmudrāpadaprabhedapraveśavyākaraṇo	vajra-Darma-sama-tA-pratItya-Darma-hRdaya-samucCraya-viDvaMsana-DAraNI-mudrA-pada-praBeda-praveSa-vyAkaraNaH-
   dharmaparyāyo bhāṣitaḥ / sarvasattvahṛdayamudrā	Darma-paryAyaH BAzitaH / sarva-sattva-hRdaya-mudrA
   sarvamahābhūtasaṃskāraṣaḍāyatanaparikarma yāvat	sarva-mahABUta-saMskAra-zaz-Ayatana-parikarma yAvat-
   sarvasattvānāmānuttaraparinirvāṇapratilābhāya / asmin khalu	sarva-sattva-anAmAnuttara-parinirvANa-pratilABAya / asmin Kalu
   punardhāraṇīvyākaraṇe bhāṣyamāṇe triṃśadgaṅgānadīvālukāsamānāṃ	punar-DAraNI-vyAkaraNe BAzyamANe triMSat-gaFgA-nadI-vAlukA-samAnAm
   bodhisattvānāṃ mahāsattvānāṃ dhāraṇīnirhārasamādhikṣāntipratilābho 'bhūt /	boDisattvAnAm mahAsattvAnAm DAraNI-nirhAra-samADi-kzAnti-pratilABaH aBUt /
   (Dutt 117)	(Dutt 117)
   tena khalu punaḥ samayena candraprabhaḥ kumārabhūtaḥ utthāyāsanāt	tena Kalu punar samayena candrapraBaH kumAra-BUtaH utTAya-AsanAt
   prāñjalirbhūtvā samantato 'valokya buddhādhiṣṭhānena svarddhibalānubhāvena	prAQjaliH-BUtvA samantataH avalokya budDa-aDizWAnena sva-RdDi-bala-anuBAvena
   sarvamidaṃ buddhakṣetraṃ svareṇapūrya evamāha /	sarvam-idam budDa-kzetram svareNa-pUryaH evam-Aha /
   durlabhā jinacandrāṇāmīdṛśī pariṣat punaḥ /	durlaBA jinacandrANAm-IdRSI parizad punar /
   vidvāṃso durlabhāścai[va] bodhisattvā mahāvratāḥ // Rkp_6.[1] //	vidvAMsaH durlaBAH-ca-e[va] boDisattvAH mahA-vratAH // RkB-_6.[1] //
   īdṛśāyāśca mudrāyāḥ śravaṇaṃ paramadurlabham /	IdRSAyAH-ca mudrAyAH SravaNam parama-durlaBam /
   yeyaṃ kāruṇikairnāthairdhamanetrī svadhiṣṭhitā // Rkp_6.[2] //	yA-iyam kAruNikEH-nATEH-Dama-netrI su-aDizWitAH // RkB-_6.[2] //
   sarveṣāṃ mārapakṣāṇāṃ śatrūṇāṃ ca parājayaḥ /	sarvezAm mAra-pakzANAm SatrUNAm ca parAjayaH /
   ratnatrayānupacchedaḥ saṃbuddhaiḥ samadhiṣṭhitaḥ // Rkp_6.[3] //	ratnatraya-an-upacCedaH saMbudDEH samaDizWitaH // RkB-_6.[3] //
   sarvāvaraṇanāśāya kṣānti-sauratavardhinī /	sarva-AvaraNa-nASAya kzAnti--sOrata-varDinI /
   sattvānāmāvarjanī ceha rājyarāṣṭrasya pālanī // Rkp_6.[4] //	sattvAnAm-AvarjanI ca-iha rAjya-rAzwrasya pAlanI // RkB-_6.[4] //
   vāraṇī duṣkṛtasyeha kudṛṣṭi-pratiṣedhanī /	vAraNI duzkRtasya-iha kudRzwi--pratizeDanI /
   āśvāso bodhisattvānāṃ bodhimārga-pradarśanī // Rkp_6.[5] //	ASvAsaH boDisattvAnAm boDi-mArga--pradarSanI // RkB-_6.[5] //
   pāramitāvardhanī caiva bhadracaryā-prapūraṇī /	pAramitAvarDanI ca-eva Badra-caryA--prapUraNI /
   upāyajñāna-pratibhāna-vṛddhyai apyadhiṣṭhitā // Rkp_6.[6] //	upAya-jQAna--pratiBAna--vRdDyE api-aDizWitAH // RkB-_6.[6] //
   saṃgrahaḥ śuklapakṣasya dhāraṇīṣvaparājitā /	saMgrahaH Sukla-pakzasya DAraNIzu-aparAjitA /
   nirañjanā bodhimārgasya jvālanī dharmasākṣiṇām // Rkp_6.[7] //	niraQjanA boDi-mArgasya jvAlanI Darma-sAkziNAm // RkB-_6.[7] //
   (Dutt 118)	(Dutt 118)
   sarvā vinīya vimatirdharaṇīṣvadhimucyate /	sarvA vinIya vimatiH-DaraNIzu-aDim-ucyate /
   eṣa vai sakalo mārgo yena bodhiḥ pravartate // Rkp_6.[8] //	eza vE sakalaH mArgaH yena boDiH pravartate // RkB-_6.[8] //
   vayaṃ bhūyaḥ pravakṣyāmo dhāraṇīmaparājitām /	vayam BUyas pravakzyAmaH DAraNIm-aparAjitAm /
   dharmabhāṇakarakṣāyai śrotrāṇāmabhivṛddhaye // Rkp_6.[9] //	Darma-BANaka-rakzAyE SrotrANAm-aBivRdDaye // RkB-_6.[9] //
   chandaṃ dadāti ko nvartho bodhisattvo mahāyaśāḥ /	Candam dadAti kaH nu-arTaH boDisattvaH mahA-yaSAH /
   anāvaraṇābhāvāya sattvānāṃ hitavṛddhaye // Rkp_6.[10] //	anAvaraNa-aBAvAya sattvAnAm hita-vRdDaye // RkB-_6.[10] //
   tena khalu punaḥ samayena gaṅgānadībālukāsamāḥ kumārabhūtā bodhisattvā	tena Kalu punar samayena gaFgA-nadI-bAlukA-samAH kumAra-BUtA boDisattvA
   mahāsattvā ekakaṇṭhenaivamāhuḥ / vayamapyasyāṃ dhāraṇyāṃ chandaṃ dadāmo	mahAsattvAH eka-kaNWena-evam-AhuH / vayam-api-asyAm DAraNyAm Candam dadAmaH-
   'dhitiṣṭhāmaḥ / yaḥ kaścit kulaputro vā kuladuhitā vā bhikṣurvā bhikṣuṇī	aDitizWAmaH / yaH kaScid kula-putraH vA kula-duhitA vA BikzuH-vA BikzuNI
   vā upāsako vā upāsikā vā snātvā śucīni cīvarāṇi prāvṛtya	vA upAsakaH vA upAsikA vA snAtvA SucIni cIvarANi prAvRtya
   nānāpuṣpasaṃcchanne nānāgandhapradhūpite nānārasaparivṛte	nAnA-puzpa-saMcCanne nAnA-ganDa-praDUpite nAnA-rasa-parivRte
   nānāvastrābharaṇaduṣyasaṃsthite chatradhvajapatākocchrāpite svalaṃkṛte	nAnA-vastra-ABaraNa-duzya-saMsTite Catra-Dvaja-patAkA-ucCrApite su-alaMkRte
   maṇḍalamāle mṛdusukhasaṃsparśe siṃhāsane abhiruhya imāṃ dhāraṇīṃ	maNxala-mAle mRdu-suKa-saMsparSe siMhAsane aBiruhya imAm DAraNIm
   saṃprakāśayet na cāsya kaścit cittasaṃkṣobhaṃ kāyasaṃkṣobhaṃ	saMprakASayet na ca-asya kaScid citta-saMkzoBam kAya-saMkzoBam
   manaḥsaṃkṣobhaṃ vā kariṣyati / na cāsya kaścit kāye śvāsaṃ mokṣyati	manaH-saMkzoBam vA karizyati / na ca-asya kaScid kAye SvAsam mokzyati
   śīrṣarogaṃ ca kartuṃ śakṣyati / nedaṃ sthānaṃ vidyate / na kāyarogaṃ vā na	SIrza-rogam ca kartum Sakzyati / na-idam sTAnam vidyate / na kAya-rogam vA na
   jivhārogaṃ vā na dantarogaṃ (Dutt 119) nākṣirogaṃ na grīvārogaṃ na	jivhA-rogam vA na danta-rogam (Dutt 119) na-akzi-rogam na grIvA-rogam na
   bāhurogaṃ na pṛṣṭharogaṃ na antrarogaṃ nodararogaṃ na śroṇīrogaṃ na	bAhu-rogam na pRzWa-rogam na antra-rogam na-udara-rogam na SroNI-rogam na
   ūrurogaṃ na jaṅghārogaṃ kaścit kartuṃ śakṣyati / na cāsya svarasaṃkṣobho	Uru-rogam na jaFGA-rogam kaScid kartum Sakzyati / na ca-asya svara-saMkzoBaH-
   bhaviṣyati / yaśca tasya dharmabhāṇakasya pūrvāśubhakarmaṇā	Bavizyati / yaH-ca tasya Darma-BANakasya pUrva-aSuBa-karmaNA
   dhātusaṃkṣobhaḥ svarasaṃkṣobho vā syāt tasyemāṃ dhāraṇīṃ vācayataḥ sarvo	DAtu-saMkzoBaH svara-saMkzoBaH vA syAt tasya-imAm DAraNIm vAcayataH sarvaH-
   niḥśeṣaṃ praśamiṣyati / karmaparikṣayāt svasti bhaviṣyati / ye 'pi tatra	niHSezam praSamizyati / karma-parikzayAt svasti Bavizyati / ye api tatra
   dharmaśrāvaṇikāḥ saṃnipatiṣyanti teṣāmapi na kaścit dhātusaṃkṣobhaṃ	Darma-SrAvaNikAH saMnipatizyanti tezAm-api na kaScid DAtu-saMkzoBam
   kariṣyati svarasaṃkṣobhaṃ vā / ye ca tatra imāṃ dhāraṇīṃ śroṣyanti teṣāṃ	karizyati svara-saMkzoBam vA / ye ca tatra imAm DAraNIm Srozyanti tezAm
   yadaśubhena karmaṇā dīrghaglāniḥ dhātusaṃkṣobho vā svarasaṃkṣobho vā syāt	yat-aSuBena karmaNA dIrGaglAniH DAtu-saMkzoBaH vA svara-saMkzoBaH vA syAt-
   tat sarvaṃ parikṣayaṃ yāsyati /	tat sarvam parikzayam yAsyati /
   atha khalu candraprabhaḥ kumārabhūto yena te buddhā bhagavanto	aTa Kalu candrapraBaH kumAra-BUtaH yena te budDAH BagavantaH-
   gaṅgānadīvālukāsamā bodhisattvaparivārāstenāñjaliṃ praṇamyaivamāha /	gaFgA-nadI-vAlukA-samAH boDisattva-parivArAH-tena-aQjalim praNamya-evam-Aha /
   samanvāharantu me buddhā bhagavanto 'syāṃ dhāraṇyāṃ chandaṃ dadatu / tad	samanvAharantu me budDAH BagavantaH asyAm DAraNyAm Candam dadatu / tat-
   yathā / kṣānte asamārūpe / maitre somavate / ehi nava kuṃjave / nava	yaTA / kzAnte asamArUpe / mEtre somavate / ehi nava kuMjave / nava
