   akarotkiṃ mahādeva SkP_26.2c	akarot kim mahAdeva SkP_26.2c
   śakteruddharaṇaṃ caiva SkP_2.27c	SakteH udDaraNam ca eva SkP_2.27c
   śakterdīnānanekṣaṇā SkP_18.8d	SakteH dIna Anana IkzaNA SkP_18.8d
   śakteḥ putraḥ pratāpavān SkP_18.23b	SakteH putraH pratApavAn Sku _18.23b
   śakrājñayā tatra samājagāma SkP_13.21d	Sakra AjQayA tatra samAjagAma Sku _13.21d
   śakrādyāśca surottamāḥ SkP_13.68b	Sakra AdyAH ca sura uttamAH Sku _13.68b
   śakrādyairāgatairdevaiḥ SkP_13.28c	Sakra AdyEH AgatEH devEH SkP_13.28c
   śaṅkukarṇeśvaraṃ caiva SkP_29.83a	SaFkukarNeSvaram ca eva Sku _29.83a
   śaṅkukarṇo 'bhyayāccaiva SkP_23.45a	SaFkukarNaH aByayAt ca eva Sku _23.45a
   śaṅkukarṇo mahānakhaḥ SkP_23.34d	SaFku karNaH mahA naKaH SkP_23.34d
   śaṅkukarṇordhvamehanam SkP_23.23b	SaFku karNa UrDva mehanam Sku _23.23b
   śaṅkhakundendusaprabhaḥ SkP_23.40b	SaFKa kunda indu sapraBaH Sku _23.40b
   śaṅkhahārāmbugauraśca SkP_23.6c	SaFKa hAra ambu gOraH ca SkP_23.6c
   śaṅkhahārāmbugaureṇa SkP_24.17c	SaFKa hAra ambu gOreNa SkP_24.17c
   śaṅkhaṃ caivenduvarcasam SkP_24.21d	SaFKam ca eva indu varcasam SkP_24.21d
   śacīpatistatra surendramadhye SkP_13.23a	SacIpatiH tatra sura indra maDye Sku _13.23a
   śaṭhe cāpi kathaṃcana SkP_3.2b	SaWe ca api kaTaMcana Sku _3.2b
   śatadundubhinisvanaḥ SkP_8.28d	Sata dunduBinisvanaH SkP_8.28d
   śatadrūriti tāṃ prāhur SkP_18.4e	SatadrUH iti tAm prAhuH Sku _18.4e
   śatadhā sādravadbhayāt SkP_18.4d	SataDA sAdravat BayAt SkP_18.4d
   śatanetrāya vai namaḥ SkP_5.46b	Sata netrAya vE namaH Sku _5.46b
   śatanetrāya vai namaḥ SkP_21.26b	Sata netrAya vE namaH Sku _21.26b
   śatapādaḥ śatodaraḥ SkP_23.35b	SatapAdaH SatodaraH SkP_23.35b
   śatapādodarānanaḥ SkP_23.38f	SatapAda udara AnanaH Sku _23.38f
   śatamanyustathā caiva SkP_23.59a	SatamanyuH taTA ca eva Sku _23.59a
   śatamāyo mahāmāyaḥ SkP_23.61c	Sata mAyaH mahA mAyaH SkP_23.61c
   śatayojanabāhuśca SkP_23.15c	Sata yojana bAhuH ca SkP_23.15c
   śatarūpāya vai namaḥ SkP_14.4b	SatarUpAya vE namaH Sku _14.4b
   śatarūpebhya eva ca SkP_25.46b	SatarUpeByaH eva ca Sku _25.46b
   śatavaktrāya vai namaḥ SkP_5.46d	Sata vaktrAya vE namaH SkP_5.46d
   śataṃ cāpi supūjitam SkP_26.45b	Satam ca api su pUjitam Sku _26.45b
   śataṃ varṣasahasrāṇāṃ SkP_11.25e	Satam varza sahasrANAm Sku _11.25e
   śataṃ varṣasahasrāṇi SkP_28.30c	Satam varza sahasrANi SkP_28.30c
   śatānalasamaprakhyam SkP_17.20c	Sata anala sama praKyam Sku _17.20c
   śatānāṃ daśatīrdaśa SkP_26.43b	SatAnAm daSatIrdaSa Sku _26.43b
   śatairviṃśatibhirvṛtāḥ SkP_23.55b	SatEH viMSatiBiH vRtAH Sk= _23.55b
   śatairvṛtaśca koṭīnām SkP_23.38c	SatEH vRtaH ca kowInAm SkP_23.38c
   śatodaraṃ triśirasaṃ SkP_23.21c	Sata udaram triSirasam SkP_23.21c
   śanairunmīlya locane SkP_31.5b	SanEs unmIlya locane Sku _31.5b
   śabdajihvā śubhā satī SkP_5.10d	Sabda jihvA SuBA satI SkP_5.10d
   śabdaliṅgāya vai namaḥ SkP_15.26d	Sabda liFgAya vE namaH SkP_15.26d
   śabdavadghoradarśanam SkP_5.40f	Sabda vat Gora darSanam Sku _5.40f
   śamadamaniyatānāṃ kleśahartā yatīnām SkP_9.32b	Sama dama niyatAnAm kleSa hartA yatInAm SkP_9.32b
   śamanāya namo namaḥ SkP_14.6d	SamanAya namaH namaH SkP_14.6d
   śamaṃ caiva paraṃ vibho SkP_15.29d	Samam ca eva param viBo SkP_15.29d
   śamaṃ damamathāpi ca SkP_29.122d	Samam damam aTa api ca SkP_29.122d
   śambhuḥ prāha varaṃ vatsa SkP_4.4e	SamBuH prAha varam vatsa Sku _4.4e
   śambhorvyāhāramātreṇa SkP_7.6a	SamBoH vyAhAra mAtreNa Sku _7.6a
   śayāno japate yaśca SkP_29.214a	SayAnaH japate yaH ca Sku _29.214a
   śayyāsanasthaḥ strīmadhye SkP_28.6a	SayyA Asana sTaH strI maDye Sku _28.6a
   śaraṇaṃ ca tvamevātha SkP_21.52c	SaraNam ca tvam eva aTa SkP_21.52c
   śaraṇāgatāya dāntāya SkP_5.53c	SaraNa AgatAya dAntAya SkP_5.53c
   śaraṇyāya namo nityaṃ SkP_20.17a	SaraNyAya namaH nityam Sku _20.17a
   śaradāgānmanoramā SkP_13.90d	Sarad AgAt manoramA SkP_13.90d
   śarīrabhede praviśetpitāmaham SkP_5.69d	SarIra Bede praviSet pitAmaham Sku _5.69d
   śarīrārdhapradānaṃ ca SkP_2.22c	SarIra arDa pradAnam ca SkP_2.22c
   śarīreṇākṣatena ca SkP_31.7b	SarIreNa akzatena ca Sku _31.7b
   śarva bhīma paśupate SkP_28.62a	Sarva BIma paSupate Sku _28.62a
   śarvamaikṣata mohitaḥ SkP_13.37b	Sarvam Ekzata mohitaH Sku _13.37b
   śarvasya darśanaṃ caiva SkP_2.6c	Sarvasya darSanam ca eva SkP_2.6c
   śarvaḥ somo gaṇavṛto SkP_20.8c	SarvaH somaH gaNa vRtaH SkP_20.8c
   śarvādyairnāmabhirbrahmā SkP_4.18a	Sarva AdyEH nAmaBiH brahmA Sku _4.18a
   śarveṇa saha sambandho SkP_13.59c	SarveNa saha sambanDaH SkP_13.59c
   śarveṇogreṇa śūlinā SkP_12.45b	SarveNa ugreNa SUlinA Sku _12.45b
   śarve bhaktiranuttamā SkP_30.5b	Sarve BaktiH anuttamA Sku _30.5b
   śarvo devyāḥ priyepsayā SkP_26.3b	SarvaH devyAH priya IpsayA Sku _26.3b
   śarvo bhīmaḥ kapardimān SkP_13.48b	SarvaH BImaH kapardimAn Sku _13.48b
   śaśāṅkalekhākuṭilena sarvataḥ SkP_13.78b	SaSAFka leKA kuwilena sarvatas SkP_13.78b
   śaśāṅkavadanā tathā SkP_13.89d	SaSAFka vadanA taTA SkP_13.89d
   śaśāṅkādityanetrāya SkP_14.13a	SaSAFka Aditya netrAya Sku _14.13a
   śaśibhānūparāge ca SkP_29.76a	SaSi BAnu uparAge ca Sku _29.76a
   śaṃkareṇa vibhāvinī SkP_7.11b	SaMkareNa viBAvinI SkP_7.11b
   śaṃkarogra bhaveti ca SkP_28.62b	SaMkara ugra Bava iti ca Sku _28.62b
   śaṃkaro mūḍhacetasam SkP_15.13b	SaMkaraH mUXa cetasam SkP_15.13b
   śātakumbhamayaṃ cāpi SkP_24.13a	SAtakumBa mayam ca api SkP_24.13a
   śādhi kiṃ karavāṇi te SkP_17.13d	SADi kim karavANi te SkP_17.13d
   śānta śrīkaṇṭha gopate SkP_28.61d	SAnta SrIkaNWa gopate SkP_28.61d
   śāntāstā vibabhustadā SkP_29.16d	SAntAH tAH vibaBuH tadA SkP_29.16d
   śāntivṛddhikaraṃ śubham SkP_28.72b	SAnti vRdDi karam SuBam Sku _28.72b
   śānto dānto jitendriyaḥ SkP_28.4d	SAntaH dAntaH jita indriyaH SkP_28.4d
   śāntyarthaṃ sarvalokānāṃ SkP_29.20c	SAnti arTam sarva lokAnAm SkP_29.20c
   śāpaṃ dadyātsudustaram SkP_19.19d	SApam dadyAt su dustaram Sku _19.19d
   śārdūlarkṣamṛgākulam SkP_9.26d	SArdUla Rkza mRga Akulam SkP_9.26d
   śālaṅkasyānvaye vipraṃ SkP_20.2c	SAlaFkasya anvaye vipram SkP_20.2c
   śālaṅkāyana putraste SkP_20.32a	SAlaFkAyana putraH te SkP_20.32a
   śālaṅkāyanapautrāya SkP_24.49c	SAlaFkAyana pOtrAya SkP_24.49c
   śālayo dviśatāḥ smṛtāḥ SkP_27.29b	SAlayaH dvi SatAH smRtAH Sk= _27.29b
   śāśvataḥ akṣayo 'vyayaḥ SkP_22.33b	SASvataH akzayaH avyayaH Sku _22.33b
   śikṣāvidyonnatastanī SkP_5.12d	SikzA vidyA unnata stanI SkP_5.12d
   śikhaṇḍinyai namo namaḥ SkP_29.201b	SiKaNxinyE namaH namaH Sku _29.201b
   śikharasya ca pātanam SkP_2.24d	SiKarasya ca pAtanam Sku _2.24d
   śitibāhve ca sṛptaye SkP_29.195b	SitibAhve ca sRptaye Sku _29.195b
   śiraśchetsyati yajñasya SkP_5.64e	SiraH Cetsyati yajQasya Sku _5.64e
   śiraśchetsyatyasāveva SkP_5.60c	SiraH Cetsyati asO= eva SkP_5.60c
   śirasaśchedanaṃ tava SkP_5.59b	SirasaH Cedanam tava Sku _5.59b
   śirasaśchedanaṃ vibho SkP_5.62f	SirasaH Cedanam viBo SkP_5.62f
   śirasaśchedanāya ca SkP_5.49b	SirasaH CedanAya ca Sku _5.49b
   śirasā dhārayiṣyati SkP_28.37b	SirasA DArayizyati Sku _28.37b
   śirasā pādayornataḥ SkP_21.17b	SirasA pAdayoH nataH Sku _21.17b
   śirasā pādayornatāḥ SkP_29.184d	SirasA pAdayoH natAH SkP_29.184d
   śirasā prāñjalirnataḥ SkP_29.152d	SirasA prAQjaliH nataH Sku _29.152d
   śirasā sa mahāyaśāḥ SkP_20.68b	SirasA sa mahA yaSAH Sk= _20.68b
   śirasyañjalimādhāya SkP_15.18c	Sirasi aQjalim ADAya SkP_15.18c
   śirasyañjalimādhāya SkP_25.39c	Sirasi aQjalim ADAya SkP_25.39c
   śirasyañjalimādhāya SkP_29.185c	Sirasi aQjalim ADAya SkP_29.185c
   śiraḥ prakampayanviṣṇuḥ SkP_13.36a	SiraH prakampayan vizNuH Sku _13.36a
   śirāṃ lalāṭātsambhidya SkP_6.5c	SirAm lalAwAt samBidya SkP_6.5c
   śirobhirbhūtalāśritaiḥ SkP_13.57d	SiroBiH BU tala ASritEH SkP_13.57d
   śiro vai krodhajaṃ mahat SkP_5.41b	SiraH vE kroDa jam mahat Sku _5.41b
   śirohartre ca me purā SkP_9.7d	SiraH hartre ca me purA SkP_9.7d
   śilādastāmathālakṣya SkP_20.48a	SilAdaH tAm aTa Alakzya Sku _20.48a
   śilādastena so 'bhavat SkP_20.5d	SilAdaH tena saH aBavat SkP_20.5d
   śilādasya ca putrāya SkP_24.50a	SilAdasya ca putrAya Sku _24.50a
   śilādasya ca lokeśaḥ SkP_25.13e	SilAdasya ca lokeSaH Sku _25.13e
   śilādasya mahaujasau SkP_20.39d	SilAdasya mahA ojasO SkP_20.39d
   śilādaṃ prāha susvaram SkP_20.31d	SilAdam prAha su svaram Sku _20.31d
   śilādaḥ putravatsalaḥ SkP_20.45b	SilAdaH putra vatsalaH Sku _20.45b
   śilādaḥ sumahātapāḥ SkP_20.40b	SilAdaH su mahA tapAH Sk= _20.40b
   śilādo nāma vīryavān SkP_20.5b	SilAdaH nAma vIryavAn Sku _20.5b
   śilādo 'bhyarcayattadā SkP_20.23b	SilAdaH aByarcayat tadA Sku _20.23b
   śilāyāṃ saṃviveśa ha SkP_12.28d	SilAyAm saMviveSa ha SkP_12.28d
   śilāṃ brahmasutaḥ prabhuḥ SkP_18.4b	SilAm brahma sutaH praBuH SkP_18.4b
   śilpāni caiva sarvāṇi SkP_20.36c	SilpAni ca eva sarvANi SkP_20.36c
   śilpine śilpanāthāya SkP_21.44c	Silpine Silpa nATAya SkP_21.44c
   śivayogojjvalaprabhāḥ SkP_29.63b	Siva yoga ujjvala praBAH Sku _29.63b
   śivaḥ saumyaśca deveśa SkP_9.10c	SivaH sOmyaH ca deveSa SkP_9.10c
   śivaḥ saumyaḥ sukho draṣṭuṃ SkP_14.24c	SivaH sOmyaH suKaH drazwum SkP_14.24c
   śiśuṃ pañcaśikhaṃ sthitam SkP_13.30b	SiSum paQcaSiKam sTitam Sku _13.30b
   śīghramutthāya sādaram SkP_13.40b	SIGram utTAya sa Adaram Sku _13.40b
   śuko yogavidāṃ varaḥ SkP_19.13b	SukaH yoga vidAm varaH Sku _19.13b
   śukrasya ca visarjanam SkP_2.17b	Sukrasya ca visarjanam Sku _2.17b
   śukreṇa tava sūnunā SkP_29.46b	SukreNa tava sUnunA Sku _29.46b
   śukreśvaraṃ ca vikhyātaṃ SkP_29.59c	SukreSvaram ca viKyAtam SkP_29.59c
   śucaye rerihāṇāya SkP_14.19c	Sucaye rerihANAya Sku _14.19c
   śucayo dhārayantyuta SkP_10.35b	SucayaH DArayanti uta Sku _10.35b
   śuci sarvaguṇānvitam SkP_17.4b	Suci sarva guNa anvitam Sku _17.4b
   śuddhaye śucaye namaḥ SkP_29.206d	SudDaye Sucaye namaH SkP_29.206d
   śuddhāḥ stha tapasā sarve SkP_5.17c	SudDAH sTa tapasA sarve SkP_5.17c
   śuddhena manasā bhaktyā SkP_20.61c	SudDena manasA BaktyA SkP_20.61c
   śubhaṃ vāpyaśubhaṃ vātra SkP_22.13c	SuBam vA api aSuBam vA atra SkP_22.13c
   śubhaṃ vā yadi vāśubham SkP_10.19b	SuBam vA yadi vA aSuBam Sku _10.19b
   śubhāmbudhārāpraṇayaprabodhitair SkP_13.76c	SuBa ambu DArA praNaya praboDitEH SkP_13.76c
   śubhebhyaśca namo vo 'stu SkP_25.51c	SuBeByaH ca namaH vaH astu SkP_25.51c
   śubhairvacobhiḥ suraśatrunāśanāḥ SkP_25.52b	SuBEH vacoBiH sura Satru nASanAH Sku _25.52b
   śubhraṃ kuryādanindite SkP_27.12b	SuBram kuryAt anindite Sku _27.12b
   śuśubhuḥ kāryamuddiśya SkP_13.107c	SuSuBuH kAryam uddiSya SkP_13.107c
   śuśubhe devadevasya SkP_13.66c	SuSuBe devadevasya SkP_13.66c
   śuṣkakāṣṭhopalopamaḥ SkP_30.15b	Suzka kAzWa upala upamaH Sku _30.15b
   śūdraḥ kṣatriya eva vā SkP_29.165d	SUdraH kzatriyaH eva vA SkP_29.165d
   śūdraḥ strī vā sa me loke SkP_28.19c	SUdraH strI vA sa me loke SkP_28.19c
   śūnyā vārāṇasī caiva SkP_26.25e	SUnyA vArANasI ca eva Sku _26.25e
   śūnyā samabhavatkṣipraṃ SkP_26.63c	SUnyA samaBavat kzipram SkP_26.63c
   śūnyāṃ kuru mahābāho SkP_26.21c	SUnyAm kuru mahA bAho SkP_26.21c
   śūnyāṃ vārāṇasīṃ kuru SkP_26.23d	SUnyAm vArANasIm kuru SkP_26.23d
   śūlapāṇirmahābalaḥ SkP_23.27b	SUlapANiH mahA balaH SkP_23.27b
   śūlapāṇirvṛṣadhvajaḥ SkP_27.5b	SUlapANiH vRzaDvajaH Sku _27.5b
   śūlamudgarapāṇaye SkP_21.23d	SUla mudgara pANaye SkP_21.23d
   śūlaṃ cāśanimeva ca SkP_24.25b	SUlam ca aSanim eva ca Sku _24.25b
   śūlāsaktamahākaram SkP_8.33b	SUla Asakta mahA karam Sku _8.33b
   śūlinyai ca namo namaḥ SkP_29.197b	SUlinyE ca namaH namaH Sku _29.197b
   śūleśvaraṃ mahākāyaṃ SkP_7.31c	SUleSvaram mahA kAyam SkP_7.31c
   śṛṅgāṇi tasya tu gireḥ SkP_13.113a	SRFgANi tasya tu gireH Sku _13.113a
   śṛṅgaiḥ sa śuśubhe nagaḥ SkP_13.96b	SRFgEH sa SuSuBe nagaH Sku _13.96b
   śṛṇutāpsarasaḥ sarvās SkP_29.220a	SRNuta apsarasaH sarvAH SkP_29.220a
   śṛṇu devi yathātattvaṃ SkP_28.49a	SRNu devi yaTAtattvam Sku _28.49a
   śṛṇudhvaṃ mama toṣaṇe SkP_9.21d	SRNuDvam mama tozaNe SkP_9.21d
   śṛṇudhvaṃ mama yaḥ kartā SkP_5.32c	SRNuDvam mama yaH kartA SkP_5.32c
   śṛṇudhvaṃ munayaḥ sarve SkP_1.14a	SRNuDvam munayaH sarve Sku _1.14a
   śṛṇudhvaṃ yatkṛte yūyam SkP_24.7a	SRNuDvam yad kRte yUyam Sku _24.7a
   śṛṇu yanmattakāśini SkP_28.17b	SRNu yat mattakASini SkP_28.17b
   śṛṇuyācchrāvayedvāpi SkP_29.176c	SRNuyAt SrAvayet vA api SkP_29.176c
   śṛṇuyādyaḥ paṭheta vā SkP_14.30b	SRNuyAt yaH paWeta vA SkP_14.30b
   śṛṇuyādvātha viprānvā SkP_10.40c	SRNuyAt vA aTa viprAn vA SkP_10.40c
   śṛṇuyādvā paṭheta vā SkP_6.14b	SRNuyAt vA paWeta vA SkP_6.14b
   śṛṇuyādvāpi nityaśaḥ SkP_28.70b	SRNuyAt vA api nityaSas Sku _28.70b
   śṛṇu vyāsa yathā lebhe SkP_30.3a	SRNu vyAsa yaTA leBe Sku _30.3a
   śṛṇuṣvemāṃ kathāṃ divyāṃ SkP_3.1a	SRNuzva imAm kaTAm divyAm Sku _3.1a
   śṛṇvataḥ paramādbhutam SkP_13.136d	SRNvataH parama adButam Sku _13.136d
   śeṣaḥ sahasraṃ sphuradagnivarṇaṃ SkP_13.19a	SezaH sahasram sPurat agni varNam Sku _13.19a
   śeṣāśca caravaḥ sarve SkP_27.32c	SezAH ca caravaH sarve SkP_27.32c
   śailajāvṛṣabhadhvajau SkP_27.1b	SElajA vRzaBa DvajO Sku _27.1b
   śailaputrīmalaṃkṛtya SkP_13.128a	SElaputrIm alaMkRtya Sku _13.128a
   śailaputryāḥ svayaṃvaraḥ SkP_13.1d	SElaputryAH svayaMvaraH SkP_13.1d
   śailādigaṇapāya ca SkP_29.112d	SElAdi gaNapAya ca Sku _29.112d
   śailādidaityasaṃmardo SkP_2.18a	SElAdi dEtya saMmardaH Sku _2.18a
   śailādistava eva ca SkP_2.18d	SElAdi stavaH eva ca Sku _2.18d
   śailāderadadadvaram SkP_25.23b	SElAdeH adadat varam Sku _25.23b
   śailāde varado 'haṃ te SkP_21.13a	SElAde vara daH aham te Sku _21.13a
   śailendro niyame sthitaḥ SkP_11.19b	SElendraH niyame sTitaH Sku _11.19b
   śaileśaṃ saṃgameśaṃ ca SkP_29.58a	SEleSam saMgameSam ca Sku _29.58a
   śaileśvaramiti khyātaṃ SkP_29.40a	SEleSvaram iti KyAtam Sku _29.40a
   śocāmi na svakaṃ dehaṃ SkP_12.34a	SocAmi na svakam deham Sku _12.34a
   śobhayā parayā yutam SkP_30.44b	SoBayA parayA yutam Sku _30.44b
   śobhayāmāsa śṛṅgāṇi SkP_13.121c	SoBayAmAsa SRFgANi SkP_13.121c
   śobhāyai dīptaye caiva SkP_29.190c	SoBAyE dIptaye ca eva SkP_29.190c
   śmaśānanilayaśca ha SkP_26.17b	SmaSAna nilayaH ca ha SkP_26.17b
   śmaśānanilayo nagno SkP_28.66c	SmaSAna nilayaH nagnaH SkP_28.66c
   śmaśānarataye namaḥ SkP_9.8f	SmaSAna rataye namaH Sku _9.8f
   śmaśānavaradāya ca SkP_14.13d	SmaSAna vara dAya ca Sku _14.13d
   śmaśānavasatistathā SkP_2.23b	SmaSAna vasatiH taTA Sku _2.23b
   śmaśānaṃ tena saṃjñitam SkP_7.28d	SmaSAnam tena saMjQitam Sku _7.28d
   śmeti hi procyate pāpaṃ SkP_7.28a	Sma iti hi procyate pApam Sku _7.28a
   śyāmāṅgayaṣṭiḥ suvicitraveṣaḥ SkP_13.17a	SyAma aFga yazwiH su vicitra vezaH Sku _13.17a
   śyenībhūtā jagāmāśu SkP_8.20c	SyenIBUtA jagAma ASu SkP_8.20c
   śraddadhānāya caiva hi SkP_3.3f	SraddaDAnAya ca eva hi Sku _3.3f
   śraddhāśubhācāravastrā SkP_5.15a	SradDA SuBa AcAra vastrA Sku _5.15a
   śramāpanayanāya ca SkP_29.109d	Srama apanayanAya ca Sku _29.109d
   śrāmyase lokabhāvani SkP_11.39b	SrAmyase loka BAvani SkP_11.39b
   śrāvayīta yatavrataḥ SkP_10.40d	SrAvayIta yata vrataH SkP_10.40d
   śrāvayīta śucirbhūtvā SkP_18.40c	SrAvayIta SuciH BUtvA SkP_18.40c
   śrāvayedbhaktimānpuṇyaṃ SkP_28.71c	SrAvayet BaktimAn puNyam SkP_28.71c
   śrāvayedvā dvijātiṣu SkP_21.56b	SrAvayet vA dvijAtizu Sku _21.56b
   śriyā paramayā yutaḥ SkP_25.13f	SriyA paramayA yutaH Sku _25.13f
   śriyai lakṣmyai namo namaḥ SkP_29.187b	SriyE lakzmyE namaH namaH Sku _29.187b
   śrīmanti subhagāni ca SkP_13.97b	SrImanti suBagAni ca Sku _13.97b
   śrīvatsaṃ caiva kāñcanam SkP_24.20b	SrIvatsam ca eva kAQcanam Sku _24.20b
   śrīvatsaṃ yaśca piṣṭena SkP_28.12a	SrIvatsam yaH ca pizwena Sku _28.12a
   śrutaye sarvavedānāṃ SkP_29.208c	Srutaye sarva vedAnAm SkP_29.208c
   śrutigītairmahāmantrair SkP_13.132c	Sruti gItEH mahA mantrEH SkP_13.132c
   śrutimadbhiśca viprendraiḥ SkP_29.74c	SrutimadBiH ca vipra indrEH Sku _29.74c
   śrutiliṅgāya vai namaḥ SkP_15.20b	Sruti liFgAya vE namaH Sku _15.20b
   śrutvā ca prayatātmānaḥ SkP_24.7c	SrutvA ca prayata AtmAnaH SkP_24.7c
   śrutvā tu devī taṃ nādaṃ SkP_12.36a	SrutvA tu devI tam nAdam Sku _12.36a
   śrutvātha vacanaṃ sūnor SkP_1.23a	SrutvA aTa vacanam sUnoH Sku _1.23a
   śrutvā devaḥ pitāmahaḥ SkP_18.30b	SrutvA devaH pitAmahaH SkP_18.30b
   śrutvāpi na hi me tṛptir SkP_30.45c	SrutvA api na hi me tRptiH SkP_30.45c
   śrutvā śabdaṃ ṛtumadakalaṃ sarvataḥ kokilānāṃ SkP_13.119a	SrutvA Sabdam Rtumada kalam sarvatas kokilAnAm Sku _13.119a
   śrutvā sakṛdapi hyetaṃ SkP_21.57a	SrutvA sakRt api hi etam Sku _21.57a
   śrūyatāmabhidhāsyāmi SkP_27.10a	SrUyatAm aBiDAsyAmi Sku _27.10a
   śrūyatāmabhidhāsyāmi SkP_27.11a	SrUyatAm aBiDAsyAmi Sku _27.11a
   śreṣṭhā ca varavarṇinī SkP_11.32b	SrezWA ca varavarNinI Sku _11.32b
   śreṣṭhā me brāhmaṇā matāḥ SkP_12.54f	SrezWAH me brAhmaNAH matAH Sk= _12.54f
   śreṣṭhāṃ māṃ garhase pitaḥ SkP_10.21d	SrezWAm mAm garhase pitar Sku _10.21d
   śreṣṭhāṃstasmātsadā manye SkP_10.18c	SrezWAn= tasmAt sadA manye SkP_10.18c
   śrotavyaṃ na ca sarveṇa SkP_28.72e	Srotavyam na ca sarveNa Sku _28.72e
   śrotuṃ kautūhalaṃ hi me SkP_30.20b	Srotum kOtUhalam hi me Sku _30.20b
   śrotuṃ brahmasuta tvayā SkP_30.2d	Srotum brahma suta tvayA SkP_30.2d
   śrotre śrotrāya caiva hi SkP_21.40d	Srotre SrotrAya ca eva hi SkP_21.40d
   śrautasmārtapravartakam SkP_19.12d	SrOta smArta pravartakam SkP_19.12d
   ślāghyaḥ pūjyaśca vandyaśca SkP_13.59a	SlAGyaH pUjyaH ca vandyaH ca SkP_13.59a
   ślāghyāṃ caivāpyaduṣṭāṃ ca SkP_10.21c	SlAGyAm ca eva api aduzwAm ca SkP_10.21c
   śvāpadaiśca tathānekair SkP_23.65a	SvApadEH ca taTA anekEH Sku _23.65a
   śvetaṃ nīlamathāpi vā SkP_27.16b	Svetam nIlam aTa api vA SkP_27.16b
   ṣaṭkulīyāstapodhanāḥ SkP_9.25b	zawkulIyAH tapoDanAH Sk= _9.25b
   ṣaṭpadavrātasevitaiḥ SkP_29.7d	zawpada vrAta sevitEH SkP_29.7d
   ṣaṭsahasraṃ tu candanam SkP_27.28b	zaz sahasram tu candanam Sku _27.28b
   ṣaḍaṅgena ca yogena SkP_27.46a	zaxaFgena ca yogena Sku _27.46a
   ṣaḍupayayurṛtavo munipravīra SkP_13.126d	zaz upayayuH RtavaH muni pravIra SkP_13.126d
   ṣaḍviṃśa īśvaro 'vyaktaḥ SkP_29.66a	zaxviMSaH ISvaraH avyaktaH Sku _29.66a
   ṣaḍviṃśāya pradhānāya SkP_1.2c	zaxviMSAya praDAnAya SkP_1.2c
   ṣaṣṭhe 'hani girīndraje SkP_12.42b	zazWe ahani girIndraje Sku _12.42b
   sa āhāro mama purā SkP_12.41c	saH AhAraH mama purA SkP_12.41c
   sa evamabhavadvyāsa SkP_25.12a	saH evam aBavat vyAsa Sku _25.12a
   sa evamuktastejasvī SkP_19.7a	saH evam uktaH tejasvI Sku _19.7a
   sa evamuktastejasvī SkP_20.45a	saH evam uktaH tejasvI Sku _20.45a
   sa evamuktastejasvī SkP_26.24a	saH evam uktaH tejasvI Sku _26.24a
   sa evamuktastenātha SkP_17.19a	saH evam uktaH tena aTa Sku _17.19a
   sa evamuktaḥ putreṇa SkP_30.13a	saH evam uktaH putreNa Sku _30.13a
   sa evamuktaḥ provāca SkP_17.8a	saH evam uktaH provAca Sku _17.8a
   sa evamuktaḥ sūdena SkP_17.14a	saH evam uktaH sUdena Sku _17.14a
   sa evamukto ṛṣiṇā SkP_11.19a	saH evam uktaH RziNA Sku _11.19a
   sa evamukto devena SkP_21.17a	saH evam uktaH devena Sku _21.17a
   sa evamukto devena SkP_29.101a	saH evam uktaH devena Sku _29.101a
   sa evamukto deveśo SkP_25.7a	saH evam uktaH deveSaH Sku _25.7a
   sa evamukto deveśo SkP_26.20a	saH evam uktaH deveSaH Sku _26.20a
   sa evamukto mṛgayan SkP_8.10a	saH evam uktaH mRgayan Sku _8.10a
   sa evamuktvā rājānaṃ SkP_26.61a	saH evam uktvA rAjAnam Sku _26.61a
   sa evamumayā proktaḥ SkP_27.5a	saH evam umayA proktaH Sku _27.5a
   sa eva sutasaṃjñaste SkP_5.64c	saH eva suta saMjQaH te SkP_5.64c
   sa evaṃ gaṇapaiḥ sarvaiḥ SkP_25.35a	saH evam gaNapEH sarvEH Sku _25.35a
   sa evaṃ stūyamānaśca SkP_29.114a	saH evam stUyamAnaH ca SkP_29.114a
   sa eṣa pratinandaya SkP_20.32d	saH eza pratinandaya SkP_20.32d
   sa kadācidapatyārtham SkP_16.4a	sa kadAcid apatya arTam Sku _16.4a
   sakalabhuvanabhartā lokanāthastadānīṃ SkP_30.43a	sakala Buvana BartA lokanATaH tadAnIm Sku _30.43a
   sakalāyākalāya ca SkP_29.108b	sakalAya akalAya ca Sku _29.108b
   sakalāvāptavidyaistu SkP_1.19c	sakala avApta vidyEH tu SkP_1.19c
   sa kāmacārī vaibhrāje SkP_25.22e	sa kAma cArI vEBrAje Sku _25.22e
   sa kīrtyā parayā yukto SkP_6.14c	sa kIrtyA parayA yuktaH SkP_6.14c
   sa kurvāṇastathā sṛṣṭiṃ SkP_4.2a	sa kurvANaH taTA sRzwim Sku _4.2a
   sa kulānāmubhayatas SkP_27.16c	sa kulAnAm uBayatas SkP_27.16c
   sakṛtkanyāḥ pradīyante SkP_6.7a	sakRt kanyAH pradIyante Sku _6.7a
   sa kṛtvā bālarūpaṃ tu SkP_12.31a	sa kRtvA bAla rUpam tu SkP_12.31a
   sakṛdagniśca jāyate SkP_6.7b	sakRt agniH ca jAyate Sku _6.7b
