   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   trayo 'bhisaṃhitā lokā buddhyā satyena caiva hi /	trayaH aBisaMhitA lokAH budDyA satyena ca eva hi /
   dīrghabāhuḥ sutastasya raghustasmādajāyata // BndP_2,63.183 //	dIrGa bAhuH sutaH tasya raGuH tasmAt ajAyata // Bndu _2,63.183 //
   ajaḥ putro raghoścāpi tasmājjajñe sa vīryavān /	ajaH putraH raGoH ca api tasmAt jajQe sa vIryavAn /
   rājā daśaratho nāma ikṣvākukulanandanaḥ // BndP_2,63.184 //	rAjA daSaraTaH nAma ikzvAku kula nandanaH // Bndu _2,63.184 //
   rāmo dāśarathirvīro dharmajño lokaviśrutaḥ /	rAmaH dASaraTiH vIraH Darma jQaH loka viSrutaH /
   bharato lakṣmaṇaścaiva śatrughnaśca mahābalaḥ // BndP_2,63.185 //	BarataH lakzmaNaH ca eva SatruGnaH ca mahA balaH // Bndu _2,63.185 //
   mādhavaṃ lavaṇaṃ hatvā gatvā madhuvanaṃ ca tat /	mADavam lavaNam hatvA gatvA maDuvanam ca tat /
   śatrughrena purī tatra mathurā viniveśitā // BndP_2,63.186 //	SatruGrena purI tatra maTurA viniveSitAH // Bndu _2,63.186 //
   subāhuḥ śūrase naśca śatrughnasya sutāvubhau /	subAhuH SUrase naH ca SatruGnasya sutO= uBO /
   pālayāmāsatustau tu vaidehyau mathurāṃ purīm // BndP_2,63.187 //	pAlayAmAsatuH tO tu vEdehyO maTurAm purIm // Bndu _2,63.187 //
   aṅgadaścandraketuśca lakṣmaṇasyātmajāvubhau /	aFgadaH candraketuH ca lakzmaNasya AtmajO= uBO /
   himavatparvatasyānte sphītau janapadau tayoḥ // BndP_2,63.188 //	himavat parvatasya ante sPItO janapadO tayoH // Bndu _2,63.188 //
   aṅgadasyāṅgadākhyātā deśe kārayate purī /	aFgadasya aFgada AKyAtA deSe kArayate purI /
   candraketostu vikhyātā candracakrā purī śubhā // BndP_2,63.189 //	candraketoH tu viKyAtA candra cakrA purI SuBA // Bndu _2,63.189 //
   bharatasyātmajau vīrau takṣaḥ puṣkara eva ca /	Baratasya AtmajO vIrO takzaH puzkaraH eva ca /
   gāndhāraviṣaye siddhe tayoḥ puryo mahātmanoḥ // BndP_2,63.190 //	gAnDAra vizaye sidDe tayoH puryaH mahAtmanoH // Bndu _2,63.190 //
   takṣasya dikṣu vikhyātā nāmnā takṣaśilā purī /	takzasya dikzu viKyAtA nAmnA takzaSilA purI /
   puṣkarasyāpi vīrasya vikhyātā puṣkarāvatī // BndP_2,63.191 //	puzkarasya api vIrasya viKyAtA puzkarAvatI // Bndu _2,63.191 //
   gāthāṃ caivātra gāyanti ye purāṇa vido janāḥ /	gATAm ca eva atra gAyanti ye purANa vidaH janAH /
   rāmeṇa baddhāṃ satyārthāṃ mahātmyāttasya dhīmataḥ // BndP_2,63.192 //	rAmeNa badDAm satya arTAm mahAtmyAt tasya DImataH // Bndu _2,63.192 //
   śyāmo yuvā lohitākṣo dīptāsyo mītabhāṣitaḥ /	SyAmaH yuvA lohita akzaH dIpta AsyaH mIta BAzitaH /
   ājānubāhuḥ sumukhaḥ siṃhaskandho mahābhujaḥ // BndP_2,63.193 //	AjAnu bAhuH su muKaH siMha skanDaH mahA BujaH // Bndu _2,63.193 //
   daśavarṣasahasrāṇi rāmo rājyamakārayat /	daSa varza sahasrANi rAmaH rAjyam akArayat /
   ṛksāmayajuṣāṃ ghoṣo yo ghoṣaśca mahāsvanaḥ // BndP_2,63.194 //	Rc sAma yajuzAm GozaH yaH GozaH ca mahA svanaH // Bndu _2,63.194 //
   avyucchinno 'bhavadrājye dīyatāṃ bhujyatāmiti /	avyucCinnaH aBavat rAjye dIyatAm BujyatAm iti /
   janasthāne vasankāryaṃ tridaśānāṃ cakāra saḥ // BndP_2,63.195 //	janasTAne vasan kAryam tridaSAnAm cakAra saH // Bndu _2,63.195 //
   tamāgaskāriṇaṃ pūrvaṃ paulastyaṃ manujarṣabhaḥ /	tamAgaskAriNam pUrvam pOlastyam manuja RzaBaH /
   sītāyāḥ padamanvicchannijaghāna mahāyaśāḥ // BndP_2,63.196 //	sItAyAH padam anvicCat nijaGAna mahA yaSAH // Bndu _2,63.196 //
   sattvavānguṇasaṃpanno dīpyamānaḥ svatejasā /	sattvavAn guNa saMpannaH dIpyamAnaH sva tejasA /
   atisūryaṃ ca vahniṃ ca rāmo dāśarathirbabhau // BndP_2,63.197 //	ati sUryam ca vahnim ca rAmaH dASaraTiH baBO // Bndu _2,63.197 //
   evameṣa mahābāhostasya putrau babhūvatuḥ /	evam eza mahA bAhoH tasya putrO baBUvatuH /
   kuśo lava iti khyāto tayordeśau nibodhata // BndP_2,63.198 //	kuSaH lavaH iti KyAtaH tayoH deSO niboData // Bndu _2,63.198 //
   kuśasya kośalā rājyaṃ purī cāpi kuśasthalī /	kuSasya koSalA rAjyam purI ca api kuSasTalI /
   ramyā niveśitā tena vindhyaparvatasānuṣu // BndP_2,63.199 //	ramyA niveSitA tena vinDya parvata sAnuzu // Bndu _2,63.199 //
   uttarākośale rājya lavasya ca mahātmanaḥ /	uttarA koSale rAjya lavasya ca mahAtmanaH /
   śrāvastirlokavikhyātā kuśavaṃśaṃ nibodhata // BndP_2,63.200 //	SrAvastiH loka viKyAtA kuSa vaMSam niboData // Bndu _2,63.200 //
   kuśasya putro dharmātmā hyatithiḥ supriyātithiḥ /	kuSasya putraH Darma AtmA hi atiTiH supriya atiTiH /
   atitherapi vikhyāto niṣadho nāma pārthivaḥ // BndP_2,63.201 //	atiTeH api viKyAtaH nizaDaH nAma pArTivaH // Bndu _2,63.201 //
   niṣadhasya nalaḥ putro nalasya tu nābhāḥ sutaḥ /	nizaDasya nalaH putraH nalasya tu nABAH sutaH /
   nabhasaḥ puṇḍarīkastu kṣema dhanvā tataḥ smṛtaḥ // BndP_2,63.202 //	naBasaH puNxarIkaH tu kzema DanvA tatas smRtaH // Bndu _2,63.202 //
   kṣemadhanvasuto rājā devānīkaḥ pratāpavān /	kzemaDanva sutaH rAjA deva anIkaH pratApavAn /
   āsīdahīnagurnāma devānīkātmajaḥ prabhuḥ // BndP_2,63.203 //	AsIt ahInaguH nAma deva anIka AtmajaH praBuH // Bndu _2,63.203 //
   ahīna gostu dāyādaḥ pāriyātro mahāyaśāḥ /	ahIna goH tu dAyAdaH pAriyAtraH mahA yaSAH /
   dalastasyātmajaścāpi tasmājjajñe balo nṛpaḥ // BndP_2,63.204 //	dalaH tasya AtmajaH ca api tasmAt jajQe balaH nRpaH // Bndu _2,63.204 //
   ulūko nāma dharmātmā balaputro babhūva ha /	ulUkaH nAma Darma AtmA bala putraH baBUva ha /
   vajranābhaḥ sutastasya śaṅkhaṇastasya cātmajaḥ // BndP_2,63.205 //	vajranABaH sutaH tasya SaFKaNaH tasya ca AtmajaH // Bndu _2,63.205 //
   śaṅkhaṇasya suto vidvān vyuṣitāśva iti śrutaḥ /	SaFKaNasya sutaH vidvAn vyuzitASvaH iti SrutaH /
   vyuṣitāśvasutaścāpi rājā viśvasahaḥ kila // BndP_2,63.206 //	vyuzitASva sutaH ca api rAjA viSvasahaH kila // Bndu _2,63.206 //
   hiraṇyanābhaḥ kauśalyo variṣṭhastatsuto 'bhavat /	hiraNyanABaH kOSalyaH varizWaH tad sutaH aBavat /
   pauṣyañjeśca sa vai śiṣyaḥ smṛtaḥ prācyeṣu sāmasu // BndP_2,63.207 //	pOzyaQjeH ca sa vE SizyaH smRtaH prAcyezu sAmasu // Bndu _2,63.207 //
   śatāni saṃhitānāṃ tu pañca yo 'dhītavāṃstataḥ /	SatAni saMhitAnAm tu paQca yaH aDItavAn= tatas /
   tasmādadhigato yogo yājñavalkyena dhīmatā // BndP_2,63.208 //	tasmAt aDigataH yogaH yAjQavalkyena DImatA // Bndu _2,63.208 //
   puṣpastasya suto vidvāndhruvasaṃdhiśca tatsutaḥ /	puzpaH tasya sutaH vidvAn DruvasaMDiH ca tad sutaH /
   sudarśanastasya suto hyagnivarmaḥ sudarśanāt // BndP_2,63.209 //	sudarSanaH tasya sutaH hi agni varmaH sudarSanAt // Bndu _2,63.209 //
   agnivarṇasya śīghrastu śīghrakasya maruḥ smṛtaḥ /	agni varNasya SIGraH tu SIGrakasya maruH smRtaH /
   marustu yogamāsthāya kalāpagrāmamāsthitaḥ // BndP_2,63.210 //	maruH tu yogam AsTAya kalApa grAmam AsTitaH // Bndu _2,63.210 //
   ekonaviṃśaprayuge kṣatraprāvarttakaḥ prabhuḥ /	ekonaviMSa prayuge kzatra prAvarttakaH praBuH /
   prabhusuto maroḥ putraḥ susaṃdhistasya cātmajaḥ // BndP_2,63.211 //	praBu sutaH maroH putraH susaMDiH tasya ca AtmajaH // Bndu _2,63.211 //
   susaṃdheśca tathā marṣaḥ sahasvānnāma nāmataḥ /	su saMDeH ca taTA marzaH sahasvAn nAma nAmataH /
   āsītsahasvataḥ putro rājā viśrutavāniti // BndP_2,63.212 //	AsIt sahasvataH putraH rAjA viSrutavAn iti // Bndu _2,63.212 //
   tasyāsīdviśrutavataḥ putro rājā bṛhadbalaḥ /	tasya AsIt viSrutavataH putraH rAjA bRhadbalaH /
   ete hīkṣvākudāyādā rājānaḥ śataśaḥ smṛtāḥ // BndP_2,63.213 //	ete hi ikzvAku dAyAdAH rAjAnaH SataSas smRtAH // Bndu _2,63.213 //
   vaṃśe pradhānā ye tasminprādhānyena tu kīrttitāḥ /	vaMSe praDAnAH ye tasmin prADAnyena tu kIrttitAH /
   paṭhansamyagimāṃ sṛṣṭimādityasya vivasvataḥ // BndP_2,63.214 //	paWan samyak imAm sRzwim Adityasya vivasvataH // Bndu _2,63.214 //
   prajāvāneti sāyujyaṃ manorvevasvatasya saḥ /	prajAvAn a iti sAyujyam manoH vevasvatasya saH /
   śrāddhadevasya devasya prajānāṃ puṣṭidasya ca // BndP_2,63.215 //	SrAdDadevasya devasya prajAnAm puzwi dasya ca // Bndu _2,63.215 //
   vipāpmā virajāścaiva āyuṣmāñjāyate 'cyutaḥ // BndP_2,63.216 //	vipApmA virajAH ca eva AyuzmAn jAyate acyutaH // Bndu _2,63.216 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyamabhāge tṛtīya upoddhāta pāde	iti SrI brahmANxe mahApurANe vAyu prokte maDyama BAge tRtIyaH upodDAta pAde
   bhārgavacarite ikṣvākuvaṃśakīrttanaṃ nāma triṣaṣṭitamo 'dhyāyaḥ // 63//	BArgava carite ikzvAkuvaMSakIrttanam nAma trizazwitamaH aDyAyaH // 63//
   sūta uvāca	sUtaH uvAca
   anujasya vikukṣestu nimervaṃśaṃ niboghata /	anujasya vikukzeH tu nimeH vaMSam niboGata /
   yo 'sau niveśayāmāsa puraṃ devapuropamam // BndP_2,64.1 //	yaH asO niveSayAmAsa puram deva pura upamam // Bndu _2,64.1 //
   jayantamiti vikhyātaṃ gautamasyāśramāntikam /	jayantam iti viKyAtam gOtamasya ASrama antikam /
   yasyānvavāye jajñe vai janako nṛpasattamaḥ // BndP_2,64.2 //	yasya anvavAye jajQe vE janakaH nRpa sattamaH // Bndu _2,64.2 //
   nimirnāma sudharmātmā sarvasattvanamaskṛtaḥ /	nimiH nAma suDarma AtmA sarva sattva namaskRtaH /
   āsītputro mahārāja caikṣvākorbhūritejasaḥ // BndP_2,64.3 //	AsIt putraH mahA rAja ca EkzvAkoH BUri tejasaH // Bndu _2,64.3 //
   sa śāpena vasiṣṭhasyavidehaḥ samapadyata /	sa SApena vasizWasya videhaH samapadyata /
   tasya putro mithirnāma janitaḥ parvabhistribhiḥ // BndP_2,64.4 //	tasya putraH miTiH nAma janitaH parvaBiH triBiH // Bndu _2,64.4 //
   araṇyāṃ mathyamānāyā prādurbhūto mahāyaśāḥ /	araNyAm maTyamAnAyAH prAdurBUtaH mahA yaSAH /
   nāmnā mithiriti khyāto jananājjanako 'bhavat // BndP_2,64.5 //	nAmnA miTiH iti KyAtaH jananAt janakaH aBavat // Bndu _2,64.5 //
   mithirnāma mahāvīryo yenāsau mithilābhavat /	miTiH nAma mahA vIryaH yena asO miTilA aBavat /
   rājāsau nāma janako janakāccā pyudāvasuḥ // BndP_2,64.6 //	rAjA asO nAma janakaH janakAt cA pyudAvasuH // Bndu _2,64.6 //
   udāvasostu dharmātmā jāto 'sau nandivarddhanaḥ /	udAvasoH tu Darma AtmA jAtaH asO nandivardDanaH /
   nandivardhanataḥ śūraḥ suketurnāma dhārmikaḥ // BndP_2,64.7 //	nandivarDanataH SUraH suketuH nAma DArmikaH // Bndu _2,64.7 //
   suketorapi dharmātmā devarāto mahābalaḥ /	suketoH api Darma AtmA devarAtaH mahA balaH /
   devarātasya dharmātmā bṛhaduktha iti śrutaḥ // BndP_2,64.8 //	devarAtasya Darma AtmA bRhadukTaH iti SrutaH // Bndu _2,64.8 //
   bṛhadukthasya tanayo mahāvīryaḥ pratāpavān /	bRhadukTasya tanayaH mahA vIryaH pratApavAn /
   mahāvīryasya dhṛtimān sudhṛti stasya cātmajaḥ // BndP_2,64.9 //	mahA vIryasya DRtimAn suDRti stasya ca AtmajaH // Bndu _2,64.9 //
   sudhṛterapi dharmātmā dhṛṣṭaketuḥ parantapaḥ /	suDRteH api Darma AtmA DRzwaketuH parantapaH /
   dhṛṣṭaketusutaścāpi haryaśvo nāma viśrutaḥ // BndP_2,64.10 //	DRzwaketu sutaH ca api haryaSvaH nAma viSrutaH // Bndu _2,64.10 //
   haryaśvasya maruḥ putro maroḥ putraḥ pratiṃbakaḥ /	haryaSvasya maruH putraH maroH putraH pratiMbakaH /
   pratiṃbakasya dharmātmā rājā kīrttirathaḥ smṛtaḥ // BndP_2,64.11 //	pratiMbakasya Darma AtmA rAjA kIrttiraTaH smRtaH // Bndu _2,64.11 //
   putraḥ kīrttirathasyāpi devamīḍha iti śrutaḥ /	putraH kIrttiraTasya api devamIXaH iti SrutaH /
   devamīḍhasya vibudho vibudhasya mahādhṛtiḥ // BndP_2,64.12 //	devamIXasya vibuDaH vibuDasya mahADRtiH // Bndu _2,64.12 //
   mahādhṛtisuto rājā kīrttirātaḥ pratāpavān /	mahADRti sutaH rAjA kIrttiH AtaH pratApavAn /
   kīrtirātātmajo vidvān mahārometi viśrutaḥ // BndP_2,64.13 //	kIrtirAtAtmajaH vidvAn mahAroma iti viSrutaH // Bndu _2,64.13 //
   mahāromṇastu vikhyātaḥ svarṇaromā vyajāyata /	mahAromNaH tu viKyAtaH svarNa romA vyajAyata /
   svarṇaromātmajaścāpi hrasvaromābhavannṛpaḥ // BndP_2,64.14 //	svarNa roma AtmajaH ca api hrasvaromA Bavat nRpaH // Bndu _2,64.14 //
   hrasvaromānmajo vidvān sariddhvaja iti śrutaḥ /	hrasva romAn majaH vidvAn sarit DvajaH iti SrutaH /
   udbhinnā karṣatā yena sītā rājñā yaśasvinī // BndP_2,64.15 //	udBinnA karzatA yena sItA rAjQA yaSasvinI // Bndu _2,64.15 //
   rāmasya mahidhī sādhvī suvratā niyatavratā /	rAmasya mahiDI sADvI suvratA niyata vratA /
   vaiśaṃpāyana uvāca	vESaMpAyanaH uvAca
   kathaṃ sītā samutpanna kṛṣyamāṇa yaśasvinī // BndP_2,64.16 //	kaTam sItA samutpanna kRzyamANa yaSasvinI // Bndu _2,64.16 //
   kimarthaṃ vākṛṣadrājā kṣetraṃ yasmin babhūva ha /	kimarTam vA akRzat rAjA kzetram yasmin baBUva ha /
   sūta uvāca	sUtaH uvAca
   agnikṣetre kṛṣyamāṇe aśvamedhe mahātmanaḥ // BndP_2,64.17 //	agni kzetre kRzyamANe aSvameDe mahAtmanaH // Bndu _2,64.17 //
   vidhinā suprayatnena tasmātsā tu samutthitā /	viDinA su prayatnena tasmAt sA tu samutTitA /
   sīradhvajānujātastu bhānumānnāma maithilaḥ // BndP_2,64.18 //	sIraDvaja anujAtaH tu BAnumAn nAma mETilaH // Bndu _2,64.18 //
   bhrātā kuśadhvajastasya sa kāśyadhipatirnṛpaḥ /	BrAtA kuSaDvajaH tasya sa kASyaDipatiH nRpaH /
   tasya bhānumataḥ putraḥ pradyumnaśca patāpavān // BndP_2,64.19 //	tasya BAnumataH putraH pradyumnaH ca patApavAn // Bndu _2,64.19 //
   munistasya sutaścāpi tasmādūrjavahaḥ smṛtaḥ /	muniH tasya sutaH ca api tasmAt UrjavahaH smRtaH /
   ūrjavahātsanadvājaḥ śakunistasya cātmajaḥ // BndP_2,64.20 //	Urja vahAt sanadvAjaH SakuniH tasya ca AtmajaH // Bndu _2,64.20 //
   svāgataḥ śakuneḥ putraḥ suvarcāstatsutaḥ smṛtaḥ /	svAgataH SakuneH putraH suvarcAH tad sutaH smRtaH /
   sutopastasya dāyādaḥ suśrutastasya cātmajaḥ // BndP_2,64.21 //	sutA upaH tasya dAyAdaH suSrutaH tasya ca AtmajaH // Bndu _2,64.21 //
   suśrutasya jayaḥ putro jayasya vijayaḥ sutaḥ /	suSrutasya jayaH putraH jayasya vijayaH sutaH /
   vijayasya kratuḥ putra  kratośca sunayaḥ smataḥ // BndP_2,64.22 //	vijayasya kratuH putra kratoH ca sunayaH smataH // Bndu _2,64.22 //
   sunayādvītahavyastu vītahavyātmajo dhṛtiḥ /	sunayAt vItahavyaH tu vItahavyAtmajaH DRtiH /
   dhṛtestu bahulāśvo 'bhūdbahulāśvasutaḥ kṛtiḥ // BndP_2,64.23 //	DRteH tu bahulASvaH aBUt bahulASva sutaH kRtiH // Bndu _2,64.23 //
   tasminsaṃtiṣṭhate vaṃśo canakānāṃ mahātmanām /	tasmin saMtizWate vaMSaH canakAnAm mahAtmanAm /
   ityete maithilāḥ proktāḥ somasyāpi nibodhata // BndP_2,64.24 //	iti ete mETilAH proktAH somasya api niboData // Bndu _2,64.24 //
   eti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyamabhāge tṛtīye upoddhātapāde	eti SrI brahmANxe mahApurANe vAyu prokte maDyama BAge tRtIye upodDa AtapAde
   nimivaṃśānukīrtanaṃ nāma catuḥṣaṣṭitamo 'dhyāyaḥ // 64//	nimivaMSAnukIrtanam nAma catuHzazwitamaH aDyAyaH // 64//
   sūta uvāca	sUtaH uvAca
   pitā somasya vai viprā jajñe 'trirbhagavānṛṣiḥ /	pitA somasya vE viprAH jajQe atriH BagavAn RziH /
   tatrātriḥ sarvalokānāṃ tasthau svenaujasā vṛtaḥ // BndP_2,65.1 //	tatra atriH sarva lokAnAm tasTO svena ojasA vRtaH // Bndu _2,65.1 //
   karmaṇā manasā vācā śubhānyeva samācaran /	karmaNA manasA vAcA SuBAni eva samAcaran /
   kāṣṭhakuḍyaśilābhūta ūrddhvabāhurmahādyutiḥ // BndP_2,65.2 //	kAzWa kuxya SilA BUtaH UrdDva bAhuH mahA dyutiH // Bndu _2,65.2 //
   suduścaraṃ nāma tapo yena taptaṃ mahātpurā /	suduScaram nAma tapaH yena taptam mahAt purA /
   trīṇi varṣasahasrāṇi divyānīti hi naḥ śrutam // BndP_2,65.3 //	trINi varza sahasrANi divyAni iti hi naH Srutam // Bndu _2,65.3 //
   tasyorddhvaretasastatra sthitasyānimiṣasya ha /	tasya UrdDvaretasaH tatra sTitasya animizasya ha /
   somatvaṃ tanurāpede mahābuddhiḥ sa vai dvijaḥ // BndP_2,65.4 //	soma tvam tanuH Apede mahA budDiH sa vE dvijaH // Bndu _2,65.4 //
   ūrddhvamācakrame tasya somatvaṃ bhāvitātmanaḥ /	UrdDvam Acakrame tasya soma tvam BAvitAtmanaH /
   netrābhyā masravatsomo daśadhā dyotayan diśaḥ // BndP_2,65.5 //	netrAByAH masra vat somaH daSaDA dyotayan diSaH // Bndu _2,65.5 //
   taṃ garbhaṃ vidhinā hṛṣṭā daśa devyo dadhustadā /	tam garBam viDinA hRzwAH daSa devyaH daDuH tadA /
   sametya dhārayāmāsurna ca tāḥ samaśaknuvan // BndP_2,65.6 //	sametya DArayAmAsuH na ca tAH sama Saknuvan // Bndu _2,65.6 //
   sa tābhyaḥ sahasaivātha digbhyo garbhaḥ prasādhitaḥ /	sa tAByaH sahasA eva aTa digByaH garBaH prasADitaH /
   papāta bhāsayaṃllokāñchītāṃśuḥ sarvabhāvanaḥ // BndP_2,65.7 //	papAta BAsayan= lokAn SItAMSuH sarva BAvanaH // Bndu _2,65.7 //
   yadā na dhāraṇe śaktāstasya garbhasya tāḥ striyaḥ /	yadA na DAraNe SaktAH tasya garBasya tAH striyaH /
   tataḥ sahābhiḥ śītāṃśurnipapāta vasuṃdharām // BndP_2,65.8 //	tatas sahABiH SItAMSuH nipapAta vasuMDarAm // Bndu _2,65.8 //
   patantaṃ somamālokya brahmā lokapitāmahaḥ /	patantam somam Alokya brahmA lokapitAmahaH /
   rathamāropayāmāsa lokānāṃ hitakāmyayā // BndP_2,65.9 //	raTam AropayAmAsa lokAnAm hita kAmyayA // Bndu _2,65.9 //
   sa hi vedamayo viprā dharmātmā satyasaṃgaraḥ /	sa hi veda mayaH viprAH Darma AtmA satya saMgaraH /
   yukte vājisahasreṇa rathe 'dhyāsteti naḥśrutam // BndP_2,65.10 //	yukte vAji sahasreNa raTe aDyAsta iti naH Srutam // Bndu _2,65.10 //
   tasminnipatite devāḥ putre 'treḥ paramātmanaḥ /	tasmin nipatite devAH putre atreH paramAtmanaH /
   tuṣṭuvurbrahmaṇaḥ putrā mānasāḥ sapta viśrutāḥ // BndP_2,65.11 //	tuzwuvuH brahmaNaH putrAH mAnasAH sapta viSrutAH // Bndu _2,65.11 //
   tatraivāṅgirasāstasya bhṛgoścaivātmajāstathā /	tatra eva aFgirasAH tasya BRgoH ca eva AtmajAH taTA /
   ṛgbhiryajurbhirbahubhiratharvāṅgirasairapi // BndP_2,65.12 //	RgBiH yajurBiH bahuBiH aTarva AFgirasEH api // Bndu _2,65.12 //
   tataḥ saṃstūyamānasya tejaḥ somasya bhāsvataḥ /	tatas saMstUyamAnasya tejaH somasya BAsvataH /
   āpyāyamānaṃ lokāṃstrīnbhāvayāmāsa sarvaśaḥ // BndP_2,65.13 //	ApyAyamAnam lokAn= trIn BAvayAmAsa sarvaSas // Bndu _2,65.13 //
   sa tena rathamukhyena sāgarāntāṃ vasuṃdharām /	sa tena raTa muKyena sAgara antAm vasuMDarAm /
   triḥsaptakṛtvo 'tiyaśāścakārābhipradakṣiṇam // BndP_2,65.14 //	tris sapta kRtvas atiyaSAH cakAra aBipradakziNam // Bndu _2,65.14 //
   tasya yadvarddhitaṃ tejaḥ pṛthivīmanvapadyata /	tasya yat vardDitam tejaH pRTivIm anvapadyate /
   oṣadhyastāḥ samudbhūtāstejasā khaṃ jvalatyuta // BndP_2,65.15 //	ozaDyaH tAH samudBUtAH tejasA Kam jvalati uta // Bndu _2,65.15 //
   tābhiḥ puṇyātyayaṃ lokānprajāścāpi caturvidhāḥ /	tABiH puNya atyayam lokAn prajAH ca api caturviDAH /
   poṣṭā hi bhagavānsomo jagato hi dvijottamāḥ // BndP_2,65.16 //	pozwA hi BagavAn somaH jagataH hi dvijottamAH // Bndu _2,65.16 //
   sa labdhatejāstapasā saṃstavaistaiḥ svakarmabhiḥ /	sa labDa tejAH tapasA saMstavEH tEH sva karmaBiH /
   tavastepe mahābhāgaḥ samānāṃ navatīrdaśa // BndP_2,65.17 //	tavaH tepe mahABAgaH samAnAm navatIH daSa // Bndu _2,65.17 //
   iraṇyavarṇā yā devyo dhārayantyātmanā jagat /	iraNya varNAH yAH devyaH DArayanti AtmanA jagat /
   vibhustāsāṃ mudā somaḥ prakhyātaḥsvena karmaṇā // BndP_2,65.18 //	viBuH tAsAm mudA somaH praKyAtaHsvena karmaNA // Bndu _2,65.18 //
   tatastasmai dadau rājyaṃ brahmā brahmavidāṃ varaḥ /	tatas tasmE dadO rAjyam brahmA brahma vidAm varaH /
   bījauṣadhīnāṃ viprāṇāmapāṃ ca dvijasattamāḥ // BndP_2,65.19 //	bIja ozaDInAm viprANAm apAm ca dvijasattamAH // Bndu _2,65.19 //
   so 'bhiṣikto mahātejā mahārājyena rājarāṭ /	saH aBiziktaH mahA tejAH mahA rAjyena rAja rAj /
   lokānvai bhāvayāmāsa tejasvī tapatāṃ varaḥ // BndP_2,65.20 //	lokAn vE BAvayAmAsa tejasvI tapatAm varaH // Bndu _2,65.20 //
   saptaviṃśatirindostu dākṣāyaṇyo mahāvratāḥ /	saptaviMSatiH indoH tu dAkzAyaNyaH mahA vratAH /
   dadau prācetaso dakṣo nakṣatrāṇīti yā viduḥ // BndP_2,65.21 //	dadO prAcetasaH dakzaH nakzatrANi iti yAH viduH // Bndu _2,65.21 //
   sa tatprāpya mahādrājyaṃ somaḥ somavatāṃ prabhuḥ /	sa tat prApya mahAdrAjyam somaH somavatAm praBuH /
   samārebhe rājasūyaṃ sahasraśatadakṣiṇam // BndP_2,65.22 //	samAreBe rAjasUyam sahasra Sata dakziNam // Bndu _2,65.22 //
   hiraṇyagarbhaścodgātā brahmā brahmatvamīyivān /	hiraNyagarBaH ca udgAtA brahmA brahmatvam IyivAn /
   sadasyastatra bhagavānharirnārāyaṇaḥ prabhuḥ // BndP_2,65.23 //	sadasyaH tatra BagavAn hariH nArAyaNaH praBuH // Bndu _2,65.23 //
   sanatkumārapramukhairādyairbrahmarṣibhirvṛtaḥ // BndP_2,65.24 //	sanatkumAra pramuKEH AdyEH brahmarziBiH vRtaH // Bndu _2,65.24 //
   dakṣiṇāmadadātsomastrīṃllokāniti naḥ śrutam /	dakziNA madadAt somaH trIn= lokAn iti naH Srutam /
   tebhyo brahmarṣimukhyebhyaḥ sadasyebhyaśca vai dvijāḥ // BndP_2,65.25 //	teByaH brahmarzi muKyeByaH sadasyeByaH ca vE dvijAH // Bndu _2,65.25 //
   taṃ sinī ca kuhūścaiva vapuḥ puṣṭiḥ prabhā vasuḥ /	tam sinI ca kuhUH ca eva vapuH puzwiH praBA vasuH /
   kīrttirdhṛtiśca lakṣmīśca nava devyaḥ siṣevire // BndP_2,65.26 //	kIrttiH DRtiH ca lakzmIH ca nava devyaH sizevire // Bndu _2,65.26 //
   prāpyāvabhṛthamavyagraḥ sarvadevarṣipūjitaḥ /	prApya avaBRTam avyagraH sarva deva Rzi pUjitaH /
   atireje hi rājendro daśadhā bhāsayandiśaḥ // BndP_2,65.27 //	ati reje hi rAja indraH daSaDA BAsayan diSaH // Bndu _2,65.27 //
   tasya tatprāpya duṣprāpamaiśvaryamṛṣisaṃstutam /	tasya tat prApya duzprApam ESvaryam Rzi saMstutam /
   vibabhrāma matirviprā vinayādanayāvṛtā // BndP_2,65.28 //	vibaBrAma matiH viprAH vinayAt anayA AvRtAH // Bndu _2,65.28 //
   bṛhaspateḥ savai bhāryāṃ tārāṃ nāma yaśasvinīm /	bRhaspateH sa vE BAryAm tArAm nAma yaSasvinIm /
   jahāra sahasā sarvānavamatyāṅgiraḥsutān // BndP_2,65.29 //	jahAra sahasA sarva anavamatyAFgiraH sutAn // Bndu _2,65.29 //
   sa yācyamāno devaiśca tathā devarṣibhiśca ha /	sa yAcyamAnaH devEH ca taTA devarziBiH ca ha /
   naiva vyasarjayattārāṃ tasmā aṅgirase tadā // BndP_2,65.30 //	na eva vyasarjayat tArAm tasmE aFgirase tadA // Bndu _2,65.30 //
   uśanāstasya jagrāha pārṣṇimaṅgiraso bhavaḥ /	uSanAH tasya jagrAha pArzNim aFgirasaH BavaH /
   sa hi śiṣyo mahātejāḥ pituḥ pūrvaṃ bṛhaspateḥ // BndP_2,65.31 //	sa hi SizyaH mahA tejAH pituH pUrvam bRhaspateH // Bndu _2,65.31 //
   tena snehena bhagavānrudrastasya bṛhaspateḥ /	tena snehena BagavAn rudraH tasya bRhaspateH /
