   akriyāpi kriyā tathā SRtp_192b	akriyA-api kriyA taTA SRtp_192b
   yathaikā savituḥ śaktir SRtp_191a	yaTA-ekA savituH SaktiH SRtp_191a
   yathoktakramabhāvinām SRtp_311b	yaTA-ukta-krama-BAvinAm SRtp_311b
   yathodadhiruparyeva SRtp_177c	yaTA-udaDiH-upari-eva SRtp_177c
   yadasiddhau na kiñcana SRtp_201d	yat-asidDO na kiQcana SRtp_201d
   yadāghrātaḥ śivecchayā SRtp_317b	yat-AGrAtaH Siva-icCayA SRtp_317b
   yadāvṛttiraśeṣeṇa SRtp_83c	yadAvRttiH-aSezeNa SRtp_83c
   yadupādhervicitrā ca SRtp_54a	yat-upADeH-vicitrA ca SRtp_54a
   yadyadutpadyate vastu SRtp_34c	yat-yat-utpadyate vastu SRtp_34c
   yadyadvayeyaṃ saṃvittiḥ SRtp_214a	yadi-advayA-iyam saMvittiH SRtp_214a
   yadyadvayeyaṃ saṃvittiḥ SRtp_221c	yadi-advayA-iyam saMvittiH SRtp_221c
   yad yasyāḥ kāryamāmnāya- SRtp_192c	yat yasyAH kAryam-AmnAya SRtp_192c
   yad viśeṣaṇavijñānaṃ SRtp_209c	yat viSezaNa-vijQAnam SRtp_209c
   yayā vyāpakaśuddhyaiva SRtp_166a	yayA vyApaka-SudDyA-eva SRtp_166a
   yayā sarve 'pi pudgalāḥ SRtp_167b	yayA sarve api pudgalAH SRtp_167b
   yastvenaṃ manyate mohāj SRtp_138a	yaH-tu-enam manyate mohAt SRtp_138a
   yasyāṃ dṛṣṭasvarūpāyām SRtp_77c	yasyAm dRzwa-svarUpAyAm SRtp_77c
   yaḥ kāle nānyathodayaḥ SRtp_297b	yaH kAle na-anyaTA-udayaH SRtp_297b
   yaḥ śabdānugamādṛte SRtp_84d	yaH Sabda-anugamAt-Rte SRtp_84d
   yā taysa vimalā śaktiḥ SRtp_273a	yA taysa vimalA SaktiH SRtp_273a
   yāni yasyendriyāṇāsan SRtp_250a	yAni yasya-indriyANa-Asan SRtp_250a
   yā parigrahavartinī SRtp_166d	yA parigraha-vartinI SRtp_166d
   yābhirvyāptāstridhāṇavaḥ SRtp_72b	yABiH-vyAptAH-triDANavaH SRtp_72b
   yābhivyāpto 'dhvapañcakam SRtp_87b	yA-aBivyAptaH aDva-paQcakam SRtp_87b
   yuktipratyakṣabādhitā SRtp_300b	yukti-pratyakza-bADitA SRtp_300b
   yukto 'nantaḥ kulālavat SRtp_152d	yuktaH anantaH kulAla-vat SRtp_152d
   yūpa ityevamādayaḥ SRtp_224b	yUpaH iti-evamAdayaH SRtp_224b
   yena yad vyāpyate vastu SRtp_124c	yena yat vyApyate vastu SRtp_124c
   yeṣāṃ māyā mate 'nityā SRtp_160a	yezAm mAyA mate anityA SRtp_160a
   yogāśca vividhāḥ karma SRtp_7c	yogAH-ca viviDAH karma SRtp_7c
   yo yadā vartate bhāvo SRtp_261a	yaH yadA vartate BAvaH SRtp_261a
   rajjūdāharaṇaṃ śiṣya- SRtp_231c	rajju-udAharaNam Sizya SRtp_231c
   rañjanātsarvatattveṣu SRtp_4a	raQjanAt-sarva-tattvezu SRtp_4a
   ratnatrayaparīkṣārthaḥ SRtp_322e	ratnatraya-parIkzA-arTaH SRtp_322e
   ratnatrayaparīkṣeyaṃ SRtp_322a	ratnatraya-parIkzA-iyam SRtp_322a
   ratnatrayaṃ samāśritya SRtp_6a	ratnatrayam samASritya SRtp_6a
   ratnāni vāṅmayaiḥ sūtrair SRtp_3a	ratnAni vAc-mayEH sUtrEH SRtp_3a
   ratnānīṣṭavidhānācca SRtp_5c	ratnAni-izwa-viDAnAt-ca SRtp_5c
   rasanaḥ svādu tarkayan SRtp_235b	rasanaH svAdu tarkayan SRtp_235b
   rahitā sarvabandhanaiḥ SRtp_185d	rahitA sarva-banDanEH SRtp_185d
   rāgādebhyo 'dhikārayoḥ SRtp_4b	rAgAt-eByaH aDikArayoH SRtp_4b
   rāgo niyatisaṃyutaḥ SRtp_104d	rAgaH niyati-saMyutaH SRtp_104d
   rāmakaṇṭhakṛtāloka- SRtp_321c	rAma-kaNWa-kRta-Aloka SRtp_321c
   rudrāṇāṃ śatasaṃkhyānāṃ SRtp_92c	rudrANAm Sata-saMKyAnAm SRtp_92c
   rudro 'tra kāraṇaṃ mantro SRtp_107a	rudraH atra kAraNam mantraH SRtp_107a
   rūpamātramasau bhavet SRtp_295b	rUpa-mAtram-asO Bavet SRtp_295b
   rūpamāhurvipaścitaḥ SRtp_292b	rUpam-AhuH-vipaScitaH SRtp_292b
   rūpamīśasya yujyate SRtp_294d	rUpam-ISasya yujyate SRtp_294d
   rūpaṃ yenopajāyate SRtp_226d	rUpam yena-upajAyate SRtp_226d
   rūpiṇīvānubhūyate SRtp_242d	rUpiNI-iva-anuBUyate SRtp_242d
   lakṣayet tasya śāstrataḥ SRtp_17b	lakzayet tasya SAstrataH SRtp_17b
   layabhogādhikāravān SRtp_182b	laya-Boga-aDikAravAn SRtp_182b
   layabhogādhikāriṇām SRtp_287d	laya-Boga-aDikAriNAm SRtp_287d
   layabhogādhikāriṇī SRtp_181b	laya-Boga-aDikAriNI SRtp_181b
   layabhogādhikāreṣu SRtp_283c	laya-Boga-aDikArezu SRtp_283c
   layo 'tikrāntabindukaḥ SRtp_180b	layaH atikrAnta-bindukaH SRtp_180b
   laharī yadi notkṣipet SRtp_15d	laharI yadi na-utkzipet SRtp_15d
   lābhasthitinibandhanam SRtp_121b	lABa-sTiti-nibanDanam SRtp_121b
   lokābhyāmavadhāritam SRtp_192d	lokAByAm-avaDAritam SRtp_192d
   vakṣyate śaktinirṇaye SRtp_143b	vakzyate Sakti-nirNaye SRtp_143b
   varṇādhvā ca padātmakaḥ SRtp_87d	varNa-aDvA ca pada-AtmakaH SRtp_87d
   varṇā visargapūrvā ye SRtp_115c	varNAH visarga-pUrvAH ye SRtp_115c
   varṇāḥ sapta vilomataḥ SRtp_106b	varNAH sapta vilomataH SRtp_106b
   varṇyate parameṣṭhinā SRtp_6d	varNyate paramezWinA SRtp_6d
   vartate tattvasaṃhatiḥ SRtp_6b	vartate tattva-saMhatiH SRtp_6b
   vartate madhyamāhvayā SRtp_75d	vartate maDyamAhvayA SRtp_75d
   vartate yatra līyate SRtp_22b	vartate yatra lIyate SRtp_22b
   vartamānā paśuṣveva SRtp_168a	vartamAnA paSuzu-eva SRtp_168a
   vartamānā hi dṛśyante SRtp_223c	vartamAnAH hi dRSyante SRtp_223c
   vaśādekaiva pañcadhā SRtp_270b	vaSAt-ekA-eva paQcaDA SRtp_270b
   vastuto 'stīti kecana SRtp_299b	vastutas asti-iti kecana SRtp_299b
   vastuni syāt tamaḥkṛtam SRtp_258b	vastuni syAt tamaH-kRtam SRtp_258b
   vastuno nirvikalpakam SRtp_226b	vastunaH nirvikalpakam SRtp_226b
   vastumātrātilālasā SRtp_186b	vastu-mAtra-ati-lAlasA SRtp_186b
   vastu loko vijānāti SRtp_66a	vastu lokaH vijAnAti SRtp_66a
   vāgevātmeti ca śruteḥ SRtp_82b	vAc-eva-AtmA-iti ca SruteH SRtp_82b
   vācyamantrātmako mataḥ SRtp_104b	vAcya-mantra-AtmakaH mataH SRtp_104b
   vāmadevo hyadhiṣṭhātā SRtp_104a	vAmadevaH hi-aDizWAtA SRtp_104a
   vāmādīni yathottaram SRtp_25d	vAma-AdIni yaTottaram SRtp_25d
   vikaroti tathākhilam SRtp_178d	vikaroti taTA-aKilam SRtp_178d
   vikaroti yathā lolaiḥ SRtp_189c	vikaroti yaTA lolEH SRtp_189c
   vikaroti vicitrābhir SRtp_188a	vikaroti vicitrABiH SRtp_188a
   vikarotyanileraṇāt SRtp_177d	vikaroti-anila-IraNAt SRtp_177d
   vikalpamavalokayan SRtp_65d	vikalpam-avalokayan SRtp_65d
   vikalpaviṣayāvapi SRtp_211d	vikalpa-vizayO=-api SRtp_211d
   vikalpo bindusaṃkṣobhāc SRtp_259a	vikalpaH bindu-saMkzoBAt SRtp_259a
   vikārarahito mataḥ SRtp_51d	vikAra-rahitaH mataH SRtp_51d
   vikārānavikāriṇī SRtp_244d	vikArAn-avikAriNI SRtp_244d
   vikāritvādyathā kumbhas SRtp_33a	vikAri-tvAt-yaTA kumBaH SRtp_33a
   vikāritve jaḍānitya- SRtp_52a	vikAri-tve jaxa-anitya SRtp_52a
   vikāsātmīyaśaktayaḥ SRtp_27d	vikAsa-AtmIya-SaktayaH SRtp_27d
   vicārāllūnamūlatvād SRtp_205c	vicArAt-lUna-mUla-tvAt SRtp_205c
   vicitrapariṇāmataḥ SRtp_38b	vicitra-pariNAmataH SRtp_38b
   vicitraiḥ pariṇāmaistair SRtp_123c	vicitrEH pariNAmEH-tEH SRtp_123c
   vijānāti karoti ca SRtp_120b	vijAnAti karoti ca SRtp_120b
   vijñānakevalāstredhā SRtp_141c	vijQAna-kevalAH-treDA SRtp_141c
   vijñānaṃ śivasaṃjñitam SRtp_291d	vijQAnam Siva-saMjQitam SRtp_291d
   vijñānādi karoti yat SRtp_275b	vijQAna-Adi karoti yat SRtp_275b
   vijñānendukalānvitaḥ SRtp_281b	vijQAna-indu-kala-anvitaH SRtp_281b
   vijñeyāḥ saptaviṃśatiḥ SRtp_105d	vijQeyAH saptaviMSatiH SRtp_105d
   vijñeyo vaṭayakṣavat SRtp_207d	vijQeyaH vawa-yakza-vat SRtp_207d
   vidadhad vividhānalpa- SRtp_135a	vidaDat viviDAn-alpa SRtp_135a
   vidadhāti śivaḥ śakter SRtp_132c	vidaDAti SivaH SakteH SRtp_132c
   vidadhāti śiveritaḥ SRtp_123d	vidaDAti Siva-IritaH SRtp_123d
   vidadhātyakhilaṃ citiḥ SRtp_122b	vidaDAti-aKilam citiH SRtp_122b
   viduṣāmapi nīloṣṇa- SRtp_236c	viduzAm-api nIla-uzNa SRtp_236c
   viddhavijñānapūrvakam SRtp_66d	vidDa-vijQAna-pUrvakam SRtp_66d
   vidyā kalā ca kālaśca SRtp_105a	vidyA kalA ca kAlaH-ca SRtp_105a
   vidyājñānātiriktayoḥ SRtp_130d	vidyA-jQAna-atiriktayoH SRtp_130d
   vidyāyāṃ sapta puruṣo SRtp_104c	vidyAyAm sapta puruzaH SRtp_104c
   vidyāvidyādhipatayaḥ SRtp_24a	vidyA-vidyA-aDipatayaH SRtp_24a
   vidyāvidyeśvarātmanām SRtp_158b	vidyA-avidyeSvara-AtmanAm SRtp_158b
   vidyāśaktiḥ parā nādo SRtp_71a	vidyA-SaktiH parA nAdaH SRtp_71a
   vidyāśarīro bhagavān SRtp_47c	vidyA-SarIraH BagavAn SRtp_47c
   vidyā śāntiśca pañcamī SRtp_86d	vidyA SAntiH-ca paQcamI SRtp_86d
   vidyeśāḥ śivatejasaḥ SRtp_26d	vidyeSAH Siva-tejasaH SRtp_26d
   vidyeśvaraniyojyāste SRtp_25a	vidyeSvara-niyojyAH-te SRtp_25a
   vidhātā kamalasyoṣṇa- SRtp_312a	viDAtA kamalasya-uzNa SRtp_312a
   vināśotpattimattvābhyāṃ SRtp_34a	vinASa-utpattimat-tvAByAm SRtp_34a
   vipulāpi pragalbhate SRtp_17d	vipulA-api pragalBate SRtp_17d
   vibhinnā śaktiriṣyate SRtp_303d	viBinnA SaktiH-izyate SRtp_303d
   vibhūterīśvarasya yat SRtp_293d	viBUteH-ISvarasya yat SRtp_293d
   vimukte cāṇave male SRtp_254d	vimukte ca-aNave male SRtp_254d
   vimucyerannṛte bindos SRtp_142a	vimucyerannRte bindoH SRtp_142a
   virodhenātha paryāyān SRtp_296c	viroDena-aTa paryAyAn SRtp_296c
   vilīnā cittasaṃśrayā SRtp_83d	vilInA citta-saMSrayA SRtp_83d
   vivartabhidurodayā SRtp_184b	vivartaBi-durodayA SRtp_184b
   vivartabhedo yujyerann SRtp_248c	vivarta-BedaH yujyeran SRtp_248c
   vivartamānā jāteti SRtp_237c	vivartamAnA jAtA-iti SRtp_237c
   vivartamānā tairbhāvair SRtp_232c	vivartamAnA tEH-BAvEH SRtp_232c
   vivartaḥ khalu cicchakter SRtp_242a	vivartaH Kalu cit-CakteH SRtp_242a
   vivartaḥ syāt kathaṃ citeḥ SRtp_240d	vivartaH syAt kaTam citeH SRtp_240d
   vivartollāsaśālinīm SRtp_203b	vivartA-ullAsa-SAlinIm SRtp_203b
   vividhopādhisambandha- SRtp_184a	viviDa-upADi-sambanDa SRtp_184a
   viśiṣṭaṃ kathayet katham SRtp_221b	viSizwam kaTayet kaTam SRtp_221b
   viśiṣṭe paramodāra- SRtp_146a	viSizwe parama-udAra SRtp_146a
   viśiṣṭairjaḍavastubhiḥ SRtp_248b	viSizwEH-jaxa-vastuBiH SRtp_248b
   viśiṣṭaiva vivartāya SRtp_251a	viSizwA-eva vivartAya SRtp_251a
   viśuddhatvādataḥ siddhaḥ SRtp_149a	viSudDa-tvAt-atas sidDaH SRtp_149a
   viśuddhamanumīyate SRtp_174b	viSudDam-anumIyate SRtp_174b
   viśuddhasyādhvanaḥ siddhir SRtp_159c	viSudDasya-aDvanaH sidDiH SRtp_159c
   viśuddhaḥ śivakartṛkaḥ SRtp_32b	viSudDaH Siva-kartRkaH SRtp_32b
   viśuddhaḥ śivaśāsane SRtp_153d	viSudDaH Siva-SAsane SRtp_153d
   viśuddhiritarāśrayā SRtp_166b	viSudDiH-itara-ASrayA SRtp_166b
   viśeṣasmṛtipūrvakam SRtp_227b	viSeza-smRti-pUrvakam SRtp_227b
   viśeṣasyaiva sannidhau SRtp_187b	viSezasya-eva sanniDO SRtp_187b
   viśeṣānupalabdhitaḥ SRtp_232b	viSeza-anupalabDitaH SRtp_232b
   viśeṣānnityarūpayā SRtp_187d	viSezAt-nitya-rUpayA SRtp_187d
   viśeṣaikasvarūpiṇī SRtp_194d	viSeza-eka-svarUpiNI SRtp_194d
   viṣayaṃ sā tu darśayet SRtp_256b	vizayam sA tu darSayet SRtp_256b
   viṣṇuḥ kāraṇamucyate SRtp_101d	vizNuH kAraNam-ucyate SRtp_101d
   vistaro 'traiva vakṣyate SRtp_49d	vistaraH atra-eva vakzyate SRtp_49d
   viṃśatistatra saṃkhyayā SRtp_101b	viMSatiH-tatra saMKyayA SRtp_101b
   vīrabhadrasya copari SRtp_92d	vIraBadrasya ca-upari SRtp_92d
   vṛttayo bandhanātmikāḥ SRtp_81b	vRttayaH banDana-AtmikAH SRtp_81b
   vṛttibhiḥ sthagayanniva SRtp_188b	vRttiBiH sTagayan=-iva SRtp_188b
   vṛttimatsvanyathā bhavet SRtp_65b	vRttimatsu-anyaTA Bavet SRtp_65b
   vṛttireva matā bindoḥ SRtp_68a	vRttiH-eva matAH bindoH SRtp_68a
   vedāntaiśca kulāmnāyais SRtp_14a	vedAntEH-ca kulAmnAyEH SRtp_14a
   vaikharī madhyamābhikhyā SRtp_72c	vEKarI maDyama-aBiKyA SRtp_72c
   vaikharī śrotraje bodhe SRtp_82c	vEKarI Srotra-je boDe SRtp_82c
   vaikharyādivibhedataḥ SRtp_46d	vEKarya-Adi-viBedataH SRtp_46d
   vaicitryamapi bhogasya SRtp_55a	vEcitryam-api Bogasya SRtp_55a
   vaicitryaṃ candanādayaḥ SRtp_55d	vEcitryam candana-AdayaH SRtp_55d
   vyabhicāravivarjitam SRtp_227d	vyaBicAra-vivarjitam SRtp_227d
   vyavahārastu bhedātmā SRtp_207c	vyavahAraH-tu Beda-AtmA SRtp_207c
   vyāpako bhuvanādīnām SRtp_118c	vyApakaH Buvana-AdInAm SRtp_118c
   vyāptatvānnādabinduvat SRtp_126b	vyApta-tvAt-nAdabindu-vat SRtp_126b
   vyāptigrahaṇasambandhe SRtp_229c	vyApti-grahaNa-sambanDe SRtp_229c
   vyāptirāptapadārthātma- SRtp_121a	vyAptiH-Apta-padArTa-Atma SRtp_121a
   vyāptiṃ tasyābhidhāsyāmi SRtp_90a	vyAptim tasya-aBiDAsyAmi SRtp_90a
   vyāptau sādhyaṃ na sādhayet SRtp_224d	vyAptO sADyam na sADayet SRtp_224d
   vyāpnoti kāryamātmīyaṃ SRtp_179a	vyApnoti kAryam-AtmIyam SRtp_179a
   vyomānāhatamityapi SRtp_71d	vyomAnAhatam-iti-api SRtp_71d
   śaktayo 'nye viśerate SRtp_285b	SaktayaH anye viSerate SRtp_285b
   śaktipātapavitritaiḥ SRtp_12b	SaktipAta-pavitritEH SRtp_12b
   śaktipātoditātmabhiḥ SRtp_9d	SaktipAta-udita-AtmaBiH SRtp_9d
   śaktimānāhitodyogaḥ SRtp_265c	SaktimAn-Ahita-udyogaH SRtp_265c
   śaktimāniti cenmatam SRtp_144b	SaktimAn-iti ced-matam SRtp_144b
   śaktirapratighodāra- SRtp_182c	SaktiH-apratiGodAra SRtp_182c
   śaktirāśayataḥ śambhoḥ SRtp_298a	SaktiH-ASayataH SamBoH SRtp_298a
   śaktirekā hi śūlinaḥ SRtp_276b	SaktiH-ekA hi SUlinaH SRtp_276b
   śaktireva kriyātmikā SRtp_133d	SaktiH-eva kriyA-AtmikA SRtp_133d
   śaktireṣā mahīyasī SRtp_255d	SaktiH-ezA mahIyasI SRtp_255d
   śakterasati bandhane SRtp_256d	SakteH-asati banDane SRtp_256d
   śaktervyāpnoti cākhilam SRtp_178b	SakteH-vyApnoti ca-aKilam SRtp_178b
   śabdatattvamaghoṣā vāg SRtp_70c	Sabda-tattvam-aGozA vAc SRtp_70c
   śabdabrahmātmako raviḥ SRtp_79d	Sabdabrahma-AtmakaH raviH SRtp_79d
   śabdarāśiśca bindūttho SRtp_172c	SabdarASiH-ca bindu-utTaH SRtp_172c
   śabdarāśerabhūdasau SRtp_172b	SabdarASeH-aBUt-asO SRtp_172b
   śabdasaṃskārapūrvakam SRtp_209d	Sabda-saMskAra-pUrvakam SRtp_209d
   śabdānuvedhena sadā SRtp_170a	Sabda-anuveDena sadA SRtp_170a
   śambhoḥ sā samavāyinī SRtp_304d	SamBoH sA samavAyinI SRtp_304d
   śarīrādi tathā nāsau SRtp_197c	SarIra-Adi taTA na-asO SRtp_197c
   śarīrādisamanvitam SRtp_43d	SarIra-Adi-samanvitam SRtp_43d
   śarīreṇendriyeṇa ca SRtp_153b	SarIreNa-indriyeNa ca SRtp_153b
   śarīrendriyagocaraiḥ SRtp_173d	SarIra-indriya-gocarEH SRtp_173d
   śarīrendriyasaṃyuktaṃ SRtp_159a	SarIra-indriya-saMyuktam SRtp_159a
   śāntoditaprapañcādi- SRtp_184c	SAnta-udita-prapaQca-Adi SRtp_184c
   śāntau tu trīṇi tattvāni SRtp_109c	SAntO tu trINi tattvAni SRtp_109c
   śāntyatītā ca pañcādhva- SRtp_116c	SAnti-atItA ca paQca-aDva SRtp_116c
   śāntyatītāḥ kalā etā SRtp_87a	SAnti-atItAH kalA etA SRtp_87a
   śāśvataṃ śivamāśritā SRtp_199b	SASvatam Sivam-ASritA SRtp_199b
   śāstroktenaiva karmaṇā SRtp_239d	SAstra-uktena-eva karmaNA SRtp_239d
   śikhāghorau vyavasthitau SRtp_106d	SiKA-GorO vyavasTitO SRtp_106d
   śiro vāmaśca mantrau dvau SRtp_101c	SiraH vAmaH-ca mantrO dvO SRtp_101c
   śiva evāptimān yataḥ SRtp_10b	SivaH eva-AptimAn yatas SRtp_10b
   śivatattvātmakaṃ tatra SRtp_115a	Siva-tattva-Atmakam tatra SRtp_115a
   śivaśaktisamīritaḥ SRtp_307d	Siva-Sakti-samIritaH SRtp_307d
   śivaśaktyorviśuddhyaiva SRtp_163a	Siva-SaktyoH-viSudDyA-eva SRtp_163a
   śivaśāstroditena ca SRtp_238d	Siva-SAstra-uditena ca SRtp_238d
   śivasya śaktirākrāntā SRtp_167a	Sivasya SaktiH-AkrAntA SRtp_167a
   śivasya samavāyinī SRtp_180d	Sivasya samavAyinI SRtp_180d
   śivasya samavāyinī SRtp_273b	Sivasya samavAyinI SRtp_273b
   śivasyānāhitāpūrva- SRtp_187a	Sivasya-anAhita-apUrva SRtp_187a
   śivasyānupamākhaṇḍa- SRtp_137c	Sivasya-anupamAKaNxa SRtp_137c
   śivasyāvyabhicāriṇī SRtp_278b	Sivasya-avyaBicAriNI SRtp_278b
   śivasyaiva vijṛmbhate SRtp_255b	Sivasya-eva vijRmBate SRtp_255b
   śivaḥ sadāśivo 'dhīśo SRtp_182a	SivaH sadASivaH aDISaH SRtp_182a
   śivānāmasamaiśvarya- SRtp_57c	SivAnAm-asamESvarya SRtp_57c
   śivānye tvaśivā matāḥ SRtp_11d	SivAnye tu-aSivAH matAH SRtp_11d
   śivārkakarasamparka- SRtp_27c	Siva-arka-kara-samparka SRtp_27c
   śivāstreśānaśabditāḥ SRtp_116b	SivAstra-ISAna-SabditAH SRtp_116b
   śive jñānakriyātmike SRtp_127d	Sive jQAna-kriyA-Atmike SRtp_127d
   śivena nibhṛtātmīya- SRtp_285a	Sivena niBRta-AtmIya SRtp_285a
   śivena balaśālinā SRtp_274b	Sivena bala-SAlinA SRtp_274b
   śuddhayormalakarmaṇoḥ SRtp_174d	SudDayoH-mala-karmaNoH SRtp_174d
   śuddhādhvā copabhuktaye SRtp_149b	SudDADvA ca-upaBuktaye SRtp_149b
   śuddhiśca tādṛśī jñeyā SRtp_165c	SudDiH-ca tAdRSI jQeyA SRtp_165c
   śuddhe 'dhvani śivaḥ kartā SRtp_289a	SudDe aDvani SivaH kartA SRtp_289a
   śuddhyā śuddhirmatādhvasu SRtp_162b	SudDyA SudDiH-mata-aDvasu SRtp_162b
   śeyādhiṣṭheyakāryādau SRtp_294a	Seya-aDizWeya-kArya-AdO SRtp_294a
   śaivī śaktiḥ patatyaṇoḥ SRtp_315d	SEvI SaktiH patati-aNoH SRtp_315d
   śrīrāmakaṇṭhasadvṛttiṃ SRtp_322c	SrI-rAma-kaNWa-sat-vRttim SRtp_322c
   śrutayo dvaitamātmanām SRtp_225b	SrutayaH dvEtam-AtmanAm SRtp_225b
   śrotavyametadāptoktyā SRtp_9a	Srotavyam-etat-Apta-uktyA SRtp_9a
   ṣaṭkoṇoditamalpānta- SRtp_111c	zaz-koNa-uditam-alpa-anta SRtp_111c
   ṣaṭpañcāśat purāṇi ca SRtp_100b	zawpaQcASat purANi ca SRtp_100b
   ṣaḍvidho 'dhvā kalādikaḥ SRtp_125d	zaxviDaH aDvA kalA-AdikaH SRtp_125d
   ṣoḍaśa svarasaṃjñitāḥ SRtp_115d	zoxaSa svara-saMjQitAH SRtp_115d
   ṣoḍhā bhavedayaṃ tattva- SRtp_141a	zoXA Bavet-ayam tattva SRtp_141a
   sa kartā pariṇāminām SRtp_64d	sa kartA pariNAminAm SRtp_64d
   sakalaḥ sarvapāvanaḥ SRtp_282d	sakalaH sarva-pAvanaH SRtp_282d
   sakalāṇūpabhogyatvāt SRtp_42c	sakala-aNu-upaBogya-tvAt SRtp_42c
   sa ca tasyāstatastathā SRtp_298b	sa ca tasyAH-tatas-taTA SRtp_298b
   sa tayā jaḍamākramya SRtp_264a	sa tayA jaxam-Akramya SRtp_264a
   sa tayā ramate nityaṃ SRtp_268a	sa tayA ramate nityam SRtp_268a
   sa tayoreva kiṅkṛtaḥ SRtp_253b	sa tayoH-eva kiFkRtaH SRtp_253b
   sati bāhye tadajñānaṃ SRtp_258a	sati bAhye tat-ajQAnam SRtp_258a
   sa tu śabdaścaturdhā vāg- SRtp_46c	sa tu SabdaH-caturDA vAg SRtp_46c
   sattve kāraṇaśūnyatvād SRtp_200c	sattve kAraNa-SUnya-tvAt SRtp_200c
   sadavasthaṃ hi vastvekaṃ SRtp_37c	sat-avasTam hi vastu-ekam SRtp_37c
   sadāśivapadaṃ mahat SRtp_148b	sadASiva-padam mahat SRtp_148b
   sadāśivapadaṃ yogāc SRtp_147a	sadASiva-padam yogAt SRtp_147a
   sadāśivamadhiṣṭhātṛ- SRtp_31a	sadASivam-aDizWAtR SRtp_31a
   sadāśivamaheśvarān SRtp_279d	sadASiva-maheSvarAn SRtp_279d
   sadāśivasamāvṛtaḥ SRtp_279b	sadASiva-samAvRtaH SRtp_279b
   sadāśivāditattvaugho SRtp_32c	sadASiva-Adi-tattva-oGaH SRtp_32c
   sadā śuddhiprasaṅgataḥ SRtp_163b	sadA SudDi-prasaFgataH SRtp_163b
   sadopahitabhāvena SRtp_301a	sadA-upahita-BAvena SRtp_301a
   sadyojāto 'dhidevatā SRtp_97d	sadyojAtaH aDidevatA SRtp_97d
   santo 'nye śāśvatī satī SRtp_201b	santaH anye SASvatI satI SRtp_201b
   sannidherupakārakaḥ SRtp_122d	sanniDeH-upakArakaH SRtp_122d
   sapakṣapakṣayorbhede SRtp_217a	sa-pakza-pakzayoH-Bede SRtp_217a
   sa parasparasambaddhaś SRtp_243a	sa paraspara-sambadDaH SRtp_243a
   sa punāti dṛśā vācā SRtp_319a	sa punAti dRSA vAcA SRtp_319a
   sa bindurbahuvṛttikaḥ SRtp_54b	sa binduH-bahuvRttikaH SRtp_54b
   sa binduḥ paranādākhyaḥ SRtp_22c	sa binduH para-nAda-AKyaH SRtp_22c
   sa bindoravatīryāṇu- SRtp_279a	sa bindoH-avatIrya-aNu SRtp_279a
   sabījābījalakṣaṇam SRtp_19d	sa-bIja-AbIja-lakzaNam SRtp_19d
   samavāyaḥ kathaṃ śive SRtp_136d	samavAyaH kaTam Sive SRtp_136d
   samavāyena tādātmyān SRtp_199c	samavAyena tAdAtmyAn SRtp_199c
   samavetā śive bindur SRtp_134a	samavetA Sive binduH SRtp_134a
   samavaiti śive tataḥ SRtp_126d	samavEti Sive tatas SRtp_126d
   samāliṅgya mahāmāyām SRtp_285c	samAliFgya mahAmAyAm SRtp_285c
   samāśrayaḥ sa vijñeyaḥ SRtp_289c	samASrayaH sa vijQeyaH SRtp_289c
   samāśrityādhvamūrdhani SRtp_286d	samASritya-aDva-mUrDani SRtp_286d
   samuddhṛtya satāṃ dhartuṃ SRtp_2c	samudDRtya satAm Dartum SRtp_2c
   samudyuktaḥ sadāśivaḥ SRtp_268b	samudyuktaH sadASivaH SRtp_268b
   samudyogeṣu lakṣyate SRtp_83b	samudyogezu lakzyate SRtp_83b
   sampṛktā cidaṇoryena SRtp_53c	sampRktA cit-aNoH-yena SRtp_53c
   sampreṣayannaśeṣādhva- SRtp_280a	samprezayan=-aSeza-aDva SRtp_280a
   sammohāyaiva kevalam SRtp_231d	sammohAya-eva kevalam SRtp_231d
   saridvānabhisambandhād SRtp_189a	sarit-vA-anaBisambanDAt SRtp_189a
   sargāya sthitaye sraṣṭṛ- SRtp_308a	sargAya sTitaye srazwR SRtp_308a
   sarvajñānakriyārūpā SRtp_276a	sarva-jQAna-kriyA-rUpA SRtp_276a
   sarvajñā balaśālinaḥ SRtp_51b	sarva-jQAH bala-SAlinaH SRtp_51b
   sarvataḥ saṃhṛtikramāt SRtp_76b	sarvatas saMhRti-kramAt SRtp_76b
   sarvathaivāmṛtaprāpteḥ SRtp_170c	sarvaTA-eva-amRta-prApteH SRtp_170c
   sarvadāvyabhicāriṇī SRtp_120d	sarva-dA-avyaBicAriNI SRtp_120d
   sarvanyāyavirodhinī SRtp_205b	sarva-nyAya-viroDinI SRtp_205b
   sarvabhūtāntaracaraḥ SRtp_79c	sarva-BUta-antara-caraH SRtp_79c
   sarvamākramya ca tayā SRtp_120a	sarvam-Akramya ca tayA SRtp_120a
   sarvaṃ cediha vijñātam SRtp_67a	sarvam ced-iha vijQAtam SRtp_67a
   sarvaṃ śabdena jāyate SRtp_85b	sarvam Sabdena jAyate SRtp_85b
   sarvādhvaprakṛtiḥ parā SRtp_163d	sarva-aDva-prakRtiH parA SRtp_163d
   sarvān sādhakacittasthān SRtp_20c	sarvAn sADaka-citta-sTAn SRtp_20c
   sarvārthadyotikā śaktiḥ SRtp_255a	sarva-arTa-dyotikA SaktiH SRtp_255a
