   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   pratyanenārthaḥ sādhita ityetadeva nāsti /	pratyanena arTaH sADitaH iti etat eva na asti /
   tasmāt prayojanavaśena vinā hetuṃ vyavasthāstheyā /	tasmAt prayojana vaSena vinA hetum vyavasTA sTeyAH /
   sā cāyuktā hetvabhāvādityarthaḥ /	sA ca ayuktA hetu aBAvAt iti arTaH /
   bhavatu sāṃkhyānāmavyavasthā, pradhānasamavāyādadṛṣṭasya, pradhānasya ca	Bavatu sAMKyAnAm avyavasTA, praDAna samavAyAt adRzwasya, praDAnasya ca
   sādhāraṇyāt /	sADAraNyAt /
   kāṇādādīnāṃ tvātmasamavāpyadṛṣṭaṃ pratyātmamasādhāraṇaṃ tatkṛtaśca manasā	kANAt a AdInAm tu Atma samavApya dRzwam pratyAtmam asADAraNam tad kRtaH ca manasA
   sahātmanaḥ svasvāmibhāvalakṣaṇaḥ saṃbandho 'nādiradṛṣṭabhedānāmanāditvāt,	saha AtmanaH sva svAmi BAva lakzaNaH saMbanDaH anAdiH adRzwa BedAnAm anAdi tvA at,
   tathā cātmanaḥsaṃyogasya sādhāraṇye 'pi	taTA ca AtmanaH saMyogasya sADAraNye api
   svasvāmibhāvasyāsādhāraṇyādabhisaṃdhyādivyavasthopapadyata eva /	sva svAmi BAvasya asADa araNyAt aBisaMDi Adi vyavasTA upapadyate eva /
   naca saṃyogo 'pi sādhāraṇaḥ /	na ca saMyogaH api sADAraNaH /
   nahi tasya manasa ātmāntarairyaḥ saṃyogaḥ sa eva svāmināpi, ātmasaṃyogasya	na hi tasya manasaH Atma antarEH yaH saMyogaH saH eva svAminA api, Atma saMyogasya
   pratisaṃyogabhedena bhedāt /	pratisaMyoga Bedena BedAt /
   tasmādātmaikatvasyāgamasiddhatvāt, vyavasthāyāścaikatve 'pyupapatteḥ,	tasmAt AtmA eka tvasya Agama sidDa tvAt, vyavasTAyAH ca eka tve api upapatteH,
   nānekātmakalpanā, gauravādāgamavirodhācca /	na aneka Atma kalpanA, gOravAt Agama viroDAt ca /
   antyaviśeṣavattvena ca bhedakalpanāyāmanyonyāśrayāpatteḥ /	antya viSezavat tvena ca Beda kalpanAyAm anyonya ASraya ApatteH /
   bhede hi tatkalpanā tataśca bheda iti /	Bede hi tad kalpanA tatas ca BedaH iti /
   etadeva kāṇādamatadūṣaṇam /	etat eva kANAdam atadUzaNam /
   bhāṣyakṛtā tu prauḍhavāditayā kāṇādān pratyapyadṛṣṭāniyamādityādīni	BAzya kRtA tu prOXa vAdi tayA kANAdAn pratyapi adRzwa aniyamAt itya AdIni
   sūtrāṇi yojitāni /	sUtrANi yojitAni /
   sāṃkhyamatadūṣaṇaparāṇyeveti tu rocayante kecittadāstāṃ tāvat //50//	sAMKya mata dUzaNa parANi eva iti tu rocayante kecid tadA AstAm tAvat //50//
   START BsVBh_2,3.17.51	START BsVBh_2,3.17.51
   adṛṣṭāniyamāt | BBs_2,3.51 |	adRzwa aniyamAt | BBH _2,3.51 |
   START BsVBh_2,3.17.52	START BsVBh_2,3.17.52
   abhisandhyādiṣv api caivam | BBs_2,3.52 |	aBisanDyAdizu api ca evam | BBH _2,3.52 |
   START BsVBh_2,3.17.53	START BsVBh_2,3.17.53
   pradeśād iti cen nāntarbhāvāt | BBs_2,3.53 |	pradeSAt iti ced na antarBAvAt | BBH _2,3.53 |
   iti śrīvācaspatimiśraviracite bhagavatpādaśārīrakabhāṣyavibhāge bhāmatyāṃ	iti SrI vAcaspati miSravi racite Bagavat pAda SArIraka BAzya viBAge BAmatyAm
   dvitīyādhyāyasya tṛtīyaḥ pādaḥ //3//	dvitIya aDyAyasya tRtIyaH pAdaH //3//
   // iti dvitīyādhyāyasya pañcamahābhūta jīvaśrutīnāṃ	// iti dvitIya aDyAyasya paQca mahABUta  jIva SrutInAm
   virodhaparipārākhyastṛtīyaḥ pādaḥ //	viroDa paripAra AKyaH tRtIyaH pAdaH //
   dvitīyādhyāye caturthaḥ pādaḥ /	dvitIya aDyAye caturTaH pAdaH /
   START BsVBh_2,4.1.1	START BsVBh_2,4.1.1
   tathā prāṇāḥ | BBs_2,4.1 |	taTA prANAH | BBH _2,4.1 |
   yadyapi brahmavedane	yadi api brahma vedane
   sarvavedanapratijñātādupapādanaśrutivirodhādbahutarādvaitaśrutivirodhācca	sarva vedana pratijQAtAt upapAdana Sruti viroDAt bahutara advEta Sruti viroDAt ca
   prāṇānāṃ sargādau sadbhāvaśrutirviyadasmṛtatvādiśrutaya ivānyathā	prANAnAm sarga AdO sadBAva SrutiH viyada smRta tva Adi SrutayaH iva anyaTA
   kathañcinnetumucitā,	kaTaQcid netum ucitA,
   tathāpyanyathānayanaprakāramavidvānanyathānupapadyamānaikāpi	taTA api anyaTA Anayana prakAram avidvAn anyaTA anupapadyamAna ekA api
   śrutirbahvīranyathayediti manvānaḥ pūrvapakṣayati /	SrutiH bahvIH anyaTayet iti manvAnaH pUrvapakzayati /
   atra cātyuccatayā viyadadhikaraṇapūrvapakṣahetūn smārayati tatra tāvaditi	atra ca ati uccatayA viyat aDi karaNa pUrva pakza hetUn smArayati tatra tAvat iti
   śabdaikapramāṇasamadhigamyā hi mahābhūtotpattistasyā yatra śabdo nivartate	Sabda eka pramANa samaDigamyA hi mahABUta utpattiH tasyAH yatra SabdaH nivartate
   tatra tatpramāṇabhāvena tadabhāvaḥ pratīyate /	tatra tad pramANa BAvena tad aBAvaH pratIyate /
   yathā caityavandanatatkarmadharmatāyā ityarthaḥ /	yaTA cEtya vandana tad karma Darma tAyAH iti arTaH /
   atrāpātataḥ śrutivipratipattyānadhyavasāyena	atra apAtataH Sruti vipratipattyA anaDyavasAyena
   pūrvapakṣayitvāthavetyabhihitaṃ pūrvapakṣamamavatārayati /	pUrva pakzayitvA aTavA iti aBihitam pUrvapakzamam avatArayati /
   abhiprāyo 'sya darśitaḥ /	aBiprAyaH asya darSitaH /
   'pānavyāpacca	apAna vyApad ca
   tadvat'ityatrāśvapratigraheṣṭyādyadhikaraṇapūrvapakṣasūtrārthasādṛśyaṃ	tat vat aityatra aSva pratigraha izwi Adi aDikaraNa pUrva pakza sUtra arTa sAdRSyam
   tadā parāmṛṣṭam /	tadA parAmRzwam /
   rāddhāntastu syādetadevaṃ yadi sargādau prāṇasadbhāvaśrutirananyathāsiddhā	rAdDa antaH tu syAt etat evam yadi sarga AdO prANa sadBAva SrutiH ananyaTA asidDA
   bhavet /	Bavet /
   anyathaiva tveṣā sidhyati /	anyaTA eva tu ezA siDyati /
   avāntarapralaye hyagnisādhanānāṃ sṛṣṭirvaktavyeti tadartho 'sāvupakramaḥ /	avAntara pralaye hi agni sADanAnAm sRzwiH vaktavyA iti tad arTaH asO= upakramaH /
   tatrādhikāripuruṣaḥ prajāpatirapranaṣṭa eva trailokyamātraṃ	tatra aDikAri puruzaH prajApatiH apranazwaH eva trElokya mAtram
   pralīnamatastadīyān prāṇānapekṣya sā śrutirupapannārthā /	pralInam atastadIyAn prANAn apekzya sA SrutiH upapanna arTAH /
   tasmādbhūyasīnāṃ śrutīnāmanugrahāya sarvavijñānapratijñopapattyarthasya	tasmAt BUyasInAm SrutInAm anugrahAya sarva vijQAna pratijQA upapatti arTasya
   cottarasya saṃdarbhasya gauṇatve tu	ca uttarasya saMdarBasya gONa tve tu
   pratijñātārthānuguṇyābhāvenānapekṣitārthatvaprasaṅgātprāṇā api	pratijQAta arTa anuguNya aBAvena anapekzita arTa tva prasaFgAt prANAH api
   nabhovadbrahmaṇo vikārā iti /	naBaH vat brahmaNaH vikArAH iti /
   naca caityavandanādivatsarvathā prāṇānāmutpattyaśrutiḥ, kvacit	na ca cEtya vandana Adi vat sarvaTA prANAnAm utpatti aSrutiH, kvacid 
   khalveṣāmutpattyaśravaṇamutpattiśrutistu tatra tatra darśitā /	Kalu ezAm utpatti aSravaNam utpatti SrutiH tu tatra tatra darSitAH /
   tasmādvaiṣamyaṃ caityavandanapoṣadhādibhiriti /	tasmAt vEzamyam cEtya vandana pozaDa AdiBiH iti /
   START BsVBh_2,4.1.2	START BsVBh_2,4.1.2
   gauṇyasaṃbhavāt | BBs_2,4.2 |	gONya saMBavAt | BBH _2,4.2 |
   kecidviyadadhikaraṇavyākhyānena gauṇyasaṃbhavāditi sūtraṃ vyācakṣate /	kecid viyat aDi karaNa vyAKyAnena gONya saMBavAt iti sUtram vyAcakzate /
   gauṇī prāṇānāmutpattiśrutirasaṃbhavādutpatteriti /	gONI prANAnAm utpatti SrutiH asaMBavAt utpatteH iti /
   tadayuktam /	tat ayuktam /
   vikalpāsahatvāt /	vikalpa asaha tvAt /
   tathāhi prāṇānāṃ jīvavadvāvikṛtabrahmātmatayānupapattiḥ syāt,	taTA ahi  prANAnAm jIva vat vA avikRta brahma Atma tayA anupapattiH syAt ,
   brahmaṇastattvāntaratayā vā /	brahmaNaH tattva antara tayA vA /
   na tāvajjīvavadeṣāmavikṛtabrahmātmatā, jaḍatvāt /	na tAvat jIva vat ezAm avikRta brahma Atma tA, jaxa tvAt /
   tasmāttattvāntaratayaiṣāmanutpattirāstheyā /	tasmAt tattva antara tayA ezAm anutpattiH AsTeyAH /
   tathāca brahmavedanena sarvavedanapratijñāvyāhatiḥ,	taTA ca brahma vedanena sarva vedana pratijQA vyAhatiH,
   samastavedāntavyākopaścetyetadāha viyadadhikaraṇe hīti //2//	samasta vedAnta vyAkopaH ca iti etat Aha  viyat aDikaraNe hi iti //2//
   START BsVBh_2,4.1.3	START BsVBh_2,4.1.3
   tatprākśruteś ca | BBs_2,4.3 |	tad prAc SruteH ca | BBH _2,4.3 |
   nigadavyākhyātamasya bhāṣyam //3//	nigada vyAKyAtam asya BAzyam //3//
   START BsVBh_2,4.1.4	START BsVBh_2,4.1.4
   tatpūrvakatvādvācaḥ | BBs_2,4.4 |	tad pUrvaka tvAt vAcaH | BBH _2,4.4 |
   vāca iti vākprāṇamanasāmupalakṣaṇam /	vAcaH iti vAc prANa manasAm upalakzaNam /
   ayamarthaḥ yatrāpi tejaḥprabhṛtīnāṃ sṛṣṭau prāṇasṛṣṭirnokteti brūṣe,	ayam arTaH yatra api tejaH praBRtInAm sRzwO prANa sRzwiH na uktA iti brUze,
   tatrāpyukteti brūmahe /	tatra api uktA iti brUmahe /
   tathāhi yasmin prakaraṇena tejobannapūrvakatvaṃ vākprāṇamanasāmāmnāyate	taTA hi yasmin prakaraNena tejaH banna pUrvaka tvam vAc prANa manasAmAmnAyate
   'annamayaṃ hi'ityādinā, tadyadi mukhyārthaṃ tatastatsāmāsarveṣāmeva	aanna mayam hi aitya AdinA, tat yadi muKya arTam tatas tad sAma asarvezAm eva
   prāṇānāṃ sṛṣṭiruktā /	prANAnAm sRzwiH uktAH /
   atha gauṇaṃ tathāpi brahmakartṛkāyāṃ	aTa gONam taTA api brahma kartRkAyAm
   nāmarūpavyākriyāyāmupakramopasaṃhāraparyālocanayā śrutyantaraprasiddheśca	nAma rUpa vyAkriyAyAm upakrama upasaMhAra paryAlocanayA Sruti antara prasidDeH ca
   brahmakāryatvaprapañcārthameva prāṇādīnāmāpomayatvādyabhidhānamityuktaiva	brahma kArya tva prapaQca arTam eva prANa AdInAm ApaH maya tva Adi aBiDAnam iti uktA eva
   tatrāpi prāṇasṛṣṭiriti siddham //4//	tatra api prANa sRzwiH iti sidDam //4//
   START BsVBh_2,4.2.5	START BsVBh_2,4.2.5
   sapta gaterviśeṣitatvācca | BBs_2,4.5 |	sapta gateH viSezita tvAt ca | BBH _2,4.5 |
   avāntarasaṃgatimāha utpattiviṣaya iti /	avAntara saMgati mAha utpatti vizayaH iti /
   saṃśayakāraṇamāha śrutivipratiṣedhāditi /	saMSaya kAraNam Aha  Sruti vipratizeDAt iti /
   viśayaḥsaṃśayaḥ /	viSayaH saMSayaH /
   kvacit sapta prāṇāḥ /	kvacid sapta prANAH /
   tadyathā cakṣurghrāṇarasanavākśrotramanastvagiti /	tat yaTA  cakzuH GrANa rasanavAc Srotra manaH tvak iti /
   kvacidaṣṭau prāṇāgrahatvenabandhanena guṇena saṃkīrtyante /	kvacid azwO prANa agrahatvena banDanena guNena saMkIrtyante /
   tadyathā ghrāṇarasanavākcakṣuḥ śrotramanohastatvagiti, ta ete grahāḥ, eṣāṃ	tat yaTA a GrANa rasana vAc cakzuH  Srotra manohasta tvagiti, te ete grahAH, ezAm
   tu viṣayā atigrahāstvaṣṭāveva 'prāṇo vai grahaḥ so 'pānenātigraheṇa gṛhīto	tu vizayAH atigrahAH tu azwO= eva aprANaH vE grahaH saH apAnena atigraheNa gRhItaH 
   'pānena hi gandhān jighrati'ityādinā saṃdarbheṇoktāḥ /	apAnena hi ganDAn jiGrati aitya AdinA saMdarBeNa uktAH /
   kvacinnava /	kvacid nava /
   tadyathā sapta vai śīrṣaṇyāḥ prāṇāḥ dvāvavāñcāviti /	tat yaTA sapta vE SIrzaNyAH prANAH dvO= avAQcO= iti /
   dve śrotre dve cakṣuṣī dve ghrāṇe ekā vāgiti sapta /	dve Srotre dve cakzuzI dve GrANe ekA vAc iti sapta /
   pāyūpasthau buddhimanasī vā dvāvavāñcāviti naca /	pAyu upasTO budDi manasI vA dvO= avAQcO= iti na ca /
   kvaciddaśa /	kvacid daSa /
   nava vai puruṣe prāṇāsta uktā nābhirdaśamīti /	nava vE puruze prANAH te uktA nABiH daSami iti /
   kvacidekādaśa ' daśeme puruṣe prāṇāḥ' /	kvacid ekAdaSa  a daSa ime puruze prANAH a /
   tadyathā buddhīndriyāṇi ghrāṇādīni pañca karmendriyāṇyapi hastādīni pañca	tat yaTA a budDIndriyANi GrANa AdIni paQca karmendriyANi api hasta AdIni paQca
   ātmaikādaśa, āpnotyadhiṣṭhānenetyātmā manaḥ sa ekādaśa iti /	AtmA ekAdaSa, Apnoti aDizWAnena iti AtmA manaH saH ekAdaSaH iti /
   kvacidvādaśa /	kvacid vAdaSaH /
   'sarveṣāṃ sparśānāṃ tvagekāyanam' ityatra /	asarvezAm sparSAnAm tvac ekAyanam a iti atra /
   tadyathā tvagnāsikārasanacakṣuḥśrotramanohṛdayahastapādopasthapāyūvāgiti /	tat yaTA tu agnAsikA rasana cakzuH Srotra manaH hRdaya hasta pAda upasTa pAyU vAk iti /
   kvacideta eva prāṇā ahaṅkārādhikāstrayodaśa /	kvacid ete eva prANAH ahaFkAra aDikAH trayodaSa /
   evaṃ vipratipannāḥ prāṇeyattāṃ prati śrutayaḥ /	evam vipratipannAH prANeyattAm prati SrutayaH /
   atra praśnapūrvaṃ pūrvapakṣaṃ gṛhṇāti kiṃ tāvat prāptaṃ /	atra praSna pUrvam pUrva pakzam gRhNAti kim tAvat prAptam /
   saptaiveti /	saptA eva iti /
   saptaiva prāṇāḥ kutaḥ gateḥavagate /	sapta eva prANAH kutaH  gateH avagate /
   śrutibhyaḥ 'sapta prāṇāḥ prabhavanti'ityādibhyaḥ /	SrutiByaH asapta prANAH praBavanti aitya AdiByaH /
   na kevalaṃ śrutito 'vagatiḥ, viśeṣaṇādapyevamevetyāha viśeṣitatvācca /	na kevalam SrutitaH avagatiH, viSezaNAt api evam eva iti Aha  viSezita tvAt ca /
   sapta vai śīrṣaṇyāḥ prāṇā iti /	sapta vE SIrzaNyAH prANAH iti /
   ye sapta śīrṣaṇyāḥ śrotrādayaste prāṇā ityukte itareṣāmaśīrṣaṇyānāṃ	ye sapta SIrzaNyAH Srotra AdayaH te prANAH iti ukte itarezAm aSIrzaNyAnAm
   hastādīnāmaprāṇatvaṃ gamyate /	hasta AdInAm aprANa tvam gamyate /
   yathā dakṣiṇenākṣṇā paśyatītyukte vāmena na paśyatīti gamyate /	yaTA dakziNena akzNA paSyati iti ukte vAmena na paSyati iti gamyate /
   etaduktaṃ bhavati yadyapi śrutivipratiṣedo yadyapi ca pūrvasaṃkhyāsu na	etat uktam Bavati yadi api Sruti vipratizedaH yadi api ca pUrva saMKyAsu na
   parāsāṃ saṃkhyānāṃ niveśastathāpyavacchedakatvena bahvīnāṃ	parAsAm saMKyAnAm niveSaH taTA api avacCedaka tvena bahvInAm
   saṃkhyānāmasaṃbhavādekasyāṃ kalpyamānāyāṃ saptatvameva yuktaṃ	saMKyAnAm asaMBavAt ekasyAm kalpyamAnAyAm sapta tvam eva yuktam
   prāthamyāllāghavācca, vṛttibhedamātravivakṣayā tvaṣṭatvādayo gamayitavyā	prATamyAt lAGavAt ca, vRtti Beda mAtra vivakzayA tu azwa tva AdayaH gamayitavyA
   iti prāptam //5//	iti prAptam //5//
   START BsVBh_2,4.2.6	START BsVBh_2,4.2.6
   evaṃ prāpta ucyate 	evam prAptaH ucyate 
   hastādayastu sthite 'to naivam |	hasta AdayaH tu sTite atas na evam |
   hastādayas tu sthite 'to naivam | BBs_2,4.6 |	hasta AdayaH tu sTite atas na evam | BBH _2,4.6 |
   tuśabdaḥ pakṣaṃ vyāvartayati /	tuSabdaH pakzam vyAvartayati /
   na saptaiva kintu hastādayo 'pi prāṇāḥ /	na sapta eva kintu hasta AdayaH api prANAH /
   pramāṇāntarādekādaśatve prāṇānāṃ sthite 'tosmin sati /	pramANa antarAt ekAdaSa tve prANAnAm sTite atosmin sati /
   sārvavibhaktikastasiḥ /	sArvaviBaktikaH tasiH /
   naivam /	na evam /
   lāghavāt prāthamyācca saptatvamityakṣarārthaḥ /	lAGavAt prATamyAt ca sapta tvam iti akzara arTaH /
   etaduktaṃ bhavati yadyapi śrutayaḥ svataḥpramāṇatayānapekṣāstathāpi	etat uktam Bavati yadi api SrutayaH svatas pramANa tayA anapekzAH taTA api
   parasparavirodhānnārthatattvaparicchedāyālam /	paraspara viroDAt na arTa tattva paricCedAya alam /
   naca siddhe vastuni anuṣṭhāna iva vikalpaḥ saṃbhavati /	na ca sidDe vastuni anuzWAnaH iva vikalpaH saMBavati /
   tasmāt pramāṇāntaropanītārthavaśena vyavasthāpyante /	tasmAt pramANa antara upanIta arTa vaSena vyavasTApyante /
   yathā hīneti /	yaTA hIna iti /
   'sruveṇāvadyapi'iti māṃsapuroḍāśāvadānāsaṃbhavāt,	asruveNa avadi api aiti mAMsa puroxASa avadAna asaMBavAt,
   saṃbhavācca dravāvadānasya sruvāvadāne dravāṇīti vyavasthāpyate /	saMBavAt ca drava avadAnasya sruva avadAne dravANi iti vyavasTApyate /
   evamihāpi	evam iha api
   rūpādibuddhipañcakakāryavyavasthātaścakṣurādibuddhīndriyakaraṇapañcakavyavasthā	rUpa Adi budDi paQcaka kArya vyavasTAtaH cakzuH Adi budDIndriya karaNa paQcaka vyavasTA
   nahyandhādayaḥ satsvapītareṣu ghrāṇādiṣu	na hi anDa AdayaH satsu api itarezu GrANa Adizu
   gandhādyupalabdhyānumitasadbhāveṣu rūpādīnupalabhante /	ganDa Adi upalabDyA anumita sadBAvezu rUpa AdIn upalaBante /
   tathā vacanādilakṣaṇakāryapañcakavyavasthāto	taTA vacana Adi lakzaNa kArya paQcaka vyavasTAtaH 
   vākpāṇyādilakṣaṇakarmendriyapañcakavyavasthā /	vAc pANi Adi lakzaNa karmendriya paQcaka vyavasTA /
   nahi jātu mūkādayaḥ satsvapi viharaṇādyavagatasadbhāveṣu pādādiṣu	na hi jAtu mUka AdayaH satsu api viharaNa Adi avagata sadBAvezu pAda Adizu
   buddhīndriyeṣu vā vacanādimanto bhavanti /	budDIndriyezu vA vacana AdimantaH Bavanti /
   evaṃ karmabuddhīndriyāsaṃbhavinyā	evam karma budDi indriya asaMBavinyA
   saṃkalpādikriyāvyavasthayāntaḥkaraṇavyavasthānumānam /	saMkalpa Adi kriyA vyavasTayA antaHkaraNa vyavasTA anumAnam /
   ekamapi cāntaḥkaraṇamanekakriyākāri bhaviṣyati, yathā pradīpa eko	ekam api ca antaHkaraNam aneka kriyA kAri Bavizyati, yaTA pradIpaH ekaH 
   rūpaprakāśavartivikārasnehaśoṣaṇahetuḥ /	rUpa prakASa varti vikAra sneha SozaNa hetuH /
   tasmānnāntaḥkaraṇabhedaḥ /	tasmAt na antaHkaraNa BedaH /
   ekameva tvantaḥkaraṇaṃ mananānmana iti cābhimānādahaṅkāra iti	ekam eva tu antaHkaraNam mananAt manaH iti ca aBimAnAt ahaFkAraH iti
   cādhyavasāyādbuddhiriti cākhyāyate /	ca aDyavasAyAt budDiH iti ca AKyAyate /
   vṛttibhedāccābhinnamapi bhinnamivopacaryate trayamiti /	vRtti BedAt ca aBinnam api Binnam iva upacaryate trayam iti /
   tattvena tvekameva bhede pramāṇābhāvāt /	tattvena tu ekam eva Bede pramANa aBAvAt /
   tadevamekādaśānāṃ kāryāṇāṃ vyavasthānādekādaśa prāṇā iti śrutirāñjasī /	tat evam ekAdaSAnAm kAryANAm vyavasTAnAt ekAdaSa prANAH iti SrutiH AQjasI /
   tadanuguṇatayā tvitarāḥ śrutayo netavyāḥ /	tad anuguNa tayA tu itarAH SrutayaH netavyAH /
   tatrāvayutyanuvādena saptāṣṭanavadaśasaṃkhyāśrutayo yathaikaṃ vṛṇīte dvau	tatra avayuti anuvAdena sapta azwana vadaSa saMKyA SrutayaH yaTA ekam vRNIte dvO
   vṛṇīte iti trīn vṛṇīta ityetadānuguṇyāt /	vRNIte iti trIn vRNItaH iti etat AnuguNyAt /
   dvādaśatrayodaśasaṃkhyāśrutī tu kathañcidvṛttibhedena bhedaṃ	dvAdaSa trayodaSa saMKyA SrutI tu kaTaQcid vRtti Bedena Bedam
   vivakṣitvopāsanādiparatayā netavye /	vivakzitvA upAsana Adi paratayA netavye /
   tasmādekādaśaiva prāṇā netara iti siddham /	tasmAt ekAdaSa eva prANAH na itaraH iti sidDam /
   apica śīrṣaṇyānāṃ prāṇānāṃ yatsaptatvābhidhānaṃ tadapi	api ca SIrzaNyAnAm prANAnAm yat saptatva aBiDAnam tat api
   caturṣvevavyavasthāpanīyam, pramāṇāntaravirodhāt /	caturzu eva vyavasTApanIyam, pramANa antara viroDAt /
   na khalu dve cakṣuṣī, rūpopalabdhilakṣaṇasya kāryasyābhedāt /	na Kalu dve cakzuzI, rUpa upalabDi lakzaNasya kAryasya aBedAt /
   pihitaikacakṣuṣastu na tādṛśī rūpopalabdhirbhavati yādṛśī samagracakṣuṣaḥ,	pihita eka cakzuzaH tu na tAdRSI rUpa upalabDiH Bavati yAdRSI samagra cakzuzaH,
   tasmādekameva cakṣuradhiṣṭhānabhedena tu bhinnamivopacaryate /	tasmAt ekam eva cakzuH aDizWAna Bedena tu Binnam iva upacaryate /
   kāṇasyāpyekagolakagatena cakṣuravayavenopalambhaḥ /	kANasya api ekagolaka gatena cakzuH avayavena upalamBaH /
   etena ghrāṇaśrotre api vyākhyāte /	etena GrANa Srotre api vyAKyAte /
   iyamaparā sūtradvayayojanā saptaiva prāṇāḥ	iyam aparA sUtra dvaya yojanA  sapta eva prANAH
   cakṣurghrāṇarasanavākśrotramanastvaca utkrāntimantaḥ syuḥ /	cakzuH GrANa rasana vAc Srotra manaH tvacaH utkrAntimantaH syuH /
   saptānāmeva gatiśruterviśeṣitatvāditi vyākhyātuṃ śaṅkate nanu sarvaśabdo	saptAnAm eva gati SruteH viSezita tvAt iti vyAKyAtum SaFkate nanu sarva SabdaH 
   'pyatreti /	api atra iti /
   asyottaraṃviśeṣitatvāditi /	asya uttaraMviSezita tvAt iti /
   cakṣurādayastvakparyantā utkrāntau viśeṣitāḥ /	cakzuH AdayaH tvac paryantAH utkrAntO viSezitAH /
   tasmātsarvaśabdasya prakṛtāpekṣatvātsaptaiva prāṇā utkrāmanti na pāṇyādaya	tasmAt sarva Sabdasya prakRta apekza tvAt sapta eva prANAH utkrAmanti na pANi Adaya
   iti prāptam /	iti prAptam /
   codayati nanvatra vijñānamaṣṭamamiti /	codayati nanu atra vijQAnam azwamam iti /
   'na vijānātītyāhuḥ'ityanenānukrāntam /	ana vijAnAti iti AhuH aiti anena anukrAntam /
   pariharati naiṣa doṣa iti /	pariharati na eza dozaH iti /
   siddhāntamāha hastādayastvapare saptabhyo 'tiriktāḥ prāṇāḥutkrāntibhājo	sidDAnta mAha hasta AdayaH tu apare saptaByaH atiriktAH prANAH utkrAnti BAjaH 
   'vagamyante grahatvaśruterhastādīnām /	avagamyante graha tva SruteH hasta AdInAm /
   evaṃ khalveṣāṃ grahatvāmnānamupapadyeta /	evam Kalu ezAm graha tva AmnAnam upapadyeta /
   yadyāmukterātmānaṃ badhnīyuritarathā ṣāṭkośikaśarīravadeṣāṃ grahatvaṃ	yadi Am ukteH AtmAnam baDnIyuH itaraTA zAwkoSika SarIra vat ezAm graha tvam
   nāmnāyeta /	nAmnAyeta /
   ata eva ca smṛtireṣāṃ muktyavadhitāmāha puryaṣṭakeneti /	atas eva ca smRtiH ezAm mukti avaDitAm Aha puryazwakena iti /
   tathātharvaṇaśrutirapyeṣāmekādaśānām utkrāntimabhivadati /	taTA ATarvaNa SrutiH api ezAm ekAdaSAnAm utkrAntim aBivadati /
   tasmācchrutyantarebhyaḥ smṛteśca sarvaśabdārthāsaṃkocācca	tasmAt Sruti antareByaH smRteH ca sarva Sabda arTa asaMkocAt ca
   sarveṣāmutkrameṇa sthite 'sminnaivaṃ yaduktaṃ saptaiveti, kintu	sarvezAm utkrameNa sTite asmin nEvam yat uktam sapta eva iti, kintu
   pradarśanārthaṃ saptatvasaṃkhyeti siddham //6//	pradarSana arTam sapta tva saMKyA iti sidDam //6//
   START BsVBh_2,4.3.7	START BsVBh_2,4.3.7
   aṇavaś ca | BBs_2,4.7 |	aNavaH ca | BBH _2,4.7 |
   atra sāṃkhyānāmāhaṅkārikatvādindriyāṇāmahaṅkārasya ca	atra sAMKyAnAm AhaFkArika tvAt indriyANAm ahaFkArasya ca
   jagnāmaṇḍalavyāpitvātsarvagatāḥ prāṇāḥ /	jagnA maNxala vyApi tvAt sarva gatAH prANAH /
   vṛttisteṣāṃ śarīradeśatayā prādeśikī tannibandhanā ca gatyāgatiśrutiriti	vRttiH tezAm SarIra deSa tayA prAdeSikI tat nibanDanA ca gati Agati SrutiH iti
   manyante, tānpratyāha aṇavaśca prāṇā anudbhūtarūpaspaśartā cāṇutvaṃ	manyante, tAn pratyAha  aNavaH ca prANAH anudBUta rUpa spaSartA ca aNu tvam
   duradhigamatvānna tu paramāṇutvaṃ	duraDigama tvAt na tu paramANu tvam
   dehavyāpikāryānutpattiprasaṅgāttāpadūnasya śiśirahradanimagnasya	deha vyApi kArya anutpatti prasaFgAt tApa dUnasya SiSira hrada nimagnasya
   sarvāṅgīṇaśītasparśopalabdhirastītyuktam /	sarva aFgINa SIta sparSa upalabDiH asti iti uktam /
   etaduktaṃ bhavati yadi sarvagatānīndriyāṇi bhaveyustato	etat uktam Bavati yadi sarva gatAni indriyANi BaveyuH tatas 
   vyavahitavipravṛṣṭavastūpalambhaprasaṅgaḥ /	vyavahita vipravRzwa vastu upalamBa prasaFgaH /
   sarvagatatve 'pi dehāvacchinnānāmeva karaṇatvaṃ tena na	sarva gata tve api deha avacCinnAnAm eva karaNa tvam tena na
   vyavahitaviprakṛṣṭavastūpalambhaprasaṅga iti cet, hanta	vyavahita viprakRzwa vastu upalamBa prasaFgaH iti cet, hanta
   prāptāprāptāvivekena śarīrāvacchinnānāmeva teṣāṃ karaṇatvamindriyatvamiti	prApta aprApta avivekena SarIra avacCinnAnAm eva tezAm karaNa tvam indriya tvam iti
   na vyāpināmindriyabhāvaḥ /	na vyApinAm indriya BAvaH /
   tathāca nāmamātre visaṃvādo nārthe 'smābhistadindriyamucyate bhavadbhistu	taTA ca nAma mAtre visaMvAdaH na arTe asmABiH tat indriyam ucyate BavadBiH tu
   vṛttiriti siddhamaṇavaḥ prāṇā iti //7//	vRttiH iti sidDam aNavaH prANAH iti //7//
   START BsVBh_2,4.4.8	START BsVBh_2,4.4.8
