   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   padārthasvabhāvānanyathayitumarhati /	padArTa svaBAvAn anyaTayitum arhati /
   kintu tadavirodhenāvatiṣṭhate /	kintu tad aviroDena avatizWate /
   tatra kratvarthānāṃ nityavadāmnānāttathābhāvasya ca	tatra kratu arTAnAm nitya vat AmnAnAt taTA BAvasya ca
   saṃbhavānniyamenaitāntsamuccinotu /	saMBavAn niyamena etAn tsamuccinotu /
   kāmāvabaddhāstūpāsanāḥ kāmānāmanityatvānna samuccayena niyantumarhati /	kAma avabadDAH tu upAsanAH kAmAnAm anitya tvAt na samuccayena niyantum arhati /
   nahi kāmā vidhīyante yena samuccīyerannapi tūddiśyante /	nahi kAmAH viDIyante yena samuccIyeran= api tu uddiSyante /
   mānāntarānusārī coddeśo na tadvirodhenoddeśyamanyathayatī /	mAna antara anusArI ca uddeSaH na tad viroDena uddeSyam anyaTayatI /
   tathā satyuddeśānupapatteḥ /	taTA sati uddeSa anupapatteH /
   tasmātkāmānāmanityatvāttadavabaddhānāmupāsanānāmapyanityatvam /	tasmAt kAmAnAm anitya tvAt tad avabadDAnAm upAsanAnAm api anitya tvam /
   nityānityasaṃyogavirodhāt satyapi tadāśrayāṇāṃ nityatve idameva	nitya anitya saMyoga viroDAt sati api tad ASrayANAm nitya tve idam eva
   cāśrayatantratvamāśritānāṃ yadāśraye satyeva vṛttirnāsatīti /	ca ASraya tantra tvam ASritAnAm yad ASraye sati eva vRttiH na asati iti /
   na tu tatra vṛttireva nāvṛttiriti tadidamuktam āśrayatantrāṇyapi hīti	na tu tatra vRttiH eva na AvRttiH iti tat idam uktam  a ASraya tantrANi api hi iti
   START BsVBh_3,3.36.62	START BsVBh_3,3.36.62
   śiṣṭeś ca | BBs_3,3.62 |	SizweH ca | BBH _3,3.62 |
   START BsVBh_3,3.36.63	START BsVBh_3,3.36.63
   samāhārāt | BBs_3,3.63 |	samAhArAt | BBH _3,3.63 |
   hotṛṣadanāddhaivāpi durudgīthamanusamāharatīti /	hotRzadanAt ha eva api durudgITam anusamAharati iti /
   apirbhinnakamo dirudgīthamapīti /	apiH Binna kamaH dirudgITam api iti /
   vedāntarohitapraṇavodgīthaikatvapratyayasāmarthyāddhotṛkarmaṇaḥ	vedAnta rohita praNava udgITa eka tva pratyaya sAmarTyAt hotR karmaNaH
   śaṃsanādudgātā pratisamādadhāti kiṃ tadityata āha durudgīthamapi	SaMsanAt udgAtA pratisamAdaDAti kim tat iti atas Aha durudgITam api
   vedāntarodite caudgātre karmaṇi utpannaṃ kṣatam /	vedAntara udite ca OdgAtre karmaNi utpannam kzatam /
   evaṃ bruvanvedāntaroditasya pratyasyetyādi yojanīyam //63//	evam bruvan veda antara uditasya pratyasya ityAdi yojanIyam //63//
   START BsVBh_3,3.36.64	START BsVBh_3,3.36.64
   guṇasādhāraṇyaśruteś ca | BBs_3,3.64 |	guNa sADa araNya SruteH ca | BBH _3,3.64 |
   asya sūtrasyānvayamukhena vyatirekamukhena ca vyākhyā /	asya sUtrasya anvaya muKena vyatireka muKena ca vyAKyA /
   śeṣamatirohitārtham //64//	Sezam ati rohita arTam //64//
   START BsVBh_3,3.36.65	START BsVBh_3,3.36.65
   na vā tatsahabhāvāśruteḥ | BBs_3,3.65 |	na vA tad sahaBAva aSruteH | BBH _3,3.65 |
   START BsVBh_3,3.36.66	START BsVBh_3,3.36.66
   darśanāc ca | BBs_3,3.66 |	darSanAt ca | BBH _3,3.66 |
   iti śrīvācaspatimiśraviracite śārīrakabhagavatpādabhāṣyavibhāge bhāmatyāṃ	iti SrI vAcaspati miSravi racite SArIraka Bagavat pAda BAzya viBAge BAmatyAm
   tṛtīyādhyāyasya tṛtīyaḥ pādaḥ //3//	tRtIya aDyAyasya tRtIyaH pAdaH //3//
   tṛtīyādhyāye caturthaḥ pādaḥ /	tRtIyA aDyAye caturTaH pAdaH /
   START BsVBh_3,4.1.1	START BsVBh_3,4.1.1
   puruṣārtho 'taḥ śabdād iti bādarāyaṇaḥ | BBs_3,4.1 |	puruza arTaH atas SabdAt iti bAdarAyaNaH | BBH _3,4.1 |
   sthitaṃ	sTitam
   kṛtvopaniṣadāmapavargākhyapuruṣārthasādhanātmajñānaparatvamupāsanānāṃ ca	kRtvA upanizadAm apavarga AKya puruza arTa sADana Atma jQAna paratvam upAsanAnAm ca
   tattatpuruṣārthasādhanatvamadhastanaṃ vicārajātamabhinirvartitam /	tad tad puruza arTa sADana tvam aDastanam vicAra jAtam aBinirvartitam /
   samprati tu kimaupaniṣadātmatattvajñānamapavargasādhanatayā puruṣārthamāho	samprati tu kim Opanizada Atma tattva jQAnam apavarga sADana tayA puruza arTam Aho
   kratuprayogāpekṣitakartṛpratipādakatayā kratvarthamiti mīmāṃsāmahe /	kratu prayoga apekzita kartR pratipAdaka tayA kratu arTam iti mImAMsAmahe /
   yadā ca kratvarthaṃ tadā yāvanmātraṃ kratuprayogavidhināpekṣitaṃ	yadA ca kratu arTam tadA yAvat mAtram kratu prayoga viDinA apekzitam
   kartṛtvamāmuṣmikaphalopabhoktṛtvaṃ ca na caitadanityatve ghaṭate	kartR tvam Amuzmika Pala upaBoktR tvam ca na ca etat anitya tve Gawate
   kṛtavipraṇāśākṛtābhyāgamaprasaṅgādato nityatvamapi, tāvanmātramupaniṣatsu	kRta vipraNASa akRta aByAgama prasaFgAt atas nitya tvam api, tAvat mAtram upanizatsu
   vivakṣitam /	vivakzitam /
   ito 'nyadanapekṣitaṃ viparītaṃ ca nopaniṣadarthaḥ syāt /	itas anyat anapekzitam viparItam ca na upanizad arTaH syAt /
   yathā śuddhatvādi /	yaTA SudDa tva Adi /
   yadyapi jīvānuvādena tasya brahmatvapratipādanaparatvamupaniṣadāmiti	yadi api jIva anuvAdena tasya brahma tva pratipAdana paratvam upanizadAm iti
   mahatā prabandhena tatra tatra pratipāditaṃ tathāpyatra	mahatA prabanDena tatra tatra pratipAditam taTA api atra
   keṣāñcitpūrvapakṣaśaṅkābījānāṃ nirākaraṇe tadeva sthūṇānikhanananyāyena	kezAQcid pUrva pakza SaFkA bIjAnAm nirAkaraNe tat eva sTUNA niKanana nyAyena
   niścalīkriyata ityapyasti vicāraprayojanam /	niScalIkriyate iti api asti vicAra prayojanam /
   tatra yadyapi prokṣaṇādivadātmajñānaṃ na kañcitkratumārabhyādhītam,	tatra yadi api prokzaNa Adi vat Atma jQAnam na kaQcid kratum AraBya aDItam,
   yadyapi ca kartṛmātraṃ nāvyabhicāritakratusaṃbandhaṃ kartṛmātrasya	yadi api ca kartR mAtram na avyaBicArita kratu saMbanDam kartR mAtrasya
   laukikeṣvapi karmasu darśanādyena	lOkikezu api karmasu darSana Adyena
   parṇatādivadanārabhyādhītamapyavyabhicaritakratusaṃbandhajuhūdvāreṇa	parNata Adi vat anAraBya aDItam api avyaBicarita kratu saMbanDa juhU dvAreNa
   vākyenaiva kratvarthamāpadyate tathāpi yādṛśa ātmā	vAkyena eva kratu arTam Apadyate taTA api yAdRSaH AtmA
   kartāmuṣmikasvargādiphalabhogabhāgīdehādyatirikto vedāntaiḥ pratipādyate	kartA muzmika svarga Adi Pala Boga BAgI deha Adi atiriktaH vedAntEH pratipAdyate
   na tādṛśasyāsti laukikeṣu karmasūpayogaḥ /	na tAdRSasya asti lOkikezu karma su upayogaH /
   teṣāmaihikaphalānāṃ śarīrānatiriktenāpi yādṛśatādṛśena kartropapatteḥ /	tezAm Ehika PalAnAm SarIra anatiriktena api yAdRSa tAdRSena kartrA upapatteH /
   āmuṣmikaphalānāṃ tu vaidikānāṃ karmaṇāṃ tamantareṇāsaṃbhavāttatsaṃbandha	Amuzmika PalAnAm tu vEdikAnAm karmaNAm tam antareNa asaMBavAt tad saMbanDa
   evāyamaupaniṣadaḥ karteti	eva ayam OpanizadaH kartA iti
   tadavyabhicārāttānyanusmārayajjuhvādivadvākyenaiva tajjñānaṃ	tat avyaBicArAt tAni anusmArayat juhvA Adi vat vAkyena eva tat jQAnam
   parṇatāvatkratvaidamarthyamāpadyata iti phalaśrutirarthavādaḥ /	parNa tA vat kratvEdam arTyam Apadyate iti Pala SrutiH arTa vAdaH /
   taduktam 'dravyasaṃskārakarmasu parārthatvātphalaśrutirarthavādaḥ syāt'iti	tad ukta m  adravya saMskAra karmasu para arTa tvAt Pala SrutiH arTa vAdaH syAt aiti
   aupaniṣadātmajñānasaṃskṛto hi kartā pāralaukikaphalopabhogayogyo 'smīti	Opanizada Atma jQAna saMskRtaH hi kartA pAralOkika Pala upaBoga yogyaH asmi iti
   vidyāvācchraddhāvānkratuprayogāṅgaṃ nānyathā prokṣitā iva vrīhayaḥ	vidyAvAcSradDAvAn kratu prayoga aFgam na anyaTA prokzitAH iva vrIhayaH
   kratvaṅgamiti /	kratu aFgam iti /
   priyādisūcitasya ca saṃsāriṇa evātmano draṣṭavyatvena	priya Adi sUcitasya ca saMsAriNaH eva AtmanaH drazwavya tvena
   pratijñāpanādapahatapāpmatvādi tu tadviśeṣaṇaṃ tasyaiva stutyartham /	pratijQApanAt apahata pApma tva Adi tu tad viSezaNam tasya eva stuti arTam /
   na tu tatparatvamupaniṣadām /	na tu tad para tvam upanizadAm /
   tasmātkratvarthamevātmajñānaṃ kartṛsaṃskāradvārā na punaḥ puruṣārthamiti /	tasmAt kratvarTam eva Atma jQAnam kartR saMskAra dvArAH na punar puruza arTam iti /
   etadupodbalanārthaṃ ca brahmavidāmācārādiḥ śrutyavagata upanyastaḥ /	etat upodbalana arTam ca brahma vidAm AcAra AdiH Sruti avagataH upanyastaH /
   na kevalaṃ vākyādātmajñānasya kratvarthatvam /	na kevalam vAkyAt Atma jQAnasya kratu arTa tvam /
   tṛtīyāśruteśca /	tRtIyA SruteH ca /
   na tvetatprakṛtodgīthavidyāviṣayaṃ yadeva vidyayeti	na tu etat prakRta udgITa vidyA vizayam yat eva vidyayA iti
   sarvanāmāvadhāraṇābhyāṃ vyāpteradhigamat /	sarva nAma avaDAraNAByAm vyApteH aDigamat /
   yathā ya eva dhūmavāndeśaḥ sa vahnimāniti /	yaTA yaH eva DUmavAn deSaH sa vahnimAn iti /
   samanvārambhavacanaṃ ca phalārambhe vidyākarmaṇoḥ sāhityaṃ darśayati /	samanvAramBa vacanam ca Pala AramBe vidyA karmaNoH sAhityam darSayati /
   tacca yadyapyāpneyādiyāgaṣaṭkavatsamapradhānatvenāpi bhavati tathāpyuktayā	tat ca yadi api Apneya Adi yAga zawka vat sama praDAna tvena api Bavati taTA api uktayA
   yuktyā vidyāyāḥ karma pratyaṅgabhāvenaiva netavyam /	yuktyA vidyAyAH karma pratyaFga BAvena eva netavyam /
   vedārthajñānavataḥ karmavidhānādupaniṣado 'pi vedārtha iti tajjñānamapi	veda arTa jQAnavataH karma viDAnAt upanizadaH api veda arTaH iti tat jQAnam api
   karmāṅgamiti //1//	karma aFgam iti //1//
   START BsVBh_3,4.1.2	START BsVBh_3,4.1.2
   śeṣatvāt puruṣārthavādo yathānyeṣv iti jaiminiḥ | BBs_3,4.2 |	Seza tvAt puruza arTa vAdaH yaTA anyezu iti jEminiH | BBH _3,4.2 |
   START BsVBh_3,4.1.3	START BsVBh_3,4.1.3
   ācāradarśanāt | BBs_3,4.3 |	AcAra darSanAt | BBH _3,4.3 |
   START BsVBh_3,4.1.4	START BsVBh_3,4.1.4
   tacchruteḥ | BBs_3,4.4 |	tat SruteH | BBH _3,4.4 |
   START BsVBh_3,4.1.5	START BsVBh_3,4.1.5
   samanvārambhaṇāt | BBs_3,4.5 |	samanvAramBaNAt | BBH _3,4.5 |
   START BsVBh_3,4.1.6	START BsVBh_3,4.1.6
   tadvato vidhānāt | BBs_3,4.6 |	tadvataH viDAnAt | BBH _3,4.6 |
   START BsVBh_3,4.1.7	START BsVBh_3,4.1.7
   niyamāc ca | BBs_3,4.7 |	niyamAt ca | BBH _3,4.7 |
   sugamam //7//	sugamam //7//
   START BsVBh_3,4.1.8	START BsVBh_3,4.1.8
   siddhāntayati 	sidDAntayati 
   adhikopadeśāt tu bādarāyaṇasyaivaṃ taddarśanāt | BBs_3,4.8 |	aDika upadeSAt tu bAdarAyaNasya evam tad darSanAt | BBH _3,4.8 |
   yadi śarīrādyatiriktaḥ kartā bhoktātmetyetanmatra upaniṣadaḥ paryavasitāḥ	yadi SarIra Adi atiriktaH kartA BoktA AtmA iti etat matraH upanizadaH paryavasitAH
   syustataḥ syādevaṃ, na tvetadasti /	syuH tatas syAt evaM, na tu etat asti /
   tāstvevaṃbhūtajīvānuvādena tasya	tAH tu evaMBUta jIva anuvAdena tasya
   śuddhabuddhodāsīnabrahmarūpatāpratipādanaparā iti tatra tatrāsakṛdāveditam	SudDa budDa udAsIna brahma rUpa tA pratipAdana parAH iti tatra tatra asakRt Aveditam
   anadhigatārthabodhanasvarasatā hi śabdasya pramāṇāntarasiddhānuvādena /	anaDigata arTa boDana svarasa tA hi Sabdasya pramANa antara sidDa anuvAdena /
   tathā caupaniṣadātmajñānasya kratvanuṣṭhānavirodhinaḥ kratusaṃbandha eva	taTA ca Opanizada Atma jQAnasya kratu anuzWAna viroDinaH kratu saMbanDaH eva
   nāsti /	na asti /
   kimaṅga punaḥ tadavyabhicārastataśca kratuśeṣatā /	kim aFga punar tat avyaBicAraH tatas ca kratu Seza tA /
   tathāca nāpavargaphalaśruterarthavādamātratvamapi tu phalaparatvameva /	taTA ca na apavarga Pala SruteH arTa vAda mAtra tvam api tu Pala paratvam eva /
   ata eva priyādisūcitena saṃsāriṇātmanopakramya tasyaivātmano	atas eva priya Adi sUcitena saMsAriNa AtmanA upakramya tasya eva AtmanaH 
   'dhikopadidīkṣāyāṃ paramātmanātyantābheda upadiśyate /	aDika upadidIkzAyAm paramAtmanA atyanta aBedaH upadiSyate /
   yathā samāropitasya bhujagasya rajjurūpādatyantābhedaḥ pratipādyate yo	yaTA samAropitasya Bujagasya rajju rUpAt atyanta aBedaH pratipAdyate yaH 
   'yaṃ sarpaḥ sā rajjuriti /	ayam sarpaH sA rajjuH iti /
   yathā vidyāyāḥ karmāṅgatve darśanamupanyastamevakarmāṅgatve darśanamuktam	yaTA vidyAyAH karma aFga tve darSanam upanyastam eva karma aFga tve darSanam uktam
   tatra karmāṅgatvadarśanānāmanyathāsiddhiruktā kevalavidyādarśanānāṃ tu	tatra karma aFga tva darSanAnAm anyaTA sidDiH uktA kevala vidyA darSanAnAm tu
   nānyathāsiddhiḥ //8//	na anyaTA sidDiH //8//
   START BsVBh_3,4.1.9	START BsVBh_3,4.1.9
   tulyaṃ tu darśanam | BBs_3,4.9 |	tulyam tu darSanam | BBH _3,4.9 |
   START BsVBh_3,4.1.10	START BsVBh_3,4.1.10
   asārvatrikī | BBs_3,4.10 |	asArvatrikI | BBH _3,4.10 |
   vyāptirapyudgīthavidyāpekṣayā tasyā eva prakṛtatvānna tvaśeṣāpekṣayā /	vyAptiH api udgITa vidyA apekzayA tasyAH eva prakRta tvAt na tu aSeza apekzayA /
   yatha sarve brāhmaṇā bhojyantāmiti nimantritāpekṣayā teṣāmeva prakṛtatvāt	yaTa sarve brAhmaNAH BojyantAm iti nimantrita apekzayA tezAm eva prakRta tvAt 
   START BsVBh_3,4.1.11	START BsVBh_3,4.1.11
   vibhāgaḥ śatavat | BBs_3,4.11 |	viBAgaH Sata vat | BBH _3,4.11 |
   sugamam /	sugamam /
   avibhāge 'pi na doṣa ityāha na cedaṃ samanvārambhavacanamiti /	aviBAge api na dozaH iti Aha na ca idam samanvAramBa vacanam iti /
   saṃsāriviṣayā vidyāvihitāyathodgīthavidyā /	saMsAri vizayA vidyA vihitAyaTa udgITa vidyA /
   pratiṣiddhā ca yathāsacchāstrādhigamanalakṣaṇā //11//	pratizidDA ca yaTA asat SAstra aDigamana lakzaNAH //11//
   START BsVBh_3,4.1.12	START BsVBh_3,4.1.12
   adhyayanamātravataḥ | BBs_3,4.12 |	aDyayana mAtravataH | BBH _3,4.12 |
   adhyayanamātravata eva karmavidhirnatūpaniṣadadhyayanavataḥ /	aDyayana mAtravataH eva karma viDiH natu upanizad a DyayanavataH /
   etaduktaṃ bhavati yadadhyayanamarthāvabodhaparyantaṃ karmasūpayujyate	etat uktam Bavati yat aDyayanam arTa avaboDa paryantam karmasu upayujyate
   yathā karmavidhivākyānāṃ tanmātravata evādhikāraḥ karmasu	yaTA karma viDi vAkyAnAm tat mAtravataH eva aDikAraH karmasu
   nopaniṣadadhyanavataḥ tadadhyayanasya karmasvanupayogāditi /	na upanizadaDyanavataH tad aDyayanasya karmasu anupayogAt iti /
   adhyayanamātravata eveti mātragrahaṇenārthajñānaṃ vā vyavacchinnamiti	aDyayana mAtravataH eva iti mAtra grahaNena arTa jQAnam vA vyavacCinnam iti
   manvāno bhrāntaścodayati nanvevaṃ satīti /	manvAnaH BrAntaH codayati nanu evam sati iti /
   svābhiprāyamudghāṭayansamādhatte na vayamiti /	sva aBiprAyam udGAwayan samADatte na vayam iti /
   upaniṣadadhyayanāpekṣaṃ mātragrahaṇaṃ nārthabodhāpekṣamityarthaḥ //12//	upanizad aDyayana apekzam mAtra grahaNam na arTa boDa apekzam iti arTaH //12//
   START BsVBh_3,4.1.13	START BsVBh_3,4.1.13
   nāviśeṣāt | BBs_3,4.13 |	na aviSezAt | BBH _3,4.13 |
   kurvanneveha karmāṇītyavidyāvadviṣayamityarthaḥ //13//	kurvan= eva iha karmANi iti avidyAvat vizayam iti arTaH //13//
   START BsVBh_3,4.1.14	START BsVBh_3,4.1.14
   vidyāvadviṣayatve 'pyavirodho vidyāstutyarthatvādityāha 	vidyAvat vizaya tve api aviroDaH vidyAstuti arTa tvAt iti Aha 
   stutaye 'numatir vā | BBs_3,4.14 |	stutaye anumatiH vA | BBH _3,4.14 |
   START BsVBh_3,4.1.15	START BsVBh_3,4.1.15
   kāmakāreṇa caike | BBs_3,4.15 |	kAmakAreNa ca eke | BBH _3,4.15 |
   apica vidyāphalaṃ pratyakṣaṃ darśayantī śrutiḥ	api ca vidyA Palam pratyakzam darSayantI SrutiH
   kālāntarabhāviphalakarmāṅgatvaṃ vidyāyā nirākarotītyāha kāmakāreṇa caike /	kAla antara BAvi Pala karma aFga tvam vidyAyAH nirAkaroti iti Aha  kAmakAreNa ca eke /
   kāmakāra icchā //15//	kAmakAraH icCA //15//
   START BsVBh_3,4.1.16	START BsVBh_3,4.1.16
   upamardaṃ ca | BBs_3,4.16 |	upamardam ca | BBH _3,4.16 |
   adhikopadeśādityanenātmana eva śuddhabuddhodāsīnatvādaya uktāḥ /	aDika upadeSAt iti anena AtmanaH eva SudDa budDa udAsIna tva AdayaH uktAH /
   iha tu samastakriyākārakaphalavibhāgopamardaṃ ceti //16//	iha tu samasta kriyA kAraka Pala viBAga upamardam ca iti //16//
   START BsVBh_3,4.1.17	START BsVBh_3,4.1.17
   ūrdhvaretaḥsu ca śabde hi | BBs_3,4.17 |	UrDvaretaHsu ca Sabde hi | BBH _3,4.17 |
   subodham //17//	su boDam //17//
   START BsVBh_3,4.2.18	START BsVBh_3,4.2.18
   parāmarśaṃ jaiminiracodanā cāpavadati hi | BBs_3,4.18 |	parAmarSam jEminiracodanA ca apavat ati hi | BBH _3,4.18 |
   siddha ūrdhvaretasāmāśramitve tadvidyānāmakarmāṅgatayāpavargārthaṃ syāt /	sidDaH UrDvaretasAm ASrami tve tad vidyAnAm akarma aFga tayA apavarga arTam syAt /
   āśramitvaṃ tveṣāmanyārthaparāmarśamātrānna sidhyati /	ASrami tvam tu ezAm anya arTa parAmarSa mAtrAt na siDyati /
   vidhyabhāvāt /	viDi aBAvAt /
   smṛtyācāraprasiddhiśca teṣāṃ pratyakṣaśrutivirodhādapramāṇam /	smRti AcAra prasidDiH ca tezAm pratyakza Sruti viroDAt apramANam /
   nindati hi pratyakṣā śrutirāśramāntaraṃ 'vīrahā vā eṣa devānām'ityādikā /	nindati hi pratyakzA SrutiH ASrama antaram avIra hA vE eza devAnAm aitya AdikAH /
   pratyakṣaśrutivirodhe ca smṛtyācārayoraprāmāṇyamuktaṃ 'virodhe tvanapekṣaṃ	pratyakza Sruti viroDe ca smRti AcArayoH aprAmANyam uktam aviroDe tu anapekzam
   syādasati hyanumānam'iti /	syAt asati hi anumAnam aiti /
   tadetatsarvamāha trayo dharmaskandhā ityādinā /	tat etat sarvamAha trayaH Darma skanDAH ityAdinA /
   anadhikṛtaviṣayā veti /	anaDikRta vizayA vA iti /
   andhapaṅgvādayo hi ye	anDa paFgu AdayaH hi ye
   naimittikakarmānadhikṛtāstānpratyāśramāntaravidhiriti /	nEmittika karma an aDikRtAH tAn pratyASrama antara viDiH iti /
   apicāpavaditi hi /	apicApa vat iti hi /
   na kevalamanyaparatayā parāmarśasyāśramāntaraṃ na labhyate api	na kevala m anya para tayA parAmarSasya ASrama antaram na laByate api
   tvāśramāntaranindādvāreṇāpavādādapītyarthaḥ /	tu ASrama antara nindA dvAreNa apavAdAt api iti arTaH /
   syādetat /	syAt etat /
   bhavatveṣa parāmarśo 'nyārthaḥ /	Bavatu eza parAmarSaH anya arTaH /
   ye ceme 'raṇya ityādibhyastvāśramāntaraṃ setasyatītyata āha ye ceme 'raṇya	ye ca ime araNyaH iti AdiByaH tu ASrama antaram setasyati iti atas Aha ye ca ime araNya
   iti /	iti /
   asyāpi devapathopadeśaparatvānnaitatparatvamityarthaḥ /	asya api deva paTa upadeSa paratva at na etat paratvam iti arTaH /
   na cānyaparādapi sphuṭatarāśramāntarapratyata ityāha saṃdigdhaṃ ceti /	na ca anya parAt api sPuwatara ASrama antara pratyatas iti Aha  saMdigDam ca iti /
   nahi tapa eva dvitīya ityatrāśramāntarābhidhāyī kaścidasti śabda iti /	na hi tapaH eva dvitIyaH iti atra ASrama antara aBiDAyI kaScid asti SabdaH iti /
   nanvetameva pravrājina iti vacanādāśramāntaraṃ setsyatītyata	nanu etam eva pravrAjinaH iti vacanAt ASrama antaram setsyati iti ata
   āha tathaitameveti /	Aha taTA etam eva iti /
   etadapi lokasaṃstanavanaparamiti /	etat api loka saMstana vana param iti /
   adhikaraṇārambhamākṣipya nāsti pratyakṣavacanamitikṛtvā cinteyamiti	aDikaraNa AramBam Akzipya na asti pratyakza vacanam iti kRtvA cintA iyam iti
   samādhatte nanu brahmacaryādeveti //18//	samADatte nanu brahmacaryAt eva iti //18//
   START BsVBh_3,4.2.19	START BsVBh_3,4.2.19
   anuṣṭheyaṃ bādarāyaṇaḥ sāmyaśruteḥ | BBs_3,4.19 |	anuzWeyam bAdarAyaNaH sAmya SruteH | BBH _3,4.19 |
   bhavatvanyārthaḥ parāmarśastathāpyetasmādāśramāntarāṇi pratīyamānāni ca	Bavatu anyArTaH parAmarSaH taTA api etasmAt ASrama antarANi pratIyamAnAni ca
   nāpākaraṇamarhanti /	na apAkaraNam arhanti /
   evaṃ tānyapākriyeranyadyasmānna pratīyeran /	evam tAni apAkriyeH an yadyasmAt na pratIyeran /
   pratīyamānāni vā śrutyā bādhyeran /	pratIyamAnAni vA SrutyA bADyeran /
   na tāvanna pratīyante /	na tAvat na pratIyante /
   tathāhi trayo dharmaskandhā iti skandhatritvaṃ pratijñātam /	taTA hi trayaH Darma skanDAH iti skanDa tritvam pratijQAtam /
   tatra skandhaśabdo yadyāśramaparo na syādapi tu samūhavacanastato	tatra skanDa SabdaH yadi ASrama paraH na syAt api tu samUha vacanaH tatas 
   dharmāṇāṃ yajñādīnāṃ prātisvikotpattīnāṃ kimapekṣya tritvasaṅkhyā	DarmANAm yajQa AdInAm prAtisvika utpattInAm kim apekzya tritva saFKyA
   suvyavasthāpyeta /	su vyavasTApyeta /
   ekaikāśramopasaṃgṛhītāstvāśramāṇāṃ tritvācchakyāstritve	ekEka ASrama upasaMgRhItAH tu ASramANAm tri tvAt SakyAH tri tve
   vyavasthāpayitumityāśramatritvapratijñopapattiḥ /	vyavasTApayitum iti ASram atri tva pratijQa upapattiH /
   tatra yajñādiliṅgo gṛhāśrama eko dharmaskandho brahmacārīti dvitīyastapa	tatra yajQa Adi liFgaH gRhASramaH ekaH Darma skanDaH brahmacArI iti dvitIyaH tapa
   iti ca, tapaḥpradhānāttu vānaprasthāśramānnānyaḥ, brahmasaṃstha iti ca	iti ca, tapaH praDAnAt tu vAnaprasTa ASramAt na anyaH, brahma saMsTaH iti ca
   pāriśeṣyātparivrāḍiti vakṣyati /	pAriSezyAt parivrAj iti vakzyati /
   tasmādanyaparādapi parāmarśādaśramāntarāṇi pratīyamānāni	tasmAt anya parAt api parAmarSAt aSrama antarANi pratIyamAnAni
   devatādhikaraṇanyāyena na śakyante 'pākartum /	devatA aDikaraNa nyAyena na Sakyante apAkartum /
   naca pratyakṣaśrutivirodho vīrahā vetyādeḥ pratipannagārhasthyaṃ	na ca pratyakza Sruti viroDaH vIra hA vA ityAdeH pratipanna gArhasTyam
   pramādādajñānādvāgnimudvāsayituṃ pravṛttaṃ pratyupapatteḥ /	pramAdAt ajQAnAt vA agnim udvAsayitum pravRttam pratyupapatteH /
   evañca avirodhe siddhavatparāmarśādaśramāntarāṇāṃ śāstrāntarasiddhiṃ vā	evaQca aviroDe sidDa vat parAmarSAt aSrama antarANAm SAstra antara sidDim vA
   kalpayiṣyāmo yathopavītavidhipare vākye 'upavyayate devalakṣmameva	kalpayizyAmaH yaTA upavIta viDi pare vAkye aupavyayate deva lakzmam eva
   tatkurute'ityatra nivītaṃ manuṣyāṇāṃ prācīnāvītaṃ pitṛṇāmiti	tat kurute aiti atra nivItam manuzyANAm prAcInAvItam pitRNAm iti
   śāstrāntarasiddhayornivītaprācīnāvītayoḥ parāmarśa iti //19//	SAstra antara sidDayoH nivIta prAcInAvItayoH parAmarSaH iti //19//
   START BsVBh_3,4.2.20	START BsVBh_3,4.2.20
   vidhir vā dhāraṇavat | BBs_3,4.20 |	viDiH vA DAraNa vat | BBH _3,4.20 |
   yadyapi brahmasaṃsthatvastutiparatayāsya saṃdarbhasyaikavākyatā gamyate /	yadi api brahma saMsTa tva stuti paratayA asya saMdarBasya eka vAkyatA gamyate /
   saṃbhavāntyāṃ caikavākyatāyāṃ vākyabhedo 'nyāyyaḥ /	saMBavAntyAm ca eka vAkyatAyAm vAkya BedaH anyAyyaH /
   tathāpyāśramāntarāṇāṃ pūrvasiddherabhāvātparāmarśānupapatteḥ, aparāmarśe	taTA api ASrama antarANAm pUrva sidDeH aBAvAt parAmarSa anupapatteH, aparAmarSe
   ca stuterasaṃbhavena kiṃparatayā ekavākyatāstvitī tāṃ bhaṅktvā	ca stuteH a saMBavena kiMparatayA eka vAkyatAH tu itI tAm BaFktvA
   dhāraṇavadvaramapūrvatvādvidhirevāstu /	DAraNavat varam apUrva tvAt viDiH eva astu /
   yathā 'adhastātsamidhaṃ dhārayannanudravedupari hi devebhyo	yaTA aaDastAt samiDam DArayan= anudravet upari hi deveByaH 
   dhārayati'ityatra satyāmapyadhodhāraṇenaikavākyatāpratītau vidhīyata	DArayati aityatra satyAm api aDas DAraNena eka vAkyatA pratItO viDIyata
   evoparidhāraṇamapūrvatvāt /	eva upari DAraNam apUrva tvAt /
   tathoktam 'vidhistu dhāraṇe 'pūrvatvāt'iti /	taTA uktam aviDiH tu DAraNe apUrva tvAt aiti /
   tathehāpyāśramāntaraparāmarśaśrutirvidhareveti kalpyte /	taTA iha api ASrama antara parAmarSa SrutiH viDareva iti kalpyte /
   saṃprati parāmarśe 'pītareṣāmāśramāṇāṃ brahmasaṃsthatā	saMprati parAmarSe api itarezAm ASramANAm brahma saMsTatA
   saṃstavasāmarthyādeva vidhātavyā /	saMstava sAmarTyAt eva viDAtavyAH /
