   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   K.715b/ triṣu varṇeṣu vijñeyaṃ dāsyaṃ viprasya na kvacit //	K.715b/ trizu varNezu vijQeyam dAsyam viprasya na kvacid //
   K.716a/ varṇānām anulāmyena dāsyaṃ na pratilomataḥ /	K.716a/ varNAnAm anulAmyena dAsyam na pratilomataH /
   K.716b/ rājanya.vaiśya.śūdrāṇāṃ tyajatāṃ hi svatantratām //	K.716b/ rAjan-ya.-vESya.-SUdrANAm tyajatAm hi svatantra-tAm //
   K.717a/ samavarṇo^api vipraṃ tu dāsatvaṃ na^eva (kārayet /	K.717a/ sama-varNaH-^api vipram tu dAsa-tvam na^eva (kArayet /
   K.717b/ brāhmaṇasya hi dāsatvān nṛpa.tejo (vihanyate //	K.717b/ brAhmaNasya hi dAsa-tvAt nRpa.-tejaH (vihanyate //
   K.718a/ kṣatra.viś.śūdra.dharmas tu samavarṇe kadācana /	K.718a/ kzatra.viS.-Su-udra.-DarmaH tu sama-varNe kadAcana /
   K.718b/ (kārayed dāsa.karmāṇi brāhmaṇaṃ na bṛhaspatiḥ //	K.718b/ (kArayet dAsa.karmANi brAhmaNam na bRhaspatiH //
   K.719a/ śīla.adhyayana.saṃpanne tadūnaṃ karma kāmataḥ /	K.719a/ SIla-.aDyayana.-saMpanne tat-Unam karma kAmataH /
   K.719b/ tatra^api nāśubhaṃ kiṃcit (prakurvīta dvijottamaḥ //	K.719b/ tatra^api na-aSuBam kiMcid (prakurvIta dvijottamaH //
   K.720a/ viṣ.mūtra.unmārjanaṃ ca^eva nagnatva.parimardanam /	K.720a/ viz.-mUtra-.unmArjanam ca^eva nagna-tva.-parimardanam /
   K.720b/ prāyo dāsī.sutāḥ (kuryur gava.ādi.grahaṇaṃ ca yat //	K.720b/ prAyas dAsI.-sutAH (kuryuH gava.Adi-.grahaNam ca yat //
   K.721a/ pravrajyā.vasitā yatra trayo varṇā dvija.ādayaḥ /	K.721a/ pravrajyA-a.vasitAH yatra trayaH varNAH dvija.a-AdayaH /
   K.721b/ nirvāsaṃ (kārayed vipraṃ dāsatvaṃ kṣatraviḍ nṛpaḥ //	K.721b/ nirvAsam (kArayet vipram dAsa-tvam kzatra-viz nRpaH //
   K.722a/ śūdraṃ tu (kārayed dāsaṃ krītam akrītam eva vā /	K.722a/ SUdram tu (kArayet dAsam krItam akrItam eva vA /
   K.722b/ dāsyāya^eva hi sṛṣṭaḥ sa svayam eva svayam bhuvā //	K.722b/ dAsyAya^eva hi sRzwaH sa svayam eva svayam BuvA //
   K.723a/ svadāsīṃ yas tu (saṃgacchet prasūtā ca (bhavet tataḥ /	K.723a/ sva-dAsIm yaH tu (saMgacCet prasUtA ca (Bavet tatas /
   K.723b/ avekṣya bījaṃ kāryā (syān na dāsī sānvayā tu sā //	K.723b/ avekzya bIjam kAryA (syAt na dAsI sa-anvayA tu sA //
   K.724a/ dāsasya tu dhanaṃ yat (syāt svāmī tasya prabhuḥ smṛtaḥ /	K.724a/ dAsasya tu Danam yat (syAt svAmI tasya praBuH smRtaH /
   K.724b/ prakāśaṃ vikrayād yat tu na svāmī dhanam (arhati //	K.724b/ prakASam vikrayAt yat tu na svAmI Danam (arhati //
   K.725a/ dāsena^ūḍhā svadāsī yā sā^api dāsītvam (āpnuyāt /	K.725a/ dAsena^UXA sva-dAsI yA sA^api dAsI-tvam (ApnuyAt /
   K.725b/ yasmād bhartā prabhus tasyāḥ svāmi.adhīnaḥ prabhur yataḥ //	K.725b/ yasmAt BartA praBuH tasyAH svAmi-.aDInaH praBuH yatas //
   K.726a/ (ādadyād brāhmaṇīṃ yas tu (cikrīṇīta tathā^eva ca /	K.726a/ (AdadyAt brAhmaNIm yaH tu (cikrINIta taTA^eva ca /
   K.726b/ rājñā tad akṛtaṃ kāryaṃ daṇḍyā (syuḥ sarva eva te //	K.726b/ rAjQA tat akRtam kAryam daNxyAH (syuH sarve eva te //
   K.727a/ kāmāt tu saṃśritāṃ yas tu dāsīṃ (kuryāt kula.striyam /	K.727a/ kAmAt tu saMSritAm yaH tu dAsIm (kuryAt kula.-striyam /
   K.727b/ (saṃkrāmayeta vā^anyatra daṇḍyas tac ca^akṛtaṃ (bhavet //	K.727b/ (saMkrAmayeta vA^anyatra daNxyaH tat ca^akRtam (Bavet //
   K.728a/ bāla.dhātrīm adāsīṃ ca dāsīm iva bhunakti yaḥ /	K.728a/ bAla.DAtrIm adAsIm ca dAsIm iva Bunakti yaH /
   K.728b/ paricāraka.patnīṃ vā (prāpnuyāt pūrva.sāhasam //	K.728b/ paricAraka.patnIm vA (prApnuyAt pUrva.sAhasam //
   K.729a/ vikrośamānāṃ yo bhaktāṃ dāsīṃ vikretum (icchati /	K.729a/ vikroSamAnAm yaH BaktAm dAsIm vikretum (icCati /
   K.729b/ anāpadisthaḥ śaktaḥ san (prāpnuyād dviśataṃ damam //	K.729b/ anApadi-sTaH SaktaH san (prApnuyAt dvi-Satam damam //
   K.730a/ tava^aham iti ca^ātmānaṃ yo^asvatantraḥ (prayacchati /	K.730a/ tava^aham iti ca^AtmAnam yaH-^asvatantraH (prayacCati /
   K.730b/ na sa taṃ (prāpnuyāt kāmaṃ pūrva.svāmī (labheta tam //	K.730b/ na sa tam (prApnuyAt kAmam pUrva.svAmI (laBeta tam //
   K.731a/ pravrajyā.vasito dāso moktavyaś ca na kenacit /	K.731a/ pravrajyA-a.vasitaH dAsaH moktavyaH ca na kenacid /
   K.731b/ anākāla.bhṛto dāsyān (mucyate goyugaṃ (dadat //	K.731b/ anAkAla.BRtaH dAsyAn (mucyate go-yugam (dadat //
   [sīmāvivādaḥ]	[sImA-vivAdaH]
   K.732a/ ādhikyaṃ nyūnatā ca^aṃśe asti.nāstitvam eva ca /	K.732a/ ADikyam nyUna-tA ca^aMSe asti.nAstitvam eva ca /
   K.732b/ abhoga.bhuktiḥ sīmā ca ṣaṭ bhūvād asya hetavaḥ //	K.732b/ aBoga.BuktiH sImA ca zaw BUvAt asya hetavaH //
   K.733a/ tasmin bhogaḥ prayoktavyaḥ sarva.sākṣiṣu (tiṣṭhati /	K.733a/ tasmin BogaH prayoktavyaH sarva.-sAkzizu (tizWati /
   K.733b/ lekhya.ārūḍhaś ca^itaraś ca sākṣī mārga.dvaya.anvitaḥ //	K.733b/ leKya-.ArUXaH ca^itaraH ca sAkzI mArga.-dvaya-.anvitaH //
   K.734a/ kṣetra.vāstu.taḍāgeṣu kūpa.upavana.setuṣu /	K.734a/ kzetra.vAstu.-taxAgezu kUpa.upavana.-setuzu /
   K.734b/ dvayor vivāde sāmantaḥ pratyayaḥ sarva.vastuṣu //	K.734b/ dvayoH vivAde sAmantaH pratyayaH sarva.vastuzu //
   K.735a/ sāmanta.bhāve^asāmantaiḥ (kuryāt kṣetra.ādi.nirṇayam /	K.735a/ sAmanta.BAve^asAmantEH (kuryAt kzetra.Adi.nirNayam /
   K.735b/ grāma.sīmāsu ca tathā tadvan nagara.deśayoḥ //	K.735b/ grAma.sImAsu ca taTA tadvat nagara.deSayoH //
   K.736a/ grāmo grāmasya sāmantaḥ kṣetraṃ kṣetrasya kīrtitam /	K.736a/ grAmaH grAmasya sAmantaH kzetram kzetrasya kIrtitam /
   K.736b/ gṛhaṃ gṛhasya nirdiṣṭa samantāt parirabhya hi //	K.736b/ gRham gRhasya nirdizwa samantAt pariraBya hi //
   K.737a/ teṣām abhāve sāmanta.maula.vṛddha.uddhṛta.ādayaḥ /	K.737a/ tezAm aBAve sAmanta.-mOla.-vRdDa-.udDRta-.AdayaH /
   K.737b/ sthāvare ṣaṭ.prakāre^api na^atra kāryā vicāraṇā //	K.737b/ sTAvare zaw.-prakAre^api na^atra kAryA vicAraNA //
   K.738a/ saṃsaktās tv atha sāmantās tat saṃsaktās tathā^uttarāḥ /	K.738a/ saMsaktAH tu aTa sAmantAH tat saMsaktAH taTA^uttarAH /
   K.738b/ saṃsakta.sakta.saṃsaktāḥ padma.ākārāḥ prakīrtitāḥ //	K.738b/ saMsakta.-sakta.-saMsaktAH padma.AkArAH prakIrtitAH //
   K.739a/ sva.artha.siddhau praduṣṭeṣu sāmanteṣv artha.gauravāt /	K.739a/ sva-.arTa.-sidDO praduzwezu sAmantezu arTa.-gOravAt /
   K.739b/ tat.saṃsaktais tu kartavya uddhāro na^atra saṃśayaḥ //	K.739b/ tat.saMsaktEH tu kartavyaH udDAraH na^atra saMSayaH //
   K.740a/ saṃsakta.sakta.doṣe tu tat.saṃsaktāḥ prakīrtitāḥ /	K.740a/ saMsakta.sakta.doze tu tat.saMsaktAH prakIrtitAH /
   K.740b/ kartavyā na praduṣṭās tu rājñā dharmaṃ vijānatā //	K.740b/ kartavyAH na praduzwAH tu rAjQA Darmam vijAnatA //
   K.741a/ na^ajñānena hi (mucyante sāmantā nirṇayaṃ prati /	K.741a/ na^ajQAnena hi (mucyante sAmantAH nirNayam prati /
   K.741b/ ajñāna.uktau daṇḍayitvā punaḥ sīmāṃ (vicārayet /	K.741b/ ajQAna-.uktO daNxayitvA punar sImAm (vicArayet /
   K.741c/ kīrtite yadi bhedaḥ (syād daṇḍyās tu^uttama.sāhasam //	K.741c/ kIrtite yadi BedaH (syAt daNxyAH tu^uttama.-sAhasam //
   K.742a/ tyaktvā duṣṭāṃs tu sāmantān anyān maulādibhiḥ saha /	K.742a/ tyaktvA duzwAn tu sAmantAn anyAn mOla-AdiBiH saha /
   K.742b/ saṃmiśraya (kārayet sīmām evaṃ dharmavido viduḥ //	K.742b/ saMmiSraya (kArayet sImAm evam Darma-vidaH viduH //
   K.743a/ ye tatra pūrvaṃ sāmantāḥ paścād deśa.antaraṃ gatāḥ /	K.743a/ ye tatra pUrvam sAmantAH paScAt deSa.antaram gatAH /
   K.743b/ tan.mūlatvāt tu te maulā ṛṣibhiḥ saṃprakīrtitāḥ //	K.743b/ tan.-mUla-tvAt tu te mOlAH RziBiH saMprakIrtitAH //
   K.744a/ niṣpādyamānaṃ yair dṛṣṭaṃ tat kāryaṃ nṛguṇa.anvitaiḥ /	K.744a/ nizpAdyamAnam yEH dRzwam tat kAryam nR-guNa-.anvitEH /
   K.744b/ vṛddhā vā yadi vā^avṛddhās te vṛddhāḥ parikīrtitāḥ //	K.744b/ vRdDAH vA yadi vA^avRdDAH te vRdDAH parikIrtitAH //
   K.745a/ upaśravaṇa.saṃbhoga.kārya.ākhyāna.upacihnitāḥ /	K.745a/ upaSravaNa.-saMBoga.-kArya-.AKyAna-.upacihnitAH /
   K.745b/ (uddharanti tato yasmād uddhṛtās te tataḥ smṛtaḥ //	K.745b/ (udDaranti tatas yasmAt udDRtAH te tatas smRtaH //
   K.746a/ sāmantāḥ sādhanaṃ pūrvam aniṣṭa.uktau guṇa.anvitāḥ /	K.746a/ sAmantAH sADanam pUrvam anizwa-.uktO guNa-.anvitAH /
   K.746b/ dviguṇās tu^uttarā jñeyā tato^anye triguṇā matāḥ //	K.746b/ dviguNAH tu^uttarA jQeyA tatas-^anye triguNAH matAH //
   K.747a/ eko yadvan (nayet sīmām ubhayor īpsitaḥ kvacit /	K.747a/ ekaH yadvat (nayet sImAm uBayoH IpsitaH kvacid /
   K.747b/ mastake kṣitim āropya rakta.vāsāḥ samāhitāḥ //	K.747b/ mastake kzitim Aropya rakta-.vAsAH samAhitAH //
   K.748a/ bhaya.varjita.bhūpena sarva.abhāve svayaṃkṛtā //	K.748a/ Baya.varjita.BUpena sarva-.aBAve svayaMkRtAH //
   K.749a/ kṣetra.kūpa.taḍāgānāṃ kedāra.arāmayor api /	K.749a/ kzetra.kUpa-.taxAgAnAm kedAra.a-rAmayoH api /
   K.749b/ gṛha.prāsāda.avasatha.nṛpa.devagṛheṣu ca //	K.749b/ gRha.prAsAda-.avasaTa.-nRpa.-deva-gRhezu ca //
   K.750a/ bahūnāṃ tu gṛhītānāṃ na sarve nirṇayaṃ yadi /	K.750a/ bahUnAm tu gRhItAnAm na sarve nirNayam yadi /
   K.750b/ (kuryur bhayād vā lobhād vā dāpyās tu^uttama.sāhasam //	K.750b/ (kuryuH BayAt vA loBAt vA dApyAH tu^uttama.-sAhasam //
   K.751a/ sīmācaṅ.kramaṇe kośe pāda.sparśe tathā^eva ca /	K.751a/ sImA-caF.-kramaNe koSe pAda.-sparSe taTA^eva ca /
   K.751b/ tri.pakṣa.pakṣa.saptāhaṃ daiva.rājikam (iṣyate //	K.751b/ tri.pakza.-pakza.-sapta-aham dEva.rAjikam (izyate //
   K.752a/ mekhalā.bhrama.niṣkāsa.gavākṣān na^uparodhayet /	K.752a/ meKalA.-Brama.-nizkAsa.-gavAkzAt na^uparoDayet /
   K.752b/ praṇālīṃ gṛhavāstuṃ ca pīḍayan daṇḍa.bhāg (bhavet //	K.752b/ praNAlIm gRha-vAstum ca pIxayan daNxa.BAj (Bavet //
   K.753a/ niveśa.samayād ūrdhvaṃ na^ete yojyāḥ kadācana /	K.753a/ niveSa.-samayAt UrDvam na^ete yojyAH kadAcana /
   K.753b/ dṛṣṭi.pātaṃ praṇālīṃ ca na (kuryāt paraveśmamu //	K.753b/ dRzwi.pAtam praNAlIm ca na (kuryAt para-veSmamu //
   K.754a/ viṣ.mūtra.udaka.vapraṃ ca vahni.śvabhra.niveśanam /	K.754a/ viz.-mUtra-.udaka.vapram ca vahni.Sva-Bra.-niveSanam /
   K.754b/ aratni.dvayam utsṛjya para.kuḍyān (niveśayet //	K.754b/ aratni.-dvayam utsRjya para.-kuxyAn (niveSayet //
   K.755a/ sarve janāḥ sadā yena prayānti sa catuṣ.pathaḥ /	K.755a/ sarve janAH sadA yena prayAnti sa catuz.paTaH /
   K.755b/ aniruddho yathā.kālaṃ rāja.mārgaḥ sa (ucyate //	K.755b/ anirudDaH yaTA.kAlam rAja.-mArgaH sa (ucyate //
   K.756a/ na tatra (ropayet kiṃcin na^upahanyāt tu kenacit /	K.756a/ na tatra (ropayet kiMcid na^upahanyAt tu kenacid /
   K.756b/ guru.ācārya.nṛpa.ādīnāṃ mārga.ādānāt tu daṇḍa.bhāk //	K.756b/ guru.AcArya.-nRpa.AdInAm mArga.a-AdAnAt tu daNxa.BAj //
   K.757a/ yas tatra saṃkara.śvabhrān vṛkṣa.āropaṇam eva ca /	K.757a/ yaH tatra saMkara.-SvaBrAn vRkza.AropaNam eva ca /
   K.757b/ kāmāt purīṣaṃ (kuryāc ca tasya daṇḍas tu māṣakaḥ //	K.757b/ kAmAt purIzam (kuryAt ca tasya daNxaH tu mAzakaH //
   K.758a/ taṭāka.udyāna.tīrthāni yo^amedhyena (vināśayet /	K.758a/ tawAka-.udyAna.tIrTAni yaH-^ameDyena (vinASayet /
   K.758b/ amedhyaṃ śodhayitvā tu (daṇḍayet pūrva.sāhasam //	K.758b/ ameDyam SoDayitvA tu (daNxayet pUrva.sAhasam //
   K.759a/ (dūṣayet siddha.tīrthāni sthāpitāni mahātmabhiḥ /	K.759a/ (dUzayet sidDa.tIrTAni sTApitAni mahAtmaBiH /
   K.759b/ puṇyāni pāvanīyāni (prāpnuyāt pūrva.sāhasam //	K.759b/ puNyAni pAvanIyAni (prApnuyAt pUrva.sAhasam //
   K.760a/ sīmā.madhye tu jātānāṃ vṛkṣāṇāṃ kṣetrayor dvayoḥ /	K.760a/ sImA.-maDye tu jAtAnAm vRkzANAm kzetrayoH dvayoH /
   K.760b/ phalaṃ puṣpaṃ ca sāmānyaṃ kṣetra.svāmiṣu (nirdiśet //	K.760b/ Palam puzpam ca sAmAnyam kzetra.-svAmizu (nirdiSet //
   K.761a/ anya.kṣetre tu jātānāṃ śākhā yatra^anya.saṃśritāḥ /	K.761a/ anya.kzetre tu jAtAnAm SAKAH yatra^anya.-saMSritAH /
   K.761b/ svāminaṃ taṃ (vijānīyād yasya kṣetreṣu saṃśritāḥ //	K.761b/ svAminam tam (vijAnIyAt yasya kzetrezu saMSritAH //
   K.762a/ asvāmi.anumatena^eva saṃskāraṃ (kurute tu yaḥ /	K.762a/ asvAmi.anumatena^eva saMskAram (kurute tu yaH /
   K.762b/ gṛha.udyāna.taṭākānāṃ saṃskartā (labhate na tu //	K.762b/ gRha.udyAna-.tawAkAnAm saMskartA (laBate na tu //
   K.763a/ vyayaṃ svāmini cāyāte na nivedya nṛpe yadi /	K.763a/ vyayam svAmini ca-AyAte na nivedya nRpe yadi /
   K.763b/ atha^avedya prayuktas tu tad.gataṃ (labhate vyayam //	K.763b/ aTa^avedya prayuktaH tu tat-.gatam (laBate vyayam //
   K.764a/ aśaktito na (dadyāc cet khila.artho yat kṛto vyayaḥ /	K.764a/ aSaktitaH naH (dadyAt ced Kila-.arTaH yat kRtaH vyayaH /
   K.764b/ tad.aṣṭa.bhāga.hīnaṃ tu karṣakaḥ phalam (āpnuyāt //	K.764b/ tad-.azwa.-BAga.-hInam tu karzakaH Palam (ApnuyAt //
   K.764c/ varṣāṇi aṣṭau sa bhoktā (syāt parataḥ svāmine tu tat //	K.764c/ varzANi azwO sa BoktA (syAt paratas svAmine tu tat //
   K.765a/ aśakta.preta.naṣṭeṣu kṣetrikeṣu anivāritaḥ /	K.765a/ aSakta.-preta.-nazwezu kzetrikezu anivAritaH /
   K.765b/ kṣetraṃ ced vikṛṣet kaścid (aśnuvīta sa tat.phalam //	K.765b/ kzetram ced vikRzet kaScid (aSnuvIta sa tat.Palam //
   K.766a/ vikṛṣyamāṇe kṣetre ca kṣetrikaḥ punar (āvrajet /	K.766a/ vikRzyamANe kzetre ca kzetrikaH punar (a-Avrajet /
   K.766b/ śīla.upacāraṃ [khila.upacāraṃ?] tat sarvaṃ dattvā	K.766b/ SIla.-upacAram [Kila.-upacAraM?] tat sarvam dattvA
   kṣetram(avāpnuyāt //	kzetram-(avApnuyAt //
   K.767a/ tad.aṣṭa.bhāga.apacayād yāvat sapta gatāḥ samāḥ /	K.767a/ tad-.azwa.BAga-.apacayAt yAvat sapta gatAH samAH /
   K.767b/ samāpte^aṣṭame varṣe bhukta.kṣetraṃ (labheta saḥ //	K.767b/ samApte^azwame varze Bukta.kzetram (laBeta saH //
   [vākpāruṣyam]	[vAc-pAruzyam]
   K.768a/ huṅ.kāraḥ kāsanaṃ ca^eva loke yac ca vigarhitam /	K.768a/ huF.kAraH kAsanam ca^eva loke yat ca vigarhitam /
   K.768b/ (anukuryād (anubrūyād vāk.pāruṣyaṃ tad (ucyate //	K.768b/ (anukuryAt (anubrUyAt vAk.pAruzyam tat (ucyate //
   K.769a/ niṣṭhura.aślīla.tīvratvāt tad api trividhaṃ smṛtam /	K.769a/ nizWura-.aSlIla.-tIvra-tvAt tat api triviDam smRtam /
   K.769b/ ākṣepo niṣṭhuraṃ jñeyam aślīlaṃ nyaṅga.saṃjñitam /	K.769b/ AkzepaH nizWuram jQeyam aSlIlam nyaFga.-saMjQitam /
   K.769b/ patanīyair upākrośais tīvram (āhur manīṣiṇaḥ //	K.769b/ patanIyEH upAkroSEH tIvram (AhuH manIziNaH //
   K.770a/ yat tu asat.saṃjñitair aṅgaiḥ paramākṣipati kvacit /	K.770a/ yat tu asat.-saMjQitEH aFgEH parama-Akzipati kvacid /
   K.770b/ abhūtair vā^atha bhūtair vā niṣṭhurā vāk.smṛtā budhaiḥ //	K.770b/ aBUtEH vE-^aTa BUtEH vA nizWurAH vAk.smRtAH buDEH //
   K.771a/ nyag.bhāva.karaṇaṃ vācā krodhāt tu (kurute yadā /	K.771a/ nyag.BAva.karaNam vAcA kroDAt tu (kurute yadA /
   K.771b/ vṛtta.deśa.kula.ādīnām aślīlā sā budhaiḥ smṛtā //	K.771b/ vRtta.deSa.-kula.AdInAm aSlIlA sA buDEH smRtAH //
   K.772a/ mahāpātaka.yoktrī ca rāga.dveṣa.karī ca yā /	K.772a/ mahApAtaka-.yoktrI ca rAga.-dveza.-karI ca yA /
   K.772b/ jāti.bhraṃśa.kārī vā^atha tīvrā sā prathitā tu vāk //	K.772b/ jAti.BraMSa.-kArI vA^aTa tIvrA sA praTitA tu vAc //
   K.773a/ yo^aguṇān (kīrtayet krodhān niguṇo vā guṇa.jñatām /	K.773a/ yaH-^aguNAn (kIrtayet kroDAt niguNaH vA guNa-.jQatAm /
   K.773b/ anya.saṃjñā.anuyogī vā vāg.duṣṭaṃ taṃ naraṃ viduḥ //	K.773b/ anya.-saMjQA.anuyogI vA vAc-.-duzwam tam naram viduH //
   K.774a/ aduṣṭasya^eva yo doṣān kīrtayed doṣa.kāraṇāt /	K.774a/ aduzwasya^eva yaH dozAn kIrtayet doza-.kAraNAt /
   K.774b/ anya.apadeśa.vādī ca vāg.duṣṭaṃ taṃ naraṃ viduḥ //	K.774b/ anya-.apadeSa.-vAdI ca vAc-.-duzwam tam naram viduH //
   K.775a/ mohāt pramādāt saṅgharṣāt prītyā ca^uktaṃ mayā^iti yat /	K.775a/ mohAt pramAdAt saFGarzAt prItyA ca^uktam mayA^iti yat /
   K.775b/ na^aham evaṃ punar vakṣye daṇḍa.ardhaṃ tasya (kalpayet //	K.775b/ na^aham evam punar vakzye daNxa-.arDam tasya (kalpayet //
   K.776a/ yatra (syāt parihāra.arthaṃ patitas tena [patitatvena] kīrtanam /	K.776a/ yatra (syAt parihAra-.arTam patitaH tena [patita-tvena] kIrtanam /
   K.776b/ vacanāt tatra na (syāt tu doṣo yatra (vibhāvayet //	K.776b/ vacanAt tatra na (syAt tu dozaH yatra (viBAvayet //
   K.777a/ anyathā tulya.doṣaḥ (syān mithyā^uktau tu^uttamaḥ smṛtaḥ //	K.777a/ anyaTA tulya.dozaH (syAt miTyA^uktO tu^uttamaH smRtaH //
   K.778a/ mahatā praṇidhānena vāg.duṣṭaṃ (sādhayen naram /	K.778a/ mahatA praNiDAnena vAc-.-duzwam (sADayet naram /
   K.778b/ atathyaṃ śrāvitaṃ rājā prayatnena (vicārayet //	K.778b/ ataTyam SrAvitam rAjA prayatnena (vicArayet //
   K.778c/ anṛta.ākhyāna.śīlānāṃ jihvā.cchedo viśodhanam //	K.778c/ anRta-.AKyAna.-SIlAnAm jihvA.=-CedaH viSoDanam //
   [daṇḍapāruṣyam]	[daNxa-pAruzyam]
   K.779a/ hetu.ādibhir na (paśyec ced daṇḍa.pāruṣya.kāraṇam /	K.779a/ hetu.AdiBiH na (paSyet ced daNxa.-pAruzya.-kAraNam /
   K.779b/ tatra sākṣikṛtaṃ ca^eva divyaṃ vā (viniyojayet //	K.779b/ tatra sAkzi-kRtam ca^eva divyam vA (viniyojayet //
   K.780a/ ābhīṣaṇena daṇḍena (prahared yas tu mānavaḥ /	K.780a/ ABIzaNena daNxena (praharet yaH tu mAnavaH /
   K.780b/ pūrvaṃ ca^apīḍito vā^atha sa daṇḍyaḥ parikīrtitaḥ //	K.780b/ pUrvam ca^apIxitaH vE-^aTa sa daNxyaH parikIrtitaH //
   K.781a/ karṇa.oṣṭha.ghrāṇa.pāda.akṣi.jihvā.śiśna.karasya ca /	K.781a/ karNa-.ozWa-.GrANa.-pAda-.akzi.-jihvA.-SiSna.karasya ca /
   K.781b/ chedane ca^uttamo daṇḍo bhedane madhyamo bhṛguḥ //	K.781b/ Cedane ca^uttamaH daNxaH Bedane maDyamaH BRguH //
   K.782a/ manuṣyāṇāṃ paśūnāṃ ca duḥkhāya prahate sati /	K.782a/ manuzyANAm paSUnAm ca duHKAya prahate sati /
   K.782b/ yathā yathā (bhaved duḥkhaṃ daṇḍaṃ (kuryāt tathā tathā //	K.782b/ yaTA yaTA (Bavet duHKam daNxam (kuryAt taTA taTA //
   K.783a/ aspṛśya.dhūrta.dāsānāṃ mlecchānāṃ pāpa.kāriṇām /	K.783a/ aspRSya.-DUrta.-dAsAnAm mlecCAnAm pApa.kAriNAm /
   K.783b/ pratiloma.prasūtānāṃ tāḍanaṃ na^arthato damaḥ //	K.783b/ pratiloma.-prasUtAnAm tAxanam na^arTataH damaH //
   K.784a/ chardi.mūtra.purīṣa.ādyair āpādyaḥ sa caturguṇaḥ /	K.784a/ Cardi.-mUtra.-purIza.AdyEH ApAdyaH sa caturguNaH /
   K.784b/ ṣaḍguṇaḥ kāya.madhye (syān mūrdhni tv aṣṭaguṇaḥ smṛtaḥ //	K.784b/ zaxguNaH kAya.-maDye (syAt mUrDni tu azwaguNaH smRtaH //
   K.785a/ udgūraṇe tu hastasya kāryo dvādaśako damaḥ /	K.785a/ udgUraNe tu hastasya kAryaH dvAdaSakaH damaH /
   K.785b/ sa eva dviguṇaḥ proktaḥ pātaneṣu svajātiṣu //	K.785b/ saH eva dviguNaH proktaH pAtanezu sva-jAtizu //
   K.786a/ vāk.pāruṣye yathā^eva^uktāḥ prātilomya.anulomataḥ /	K.786a/ vAk.pAruzye yaTA^eva^uktAH prAtilomya.anulomataH /
   K.786b/ tathā^eva daṇḍa.pāruṣye pātyā daṇḍā yathā.kramam //	K.786b/ taTA^eva daNxa.-pAruzye pAtyAH daNxAH yaTA.kramam //
   K.787a/ deha.indriya.vināśe tu yathā daṇḍaṃ (prakalpayet /	K.787a/ deha.indriya.-vinASe tu yaTA daNxam (prakalpayet /
   K.787b/ tathā tuṣṭi.karaṃ deyaṃ samutthānaṃ ca paṇḍitaiḥ //	K.787b/ taTA tuzwi.karam deyam samutTAnam ca paNxitEH //
   K.787c/ samutthāna.vyayaṃ ca^asau (dadyād āvraṇaropaṇāt //	K.787c/ samutTAna.-vyayam ca^asO (dadyAt AvraNa-ropaNAt //
   K.788a/ vāg.daṇḍas tāḍanaṃ ca^eva yeṣu^uktam aparādhiṣu /	K.788a/ vAc-.daNxaH tAxanam ca^eva yezu^uktam aparADizu /
   K.788b/ hṛtaṃ bhagnaṃ pradāpyās te śodhyaṃ niḥsvais tu karmaṇā //	K.788b/ hRtam Bagnam pradApyAH te SoDyam niHsvEH tu karmaNA //
   K.789a/ śrāntāṃs tṛṣārtān kṣudhitān akāle (vāhayen naraḥ /	K.789a/ SrAntAn tRzA-ArtAn kzuDitAn akAle (vAhayet naraH /
   K.789b/ khara.go.mahiṣa.uṣṭra.ādīn (prāpnuyāt pūrva.sāhasam //	K.789b/ Kara.go.-mahiza-.uzwra.a-AdIn (prApnuyAt pUrva.sAhasam //
   K.790a/ dvipaṇo dvādaśapaṇo vadhe tu mṛga.pakṣiṇām /	K.790a/ dvi-paNaH dvAdaSa-paNaH vaDe tu mRga.-pakziNAm /
   K.790b/ sarpa.mārjāra.nakula.śva.sūkara.vadhe nṛṇām //	K.790b/ sarpa.-mArjAra.-nakula.-Sva.-sUkara.-vaDe nRNAm //
   K.791a/ go.kumārī.deva.paśu.mukṣāṇaṃ vṛṣabhaṃ tathā /	K.791a/ go.kumArI.-deva.-paSu.-mukzANam vRzaBam taTA /
   K.791b/ vāhayan sāhasaṃ pūrvaṃ (prāpnuyād uttamaṃ vadhaḥ //	K.791b/ vAhayan sAhasam pUrvam (prApnuyAt uttamam vaDaH //
   K.792a/ pramāpaṇe prāṇa.bhṛtāṃ (dadyāt tat.pratirūpakam /	K.792a/ pramApaNe prANa.BRtAm (dadyAt tat.pratirUpakam /
   K.792b/ tasya^anurūpaṃ mūlyaṃ vā (dadyād iti (abravīn manuḥ //	K.792b/ tasya^anurUpam mUlyam vA (dadyAt iti (abravIt manuH //
   K.793a/ vanaspatīnāṃ sarveṣām upabhogo yathā yathā /	K.793a/ vanaspatInAm sarvezAm upaBogaH yaTA yaTA /
   K.793b/ tathā tathā damaḥ kāryo hiṃsāyām iti dhāraṇā //	K.793b/ taTA taTA damaH kAryaH hiMsAyAm iti DAraNA //
   K.794a/ śiṣyaṃ krodhena (hanyāc ced ācāryo latayā vinā /	K.794a/ Sizyam kroDena (hanyAt ced AcAryaH latayA vinA /
