   1. brahmakāṇḍam	1. brahma-kANxam
   chāyābhābhyāṃ nagādīnāṃ $ bhāgabhedaḥ prakalpate &	CAyA-ABAByAm naga-AdInAm $ BAga-BedaH prakalpate &
   ataddharmasu bhāveṣu % bhāgabhedo na kalpate // 3.6.12 //	atad-Darmasu BAvezu % BAga-BedaH na kalpate // 3.6.12 //
   paramāṇor abhāgasya $ diśā bhāgo vidhīyate &	paramANoH aBAgasya $ diSA BAgaH viDIyate &
   bhāgaprakalpanāśaktiṃ % prathamāṃ tāṃ pracakṣate // 3.6.13 //	BAga-prakalpanA-Saktim % praTamAm tAm pracakzate // 3.6.13 //
   adeśāś cāpy abhāgāś ca $ niṣkramā nirupāśrayāḥ &	adeSAH ca-api aBAgAH ca $ nizkramAH nirupASrayAH &
   bhāvāḥ saṃsargirūpāt tu % śaktibhedaḥ prakalpate // 3.6.14 //	BAvAH saMsargi-rUpAt tu % Sakti-BedaH prakalpate // 3.6.14 //
   nirbhāgātmakatā tulyā $ paramāṇor ghaṭasya ca &	nirBAga-Atmaka-tA tulyA $ paramANoH Gawasya ca &
   bhāgaḥ śaktyantaraṃ tatra % parimāṇaṃ ca yat tayoḥ // 3.6.15 //	BAgaH Sakti-antaram tatra % parimANam ca yat tayoH // 3.6.15 //
   yataḥ prakalpate bhedo $ bhedas tatrāpi dṛśyate &	yatas prakalpate BedaH $ BedaH tatra-api dRSyate &
   adṛṣṭoparatiṃ bhedam % ato 'yuktataraṃ viduḥ // 3.6.16 //	adRzwa-uparatim Bedam % atas ayuktataram viduH // 3.6.16 //
   sarvatra tasya kāryasya $ darśanād vibhur iṣyate &	sarvatra tasya kAryasya $ darSanAt viBuH izyate &
   vibhutvam etad evāhur % anyaḥ kāyavatāṃ vidhiḥ // 3.6.17 //	viBu-tvam etat eva-AhuH % anyaH kAyavatAm viDiH // 3.6.17 //
   caitanyavat sthitā loke $ dikkālaparikalpanā &	cEtanya-vat sTitA loke $ diS-kAla-parikalpanA &
   prakṛtiṃ prāṇināṃ tāṃ hi % ko 'nyathā sthāpayiṣyati // 3.6.18 //	prakRtim prANinAm tAm hi % kaH anyaTA sTApayizyati // 3.6.18 //
   saṃkaro vyavahārāṇāṃ $ prakṛteḥ syād viparyaye &	saMkaraH vyavahArANAm $ prakRteH syAt viparyaye &
   tasmāt tyajann imān bhāvān % punar evāvalambate // 3.6.19 //	tasmAt tyajan imAn BAvAn % punar eva-avalambate // 3.6.19 //
   tasyās tu śakteḥ pūrvādi- $ bhedo bhāvāntarāśrayaḥ &	tasyAH tu SakteH pUrva-Adi $ BedaH BAva-antara-ASrayaH &
   bhinnā dik tena bhedena % bhedāyaivopakalpate // 3.6.20 //	BinnA diS tena Bedena % BedAya-eva-upakalpate // 3.6.20 //
   avadhitvena cāpekṣā- $ yoge diglakṣaṇo vidhiḥ &	avaDi-tvena ca-apekzA $ yoge diS-lakzaNaH viDiH &
   pūrvam as yeti ṣaṣṭhy eva % dṛṣṭā dharmāntarāśraye // 3.6.21 //	pUrvam as yA-iti zazWI eva % dRzwAH Darma-antara-ASraye // 3.6.21 //
   pūrvādināṃ viparyāso $ 'dṛṣṭaś cāvadhyasaṃkare &	pUrva-AdinAm viparyAsaH $ adRzwaH ca-avaDya-saMkare &
   ṛjv etad asyety etac ca % liṅgaṃ na vyatikīryate // 3.6.22 //	Rju etat asya-iti etat ca % liFgam na vyatikIryate // 3.6.22 //
   antaḥkaraṇadharmo vā $ bahir evaṃ prakāśate &	antaHkaraNa-DarmaH vA $ bahis evam prakASate &
   asyāṃ tv antarbahirbhāvaḥ % prakriyāyāṃ na vidyate // 3.6.23 //	asyAm tu antar-bahis-BAvaH % prakriyAyAm na vidyate // 3.6.23 //
   ekatvam āsāṃ śaktīnāṃ $ nānātvaṃ veti kalpane &	eka-tvam AsAm SaktInAm $ nAnAtvam vA-iti kalpane &
   avastupatite jñātvā % satyato na parāmṛśet // 3.6.24 //	avastu-patite jQAtvA % satyataH na parAmRSet // 3.6.24 //
   vikalpātītatattveṣu $ saṃketopanibandhanāḥ &	vikalpa-atIta-tattvezu $ saMketa-upanibanDanAH &
   bhāveṣu vyavahārā ye % lokas tatrānugamyate // 3.6.25 //	BAvezu vyavahArAH ye % lokaH tatra-anugamyate // 3.6.25 //
   naikatvam asty anānātvaṃ $ vinaikatvena netarat &	na-ekatvam asti anAnAtvam $ vinA-eka-tvena na-itarat &
   paramārthe tayor eṣa % bhedo 'tyantaṃ na vidyate // 3.6.26 //	parama-arTe tayoH ezaH % BedaH atyantam na vidyate // 3.6.26 //
   na śaktīnāṃ tathā bhedo $ yathā śaktimatāṃ sthitiḥ &	na SaktInAm taTA BedaH $ yaTA SaktimatAm sTitiH &
   na ca laukikam ekatvaṃ % tāsām ātmasu vidyate // 3.6.27 //	na ca lOkikam eka-tvam % tAsAm Atmasu vidyate // 3.6.27 //
   naikatvaṃ vyavatiṣṭheta $ nānātvaṃ cen na kalpayet &	na-ekatvam vyavatizWeta $ nAnAtvam ced na kalpayet &
   nānātvaṃ cāvahīyeta % yady ekatvaṃ na kalpayet // 3.6.28 //	nAnAtvam ca-avahIyeta % yadi eka-tvam na kalpayet // 3.6.28 //
   // iti diksamuddeśaḥ //	// iti diS-samuddeSaH //
   3.7 sādhanasamuddeśaḥ	3.7 sADana-samuddeSaH
   svāśraye samavetānāṃ $ tadvad evāśrayāntare &	sva-ASraye samavetAnAm $ tadvat eva-ASraya-antare &
   kriyāṇām abhiniṣpattau % sāmarthyaṃ sādhanaṃ viduḥ // 3.7.1 //	kriyANAm aBinizpattO % sAmarTyam sADanam viduH // 3.7.1 //
   śaktimā trāsam ūhasya $ viśvasyānekadharmaṇaḥ &	SaktimA trAsam Uhasya $ viSvasya-aneka-DarmaNaH &
   sarvadā sarvathā bhāvāt % kva cit kiṃ cid vivakṣyate // 3.7.2 //	sarvadA sarvaTA BAvAt % kva cit kim cit vivakzyate // 3.7.2 //
   sādhanavyavahāraś ca $ buddhyavasthānibandhanaḥ &	sADana-vyavahAraH ca $ budDi-avasTA-nibanDanaH &
   sann asan vārtharūpeṣu % bhedo buddhyā prakalpyate // 3.7.3 //	san asan vA-arTa-rUpezu % BedaH budDyA prakalpyate // 3.7.3 //
   buddhyā samīhitaikatvān $ pañcālān kurubhir yadā &	budDyA samIhita-eka-tvAt $ paQcAlAn kuruBiH yadA &
   punar vibhajate vaktā % tadāpāyaḥ pratīyate // 3.7.4 //	punar viBajate vaktA % tadA-apAyaH pratIyate // 3.7.4 //
   śabdopahitarūpāṃś ca $ buddher viṣayatāṃ gatān &	Sabda-upahita-rUpAn ca $ budDeH vizaya-tAm gatAn &
   pratyakṣam iva kaṃsādīn % sādhanatvena manyate // 3.7.5 //	pratyakzam iva kaMsa-AdIn % sADana-tvena manyate // 3.7.5 //
   buddhipravṛttirūpaṃ ca $ samāropyābhidhātṛbhiḥ &	budDi-pravRtti-rUpam ca $ samAropya-aBiDAtRBiH &
   artheṣu śaktibhedānāṃ % kriyate parikalpanā // 3.7.6 //	arTezu Sakti-BedAnAm % kriyate parikalpanA // 3.7.6 //
   vyaktau padārthe śabdāder $ janyamānasya karmaṇaḥ &	vyaktO padArTe Sabda-AdeH $ janyamAnasya karmaNaH &
   sādhanatvaṃ tathā siddhaṃ % buddhirūpaprakalpitam // 3.7.7 //	sADana-tvam taTA sidDam % budDi-rUpa-prakalpitam // 3.7.7 //
   svatantraparatantratve $ kramarūpaṃ ca darśitam &	svatantra-paratantra-tve $ krama-rUpam ca darSitam &
   nirīheṣv api bhāveṣu % kalpanopanibandhanam // 3.7.8 //	nirIhezu api BAvezu % kalpanA-upanibanDanam // 3.7.8 //
   śaktayaḥ śaktimantaś ca $ sarve saṃsargavādinām &	SaktayaH SaktimantaH ca $ sarve saMsarga-vAdinAm &
   bhāvās teṣv asvaśabdeṣu % sādhanatvaṃ nirūpyate // 3.7.9 //	BAvAH tezu asva-Sabdezu % sADana-tvam nirUpyate // 3.7.9 //
   ghaṭasya dṛśikarmatve $ mahattvādīni sādhanam &	Gawasya dRSi-karma-tve $ mahat-tva-AdIni sADanam &
   rūpasya dṛśikarmatve % rūpatvādīni sādhanam // 3.7.10 //	rUpasya dRSi-karma-tve % rUpa-tva-AdIni sADanam // 3.7.10 //
   svaiḥ sāmānyaviśeṣaiś ca $ śaktimanto rasādayaḥ &	svEH sAmAnya-viSezEH ca $ SaktimantaH rasa-AdayaH &
   niyatagrahaṇā loke % śaktayas tās tathāśrayaiḥ // 3.7.11 //	niyata-grahaNAH loke % SaktayaH tAH taTA-ASrayEH // 3.7.11 //
   indriyārthamanaḥkartṛ- $ saṃbandhaḥ sādhanaṃ kva cit &	indriya-arTam-anaH-kartR $ saMbanDaH sADanam kva cit &
   yad yadā yadanugrāhi % tat tadā tatra sādhanam // 3.7.12 //	yat yadA yat-anugrAhi % tat tadA tatra sADanam // 3.7.12 //
   svaśabdair abhidhāne tu $ sa dharmonābhidhīyate &	sva-SabdEH aBiDAne tu $ sa Darma-UnA-aBiDIyate &
   vibhaktyādibhir evāsāv % upakāraḥ pratīyate // 3.7.13 //	viBakti-AdiBiH eva-asO % upakAraH pratIyate // 3.7.13 //
   nimittabhāvo bhāvānām $ upakārārtham āśritaḥ &	nimitta-BAvaH BAvAnAm $ upakAra-arTam ASritaH &
   natir āvarjanety evaṃ % siddhaḥ sādhanam iṣyate // 3.7.14 //	natiH Avarjana-iti evam % sidDaH sADanam izyate // 3.7.14 //
   sa tebhyo vyatirikto vā $ teṣām ātmaiva vā tathā &	sa teByaH vyatiriktaH vA $ tezAm AtmA-eva vA taTA &
   vyatirekam upāśritya % sādhanatvena kalpyate // 3.7.15 //	vyatirekam upASritya % sADana-tvena kalpyate // 3.7.15 //
   saṃdarśanaṃ prārthanāyāṃ $ vyavasāye tv anantarā &	saMdarSanam prArTanAyAm $ vyavasAye tu anantarA &
   vyavasāyas tathārambhe % sādhanatvāya kalpate // 3.7.16 //	vyavasAyaH taTA-AramBe % sADana-tvAya kalpate // 3.7.16 //
   pūrvasmin yā kriyā saiva $ parasmin sādhanaṃ matā &	pUrvasmin yA kriyA sA-eva $ parasmin sADanam matA &
   saṃdarśane tu caitanyaṃ % viśiṣṭaṃ sādhanaṃ viduḥ // 3.7.17 //	saMdarSane tu cEtanyam % viSizwam sADanam viduH // 3.7.17 //
   niṣpattimātre kartṛtvaṃ $ sarvatraivāsti kārake &	nizpatti-mAtre kartR-tvam $ sarvatra-eva-asti kArake &
   vyāpārabhedāpekṣāyāṃ % karaṇatvādisaṃbhavaḥ // 3.7.18 //	vyApAra-Beda-apekzAyAm % karaNa-tva-Adi-saMBavaH // 3.7.18 //
   putrasya janmani yathā $ pitroḥ kartṛtvam ucyate &	putrasya janmani yaTA $ pitroH kartR-tvam ucyate &
   ayam asyām iyaṃ tv asmād % iti bhedo vivakṣayā // 3.7.19 //	ayam asyAm iyam tu asmAt % iti BedaH vivakzayA // 3.7.19 //
   guṇakriyāṇāṃ kartāraḥ $ kartrā nyakkṛtaśaktayaḥ &	guNa-kriyANAm kartAraH $ kartrA nyakkRta-SaktayaH &
   nyaktāyām api saṃpūrṇaiḥ % svair vyāpāraiḥ samanvitāḥ // 3.7.20 //	nyaktAyAm api saMpUrNEH % svEH vyApArEH samanvitAH // 3.7.20 //
   karaṇatvādibhir jñātāḥ $ kriyābhedānupātibhiḥ &	karaNa-tva-AdiBiH jQAtAH $ kriyA-Beda-anupAtiBiH &
   svātantryam uttaraṃ labdhvā % pradhāne yānti kartṛtām // 3.7.21 //	svAtantryam uttaram labDvA % praDAne yAnti kartR-tAm // 3.7.21 //
   yathā rājñā niyukteṣu $ yoddhṛtvaṃ yoddhṛṣu sthitam &	yaTA rAjQA niyuktezu $ yodDR-tvam yodDRzu sTitam &
   teṣu vṛttau tu labhate % rājā jayaparājayau // 3.7.22 //	tezu vRttO tu laBate % rAjA jaya-parAjayO // 3.7.22 //
   tathā kartrā niyukteṣu $ sarveṣv ekārthakāriṣu &	taTA kartrA niyuktezu $ sarvezu eka-arTa-kArizu &
   kartṛtvaṃ karaṇatvāder % uttaraṃ na virudhyate // 3.7.23 //	kartR-tvam karaNa-tva-AdeH % uttaram na viruDyate // 3.7.23 //
   anāśrite tu vyāpāre $ nimittaṃ hetur iṣyate &	anASrite tu vyApAre $ nimittam hetuH izyate &
   āśritāvadhibhāvaṃ tu % lakṣaṇe lakṣaṇaṃ viduḥ // 3.7.24 //	ASrita-avaDiBAvam tu % lakzaNe lakzaNam viduH // 3.7.24 //
   dravyādiviṣayo hetuḥ $ kārakaṃ niyatakriyam &	dravya-Adi-vizayaH hetuH $ kArakam niyata-kriyam &
   kartā kartrantarāpekṣaḥ % kriyāyāṃ hetur iṣyate // 3.7.25 //	kartA kartR-antara-apekzaH % kriyAyAm hetuH izyate // 3.7.25 //
   kriyāyai karaṇaṃ tasya $ dṛṣṭaḥ pratinidhis tathā &	kriyAyE karaNam tasya $ dRzwaH pratiniDiH taTA &
   hetvarthā tu kriyā tasmān % na sa pratinidhīyate // 3.7.26 //	hetu-arTA tu kriyA tasmAt % na sa pratiniDIyate // 3.7.26 //
   prātilomyānulomyābhyāṃ $ hetur arthasya sādhakaḥ &	prAtilomya-AnulomyAByAm $ hetuH arTasya sADakaH &
   tādarthyam ānulomyena % hetutvānugataṃ tu tat // 3.7.27 //	tAdarTyam Anulomyena % hetutva-anugatam tu tat // 3.7.27 //
   sarvatra sahajā śaktir $ yāvaddravyam avasthitā &	sarvatra sahajA SaktiH $ yAvat-dravyam avasTitAH &
   kriyākāle tv abhivyakter % āśrayād upakāriṇī // 3.7.28 //	kriyA-kAle tu aBivyakteH % ASrayAt upakAriNI // 3.7.28 //
   kuḍyasyāvaraṇe śaktir $ asyādīnāṃ vidāraṇe &	kuxyasya-AvaraNe SaktiH $ asya-AdInAm vidAraNe &
   sarvadā sa tu san dharmaḥ % kriyākāle nirūpyate // 3.7.29 //	sarvadA sa tu san DarmaH % kriyA-kAle nirUpyate // 3.7.29 //
   svāṅgasaṃyoginaḥ pāśā $ daityānāṃ vāruṇā yathā &	sva-aFga-saMyoginaH pASAH $ dEtyAnAm vAruNAH yaTA &
   vyajyante vijigīṣūṇāṃ % dravyāṇāṃ śaktayas tathā // 3.7.30 //	vyajyante vijigIzUNAm % dravyANAm SaktayaH taTA // 3.7.30 //
   taikṣṇyagauravakāṭhinya- $ saṃsthānaiḥ svair asir yadā &	tEkzNya-gOrava-kAWinya $ saMsTAnEH svEH asiH yadA &
   chedyaṃ prati vyāpriyate % śaktimān gṛhyate tadā // 3.7.31 //	Cedyam prati vyApriyate % SaktimAn gRhyate tadA // 3.7.31 //
   prāṅ nimittāntarodbhūtaṃ $ kriyāyāḥ kaiś cid iṣyate &	prAk nimitta-antara-udBUtam $ kriyAyAH kEH cit izyate &
   sādhanaṃ sahajaṃ kaiś cit % kriyānyaiḥ pūrvam iṣyate // 3.7.32 //	sADanam sahajam kEH cit % kriyA-anyEH pUrvam izyate // 3.7.32 //
   pravṛttir eva prathamaṃ $ kva cid apy anapāśritā &	pravRttiH eva praTamam $ kva cit api anapASritAH &
   śaktīr ekādhikaraṇe % srotovad apakarṣati // 3.7.33 //	SaktIH eka-aDikaraNe % srotaH-vat apakarzati // 3.7.33 //
   apūrvaṃ kālaśaktiṃ vā $ kriyāṃ vā kālam eva vā &	apUrvam kAla-Saktim vA $ kriyAm vA kAlam eva vA &
   tam evamlaksanam bhāvam % ke cid āhuh katham ca na // 3.7.34 //	tam evamlaksanam BAvam % ke cit Ahum kaTam ca na // 3.7.34 //
   nityāḥ ṣaṭ śaktayo 'nyeṣāṃ $ bhedābhedasamanvitāḥ &	nityAH zaw SaktayaH anyezAm $ Beda-aBeda-samanvitAH &
   kriyāsaṃsiddhaye 'rtheṣu % jātivat samavasthitāḥ // 3.7.35 //	kriyA-saMsidDaye arTezu % jAti-vat samavasTitAH // 3.7.35 //
   dravyākārādibhedena $ tāś cāparimitā iva &	dravya-AkAra-Adi-Bedena $ tAH ca-aparimitAH iva &
   dṛśyante tattvam āsāṃ tu % ṣaṭ śaktīr nātivartate // 3.7.36 //	dRSyante tattvam AsAm tu % zaw SaktIH na-ativartate // 3.7.36 //
   nimittabhedād ekaiva $ bhinnā śaktiḥ pratīyate &	nimitta-BedAt ekA-eva $ BinnA SaktiH pratIyate &
   ṣoḍhā kartṛtvam evāhus % tatpravṛtter nibandhanam // 3.7.37 //	zoXA kartR-tvam eva-AhuH % tad-pravRtteH nibanDanam // 3.7.37 //
   tattve vā vyatireke vā $ vyatiriktaṃ tad ucyate &	tattve vA vyatireke vA $ vyatiriktam tat ucyate &
   śabdapramāṇako lokaḥ % sa śāstreṇānugamyate // 3.7.38 //	Sabda-pramANakaH lokaH % sa SAstreNa-anugamyate // 3.7.38 //
   paramārthe tu naikatvaṃ $ pṛthaktvād bhinnalakṣaṇam &	parama-arTe tu na-ekatvam $ pRTaktvAt Binna-lakzaNam &
   pṛthaktvaikatvarūpeṇa % tattvam eva prakāśate // 3.7.39 //	pRTaktvA-ekatva-rUpeNa % tattvam eva prakASate // 3.7.39 //
   yat pṛthaktvam asaṃdigdhaṃ $ tad ekatvān na bhidyate &	yat pRTaktvam asaMdigDam $ tat ekatvAt na Bidyate &
   yad ekatvam asaṃdigdhaṃ % tat pṛthaktvān na bhidyate // 3.7.40 //	yat eka-tvam asaMdigDam % tat pRTaktvAt na Bidyate // 3.7.40 //
   dyauḥ kṣamā vāyur ādityaḥ $ sāgarāḥ sarito diśaḥ &	dyOH kzamA vAyuH AdityaH $ sAgarAH saritaH diSaH &
   antaḥkaraṇatattvasya % bhāgā bahir avasthitāḥ // 3.7.41 //	antaHkaraNa-tattvasya % BAgAH bahis avasTitAH // 3.7.41 //
   kālavicchedarūpeṇa $ tad evaikam avasthitam &	kAla-vicCeda-rUpeNa $ tat eva-ekam avasTitam &
   sa hy apūrvāparo bhāvaḥ % kramarūpeṇa lakṣyate // 3.7.42 //	sa hi apUrvA-aparaH BAvaH % krama-rUpeNa lakzyate // 3.7.42 //
   dṛṣṭo hy avyatireke 'pi $ vyatireko 'nvaye 'sati &	dRzwaH hi avyatireke api $ vyatirekaH anvaye asati &
   vṛkṣādyarthānvayas tasmād % vibhaktyartho 'nya iṣyate // 3.7.43 //	vRkza-Adi-arTa-anvayaH tasmAt % viBakti-arTaH anyaH izyate // 3.7.43 //
   sāmānyaṃ kārakaṃ tasya $ saptādyā bhedayonayaḥ &	sAmAnyam kArakam tasya $ sapta-AdyAH Beda-yonayaH &
   ṣaṭ karmākhyādibhedena % śeṣabhedas tu saptamī // 3.7.44 //	zax karma-AKya-Adi-Bedena % SezaBedaH tu saptamI // 3.7.44 //
   karmādhikāraḥ	karma-aDikAraH
   nirvartyaṃ ca vikāryaṃ ca $ prāpyaṃ ceti tridhā matam &	nirvartyam ca vikAryam ca $ prApyam ca-iti triDA matam &
   tatrepsitatamaṃ karma % caturdhānyat tu kalpitam // 3.7.45 //	tatra-Ipsitatamam karma % catur-DAnyat tu kalpitam // 3.7.45 //
   audāsīnyena yat prāpyaṃ $ yac ca kartur anīpsitam &	OdAsInyena yat prApyam $ yat ca kartuH anIpsitam &
   saṃjñāntarair anākhyātaṃ % yad yac cāpy anyapūrvakam // 3.7.46 //	saMjQA-antarEH anAKyAtam % yat yat ca-api anya-pUrvakam // 3.7.46 //
   satī vāvidyamānā vā $ prakṛtiḥ pariṇāminī &	satI vA-avidyamAnA vA $ prakRtiH pariNAminI &
   yasya nāśriyate tasya % nirvartyatvaṃ pracakṣate // 3.7.47 //	yasya na-ASriyate tasya % nirvartya-tvam pracakzate // 3.7.47 //
   prakṛtes tu vivakṣāyāṃ $ vikāryaṃ kaiś cid anyathā &	prakRteH tu vivakzAyAm $ vikAryam kEH cit anyaTA &
   nirvartyaṃ ca vikāryaṃ ca % karma śāstre pradarśitam // 3.7.48 //	nirvartyam ca vikAryam ca % karma SAstre pradarSitam // 3.7.48 //
   yad asaj jāyate sad vā $ janmanā yat prakāśyate &	yat asat jAyate sat vA $ janmanA yat prakASyate &
   tan nirvartyaṃ vikāryaṃ ca % karma dvedhā vyavasthitam // 3.7.49 //	tat nirvartyam vikAryam ca % karma dveDA vyavasTitam // 3.7.49 //
   prakṛtyucchedasaṃbhūtaṃ $ kiṃ cit kāṣṭhādibhasmavat &	prakRti-ucCeda-saMBUtam $ kim cit kAzWa-Adi-Basma-vat &
   kiṃ cid guṇāntarotpattyā % suvarṇādivikāravat // 3.7.50 //	kim cit guNa-antara-utpattyA % suvarNa-Adi-vikAra-vat // 3.7.50 //
   kriyākṛtā viśeṣāṇāṃ $ siddhir yatra na gamyate &	kriyA-kRtA viSezANAm $ sidDiH yatra na gamyate &
   darśanād anumānād vā % tat prāpyam iti kathyate // 3.7.51 //	darSanAt anumAnAt vA % tat prApyam iti kaTyate // 3.7.51 //
   viśeṣalābhaḥ sarvatra $ vidyate darśanādibhiḥ &	viSeza-lABaH sarvatra $ vidyate darSana-AdiBiH &
   keṣāṃ cit tadabhivyakti- % siddhir dṛṣṭiviṣādiṣu // 3.7.52 //	kezAm cit tad-aBivyakti % sidDiH dRzwi-viza-Adizu // 3.7.52 //
   ābhāsopagamo vyaktiḥ $ soḍhatvam iti karmaṇaḥ &	ABAsa-upagamaH vyaktiH $ soXa-tvam iti karmaNaH &
   viśeṣāḥ prāpyamāṇasya % kriyāsiddhau vyavasthitāḥ // 3.7.53 //	viSezAH prApyamANasya % kriyA-sidDO vyavasTitAH // 3.7.53 //
   nirvartyādiṣu tat pūrvam $ anubhūya svatantratām &	nirvartya-Adizu tat pUrvam $ anuBUya svatantra-tAm &
   kartrantarāṇāṃ vyāpāre % karma saṃpadyate tataḥ // 3.7.54 //	kartR-antarANAm vyApAre % karma saMpadyate tatas // 3.7.54 //
   tadvyāpāraviveke 'pi $ svavyāpāre vyavasthitam &	tad-vyApAra-viveke api $ sva-vyApAre vyavasTitam &
   karmāpadiṣṭāāllabhate % kva cic chāstrāśrayān vidhīn // 3.7.55 //	karma-apadizwAAt-laBate % kva cit SAstra-ASrayAn viDIn // 3.7.55 //
   nivṛttapreṣaṇaṃ karma $ svakriyāvayave sthitam &	nivRtta-prezaNam karma $ sva-kriyA-avayave sTitam &
   nivartamāne karmatve % sve kartṛtve 'vatiṣṭhate // 3.7.56 //	nivartamAne karma-tve % sve kartR-tve avatizWate // 3.7.56 //
   tāni dhātvantarāṇy eva $ pacisidhyativad viduḥ &	tAni DAtu-antarANi eva $ pacisiDi-ati-vat viduH &
   bhede 'pi tulyarūpatvād % ekatvaparikalpanā // 3.7.57 //	Bede api tulya-rUpa-tvAt % eka-tva-parikalpanA // 3.7.57 //
   ekadeśe samūhe ca $ vyāpārāṇāṃ pacādayaḥ &	eka-deSe samUhe ca $ vyApArANAm paca-AdayaH &
   svabhāvataḥ pravartante % tulyarūpasamanvitāḥ // 3.7.58 //	svaBAvataH pravartante % tulya-rUpa-samanvitAH // 3.7.58 //
   nyagbhāvanā nyagbhavanaṃ $ ruhau śuddhe pratīyate &	nyagBAvanA nyagBavanam $ ruhO SudDe pratIyate &
   nyagbhāvanā nyagbhavanaṃ % ṇyante 'pi pratipadyate // 3.7.59 //	nyagBAvanAH nyagBavanam % NI-ante api pratipadyate // 3.7.59 //
   avasthāṃ pañcamīm āhur $ ṇyante tāṃ karmakartari &	avasTAm paQcamIm AhuH $ NI-ante tAm karma-kartari &
   nivṛttapreṣaṇād dhātoḥ % prākṛte 'rthe ṇij ucyate // 3.7.60 //	nivRtta-prezaNAt DAtoH % prAkRte arTe Nit ucyate // 3.7.60 //
   bravīti pacater arthaṃ $ sidhyatir na vinā ṇicā &	bravIti pacateH arTam $ siDyatiH na vinA NicA &
   sa ṇyantaḥ pacater arthe % prākṛte vyavatiṣṭhate // 3.7.61 //	sa NI-antaH pacateH arTe % prAkRte vyavatizWate // 3.7.61 //
   keṣāṃ cid devadattāder $ vyāpāro yaḥ sakarmake &	kezAm cit devadatta-AdeH $ vyApAraH yaH sa-karmake &
   sa vinā devadattādeḥ % kaṭādiṣu vivakṣyate // 3.7.62 //	sa vinA devadatta-AdeH % kawa-Adizu vivakzyate // 3.7.62 //
   nivṛttapreṣaṇaṃ karma $ svasya kartuḥ prayojakam &	nivRtta-prezaNam karma $ svasya kartuH prayojakam &
   preṣaṇāntarasaṃbandhe % ṇyante lenābhidhīyate // 3.7.63 //	prezaNa-antara-saMbanDe % NI-ante lena-aBiDIyate // 3.7.63 //
   sadṛśādiṣu yat karma- $ kartṛtvaṃ pratipadyate &	sadRSa-Adizu yat karma $ kartR-tvam pratipadyate &
   āpattyāpādane tatra % viṣayatvaṃ prati kriye // 3.7.64 //	Apatti-ApAdane tatra % vizaya-tvam prati kriye // 3.7.64 //
   kutaś cid āhṛtya padam $ evaṃ ca parikalpane &	kutas cit AhRtya padam $ evam ca parikalpane &
   karmasthabhāvakatvaṃ syād % darśanādyabhidhāyinām // 3.7.65 //	karma-sTa-BAvaka-tvam syAt % darSana-Adi-aBiDAyinAm // 3.7.65 //
   viśeṣadarśanaṃ yatra $ kriyā tatra vyavasthitā &	viSeza-darSanam yatra $ kriyA tatra vyavasTitAH &
   kriyāvyavasthā tv anyeṣāṃ % śabdair eva prakāśyate // 3.7.66 //	kriyA-vyavasTA tu anyezAm % SabdEH eva prakASyate // 3.7.66 //
   kālabhāvādhvadeśānām $ antarbhūtakriyāntaraiḥ &	kAla-BAva-aDva-deSAnAm $ antarBUta-kriyA-antarEH &
   sarvair akarmakair yoge % karmatvam upajāyate // 3.7.67 //	sarvEH akarmakEH yoge % karma-tvam upajAyate // 3.7.67 //
   ādhāratvam iva prāptās $ te punar dravyakarmasu &	ADAra-tvam iva prAptAH $ te punar dravya-karmasu &
   kālādayo bhinnakakṣyaṃ % yānti karmatvam uttaram // 3.7.68 //	kAla-AdayaH Binna-kakzyam % yAnti karma-tvam uttaram // 3.7.68 //
   atas taiḥ karmabhir dhātur $ yukto 'dravyair akarmakaḥ &	atas tEH karmaBiH DAtuH $ yuktaH adravyEH akarmakaH &
   lasya karmaṇi bhāve ca % nimittatvāya kalpate // 3.7.69 //	lasya karmaNi BAve ca % nimitta-tvAya kalpate // 3.7.69 //
   sarvaṃ cākathitaṃ karma $ bhinnakakṣyaṃ pratīyate &	sarvam ca-akaTitam karma $ Binna-kakzyam pratIyate &
   dhātvarthoddeśabhedena % tan nepsitatamaṃ kila // 3.7.70 //	DAtu-arTa-uddeSa-Bedena % tat na-Ipsitatamam kila // 3.7.70 //
   pradhānakarma kathitaṃ $ yat kriyāyāḥ prayojakam &	praDAna-karma kaTitam $ yat kriyAyAH prayojakam &
   tatsiddhaye kriyāyuktam % anyat tv akathitaṃ smṛtam // 3.7.71 //	tad-sidDaye kriyA-yuktam % anyat tu akaTitam smRtam // 3.7.71 //
   duhyādivan nayatyādau $ karmatvam akathāśrayam &	duhyAdi-vat nayati-AdO $ karma-tvam akaTA-ASrayam &
   ākhyātānupayoge tu % niyamāc cheṣa iṣyate // 3.7.72 //	AKyAta-anupayoge tu % niyamAt SezaH izyate // 3.7.72 //
   antarbhūtaṇijarthānāṃ $ duhyādīnāṃ ṇijantavat &	antarBU-taNijarTAnAm $ duhya-AdInAm Nijanta-vat &
   siddhaṃ pūrveṇa karmatvaṃ % ṇijantaniyamas tathā // 3.7.73 //	sidDam pUrveNa karma-tvam % Nijanta-niyamaH taTA // 3.7.73 //
   karaṇasya svakakṣyāyāṃ $ na prakarṣāśrayo yathā &	karaNasya sva-kakzyAyAm $ na prakarza-ASrayaH yaTA &
   karmaṇo 'pi svakakṣyāyāṃ % na syād atiśayas tathā // 3.7.74 //	karmaNaH api sva-kakzyAyAm % na syAt atiSayaH taTA // 3.7.74 //
