   Larger Prajñāpāramitā	LargeH PrajQApAramitA
   ayuktam iti vā samanupaśyati | na vedanāṃ na saṃjñān na saṃskārān na	ayuktam iti vA samanupaSyati | na vedanAm na saMjQAn na saMskArAn na
   vijñānaṃ yuktam iti vā ayuktam iti vā samanupaśyati | na rūpam	vijQAnam yuktam iti vA ayuktam iti vA samanupaSyati | na rUpam
   utpādadharmi vā nirodhadharmi vā samanupaśyati | na vedanāṃ na saṃjñān na	utpAda-Darmi vA niroDa-Darmi vA samanupaSyati | na vedanAm na saMjQAn na
   saṃskārān na vijñānam utpādadharmi vā nirodhadharmi vā samanupaśyati | na	saMskArAt na vijQAnam utpAda-Darmi vA niroDa-Darmi vA samanupaSyati | na
   rūpaṃ saṃkleśadharmi vā vyavadānadharmi vā samanupaśyati | na vedanāṃ na	rUpam saMkleSa-Darmi vA vyavadAna-Darmi vA samanupaSyati | na vedanAm na
   saṃjñāṃ na saṃskārān na vijñānaṃ saṃkleśadharmi vā vyavadānadharmi vā	saMjQAm na saMskArAt na vijQAnam saMkleSa-Darmi vA vyavadAna-Darmi vA
   samanupaśyati | na rūpaṃ vedanayā sārdhaṃ samavasaratīti samanupaśyati |	samanupaSyati | na rUpam vedanayA sArDam samavasarati-iti samanupaSyati |
   na vedanā saṃjñayā na saṃjñā saṃskārair na saṃskārā vijñānena sārdhaṃ	na vedanA saMjQayA na saMjQA saMskArEH na saMskArAH vijQAnena sArDam
   samavasarantīti samanupaśyati | na vijñānaṃ saṃskāraiḥ sārdhaṃ	samavasaranti-iti samanupaSyati | na vijQAnam saMskArEH sArDam
   samavasaratīti samanupaśyati | tat kasya hetoḥ tathā hi na sa kaścid	samavasarati-iti samanupaSyati | tat kasya hetoH taTA hi na sa kaScid-
   dharmaḥ kenacid dharmeṇa sārdhaṃ samavasarati na visarati | // na yujyate	DarmaH kenacid DarmeNa sArDam samavasarati na visarati | // na yujyate
   na viyujyate prakṛtiśunyatām upādāya | yā śāradvatīputra rūpaśunyatā na sā	na viyujyate prakRti-SunyatAm upAdAya | yA SAradvatI-putra rUpa-SunyatA na sA
   rūpaṃ yā vedanāśunyatā na sā vedanā | yā saṃjñāśunyatā na sā saṃjñā | yā	rUpam yA vedanA-SunyatA na sA vedanA | yA saMjQA-SunyatA na sA saMjQA | yA
   saṃskāraśunyatā na te saṃskārā | yā vijñānaśunyatā na sā vijñānaṃ | tathā	saMskAra-SunyatA na te saMskArAH | yA vijQAna-SunyatA na sA vijQAnam | taTA
   hi śāradvatīputra yā rūpaśunyatā na sā rūpayati | yā vedanāśunyatā na sā	hi SAradvatI-putra yA rUpa-SunyatA na sA rUpayati | yA vedanA-SunyatA na sA
   (LPG 21v) vedayati | yā saṃjñāśunyatā na sā saṃjānāti | yā saṃskāraśunyatā	(LPu 21v) vedayati | yA saMjQA-SunyatA na sA saMjAnAti | yA saMskAra-SunyatA
   na sābhisaṃskaroti | yā vijñānaśunyatā na sā vijānāti | tat kasya hetoḥ na	na sa-aBisaMskaroti | yA vijQAna-SunyatA na sA vijAnAti | tat kasya hetoH na
   hi śāradvatīputrānyad rūpam anyā śunyatā nānyā śunyatānyad rūpam* rūpam	hi SAradvatI-putrAn-yat rUpam anyA SunyatA na-anyA SunyatA-anyat rUpam* rUpam
   eva śunyatā śunyataiva rūpam* evaṃ nānyā vedanānyā śunyatā | nānyā saṃjñā	eva SunyatA Sunyata-eva rUpam* evam na-anyA vedanA-anyA SunyatA | na-anyA saMjQA
   nānyā śunyatā | nānye saṃskārā anyā śunyatā | nānyad vijñānam anyā śunyatā	na-anyA SunyatA | na-anye saMskArA anyA SunyatA | na-anyat vijQAnam anyA SunyatA
   | nānyā śunyatānyad vijñānaṃ | vijñānam eva śunyatā śunyataiva vijñānaṃ |	| na-anyA SunyatA-anyat vijQAnam | vijQAnam eva SunyatA Sunyata-eva vijQAnam |
   yā śāradvatīputra śunyatā na sā utpadyate na nirudhyate | na saṃkliśyate	yA SAradvatI-putra SunyatA na sA utpadyate na niruDyate | na saMkliSyate
   na vyavadāyate | na hīyate na vardhate | nātītā nānāgatā na pratyutpannā	na vyavadAyate | na hIyate na varDate | na-atItAH na-anAgatA na pratyutpannA
   yā notpadyate na nirudhyate | na saṃkliśyate na vyavadāyate | na hīyate na	yA na-utpadyate na niruDyate | na saMkliSyate na vyavadAyate | na hIyate na
   vardhate | nātītā nānāgatā na pratyutpannā : na tatra rūpaṃ na vedanā na	varDate | na-atItAH na-anAgatA na pratyutpannA : na tatra rUpam na vedanA na
   saṃjñā na saṃskārā na vijñānaṃ na cakṣur na śrotraṃ na ghrāṇaṃ na jihvā	saMjQA na saMskArAH na vijQAnam na cakzuH na Srotram na GrANam na jihvA
   kāyo na manaḥ na rūpaṃ na śabdo na gandho na raso na sparśo na dharmāḥ na	kAyaH na manaH na rUpam na SabdaH na ganDaH na rasaH na sparSaH na DarmAH na
   tatra skandhā na dhātavo nāyatanāni na tatra cakṣurdhātur na rūpadhātur na	tatra skanDAH na DAtavaH na-AyatanAni na tatra cakzuH-DAtuH na rUpa-DAtuH na
   cakṣurvijñānadhātur na śrotradhātur na śabdadhātur na śrotravijñānadhātuḥ	cakzuH-vijQAna-DAtuH na Srotra-DAtuH na Sabda-DAtuH na Srotra-vijQAna-DAtuH
   na ghrāṇadhātur na gandhadhātur na ghrāṇavijñānadhātur na jihvādhātur na	na GrANa-DAtuH na ganDaDAtuH na GrANa-vijQAna-DAtuH na jihvA-DAtuH na
   rasadhātur na jihvāvijñānadhātuḥ na kāyadhātur na spraṣṭavyadhātur na	rasa-DAtuH na jihvA-vijQAna-DAtuH na kAya-DAtuH na sprazwavya-DAtuH na
   kāyavijñānadhātur na manodhātur na dharmadhātur na manovijñānadhātur na	kAya-vijQAna-DAtuH na manaH-DAtuH na DarmaDAtuH na manaH-vijQAna-DAtuH na
   tatrāvidyā nāvidyānirodhaḥ na saṃskārā nna saṃskāranirodhaḥ na vijñānaṃ na	tatra-avidyA na-avidyA-niroDaH na saMskArAH nna saMskAra-niroDaH na vijQAnam na
   vijñānanirodhaḥ na nāmarūpaṃ na nāmarūpanirodhaḥ na ṣaḍāyatanaṃ na	vijQAna-niroDaH na nAma-rUpam na nAma-rUpa-niroDaH na zaz-Ayatanam na
   ṣaḍāyatananirodhaḥ na sparśo na sparśanirodhaḥ na vedanā na vedanānirodhaḥ	zaz-Ayatana-niroDaH na sparSaH na sparSa-niroDaH na vedanA na vedanA-niroDaH
   na tṛṣṇā na tṛṣṇānirodhaḥ nopādānaṃ nopādānanirodhaḥ na bhavo na	na tRzNA na tRzNA-niroDaH na-upAdAnam na-upAdAna-niroDaH na BavaH na
   bhavanirodhaḥ na jātir na jātinirodhaḥ na jarāmaraṇaṃ na	Bava-niroDaH na jAtiH na jAti-niroDaH na jarA-maraNam na
   jarāmaraṇanirodhaḥ na duḥkhaṃ na samudayo na nirodho na mārgaḥ na prāptir	jarA-maraNa-niroDaH na duHKam na samudayaH na niroDaH na mArgaH na prAptiH-
   nābhisamayaḥ na srotaāpanno na srotaāpattiphalaṃ na sakṛdāgāmī (LPG 22r)	nABi-samayaH na srotaApannaH na srotaApatti-Palam na sakRdAgAmI (LPu 22r)
   na sakṛdāgāmiphalaṃ nānāgāmī nānāgāmiphalaṃ nārhan nārhatvam* na	na sakRdAgAmi-Palam nAnA-gAmI nAnA-gAmi-Palam na-arhan na-arha-tvam* na
   pratyekabodhir na pratyekabuddhaḥ na tatra mārgākārajñatā na bodhisatvaḥ	pratyeka-boDiH na pratyekabudDaH na tatra mArga-AkAra-jQa-tA na boDisatvaH
   na tatra bodhir na buddhaḥ evaṃ khalu śāradvatīputra bodhisatvo mahāsatvaḥ	na tatra boDiH na budDaH evam Kalu SAradvatI-putra boDisatvaH mahAsatvaH
   prajñāpāramitāyāṃ caran yukta iti vaktavyaḥ sa evaṃ prajñāpāramitāyāṃ	prajQApAramitAyAm caran yuktaH iti vaktavyaH saH evam prajQApAramitAyAm
   caran na dānapāramitāyāṃ yukta iti vā ayukta iti vā samanupaśyati | na	caran na dAna-pAramitAyAm yuktaH iti vA ayuktaH iti vA samanupaSyati | na
   śīlapāramitāyāṃ na kṣāntipāramitāyāṃ na vīryapāramitāyāṃ na	SIla-pAramitAyAm na kzAnti-pAramitAyAm na vIrya-pAramitAyAm na
   dhyānapāramitāyāṃ na prajñāpāramitāyāṃ yukta iti vā ayukta iti vā	DyAna-pAramitAyAm na prajQApAramitAyAm yuktaH iti vA ayuktaH iti vA
   samanupaśyati | na rūpaṃ yuktam iti vā ayuktam iti vā samanupaśyati | na	samanupaSyati | na rUpam yuktam iti vA ayuktam iti vA samanupaSyati | na
   vedanāṃ na saṃjñān na saṃskārān na vijñānaṃ yuktam iti vā ayuktam iti vā	vedanAm na saMjQAn na saMskArAt na vijQAnam yuktam iti vA ayuktam iti vA
   samanupaśyati | na cakṣur yuktam iti vā ayuktam iti vā samanupaśyati | na	samanupaSyati | na cakzuH yuktam iti vA ayuktam iti vA samanupaSyati | na
   śrotraṃ na ghrāṇaṃ na jihvāṃ na kāyaṃ na mano yuktam iti vā ayuktam iti vā	Srotram na GrANam na jihvAm na kAyam na manaH yuktam iti vA ayuktam iti vA
   samanupaśyati | na rūpaṃ yuktam iti vā ayuktam iti vā samanupaśyati | na	samanupaSyati | na rUpam yuktam iti vA ayuktam iti vA samanupaSyati | na
   śabdaṃ na gandhaṃ na rasaṃ na sparśaṃ na dharmān na cakṣurdhātuṃ yuktam	Sabdam na ganDam na rasam na sparSam na DarmAt na cakzuH-DAtum yuktam
   iti vā ayuktam iti vā samanupaśyati | na rūpadhātuṃ na cakṣurvijñānadhātuṃ	iti vA ayuktam iti vA samanupaSyati | na rUpa-DAtum na cakzuH-vijQAna-DAtum
   yāvan na manodhātuṃ na dharmadhātuṃ na manovijñānadhātuṃ yukta iti vā	yAvat na manaH-DAtum na DarmaDAtum na manaH-vijQAna-DAtum yuktaH iti vA
   ayukta iti vā samanupaśyati | na smṛtyupasthāneṣu yukta iti vā ayukta iti	ayuktaH iti vA samanupaSyati | na smRti-upasTAnezu yuktaH iti vA ayuktaH iti
   vā samanupaśyati | na samyakprahāṇeṣu na riddhipādeṣu nendriyeṣu na baleṣu	vA samanupaSyati | na samyak-prahANezu na ridDi-pAdezu na-indriyezu na balezu
   na bodhyaṃgeṣu na mārge yukta iti vā ayukta iti vā samanupaśyati | yāvan	na boDi-aMgezu na mArge yuktaH iti vA ayuktaH iti vA samanupaSyati | yAvat-
   na daśasu tathāgatabaleṣu na caturṣu vaiśāradyeṣu na catasṛṣu	na daSasu taTAgata-balezu na caturzu vESAradyezu na catasRzu
   pratisaṃvitsu nāṣṭādaśasv āveṇikeṣu buddhadharmeṣu yukta iti vā ayukta iti	pratisaMvitsu na-azwAdaSasu AveNikezu budDa-Darmezu yuktaH iti vA ayuktaH iti
   vā samanupaśyati | yāvan na sarvajñatāyāṃ na sarvākārajñatāyāṃ yukta iti	vA samanupaSyati | yAvat na sarvajQa-tAyAm na sarva-AkAra-jQa-tAyAm yuktaH iti
   vā ayukta iti vā samanupaśyati | anenāpi śāradvatīputra paryāyeṇa	vA ayuktaH iti vA samanupaSyati | anena-api SAradvatI-putra paryAyeNa
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ yukto yukta iti vaktavyaḥ	boDisatvaH mahAsatvaH prajQApAramitAyAm yuktaH yuktaH iti vaktavyaH
   sarvadharmāyogāviyogatām (LPG 22v) upādāya | punar aparaṃ śāradvatīputra	sarva-Darma-ayoga-aviyoga-tAm (LPu 22v) upAdAya | punar aparam SAradvatI-putra
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran na śunyatāṃ śunyatayā	boDisatvaH mahAsatvaH prajQApAramitAyAm caran na SunyatAm SunyatayA
   yojayati na viyojayati | na śunyatāyogam* nānimittam ānimittena yojayati	yojayati na viyojayati | na Sunyata-ayogam* na-animittam Animittena yojayati
   na viyojayati | nānimittayogam* nāpraṇihitam apraṇihitena yojayati na	na viyojayati | na-animitta-yogam* na-apraNihitam apraNihitena yojayati na
   viyojayati | nāpraṇihitayogam | tat kasya hetoḥ tathā hi śunyatā na yogo	viyojayati | na-apraNihita-yogam | tat kasya hetoH taTA hi SunyatA na yogaH-
   na viyogaḥ evam ānimittam apraṇihitaṃ na yogo na viyogaḥ evaṃ yujyamānaḥ	na viyogaH evam Animittam apraNihitam na yogaH na viyogaH evam yujyamAnaH
   śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ yukta iti vaktavyaḥ	SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm yuktaH iti vaktavyaH
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran
   dharmāṇāṃ svalakṣaṇaśunyatām avatarati | evam avataran na rūpaṃ yojayati	DarmANAm sva-lakzaNa-SunyatAm avatarati | evam avatarat na rUpam yojayati
   na viyojayati | na vedanāṃ na saṃjñāṃ na saṃskārān na vijñānaṃ yojayati na	na viyojayati | na vedanAm na saMjQAm na saMskArAt na vijQAnam yojayati na
   viyojayati | na rūpaṃ pūrvāntena yojayati na viyojayati | tathā hi	viyojayati | na rUpam pUrva-antena yojayati na viyojayati | taTA hi
   pūrvāntam eva na samanupaśyati | na rūpam aparāntena yojayati na	pUrva-antam eva na samanupaSyati | na rUpam aparAntena yojayati na
   viyojayati | tathā hy aparāntam eva na samanupaśyati | na rūpaṃ	viyojayati | taTA hi apara-antam eva na samanupaSyati | na rUpam
   pratyutpannena yojayati na viyojayati | tathā hi pratyutpannam eva na	pratyutpannena yojayati na viyojayati | taTA hi pratyutpannam eva na
   samanupaśyati | na vedanān na saṃjñān na saṃskārān na vijñānaṃ	samanupaSyati | na vedanAt na saMjQAn na saMskArAt na vijQAnam
   pūrvāntāparāntapratyutpannair yojayati na viyojayati | tathā hi	pUrva-anta-apara-anta-pratyutpannEH yojayati na viyojayati | taTA hi
   pūrvāntāparāntapratyutpannāny eva na samanupaśyati | //	pUrva-anta-apara-anta-pratyutpannAni eva na samanupaSyati | //
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran
   na pūrvāntam aparāntena yojayati na viyojayati | nāparāntaṃ pūrvāntena	na pUrva-antam apara-antena yojayati na viyojayati | na-apara-antam pUrva-antena
   yojayati na viyojayati | na pratyutpannaṃ pūrvāntenāparāntena vā yojayati	yojayati na viyojayati | na pratyutpannam pUrva-antena-apara-antena vA yojayati
   na viyojayati | na pūrvāntam aparāntaṃ vā pratyutpannena yojayati na	na viyojayati | na pUrva-antam apara-antam vA pratyutpannena yojayati na
   viyojayati | adhvasamatāśunyatām upādāya | // evaṃ hi yuktaḥ	viyojayati | aDvasamata-ASunyatAm upAdAya | // evam hi yuktaH
   śāradvatīputra bodhisatvo mahāsatvaḥ (LPG 23r) prajñāpāramitāyāṃ yukta iti	SAradvatI-putra boDisatvaH mahAsatvaH (LPG 23r) prajQApAramitAyAm yuktaH iti
   vaktavyaḥ //	vaktavyaH //
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ carann	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran=-
   evaṃ yujyate yathā yujyamāno na sarvajñatām atītena yojayati tathā hy	evam yujyate yaTA yujyamAnaH na sarvajQa-tAm atItena yojayati taTA hi-
   atītam eva na samanupaśyati | asamanupaśyan | kathaṃ sarvajñatām atītena	atItam eva na samanupaSyati | asam-anupaSyan | kaTam sarvajQa-tAm atItena
   yojayiṣyati | na sarvajñatām anāgatena yojayiṣyati | tathā hy anāgatam eva	yojayizyati | na sarvajQa-tAm anAgatena yojayizyati | taTA hi anAgatam eva
   na samanupaśyaty asamanupaśyan kathaṃ sarvajñatām anāgatena yojayiṣyati |	na samanupaSyati asam-anupaSyan kaTam sarvajQa-tAm anAgatena yojayizyati |
   na sarvajñatāṃ pratyutpannena yojayati | tathā hi pratyutpannam eva na	na sarvajQa-tAm pratyutpannena yojayati | taTA hi pratyutpannam eva na
   samanupaśyaty asamanupaśyan kathaṃ sarvajñatāṃ pratyutpannena yojayiṣyati	samanupaSyati asam-anupaSyan kaTam sarvajQa-tAm pratyutpannena yojayizyati
   | evaṃ caraṃc chāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ	| evam caran SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm
   yukta iti vaktavyaḥ //	yuktaH iti vaktavyaH //
   punar aparaṃc chāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ	punar aparan SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm
   caran na rūpaṃ sarvajñatayā yojayati na viyojayati tathā hi rūpam eva na	caran na rUpam sarvajQa-tayA yojayati na viyojayati taTA hi rUpam eva na
   samanupaśyaty asamanupaśyan kathaṃ rūpaṃ sarvajñatayā yojayiṣyati | //	samanupaSyati asamanupaSyan kaTam rUpam sarvajQa-tayA yojayizyati | //
   evaṃ na vedanāṃ na saṃjñān na saṃskārān na vijñānaṃ sarvajñatayā yojayati	evam na vedanAm na saMjQAn na saMskArAt na vijQAnam sarvajQa-tayA yojayati
   na viyojayati | tathā hi vijñānam eva na samanupaśyati | yāvan na cakṣuḥ	na viyojayati | taTA hi vijQAnam eva na samanupaSyati | yAvat na cakzuH
   sarvajñatayā yojayati na viyojayati | tathā hi cakṣur eva na samanupaśyati	sarvajQa-tayA yojayati na viyojayati | taTA hi cakzuH eva na samanupaSyati
   | evan na śrotraṃ na ghrāṇaṃ na jihvāṃ na kāyan na manaḥ sarvajñatayā	| evan na Srotram na GrANam na jihvAm na kAyan na manaH sarvajQa-tayA
   yojayati na viyojayati | tathā hi mana eva na samanupaśyati | evaṃ na	yojayati na viyojayati | taTA hi manaH eva na samanupaSyati | evam na
   rūpaṃ sarvajñatayā yojayati na viyojayati | tathā hi rūpam eva na	rUpam sarvajQa-tayA yojayati na viyojayati | taTA hi rUpam eva na
   samanupaśyati | evaṃ na śabdagandharasasparśadharmān sarvajñatayā yojayati	samanupaSyati | evam na Sabda-ganDa-rasa-sparSa-DarmAn sarvajQa-tayA yojayati
   na viyojayati | tathā hi dharmān eva na samanupaśyati | evaṃ na skandhān	na viyojayati | taTA hi DarmAn eva na samanupaSyati | evam na skanDAn
   sarvajñatayā yojayati na viyojayati | (LPG 23v) tathā hi skandhān eva na	sarvajQa-tayA yojayati na viyojayati | (LPu 23v) taTA hi skanDAn eva na
   samanupaśyati | na dhātūn sarvajñatayā yojayati na viyojayati | tathā hi	samanupaSyati | na DAtUn sarvajQa-tayA yojayati na viyojayati | taTA hi
   dhātūn eva na samanupaśyati | nāyatanāni sarvajñatayā yojayati na	DAtUn eva na samanupaSyati | na-AyatanAni sarvajQa-tayA yojayati na
   viyojayati | tathā hy āyatanāny eva na samanupaśyati | // na cakṣurdhātuṃ	viyojayati | taTA hi AyatanAni eva na samanupaSyati | // na cakzuH-DAtum
   sarvajñatayā yojayati na viyojayati | tathā hi cakṣurdhātum eva na	sarvajQa-tayA yojayati na viyojayati | taTA hi cakzuH-DAtum eva na
   samanupaśyati | // na rūpadhātuṃ sarvajñatayā yojayati na viyojayati |	samanupaSyati | // na rUpa-DAtum sarvajQa-tayA yojayati na viyojayati |
   tathā hi rūpadhātum eva na samanupaśyati | na cakṣurvijñānadhātuṃ	taTA hi rUpa-DAtum eva na samanupaSyati | na cakzuH-vijQAna-DAtum
   sarvajñatayā yojayati na viyojayati | tathā hi cakṣurvijñānadhātum eva na	sarvajQa-tayA yojayati na viyojayati | taTA hi cakzuH-vijQAna-DAtum eva na
   samanupaśyati | yāvan na manodhātuṃ sarvajñatayā yojayati na viyojayati |	samanupaSyati | yAvat na manaH-DAtum sarvajQa-tayA yojayati na viyojayati |
   tathā hi manodhātum eva na samanupaśyati | na dharmadhātuṃ sarvajñatayā	taTA hi manaH-DAtum eva na samanupaSyati | na DarmaDAtum sarvajQa-tayA
   yojayati na viyojayati | tathā hi dharmadhātum eva na samanupaśyati | na	yojayati na viyojayati | taTA hi DarmaDAtum eva na samanupaSyati | na
   manovijñānadhātuṃ sarvajñatayā yojayati na viyojayati | tathā hi	manaH-vijQAna-DAtum sarvajQa-tayA yojayati na viyojayati | taTA hi
   manovijñānadhātum eva na samanupaśyati | asamanupaśyan kathaṃ	manaH-vijQAna-DAtum eva na samanupaSyati | asam-anupaSyan kaTam
   manovijñānadhātuṃ sarvajñatayā yojayiṣyati | evaṃ caraṃc chāradvatiputra	manaH-vijQAna-DAtum sarvajQa-tayA yojayizyati | evam caran SAradvati-putra
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran yukta iti vaktavyaḥ //	boDisatvaH mahAsatvaH prajQApAramitAyAm caran yuktaH iti vaktavyaH //
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran
   na dānapāramitāṃ sarvajñatayā yojayati na viyojayati | tathā hi	na dAna-pAramitAm sarvajQa-tayA yojayati na viyojayati | taTA hi
   dānapāramitām eva na samanupaśyaty asamanupaśyan na yojayati na viyojayati	dAna-pAramitAm eva na samanupaSyati asamanupaSyat na yojayati na viyojayati
   | evaṃ na śīlapāramitāṃ na kṣāntipāramitāṃ na vīryapāramitāṃ na	| evam na SIla-pAramitAm na kzAnti-pAramitAm na vIrya-pAramitAm na
   dhyānapāramitāṃ na prajñāpāramitāṃ sarvajñatayā yojayati na viyojayati |	DyAna-pAramitAm na prajQApAramitAm sarvajQa-tayA yojayati na viyojayati |
   tathā hi prajñāpāramitām eva na samanupaśyaty asamanupaśyan na yojayati na	taTA hi prajQApAramitAm eva na samanupaSyati asamanupaSyan na yojayati na
   viyojayati | evaṃ na smṛtyupasthānāni na	viyojayati | evam na smRti-upasTAnAni na
   samyakprahāṇardhipādendriyabalabodhyaṃgamārgān sarvajñatayā yojayati na	samyak-prahANa-rDi-pAda-indriya-bala-boDi-aMga-mArgAn sarvajQa-tayA yojayati na
   viyojayati | evan na daśa tathāgatabalāni na catvāri vaiśāradyāni na	viyojayati | evat na daSa taTAgata-balAni na catvAri vESAradyAni na
   catasraḥ pratisaṃvida (LPG 24r) nāṣṭādaśāveṇikān buddhadharmān	catasraH pratisaMvidaH (LPu 24r) na-azwAdaSa-AveNikAn budDa-DarmAn
   sarvajñatayā yojayati na viyojayati | tathā hy āveṇikabuddhadharmān na	sarvajQa-tayA yojayati na viyojayati | taTA hi AveNika-budDa-DarmAn na
   samanupaśyaty asamanupaśyan na yojayati na viyojayati | evaṃ yujyamānaḥ	samanupaSyati asamanupaSyat na yojayati na viyojayati | evam yujyamAnaH
   śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ yukta iti vaktavyaḥ	SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm yuktaH iti vaktavyaH
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran
   na buddhaṃ sarvajñatayā yojayati na viyojayati | na sarvajñatāṃ buddhena	na budDam sarvajQa-tayA yojayati na viyojayati | na sarvajQa-tAm budDena
   yojayati na viyojayati | tathā hi buddham eva na samanupaśyati sarvajñatām	yojayati na viyojayati | taTA hi budDam eva na samanupaSyati sarvajQa-tAm
   eva na samanupaśyaty asamanupaśyan na yojayati na viyojayati | na bodhiṃ	eva na samanupaSyati asamanupaSyat na yojayati na viyojayati | na boDim
   sarvajñatayā yojayati na viyojayati | na boddhyā sarvajñatāṃ yojayati na	sarvajQa-tayA yojayati na viyojayati | na bodDyA sarvajQa-tAm yojayati na
   viyojayati | tathā hi bodhim eva na samanupaśyati | sarvajñatām eva na	viyojayati | taTA hi boDim eva na samanupaSyati | sarvajQa-tAm eva na
   samanupaśyaty asamanupaśyan na yojayati na viyojayati | evaṃ hi	samanupaSyati asamanupaSyat na yojayati na viyojayati | evam hi
   śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran yukta iti	SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran yuktaH iti
   vaktavyaḥ //	vaktavyaH //
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran
   na rūpaṃ bhāva iti yojayati na rūpaṃ vibhāva iti yojayati | na vedanān na	na rUpam BAvaH iti yojayati na rUpam viBAvaH iti yojayati | na vedanAt na
   saṃjñān na saṃskārān na vijñānaṃ bhāva iti na vijñānaṃ vibhāva iti	saMjQAn na saMskArAt na vijQAnam BAvaH iti na vijQAnam viBAvaH iti
   yojayati | // na rūpaṃ nityam iti yojayati | na rūpam anityam iti yojayati	yojayati | // na rUpam nityam iti yojayati | na rUpam anityam iti yojayati
   evan na vedanāṃ na saṃjñān na saṃskārān na vijñānaṃ nityam iti yojayati |	evat na vedanAm na saMjQAn na saMskArAt na vijQAnam nityam iti yojayati |
   na vijñānam anityam iti yojayati na rūpaṃ sukham iti yojayati na rūpaṃ	na vijQAnam anityam iti yojayati na rUpam suKam iti yojayati na rUpam
   duḥkham iti yojayati | evan na vedanān na saṃjñān na saṃskārān na vijñānaṃ	duHKam iti yojayati | evan na vedanAt na saMjQAn na saMskArAt na vijQAnam
   sukham iti yojayati | na vijñānaṃ duḥkham iti yojayati | na rūpam ātmeti	suKam iti yojayati | na vijQAnam duHKam iti yojayati | na rUpam AtmA-iti
   yojayati | na rūpam anātmeti yojayati | evaṃ na vedanān na saṃjñān na	yojayati | na rUpam anAtmA-iti yojayati | evam na vedanAt na saMjQAn na
   saṃskārān na vijñānam ātmeti yojayati | na vijñānam anātmeti yojayati | na	saMskArAt na vijQAnam AtmA-iti yojayati | na vijQAnam anAtmA-iti yojayati | na
   rūpaṃ śāntam iti yojayati | na rūpam aśāntam iti yojayati | evan na	rUpam SAntam iti yojayati | na rUpam aSAntam iti yojayati | evat na
   vedanān na saṃjñān na saṃskārān na vijñānaṃ śāntam iti (LPG 24v) yojayati	vedanAt na saMjQAn na saMskArAt na vijQAnam SAntam iti (LPG 24v) yojayati
   | na vijñānam aśāntam iti yojayati | na rūpaṃ śunyam iti vā aśunyam iti	| na vijQAnam aSAntam iti yojayati | na rUpam Sunyam iti vE aSunyam iti
   yujyate | na vedanān na saṃjñān na saṃskārān na vijñānaṃ śunyam iti vā	yujyate | na vedanAt na saMjQAn na saMskArAt na vijQAnam Sunyam iti vA
   aśunyam iti vā yujyate | na rūpaṃ nimittam iti vā animittam iti vā yujyate	aSunyam iti vA yujyate | na rUpam nimittam iti vA animittam iti vA yujyate
   | na vedanān na saṃjñān na saṃskārān na vijñānaṃ nimittam iti vā animittam	| na vedanAt na saMjQAn na saMskArAt na vijQAnam nimittam iti vA animittam
   iti vā yujyate | na rūpaṃ praṇihitam iti vā apraṇihitam iti vā yujyate |	iti vA yujyate | na rUpam praNihitam iti vA apraNihitam iti vA yujyate |
   na vedanān na saṃjñān na saṃskārān na vijñānaṃ praṇihitam iti vā	na vedanAt na saMjQAn na saMskArAt na vijQAnam praNihitam iti vA
   apraṇihitam iti vā yujyate | na rūpam utpadyata iti vā nirudhyata iti vā	apraNihitam iti vA yujyate | na rUpam utpadyate iti vA niruDyate iti vA
