   nyāyakusumāñjaliḥ //	nyAya-kusuma-aQjaliH //
   ādhārādheyabhāvaḥ, viśeṣyatvam, sambandhamātraṃ vā bhede eva bhede 'pi	ADAra-ADeya-BAvaH, viSezya-tvam, sambanDa-mAtram vA Bede eva Bede api
   cacopapadyamānam, nābhedaṃ spṛśatīti sarvamavadātam /	caca-upapadyamAnam, nABa-idam spRSati-iti sarvam-avadAtam /
   [ku.1.159] syādetat /	[ku.1.159] syAt-etat /
   nityavibhubhoktṛsadbhāve sarvametadevaṃ syāt /	nitya-viBuBoktR-sadBAve sarvam-etat-evam syAt /
   sa eva kutaḥ? bhūtānāmeva	saH eva kutas-? BUtAnAm-eva
   cetanatvāt /	cetana-tvAt /
   kāyākārapariṇatāni (bhū) tāni tathā; anvayavyatirekābhyāṃ tathopalabdheḥ /	kAya-akAra-pariNatAni (BU) tAni taTA; anvaya-vyatirekAByAm taTA-upalabDeH /
   karmajñānavāsane tu sarvatra pratibhūtaniyate anuvartiṣyete, yato	karma-jQAna-vAsane tu sarvatra pratiBUta-niyate anuvartizyete, yatas-
   bhogapratisandhānaniyama iti cet- ucyate /	Boga-pratisanDAna-niyamaH iti cet ucyate /
   nānyadṛṣṭaṃ smaratyanyo naikaṃ bhūtamapakramāt /	na-anya-dRzwam smarati-anyaH na-ekam BUtam-apakramAt /
   vāsanāsaṅkramo nāsti na ca gatyantaraṃ sthire //15 //	vAsanA-saFkramaH na-asti na ca gati-antaram sTire //15 //
   n.a hi bhūtānāṃ samudāyaparyavasitaṃ caitanyam; pratidinaṃ tasyānyatve	n.a hi BUtAnAm samudAya-paryavasitam cEtanyam; pratidinam tasya-anya-tve
   pūrvapūrvadivasānubhūtasyāsmaraṇaprasaṅgāt /	pUrva-pUrva-divasa-anuBUtasya-asmaraNa-prasaFgAt /
   nāpi pratyekaparyavasitam; karacaraṇādyavayavāpāye tadanubhūtasya	na-api pratyeka-paryavasitam; kara-caraNa-Adi-avayava-apAye tad-anuBUtasya
   smaraṇāyogāt /	smaraNA-yogAt /
   nāpi mṛgamadavāsaneva vastrādiṣu, saṃsargādanyavāsanānyatra saṅkrāmati;	na-api mRga-mada-vAsanA-iva vastra-Adizu, saMsargAt-anya-vAsanAni-atra saFkrAmati;
   mātrānubhūtasya garbhasthena bhrūṇena smaraṇaprasaṅgāt /	mAtrA-anuBUtasya garBa-sTena BrUNena smaraNa-prasaFgAt /
   na copādānopādeyabhāvaniyamo gatiḥ; sthirapakṣe paramāṇūnāṃ tadabhāvāt /	na ca-upAdAna-upAdeya-BAva-niyamaH gatiH; sTira-pakze paramANUnAm tad-aBAvAt /
   khaṇḍāvayavinaṃ prati ca vicchinnānāmanupādānatvāt /	KaNxa-avayavinam prati ca vicCinnAnAm-anupAdAna-tvAt /
   pūrvasiddhasya cāvayavino vināśāt /	pUrva-sidDasya ca-avayavinaH vinASAt /
   [ku.1.160] astu tarhi kṣaṇabhaṅgaḥ /	[ku.1.160] astu tarhi kzaNa-BaFgaH /
   na cātiśayo (60) vyatiricyate; kiṃ tu sādṛśyatiraskṛtatvāt drāgeva na	na ca-atiSayaH (60) vyatiricyate; kim tu sAdRSya-tiraskRta-tvAt drAk-eva na
   vikalpyate /	vikalpyate /
   kāryadarśanādadhyavasīyate antyātiśayavat /	kArya-darSanAt-aDi-avasIyate antya-atiSaya-vat /
   tathā ca bhūtānyeva tathā tathotpadyante, yathā yathā	taTA ca BUtAni-eva taTA taTA-utpadyante, yaTA yaTA
   pratisandhānaniyamādayo 'pyupapadyante /	pratisanDAna-niyama-AdayaH api-upapadyante /
   kṣaṇikatvasiddhāvevametat /	kzaNika-tva-sidDO=-evam-etat /
   tadeva tvanyatra vistareṇa pratiṣiddham /	tat-eva tu-anyatra vistareNa pratizidDam /
   api ca-[ku.1.161] na vaijātyaṃ vinā tatsyānna tasminnanumā bhavet /	api ca-[ku.1.161] na vEjAtyam vinA tat-syAt-na tasmin=-anumA Bavet /
   vinā tena na tatsiddhirnādhyakṣaṃ niścayaṃ vinā //16 //	vinA tena na tad-sidDiH-na-aDyakzam niScayam vinA //16 //
   n.a hi, "karaṇākaraṇayostajjātīyasya sataḥ sahakārilābhālābhau	n.a hi, "karaNa-akaraNayoH-tajjAtIyasya sataH sahakAri-lABa-alABO
   tantra'mityabhyupagame kṣaṇikatvasiddhiḥ; tathaikavyaktāvapyavirodhāt /	tantra-am-iti-aByupagame kzaNika-tva-sidDiH; taTA-eka-vyaktO=-api-aviroDAt /
   tadvā tādṛgveti na kaścidviśeṣa iti nyāyāt /	tat-vA tAdRS-vA-iti na kaScid-viSezaH iti nyAyAt /
   tatastāvanādṛtya vaijātyamaprāmāṇikamevābhyupeya(gantavya)m /	tatas-tO=-anAdRtya vEjAtyam-aprAmANikam-eva-aByupeya(gantavya)m /
   [ku.1.162] evaṃ ca, "kāraṇavat kārye 'pi kiñcidvaijātyaṃ syāt yasya	[ku.1.162] evam ca, "kAraNa-vat kArye api kiQcid-vEjAtyam syAt yasya
   kāraṇāpekṣā, na tu dṛṣṭajātīyasya" iti śaṅkayā na tadutpattisiddhiḥ /	kAraNa-apekzA, na tu dRzwa-jAtIyasya" iti SaFkayA na tad-utpatti-sidDiH /
   dṛṣṭajātīyamākasmikaṃ syāditi cenna- tatrāpi kiñcidanyadeva prayojakaṃ	dRzwa-jAtIyam-Akasmikam syAt-iti ced-na tatra-api kiQcid-anyat-eva prayojakam
   bhaviṣyatītyaviredhāt /	Bavizyati-iti-avireDAt /
   "na kāryasya viśeṣastatprayuktatayopalabhyate; nāpi	"na kAryasya viSezaH-tad-prayukta-tayA-upalaByate; na-api
   kāryasāmānyasyānyaprayojakaṃ dṛśyate" iti cet- tat kiṃ kāraṇasya viśeṣaḥ	kArya-sAmAnyasya-anya-prayojakam dRSyate" iti cet tat kim kAraNasya viSezaH
   svagatastatprayojakatayopalabdhaḥ, kāraṇasāmānyasya vānyatprayojyāntaraṃ	sva-gataH-tad-prayojaka-tayA-upalabDaH, kAraNa-sAmAnyasya vA-anyat-prayojya-antaram
   dṛśyate; yato vivakṣitasiddhiḥ syāt /	dRSyate; yatas vivakzita-sidDiH syAt /
   śaṅkā tūbhayatrāpi sulabheti /	SaFkA tu-uBayatra-api sulaBa-iti /
   kāryajanmājanmabhyāmunnīyata iti cenna- sahakārilābhālābhābhyāmevopapatteḥ	kArya-janma-ajanmaByAm-unnIyate iti ced-na sahakAri-lABa-alABAByAm-eva-upapatteH
   unnīyatāṃ vā; kāryeṣu śaṅkiṣyate; niṣedhakābhāvāt /	unnIyatAm vA; kAryezu SaFkizyate; nizeDaka-aBAvAt /
   na hi dhūmasya viśeṣaṃ dahanaprayojyaṃ pratiṣeddhuṃ svabhāvānupalabdhiḥ	na hi DUmasya viSezam dahana-prayojyam pratizedDum svaBAva-anupalabDiH
   prabhavati /	praBavati /
   kāryaikaniśceyasya tadanupalabdherevāniścayopapatteḥ /	kArya-eka-niSceyasya tad-anupalabDeH-eva-aniScaya-upapatteH /
   kāryasya cātīndriyasyāpi sambhavāt; ata evānupalabdhyantaramapi	kAryasya ca-atIndriyasya-api samBavAt; atas eva-anupalabDi-antaram-api
   niravakāśamiti /	niravakASam-iti /
   [ku.1.163] evaṃ vidhirūpayorvyāvṛttirūpayorvā jātyorvirodhe sati na	[ku.1.163] evam viDi-rUpayoH-vyAvRtti-rUpayoH-vA jAtyoH-viroDe sati na
   samāveśaḥ /	samAveSaH /
   samāviṣṭayośca parāparabhāvaniyamaḥ;	samAvizwayoH-ca para-apara-BAva-niyamaH;
   anyūnānatiriktavṛttijātidvayakalpanāyāṃ pramāṇābhāvāt /	anyUna-anatirikta-vRtti-jAti-dvaya-kalpanAyAm pramANa-aBAvAt /
   vyāvartyabhedābhāvena virodhānavakāśe bhedānupapatteḥ /	vyAvartya-Beda-aBAvena viroDAn-avakASe Beda-anupapatteH /
   parasparaparihāravatyośca samāveśe gotvāśvatvayorapitathā bhāvaprasaṅgāt /	paraspara-parihAravatyoH-ca samAveSe go-tva-aSva-tvayoH-api-taTA BAva-prasaFgAt /
   sāmagrīvirodhānnaivamiti cet- (61)kuta etat? parasparaparihāreṇa sarvadā	sAmagrI-viroDAt-na-evam-iti cet (61)kute etat? paraspara-parihAreNa sarvadA
   vyavasthiteriti cet- nedamapyadhyakṣam /	vyavasTiteH-iti cet na-idam-api-aDyakzam /
   ekadeśasamāveśena tu sāmagrīsamāveśo 'pyunnīyate (62)yāvat /	eka-deSa-samAveSena tu sAmagrI-samAveSaH api-unnIyate (62)yAvat /
   (63)tatkāryayoḥ parasparaparihṛtisvabhāvatvāditi cettarhi kampaśiṃśapayoḥ	(63)tad-kAryayoH paraspara-parihRti-svaBAva-tvAt-iti ced-tarhi kampa-SiMSapayoH
   parasparaparihāravatyorna samāveśaḥ syāt /	paraspara-parihAravatyoH-na samAveSaH syAt /
   dṛśyate tāvadidamiti cet- gotvāśvatvayorapi na dṛkṣyata iti kā pratyāśā?	dRSyate tAvat-idam-iti cet go-tva-aSva-tvayoH-api na dRkzyate iti kA pratyASA?
   tathā ca gatamanupalabdhiliṅgenāpi, kvacidapi virodhāsiddheḥ /	taTA ca gatam-anupalabDi-liFgena-api, kvacid-api viroDa-asidDeH /
   [ku.1.164] tato vipakṣe bādhakābhāvāt svabhāvaheturapyapāstaḥ /	[ku.1.164] tatas vipakze bADaka-aBAvAt svaBAva-hetuH-api-apAstaH /
   nanu- asti tat /	nanu asti tat /
   tathā hi- vṛkṣajanakapatrakāṇḍādyantarbhūtā śiṃśapāsāmagrī /	taTA hi vRkza-janaka-patra-kANxa-Adi-antarBUtA SiMSapA-sAmagrI /
   sā vṛkṣamatipatya bhavantī svakāraṇamevātipatet /	sA vRkzam-atipatya BavantI sva-kAraNam-eva-atipatet /
   evaṃ śākhādimanmātrānubandhī vṛkṣavyavahāraḥ; tadviśeṣānubandhī ca	evam SAKA-Adimat-mAtrA-anubanDI vRkza-vyavahAraH; tad-viSeza-anubanDI ca
   śiṃśapāvyavahāraḥ /	SiMSapA-vyavahAraH /
   sa kathaṃ tamatipatyātmānamāsādayediti- cet- evaṃ tarhi	sa kaTam tam-atipatya-AtmAnam-AsAdayet-iti cet evam tarhi
   śiṃśapāsāmagryantarbhūtā calanasāmagrī /	SiMSapA-sAmagrI-antarBUtA calana-sAmagrI /
   tatastāmatipatya calanādirūpatā bhavantī svakāraṇamevātipatet /	tatas-tAm-atipatya calana-Adi-rUpa-tA BavantI sva-kAraNam-eva-atipatet /
   tathā śākhādimadviśeṣānubandhī śiṃśapāvyavahāraḥ, tadviśeṣānubandhī ca	taTA SAKA-Adimat-viSeza-anubanDI SiMSapA-vyavahAraH, tad-viSeza-anubanDI ca
   calanavyavahāraḥ /	calana-vyavahAraH /
   sa kathaṃ tamatipatyātmānamāsādayediti tulyam /	sa kaTam tam-atipatya-AtmAnam-AsAdayet-iti tulyam /
   [ku.1.165] nodanādyāgantukanibandhanaṃ calanatvam, na tu	[ku.1.165] nodana-Adi-Agantuka-nibanDanam calana-tvam, na tu
   tadviśeṣamātrādhīnamiti cet- yadi nodanādayaḥ svabhāvabhūtāḥ;	tad-viSeza-mAtra-aDInam-iti cet yadi nodana-AdayaH svaBAva-BUtAH;
   tatastadviśeṣā eva /	tatas-tad-viSezAH eva /
   athāsvabhāvabhūtāḥ; tataḥ sahakāriṇa eva /	aTa-asvaBAva-BUtAH; tatas sahakAriNaH eva /
   tataḥ (tathā ca) tānāsādya nirviśeṣaiva śiṃśapācalanasvabhā(vatvamā)(vān	tatas (taTA ca) tAn-AsAdya nirviSeza-eva SiMSapA-calana-svaBA(va-tvam-A)(vAn
   ā)vamārabhata iti /	A)vam-AraBate iti /
   tathā ca kutaḥ kṣaṇikatvasiddhiḥ? [ku.1.166] svabhāvabhūtā	taTA ca kutas kzaNika-tva-sidDiH? [ku.1.166] svaBAva-BUtAH-
   evāgantukasahakāryanupraveśādbhavantīti cet- evaṃ tarhi	eva-Agantuka-sahakAri-anupraveSAt-Bavanti-iti cet evam tarhi
   vṛkṣasāmagryāmāgantukasahakāryanupraveśādeva śiṃśapāpi jāyata iti na	vRkza-sAmagryAm-Agantuka-sahakAri-anupraveSAt-eva SiMSapA-api jAyate iti na
   kaścidviśeṣaḥ /	kaScid-viSezaH /
   [ku.1.167]	[ku.1.167]
   evametat /	evam-etat /
   kintu śiṃśapājanakāstarusāmagrīmupādāyaiva calanajanakāstu na tāmeva; kiṃ	kintu SiMSapA-janakAH-taru-sAmagrIm-upAdAya-eva calana-janakAH-tu na tAm-eva; kim
   tu mūrtamātram; tathā darśanāditi cenmaivam; kampajanakāḥ	tu mUrta-mAtram; taTA darSanAt-iti ced-mA-evam; kampa-janakAH
   śiṃśapājanakaviśeṣā api santastānatipatanti; na tu vṛkṣajanakaviśeṣāḥ	SiMSapA-janaka-viSezAH api santaH-tAn-atipatanti; na tu vRkza-janaka-viSezAH
   śiṃśapājanakāstāniti niyāmakābhāvāt /	SiMSapA-janakAH-tAn-iti niyAmaka-aBAvAt /
   [ku.1.168] śiṃśapājanakāstadviśeṣā eva /	[ku.1.168] SiMSapA-janakAH-tad-viSezAH eva /
   kampakāriṇastu na tathā; kintvāgantavaḥ[ntuka] sahakāriṇa iti cet- evaṃ	kampa-kAriNaH-tu na taTA; kintvA-AgantavaH[ntuka] sahakAriNaH iti cet evam
   tarhi tānāsādya sadṛśarūpā api kecit kampakāriṇaḥ, anāsāditasahakāriṇastu	tarhi tAn-AsAdya sadRSa-rUpAH api kecid kampa-kAriNaH, anAsAdita-sahakAriNaH-tu
   na tathā /	na taTA /
   tathā ca tadvā tādṛgveti na kaścidviśeṣa (64) iti syāt /	taTA ca tat-vA tAdRS-vA-iti na kaScid-viSeza (64) iti syAt /
   [ku.1.169] tasmādviruddhayorasamāveśa eva /	[ku.1.169] tasmAt-virudDayoH-asamAveSaH eva /
   samāviṣṭayośca parāparabhāva eva /	samAvizwayoH-ca para-apara-BAvaH eva /
   anevaṃbhūtānāṃ dravyaguṇakarmādibhāvenopādhitvamātram /	anevaMBUtAnAm dravya-guNa-karma-Adi-BAvena-upADi-tva-mAtram /
   teṣāṃ tu viruddhānāṃ na samāveśo vyaktibhedāt /	tezAm tu virudDAnAm na samAveSaH vyakti-BedAt /
   jātīnāṃ ca bhinnāśrayatvāt /	jAtInAm ca Binna-ASraya-tvAt /
   tathā ca kutaḥ kṣaṇikatm? vaijātyābhyupagame ca kuto 'numānavārtā /	taTA ca kutas kzaNikatm? vEjAtya-aByupagame ca kutas anumAna-vArtA /
   [ku.1.170] mā bhūdanumānamiti cenna- tena hi vinā (65)na tat siddhyet /	[ku.1.170] mA BUt-anu-mAnam-iti ced-na tena hi vinA (65)na tat sidDyet /
   na hi kṣaṇikatve pratyakṣamasti; tathā niścayābhāvāt /	na hi kzaNika-tve pratyakzam-asti; taTA niScaya-aBAvAt /
   gṛhītaniścita evārthe tasya prāmāṇyāt /	gRhIta-niScitaH eva-arTe tasya prAmANyAt /
   anyathātiprasaṅgāt /	anyaTA-ati-prasaFgAt /
   [ku.1.171] nanu vartamānaḥ kṣaṇo 'dhyakṣagocaraḥ /	[ku.1.171] nanu vartamAnaH kzaNaH aDyakza-gocaraH /
   na cāsau (66) pūrvāparakṣaṇātmā /	na ca-asO (66) pUrva-aparakzaNa-AtmA /
   tato vartamānatvaniścaya eva bhedaniścaya iti cet- kimatra tadabhi[pi]	tatas vartamAna-tva-niScayaH eva Beda-niScayaH iti cet kim-atra tad-aBi[pi]
   matamāyuṣmataḥ? yadi dharmyeva nīlādiḥ, na kiñcidanupapannam; tasya	matam-AyuzmataH? yadi DarmyA-iva nIla-AdiH, na kiQcid-anupapannam; tasya
   sthairyāsthairyasādhāraṇyāt /	sTEryAsTErya-sADAraNyAt /
   atha dharmaḥ "tadbhedaniścaye 'pi dharmiṇaḥ kimāyātam? tasya tato 'nyatvāt	aTa DarmaH "tad-Beda-niScaye api DarmiNaH kim-AyAtam? tasya tatas anya-tvAt-
   vartamānāvartamānatvamekasya viruddhamiti cet- yadi sadasattvaṃ tat"	vartamAna-AvartamAna-tvam-ekasya virudDam-iti cet yadi sat-asat-tvam tat"
   tanna; anabhyupagamāt /	tat-na; anaByupagamAt /
   tādrūpyeṇaiva pratyabhijñānāt /	tAdrUpyeNa-eva pratyaBijQAnAt /
   sadasatsambandhaścet- kimasaṅgatam? jñānavattadupapatteḥ /	sat-asat-sambanDaH-cet kim-asaFgatam? jQAna-vat-tat-upapatteH /
   krameṇānekasambhandha ekasyānupapanna iti cet- astitāvadato nirūpaṇīyam	krameNa-aneka-samBanDaH ekasya-anupapannaH iti cet astitAvadataH nirUpaNIyam
   kṣaṇapratyayastu bhrānto 'pi nāstīti viśeṣaḥ /	kzaNa-pratyayaH-tu BrAntaH api na-asti-iti viSezaH /
   [ku.1.172ṭasyādetat /	[ku.1.172wasyAt-etat /
   mā bhūdadhyakṣa(67)manumānaṃ vā kṣaṇikatve; tathāpi sandeho 'stu /	mA BUt-aDyakza-(67)m-anumAnam vA kzaNika-tve; taTA-api sandehaH astu /
   etāvatāpi siddhaṃ samīhitaṃ cārvākasyeti cet- ucyate /	etAvatA-api sidDam samIhitam cArvAkasya-iti cet ucyate /
   sthairyadṛṣṭyorna sandeho na prāmāṇye virodhataḥ /	sTErya-dRzwyoH-na sandehaH na prAmANye viroDataH /
   ekatāniścayo yena kṣaṇe, tena sthire mataḥ //17 //	eka-tA-niScayaH yena kzaNe, tena sTire mataH //17 //
   n.a hi sthire taddarśane vā svarasavāhī sandehaḥ; pratyabhijñānasya	n.a hi sTire tad-darSane vA svarasa-vAhI sandehaH; pratyaBijQAnasya
   durapahnavatvāt /	durapahnava-tvAt /
   nāpi tatprāmāṇye; sa hi na tāvatsārvatrikaḥ; vyāghātāt /	na-api tad-prAmANye; sa hi na tAvat-sArvatrikaH; vyAGAtAt /
   tathā hi- prāmāṇyāsiddhau sandeho 'pi na siddhyet; tatsiddhau vā tadapi	taTA hi prAmANya-asidDO sandehaH api na sidDyet; tad-sidDO vA tat-api
   siddhyet /	sidDyet /
   (68)niścayasya tadadhīnatvāt koṭidvayasya cādṛṣṭasyānupasthāne kaḥ	(68)-niScayasya tad-aDIna-tvAt kowi-dvayasya ca-adRzwasya-anupasTAne kaH
   sandehārthaḥ? taddarśane ca kathaṃ sarvathā tadasiddhiḥ /	sandeha-arTaH? tad-darSane ca kaTam sarvaTA tad-asidDiH /
   etenāprāmāṇikastadvyavahāra iti nirastam; sarvathā prāmāṇyāsiddhau	etena-aprAmANikaH-tat-vyavahAraH iti nirastam; sarvaTA prAmANya-asidDO
   tasyāpyasiddheḥ? [ku.1.173] prakṛte prāmāṇyasandehaḥ, lūnapunarjātakeśādau	tasya-api-asidDeH? [ku.1.173] prakRte prAmANya-sandehaH, lUna-punar-jAta-keSa-AdO
   vyabhicāradarśanāditi cet- na ekatvaniścayasya tvayāpīṣṭatvāt /	vyaBicAra-darSanAt-iti cet na ekatva-niScayasya tvayA-api-izwa-tvAt /
   aniṣṭau vā na kiñcitsiddhyet /	anizwO vA na kiQcid-sidDyet /
   siddhyatu, yatra viruddhadharmaviraha iti cet- tenaiva sthiratvamapi	sidDyatu, yatra virudDa-Darma-virahaH iti cet tena-eva sTira-tvam-api
   niścīyate /	niScIyate /
   sa iha sandihyata iti cet- tulyametat /	saH iha sandihyate iti cet tulyam-etat /
   kvacinniścayo 'pi kathañciditi cet- samaḥ samādhiḥ /	kvacid-niScayaH api kaTaQcid-iti cet samaH samADiH /
   [ku.1.174] nanvetat kāraṇatvaṃ yadi svabhāvo bhāvasya, nīlādivat, tadā	[ku.1.174] nanu-etat kAraNa-tvam yadi svaBAvaH BAvasya, nIla-Adivat, tadA
   sarvasādhāraṇaṃ syāt /	sarva-sADAraNam syAt /
   na hi nīlaṃ (69) kañcitpratyanīlam /	na hi nIlam (69) kaQcid-pratyanIlam /
   athaupādhikam; tadopādherapi svābhāvikatve tathātvaprasaṅgaḥ /	aTa-OpADikam; tadA-upADeH-api svABAvika-tve taTA-tva-prasaFgaH /
   aupādhikatve tvanavasthā /	OpADika-tve tu-anavasTA /
   athāsādhāraṇatvamapyasya svabhāva eva; tata utpatterārabhya kuryāt;	aTa-asADAraNa-tvam-api-asya svaBAvaH eva; tatas utpatteH-AraBya kuryAt-;
   sthirasyaikasvabhāvatvāditi cet- ucyate-[ku.1.175] hetuśaktimanādṛtya	sTirasya-eka-svaBAva-tvAt-iti cet ucyate-[ku.1.175] hetu-Saktim-anAdRtya
   nīlādyapi na vastusat /	nIla-Adi-api na vastu-sat /
   tadyuktaṃ tatra tat śaktamiti sādhāraṇaṃ na kim //18 //	tat-yuktam tatra tat Saktam-iti sADAraNam na kim //18 //
   sarvasādhāraṇanīlādivaidharmyeṇ.a kālpanikatvaṃ kāryakāraṇabhāvasya	sarva-sADAraNa-nIla-Adi-vEDarmyeN.a kAlpanika-tvam kArya-kAraNa-BAvasya
   vyutpādayatā nīlādi pāramārthikamevābhyupagantavyam, anyathā	vyutpAdayatA nIla-Adi pAramArTikam-eva-aByupagantavyam, anyaTA
   tadvaidharmyaiṇa hetuphalabhāvasyāpāramārthikatvānupapatteḥ /	tad-vEDarmyENa hetu-Pala-BAvasya-apAramArTika-tva-anupapatteH /
   na ca kāryakāraṇabhāvasyāpāramārthikatve nīlādi pāramārthikaṃ	na ca kArya-kAraNa-BAvasya-apAramArTika-tve nIla-Adi pAramArTikam
   bhavitumarhati, nityatvaprasaṅgāt /	Bavitum-arhati, nitya-tva-prasaFgAt /
   tasmādasya pāramārthikatve 'paramapi tathā, navobhayamapīti /	tasmAt-asya pAramArTika-tve aparam-api taTA, nava-uBayam-api-iti /
   [ku.1.176] ṭhakathamekamanekaṃ parasparaviruddhaṃ kāryaṃ kuryāt /	[ku.1.176] WakaTam-ekam-anekam paraspara-virudDam kAryam kuryAt /
   tatsvabhāvatvāditi yadi, tadotpatterārabhya kuryādaviśeṣāt" ityapi na	tad-svaBAva-tvAt-iti yadi, tadA-utpatteH-AraBya kuryAt-aviSeza-at" iti-api na
   yuktam; tattatsahakārisācivye tattatkāryaṃ karotīti svabhāvavyavasthāpanāt	yuktam; tad-tad-sahakAri-sAcivye tat-tat-kAryam karoti-iti svaBAva-vyavasTApanAt-
   (svabhāvavyavahārasthāpanāt) /	(svaBAva-vyavahAra-sTApanAt) /
   idaṃ ca sādhāraṇameva, sarvairapi tathopalambhāt /	idam ca sADAraNam-eva, sarvEH-api taTA-upalamBAt /
   na hi nīlāderapyanyat sādhāraṇyamiti /	na hi nIla-AdeH-api-anyat sADAraNyam-iti /
   [ku.1.177] syādetat /	[ku.1.177] syAt-etat /
   astu sthiram; tathāpi nityavibhorna kāraṇatvamupapadyate /	astu sTiram; taTA-api nitya-viBoH-na kAraNa-tvam-upapadyate /
   tathā hi- anvayavyatirekābhyāṃ kāraṇatvamavadhāryate, nānvayamātreṇa;	taTA hi anvaya-vyatirekAByAm kAraNa-tvam-avaDAryate, na-anvaya-mAtreNa;
   atiprasaṅgāt /	atiprasaFgAt /
   na ca nityavibhūnāṃ vyatirekasambhavaḥ /	na ca nitya-viBUnAm vyatireka-samBavaH /
   na ca sopādhirasāvastyeveti sāmpratam; tathābhūtasyopādhisambandhe	na ca sa-upADiH-asO=-asti-eva-iti sAmpratam; taTABUtasya-upADi-sambanDe
   'pyanadhikārāt /	api-anaDikArAt /
   janito hi tena sa tasya syāt, nityo vā /	janitaH hi tena sa tasya syAt, nityaH vA /
   na prathamaḥ, pūrvavat /	na praTamaH, pUrvavat /
   nāpi dvitīyaḥ, pūrvavadeva /	na-api dvitIyaH, pUrvavat-eva /
   tathāpi copādhireva vyatirekaḥ; na tasya; aviśeṣāt /	taTA-api ca-upADiH-eva vyatirekaH; na tasya; aviSezAt /
   tadvata iti cet- (na tasya /	tadvataH iti cet (na tasya /
   aviśeṣāttadvata iti cet-) na; sa copādhiścetyato 'nyasya	aviSezAt-tadvataH iti cet-) na; sa ca-upADiH-ca-iti-atas anyasya
   tadvatpadārthasyābhāvāt /	tadvat-padArTasya-aBAvAt /
   bhāve vā sa eva kāraṇaṃ syāt /	BAve vA saH eva kAraNam syAt /
   atrocyate-[ku.1.178] pūrvabhāvo hi hetutvaṃ mīyate yena kenacit /	atra-ucyate-[ku.1.178] pUrva-BAvaH hi hetu-tvam mIyate yena kenacid /
   vyāpakasyāpi nityasya dharmidhīranyathā na hi //19 //	vyApakasya-api nityasya Darmi-DIH-anyaTA na hi //19 //
   bhavedeva.m, yadyanvayavyatirekāveva kāraṇatvam; kiṃ tu kāryānniyataḥ	Bavet-eva.m, yadi-anvaya-vyatirekO=-eva kAraNa-tvam; kim tu kAryAt-niyataH
   pūrvabhāvaḥ /	pUrva-BAvaH /
   sa ca kvacidanvayavyatirekābhyāmavasīyate, kvaciddharmigrāhakātpramāṇāt /	sa ca kvacid-anvaya-vi-atirekAByAm-avasIyate, kvacid-Darmi-grAhakAt-pramANAt /
   anyathā kāryāt kāraṇānumānaṃ kvāpi na syāt; tena tasyānuvidhānānupalambhāt	anyaTA kAryAt kAraNa-anumAnam kvApi na syAt; tena tasya-anuviDAna-anupalamBAt-
   upalambhe vā kāryaliṅgānavakāśāt /	upalamBe vA kArya-liFga-anavakASAt /
   pratyakṣata eva tatsiddheḥ /	pratyakzatas eva tad-sidDeH /
   tajjātīyānuvidhānadarśanātsiddhiranyatrāpi na vāryate /	tad-jAtIya-anuviDAna-darSanAt-sidDiH-anyatra-api na vAryate /
   [ku.1.179] tathāpi koṣṭhagatyānuvihitānvayavyatirekameva kāryāt kāraṇaṃ	[ku.1.179] taTA-api kozWa-gatyA-anuvihita-anvaya-vyatirekam-eva kAryAt kAraNam
   siddhyet; anyatra tathā darśanāditi cenna- bādhena saṅkocāt; vipakṣe	sidDyet; anyatra taTA darSanAt-iti ced-na bADena saFkocAt; vipakze
   bādhakābhāvena cāvyāpteḥ /	bADaka-aBAvena ca-avyApteH /
   darśanamātreṇa cotkarṣasamatvāt /	darSana-mAtreNa ca-utkarza-sama-tvAt /
   asya ceśvare vistaro vakṣyate /	asya ca-ISvare vistaraH vakzyate /
   sarvavyāpakānāṃ sarvān pratyanvayamātraviśeṣe kāraṇatvaprasaṅgo	sarva-vyApakAnAm sarvAn pratyanvaya-mAtra-viSeze kAraNa-tva-prasaFgaH-
   bādhakamiti cenna- anvayavyatirekavajjātīyatayā vipakṣe bādhakena ca	bADakam-iti ca-id-na anvaya-vyatireka-vat-jAtIya-tayA vipakze bADakena ca
   viśeṣe 'natiprasaṅgāt /	viSeze anatiprasaFgAt /
   tathā hi- kāryaṃ samavāyikāraṇavad dṛṣṭamityadṛṣṭāśrayamapi	taTA hi kAryam samavAyi-kAraNa-vat dRzwam-iti-adRzwa-ASrayam-api
   tajjātīyakāraṇakam- āśrayābhāve kiṃ pratyāsannam asamavāyikāraṇaṃ syāt /	tad-jAtIya-kAraNa-kam ASraya-aBAve kim pratyAsannam asamavAyi-kAraNam syAt /
   tadabhāve nimittamapi kimupakuryāt /	tad-aBAve nimittam-api kim-upakuryAt /
   tathā cānutpattiḥ satatotpattirvā sarvatrotpattirvā syāt evamapi	taTA ca-anutpattiH satata-utpattiH-vA sarvatra-utpattiH-vA syAt evam-api
   nimittasya sāmarthyādeva niyatadeśotpāde sa eva deśo 'vaśyāpekṣaṇīyaḥ syāt	nimittasya sAmarTyAt-eva niyata-deSa-utpAde saH eva deSaH avaSya-apekzaNIyaH syAt-
   tathā ca sāmānyato deśasiddhau itarapṛthivyādibādhe tadatiriktasiddhiṃ ko	taTA ca sAmAnyatas deSa-sidDO itara-pRTivI-Adi-bADe tad-atirikta-sidDim kaH-
   vārayet /	vArayet /
