   // āyurvedamahodadhiḥ //	// Ayurveda-mahA-udaDiH //
   annapānavidhiḥ	anna-pAna-viDiH
   // dvitīyā śikhariṇī //	// dvitIyA SiKariNI //
   kapitthamātuluṅgailāsārivārdhaka (?) bījakaiḥ /	kapitTa-mAtuluFga-elA-sArivA-arDaka (?) bIjakEH /
   śarkarāśuṇṭhisāmudramudgacūrṇaiḥ susaṃyutaiḥ //	SarkarA-SuNWi-sAmudra-mudga-cUrNEH su-saMyutEH //
   sadā pathyā niyuñjayāc ca (ddhādhva) kṣīṇe dehe ca puṣṭidā // 7 //	sadA paTyA niyuQjayAt ca (dDADva) kzINe dehe ca puzwi-dA // 7 //
   (Ap 81)	(Ap 81)
   sujātaṃ dadhni bhedaṃ ca (nikṣiptaṃ) vastre baddhvā supīḍitam /	sujAtam daDni Bedam ca (nikziptan) vastre badDvA su-pIxitam /
   nānāpuṣpaphalārambhaṃ kuryād dadhni manoharam // 8 //	nAnA-puzpa-Pala-AramBam kuryAt daDni manoharam // 8 //
   sūktaṃ dadhirasaṃ śreṣṭhaṃ tad dhṛtaṃ śodhite paṭe /	sUktam daDi-rasam SrezWam tat DRtam SoDite pawe /
   lavaṇena samaṃ yuktyā śikhariṇyamṛtopamā // 9 //	lavaNena samam yuktyA SiKariNI-amRta-upamAH // 9 //
   rasālā sarvadoṣaghnī raktapittanibarhaṇī /	rasAlA sarva-doza-GnI raktapitta-nibarhaNI /
   // anyā śikhariṇī //	// anyA SiKariNI //
   sanmātuliṅgasya dalaṃ tv agelāṃ saraṃgapippalyī sasamaṃ (?) sitayā sametam	sat-mAtuliFgasya dalam tu agelAm saraMga-pippalyI sa-samam (?) sitayA sametam
   vyoṣāc ca gadyāṇayugaprayuktaṃ syād vārtakaṃ (?) dṛṣṭisamaṃ	vyozAt ca gadyANa-yuga-prayuktam syAt vArtakam (?) dRzwi-samam
   sitavastrabaddham // 10 //	sita-vastra-badDam // 10 //
   karpūravāsāc ca tathaiva paścād yuktyā ca saṃmardma kṛtā rasālā /	karpUra-vAsAt ca taTA-eva paScAt yuktyA ca saMmardma kRtA rasAlA /
   eṣā kṛtā śikhariṇī surasā rasālā suṣeṇadevena rathāśvahetoḥ // 11 //	ezA kRtA SiKariNI surasA rasAlA suzeNa-devena raTa-aSva-hetoH // 11 //
   āsvāditā śikhariṇī parameśvareṇa doṣāṃś ca sarvān vinihanti vogrān /	AsvAditA SiKariNI parameSvareNa dozAn ca sarvAn vinihanti vA-ugrAn /
   pittāsraraktā (sṛgutthā)n api hanti sarvān bhojyāni sarvāṇy api jārayanti	pittAsra-raktAH (sRj-utTA)n api hanti sarvAn BojyAni sarvANi api jArayanti
   // amṛtaprāśaśikhariṇī //	// amRta-prASa-SiKariNI //
   nāraṅgaṃ dāḍimaṃ syāt palamadhukayutaṃ mātuluṅgasya toyaṃ	nAraFgam dAximam syAt pala-maDuka-yutam mAtuluFgasya toyam
   drākṣātoyaṃ samāṃśaṃ guḍadadhisahitaṃ śarkarājājimiśram /	drAkzA-toyam sama-aMSam guxa-daDi-sahitam SarkarA-jAji-miSram /
   (Ap 82)	(Ap 82)
   (śreṣṭhā pāneṣu vṛṣyā sita) śreṣṭho pāde ca vṛṣyāt sama ricayutā	(SrezWA pAnezu vRzyA sita) SrezWaH pAde ca vRzyAt sama rica-yutA
   saindhavair vāpitaṃ tan	sEnDavEH vApitam tat-
   niṣpīḍya sarvam etat kuru (racaya) śikhariṇāṃ rājayogyā yatas tāḥ // 13 //	nizpIxya sarvam etat kuru (racaya) SiKariNAm rAja-yogyA yatas tAH // 13 //
   anyac ca /	anyat ca /
   mātuluṅgasitājājīmarīcārdrakanāgaraiḥ /	mAtuluFga-sitA-jAjI-marIca-Ardraka-nAgarEH /
   karpūrasahitair yuktyā dadhiparyuṣitāḥ samāḥ // 14 //	karpUra-sahitEH yuktyA daDi-paryuzitAH samAH // 14 //
   rasaṃ yogeṣu sarveṣu badarasya samasya ca /	rasam yogezu sarvezu badarasya samasya ca /
   nāgaraṃ rasasaṃmiśraṃ rasālaiṣāmṛtopamā // 15 //	nAgaram rasa-saMmiSram rasAla-ezA-amRta-upamAH // 15 //
   acche paṭe ca saṃghṛṣṭā raktapittanibarhiṇī //	acCe pawe ca saMGRzwA raktapitta-nibarhiNI //
   // candrāmṛtasrāviṇī nāma śikhariṇī //	// candrAmRtasrAviNI nAma SiKariNI //
   mātuliṅgakapitthāmlatittiḍīkāmladāḍimaiḥ /	mAtuliFga-kapitTa-amla-tittixIka-amla-dAximEH /
   śarkarāsahitair yuktaṃ dadhipiṣṭaṃ śucau paṭe // 16 //	SarkarA-sahitEH yuktam daDi-pizwam SucO pawe // 16 //
   yojitaṃ maricājājīcāturjātakabhūs tṛṇaiḥ /	yojitam marica-ajAjI-cAturjAtaka-BUH tRNEH /
   bhuktā cārdrakasaṃyuktā rasālāmṛtasaṃbhavā // 17 //	BuktA ca-Ardraka-saMyuktA rasAla-amRta-saMBavAH // 17 //
   sarvarogapraśamanī dāhapittanibarhaṇī /	sarva-roga-praSamanI dAha-pitta-nibarhaNI /
   raktodrekaharī pathyā sarvavātānulomanī // 18 //	rakta-udreka-harI paTyA sarva-vAta-anulomanI // 18 //
   eṣā śikhariṇī proktā suṣeṇena vinirmitā /	ezA SiKariNI proktA suzeNena vinirmitA /
   // anyac ca //	// anyat ca //
   agryā dadhiguḍājājīnāgarārdrakayojitā // 19 //	agryA daDi-guxa-ajAjI-nAgara-Ardraka-yojitAH // 19 //
   (Ap 83)	(Ap 83)
   sucaturjātaghṛṣṭā ca rasālaiṣāmṛtopamā /	su-caturjAta-GRzwA ca rasAlA-ezA-amRta-upamA /
   sarvakṛcchrapraśamanī sarvātīsāranāśanī // 20 //	sarva-kRcCra-praSamanI sarva-atIsAra-nASanI // 20 //
   pittodrekaharī pathyā pittātīsāranāśanī /	pitta-udreka-harI paTyA pitta-atIsAra-nASanI /
   suṣeṇadevena kṛtā rasālā hy amṛtopamā // 21 //	suzeNa-devena kRtA rasAlAH hi amRta-upamAH // 21 //
   // iti suṣeṇakṛte śikhariṇīvargaḥ //	// iti suzeNa-kRte SiKariNI-vargaH //
   atha vyañjanavargaḥ //	aTa vyaQjana-vargaH //
   hiḍgūṣaṇājājimahauṣadhāni cūrṇīkṛtāni triguṇaṃ kramāc ca /	hixgUzaNa-ajAji-mahOzaDAni cUrNIkRtAni triguNam kramAt ca /
   sadīpyakaṃ sūraṇapūṣa (?) māṃsarasaprayogeṣu ca nityam iṣṭam // 1 //	sa-dIpyakam sUraNa-pUzaH (?) mAMsa-rasa-prayogezu ca nityam izwam // 1 //
   yavānijīrake tulye tayor dviguṇasūraṇam /	yavAni-jIrake tulye tayoH dviguNa-sUraNam /
   īṣatyuṣa (?) samāyuktaṃ tato vyañjanasaurabham // 2 //	Izati-uza (?) samAyuktam tatas vyaQjana-sOraBam // 2 //
   sarvarogaharaṃ pathyaṃ vātadurnāmanāśanam /	sarva-roga-haram paTyam vAta-durnAma-nASanam /
   śuṇṭhīmarīcapippalyaḥ samaṃ nāgavicūrṇitāḥ // 3 //	SuNWI-marIca-pippalyaH samam nAga-vicUrNitAH // 3 //
   cavyacitrakakāpitthasārayuktaṃ susaṃskṛtam /	cavya-citraka-kApitTa-sAra-yuktam susaMskRtam /
   saindhavena mamopetaṃ takrapītaṃ ca yatra cit // 4 //	sEnDavena mama-upetam takra-pItam ca yatra cit // 4 //
   etad vai vyañjanaṃ śreṣṭhaṃ sarvavātanivāraṇam /	etat vE vyaQjanam SrezWam sarva-vAta-nivAraNam /
   mahāgulmapraśamanaṃ suṣeṇena kṛtaṃ nṛṇām // 5 //	mahA-gulma-praSamanam suzeNena kRtam nRNAm // 5 //
   sarvavātāmaye śastaṃ nṛṇāṃ bheṣajam uttamam /	sarva-vAta-Amaye Sastam nRNAm Bezajam uttamam /
   // anyac ca //	// anyat ca //
   marīcaṃ dīpyakaṃ śuṇṭhī cavyaṃ citrakam eva ca // 6 //	marIcam dIpyakam SuNWI cavyam citrakam eva ca // 6 //
   (Ap 84)	(Ap 84)
   pippalīpippalīmūladhānyākājājisaindhavam /	pippalI-pippalI-mUla-DAnyAka-ajAji-sEnDavam /
   jīrakaṃ dāḍimaṃ pathyā cāmalaṃ hṛdyagandhakam // 7 //	jIrakam dAximam paTyA ca-amalam hRdya-ganDakam // 7 //
   etat kalpasamaṃ miśraṃ paktvā takre sapiṇḍake /	etat kalpa-samam miSram paktvA takre sapiNxake /
   vātaśleṣmaharā hṛdyā paramā rucivardhinī // 8 //	vAta-Slezma-harA hRdyA paramA ruci-varDinI // 8 //
   āmātīsāraśūlaghnī vātagulmanikṛntanī /	Ama-atIsAra-SUla-GnI vAta-gulma-nikRntanI /
   kāsaśvāsaharā cogrā mandā medāyinī (?) parā /	kAsa-SvAsa-harA ca-ugrA mandA medAyinI (?) parA /
   uktā caiva sadā pathyā sottamā kaṭhinā smṛtā // 10 //	uktA ca-eva sadA paTyA sa-uttamA kaWinA smRtAH // 10 //
   kvathikā (bhā-) //	kvaTikA (BA-) //
   maricajaraṇaśuṇṭhīṃ pippalīmūlacavyaṃ	marica-jaraNa-SuNWIm pippalI-mUla-cavyam
   dahanarucakadhānyaṃ pippalī saindhavaṃ ca /	dahana-rucaka-DAnyam pippalI sEnDavam ca /
   atrapakapitthasāraṃ dāḍimikāji (?) hiṃgur	atrapaka-pitTa-sAram dAximikA-Aji (?) hiMguH-
   yuvatikarasupakvaṃ āmalakyaṃ sutakram // 11 //	yuvati-kara-su-pakvam Amalakyam su-takram // 11 //
   harati pavanamādyaṃ śleṣmadāhaṃ sakṛcchraṃ	harati pavanam-Adyam Slezma-dAham sakRcCram
   arucijaṭharaśūlaṃ cāmavātātisāram /	aruci-jaWara-SUlam ca-Ama-vAta-atisAram /
   viditasakalavedyo vaidyarājaḥ suṣeṇoḥ	vidita-sakala-vedyaH vEdya-rAjaH suzeNoH
   viracayati kapitthavyañjanaṃ rājagopyam // 12 //	viracayati kapitTa-vyaQjanam rAja-gopyam // 12 //
   // anyac ca //	// anyat ca //
   trikaṭukam ajamodā saindhavaṃ jīrake dve	trikawukam ajamodA sEnDavam jIrake dve
   karamathitakapitthaṃ citrakaṃ pippalī ca /	kara-maTita-kapitTam citrakam pippalI ca /
   samadhṛtakṛtacūrṇe tatra saṃyojitavyaṃ	sama-DRta-kRta-cUrNe tatra saMyojitavyam
   kvathitam iha samānaṃ yojitaṃ rāmaṭhena // 13 //	kvaTitam iha samAnam yojitam rAmaWena // 13 //
   (Ap 85)	(Ap 85)
   kṛtalavaṇasudhānyaṃ mātuluṅgasya sāraṃ	kRta-lavaNa-suDAnyam mAtuluFgasya sAram
   kaphapavanavikāre sarvadā vyañjanaṃ syāt /	kaPa-pavana-vikAre sarvadA vyaQjanam syAt /
   vāte 'gnimāndye 'pi ca śūlamāndye mūrchāṃ nigṛhṇāti cirapravṛddhām //	vAte agnimAndye api ca SUla-mAndye mUrCAm nigRhNAti cira-pravRdDAm //
   suṣeṇadevena kṛtā rasālā susaurabhā rogaharāpi pathyā // 14 //	suzeNa-devena kRtA rasAlA su-sOraBAH roga-harA-api paTyAH // 14 //
   // iti śrīsuṣeṇakṛte vyañjanavargaḥ //	// iti SrI-suzeNa-kRte vyaQjana-vargaH //
   // idānīṃ māṃsaguṇāḥ kathyante //	// idAnIm mAMsa-guNAH kaTyante //
   māṃsaṃ svādumatāṃ varaṃ subalakṛt snehādhikaṃ dehino	mAMsam svAdumatAm varam subala-kRt sneha-aDikam dehinaH-
   nityaṃ dhātuṣu sāmyakṛc ca kathitaṃ tad varṇakṛd bṛṃhaṇam //	nityam DAtuzu sAmya-kRt ca kaTitam tat varNa-kRt bRMhaNam //
   bhuktaṃ tṛptikaraṃ ca kāmakaraṇaṃ vātādidoṣān haret	Buktam tRpti-karam ca kAma-karaNam vAta-Adi-dozAn haret-
   tasmād āṅgikadoṣaśāntikṛtaye bhuñjīta māṃsaṃ sadā // 1 //	tasmAt AFgika-doza-SAnti-kRtaye BuQjIta mAMsam sadA // 1 //
   atha lāvamāṃsaguṇāḥ //	aTa lAva-mAMsa-guNAH //
   lāvā himasvādukaṣāyayuktā vṛṣyāgnikṛt snigdhalaṭī (?) prahṛdyāḥ /	lAvAH hima-svAdu-kazAya-yuktA vRzya-agni-kRt snigDa-lawI (?) prahRdyAH /
   saṃgrāhikā vai kaṭupācitāś ca te saṃnipāteṣu hitāḥ samastāḥ // 2 //	saMgrAhikAH vE kawu-pAcitAH ca te saMnipAtezu hitAH samastAH // 2 //
   // lāvarū (bhā-) //	// lAvarU (BA-) //
   atha kṛṣṇatittiriguṇāḥ //	aTa kRzNa-tittiri-guNAH //
   īṣadgurūṣṇo madhuro 'tivṛṣyo medhāgnisaṃvardhanakārakaś ca /	Izat-guru-uzNaH maDuraH ati-vRzyaH meDA-agni-saMvarDana-kArakaH ca /
   balyo vihanyāt sa kaphajvarāṃś ca vātāmayādyān śititittiriś ca // 3 //	balyaH vihanyAt sa kaPa-jvarAn ca vAta-Amaya-AdyAn Siti-tittiriH ca // 3 //
   // kṛṣṇatittira (bhā-) //	// kRzNa-tittiraH (BA-) //
   (Ap 86)	(Ap 86)
   atha gauratittiriḥ //	aTa gOra-tittiriH //
   gauras tittiriko 'gnikṛt kaphaharo rūkṣo 'tipittāpahaḥ	gOraH tittirikaH agni-kRt kaPa-haraH rUkzaH ati-pitta-apahaH
   śleṣmāṇaṃ vinihanti caiva balavān raktaṃ ca pittaṃ jayet /	SlezmANam vinihanti ca-eva balavAn raktam ca pittam jayet /
   atha kāpiñjalaḥ //	aTa kApiQjalaH //
   so 'sṛkpittaharo 'tiśītalalaghur balyo 'tivṛṣyaḥ sadā	saH asRk-pitta-haraH ati-SItala-laGuH balyaH ati-vRzyaH sadA
   vāte syān mṛdukuṣṭhahṛt kṛmiharo mehāmayadhvaṃsanaḥ /	vAte syAt mRdu-kuzWa-hRt kRmi-haraH meha-Amaya-DvaMsanaH /
   kṣīṇe retasi medasāgnijananaḥ kāpiñjalaḥ śasyate	kzINe retasi medasA-agni-jananaH kApiQjalaH Sasyate
   vātāsṛgvilayaṃ karoti tarasā pittāmayadhvaṃsakaḥ // 4 //	vAta-asRj-vilayam karoti tarasA pitta-Amaya-DvaMsakaH // 4 //
   atha vārtakaguṇāḥ //	aTa vArtaka-guNAH //
   pāṇḍupramehapiḍikākṛmisaṃbhaveṣu rogeṣu vātabahuleṣu ca śasyate ca /	pANxu-prameha-pixikA-kRmi-saMBavezu rogezu vAta-bahulezu ca Sasyate ca /
   vātāsrapittakaphajān vinihanti kīlān gulmāgnimāndyam aruciṃ laghu vārtakaṃ	vAtAsra-pitta-kaPa-jAn vinihanti kIlAn gulma-agni-mAndyam arucim laGu vArtakam
   ca // 5 //	ca // 5 //
   atha krakaropacakrikāguṇāḥ //	aTa krakara-upacakrikA-guNAH //
   laghuś ca vṛṣyā ca balopabṛṃhaṇī	laGuH ca vRzyA ca bala-upabRMhaNI
   hṛdyā tathā krakarorucikriyā (sakrakaropacakrikā) //	hRdyA taTA krakara-Uruci-kriyA (sakra-kara-upacakrikA) //
   (Ap 87)	(Ap 87)
   atha mayūramāṃsaguṇāḥ //	aTa mayUra-mAMsa-guNAH //
   kāṣāyaṃ kaṭukātivṛṣyajananaṃ susvādu kepyaṃ (kaṇṭhyaṃ) tathā	kAzAyam kawukA-ati-vRzya-jananam su-svAdu kepyam (kaNWyan) taTA
   sakṣāraṃ rucikārakaṃ viṣaharaṃ mandānaladhvaṃsakam /	sa-kzAram ruci-kArakam viza-haram manda-anala-DvaMsakam /
   (svaryaṃ) śvarye medhyam atīva hṛṣṭijananaṃ śrotrendriye dārḍhyakṛt	(svaryan) Svarye meDyam atIva hRzwi-jananam Srotra-indriye dArXya-kRt-
   snigdhoṣṇānilahāsrapittaśamanaṃ māyūramāṃsaṃ sadā // 7 //	snigDa-uzNa-anila-hA-asra-pitta-Samanam mAyUra-mAMsam sadA // 7 //
   hemantakāle śiśire vasante sevyaṃ hi māyuram uśanti māṃsam /	hemanta-kAle SiSire vasante sevyam hi mAyuram uSanti mAMsam /
   atha kukkuṭamāṃsaguṇāḥ //	aTa kukkuwa-mAMsa-guNAH //
   uṣṇaḥ svādutaro balasvarakaro vṛṣyaḥ sadā bṛṃhaṇaḥ	uzNaH svAdutaraH bala-svara-karaH vRzyaH sadA bRMhaNaH
   pāke snigdhataro mahānilaharo medaḥkaphālasyakṛt /	pAke snigDataraH mahA-anila-haraH medaH-kaPa-Alasya-kRt /
   āyuṣyaṃ kurute kṣayeṣu viṣame mehe vamau śasyate	Ayuzyam kurute kzayezu vizame mehe vamO Sasyate
   proktaḥ kukkuṭako hi doṣaśamanaḥ sarvāmayadhvaṃsakaḥ // 9 //	proktaH kukkuwakaH hi doza-SamanaH sarva-Amaya-DvaMsakaH // 9 //
   atha kapotādiguṇāḥ //	aTa kapota-Adi-guNAH //
   kapotapārāvatabhṛṅgarājā jaṭī kuliṅgaṃ gṛhajaṃ pikaś ca /	kapota-pArAvata-BRFgarAjA jawI kuliFgam gRhajam pikaH ca /
   bhedāśiḍiṃḍīśukasārivālūkākhañjarīṭā haritāḥ praśastāḥ // 10 //	Beda-aSixiMxI-Suka-sAri-vA-lUkA-KaQjarIwAH haritAH praSastAH // 10 //
   kaṣāyā mārutā rūkṣāḥ phalāhārā marucarāḥ /	kazAyAH mArutAH rUkzAH Pala-AhArAH marucarAH /
   pittaśleṣmaharāḥ pittā (proktā) baddhamūtrālpavarcasaḥ // 11 //	pitta-Slezma-harAH pittAH (proktA) badDa-mUtra-alpa-varcasaH // 11 //
   (Ap 88)	(Ap 88)
   sadā doṣakaras teṣāṃ bhedāśī maladūṣakaḥ /	sadA doza-karaH tezAm Beda-ASI mala-dUzakaH /
   kāṣāyā lavaṇā himāḥ kaphakarā vṛṣyāḥ sadā durjarā	kAzAyAH lavaNAH himAH kaPa-karAH vRzyAH sadA durjarA
   viṣṭambhaṃ janayanti mūtrabahulaṃ pittāsyadāhān kila /	vizwamBam janayanti mUtra-bahulam pitta-Asya-dAhAn kila /
   āmādhmānakarās tridoṣajananā mohāsyavairasyakāḥ	Ama-ADmAna-karAH tridoza-jananAH moha-Asya-vErasyakAH
   kṛcchrāgner balakārakāḥ śramaharāḥ daurgandhyadāḥ sleṣmalāḥ // 12 //	kRcCra-agneH bala-kArakAH Srama-harAH dOrganDya-dAH slezmalAH // 12 //
   ete prāvṛṣi sevitāḥ pratidinaṃ doṣavrajaghnāḥ khalu /	ete prAvRzi sevitAH pratidinam doza-vraja-GnAH Kalu /
   ākāśagāminaḥ sarve balyā vṛṣyāḥ sudurjarāḥ // 13 //	AkASa-gAminaH sarve balyAH vRzyAH su-durjarAH // 13 //
   kauliṅgaguṇāḥ //	kOliFga-guNAH //
   kauliṅgo madhuro 'tivṛṣyakaphakṛcchukrāśmarīchedanaḥ	kOliFgaH maDuraH ati-vRzya-kaPa-kRt-Sukra-aSmarI-CedanaH
   pittāsrātiharo 'tiśukrajananaḥ snigdhāsyamādhuryakṛt /	pittAsra-ati-haraH ati-Sukra-jananaH snigDa-Asya-mADurya-kRt /
   balyo mārutanāśanaḥ kṛmiharo vāryaś ca netrāmaye	balyaH mAruta-nASanaH kRmi-haraH vAryaH ca netra-Amaye
   durnāmapraśamī viśeṣapavanadhvaṃsī sadā durjaraḥ // 14 //	durnAma-praSamI viSeza-pavana-DvaMsI sadA durjaraH // 14 //
   grāmyāṇāṃ guṇāḥ //	grAmyANAm guNAH //
   grāmyā vātaharāḥ sarve bṛṃhaṇāḥ kaphapittalāḥ /	grAmyAH vAta-harAH sarve bRMhaNAH kaPa-pittalAH /
   madhurā rasapākābhyāṃ dīpanā balavardhanāḥ // 15 //	maDurAH rasa-pAkAByAm dIpanAH bala-varDanAH // 15 //
   kapotaguṇāḥ //	kapota-guNAH //
   kāpotaḥ syād gururatihimaḥ snigdhamandaḥ prakopī	kApotaH syAt guruH-ati-himaH snigDa-mandaH prakopI
   śleṣmā pitte praṇayavijarā jarjarā caṃ cadanāt [?] /	SlezmA pitte praNaya-vijarA jarjarA cam cadanAt [?] /
   retaḥkṣīṇe śramaharavaraḥ kṛcchramūtre nidāghe	retaH-kzINe Srama-hara-varaH kRcCra-mUtre nidAGe
   mohe yojyaḥ sa bhavati nṛṇāṃ kāyakārī balāya // 16 //	mohe yojyaH sa Bavati nRNAm kAya-kArI balAya // 16 //
   (Ap 89)	(Ap 89)
   atha jāṅgalamāsaguṇāḥ //	aTa jAFgala-mAsa-guNAH //
   jāṅgalaṃ vastidoṣaghnaṃ guru pīnasanāśanam /	jAFgalam vasti-doza-Gnam guru pInasa-nASanam /
   laghupākaṃ na śītaṃ ca nātisnigdhamadāhi ca // 17 //	laGu-pAkam na SItam ca na-ati-snigDam-adAhi ca // 17 //
   athājāvimāṃsaguṇāḥ //	aTa-aja-avi-mAMsa-guNAH //
   [nātiśītaṃ guru snigdhaṃ māṃsamājamadoṣalam]	[nA-ati-SItam guru snigDam mAMsam-Ajam-adozalam]
   śarīradhātusāmānyād anabhiṣyandi bṛṃhaṇam /	SarIra-DAtu-sAmAnyAt anaBizyandi bRMhaNam /
   bṛṃhaṇaṃ māṃsasaurabhraṃ pittaśleṣmāvahaṃ guru // 18 //	bRMhaNam mAMsa-sOraBram pitta-Slezma-Avaham guru // 18 //
   athaiṇamāṃsaguṇāḥ //	aTa-eNa-mAMsa-guNAH //
   aiṇaṃ māṃsaṃ ca hṛdyaṃ balakaram api tat pittaraktaṃ nihanti	ENam mAMsam ca hRdyam bala-karam api tat pittaraktam nihanti
   pāṇḍukṣīṇe sadāhe kaphapavanarujo nāśayaty āśu kīlān /	pANxu-kzINe sa-dAhe kaPa-pavana-rujaH nASayati ASu kIlAn /
   plīhānāhau vibandhaṃ jvaraharaṇaparaṃ medaso 'ntaṃ karoti	plIha-AnAhO vibanDam jvara-haraNa-param medasaH antam karoti
   retaḥkṣīṇeṣu yojyaṃ rucikaraṇalaghu śvāsakāsaṃ chinatti // 19 //	retaH-kzINezu yojyam ruci-karaNa-laGu SvAsa-kAsam Cinatti // 19 //
   medaḥ pucchodbhavaṃ syāt kaphapavanaharaṃ kāntidaṃ puṣṭidaṃ syāt	medaH pucCa-udBavam syAt kaPa-pavana-haram kAnti-dam puzwi-dam syAt-
   vātāsṛk pittakṛt syān madaharaviṣahṛc chvāsakāsaṃ chinatti /	vAtAsRk pitta-kRt syAt mada-hara-viza-hRt SvAsa-kAsam Cinatti /
   atha śaśakamāṃsaguṇāḥ	aTa SaSaka-mAMsa-guNAH
   (balyaṃ vi) balābhiṣyandi tat syāt jvaraharaṇaparaṃ kṣīṇaretaḥpradhānaṃ	(balyam vi) bala-aBizyandi tat syAt jvara-haraNa-param kzINa-retaH-praDAnam
   śastaṃ vātāmayānāṃ śaśakajapiśitaṃ hanti kuṣṭhāmayāṃś ca // 20 //	Sastam vAta-AmayAnAm SaSaka-ja-piSitam hanti kuzWa-AmayAn ca // 20 //
   (Ap 90)	(Ap 90)
   athauṣṭrādimāṃsaguṇāḥ //	aTa-Ozwra-Adi-mAMsa-guNAH //
   auṣṭraṃ salavaṇaṃ māṃsaṃ māṃsam ekaśaphodbhavam /	Ozwram sa-lavaNam mAMsam mAMsam ekaSaPa-udBavam /
   alpābhiṣyandi vargo 'yaṃ jāṅgalaḥ samudāhṛtaḥ // 21 //	alpa-aBizyandi vargaH ayam jAFgalaH samudAhRtaH // 21 //
   duleḥ (?) jalapātanilayādūrapānīyagocarāḥ /	duleH (?) jala-pAta-nilayAdUra-pAnIya-gocarAH /
   ye mṛgāś ca vihaṅgāś ca mahābhiṣyandanā matāḥ // 22 //	ye mRgAH ca vihaFgAH ca mahA-aBizyandanAH matAH // 22 //
   atha vanacāriṇāṃ guṇāḥ //	aTa vana-cAriNAm guNAH //
   mādhuryād guruvo 'tirūkṣadahanāḥ śoṣe madotthe viṣe	mADuryAt guruvaH ati-rUkza-dahanAH Soze mada-utTe vize
   śreṣṭhā mūtrapurīṣalā balakarāḥ kāsārśanāśapradāḥ /	SrezWAH mUtra-purIzalAH bala-karAH kAsa-arSa-nASa-pradAH /
   vātaṃ pittarujo haranti satataṃ snigdhāś ca kārśyāpahāḥ	vAtam pitta-rujaH haranti satatam snigDAH ca kArSya-apahAH
   sarve te vanacāriṇaḥ kaphaharā mehe hitāḥ sarvadā // 23 //	sarve te vana-cAriNaH kaPa-harAH mehe hitAH sarvadA // 23 //
   atha māṃsānāṃ gauravalāghavavicāraḥ //	aTa mAMsAnAm gOrava-lAGava-vicAraH //
   nādeyā guravo madhye yasmāt pucchāsyacāriṇaḥ /	nAdeyAH guravaH maDye yasmAt pucCa-Asya-cAriNaH /
   saras taḍāgajānāṃ tu viśeṣāt sāraso laghuḥ // 24 //	saraH taxAga-jAnAm tu viSezAt sArasaH laGuH // 24 //
   adūragocarā yasmāt tasmād utsoda pādalāḥ (?) /	adUra-gocarAH yasmAt tasmAt utsoda pAdalAH (?) /
   kiṃcin muktāḥ śirodeśe atyarthaṃ guravas tu te // 25 //	kiMcid muktAH SiraH-deSe atyarTam guravaH tu te // 25 //
   adhastād guravo jñeyā matsyāḥ sarasijāḥ smṛtāḥ /	aDastAt guravaH jQeyAH matsyAH sarasijAH smRtAH /
   urovicāraṇās teṣāṃ pūrvam aṅgaṃ laghu smṛtam // 26 //	uraH-vicAraNAH tezAm pUrvam aFgam laGu smRtam // 26 //
   śiraḥ skandhaḥ kaṭiḥ pṛṣṭhaṃ sakthinī cāma āśayaḥ /	SiraH skanDaH kawiH pRzWam sakTinI ca-AmaH ASayaH /
   guru pūrvaṃ vijānīyād vātas tupathāttaram (laghavas tu yathottaraṃ) // 27	guru pUrvam vijAnIyAt vAtaH tupaTAttaram (laGavaH tu yaTottaran) // 27
   (Ap 91)	(Ap 91)
   sarvaś ca prāṇināṃ dehe madhyo gurur udāhṛtaḥ /	sarvaH ca prANinAm dehe maDyaH guruH udAhRtaH /
   pūrvabhāgo guruḥ puṃsām adhobhāgas tu yoṣitām // 28 //	pUrva-BAgaH guruH puMsAm aDoBAgaH tu yozitAm // 28 //
   urogrīvaṃ vihaṅgānāṃ viśeṣeṇa guru smṛtam /	uraH-grIvam vihaFgAnAm viSezeNa guru smRtam /
   pakṣyokṣye pāśyamāhṛṣṭo (?) madhyabhāgas tu pakṣiṇām // 29 //	pakzya-ukzye pASyam-AhRzwaH (?) maDya-BAgaH tu pakziNAm // 29 //
   atīva māṃsaṃ rūkṣaṃ ca vihaṅgānāṃ palāśinām /	atIva mAMsam rUkzam ca vihaFgAnAm palASinAm /
   bṛṃhaṇaṃ māṃsam atyarthaṃ khagānāṃ piśitāśinām // 30 //	bRMhaNam mAMsam atyarTam KagAnAm piSita-ASinAm // 30 //
   matsyāśināṃ pittakaraṃ vātaghnaṃ dhānyacāriṇām /	matsya-ASinAm pitta-karam vAta-Gnam DAnya-cAriNAm /
   jāṅgalānūpagā grāmyāḥ kravyādaikaśaphās tathā // 31 //	jAFgala-anUpa-gAH grAmyAH kravyAda-ekaSaPAH taTA // 31 //
   prasahā bilavāsāś ca yathāsaṃghātasaṃśitāḥ (?) /	prasahAH bila-vAsAH ca yaTA-saMGAta-saMSitAH (?) /
   pratudā viṣkirāś caiva laghavaḥ syur yathottaram // 32 //	pratudAH vizkirAH ca-eva laGavaH syuH yaTottaram // 32 //
   atha vārāhamāṃsaguṇāḥ //	aTa vArAha-mAMsa-guNAH //
   durnāmāniladoṣahaṃ kṛmiharaṃ vārāhamāṃsaṃ sadā	durnAma-anila-doza-ham kRmi-haram vArAha-mAMsam sadA
