   Prajñāpāramitopadeśaśāstre	PrajQApAramita upadeSa SAstre
   darśanamārge vipakṣaṃ sapratipakṣamevaṃ nirdiśya yanmahābodhiniṣpattaye	darSana mArge vipakzam sa pratipakzam evam nirdiSya yat mahAboDi nizpattaye
   darśanamārgo yena kāraṇena sahita iṣyate,	darSana mArgaH yena kAraNena sahitaH izyate,
   tatkāraṇapradarśanāyāntaraślokamāha  	tad kAraNa pradarSanAya antaraSlokam Aha  
   bodhau sandarśanānyeṣāṃ taddhetośca parīndanā /	boDO san darSanAni ezAm tad hetoH ca parIndanA /
   tatprāptyanantaro hetuḥ puṇyabāhulyalakṣaṇaḥ // Abhis_5.17 //	tad prApti anantaraH hetuH puNya bAhulya lakzaNaH // ABiH _5.17 //
   iti / vakṣyamāṇalakṣaṇabodhau darśanādimārgasandarśanena anyeṣāṃ	iti / vakzyamANa lakzaNa boDO darSana Adi mArga sandarSanena anyezAm
   pratiṣṭhāpanaṃ prathamam (kāraṇam) /	pratizWApanam praTamam (kAraNam) /
   bodhinimittamevānyeṣāṃ samyag granthārthādidvāreṇa	boDi nimittam eva anyezAm samyak granTa arTa Adi dvAreNa
   prajñāpāramitāpratyarpaṇaṃ dvitīyam (kāraṇam) /	prajQApAramitA pratyarpaNam dvitIyam (kAraNam) /
   bodhiprāptaye cāvyavahitakāraṇaṃ svataḥ	boDi prAptaye ca avyavahita kAraNam svatas 
   pracurataraprajñāpāramitābhāvanādipuṇyalakṣaṇaṃ tṛtīyam (kāraṇam) /	pracuratara prajQApAramitA BAvanA Adi puNya lakzaNam tRtIyam (kAraNam) /
   kā punariyaṃ mahābodhiryadarthaṃ yathoktakāraṇasahāyo darśanamārgo	kA punar iyam mahA boDiH yat arTam yaTA ukta kAraNa sahAyaH darSana mArgaH 
   'bhipreta ityantaraślokena mahābodhimāha  	aBipretaH iti antaraSlokena mahA boDim Aha  
   kṣayānutpādayorjñāne malānāṃ bodhirucyate /	kzaya anutpAdayoH jQAne malAnAm boDiH ucyate /
   kṣayābhāvādanutpādātte hi jñeye yathākramam // Abhis_5.18 //	kzaya aBAvAt anutpAdAt te hi jQeye yaTAkramam // ABiH _5.18 //
   iti / kleśajñeyāvaraṇamalānāmutpannānutpannatvena kalpitānāṃ  	iti / kleSa jQeya AvaraNa malAnAm utpanna an utpanna tvena kalpitAnAm  
   dharmadhātuvinirmukto yasmāddharmo na vidyate /	DarmaDAtu vinirmuktaH yasmAt DarmaH na vidyate /
   iti dharmadhātusvabhāvānāmākāśasyeva nirodhotpādābhāvād	iti DarmaDAtu svaBAvAnAm AkASasya iva niroDa utpAda aBAvAt 
   ekānesvabhāvakāryakāraṇapramāṇādyupapannabhāvavaidhuryād gaganakamalavadvā	ekAnesvaBAva kArya kAraNa pramANa Adi upapanna BAva vEDuryAt gagana kamala vat vA
   yathākramaṃ malānāṃ kṣayotpādābhāvād akṣayānutpādajñānātmikā	yaTAkramam malAnAm kzaya utpAda aBAvAt akzaya anutpAda jQAna AtmikA
   sarvadharmāviparītādhigatilakṣaṇā yathāvad dhamakāyādyātmikā	sarva Darma aviparIta aDigati lakzaNA yaTAvat DamakAya Adi AtmikA
   mahābodhirabhidhīyata iti /	mahAboDiH aBiDIyate iti /
   yasmādevaṃ ato ye bhāvavināśābhisandhinā kṣīṇe kṣīṇamiti jñānaṃ	yasmAt evam atas ye BAva vinASa aBisanDinA kzINe kzINam iti jQAnam
   kṣayajñānam, bhāvānutpādābhisandhinā ca anutpanne 'nutpannamiti	kzaya jQAnam, BAva an utpAda aBisanDinA ca anutpanne anutpannam iti
   jñānamanutpādajñānaṃ varṇayanti / bodhiñca kṣayānutpādajñānaṃ varṇayanti /	jQAnam anutpAda jQAnam varNayanti / boDiQca kzaya an utpAda jQAnam varNayanti /
   teṣāṃ kṣayānutpādavaikalyād etajjñānaṃ na ghaṭata ityantaraślokenāha  	tezAm kzaya anutpAda vEkalyAt etat jQAnam na GawataH iti antaraSlokena Aha  
   prakṛtāvaniruddhāyāṃ darśanākhyena vartmanā /	prakRtO= anirudDAyAm darSana AKyena vartmanA /
   vikalpajātaṃ ki kṣīṇaṃ kiṃ vānutpattimāgatam // Abhis_5.19 //	vikalpa jAtam ki kzINam kim vA anutpattim Agatam // ABiH _5.19 //
   iti / utpannānutpannayorthathākramaṃ kṣayotpattivighātalakṣaṇanirodhena	iti / utpanna an utpannayoH TaTAkramam kzaya utpatti viGAta lakzaNa niroDena
   aniruddhāyāṃ paramārthatastathatārūpāyāṃ prakṛtau satyāṃ katarad	anirudDAyAm paramArTataH taTatArUpAyAm prakRtO satyAm katara t 
   vikalpādirūpamutpannaṃ kṣīṇaṃ, kataraccānutpannam anutpattidharmakaṃ jātaṃ	vikalpa Adi rUpam utpannam kzINaM, katarat ca anutpannam anutpatti Darmakam jAtam
   darśanamārgabalena vitathabhāvābhiniveśināṃ bhavatām? yāvatā naiva kiñcit	darSana mArga balena vitaTa BAva aBiniveSinAm BavatAm? yAvatA na eva kiQcid 
   / tasmādasmākaṃ matamevāṅgīkartavyamityabhiprāyaḥ /	/ tasmAt asmAkam matam eva aFgIkartavyam iti aBiprAyaH /
   anyathā tāttvikadharmasattvopagame bhagavataḥ sarvathā	anyaTA tAttvika Darma sattva upagame BagavataH sarvaTA
   vikalpakleśajñeyāvaraṇaprahāṇaṃ mahadvismayasthānīyaṃ	vikalpa kleSa jQeya AvaraNa prahANam mahat vismaya sTAnIyam
   syādityantaraślokenāha  	syAt iti antaraSlokena Aha  
   sattvā ca nāma dharmāṇāṃ jñeye cāvaraṇakṣayaḥ /	sattvA ca nAma DarmANAm jQeye ca AvaraNa kzayaH /
   kathyate yatparaiḥ śāsturatra vismīyate mayā // Abhis_5.20 //	kaTyate yat parEH SAstuH atra vismIyate mayA // ABiH _5.20 //
   iti / tatra hyadayavyayaśūnyatvānnāstyātmeti vibhāvayannātmābhiniveśaṃ	iti / tatra hi adaya vyaya SUnya tvAt na asti AtmA iti viBAvayan= Atma aBiniveSam
   parityajya tadviviktaskandhādikaṃ pratītyasamutpannam udayavyayadharmakaṃ	parityajya tad vivikta skanDa Adikam pratItyasamutpannam udaya vyaya Darmakam
   samupalabhya nīlataddhiyoḥ sahopalabhbhaniyamāccittamātramevedaṃ na	samupalaBya nIla tad DiyoH saha upalaBBa niyamAt citta mAtram eva idam na
   bāhyārtho 'stīti manasikurvan aparityaktagrāhakākāracittābhiniveśo	bAhya arTaH asti iti manasikurvan aparityakta grAhaka AkAra citta aBiniveSaH 
   bāhyārthābhiniveśaṃ tiraskṛtya grāhyābhāve grāhakābhāva iti	bAhya arTa aBiniveSam tiraskRtya grAhya aBAve grAhaka aBAvaH iti
   nidhyāyaṃstāmapi grāhakākāralakṣaṇāṃ vijñaptimātratāmavadhūya	niDyAyan= tAm api grAhaka AkAra lakzaNAm vijQaptimAtra tAm avaDUya
   advayajñānameva kevalaṃ bhāvato bhāvarūpamiti niścitya tadapi	advaya jQAnam eva kevalam BAvataH BAva rUpam iti niScitya tat api
   pratītyasamutpannatvānmāyāniḥsvabhāvaṃ tattvato	pratItyasamutpanna tvAt mAyA niHsvaBAvam tattvataH 
   'pagataikāntabhāvābhāvādiparāmarśarūpamiti bhāvayan bhāvanābalaniṣpattau	apagata ekAnta BAva aBAva Adi parAmarSa rUpam iti BAvayan BAvanA bala nizpattO
   keṣāñcinmaṇirūpyādijñānavad utsāritasakalabhrāntinimittāyā	kezAQcid maNi rUpyAdi jQAna vat utsArita sakala BrAnti nimittAyAH 
   māyopamātmapratibhāsadhiyo nirvikalpāyāḥ kathañcit pratyātmavedyāyāḥ	mAyA upama Atma pratiBAsa DiyaH nirvikalpAyAH kaTaQcid pratyAtma vedyAyAH
   samutpāde jñeyāvaraṇaṃ samyag yogī prajahyāt / anyathā paraiḥ sarvadā	samutpAde jQeya AvaraNam samyak yogI prajahyAt / anyaTA parEH sarvadA
   ākāśasya dravyābhāvamātrarūpadhāraṇavad anādheyānapaneyasvarūpadhāraṇād	AkASasya dravya aBAva mAtra rUpa DAraNa vat anADeya anapaneya sva rUpa DAraNAd
   dharmāṇāṃ kṣaṇikānāṃ jñānamātrarūpāṇāṃ jñeyalakṣaṇānāñca yadi paramārthato	DarmANAm kzaNikAnAm jQAna mAtra rUpANAm jQeya lakzaNa anAQca yadi paramArTa taH 
   vidyamānatā syāt tadā pratipakṣabhāvanayā ākāśasyeva teṣāṃ na kiñcit	vidyamAna tA syAt tadA pratipakza BAvanayA AkASasya iva tezAm na kiQcid 
   kriyate / ato bhāvābhiniveśaviparyāsāvinivṛtyā yad bhagavataḥ sarvathāḥ	kriyate / atas BAva aBiniveSa viparyAsA vinivRtyAH yat BagavataH sarvaTAH
   jñeyāvaraṇaprahāṇaṃ dharmāṇāñca yatsattopagamyate paraiḥ	jQeya AvaraNa prahANam DarmANAQca yat satta upagamyate parEH
   tatparasparaviruddhārthābhyupagame vismayasthānīyaṃ bhavet /	tad paraspara virudDa arTa aByupagame vismaya sTAnIyam Bavet /
   ityevaṃ bhāvapakṣaṃ nirākṛtya niḥsvabhāvapakṣadṛḍhīkāreṇa	iti evam BAva pakzam nirAkRtya niHsvaBAva pakza dRXIkAreNa
   mumukṣubhiridamevāṅgīkarttavyamityantaraślokena sthānapakṣamāha  	mumukzuBiH idam eva aFgIkarttavyam iti antara Slokena sTAna pakzam Aha  
   nāpaneyamataḥ kiñcit pakṣeptavyaṃ na kiñcana /	na apaneyam atas kiQcid pakzeptavyam na kiQcana /
   draṣṭavyaṃ bhūtato bhūtaṃ bhūtadarśī vimucyate // Abhis_5.21 //	drazwavyam BUtataH BUtam BUta darSI vimucyate // ABiH _5.21 //
   iti / yasmādevaṃ bhāvābhiniveśena mukteranupapattirato	iti / yasmAt evam BAva aBiniveSena mukteH anupapattiH atas 
   apavādasamāroparūpamapanayanaprakṣepaṃ kasyaciddharmasyākṛtvā idameva	apavAda samAropa rUpam apanayana prakzepam kasyacid Darmasya akRtvA idam eva
   pratītyasamutpannaṃ saṃvṛtyā tathyarūpaṃ rūpādiniḥsvabhāvādirūpato	pratItyasamutpannam saMvRtyA taTya rUpam rUpa Adi niHsvaBAva Adi rUpataH 
   nirūpaṇīyam, evañca māyāgajena aparamāyāgajaparājayavad viparyāsanivṛtyā	nirUpaNIyam, evaQca mAyA gajena aparama ayAgaja parAjaya vat viparyAsa nivRtyA
   tatvadarśī vimucyata iti /	tatva darSI vimucyate iti /
   ityevaṃ prāsaṅgikamabhidhāya prakṛtaṃ darśanamārgamāha  	iti evam prAsaFgikam aBiDAya prakRtam darSana mArgam Aha  
   ekaikasyaiva dānādai teṣāṃ yaḥ saṅgraho mithaḥ /	ekEkasya eva dAnAdE tezAm yaH saFgrahaH miTas /
   sa ekakṣaṇikaḥ kṣāntisaṅgṛhīto 'tra dṛkpathaḥ // Abhis_5.22 //	saH ekakzaNikaH kzAnti saFgRhItaH atra dRkpaTaH // ABiH _5.22 //
   iti / dānādiṣaṭpāramitānāṃ pratyekamekaikabhāve dānādau yaḥ parasparaṃ	iti / dAna Adi zaz pAramitAnAm pratyekam ekEka BAve dAna AdO yaH parasparam
   sarvapāramitāsaṅgrahaḥ, so 'traikakṣaṇiko mūrdhābhisamaye	sarva pAramitA saFgrahaH, saH atra ekakzaNikaH mUrDa aBisamaye
   duḥkhadharmajñānakṣāntisaṃgṛhītaḥ trimaṇḍalaviśuddhiprabhāvitaḥ	duHKa Darma jQAna kzAnti saMgRhItaH tri maNxala viSudDi praBAvitaH
   ṣaṭtriṃśadākāranirjāto darśanamārgaḥ /	zawtriMSat AkAra nirjAtaH darSana mArgaH /
   asmiṃśca (darśanamārge) samutpanne kāmarūpārūpyadhātubhedena pratyekaṃ	asmin= ca (darSana mArge) samutpanne kAmarUpa ArUpya DAtu Bedena pratyekam
   caturvikalpanavaprakāratayā aṣṭottaraśatagrāhyagrāhakavikalpaprahāṇena	catur vikalpa nava prakAra tayA azwottaraSata grAhya grAhaka vikalpa prahANena
   tatsaṃgṛhītavikalpajanakavāsanākleśāṣṭottaraśataprahāṇaṃ	tad saMgRhIta vikalpa janaka vAsanA kleSa azwottara Sata prahANam
   pratītyasamutpādadharmatayopalabhyate /	pratItyasamutpAda DarmatayA upalaByate /
   tatra vaśitvārthaṃ tāmeva punaḥ punarbhāvayatīti antaraślokenāha  	tatra vaSitva arTam tAm eva punar punar BAvayati iti antaraSlokena Aha  
   sa samādhiṃ samāpadya tataḥ siṃhavijṛmbhitam /	sa samADim samApadya tatas siMha vijRmBitam /
   anulomaṃ vilomañca pratītyotpādamīkṣate // Abhis_5.23 //	anulomam vilomaQca pratItya utpAdam Ikzate // ABiH _5.23 //
   iti / sa darśanamārgaprāpto yogī kleśajñeyāvaraṇabhayābhāvāt	iti / sa darSana mArga prAptaH yogI kleSa jQeya AvaraNa Baya aBAvAt
   siṃhavijṛmbhitaṃ (nāma) samādhiṃ samāpadya uttarakālamavidyāpratyayāḥ	siMha vijRmBitam (nAma) samADim samApadya uttara kAlam avidyA pratyayAH
   saṃskārā ityādyanulomaṃ jarāmaraṇanirodho jātinirodhād ityādipratilomaṃ	saMskArAH ityAdi anulomam jarA maraNa niroDaH jAti niroDAt ityAdi pratilomam
   pratītyasamutpādaṃ nirūpayati /	pratItyasamutpAdam nirUpayati /
   6   bhāvanāmārgaḥ (mūrdhaprayogaḥ)	6  BAvanA mArgaH (mUrDa prayogaH)
   darśanamārgamevamabhidhāya vipakṣaprahāṇādikam ādhārapratipattipūrvakaṃ	darSana mArgam evam aBiDAya vipakza prahANa Adikam ADAra pratipatti pUrvakam
   subodhamiti ādhāraṃ bhāvanāmārgamāha  	su boDam iti ADAram BAvanA mArgam Aha  
   kāmāptamavadhīkṛtya vijñānamasamāhitam /	kAma Aptam avaDIkRtya vijQAnam asamAhitam /
   sanirodhāḥ samāpattīrgatvāgamya nava dvidhā // Abhis_5.24 //	sa niroDAH samApattIH gatvA Agamya nava dviDA // ABiH _5.24 //
   ekadvitricatuḥpañcaṣaṭsaptāṣṭavyatikramāt /	eka dvi tri catur paQca zaz sapta azwa vyatikramAt /
   avaskandasamāpattiranirodhamatulyatā // Abhis_5.25 //	avaskanda samApattiH aniroDam atulya tA // ABiH _5.25 //
   iti / bodhisattvāḥ prathamadhyānamārabhya yāvannirodhaṃ gatvā tato	iti / boDisattvAH praTama DyAnam AraBya yAvat niroDam gatvA tatas 
   nirodhamārabhya yāvat prathamadhyānamāgamya evamanulomapratiloma	niroDam AraBya yAvat praTama DyAnam AgamyaH evam anuloma pratiloma
   (krama) dvayena caturdhyāna caturārūpyanirodhalakṣaṇā nava samāpattīrgatvā	(krama)  dvayena caturDyAna catur ArUpya niroDa lakzaNA nava samApattIH gatvA
   āgamya punaḥ prathamaṃ dhyānaṃ samāpadya tato vyutthāya nirodham, evaṃ	Agamya punar praTamam DyAnam samApadya tatas vyutTAya niroDam, evam
   yāvannaivasaṃjñānāsaṃjñāyatanānnirodhaṃ samāpadya, tato vyutthāya	yAvat na eva saMjQAna asaMjQA yatanAt niroDam samApadya, tatas vyutTAya
   anantarasamāpattimālambya kāmāvacaraṃ vijñānaṃ maryādārūpeṇāvasthāpya	anantara samApattim Alambya kAma avacaram vijQAnam maryAdA rUpeNa avasTApya
   upāyakauśalyabalena vyutthāya tadeva vijñānamasamāhitamāmukhīkṛtya, tato	upAya kOSalya balena vyutTAya tat eva vijQAnam asamAhitam AmuKIkRtya, tatas 
   nirodhaṃ tato 'samāhitaṃ tato nirodhamekaṃ parityajya	niroDam tatas asamAhitam tatas niroDam ekam parityajya
   naivasaṃjñānāsaṃjñāyatanaṃ tato 'samāhim tato dvayaṃ parityajya	na eva saMjQAna asaMjQA yatanam tatas asamAhim tatas dvayam parityajya
   ākiñcanyāyatanaṃ tato 'samāhitam, evaṃ yāvadaṣṭau parityajya prathamaṃ	AkiQcani Ayatanam tatas asamAhitam, evam yAvat azwO parityajya praTamam
   dhyānaṃ tato 'samāhitam, ityekādiparityāgenānirodhasamāpattiṃ yāvad	DyAnam tatas asamAhitam, iti eka Adi parityAgena aniroDa samApattim yAvat 
   visadṛśadvāreṇa gacchatītyatulyagām avaskandasamāpattiṃ vaśitvalakṣaṇām	visadRSa dvAreNa gacCati iti atulya gAm avaskanda samApattim vaSitva lakzaNAm
   āmukhīkṛtya bhāvanāmārgo bhavati /	AmuKIkRtya BAvanA mArgaH Bavati /
   bhāvanāmārgamevamabhidhāya tatra praheyaḥ caturvidho vipakṣo vaktavyaḥ /	BAvanA mArgam evam aBiDAya tatra praheyaH caturviDaH vipakzaH vaktavyaH /
   prathamaṃ tāvad grāhyavikalpamāha  	praTamam tAvat grAhya vikalpam Aha  
   saṃkṣepe vistare buddhaiḥ sānāthyenāparigrahe /	saMkzepe vistare budDEH sAnATyena aparigrahe /
   traikālike guṇābhāve śreyasastrividhe pathi // Abhis_5.26 //	trEkAlike guNa aBAve SreyasaH triviDe paTi // ABiH _5.26 //
   eko grāhyavikalpo 'yaṃ prayogākāragocaraḥ /	ekaH grAhya vikalpaH ayam prayoga AkAra gocaraH /
   iti saṃkṣiptarūcisattvānugraheṇa dharmasaṃkṣepe,	iti saMkzipta rUci sattva anugraheNa Darma saMkzepe,
   vistararucisattvānukampayā dharmavistare, yathāvihitārthānanuṣṭhānena	vistara ruci sattva anukampayA Darma vistare, yaTA vihita arTa an anuzWAnena
   buddhasānāthyāparigrahe, samutpannaniruddhatvena prayogamārgaguṇābhāve,	budDa sAnATya aparigrahe, samutpanna nirudDa tvena prayoga mArga guNa aBAve,
   samyagutpattihetuvaidhuryād darśanamārgaguṇābhāve, anāgatāsattvena	samyak utpatti hetu vEDuH yAt darSana mArga guNa aBAve, anAgata asattvena
   bhāvanāmārgaguṇābhāve, viparyāsaśāntatvādinā nirvāṇaprayogamārge,	BAvanA mArga guNa aBAve, viparyAsa SAnta tva AdinA nirvANa prayoga mArge,
   śūnyatābhinirhāratvena darśanamārge, naiḥsvābhāvyabhāvakatvena	SUnyatA aBinirhAra tvena darSana mArge, nEHsvABAvya BAvaka tvena
   bhāvanāmārge ca prathamo grāhyavikalpaḥ asyāmavasthāyāṃ praheyatvena	BAvanA mArge ca praTamaH grAhya vikalpaH asyAm avasTAyAm praheya tvena
   bhāvanāmārgaprayogāvasthāyāṃ navavidho viṣayī /	BAvanA mArga prayoga avasTAyAm navaviDaH vizayI /
   prathamamevaṃ nirdiśya dvitīyaṃ grāhyavikalpamāha  	praTamam evam nirdiSya dvitIyam grAhya vikalpam Aha  
   dvitīyaścittacaittānāṃ pravṛttiviṣayo mataḥ // Abhis_5.27 //	dvitIyaH citta cEttAnAm pravRtti vizayaH mataH // ABiH _5.27 //
   anutpādastu cittasya bodhimaṇḍāmanaskriyā /	anutpAdaH tu cittasya boDimaNxAmanaskriyA /
   hīnayānamanaskārau sambodheramanaskṛtiḥ // Abhis_5.28 //	hIna yAna manaskArO samboDeramanaskRtiH // ABiH _5.28 //
   bhāvane 'bhāvane caiva tadviparyaya eva ca /	BAvane aBAvane ca eva tad viparyayaH eva ca /
   ayathārthaśca vijñeyo vikalpo bhāvanāpathe // Abhis_5.29 //	ayaTArTaH ca vijQeyaH vikalpaH BAvanA paTe // ABiH _5.29 //
   iti / kalyāṇamitrādivaikalyād bodhicittānutpāde,	iti / kalyANa mitra Adi vEkalyAt boDi citta an utpAde,
   viśiṣṭabuddhālambanapuṇyābhāvād bodhimaṇḍāmanaskāre, śrāvakagotratvāt	viSizwa budDa Alambana puNya aBAvAt boDimaNxAmanaskAre, SrAvaka gotra tvAt 
   tadyānamanaskaraṇe, pratyekabuddhagotratvāt tadyānāmukhīkaraṇe,	tad yAna manaskaraNe, pratyekabudDa gotra tvAt tad yAnA muKIkaraNe,
   prajñāpāramitāpratipattivaidhuryāt samyaksambodhyamanaskaraṇe,	prajQApAramitA pratipatti vEDuH yAt samyaksamboDya manaskaraNe,
   sopalambhatvena bhāvanāyāṃ nirupalambhavattvena abhāvanāyām,	sa upalamBa tvena BAvanAyAm nirupalamBavat tvena aBAvanAyAm,
   anupalambhānanupalambhatvāt nabhāvanānābhāvane, viparītābhiniveśād	anupalamBAn anupalamBa tvAt naBAvanAnA BAvane, viparIta aBiniveSAt 
   ayathārthatve ca dvitīyo grāhyavikalpaḥ tasyāmavasthāyāṃ praheyatvena	ayaTArTa tve ca dvitIyaH grAhya vikalpaH tasyAm avasTAyAm praheya tvena
   bhāvanāmārge cittacaittapravṛtyavasthāyāṃ navavidho viṣayī /	BAvanA mArge citta cEtta pravRti avasTAyAm navaviDaH vizayI /
   dvitīyamevaṃ nirdiśya prathamaṃ grāhakavikalpamāha  	dvitIyam evam nirdiSya praTamam grAhaka vikalpam Aha  
   grāhakaḥ prathamo jñeyaḥ sattvaprajñaptigocaraḥ /	grAhakaH praTamaH jQeyaH sattva prajQapti gocaraH /
   dharmaprajñatyaśūnyatvasaktipravicayātmakaḥ // Abhis_5.30 //	Darma prajQati aSUnyatva sakti pravicaya AtmakaH // ABiH _5.30 //
   kṛte ca vastuno yānatritaye ca sa kīrttitaḥ /	kRte ca vastunaH yAna tritaye ca sa kIrttitaH /
   dakṣiṇāyā aśuddhau vā caryāyāśca vikopane // Abhis_5.31 //	dakziNAyAH aSudDO vA caryAyAH ca vikopane // ABiH _5.31 //
   iti / dravyasadanupapattyā sattvaprajñaptau, pratibhāsamātratvāt	iti / dravya sat anupapattyA sattva prajQaptO, pratiBAsa mAtra tvAt 
   (sarva) dharmaprajñaptau, sarvatragatvāt sarvākārajñatādidharmāśūnyatve,	(sarva) Darma prajQaptO, sarvatraga tvAt sarva AkAra jQa tA Adi Darma aSUnyatve,
   sarvathābhiniveśāprahāṇād dharmasaktau, niḥsvabhāvāvabodhena	sarvaTA aBiniveSa aprahANAt Darma saktO, niHsvaBAva avaboDena
   dharmapravicaye, samuddeśākaraṇena vastūddeśakaraṇe, rūpādyupalambhatvād	Darma pravicaye, samuddeSa AkaraNena vastu uddeSa karaNe, rUpa Adi upalamBa tvAt 
   yānatrayaniryāṇe, samyagapratipannatvena dakṣiṇāśuddhau,	yAna traya niryANe, samyak apratipanna tvena dakziNA SudDO,
   dānādyupalambhapratiṣattyā caryāvikopane ca pūrvavad grāhakavikalpo	dAna Adi upalamBa pratizattyA caryA vikopane ca pUrvavat grAhaka vikalpaH 
   bhāvanāmārgaprayogāvasthāyāṃ navavidho viṣayī /	BAvanA mArga prayoga avasTAyAm navaviDaH vizayI /
   prathamamevaṃ nirdiśya dvitīyaṃ grāhakavikalpamāha  	praTamam evam nirdiSya dvitIyam grAhaka vikalpam Aha  
   sattvaprajñaptitaddhetuviṣayo navadhā 'paraḥ /	sattva prajQapti tad hetu vizayaH navaDA aparaH /
   bhāvanāmārgasambaddho vipakṣastadvighātataḥ // Abhis_5.32 //	BAvanA mArga sambadDaH vipakzaH tad viGAtataH // ABiH _5.32 //
   iti / vipakṣo dvitīyo grāhakavikalpaḥ	iti / vipakzaH dvitIyaH grAhaka vikalpaH
   sattvaprajñaptitadvyavasthāpanapratibhāsamātrahetuviṣayo bhāvanāmārgeṇa	sattva prajQapti tad vi avasTApana pratiBAsa mAtra hetu vizayaH BAvanA mArgeNa
   sampraheyatvāt tatsambaddho navaprakāraḥ /	sampraheya tvAt tad sambadDaH nava prakAraH /
   kathaṃ navaprakāra iti ced? dvābhyāmantaraślokābhyāmāha  	kaTam nava prakAraH iti ced? dvAByAm antaraSlokAByAm Aha  
   sarvajñatānāṃ tisṛṇāṃ yathāsvaṃ trividhāvṛtau /	sarvajQa tAnAm tisRNAm yaTAsvam triviDO= RtO /
   śāntimārgatathatādisaṃprayogaviyogayoḥ // Abhis_5.33 //	SAnti mArga taTatA Adi saMprayoga viyogayoH // ABiH _5.33 //
   asamatve ca duḥkhādau kleśānāṃ prakṛtāvapi /	asamatve ca duHKa AdO kleSAnAm prakRtO= api /
   dvayābhāve ca saṃmohe vikalpaḥ paścimo mataḥ // Abhis_5.34 //	dvaya aBAve ca saMmohe vikalpaH paScimaH mataH // ABiH _5.34 //
   iti / sarvākārāparijñānena sarvākārajñatāvaraṇasaṃmohe,	iti / sarva AkArA parijQAnena sarva AkAra jQa tA AvaraNa saMmohe,
   sarvamārgāparijñānena mārgajñatāvaraṇasaṃmohe, sarvavastvaparijñānena	sarva mArga aparijQAnena mArga jQa tA AvaraNa saMmohe, sarva vastu aparijQAnena
   sarvajñatāvaraṇasaṃmohe, prajñāpāramitā 'parijñānena	sarvajQa tA AvaraNa saMmohe, prajQApAramitA aparijQAnena
   sarvaśāntamārgasaṃmohe, tathatājñeyarūpādyaparijñānena	sarva SAnta mArga saMmohe, taTatA ajQeya rUpa Adi aparijQAnena
   tathatādisaṃyogaviyogasaṃmohe, mārādisvarūpāparijñānena asamatvasaṃmohe,	taTatA Adi saMyoga viyoga saMmohe, mAra Adi svarUpa aparijQAnena asamatva saMmohe,
   yathārūtārthagrāhitvena duḥkhādisatyasaṃmohe, rāgādisvabhāvāparijñānena	yaTArUta arTa grAhi tvena duHKa Adi satya saMmohe, rAga Adi svaBAva aparijQAnena
   kleśaprakṛtisaṃmohe, grāhyagrāhakalakṣaṇāparijñānena advayasaṃmohe ca	kleSa prakRti saMmohe, grAhya grAhaka lakzaNa aparijQAnena advaya saMmohe ca
   pūrvavat paścimo grāhakavikalpo bhāvanāmārgacittacaittapravṛttyavasthāyāṃ	pUrvavat paScimaH grAhaka vikalpaH BAvanA mArgacitta cEtta pravRtti avasTAyAm
   navaprakāro viṣayī mataḥ //	nava prakAraH vizayI mataH //
   teṣāṃ bhāvanāmārgavipakṣāṇāṃ prahāṇe caturvidhapratipakṣo 'pi tadbhedena	tezAm BAvanA mArga vipakzANAm prahANe caturviDa pratipakzaH api tad Bedena
   bhinno 'vagantavyaḥ /	BinnaH avagantavyaH /
   pūrvavad aṣṭottaraśatavikalpaprahāṇasamakālameva	pUrvavat azwottaraSata vikalpa prahANa sama kAlam eva
   tatsaṃgṛhītāṣṭottaraśatakleśānāṃ prahāṇena sarvaguṇasampado	tad saMgRhIta azwottara Sata kleSAnAm prahANena sarva guNa sampadaH 
   bhāvanāmārgasthaṃ bodhisattvamāśrayanta iti dvābhyām antaraślokābhyāmāha  	BAvanA mArga sTam boDisattvam ASrayante iti dvAByAm antaraSlokAByAm Aha  
   āsāṃ kṣaye satītīnāṃ cirāyocchvasitā iva /	AsAm kzaye satItInAm cirAya ucCvasitAH iva /
   sarvākārajagatsaukhyasādhanā guṇasampadaḥ // Abhis_5.35 //	sarva AkAra jagat sOKya sADanAH guNa sampadaH // ABiH _5.35 //
   sarvāḥ sarvābhisāreṇa nikāmaphalaśālinam /	sarvAH sarva aBisAreNa nikAma Pala SAlinam /
   bhajante taṃ mahāsattvaṃ mahodadhimivāpagāḥ // Abhis_5.36 //	Bajante tam mahAsattvam mahA udaDim iva ApagAH // ABiH _5.36 //
   iti / bhāvanāmārgābhyāsād āsāṃ caturvikalpajātīnāmupadravatvena itīnāṃ	iti / BAvanA mArga aByAsAt AsAm catur vikalpa jAtInAm upadrava tvena iti inAm
   kṣaye sati saṃrodhavaikalyena saṃharṣocchvāsaprāptā iva	kzaye sati saMroDa vEkalyena saMharza ucCvAsa prAptAH iva
   sarvāstriyānasaṃgṛhītā guṇasampadaḥ kṛpāpāratantryāt	sarvAH tri yAna saMgRhItAH guNa sampadaH kRpA pAratantryAt
   sarvaprakārajagatsaukhyotpādanadakṣā sarvathābhimukhyāgamanaprakāreṇa	sarva prakAra jagat sOKya utpAdana dakzA sarvaTA aBimuKya Agamana prakAreNa
   prakarṣaparyantādhigamaphalaiḥ prātaśobhaṃ bhāvanāmārgasthaṃ	prakarza paryanta aDigama PalEH prAta SoBam BAvanA mArga sTam
