   // śrīḥ //	// SrIH //
   // Āryamañjuśrīmūlakalpam /	// Ārya maQju SrI mUla kalpam /
   buddhābhiprasannā devatā varadā bhavati / āryamañjuśriyasya pūjāṃ kṛtvā	budDa aBiprasannA devatA vara dA Bavati / Arya maQjuSriyasya pUjAm kRtvA
   gaurasarṣapāṇāṃ saptābhimantritānāṃ saṅgrāme prakire / śāntirbhavati /	gOrasarzapANAm sapta aBimantritAnAm saFgrAme prakire / SAntiH Bavati /
   pratihārakapakṣe śuklatrayodaśyāṃ gandhapuṣpaiḥ pūjāṃ kṛtvā vikasitānāṃ	pratihAraka pakze Sukla trayodaSyAm ganDa puzpEH pUjAm kRtvA vikasitAnAm
   padmānāṃ ghṛtāktānāṃ aṣṭasahasraṃ juhuyāt / bhasmaṃ ca gṛhītvātmanaḥ	padmAnAm GRta aktAnAm azwa sahasram juhuyAt / Basmam ca gRhItvA AtmanaH
   lalāṭe tilakaṃ kṛtvā grāmaṃ nagaraṃ praviśet / sarve vaśā bhavanti /	lalAwe tilakam kRtvA grAmam nagaram praviSet / sarve vaSAH Bavanti /
   kṛṣṇacaturdaśyāṃ prabhṛti yāvat pañcadaśīti ekarātroṣitena vṛkṣa	kRzNa caturdaSyAm praBRti yAvat paQcadaSI iti eka rAtra uzitena vRkza
   syādhastāccaturhastamātraṃ maṇḍalakamupalipya, gandhapuṣpadhūpaṃ datvā	sya aDastAt catur hasta mAtram maNxalakam upalipya, ganDa puzpa DUpam datvA
   āryamañjuśriyasya pūjāṃ kṛtvā yakṣāṇāṃ baliṃ datvā mānuṣāsthiṃ gṛhītvā	Arya maQjuSriyasya pUjAm kRtvA yakzANAm balim datvA mAnuza asTim gRhItvA
   triśūlaṃ kārayet / vāmahastena prakṣipya saptarātratrirātroṣitena vā	triSUlam kArayet / vAma hastena prakzipya sapta rAtra tri rAtra uzitena vA
   jātīpuṣpāṇāmaṣṭasahasraṃ juhuyāt / tena śūlaṃ jvalati / tataḥ siddho	jAtI puzpANAm azwa sahasram juhuyAt / tena SUlam jvalati / tatas sidDaH 
   bhavati / icchayā yaṃ nirmiṇoti taṃ labhati / divyaṃ gṛhaṃ	Bavati / icCayA yam nirmiNoti tam laBati / divyam gRham
   candrasūryagrahe sadhātuke caitye pratimāyāṃ vā gṛhe kapilāyāḥ	candra sUrya grahe sa DAtuke cEtye pratimAyAm vA gRhe kapilAyAH
   samānavatsāyāḥ goghṛtapalaṃ gṛhya sauvarṇabhājane sthāpya bhagavataḥ pūjāṃ	samAna vatsAyAH go GRta palam gRhya sOvarNa BAjane sTApya BagavataH pUjAm
   kṛtvā candramapaśyatā (Vaidya 528) darśanoparicchādya tāvajjaped	kRtvA candram apaSyatA (VEdyaH 528) darSana uparicCAdya tAvat japet 
   yāvadūṣmāyati / phenāyati / jvalati / ūṣmāyamānaṃ pītvā	yAvat UzmAyati / PenAyati / jvalati / UzmAyamAnam pItvA
   sarvasattvavaśīkaraṇam / phenāyamānaṃ pītvāntardhānaṃ bhavati / jvalamānaṃ	sarva sattva vaSIkaraNam / PenAyamAnam pItvA antarDAnam Bavati / jvalamAnam
   pītvākāśena gacchati / ṣaṇmāsakṛtapuraścaraṇagomūtrayāvalāhāriṇā	pItvA AkASena gacCati / zaz mAsa kRta puraScaraNa go mUtra yAvala AhAriNA
   maunavratinā nityajāpenāyācitaṃ suvarṇaśataṃ labhate /	mOna vratinA nitya jApena ayAcitam suvarNa Satam laBate /
   pratihārakapakṣamārabhya saṃvatsaraṃ bhagavato āryamañjuśriyasyāgrataḥ	pratihArakapakzam AraBya saMvatsaram BagavataH AryamaQjuSriyasya agratas 
   pūjāṃ kṛtvā gandhapuṣpādīnāṃ dadatā aṣṭāṅgapoṣadhasamanvāgatena pūrṇe	pUjAm kRtvA ganDa puzpa AdInAm dadatA azwAFga pozaDa samanvAgatena pUrNe
   saṃvatsare siddho bhavati / bhagavānasya paṭṭabandhaṃ karoti /	saMvatsare sidDaH Bavati / BagavAn asya pawwabanDam karoti /
   āryamañjuśriyasya pūjāṃ kṛtvā pratipadamārabhya yāvat paurṇamāsī dine dine	Arya maQjuSriyasya pUjAm kRtvA pratipadam AraBya yAvat pOrNamAsI dine dine
   'dhikapūjā kāryā / bhikṣavaśca bhojayitavyāḥ / siddho 'smīti vāṅnissarati	aDika pUjA kAryA / BikzavaH ca BojayitavyAH / sidDaH asmi iti vAc nissarati
   / ghṛtāhutīnāṃ śatasahasraṃ juhuyāt / parasya śāntirbhavati /	/ GRta AhutInAm Sata sahasram juhuyAt / parasya SAntiH Bavati /
   prātihārakapakṣe bhagavato buddhasya pūjāṃ kṛtvā udārāṃ āryamañjuśriyasya	prAtihAraka pakze BagavataH budDasya pUjAm kRtvA udArAm Arya maQju Sriyasya
   gandhapuṣpadīpadhūpādīn datvā śaṅkhapuṣpīpuṣpāṇāṃ iṅgudatailāktānāṃ	ganDa puzpa dIpa DUpa AdIn datvA SaFKapuzpI puzpANAm iFguda tEla aktAnAm
   śatasahasraṃ juhuyāt / grāmanagarahastyaścarathagomahiṣāśca bhavati /	Sata sahasram juhuyAt / grAma nagara hastyaH ca raTa go mahizAH ca Bavati /
   saptarātraṃ kṣīrayāvakāhāraḥ poṣadhikena āmalitaghṛtena pātraṃ pūrayitvā	sapta rAtram kzIra yAvaka AhAraH pozaDikena Amalita GRtena pAtram pUrayitvA
   śuklavarttinā dīpaṃ prajvālya kumārakumārikānāṃ darśāpayet /	Sukla varttinA dIpam prajvAlya kumAra kumArikAnAm darSApayet /
   tatraivālpajñānaṃ sampannaṃ paśyati / sarvopadravebhyaḥ bhayaṃ na bhavati	tatra eva alpa jQAnam sampannam paSyati / sarva upadraveByaH Bayam na Bavati
   / nityajāpinā bodhivṛkṣasamidhānāṃ navanīktānāmaṣṭasahasraṃ juhuyāt /	/ nitya jApinA boDi vRkza samiDAnAm nava nIktAnAm azwa sahasram juhuyAt /
   paṭasyāgrataḥ tathaiva kuśasaṃstare svapet / svapne viṃśatisāhasrikaṃ	pawasya agratas taTA eva kuSa saMstare svapet / svapne viMSati sAhasrikam
   dravyaṃ paśyati / arthabhāgaṃ ratnatrayopayojyam / paṭasyāgrataḥ	dravyam paSyati / arTa BAgam ratnatraya upayojyam / pawasya agratas 
   śuklapratipadamārabhya yāvat paurṇamāsīti / atrāntare dine dine	Sukla pratipadam AraBya yAvat pOrNamAsI iti / atra antare dine dine
   'ṣṭamasahasraṃ japet / gandhapuṣpadhūpādibhiḥ pūjāṃ kṛtvā ante	azwama sahasram japet / ganDa puzpa DUpa AdiBiH pUjAm kRtvA ante
   trirātroṣitena maunavrataṃ kurutā mantraṃ japatā prāticārakebhyo baliṃ	tri rAtra uzitena mOna vratam kurutA mantram japatA prAticArakeByaH balim
   haste datvā mahāpathaṃ gatvā bhūtaṃ krūraṃ nivedayet / pratīccheti	haste datvA mahApaTam gatvA BUtam krUram nivedayet / pratIcCa iti
   vaktavyaḥ / gaurasarṣapāṇāṃ droṇaṃ gṛhītvā daśa diśo 'dhastācca kṣipet /	vaktavyaH / gOrasarzapANAm droNam gRhItvA daSa diSaH aDastAt ca kzipet /
   ekaviṃśativārānabhimantrya paraṃ ātmānaṃ prakāśayet / tathaiva	ekaviMSati vArAn aBimantrya param AtmAnam prakASayet / taTA eva
   kṛṣṇāṣṭamyāṃ gandhakuṭiṃ praviśya bhagavato 'grataḥ sahasraṃ japet /	kRzNa azwamyAm ganDakuwim praviSya BagavataH agratas sahasram japet /
   gandhapuṣpādibhirbalividhānaṃ kṛtvā tataḥ svapne paśyati	ganDa puzpa AdiBiH bali viDAnam kRtvA tatas svapne paSyati
   bhagavānāryamañjuśrīḥ / vasiśākhamāse kṛṣṇapakṣe poṣadhikena	BagavAn Arya maQjuSrIH / vasi SAKa mAse kRzNa pakze pozaDikena
   kṣīrayāvakāhāraḥ sadhātuke caitye gandhapuṣpadīpādibhiḥ pūjāṃ kṛtvā	kzIra yAvaka AhAraH sa DAtuke cEtye ganDa puzpa dIpa AdiBiH pUjAm kRtvA
   bhikṣavaśca dine dine bhojayitavyāḥ / bhikṣavaḥ akālamūlakalaśaścatvāraḥ	BikzavaH ca dine dine BojayitavyAH / BikzavaH akAla mUla kalaSaH catvAraH
   salilapūrṇāḥ sthāpayitavyāḥ / sarvauṣadhibījāni prakṣipya rātrau	salila pUrNAH sTApayitavyAH / sarva ozaDi bIjAni prakzipya rAtrO
   ekaikamaṣṭasahasrābhimantritaṃ kṛtvā akākolīne putradāradārikāṃ sthāpayet	ekEkam azwa sahasra aBimantritam kRtvA akAkolIne putra dAra dArikAm sTApayet 
   / rājyam / pakṣābhyantarayoḥ kṛṣṇāṣṭamyāṃ bhagavataḥ āryamañjuśriyasya ca	/ rAjyam / pakza aByantarayoH kRzNa azwamyAm BagavataH Arya maQju Sriyasya ca
   pūjāṃ kṛtvā śmaśānāgniṃ prajvālya śatapuṣpāṇāṃ aṣṭasahasraṃ juhuyāt /	pUjAm kRtvA SmaSAna agnim prajvAlya SatapuzpANAm azwa sahasram juhuyAt /
   annapānaṃ akṣayaṃ bhavati / tameva bhasmaṃ grahāya ātmanaḥ parasya vā	anna pAnam akzayam Bavati / tam eva Basmam grahAya AtmanaH parasya vA
   lalāṭe puṇḍrakaṃ kṛtvā saṅgāme 'vataret sarve vaśā bhavanti / bandhanācca	lalAwe puNxrakam kRtvA saFgAme avataret sarve vaSAH Bavanti / banDanAt ca
   nigaḍāt pramocayet / agnigatāṃ nāśayati / mālatīpuṣpāṇāṃ	nigaxAt pramocayet / agni gatAm nASayati / mAlatI puzpANAm
   dadhimadhughṛtāktānāṃ śatasahasraṃ juhuyāt / ṣaṇmāsaṃ gomūtrāhāraḥ /	daDi maDu GRta aktAnAm Sata sahasram juhuyAt / zaz mAsam go mUtra AhAraH /
   dīnārasahasraṃ labhate / śuklapratipadamārabhya nīlotpalānāṃ aṣṭasahasraṃ	dInAra sahasram laBate / Sukla pratipadam AraBya nIlotpalAnAm azwa sahasram
   juhuyāt / yasya nāmnā juhoti sa vaśo bhavati / pañcakālakānāṃ trisandhyaṃ	juhuyAt / yasya nAmnA juhoti sa vaSaH Bavati / paQca kAlakAnAm tri sanDyam
   aṣṭasahasraṃ yasya nāmnā juhoti sa vaśo bhavati / prātihārakapakṣe	azwa sahasram yasya nAmnA juhoti sa vaSaH Bavati / prAtihAraka pakze
   paṭasyāgrataḥ kṣīrayāvakāhāraḥ trisandhyaṃ pañcadaśyāṃ tāvajjaped yāvad	pawasya agratas kzIra yAvaka AhAraH tri sanDyam paQcadaSyAm tAvat japet yAvat 
   bhagavānāgacchati / dīpaśikhā varddhate / pṛthivī kampate / paṭaṃ vā	BagavAn AgacCati / dIpa SiKA vardDate / pRTivI kampate / pawam vA
   pracalati / siddheti vāṅ niścarati / dīnārasahasraṃ labhati /	pracalati / sidDA iti vAc niScarati / dInAra sahasram laBati /
   viṣayapatirbhavati / ṣaṇmāsakṛtapuraścaraṇo sadhātuke (Vaidya 529) caitye	vizaya patiH Bavati / zaz mAsa kRta puraScaraNaH sa DAtuke (VEdyaH 529) cEtye
   bhagavataḥ āryamañjuśriyasyāgrataḥ ṣaṇmāsābhyantareṇa dīnārāṇāṃ	BagavataH AryamaQju Sriyasya agratas zaz mAsa aByantareNa dInArANAm
   pañcasahasrāṇi labhati / sadhātuke caitye pūjāṃ kṛtvā śatasahasraṃ japet /	paQca sahasrANi laBati / sa DAtuke cEtye pUjAm kRtvA Sata sahasram japet /
   rūpakasasahasraṃ pratilabhati / sadhātuke caitye śatasahasraṃ japet /	rUpakasa sahasram pratilaBati / sa DAtuke cEtye Sata sahasram japet /
   sarvakāmaprado bhavati / sarvavyādhiṣu praśamanaṃ	sarva kAma pradaH Bavati / sarva vyADizu praSamanam
   kartukāmenāṣṭaśatasahasrābhimantritaṃ kṛtvā, kanyākartritasūtrakaṃ	kartu kAmena azwa Sata sahasra aBimantritam kRtvA, kanyA kartrita sUtrakam
   bandhitavyam / saubhāgyaṃ pratilabhate / vyādhiśca praśamati /	banDitavyam / sOBAgyam pratilaBate / vyADiH ca praSamati /
   samudragāminīṃ nadīmavatīrya kṛṣṇatilānāṃ aṣṭasahasraṃ nivedayet /	samudra gAminIm nadIm avatIrya kRzNa tilAnAm azwa sahasram nivedayet /
   dhanadhānyaṃ pratilabhate / sadhātuke caitye śuklapratipadamārabhya	Dana DAnyam pratilaBate / sa DAtuke cEtye Sukla pratipadam AraBya
   pañcadaśyāṃ trirātroṣitena udumbarakāṣṭhairagniṃ prajvālya rājasarṣapāṇāṃ	paQcadaSyAm tri rAtra uzitena udumbara kAzWEH agnim prajvAlya rAja sarzapANAm
   dadhimadhughṛtāktānāṃ śatasahasraṃ juhuyāt / pañcagrāmāṇi pratilabhate /	daDi maDu GRta aktAnAm Sata sahasram juhuyAt / paQca grAmANi pratilaBate /
   rājavṛkṣasamidbhiragniṃ prajvālya śvetatilānāṃ dadhimadhughṛtāktānāṃ	rAjavRkza samidBiH agnim prajvAlya Sveta tilAnAm daDi maDu GRta aktAnAm
   śatasahasraṃ juhuyāt / pañcadaśyāṃ trirātroṣitaḥ yadi te tilā diśi vidiśaṃ	Sata sahasram juhuyAt / paQcadaSyAm tri rAtra uzitaH yadi te tilAH diSi vidiSam
   gacchanti / tataḥ siddho bhavati / sarvasattvā vaśīkaroti /	gacCanti / tatas sidDaH Bavati / sarva sattvAH vaSIkaroti /
   āryamañjuśriyasyāgrataḥ pūrvaṃ śatasahasraṃ japet / tataḥ candragrahe	AryamaQju Sriyasya agratas pUrvam Sata sahasram japet / tatas candragrahe
   ghṛtamaṣṭapalāni datvā tāvajjaped yāvat phenāyati pītvā śrutidharo bhavati	GRtam azwa palAni datvA tAvat japet yAvat PenAyati pItvA Sruti DaraH Bavati
   / kundurukaṃ śatasahasraṃ juhuyāt / ayācitaṃ purāṇamekaṃ labhate /	/ kundurukam Sata sahasram juhuyAt / ayAcitam purANam ekam laBate /
   āryamañjuśriyasyāgrataḥ pratidinamaṣṭaśataṃ sugandhapuṣpāṇāṃ nivedayet /	Arya maQju Sriyasya agratas pratidinam azwa Satam suganDa puzpANAm nivedayet /
   śrīmāṃ bhavati / apāmārgasamidhānāṃ dadhimadhughṛtāktānāṃ pratidinaṃ	SrImAm Bavati / apAmArga samiDAnAm daDi maDu GRta aktAnAm pratidinam
   aṣṭamasahasraṃ juhuyāt / grāmaṃ labhate / bahuputrikāsamidbhiragniṃ	azwama sahasram juhuyAt / grAmam laBate / bahu putrikA samidBiH agnim
   prajvālya, vacāṣṭasahasraṃ juhuyāt / tena bhasmanā tilakaṃ kuryād	prajvAlya, vacA azwa sahasram juhuyAt / tena BasmanA tilakam kuryAt 
   antarhito bhavati / yadi na bhavati trirapi sādhayet / candragrahe	antarhitaH Bavati / yadi na Bavati tris api sADayet / candragrahe
   nadītīraṃ gatvā bilvasamidbhiragniṃ prajvālya bilvapuṣpāṇāṃ ghṛtāktānāṃ	nadI tIram gatvA bilva samidBiH agnim prajvAlya bilva puzpANAm GRta aktAnAm
   śatasahasraṃ juhuyāt / yakṣakumārī āgacchati / ardharātre punarapi	Sata sahasram juhuyAt / yakza kumArI AgacCati / arDarAtre punar api
   aṣṭasahasraṃ japitvā tata ekā āgacchati / yāṃ vācāṃ ucyate taṃ karoti /	azwa sahasram japitvA tatas ekA AgacCati / yAm vAcAm ucyate tam karoti /
   nidhisthāne mantramaṣṭasahasraṃ japet puṣpadhūpagandhādibhiḥ pūjāṃ kṛtvā	niDi sTAne mantram azwa sahasram japet puzpa DUpa ganDa AdiBiH pUjAm kRtvA
   tataḥ kṛṣṇacaturdaśyāṃ balividhānaṃ kṛtvā japet / piśācā āgachanti / tataḥ	tatas kRzNa caturdaSyAm bali viDAnam kRtvA japet / piSAcAH AgaCanti / tatas 
   khanet / nidhāna uttiṣṭhati / gṛhītvātmanā trayāṇāṃ ratnānāṃ dātavyam /	Kanet / niDAnaH uttizWati / gRhItvA AtmanA trayANAm ratnAnAm dAtavyam /
   evaṃ paṭṭabandhamapi karma / bhagavato 'grataḥ vibhītakakāṣṭhairagniṃ	evam pawwabanDam api karma / BagavataH agratas viBItaka kAzWEH agnim
   prajvālya tilataṇḍulānāṃ pratidivasaṃ aṣṭasahasraṃ juhuyāt / raṇḍā vaśā	prajvAlya tila taNxulAnAm pratidivasam azwa sahasram juhuyAt / raNxA vaSA
   bhavati / amātyavaśīkaraṇā gaurasarṣapāṃ juhuyāt vaśo bhavati /	Bavati / amAtya vaSIkaraNAH gOrasarzapAm juhuyAt vaSaH Bavati /
   rājavaśīkaraṇe sarjarasaṃ juhuyāt / vaśo bhavati / puruṣastrīvaśīkaraṇe	rAja vaSIkaraNe sarjarasam juhuyAt / vaSaH Bavati / puruza strI vaSIkaraNe
   evameva juhuyāt / agastikāṣṭhairagniṃ prajvālya dīpavartīnāṃ paṭasyāgrataḥ	evam eva juhuyAt / agasti kAzWEH agnim prajvAlya dIpa vartInAm pawasya agratas 
   dīnāraśataṃ labhate / kṣīrāhāreṇa palāśasamidhānāṃ juhuyāt / pratidinaṃ	dInAra Satam laBate / kzIra AhAreNa palASa samiDAnAm juhuyAt / pratidinam
   triḥ kālam / suvarṇaśataṃ labhati / samudragāminīṃ nadīṃ gatvā	tris kAlam / suvarNa Satam laBati / samudra gAminIm nadIm gatvA
   śataśatasahasraṃ juhuyāt / yāvad ratnāni pratilabhate grahetavyam /	Sata Sata sahasram juhuyAt / yAvat ratnAni pratilaBate grahetavyam /
   ratnatrayopayojyaṃ bhāgo deyaḥ / vaiśākhapūrṇamāsyāṃsakalāṃ rātriṃ japet /	ratnatraya upayojyam BAgaH deyaH / vESAKa pUrNam Asya aMsa kalAm rAtrim japet /
   ānantaryānmucyati / bodhivṛkṣamūle bhagavataḥ āryamañjuśriyasya pūjāṃ	AnantaryAt mucyati / boDi vRkza mUle BagavataH Arya maQju Sriyasya pUjAm
   kṛtvā apāmārgasamidhānāṃ dadhimadhughṛtāktānāṃ juhuyāt / ātmānamuddiśya /	kRtvA apAmArga samiDAnAm daDi maDu GRta aktAnAm juhuyAt / AtmAnam uddiSya /
   sarvapāpairmukto bhavati / sapta sapta maricāni abhimantrya akākolīne	sarva pApEH muktaH Bavati / sapta sapta maricAni aBimantrya akAkolIne
   bhakṣayet / pañcāśacchalokaśatāni gṛhṇāti / tacca yāvajjīvaṃ dhārayati	Bakzayet / paQcASat Saloka SatAni gRhNAti / tat ca yAvajjIvam DArayati
   bhagavato buddhasyāgrataḥ śatasahasraṃ japaṃ kṛtvā pannagabandhaṃ karoti /	BagavataH budDasya agratas Sata sahasram japam kRtvA pannaga banDam karoti /
   jale vaikaṅkatasamidhānāṃ dadhimadhughṛtāktānāmāryamañjuśriyasyāgrataḥ	jale vEkaFkata samiDAnAm daDi maDu GRta aktAnAm Arya maQju Sriyasya agratas 
   śatasahasraṃ juhuyāt / ardharātre pañca dīnāraśatāni pratilabhate ardhaṃ	Sata sahasram juhuyAt / arDarAtre paQca dInAra SatAni pratilaBate arDam
   ratnatrayopayojyam / kumudāni dine dine 'ṣṭasahasraṃ juhuyāt /	ratnatraya upayojyam / kumudAni dine dine azwa sahasram juhuyAt /
   vināyakairmukto (Vaidya 530) bhavati / kārttikaśuklapakṣe kṣīrayāvakāhāraḥ	vinAyakEH muktaH (VEdyaH 530) Bavati / kArttika Sukla pakze kzIra yAvaka AhAraH
   śākāhāro vā poṣadhikaḥ pañcadaśyāṃ trirātroṣito vaikaṅkataphalānāṃ	SAka AhAraH vA pozaDikaH paQcadaSyAm tri rAtra uzitaH vEkaFkata PalAnAm
   ghṛtāktānāṃ lakṣaṃ juhuyāt / rūpakasahasraṃ pratilabhate / grāmasvāmī	GRta aktAnAm lakzam juhuyAt / rUpaka sahasram pratilaBate / grAmasvAmI
   bhavati / ardhaṃ ratnatrayopayogam / śucau bhūpradeśe gocarmamātraṃ	Bavati / arDam ratnatraya upayogam / SucO BU pradeSe gocarma mAtram
   maṇḍalamupalipya tanmadhye padmākārāṃ vediṃ kṛtvā	maNxalam upalipya tad maDye padma AkArAm vedim kRtvA
   gandhapuṣpadhūpavicitrabaliṃ kṛtvā vaikaṅkatasamidhānā	ganDa puzpa DUpa vicitra balim kRtvA vEkaFkata samiDAnA
   sugatavitastipramāṇānāṃ lakṣaṃ juhuyāt / agnyākārā nīlavarṇā arciṣo	sugata vitasti pramANAnAm lakzam juhuyAt / agni AkArAH nIla varNAH arcizaH 
   niścaranti / sādhakaṃ pradakṣiṇīkṛtya punarapyagnikuṇḍe praviśanti / evaṃ	niScaranti / sADakam pradakziNIkRtya punar api agnikuNxe praviSanti / evam
   siddho bhavati / sarvasādhaneṣu agnirāvāhitavyam / evaṃ siddho bhavati /	sidDaH Bavati / sarva sADanezu agniH AvAhitavyam / evam sidDaH Bavati /
   gaṅgāyāmaṃsamātramudakamavatīrya lakṣaṃ japet yāvadākāśādityamaṇḍalaṃ	gaFgAyAm aMsa mAtram udakam avatIrya lakzam japet yAvat AkASa Aditya maNxalam
   dṛśyati / tataḥ bhagavāṃ siddho bhavati / yadi na paśyati na sidhyati	dRSyati / tatas BagavAm sidDaH Bavati / yadi na paSyati na siDyati
   ekavārāhiṃ gatvā gandhapuṣpadhūpabalividhānaṃ kṛtvā sakalāṃ rātriṃ japet /	eka vArAhim gatvA ganDa puzpa DUpa bali viDAnam kRtvA sakalAm rAtrim japet /
   yāvaduśvaśatiṃ / tataḥ siddho bhavati / sarvasādhaneṣu sā ca vaktavyā /	yAvat uSvaSatim / tatas sidDaH Bavati / sarva sADanezu sA ca vaktavyA /
   rūpakaśataṃ me dine dine dadāti / sarvaṃ vyayīkartaśyam / anyathā na	rUpaka Satam me dine dine dadAti / sarvam vyayIkartaSyam / anyaTA na
   dadāti / palāśakāṣṭhairagniṃ prajvālya araṇyagomayānāṃ	dadAti / palASa kAzWEH agnim prajvAlya araNya gomayAnAm
   dadhimadhughṛtāktānāṃ aṣṭasahasraṃ juhuyāt / gośataṃ labhati /	daDi maDu GRta aktAnAm azwa sahasram juhuyAt / go Satam laBati /
   mātulaṅgaphalānāṃ aṣṭasahasraṃ juhuyāt palāśāgnau / yāvad	mAtulaFga PalAnAm azwa sahasram juhuyAt palASa agnO / yAvat 
   gaṇapatirāgacchati / sa vaktavyaḥ   mama dine dine dīnāramekaṃ dehi /	gaNapatiH AgacCati / sa vaktavyaH  mama dine dine dInAram ekam dehi /
   dadāti / sarvaḥ vyayīkartavyaḥ / bhagavataḥ pādau spṛśeti vaktavyaḥ tataḥ	dadAti / sarvaH vyayIkartavyaH / BagavataH pAdO spRSa iti vaktavyaH tatas 
   siddho bhavati / athavā na dadādi bilvaphalānāṃ dadhimadhughṛtāktānāṃ	sidDaH Bavati / aTavA na dadAdi bilva PalAnAm daDi maDu GRta aktAnAm
   sadhātuke caitye paṭasyāgrataḥ ekarātroṣitaḥ vaikaṅkatasamidhāgniṃ	sa DAtuke cEtye pawasya agratas eka rAtra uzitaH vEkaFkata samiDA agnim
   prajvālya aṣṭasahasraṃ juhuyāt / anena karmaṇā śrīmāṃ bhavati /	prajvAlya azwa sahasram juhuyAt / anena karmaNA SrImAm Bavati /
   viṣayādhipatirbhavati / kiṅkirāṭapuṣpāṇi dine dine aṣṭasahasraṃ juhuyāt /	vizaya aDipatiH Bavati / kiFkirAwa puzpANi dine dine azwa sahasram juhuyAt /
   dināni sapta / aṣṭau paṇaṃ pratilabhate / śāntikaṃ kartukāmo lājāhutīnāṃ	dinAni sapta / azwO paNam pratilaBate / SAntikam kartu kAmaH lAja AhutInAm
   aṣṭasahasraṃ juhuyāt / śāntirbhavati / puṣṭimicchatā	azwa sahasram juhuyAt / SAntiH Bavati / puzwim icCatA
   kṣīravṛkṣasamidhānāmagniṃ prajvālya trisandhyaṃ tilataṇḍulānāmaṣṭasahasraṃ	kzIravRkza samiDAnAm agnim prajvAlya tri sanDyam tila taNxulAnAm azwa sahasram
   juhuyāt / divasāni trīṇi / puṣṭirbhavati / āmrakāṣṭhairagniṃ prajvālya	juhuyAt / divasAni trINi / puzwiH Bavati / Amra kAzWEH agnim prajvAlya
   dūrvāṅkurāṇāṃ aṣṭasahasraṃ juhuyāt / vivāde uttara vādī bhavati / astamite	dUrvA aFkurANAm azwa sahasram juhuyAt / vivAde uttara vAdI Bavati / astamite
   vrīhituṣāṇāṃ nāma gṛhītvā vāmahastena juhuyāt / saptarātraṃ vaśo bhavati /	vrIhituzANAm nAma gRhItvA vAma hastena juhuyAt / sapta rAtram vaSaH Bavati /
   rājasamidbhiragniṃ prajvālya tilataṇḍulānāṃ aṣṭasahasraṃ trisandhyaṃ	rAja samidBiH agnim prajvAlya tila taNxulAnAm azwa sahasram tri sanDyam
   juhuyāt / divasāni trīṇi arthaṃ dadāti / gaṅgāyāmusalaśabdarahite śucau	juhuyAt / divasAni trINi arTam dadAti / gaFgAyAH musala Sabda rahite SucO
   pradeśe ubhayakūlamṛttikāṃ gṛhya sacaturasrāṃ saptahastāṃ vedikāṃ kṛtvā	pradeSe uBaya kUla mRttikAm gRhya sa caturasrAm sapta hastAm vedikAm kRtvA
   madhye sahasrapatraṃ padmaṃ kṛtvā tasyopari sugatavitastipramāṇaṃ	maDye sahasra patram padmam kRtvA tasya upari sugata vitasti pramANam
   pañcalohitakaṃ cakraṃ pratiṣṭhāpya maṇḍalamadhye paṭasyāgrataḥ	paQcalohitakam cakram pratizWApya maNxala maDye pawasya agratas 
   sādhayitavya gandhapuṣpaiḥ śvetacandanairarcayitvā	sADayitavya ganDa puzpEH Sveta candanEH arcayitvA
   mandārakaraktapuṣpamālāṃ datvā tato gandhādibhiḥ pūjāṃ kṛtvā	mandAraka rakta puzpa mAlAm datvA tatas ganDa AdiBiH pUjAm kRtvA
   ghṛtapradīpamālā sapta deyā caturdiśaṃ catvāro ghṛtakumbhāḥ	GRta pradIpa mAlA sapta deyA caturdiSam catvAraH GRta kumBAH
   prajvālayitavyāḥ / caturdiśaṃ catvāraḥ kalaśāḥ sarvabījapūrṇakā ratnāni ca	prajvAlayitavyAH / caturdiSam catvAraH kalaSAH sarva bIja pUrNakAH ratnAni ca
   prakṣipya sthāpayitavyā / kunduru agaruśrīpiṣṭakagugguludhūpo deyaḥ /	prakzipya sTApayitavyA / kunduru  agaru SrI pizwaka guggulu DUpaH deyaH /
   balividhānaṃ kṛtvā caturdiśaṃ pūrvoktena dadhibhakto 'pūpakaṃ deyam /	bali viDAnam kRtvA caturdiSam pUrva uktena daDi BaktaH apUpakam deyam /
   dakṣiṇabhūtakrūraṃ udakamiśraṃ deyam / paścimāyāṃ diśi	dakziNa BUta krUram udaka miSram deyam / paScimAyAm diSi
   kuraṅguḍakṣīrapūrṇakaṃ deyam / uttarāyāṃ diśi pāyasapūrṇakaṃ balimupaharet	kuraFguxa kzIra pUrNakam deyam / uttarAyAm diSi pAyasa pUrNakam balim upaharet 
   / tataḥ palāśasamidbhiragniṃ prajvālya apāmārgasamidhānāṃ	/ tatas palASa samidBiH agnim prajvAlya apAmArga samiDAnAm
   saptābhimantritānāṃ ghṛtānāmaṣṭasahasraṃ juhuyāt / nāmaṃ grahāya / vaśo	sapta aBimantritAnAm GRtAnAm azwa sahasram juhuyAt / nAmam grahAya / vaSaH 
   bhavati / rājavṛkṣasamidbhirigniṃ prajvālya lavaṇamayīṃ pratikṛtiṃ kṛtvā	Bavati / rAjavRkza samidBiH ignim prajvAlya lavaNa mayIm pratikRtim kRtvA
   śirādārabhya ekaikāmāhutiṃ saptābhimantritāṃ yāvaccaraṇāviti nāmaṃ grahāya	SirAt AraByaH ekEkAm Ahutim sapta aBimantritAm yAvat caraNO= iti nAmam grahAya
