   Sarva Tathāgata Tattva Saṅgrah	Sarva TaTAgataH Tattva SaFgrah
   rāgo hi nāvamantavyo rāgayetsarvayoṣitaḥ /	rAgaH hi na avamantavyaH rAgayet sarva yozitaH /
   vajriṇo guhyasamayamidaṃ rakṣaṃstu sidhyatī  //	vajriNaH guhya samayam idam rakzan= tu siDyatI //
   tyāha bhagavān vairocanaḥ //	tyAha BagavAn vErocanaH //
   tatredaṃ vajrakulasamayasiddhiguhyatantraṃ /	tatra idam vajra kula samaya sidDi guhya tantram /
   mārayanmārayellokaṃ kāyavākkarmasatkriyaiḥ /	mArayan mArayet lokam kAya vAc karma satkriyEH /
   hūṃ kāraistu viśuddhyarthaṃ samayo hyarthasiddhida //	hUM kArEH tu viSudDi arTam samayaH hi arTa sidDi daH //
   ityāha bhagavān trilokavijayaḥ /	iti Aha BagavAn triloka vijayaH /
   tatredaṃ padmakulasamayasiddhiguhyatantraṃ /	tatra idam padma kula samaya sidDi guhya tantram /
   rāgaḥ śuddhātmanāṃ śuddho hyaśuddhastīrthyayogināṃ /	rAgaH SudDa AtmanAm SudDaH hi aSudDaH tIrTya yoginAm /
   śuddhātmanāṃ tu samayaṃ pālayan siddhimāpnuyād //	SudDa AtmanAm tu samayam pAlayan sidDim ApnuyAt //
   ityāha bhagavānavalokiteśvaraḥ //	iti Aha BagavAn avalokita ISvaraH //
   tatredaṃ maṇikulasamayasiddhiguhyatantraṃ /	tatra idam maNi kula samaya sidDi guhya tantram /
   badhvā vajramaṇiṃ pūrvaṃ vajragarbhasamādhinā /	baDvA vajramaNim pUrvam vajra garBa samADinA /
   duṣṭānāṃ tu harannarthān samayaḥ siddhido bhaved //	duzwAnAm tu haran= arTAn samayaH sidDi daH Bavet //
   i]tyāha bhagavān vajraratnaḥ //	i]ti Aha BagavAn vajra ratnaH //
   sarvakulasamayasiddhiguhyavidhivistaratantraṃ //	sarva kula samaya sidDi guhya viDi vistara tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatadharmasiddhiguhyatantramudājahāra /	sarva taTAgata Darma sidDi guhya tantram udAjahAraH /
   tatredaṃ tathāgatadharmasiddhiguhyatantraṃ /	tatra idam taTAgata Darma sidDi guhya tantram /
   svabhāvaśuddhiṃ dharmāṇāṃ bhāvayan susamāhitaḥ /	svaBAva SudDim DarmANAm BAvayan su samAhitaH /
   sarvakāryāṇi kurvan vai bodhīṃ siddhimavāpnute  //	sarva kAryANi kurvan vE boDIm sidDim avApnute //
   tyāha bhagavān vajradhātuḥ //	tyAha BagavAn vajraDAtuH //
   tatredaṃ tathāgatakuladharmasiddhiguhyatantraṃ /	tatra idam taTAgata kula Darma sidDi guhya tantram /
   sarvasatvānurāgaśca viṣayeṣvavirāgitā /	sarva satva anurAgaH ca vizayezu avirAgi tA /
   rāmārāmaṇaśuddhistu guhyadharmaḥ susiddhida //	rAma ArAmaNa SudDiH tu guhya DarmaH su sidDi daH //
   ityāha bhagavān vajraguhyaḥ //	iti Aha BagavAn vajra guhyaH //
   tatredaṃ vajrakuladharmasiddhiguhyatantraṃ /	tatra idam vajra kula Darma sidDi guhya tantram /
   nāsāhuṃkārayogena sarvaduṣṭāṃstu mārayan /	nAsA huMkAra yogena sarva duzwAn= tu mArayan /
   sūkṣmavajrasamādhisthaḥ parāṃ siddhimavāpnuyād //	sUkzma vajra samADi sTaH parAm sidDim avApnuyAt //
   ityāha bhagavān dharmahuṃkāraḥ //	iti Aha BagavAn Darma huMkAraH //
   tatredaṃ padmakuladharmasiddhiguhyatantraṃ /	tatra idam padma kula Darma sidDi guhya tantram /
   sūkṣmavajraprayogeṇa rāmayetsarvayoṣitaḥ /	sUkzma vajra prayogeNa rAmayet sarva yozitaH /
   dharmasiddhimavāpnoti vajradharmasamādhine  //	Darma sidDim avApnoti vajra Darma samADine //
   tyāha bhagavānavalokiteśvaraḥ /	tyAha BagavAn avalokiteSvaraH /
   tatredaṃ maṇikuladharmasiddhiguhyatantraṃ /	tatra idam maNi kula Darma sidDi guhya tantram /
   dvayendriyasamāpattyā sarvāśā paripūrayan /	dvaya indriya samApattyA sarva ASA paripUrayan /
   yoṣitāṃ vā priyāṇāṃ vā siddhimāpnotyanuttarām /	yozitAm vA priyANAm vA sidDim Apnoti anuttarAm /
   ityāha bhagavān vajraratnaḥ //	iti Aha BagavAn vajra ratnaH //
   sarvakuladharmasiddhiguhyavidhivistaratantraṃ //	sarva kula Darma sidDi guhya viDi vistara tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatakarmasiddhiguhyatantramudājahāra / tatredaṃ	sarva taTAgata karma sidDi guhya tantram udAjahAraH / tatra idam
   tathāgatakarmasiddhiguhyatantraṃ /	taTAgata karma sidDi guhya tantram /
   vajrasatvasamādhistho buddhānusmṛtibhāvakaḥ /	vajra satva samADi sTaH budDa anusmRti BAvakaH /
   strīkāyaṃ praviśanyonyā vaśīkuryāttu yoṣita //	strI kAyam praviSan yonyA vaSIkuryAt tu yozitaH //
   ityāha bhagavān vairocanaḥ //	iti Aha BagavAn vErocanaH //
   tatredaṃ tathāgatakulakarmasiddhiguhyatantraṃ /	tatra idam taTAgata kula karma sidDi guhya tantram /
   vajrasatvasamādhistho bhagena praviśaṃstathā /	vajra satva samADi sTaH Bagena praviSan= taTA /
   striyā kāye spharetsamyag niśceṣṭāmapi rāgayed //	striyA kAye sParet samyak niScezwAm api rAgayet //
   ityāha bhagavān vajrarāgaḥ //	iti Aha BagavAn vajra rAgaH //
   tatredaṃ vajrakulakarmasiddhiguhyatantraṃ /	tatra idam vajra kula karma sidDi guhya tantram /
   vajrahuṃkāramudrāṃ vai badhvā tu susamāhitaḥ /	vajra huMkAra mudrAm vE baDvA tu su samAhitaH /
   praviśaṃstu bhage kruddhaḥ manasā sa tu pātayed //	praviSan= tu Bage krudDaH manasA sa tu pAtayet //
   ityāha bhagavān vajrasamayaḥ //	iti Aha BagavAn vajra samayaH //
   tatredaṃ padmakulakarmasiddhiguhyatantraṃ /	tatra idam padma kula karma sidDi guhya tantram /
   dharmakarmamayīmudrāṃ badhvā padmasamādhinā /	Darma karma mayI mudrAm baDvA padma samADinA /
   bhagena praviśan rakṣedapi sarvāstu yoṣita //	Bagena praviSan rakzet api sarvAH tu yozitaH //
   ityāha bhagavān vajrapadmaḥ /	iti Aha BagavAn vajra padmaH /
   tatredaṃ maṇikulakarmasiddhiguhyatantraṃ /	tatra idam maNi kula karma sidDi guhya tantram /
   karmavajramaṇiṃ badhvā vajraratnasamādhinā /	karma vajra maNim baDvA vajra ratna samADinA /
   bhagena praviśan strīṇāṃ kṣaṇādāviśya nartatī  //	Bagena praviSan strINAm kzaNAt AviSya nartatI //
   tyāha bhagavān vajraratnaḥ //	tyAha BagavAn vajra ratnaH //
   sarvakulakarmasiddhiguhyavidhivistaratantraṃ //	sarva kula karma sidDi guhya viDi vistara tantram //
   athavajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahA boDisatvaH
   sarvatathāgatamaṇḍalaśuddhisiddhiguhyatantramudājahāra / tatredaṃ	sarva taTAgata maNxala SudDi sidDi guhya tantram udAjahAraH / tatra idam
   sarvatathāgatacakraśuddhisiddhiguhyatantraṃ bhavati /	sarva taTAgata cakra SudDi sidDi guhya tantram Bavati /
   dharmacakrasamākāraṃ kuryādvā guhyamaṇḍalaṃ /	Darma cakra sama AkAram kuryAt vA guhya maNxalam /
   mudrā bhāryā parivṛtaṃ tatra buddhanniveśayet // 1 //	mudrA BAryA parivRtam tatra budDat niveSayet // 1 //
   praviṣṭvaiva hi tadguhyaṃ brūyādbuddhasya tatkṣaṇāt /	pravizwvA eva hi tat guhyam brUyAt budDasya tad kzaNAt /
   "bhāryā hyetāstava vibho dadasva mama sarvada" // 2 //	"BAryAH hi etAH tava viBo dadasva mama sarva da" // 2 //
   evaṃ brūvaṃstu sarveṣu kulamudrā nayeṣu ca /	evam brUvan= tu sarvezu kula mudrA nayezu ca /
   guhyasiddhimavāpnoti buddhānāmasamatviṣām // 3 //	guhya sidDim avApnoti budDAnAm asama tvizAm // 3 //
   ityāha bhagavān buddhaḥ //	iti Aha BagavAn budDaH //
   tatredaṃ tathāgatakulasarvamaṇḍalasiddhiguhyatantraṃ /	tatra idam taTAgata kula sarva maNxala sidDi guhya tantram /
   vajradhātupratīkāśaṃ maṇḍalaṃ tu samālikhet /	vajra DAtu pratIkASam maNxalam tu samAliKet /
   tathāgatakulānāṃ tu sarveṣāṃ paramannayaṃ //	taTAgata kulAnAm tu sarvezAm paraman= ayam //
   [siddhikāmastvāśu] brūyātpravi[ṣṭaiva tanmaṇḍalaṃ] /	[sidDi kAmaH tu ASu] brUyAt pravi[zwA eva tat maNxalaM] /
   surate samayastvaṃhoḥ, vajrasatvādya sidhya māṃ // 2 //	surate samayaH tu aMhoH, vajra satva adya siDya mAm // 2 //
   idaṃ japaṃstu hṛdayaṃ sādhayet sarvasiddhayaḥ /	idam japan= tu hRdayam sADayet sarva sidDayaH /
   [tatvacodanayoge]na tuṣṭaḥ sa tvāśu sidhyatī  //	[tatvacodana yoge]na tuzwaH sa tu ASu siDyatI //
   tyāha bhagavān vajrasatvaḥ //	tyAha BagavAn vajra satvaH //
   tatredaṃ vajrakulasarvamaṇḍalasiddhiguhyatantraṃ /	tatra idam vajra kula sarva maNxala sidDi guhya tantram /
   trilokavijayākāraṃ sarvavajrakulasya hi /	triloka vijaya AkAram sarva vajra kulasya hi /
   sarvamaṇḍalayogaṃ tu saṃlikheta vicakṣaṇaḥ // 1 //	sarva maNxala yogam tu saMliKeta vicakzaNaH // 1 //
   taṃ praviṣṭvaiva śīghraṃ vai brūyātsiddhiṃ tu yācayan /	tam pravizwvA eva SIGram vE brUyAt sidDim tu yAcayan /
   "rāgāttvamasi saṃbhūta" , evaṃ sarveṣu sidhyatī  // 2 //	"rAgAt tvam asi saMBUta" , evam sarvezu siDyatI // 2 //
   tyāha bhagavān vajrahuṃkāraḥ //	tyAha BagavAn vajra huMkAraH //
   tatredaṃ padmakulamaṇḍalasiddhiguhyatantraṃ /	tatra idam padma kula maNxala sidDi guhya tantram /
   jagadvinayayogena sarvapadmakuleṣu vai /	jagat vinaya yogena sarva padma kulezu vE /
   maṇḍalāni likhetprajñastaṃ praviṣṭvaiva vāgvadet // 1 //	maNxalAni liKet prajQaH tam pravizwvA eva vAc vadet // 1 //
   "rāgadharma mahāpadma prasidhya laghu me vibho" /	"rAga Darma mahApadma prasiDya laGu me viBo" /
   evamuktvā tu sarveṣu maṇḍaleṣu sa sidhyatī  // 2 //	evam uktvA tu sarvezu maNxalezu sa siDyatI // 2 //
   tyāha bhagavānavalokiteśvaraḥ //	tyAha BagavAn avalokiteSvaraH //
   tatredaṃ maṇikulamaṇḍalasiddhiguhyatantraṃ /	tatra idam maNi kula maNxala sidDi guhya tantram /
   sarvārthasiddhiyogena maṇḍalāni samālikhet /	sarva arTa sidDi yogena maNxalAni samAliKet /
   mahāmaṇikulānāṃ tu taṃ praviṣṭvaiva vāgvadet // 1 //	mahA maNi kulAnAm tu tam pravizwvA eva vAc vadet // 1 //
   "sarvābhiprāyasiddhīnāṃ rāgāśāsiddhiruttamā /	"sarva aBiprAya sidDInAm rAga ASA sidDiH uttamA /
   sidhya sidhya mahāsatva bhagavan sarvasiddhaye" // 2 //	siDya siDya mahA satva Bagavan sarva sidDaye" // 2 //
   evaṃ brūvaṃstu sarveṣu maṇḍaleṣu praveśataḥ /	evam brUvan= tu sarvezu maNxalezu praveSataH /
   mahāsiddhimavāpnoti pūjāguhyamanuttaraṃ // 3 //	mahA sidDim avApnoti pUjA guhyam anuttaram // 3 //
   tataḥ prabhṛti siddhātmā sādhayan siddhayaḥ sadā /	tatas praBRti sidDa AtmA sADayan sidDayaH sadA /
   yadā na laghu siddhiḥ syāt sidhyante tatvacodanair // 4 //	yadA na laGu sidDiH syAt siDyante tatvacodanEH // 4 //
   ityāha bha[gavān vajrasatvaḥ //]	iti Aha Ba[gavAn vajra satvaH //]
   sarvakulamaṇḍalasiddhiguhyavidhivistaratantraṃ //	sarva kula maNxala sidDi guhya viDi vistara tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatasarvamudrāguhyasiddhitantramudājahāra / tatredaṃ	sarva taTAgata sarva mudrA guhya sidDi tantram udAjahAraH / tatra idam
   tathāgatamudrāguhyasiddhitantraṃ /	taTAgata mudrA guhya sidDi tantram /
   tathāgatamahādevyaḥ priyāḥ sarvasukhapradāḥ /	taTAgata mahAdevyaH priyAH sarva suKa pradAH /
   satyānuparivartinyā vāssatyaiḥ sāpi tā yanna sidhyata //	satya anuparivartinyAH vAssatyEH sA api tAH yat na siDyate //
   ityāha bhagavān buddhaḥ //	iti Aha BagavAn budDaH //
   tatredaṃ tathāgatakulamahāmudrāguhyasiddhitantraṃ /	tatra idam taTAgata kula mahAmudrA guhya sidDi tantram /
   mahāmudrāṃ tu vai badhvā yathāvadanupūrvaśaḥ /	mahAmudrAm tu vE baDvAH yaTAvat anupUrvaSas /
   idaṃ tatvaṃ rahasyaṃ ca vajravācā vadetvayaṃ // 1 //	idam tatvam rahasyam ca vajra vAcA vadetu ayam // 1 //
   vajrasatvaḥ svayamahaṃ tvamme bhāryā hṛdi sthitā /	vajra satvaH svayam aham tvam me BAryA hRdi sTitA /
   sarvakāyaṃ pariṣvajya vajragarve samutkṣipa // 2 //	sarva kAyam parizvajya vajra garve samutkzipa // 2 //
   vajragarvā mahādevī tatvacodānurāgitā /	vajra garvA mahAdevI tatvacA uda anurAgitAH /
   sarvakāye dṛḍhībhūtvā yathāvatsidhyate laghur // 3 //	sarva kAye dRXIBUtvA yaTAvat siDyate laGuH // 3 //
   ityāha bhagavān vajragarvāpatiḥ //	iti Aha BagavAn vajra garvA patiH //
   tatredaṃ vajrakulasamayamudrāguhyasiddhitantraṃ /	tatra idam vajra kula samaya mudrA guhya sidDi tantram /
   "sidhya sidhyādya samaye samayo 'haṃ tvaṃ priyā mama" /	"siDya siDyA adya samaye samayaH aham tvam priyA mama" /
   iti codanayā śīghramanuraktā prasidhyatī  //	iti ca udanayA SIGram anuraktA prasiDyatI //
   tyāha bhagavān vajrasatvaḥ //	tyAha BagavAn vajra satvaH //
   tatredaṃ padmakuladharmamudrāguhyasiddhitantraṃ /	tatra idam padma kula Darma mudrA guhya sidDi tantram /
   "budhya budhya mahāsatvi bhāryā me tvamatipriyā" /	"buDya buDya mahAsatvi BAryA me tvam atipriyA" /
   iti codanayā śīghramanuraktā tu sidhyatī  //	iti ca udanayA SIGram anuraktA tu siDyatI //
   tyāha bhagavān vajradharmaḥ //	tyAha BagavAn vajra DarmaH //
   tatredaṃ maṇikulakarmamudrāguhyasiddhitantraṃ /	tatra idam maNi kula karma mudrA guhya sidDi tantram /
   "sarvakarmakarī bhāryā tvaṃ me sidhyādya vajriṇi" /	"sarva karma karI BAryA tvam me siDyA adya vajriNi" /
   iti codanayā śīghramanuraktā tu sidhyatī  //	iti ca udanayA SIGram anuraktA tu siDyatI //
   tyāha bhagavānākāśagarbhaḥ //	tyAha BagavAn AkASa garBaH //
   sarvakulasarvamudrā[guhyasi]ddhividhivistaratantraṃ //	sarva kula sarvamudrA[ guhya si]dDi viDi vistara tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatasamayaguhyasiddhitantramudājahāra /	sarva taTAgata samaya guhya sidDi tantram udAjahAraH /
   tatredaṃ tathāga[tasamayagu]hyasiddhitantraṃ /	tatra idam taTAga[ta samaya gu]hya sidDi tantram /
   tīrthikānāṃ hitārthāya buddhabhāryā pragopitā /	tIrTikAnAm hita arTAya budDa BAryA pragopitA /
   lekhyā mudrā prayogeṇa iti vijñeya sidhyatī  //	leKyAH mudrA prayogeNa iti vijQeya siDyatI //
   tyāha bhagavān sarvatathāgata[samayaḥ //]	tyAha BagavAn sarva taTAgata[ samayaH //]
   tatredaṃ tathāgatakulasamayaguhyasiddhitantraṃ /	tatra idam taTAgata kula samaya guhya sidDi tantram /
   sarvasatvamanovyāpī sarvasatvasukhapradaḥ /	sarva satva manaH vyApI sarva satva suKa pradaH /
   sarvasatvapitā caiva kāmo 'graḥ samayāgriṇām //	sarva satva pitA ca eva kAmaH agraH samaya agriNAm //
   ityāhurbhagavantaḥ sarvatathāgatāḥ //	iti AhuH BagavantaH sarva taTAgatAH //
   idaṃ tatsarvabuddhānāṃ rahasyaṃ paramādbhutaṃ /	idam tat sarva budDAnAm rahasyam parama adButam /
   vijñeya śraddadhacchddho duḥsādhyo 'pi hi sidhyatī  //	vijQeya SraddaDacSdDaH duHsADyaH api hi siDyatI //
   tyāha bhagavān vajradharaḥ //	tyAha BagavAn vajraDaraH //
   tatredaṃ vajrakulasamayaguhyasiddhitantraṃ /	tatra idam vajra kula samaya guhya sidDi tantram /
   rāgaśuddhyai viraktānāṃ tīrthyadṛṣṭikṛtātmanāṃ /	rAga SudDyE viraktAnAm tIrTya dRzwi kRtAtmanAm /
   māraṇaṃ samayaṃ tvagramidaṃ vijñeyaṃ sidhyatī  //	mAraNam samayam tu agram idam vijQeyam siDyatI //
   tyāha bhagavān vajradharaḥ //	tyAha BagavAn vajraDaraH //
   tatredaṃ padmakulasamayaguhyasiddhitantraṃ /	tatra idam padma kula samaya guhya sidDi tantram /
   mahābhūtodbhavaṃ sarvaṃ, kathaṃ tvaśucirucyate? /	mahABUta udBavam sarvan, kaTam tu aSuciH ucyate? /
   tīrthikānāṃ vināśāya dhruvaṃ siddhimavāpnuyād //	tIrTikAnAm vinASAya Druvam sidDim avApnuyAt //
   ityāha bhagavān vajranetraḥ //	iti Aha BagavAn vajra netraH //
   tatredaṃ maṇikulasamayaguhyasiddhitantraṃ /	tatra idam maNi kula samaya guhya sidDi tantram /
   strīprasaṅgāttu ratnānāṃ saṃcayaḥ kriyate yadā /	strI prasaFgAt tu ratnAnAm saMcayaH kriyate yadA /
   striyo hyanuttaraṃ ratnamiti cintyate sidhyatī  //	striyaH hi anuttaram ratnam iti cintyate siDyatI //
   tyāha bhagavānājñākaraḥ //	tyAha BagavAn AjQA karaH //
   sarvakalasamayaguhyasiddhividhivistaratantraḥ //	sarva kala samaya guhya sidDi viDi vistara tantraH //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatapūjāguhyasiddhitantramudājahāra / tatrāyaṃ	sarva taTAgata pUjA guhya sidDi tantram udAjahAraH / tatra ayam
   tathāgatapūjāguhyasiddhitantraḥ /	taTAgata pUjA guhya sidDi tantraH /
   strībhiḥ parivṛto bhūtvā parihāsakriyā sukhaṃ /	strIBiH parivRtaH BUtvA parihAsa kriyA suKam /
   niryātya buddhapūjāyāṃ pūjāsiddhimavāpnuyād //	niryAtya budDa pUjAyAm pUjA sidDim avApnuyAt //
   ityāha bhagavān buddhaḥ /	iti Aha BagavAn budDaH /
   tatredaṃ tathāgatakulapūjāguhyasiddhitantraṃ /	tatra idam taTAgata kula pUjA guhya sidDi tantram /
   surataśramakhinnastu tatsaukhyaṃ suratodbhavaṃ /	surata Srama KinnaH tu tad sOKyam surata udBavam /
   catuḥpraṇāme pūjāyāṃ niryātya laghu sidhyatī  //	catur praNAme pUjAyAm niryAtya laGu siDyatI //
   tyāha bhagavān vajradharaḥ //	tyAha BagavAn vajraDaraH //
   tatredaṃ vajrakulapūjāguhyasiddhitantraṃ /	tatra idam vajra kula pUjA guhya sidDi tantram /
   huṃkārasamayāṃ badhvā pariṣvajya striyaṃ janaṃ /	huMkAra samayAm baDvA parizvajya striyam janam /
   tatpariṣvaṅgasaukhyaṃ tu niryātya hi sa sidhyatī  //	tad parizvaFga sOKyam tu niryAtya hi sa siDyatI //
   tyāha bhagavān vajrahuṃkāraḥ //	tyAha BagavAn vajra huMkAraH //
   tatredaṃ padmakulapūjāguhyasiddhitantraṃ /	tatra idam padma kula pUjA guhya sidDi tantram /
   lokeśvaramahaṃ bhāvya priyāvaktraṃ nirīkṣanvai /	lokeSvaram aham BAvya priyA vaktram nirIkzan vE /
   tannirīkṣaṇasauravyaṃ tu niryātya hi sa sidhyatī  /	tad nirIkzaNa sOravyam tu niryAtya hi sa siDyatI /
   tyāha bhagavān padmanetraḥ //	tyAha BagavAn padmanetraH //
   tatredaṃ maṇikulapūjāguhyasiddhitantraṃ /	tatra idam maNi kula pUjA guhya sidDi tantram /
   karmamudrādharo bhūtvā sarvābharaṇabhūṣitaḥ /	karma mudrADaraH BUtvA sarva ABaraNa BUzitaH /
   striyaṃ pariṣvajya pūjāyāṃ vibhūtiṃ niryātya sidhyatī  //	striyam parizvajya pUjAyAm viBUtim niryAtya siDyatI //
   tyāha bhagavān vajraratnaḥ //	tyAha BagavAn vajra ratnaH //
   sarvakulapūjāguhyasiddhividhivistaratantraṃ //	sarva kula pUjA guhya sidDi viDi vistara tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgataguhyapūjāsiddhitantramudājahāra / tatredaṃ	sarva taTAgata guhya pUjA sidDi tantram udAjahAraH / tatra idam
   tathāgataguhyapūjāsiddhitantraṃ /	taTAgata guhya pUjA sidDi tantram /
   ramayan paradārāṇi yathā[ka]ścinna vedayet /	ramayan para dArANi yaTA[ka]Scid na vedayet /
   bhāvayan buddhamātmānaṃ pūjayā siddhimāpnuyād //	BAvayan budDam AtmAnam pUjayA sidDim ApnuyAt //
   ityāha bhagavān buddhaḥ //	iti Aha BagavAn budDaH //
   tatredaṃ tathāgata[kula]guhyapūjāsiddhitantraṃ /	tatra idam taTAgata[kula] guhya pUjA sidDi tantram /
   vajralāsyāṃ samādhāya vajramālāṃ tu bandha[yet] /	vajralAsyAm samADAya vajramAlAm tu banDa[yet] /
   vajragītāṃ tato badhvā pūjayed vajranṛtyayā //	vajra gItAm tatas baDvA pUjayet vajra nRtyayA //
   kā[maratyābhiṣekā]gryā nṛtyagītasukhātsukhaṃ /	kA[maratyA aBizeka a]gryA nRtya gIta suKAt suKam /
   nānyadasti hi teneyaṃ guhyapūjā niruttarā //	na anyat asti hi tena iyam guhya pUjA niruttarA //
   tatredaṃ vajrakulaguhyapūjāsiddhitantraṃ //	tatra idam vajra kula guhya pUjA sidDi tantram //
   yathāvad vidhiyogena pūja[yed] guhyapūjayā /	yaTAvat viDi yogena pUja[yed] guhya pUjayA /
   trilokavijayaṃ bhāvya pūjāsiddhima vāpnuyād //	triloka vijayam BAvya pUjA sidDima vA ApnuyAt //
   ityāha bhagavān vajraguhyaḥ /	iti Aha BagavAn vajra guhyaH /
   tatredaṃ padmakulaguhyapūjāsiddhitantraṃ /	tatra idam padma kula guhya pUjA sidDi tantram /
   ya[thāvad gu]hyayogena dharmamudrā supūjayan /	ya[TAvat gu]hya yogena DarmamudrA su pUjayan /
   jagadvinayamudrāsthaḥ pūjāsiddhimavāpnute  //	jagat vinaya mudrA sTaH pUjA sidDim avApnute //
   tyāha bhagavānavalokiteśvaraḥ //	tyAha BagavAn avalokiteSvaraH //
   tatredaṃ maṇikulaguhyapūjāsiddhitantraṃ /	tatra idam maNi kula guhya pUjA sidDi tantram /
   yathāvad guhyayogena karmamudrā susādhayan /	yaTAvat guhya yogena karma mudrA susADayan /
   sarvārthasiddhiyogena pūjāsiddhimavāpnute  //	sarva arTa sidDi yogena pUjA sidDim avApnute //
   tyāha bhagavān vajragarbhaḥ //	tyAha BagavAn vajragarBaH //
   sarvakulaguhyapūjāvidhivistaratantraṃ //	sarva kula guhya pUjA viDi vistara tantram //
   atha bhagavān vajrapāṇirmahābodhisatvaḥ	aTa BagavAn vajrapANiH mahAboDisatvaH
   sarvatathāgatakulodghāṭanaguhyasiddhitantramudājahāra / tatredaṃ	sarva taTAgata kula udGAwana guhya sidDi tantram udAjahAraH / tatra idam
   tathāgatatatvotpattisiddhiguhyatantraṃ /	taTAgata tatva utpatti sidDi guhya tantram /
   samādhijñānasaṃbhūtaṃ buddhatvaṃ hi samāsataḥ /	samADi jQAna saMBUtam budDa tvam hi samAsatas /
   satvarāgaṇayogena śīghramāpnotyanuttaram //	satvarA gaNa yogena SIGram Apnoti anuttaram //
   ityāha bhagavāṃstathāgataḥ /	iti Aha BagavAn= taTAgataH /
   tatredaṃ tathāgatakulamahātattvodghāṭanasiddhiguhyatantraṃ /	tatra idam taTAgata kula mahA tattva udGAwana sidDi guhya tantram /
   anādinidhanaḥ satvaḥ ākāśotpattilakṣaṇaḥ /	anAdi niDanaH satvaH AkASa utpatti lakzaNaH /
   samantabhadraḥ sarvātmā kāmaḥ sarvajagatpatiḥ // 1 //	samantaBadraH sarva AtmA kAmaH sarva jagat patiH // 1 //
   yaccittaṃ sarvasatvānāṃ dṛḍhatvāt satvanucyate /	yat cittam sarva satvAnAm dRXa tvAt satu anucyate /
   samādhānād vajrasamo niścayairyāti vajratāṃ // 2 //	samADAnAt vajra samaH niScayEH yAti vajra tAm // 2 //
   satvādhiṣṭhānayogena vajrasatvaḥ punarbhavet /	satva aDizWAna yogena vajra satvaH punar Bavet /
   sa eva bhagavān satvo vajrakāyastathāgataḥ // 3 //	saH eva BagavAn satvaH vajra kAyaH taTAgataH // 3 //
   svacittaprativedhādibuddhabodhiryathāvidhi /	sva citta prativeDa Adi budDa boDiH yaTAviDi /
   sa eva bhagavān sarvatathāgatakulaṃ bhaved //	saH eva BagavAn sarva taTAgata kulam Bavet //
   ityāha bhagavānanādinidhanasatvaḥ //	iti Aha BagavAn anAdi niDana satvaH //
   tathāgatakulaṃ saiva saiva vajrakulaṃ smṛtaṃ /	taTAgata kulam sA eva sA eva vajra kulam smRtam /
   saiva padmakulaṃ śuddhaṃ saivoktaṃ maṇisatkulam //	sA eva padma kulam SudDam sA eva uktam maNi sat kulam //
   ityāha bhagavān sarvatathāgatacakraḥ //	iti Aha BagavAn sarva taTAgata cakraH //
   sarvakulotpādanaguhyasiddhividhivistaratantraṃ //	sarva kula utpAdana guhya sidDi viDi vistara tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatamudrācinhābhidhānasiddhiguhyatantramudājahāra /	sarva taTAgata mudrA cinha aBiDAna sidDi guhya tantram udAjahAraH /
   tatredaṃ tathāgatacinhābhidhānasiddhiguhyatantraṃ bhavati /	tatra idam taTAgata cinha aBiDAna sidDi guhya tantram Bavati /
   sa eva bhagavān satvo vajrasatvo hṛdi sthitaḥ /	saH eva BagavAn satvaH vajra satvaH hRdi sTitaH /
   samādhānātsamādhistu buddhabodhiprasādhaka //	samADAnAt samADiH tu budDa boDi prasADaka //
   ityāha bhagavān buddhaḥ //	iti Aha BagavAn budDaH //
   tatredaṃ tathākulacinhābhidhānasiddhiguhyatantraṃ /	tatra idam taTA Akula cinha aBiDAna sidDi guhya tantram /
   vajraṃ suprativedhatvādaṅkuśaṃ grahamocakaḥ /	vajram su prativeDa tvAt aFkuSam grahamocakaH /
   sūkṣmavedhitayā vāṇaṃ sādhukārastu tuṣṭitaḥ // 1 //	sUkzma veDi tayA vANam sADu kAraH tu tuzwitaH // 1 //
   ratnastu racanāduktaḥ sūryastejo vidhānataḥ /	ratnaH tu racanAt uktaH sUryaH tejaH viDAnataH /
   ketuḥ samucchrayaḥ proktaḥ smito hāsastu kīrtitaḥ // 2 //	ketuH samucCrayaH proktaH smitaH hAsaH tu kIrtitaH // 2 //
   rāgaśuddhitayā padmaṃ kośaḥ kleśāricchedanāt /	rAga SudDi tayA padmam koSaH kleSa ari= CedanAt /
