   akarod brahmavittamaḥ KDA_465d	akarot brahma-vittamaH KDA_465d
   niścittaḥ pratisaṃlīnaḥ KDA_292c	niScittaH pratisaMlInaH KDA_292c
   niṣkṛtir nopalabhyate KDA_110d	nizkRtiH na-upalaByate KDA_110d
   nihīnotkṛṣṭamadhyāś ca KDA_201c	nihIna-utkRzwa-maDyAH ca KDA_201c
   niḥśvāsopahatasya ca KDA_110b	niHSvAsa-upahatasya ca KDA_110b
   niḥsaṅgā dhīramānasāḥ KDA_167b	niHsaFgAH DIra-mAnasAH KDA_167b
   niḥsaṅgo nirahaṃkṛtiḥ KDA_333b	niHsaFgaH nirahaMkRtiH KDA_333b
   niḥsaṅgo nyavasat sudhīḥ KDA_342d	niHsaFgaH nyavasat suDIH KDA_342d
   nīcajā api santi ca KDA_235d	nIca-jAH api santi ca KDA_235d
   nīco 'pi sa dvijakalpo KDA_56c	nIcaH api sa dvija-kalpaH KDA_56c
   naikā viśeṣatā vāpi KDA_157c	na-ekA viSeza-tA vA-api KDA_157c
   naiva kaścid abhāṣata KDA_32d	na-eva kaScid aBAzata KDA_32d
   naiva kasyāpy abhūt priyaḥ KDA_32b	na-eva kasya-api aBUt priyaH KDA_32b
   naiva cittasamāhitaḥ KDA_287b	na-eva citta-samAhitaH KDA_287b
   naiva muktāś ca durgateḥ KDA_348b	na-eva muktAH ca durgateH KDA_348b
   naiva viśvasyate janaiḥ KDA_399d	na-eva viSvasyate janEH KDA_399d
   naiva śāntim upāyayau KDA_283d	na-eva SAntim upAyayO KDA_283d
   naiva syur brāhmaṇāḥ khalu KDA_230d	na-eva syuH brAhmaNAH Kalu KDA_230d
   naivāsti bhedalakṣaṇam* KDA_141d	na-eva-asti Beda-lakzaNam* KDA_141d
   naiṣāṃ kiṃcid viśiṣyate KDA_196d	na-ezAm kiMcid viSizyate KDA_196d
   norasā na ca pārśvena KDA_156a	na-urasAH na ca pArSvena KDA_156a
   norubhyām atha jaṅgābhyāṃ KDA_156c	na-UruByAm aTa jaFgAByAm KDA_156c
   nyavasad dhyānasaṃrataḥ KDA_350d	nyavasat DyAna-saMrataH KDA_350d
   pakṣiṇāṃ ca viśeṣatā KDA_140b	pakziNAm ca viSeza-tA KDA_140b
   pañca kulaśatāni ca KDA_360b	paQca kula-SatAni ca KDA_360b
   pañca kulaśatāny atra KDA_356c	paQca kula-SatAni atra KDA_356c
   pañcajanmaśatāni ca KDA_330b	paQcajanma-SatAni ca KDA_330b
   pañca janmaśatāny api KDA_474d	paQca janma-SatAni api KDA_474d
   pañcalakṣaṇasaṃpanna KDA_258a	paQca-lakzaNa-saMpad-na KDA_258a
   pañcānantaryam āpnuyāt* KDA_408d	paQca-anantaryam ApnuyAt* KDA_408d
   pañcābhijñapadaprāpto KDA_280c	paQca-aBijQa-pada-prAptaH KDA_280c
   pañcendriyārṇavaṃ ghoraṃ KDA_264a	paQca-indriya-arNavam Goram KDA_264a
   patanti narake ghore KDA_391c	patanti narake Gore KDA_391c
   patitā māṃsabhakṣaṇāt* KDA_215b	patitA mAMsa-BakzaNAt* KDA_215b
   patito brāhmaṇaś caivaṃ KDA_217a	patitaH brAhmaNaH ca-evam KDA_217a
   patito brāhmaṇo hy asau KDA_109d	patitaH brAhmaNaH hi asO KDA_109d
   patir mitraḥ suhṛd bandhus KDA_441c	patiH mitraH suhRd banDuH KDA_441c
   patrādyākārabhedatā KDA_142b	patra-Adi-AkAra-Beda-tA KDA_142b
   pathi vā yadi vā gṛhe KDA_254b	paTi vA yadi vA gRhe KDA_254b
   padādibhedalakṣaṇam* KDA_139b	pada-Adi-Beda-lakzaNam* KDA_139b
   padbhyāṃ jāto yathā śūdraḥ KDA_247a	padByAm jAtaH yaTA SUdraH KDA_247a
   padbhyāṃ śūdraḥ samudbhavaḥ KDA_242d	padByAm SUdraH samudBavaH KDA_242d
   padmādīnāṃ viśeṣatā KDA_146b	padma-AdInAm viSeza-tA KDA_146b
   papracchur evam īśvaram* KDA_456d	papracCuH evam ISvaram* KDA_456d
   paratreha śivaṃkarāḥ KDA_295d	paratra-iha SivaMkarAH KDA_295d
   paramāmeti vikriyām* KDA_415b	paramAma-iti vikriyAm* KDA_415b
   parātmaśubhavāñchinā KDA_483d	para-Atma-SuBa-vAQSinA KDA_483d
   parān dhakṣyati vā na vā KDA_372d	parAn Dakzyati vA na vA KDA_372d
   parigrahān parityajya KDA_164a	parigrahAn parityajya KDA_164a
   parityajya gṛhāvāsaṃ KDA_267a	parityajya gRhAvAsam KDA_267a
   paritrātāś ca sarvataḥ KDA_358d	paritrAtAH ca sarvatas KDA_358d
   pariṣvajyātmajaṃ putraṃ KDA_66c	parizvajya-Atmajam putram KDA_66c
   paruṣābaddhacetasā KDA_473b	paruza-AbadDa-cetasA KDA_473b
   paruṣībhūtacittatvān KDA_31a	paruzIBUta-citta-tvAn KDA_31a
   parṣadaṃ ca samālokya KDA_3c	parzadam ca samAlokya KDA_3c
   paśavaḥ krūramānasāḥ KDA_436b	paSavaH krUra-mAnasAH KDA_436b
   paśuvatsa narākāraḥ KDA_227c	paSu-vat-sa nara-AkAraH KDA_227c
   paśyadhvaṃ bhikṣavo yūyaṃ KDA_453a	paSyaDvam BikzavaH yUyam KDA_453a
   pāṇipādanakhair na ca KDA_156d	pANi-pAda-naKEH na ca KDA_156d
   pātako 'nyo na vidyate KDA_397b	pAtakaH anyaH na vidyate KDA_397b
   pāti snehopacāreṇa KDA_428c	pAti sneha-upacAreNa KDA_428c
   pāti snehopacāreṇa KDA_429c	pAti sneha-upacAreNa KDA_429c
   pātrī susaṃghāṭiparītadehaḥ KDA_324b	pAtrI su-saMGAwi-parIta-dehaH KDA_324b
   pāpato duḥkhabhāginaḥ KDA_106b	pApataH duHKa-BAginaH KDA_106b
   pāragaś ca mahāsudhīḥ KDA_85d	pAragaH ca mahAsuDIH KDA_85d
   pāragaḥ sarvavedānāṃ KDA_272a	pAragaH sarva-vedAnAm KDA_272a
   pāraṃ prāpa subuddhimān* KDA_35d	pAram prApa su-budDimAn* KDA_35d
   pālayanti mahāsnehāt KDA_440c	pAlayanti mahAsnehAt KDA_440c
   pālayanti sadā prajāḥ KDA_174b	pAlayanti sadA prajAH KDA_174b
   pāvako brahmahā bhavet* KDA_212b	pAvakaH brahma-hA Bavet* KDA_212b
   pāṃśavo 'nnā bhavanti hi KDA_153d	pAMSavaH annAH Bavanti hi KDA_153d
   pāṃśudātā hy abhūc chiśuḥ KDA_115d	pAMSudAtA hi aBUt SiSuH KDA_115d
   pāṃśupuñjāni saṃpiṇḍya KDA_152c	pAMSu-puQjAni saMpiNxya KDA_152c
   pāṃśupuñjābhidhānena KDA_158c	pAMSu-puQja-aBiDAnena KDA_158c
   piṇḍapātaṃ dadau mudā KDA_116d	piNxa-pAtam dadO mudA KDA_116d
   piṇḍapātāsanādīnāṃ KDA_9c	piNxa-pAta-Asana-AdInAm KDA_9c
   pitaram ity abhāṣata KDA_64d	pitaram iti aBAzata KDA_64d
   pitā śāstā guruḥ prabhuḥ KDA_441b	pitA SAstA guruH praBuH KDA_441b
   pitṛbhyām apy upekṣitaḥ KDA_31d	pitRByAm api upekzitaH KDA_31d
   pitṛbhyo mṛtakebhyo 'pi KDA_435a	pitRByaH mRtakeByaH api KDA_435a
   puṇyasiddhāni sarvathā KDA_446b	puNya-sidDAni sarvaTA KDA_446b
   putra brahmasusādhanaiḥ KDA_67b	putra brahma-su-sADanEH KDA_67b
   putrīṃ vā bālakām api KDA_383b	putrIm vA bAlakAm api KDA_383b
   punar anyat subhāṣitam* KDA_2b	punar anyat su-BAzitam* KDA_2b
   punar apy abravīn mudā KDA_66d	punar api abravIt mudA KDA_66d
   punas tena suparṇānāṃ KDA_359a	punar tena suparNAnAm KDA_359a
   purā śrībhagavān buddho KDA_5a	purA SrI-BagavAn budDaH KDA_5a
   puruṣadamyasārathiḥ KDA_462b	puruza-damya-sAraTiH KDA_462b
   pūjyate svajanair yathā KDA_424d	pUjyate sva-janEH yaTA KDA_424d
   pūjyante nīcajā api KDA_226d	pUjyante nIca-jAH api KDA_226d
   pūjyante satvalokaiś ca KDA_426c	pUjyante satva-lokEH ca KDA_426c
   pūjyaś ca mānyo abhivādanīyo KDA_328c	pUjyaH ca mAnyaH aBivAdanIyaH KDA_328c
   pūrvakarmabalādhānāt KDA_30a	pUrva-karma-bala-ADAnAt KDA_30a
   pūrvam āsīd yudhiṣṭhira KDA_261b	pUrvam AsIt yuDizWira KDA_261b
   prakāśayata saṃvṛtim* KDA_14b	prakASayata saMvRtim* KDA_14b
   prakṣiptaṃ yatra yad dravyaṃ KDA_221a	prakziptam yatra yat dravyam KDA_221a
   prajāpatir hi caikatve KDA_195c	prajApatiH hi ca-eka-tve KDA_195c
   praṇidhānaṃ tathā cāyam KDA_465c	praNiDAnam taTA ca-ayam KDA_465c
   pratasthus te niyoginaḥ KDA_15d	pratasTuH te niyoginaH KDA_15d
   pratideśānupāsthitāḥ KDA_16d	pratideSAn-upAsTitAH KDA_16d
   pratimādīn vighātayet* KDA_408b	pratimA-AdIn viGAtayet* KDA_408b
   pratilabhya jitendriyaḥ KDA_43b	pratilaBya jita-indriyaH KDA_43b
   pratyuvāceti kaunteya KDA_252c	pratyuvAca-iti kOnteya KDA_252c
   prathamaṃ brāhmalakṣaṇam* KDA_253d	praTamam brAhma-lakzaNam* KDA_253d
   pradānakṣāntyādīñ janayati guṇān kīrtyanusṛtān* KDA_417d	pradAna-kzAnti-AdIn janayati guNAn kIrti-anusRtAn* KDA_417d
   prabodhayaṃs tam abravīt* KDA_40d	praboDayan tam abravIt* KDA_40d
   prabodhya bālakāñ chāsti KDA_431c	praboDya bAlakAn CAsti KDA_431c
   pramathnanti ruṣākulāḥ KDA_389d	pramaTnanti ruzA-AkulAH KDA_389d
   pramadāpi ca bhartāraṃ KDA_386a	pramadA-api ca BartAram KDA_386a
   prayatadhvaṃ samāhitāḥ KDA_397d	prayataDvam samAhitAH KDA_397d
   prayatadhvaṃ samāhitāḥ KDA_404d	prayataDvam samAhitAH KDA_404d
   prayujyamāno vyaharat samādhau KDA_325b	prayujyamAnaH vyaharat samADO KDA_325b
   prarakṣanti svapakṣāṃś ca KDA_432c	prarakzanti sva-pakzAn ca KDA_432c
   pravadaṃs taṃ samagrahīt* KDA_323d	pravadan tam samagrahIt* KDA_323d
   praviṣṭo mama śāsane KDA_470b	pravizwaH mama SAsane KDA_470b
   pravrajya buddhaśāsane KDA_475d	pravrajya budDa-SAsane KDA_475d
   pravrajyāprārthanāṃ cakre KDA_320a	pravrajyA-prArTanAm cakre KDA_320a
   pravrajyāṃ dehi me nātha KDA_322a	pravrajyAm dehi me nATa KDA_322a
   pravrajyāṃ dehi me satyaṃ KDA_75c	pravrajyAm dehi me satyam KDA_75c
   pravrajyāṃ samayācata KDA_74d	pravrajyAm samayAcata KDA_74d
   pravrajyāṃ samupāsiśritya KDA_72c	pravrajyAm samupAsiSritya KDA_72c
   prasasrire samantataḥ KDA_356d	prasasrire samantataH KDA_356d
   prāñjaliḥ paryapṛcchata KDA_250d	prAQjaliH paryapRcCata KDA_250d
   prātihāryam adarśayat* KDA_355d	prAtihAryam adarSayat* KDA_355d
   prāpadabhijñāḥ pratisaṃvidaś ca KDA_327 d	prApadaBijQAH pratisaMvidaH ca KDA_327 d
   prāpnuvanti yudhiṣṭhira KDA_271d	prApnuvanti yuDizWira KDA_271d
   prāpya sākṣātkṛtaṃ mudā KDA_476d	prApya sAkzAtkRtam mudA KDA_476d
   prārabhat tīkṣṇamānasaḥ KDA_36d	prAraBat tIkzNa-mAnasaH KDA_36d
   prāsāde maṇimaṇḍite KDA_374b	prAsAde maNi-maNxite KDA_374b
   proktā vai jīvajātayaḥ KDA_105d	proktAH vE jIva-jAtayaH KDA_105d
   phalanti khalu dehināṃ KDA_478f	Palanti Kalu dehinAm KDA_478f
   phalamūlāditoṣitaiḥ KDA_375b	Pala-mUla-Adi-ta-uzitEH KDA_375b
   phalamūlāmbusaṃtuṣṭo KDA_343c	Pala-mUla-ambu-saMtuzwaH KDA_343c
   phalamūlodakais tuṣṭās KDA_47c	Pala-mUla-udakEH tuzwAH KDA_47c
   phalānāṃ nāsti bhedatā KDA_160b	PalAnAm na-asti Beda-tA KDA_160b
   phaleṣv anabhilipsātha KDA_260c	Palezu anaBilipsA-aTa KDA_260c
   bandhubhiś ca parityakto KDA_32a	banDuBiH ca parityaktaH KDA_32a
   bandho dharmārthakāmānāṃ KDA_373c	banDaH Darma-arTa-kAmAnAm KDA_373c
   babhūva vānarādhipaḥ KDA_114d	baBUva vAnara-aDipaH KDA_114d
   babhūva sa brahmavihāracārī KDA_328d	baBUva sa brahma-vihAra-cArI KDA_328d
   babhūvāyaṃ mahāviṣaḥ KDA_475b	baBUva-ayam mahA-vizaH KDA_475b
   babhūvur maitricāriṇaḥ KDA_449d	baBUvuH mEtri-cAriNaH KDA_449d
   babhūvur maitricāriṇaḥ KDA_450d	baBUvuH mEtri-cAriNaH KDA_450d
   balād ākṛṣya bhakṣitaḥ KDA_339b	balAt AkRzya BakzitaH KDA_339b
   balipūjāvidhānataḥ KDA_184b	bali-pUjA-viDAnataH KDA_184b
   bahavo narā nīcakulaprasūtāḥ KDA_203c	bahavaH narAH nIca-kula-prasUtAH KDA_203c
   bāndhavāṃs te 'pi rakṣanti KDA_438c	bAnDavAn te api rakzanti KDA_438c
   bāndhavaiḥ svajanair janaiḥ KDA_421d	bAnDavEH sva-janEH janEH KDA_421d
   bālavṛddhādiduḥkhite KDA_52b	bAla-vRdDa-Adi-duHKite KDA_52b
   bāhubhyām eva cet tathā KDA_245b	bAhuByAm eva ced taTA KDA_245b
   bāhubhyāṃ kṣatriyaḥ smṛtaḥ KDA_242b	bAhuByAm kzatriyaH smRtaH KDA_242b
   buddhadharmaṃ samaikṣata KDA_317d	budDa-Darmam samEkzata KDA_317d
   buddhavacomṛtaṃ pītvā KDA_482c	budDa-vacaH-mRtam pItvA KDA_482c
   buddhasya vacanaṃ śrutvā KDA_293c	budDasya vacanam SrutvA KDA_293c
   buddhasyopāsakāś ca ye KDA_296b	budDasya-upAsakAH ca ye KDA_296b
   buddhenādvayavādinā KDA_114b	budDena-advaya-vAdinA KDA_114b
   buddho 'pi sa bhaviṣyati KDA_117d	budDaH api sa Bavizyati KDA_117d
   buddho hi jagatāṃ bandhus KDA_425a	budDaH hi jagatAm banDuH KDA_425a
   buddho hi bhagavān nāthaḥ KDA_294a	budDaH hi BagavAn nATaH KDA_294a
   bodhārtham iti tīrthikaiḥ KDA_241b	boDa-arTam iti tIrTikEH KDA_241b
   bodhicittaṃ ca lapsyati KDA_288d	boDi-cittam ca lapsyati KDA_288d
   bodhicitte pralabdhe tu KDA_289a	boDi-citte pralabDe tu KDA_289a
   bodhipadam avāpnuyāḥ KDA_314d	boDi-padam avApnuyAH KDA_314d
   bodhisatvamahāsatvaiḥ KDA_11c	boDisatva-mahA-satvEH KDA_11c
   bodhisatvā mahāsatvā KDA_427a	boDisatvA mahAsatvA KDA_427a
   bodhisatvo 'bhavan nṛpaḥ (Speyer: bhaven) KDA_117b	boDisatvaH aBavat nRpaH (Speyer: Baven) KDA_117b
   bodhisatvo mahāvijño KDA_289c	boDisatvaH mahAvijQaH KDA_289c
   bodhisaṃbhārasādhakāḥ KDA_427b	boDi-saMBAra-sADakAH KDA_427b
   bauddhadharmaparāyaṇāḥ KDA_192b	bOdDa-Darma-parAyaNAH KDA_192b
   brahmacaryam apālayat* KDA_465b	brahmacaryam apAlayat* KDA_465b
   brahmacaryaṃ ca pālitam* KDA_476b	brahmacaryam ca pAlitam* KDA_476b
   brahmacaryaṃ cariṣye 'haṃ KDA_322c	brahmacaryam carizye aham KDA_322c
   brahmacāriñ jinendravat* KDA_298b	brahmacArin jinendravat* KDA_298b
   brahmacārī bhavāmy aham* KDA_340d	brahmacArI BavAmi aham* KDA_340d
   brahmacārī mumoda saḥ KDA_343d	brahmacArI mumoda saH KDA_343d
   brahmajā brāhmaṇā naivaṃ KDA_198c	brahma-jA brAhmaNAH na-evam KDA_198c
   brahmajā brāhmaṇā yadi KDA_249b	brahma-jA brAhmaNAH yadi KDA_249b
   brahmajā yadi sāṃpratam* KDA_199d	brahma-jAH yadi sAMpratam* KDA_199d
   brahmajeṣu hi sarveṣu KDA_133c	brahma-jezu hi sarvezu KDA_133c
   brahmaṇāṃ brahmajā yadi KDA_200d	brahmaNAm brahma-jAH yadi KDA_200d
   brahmadharmasamācārād KDA_189c	brahma-Darma-samAcArAt KDA_189c
   brahmapraṇidhim ālambya KDA_279c	brahma-praNiDim Alambya KDA_279c
   brahmabhaktiparāyaṇāḥ KDA_189b	brahma-Bakti-parAyaNAH KDA_189b
   brahmarṣis tvaṃ bhaveḥ kila KDA_280b	brahmarziH tvam BaveH kila KDA_280b
   brahmalokam avāpnuyāḥ KDA_280d	brahma-lokam avApnuyAH KDA_280d
   brahmavihārasaṃpanno KDA_77c	brahma-vihAra-saMpannaH KDA_77c
   brahma saṃpadyate tadā KDA_273d	brahma saMpadyate tadA KDA_273d
   brahmasṛṣṭisamudbhavam* KDA_130b	brahma-sRzwi-samudBavam* KDA_130b
   brahmahatyā ca bandhūnāṃ KDA_212c	brahmahatyA ca banDUnAm KDA_212c
   brahmā jñānarato yataḥ (Speyer: dhyānarato) KDA_60d	brahmA jQAna-rataH yatas (Speyer: DyAna-rato) KDA_60d
   brahmāṇaṃ ye bhajayanty eva KDA_189a	brahmANam ye Bajayanti eva KDA_189a
   brahmāṇāṃś ca samudbhavāḥ (Speyer:brahmāṇāṃśasamudbhavāḥ) KDA_105b	brahmANAn ca samudBavAH (SpeyeH-:brahmANa-aMSa-samudBavAH) KDA_105b
   brahmāṇotpattir ucyate KDA_104d	brahmANa-utpattiH ucyate KDA_104d
   brāhmaṇabījasaṃbhūtaḥ KDA_123a	brAhmaNa-bIja-saMBUtaH KDA_123a
   brāhmaṇasya ca sā bhāryā KDA_200a	brAhmaNasya ca sA BAryA KDA_200a
   brāhmaṇaḥ patito bhavet* KDA_216d	brAhmaNaH patitaH Bavet* KDA_216d
   brāhmaṇaḥ sa yudhiṣṭhira KDA_259d	brAhmaNaH sa yuDizWira KDA_259d
   brāhmaṇaḥ syād yudhiṣṭhira KDA_260d	brAhmaNaH syAt yuDizWira KDA_260d
   brāhmaṇā api mānavāḥ KDA_218b	brAhmaNAH api mAnavAH KDA_218b
   brāhmaṇā naiva mānuṣāḥ KDA_236d	brAhmaNAH na-eva mAnuzAH KDA_236d
   brāhmaṇā yonito jātāś KDA_137a	brAhmaNAH yonitaH jAtAH KDA_137a
   brāhmaṇā vedapāragāḥ KDA_108d	brAhmaNAH vedapAragAH KDA_108d
   brāhmaṇās te 'pi mānavāḥ KDA_189d	brAhmaNAH te api mAnavAH KDA_189d
   brāhmaṇās te mahāśuddhāś KDA_163c	brAhmaNAH te mahA-SudDAH KDA_163c
   brāhmaṇās te yudhiṣṭhira KDA_267d	brAhmaNAH te yuDizWira KDA_267d
   brāhmaṇāḥ kṣatriyās tathā KDA_169b	brAhmaNAH kzatriyAH taTA KDA_169b
   brāhmaṇāḥ syur narāḥ khalu KDA_233b	brAhmaNAH syuH narAH Kalu KDA_233b
   brāhmaṇāḥ syur narottamāḥ KDA_237b	brAhmaNAH syuH nara-uttamAH KDA_237b
   brāhmaṇāḥ syus tathā narāḥ KDA_233d	brAhmaNAH syuH taTA narAH KDA_233d
   brāhmaṇī kutra saṃbhavā KDA_199b	brAhmaNI kutra saMBavA KDA_199b
   brāhmaṇī kutra saṃbhavā KDA_244b	brAhmaNI kutra saMBavA KDA_244b
   brāhmaṇīgarbhasaṃbhavāḥ KDA_128d	brAhmaNI-garBa-saMBavAH KDA_128d
   brāhmaṇe kṣatriye tathā KDA_202b	brAhmaNe kzatriye taTA KDA_202b
   brāhmaṇe cānyajātau vā KDA_134c	brAhmaNe ca-anya-jAtO vA KDA_134c
   brāhmaṇe cānyajātau vā KDA_134c	brAhmaNe ca-anya-jAtO vA KDA_134c
   brāhmaṇe cānyajātau vā KDA_196c	brAhmaNe ca-anya-jAtO vA KDA_196c
   brāhmaṇo jāyate kharaḥ KDA_112d	brAhmaNaH jAyate KaraH KDA_112d
   brāhmaṇo 'dattam ādāya KDA_114c	brAhmaNaH adattam AdAya KDA_114c
   brāhmaṇo na bhavet khalu KDA_230b	brAhmaNaH na Bavet Kalu KDA_230b
   brāhmaṇo 'pi kriyāhīnaḥ KDA_132c	brAhmaNaH api kriyA-hInaH KDA_132c
   brāhmaṇo 'pi kriyāhīnaḥ KDA_263c	brAhmaNaH api kriyA-hInaH KDA_263c
   brāhmaṇo 'pi bhavec chūdraḥ KDA_214c	brAhmaNaH api Bavet SUdraH KDA_214c
   brāhmaṇo 'pi mṛtotsṛṣṭo KDA_138a	brAhmaNaH api mRta-utsRzwaH KDA_138a
   brāhmaṇo brahmacārāṇāt* KDA_265d	brAhmaNaH brahmacArANAt* KDA_265d
   brāhmaṇo 'smīty ahaṃkāro KDA_90c	brAhmaNaH asmi-iti ahaMkAraH KDA_90c
   brāhmaṇy api tathā caiva KDA_199c	brAhmaNI api taTA ca-eva KDA_199c
   brāhmaṇy api mukhāj jātā KDA_244c	brAhmaNI api muKAt jAtA KDA_244c
   brāhmaṇyasaṃvaraṃ prāptuṃ KDA_74c	brAhmaNya-saMvaram prAptum KDA_74c
   bhakṣitum upacakrame KDA_19d	Bakzitum upacakrame KDA_19d
   bhakṣito 'bhūt sa nāgakaḥ KDA_22d	BakzitaH aBUt sa nAgakaH KDA_22d
   bhakṣyate tena kiṃ na hi KDA_216b	Bakzyate tena kim na hi KDA_216b
   bhakṣyante yena māṃsāni KDA_216a	Bakzyante yena mAMsAni KDA_216a
   bhagavantaṃ mahāsaumyaṃ KDA_305c	Bagavantam mahA-sOmyam KDA_305c
   bhagavān ity udāharat* KDA_458b	BagavAn iti udAharat* KDA_458b
   bhajanti kuladharmiṇaḥ KDA_191b	Bajanti kula-DarmiNaH KDA_191b
   bhadanta śrotum icchāmi KDA_2a	Badanta Srotum icCAmi KDA_2a
   bhavanti nirguṇā janāḥ KDA_345d	Bavanti nirguNAH janAH KDA_345d
   bhavanti brahmacāriṇaḥ KDA_45b	Bavanti brahmacAriNaH KDA_45b
   bhavanto 'sya nu kiṃ nāma KDA_26c	BavantaH asya nu kim nAma KDA_26c
   bhaviṣyati na saṃśayaḥ KDA_289d	Bavizyati na saMSayaH KDA_289d
   bhavec cittaṃ prasāditam* KDA_349d	Bavet cittam prasAditam* KDA_349d
   bhaved āryāpavādakaḥ KDA_407d	Bavet Arya-apavAdakaH KDA_407d
   bhaveyaṃ bauddhasadyatiḥ KDA_466b	Baveyam bOdDa-sadyatiH KDA_466b
   bhaveyaṃ śrāvakottamaḥ KDA_469b	Baveyam SrAvaka-uttamaH KDA_469b
   bhārate 'pi tathā caivaṃ KDA_250a	BArate api taTA ca-evam KDA_250a
   bhārate 'pi tathā proktam KDA_107a	BArate api taTA proktam KDA_107a
   bhāryā dharmānucāriṇī KDA_385b	BAryA Darma-anucAriNI KDA_385b
   bhāryāyā garbham āviśat* KDA_23d	BAryAyAH garBam AviSat* KDA_23d
   bhāvanīyā sadādarāt* KDA_369d	BAvanIyA sat-AdarAt* KDA_369d
   bhāvanīyā sadā maitrī KDA_312a	BAvanIyA sadA mEtrI KDA_312a
   bhikṣavo dhyānasaṃratāḥ KDA_20b	BikzavaH DyAna-saMratAH KDA_20b
   bhikṣavo brahmavādinaḥ KDA_166d	BikzavaH brahma-vAdinaH KDA_166d
   bhikṣāśinaḥ samādhisthās KDA_48c	BikzA-ASinaH samADi-sTAH KDA_48c
   bhikṣāśino vratasthās te KDA_166c	BikzA-ASinaH vrata-sTAH te KDA_166c
   bhikṣāhetor vihartuṃ vā KDA_344c	BikzA-hetoH vihartum vA KDA_344c
   bhikṣāhetoḥ kule kule KDA_346d	BikzA-hetoH kule kule KDA_346d
   bhikṣuṇyupāsikābhiś ca KDA_11a	BikzuNI-upAsikABiH ca KDA_11a
   bhikṣubhiś ca jitendriyaiḥ KDA_10d	BikzuBiH ca jita-indriyEH KDA_10d
   bhikṣuḥ subhūtiḥ sugataprabhāvāt* KDA_324d	BikzuH suBUtiH sugata-praBAvAt* KDA_324d
   bhikṣūṇāṃ brahmacāriṇām* KDA_454b	BikzUNAm brahmacAriNAm* KDA_454b
   bhikṣūṇāṃ brahmacāriṇām* KDA_472d	BikzUNAm brahmacAriNAm* KDA_472d
   bhikṣūn āmantrayāmāsa KDA_452c	BikzUn AmantrayAmAsa KDA_452c
   bhitvā vā pṛthivīṃ jāto KDA_136c	BitvA vA pRTivIm jAtaH KDA_136c
   bhidyante khalu mānavāḥ KDA_226b	Bidyante Kalu mAnavAH KDA_226b
   bhindann avidyādrim ivāṇḍakośaṃ KDA_327 c	Bindan avidyA-adrim iva-aNxakoSam KDA_327 c
   bhinnacitto vikīryate KDA_405b	Binna-cittaH vikIryate KDA_405b
   bhiṣajas te hi vaidyakāḥ KDA_183d	BizajaH te hi vEdyakAH KDA_183d
   bhūtadoṣāṇy abhijñāya KDA_184a	BUta-dozANi aBijQAya KDA_184a
   bhūtapūrvam atīte 'dhvany KDA_460a	BUta-pUrvam atIte aDvani KDA_460a
   bhūtināmnā dvijasyāsau KDA_23c	BUti-nAmnA dvijasya-asO KDA_23c
   bhūtiṃ tam abruvaṃs tathā KDA_27d	BUtim tam abruvan taTA KDA_27d
   bhūtvāraṇāvihāriṇām* KDA_469d	BUtvA-araNa-avihAriNAm* KDA_469d
   bhūmiṣv api na naśyati KDA_479f	BUmizu api na naSyati KDA_479f
   bhedatā ca pravartate KDA_224b	Beda-tA ca pravartate KDA_224b
   bhedatā saṃpravartate KDA_223d	Beda-tA saMpravartate KDA_223d
   bhedā ca saṃprajāyate KDA_223b	BedA ca saMprajAyate KDA_223b
   bhairavabhaktimānasāḥ KDA_190b	BErava-Bakti-mAnasAH KDA_190b
   bhairavikāś ca mānavāḥ KDA_190d	BEravikAH ca mAnavAH KDA_190d
   bhaiṣajyaṃ ye dadanty eva KDA_183c	BEzajyam ye dadantI eva KDA_183c
   bhojayantaḥ parasparam* KDA_440b	BojayantaH parasparam* KDA_440b
   bhautikās te 'pi mānavāḥ KDA_184d	BOtikAH te api mAnavAH KDA_184d
   bhramanti durgatiṣv api KDA_347d	Bramanti durgatizu api KDA_347d
   bhramanti narakeṣu te KDA_332d	Bramanti narakezu te KDA_332d
   bhraṣṭim evam avāpnuyām* KDA_341d	Brazwim evam avApnuyAm* KDA_341d
   bhrātaraḥ sahajāś cāpi KDA_384a	BrAtaraH sahajAH ca-api KDAH-_384a
   bhrāntacitto 'bhavac chivaḥ KDA_393d	BrAnta-cittaH aBavat SivaH KDA_393d
   bhrāmyanti tribhavālaye KDA_100d	BrAmyanti triBava-Alaye KDA_100d
   matvā ca saṃsāragatiṃ vibhaṅginīm* KDA_326b	matvA ca saMsAra-gatim viBaFginIm* KDA_326b
   matsarākrāntacetasaḥ KDA_50b	matsara-AkrAnta-cetasaH KDA_50b
   manasā praṇidhir dadhe KDA_20d	manasA praNiDiH daDe KDA_20d
   manaḥ śamaṃ na gṛhṇāti KDA_370a	manaH Samam na gRhNAti KDA_370a
   manujānāṃ tathā nāsti KDA_147c	manujAnAm taTA na-asti KDA_147c
   manunābhihitaṃ khalu KDA_121d	manunA-aBihitam Kalu KDA_121d
   manuṣyeṣu na vidyate KDA_157d	manuzyezu na vidyate KDA_157d
   manovākkāyavispandaiḥ KDA_415c	manaH-vAc-kAya-vispandEH KDA_415c
   mantrasiddhiprayogavit* KDA_85b	mantra-sidDi-prayoga-vit* KDA_85b
