   bhāmatī	BAmatI
   tasmātpramāṇāntarāpratītamapi tejo 'ntaramalaukikaṃ śabdādupāsyatvena	tasmAt pramANa antara apratItam api tejaH antaram alOkikam SabdAt upAsya tvena
   gamyata iti prāpte ucyate 'brahmaṇyeva hi talliṅgaṃ na tu tejasyalaukike /	gamyate iti prApte ucyate  abrahmaNi eva hi tat liFgam na tu tejasi alOkike /
   tasmānna tadupāsyatve brahma jñeyaṃ tu gamyate //	tasmAt na tad upAsya tve brahma jQeyam tu gamyate //
   ' 'tameva bhāntat'ityatra kimalaukikaṃ tejaḥ kalpayitvā	a atam eva BAnta t aiti atra kim alOkikam tejaH kalpayitvA
   sūryādīnāmanubhānamupapadyatām, kiṃvā 'bhārūpaḥ satyasaṃkalpaḥ'iti	sUrya AdInAm anuBAnam upapadyatAm, kiMvA aBArUpaH satya saMkalpaH aiti
   śrutyantaraprasiddhena brahmaṇo bhānena sūryādīnāṃ bhānamupapādyatāmiti	Sruti antara prasidDena brahmaNaH BAnena sUrya AdInAm BAnam upapAdyatAm iti
   viśaye na śrutasaṃbhave 'śrutasya kalpanā yujyata ityaprasiddhaṃ	viSaye na Sruta saMBave aSrutasya kalpanA yujyate iti aprasidDam
   nālaukikamupāsyaṃ tejo yujyate, api tu śrutiprasiddhaṃ brahmaiva jñeyamiti	na alOkikam upAsyam tejaH yujyate, api tu Sruti prasidDam brahma eva jQeyam iti
   tadetadāha prājña evātmā bhavitumarhati /	tat etat A aha  prAjQaH eva AtmA Bavitum arhati /
   virodhamāha samatvācceti /	viroDa mAha  sama tvAt ca iti /
   nanu svapratibhāne sūryādayaścākṣuṣaṃ tejo 'pekṣante /	nanu sva pratiBAne sUrya AdayaH cAkzuzam tejaH apekzante /
   na hyandhenaite dṛśyante /	na hi anDena ete dRSyante /
   tathā tadeva cākṣuṣaṃ tejo bāhyasauryāditejaḥāpyāyitaṃ rūpādi prakāśayati	taTA tat eva cAkzuzam tejaH bAhya sOrya Adi tejaH ApyAyitam rUpa Adi prakASayati
   nānāpyāyitam, andhakāre 'pi rūpadarśanaprasaṅgādityata āha yaṃ	nAnA ApyAyitam, anDakAre api rUpa darSana prasaFgAt iti atas Aha yam
   bhāntamanubhāyuriti /	BAntam anuBAyuH iti /
   nahi tejontarasya tejo 'ntarāpekṣāṃ vyāsedhāmaḥ, kintu tadbhānamanubhānam	na hi tejontarasya tejaH antara apekzAm vyAseDAmaH, kintu tad BAnam anuBAnam
   naca locanabhānamanubhānti sūryādayaḥ /	na ca locana BAnam anuBAnti sUrya AdayaH /
   tadidamuktam nahi pradīpa iti /	tat idam uktam  nahi pradIpaH iti /
   pūrvapakṣamanubhāṣya vyabhicāramāha yadapyuktamiti /	pUrva pakzam anuBAzya vyaBicAram Aha yat api uktam iti /
   etaduktaṃ bhavati yadi svarūpasāmyābhāvamabhipretyānukāro nirākriyate,	etat uktam Bavati yadi svarUpa sAmya aBAvam aBipretya anukAraH nirAkriyate,
   tadā vyabhāciraḥ /	tadA vyaBAciraH /
   atha kriyāsāmyābhāvaṃ, so 'siddhaḥ /	aTa kriyA sAmya aBAvan, saH asidDaH /
   asti hi vāyurajasoḥ svarūpavisadṛśayorapi niyatadigdeśavahanakriyāsāmyam /	asti hi vAyurajasoH sva rUpa visadRSayoH api niyata diS deSa vahana kriyA sAmyam /
   vanhyayaḥ piṇḍayostu yadyapi dahanakriyā na bhidyate tathāpi dravyabhedena	vanhyayaH piNxayoH tu yadi api dahana kriyA na Bidyate taTA api dravya Bedena
   kriyābhedaṃ kalpayitvā kriyāsādṛśyaṃ vyākhyeyam /	kriyA Bedam kalpayitvA kriyAsAdRSyam vyAKyeyam /
   tadevamanukṛteriti vibhajya tasya ceti sūtrāvayavaṃ vibhajate tasya ceti	tat evam anukRteH iti viBajya tasya ca iti sUtra avayavam viBajata i tasya ca iti
   caturthamiti /	caturTam iti /
   jyotiṣāṃ sūryādīnāṃ brahma jyotiḥprakāśakamityarthaḥ /	jyotizAm sUrya AdInAm brahma jyotiH prakASakam iti arTaH /
   tejo 'ntareṇānindriyabhāvamāpannena sūryāditejo vibhātītyaprasiddham /	tejaH antareNa anindriya BAvam Apannena sUrya Adi tejaH viBAti iti aprasidDam /
   sarvaśabdasya hi svarasato niḥśeṣābhidhānaṃ vṛttiḥ /	sarva Sabdasya hi svarasataH niHSeza aBiDAnam vRttiH /
   sā tejedhātāvalaukike rūpamātraprakāśake saṃkucet /	sA tejeDAtO= alOkike rUpa mAtra prakASake saMkucet /
   brahmaṇi tu niḥśeṣajagadavabhāsake na sarvaśabdasya vṛttiḥ	brahmaNi tu niHSeza jagat avaBAsake na sarva Sabdasya vRttiH
   saṃkucatīti tatraśabdamāharanniti /	saMkucati iti tatra Sabdam Aharan= iti /
   sarvatra khalvayaṃ tatraśabdaḥ pūrvoktaparāmarśī /	sarvatra Kalu ayam tatraSabdaH pUrva ukta parAmarSI /
   'tena raktaṃ rāgāt'ityādāvapi prakṛteḥ parasminpratyayer'thabhede	atena raktam rAgAt aityAdO= api prakRteH parasmin pratyayer aTa Bede
   'nvākhyāyamāne prātipadikapratyarthasya pūrvavṛttatvamastīti teneti	anvAKyAyamAne prAtipadika pratyarTasya pUrva vRtta tvam asti iti tena iti
   tatparāmarśānna vyabhāciraḥ /	tad parAmarSAt na vyaBAciraH /
   tathāca sarvanāmaśrutireva brahmopasthāpayati /	taTA ca sarvanAma SrutiH eva brahma upasTApayati /
   tena bhavatu nāma prakaraṇālliṅgaṃ balīyaḥ, śrutistu liṅgādbalīyasīti	tena Bavatu nAma prakaraNAt liFgam balIyaH, SrutiH tu liFgAt balIyasi iti
   śrautamiha brahmaiva gamyata iti /	SrOtam iha brahma eva gamyate iti /
   api cāpekṣitānapekṣitābhādhānayorapekṣitābhidhānaṃ yuktaṃ,	api ca apekzita anapekzitA BADAnayoH apekzita aBiDAnam yuktaM,
   dṛṣṭārthatvādityāha anantaraṃ ca hiraṇmaye pare kośa iti /	dRzwa arTa tvAt iti Aha anantaram ca hiraNmaye pare koSaH iti /
   asminvākye jyotiṣāṃ jyotirityuktaṃ, tatra kathaṃ tat jyotiṣāṃ	asmin vAkye jyotizAm jyotiH iti uktan, tatra kaTam tat jyotizAm
   jyotirityapekṣāyāmitadamupatiṣṭhate na tatra sūrya iti /	jyotiH iti apekzAya amitadam upatizWate na tatra sUryaH iti /
   svātantryeṇa tūcyamāne 'napekṣitaṃ syādadṛṣṭārthamiti /	svAtantryeNa tu ucyamAne anapekzitam syAt adRzwa arTam iti /
   brahmaṇyapi caiṣāṃ bhānapratiṣedho 'vakalpata iti /	brahmaNi api ca ezAm BAna pratizeDaH avakalpate iti /
   ayamabhiprāyaḥ 'na tatra sūryo bhāti'iti neyaṃ satisaptamī, yataḥ	ayam aBiprAyaH  ana tatra sUryaH BAti aiti na iyam sati saptamI, yatas 
   sūryādīnāṃ tasmin satyabhibhavaḥ pratīyeta /	sUrya AdInAm tasmin sati aBiBavaH pratIyeta /
   api tu viṣayasaptamī /	api tu vizaya saptamI /
   tena na tatra brahmaṇi prakāśayitavye sūryādayaḥ prakāśakatayā bhānti,	tena na tatra brahmaNi prakASayitavye sUrya AdayaH prakASaka tayA BAnti,
   kintu brahmaiva sūryādiṣu prakāśayitavyeṣu prakāśakatvena bhāti /	kintu brahma eva sUrya Adizu prakASayitavyezu prakASaka tvena BAti /
   tacca svayaṃprakāśam,agṛhyo nahi gṛhyata ityādiśrutibhya iti //22//	tat ca svayaMprakASam,a gRhyaH na hi gRhyate ityAdi SrutiByaH iti //22//
   START BsVBh_1,3.6.23	START BsVBh_1,3.6.23
   api ca smaryate | BBs_1,3.23 |	api ca smaryate | BBH _1,3.23 |
   api ca smaryate /	api ca smaryate /
   na tadbhāsayata itibrahmaṇo 'grāhyatvamuktam /	na tat BAsayate iti brahmaNaH agrAhya tvam uktam /
   yadādityagatamityanena tasyaiva grāhakatvamuktamiti //23//	yat A Aditya gatam iti anena tasya eva grAhaka tvam uktam iti //23//
   START BsVBh_1,3.7.24	START BsVBh_1,3.7.24
   śabdād eva pramitaḥ | BBs_1,3.24 |	SabdAt eva pramitaH | BBH _1,3.24 |
   śabdādeva pramitaḥ /	SabdAt eva pramitaH /
   'nāñjasā mānabhedo 'sti parasminmānavarjite /	anAQjasA mAna BedaH asti parasmin mAna varjite /
   bhūtabhavyeśitā jīve nāñjasī tena saṃśayaḥ //	BUta Bavya ISitA jIve na aQjasI tena saMSayaH //
   'kimaṅguṣṭhamātraśrutyanugrahāya jīvopāsanāparametadvākyamastu,	akim aFguzWa mAtra Sruti anugrahAya jIva upAsana aparam etat vAkyam astu,
   tadanurodhena ceśānaśrutiḥ kathañcidvāyākhyāyatām,	tad anuroDena ca ISAna SrutiH kaTaQcid vAya AKyAyatAm,
   āhosvidīśānaśrutyanugrahāya brahmaparametadastu,	Ahosvit ISAna Sruti anugrahAya brahma param etat astu,
   tadanurodhenāṅguṣṭhamātraśrutiḥ kathañcinnīyatām /	tad anuroDena aFguzWa mAtra SrutiH kaTaQcid nIyatAm /
   tatrānyatarasyānyatarānurodhaviṣaye prathamānurodho nyāyya	tatra anyatarasya anyatara anuroDa vizaye praTama anuroDaH nyAyya
   ityaṅguṣṭhaśrutyanurodheneśānaśrutirnetavyā /	iti aFguzWa Sruti anuroDena ISAna SrutiH netavyAH /
   apica yuktaṃ hṛtpuṇḍarīkadaharasthānatvaṃ paramātmānaḥ,	api ca yuktam hRd puNxarIka da hara sTAna tvam paramAtmAnaH,
   sthānabhedanirdeśāt /	sTAna Beda nirdeSAt /
   taddhi tasyopalabdhisthānaṃ, śālagrāma iva kamalanābhasya bhagavataḥ /	tat hi tasya upalabDi sTAnaM, SAlagrAmaH iva kamala nABasya BagavataH /
   naca tathehāṅguṣṭhamātraśrutyā sthānabhedo nirdiṣṭaḥ parimāṇamātranirdeśāt	na ca taTA iha aFguzWa mAtra SrutyA sTAna BedaH nirdizwaH parimANa mAtra nirdeSAt 
   naca 'madhya ātmani'ityatra sthānabhedo 'vagamyate /	na ca amaDyaH Atmani aiti atra sTAna BedaH avagamyate /
   ātmaśabdo hyayaṃ svabhāvavacano vā jīvavacano vā brahmavacano vā syāt /	Atma SabdaH hi ayam svaBAva vacanaH vA jIva vacanaH vA brahma vacanaH vA syAt /
   tatra svabhāvasya svabhavitradhīnanirūpaṇatayā svasya ca	tatra svaBAvasya sva Bavitra DIna nirUpaNa tayA svasya ca
   bhavituranirdeśānna jñāyate kasya madhya iti /	BavituH anirdeSAt na jQAyate kasya maDye iti /
   naca jīvaparayorasti madhyamañjaseti naiṣa sthānanirdeśo vispaṣṭaḥ /	na ca jIva parayoH asti maDyam aQjasA iti na eza sTAna nirdeSaH vispazwaH /
   spaṣṭastu parimāṇanirdeśaḥ /	spazwaH tu parimANa nirdeSaH /
   parimāṇabhedaśca parasminna saṃbhavatīti jīvātmaivāṅguṣṭhamātraḥ /	parimANa BedaH ca parasmin na saMBavati iti jIva AtmA eva aFguzWa mAtraH /
   sa khalvantaḥkaraṇādyupādhikalpito bhāgaḥ paramātmanaḥ /	sa Kalu antaHkaraNa Adi upADi kalpitaH BAgaH paramAtmanaH /
   antaḥkaraṇaṃ ca prāyeṇa hṛtkamalakośasthānaṃ, hṛtkamalakośaśca	antaHkaraNam ca prAyeNa hRd kamala koSa sTAnaM, hRd kamala koSaH ca
   manuṣyāṇāmaṅguṣṭhamātra iti tadavacchinno jīvātmāpyaṅguṣṭhamātraḥ, nabha	manuzyANAm aFguzWa mAtraH iti tad avacCinnaH jIva AtmA api aFguzWa mAtraH, naBa
   iva vaṃśaparvāvacchinnamaratrimātram /	iva vaMSa parva avacCinna mara tri mAtram /
   api ca jīvātmanaḥ spaṣṭamaṅguṣṭhamātratvaṃ smaryate 'aṅguṣṭhamātraṃ	api ca jIva AtmanaH spazwam aFguzWa mAtra tvam smaryate  aaFguzWa mAtram
   puruṣaṃ niśicakarṣa yamo balāt'iti /	puruzam niSicakarza yamaH balAt aiti /
   nahi sarveśasya brahmaṇo yamena balānniṣkarṣaḥ kalpate /	na hi sarva ISasya brahmaNaH yamena balAt nizkarzaH kalpate /
   yamo hi jagau 'hariguruvaśago 'smi na svatantraḥ prabhavati saṃyamane	yamaH hi jagO  ahari guru vaSa gaH asmi na svatantraH praBavati saMyamane
   mamāpi viṣṇuḥ'iti /	mama api vizNuH aiti /
   tenāṅguṣṭhamātratvasya jīve niśchayādāpekṣikaṃ kiñcidbhūtabhavyaṃ prati	tena aFguzWa mAtra tvasya jIve niSCayAt Apekzikam kiQcid BUta Bavyam prati
   jīvasyeśānatvaṃ vyākhyeyam /	jIvasya ISAna tvam vyAKyeyam /
   ' etadvai tat'iti ca pratyakṣajīvarūpaṃ parāmṛśati /	a etat vE tat aiti ca pratyakza jIva rUpam parAmRSati /
   tasmājjīvātmaivātropāsya iti prāptam /	tasmAt jIvAtmA eva atra upAsyaH iti prAptam /
   evaṃ prāpte 'bhidhīyate 'praśnottaratvādīśānaśravaṇasyāviśeṣataḥ /	evam prApte aBiDIyate  apraSna uttara tvAt ISAna SravaNasya aviSezatas /
   jīvasya brahmarūpatvapratyāyanaparaṃ vacaḥ //	jIvasya brahma rUpa tva pratyAyana param vacaH //
   'iha hi bhūtabhavyamātraṃ prati niraṅkuśamīśānatvaṃ pratīyate /	aiha hi BUta Bavya mAtram prati niraFkuSam ISAna tvam pratIyate /
   prāk pṛṣṭaṃ cātra brahma 'anyatra dharmādanyatrādharmāt'ityādinā /	prAk pRzwam ca atra brahma aanyatra DarmAt anyatra aDarmAt aityAdinA /
   tadanantarasya saṃdarbhasya tatprativacanatociteti 'etadvai tat'iti	tad anantarasya saMdarBasya tad prativacana tA ucitA iti aetat vE tat aiti
   brahmābhidhānaṃ yuktam /	brahma aBiDAnam yuktam /
   tathā cāṅguṣṭhamātratayā yadyapi jīve 'vagamyate tathāpi na	taTA ca aFguzWa mAtra tayA yadi api jIve avagamyate taTA api na
   tatparametadvākyaṃ, kintvaṅguṣṭhamātrasya jīvasya	tad param etat vAkyan, kintu aFguzWa mAtrasya jIvasya
   brahmarūpatāpratipādanaparam /	brahma rUpa tA pratipAdana param /
   evaṃ niraṅkuśamīśānatvaṃ na saṃkocayitavyam /	evam niraFkuSam ISAna tvam na saMkocayitavyam /
   naca brahmapraśnottaratā hātavyā /	na ca brahma praSna uttara tA hAtavyAH /
   tena yathā 'tattvamasi'iti vijñānātmanastvaṃpadārthasya taditi	tena yaTA atat tvam asi aiti vijQAna AtmanaH tvaMpadArTasya tat iti
   paramātmanaikatvaṃ pratipādyate, tathehāpyaṅguṣṭhaparimitasya vijñānātmana	paramAtmanA ekatvam pratipAdyate, taTA iha api aFguzWa parimitasya vijQAna Atmana
   īśānaśrutyā brahmabhāvaḥ pratipādya iti yuktam //24//	ISAna SrutyAH brahma BAvaH pratipAdya iti yuktam //24//
   START BsVBh_1,3.7.25	START BsVBh_1,3.7.25
   hṛdyapekṣayā tu manuṣyādhikāratvāt | BBs_1,3.25 |	hRdi apekzayA tu manuzya aDikAra tvAt | BBH _1,3.25 |
   hṛdyapekṣayā tu manuṣyādhikāratvāt /	hRdi apekzayA tu manuzya aDikAra tvAt /
   sarvagatasyāpi parabrahmaṇo hṛdaye 'vasthānamapekṣyetijīvābhiprāyam /	sarva gatasya api para brahmaNaH hRdaye avasTAnam apekzya iti jIva aBiprAyam /
   na cānyaḥ paramātmāna iha grahaṇamarhatīti na jīvaparametadvākyamityarthaḥ	na ca anyaH paramAtmAnaH iha grahaNam arhati iti na jIva param etat vAkyam iti arTaH
   manuṣyāneveti /	manuzyAn eva iti /
   traivarṇikāneva /	trEvarNikAn eva /
   arthitvāditi /	arTi tvAt iti /
   antaḥsaṃjñānāṃ mokṣamāṇānāṃ ca kāmyeṣu karmasvadhikāraṃ	antar saMjQAnAm mokzamANAnAm ca kAmyezu karmasu aDikAram
   niṣedhati śaktatvāditi tiryagdevarṣīṇāmaśaktānāmadhikāraṃ nivartayati /	nizeDati  Sakta tvAt iti tiryak deva RzINAm aSaktAnAm aDikAram nivartayati /
   upanayanādiśāstrāccetiśūdrāṇāmanadhikāritāṃ darśayati /	upanayana Adi SAstrAt ceti SUdrANAm anaDikAritAm darSayati /
   yadapyuktaṃ parimāṇopadeśātsmṛteśceti /	yat api uktam parimANa upadeSAt smRteH ca iti /
   yadyetatparamātmaparaṃ kimiti tarhi jīva ihocyate /	yadi etat paramAtma param kim iti tarhi jIvaH iha ucyate /
   nanu paramātmaivocyatām /	nanu paramAtmA eva ucyatAm /
   ucyate ca jīvaḥ, tasmājjīvaparameveti bhāvaḥ /	ucyate ca jIvaH, tasmAt jIva param eva iti BAvaH /
   pariharati tatpratyucyata iti /	pariharati tat pratyucyate iti /
   jīvasya hi tattvaṃ paramātmabhāvaḥ, tadvaktavyam, naca tajjīvamanabhidhāya	jIvasya hi tattvam paramAtma BAvaH, tat vaktavyam, na ca tad jIvam anaBiDAya
   śakyaṃ vaktumiti jīva ucyata ityarthaḥ //25//	Sakyam vaktum iti jIvaH ucyate iti arTaH //25//
   START BsVBh_1,3.8.26	START BsVBh_1,3.8.26
   tadupary api bādarāyaṇaḥ saṃbhavāt | BBs_1,3.26 |	tad upari api bAdarAyaNaH saMBavAt | BBH _1,3.26 |
   taduparyapi bādarāyaṇaḥ saṃbhavāt /	tad upari api bAdarAyaNaH saMBavAt /
   devarṣīṇāṃ brahmavijñānādhikāracintā samanvayalakṣaṇe 'saṃgatetyasyāḥ	deva RzINAm brahma vijQAna aDikAra cintA samanvaya lakzaNe asaMgata iti asyAH
   prāsaṅgikīṃ saṃgatiṃ darśayituṃ prasaṅgamāha aṅguṣṭhamātraśrutiriti /	prAsaFgikIm saMgatim darSayitum prasaFga mAha aFguzWa mAtraSrutiH iti /
   syādetat /	syAt etat /
   devādīnāṃ vividhavicitrānandabhogabhogināṃ vairāgyābhāvānnārthitvaṃ	deva AdInAm viviDa vicitra Ananda Boga BoginAm vErAgya aBAvAt na arTi tvam
   brahmavidyāyāmityata āha tatrārthitvaṃ tāvanmokṣaviṣayamiti /	brahma vidyAyAm iti atas Aha tatra arTi tvam tAvat mokza vizayam iti /
   kṣayātiśayayogyasya svargādyupabhoge 'pi bhāvādasti vairāgyamityarthaḥ /	kzaya atiSaya yogyasya svarga Adi upaBoge api BAvAt asti vErAgyam iti arTaH /
   nanu devādīnāṃ vigrahādyabhāvendriyārthasaṃnikarṣajāyāḥ	nanu deva AdInAm vigraha Adi aBAva indriya arTa saMnikarza jAyAH
   pramāṇādivṛtteranupapatteravidvattayā sāmarthyābhāvena nādhikāra ityata	pramANa Adi vRtteH anupapatteH avidvat tayA sAmarTya aBAvena na aDikAraH iti ata
   āha tadā sāmarthyamiti teṣāmiti /	Aha tadA sAmarTyam iti tezAm iti /
   yathā ca mantrādibhyastadavagamastathopariṣṭādupapādayiṣyate /	yaTA ca mantra AdiByaH tad avagamaH taTA uparizwAt upapAdayizyate /
   nanu śūdravadupanayanāsaṃbhavenādhyayanābhāvātteṣāmanadhikāra ityata	nanu SUdra vat upanayana asaMBavena aDyayana aBAvAt tezAm anaDikAraH iti ata
   āha na copanayanaśāstreṇeti /	Aha na ca upanayana SAstreNa iti /
   na khalu vidhivat gurumukhādgṛhyamāṇo vedaḥ	na Kalu viDivat guru muKAt gRhyamANaH vedaH
   phalavatkarmabrahmāvabodhahetuḥ, api tvadhyayanottarakālaṃ	Palavat karma brahma avaboDa hetuH, api tu aDyayana uttara kAlam
   nigamaniruktavyākaraṇādividitapadatarthasaṃgateradhigataśābdanyāyatattvasya	nigama nirukta vyAkaraNa Adi vidita pada tarTa saMgateH aDigata SAbda nyAya tattvasya
   puṃsaḥ smaryamāṇaḥ /	puMsaH smaryamANaH /
   sa ca manuṣyāṇāmiha janmanīva devadīnāṃ prāci bhave vidhivadhīta āmnāya	sa ca manuzyANAm iha janmani iva deva dInAm prAci Bave viDivaDIta AmnAya
   iha janmani smaryamāṇaḥ /	iha janmani smaryamANaH /
   ata eva svayaṃ pratibhāto vedaḥ saṃbhavatītyarthaḥ /	atas eva svayam pratiBAtaH vedaH saMBavati iti arTaH /
   naca karmānadhikāre brahmavidyānadhikāro bhavatītyāha yadapi	na ca karma anaDikAre brahma vidyAn aDikAraH Bavati iti Aha yat api
   karmasvanadhikārakāraṇamuktamiti /	karmasu anaDikAra kAraNam uktam iti /
   vasvādīnāṃ hi na vasvādyāntaramasti /	vasu AdInAm hi na vasu Adya antaram asti /
   nāpi bhṛgvādīnāṃ bhṛgvādyantaramasti /	na api BRgu AdInAm BRgu Adi antaram asti /
   prācāṃ vasubhṛguprabhṛtīnāṃ kṣīṇādhikāratvenedānīṃ	prAcAm vasu BRgu praBRtInAm kzINa aDikAra tvena idAnIm
   devarṣitvābhāvādityarthaḥ //26//	deva Rzitva aBAvAt iti arTaH //26//
   START BsVBh_1,3.8.27	START BsVBh_1,3.8.27
   virodhaḥ karmaṇīti cen nānekapratipatter darśanāt | BBs_1,3.27 |	viroDaH karmaNi iti ced na aneka pratipatteH darSanAt | BBH _1,3.27 |
   virodhaḥ karmaṇīti cennānekapratipatterdarśanāt /	viroDaH karmaNi iti ced na aneka pratipatteH darSanAt /
   mantrādipadasamanvayātpratīyamānor'thaḥ pramāṇāntarāvirodhe satyupeyaḥ na	mantra Adi pada samanvayAt pratIya mAnor aTaH pramANa antara aviroDe sati upeyaH na
   tu virodhe /	tu viroDe /
   pramāṇāntaraviruddhaṃ cedaṃ vigrahavattvādi devatāyāḥ /	pramANa antara virudDam ca idam vigrahavat tva Adi devatAyAH /
   tasmāt 'yajamānaḥ prastaraḥ'ityādivadupacaritārtho mantrādirvyākhyeyaḥ /	tasmAt ayajamAnaH prastaraH aityAdi vat upacarita arTaH mantra AdiH vyAKyeyaH /
   tathāca vigrahādyabhāvācchabdopahitārthor'thopahito vā śabdo	taTA ca vigraha Adi aBAvAt Sabda upahita arToH aTa upahitaH vA SabdaH 
   devatetyacetanatvānna tasyāḥ kvacidapyadhikāra iti śaṅkārthaḥ /	devatA iti acetana tvAt na tasyAH kvacid api aDikAraH iti SaFkA arTaH /
   nirākaroti na /	nirAkaroti na /
   kasmāt /	kasmAt /
   anekarūpapratipatteḥ /	aneka rUpa pratipatteH /
   saiva kuta ityata āha darśanātśrutiṣu smṛtiṣu ca /	sA eva kutas iti atas Aha darSanAt Srutizu smRtizu ca /
   tathāhi ekasyānekakāyanirmāṇamadarśanādvā na yujyate, bādhadarśanādvā /	taTA ahi  ekasya aneka kAya nirmANam adarSanAt vA na yujyate, bADa darSanAt vA /
   tatrādarśanamasiddhaṃ, śrutismṛtibhyāṃ darśanāt /	tatra adarSanam asidDaM, Sruti smRtiByAm darSanAt /
   nahi laukikena pramāṇenādṛṣṭatvādāgamena dṛṣṭamadṛṣṭaṃ bhavati, mā	na hi lOkikena pramANena adRzwa tvAt Agamena dRzwam adRzwam Bavati, mA
   bhūdyāgādīnāmapi svargādisādhanatvamadṛṣṭamiti manuṣyaśarīrasya	BUdyAga AdInAm api svarga Adi sADana tvam adRzwam iti manuzya SarIrasya
   mātāpitṛsaṃyogajatvaniyamādasati pitroḥ saṃyoge kutaḥ saṃbhavaḥ, saṃbhave	mAtA pitR saMyoga ja tu aniyamAt asati pitroH saMyoge kutas saMBavaH, saMBave
   vānagnito 'pi dhūmaḥ syāditi bādhadarśanamiti cet /	vA anagnitaH api DUmaH syAt iti bADa darSanam iti ced /
   hanta kiṃ śarīratvena hetunā devādiśarīramapi mātāpitṛsaṃyogajaṃ	hanta kim SarIra tvena hetunA deva Adi SarIram api mAtA pitR saMyoga jam
   siṣādhayiṣasi /	sizA Dayizasi /
   tathā cānekānto hetvābhāsaḥ, svedajodbhijjānāṃ śarīrāṇāmatadbhetutvāt /	taTA ca anekAntaH hetvABAsaH, sveda ja udBid jAnAm SarIrANAm atad Betu tvAt /
   icchāmātranirmāṇatvaṃ dehādīnāmadṛṣṭacaramiti cet, na /	icCA mAtra nirmANa tvam deha AdInAm adRzwa caram iti cet, na /
   bhūtopādānatvenecchāmātranirmāṇatvāsiddheḥ /	BUta upAdAna tvena icCA mAtra nirmANa tva asidDeH /
   bhūtavaśināṃ hi devādīnāṃ nānākāyacikīrṣāvaśādbhūtakriyotpattau bhūtānāṃ	BUta vaSinAm hi deva AdInAm nAnA kAya cikIrzA vaSAt BUta kriyA utpattO BUtAnAm
   parasparasaṃyogena nānākāyamasutpādāt /	paraspara saMyogena nAnA kAyam asutpAdAt /
   dṛṣṭā ca vaśina icchāvaśādvaśye kriyā, yathā viṣavidyāvida icchāmātreṇa	dRzwA ca vaSinaH icCA vaSAt vaSye kriyA, yaTA viza vidyA avidaH icCA mAtreNa
   viṣaśakalapreraṇam /	viza Sakala preraNam /
   naca viṣavidyāvido	na ca viza vidyA vidaH 
   darśanenādhiṣṭhānadarśanādvyavahitaviprakṛṣṭabhūtādarśanāddevādīnāṃ	darSanena aDizWAna darSanAt vyavahita viprakRzwa BUta adarSanAt deva AdInAm
   kathamadhiṣṭhānamiti vācyam /	kaTam aDizWAnam iti vAcyam /
   kācābhrapaṭalapihitasya viprakṛṣṭasya ca bhaumaśanaiścarāderdarśanena	kAca aBra pawala pihitasya viprakRzwasya ca BOmaSanEScara AdeH darSanena
   vyabhācirāt /	vyaBAcirAt /
   asaktāśca dṛṣṭayo devādīnāṃ kācābhrapaṭalādivanmahīmahīdharādibhirna	asaktAH ca dRzwayaH deva AdInAm kAca aBra pawala Adi vat mahI mahIDara AdiBiH na
   vyavadhīyante /	vyavaDIyante /
   na cāsmadādivatteṣāṃ śarīritvena vyavahitāviprakṛṣṭādidarśanāsaṃbhavo	na ca asmad Adi vat tezAm SarIri tvena vyavahita aviprakRzwa Adi darSana asaMBavaH 
   'numīyata iti vācyam, āgamavirodhino 'numānasyotpādāyogāt /	anumIyate iti vAcyam, Agama viroDinaH anumAnasya utpAda ayogAt /
   antardhānaṃ cāñjanādinā manujānāmiva teṣāṃ prabhavatāmupapadyate, tena	antarDAnam ca aQjana AdinA manujAnAm iva tezAm praBavatAm upapadyate, tena
   saṃnihitānāmapi na kratudeśe darśanaṃ bhaviṣyati /	saMnihitAnAm api na kratu deSe darSanam Bavizyati /
   tasmātsūktam anekapratipatteriti tathāhi kati devā ityupakramyeti /	tasmAt sUktam  aneka pratipatteH iti  taTA hi kati devAH iti upakramya iti /
   vaiśvadevaśastrasya hi nividi 'kati devāḥ'ityupakramya nividaivottaraṃ	vESvadeva Sastrasya hi nividi akati devAH aiti upakramya nividA eva uttaram
   dattaṃ śākalyāya yājñavalkyena trayaśca trī ca śatā trayaśca trī ca	dattam SAkalyAya yAjQavalkyena trayaH ca trI ca SatA trayaH ca trI ca
   sahasreti /	sahasra iti /
   vivinnāma śasyamānadevatāsaṃkhyāvācakāni mantrapadāni /	vivinnAma SasyamAna devatA saMKyA vAcakAni mantra padAni /
   etaduktaṃ bhavati vaiśvadevasya nividi kati devāḥ śasyamānāḥ prasaṃkhyātā	etat uktam Bavati vESvadevasya nividi kati devAH SasyamAnAH prasaMKyAtA
   iti śākalyena pṛṣṭe yājñavalkyasyottaraṃ 'trayaśca trī ca śatā'ityādi /	iti SAkalyena pRzwe yAjQavalkyasya uttaran  atrayaH ca trI ca SatA aityAdi /
   yāvatsaṃkhyākā vaiśvadevanividi saṃkhyātā devāsta etāvanta iti /	yAvat saMKyAkAH vESvadeva nividi saMKyAtAH devAH te etAvantaH iti /
   punaśca śākalyena 'katame te'iti saṃkhyeyeṣu pṛṣṭeṣu	punar ca SAkalyena akatame te aiti saMKyeyezu pRzwezu
