   %p. 58	%p. 58
   yady api ca yāgaḥ svayam eva tāvad aniṣpannaḥ, tathāpi	yadi api ca yAgaH svayam eva tAvat anizpannaH, taTA-api
   svasādhananiṣpāditaḥ san sādhayiṣyati |	sva-sADana-nizpAditaH san sADayizyati |
   sarvam eva ca kadācin niṣpannaṃ kadācid aniṣpannam |	sarvam eva ca kadAcid nizpannam kadAcid anizpannam |
   na ca prāk śāstrapravṛtter niṣpattiḥ kvacid upayujyate |	na ca prAk SAstra-pravRtteH nizpattiH kvacid upayujyate |
   phalasiddhikālamātropayogitvāt karaṇaniṣpatteḥ |	Pala-sidDi-kAla-mAtra-upayogi-tvAt karaNa-nizpatteH |
   pramāṇavaśāc ca trikālavartinām api sādhanatvāvirodhaḥ |	pramANa-vaSAt ca tri-kAla-vartinAm api sADana-tva-aviroDaH |
   tasmād yāgādīnāṃ karaṇatvam |	tasmAt yAga-AdInAm karaNa-tvam |
   tac cāpūrvadvāreṇeti tacchabdebhyo 'pūrvapratītiḥ |	tat ca-apUrva-dvAreNa-iti tad-SabdeByaH apUrva-pratItiH |
   tataś caivam api sūtrārthaḥ saṃbhavati---ye bhāvārthā bhāvanāprayojanāḥ	tatas ca-evam api sUtra-arTaH saMBavati----ye BAva-arTAH BAvanA-prayojanAH
   karmaśabdā yajyādayaḥ, tebhyaḥ kriyā pratīyeta---iti |	karma-SabdAH yajyAdayaH, teByaH kriyA pratIyeta----iti |
   nanu coktena karmakaraṇasambandhanyāyena sakarmakadhātuyuktād evākhyātād	nanu ca-uktena karma-karaNa-sambanDa-nyAyena sa-karmaka-DAtu-yuktAt eva-AKyAtAt-
   bhāvanāvagatiḥ prāpnoti |	BAvanA-avagatiH prApnoti |
   tathā hi	taTA hi
   yenepsitatamair bhāvaiḥ kim ity aṃśo 'varudhyate /	yena-IpsitatamEH BAvEH kim iti aMSaH avaruDyate /
   tadyogī tena dhātvartho na kaścit syād akarmakaḥ // 40 //	tad-yogI tena DAtu-arTaH na kaScid syAt akarmakaH // 40 //
   yadi vā sarvadhātūnāṃ sakarmakatvāpattiḥ, atha vākarmakebhyo bhāvanayā na	yadi vA sarva-DAtUnAm sa-karmaka-tva-ApattiH, aTa vA-akarmakeByaH BAvanayA na
   bhavitavyam |	Bavitavyam |
   naiṣa doṣaḥ |	na-eza dozaH |
   kutaḥ |	kutas |
   anyad eva hi dhātvarthprāpyaṃ karma sakarmake /	anyat eva hi DAtvarTprApyam karma sa-karmake /
   %p. 90	%p. 90
   anyad eva ca sarvatra pratyayārthanibandhanam // 41 //	anyat eva ca sarvatra pratyaya-arTa-nibanDanam // 41 //
   odanaṃ pacati, grāmaṃ gacchati iti dhātvarthāpavargalabhyam ekaṃ karma,	odanam pacati, grAmam gacCati iti DAtu-arTa-apavarga-laByam ekam karma,
   aparaṃ punar bhāvanākarma |	aparam punar BAvanA-akarma |
   (1) tatra kadācid dhātvarthakarmaiva bhāvanākarmatvam api pratipadyate	(1) tatra kadAcid DAtu-arTa-karma-eva BAvanA-karma-tvam api pratipadyate
   pākenaudanaṃ bhāvayati iti |	pAkena-odanam BAvayati iti |
   (2) kadācit punaḥ svakarmaviśiṣṭadhātvarthayuktā bhāvanā karmāntareṇa	(2) kadAcid punar sva-karma-viSizwa-DAtu-arTa-yuktA BAvanA karma-antareNa
   yujyate grāmagamanena svārthaṃ bhāvayati, odanapākena ceti |	yujyate grAma-gamanena sva-arTam BAvayati, odana-pAkena ca-iti |
   tac caitad dhātvarthāt paratas tadavāpyamātratvena gamyamānaṃ	tat ca-etat DAtu-arTAt paratas tad-avApya-mAtra-tvena gamyamAnam
   dhātvarthāntatirohitam api bhāvanākarmatayā sarvatrāvadhāryate |	DAtvarTa-anta-tirohitam api BAvanA-karma-tayA sarvatra-avaDAryate |
   tac ca prāyeṇaivaṃkāmaśabdenaiva saṃbandham āpadyate sukhakāma āsīta,	tat ca prAyeNa-evaMkAma-Sabdena-eva saMbanDam Apadyate suKa-kAmaH AsIta,
   svāsthyakāmaḥ śayīta iti |	svAsTya-kAmaH SayIta iti |
   saty api āsiśetyor akarmakatve yaḥ pratyayena karotyartho 'bhihitaḥ,	sati api AsiSetyoH akarmaka-tve yaH pratyayena karoti-arTaH aBihitaH,
   tatkarmatvena svādīny avadhāryante |	tad-karma-tvena svAdIni avaDAryante |
   tena (1) karoteḥ sarvadā sakarmakatvāt,	tena (1) karoteH sarvadA sa-karmaka-tvAt,
   (2) akarmakākhyātānām api ca tatsāmānādhikaraṇyadarśanāt kiṃ karoti āste,	(2) akarmaka-AKyAtAnAm api ca tad-sAmAnADikaraNya-darSanAt kim karoti Aste,
   kiṃ karoti śete iti---siddhaivamādiṣv api sakarmikā bhāvanā |	kim karoti Sete iti---sidDa-evamAdizu api sa-karmikA BAvanA |
   yajer api tu yat karma pūjyatvād devateṣyate /	yajeH api tu yat karma pUjya-tvAt devatA-izyate /
   tadujjhitvaiva putrādeḥ karmatvaṃ bhāvanāśritam // 42 //	tat-ujJitvA-eva putra-AdeH karma-tvam BAvanA-ASritam // 42 //
   tasmāt sakarmakākarmakayor aviśeṣāt āsanena bhāvayet ity api	tasmAt sa-karmakA-karmakayoH aviSezAt Asanena BAvayet iti api
   prayogasiddhiḥ |	prayoga-sidDiH |
   kas tarhi sakarmakākarmakayor bhedaḥ |	kaH tarhi sa-karmakA-karmakayoH BedaH |
   ucyate |	ucyate |
   sākṣād avyabhicāreṇa dhātvartho yatra karmabhāk /	sAkzAt avyaBicAreNa DAtu-arTaH yatra karma-BAj /
   sakarmakaḥ sa dhātuḥ syāt pāraṃparye tv akarmakaḥ // 43 //	sa-karmakaH sa DAtuH syAt pAraMparye tu akarmakaH // 43 //
   %p. 91	%p. 91
   āsanaśayanādīnāṃ hi na niyamenānantaryeṇa vā idam tat iti vā karma	Asana-Sayana-AdInAm hi na niyamena-AnantaryeNa vA idam tat iti vA karma
   nirūpyate, tenākarmakā abhidhīyante |	nirUpyate, tena-akarmakAH aBiDIyante |
   pacigamyādīnāṃ tu viklidyattatsaṃyujyamānasākṣātsaṃbandhikarmāvyabhicārāt	paci-gamyAdInAm tu viklidyat-tat-saMyujyamAna-sAkzAt-saMbanDi-karma-avyaBicArAt
   sakarmakatvam |	sa-karmaka-tvam |
   na tu bhāvanāviśeṣaṇatve kaścid viśeṣaḥ |	na tu BAvanA-viSezaNa-tve kaScid viSezaH |
   seyaṃ bhāvanāṃśadvayaparipūrṇā satī sarvakaraṇānām upāyānanugṛhītānāṃ	sA-iyam BAvanA-aMSa-dvaya-paripUrNA satI sarva-karaNAnAm upAyAn-anugRhItAnAm
   karaṇatvānupapatteḥ kathaṃ bhāvayet itītikartavyatām apekṣate |	karaNa-tva-anupapatteH kaTam BAvayet iti-itikartavyatAm apekzate |
   sā ca pratyakṣādīnām anugrāhakadarśanaśaktyabhāvād atyantaśāstragamyeti	sA ca pratyakza-AdInAm anugrAhaka-darSana-Sakti-aBAvAt atyanta-SAstra-gamya-iti
   yathāsannikarṣaṃ tadasaṃbhavāc ca yathā kathaṃcid upasthāpyamānā	yaTA-sannikarzam tat-asaMBavAt ca yaTA kaTaMcid upasTApyamAnA
   śāstrānusāreṇa śrutyādyupadeśena codanāsāmānyādyatideśena	SAstra-anusAreNa Sruti-Adi-upadeSena codanA-sAmAnyAdi-atideSena
   vātyantādṛṣṭopakāradvāreṇānyathānupapattyā kalpyate |	vA-atyanta-adRzwa-upakAra-dvAreNa-anyaTA-anupapattyA kalpyate |
   tataḥ paripūrṇatvād anuṣṭhātuṃ yogyeti vidhīyate |	tatas paripUrNa-tvAt anuzWAtum yogyA-iti viDIyate |
   tadvidhānāc cārthāpattyā yāgādividhānam---ity upapannaṃ bhāvārthasūtram |	tad-viDAnAt ca-arTa-ApattyA yAga-Adi-viDAnam----iti upapannam BAva-arTa-sUtram |
   %p. 92	%p. 92
   bhavanti kecit karmaśabdāḥ---yāgaḥ yajanam ijyā ity udāhartavye	Bavanti kecid karma-SabdAH---yAgaH yajanam ijyA iti udAhartavye
   tatsāmānādhikaraṇyasiddhaśyenaikatrikādyudāharaṇaṃ	tad-sAmAna-aDikaraNya-sidDa-Syena-eka-trika-Adi-udAharaNam
   yāgādikaraṇatvacodanottarakālabhāvikarmaśabdatvena pāratantryāt sujñānam |	yAga-Adi-karaNa-tva-codana-uttara-kAla-BAvi-karma-Sabda-tvena pAratantryAt su-jQAnam |
   svatantrāṇāṃ kathaṃcid api bhāvārthatvāśaṅkāsaṃbhavāt |	svatantrANAm kaTaMcid api BAva-arTa-tva-ASaFkA-saMBavAt |
   yāgādayo hi svātantryeṇāpi kadācid anumānād bhāvārthāśaṅkāviṣayāḥ syur iti	yAga-AdayaH hi svAtantryeNa-api kadAcid anumAnAt BAva-arTa-ASaFkA-vizayAH syuH iti
   kecid bhāvārthā na karmaśabdāḥ---yathā bhāvayet kuryāt iti codāharaṇam |	kecid BAva-arTAH na karma-SabdAH---yaTA BAvayet kuryAt iti ca-udAharaNam |
   bhūtyādayas tu prayojyavyāpāravacanatvān naiva yathāvarṇitabhāvārthā ity	BUti-AdayaH tu prayojya-vyApAra-vacana-tvAt na-eva yaTA-varNita-BAva-arTAH iti-
   anudāharaṇam |	anudAharaNam |
   tatra yathā kathaṃciṇ ṇijantavyutpattyā bhāvaśabda eko nīyeta, netarau |	tatra yaTA kaTaMcid Nijanta-vyutpattyA BAva-SabdaH ekaH nIyeta, na-itarO |
   tāv api tu prayojyavyāpārāṃśena kathaṃcid bhāvārthāv ity udāhṛtau |	tO api tu prayojya-vyApAra-aMSena kaTaMcid BAva-arTO iti udAhRtO |
   atha vā dvitīyasūtrārthavyākhyānena bhāvanāprayojanatvam	aTa vA dvitIya-sUtra-arTa-vyAKyAnena BAvanA-prayojana-tvam
   aṃśavācitvenāstīti vināpi sakalārthābhidhānād bhavanti bhāvārthāḥ |	aMSa-vAci-tvena-asti-iti vinA-api sakala-arTa-aBiDAnAt Bavanti BAva-arTAH |
   kathaṃ punar amī na karmaśabdāḥ, yadā dhātumātraṃ karmaśabdatvenoktam |	kaTam punar amI na karma-SabdAH, yadA DAtu-mAtram karma-Sabda-tvena-uktam |
   nirviśeṣasya sāmānyasyānuṣṭhātum aśakyatvād akarmaśabdatvam |	nirviSezasya sAmAnyasya-anuzWAtum aSakya-tvAt akarma-Sabda-tvam |
   ato viśeṣavācinām eva dhātūnāṃ karmaśabdatvāśrayaṇād acodyam etat |	atas viSeza-vAcinAm eva DAtUnAm karma-Sabda-tva-ASrayaNAt acodyam etat |
   %p. 93	%p. 93
   yadi hi śyenacitrādarśapaurṇamāsaśabdāḥ phalaiḥ saṃbadhyeran, tato yāgasya	yadi hi Syena-citra-AdarSa-pOrNamAsa-SabdAH PalEH saMbaDyeran, tatas yAgasya
   karaṇatvābhāvāt tatsāmānādhikaraṇyanimittanāmadheyatvānupapatteḥ	karaNa-tva-aBAvAt tad-sAmAnADikaraNya-nimitta-nAmaDeya-tva-anupapatteH
   prasiddhyādibhir guṇavidhitvam eva syāt |	prasidDi-AdiBiH guNa-viDi-tvam eva syAt |
   ataḥ sthita etasminn adhikaraṇe ity āha |	atas sTitaH etasmin aDikaraNe iti Aha |
   kasmāt punar idaṃ tatraiva na nītam |	kasmAt punar idam tatra-eva na nItam |
   pramāṇalakṣaṇenāsaṃbandhāt |	pramANa-lakzaNena-asaMbanDAt |
   atha nāmadheyatvaṃ kasmād atra nānīyate |	aTa nAmaDeya-tvam kasmAt atra na-AnIyate |
   bhedalakṣaṇenāsaṃbandhāt |	Beda-lakzaNena-asaMbanDAt |
   tasmād yathānyāsam eva sthitayor arthāt paurvāparyasiddhiḥ |	tasmAt yaTAnyAsam eva sTitayoH arTAt pOrvAparya-sidDiH |
   na caiṣām arthinā iti phalapadābhiprāyam |	na ca-ezAm arTinA iti Pala-pada-aBiprAyam |
   vivibhaktitvāt iti saṃbandhanimittākhyātavibhaktivigamāt |	viviBakti-tvAt iti saMbanDa-nimitta-AKyAta-viBakti-vigamAt |
   atha vā niṣpannārthābhidhāyisubvibhaktiviśeṣayogo vivibhaktitvam |	aTa vA nizpanna-arTa-aBiDAyi-subviBakti-viSeza-yogaH viviBakti-tvam |
   tasmān na dravyādiśabdānāṃ phalasaṃbandha iti |	tasmAt na dravya-Adi-SabdAnAm Pala-saMbanDaH iti |
   āha ca	Aha ca
   sādhyasādhanasaṃbandhaḥ sarvadā bhāvanāśrayaḥ /	sADya-sADana-saMbanDaH sarvadA BAvanA-ASrayaH /
   tena tasya na siddhiḥ syād bhāvanāpratyayād ṛte // 44 //	tena tasya na sidDiH syAt BAvanA-pratyayAt Rte // 44 //
   sarveṣāṃ bhāvo 'rtha iti cet || Jaim_2,1.2 ||	sarvezAm BAvaH arTaH iti ced || JEm_2,1.2 ||
   na tāvat pratyayasyeṣṭam apūrvapratipādanam /	na tAvat pratyayasya-izwam apUrva-pratipAdanam /
   na ca dhātoḥ svatas tat syān nāmno vā parataḥ samam // 45 //	na ca DAtoH svatas tat syAt nAmnaH vA paratas samam // 45 //
   yadi bhāvanāvacanasyaivāpūrvapratipādakatvam iṣyate dhātor vā	yadi BAvanA-vacanasya-eva-apUrva-pratipAdaka-tvam izyate DAtoH vA
   pratyayanirapekṣasya, tato nāmapakṣo durbalaḥ syāt, iha tu yathaiva dhātoḥ	pratyaya-nirapekzasya, tatas nAma-pakzaH durbalaH syAt, iha tu yaTA-eva DAtoH
   pratyayasaṃbandhānugṛhītasya bhāvanā-	pratyaya-saMbanDa-anugRhItasya BAvanA-
   %p. 94	%p. 94
   nurañjananimittaṃ karaṇavācitvaṃ bhavati, evaṃ nāmapadasyāpīty aviśeṣaḥ |	nuraQjana-nimittam karaNa-vAci-tvam Bavati, evam nAma-padasya-api-iti aviSezaH |
   yeṣām utpattau sve prayoge rūpopalabdhis tāni nāmāni tasmāt tebhyaḥ	yezAm utpattO sve prayoge rUpa-upalabDiH tAni nAmAni tasmAt teByaH
   parākāṃkṣā bhūtatvāt sve prayoge || Jaim_2,1.3 ||	parAka-aMkzA BUta-tvAt sve prayoge || JEm_2,1.3 ||
   yad uktam yadaikasmād apūrvaṃ tadetarat tadarthaṃ bhaviṣyati iti tadgataṃ	yat uktam yadA-ekasmAt apUrvam tadA-itarat tad-arTam Bavizyati iti tad-gatam
   tāvad vastudharmeṇa viśeṣaṃ darśayati |	tAvat vastu-DarmeNa viSezam darSayati |
   katham |	kaTam |
   bahvadṛṣṭaprasaṅgād dhi dharmo neṣṭaḥ pade pade /	bahu-adRzwa-prasaFgAt Di DarmaH na-izwaH pade pade /
   nāmnaḥ phalena saṃbandhe parihāro na tasya ca // 46 //	nAmnaH Palena saMbanDe parihAraH na tasya ca // 46 //
   ekasmād adṛṣṭe kalpite yadītarad dṛṣṭārthatvena tādarthyaṃ bhajate tato	ekasmAt adRzwe kalpite yadi-itarat dRzwa-arTa-tvena tAdarTyam Bajate tatas-
   lāghavaṃ labhyate |	lAGavam laByate |
   atha tu tādarthyasiddhaye tato 'pi punar adṛṣṭaṃ kalpyata eva tato varaṃ	aTa tu tAdarTya-sidDaye tatas api punar adRzwam kalpyate eva tatas varam
   phalenaiva sarvāṇi saṃbaddhāni |	Palena-eva sarvANi saMbadDAni |
   na ca saṃbandhavairūpyakleśāśrayaṇam |	na ca saMbanDa-vErUpya-kleSa-ASrayaNam |
   nāmnaś ca phalasaṃbandhe 'vaśyaṃ dhātvarthas tadanugrahārtho	nAmnaH ca Pala-saMbanDe avaSyam DAtvarTaH tad-anugraha-arTaH-
   'bhyupagantavyaḥ |	aByupagantavyaH |
   sa ca svayaṃ niṣpādyaḥ siddharūpasya nāmārthasya na śaknoti	sa ca svayam nizpAdyaH sidDa-rUpasya nAma-arTasya na Saknoti
   dṛṣṭenopakartum |	dRzwena-upakartum |
   na hi nāmārthas tam apekṣate |	na hi nAma-arTaH tam apekzate |
   śabdaprayogavelāyām eva niṣpannatayā gamyamānatvāt, apekṣaṇīyasya vā	Sabda-prayoga-velAyAm eva nizpanna-tayA gamyamAna-tva-at, apekzaNIyasya vA
   siddhatvenāyogyatvāt |	sidDa-tvena-ayogya-tvAt |
   prayujyate 'smin iti cābhidheya eva prayogaḥ |	prayujyate asmin iti ca-aBiDeyaH eva prayogaH |
   tadādhāraiva hi niṣpannarūpopalabdhiḥ |	tad-ADArA-eva hi nizpanna-rUpa-upalabDiH |
   anutpannatve kriyārūpasya vaktavye vināśitvapradarśanaṃ niṣpannasyāpi	anutpanna-tve kriyA-rUpasya vaktavye vinASi-tva-pradarSanam nizpannasya-api
   %p. 95	%p. 95
   kṣaṇikatvena punaḥ punar niṣpattyapekṣopapatteḥ |	kzaNika-tvena punar punar nizpatti-apekza-upapatteH |
   tebhyaḥ parākāṅkṣā anyākāṅkṣā niṣpādyatvena vā pradhānākāṅkṣā na vidyata	teByaH parAkAFkzA anya-AkAFkzA nizpAdya-tvena vA praDAna-AkAFkzA na vidyata
   ity adhyāhāraḥ |	iti aDyAhAraH |
   atha vā tebhyaḥ parā dūre ākāṅkṣety arthaḥ |	aTa vA teByaH parA dUre AkAFkza-iti arTaH |
   kutaḥ |	kutas |
   bhūtatvāt iti svarūpakathanārtham upanyastaṃ niṣpannatvād eveti punar ante	BUta-tvAt iti svarUpa-kaTana-arTam upanyastam nizpanna-tvAt eva-iti punar ante
   tad eva hetutvenopadiṣṭaṃ sūtrakāreṇa |	tat eva hetu-tvena-upadizwam sUtrakAreNa |
   yeṣāṃ tūtpattāv arthe sve prayogo na vidyate tāny ākhyātāni tasmāt tebhyaḥ	yezAm tu-utpattO arTe sve prayogaH na vidyate tAni AKyAtAni tasmAt teByaH
   pratīyetāśritatvāt prayogasya || Jaim_2,1.4 ||	pratIyeta-ASrita-tvAt prayogasya || JEm_2,1.4 ||
   ākhyātavartī dhātvarthaḥ sādhyarūpaḥ pratīyate /	AKyAta-vartI DAtvarTaH sADya-rUpaH pratIyate /
   tasmin phalavatīṣṭe tu nāmno dṛṣṭārthateṣyate // 47 //	tasmin Palavati-izwe tu nAmnaH dRzwArTatA-izyate // 47 //
   dhātvarthas tāvat prakṛtyaiva sādhyātmakaḥ |	DAtvarTaH tAvat prakRtyA-eva sADya-AtmakaH |
   viśeṣatas tv ākhyātagatena dhātunocyamānaḥ sa yadi phalasādhanatvena	viSezataH tu AKyAta-gatena DAtunA-ucyamAnaH sa yadi Pala-sADana-tvena
   codyate tato 'siddharūpatvāt tasya sādhanākāṅkṣāyāṃ satyāṃ nāmapadaṃ	codyate tatas asidDa-rUpa-tvAt tasya sADana-AkAFkzAyAm satyAm nAma-padam
   guṇavidhitvena nāmadheyatvena vobhayathāpi dṛṣṭenaiva tādarthyaṃ labhate |	guNa-viDi-tvena nAmaDeya-tvena vA-uBayaTA-api dRzwena-eva tAdarTyam laBate |
   nanu nāmadheyapakṣe nāmapadam api sādhyārthaṃ bhaviṣyatīti dhātutulyaṃ	nanu nAmaDeya-pakze nAma-padam api sADya-arTam Bavizyati-iti DAtu-tulyam
   syāt |	syAt |
   na |	na |
   tasya phalasaṃbandhe guṇavidhitvena siddhārthatvāt |	tasya Pala-saMbanDe guNa-viDi-tvena sidDArTa-tvAt |
   api ca	api ca
   %p. 96	%p. 96
   sādhyātmako 'pi dhātvartho yadā nāmnābhidhīyate /	sADya-AtmakaH api DAtu-arTaH yadA nAmnA-aBiDIyate /
   tadā dravyavad evāsau niṣpannātmā pratīyate // 48 //	tadA dravya-vat eva-asO nizpanna-AtmA pratIyate // 48 //
   yady api vastusvarūpeṇa dhātvarthaḥ sādhyaḥ, tathāpi nāmapadenocyamāno	yadi api vastu-sva-rUpeNa DAtu-arTaH sADyaH, taTA-api nAma-padena-ucyamAnaH-
   liṅgasaṃkhyāyogitvāt siddharūpo 'bhidhīyate |	liFga-saMKyA-yogi-tvAt sidDa-rUpaH aBiDIyate |
   abhidhānakṛtā cākāṅkṣotpattir na vastukṛtā |	aBiDAna-kRtA ca-AkAFkza-utpattiH na vastu-kRtAH |
   tasmād yuktā dhātor evākāṅkṣā na nāmna iti |	tasmAt yuktAH DAtoH eva-AkAFkzA na nAmnaH iti |
   kiñ cāśritatvāt prayogasya iti |	kiQ ca-ASrita-tvAt prayogasya iti |
   adhunā śabdapratyāsattikṛto viśeṣo 'bhidhīyate |	aDunA Sabda-pratyAsatti-kRtaH viSezaH aBiDIyate |
   puruṣavyāpārātmikāyāṃ hi bhāvanāyāṃ dhātvarthopaśleṣo 'pi puruṣeṇāśritas	puruza-vyApAra-AtmikAyAm hi BAvanAyAm DAtu-arTa-upaSlezaH api puruzeNa-ASritas
   tadatikramahetvabhāvāc ca na nāmapadagrahaṇam |	tad-atikrama-hetu-aBAvAt ca na nAma-pada-grahaNam |
   tasmād asti viśeṣaḥ |	tasmAt asti viSezaH |
