   Rādhā-kṛṣṇārcana-dīpikā	RADA--kRzNA-arcana-dIpikA
   prākṛta-kāmamayīti | śrī-svāmibhir api vyaktam uktaṃ dvātriṃśe	prAkRta-kAma-mayI-iti | SrI--svAmiBiH api vyaktam uktam dvAtriMSe
   virahālāpa-viklinna-hṛdayo harir iti	viraha-AlApa--viklinna--hRdayaH hariH iti
   sva-premāmṛta-kallola-vihvalī-kṛta-cetasa iti | ataiva	sva--prema-amRta--kallola--vihvalI-kRta-cetasaH iti | ata-eva
   tac-chravaṇa-phala-dvārā tad-arcanasyāvaśyakatāṃ darśayati	tac--SravaNa-Pala-dvArA tat--arcanasya-AvaSyaka-tAm darSayati
   śrīman-munīndraḥ ||	SrIman-muni-indraH ||
   (end page 25)	(end page 25)
   vikrīḍitaṃ vraja-vadhūbhir idaṃ ca viṣṇoḥ	vikrIxitam vraja-vaDUBiH idam ca vizNoH
   śraddhānvito yaḥ śṛṇuyād atha varṇayed vā	SradDA-anvitaH yaH SRNuyAt aTa varNayet vA
   bhaktiṃ parāṃ bhagavati parilabhya kāmaṃ	Baktim parAm Bagavati parilaBya kAmam
   hṛd-rogam āśv apahinoty acireṇa dhīraḥ || (BhP 10.33.42) iti ||84	hRd--rogam ASu apahinoti acireNa DIraH || (Bhj 10.33.42) iti ||84
   atra sva-priyābhiḥ saṃvalitasya śrī-kṛṣṇasya krīḍāyāḥ	atra sva--priyABiH saMvalitasya SrI--kRzNasya krIxAyAH
   śravaṇa-varṇana-mātreṇa bahu-sādhana-duḥsādhyāpi parā bhaktir udayate	SravaNa-varNa-na--mAtreNa bahu--sADana--duHsADya-api parA BaktiH udayate
   udaya-mātreṇa ca hṛd-rogaḥ śīghram apahriyate iti hi spaṣṭam eveti	udaya--mAtreNa ca hRd--rogaH SIGram apahriyate iti hi spazwam eva-iti
   phalātiśaya-kathanena pravartanāt vidhitvam eva sidhyati | yasya parṇamayī	Pala-atiSaya--kaTanena pravartanAt viDi-tvam eva siDyati | yasya parNa-mayI
   juhur bhavati na sa pāpaṃ ślokaṃ śṛṇotītivat | na cādhikārī kaniṣṭha iti	juhuH Bavati na sa pApam Slokam SRNoti-iti-vat | na ca-aDikArI kanizWaH iti
   vācyaṃ dhīra ity uktatvāt |	vAcyam DIraH iti ukta-tvAt |
   atha darśana-mantre nāmāntareṇānirdiśya śrī-vallavīnāṃ nāma viśeṣam	aTa darSana-mantre nAma-antareNa-anirdiSya SrI-vallavInAm nAma viSezam
   ālambyaiva svayaṃ bhagavato nirdeśāt tāsāṃ tat-paricāyakāṅga-rūpatvam eva	AlambyA-eva svayam BagavataH nirdeSAt tAsAm tat--paricAyaka-aFga--rUpa-tvam eva
   bodhitam | gopī-gopa-paśūnāṃ bahiḥ smared asya gīrvāṇa-ghaṭām ity ādi	boDitam | gopI-gopa--paSUnAm bahis smaret asya gIrvANa--GawAm iti Adi
   krama-dīpikāyāṃ (KD 3.32) gautamīya-tantre -	krama-dIpikAyAm (KD 3.32) gOtamIya-tantre -
   navīna-nīrada-śyāmaṃ nālendīvara-locanam |	navIna-nIrada--SyAmam nAla-indIvara--locanam |
   vallavī-nandanaṃ vande kṛṣṇaṃ gopāla-rūpiṇam ||85 ity ādau -	vallavI--nandanam vande kRzNam gopAla--rUpiNam ||85 iti AdO -
   rucirauṣṭha-puṭanyasta-vaṃśī-madhura-niḥsvanaiḥ |	rucira-ozWa--puwa-nyasta-vaMSI--maDura--niHsvanEH |
   lasad-gopālikā-ceto modayantaṃ muhur muhuḥ ||86||	lasad-gopAlikA--cetaH modayantam muhur muhur ||86||
   vallavī-vadanāmbhoja-madhupāna-madhu-vratam |	vallavI--vadana-amBoja--maDu-pAna--maDu-vratam |
   kṣobhayantaṃ manas tāsāṃ susmerāpāṅgavīkṣaṇaiḥ ||87|| (end page 26)	kzoBayantam manaH tAsAm su-smera-apAFga-vIkzaNEH ||87|| (end page 26)
   yauvanodbhinna-dehābhiḥ saṃsaktābhiḥ parasparam |	yOvana-udBinna--dehABiH saMsaktABiH parasparam |
   vicitrāmbara-bhūṣābhir gopa-nārībhir āvṛtam ||87|| iti |	vicitra-ambara--BUzABiH gopa-nArIBiH AvRtam ||87|| iti |
   atra sā tvāṃ brahman nṛpa-vadhūḥ kāmam āśu bhajiṣyatīti [BhP 3.21.28]	atra sA tvAm brahman nRpa-vaDUH kAmam ASu Bajizyati-iti [Bhj 3.21.28]
   kardamaṃ prati śrī-śukla-vacanavac ca gopa-jātibhir nārībhir ity arthaḥ |	kardamam prati SrI--Sukla--vacana-vat ca gopa-jAtiBiH nArIBiH iti arTaH |
   kṣobhayantaṃ mohayantaṃ muhur muhur iti vartamāna-dvaya-prayogena nityam	kzoBayantam mohayantam muhur muhur iti vartamAna--dvaya--prayogena nityam
   eva tad-upāsakaiḥ paṭhyamāna-stavena gopī-kṛṣṇayoḥ nityatvam eva lakṣyate	eva tad--upAsakEH paWyamAna--stavena gopI--kRzNayoH nitya-tvam eva lakzyate
   | sanat-kumāra-kalpe ca gopāṅganā parivṛtaṃ mūle kalpataroḥ sthitam ity	| sanat-kumAra--kalpe ca gopa-aFganA parivRtam mUle kalpa-taroH sTitam iti-
   ādi | rudra-yāmalasya śauri-tantre gopī-go-gopa-vīto	Adi | rudra-yAmalasya SOri-tantre gopI--go-ga-upa-vItaH-
   ruru-nakha-vilasat-kaṇṭha-bhūṣaś ciraṃ naḥ ity ādi | mṛtyu-sañjaya-tantre	ruru-naKa-vilasat--kaNWa-BUzaH ciram naH iti Adi | mRtyu--saQjaya-tantre
   smared vṛndāvane ramye mohayantam anāratam |	smaret vRndAvane ramye mohayantam anAratam |
   vallavī-vallabhaṃ kṛṣṇaṃ gopa-kanyā-sahasraśaḥ || ity ādi |	vallavI--vallaBam kRzNam gopa--kanyA--sahasraSas || iti Adi |
   phullendīvara-kāntim ity ādi evaṃ svāyambhuvāgamādāv api |	Pulla-indIvara--kAntim iti Adi evam svAyamBuva-Agama-AdO api |
   [*NOTE: KK 3.82; KṛṣṇaS 106 (p49fn) attributed to Mṛtyu-sañjaya-tantra.	[*NOTE: KK 3.82; KRzNaH 106 (p49fn) attri-butet taH MRtyu--saQjaya-tantra.
   Padyāvalī 46, attributed to Śaradākara.]	PadyAvalI 46, attri-butet taH Śarada-Akara.]
   punaḥ prativādī prāha bhavatu nāma tāḥ pūjyāḥ | kintu tāsāṃ nāma kutrāpi	punar prativAdI prAha Bavatu nAma tAH pUjyAH | kintu tAsAm nAma kutra-api
   na śrutam | tatrāpi bhaviṣyottare malla-dvādaśī-prasaṅge	na Srutam | tatra-api Bavizya-uttare malla-dvAdaSI--prasaFge
   śrī-kṛṣṇa-yudhiṣṭhira-saṃvāde -	SrI--kRzNa--yuDizWira--saMvAde -
   gopī-nāmāni rājendra prādhānyena nibodha me |	gopI--nAmAni rAja-indra prADAnyena niboDa me |
   gopālī-pālikā dhanyā viśākhā dhyāna-niṣṭhikā |	gopAlI-pAlikA DanyA viSAKA DyAna--nizWikA |
   rādhānurādhā somābhā tārakā daśamī tathā ||89||	rADA-anurADA soma-ABA tArakA daSamI taTA ||89||
   gopālīyaṃ nūnaṃ pādmokta-gāyatrī-carī bhavet | pāliketi saṃjñāyāṃ kaṇa |	gopAlIyam nUnam pAdma-ukta-gAyatrI--carI Bavet | pAlikA-iti saMjQAyAm kaNa |
   daśamī tatheti daśamīty api - (end page 27) nāmaikaṃ tac cānvartham iti	daSamI taTA-iti daSamI-iti api  (end page 27) nAma-ekam tat ca-anvarTam iti
   sarvānte paṭhitam | yad vā tatheti-daśamy api tārakā-nāmnīty arthaḥ |	sarva-ante paWitam | yat vA taTA-iti-daSamI api tArakA--nAmni-iti arTaH |
   tathā skānde prahlāda-saṃhitāyāṃ dvārakā-māhātmye māyāvasaraḥ prastāve	taTA skAnde prahlAda--saMhitAyAm dvArakA--mAhAtmye mAyA-avasaraH prastAve
   uddhava-gamane (12.25-33) lakṣito vācety ādinā lalitā śyāmalā dhanyā	udDava--gamane (12.25-33) lakzitaH vAcA-iti AdinA lalitA SyAmalA DanyA
   viśākhā rādhā śaivyā padmā bhadrā ity etāni aṣṭau gaṇitāni |	viSAKA rADA SEvyA padmA BadrA iti etAni azwO gaNitAni |
   atha vanitā-śata-koṭibhir ākulitam ity āgama-prasiddheḥ |	aTa vanitA-a-Sata--kowiBiH Akulitam iti Agama--prasidDeH |
   vanitā-śata-yūthapa iti śrī-bhagavat-prasiddheḥ | anyāny api	vanitA-a-Sata--yUTapaH iti SrI--Bagavat--prasidDeH | anyAni api
   loka-śāstrayor avagantavyāni |	loka-SAstrayoH avagantavyAni |
   atha śata-koṭitvānyathānupapattyā tāsāṃ tan-mahā-śaktitvam eva gamyate |	aTa Sata--kowi-tvAni-aTa-anupapattyA tAsAm tan--mahA--Sakti-tvam eva gamyate |
   tatrāpi sarvathā śreṣṭhe rādhā-candrāvalīty ubhe | bhaviṣyottare	tatra-api sarvaTA SrezWe rADA--candra-AvalI-iti uBe | Bavizyottare
   somābhā-śabdena candrāvaly eva sūcitā artha-sāmya-prāyāt | yataḥ	soma-ABA--Sabdena candrAvalI eva sUcitAH arTa--sAmya--prAyAt | yatas-
   śrī-rādhayā saha pratiyogitvam aitihyam asyātra virājate |	SrI-rADayA saha pratiyogi-tvam Etihyam asya-atra virAjate |
   tathā ca śrī-bilvamaṅgala-caraṇāḥ -	taTA ca SrI--bilva-maFgala--caraNAH -
   rādhā-mohana mandirād upāgataś candrāvalīm ūcivān	rADA--mohana mandirAt upAgataH candra-AvalIm UcivAn
   rādhe kṣemamayeti tasya vacanaṃ śrutvāha candrāvalī |	rADe kzema-maya-iti tasya vacanam SrutvA-Aha candrAvalI |
   kaṃsa kṣemamaye vimugdha-hṛdaye kaṃsaḥ kva dṛṣṭas tvayā	kaMsa kzema-maye vimugDa--hRdaye kaMsaH kva dRzwaH tvayA
   rādhā kveti vilajjito nata-mukha-smero hariḥ pātu vaḥ ||90||	rADA kva-iti vilajjitaH nata-muKa--smeraH hariH pAtu vaH ||90||
   [*NOTE: This is a well-known verse, but is not in any of the Bilvamangala	[*NOTE: ThiH iH a well-known verse, but iH na-ut id any of Te Bilva-mangala
   collections.]	ca-ullet-tiA-uns.]
   tayor apy ubhayor madhye rādhikā sarvathādhikā |	tayoH api uBayoH maDye rADikA sarvaTA-aDikAH |
   mahābhāva-svarūpeyaṃ guṇair ati-garīyasī ||91||	mahABAva--svarUpA-iyam guNEH ati-garIyasI ||91||
   yathoktaṃ matsya-purāṇe dakṣaṃ prati devī-vacanam -	yaTA-uktam matsya-purANe dakzam prati devI--vacanam -
   rukmiṇī dvāravatyāṃ tu rādhā vṛndāvane vane |	rukmiNI dvAravatyAm tu rADA vRndAvane vane |
   citra-kūṭe tathā sītā vindhye vindhya-nivāsinī |	citra-kUwe taTA sItA vinDye vinDya--nivAsinI |
   devakī mathurāyāṃ ca pātāle parameśvarī || ity ādi | (end page 28)	devakI maTurAyAm ca pAtAle parameSvarI || iti Adi | (end page 28)
   atra rukmiṇī-saha-pāṭhād itthaṃ bodhayati yathā dvārakāyāṃ tasyā eva	atra rukmiNI--saha--pAWAt itTam boDayati yaTA dvArakAyAm tasyAH eva
   sarvathādhikyaṃ tathā śrī-vṛndāvane tasyā iti |	sarvaTA-ADikyam taTA SrI--vRndAvane tasyAH iti |
   svarūpa-śakti-vyūha-rukmiṇī-rādhā-devakīnāṃ māyāṃśa-rūpeṇābheda-kathanaṃ	svarUpa--Sakti-vyUha--rukmiNI-rADA--devakInAm mAyA-aMSa--rUpeNa-aBeda--kaTanam
   tu śaktitva-sādhāraṇyenaiva | yathā jīvātma-paramātmanoś cit-sāmyenaikyaṃ	tu Sakti-tva--sADAraNyena-eva | yaTA jIvAtma--paramAtmanoH cit--sAmyena-Ekyam
   tadvad iti |	tadvat iti |
   atha yathā rukmiṇī-kṛṣṇayoḥ paraspara-śobhitvaṃ śrī-śukena varṇitam -	aTa yaTA rukmiNI--kRzNayoH paraspara--SoBi-tvam SrI-Sukena varNitam -
   asyaiva bhāryā bhavitum ity ādināṃ [BhP 10.53.37] tathaiva rādhā-kṛṣṇayor	asya-eva BAryA Bavitum iti AdinAm [Bhj 10.53.37] taTA-eva rADA--kRzNayoH-
   api ṛk-pariśiṣṭe śrutyā varṇitam rādhayā mādhavo devo mādhavenaiva rādhikā	api Rk--pariSizwe SrutyA varNitam rADayA mADavaH devaH mADavena-eva rADikA
   vibhrājante janeṣv ā iti | vibhrājante vibhrājate ā samyak iti	viBrAjante janezu A iti | viBrAjante viBrAjate A samyak iti
   śruti-padārthaḥ | darśitaṃ ca tasyāḥ svarūpaṃ bṛhad-gautamīye baladevaṃ	Sruti--padArTaH | darSitam ca tasyAH svarUpam bRhat--gOtamIye baladevam
   prati śrī-kṛṣṇena -	prati SrI-kRzNena -
   sattvaṃ tattvaṃ paratvaṃ ca tattva-trayam ahaṃ kila |	sattvam tattvam paratvam ca tattva-trayam aham kila |
   tritattva-rūpiṇī sāpi rādhikā mama vallabhā ||93||	tri-tattva--rUpiNI sA-api rADikA mama vallaBAH ||93||
   prakṛteḥ para evāhaṃ sāpi mac-chakti-rūpiṇī |	prakRteH paraH eva-aham sA-api mac--Sakti-rUpiNI |
   sāttvikaṃ rūpam āsthāya pūrṇo 'haṃ brahma cit-paraḥ ||94||	sAttvikam rUpam AsTAya pUrNaH aham brahma cit--paraH ||94||
   brahmaṇā prārthitaḥ samyak sambhavāmi yuge yuge |	brahmaNA prArTitaH samyak samBavAmi yuge yuge |
   tvayā sārdhaṃ tayā sārdhaṃ nāśāya devatādruhām ||95|| iti |	tvayA sArDam tayA sArDam nASAya devatA-druhAm ||95|| iti |
   atra sattvaṃ kāryatvaṃ tattvaṃ kāraṇatvaṃ paratvaṃ tato 'pi śraiṣṭhyaṃ yat	atra sattvam kArya-tvam tattvam kAraNa-tvam paratvam tatas api SrEzWyam yat-
   tattva-trayaṃ tad aham ity arthaḥ tathaiva bodhayati tathaivāgre	tattva--trayam tat aham iti arTaH taTA-eva boDayati taTA-eva-agre
   dhyāna-prasaṅge -	DyAna--prasaFge -
   devasyābheda-rūpeṇa tapta-hema-sama-prabhām |	devasya-aBeda--rUpeNa tapta--hema--sama--praBAm |
   rakta-vastra-parīdhānāṃ raktālaṅkāra-bhūṣitām ||96|| (end page 29)	rakta-vastra--parIDAnAm rakta-alaFkAra--BUzitAm ||96|| (end page 29)
   śrī-rādhāṃ vāma-bhāge tu pūjayed bhakti-tat-paraḥ |	SrI--rADAm vAma-BAge tu pUjayet Bakti-tat--paraH |
   devī kṛṣṇamayī proktā rādhikā para-devatā ||97||	devI kRzNa-mayI proktA rADikA para-devatA ||97||
   varābhaya-karā dhyeyā sevitā sarva-devataiḥ |	vara-aBaya-karA DyeyA sevitA sarva-devatEH |
   sarva-lakṣmī-mayī sarva-kāntiḥ sammohinī parā ||98||	sarva-lakzmI--mayI sarva-kAntiH sammohinI parA ||98||
   atra pūjayed iti kaṇṭhoktir eva | evam agre 'pi mṛtyu-sañjaya-tantre -	atra pUjayet iti kaNWa-uktiH eva | evam agre api mRtyu--saQjaya-tantre -
   pīta-vastra-parīdhānāṃ vaṃśa-yukta-karāmbujām |	pIta-vastra--parIDAnAm vaMSa--yukta--kara-ambujAm |
   kaustubhoddīpta-hṛdayāṃ vanamālā-vibhūṣitām |	kOstuBa-uddIpta--hRdayAm vanamAlA--viBUzitAm |
   śrīmat-kṛṣṇāṅghri-palyaka-nilayāṃ parameśvarīm ||99|| ity ādi |	SrImat--kRzNa-aFGri--palya-ka-nilayAm parameSvarIm ||99|| iti Adi |
   yathā -	yaTA -
   sarva-lakṣmī-mayīṃ devīṃ paramānanda-nanditām |	sarva-lakzmI--mayIm devIm parama-Ananda-nanditAm |
   rāsotsava-priyāṃ rādhāṃ kṛṣṇānanda-svarūpiṇīm |	rAsa-utsava--priyAm rADAm kRzNa-Ananda--svarUpiNIm |
   bhaje cidamṛtākāra-pūrṇānanda-mahodadhim ||100|| iti |	Baje cit-amRta-AkAra--pUrNa-Ananda--mahA-udaDim ||100|| iti |
   dhyātvety-ādi-sammohana-tantre - cintayed rādhikāṃ devīṃ	DyAtvA-iti--Adi-sammoha-na-tantre  cintayet rADikAm devIm
   gopa-gokula-saṅkulām ity ādi ca | asyāḥ śreṣṭhatvam ādi-vārāhe	gopa-go-kula--saFkulAm iti Adi ca | asyAH SrezWa-tvam Adi-vArAhe
   kaṭira-parivartanyāṃ govardhana-parikrame tat-kuṇḍa-prasaṅge yathā -	kawira-parivartanyAm govarDana--parikrame tat--kuNxa--prasaFge yaTA -
   gaṅgāyāś cottaraṃ gatvā deva-devasya cakriṇaḥ |	gaFgAyAH ca-uttaram gatvA deva-devasya cakriNaH |
   ariṣṭena samaṃ tatra mahad yuddhaṃ pravartitam ||101||	arizwena samam tatra mahat yudDam pravartitam ||101||
   ghātayitvā tatas tasminn ariṣṭaṃ vṛṣa-rūpiṇam |	GAtayitvA tatas tasmin arizwam vRza--rUpiNam |
   kopena pārṣṇi-ghātena mahā-tīrthaṃ prakalpitam ||102||	kopena pArzNi--GAtena mahA--tIrTam prakalpitam ||102||
   snātas tatra tadā hṛṣṭo vṛṣaṃ hatvā sa-gopakaḥ |	snAtaH tatra tadA hRzwaH vRzam hatvA sa-gopakaH |
   vipā mā (?) rādhikāṃ prāha kathaṃ bhadre bhaviṣyati ||103||	vipAH mA (?) rADikAm prAha kaTam Badre Bavizyati ||103||
   tatra rādhā samāśliṣya kṛṣṇam akliṣṭa-kāriṇam |	tatra rADA samASlizya kRzNam aklizwa-kAriNam |
   sva-nāmnā viditaṃ kuṇḍaṃ kṛtaṃ tīrtham adūrataḥ ||104|| (end page 30)	sva-nAmnA viditam kuNxam kRtam tIrTam adUrataH ||104|| (end page 30)
   rādhā-kuṇḍam iti khyātaṃ sarva-pāpa-haraṃ śubham |	rADA--kuNxam iti KyAtam sarva-pApa--haram SuBam |
   ariṣṭahan rādhā-kuṇḍa-snānāt phalam avāpyate ||105||	arizwahan rADA--kuNxa--snAnAt Palam avApyate ||105||
   rājasūyāśvamedhābhyāṃ nātra kāryā vicāraṇā |	rAjasUya-aSvameDAByAm na-atra kAryA vicAraNA |
   go-hatyā-brahma-hatyādi pāpaṃ kṣipraṃ praṇaśyati ||106|| iti |	go-hatyA-brahma-hati-A-Adi pApam kzipram praNaSyati ||106|| iti |
   atra satīṣv api sarvāsu tāsu asyā eva tena saha	atra satIzu api sarvAsu tAsu asyAH eva tena saha
   tādṛśa-prema-vyavahāreṇotkarṣāvagamāt śreṣṭhatvam āyātam | tathā	tAdRSa--prema--vyavahAreNa-utkarza-a=-agamAt SrezWa-tvam AyAtam | taTA
   vrata-ratnākara-dhṛta-bhaviṣya-purāṇe ca -	vrata-ratna-Akara--DRta-Bavizya-purANe ca -
   bālye 'pi bhagavān kṛṣṇas taruṇaṃ rūpam āśritaḥ |	bAlye api BagavAn kRzNaH taruNam rUpam ASritaH |
   reme vihārair vividhaiḥ priyayā saha rādhayā ||	reme vihArEH viviDEH priyayA saha rADayA ||
   ekadā kārttike māsi paurṇamāsyāṃ mahotsavaḥ |	ekadA kArttike mAsi pOrNamAsyAm mahA-utsavaH |
   āsīn nanda-gṛhe ity ādau	AsIt nanda-gRhe iti AdO
   tasmin dine ca bhagavān rātrau rādhā-gṛhaṃ yayau |	tasmin dine ca BagavAn rAtrO rADA--gRham yayO |
   sā ca kruddhā tam udare kāñcī-dāmnā babandha ha ||108||	sA ca krudDA tam udare kAQcI-dAmnA babanDa ha ||108||
   kṛṣṇas tu sarvam āvedya nija-geha-mahotsavam |	kRzNaH tu sarvam Avedya nija--geha--mahA-utsavam |
   priyāṃ prasādayāmāsa tataḥ sā tam avocayat ||109||	priyAm prasAdayAmAsa tatas sA tam avocayat ||109||
   idaṃ covāca tāḥ kṛṣṇaḥ preyasī prīta-mānasaḥ |	idam ca-uvAca tAH kRzNaH preyasI prIta-mAnasaH |
   kāñcī-dāma tvayā tanvi udare yan mayārpitam ||110||	kAQcI--dAma tvayA tanvi udare yat mayA-arpitam ||110||
   dāmodareti me nāma priyaṃ tena śubhānane |	dAmodara-iti me nAma priyam tena SuBa-Anane |
   nātaḥ prītikaraṃ nāma mama lokeṣu vidyate ||111||	na-atas prIti-karam nAma mama lokezu vidyate ||111||
   nityam etat prajāpatyāṃ sarva-siddhir bhaviṣyati |	nityam etat prajApatyAm sarva-sidDiH Bavizyati |
   bhaktiṃ ca durlabhāṃ prāpya mama loke mahīyate ||112||	Baktim ca durlaBAm prApya mama loke mahIyate ||112||
   ulūkhale yadā mātrā baddho 'haṃ bhavitā priye | (end page 31)	ulUKale yadA mAtrA badDaH aham BavitA priye | (end page 31)
   udare dāmabhir loke tadā vyaktaṃ bhaviṣyati ||113||	udare dAmaBiH loke tadA vyaktam Bavizyati ||113||
   anena nāma-mantreṇa yo 'smin māsi tvayā saha |	anena nAma--mantreNa yaH asmin mAsi tvayA saha |
   mām arcayed vidhānena sa labhet sarva-vāñchitam ||114|| iti |	mAm arcayet viDAnena sa laBet sarva--vAQCitam ||114|| iti |
   atrāpi priyayā saha rādhayā iti śrī-kṛṣṇecchayā śrī-kṛṣṇavad bālye 'pi	atra-api priyayA saha rADayA iti SrI--kRzNa-icCayA SrI-kRzNa-vat bAlye api
   āviṣkṛta-nava-yauvanam eva iti jñeyam |	AvizkRta-nava--yOvanam eva iti jQeyam |
   tata ārabhya nandasya vrajaḥ sarva-samṛddhimān |	tatas AraBya nandasya vrajaH sarva--samRdDimAn |
   harer nivāsātma-guṇai ramākrīḍam abhūn nṛpa ||115|| (BhP 10.5.18)	hareH nivAsa-Atma-guNEH ramAkrIxam aBUt nRpa ||115|| (Bhj 10.5.18)
   ity anena śrī-kṛṣṇa-prādurbhāvānantaraṃ tasām āvirbhāva-kathanāt | tatrāpi	iti anena SrI--kRzNa--prAdurBAva-anantaram tasAm AvirBAva--kaTanAt | tatra-api
   śrṣṭhatvaṃ pūrvavaj jñeyam | tatra tādṛśa-bhāvair varṇanaṃ tasyāḥ	SrzWa-tvam pUrvavat jQeyam | tatra tAdRSa--BAvEH varNanam tasyAH
   śrī-śukadevenāpi kṛtam |	SrI--Suka-devena-api kRtam |
   ekā bhrū-kuṭim ābaddhya prema-saṃrambha-vihvalā |	ekA BrU-kuwim AbadDya prema--saMramBa--vihvalA |
   ghnatīvaikṣat kaṭākṣepaiḥ sandaṣṭa-daśana-cchadā ||116|| (BhP 10.32.6)	Gnati-iva-Ekzat kawAkzepEH sandazwa--daSana--cCadAH ||116|| (Bhj 10.32.6)
   ity anena ekāmukhyā eke mukhyāny akevalā ity amaraḥ | evaṃ	iti anena ekAmuKyAH eke muKyAni akevalAH iti amaraH | evam
   śrīmad-gopāla-tapanyāṃ yad gāndharvīti viśrutā sā tu saiva jñeyā | tasyā	SrImat--gopAla-tapanyAm yat gAnDarvI-iti viSrutA sA tu sA-eva jQeyA | tasyAH-
   evaṃ mukhyatvā̆di-liṅgena sarvatra cāvagamāt | ataiva	evam muKya-tvĂ-di-liFgena sarvatra ca-avagamAt | ata-eva
   śrī-rādhā-saṃvalita-dāmodara-pūjā kārttike vihitā |	SrI--rADA--saMvalita-dAmodara--pUjA kArttike vihitA |
   śrī-kṛṣṇa-satyabhāmā-saṃvādīye kārttika-māhātmye ca	SrI--kRzNa--satyaBAmA--saMvAdIye kArttika-mAhAtmye ca
   prātaḥ-snāna-saṅkalpa-mantraṃ -	prAtar---snAna--saFkalpa--mantram -
   kārttike 'haṃ kariṣyāmi prātaḥ-snānaṃ janārdana |	kArttike aham karizyAmi prAtar---snAnam janArdana |
   prīty-arthaṃ tava deveśa dāmodara mayā saha ||117|| [HBV 16.172] [*NOTE:	prIti--arTam tava deveSa dAmodara mayA saha ||117|| [HBV 16.172] [*NOTE:
   Alternative numbering 16. 84]	AlteH-native numbering 16. 84]
   atra mā-sabda-prayogaḥ | tasyāḥ parama-lakṣmī-rūpatvāt | (end page 32)	atra mA--sabda--prayogaH | tasyAH param-a-lakzmI--rUpa-tvAt | (end page 32)
   arghya-dāna-mantre ca sākṣāt tan-nāmokteḥ | yathā -	arGya-dAna--mantre ca sAkzAt tan-nAma-ukteH | yaTA -
   vratinaḥ kārttike māsi snānasya vidhivan mama |	vratinaH kArttike mAsi snAnasya viDivat mama |
   dāmodara gṛhānārghyaṃ danujendra-nisūdana ||118||	dAmodara gRhAn-ArGyam danuja-indra-nisUdana ||118||
   nitye naimittike kṛtsne kārttike pāpa-śoṣaṇe |	nitye nEmittike kRtsne kArttike pApa--SozaNe |
   gṛhānārghyaṃ mayā dattaṃ rādhayā sahito hare ||119|| [HBV 16.174-175]	gRhAn-ArGyam mayA dattam rADayA sahitaH hare ||119|| [HBV 16.174-175]
   iti yugmatvena upādānāt tasyā eva śreṣṭhatvam | tad-yugalopāsanāyāṃ	iti yugma-tvena upAdAnAt tasyAH eva SrezWa-tvam | tad--yugala-upAsanAyAm
   bhaviṣya-purāṇa-vacanaṃ darśitam eva | tathā daśādhyāyi-kārttika-māhātmyaṃ	Bavizya-purANa--vacanam darSitam eva | taTA daSa-aDyAyi-kArttika--mAhAtmyam
   cen nūnaṃ pādmānugataṃ syāt tarhi tatra tad-yugalo pāsanaṃ prakaṭataram	ced nUnam pAdma-anugatam syAt tarhi tatra tad--yugalaH pAsanam prakawataram
   eveti | tathā vāsanā-bhāṣyotthāpita āgneya-vacane 'pi tasyāḥ śreṣṭhatvam |	eva-iti | taTA vAsanA--BAzya-utTApitaH Agneya--vacane api tasyAH SrezWa-tvam |
   yathā -	yaTA -
   gopyaḥ papracchur uṣasi kṛṣṇānucaram uddhavam |	gopyaH papracCuH uzasi kRzNa-anucaram udDavam |
   hari-līlā-vihārāṃś ca tatraikāṃ rādhikāṃ vinā |	hari--lIlA--vihArAn ca tatra-ekAm rADikAm vinA |
   rādhā tad-bhāva-saṃlīnā vāsanāyā virāmitā ||120|| ity ādi |	rADA tad--BAva--saMlInAH vAsanAyA virAmitA ||120|| iti Adi |
   atra tad-bhāva-saṃlīnā ity anena divyonmāda-maya-vacanaṃ madhupa	atra tad--BAva--saMlInAH iti anena divya-unmAda-maya-vacanam maDupa
   kitava-bandho ity ādikaṃ tasyā eveti vijñāpya sarvāsu gopīṣu tasyāḥ	kitava--banDaH iti Adikam tasyAH eva-iti vijQApya sarvAsu gopIzu tasyAH
   śreṣṭhyaṃ darśitam | yuktaṃ ca tat tu yataḥ | śrī-kṛṣṇānveṣakartrīṇāṃ	SrezWyam darSitam | yuktam ca tat tu yatas | SrI--kRzNa-anveza-kartrINAm
   tāsāṃ tām evoddhiśya tad idaṃ vacanaṃ śrūyate yathā -	tAsAm tAm eva-udDiSya tat idam vacanam SrUyate yaTA -
   anayārādhito nūnaṃ bhagavān harir īśvaraḥ	anayA-ArADitaH nUnam BagavAn hariH ISvaraH
   yan no vihāya govindaḥ prīto 'yam anayad rahaḥ ||121|| (BhP 10.30.28)	yat naH vihAya govindaH prItaH ayam anayat rahaH ||121|| (Bhj 10.30.28)
   apy eṇapatny upagataḥ priyayeha gātrais	api eNa-patnI upagataH priyayA-iha gAtrEH-
   tanvan dṛśāṃ sakhi sunirvṛtim acyuto vaḥ |	tanvan dRSAm saKi su-nirvRtim acyutaH vaH |
   kāntāṅga-saṅga-kuca-kuṅkuma-rañjitāyāḥ	kAnta-aFga---saFga-kuca-kuFkuma--raQjitAyAH
   kundasrajaḥ kulapater iha vāti gandhaḥ ||122|| (BhP 10.30.11)	kunda-srajaH kula-pateH iha vAti ganDaH ||122|| (Bhj 10.30.11)
   (end page 33)	(end page 33)
   bāhuṃ priyāṃsa upadhāya gṛhītapadmo	bAhum priyAMsaH upaDAya gRhIta-padmaH-
