   // Daśabhūmikasūtram //	// DaSa BUmika sUtram //
   kriyāvirodhau /	kriyA viroDO /
   yāthāvataḥ karakapetakriyāṃ viditvā vicinanti saṃskṛta ghanābhrasamaṃ	yATAvataH karaka peta kriyAm viditvA vicinanti saMskRta Gana aBra samam
   nirīham // 14//	nirIham // 14//
   satyeṣu 'jñānu paramārthatu sā avidyā karmā ca cetanabalena vibhāgaprāptam	satyezu ajQAnu paramArTa tu sA avidyA karmA ca cetana balena viBAga prAptam
   cittaṃ niśritya sahajaṃ puna nāmarūpam evaṃmukhā bhavati yāva dukhasya	cittam niSritya sahajam puna nAma rUpam evaMmuKA Bavati yAva duKasya
   skandhaḥ // 15 //	skanDaH // 15 //
   te cittamātra ti traidhātukamotaranti api cā bhavāṅga iti dvādaśa ekacitte	te citta mAtra ti trEDAtukamotaranti api cA Bava aFgaH iti dvAdaSa ekacitte
   (Dbh 88)	(DB 88)
   saṃrāgu jātu api cittu prabhāvitastu evaṃ ca saṃbhavakṣayaṃ puna	saMrAgu jAtu api cittu praBAvitaH tu evam ca saMBava kzayam puna
   cittabhāgam // 16 //	citta BAgam // 16 //
   kāryaṃ avidyadvaya kurvati mohabhāve mohebhi hetu vahate puna cetanāyāḥ /	kAryam avidya dvaya kurvati moha BAve moha iBi hetu vahate puna cetanAyAH /
   evaṃ ca yāva jaradhvaṃsanaskandhabhedam anu sarva duḥkhaprabhavaṃ kṣayataḥ	evam ca yAva jara DvaMsana skanDa Bedam anu sarva duHKa praBavam kzayataH
   abhāvaḥ // 17 //	aBAvaH // 17 //
   ucchedu no bhavati pratyayatāmavidyā nocchedyatāpi kara prahāya	ucCedu naH Bavati pratyaya tAm avidyA na ucCedya tA api kara prahAya
   saṃnirodham /	saMniroDam /
   moho teṣu ca upādānaṃ kleśavartma karma bhavaṃ ca api cetana śeṣa duḥkhā	mohaH tezu ca upAdAnam kleSa vartma karma Bavam ca api cetana Seza duHKA
   mohaṃ tu āyatana saṃskṛtaduḥkha teṣāṃ sparśaṃ ca vedana sukhādukhatāya	moham tu Ayatana saMskRta duHKa tezAm sparSam ca vedana suKAt uKa tAya
   duḥkhā /	duHKAH /
   śeṣānamaṅganapariṇāmaduḥkhavṛddhiḥ vyuccheda tasya duḥkhatā na hi	SezAnam aFgana pariNAma duHKa vRdDiH vyucCeda tasya duHKa tA na hi
   ātmamasti // 19 //	Atmam asti // 19 //
   adhveṣu pūrvaṃ tamacetanasaṃskṛtasya vijñāna vedana vivartati	aDvezu pUrvam tam acetana saMskRtasya vijQAna vedana vivartati
   pratyutpannam	pratyutpannam
   aparāntu teṣu prabhavo dukhasaṃbhaveyam āpekṣa cchedu prasaraṃ ca	aparAntu tezu praBavaH duKa saMBaveyam Apekza cCedu prasaram ca
   nirīkṣayantaḥ // 20 //	nirIkzayantaH // 20 //
   mohasya pratyayatu saṃbhavate vibandhā vinibandhanavyayakṣaye sati	mohasya pratyayatu saMBavate vibanDAH vinibanDana vyaya kzaye sati
   pratyayānām /	pratyayAnAm /
   hetośca mūlaprabhavaṃ na tu hetubhedaṃ vyuparīkṣate ca jina jñāna	hetoH ca mUlapraBavam na tu hetu Bedam vyuparIkzate ca jina jQAna
   svabhāvaśūnyam // 21 //	svaBAva SUnyam // 21 //
   anuloma mohaprabhavaṃ ca prabhāvataśca pratilomahetu kṣayato bhava	anuloma moha praBavam ca praBAvataH ca pratiloma hetu kzayataH Bava
   sarvacchedyam /	sarva= Cedyam /
   gambhīrapratyayatamasya sato 'sataśca vyuparīkṣate daśavidhaṃ	gamBIra pratyayatamasya sataH asataH ca vyuparIkzate daSaviDam
   aniketabuddhiḥ // 22 //	aniketa budDiH // 22 //
   saṃdhī bhavāṅgatu tathāpi ca karmasthānam avibhāgatastrividhu vartmani	saMDI Bava aFgatu taTA api ca karma sTAnam aviBAgataH triviDu vartmani
   pūrvataśca /	pUrvatas ca /
   triyahetu duḥkhavibhavā udaya vyayaṃ ca abhāvato 'kṣayata pratyaya	triya hetu duHKa viBavAH udaya vyayam ca aBAvataH akzayata pratyaya
   ānulomam // 23 //	Anulomam // 23 //
   evaṃ pratītyasamutpāda samotaranti māyopamaṃ vitatha vedakarmāpanītam /	evam pratItyasamutpAda samotaranti mAyA upamam vitaTa veda karma apanItam /
   (Dbh 89)	(DB 89)
   svapnopamaṃ ca tathatā pratibhāsa caiva bālāna mohana marīcisamasvabhāvam	svapna upamam ca taTatA pratiBAsa ca eva bAlAna mohana marIci sama svaBAvam
   yā eva bhāvana sa śūnyata paṇḍitānāṃ rati pratyayāna bhavate idamānimittam	yAH eva BAvana sa SUnyata paNxitAnAm rati pratyayAna Bavate idam Animittam
   jānitva jātu vitathaṃ praṇidhātu nāsti anyatra sattvakṛpayā upapadyanti //	jAnitva jAtu vitaTam praNiDAtu na asti anyatra sattva kRpayA upapadyanti //
   evaṃ vimokṣamukha bhāvayi te mahātmā kṛpabuddhi bhūya tatha	evam vimokza muKa BAvayi te mahAtmA kRpa budDi BUya taTa
   buddhaguṇābhilāṣī /	budDa guNa aBilAzI /
   saṃyogasaṃskṛtikṛta vyuparīkṣamāṇo niyatāśayo bhavati naikaguṇopapetaḥ //	saMyoga saMskRti kRta vyuparIkzamANaH niyata ASayaH Bavati na eka guNa upapetaH //
   pūrṇā sahasra daśa śūnyataye samādhī tatha ānimittavaradaṃ ca vimokṣa tāyī	pUrNA sahasra daSa SUnyataye samADI taTaH Animitta vara dam ca vimokza tAyI
   pralhādayanti jagadāśaya candra ābhā vahamānu vāta caturo asaṃhāryaprāptā	pralhAdayanti jagat ASaya candra ABA vahamAnu vAta caturaH asaMhArya prAptA
   atikramya mārapathamābha jinaurasānāṃ praśamenti kleśaparitāpa	atikramya mAra paTam ABa jinOrasAnAm praSamenti kleSa paritApa
   dukhārditānām // 28 //	duKa arditAnAm // 28 //
   iha bhūmideśupagatā marutādhipāste bhontī sunirmita kṛtāvadhimānaghātī /	iha BUmi deSupagatA maruta aDipAH te BontI su nirmita kRta a= aDi mAna GAtI /
   yaṃ caiva ārabhiṣu jñānapathopapetā asaṃhārya śrāvakagatī atikrānta dhīrāḥ	yam ca eva AraBizu jQAna paTa upapetAH asaMhArya SrAvaka gatI atikrAnta DIrAH
   ākāṅkṣamāṇu sugatātmaja vīryaprāptāḥ koṭīśatasahasrapūrṇa samādhi labdhāḥ	AkAFkzamANu sugata Atmaja vIrya prAptAH kowI Sata sahasra pUrNa samADi labDAH
   paśyanti ekakṣaṇi buddha daśaddiśāsu pratapanti sūrya eva madhyagu	paSyanti ekakzaNi budDa daSat diSAsu pratapanti sUryaH eva maDya gu
   grīṣmakāle // 30 //	grIzma kAle // 30 //
   gambhīra durdṛśā sūkṣma durjñeyā jinaśrāvakaiḥ / ṣaṣṭhī	gamBIra durdRSA sUkzma durjQeyA jina SrAvakEH / zazWI
   bhūmirmahātmānāmākhyātā sugatātmajāḥ // 31 //	BUmiH mahAtmAnAm AKyAtA sugata AtmajAH // 31 //
   (Dbh 90)	(DB 90)
   7 dūraṃgamā nāma saptamī bhūmiḥ /	7 dUraMgamA nAma saptamI BUmiH /
   upakramagāthāḥ /	upakrama gATAH /
   atha vividharucirameghān marudgaṇo 'bhikiriṣu vegaprāptāḥ /	aTa viviDa rucira meGAn marut gaNaH aBikirizu vega prAptAH /
   pravyāharanti madhurā girivara śubha prītisaṃpūrṇāḥ // 1 //	pravyAharanti maDurAH giri vara SuBa prIti saMpUrNAH // 1 //
   sādhu varatīkṣṇacittā guṇaśatasamupetajñānavaśavartim /	sADu vara tIkzNa cittAH guNa Sata samupeta jQAna vaSavartim /
   varacaraṇaṃ parituṣṭaṃ jagahitavarapuṇḍarīkāṇām // 2 //	vara caraNam parituzwam jaga hita vara puNxarIkANAm // 2 //
   tada pravaramatulamābhā maheśvarāḥ khegatā naravarasya /	tada pravaram atulam ABAH maheSvarAH KegatA nara varasya /
   vararuciragandhameghānabhikiri kleśaughamapahartum // 3 //	vara rucira ganDa meGa anaBikiri kleSa oGam apahartum // 3 //
   pravyāharanti madhuraṃ marudgaṇā harṣakararuciraghoṣāḥ /	pravyAharanti maDuram marut gaNAH harza kara rucira GozAH /
   paramasulabdhalābhāḥ śrutu yairayu bhūminirdeśaḥ // 4 //	parama su labDa lABAH Srutu yEH ayu BUmi nirdeSaH // 4 //
   tūrya madhuraghoṣayukta marukanyāḥ prīṇitamanobhiḥ /	tUrya maDura Goza yuktaH marukanyAH prINita manoBiH /
   sucarasugatānubhāvādvaracaririyamīdṛśī proktā // 5 //	su cara su gata anuBAvAt varacariH iyam IdRSI proktA // 5 //
   sumanī sucaraṇaśreṣṭhaḥ sudānta damakāna lokamahitānām /	sumanI su caraNa SrezWaH su dAnta damakAna lokam ahitAnAm /
   atikramya sarvalokaṃ lokacariṃ darśayī sūkṣmām // 6 //	atikramya sarva lokam loka carim darSayI sUkzmAm // 6 //
   darśenti kāya vividhān kāyākāyāṃśca dharmatopetāḥ /	darSenti kAya viviDAn kAya akAyAn= ca DarmatA upetAH /
   śamathaḥ samitivibhakto bhaṇati ghoṣaṃ na cākṣaraṃ ravati // 7 //	SamaTaH samiti viBaktaH BaNati Gozam na ca akzaram ravati // 7 //
   kṣetraśatamākramante pūjenti nāyakān paramapūjiyān /	kzetra Satam Akramante pUjenti nAyakAn parama pUjiyAn /
   ātmajanitakṣetrasaṃjñā vidhunitvā jñānavaśavartī // 8 //	Atma janita kzetra saMjQA viDunitvA jQAna vaSa vartI // 8 //
   paripācayanti sattvānna cātmaparasaṃjña sarvaśa upenti /	paripAcayanti sattvAt na ca Atma para saMjQa sarvaSas upenti /
   śubha saṃcinanti pravaraṃ na cāpi śubhasaṃcayaniketāḥ // 9 //	SuBa saMcinanti pravaram na ca api SuBa saMcaya niketAH // 9 //
   rāgarajadoṣamohaiḥ paśyitva sarvaloka jvalamānān /	rAgaraja doza mohEH paSyitva sarva loka jvalamAnAn /
   varjeti sarvasaṃjñā vīryaṃ varamārabhī kṛpayā // 10 //	varjA iti sarva saMjQA vIryam varam AraBI kRpayA // 10 //
   marukanyā devasaṃghāśca pūjentā varasvaram /	marukanyAH deva saMGAH ca pUjentAH vara svaram /
   tūṣṇīṃbhāvaratāḥ sarve prekṣante puruṣarṣabham // 11 //	tUzNIMBAvaratAH sarve prekzante puruza RzaBam // 11 //
   pariṣadviprasanneyamavocat sugatātmajam /	parizad vipra sanneyam avocat sugata Atmajam /
   saptamyā bhūmerākārān nirdiśasva guṇākara // 12 //	saptamyA BUmeH AkArAn nirdiSasva guNa AkaraH // 12 //
   upasaṃhāragāthāḥ /	upasaMhAra gATAH /
   gambhīrajñāna paramārthapadānusārī ṣaḍbhūminiścitamatiḥ susamāhitātmā /	gamBIra jQAna parama arTa pada anusArI zaz BUmi niScita matiH su samAhita AtmA /
   prajñāmupāya yugapadyabhinirharanto bhūmyākramanti vidu saptami	prajQAm upAya yugapadi aBinirharantaH BUmyAkramanti vidu saptami
   caryaśreṣṭhām // 13 //	carya SrezWAm // 13 //
   (Dbh 91)	(DB 91)
   śūnyānimittapraṇidhīkṛpamaitrayuktā buddhānudharma sugatānuga pūjayantaḥ /	SUnya animitta praNiDI kRpa mEtra yuktAH budDa anuDarma sugata anuga pUjayantaH /
   jñānena śubhamahapuṇyabalebhyatṛptāstāmākramanti vidu saptami bhūmideśam	jQAnena SuBa maha puNya baleBya tRptAH tAm Akramanti vidu saptami BUmi deSam
   traidhātukena adhivāsa vivekaprāptāḥ śāntaśca kleśabalaśāntijagābhikāṅkṣī	trEDAtukena aDivAsa viveka prAptAH SAntaH ca kleSa bala SAnti jaga aBikAFkzI
   pratibhāsa māya supinādvayadharmacārī kṛpa darśayanti vidu	pratiBAsa mAya su pinA dvaya Darma cArI kRpa darSayanti vidu
   saptamimākramanti // 15 //	saptamimAkramanti // 15 //
   śodhenti kṣetra khasamāśaya nirvikalpā jinalakṣanairupāgato	SoDenti kzetra Ka samASaya nirvikalpA jina lakzanEH upAgataH 
   'caladharmatāyām /	acala Darma tAyAm /
   abhilāpyaghoṣavigatā jagatoṣaṇārthaṃ kṣaṇajñāna cittasya jināna	aBilApya Goza vigatAH jagata UzaNa arTam kzaNa jQAna cittasya jinAna
   samosaranti // 16 //	samosaranti // 16 //
   abhāsaprāpta iti dharma vicārayanti ākrānta bhūmipravarāṃ jagadarthakārāḥ	aBAsa prAptaH iti Darma vicArayanti AkrAnta BUmi pravarAm jagat arTa kArAH
   te atra bhūmyasthita sattvacarī anantān vicinanti karma sugatān	te atra BUmyasTita sattva carI anantAn vicinanti karma sugatAn
   niyutāpramāṇān // 17 //	niyutA pramANAn // 17 //
   kṣetrāṃśca naikavidhadharmatha kalpasaṃkhyān adhimukti āśaya ca	kzetrAn= ca na ekaviDa DarmaTa kalpa saMKyAn aDimukti  ASaya ca
   cittavicitradhārān /	citta vicitra DArAn /
   triyāṇadeśanamananta samosaranti asmābhi sattva paripācayitavyametat // 18	tri yANa deSanam ananta samosaranti asmABi sattva paripAcayitavyam etat // 18
   ye te jñānanicitā varamārgaprāptā īryāpathaiścaturbhi prajñamupāyamuktāḥ /	ye te jQAna nicitAH vara mArga prAptAH IryA paTEH caturBi prajQam upAya muktAH /
   sarvasmi cittakṣaṇi bodhiguṇānuprāptāḥ paripūrayanti daśa pāramitāpradeśān	sarvasmi cittakzaNi boDi guNa anuprAptAH paripUrayanti daSa pAramitA pradeSAn
   sarveṣu mārgakuśalasya ya eṣa dānaṃ śīlaṃ ca kleśapraśamaṃ	sarvezu mArga kuSalasya yaH eza dAnam SIlam ca kleSa praSamam
   kṣamamakṣatitvam /	kzamam akzati tvam /
   vīryaṃ ca bhūyu anu uttari ārabhante mārge acalyataya dhyānaguṇānvitānām	vIryam ca BUyu anu uttari AraBante mArge acalyataya DyAna guNa anvitAnAm
   anutpādakṣānti virajā varaprajña śreṣṭhā parṇāmupāya praṇidhī bhuyu kāṅkṣi	anutpAda kzAnti virajA vara prajQa SrezWA parNAm upAya praNiDI Buyu kAFkzi
   lakṣmī /	lakzmI /
   (Dbh 92)	(DB 92)
   ato 'mardayitva balajñānanitīraṇatvād evaṃ khu bodhiguṇa sarvakṣaṇenupenti	atas amardayitva bala jQAna nitIraNa tvAt evam Ku boDi guNa sarva kzaNenupenti
   ālambanātu prathamā guṇapāripūri dvitīyā malāpanaya ūrdhva vibandhacchedam	AlambanAtu praTamA guNa pAripUri dvitIyA mala apanayaH UrDva vibanDa= Cedam
   caturthāya mārgu samatākriya pañcamāya anutpāda āhvaya viduḥ puna	caturTAya mArgu samatAkriya paQcamAya anutpAdaH Ahvaya viduH puna
   ṣaṣṭhavṛttiḥ // 22 //	zazWa vRttiH // 22 //
   iha saptamīmupagatāḥ sakalaṃ guṇāni praṇidhāna naikavividhānabhinirharanti	iha saptamIm upagatAH sakalam guNAni praNiDAna na eka viviDAn aBinirharanti
   kiṃ kāraṇaṃ yaduta jñānakriyābhyupenti sā aṣṭamīprabhṛti	kim kAraNam yat uta jQAna kriyA aByupenti sA azwamI praBRti
   sarvaviśuddhyupenti // 23 //	sarva viSudDi upenti // 23 //
   duratikramā dūraṃgamā bahusthānakarmā kṣetrāntaradvipathameva	duratikramA dUraMgamA bahu sTAna karmA kzetra antara dvi paTam eva
   yathottaranti /	yaTA uttaranti /
   vicaranti saptasu alipta nṛpo yathaiva mārgasthitā na puna sarvatikrānta	vicaranti saptasu alipta nRpaH yaTA eva mArga sTitAH na puna sarvatikrAnta
   dhīrāḥ // 24 //	DIrAH // 24 //
   yada aṣṭamīmupagatāḥ puna jñānabhūmim atikrānta cittaviṣaye sthita	yadaH azwamIm upagatAH puna jQAna BUmim atikrAnta citta vizaye sTita
   jñānakarme /	jQAna karme /
   brahmā na pekṣati jagannaramānuṣātmā evaṃ caranti vidu padmamivā aliptāḥ	brahmA na pekzati jagat nara mAnuza AtmA evam caranti vidu padmam ivAH aliptAH
   atra sthitā vividhakleśamatikramanti teṣāṃ na kleśacari no ca kṣayo	atra sTitAH viviDa kleSam atikramanti tezAm na kleSa cari no ca kzayaH 
   'nuprāptiḥ /	anuprAptiH /
   mārgasthitā na tada kleśacariṃ caranti saṃpūrṇa āśaya jinajña kṣayo na	mArga sTitAH na tada kleSa carim caranti saMpUrNaH ASaya jina jQa kzayaH na
   tāvat // 26 //	tAvat // 26 //
   ye laukikā vividhaśilpakriyāprayogā ājāti sarvavidunā sthita śāstrajñāne /	ye lOkikAH viviDa Silpa kriyA prayogAH AjAti sarva vidunA sTita SAstra jQAne /
   dhyānā abhijña bala bhāvayanto 'bhyupenti bhūyaḥ samādhi	DyAnAH aBijQa bala BAvayantaH aByupenti BUyas samADi
   vividhānabhinirharanti // 27 //	viviDAn aBinirharanti // 27 //
   atikrānta śravakacariṃ tatha pratyayānāṃ sthita bodhisattvacaraṇe vidu	atikrAnta Sravakacarim taTa pratyayAnAm sTita boDisattva caraNe vidu
   apramāṇām /	apramANAm /
   pūrve hi āśayatayā iha jñānatāyā nṛpatīsuto yatha vivṛddhabalopapetaḥ //	pUrve hi ASayatayA iha jQAna tAyAH nRpatI sutaH yaTa vivRdDa bala upapetaH //
   (Dbh 93)	(DB 93)
   gāmbhīryatāmupagatā bhuyu ārabhanti cittaṃ nirodhupagatā na ca sākṣikriyāḥ	gAmBIryatAm upagatAH Buyu AraBanti cittam niroDupagatAH na ca sAkzi kriyAH
   yathā sāgare upagatāḥ sthita yānapātre pratyakṣa sarva udake na ca	yaTA sAgare upagatAH sTita yAna pAtre pratyakza sarve udake na ca
   yānahāniḥ // 29 //	yAna hAniH // 29 //
   bhūyo upāyabalaprajñavarābhyupetā durjñeyasarvajagajñānakriyāguṇāḍhyāḥ /	BUyas upAya bala prajQa vara aByupetAH durjQeya sarva jaga jQAna kriyA guNa AXyAH /
   pūjenti buddha niyutā bhuyu śuddhibhāvā yathā tadvibhūṣaṇavicitritu	pUjenti budDa niyutA Buyu SudDi BAvAH yaTA tad viBUzaNa vicitritu
   naikaratnaiḥ // 30 //	na eka ratnEH // 30 //
   atra sthitāna vidunāṃ varaprajña ābhā śoṣenti tṛṣṇasalilaṃ yatha	atra sTitAna vidunAm vara prajQaH ABA Sozenti tRzNa salilam yaTa
   bhāskārābhāḥ /	BAskAra ABAH /
   te atra bhūmyupagatā vaśavartinaśca bhonti kṛtī kuśala jñānaphalodeśaiḥ //	te atra BUmi upagatAH vaSavartinaH ca Bonti kRtI kuSala jQAna Pala udeSEH //
   ākāṅkṣamāṇa dṛḍhavīryabalābhyupetāḥ koṭīnayūtaśata buddhasahasra pūrṇān /	AkAFkzamANa dRXa vIrya bala aByupetAH kowIn ayUta Sata budDa sahasra pUrNAn /
   paśyanti sarvadiśatāsu samāhitatvād bhūyo 'pyataḥ praṇidhiśreṣṭha	paSyanti sarva diSatAsu samAhita tvAt BUyas api atas praNiDi SrezWa
   guṇāprameyāḥ // 32//	guNa aprameyAH // 32//
   durjñeyā sarvalokena vaśipratyekacāribhiḥ / ityeṣā saptamī	durjQeyA sarva lokena vaSi pratyeka cAriBiH / iti ezA saptamI
   bhūmirupāyaprajñaśodhanā // 33 //	BUmiH upAya prajQa SoDanAH // 33 //
   (Dbh 94)	(DB 94)
   8 acalā nāma aṣṭamī bhūmiḥ /	8 acalA nAma azwamI BUmiH /
   upakramagāthāḥ /	upakrama gATAH /
   eva śrutva caraṇaṃ viduna śreṣṭhaṃ devasaṃgha muditā marupatiśca /	eva Srutva caraNam viduna SrezWam deva saMGa muditA maru patiH ca /
   bodhisattva bahavo jagaddhitaiṣi pūjayanti sugataṃ jinasutāṃśca // 1 //	boDisattva bahavaH jagat hita ezi pUjayanti sugatam jinasutAn= ca // 1 //
   puṣpamālya rucirā dhvajāpatākā gandhacūrṇa rucirā ratanavastrā /	puzpa mAlya rucirA Dvaja apatAkA ganDa cUrNa rucirAH ratana vastrAH /
   chatra naikarucirān maṇipratyuptān hārameghapravarānabhisṛjanti // 2 //	Catra na eka rucirAn maNi pratyuptAn hAra meGa pravarAn aBisRjanti // 2 //
   manojñaghoṣamadhuraṃ suravandū mukta naikaturiyapravaranāṭān /	manojQa Goza maDuram suravandU mukta na eka tuH iya pravara nAwAn /
   pūjanārthi jinaputra sugatāṃśca varṇaśreṣṭha munino udāharanti // 3 //	pUjana arTi jinaputra sugatAn= ca varNa SrezWa muninaH udAharanti // 3 //
   sarvi darśi vṛṣabhī dvipādaśreṣṭho darśi buddhaviṣayaṃ jagaddhitārtham /	sarvi darSi vRzaBI dvi pAda SrezWaH darSi budDa vizayam jagat hita arTam /
   śabdamegha rucirān pratāḍamānāstūryatāla vividhāstada pramuktāḥ // 4 //	Sabda meGa rucirAn pratAxamAnAH tUrya tAla viviDAH tada pramuktAH // 4 //
   vālakoṭi sugatāḥ śatasahasrā gaṅgākoṭi nayutā rajaviśiṣṭāḥ /	vAla kowi sugatAH Sata sahasrAH gaFgA kowi na yutAH raja viSizwAH /
   kṣemamapratisamāḥ pravaraśreṣṭhaṃ deśayanti vṛṣabhī virajadharmam // 5 //	kzemam apratisamAH pravara SrezWam deSayanti vRzaBI viraja Darmam // 5 //
   preta tirya narakā manujadevāḥ yakṣa rakṣa bhujagā asurasaṃghā /	preta tiryaH narakAH manuja devAH yakza rakza BujagAH asura saMGAH /
   ... ... ... ... ... ... ... ... ... ... ... nānakarmaviṣaye samanubhonti	... ... ... ... ... ... ... ... ... ... ... nAna karma vizaye samanuBonti
   sarvakṣetraviṣaye dhutarajānāṃ cakra śreṣṭhapravaraṃ tadanirvṛttam /	sarva kzetra vizaye DutarajAnAm cakra SrezWa pravaram tat anirvRttam /
   deśayanti madhuraṃ sugataghoṣaṃ saṃjñacitta jagatastatha vicāran // 7 //	deSayanti maDuram sugata Gozam saMjQacitta jagataH taTa vicAran // 7 //
   sattvakāyi sugatā vividhakṣetrā kṣetri sattvapravarāḥ punavipākāḥ /	sattva kAyi sugatAH viviDa kzetrA kzetri sattva pravarAH puna vipAkAH /
   (Dbh 95)	(DB 95)
   devamānuṣagatī tatha vicitrā jñātva sarva sugato bhaṇati dharmam // 8 //	deva mAnuza gatI taTa vicitrA jQAtva sarva sugataH BaNati Darmam // 8 //
   sūkṣmasaṃjña bhavati vipulakṣetre vipulasaṃjña bhavati rajanimitte /	sUkzma saMjQa Bavati vipula kzetre vipula saMjQa Bavati raja nimitte /
   evamādi vividhāṃ sugata ṛddhiṃ sarvaloka bhaṇato na kṣepayeyuḥ // 9 //	evamAdi viviDAm sugata  RdDim sarva loka BaNatas na kzepayeyuH // 9 //
   īddaśaṃ vacamāhātmyaṃ vacitvā madhurasvaram /	IddaSam vaca mAhAtmyam vacitvA maDura svaram /
   praśāntā pariṣatprītā prekṣate vadatāṃ varam // 10 //	praSAntA parizad prItA prekzate vadatAm varam // 10 //
   praśānta parṣadaṃ jñātvā mokṣacandro 'bravītpunaḥ /	praSAnta parzadam jQAtvA mokza candraH abravIt punar /
   aṣṭamyā bhūmi ākārāṃ praveśaṃ ca nidarśaya // 11 //	azwamyAH BUmi AkArAm praveSam ca nidarSaya // 11 //
   upasaṃhāragāthāḥ /	upasaMhAra gATAH /
   te bhūmya saptasu viśodhita prajñupāyā mārgā susaṃbhṛta	te BUmya saptasu viSoDita prajQupAyA mArgA su saMBRta
   mahāpraṇidhānabaddhāḥ /	mahA praNiDAna badDAH /
   supratiṣṭhitā naravarāḥ kuśalopapetā jñānābhilāṣi vidu aṣṭamimākramanti //	su pratizWitAH nara varAH kuSala upapetAH jQAna aBilAzi vidu azwamimAkramanti //
   te puṇyajñānupagatāḥ kṛpamaitrayuktā jñānāpramāṇapathagāḥ	te puNya jQa anupagatAH kRpa mEtra yuktAH jQAna apramANa paTa gAH
   khagabuddhikalpāḥ /	Kaga budDi kalpAH /
   śrutadharma niścitabalopagatā maharṣī kṣāntiṃ labhanti	Sruta Darma niScita bala upagatA mahA RzI kzAntim laBanti
   anutpādapraśāntisūkṣmām // 13 //	anutpAda praSAnti sUkzmAm // 13 //
   ādāvajāta anutpāda alakṣaṇaṃ ca asaṃbhūtatamavinaṣṭata cāpravṛttam /	AdO= ajAta anutpAda alakzaNam ca asaMBUtatama vinazwata ca apravRttam /
   bhāvasvabhāvavigatā tathatāvikalpā mama cittacāravigatāḥ khagatulyakalpāḥ	BAva svaBAva vigatA taTatA vikalpAH mama citta cAra vigatAH Kaga tulya kalpAH
   te eva kṣāntisamanvāgata niṣprapañcā gambhīracālya vidu śāntavicāraprāptāḥ	te eva kzAnti samanvAgata nizprapaQcAH gamBIra cAlya vidu SAnta vicAra prAptAH
   durjñeya sarvajagatārahapratyayaiśca cittaṃ	durjQeya sarva jagata araha pratyayEH ca cittam
   nimittagrahasaṃjñavibhāvitatvāt //	nimitta graha saMjQa viBAvita tvAt //
   evaṃ sthitānamanucintavikalpa nāsti bhikṣurnirodhyupagato	evam sTitAnam anucinta vikalpa na asti BikzuH niroDi upagataH 
   'paprakalpaprāptaḥ /	apaprakalpa prAptaH /
   svapnoghaprāpta pratibuddha tathāvikalpā brahmāpure ratisaṅgarahito	svapnoGa prApta pratibudDa taTA avikalpAH brahmApure rati saFga rahitaH 
   tathaiva // 16 //	taTA eva // 16 //
   pūrvādhiṣṭhāna sugatā puna codayanti eṣā sa kṣānti paramā sugatābhiṣeke /	pUrva aDizWAna sugatA puna codayanti ezA sa kzAnti paramA sugata aBizeke /
   (Dbh 96)	(DB 96)
   asmāku jñāna vipulaṃ varabuddhadharmā te tubhya nāsti ta hi vīryu	asmAku jQAna vipulam vara budDa DarmA te tuBya na asti te hi vIryu
   samārabhāyam // 17 //	samAraBAyam // 17 //
   kiṃcāpi śānta tava sarvakileśajvālā jvalitaṃ niśamya puna kleśagatibhya	kiMca api SAnta tava sarva kileSa jvAlA jvalitam niSamya puna kleSa gatiBya
   lokam /	lokam /
   praṇidhāna pūrva smara sattvahitaṃ vicārya jñānārthi prārthita kriyā	praNiDAna pUrva smara sattva hitam vicArya jQAna arTi prArTita kriyA
   jagamokṣahetoḥ // 18 //	jagama ukza hetoH // 18 //
   sada eṣa dharmata sthitā tathatāvikalpā sarveṣu	sadaH eza Darmata sTitA taTatA vikalpA sarvezu
   buddhajinaśrāvakapratyayānam /	budDa jina SrAvaka pratyayAnam /
   na hi etinā daśabalāna prabhāvu loke nānyatra jñānavipulaṃ tribhi	na hi etinA daSa balAna praBAvu loke na anyatra jQAna vipulam triBi
   adhvasaṅgam // 19//	aDva saFgam // 19//
   evaṃ tamapratisamā naradevapūjyā upasaṃharanti bahujñānamukhā vicārān /	evam tam apratisamAH naradeva pUjyAH upasaMharanti bahu jQAna muKAH vicArAn /
   jinadharmaniṣpattipraveśamanantapāraṃ yasyā kalā na bhavate puna	jina Darma nizpatti praveSam ananta pAram yasyAH kalA na Bavate puna
   bodhicaryā // 20 //	boDi caryA // 20 //
   etāni prāpta vṛṣabhī varajñānabhūmim ekakṣaṇena spharate diśatāḥ samantān	etAni prApta vRzaBI vara jQAna BUmim eka kzaNena sParate diSatAH samantAn
   jñānapraveśupagatā varabhijñaprāptā yatha sāgare vahanu mārutayānaprāptaḥ	jQAna praveSupa gatA vara BijQa prAptAH yaTa sAgare vahanu mAruta yAna prAptaH
   sābhogacittavigatāḥ sthitajñānakarma vicinanti kṣetraprabhavaṃ	sa ABoga citta vigatAH sTita jQAna karma vicinanti kzetra praBavam
   vibhavasthitiṃ ca /	viBava sTitim ca /
   dhātuścatvāri vinibhāgagatāna tāṃśca sūkṣmaṃ mahadgata vibhakti	DAtuH catvAri viniBAga gatAna tAn= ca sUkzmam mahat gata viBakti
   samosaranti // 22 //	samosaranti // 22 //
   trisahasri sarvaparamāṇurajo taranti catvāri dhātu jagakāyi vibhaktitaśca	tri sahasri sarva paramANu rajaH taranti catvAri DAtu jagakAyi viBaktitaH ca
