   akalaṅkavivekānāṃ KDarp_1.30c	akalaFka-vivekAnAm KDarp_1.30c
   rūpe 'bhimānaṃ kaḥ kuryāt KDarp_4.62c	rUpe aBimAnam kaH kuryAt KDarp_4.62c
   raibhyaṃ tataḥ samāyātam KDarp_3.106a	rEByam tatas samAyAtam KDarp_3.106a
   raibhyāśramo na gantavyaḥ KDarp_3.71c	rEBya-ASramaH na gantavyaH KDarp_3.71c
   raibhyāḥ prāpuḥ svajīvitam KDarp_3.149d	rEByAH prApuH sva-jIvitam KDarp_3.149d
   raibhye prayāte putrābhyāṃ KDarp_3.79a	rEBye prayAte putrAByAm KDarp_3.79a
   raibhyo 'pi vidvānkālena KDarp_3.125c	rEByaH api vidvAn-kAlena KDarp_3.125c
   rogayogānmumūrṣaṇā KDarp_2.109b	roga-yogAt-mumUrzaNA KDarp_2.109b
   rogārtāni vapūṃṣi ca KDarp_4.63b	roga-ArtAni vapUMzi ca KDarp_4.63b
   rogārditaḥ spṛśati naiva dṛśāpi bhojyaṃ KDarp_2.63a	roga-arditaH spRSati na-eva dRSA-api Bojyam KDarp_2.63a
   rohanmohamahātarurmadamayaḥ saṃjāyate yaḥ sadā KDarp_1.37c	rohat-moha-mahA-taruH-mada-mayaH saMjAyate yaH sadA KDarp_1.37c
   raudraḥ śūdreṇa jāto 'yaṃ KDarp_1.54a	rOdraH SUdreNa jAtaH ayam KDarp_1.54a
   lakṣmīkaṭākṣāñcalacañcalena KDarp_2.1b	lakzmI-kawAkza-aQcala-caQcalena KDarp_2.1b
   lakṣmīḥ kṣaṇakṣayavatī parirakṣitāpi KDarp_1.44a	lakzmIH kzaNa-kzayavatI parirakzitA-api KDarp_1.44a
   laguḍenāhatastataḥ KDarp_2.87b	laguxena-AhataH-tatas KDarp_2.87b
   lagnasnehamivoḍupam KDarp_4.41d	lagna-sneham-iva-uxupam KDarp_4.41d
   lagnaḥ ko 'yaṃ na jānīmaḥ KDarp_1.6c	lagnaH kaH ayam na jAnImaH KDarp_1.6c
   lagnābhimukhadarpaṇaḥ KDarp_1.71b	lagna-aBimuKa-darpaNaH KDarp_1.71b
   laghutāṃ śīlaviplavāt KDarp_3.4b	laGu-tAm SIla-viplavAt KDarp_3.4b
   lajjayāvanataṃ śiraḥ KDarp_1.23d	lajjayA-avanatam SiraH KDarp_1.23d
   lajjayeva kulāṅganā KDarp_3.6d	lajjayA-iva kula-aFganA KDarp_3.6d
   lajjākaramasatkarma KDarp_1.62a	lajjA-karam-asat-karma KDarp_1.62a
   lajjākuṭilitā dṛśaḥ KDarp_4.29d	lajjA-kuwilitAH dRSaH KDarp_4.29d
   lajjāpahārādvanadevatānāṃ KDarp_7.39c	lajjA-apahArAt-vana-devatAnAm KDarp_7.39c
   lajjāvatīnāṃ spṛhayaiva petuḥ KDarp_7.40b	lajjAvatInAm spRhayA-eva petuH KDarp_7.40b
   lajjāvikuṇṭhakaṇṭhaḥ svāṃ KDarp_5.42c	lajjA-vikuNWa-kaNWaH svAm KDarp_5.42c
   lajjāṃ nijavadhūmiva KDarp_3.91b	lajjAm nija-vaDUm-iva KDarp_3.91b
   latāvadhūpallavapāṇimuktaiḥ KDarp_7.37a	latA-vaDU-pallava-pANi-muktEH KDarp_7.37a
   latāḥ puṣparajakhalāḥ KDarp_1.69d	latAH puzparaja-KalAH KDarp_1.69d
   labdhakṣāmapratigrahaḥ KDarp_6.20b	labDa-kzAma-pratigrahaH KDarp_6.20b
   labdho 'nena durātmanā KDarp_1.51b	labDaH anena durAtmanA KDarp_1.51b
   laśunasyāśuceḥ pāka- KDarp_2.45c	laSunasya-aSuceH pAka KDarp_2.45c
   lāvaṇyatilakaṃ bhuvaḥ KDarp_4.33b	lAvaNya-tilakam BuvaH KDarp_4.33b
   lāvaṇyalalitākṛtiḥ KDarp_1.21d	lAvaNya-lalita-AkRtiH KDarp_1.21d
   lāvaṇyalaharī tanoḥ KDarp_4.66b	lAvaNya-laharI tanoH KDarp_4.66b
   lāvaṇyābharaṇaṃ tasya KDarp_4.42c	lAvaNya-ABaraNam tasya KDarp_4.42c
   limpanniva dyāṃ dyuticandanena KDarp_2.98d	limpan=-iva dyAm dyuti-candanena KDarp_2.98d
   līnapṛṣṭo vyapadyata KDarp_2.70d	lIna-pRzwaH vyapadyata KDarp_2.70d
   līnasya moharajasaḥ sahasaiva śāntim KDarp_7.71d	lInasya moha-rajasaH sahasA-eva SAntim KDarp_7.71d
   līnā devavimāneṣu KDarp_4.22a	lInA deva-vimAnezu KDarp_4.22a
   līlāguruṃ taṃ hṛdaye vahantī KDarp_4.37c	lIlA-gurum tam hRdaye vahantI KDarp_4.37c
   līlāmīlitalocanaḥ KDarp_1.45b	lIlA-mIlita-locanaH KDarp_1.45b
   līlāravindārdhatiraskṛtāni KDarp_7.40d	lIlA-aravinda-arDa-tiraskRtAni KDarp_7.40d
   lubdhānāmatiyācakaḥ KDarp_1.35b	lubDAnAm-atiyAcakaH KDarp_1.35b
   lubdhānāṃ dhanasaṃpadaḥ KDarp_2.72d	lubDAnAm Dana-saMpadaH KDarp_2.72d
   lubdhe rājñi dhanena kim KDarp_2.39d	lubDe rAjQi Danena kim KDarp_2.39d
   luloṭha śapharotphāla- KDarp_6.32c	luloWa SaPara-utPAla KDarp_6.32c
   lekhāvalībhrūbhramaṇena digbhiḥ KDarp_7.51b	leKAvalI-BrU-BramaNena digBiH KDarp_7.51b
   lokaprasiddhisiddhyai yaḥ KDarp_6.4a	loka-prasidDi-sidDyE yaH KDarp_6.4a
   loke kulaṃ kulaṃ tāvad KDarp_1.10a	loke kulam kulam tAvat KDarp_1.10a
   lobhakṛcchrādanicchayā KDarp_6.14b	loBa-kRcCrAt-anicCayA KDarp_6.14b
   lobhadānena tena kim KDarp_6.10d	loBa-dAnena tena kim KDarp_6.10d
   lobhapravṛttaṃ kṛtameva cittam KDarp_2.111b	loBa-pravRttam kRtam-eva cittam KDarp_2.111b
   lobhabhramadbhṛṅgagaṇāñcitānām KDarp_7.44b	loBa-Bramat-BRFga-gaNa-AQcitAnAm KDarp_7.44b
   lobhamātsaryayoraṅke KDarp_3.139c	loBa-mAtsaryayoH-aFke KDarp_3.139c
   lobhamohahatā vṛttir KDarp_3.52c	loBa-moha-hatA vRttiH KDarp_3.52c
   lobhaḥ prabhūtavittasya KDarp_3.41a	loBaH praBUta-vittasya KDarp_3.41a
   lobhādanyeṣu janmasu (?) KDarp_2.110d	loBAt-anyezu janmasu (?) KDarp_2.110d
   lobhānnābhūdgṛhe yasya KDarp_2.35a	loBAt-na-aBUt-gRhe yasya KDarp_2.35a
   lobhenāparajanmani KDarp_2.107b	loBena-apara-janmani KDarp_2.107b
   lobheneva guṇodayaḥ KDarp_5.28b	loBena-iva guNa-udayaH KDarp_5.28b
   lolākṣīva vicakṣuṣaḥ KDarp_3.51b	lola-akzI-iva vicakzuzaH KDarp_3.51b
   lohasya svamaleneva KDarp_5.43c	lohasya sva-malena-iva KDarp_5.43c
   laulyodbhavadbhasmabharaprahāsaṃ KDarp_7.13c	lOlya-udBavat-Basma-Bara-prahAsam KDarp_7.13c
   vaktraṃ śaśāṅkopamamīkṣamāṇāḥ KDarp_7.60b	vaktram SaSAFka-upamam-IkzamANAH KDarp_7.60b
   vaktrenducyutasaṃtatāmṛtakaṇākāraścakāra kṣaṇaṃ KDarp_4.24c	vaktra-indu-cyuta-saMtata-amRta-kaNA-AkAraH-cakAra kzaNam KDarp_4.24c
   vacasā na nivartate KDarp_3.102b	vacasA na nivartate KDarp_3.102b
   vacasā pratipāditam KDarp_6.18b	vacasA pratipAditam KDarp_6.18b
   vacaḥ krakacakarkaśam KDarp_1.55b	vacaH krakaca-karkaSam KDarp_1.55b
   vañcakānāmapāpeṣu KDarp_2.95c	vaQcakAnAm-apApezu KDarp_2.95c
   vañcyante sāntvavādena KDarp_3.102c	vaQcyante sAntva-vAdena KDarp_3.102c
   vadantīvendupadmayoḥ KDarp_4.19d	vadanti-iva-indu-padmayoH KDarp_4.19d
   vadheneva dhanena kim KDarp_2.51d	vaDena-iva Danena kim KDarp_2.51d
   vanapraveśairniyamairaśeṣaiḥ KDarp_7.26a	vana-praveSEH-niyamEH-aSezEH KDarp_7.26a
   vane purā nirjharacāruhāsye KDarp_7.17b	vane purA nirJara-cAru-hAsye KDarp_7.17b
   vandhyadānena tena kim KDarp_6.17d	vanDya-dAnena tena kim KDarp_6.17d
   vandhyā kasyopayujyate KDarp_1.13d	vanDyA kasya-upayujyate KDarp_1.13d
   vapuḥ smarārerjanitasmaraṃ tat KDarp_7.35b	vapuH smara-areH-janitasmaram tat KDarp_7.35b
   vayasā tvaṃ śrutena ca KDarp_3.74b	vayasA tvam Srutena ca KDarp_3.74b
   vayastribhāge taruṇasya śauryaṃ KDarp_5.4a	vayaH-tri-BAge taruNasya SOryam KDarp_5.4a
   vayasyagṛhamutsave KDarp_1.47d	vayasya-gRham-utsave KDarp_1.47d
   varaṃ virūpaḥ spṛhaṇīyarūpaḥ KDarp_4.13d	varam virUpaH spRhaNIya-rUpaH KDarp_4.13d
   varākastāḍitaḥ krudhā KDarp_2.104b	varAkaH-tAxitaH kruDA KDarp_2.104b
   varārho 'pi varācāra KDarp_3.145c	vara-arhaH api vara-AcAra KDarp_3.145c
   vartamāne mahākratau KDarp_6.28d	vartamAne mahA-kratO KDarp_6.28d
   vardhate yo dhanavyādhiḥ KDarp_2.34a	varDate yaH Dana-vyADiH KDarp_2.34a
   vaśyādikuhakairyayā KDarp_3.48b	vaSya-Adi-kuhakEH-yayA KDarp_3.48b
   vahantaṃ hantumudyataḥ KDarp_1.50d	vahantam hantum-udyataH KDarp_1.50d
   vahainaṃ durmadaṃ putra KDarp_1.53a	vaha-enam durmadam putra KDarp_1.53a
   vaṃśe jātaḥ sa lajjate KDarp_4.35b	vaMSe jAtaH sa lajjate KDarp_4.35b
   vaṃśenonnatiśālinā guṇagaṇenāntaścamatkāriṇā KDarp_1.37a	vaMSena-unnati-SAlinA guNa-gaNena-antar-camat-kAriNA KDarp_1.37a
   vāṇī krakacadhāreva KDarp_3.11c	vANI krakaca-DArA-iva KDarp_3.11c
   vāṇīvilasitairmuhuḥ KDarp_3.78b	vANI-vilasitEH-muhur KDarp_3.78b
   vāṇī vivādibhiḥ krūraiḥ KDarp_3.12c	vANI vivAdiBiH krUrEH KDarp_3.12c
   vāṇī veśyeva lobhena KDarp_3.10c	vANI veSyA-iva loBena KDarp_3.10c
   vātāñcitaiḥ pallavapaṇibhistā KDarp_7.50c	vAta-AQcitEH pallava-paNiBiH-tA KDarp_7.50c
   vādibhiḥ kalahodarka- KDarp_3.11a	vAdiBiH kalaha-udarka KDarp_3.11a
   vāde khalaiḥ khalīkṛtya KDarp_6.11a	vAde KalEH KalIkRtya KDarp_6.11a
   vāpasya (?) karaṇe nṛṇām KDarp_2.94d	vApasya (?) karaNe nRNAm KDarp_2.94d
   vāritāstrastatastena KDarp_5.42a	vAritAstraH-tatas-tena KDarp_5.42a
   vāryante nimnagāḥ striyaḥ KDarp_1.65d	vAryante nimnagAH striyaH KDarp_1.65d
   vālī prasahya plavagaḥ kareṇa KDarp_5.10a	vAlI prasahya plavagaH kareNa KDarp_5.10a
   vikasatkusumasmeraṃ KDarp_2.101c	vikasat-kusuma-smeram KDarp_2.101c
   vikārakāle saṃmohaś KDarp_3.110c	vikAra-kAle saMmohaH KDarp_3.110c
   vikāraskhalitaṃ manaḥ KDarp_3.98d	vikAra-sKalitam manaH KDarp_3.98d
   vikramābharaṇaṃ dikṣu KDarp_4.33a	vikrama-ABaraNam dikzu KDarp_4.33a
   vikrayāya prasāryate KDarp_3.33b	vikrayAya prasAryate KDarp_3.33b
   vikrītaḥ paradeśapaṇyasadane dhūrtairivānuttaraḥ KDarp_4.15c	vikrItaH para-deSa-paNya-sadane DUrtEH-iva-anuttaraH KDarp_4.15c
   vighnaṃ na cakrurnanu nṛttalīlāsaṃdarśane puṇyavatāṃ narāṇām KDarp_4.26/a	viGnam na cakruH-nanu nRtta-lIlA-saMdarSane puNyavatAm narANAm KDarp_4.26/a
   vicārya tasyā maryādaṃ KDarp_4.44a	vicArya tasyAH maryAdam KDarp_4.44a
   vicārya tyajyatāṃ madaḥ KDarp_1.14b	vicArya tyajyatAm madaH KDarp_1.14b
   vicāryamāṇastattvena KDarp_2.38a	vicAryamANaH-tattvena KDarp_2.38a
   vicintya saṃtatocchvāsaḥ KDarp_6.53c	vicintya saMtata-ucCvAsaH KDarp_6.53c
   vicchāyayornirvyayayoḥ KDarp_2.4a	vicCAyayoH-nirvyayayoH KDarp_2.4a
   vicchāyaṃ niḥsukhānandaṃ KDarp_2.15a	vicCAyam niHsuKa-Anandam KDarp_2.15a
   vitīrṇajanakautukaḥ KDarp_6.31d	vitIrNa-jana-kOtukaH KDarp_6.31d
   vittena koṣaparipoṣasahena tasmin KDarp_2.60c	vittena koza-paripoza-sahena tasmin KDarp_2.60c
   vitte vṛtte ca citte ca KDarp_6.36c	vitte vRtte ca citte ca KDarp_6.36c
   vidadhe dharmadeśanām KDarp_2.112b	vidaDe Darma-deSanAm KDarp_2.112b
   vidārayanpratodena KDarp_1.50c	vidArayan-pratodena KDarp_1.50c
   vidyāguṇāste viduṣāṃ KDarp_3.50a	vidyA-guNAH-te viduzAm KDarp_3.50a
   vidyādarpapiśācikā KDarp_3.70d	vidyA-darpa-piSAcikA KDarp_3.70d
   vidyādīpaḥ kāmakopākulākṣṇāṃ KDarp_3.151c	vidyA-dIpaH kAma-kopa-Akula-akzNAm KDarp_3.151c
   vidyābhimānaṃ tyaja paṇyarūpaṃ KDarp_1.39c	vidyA-aBimAnam tyaja paNya-rUpam KDarp_1.39c
   vidyāmadāndhau tatputrāv- KDarp_3.66c	vidyA-mada-anDO tad-putrAv KDarp_3.66c
   vidyā maurkhyaśatāyate KDarp_1.34d	vidyA mOrKya-SatAyate KDarp_1.34d
   vidyāyā niravadyāyāḥ KDarp_3.90c	vidyAyAH niravadyAyAH KDarp_3.90c
   vidyāyāḥ prathamaṃ phalam KDarp_3.27b	vidyAyAH praTamam Palam KDarp_3.27b
   vidyārhaṃ śaiśavaṃ gatam KDarp_3.23b	vidyA-arham SESavam gatam KDarp_3.23b
   vidyāvatāṃ sphuratyantar- KDarp_3.110a	vidyAvatAm sPurati-antar KDarp_3.110a
   vidyāvidveṣaśūlinau KDarp_3.73d	vidyA-vidveza-SUlinO KDarp_3.73d
   vidyāvinayamutsṛjya KDarp_3.85a	vidyA-vinayam-utsRjya KDarp_3.85a
   vidyāvimaladarpaṇaḥ KDarp_1.22d	vidyA-vimala-darpaNaH KDarp_1.22d
   vidyāvimaladarpaṇau KDarp_3.17b	vidyA-vimala-darpaNO KDarp_3.17b
   vidyā vivādāya dhanaṃ madāya KDarp_2.9a	vidyA vivAdAya Danam madAya KDarp_2.9a
   vidyā śrīriva lobhena KDarp_3.6a	vidyA SrIH-iva loBena KDarp_3.6a
   vidyā saṃtoṣaśālinī KDarp_3.7b	vidyA saMtoza-SAlinI KDarp_3.7b
   vidyā stabdhasya niṣphalā KDarp_3.51d	vidyA stabDasya nizPalA KDarp_3.51d
   vidyāṃ prāpya kṛtaṃ yena KDarp_3.5a	vidyAm prApya kRtam yena KDarp_3.5a
   vidyullatāparicitāḥ sahasaiva yānti KDarp_2.67d	vidyut-latA-paricitAH sahasA-eva yAnti KDarp_2.67d
   vidyullatāvisphuritaṃ hi rūpam KDarp_4.72d	vidyut-latA-visPuritam hi rUpam KDarp_4.72d
   vidvatsaṃsadi vādibhiḥ kavivarairbhāṣānabhijñaḥ paraṃ KDarp_4.15a	vidvat-saMsadi vAdiBiH kavi-varEH-BAzA-anaBijQaH param KDarp_4.15a
   vidveṣakaluṣaṃ manaḥ KDarp_3.5b	vidveza-kaluzam manaH KDarp_3.5b
   vidveṣaparuṣeṣvapi KDarp_2.106b	vidveza-paruzezu-api KDarp_2.106b
   vidveṣeṇāpavitratām KDarp_3.15b	vidvezeNa-apavitra-tAm KDarp_3.15b
   vidhau vidhuratāṃ yāte KDarp_3.134c	viDO viDura-tAm yAte KDarp_3.134c
   vidhvastacchāyamālokya KDarp_3.122c	viDvasta=-CAyam-Alokya KDarp_3.122c
   vinayātikramo 'smākaṃ KDarp_4.58a	vinaya-atikramaH asmAkam KDarp_4.58a
   vinayāvanataṃ śiraḥ KDarp_1.29d	vinaya-avanatam SiraH KDarp_1.29d
   vinaṣṭavigraharucir KDarp_5.40c	vinazwa-vigraha-ruciH KDarp_5.40c
   vinaṣṭavinayasmṛteḥ KDarp_1.27b	vinazwa-vinaya-smRteH KDarp_1.27b
   vināśaḥ prārthitastvayā KDarp_3.71b	vinASaH prArTitaH-tvayA KDarp_3.71b
   vināśāyāsmi nirmitaḥ KDarp_3.116b	vinASAya-asmi nirmitaH KDarp_3.116b
   vipadyante yadīśvarāḥ KDarp_2.79d	vipadyante yadi-ISvarAH KDarp_2.79d
   viparītātmane namaḥ KDarp_3.4d	viparIta-Atmane namaH KDarp_3.4d
   vipāke karmaṇaḥ phalam KDarp_3.86b	vipAke karmaNaH Palam KDarp_3.86b
   vipāṭayantīṃ nayane sukanyām KDarp_7.6b	vipAwayantIm nayane sukanyAm KDarp_7.6b
   viprāṇāṃ mārgadūṣaṇam KDarp_2.86b	viprANAm mArga-dUzaNam KDarp_2.86b
   vipreṇa kṣetracāriṇā KDarp_6.39b	vipreNa kzetra-cAriNA KDarp_6.39b
   vipreṣu pūryamāṇeṣu KDarp_6.30a	viprezu pUryamANezu KDarp_6.30a
   viprocchiṣṭāmahīmaham KDarp_6.50d	vipra-ucCizwAmahIm-aham KDarp_6.50d
   viplave 'bhyarthitāṃ gataḥ KDarp_3.107d	viplave aByarTitAm gataH KDarp_3.107d
   viphalodyoganiścalam KDarp_3.56b	viPala-udyoga-niScalam KDarp_3.56b
   vibhaktisaṃsaktasitottarīyam KDarp_7.19d	viBakti-saMsakta-sita-uttarIyam KDarp_7.19d
   vibhajyate yadante 'nyaḥ KDarp_2.8c	viBajyate yat-ante anyaH KDarp_2.8c
   vibhūtinalinīgajaḥ sujanamānabhaṅgaśani- KDarp_1.41a	viBUti-nalinI-gajaH su-jana-mAna-BaFga-Sani KDarp_1.41a
   vimuktanīlotpalapuṣpakuñjam KDarp_7.42b	vimukta-nIlotpala-puzpa-kuQjam KDarp_7.42b
   vimucye nānyathā hastāt KDarp_3.108c	vimucye na-anyaTA hastAt KDarp_3.108c
   viraktasya dhanena kim KDarp_2.58d	viraktasya Danena kim KDarp_2.58d
   virarājorjitaṃ vapuḥ KDarp_4.42d	virarAja-Urjitam vapuH KDarp_4.42d
   virasāsārasaṃsāra- KDarp_2.58c	virasa-AsAra-saMsAra KDarp_2.58c
   vilambikaṅkālakapālamālam KDarp_7.14b	vilambi-kaFkAla-kapAla-mAlam KDarp_7.14b
   vilāsadīkṣāṃ kurvāṇāṃ KDarp_3.81c	vilAsa-dIkzAm kurvANAm KDarp_3.81c
   vilāsahāsyena nabho babhūva KDarp_7.19c	vilAsa-hAsyena naBaH baBUva KDarp_7.19c
   vilokayannijabhujau KDarp_5.35c	vilokayat-nija-BujO KDarp_5.35c
   vilokitastvaṃ vasudhā- KDarp_4.48a	vilokitaH-tvam vasuDA KDarp_4.48a
   vilokya kāntaṃ munikāminīnāṃ KDarp_7.45c	vilokya kAntam muni-kAminInAm KDarp_7.45c
   vilokya kuryātkaḥ pāpaṃ KDarp_2.92c	vilokya kuryAt-kaH pApam KDarp_2.92c
   vilokyovāca sāvajña- KDarp_5.37c	vilokya-uvAca sa-avajQa KDarp_5.37c
   vilolaṃ lalanāmanaḥ KDarp_1.63d	vilolam lalanA-manaH KDarp_1.63d
   vivaśāhaṃ pramādinā KDarp_3.101b	vivaSa-aham pramAdinA KDarp_3.101b
   vivāsasastasya sasaṅgamaṅge KDarp_7.40a	vivAsasaH-tasya sa-saFgam-aFge KDarp_7.40a
   vividhāsvannapāliṣu KDarp_6.29b	viviDAsu-anna-pAlizu KDarp_6.29b
   vivekajananī katham KDarp_3.96b	viveka-jananI kaTam KDarp_3.96b
   vivekarahitā vidyā KDarp_3.25a	viveka-rahitA vidyA KDarp_3.25a
   vivekahīnaṃ virataprakāśaṃ KDarp_7.12c	viveka-hInam virata-prakASam KDarp_7.12c
   vivekaḥ svasthacetasām KDarp_3.110b	vivekaH svasTa-cetasAm KDarp_3.110b
   vivekāya namo namaḥ KDarp_1.2d	vivekAya namaH namaH KDarp_1.2d
   viśeṣaparitoṣitaiḥ KDarp_6.3b	viSeza-paritozitEH KDarp_6.3b
   viśeṣaramaṇīytām KDarp_4.43d	viSeza-ramaNIytAm KDarp_4.43d
   viśeṣaviṣamavyathāḥ KDarp_2.94b	viSeza-vizama-vyaTAH KDarp_2.94b
   viśeṣaḥ kleśadoṣasya KDarp_2.4c	viSezaH kleSa-dozasya KDarp_2.4c
   viṣaṇṇau vinatānanau KDarp_4.56d	vizaNNO vinata-AnanO KDarp_4.56d
   visārasaṃsāratarorna yena KDarp_7.8a	visAra-saMsAra-taroH-na yena KDarp_7.8a
   vismṛtā yāvaliptasya KDarp_3.45a	vismRtAH yA-avaliptasya KDarp_3.45a
   vihitābhyaṅgasaṃgamam KDarp_4.41b	vihita-aByaFga-saMgamam KDarp_4.41b
   vīkṣante mukhamāturāḥ KDarp_2.30d	vIkzante muKam-AturAH KDarp_2.30d
   vīkṣamāṇeva mūrcchitā KDarp_1.73d	vIkzamANA-iva mUrcCitA KDarp_1.73d
   vīṇeva śrotrahīnasya KDarp_3.51a	vINA-iva Srotra-hInasya KDarp_3.51a
   vṛttasaṃgamayoreva KDarp_4.30a	vRtta-saMgamayoH-eva KDarp_4.30a
   vṛttasaṃskṛtavādinam KDarp_3.64b	vRtta-saMskRta-vAdinam KDarp_3.64b
   vṛttāntaṃ nyapatadbhuvi KDarp_3.124d	vRttAntam nyapatat-Buvi KDarp_3.124d
   vṛttīnāmiva kaiśikī KDarp_4.19b	vRttInAm-iva kESikI KDarp_4.19b
   vṛtreṇa śakraḥ samare nigīrṇaḥ KDarp_5.6c	vRtreNa SakraH samare nigIrNaH KDarp_5.6c
   vṛddha sarāgaḥ kimato 'sti nindyaṃ KDarp_7.15c	vRdDa sa-rAgaH kim-atas asti nindyam KDarp_7.15c
   vṛddhasya śauryaṃ śithilāṅgasaṃdheḥ KDarp_5.3c	vRdDasya SOryam SiTila-aFga-saMDeH KDarp_5.3c
   vṛddhaḥ prayāti pavanena yadā jaḍatvaṃ KDarp_2.62c	vRdDaH prayAti pavanena yadA jaxa-tvam KDarp_2.62c
   vṛddhāndhā suṣuve putraṃ KDarp_2.76c	vRdDa-anDA suzuve putram KDarp_2.76c
   vegādagaṇitāṅkuśaḥ KDarp_1.45d	vegAt-agaNitAFkuSaH KDarp_1.45d
   vegāpte kālayavane KDarp_5.16a	vega-Apte kAlayavane KDarp_5.16a
   vetribhiḥ suragauravāt KDarp_4.40d	vetriBiH sura-gOravAt KDarp_4.40d
   vedhadrutaparīkṣayā KDarp_6.11b	veDa-druta-parIkzayA KDarp_6.11b
   veśyeva vittaṃ kavalīkaroti KDarp_4.5d	veSyA-iva vittam kavalIkaroti KDarp_4.5d
   vaicitryaṃ pūrvakarmāṇām KDarp_2.79b	vEcitryam pUrva-karmANAm KDarp_2.79b
   vaidyasyeva savittasya KDarp_2.30c	vEdyasya-iva sa-vittasya KDarp_2.30c
   vairāgyāvasare kena KDarp_2.91c	vErAgya-avasare kena KDarp_2.91c
   vairāyate suhṛdbhāvaḥ KDarp_1.34a	vErAyate suhRd-BAvaH KDarp_1.34a
   vairūpyaṃ sahajaṃ jarāhṛtaruciryāto yayātiḥ purā KDarp_4.74a	vErUpyam sahajam jarA-hRta-ruciH-yAtaH yayAtiH purA KDarp_4.74a
   vailakṣyalulitākṣaraiḥ KDarp_1.61d	vElakzya-lulita-akzarEH KDarp_1.61d
   voḍhāramājānuvilambibāhum KDarp_4.37b	voXAramAjA-anu-vilambi-bAhum KDarp_4.37b
   vyaṅgyādidoṣopahate kva rūpam KDarp_4.8d	vyaFgyAdi-doza-upahate kva rUpam KDarp_4.8d
   vyathā saṃjāyate yayā KDarp_3.38b	vyaTA saMjAyate yayA KDarp_3.38b
   vyadhādivānaṅganavāṅgasaṅge KDarp_7.34c	vyaDAt-iva-anaFga-navAFga-saFge KDarp_7.34c
   vyadhādvivādanirvedaiḥ KDarp_3.72c	vyaDAt-vivAda-nirvedEH KDarp_3.72c
   vyayena śaṅkanīyasya KDarp_2.51c	vyayena SaFkanIyasya KDarp_2.51c
   vyalambatārdraḥ karuṇārasena KDarp_2.99c	vyalambata-ArdraH karuNA-rasena KDarp_2.99c
   vyasoḥ kusumamāleva KDarp_3.51c	vyasoH kusuma-mAlA-iva KDarp_3.51c
   vyājena vidyā viphalībabhūva KDarp_3.153d	vyAjena vidyA viPalI-baBUva KDarp_3.153d
   vraṇaiḥ sa pūtikalila- KDarp_2.80a	vraNEH sa pUti-kalila KDarp_2.80a
   vratakliṣṭo 'pi jīvati KDarp_3.138d	vrata-klizwaH api jIvati KDarp_3.138d
   vratadīkṣāpare patyau KDarp_1.68a	vrata-dIkzA-pare patyO KDarp_1.68a
   vrataśeṣajuṣaḥ patyur KDarp_1.70c	vrata-Seza-juzaH patyuH KDarp_1.70c
   vrataṃ na veṣodbhaṭatulyavṛttam KDarp_7.13d	vratam na veza-udBawa-tulya-vRttam KDarp_7.13d
   vrataṃ bṛhadbandhanamāmananti KDarp_7.12d	vratam bRhadbanDanam-Amananti KDarp_7.12d
   śakrasevāgatāstatra KDarp_4.20a	Sakra-sevA-gatAH-tatra KDarp_4.20a
   śakraḥ pracakrame kartuṃ KDarp_3.55c	SakraH pracakrame kartum KDarp_3.55c
   śakraḥ prādādvaraṃ varam KDarp_3.62b	SakraH prAdAt-varam varam KDarp_3.62b
   śakraḥ śrīvirahe viveśa nalinīnālāntaralaṃ hriyā KDarp_2.68c	SakraH SrI-virahe viveSa nalinI-nAla-antaralam hriyA KDarp_2.68c
   śanaiḥ śanairāśramasaṃnikarṣaṃ KDarp_7.45a	SanEs SanEs-ASrama-saMnikarzam KDarp_7.45a
   śamakṣamādānadayāśrayāṇāṃ KDarp_1.81c	Samakzama-AdAna-daya-ASrayANAm KDarp_1.81c
   śayanastho dadāti yat KDarp_6.23b	Sayana-sTaH dadAti yat KDarp_6.23b
   śaraṇaṃ na muneḥ sutaḥ KDarp_3.119d	SaraNam na muneH sutaH KDarp_3.119d
   śarīrāṇi kulāni ca KDarp_1.75d	SarIrANi kulAni ca KDarp_1.75d
   śarairākīrṇavigrahaḥ KDarp_5.40b	SarEH-AkIrNa-vigrahaH KDarp_5.40b
   śalyadānena tena kim KDarp_6.16d	Salya-dAnena tena kim KDarp_6.16d
   śalyeneva dhanena kim KDarp_2.41d	Salyena-iva Danena kim KDarp_2.41d
   śavaḥ śibikayohyate KDarp_2.27d	SavaH SibikayA-uhyate KDarp_2.27d
   śavo 'pyarthena sakriyaḥ KDarp_2.26b	SavaH api-arTena sa-kriyaH KDarp_2.26b
   śaśāṅkalekhābharaṇaṃ babhāṣe KDarp_7.20d	SaSAFka-leKA-ABaraNam baBAze KDarp_7.20d
   śāntarūpamado 'bhavat KDarp_4.71d	SAnta-rUpa-madaH aBavat KDarp_4.71d
   śāntisvastividhāyine KDarp_6.25b	SAnti-svasti-viDAyine KDarp_6.25b
   śāntiṃ gatau kiṃ tu na kāmakopau KDarp_7.25d	SAntim gatO kim tu na kAma-kopO KDarp_7.25d
   śāpākṣarāmairbhramarairbhramadbhiḥ KDarp_7.59d	SApa-akza-rAmEH-BramarEH-BramadBiH KDarp_7.59d
