   tṛtīya ucchvāsaḥ	tRtIyaH ucCvAsaH
   asahāyaiśca sā duravāpā /	asahAyEH-ca sA duravApAH /
   tvaṃ cālamasmai karmaṇe /	tvam ca-alam-asmE karmaNe /
   tvayi ca gṛhītabhare bhaviṣyantyapare sahāyāstrayaḥ /	tvayi ca gRhIta-Bare Bavizyanti-apare sahAyAH-trayaH /
   ekaḥ sa evāsmākaṃ ṭāṭibhanāmā bālamitraṃ maskarī yo bhavantamupatiṣṭhate /	ekaH saH eva-asmAkam wAwiBa-nAmA bAla-mitram maskarI yaH Bavantam-upatizWate /
   dvitīyaḥ sa pātālasvāmī /	dvitIyaH sa pAtAlasvAmI /
   aparo macchiṣya eva kaṇatālanāmā drāviḍaḥ /	aparaH mad-SizyaH eva kaNatAla-nAmA drAvixaH /
   yadi sādhu manyase tato nīyatāmayaṃ diṅnāgahastadīrgho gṛhītāṭṭahāso	yadi sADu manyase tatas nIyatAm-ayam diFnAga-hasta-dIrGaH gRhIta-awwahAsaH-
   niśāmekāmekadiṅmukhārgalatāṃ bāhuḥ /	niSAm-ekAm-eka-diS-muKa-arga-latAm bAhuH /
   ' iti kṛtavacasi ca tasminnandhakārapraviṣṭa iva dṛṣṭaprakāśaḥ	a iti kRta-vacasi ca tasmin=-anDakAra-pravizwaH iva dRzwa-prakASaH
   prāptopakārādakāśaḥ pramuditenāntarātmanā narendraḥ	prApta-upakArAt-akASaH pramuditena-antarAtmanA narendraH
   samabhāṣata--"bhagavan! paramanugṛhīto 'smyanena śiṣyajanasāmānyena	sama-BAzata--"Baga-van! param-anugRhItaH asmi-anena Sizya-jana-sAmAnyena
   nideśena kṛtaparigrahamivātmānamavaimi' iti /	nideSena kRta-parigraham-iva-AtmAnam-avEmia iti /
   nananda ca tena narendravyāhṛtena bhairavācāryaḥ /	nananda ca tena narendra-vyAhRtena BErava-AcAryaH /
   cakāra ca saṃketam--"asyāmevāgāminyāmasitapakṣacaturdaśīkṣaṇayāmiyatyāṃ	cakAra ca saMketam--"asyAm-eva-AgAminyAm-asita-pakza-caturdaSIkzaNayAm-iyatyAm
   belāyāmamuṣmin mahāśmaśānasamīpabhāji śūnyāyatane śastradvitīyenāyuṣmatā	belAyAm-amuzmin mahA-aSmaSAna-samIpa-BAji SUnya-Ayatane Sastra-dvitIyena-AyuzmatA
   draṣṭavyā vayam' iti /	drazwavyAH vayama iti /
   athātikrānteṣvahaḥsu prāptāyāṃ ca tasyāmeva kṛṣṇacaturdaśyāṃ śaivena	aTa-atikrAntezu-ahaHsu prAptAyAm ca tasyAm-eva kRzNa-caturdaSyAm SEvena
   vidhinā dīkṣitaḥ kṣitipo niyamānabhūta /	viDinA dIkzitaH kzitipaH niyamAn-aBUta /
   kṛtādhivāsaṃ ca saṃpāditagandhadhūpamālyādipūjaṃ khaḍgamaṭṭahāsamakarot /	kRta-aDivAsam ca saMpAdita-ganDa-DUpa-mAlya-Adi-pUjam Kaxgam-awwahAsam-akarot /
   tataḥ pariṇate divase kenāpi karmasādhanāya kṛtarudhirabalividhānāsviva	tatas pariNate divase kena-api karma-sADanAya kRta-ruDira-bali-viDAnAsu-iva
   lohitāyamānāsu dikṣu rudhirabalilampaṭāsu ca belālajihvāsviva lambamānāsu	lohitAyamAnAsu dikzu ruDira-bali-lampawAsu ca belAla-jihvAsu-iva lambamAnAsu
   ca ravidīdhitiṣu, narendrānurāgeṇa gṛhītāparadiśi svayamiva dikpālatāṃ	ca ravi-dIDitizu, narendra-anurAgeNa gRhIta-apara-diSi svayam-iva dikpAlatAm
   cikīrṣati savitari, yātudhānīṣviva vardhamānāsu tarucchāyā,	cikIrzati savitari, yAtuDAnIzu-iva varDamAnAsu taru=-CAyA,
   pātālatalavāsiṣu vighnāya dānaveṣvivottiṣṭhatsu tamomaṇḍaleṣu, nabhasi	pAtAla-tala-vAsizu viGnAya dAnavezu-iva-uttizWatsu tamaH-maNxala-izu, naBasi
   puñjībhavati raudraṃ karma didṛkṣamāṇā iva nakṣatragaṇe vigāḍhāyāṃ	puQjIBavati rOdram karma didRkzamANAH iva nakzatra-gaNe vigAXAyAm
   śarvaryām, suptajane niḥśabdastimite niśīthe, rājā sāntaḥpuraṃ parijanaṃ	SarvarI-Am, supta-jane niHSabda-stimite niSITe, rAjA sa-antaHpuram parijanam
   vañcayitvā vāmakarasphuratsarurdakṣiṇakareṇotkhāta khaḍgamaṭṭahāsamādāya	vaQcayitvA vAma-kara-sPura-t-saruH-dakziNa-kareNa-utKAta Kaxgam-awwahAsam-AdAya
   visarpatā ca khaḍgaprabhāpaṭalena nīlāṃśukapaṭeneva	visarpatA ca Kaxga-praBA-pawalena nIla-aMSuka-pawena-iva
   darśanabhayādavaguṇṭhitanikhilagātrayapṭiranādiṣṭayāpyanugamyamāno	darSana-BayAt-avaguNWita-niKila-gAtrayapwiH-anAdizwayA-api-anugamyamAnaH-
   rājalakṣmyā pṛṣṭhataḥ parimalalagnamadhukaraveṇivyājena keśeṣviva	rAja-lakzmyA pRzWatas parimala-lagna-maDukaraveNi-vyAjena keSezu-iva
   karmasiddhimākarṣannekākī nagarānniragāt /	karma-sidDim-Akarzan=-ekAkI nagarAt-niragAt /
   agācca tamuddeśam /	agAt-ca tam-uddeSam /
   atha pratyupajagmuste trayo 'pi drauṇikṛpakṛtavarmāṇa iva sauptike	aTa pratyupajagmuH-te trayaH api drONi-kRpa-kRtavarmANaH iva sOptike
   saṃnaddhāḥ snātāḥ sragviṇo gṛhītavikaṭaveṣāḥ, kusumaśekharasaṃcāribhiḥ	saMnadDAH snAtAH sragviNaH gRhIta-vikawa-vezAH, kusuma-SeKara-saMcAriBiH
   kriyamāṇamantraśikhābandhā iva guñjadbhiḥ	kriyamANa-mantra-SiKA-banDAH iva guQjadBiH
   ṣaṭacaraṇeruṣṇīṣapaṭṭakāṃllalāṭamadhyaghaṭitavikaṭasvastikāgranthīnmahāmudrābandhāniva	zawa-caraNeH-uzNIza-pawwakAn=-lalAwa-maDya-Gawita-vikawa-svastikA-granTIn-mahAmudrA-banDAn-iva
   dhārayanto mūrdhabiḥ	DArayantaH mUrDabiH
   ekaśravaṇavivaravitatavimaladantapatraprabhālokalepadhavalitatakapolairmukhairāpibanta	eka-SravaNa-vivara-vitata-vimala-danta-patra-praBA-loka-lepa-Davalitata-kapolEH-muKEH-Apibanta
   iva niśācarāpacayacikīrṣayā śārvaramandhakāram, itarakarṇāvalambināṃ	iva niSAcara-apacaya-cikIrzayA SArvaram-anDakAram, itara-karNa-avalambinAm
   ratnakuṇḍalānāmacchayā rucā gorocanayeva mantraparijaptayā samālabdhāṅgāḥ,	ratna-kuNxalAnAm-acCayA rucAH gorocanayA-iva mantra-parijaptayA samAlabDa-aFgAH,
   svapratibimbagarbhān karmasiddhaye dattapuruṣopahārānivollāsayanto	sva-pratibimba-garBAn karma-sidDaye datta-puruza-upahArAn-iva-ullAsayantaH-
   niśitānnistriṃśān,	niSitAt-nistriMSAn,
   nistriṃśāṃśusaṃtānasīmāntatatibhirāmātmīyātmīyadigvibhāgasaṃrakṣaṇāya	nistriMSAMSu-saMtAna-sImAnta-tatiBirAmA-AtmIya-AtmIya-diS-viBAga-saMrakzaNAya
   tridheva triyāmāṃ pāṭayantaḥ sārdhacandraiḥ	triDA-iva triyAmAm pAwayantaH sArDacandrEH
   kaladhautabudbudāvalitaralatārāgaṇairniśāyā iva puraṣāsidārānikṛttaiḥ	kalaDOta-budbuda-Avalita-rala-tArA-gaNEH-niSAyAH iva purazAsi-dAra-anikRttEH
   khaṇḍairgṛhītaiścamaphalakairakāṇḍaśarvarīmaparāṃ ghaṭayantaḥ,	KaNxEH-gRhItEH-cama-PalakEH-akANxa-SarvarIm-aparAm GawayantaH,
   kāñcanaśṛṃṅkhalākalāpaniyamitanibiḍaniṣparavāṇayaḥ, baddhāsidhenavaḥ,	kAQcana-SRMFKalA-kalApa-niyamita-nibixa-nizparavANayaH, badDa-asi-DenavaH,
   ṭīṭibhakarṇatālapātālasvāmino niveditavantaścātmānam /	wIwiBa-karNa-tAla-pAtAla-svAminaH niveditavantaH-ca-AtmAnam /
   avanipatistu--"ko 'tra kaḥ?' iti trīnapṛcchat /	avanipatiH-tu--"kaH atra kaH?-a iti trIn-apRcCat /
   āccakṣire ca svaṃ sva nāma trayo 'pi te /	At-cakzire ca svam sva nAma trayaH api te /
   taireva cānugamyamāno jagāma tāṃ balidīpā	tEH-eva ca-anugamyamAnaH jagAma tAm bali-dIpA
   lokajarjaritagugguludhūpadhūmagṛhyamāṇadigvibhāgatayā	loka-jarjarita-guggulu-DUpa-DUma-gRhyamANa-diS-viBAga-tayA
   vikṣipyamāṇarakṣāsarṣapārdhadagdhāndhakārapalāyamānaniśāmiva	vikzipyamANa-rakzA-sarzapa-arDa-dagDa-anDakAra-palAyamAna-niSAm-iva
   samupakalpitasarvopakaraṇāṃ niḥśabdāṃ ca gambhīrāṃ ca bhīṣaṇāṃ ca	samupakalpita-sarva-upakaraNAm niHSabdAm ca gamBIrAm ca BIzaNAm ca
   sādhanabhūmim /	sADana-BUmim /
   tasyāṃ ca kumudadhūlidhavalena bhasmanā likhitasya mahato maṇḍalasya	tasyAm ca kumuda-DUli-Davalena BasmanA liKitasya mahataH maNxalasya
   madhye sthitaṃ dīptataratejaḥprasaram, pṛthupariveśaparikṣiptamiva	maDye sTitam dIptatara-tejaH-prasaram, pRTu-pariveSa-parikziptam-iva
   śaratsavitāram, mathyamānakṣīrodāvarttavartinamiva mandaram,	Sarad-savitAram, maTyamAna-kzIra-udAvartta-vartinam-iva mandaram,
   raktacandanānulepino raktasragambarābharaṇasyottānaśayasya	raktacandana-anulepinaH rakta-sraj-ambara-ABaraNasya-uttAna-Sayasya
   śavasyorasyupaviśya jātajātavedasi mukhakuhare prārabdhāgnikāryam,	Savasya-urasi-upaviSya jAta-jAtavedasi muKa-kuhare prArabDa-agni-kAryam,
   kṛṣṇoṣṇīṣam, kṛṣṇāṅgarāgam, kṛṣṇapratisaram, kṛṣṇavāsasam,	kRzNa-uzNIzam, kRzNa-aFgarAgam, kRzNa-pratisaram, kRzNa-vAsasam,
   kṛṣṇatilāhutinibhena vidyādharatvatṛṣṇayā	kRzNa-tila-Ahuti-niBena vidyADara-tva-tRzNayA
   mānuṣanimaṇikāraṇakāluṣyaparamāṇūniva kṣayamupanayantam,	mAnuza-nimaNi-kAraNa-kAluzya-paramANUn-iva kzayam-upanayantam,
   āhutidānaparyastābhiḥ pretamukhasparśadūṣitaṃ prakṣālayantamivāśuśukṣaṇiṃ	Ahuti-dAna-paryastABiH preta-muKa-sparSa-dUzitam prakzAlayantam-iva-ASu-SukzaNim
   karanakhadīdhitibhiḥ, dhūmālohitena cakṣuṣā kṣatajāhutimiva hutabhuji	karanaKa-dIDitiBiH, DUma-Alohitena cakzuzA kzataja-Ahutim-iva hutaBuji
   pātayantarm, iṣadvivṛtādharapuṭaprakaṭitasitadasanaśikhareṇa	pAtayantarm, izad-vivRta-aDara-puwa-prakawita-sita-dasana-SiKareNa
   dṛśyamānamūtaṃmantrākṣarapaṅktineva mukhena kimapi japantam,	dRSyamAna-mUtaMmantra-akzara-paFktinA-iva muKena kim-api japantam,
   homaśramasvedasalilapratibimbitābhirāsannadīpikābhirdahantamiva	homa-Srama-sveda-salila-pratibimbitABiH-Asat-nadIpikABiH-dahantam-iva
   karmasiddhaye sarvāvayavān, aṃsāvalambinā bahuguṇena vidyārājeneva	karma-sidDaye sarva-avayavAn, aMsa-avalambinA bahu-guNena vidyA-rAjena-iva
   brahnasūtraṇa parigṛhītaṃ bhairavācāryamapaśyat /	brahna-sUtraNa parigRhItam BErava-AcAryam-apaSyat /
   upasṛtya cākaronnamaskāram /	upasRtya ca-akarot-namaskAram /
   abhinanditaśca tena svavyāpāramanvatiṣṭhat /	aBinanditaH-ca tena sva-vyApAram-anvatizWat /
   atrāntare pātālasvāmī śātakratavīmāśāmahgīcakāra, karṇatālaḥ	atra-antare pAtAlasvAmI SAtakratavIm-ASA-mahgIcakAra, karNa-tAlaH
   koberīmparivrāṭ prācetasīm /	koberImparivrAj prAcetasIm /
   rājā tu traiśaṅkavena jyotiṣāṅkitāṃ kakubhamalaṅkṛtavān /	rAjA tu trESaFkavena jyotizA-aFkitAm kakuBam-alaFkRtavAn /
   evaṃ cāvasthiteṣu dikpāleṣu dikpālabhujapañjarapraviṣṭe visrabdhaṃ karma	evam ca-avasTitezu dikpAlezu dikpAla-Buja-paQjara-pravizwe visrabDam karma
   sādhayati bhairavaṃ bhairavācārye 'ticiraṃ ca kṛtakolāhaleṣu	sADayati BEravam BErava-AcArye ati-ciram ca kRta-kolAhalezu
   niṣphalaprayatnaṣu pratyūhakāriṣu śānteṣu kauṇapeṣu galatyardharātrasamaye	nizPala-prayatnazu pratyUha-kArizu SAntezu kONapezu galati-arDarAtra-samaye
   maṇḍalasya nātidavīyasyuttareṇākasmādeva	maNxalasya na-ati-davIyasi-uttareNa-akasmAt-eva
   pralayamahāvarāhadaṃṣṭrāvivaramiva darśayantī kṣitiradīryata /	pralaya-mahAvarAha-daMzwrA-vivaram-iva darSayantI kzitiH-adIryata /
   sahasaiva ca yasmādvivarādāśāvāraṇotkṣipta ivālānalohastambhaḥ,	sahasA-eva ca yasmAt-vivarAt-ASA-vAraNa-utkziptaH iva-AlAna-loha-stamBaH,
   mahāvarāhapīvaraskandhapīṭho narakāsura iva bhuvo garbhādudbhūto	mahAvarAha-pIvara-skanDa-pIWaH naraka-asuraH iva BuvaH garBAt-udBUtaH-
   balidānava iva bhitvotthitaḥ pātālam, indranīlaprāsāda	bali-dAnavaH iva BitvA-utTitaH pAtAlam, indranIla-prAsAda
   ivoparijvalitaratnapradīpaḥ,	iva-upari-jvalita-ratna-pradIpaH,
   snigdhanīlaghananibiḍakuṭilakuntalakāntamaulirunmīlanmālatīmuṇḍamālaḥ,	snigDa-nIla-Gana-nibixa-kuwila-kuntala-kAnta-mOliH-unmIlat-mAlatI-muNxa-mAlaH,
   gadgadatayā svarasya svabhāvapāṭalatayā ca cakṣuṣaḥ kṣība iva	gadgada-tayA svarasya svaBAva-pAwala-tayA ca cakzuzaH kzIbaH iva
   yauvanamadena valgadgaladāmakaḥ, karasaṃpuṭamṛditayā mṛdā	yOvana-madena valgadgala-dAmakaH, kara-saMpuwa-mRditayA mRdA
   diṅnāgakumbhābhāvaṃsakūṭaupunaḥpunaḥ paripaṅkayan	diFnAga-kumBa-aBAvaMsa-kUwa-Opunar-punar paripaFkayan
   sāndracandanakardamadattairavyavasthāsthāsakairatisitajaladharaśakalaśārita	sAndra-candana-kardama-dattEH-avyavasTA-sTAsakEH-atisita-jala-Dara-Sakala-SArita
   iva śāradākāśaikadeśaḥ, ketakīgarbhapatrapāṇḍurasya caṇḍātakasyopari	iva SArada-AkASa-eka-deSaH, ketakI-garBa-patra-pANxurasya caNxAtakasya-upari
   kṣāmatarīkṛtakukṣiḥ, kajñyābandhaṃ vidhāya vilāsavikṣiptena	kzAmatarIkRta-kukziH, kajQyA-banDam viDAya vilAsa-vikziptena
   dhavalavyāyāmaphālīpaṭāntena dharaṇitalagatena dhāryamāṇa iva pṛṣṭhataḥ	Davala-vyAyAma-PAlI-pawa-antena DaraNi-tala-gatena DAryamANaH iva pRzWatas-
   śepeṇa, sthirasthūlorudaṇḍaḥ, bhūmibhaṅgabhayeneva mantharāṇi	SepeNa, sTira-sTUla-UrudaNxaH, BUmi-BaFga-Bayena-iva manTarANi
   sthāpayanpadāni nirbharagarvaguru kathamapi śailamiva gātramudvahan	sTApayan-padAni nirBara-garva-guru kaTam-api SElam-iva gAtram-udvahan
   darpeṇa muhurmuhururasi dviguṇite doṣṇi vāme tiryagutkṣipte ca dakṣiṇe	darpeNa muhur-muhur-urasi dvi-guNite dozNi vAme tiryak-utkzipte ca dakziNe
   jaṅghākāṇḍe kuṇḍalite ca caṇḍāsphoṭanaṭāṅkāraiḥ karṇavighnanirghātāniva	jaFGA-kANxe kuNxalite ca caNxa-AsPowa-nawa-aFkArEH karNa-viGna-nirGAtAn-iva
   pātayannekendriyavikalamiva jīvalokaṃ kurvan kuvalayaśyāmalaḥ puruṣa	pAtayan=-eka-indriya-vikalam-iva jIva-lokam kurvan kuvalaya-SyAmalaH puruza
   ujjagāma jagāda ca vihasya narasiṃhanādanirghoṣaghorayā bhāratyā--"bho	ujjagAma jagAda ca vihasya nara-siMha-nAda-nirGoza-GorayA BArati-A--"BaH-
   vidyādharośraddhākāmuka! kimayaṃ "vadyāvalepaḥ sahāyamado vā yadasmai	vidyADaraH-SradDA-kAmuka! kim-ayam "vadya-avalepaH sahAya-madaH vA yat-asmE
   janāyāvidhāya baliṃ bāliśa iva siddhimabhilaṣasi? kā te durbuddhiriyam?	janAya-AviDAya balim bAliSaH iva sidDim-aBilazasi? kA te durbudDiH-iyam?
   etāvatā kālena kṣetrādhipatirasya mannāmnaiva labdhavyapadeśasya deśasya	etAvatA kAlena kzetra-aDipatiH-asya mad-nAmnA-eva labDa-vyapadeSasya deSasya
   nāgataste śrotropakaṇṭhaṃ śrīkaṇṭhanāmā nāgo 'ham? anicchati mayi kā	na-AgataH-te Srotra-upakaNWam SrIkaNWa-nAmA nAgaH aham? anicCati mayi kA
   śaktirgrahaṇasyāpi gantuṃ gagane /	SaktiH-grahaNasya-api gantum gagane /
   bhūnātho 'pyayamanāthastapasvī yastvādṛśaiḥ śaivāpasadairupakaraṇīkriyate	BUnATaH api-ayam-anATaH-tapasvI yaH-tvAdRSEH SEva-apa-sadEH-upakaraNIkriyate
   sahasvedānīṃ sahāmunā durnarendreṇa durnayasya phalam' ityabhidhāya ca	saha-sva-idAnIm saha-amunA durnara-indreNa durnayasya Palam-a iti-aBiDAya ca
   niṣṭhuraiḥ prakoṣṭhaprahāraistrīnapi ṭīṭibhaprabhṛtīnabhimukhaṃ	nizWurEH prakozWa-prahArEH-trIn-api wIwiBa-praBRtIn-aBimuKam
   pradhāvitān saśarīrāvaraṇakṛpāṇānapātayat /	praDAvitAn sa-SarIra-AvaraNa-kRpANa-an-apAtayat /
   athāpūrvādhikṣepaśravaṇādaśastravraṇairapyamarṣasvedacchalenānekasamarapītamasidhārājalamiva	aTa-apUrva-aDikzepa-SravaNAt-aSastra-vraNEH-api-amarza-sveda=-Calena-aneka-samara-pItam-asi-DArA-jalam-iva
   vamadbhiravayavairapi romāñcanibena	vamadBiH-avayavEH-api romAQca-nibena
   muktaśaraśataśalyanikarabharalaghumivātmānaṃ raṇāya kurvadbhiraṭṭahāsenāpi	mukta-Sara-Sata-Salya-nikara-Bara-laGum-iva-AtmAnam raNAya kurvadBiH-awwahAsena-api
   pratibimbitatārāgarṇana spaṣṭadṛṣṭadhavaladantamālāmavajñayā hasatava	pratibimbita-tArA-garNana spazwa-dRzwa-Davala-danta-mAlAm-avajQayA hasatava
   kathyamānasatvāvaṣṭambhaḥ	kaTyamAna-satva-avazwamBaH
   parikarabandhavibramabhramitakaranakhakiraṇacakravālena vyapagamanāśaṅkyā	parikara-banDa-vibrama-Bramita-kara-naKa-kiraNa-cakravAlena vyapagamana-ASaFkyA
   nāgadamanamantramaṇḍalabandheneva rundhan daśadiśo naranāthaḥ	nAga-damana-mantra-maNxala-banDena-iva runDan daSa-diSaH nara-nATaH
   sāvajñamavādīt--"are kākodara kāka! mayi sthite rājahaṃse na jihreṣi baliṃ	sa-avajQam-avAdIt--"are kAkodara kAka! mayi sTite rAjahaMse na jihrezi balim
   yācitum? amībhiḥ kiṃ vā paruṣabhāṣitaiḥ? bhuje vīryaṃ nivasati, na vāci /	yAcitum? amIBiH kim vA paruza-BAzitEH? Buje vIryam nivasati, na vAci /
   pratipadyasva śastram /	pratipadyasva Sastram /
   ayaṃ na bhavasi /	ayam na Bavasi /
   agṛhītahetiṣvaśikṣito me bhujaḥ prahartum' iti /	agRhIta-hetizu-aSikzitaH me BujaH prahartuma iti /
   nāgastvanādṛtataram--"ehi, kiṃ śastreṇa? bhujābhyāmevabhanajajmi bhavato	nAgaH-tu-anAdRtataram--"ehi, kim SastreNa? BujAByAm-eva-Banajajmi BavataH-
   darpam' ityabhidhāyāsphoṭayāmāsa /	darpam-a iti-aBiDAya-AsPowayAmAsa /
   narapatirapi nirāyudhamāyudhena yudhi lajjamāno jetumutsṛjya	narapatiH-api nirAyuDam-AyuDena yuDi lajjamAnaH jetum-utsRjya
   sacarmaphalakamaṭṭahāsamasimardhoruksayopari babandha bāhuyuddhāya kakṣyām	sa-carma-Pala-kam-awwahA-sam-asim-arDoruksayA-upari babanDa bAhu-yudDAya kakzyAm
   yuyudhāte ca nirdayāsphoṭanasphuṭitabhujarudhiraśīkarasicyamānau	yuyuDAte ca nirdaya-AsPowana-sPuwita-Buja-ruDira-SIkara-sicyamAnO
   śilāstambhairiva patadbhirbāhudaṇḍaiḥ śabdamayamiva kurvāṇau bhuvanaṃ tau	SilA-stamBEH-iva patadBiH-bAhu-daNxEH Sabda-mayam-iva kurvANO Buvanam tO
   na cirācca pātayāmāya bhūtale bhujaṅgamaṃ bhūpatiḥ /	na cirAt-ca pAtayAmAya BU-tale BujaFgamam BUpatiH /
   jagrāha ca keśeṣu /	jagrAha ca keSezu /
   uccakhāna ca śiraśchettumaṭṭahāsam /	uccaKAna ca SiraH-Cettum-awwahAsam /
   apaśyacca vaikakṣakamālāntareṇāsya yajñopavītam /	apaSyat-ca vEkakzaka-mAlA-antareNa-asya yajQopavItam /
   upasaṃhṛtaśastravyāpāraścāvādīt--durvinīta! asti te	upasaMhRta-Sastra-vyApAraH-ca-avAdIt--durvinIta! asti te
   durnayanirvāhabījamidam /	durnaya-nirvAha-bIjam-idam /
   yato viśrabdhamevācarasi cāpalāni' ityuktvotsasarja ca tam /	yatas viSrabDam-eva-Acarasi cApalAni-a iti-uktvA-utsasarja ca tam /
   anantaraṃ ca sahasaivātibahalāṃ jyotsnāṃ dadarśa /	anantaram ca sahasA-eva-ati-bahalAm jyotsnAm dadarSa /
   śaradi vikasatāṃ kamalavanānāmiva ca ghrāṇāvalepinamāmodamajighrat /	Saradi vikasatAm kamala-vanAnAm-iva ca GrANa-avalepinam-Amodam-ajiGrat /
   jhaṭiti ca nūpuraśabdamaśṛṇot /	Jawiti ca nUpura-Sabdam-aSRNot /
   vyāpārayāmāsa ca śabdānusāreṇa dṛṣṭim /	vyApArayAmAsa ca Sabda-anusAreNa dRzwim /
   atha karatalasthitasyāṭṭahāsasya madhye taḍitamiva nīlajaladharodare	aTa kara-tala-sTitasya-awwahAsasya maDye taxitam-iva nIla-jala-Dara-udare
   sphurantīṃ prabhayā pibantīmiva triyāmām, tāmarasahastām,	sPurantIm praBayA pibantIm-iva triyAmAm, tAmarasa-hastAm,
   komalāṅgulirāgarājijālakāni ca caraṇalagnāni	komala-aFguli-rAga-rAji-jAlakAni ca caraNa-lagnAni
   velābālavidrumalatāvanānīvākarṣantīm, karapaṅkajasaṃkocāśaṅkayā	velA-bAla-vidruma-latA-vanAni-iva-AkarzantIm, kara-paFkaja-saMkoca-ASaFkayA
   śaśāṅkamaṇḍalamiva khaṇḍaśaḥ kṛtaṃ nirmalacaraṇanakhanivahanibhena	SaSAFka-maNxalam-iva KaNxaSas kRtam nirmala-caraNa-naKa-nivaha-niBena
   bibhratīm, gulphāvalambinūpurapuṭatayā sthitanibiḍakaṭakāvalibandhanādiva	biBratIm, gulPa-avalambi-nUpura-puwa-tayA sTita-nibixa-kawaka-Avali-banDanAt-iva
   paribhraśyāgatām,	pariBraSya-AgatAm,
   bahuvidhakusumaśakuniśataśobhitātpavanacalitatanutaraṅgādatisvacchādaṃśukādudadhisalilādivottarantīm,	bahuviDa-kusuma-Sakuni-Sata-SoBitAt-pavana-calita-tanu-taraFgAt-ati-svacCAt-aMSukAt-udaDi-salilAdiva-uttarantIm,
   udadhijanmapremṇā trivalicchalena tripathagayeva pariṣvaktamadhyām,	udaDi-janma-premNA tri-vali=-Calena tripaTagayA-iva parizvakta-maDyAm,
   atyunnatastanamaṇḍalām, dṛśyamānadiṅnāgakumbhāmiva kakubham,	ati-unnata-stana-maNxalAm, dRSyamAna-diFnAga-kumBAm-iva kakuBam,
   madalagnairāvatakaraśīkaranikaramiva śarattārāgaṇatāraṃ hāramurasā	mada-lagna-ErAvata-kara-SIkara-nikaram-iva Sarad-tArA-gaNa-tAram hAram-urasA
   dadhānām, dhavalacāmarairiva ca	daDAnAm, Davala-cAmarEH-iva ca
   mandamandaniḥśvāsadolāyitairhārakiraṇairupavījyamānām, svabhāvalohitena	manda-manda-niHSvAsa-dolAyitEH-hAra-kiraNEH-upavIjyamAnAm, svaBAva-lohitena
   madāndhagandhebhakumbhāsphālanasaṃkrāntasindūreṇena karadvayena	mada-anDa-ganDa-iBa-kumBa-AsPAlana-saMkrAnta-sindUreNena kara-dvayena
   dyotamānām, haraśikhaṇḍendudvitīyakhaṇḍeneva kuṇḍalīkṛtena jyotsnāmucā	dyotamAnAm, hara-SiKaNxa-indu-dvitIya-KaNxena-iva kuNxalIkRtena jyotsnA-mucA
   dantapatreṇa vibhrājamānām, kaustubhagabhastistabakeneva ca	danta-patreNa viBrAjamAnAm, kOstuBa-gaBasti-stabakena-iva ca
   śravaṇalagnenāśokakisalayenālaṅkṛtām, mahatā mattamātaṅgamadamayena	SravaNa-lagnena-aSoka-kisalayena-alaFkRtAm, mahatA matta-mAtaFga-mada-mayena
   tilakenādṛśyacchatracchāyāmaṇḍalasenevāvirahitalalāṭām,	tilakena-adRSya=-Catra=-CAyA-maNxala-senA-iva-avirahita-lalAwAm,
   āpādatalādāsīmantācca candrātapadhavalena candanenādirājayaśaseva	ApAda-tala-AdAsIm-antAt-ca candra-Atapa-Davalena candanena-AdirAja-yaSasA-iva
   dhavalīkṛtām, dharaṇitalacumbinībiḥ kaṇṭhakusumamālābhiḥ saridbhiriva	DavalIkRtAm, DaraNi-tala-cumbinIbiH kaNWa-kusuma-mAlABiH saridBiH-iva
   sāgarādhiṣṭhātrībhiradhiṣṭhitām, mṛṇālakomalairavayavaiḥ	sAgara-aDizWAtrIBiH-aDizWitAm, mRNAla-komalEH-avayavEH
   kamalasaṃbhavatvamanakṣaramācakṣāṇā striyamapaśyat /	kamala-saMBava-tvam-anakzaram-AcakzANA striyam-apaSyat /
   asaṃbhrāntaśca papraccha--"bhadre! kāsi, kimarthaṃ vā	asaMBrAntaH-ca papracCa--"Badre! kAsi, kimarTam vA
   darśanapathamāgatāsi?' iti /	darSana-paTam-Agata-asi?-a iti /
   sā tu strījanaviruddhenāvaṣṭembhenābhivantīvābhāṣata tam--"vīra! viddhi	sA tu strI-jana-virudDena-avazwa-imBena-aBivanti-iva-aBAzata tam--"vIra! vidDi
   māṃ nārāyaṇoraḥsthalīlīlāvihārahariṇīm,	mAm nArAyaNa-uraH-sTalI-lIlA-vihAra-hariNIm,
   pṛthubharatabhagīrathādirājavaṃśapatākām,	pRTu-Barata-BagIraTa-Adi-rAja-vaMSa-patAkAm,
   subhaṭabhujajayastambhavilāsaśālabhañjikām,	su-Bawa-Buja-jaya-stamBa-vilAsa-SAla-BaQjikAm,
   raṇarudhirataraṅgiṇotaraṅgakrīḍādohadadurlalitarājahaṃsīm,	raNa-ruDira-taraFgiNa-utaraFga-krIxA-dohada-durlalita-rAjahaMsIm,
   sitanṛpacchatraṣaṇḍaśikhaṇḍinīm,	sita-nRpa=-Catra-zaNxa-SiKaNxinIm,
   atiniśitaśastradhārāvanabhramaṇavibhramasiṃhīm, asidhārājalakamalinīṃ	ati-niSita-Sastra-DArA-vana-BramaNa-viBrama-siMhIm, asi-DArA-jala-kamalinIm
   śriyam /	Sriyam /
   apahṛtāsmi tavāmunā śauryarasena /	apahRtA-asmi tava-amunA SOrya-rasena /
