   vāyavīyasaṃhitā	vAyavIya saMhitA
   tasmāttripuṇḍramevaikaṃ likheduddhūlanaṃ vinā // ŚivP_7.2,21.35ab/	tasmAt tripuNxram eva ekam liKet udDUlanam vinA // ŚivS _7.2,21.35ab/
   rudrākṣāndhārayedmūrdhni kaṃṭhe śrote kare tathā // ŚivP_7.2,21.35cd/	rudrAkzAn DArayet mUrDni kaMWe Srote kare taTA // ŚivS _7.2,21.35cd/
   suvarṇavarṇamacchinnaṃ śubhaṃ nānyairdhṛtaṃ śubham // ŚivP_7.2,21.36ab/	suvarNa varNam acCinnam SuBam na anyEH DRtam SuBam // ŚivS _7.2,21.36ab/
   viprādīnāṃ kramācchreṣṭhaṃ pītaṃ raktamathāsitam // ŚivP_7.2,21.36cd/	vipra AdInAm kramAt SrezWam pItam raktam aTa asitam // ŚivS _7.2,21.36cd/
   tadalābhe yathālābhaṃ dhāraṇīyamadūṣitam // ŚivP_7.2,21.37ab/	tad alABe yaTAlABam DAraNIyam adUzitam // ŚivS _7.2,21.37ab/
   tatrāpi nottaraṃ nīcairdhāryaṃ nīcamathottaraiḥ // ŚivP_7.2,21.37cd/	tatra api na uttaram nIcEH DAryam nIcam aTa uttarEH // ŚivS _7.2,21.37cd/
   nāśucirdhārayedakṣaṃ sadā kāleṣu dhārayet // ŚivP_7.2,21.38ab/	na aSuciH DArayet akzam sadA kAlezu DArayet // ŚivS _7.2,21.38ab/
   itthaṃ trisaṃdhyamathavā dvisaṃdhyaṃ sakṛdeva vā // ŚivP_7.2,21.38cd/	itTam trisaMDyam aTavA dvi saMDyam sakRt eva vA // ŚivS _7.2,21.38cd/
   kṛtvā snānādikaṃ śaktyā pūjayetparameśvaram // ŚivP_7.2,21.39ab/	kRtvA snAna Adikam SaktyA pUjayet parameSvaram // ŚivS _7.2,21.39ab/
   prajāsthānaṃ samāsādya baddhvā ruciramāsanam // ŚivP_7.2,21.39cd/	prajA sTAnam samAsAdya badDvA ruciram Asanam // ŚivS _7.2,21.39cd/
   dhyāyeddevaṃ ca devīṃ ca prāṅmukho vāpyudaṅmukhaḥ // ŚivP_7.2,21.40ab/	DyAyet devam ca devIm ca prAFmuKaH vA api udaFmuKaH // ŚivS _7.2,21.40ab/
   śvetādīnnakulīśāṃtāṃstacchiṣyānpraṇamedgurum // ŚivP_7.2,21.40cd/	Sveta AdIn nakulISAMtAn= tad SizyAn praNamet gurum // ŚivS _7.2,21.40cd/
   punardevaṃ śivaṃ natvā tato nāmāṣṭakaṃ japet // ŚivP_7.2,21.41ab/	punar devam Sivam natvA tatas nAma azwakam japet // ŚivS _7.2,21.41ab/
   śivo maheśvaraścaiva rudro viṣṇuḥ pitāmahaḥ // ŚivP_7.2,21.41cd/	SivaH maheSvaraH ca eva rudraH vizNuH pitAmahaH // ŚivS _7.2,21.41cd/
   saṃsāravaidyassarvajñaḥ paramātmeti cāṣṭakam // ŚivP_7.2,21.42ab/	saMsAra vEdyassarva jQaH paramAtmA iti ca azwakam // ŚivS _7.2,21.42ab/
   athavā śivamevaikaṃ japitvaikādaśādhikam // ŚivP_7.2,21.42cd/	aTavA Sivam eva ekam japitvA ekAdaSa aDikam // ŚivS _7.2,21.42cd/
   jihvāgre tejaso rāśiṃ dhyātvāvyādhyādiśāṃtaye // ŚivP_7.2,21.43ab/	jihvA agre tejasaH rASim DyAtvA avyADi Adi SAMtaye // ŚivS _7.2,21.43ab/
   prakṣālya caraṇau kṛtvā karau caṃdanacarcitau // ŚivP_7.2,21.43cd/	prakzAlya caraNO kRtvA karO caMdana carcitO // ŚivS _7.2,21.43cd/
   prakurvīta karanyāsaṃ karaśodhanapūrvakam // ŚivP_7.2,21.43ef/	prakurvIta karanyAsam kara SoDana pUrvakam // ŚivS _7.2,21.43ef/
   oṃ iti śrīśivamahāpurāṇe saptamyāṃ vāyavīyasaṃhitāyāmuttarakhaṇḍe	om iti SrI Siva mahApurANe saptamyAm vAyavIya saMhitAyAm uttara KaNxe
   nityanaimittikakarmavarṇanaṃ nāmaikaviṃśo 'dhyāyaḥ	nityanEmittikakarmavarNanam nAma ekaviMSaH aDyAyaH
   Chapter 22	ChapteH 22
   upamanyuruvāca	upamanyuH uvAca
   nyāsastu trividhaḥ proktaḥ sthityutpattilayakramāt // ŚivP_7.2,22.1ab/	nyAsaH tu triviDaH proktaH sTiti utpatti laya kramAt // ŚivS _7.2,22.1ab/
   sthitirnyāso gṛhasthānāmutpattirbrahmacāriṇām // ŚivP_7.2,22.1cd/	sTitiH nyAsaH gRhasTAnAm utpattiH brahmacAriNAm // ŚivS _7.2,22.1cd/
   570a	570a
   yatīnāṃ saṃhṛtinyāso vanasthānāṃ tathaiva ca // ŚivP_7.2,22.2ab/	yatInAm saMhRti nyAsaH vanasTAnAm taTA eva ca // ŚivS _7.2,22.2ab/
   sa eva bhartṛhīnāyāḥ kuṭuṃbinyāḥ sthitirbhavet // ŚivP_7.2,22.2cd/	saH eva BartR hInAyAH kuwuMbinyAH sTitiH Bavet // ŚivS _7.2,22.2cd/
   kanyāyāḥ punarutpattiṃ vakṣye nyāsasya lakṣaṇam // ŚivP_7.2,22.3ab/	kanyAyAH punar utpattim vakzye nyAsasya lakzaNam // ŚivS _7.2,22.3ab/
   aṃguṣṭhādikaniṣṭhāṃtaṃ sthitinyāsa udāhṛtaḥ // ŚivP_7.2,22.3cd/	aMguzWa Adi kanizWA aMtam sTiti nyAsaH udAhRtaH // ŚivS _7.2,22.3cd/
   dakṣiṇāṃguṣṭhamārabhya vāmāṃguṣṭhāntameva ca // ŚivP_7.2,22.4ab/	dakziNa aMguzWam AraBya vAma aMguzWa antam eva ca // ŚivS _7.2,22.4ab/
   utpattinyāsa ākhyāto viparītastu saṃhṛtiḥ // ŚivP_7.2,22.4cd/	utpatti nyAsaH AKyAtaH viparItaH tu saMhRtiH // ŚivS _7.2,22.4cd/
   sabiṃdukānnakārādīnvarṇānnyasyedanukramāt // ŚivP_7.2,22.5ab/	sa biMduka an nakAra AdIn varNAn nyasyet anukramAt // ŚivS _7.2,22.5ab/
   aṃgulīṣu śivaṃ nyasyettalayorapyanāmayoḥ // ŚivP_7.2,22.5cd/	aMgulIzu Sivam nyasyet talayoH api anAmayoH // ŚivS _7.2,22.5cd/
   astranyāsaṃ tataḥ kṛtvā daśadikṣvastramaṃtrataḥ // ŚivP_7.2,22.6ab/	astra nyAsam tatas kRtvA daSa dikzu astramaMtrataH // ŚivS _7.2,22.6ab/
   nivṛttyādikalāḥ pañca pañcabhūtasvarūpiṇīḥ // ŚivP_7.2,22.6cd/	nivRtti Adi kalAH paQca paQcaBUta svarUpiNIH // ŚivS _7.2,22.6cd/
   pañcabhūtādhipaissārdhaṃ tataccihnasamanvitāḥ // ŚivP_7.2,22.7ab/	paQcaBUta aDipEH sArDam tatat cihna samanvitAH // ŚivS _7.2,22.7ab/
   hṛtkaṇṭatālubhrūmadhyabrahmarandhrasamāśrayāḥ // ŚivP_7.2,22.7cd/	hRd kaNwa tAlu BrU maDya brahma ranDra samASrayAH // ŚivS _7.2,22.7cd/
   tadtadbījena saṃgraṃthīstadtadbījeṣu bhāvayet // ŚivP_7.2,22.8ab/	tad tat bIjena saMgraMTIH tad tad bIjezu BAvayet // ŚivS _7.2,22.8ab/
   tāsāṃ viśodhanārthāya vidyāṃ pañcākṣarīṃ japet // ŚivP_7.2,22.8cd/	tAsAm viSoDana arTAya vidyAm paQcAkzarIm japet // ŚivS _7.2,22.8cd/
   niruddhvā prāṇavāyuṃ ca guṇasaṃkhyānusārataḥ // ŚivP_7.2,22.9ab/	nirudDvA prANa vAyum ca guNa saMKyA anusArataH // ŚivS _7.2,22.9ab/
   bhūtagraṃthiṃ tataśchidyādastreṇaivāstramudrayā // ŚivP_7.2,22.9cd/	BUta graMTim tatas Cit yAt astreNa eva astra mudrayA // ŚivS _7.2,22.9cd/
   nāḍyā suṣumnayātmānaṃ preritaṃ prāṇavāyunā // ŚivP_7.2,22.10ab/	nAxyA suzumnayA AtmAnam preritam prANa vAyunA // ŚivS _7.2,22.10ab/
   nirgataṃ brahmarandhreṇa yojayecchivatejasā // ŚivP_7.2,22.10cd/	nirgatam brahmaranDreNa yojayet Siva tejasA // ŚivS _7.2,22.10cd/
   viśoṣya vāyunā paścāddehaṃ kālāgninā dahet // ŚivP_7.2,22.11ab/	viSozya vAyunA paScAt deham kAlAgninA dahet // ŚivS _7.2,22.11ab/
   tataścoparibhāvena kalāssaṃhṛtya vāyunā // ŚivP_7.2,22.11cd/	tatas ca upari BAvena kalA ssaMhRtya vAyunA // ŚivS _7.2,22.11cd/
   dehaṃ saṃhṛtya vai dagdhaṃ kalāsspṛṣṭvā sahābdhinā // ŚivP_7.2,22.12ab/	deham saMhRtya vE dagDam kalAsspRzwvA saha abDinA // ŚivS _7.2,22.12ab/
   plāvayitvāmṛtairdehaṃ yathāsthānaṃ niveśayet // ŚivP_7.2,22.12cd/	plAvayitvA amRtEH deham yaTAsTAnam niveSayet // ŚivS _7.2,22.12cd/
   atha saṃhṛtya vai dagdhaḥ kalāsargaṃ vinaiva tu // ŚivP_7.2,22.13ab/	aTa saMhRtya vE dagDaH kalA sargam vinA eva tu // ŚivS _7.2,22.13ab/
   amṛtaplāvanaṃ kuryādbhasmībhūtasya vai tataḥ // ŚivP_7.2,22.13cd/	amRta plAvanam kuryAt BasmIBUtasya vE tatas // ŚivS _7.2,22.13cd/
   tato vidyāmaye tasmindehe dīpaśikhākṛtim // ŚivP_7.2,22.14ab/	tatas vidyA maye tasmin dehe dIpa SiKA AkRtim // ŚivS _7.2,22.14ab/
   śivānnirgatamātmānaṃ brahmaraṃdhreṇa yojayet // ŚivP_7.2,22.14cd/	SivAt nirgatam AtmAnam brahmaraMDreNa yojayet // ŚivS _7.2,22.14cd/
   dehasyāntaḥ praviṣṭaṃ taṃ dhyātvā hṛdayapaṃkaje // ŚivP_7.2,22.15ab/	dehasya antar pravizwam tam DyAtvA hRdaya paMkaje // ŚivS _7.2,22.15ab/
   punaścāmṛtavarṣeṇa siṃcedvidyāmayaṃ vapuḥ // ŚivP_7.2,22.15cd/	punar ca amRta varzeNa siMcet vidyA mayam vapuH // ŚivS _7.2,22.15cd/
   tataḥ kuryātkaranyāsaṃ karaśodhanapūrvakam // ŚivP_7.2,22.16ab/	tatas kuryAt karanyAsam kara SoDana pUrvakam // ŚivS _7.2,22.16ab/
   dehanyāsaṃ tataḥ paścānmahatyā mudrayā caret // ŚivP_7.2,22.16cd/	deha nyAsam tatas paScAt mahatyA mudrayA caret // ŚivS _7.2,22.16cd/
   aṃganyāsaṃ tataḥ kṛtvā śivoktena tu vartmanā // ŚivP_7.2,22.17ab/	aMganyAsam tatas kRtvA Siva uktena tu vartmanA // ŚivS _7.2,22.17ab/
   varṇanyāsaṃ tataḥ kuryāddhastapādādisaṃdhiṣu // ŚivP_7.2,22.17cd/	varNa nyAsam tatas kuryAt hasta pAda Adi saMDizu // ŚivS _7.2,22.17cd/
   ṣaḍaṃgāni tato nyasya jātiṣaṭkayutāni ca // ŚivP_7.2,22.18ab/	zaz aMgAni tatas nyasya jAti zawka yutAni ca // ŚivS _7.2,22.18ab/
   digbaṃdhamācaretpaścādāgneyādi yathākramam // ŚivP_7.2,22.18cd/	digbaMDam Acaret paScAt Agneya Adi yaTAkramam // ŚivS _7.2,22.18cd/
   yadvā mūrdhādipañcāṃgaṃ nyāsameva samācaret // ŚivP_7.2,22.19ab/	yat vA mUrDa Adi paQca aMgam nyAsam eva samAcaret // ŚivS _7.2,22.19ab/
   tathā ṣaḍaṃganyāsaṃ ca bhūtaśuddhyādikaṃ vinā // ŚivP_7.2,22.19cd/	taTA zaxaMga nyAsam ca BUtaSudDi Adikam vinA // ŚivS _7.2,22.19cd/
   evaṃ samāsarūpeṇa kṛtvā dehātmaśodhanam // ŚivP_7.2,22.20ab/	evam samAsa rUpeNa kRtvA deha Atma SoDanam // ŚivS _7.2,22.20ab/
   śivabhāvamupāgamya pūjayetparameśvaram // ŚivP_7.2,22.20cd/	Siva BAvam upAgamya pUjayet parameSvaram // ŚivS _7.2,22.20cd/
   atha yasyāstyavasaro nāsti vā mativibhramaḥ // ŚivP_7.2,22.21ab/	aTa yasya asti avasaraH na asti vA mati viBramaH // ŚivS _7.2,22.21ab/
   sa vistīrṇena kalpena nyāsakarma samācaret // ŚivP_7.2,22.21cd/	sa vistIrNena kalpena nyAsa karma samAcaret // ŚivS _7.2,22.21cd/
   tatrādyo mātṛkānyāso brahmanyāsastataḥ paraḥ // ŚivP_7.2,22.22ab/	tatra AdyaH mAtRkA nyAsaH brahma nyAsaH tatas paraH // ŚivS _7.2,22.22ab/
   tṛtīyaḥ praṇavanyāso haṃsanyāsastaduttaraḥ // ŚivP_7.2,22.22cd/	tRtIyaH praNava nyAsaH haMsa nyAsaH tad uttaraH // ŚivS _7.2,22.22cd/
   pañcamaḥ kathyate sadbhirnyāsaḥ pañcākṣarātmakaḥ // ŚivP_7.2,22.23ab/	paQcamaH kaTyate sadBiH nyAsaH paQcAkzara AtmakaH // ŚivS _7.2,22.23ab/
   570b	570b
   eteṣvekamanekaṃ vā kuryātpūjādi karmasu // ŚivP_7.2,22.23cd/	etezu ekam anekam vA kuryAt pUjA Adi karmasu // ŚivS _7.2,22.23cd/
   akāraṃ mūrdhni vinyasya ākāraṃ ca lalāṭake // ŚivP_7.2,22.24ab/	akAram mUrDni vinyasya AkAram ca lalAwake // ŚivS _7.2,22.24ab/
   iṃ īṃ ca netrayostadvat uṃ ūṃ śravaṇayostathā // ŚivP_7.2,22.24cd/	im Im ca netrayoH tadvat um Um SravaNayoH taTA // ŚivS _7.2,22.24cd/
   ṛṃ ḥṃ kapolayoścaiva ḷṃ ḹṃ nāsāpuṭadvaye // ŚivP_7.2,22.25ab/	Rm Hm kapolayoH ca eva ?m ?m nAsA puwa dvaye // ŚivS _7.2,22.25ab/
   ememoṣṭhadvayoromauṃ daṃtapaṃktidvayoḥ kramāt // ŚivP_7.2,22.25cd/	ememozWa dvayaH romOm daMtapaMkti dvayoH kramAt // ŚivS _7.2,22.25cd/
   aṃ jihvāyāmatho tālunyaḥ prayojyo yathākramam // ŚivP_7.2,22.26ab/	am jihvAyAm aTo tAlunyaH prayojyaH yaTAkramam // ŚivS _7.2,22.26ab/
   kavargaṃ dakṣiṇe haste nyasetpañcasu saṃdhiṣu // ŚivP_7.2,22.26cd/	kavargam dakziNe haste nyaset paQcasu saMDizu // ŚivS _7.2,22.26cd/
   cavargaṃ ca tathā vāmahastasaṃdhiṣu vinyaset // ŚivP_7.2,22.27ab/	cavargam ca taTA vAma hasta saMDizu vinyaset // ŚivS _7.2,22.27ab/
   ṭavargaṃ ca tavargaṃ ca pādayorubhayorapi // ŚivP_7.2,22.27cd/	wavargam ca tavargam ca pAdayoH uBayoH api // ŚivS _7.2,22.27cd/
   paphau tu pārśvayoḥ pṛṣṭhe nābhau cāpi babhau tataḥ // ŚivP_7.2,22.28ab/	paPO tu pArSvayoH pRzWe nABO ca api baBO tatas // ŚivS _7.2,22.28ab/
   nyasenmakāraṃ hṛdaye tvagādiṣu yathākramam // ŚivP_7.2,22.28cd/	nyaset makAram hRdaye tvac Adizu yaTAkramam // ŚivS _7.2,22.28cd/
   yakarādisakārāṃtānnyasetsaptasu dhātuṣu // ŚivP_7.2,22.29ab/	yakara Adi sakArAMtAn nyaset saptasu DAtuzu // ŚivS _7.2,22.29ab/
   haṃkāraṃ hṛdayasyāṃtaḥ kṣakāraṃ bhrūyugāṃtare // ŚivP_7.2,22.29cd/	haMkAram hRdayasya aMtar kzakAram BrU yugAMtare // ŚivS _7.2,22.29cd/
   evaṃ varṇānpravinyasya pañcāśadrudravartmanā // ŚivP_7.2,22.30ab/	evam varNAn pravinyasya paQcASat rudra vartmanA // ŚivS _7.2,22.30ab/
   aṃgavaktrakalābhedātpañca brahmāṇi vinyaset // ŚivP_7.2,22.30cd/	aMga vaktra kalA BedAt paQca brahmANi vinyaset // ŚivS _7.2,22.30cd/
   karanyāsādyamapi taiḥ kṛtvā vātha na vā kramāt // ŚivP_7.2,22.31ab/	karanyAsa Adyam api tEH kRtvA vA aTa na vA kramAt // ŚivS _7.2,22.31ab/
   śirovadanahṛdguhyapādeṣvetāni kalpayet // ŚivP_7.2,22.31cd/	SiraH vadana hRd guhya pAdezu etAni kalpayet // ŚivS _7.2,22.31cd/
   tataścordhvādivaktrāṇi paścimāṃtāni kalpayet // ŚivP_7.2,22.32ab/	tatas ca UrDva Adi vaktrANi paScimAMtAni kalpayet // ŚivS _7.2,22.32ab/
   īśānasya kalāḥ pañca pañcasveteṣu ca kramāt // ŚivP_7.2,22.32cd/	ISAnasya kalAH paQca paQcasu etezu ca kramAt // ŚivS _7.2,22.32cd/
   tataścaturṣu vaktreṣu puruṣasya kalā api // ŚivP_7.2,22.33ab/	tatas caturzu vaktrezu puruzasya kalAH api // ŚivS _7.2,22.33ab/
   catasraḥ praṇidhātavyāḥ pūrvādikramayogataḥ // ŚivP_7.2,22.33cd/	catasraH praNiDAtavyAH pUrva Adi krama yogataH // ŚivS _7.2,22.33cd/
   hṛtkaṃṭhāṃseṣu nābhau ca kukṣau pṛṣṭhe ca vakṣasi // ŚivP_7.2,22.34ab/	hRd kaMWa aMsezu nABO ca kukzO pRzWe ca vakzasi // ŚivS _7.2,22.34ab/
   aghorasya kalāścāṣṭau pādayorapi hastayoḥ // ŚivP_7.2,22.34cd/	aGorasya kalAH ca azwO pAdayoH api hastayoH // ŚivS _7.2,22.34cd/
   paścāttrayoḥdaśakalāḥ pāyumeḍhrorujānuṣu // ŚivP_7.2,22.35ab/	paScAttrayoHdaSa kalAH pAyu meXra Uru jAnuzu // ŚivS _7.2,22.35ab/
   jaṃghāsphikkaṭipārśveṣu vāmadevasya bhāvayet // ŚivP_7.2,22.35cd/	jaMGA sPik kawi pArSvezu vAmadevasya BAvayet // ŚivS _7.2,22.35cd/
   ghrāṇe śirasi bāhvośca kalpayetkalpavittamaḥ // ŚivP_7.2,22.36ab/	GrANe Sirasi bAhvoH ca kalpayet kalpa vittamaH // ŚivS _7.2,22.36ab/
   aṣṭatriṃśatkalānyāsamevaṃ kṛtvānupūrvaśaḥ // ŚivP_7.2,22.36cd/	azwatriMSat kalAnyAsam evam kRtvA anupUrvaSas // ŚivS _7.2,22.36cd/
   paścātpraṇavaviddhīmānpraṇavanyāsamācaret // ŚivP_7.2,22.37ab/	paScAt praNava vid Di imAn praNava nyAsam Acaret // ŚivS _7.2,22.37ab/
   bāhudvaye kūrparayostathā ca maṇibandhayoḥ // ŚivP_7.2,22.37cd/	bAhu dvaye kUrparayoH taTA ca maNibanDayoH // ŚivS _7.2,22.37cd/
   pārśvodarorujaṃgheṣu pādayoḥ pṛṣṭhatastathā // ŚivP_7.2,22.38ab/	pArSva udara Uru jaMGezu pAdayoH pRzWatas taTA // ŚivS _7.2,22.38ab/
   itthaṃ praṇavavinyāsaṃ kṛtvā nyāsavicakṣaṇaḥ // ŚivP_7.2,22.38cd/	itTam praNava vinyAsam kRtvA nyAsa vicakzaNaH // ŚivS _7.2,22.38cd/
   haṃsanyāsaṃ prakurvīta śivaśāstre yathoditam // ŚivP_7.2,22.39ab/	haMsa nyAsam prakurvIta Siva SAstre yaTA uditam // ŚivS _7.2,22.39ab/
   bījaṃ vibhajya haṃsasya netrayorghrāṇayorapi // ŚivP_7.2,22.39cd/	bIjam viBajya haMsasya netrayoH GrANayoH api // ŚivS _7.2,22.39cd/
   vibhajya bāhunetrāsyalalāṭe ghrāṇayorapi // ŚivP_7.2,22.40ab/	viBajya bAhu netra Asya lalAwe GrANayoH api // ŚivS _7.2,22.40ab/
   kakṣayoḥ skandhayoścaiva pārśvayostanayostathā // ŚivP_7.2,22.40cd/	kakzayoH skanDayoH ca eva pArSvayoH tanayoH taTA // ŚivS _7.2,22.40cd/
   kaṭhyoḥ pāṇyorgulphayośca yadvā pañcāṃgavartmanā // ŚivP_7.2,22.41ab/	kaWyoH pANyoH gulPayoH ca yat vA paQcAMga vartmanA // ŚivS _7.2,22.41ab/
   haṃsanyāsamimaṃ kṛtvā nyasetpañcākṣarīṃ tataḥ // ŚivP_7.2,22.41cd/	haMsa nyAsam imam kRtvA nyaset paQcAkzarIm tatas // ŚivS _7.2,22.41cd/
   yathā pūrvoktamārgeṇa śivatvaṃ yena jāyate // ŚivP_7.2,22.42ab/	yaTA pUrva ukta mArgeNa Siva tvam yena jAyate // ŚivS _7.2,22.42ab/
   nāśivaḥ śivamabhyasyennāśivaḥ śivamarcayet // ŚivP_7.2,22.42cd/	na aSivaH Sivam aByasyet na aSivaH Sivam arcayet // ŚivS _7.2,22.42cd/
   nāśivastu śivaṃ dhyāyennāśivamprāpnuyācchivam // ŚivP_7.2,22.43ab/	na aSivaH tu Sivam DyAyet na aSivam prApnuyAt Sivam // ŚivS _7.2,22.43ab/
   tasmācchaivīṃ tanuṃ kṛtvā tyaktvā ca paśubhāvanām // ŚivP_7.2,22.43cd/	tasmAt SEvIm tanum kRtvA tyaktvA ca paSu BAvanAm // ŚivS _7.2,22.43cd/
   śivo 'hamiti saṃcintya śaivaṃ karma samācaret // ŚivP_7.2,22.44ab/	SivaH aham iti saMcintya SEvam karma samAcaret // ŚivS _7.2,22.44ab/
   karmayajñastapoyajño japayajñastaduttaraḥ // ŚivP_7.2,22.44cd/	karma yajQaH tapaH yajQaH japa yajQaH tad uttaraH // ŚivS _7.2,22.44cd/
   dhyānayajño jñānayajñaḥ pañca yajñāḥ prakīrtitāḥ // ŚivP_7.2,22.44ef/	DyAna yajQaH jQAna yajQaH paQca yajQAH prakIrtitAH // ŚivS _7.2,22.44ef/
   571a	571a
   karmayajñaratāḥ kecittapoyajñaratāḥ pare // ŚivP_7.2,22.45ab/	karma yajQa ratAH kecid tapaH yajQa ratAH pare // ŚivS _7.2,22.45ab/
   japayajñaratāścānye dhyānayajñaratāstathā // ŚivP_7.2,22.45cd/	japa yajQa ratAH ca anye DyAna yajQa ratAH taTA // ŚivS _7.2,22.45cd/
   jñānayajñaratāścānye viśiṣṭāścottarottaram // ŚivP_7.2,22.46ab/	jQAna yajQa ratAH ca anye viSizwAH ca uttarottaram // ŚivS _7.2,22.46ab/
   kramayajño dvidhā proktaḥ kāmākāmavibhedataḥ // ŚivP_7.2,22.46cd/	krama yajQaH dviDA proktaH kAmA kAma viBedataH // ŚivS _7.2,22.46cd/
   kāmānkāmī tato bhuktvā kāmāsaktaḥ punarbhavet // ŚivP_7.2,22.47ab/	kAmAn kAmI tatas BuktvA kAma AsaktaH punar Bavet // ŚivS _7.2,22.47ab/
   akāme rudrabhavane bhogānbhuktvā tataścyutaḥ // ŚivP_7.2,22.47cd/	akAme rudra Bavane BogAn BuktvA tatas cyutaH // ŚivS _7.2,22.47cd/
   tapoyajñarato bhūtvā jāyate nātra saṃśayaḥ // ŚivP_7.2,22.48ab/	tapaH yajQa rataH BUtvA jAyate na atra saMSayaH // ŚivS _7.2,22.48ab/
   tapasvī ca punastasminbhogān bhuktvā tataścyutaḥ // ŚivP_7.2,22.48cd/	tapasvI ca punar tasmin BogAn BuktvA tatas cyutaH // ŚivS _7.2,22.48cd/
   japadhyānarato bhūtvā jāyate bhuvi mānavaḥ // ŚivP_7.2,22.49ab/	japa DyAna rataH BUtvA jAyate Buvi mAnavaH // ŚivS _7.2,22.49ab/
   japadhyānarato martyastadvaiśiṣṭyavaśādiha // ŚivP_7.2,22.49cd/	japa DyAna rataH martyaH tad vESizwya vaSAt iha // ŚivS _7.2,22.49cd/
   jñānaṃ labdhvācirādeva śivasāyujyamāpnuyāt // ŚivP_7.2,22.50ab/	jQAnam labDvA acirAt eva Siva sAyujyam ApnuyAt // ŚivS _7.2,22.50ab/
   tasmānmukto śivājñaptaḥ karmayajño 'pi dehinām // ŚivP_7.2,22.50cd/	tasmAt muktaH Siva AjQaptaH karma yajQaH api dehinAm // ŚivS _7.2,22.50cd/
   akāmaḥ kāmasaṃyukto bandhāyaiva bhaviṣyati // ŚivP_7.2,22.51ab/	akAmaH kAma saMyuktaH banDAya eva Bavizyati // ŚivS _7.2,22.51ab/
   tasmātpañcasu yajñeṣu dhyānajñānaparo bhavet // ŚivP_7.2,22.51cd/	tasmAt paQcasu yajQezu DyAna jQAna paraH Bavet // ŚivS _7.2,22.51cd/
   dhyānaṃ jñānaṃ ca yasyāsti tīrṇastena bhavārṇavaḥ // ŚivP_7.2,22.52ab/	DyAnam jQAnam ca yasya asti tIrNaH tena Bava arNavaH // ŚivS _7.2,22.52ab/
   hiṃsādidoṣanirmukto viśuddhaścittasādhanaḥ // ŚivP_7.2,22.52cd/	hiMsA Adi doza nirmuktaH viSudDaH citta sADanaH // ŚivS _7.2,22.52cd/
   dhyānayajñaḥ parastasmādapavargaphalapradaḥ // ŚivP_7.2,22.53ab/	DyAna yajQaH paraH tasmAt apavarga Pala pradaH // ŚivS _7.2,22.53ab/
   bahiḥ karmakarā yadvannātīva phalabhāginaḥ // ŚivP_7.2,22.53cd/	bahis karmakarAH yadvat na ati iva Pala BAginaH // ŚivS _7.2,22.53cd/
   dṛṣṭvā narendrabhavane tadvadatrāpi karmiṇaḥ // ŚivP_7.2,22.54ab/	dRzwvA narendra Bavane tadvat atra api karmiNaH // ŚivS _7.2,22.54ab/
   dhyānināṃ hi vapuḥ sūkṣmaṃ bhavetpratyakṣamaiśvaram // ŚivP_7.2,22.54cd/	DyAninAm hi vapuH sUkzmam Bavet pratyakzam ESvaram // ŚivS _7.2,22.54cd/
   yatheha karmaṇāṃ sthūlaṃ mṛtkāṣṭhādyaiḥ prakalpitam // ŚivP_7.2,22.55ab/	yaTA iha karmaNAm sTUlam mRd kAzWa AdyEH prakalpitam // ŚivS _7.2,22.55ab/
   dhyānayajñaratāstasmāddevānpāṣāṇamṛṇmayān // ŚivP_7.2,22.55cd/	DyAna yajQa ratAH tasmAt devAn pAzANa mRNmayAn // ŚivS _7.2,22.55cd/
   nātyaṃtaṃ pratipadyaṃte śivayāthātmyavedanāt // ŚivP_7.2,22.56ab/	na atyaMtam pratipadyaMte Siva yATAtmya vedanAt // ŚivS _7.2,22.56ab/
   ātmasthaṃ yaḥ śivaṃ tyaktvā bahirabhyarcayennaraḥ // ŚivP_7.2,22.56cd/	Atma sTam yaH Sivam tyaktvA bahis aByarcayet naraH // ŚivS _7.2,22.56cd/
   hastasthaṃ phalamutsṛjya lihetkūrparamātmanaḥ // ŚivP_7.2,22.57ab/	hasta sTam Palam utsRjya lihet kUrparamAtmanaH // ŚivS _7.2,22.57ab/
   jñānāddhyānaṃ bhaveddhyānājjñānaṃ bhūyaḥ pravartate // ŚivP_7.2,22.57cd/	jQAnAt DyAnam Bavet DyAnAt jQAnam BUyas pravartate // ŚivS _7.2,22.57cd/
   tadubhābhyāṃ bhavenmuktistasmāddhyānarato bhavet // ŚivP_7.2,22.58ab/	tad uBAByAm Bavet muktiH tasmAt DyAna rataH Bavet // ŚivS _7.2,22.58ab/
   dvādaśānte tathā mūrdhni lalāṭe bhrūyugāntare // ŚivP_7.2,22.58cd/	dvAdaSAnte taTA mUrDni lalAwe BrU yuga antare // ŚivS _7.2,22.58cd/
   nāsāgre vā tathāsye vā kandhare hṛdaye tathā // ŚivP_7.2,22.59ab/	nAsA agre vA taTA Asye vA kanDare hRdaye taTA // ŚivS _7.2,22.59ab/
   nābhau vā śāśvatasthāne śraddhāviddhena cetasā // ŚivP_7.2,22.59cd/	nABO vA SASvata sTAne SradDA AvidDena cetasA // ŚivS _7.2,22.59cd/
   bahiryāgopacāreṇa devaṃ devīṃ ca pūjayet // ŚivP_7.2,22.60ab/	bahis yAga upacAreNa devam devIm ca pUjayet // ŚivS _7.2,22.60ab/
